Orthogroup	Syao	Pras
OG0000129	Syao.g_02434	Pras.g_00897
OG0000130	Syao.g_02617	Pras.g_00921
OG0000131	Syao.g_02480	Pras.g_00996
OG0000132	Syao.g_02501	Pras.g_01015
OG0000133	Syao.g_00678	Pras.g_01174
OG0000134	Syao.g_01719	Pras.g_01210
OG0000135	Syao.g_00147	Pras.g_01236
OG0000136	Syao.g_01614, Syao.g_01613	Pras.g_01319
OG0000137	Syao.g_02682	Pras.g_01353
OG0000138	Syao.g_00108	Pras.g_01373
OG0000139	Syao.g_01418, Syao.g_02005	Pras.g_01414
OG0000140	Syao.g_01373, Syao.g_01372	Pras.g_01415
OG0000141	Syao.g_01202	Pras.g_01483
OG0000142	Syao.g_00894	Pras.g_01511
OG0000143	Syao.g_00898	Pras.g_01515
OG0000145	Syao.g_00102	Pras.g_01664
OG0000146	Syao.g_00684, Syao.g_00304	Pras.g_01666
OG0000147	Syao.g_00305, Syao.g_00685	Pras.g_01667
OG0000148	Syao.g_00776	Pras.g_01717
OG0000149	Syao.g_00534	Pras.g_01747
OG0000150	Syao.g_01203	Pras.g_01755
OG0000151	Syao.g_00975	Pras.g_01811
OG0000152	Syao.g_00674	Pras.g_01859
OG0000153	Syao.g_00818, Syao.g_01176	Pras.g_01878
OG0000154	Syao.g_00447	Pras.g_01908
OG0000155	Syao.g_00178	Pras.g_00076
OG0000156	Syao.g_00151	Pras.g_00197
OG0000157	Syao.g_00152	Pras.g_00198
OG0000158	Syao.g_01141, Syao.g_02267	Pras.g_00289
OG0000160	Syao.g_01488	Pras.g_00351
OG0000161	Syao.g_01494	Pras.g_00357
OG0000162	Syao.g_01515	Pras.g_00363
OG0000163	Syao.g_01745	Pras.g_00399
OG0000164	Syao.g_01663	Pras.g_00574
OG0000165	Syao.g_01655	Pras.g_00581
OG0000166	Syao.g_01790	Pras.g_00651
OG0000167	Syao.g_01960	Pras.g_00717
OG0000168	Syao.g_02128	Pras.g_00727
OG0000169	Syao.g_02139	Pras.g_00737
OG0000170	Syao.g_02148	Pras.g_00739
OG0000171	Syao.g_02181	Pras.g_00758
OG0000172	Syao.g_02170	Pras.g_00768
OG0000173	Syao.g_02212	Pras.g_00783
OG0000174	Syao.g_02364, Syao.g_02355	Pras.g_00811, Pras.g_00810
OG0000175	Syao.g_02327, Syao.g_00308	Pras.g_00821
OG0000176	Syao.g_02165	Pras.g_00846
OG0000177	Syao.g_02156	Pras.g_00847
OG0000178	Syao.g_02155	Pras.g_00848
OG0000179	Syao.g_02250	Pras.g_00858
OG0000180	Syao.g_02249	Pras.g_00859
OG0000181	Syao.g_02248	Pras.g_00860
OG0000182	Syao.g_02247	Pras.g_00861
OG0000183	Syao.g_02243	Pras.g_00865
OG0000184	Syao.g_02423	Pras.g_00899
OG0000185	Syao.g_02410	Pras.g_00902
OG0000186	Syao.g_02613	Pras.g_00916
OG0000187	Syao.g_02615	Pras.g_00917
OG0000188	Syao.g_02637	Pras.g_00933
OG0000189	Syao.g_02672	Pras.g_00947
OG0000190	Syao.g_01015	Pras.g_00948
OG0000191	Syao.g_02573	Pras.g_00968
OG0000192	Syao.g_02579	Pras.g_00972
OG0000193	Syao.g_02481	Pras.g_00997
OG0000194	Syao.g_02484	Pras.g_01000
OG0000195	Syao.g_02486	Pras.g_01002
OG0000196	Syao.g_02498	Pras.g_01012
OG0000197	Syao.g_02499	Pras.g_01013
OG0000198	Syao.g_02500	Pras.g_01014
OG0000199	Syao.g_02508	Pras.g_01021
OG0000200	Syao.g_02524	Pras.g_01035
OG0000201	Syao.g_02540	Pras.g_01043
OG0000202	Syao.g_02454	Pras.g_01044
OG0000203	Syao.g_02455	Pras.g_01045
OG0000204	Syao.g_02456	Pras.g_01046
OG0000205	Syao.g_02464	Pras.g_01053
OG0000206	Syao.g_02469	Pras.g_01058, Pras.g_01059
OG0000207	Syao.g_02471	Pras.g_01061
OG0000208	Syao.g_02472	Pras.g_01062
OG0000209	Syao.g_02394	Pras.g_01071
OG0000210	Syao.g_02395	Pras.g_01072
OG0000211	Syao.g_01700	Pras.g_01085
OG0000212	Syao.g_01710	Pras.g_01092
OG0000213	Syao.g_02098	Pras.g_01109
OG0000214	Syao.g_02081	Pras.g_01119
OG0000215	Syao.g_02050	Pras.g_01144
OG0000216	Syao.g_02045	Pras.g_01145
OG0000217	Syao.g_02041	Pras.g_01148
OG0000218	Syao.g_02039	Pras.g_01150
OG0000219	Syao.g_02038	Pras.g_01151
OG0000220	Syao.g_02037	Pras.g_01152
OG0000221	Syao.g_02034	Pras.g_01153
OG0000222	Syao.g_02023	Pras.g_01162
OG0000223	Syao.g_00291	Pras.g_01175
OG0000224	Syao.g_01973	Pras.g_01177
OG0000225	Syao.g_01751	Pras.g_01199
OG0000226	Syao.g_01758	Pras.g_01203
OG0000227	Syao.g_01760	Pras.g_01205
OG0000228	Syao.g_01715	Pras.g_01208
OG0000229	Syao.g_01736	Pras.g_01314
OG0000230	Syao.g_01738	Pras.g_01316
OG0000231	Syao.g_01513	Pras.g_01327
OG0000232	Syao.g_00057	Pras.g_01335
OG0000233	Syao.g_02698	Pras.g_01341
OG0000234	Syao.g_02680	Pras.g_01354
OG0000235	Syao.g_00029	Pras.g_01357
OG0000236	Syao.g_00111	Pras.g_01371
OG0000237	Syao.g_00166	Pras.g_01384
OG0000238	Syao.g_00161	Pras.g_01390
OG0000239	Syao.g_01398	Pras.g_01402
OG0000240	Syao.g_01399	Pras.g_01403
OG0000241	Syao.g_00887	Pras.g_01407
OG0000242	Syao.g_01410	Pras.g_01409
OG0000243	Syao.g_00873	Pras.g_01420
OG0000244	Syao.g_00865	Pras.g_01423
OG0000245	Syao.g_00863	Pras.g_01425
OG0000246	Syao.g_00859	Pras.g_01429
OG0000247	Syao.g_00847	Pras.g_01439
OG0000248	Syao.g_00844	Pras.g_01441
OG0000249	Syao.g_00842	Pras.g_01443
OG0000250	Syao.g_00835	Pras.g_01448
OG0000251	Syao.g_01026	Pras.g_01467
OG0000252	Syao.g_01020	Pras.g_01470
OG0000253	Syao.g_01003	Pras.g_01471
OG0000254	Syao.g_01053	Pras.g_01487
OG0000255	Syao.g_01009	Pras.g_01493
OG0000256	Syao.g_01328	Pras.g_01503
OG0000257	Syao.g_00884	Pras.g_01506
OG0000258	Syao.g_00907	Pras.g_01519
OG0000259	Syao.g_00933, Syao.g_00932	Pras.g_01536
OG0000260	Syao.g_00936	Pras.g_01539
OG0000261	Syao.g_00941	Pras.g_01541
OG0000262	Syao.g_00946	Pras.g_00327, Pras.g_01545
OG0000263	Syao.g_00247	Pras.g_01557
OG0000264	Syao.g_00699	Pras.g_01567
OG0000265	Syao.g_00049	Pras.g_01606
OG0000266	Syao.g_00480	Pras.g_01616
OG0000267	Syao.g_00589	Pras.g_01627
OG0000268	Syao.g_00588	Pras.g_01628
OG0000269	Syao.g_00751	Pras.g_01696
OG0000270	Syao.g_00754	Pras.g_01699
OG0000271	Syao.g_00762	Pras.g_01707
OG0000272	Syao.g_00763	Pras.g_01708
OG0000273	Syao.g_00791	Pras.g_01731
OG0000274	Syao.g_00792	Pras.g_01732
OG0000275	Syao.g_00438	Pras.g_01734
OG0000276	Syao.g_00558	Pras.g_01739
OG0000277	Syao.g_00557	Pras.g_01740
OG0000278	Syao.g_00554	Pras.g_01743
OG0000279	Syao.g_00529	Pras.g_01750
OG0000280	Syao.g_00608	Pras.g_01751
OG0000281	Syao.g_01377	Pras.g_01756
OG0000282	Syao.g_00967	Pras.g_01803
OG0000283	Syao.g_00640	Pras.g_01836
OG0000284	Syao.g_00634	Pras.g_01841
OG0000285	Syao.g_00706	Pras.g_01846
OG0000286	Syao.g_00675	Pras.g_01858
OG0000287	Syao.g_00825	Pras.g_01875
OG0000288	Syao.g_00446	Pras.g_01907
OG0000289	Syao.g_00461	Pras.g_01918
OG0000290	Syao.g_00428	Pras.g_01931
OG0000291	Syao.g_00333	Pras.g_01933
OG0000292	Syao.g_02196	Pras.g_01982
OG0000293	Syao.g_00136	Pras.g_00047
OG0000294	Syao.g_00135	Pras.g_00048
OG0000295	Syao.g_00186	Pras.g_00068
OG0000296	Syao.g_00184	Pras.g_00070
OG0000297	Syao.g_00171	Pras.g_00078
OG0000298	Syao.g_00170	Pras.g_00079
OG0000299	Syao.g_00231	Pras.g_00096, Pras.g_00097
OG0000300	Syao.g_00274	Pras.g_00100
OG0000301	Syao.g_00272, Syao.g_00273	Pras.g_00101
OG0000302	Syao.g_00271	Pras.g_00103
OG0000303	Syao.g_00262	Pras.g_00110
OG0000304	Syao.g_00256	Pras.g_00114
OG0000305	Syao.g_00388	Pras.g_00242
OG0000306	Syao.g_01216	Pras.g_00245
OG0000307	Syao.g_00045	Pras.g_00259
OG0000308	Syao.g_00047	Pras.g_00260
OG0000309	Syao.g_02705	Pras.g_00264
OG0000310	Syao.g_01530	Pras.g_00335
OG0000311	Syao.g_01533	Pras.g_00337
OG0000312	Syao.g_01538	Pras.g_00340
OG0000313	Syao.g_01491	Pras.g_00354
OG0000314	Syao.g_00078	Pras.g_00377
OG0000315	Syao.g_00088	Pras.g_00388
OG0000316	Syao.g_01602	Pras.g_00410
OG0000317	Syao.g_01560	Pras.g_00548
OG0000318	Syao.g_01553	Pras.g_00551
OG0000319	Syao.g_01678	Pras.g_00564
OG0000320	Syao.g_01676	Pras.g_00566
OG0000321	Syao.g_01675	Pras.g_00567
OG0000322	Syao.g_01674	Pras.g_00568
OG0000323	Syao.g_01661	Pras.g_00577
OG0000324	Syao.g_01630	Pras.g_00604
OG0000325	Syao.g_01936	Pras.g_00614
OG0000326	Syao.g_01918	Pras.g_00620
OG0000327	Syao.g_01795	Pras.g_00646
OG0000328	Syao.g_01794	Pras.g_00647
OG0000329	Syao.g_01776	Pras.g_00664
OG0000330	Syao.g_01775	Pras.g_00665
OG0000331	Syao.g_01774	Pras.g_00666
OG0000332	Syao.g_01813	Pras.g_00680
OG0000333	Syao.g_01810	Pras.g_00682
OG0000334	Syao.g_01836	Pras.g_00690
OG0000335	Syao.g_01831	Pras.g_00695
OG0000336	Syao.g_01827	Pras.g_00699
OG0000337	Syao.g_01968	Pras.g_00715
OG0000338	Syao.g_01962	Pras.g_00716
OG0000339	Syao.g_02259	Pras.g_00720
OG0000340	Syao.g_02129	Pras.g_00728
OG0000341	Syao.g_02131	Pras.g_00730
OG0000342	Syao.g_02132	Pras.g_00731
OG0000343	Syao.g_02133	Pras.g_00732
OG0000344	Syao.g_02137	Pras.g_00735
OG0000345	Syao.g_01953	Pras.g_00740
OG0000346	Syao.g_01948	Pras.g_00744
OG0000347	Syao.g_02178	Pras.g_00761
OG0000348	Syao.g_02166	Pras.g_00771
OG0000349	Syao.g_02219	Pras.g_00788
OG0000350	Syao.g_01925	Pras.g_00806, Pras.g_00131
OG0000351	Syao.g_02331	Pras.g_00824
OG0000352	Syao.g_02332	Pras.g_00825
OG0000353	Syao.g_02160	Pras.g_00841
OG0000355	Syao.g_02162	Pras.g_00843
OG0000356	Syao.g_02163	Pras.g_00844
OG0000357	Syao.g_02164	Pras.g_00845
OG0000358	Syao.g_02154	Pras.g_00849
OG0000359	Syao.g_02152	Pras.g_00850
OG0000360	Syao.g_02151	Pras.g_00851
OG0000361	Syao.g_02150	Pras.g_00852
OG0000362	Syao.g_01954	Pras.g_00854
OG0000363	Syao.g_02255	Pras.g_00856
OG0000364	Syao.g_01558	Pras.g_00857
OG0000365	Syao.g_02246	Pras.g_00862
OG0000366	Syao.g_02245	Pras.g_00863
OG0000367	Syao.g_02244	Pras.g_00864
OG0000368	Syao.g_02242	Pras.g_00866
OG0000369	Syao.g_02241	Pras.g_00867
OG0000370	Syao.g_02240	Pras.g_00868
OG0000371	Syao.g_02231	Pras.g_00874
OG0000372	Syao.g_02226	Pras.g_00877
OG0000373	Syao.g_02225	Pras.g_00878
OG0000374	Syao.g_02224	Pras.g_00879
OG0000375	Syao.g_02223	Pras.g_00893
OG0000376	Syao.g_02221	Pras.g_00895
OG0000377	Syao.g_02429	Pras.g_00898
OG0000378	Syao.g_02414	Pras.g_00900
OG0000379	Syao.g_02409	Pras.g_00903
OG0000380	Syao.g_02616	Pras.g_00918
OG0000381	Syao.g_02618	Pras.g_00922
OG0000382	Syao.g_02636	Pras.g_00932
OG0000383	Syao.g_02643	Pras.g_00934
OG0000384	Syao.g_02644	Pras.g_00935
OG0000385	Syao.g_02645	Pras.g_00936
OG0000386	Syao.g_02646	Pras.g_00937
OG0000387	Syao.g_01019	Pras.g_00950
OG0000388	Syao.g_02596	Pras.g_00953
OG0000389	Syao.g_02599	Pras.g_00957
OG0000390	Syao.g_02567	Pras.g_00964
OG0000391	Syao.g_02572	Pras.g_00967
OG0000392	Syao.g_02578	Pras.g_00971
OG0000393	Syao.g_02581	Pras.g_00973
OG0000394	Syao.g_02582	Pras.g_00974
OG0000395	Syao.g_02583	Pras.g_00975
OG0000396	Syao.g_02586	Pras.g_00978
OG0000397	Syao.g_02542	Pras.g_00980
OG0000398	Syao.g_02547	Pras.g_00982
OG0000399	Syao.g_02548	Pras.g_00983
OG0000400	Syao.g_02549	Pras.g_00984
OG0000401	Syao.g_02550	Pras.g_00985
OG0000402	Syao.g_02552	Pras.g_00987
OG0000403	Syao.g_02553	Pras.g_00988
OG0000404	Syao.g_02554	Pras.g_00989
OG0000405	Syao.g_02478	Pras.g_00993
OG0000406	Syao.g_02482	Pras.g_00998
OG0000407	Syao.g_02483	Pras.g_00999
OG0000408	Syao.g_02485	Pras.g_01001
OG0000409	Syao.g_02487	Pras.g_01003
OG0000410	Syao.g_02488	Pras.g_01004
OG0000411	Syao.g_02489	Pras.g_01005
OG0000412	Syao.g_02490	Pras.g_01006
OG0000413	Syao.g_02492	Pras.g_01007
OG0000414	Syao.g_02493	Pras.g_01008
OG0000415	Syao.g_02494	Pras.g_01009
OG0000416	Syao.g_02495	Pras.g_01010
OG0000417	Syao.g_02497	Pras.g_01011
OG0000418	Syao.g_02502	Pras.g_01016
OG0000419	Syao.g_02504	Pras.g_01018
OG0000420	Syao.g_02506	Pras.g_01019
OG0000421	Syao.g_02510	Pras.g_01024
OG0000422	Syao.g_02511	Pras.g_01025
OG0000423	Syao.g_02512	Pras.g_01026
OG0000424	Syao.g_02513	Pras.g_01027
OG0000425	Syao.g_02514	Pras.g_01028
OG0000426	Syao.g_02515	Pras.g_01029
OG0000427	Syao.g_02516	Pras.g_01030
OG0000428	Syao.g_02519	Pras.g_01032
OG0000429	Syao.g_02522	Pras.g_01033
OG0000430	Syao.g_02523	Pras.g_01034
OG0000431	Syao.g_02526	Pras.g_01036
OG0000432	Syao.g_02532	Pras.g_01039
OG0000433	Syao.g_02534	Pras.g_01040
OG0000434	Syao.g_02535	Pras.g_01041
OG0000435	Syao.g_02538	Pras.g_01042
OG0000436	Syao.g_02458	Pras.g_01047
OG0000437	Syao.g_02459	Pras.g_01048
OG0000438	Syao.g_02460	Pras.g_01049
OG0000439	Syao.g_02462	Pras.g_01051
OG0000440	Syao.g_02463	Pras.g_01052
OG0000441	Syao.g_02466	Pras.g_01055
OG0000442	Syao.g_02467	Pras.g_01056
OG0000443	Syao.g_02468	Pras.g_01057
OG0000444	Syao.g_02473	Pras.g_01063
OG0000445	Syao.g_02474	Pras.g_01064
OG0000446	Syao.g_02476	Pras.g_01065
OG0000447	Syao.g_02383	Pras.g_01066
OG0000448	Syao.g_02384	Pras.g_01067
OG0000449	Syao.g_02385	Pras.g_01068
OG0000450	Syao.g_02391	Pras.g_01069
OG0000451	Syao.g_02392	Pras.g_01070
OG0000452	Syao.g_02396	Pras.g_01073
OG0000453	Syao.g_02397	Pras.g_01074
OG0000454	Syao.g_02398	Pras.g_01075
OG0000455	Syao.g_02399	Pras.g_01076
OG0000456	Syao.g_02400	Pras.g_01077
OG0000457	Syao.g_02402	Pras.g_01078
OG0000458	Syao.g_02403	Pras.g_01079
OG0000459	Syao.g_02404	Pras.g_01080
OG0000460	Syao.g_01702	Pras.g_01087
OG0000461	Syao.g_02119	Pras.g_01094
OG0000462	Syao.g_02116	Pras.g_01096
OG0000463	Syao.g_02115	Pras.g_01097
OG0000464	Syao.g_02114	Pras.g_01098
OG0000465	Syao.g_02112	Pras.g_01099
OG0000466	Syao.g_02107	Pras.g_01102
OG0000467	Syao.g_02106	Pras.g_01103
OG0000468	Syao.g_02102	Pras.g_01105
OG0000469	Syao.g_02087	Pras.g_01114
OG0000470	Syao.g_02085	Pras.g_01116
OG0000471	Syao.g_02084	Pras.g_01117
OG0000472	Syao.g_02082	Pras.g_01118
OG0000473	Syao.g_02080	Pras.g_01120
OG0000474	Syao.g_02079	Pras.g_01121
OG0000475	Syao.g_02078	Pras.g_01122
OG0000476	Syao.g_02076	Pras.g_01123
OG0000477	Syao.g_02069	Pras.g_01127
OG0000478	Syao.g_02068	Pras.g_01128
OG0000479	Syao.g_02067	Pras.g_01129
OG0000480	Syao.g_02060	Pras.g_01134
OG0000481	Syao.g_01012	Pras.g_01136
OG0000482	Syao.g_02058	Pras.g_01137
OG0000483	Syao.g_02054	Pras.g_01140
OG0000484	Syao.g_02053	Pras.g_01141
OG0000485	Syao.g_02052	Pras.g_01142
OG0000486	Syao.g_02051	Pras.g_01143
OG0000487	Syao.g_02044	Pras.g_01146
OG0000488	Syao.g_02040	Pras.g_01149
OG0000489	Syao.g_02033	Pras.g_01155
OG0000490	Syao.g_02025	Pras.g_01160
OG0000491	Syao.g_02024	Pras.g_01161
OG0000492	Syao.g_02022	Pras.g_01163
OG0000493	Syao.g_02021	Pras.g_01164
OG0000494	Syao.g_02020	Pras.g_01165
OG0000495	Syao.g_02018	Pras.g_01166
OG0000496	Syao.g_02017	Pras.g_01167
OG0000497	Syao.g_02016	Pras.g_01168
OG0000498	Syao.g_02015	Pras.g_01169
OG0000499	Syao.g_02014	Pras.g_01170
OG0000500	Syao.g_02013	Pras.g_01171
OG0000501	Syao.g_02010	Pras.g_01173
OG0000502	Syao.g_01974	Pras.g_01176
OG0000503	Syao.g_01877	Pras.g_01187
OG0000504	Syao.g_01875	Pras.g_01188
OG0000505	Syao.g_01874	Pras.g_01189
OG0000506	Syao.g_01872	Pras.g_01191
OG0000507	Syao.g_01866	Pras.g_01194
OG0000508	Syao.g_01750	Pras.g_01198
OG0000509	Syao.g_01755	Pras.g_01200
OG0000510	Syao.g_01756	Pras.g_01201
OG0000511	Syao.g_01757	Pras.g_01202
OG0000512	Syao.g_01759	Pras.g_01204
OG0000513	Syao.g_01720	Pras.g_01211
OG0000514	Syao.g_01727	Pras.g_01309
OG0000515	Syao.g_01728	Pras.g_01310
OG0000516	Syao.g_01730	Pras.g_01311
OG0000517	Syao.g_01735	Pras.g_01313
OG0000518	Syao.g_01621	Pras.g_01324
OG0000519	Syao.g_01622	Pras.g_01325
OG0000520	Syao.g_01512	Pras.g_01326
OG0000521	Syao.g_00061	Pras.g_01331
OG0000522	Syao.g_00059	Pras.g_01332
OG0000523	Syao.g_00058	Pras.g_01333
OG0000524	Syao.g_02699	Pras.g_01339
OG0000525	Syao.g_02691	Pras.g_01342
OG0000526	Syao.g_02688	Pras.g_01343
OG0000527	Syao.g_02684	Pras.g_01351
OG0000528	Syao.g_00031	Pras.g_01356
OG0000529	Syao.g_00027	Pras.g_01359
OG0000530	Syao.g_00122	Pras.g_01362
OG0000531	Syao.g_00121	Pras.g_01363
OG0000532	Syao.g_00118	Pras.g_01365
OG0000533	Syao.g_00116	Pras.g_01366
OG0000534	Syao.g_00115	Pras.g_01367
OG0000535	Syao.g_00114	Pras.g_01368
OG0000536	Syao.g_00113	Pras.g_01369
OG0000537	Syao.g_00112	Pras.g_01370
OG0000538	Syao.g_00100	Pras.g_01378
OG0000539	Syao.g_00099	Pras.g_01379
OG0000540	Syao.g_00098	Pras.g_01380
OG0000541	Syao.g_00097	Pras.g_01381
OG0000542	Syao.g_00167	Pras.g_01383
OG0000543	Syao.g_00165	Pras.g_01385
OG0000544	Syao.g_00164	Pras.g_01386
OG0000545	Syao.g_00162	Pras.g_01388
OG0000546	Syao.g_00160	Pras.g_01391
OG0000547	Syao.g_00158	Pras.g_01393
OG0000548	Syao.g_00157	Pras.g_01394
OG0000549	Syao.g_01391	Pras.g_01396
OG0000550	Syao.g_01396	Pras.g_01401
OG0000551	Syao.g_01401	Pras.g_01404
OG0000552	Syao.g_01402	Pras.g_01405
OG0000553	Syao.g_01404	Pras.g_01406
OG0000554	Syao.g_01413	Pras.g_01411
OG0000555	Syao.g_00875	Pras.g_01419
OG0000556	Syao.g_00871	Pras.g_01421
OG0000557	Syao.g_00866	Pras.g_01422
OG0000558	Syao.g_00864	Pras.g_01424
OG0000559	Syao.g_00860	Pras.g_01428
OG0000560	Syao.g_00857	Pras.g_01431
OG0000561	Syao.g_00856	Pras.g_01432
OG0000562	Syao.g_00855	Pras.g_01433
OG0000563	Syao.g_00854	Pras.g_01434
OG0000564	Syao.g_00853	Pras.g_01435
OG0000565	Syao.g_00849	Pras.g_01438
OG0000566	Syao.g_00845	Pras.g_01440
OG0000567	Syao.g_00841	Pras.g_01444
OG0000568	Syao.g_00839	Pras.g_01445
OG0000569	Syao.g_00838	Pras.g_01446
OG0000570	Syao.g_00837	Pras.g_01447
OG0000571	Syao.g_00834	Pras.g_01449
OG0000572	Syao.g_01033	Pras.g_01463
OG0000573	Syao.g_01022	Pras.g_01468
OG0000574	Syao.g_01021	Pras.g_01469
OG0000575	Syao.g_01000	Pras.g_01473
OG0000576	Syao.g_00996	Pras.g_01475
OG0000577	Syao.g_00995	Pras.g_01476
OG0000578	Syao.g_00994	Pras.g_01477
OG0000579	Syao.g_00993	Pras.g_01478
OG0000580	Syao.g_00992	Pras.g_01479
