Orthogroup	Syao	Prbe
OG0000114	Syao.g_00965	Prbe.g_00417
OG0000115	Syao.g_01464, Syao.g_00065	Prbe.g_01618
OG0000116	Syao.g_00137	Prbe.g_01560
OG0000117	Syao.g_00169	Prbe.g_01522
OG0000118	Syao.g_01475	Prbe.g_00880
OG0000120	Syao.g_02009	Prbe.g_00353
OG0000121	Syao.g_01489	Prbe.g_00309
OG0000122	Syao.g_01247	Prbe.g_01625, Prbe.g_00268
OG0000123	Syao.g_01832	Prbe.g_00829
OG0000124	Syao.g_02179	Prbe.g_00745
OG0000125	Syao.g_02444	Prbe.g_01158
OG0000126	Syao.g_02198	Prbe.g_01060
OG0000128	Syao.g_02149	Prbe.g_01076
OG0000129	Syao.g_02434	Prbe.g_00145
OG0000130	Syao.g_02617	Prbe.g_00174
OG0000131	Syao.g_02480	Prbe.g_01692
OG0000132	Syao.g_02501	Prbe.g_01712
OG0000133	Syao.g_00678	Prbe.g_01875
OG0000134	Syao.g_01719	Prbe.g_01917
OG0000135	Syao.g_00147	Prbe.g_00911
OG0000136	Syao.g_01614, Syao.g_01613	Prbe.g_01939
OG0000137	Syao.g_02682	Prbe.g_00658
OG0000138	Syao.g_00108	Prbe.g_00638
OG0000139	Syao.g_01418, Syao.g_02005	Prbe.g_00598
OG0000140	Syao.g_01373, Syao.g_01372	Prbe.g_00597
OG0000141	Syao.g_01202	Prbe.g_00526
OG0000142	Syao.g_00894	Prbe.g_01485
OG0000143	Syao.g_00898	Prbe.g_01481
OG0000145	Syao.g_00102	Prbe.g_00909
OG0000146	Syao.g_00684, Syao.g_00304	Prbe.g_00488
OG0000147	Syao.g_00305, Syao.g_00685	Prbe.g_00489
OG0000148	Syao.g_00776	Prbe.g_01239
OG0000149	Syao.g_00534	Prbe.g_01271
OG0000150	Syao.g_01203	Prbe.g_01281
OG0000151	Syao.g_00975	Prbe.g_00427
OG0000152	Syao.g_00674	Prbe.g_01350
OG0000153	Syao.g_00818, Syao.g_01176	Prbe.g_01369
OG0000154	Syao.g_00447	Prbe.g_01389
OG0000155	Syao.g_00178	Prbe.g_01528
OG0000156	Syao.g_00151	Prbe.g_00904
OG0000157	Syao.g_00152	Prbe.g_00903
OG0000158	Syao.g_01141, Syao.g_02267	Prbe.g_00792
OG0000159	Syao.g_02006	Prbe.g_00165
OG0000160	Syao.g_01488	Prbe.g_00310
OG0000161	Syao.g_01494	Prbe.g_00304
OG0000162	Syao.g_01515	Prbe.g_00298
OG0000163	Syao.g_01745	Prbe.g_00259
OG0000164	Syao.g_01663	Prbe.g_00961
OG0000165	Syao.g_01655	Prbe.g_00954
OG0000166	Syao.g_01790	Prbe.g_01083
OG0000167	Syao.g_01960	Prbe.g_00802
OG0000168	Syao.g_02128	Prbe.g_00791
OG0000169	Syao.g_02139	Prbe.g_00781
OG0000170	Syao.g_02148	Prbe.g_00778
OG0000171	Syao.g_02181	Prbe.g_00758
OG0000172	Syao.g_02170	Prbe.g_00751
OG0000173	Syao.g_02212	Prbe.g_01143
OG0000174	Syao.g_02364, Syao.g_02355	Prbe.g_01173
OG0000175	Syao.g_02327, Syao.g_00308	Prbe.g_01186
OG0000176	Syao.g_02165	Prbe.g_01069
OG0000177	Syao.g_02156	Prbe.g_01070
OG0000178	Syao.g_02155	Prbe.g_01071
OG0000179	Syao.g_02250	Prbe.g_00116
OG0000180	Syao.g_02249	Prbe.g_00117
OG0000181	Syao.g_02248	Prbe.g_00118
OG0000182	Syao.g_02247	Prbe.g_00119
OG0000183	Syao.g_02243	Prbe.g_00123
OG0000184	Syao.g_02423	Prbe.g_00149
OG0000185	Syao.g_02410	Prbe.g_00152
OG0000186	Syao.g_02613	Prbe.g_00168
OG0000187	Syao.g_02615	Prbe.g_00169
OG0000188	Syao.g_02637	Prbe.g_00186
OG0000189	Syao.g_02672	Prbe.g_01636
OG0000190	Syao.g_01015	Prbe.g_01638
OG0000191	Syao.g_02573	Prbe.g_01661
OG0000192	Syao.g_02579	Prbe.g_01666
OG0000193	Syao.g_02481	Prbe.g_01693
OG0000194	Syao.g_02484	Prbe.g_01696
OG0000195	Syao.g_02486	Prbe.g_01698
OG0000196	Syao.g_02498	Prbe.g_01709
OG0000197	Syao.g_02499	Prbe.g_01710
OG0000198	Syao.g_02500	Prbe.g_01711
OG0000199	Syao.g_02508	Prbe.g_01718
OG0000200	Syao.g_02524	Prbe.g_01732
OG0000201	Syao.g_02540	Prbe.g_01741
OG0000202	Syao.g_02454	Prbe.g_01742
OG0000203	Syao.g_02455	Prbe.g_01743
OG0000204	Syao.g_02456	Prbe.g_01744
OG0000205	Syao.g_02464	Prbe.g_01751
OG0000206	Syao.g_02469	Prbe.g_01756
OG0000207	Syao.g_02471	Prbe.g_01759
OG0000208	Syao.g_02472	Prbe.g_01760
OG0000209	Syao.g_02394	Prbe.g_01769
OG0000210	Syao.g_02395	Prbe.g_01770
OG0000211	Syao.g_01700	Prbe.g_01785
OG0000212	Syao.g_01710	Prbe.g_01793
OG0000213	Syao.g_02098	Prbe.g_01811
OG0000214	Syao.g_02081	Prbe.g_01821
OG0000215	Syao.g_02050	Prbe.g_01848
OG0000216	Syao.g_02045	Prbe.g_01849
OG0000217	Syao.g_02041	Prbe.g_01852
OG0000218	Syao.g_02039	Prbe.g_01854
OG0000219	Syao.g_02038	Prbe.g_01855
OG0000220	Syao.g_02037	Prbe.g_01856
OG0000221	Syao.g_02034	Prbe.g_01857
OG0000222	Syao.g_02023	Prbe.g_01864
OG0000223	Syao.g_00291	Prbe.g_01876
OG0000224	Syao.g_01973	Prbe.g_01878
OG0000225	Syao.g_01751	Prbe.g_01904
OG0000226	Syao.g_01758	Prbe.g_01908
OG0000227	Syao.g_01760	Prbe.g_01910
OG0000228	Syao.g_01715	Prbe.g_01914
OG0000229	Syao.g_01736	Prbe.g_01934
OG0000230	Syao.g_01738	Prbe.g_01936
OG0000231	Syao.g_01513	Prbe.g_01947
OG0000232	Syao.g_00057	Prbe.g_00672
OG0000233	Syao.g_02698	Prbe.g_00666
OG0000234	Syao.g_02680	Prbe.g_00657
OG0000235	Syao.g_00029	Prbe.g_00654
OG0000236	Syao.g_00111	Prbe.g_00640
OG0000237	Syao.g_00166	Prbe.g_00627
OG0000238	Syao.g_00161	Prbe.g_00621
OG0000239	Syao.g_01398	Prbe.g_00610
OG0000240	Syao.g_01399	Prbe.g_00609
OG0000241	Syao.g_00887	Prbe.g_00605
OG0000242	Syao.g_01410	Prbe.g_00603
OG0000243	Syao.g_00873	Prbe.g_00592
OG0000244	Syao.g_00865	Prbe.g_00589
OG0000245	Syao.g_00863	Prbe.g_00587
OG0000246	Syao.g_00859	Prbe.g_00583
OG0000247	Syao.g_00847	Prbe.g_00573
OG0000248	Syao.g_00844	Prbe.g_00570
OG0000249	Syao.g_00842	Prbe.g_00568
OG0000250	Syao.g_00835	Prbe.g_00563
OG0000251	Syao.g_01026	Prbe.g_00543
OG0000252	Syao.g_01020	Prbe.g_00540
OG0000253	Syao.g_01003	Prbe.g_00539
OG0000254	Syao.g_01053	Prbe.g_00522
OG0000255	Syao.g_01009	Prbe.g_00516
OG0000256	Syao.g_01328	Prbe.g_00506
OG0000257	Syao.g_00884	Prbe.g_01490
OG0000258	Syao.g_00907	Prbe.g_01476
OG0000259	Syao.g_00933, Syao.g_00932	Prbe.g_01459
OG0000260	Syao.g_00936	Prbe.g_01456
OG0000261	Syao.g_00941	Prbe.g_01453
OG0000262	Syao.g_00946	Prbe.g_01449
OG0000263	Syao.g_00247	Prbe.g_00455
OG0000264	Syao.g_00699	Prbe.g_00466
OG0000265	Syao.g_00049	Prbe.g_01214
OG0000266	Syao.g_00480	Prbe.g_01430
OG0000267	Syao.g_00589	Prbe.g_01418
OG0000268	Syao.g_00588	Prbe.g_01417
OG0000269	Syao.g_00751	Prbe.g_01217
OG0000270	Syao.g_00754	Prbe.g_01220
OG0000271	Syao.g_00762	Prbe.g_01228
OG0000272	Syao.g_00763	Prbe.g_01229
OG0000273	Syao.g_00791	Prbe.g_01253
OG0000274	Syao.g_00792	Prbe.g_01254
OG0000275	Syao.g_00438	Prbe.g_01257
OG0000276	Syao.g_00558	Prbe.g_01263
OG0000277	Syao.g_00557	Prbe.g_01264
OG0000278	Syao.g_00554	Prbe.g_01267
OG0000279	Syao.g_00529	Prbe.g_01274
OG0000280	Syao.g_00608	Prbe.g_01275
OG0000281	Syao.g_01377	Prbe.g_01282
OG0000282	Syao.g_00967	Prbe.g_00419
OG0000283	Syao.g_00640	Prbe.g_01326
OG0000284	Syao.g_00634	Prbe.g_01331
OG0000285	Syao.g_00706	Prbe.g_01336
OG0000286	Syao.g_00675	Prbe.g_01349
OG0000287	Syao.g_00825	Prbe.g_01615
OG0000288	Syao.g_00446	Prbe.g_01388
OG0000289	Syao.g_00461	Prbe.g_01404
OG0000290	Syao.g_00428	Prbe.g_01300
OG0000291	Syao.g_00333	Prbe.g_01298
OG0000292	Syao.g_02196	Prbe.g_01594
OG0000293	Syao.g_00136	Prbe.g_01559
OG0000294	Syao.g_00135	Prbe.g_01558
OG0000295	Syao.g_00186	Prbe.g_01535
OG0000296	Syao.g_00184	Prbe.g_01533
OG0000297	Syao.g_00171	Prbe.g_01524
OG0000298	Syao.g_00170	Prbe.g_01523
OG0000299	Syao.g_00231	Prbe.g_01504
OG0000300	Syao.g_00274	Prbe.g_01501
OG0000301	Syao.g_00272, Syao.g_00273	Prbe.g_01500
OG0000302	Syao.g_00271	Prbe.g_01498
OG0000303	Syao.g_00262	Prbe.g_01492
OG0000304	Syao.g_00256	Prbe.g_00501
OG0000305	Syao.g_00388	Prbe.g_01592
OG0000306	Syao.g_01216	Prbe.g_01286
OG0000307	Syao.g_00045	Prbe.g_00364
OG0000308	Syao.g_00047	Prbe.g_00363
OG0000309	Syao.g_02705	Prbe.g_00359
OG0000310	Syao.g_01530	Prbe.g_00325
OG0000311	Syao.g_01533	Prbe.g_00323
OG0000312	Syao.g_01538	Prbe.g_00320
OG0000313	Syao.g_01491	Prbe.g_00307
OG0000314	Syao.g_00078	Prbe.g_00284
OG0000315	Syao.g_00088	Prbe.g_00274
OG0000316	Syao.g_01602	Prbe.g_00249
OG0000317	Syao.g_01560	Prbe.g_00988
OG0000318	Syao.g_01553	Prbe.g_00984
OG0000319	Syao.g_01678	Prbe.g_00971
OG0000320	Syao.g_01676	Prbe.g_00969
OG0000321	Syao.g_01675	Prbe.g_00968
OG0000322	Syao.g_01674	Prbe.g_00967
OG0000323	Syao.g_01661	Prbe.g_00958
OG0000324	Syao.g_01630	Prbe.g_00931
OG0000325	Syao.g_01936	Prbe.g_00920
OG0000326	Syao.g_01918	Prbe.g_01109
OG0000327	Syao.g_01795	Prbe.g_01088
OG0000328	Syao.g_01794	Prbe.g_01087
OG0000329	Syao.g_01776	Prbe.g_00860
OG0000330	Syao.g_01775	Prbe.g_00859
OG0000331	Syao.g_01774	Prbe.g_00858
OG0000332	Syao.g_01813	Prbe.g_00844
OG0000333	Syao.g_01810	Prbe.g_00842
OG0000334	Syao.g_01836	Prbe.g_00833
OG0000335	Syao.g_01831	Prbe.g_00828
OG0000336	Syao.g_01827	Prbe.g_00824
OG0000337	Syao.g_01968	Prbe.g_00806
OG0000338	Syao.g_01962	Prbe.g_00805
OG0000339	Syao.g_02259	Prbe.g_00799
OG0000340	Syao.g_02129	Prbe.g_00790
OG0000341	Syao.g_02131	Prbe.g_00788
OG0000342	Syao.g_02132	Prbe.g_00787
OG0000343	Syao.g_02133	Prbe.g_00786
OG0000344	Syao.g_02137	Prbe.g_00783
OG0000345	Syao.g_01953	Prbe.g_00777
OG0000346	Syao.g_01948	Prbe.g_00773
OG0000347	Syao.g_02178	Prbe.g_00746
OG0000348	Syao.g_02166	Prbe.g_00754
OG0000349	Syao.g_02219	Prbe.g_01149
OG0000350	Syao.g_01925	Prbe.g_00709
OG0000351	Syao.g_02331	Prbe.g_01189
OG0000352	Syao.g_02332	Prbe.g_01190
OG0000353	Syao.g_02160	Prbe.g_01064
OG0000355	Syao.g_02162	Prbe.g_01066
OG0000356	Syao.g_02163	Prbe.g_01067
OG0000357	Syao.g_02164	Prbe.g_01068
OG0000358	Syao.g_02154	Prbe.g_01072
OG0000359	Syao.g_02152	Prbe.g_01073
OG0000360	Syao.g_02151	Prbe.g_01074
OG0000361	Syao.g_02150	Prbe.g_01075
OG0000362	Syao.g_01954	Prbe.g_01077
OG0000363	Syao.g_02255	Prbe.g_00114
OG0000364	Syao.g_01558	Prbe.g_00115
OG0000365	Syao.g_02246	Prbe.g_00120
OG0000366	Syao.g_02245	Prbe.g_00121
OG0000367	Syao.g_02244	Prbe.g_00122
OG0000368	Syao.g_02242	Prbe.g_00124
OG0000369	Syao.g_02241	Prbe.g_00125
OG0000370	Syao.g_02240	Prbe.g_00126
OG0000371	Syao.g_02231	Prbe.g_00133
OG0000372	Syao.g_02226	Prbe.g_00136
OG0000373	Syao.g_02225	Prbe.g_00137
OG0000374	Syao.g_02224	Prbe.g_00138
OG0000375	Syao.g_02223	Prbe.g_00140
OG0000376	Syao.g_02221	Prbe.g_00142
OG0000377	Syao.g_02429	Prbe.g_00146
OG0000378	Syao.g_02414	Prbe.g_00150
OG0000379	Syao.g_02409	Prbe.g_00153
OG0000380	Syao.g_02616	Prbe.g_00170
OG0000381	Syao.g_02618	Prbe.g_00175
OG0000382	Syao.g_02636	Prbe.g_00185
OG0000383	Syao.g_02643	Prbe.g_00187
OG0000384	Syao.g_02644	Prbe.g_00188
OG0000385	Syao.g_02645	Prbe.g_00189
OG0000386	Syao.g_02646	Prbe.g_00190
OG0000387	Syao.g_01019	Prbe.g_01640
OG0000388	Syao.g_02596	Prbe.g_01644
OG0000389	Syao.g_02599	Prbe.g_01647
OG0000390	Syao.g_02567	Prbe.g_01657
OG0000391	Syao.g_02572	Prbe.g_01660
OG0000392	Syao.g_02578	Prbe.g_01664
OG0000393	Syao.g_02581	Prbe.g_01667
OG0000394	Syao.g_02582	Prbe.g_01668
OG0000395	Syao.g_02583	Prbe.g_01669
OG0000396	Syao.g_02586	Prbe.g_01671
OG0000397	Syao.g_02542	Prbe.g_01673
OG0000398	Syao.g_02547	Prbe.g_01676
OG0000399	Syao.g_02548	Prbe.g_01677
OG0000400	Syao.g_02549	Prbe.g_01678
OG0000401	Syao.g_02550	Prbe.g_01679
OG0000402	Syao.g_02552	Prbe.g_01412
OG0000403	Syao.g_02553	Prbe.g_01681
OG0000404	Syao.g_02554	Prbe.g_01682
OG0000405	Syao.g_02478	Prbe.g_01686
OG0000406	Syao.g_02482	Prbe.g_01694
OG0000407	Syao.g_02483	Prbe.g_01695
OG0000408	Syao.g_02485	Prbe.g_01697
OG0000409	Syao.g_02487	Prbe.g_01699
OG0000410	Syao.g_02488	Prbe.g_01700
OG0000411	Syao.g_02489	Prbe.g_01701
OG0000412	Syao.g_02490	Prbe.g_01702
OG0000413	Syao.g_02492	Prbe.g_01704
OG0000414	Syao.g_02493	Prbe.g_01705
OG0000415	Syao.g_02494	Prbe.g_01706
OG0000416	Syao.g_02495	Prbe.g_01707
OG0000417	Syao.g_02497	Prbe.g_01708
OG0000418	Syao.g_02502	Prbe.g_01713
OG0000419	Syao.g_02504	Prbe.g_01715
OG0000420	Syao.g_02506	Prbe.g_01716
OG0000421	Syao.g_02510	Prbe.g_01721
OG0000422	Syao.g_02511	Prbe.g_01722
OG0000423	Syao.g_02512	Prbe.g_01723
OG0000424	Syao.g_02513	Prbe.g_01724
OG0000425	Syao.g_02514	Prbe.g_01725
OG0000426	Syao.g_02515	Prbe.g_01726
OG0000427	Syao.g_02516	Prbe.g_01727
OG0000428	Syao.g_02519	Prbe.g_01729
OG0000429	Syao.g_02522	Prbe.g_01730
OG0000430	Syao.g_02523	Prbe.g_01731
OG0000431	Syao.g_02526	Prbe.g_01733
OG0000432	Syao.g_02532	Prbe.g_01737
OG0000433	Syao.g_02534	Prbe.g_01738
OG0000434	Syao.g_02535	Prbe.g_01739
OG0000435	Syao.g_02538	Prbe.g_01740
OG0000436	Syao.g_02458	Prbe.g_01745
OG0000437	Syao.g_02459	Prbe.g_01746
OG0000438	Syao.g_02460	Prbe.g_01747
OG0000439	Syao.g_02462	Prbe.g_01749
OG0000440	Syao.g_02463	Prbe.g_01750
OG0000441	Syao.g_02466	Prbe.g_01753
OG0000442	Syao.g_02467	Prbe.g_01754
OG0000443	Syao.g_02468	Prbe.g_01755
OG0000444	Syao.g_02473	Prbe.g_01761
OG0000445	Syao.g_02474	Prbe.g_01762
OG0000446	Syao.g_02476	Prbe.g_01763
OG0000447	Syao.g_02383	Prbe.g_01764
OG0000448	Syao.g_02384	Prbe.g_01765
OG0000449	Syao.g_02385	Prbe.g_01766
OG0000450	Syao.g_02391	Prbe.g_01767
OG0000451	Syao.g_02392	Prbe.g_01768
OG0000452	Syao.g_02396	Prbe.g_01771
OG0000453	Syao.g_02397	Prbe.g_01772
OG0000454	Syao.g_02398	Prbe.g_01773
OG0000455	Syao.g_02399	Prbe.g_01774
OG0000456	Syao.g_02400	Prbe.g_01775
OG0000457	Syao.g_02402	Prbe.g_01777
OG0000458	Syao.g_02403	Prbe.g_01778
OG0000459	Syao.g_02404	Prbe.g_01779
OG0000460	Syao.g_01702	Prbe.g_01787
OG0000461	Syao.g_02119	Prbe.g_01795
OG0000462	Syao.g_02116	Prbe.g_01797
OG0000463	Syao.g_02115	Prbe.g_01798
OG0000464	Syao.g_02114	Prbe.g_01799
OG0000465	Syao.g_02112	Prbe.g_01800
OG0000466	Syao.g_02107	Prbe.g_01803
OG0000467	Syao.g_02106	Prbe.g_01804
OG0000468	Syao.g_02102	Prbe.g_01807
OG0000469	Syao.g_02087	Prbe.g_01815
OG0000470	Syao.g_02085	Prbe.g_01817
OG0000471	Syao.g_02084	Prbe.g_01818
OG0000472	Syao.g_02082	Prbe.g_01820
OG0000473	Syao.g_02080	Prbe.g_01822
OG0000474	Syao.g_02079	Prbe.g_01823
OG0000475	Syao.g_02078	Prbe.g_01824
OG0000476	Syao.g_02076	Prbe.g_01826
OG0000477	Syao.g_02069	Prbe.g_01829
OG0000478	Syao.g_02068	Prbe.g_01830
OG0000479	Syao.g_02067	Prbe.g_01831
OG0000480	Syao.g_02060	Prbe.g_01836
OG0000481	Syao.g_01012	Prbe.g_01839
OG0000482	Syao.g_02058	Prbe.g_01840
OG0000483	Syao.g_02054	Prbe.g_01843
OG0000484	Syao.g_02053	Prbe.g_01844
OG0000485	Syao.g_02052	Prbe.g_01846
OG0000486	Syao.g_02051	Prbe.g_01847
OG0000487	Syao.g_02044	Prbe.g_01850
OG0000488	Syao.g_02040	Prbe.g_01853
OG0000489	Syao.g_02033	Prbe.g_01858
OG0000490	Syao.g_02025	Prbe.g_01862
OG0000491	Syao.g_02024	Prbe.g_01863
OG0000492	Syao.g_02022	Prbe.g_01865
OG0000493	Syao.g_02021	Prbe.g_01866
OG0000494	Syao.g_02020	Prbe.g_01867
OG0000495	Syao.g_02018	Prbe.g_01868
OG0000496	Syao.g_02017	Prbe.g_01869
OG0000497	Syao.g_02016	Prbe.g_01870
OG0000498	Syao.g_02015	Prbe.g_01871
OG0000499	Syao.g_02014	Prbe.g_01872
OG0000500	Syao.g_02013	Prbe.g_01873
OG0000501	Syao.g_02010	Prbe.g_01874
OG0000502	Syao.g_01974	Prbe.g_01877
OG0000503	Syao.g_01877	Prbe.g_01892
OG0000504	Syao.g_01875	Prbe.g_01894
OG0000505	Syao.g_01874	Prbe.g_01895
OG0000506	Syao.g_01872	Prbe.g_01896
OG0000507	Syao.g_01866	Prbe.g_01899
OG0000508	Syao.g_01750	Prbe.g_01903
OG0000509	Syao.g_01755	Prbe.g_01905
OG0000510	Syao.g_01756	Prbe.g_01906
OG0000511	Syao.g_01757	Prbe.g_01907
OG0000512	Syao.g_01759	Prbe.g_01909
OG0000513	Syao.g_01720	Prbe.g_01918
OG0000514	Syao.g_01727	Prbe.g_01929
OG0000515	Syao.g_01728	Prbe.g_01930
OG0000516	Syao.g_01730	Prbe.g_01931
OG0000517	Syao.g_01735	Prbe.g_01933
OG0000518	Syao.g_01621	Prbe.g_01944
OG0000519	Syao.g_01622	Prbe.g_01945
OG0000520	Syao.g_01512	Prbe.g_01946
OG0000521	Syao.g_00061	Prbe.g_00676
OG0000522	Syao.g_00059	Prbe.g_00674
OG0000523	Syao.g_00058	Prbe.g_00673
OG0000524	Syao.g_02699	Prbe.g_00668
OG0000525	Syao.g_02691	Prbe.g_00664
OG0000526	Syao.g_02688	Prbe.g_00663
OG0000527	Syao.g_02684	Prbe.g_00660
OG0000528	Syao.g_00031	Prbe.g_00655
OG0000529	Syao.g_00027	Prbe.g_00652
OG0000530	Syao.g_00122	Prbe.g_00649
OG0000531	Syao.g_00121	Prbe.g_00648
OG0000532	Syao.g_00118	Prbe.g_00646
OG0000533	Syao.g_00116	Prbe.g_00645
OG0000534	Syao.g_00115	Prbe.g_00644
OG0000535	Syao.g_00114	Prbe.g_00643
OG0000536	Syao.g_00113	Prbe.g_00642
OG0000537	Syao.g_00112	Prbe.g_00641
OG0000538	Syao.g_00100	Prbe.g_00632
OG0000539	Syao.g_00099	Prbe.g_00631
OG0000540	Syao.g_00098	Prbe.g_00630
OG0000541	Syao.g_00097	Prbe.g_00629
OG0000542	Syao.g_00167	Prbe.g_00628
OG0000543	Syao.g_00165	Prbe.g_00626
OG0000544	Syao.g_00164	Prbe.g_00625
OG0000545	Syao.g_00162	Prbe.g_00623
OG0000546	Syao.g_00160	Prbe.g_00620
OG0000547	Syao.g_00158	Prbe.g_00618
OG0000548	Syao.g_00157	Prbe.g_00617
OG0000549	Syao.g_01391	Prbe.g_00615
OG0000550	Syao.g_01396	Prbe.g_00611
OG0000551	Syao.g_01401	Prbe.g_00608
OG0000552	Syao.g_01402	Prbe.g_00607
OG0000553	Syao.g_01404	Prbe.g_00606
OG0000554	Syao.g_01413	Prbe.g_00601
OG0000555	Syao.g_00875	Prbe.g_00593
OG0000556	Syao.g_00871	Prbe.g_00591
OG0000557	Syao.g_00866	Prbe.g_00590
OG0000558	Syao.g_00864	Prbe.g_00588
OG0000559	Syao.g_00860	Prbe.g_00584
OG0000560	Syao.g_00857	Prbe.g_00581
OG0000561	Syao.g_00856	Prbe.g_00580
