Orthogroup	Syao	Pram
OG0000127	Syao.g_01312, Syao.g_02375, Syao.g_01143	Pram.g_00611
OG0000128	Syao.g_02149	Pram.g_01949
OG0000129	Syao.g_02434	Pram.g_00029
OG0000130	Syao.g_02617	Pram.g_00054
OG0000131	Syao.g_02480	Pram.g_00130
OG0000132	Syao.g_02501	Pram.g_00149
OG0000133	Syao.g_00678	Pram.g_00310
OG0000134	Syao.g_01719	Pram.g_00354
OG0000135	Syao.g_00147	Pram.g_01589
OG0000136	Syao.g_01614, Syao.g_01613	Pram.g_00376
OG0000137	Syao.g_02682	Pram.g_00411
OG0000138	Syao.g_00108	Pram.g_00431
OG0000139	Syao.g_01418, Syao.g_02005	Pram.g_00475
OG0000140	Syao.g_01373, Syao.g_01372	Pram.g_00476
OG0000141	Syao.g_01202	Pram.g_00545
OG0000142	Syao.g_00894	Pram.g_01075
OG0000143	Syao.g_00898	Pram.g_01072
OG0000145	Syao.g_00102	Pram.g_01534
OG0000146	Syao.g_00684, Syao.g_00304	Pram.g_00934
OG0000147	Syao.g_00305, Syao.g_00685	Pram.g_00933
OG0000148	Syao.g_00776	Pram.g_00826
OG0000149	Syao.g_00534	Pram.g_00858
OG0000150	Syao.g_01203	Pram.g_00868
OG0000151	Syao.g_00975	Pram.g_00744
OG0000152	Syao.g_00674	Pram.g_00943
OG0000153	Syao.g_00818, Syao.g_01176	Pram.g_00961
OG0000154	Syao.g_00447	Pram.g_00978
OG0000155	Syao.g_00178	Pram.g_01118
OG0000156	Syao.g_00151	Pram.g_01219
OG0000157	Syao.g_00152	Pram.g_01220
OG0000158	Syao.g_01141, Syao.g_02267	Pram.g_01815
OG0000159	Syao.g_02276	Pram.g_01438
OG0000159	Syao.g_02006	Pram.g_00045
OG0000160	Syao.g_01488	Pram.g_01377
OG0000161	Syao.g_01494	Pram.g_01145, Pram.g_01371
OG0000162	Syao.g_01515	Pram.g_01365
OG0000163	Syao.g_01745	Pram.g_01326
OG0000164	Syao.g_01663	Pram.g_01656
OG0000165	Syao.g_01655	Pram.g_01664
OG0000166	Syao.g_01790	Pram.g_01733
OG0000167	Syao.g_01960	Pram.g_01805
OG0000168	Syao.g_02128	Pram.g_01816
OG0000169	Syao.g_02139	Pram.g_01826
OG0000170	Syao.g_02148	Pram.g_01829
OG0000171	Syao.g_02181	Pram.g_01849
OG0000172	Syao.g_02170	Pram.g_01856
OG0000173	Syao.g_02212	Pram.g_01871
OG0000174	Syao.g_02364, Syao.g_02355	Pram.g_01902
OG0000175	Syao.g_02327, Syao.g_00308	Pram.g_01914
OG0000176	Syao.g_02165	Pram.g_01942
OG0000177	Syao.g_02156	Pram.g_01943
OG0000178	Syao.g_02155	Pram.g_01944
OG0000179	Syao.g_02250	Pram.g_00003
OG0000180	Syao.g_02249	Pram.g_00004
OG0000181	Syao.g_02248	Pram.g_00005
OG0000182	Syao.g_02247	Pram.g_00006
OG0000183	Syao.g_02243	Pram.g_00010
OG0000184	Syao.g_02423	Pram.g_00033
OG0000185	Syao.g_02410	Pram.g_00036
OG0000186	Syao.g_02613	Pram.g_00048
OG0000187	Syao.g_02615	Pram.g_00049
OG0000188	Syao.g_02637	Pram.g_00066
OG0000189	Syao.g_02672	Pram.g_00080
OG0000190	Syao.g_01015	Pram.g_00081
OG0000191	Syao.g_02573	Pram.g_00103
OG0000192	Syao.g_02579	Pram.g_00108
OG0000193	Syao.g_02481	Pram.g_00131
OG0000194	Syao.g_02484	Pram.g_00134
OG0000195	Syao.g_02486	Pram.g_00136
OG0000196	Syao.g_02498	Pram.g_00146
OG0000197	Syao.g_02499	Pram.g_00147
OG0000198	Syao.g_02500	Pram.g_00148
OG0000199	Syao.g_02508	Pram.g_00155
OG0000200	Syao.g_02524	Pram.g_00168
OG0000201	Syao.g_02540	Pram.g_00177
OG0000202	Syao.g_02454	Pram.g_00178
OG0000203	Syao.g_02455	Pram.g_00179
OG0000204	Syao.g_02456	Pram.g_00180
OG0000205	Syao.g_02464	Pram.g_00187
OG0000206	Syao.g_02469	Pram.g_00192
OG0000207	Syao.g_02471	Pram.g_00194
OG0000208	Syao.g_02472	Pram.g_00195
OG0000209	Syao.g_02394	Pram.g_00204
OG0000210	Syao.g_02395	Pram.g_00205
OG0000211	Syao.g_01700	Pram.g_00220
OG0000212	Syao.g_01710	Pram.g_00228
OG0000213	Syao.g_02098	Pram.g_00246
OG0000214	Syao.g_02081	Pram.g_00255
OG0000215	Syao.g_02050	Pram.g_00282
OG0000216	Syao.g_02045	Pram.g_00283
OG0000217	Syao.g_02041	Pram.g_00286
OG0000218	Syao.g_02039	Pram.g_00288
OG0000219	Syao.g_02038	Pram.g_00289
OG0000220	Syao.g_02037	Pram.g_00290
OG0000221	Syao.g_02034	Pram.g_00291
OG0000222	Syao.g_02023	Pram.g_00298
OG0000223	Syao.g_00291	Pram.g_00311
OG0000224	Syao.g_01973	Pram.g_00313
OG0000225	Syao.g_01751	Pram.g_00341
OG0000226	Syao.g_01758	Pram.g_00345
OG0000227	Syao.g_01760	Pram.g_00347
OG0000228	Syao.g_01715	Pram.g_00351
OG0000229	Syao.g_01736	Pram.g_00371
OG0000230	Syao.g_01738	Pram.g_00373
OG0000231	Syao.g_01513	Pram.g_00384
OG0000232	Syao.g_00057	Pram.g_00397
OG0000233	Syao.g_02698	Pram.g_00402
OG0000234	Syao.g_02680	Pram.g_00412
OG0000235	Syao.g_00029	Pram.g_00415
OG0000236	Syao.g_00111	Pram.g_00429
OG0000237	Syao.g_00166	Pram.g_00443
OG0000238	Syao.g_00161	Pram.g_00449
OG0000239	Syao.g_01398	Pram.g_00462
OG0000240	Syao.g_01399	Pram.g_00463
OG0000241	Syao.g_00887	Pram.g_00468
OG0000242	Syao.g_01410	Pram.g_00470
OG0000243	Syao.g_00873	Pram.g_00480
OG0000244	Syao.g_00865	Pram.g_00483
OG0000245	Syao.g_00863	Pram.g_00485
OG0000246	Syao.g_00859	Pram.g_00489
OG0000247	Syao.g_00847	Pram.g_00500
OG0000248	Syao.g_00844	Pram.g_00503
OG0000249	Syao.g_00842	Pram.g_00505
OG0000250	Syao.g_00835	Pram.g_00510
OG0000251	Syao.g_01026	Pram.g_00528
OG0000252	Syao.g_01020	Pram.g_00531
OG0000253	Syao.g_01003	Pram.g_00532
OG0000254	Syao.g_01053	Pram.g_00549
OG0000255	Syao.g_01009	Pram.g_00555
OG0000256	Syao.g_01328	Pram.g_00566
OG0000257	Syao.g_00884	Pram.g_01080
OG0000258	Syao.g_00907	Pram.g_01067
OG0000259	Syao.g_00933, Syao.g_00932	Pram.g_01050
OG0000260	Syao.g_00936	Pram.g_01047
OG0000261	Syao.g_00941	Pram.g_01044
OG0000262	Syao.g_00946	Pram.g_01039
OG0000263	Syao.g_00247	Pram.g_00771
OG0000264	Syao.g_00699	Pram.g_00782
OG0000265	Syao.g_00049	Pram.g_00801
OG0000266	Syao.g_00480	Pram.g_01020
OG0000267	Syao.g_00589	Pram.g_01007
OG0000268	Syao.g_00588	Pram.g_01006
OG0000269	Syao.g_00751	Pram.g_00804
OG0000270	Syao.g_00754	Pram.g_00807
OG0000271	Syao.g_00762	Pram.g_00815
OG0000272	Syao.g_00763	Pram.g_00816
OG0000273	Syao.g_00791	Pram.g_00839
OG0000274	Syao.g_00792	Pram.g_00840
OG0000275	Syao.g_00438	Pram.g_00843
OG0000276	Syao.g_00558	Pram.g_00849
OG0000277	Syao.g_00557	Pram.g_00850
OG0000278	Syao.g_00554	Pram.g_00853
OG0000279	Syao.g_00529	Pram.g_00861
OG0000280	Syao.g_00608	Pram.g_00862
OG0000281	Syao.g_01377	Pram.g_00870
OG0000282	Syao.g_00967	Pram.g_00736
OG0000283	Syao.g_00640	Pram.g_00916
OG0000284	Syao.g_00634	Pram.g_00921
OG0000285	Syao.g_00706	Pram.g_00926
OG0000286	Syao.g_00675	Pram.g_00942
OG0000287	Syao.g_00825	Pram.g_01199
OG0000288	Syao.g_00446	Pram.g_00977
OG0000289	Syao.g_00461	Pram.g_00992
OG0000290	Syao.g_00428	Pram.g_00891
OG0000291	Syao.g_00333	Pram.g_00889
OG0000292	Syao.g_02196	Pram.g_01185
OG0000293	Syao.g_00136	Pram.g_01150
OG0000294	Syao.g_00135	Pram.g_01149
OG0000295	Syao.g_00186	Pram.g_01125
OG0000296	Syao.g_00184	Pram.g_01123
OG0000297	Syao.g_00171	Pram.g_01114
OG0000298	Syao.g_00170	Pram.g_01113
OG0000299	Syao.g_00231	Pram.g_01094
OG0000300	Syao.g_00274	Pram.g_01091
OG0000301	Syao.g_00272, Syao.g_00273	Pram.g_01090
OG0000302	Syao.g_00271	Pram.g_01088
OG0000303	Syao.g_00262	Pram.g_01082
OG0000304	Syao.g_00256	Pram.g_00571
OG0000305	Syao.g_00388	Pram.g_01183
OG0000306	Syao.g_01216	Pram.g_00874
OG0000307	Syao.g_00045	Pram.g_01458
OG0000308	Syao.g_00047	Pram.g_01457
OG0000309	Syao.g_02705	Pram.g_01453
OG0000310	Syao.g_01530	Pram.g_01395
OG0000311	Syao.g_01533	Pram.g_01393
OG0000312	Syao.g_01538	Pram.g_01390
OG0000313	Syao.g_01491	Pram.g_01374
OG0000314	Syao.g_00078	Pram.g_01351
OG0000315	Syao.g_00088	Pram.g_01341
OG0000316	Syao.g_01602	Pram.g_01315
OG0000317	Syao.g_01560	Pram.g_01629
OG0000318	Syao.g_01553	Pram.g_01633
OG0000319	Syao.g_01678	Pram.g_01646
OG0000320	Syao.g_01676	Pram.g_01648
OG0000321	Syao.g_01675	Pram.g_01649
OG0000322	Syao.g_01674	Pram.g_01650
OG0000323	Syao.g_01661	Pram.g_01659
OG0000324	Syao.g_01630	Pram.g_01687
OG0000325	Syao.g_01936	Pram.g_01697
OG0000326	Syao.g_01918	Pram.g_01704
OG0000327	Syao.g_01795	Pram.g_01728
OG0000328	Syao.g_01794	Pram.g_01729
OG0000329	Syao.g_01776	Pram.g_01746
OG0000330	Syao.g_01775	Pram.g_01747
OG0000331	Syao.g_01774	Pram.g_01748
OG0000332	Syao.g_01813	Pram.g_01762
OG0000333	Syao.g_01810	Pram.g_01764
OG0000334	Syao.g_01836	Pram.g_01773
OG0000335	Syao.g_01831	Pram.g_01778
OG0000336	Syao.g_01827	Pram.g_01782
OG0000337	Syao.g_01968	Pram.g_01801
OG0000338	Syao.g_01962	Pram.g_01802
OG0000339	Syao.g_02259	Pram.g_01808
OG0000340	Syao.g_02129	Pram.g_01817
OG0000341	Syao.g_02131	Pram.g_01819
OG0000342	Syao.g_02132	Pram.g_01820
OG0000343	Syao.g_02133	Pram.g_01821
OG0000344	Syao.g_02137	Pram.g_01824
OG0000345	Syao.g_01953	Pram.g_01830
OG0000346	Syao.g_01948	Pram.g_01834
OG0000347	Syao.g_02178	Pram.g_01851
OG0000348	Syao.g_02166	Pram.g_01859
OG0000349	Syao.g_02219	Pram.g_01877
OG0000350	Syao.g_01925	Pram.g_01898
OG0000351	Syao.g_02331	Pram.g_01917
OG0000352	Syao.g_02332	Pram.g_01918
OG0000353	Syao.g_02160	Pram.g_01937
OG0000355	Syao.g_02162	Pram.g_01939
OG0000356	Syao.g_02163	Pram.g_01940
OG0000357	Syao.g_02164	Pram.g_01941
OG0000358	Syao.g_02154	Pram.g_01945
OG0000359	Syao.g_02152	Pram.g_01946
OG0000360	Syao.g_02151	Pram.g_01947
OG0000361	Syao.g_02150	Pram.g_01948
OG0000362	Syao.g_01954	Pram.g_01950
OG0000363	Syao.g_02255	Pram.g_00001
OG0000364	Syao.g_01558	Pram.g_00002
OG0000365	Syao.g_02246	Pram.g_00007
OG0000366	Syao.g_02245	Pram.g_00008
OG0000367	Syao.g_02244	Pram.g_00009
OG0000368	Syao.g_02242	Pram.g_00011
OG0000369	Syao.g_02241	Pram.g_00012
OG0000370	Syao.g_02240	Pram.g_00013
OG0000371	Syao.g_02231	Pram.g_00019
OG0000372	Syao.g_02226	Pram.g_00021
OG0000373	Syao.g_02225	Pram.g_00022
OG0000374	Syao.g_02224	Pram.g_00023
OG0000375	Syao.g_02223	Pram.g_00024
OG0000376	Syao.g_02221	Pram.g_00026
OG0000377	Syao.g_02429	Pram.g_00030
OG0000378	Syao.g_02414	Pram.g_00034
OG0000379	Syao.g_02409	Pram.g_00037
OG0000380	Syao.g_02616	Pram.g_00050
OG0000381	Syao.g_02618	Pram.g_00055
OG0000382	Syao.g_02636	Pram.g_00065
OG0000383	Syao.g_02643	Pram.g_00067
OG0000384	Syao.g_02644	Pram.g_00068
OG0000385	Syao.g_02645	Pram.g_00069
OG0000386	Syao.g_02646	Pram.g_00070
OG0000387	Syao.g_01019	Pram.g_00083
OG0000388	Syao.g_02596	Pram.g_00087
OG0000389	Syao.g_02599	Pram.g_00090
OG0000390	Syao.g_02567	Pram.g_00099
OG0000391	Syao.g_02572	Pram.g_00102
OG0000392	Syao.g_02578	Pram.g_00106
OG0000393	Syao.g_02581	Pram.g_00109
OG0000394	Syao.g_02582	Pram.g_00110
OG0000395	Syao.g_02583	Pram.g_00111
OG0000396	Syao.g_02586	Pram.g_00113
OG0000397	Syao.g_02542	Pram.g_00115
OG0000398	Syao.g_02547	Pram.g_00118
OG0000399	Syao.g_02548	Pram.g_00119
OG0000400	Syao.g_02549	Pram.g_00120
OG0000401	Syao.g_02550	Pram.g_00121
OG0000402	Syao.g_02552	Pram.g_01001
OG0000403	Syao.g_02553	Pram.g_00123
OG0000404	Syao.g_02554	Pram.g_00124
OG0000405	Syao.g_02478	Pram.g_00128
OG0000406	Syao.g_02482	Pram.g_00132
OG0000407	Syao.g_02483	Pram.g_00133
OG0000408	Syao.g_02485	Pram.g_00135
OG0000409	Syao.g_02487	Pram.g_00137
OG0000410	Syao.g_02488	Pram.g_00138
OG0000411	Syao.g_02489	Pram.g_00139
OG0000412	Syao.g_02490	Pram.g_00140
OG0000413	Syao.g_02492	Pram.g_00141
OG0000414	Syao.g_02493	Pram.g_00142
OG0000415	Syao.g_02494	Pram.g_00143
OG0000416	Syao.g_02495	Pram.g_00144
OG0000417	Syao.g_02497	Pram.g_00145
OG0000418	Syao.g_02502	Pram.g_00150
OG0000419	Syao.g_02504	Pram.g_00152
OG0000420	Syao.g_02506	Pram.g_00153
OG0000421	Syao.g_02510	Pram.g_00157
OG0000422	Syao.g_02511	Pram.g_00158
OG0000423	Syao.g_02512	Pram.g_00159
OG0000424	Syao.g_02513	Pram.g_00160
OG0000425	Syao.g_02514	Pram.g_00161
OG0000426	Syao.g_02515	Pram.g_00162
OG0000427	Syao.g_02516	Pram.g_00163
OG0000428	Syao.g_02519	Pram.g_00165
OG0000429	Syao.g_02522	Pram.g_00166
OG0000430	Syao.g_02523	Pram.g_00167
OG0000431	Syao.g_02526	Pram.g_00169
OG0000432	Syao.g_02532	Pram.g_00173
OG0000433	Syao.g_02534	Pram.g_00174
OG0000434	Syao.g_02535	Pram.g_00175
OG0000435	Syao.g_02538	Pram.g_00176
OG0000436	Syao.g_02458	Pram.g_00181
OG0000437	Syao.g_02459	Pram.g_00182
OG0000438	Syao.g_02460	Pram.g_00183
OG0000439	Syao.g_02462	Pram.g_00185
OG0000440	Syao.g_02463	Pram.g_00186
OG0000441	Syao.g_02466	Pram.g_00189
OG0000442	Syao.g_02467	Pram.g_00190
OG0000443	Syao.g_02468	Pram.g_00191
OG0000444	Syao.g_02473	Pram.g_00196
OG0000445	Syao.g_02474	Pram.g_00197
OG0000446	Syao.g_02476	Pram.g_00198
OG0000447	Syao.g_02383	Pram.g_00199
OG0000448	Syao.g_02384	Pram.g_00200
OG0000449	Syao.g_02385	Pram.g_00201
OG0000450	Syao.g_02391	Pram.g_00202
OG0000451	Syao.g_02392	Pram.g_00203
OG0000452	Syao.g_02396	Pram.g_00206
OG0000453	Syao.g_02397	Pram.g_00207
OG0000454	Syao.g_02398	Pram.g_00208
OG0000455	Syao.g_02399	Pram.g_00209
OG0000456	Syao.g_02400	Pram.g_00210
OG0000457	Syao.g_02402	Pram.g_00212
OG0000458	Syao.g_02403	Pram.g_00213
OG0000459	Syao.g_02404	Pram.g_00214
OG0000460	Syao.g_01702	Pram.g_00222
OG0000461	Syao.g_02119	Pram.g_00230
OG0000462	Syao.g_02116	Pram.g_00232
OG0000463	Syao.g_02115	Pram.g_00233
OG0000464	Syao.g_02114	Pram.g_00234
OG0000465	Syao.g_02112	Pram.g_00235
OG0000466	Syao.g_02107	Pram.g_00238
OG0000467	Syao.g_02106	Pram.g_00239
OG0000468	Syao.g_02102	Pram.g_00242
OG0000469	Syao.g_02087	Pram.g_00250
OG0000470	Syao.g_02085	Pram.g_00252
OG0000471	Syao.g_02084	Pram.g_00253
OG0000472	Syao.g_02082	Pram.g_00254
OG0000473	Syao.g_02080	Pram.g_00256
OG0000474	Syao.g_02079	Pram.g_00257
OG0000475	Syao.g_02078	Pram.g_00258
OG0000476	Syao.g_02076	Pram.g_00260
OG0000477	Syao.g_02069	Pram.g_00263
OG0000478	Syao.g_02068	Pram.g_00264
OG0000479	Syao.g_02067	Pram.g_00265
OG0000480	Syao.g_02060	Pram.g_00270
OG0000481	Syao.g_01012	Pram.g_00273
OG0000482	Syao.g_02058	Pram.g_00274
OG0000483	Syao.g_02054	Pram.g_00277
OG0000484	Syao.g_02053	Pram.g_00278
OG0000485	Syao.g_02052	Pram.g_00280
OG0000486	Syao.g_02051	Pram.g_00281
OG0000487	Syao.g_02044	Pram.g_00284
OG0000488	Syao.g_02040	Pram.g_00287
OG0000489	Syao.g_02033	Pram.g_00292
OG0000490	Syao.g_02025	Pram.g_00296
OG0000491	Syao.g_02024	Pram.g_00297
OG0000492	Syao.g_02022	Pram.g_00299
OG0000493	Syao.g_02021	Pram.g_00300
OG0000494	Syao.g_02020	Pram.g_00301
OG0000495	Syao.g_02018	Pram.g_00302
OG0000496	Syao.g_02017	Pram.g_00303
OG0000497	Syao.g_02016	Pram.g_00304
OG0000498	Syao.g_02015	Pram.g_00305
OG0000499	Syao.g_02014	Pram.g_00306
OG0000500	Syao.g_02013	Pram.g_00307
OG0000501	Syao.g_02010	Pram.g_00309
OG0000502	Syao.g_01974	Pram.g_00312
OG0000503	Syao.g_01877	Pram.g_00328
OG0000504	Syao.g_01875	Pram.g_00330
OG0000505	Syao.g_01874	Pram.g_00331
OG0000506	Syao.g_01872	Pram.g_00332
OG0000507	Syao.g_01866	Pram.g_00336
OG0000508	Syao.g_01750	Pram.g_00340
OG0000509	Syao.g_01755	Pram.g_00342
OG0000510	Syao.g_01756	Pram.g_00343
OG0000511	Syao.g_01757	Pram.g_00344
OG0000512	Syao.g_01759	Pram.g_00346
OG0000513	Syao.g_01720	Pram.g_00355
OG0000514	Syao.g_01727	Pram.g_00366
OG0000515	Syao.g_01728	Pram.g_00367
OG0000516	Syao.g_01730	Pram.g_00368
OG0000517	Syao.g_01735	Pram.g_00370
OG0000518	Syao.g_01621	Pram.g_00381
OG0000519	Syao.g_01622	Pram.g_00382
OG0000520	Syao.g_01512	Pram.g_00383
OG0000521	Syao.g_00061	Pram.g_00393
OG0000522	Syao.g_00059	Pram.g_00395
OG0000523	Syao.g_00058	Pram.g_00396
OG0000524	Syao.g_02699	Pram.g_00400
OG0000525	Syao.g_02691	Pram.g_00404
OG0000526	Syao.g_02688	Pram.g_00406
OG0000527	Syao.g_02684	Pram.g_00409
OG0000528	Syao.g_00031	Pram.g_00414
OG0000529	Syao.g_00027	Pram.g_00417
OG0000530	Syao.g_00122	Pram.g_00420
OG0000531	Syao.g_00121	Pram.g_00421
OG0000532	Syao.g_00118	Pram.g_00423
OG0000533	Syao.g_00116	Pram.g_00424
OG0000534	Syao.g_00115	Pram.g_00425
OG0000535	Syao.g_00114	Pram.g_00426
OG0000536	Syao.g_00113	Pram.g_00427
OG0000537	Syao.g_00112	Pram.g_00428
OG0000538	Syao.g_00100	Pram.g_00438
OG0000539	Syao.g_00099	Pram.g_00439
OG0000540	Syao.g_00098	Pram.g_00440
OG0000541	Syao.g_00097	Pram.g_00441
OG0000542	Syao.g_00167	Pram.g_00442
OG0000543	Syao.g_00165	Pram.g_00444
OG0000544	Syao.g_00164	Pram.g_00445
OG0000545	Syao.g_00162	Pram.g_00447
OG0000546	Syao.g_00160	Pram.g_00450
OG0000547	Syao.g_00158	Pram.g_00452
OG0000548	Syao.g_00157	Pram.g_00453
OG0000549	Syao.g_01391	Pram.g_00456
OG0000550	Syao.g_01396	Pram.g_00461
OG0000551	Syao.g_01401	Pram.g_00464
OG0000552	Syao.g_01402	Pram.g_00465
OG0000553	Syao.g_01404	Pram.g_00466
OG0000554	Syao.g_01413	Pram.g_00472
OG0000555	Syao.g_00875	Pram.g_00479
OG0000556	Syao.g_00871	Pram.g_00481
OG0000557	Syao.g_00866	Pram.g_00482
OG0000558	Syao.g_00864	Pram.g_00484
OG0000559	Syao.g_00860	Pram.g_00488
OG0000560	Syao.g_00857	Pram.g_00491
OG0000561	Syao.g_00856	Pram.g_00492
OG0000562	Syao.g_00855	Pram.g_00493
OG0000563	Syao.g_00854	Pram.g_00494
OG0000564	Syao.g_00853	Pram.g_00495
OG0000565	Syao.g_00849	Pram.g_00498
OG0000566	Syao.g_00845	Pram.g_00502
OG0000567	Syao.g_00841	Pram.g_00506
OG0000568	Syao.g_00839	Pram.g_00507
OG0000569	Syao.g_00838	Pram.g_00508
OG0000570	Syao.g_00837	Pram.g_00509
OG0000571	Syao.g_00834	Pram.g_00511
OG0000572	Syao.g_01033	Pram.g_00523
OG0000573	Syao.g_01022	Pram.g_00529
OG0000574	Syao.g_01021	Pram.g_00530
OG0000575	Syao.g_01000	Pram.g_00534
OG0000576	Syao.g_00996	Pram.g_00536
OG0000577	Syao.g_00995	Pram.g_00537
OG0000578	Syao.g_00994	Pram.g_00538
OG0000579	Syao.g_00993	Pram.g_00539
OG0000580	Syao.g_00992	Pram.g_00540
OG0000581	Syao.g_01059	Pram.g_00543
OG0000582	Syao.g_01204	Pram.g_00546
OG0000583	Syao.g_01205	Pram.g_00547
OG0000584	Syao.g_01206	Pram.g_00548
OG0000585	Syao.g_01054	Pram.g_00550
OG0000586	Syao.g_01055	Pram.g_00551
OG0000587	Syao.g_01057	Pram.g_00552
