Orthogroup	Syao	Prbg
OG0000153	Syao.g_00818, Syao.g_01176	Prbg.g_01306
OG0000154	Syao.g_00447	Prbg.g_01326
OG0000155	Syao.g_00178	Prbg.g_01465
OG0000156	Syao.g_00151	Prbg.g_00466
OG0000157	Syao.g_00152	Prbg.g_00467
OG0000158	Syao.g_01141, Syao.g_02267	Prbg.g_01829
OG0000159	Syao.g_02006	Prbg.g_00809
OG0000160	Syao.g_01488	Prbg.g_00592
OG0000161	Syao.g_01494	Prbg.g_00598
OG0000162	Syao.g_01515	Prbg.g_00604
OG0000163	Syao.g_01745	Prbg.g_00643
OG0000164	Syao.g_01663	Prbg.g_01674
OG0000165	Syao.g_01655	Prbg.g_01681
OG0000166	Syao.g_01790	Prbg.g_01748
OG0000167	Syao.g_01960	Prbg.g_01819
OG0000168	Syao.g_02128	Prbg.g_01830
OG0000169	Syao.g_02139	Prbg.g_01840
OG0000170	Syao.g_02148	Prbg.g_01843
OG0000171	Syao.g_02181	Prbg.g_01863
OG0000172	Syao.g_02170	Prbg.g_01870
OG0000173	Syao.g_02212	Prbg.g_01885
OG0000174	Syao.g_02364, Syao.g_02355	Prbg.g_01915
OG0000175	Syao.g_02327, Syao.g_00308	Prbg.g_01928
OG0000176	Syao.g_02165	Prbg.g_00771
OG0000177	Syao.g_02156	Prbg.g_00772
OG0000178	Syao.g_02155	Prbg.g_00773
OG0000179	Syao.g_02250	Prbg.g_00858
OG0000180	Syao.g_02249	Prbg.g_00857
OG0000181	Syao.g_02248	Prbg.g_00856
OG0000182	Syao.g_02247	Prbg.g_00855
OG0000183	Syao.g_02243	Prbg.g_00851
OG0000184	Syao.g_02423	Prbg.g_00825
OG0000185	Syao.g_02410	Prbg.g_00822
OG0000186	Syao.g_02613	Prbg.g_00806
OG0000187	Syao.g_02615	Prbg.g_00805
OG0000188	Syao.g_02637	Prbg.g_00788
OG0000189	Syao.g_02672	Prbg.g_00866
OG0000190	Syao.g_01015	Prbg.g_00868
OG0000191	Syao.g_02573	Prbg.g_00891
OG0000192	Syao.g_02579	Prbg.g_00896
OG0000193	Syao.g_02481	Prbg.g_00923
OG0000194	Syao.g_02484	Prbg.g_00926
OG0000195	Syao.g_02486	Prbg.g_00928
OG0000196	Syao.g_02498	Prbg.g_00939
OG0000197	Syao.g_02499	Prbg.g_00940
OG0000198	Syao.g_02500	Prbg.g_00941
OG0000199	Syao.g_02508	Prbg.g_00948
OG0000200	Syao.g_02524	Prbg.g_00962
OG0000201	Syao.g_02540	Prbg.g_00971
OG0000202	Syao.g_02454	Prbg.g_00972
OG0000203	Syao.g_02455	Prbg.g_00973
OG0000204	Syao.g_02456	Prbg.g_00974
OG0000205	Syao.g_02464	Prbg.g_00981
OG0000206	Syao.g_02469	Prbg.g_00986
OG0000207	Syao.g_02471	Prbg.g_00989
OG0000208	Syao.g_02472	Prbg.g_00990
OG0000209	Syao.g_02394	Prbg.g_00999
OG0000210	Syao.g_02395	Prbg.g_01000
OG0000211	Syao.g_01700	Prbg.g_01015
OG0000212	Syao.g_01710	Prbg.g_01023
OG0000213	Syao.g_02098	Prbg.g_01041
OG0000214	Syao.g_02081	Prbg.g_00046
OG0000215	Syao.g_02050	Prbg.g_00073
OG0000216	Syao.g_02045	Prbg.g_00074
OG0000217	Syao.g_02041	Prbg.g_00077
OG0000218	Syao.g_02039	Prbg.g_00079
OG0000219	Syao.g_02038	Prbg.g_00080
OG0000220	Syao.g_02037	Prbg.g_00081
OG0000221	Syao.g_02034	Prbg.g_00082
OG0000222	Syao.g_02023	Prbg.g_00089
OG0000223	Syao.g_00291	Prbg.g_00101
OG0000224	Syao.g_01973	Prbg.g_00103
OG0000225	Syao.g_01751	Prbg.g_00129
OG0000226	Syao.g_01758	Prbg.g_01941
OG0000227	Syao.g_01760	Prbg.g_01943
OG0000228	Syao.g_01715	Prbg.g_00136
OG0000229	Syao.g_01736	Prbg.g_00156
OG0000230	Syao.g_01738	Prbg.g_00158
OG0000231	Syao.g_01513	Prbg.g_00169
OG0000232	Syao.g_00057	Prbg.g_00180
OG0000233	Syao.g_02698	Prbg.g_00186
OG0000234	Syao.g_02680	Prbg.g_00195
OG0000235	Syao.g_00029	Prbg.g_00198
OG0000236	Syao.g_00111	Prbg.g_00212
OG0000237	Syao.g_00166	Prbg.g_00225
OG0000238	Syao.g_00161	Prbg.g_00231
OG0000239	Syao.g_01398	Prbg.g_00242
OG0000240	Syao.g_01399	Prbg.g_00243
OG0000241	Syao.g_00887	Prbg.g_00247
OG0000242	Syao.g_01410	Prbg.g_00249
OG0000243	Syao.g_00873	Prbg.g_00260
OG0000244	Syao.g_00865	Prbg.g_00264
OG0000245	Syao.g_00863	Prbg.g_00266
OG0000246	Syao.g_00859	Prbg.g_00270
OG0000247	Syao.g_00847	Prbg.g_00280
OG0000248	Syao.g_00844	Prbg.g_00283
OG0000249	Syao.g_00842	Prbg.g_00285
OG0000250	Syao.g_00835	Prbg.g_00290
OG0000251	Syao.g_01026	Prbg.g_00310
OG0000252	Syao.g_01020	Prbg.g_00313
OG0000253	Syao.g_01003	Prbg.g_00314
OG0000254	Syao.g_01053	Prbg.g_00331
OG0000255	Syao.g_01009	Prbg.g_00337
OG0000256	Syao.g_01328	Prbg.g_00347
OG0000257	Syao.g_00884	Prbg.g_01427
OG0000258	Syao.g_00907	Prbg.g_01413
OG0000259	Syao.g_00933, Syao.g_00932	Prbg.g_01396
OG0000260	Syao.g_00936	Prbg.g_01393
OG0000261	Syao.g_00941	Prbg.g_01390
OG0000262	Syao.g_00946	Prbg.g_01386
OG0000263	Syao.g_00247	Prbg.g_01122
OG0000264	Syao.g_00699	Prbg.g_01133
OG0000265	Syao.g_00049	Prbg.g_01151
OG0000266	Syao.g_00480	Prbg.g_01367
OG0000267	Syao.g_00589	Prbg.g_01355
OG0000268	Syao.g_00588	Prbg.g_01354
OG0000269	Syao.g_00751	Prbg.g_01154
OG0000270	Syao.g_00754	Prbg.g_01157
OG0000271	Syao.g_00762	Prbg.g_01165
OG0000272	Syao.g_00763	Prbg.g_01166
OG0000273	Syao.g_00791	Prbg.g_01190
OG0000274	Syao.g_00792	Prbg.g_01191
OG0000275	Syao.g_00438	Prbg.g_01194
OG0000276	Syao.g_00558	Prbg.g_01200
OG0000277	Syao.g_00557	Prbg.g_01201
OG0000278	Syao.g_00554	Prbg.g_01204
OG0000279	Syao.g_00529	Prbg.g_01211
OG0000280	Syao.g_00608	Prbg.g_01212
OG0000281	Syao.g_01377	Prbg.g_01219
OG0000282	Syao.g_00967	Prbg.g_01086
OG0000283	Syao.g_00640	Prbg.g_01263
OG0000284	Syao.g_00634	Prbg.g_01268
OG0000285	Syao.g_00706	Prbg.g_01273
OG0000286	Syao.g_00675	Prbg.g_01286
OG0000287	Syao.g_00825	Prbg.g_01552
OG0000288	Syao.g_00446	Prbg.g_01325
OG0000289	Syao.g_00461	Prbg.g_01341
OG0000290	Syao.g_00428	Prbg.g_01237
OG0000291	Syao.g_00333	Prbg.g_01235
OG0000292	Syao.g_02196	Prbg.g_01531
OG0000293	Syao.g_00136	Prbg.g_01496
OG0000294	Syao.g_00135	Prbg.g_01495
OG0000295	Syao.g_00186	Prbg.g_01472
OG0000296	Syao.g_00184	Prbg.g_01470
OG0000297	Syao.g_00171	Prbg.g_01461
OG0000298	Syao.g_00170	Prbg.g_01460
OG0000299	Syao.g_00231	Prbg.g_01441
OG0000300	Syao.g_00274	Prbg.g_01438
OG0000301	Syao.g_00272, Syao.g_00273	Prbg.g_01437
OG0000302	Syao.g_00271	Prbg.g_01435
OG0000303	Syao.g_00262	Prbg.g_01429
OG0000304	Syao.g_00256	Prbg.g_00352
OG0000305	Syao.g_00388	Prbg.g_01529
OG0000306	Syao.g_01216	Prbg.g_01223
OG0000307	Syao.g_00045	Prbg.g_00538
OG0000308	Syao.g_00047	Prbg.g_00539
OG0000309	Syao.g_02705	Prbg.g_00543
OG0000310	Syao.g_01530	Prbg.g_00577
OG0000311	Syao.g_01533	Prbg.g_00579
OG0000312	Syao.g_01538	Prbg.g_00582
OG0000313	Syao.g_01491	Prbg.g_00595
OG0000314	Syao.g_00078	Prbg.g_00618
OG0000315	Syao.g_00088	Prbg.g_00628
OG0000316	Syao.g_01602	Prbg.g_00653
OG0000317	Syao.g_01560	Prbg.g_01647
OG0000318	Syao.g_01553	Prbg.g_01651
OG0000319	Syao.g_01678	Prbg.g_01664
OG0000320	Syao.g_01676	Prbg.g_01666
OG0000321	Syao.g_01675	Prbg.g_01667
OG0000322	Syao.g_01674	Prbg.g_01668
OG0000323	Syao.g_01661	Prbg.g_01677
OG0000324	Syao.g_01630	Prbg.g_01704
OG0000325	Syao.g_01936	Prbg.g_01715
OG0000326	Syao.g_01918	Prbg.g_01722
OG0000327	Syao.g_01795	Prbg.g_01743
OG0000328	Syao.g_01794	Prbg.g_01744
OG0000329	Syao.g_01776	Prbg.g_01761
OG0000330	Syao.g_01775	Prbg.g_01762
OG0000331	Syao.g_01774	Prbg.g_01763
OG0000332	Syao.g_01813	Prbg.g_01777
OG0000333	Syao.g_01810	Prbg.g_01779
OG0000334	Syao.g_01836	Prbg.g_01788
OG0000335	Syao.g_01831	Prbg.g_01793
OG0000336	Syao.g_01827	Prbg.g_01797
OG0000337	Syao.g_01968	Prbg.g_01815
OG0000338	Syao.g_01962	Prbg.g_01816
OG0000339	Syao.g_02259	Prbg.g_01822
OG0000340	Syao.g_02129	Prbg.g_01831
OG0000341	Syao.g_02131	Prbg.g_01833
OG0000342	Syao.g_02132	Prbg.g_01834
OG0000343	Syao.g_02133	Prbg.g_01835
OG0000344	Syao.g_02137	Prbg.g_01838
OG0000345	Syao.g_01953	Prbg.g_01844
OG0000346	Syao.g_01948	Prbg.g_01848
OG0000347	Syao.g_02178	Prbg.g_01865
OG0000348	Syao.g_02166	Prbg.g_01873
OG0000349	Syao.g_02219	Prbg.g_01891
OG0000350	Syao.g_01925	Prbg.g_00419
OG0000351	Syao.g_02331	Prbg.g_01931
OG0000352	Syao.g_02332	Prbg.g_01932
OG0000353	Syao.g_02160	Prbg.g_00766
OG0000355	Syao.g_02162	Prbg.g_00768
OG0000356	Syao.g_02163	Prbg.g_00769
OG0000357	Syao.g_02164	Prbg.g_00770
OG0000358	Syao.g_02154	Prbg.g_00774
OG0000359	Syao.g_02152	Prbg.g_00775
OG0000360	Syao.g_02151	Prbg.g_00776
OG0000361	Syao.g_02150	Prbg.g_00777
OG0000362	Syao.g_01954	Prbg.g_00779
OG0000363	Syao.g_02255	Prbg.g_00860
OG0000364	Syao.g_01558	Prbg.g_00859
OG0000365	Syao.g_02246	Prbg.g_00854
OG0000366	Syao.g_02245	Prbg.g_00853
OG0000367	Syao.g_02244	Prbg.g_00852
OG0000368	Syao.g_02242	Prbg.g_00850
OG0000369	Syao.g_02241	Prbg.g_00849
OG0000370	Syao.g_02240	Prbg.g_00848
OG0000371	Syao.g_02231	Prbg.g_00841
OG0000372	Syao.g_02226	Prbg.g_00838
OG0000373	Syao.g_02225	Prbg.g_00837
OG0000374	Syao.g_02224	Prbg.g_00836
OG0000375	Syao.g_02223	Prbg.g_00834
OG0000376	Syao.g_02221	Prbg.g_00832
OG0000377	Syao.g_02429	Prbg.g_00828
OG0000378	Syao.g_02414	Prbg.g_00824
OG0000379	Syao.g_02409	Prbg.g_00821
OG0000380	Syao.g_02616	Prbg.g_00804
OG0000381	Syao.g_02618	Prbg.g_00799
OG0000382	Syao.g_02636	Prbg.g_00789
OG0000383	Syao.g_02643	Prbg.g_00787
OG0000384	Syao.g_02644	Prbg.g_00786
OG0000385	Syao.g_02645	Prbg.g_00785
OG0000386	Syao.g_02646	Prbg.g_00784
OG0000387	Syao.g_01019	Prbg.g_00870
OG0000388	Syao.g_02596	Prbg.g_00874
OG0000389	Syao.g_02599	Prbg.g_00877
OG0000390	Syao.g_02567	Prbg.g_00887
OG0000391	Syao.g_02572	Prbg.g_00890
OG0000392	Syao.g_02578	Prbg.g_00894
OG0000393	Syao.g_02581	Prbg.g_00897
OG0000394	Syao.g_02582	Prbg.g_00898
OG0000395	Syao.g_02583	Prbg.g_00899
OG0000396	Syao.g_02586	Prbg.g_00901
OG0000397	Syao.g_02542	Prbg.g_00903
OG0000398	Syao.g_02547	Prbg.g_00906
OG0000399	Syao.g_02548	Prbg.g_00907
OG0000400	Syao.g_02549	Prbg.g_00908
OG0000401	Syao.g_02550	Prbg.g_00909
OG0000402	Syao.g_02552	Prbg.g_01349
OG0000403	Syao.g_02553	Prbg.g_00911
OG0000404	Syao.g_02554	Prbg.g_00912
OG0000405	Syao.g_02478	Prbg.g_00916
OG0000406	Syao.g_02482	Prbg.g_00924
OG0000407	Syao.g_02483	Prbg.g_00925
OG0000408	Syao.g_02485	Prbg.g_00927
OG0000409	Syao.g_02487	Prbg.g_00929
OG0000410	Syao.g_02488	Prbg.g_00930
OG0000411	Syao.g_02489	Prbg.g_00931
OG0000412	Syao.g_02490	Prbg.g_00932
OG0000413	Syao.g_02492	Prbg.g_00934
OG0000414	Syao.g_02493	Prbg.g_00935
OG0000415	Syao.g_02494	Prbg.g_00936
OG0000416	Syao.g_02495	Prbg.g_00937
OG0000417	Syao.g_02497	Prbg.g_00938
OG0000418	Syao.g_02502	Prbg.g_00943
OG0000419	Syao.g_02504	Prbg.g_00945
OG0000420	Syao.g_02506	Prbg.g_00946
OG0000421	Syao.g_02510	Prbg.g_00951
OG0000422	Syao.g_02511	Prbg.g_00952
OG0000423	Syao.g_02512	Prbg.g_00953
OG0000424	Syao.g_02513	Prbg.g_00954
OG0000425	Syao.g_02514	Prbg.g_00955
OG0000426	Syao.g_02515	Prbg.g_00956
OG0000427	Syao.g_02516	Prbg.g_00957
OG0000428	Syao.g_02519	Prbg.g_00959
OG0000429	Syao.g_02522	Prbg.g_00960
OG0000430	Syao.g_02523	Prbg.g_00961
OG0000431	Syao.g_02526	Prbg.g_00963
OG0000432	Syao.g_02532	Prbg.g_00967
OG0000433	Syao.g_02534	Prbg.g_00968
OG0000434	Syao.g_02535	Prbg.g_00969
OG0000435	Syao.g_02538	Prbg.g_00970
OG0000436	Syao.g_02458	Prbg.g_00975
OG0000437	Syao.g_02459	Prbg.g_00976
OG0000438	Syao.g_02460	Prbg.g_00977
OG0000439	Syao.g_02462	Prbg.g_00979
OG0000440	Syao.g_02463	Prbg.g_00980
OG0000441	Syao.g_02466	Prbg.g_00983
OG0000442	Syao.g_02467	Prbg.g_00984
OG0000443	Syao.g_02468	Prbg.g_00985
OG0000444	Syao.g_02473	Prbg.g_00991
OG0000445	Syao.g_02474	Prbg.g_00992
OG0000446	Syao.g_02476	Prbg.g_00993
OG0000447	Syao.g_02383	Prbg.g_00994
OG0000448	Syao.g_02384	Prbg.g_00995
OG0000449	Syao.g_02385	Prbg.g_00996
OG0000450	Syao.g_02391	Prbg.g_00997
OG0000451	Syao.g_02392	Prbg.g_00998
OG0000452	Syao.g_02396	Prbg.g_01001
OG0000453	Syao.g_02397	Prbg.g_01002
OG0000454	Syao.g_02398	Prbg.g_01003
OG0000455	Syao.g_02399	Prbg.g_01004
OG0000456	Syao.g_02400	Prbg.g_01005
OG0000457	Syao.g_02402	Prbg.g_01007
OG0000458	Syao.g_02403	Prbg.g_01008
OG0000459	Syao.g_02404	Prbg.g_01009
OG0000460	Syao.g_01702	Prbg.g_01017
OG0000461	Syao.g_02119	Prbg.g_01025
OG0000462	Syao.g_02116	Prbg.g_01027
OG0000463	Syao.g_02115	Prbg.g_01028
OG0000464	Syao.g_02114	Prbg.g_01029
OG0000465	Syao.g_02112	Prbg.g_01030
OG0000466	Syao.g_02107	Prbg.g_01033
OG0000467	Syao.g_02106	Prbg.g_01034
OG0000468	Syao.g_02102	Prbg.g_01037
OG0000469	Syao.g_02087	Prbg.g_01045
OG0000470	Syao.g_02085	Prbg.g_00042
OG0000471	Syao.g_02084	Prbg.g_00043
OG0000472	Syao.g_02082	Prbg.g_00045
OG0000473	Syao.g_02080	Prbg.g_00047
OG0000474	Syao.g_02079	Prbg.g_00048
OG0000475	Syao.g_02078	Prbg.g_00049
OG0000476	Syao.g_02076	Prbg.g_00051
OG0000477	Syao.g_02069	Prbg.g_00054
OG0000478	Syao.g_02068	Prbg.g_00055
OG0000479	Syao.g_02067	Prbg.g_00056
OG0000480	Syao.g_02060	Prbg.g_00061
OG0000481	Syao.g_01012	Prbg.g_00064
OG0000482	Syao.g_02058	Prbg.g_00065
OG0000483	Syao.g_02054	Prbg.g_00068
OG0000484	Syao.g_02053	Prbg.g_00069
OG0000485	Syao.g_02052	Prbg.g_00071
OG0000486	Syao.g_02051	Prbg.g_00072
OG0000487	Syao.g_02044	Prbg.g_00075
OG0000488	Syao.g_02040	Prbg.g_00078
OG0000489	Syao.g_02033	Prbg.g_00083
OG0000490	Syao.g_02025	Prbg.g_00087
OG0000491	Syao.g_02024	Prbg.g_00088
OG0000492	Syao.g_02022	Prbg.g_00090
OG0000493	Syao.g_02021	Prbg.g_00091
OG0000494	Syao.g_02020	Prbg.g_00092
OG0000495	Syao.g_02018	Prbg.g_00093
OG0000496	Syao.g_02017	Prbg.g_00094
OG0000497	Syao.g_02016	Prbg.g_00095
OG0000498	Syao.g_02015	Prbg.g_00096
OG0000499	Syao.g_02014	Prbg.g_00097
OG0000500	Syao.g_02013	Prbg.g_00098
OG0000501	Syao.g_02010	Prbg.g_00099
OG0000502	Syao.g_01974	Prbg.g_00102
OG0000503	Syao.g_01877	Prbg.g_00117
OG0000504	Syao.g_01875	Prbg.g_00119
OG0000505	Syao.g_01874	Prbg.g_00120
OG0000506	Syao.g_01872	Prbg.g_00121
OG0000507	Syao.g_01866	Prbg.g_00124
OG0000508	Syao.g_01750	Prbg.g_00128
OG0000509	Syao.g_01755	Prbg.g_00130
OG0000510	Syao.g_01756	Prbg.g_00131
OG0000511	Syao.g_01757	Prbg.g_00132
OG0000512	Syao.g_01759	Prbg.g_01942
OG0000513	Syao.g_01720	Prbg.g_00140
OG0000514	Syao.g_01727	Prbg.g_00151
OG0000515	Syao.g_01728	Prbg.g_00152
OG0000516	Syao.g_01730	Prbg.g_00153
OG0000517	Syao.g_01735	Prbg.g_00155
OG0000518	Syao.g_01621	Prbg.g_00166
OG0000519	Syao.g_01622	Prbg.g_00167
OG0000520	Syao.g_01512	Prbg.g_00168
OG0000521	Syao.g_00061	Prbg.g_00176
OG0000522	Syao.g_00059	Prbg.g_00178
OG0000523	Syao.g_00058	Prbg.g_00179
OG0000524	Syao.g_02699	Prbg.g_00184
OG0000525	Syao.g_02691	Prbg.g_00188
OG0000526	Syao.g_02688	Prbg.g_00189
OG0000527	Syao.g_02684	Prbg.g_00192
OG0000528	Syao.g_00031	Prbg.g_00197
OG0000529	Syao.g_00027	Prbg.g_00200
OG0000530	Syao.g_00122	Prbg.g_00203
OG0000531	Syao.g_00121	Prbg.g_00204
OG0000532	Syao.g_00118	Prbg.g_00206
OG0000533	Syao.g_00116	Prbg.g_00207
OG0000534	Syao.g_00115	Prbg.g_00208
OG0000535	Syao.g_00114	Prbg.g_00209
OG0000536	Syao.g_00113	Prbg.g_00210
OG0000537	Syao.g_00112	Prbg.g_00211
OG0000538	Syao.g_00100	Prbg.g_00220
OG0000539	Syao.g_00099	Prbg.g_00221
OG0000540	Syao.g_00098	Prbg.g_00222
OG0000541	Syao.g_00097	Prbg.g_00223
OG0000542	Syao.g_00167	Prbg.g_00224
OG0000543	Syao.g_00165	Prbg.g_00226
OG0000544	Syao.g_00164	Prbg.g_00227
OG0000545	Syao.g_00162	Prbg.g_00229
OG0000546	Syao.g_00160	Prbg.g_00232
OG0000547	Syao.g_00158	Prbg.g_00234
OG0000548	Syao.g_00157	Prbg.g_00235
OG0000549	Syao.g_01391	Prbg.g_00237
OG0000550	Syao.g_01396	Prbg.g_00241
OG0000551	Syao.g_01401	Prbg.g_00244
OG0000552	Syao.g_01402	Prbg.g_00245
OG0000553	Syao.g_01404	Prbg.g_00246
OG0000554	Syao.g_01413	Prbg.g_00251
OG0000555	Syao.g_00875	Prbg.g_00259
OG0000556	Syao.g_00871	Prbg.g_00261
OG0000557	Syao.g_00866	Prbg.g_00262
OG0000558	Syao.g_00864	Prbg.g_00265
OG0000559	Syao.g_00860	Prbg.g_00269
OG0000560	Syao.g_00857	Prbg.g_00272
OG0000561	Syao.g_00856	Prbg.g_00273
OG0000562	Syao.g_00855	Prbg.g_00274
