Orthogroup	Pran	Syaa
OG0000058	Pran.g_00807	Syaa.g_00193
OG0000059	Pran.g_01056	Syaa.g_02315
OG0000060	Pran.g_01399	Syaa.g_01007
OG0000061	Pran.g_00060	Syaa.g_00770, Syaa.g_00469
OG0000063	Pran.g_00391	Syaa.g_00042
OG0000065	Pran.g_00326	Syaa.g_02380
OG0000066	Pran.g_01639	Syaa.g_01968
OG0000067	Pran.g_01343	Syaa.g_01154
OG0000068	Pran.g_00841	Syaa.g_02059
OG0000069	Pran.g_00614	Syaa.g_01256
OG0000070	Pran.g_01727	Syaa.g_00718
OG0000071	Pran.g_00938, Pran.g_00876	Syaa.g_00735
OG0000072	Pran.g_00261	Syaa.g_02480
OG0000073	Pran.g_01679	Syaa.g_02030
OG0000074	Pran.g_01496	Syaa.g_00372
OG0000075	Pran.g_01137	Syaa.g_00157
OG0000076	Pran.g_01160	Syaa.g_00123
OG0000077	Pran.g_00354	Syaa.g_00341
OG0000078	Pran.g_00194	Syaa.g_02103
OG0000079	Pran.g_01940	Syaa.g_00303
OG0000080	Pran.g_00796, Pran.g_00794	Syaa.g_00487
OG0000081	Pran.g_01647	Syaa.g_02089
OG0000082	Pran.g_01593	Syaa.g_01905
OG0000084	Pran.g_00737	Syaa.g_01770
OG0000085	Pran.g_00963	Syaa.g_00564
OG0000086	Pran.g_00344	Syaa.g_00324
OG0000087	Pran.g_00295	Syaa.g_02433
OG0000088	Pran.g_00266	Syaa.g_02474
OG0000089	Pran.g_01839	Syaa.g_02149
OG0000090	Pran.g_01645	Syaa.g_01980
OG0000091	Pran.g_01536	Syaa.g_01625
OG0000094	Pran.g_00549	Syaa.g_01288
OG0000097	Pran.g_00019	Syaa.g_00979
OG0000099	Pran.g_00806	Syaa.g_00202
OG0000100	Pran.g_00659	Syaa.g_01201
OG0000101	Pran.g_01105	Syaa.g_02249
OG0000102	Pran.g_01165	Syaa.g_00118
OG0000103	Pran.g_01244	Syaa.g_02740
OG0000104	Pran.g_01253	Syaa.g_02754
OG0000105	Pran.g_01920	Syaa.g_00270
OG0000106	Pran.g_01824	Syaa.g_01439
OG0000107	Pran.g_01808	Syaa.g_02351
OG0000108	Pran.g_01698	Syaa.g_02051
OG0000109	Pran.g_01684	Syaa.g_02036
OG0000110	Pran.g_01603	Syaa.g_01918
OG0000111	Pran.g_01479	Syaa.g_00888
OG0000112	Pran.g_01378	Syaa.g_01366
OG0000113	Pran.g_01321	Syaa.g_01196
OG0000114	Pran.g_00429	Syaa.g_01094
OG0000115	Pran.g_00123	Syaa.g_01795
OG0000116	Pran.g_00070	Syaa.g_00757
OG0000117	Pran.g_01466	Syaa.g_01009
OG0000118	Pran.g_00864	Syaa.g_01874
OG0000119	Pran.g_00845	Syaa.g_00785
OG0000120	Pran.g_00752	Syaa.g_00201
OG0000121	Pran.g_00731	Syaa.g_01777
OG0000122	Pran.g_00693	Syaa.g_01598
OG0000123	Pran.g_01112	Syaa.g_02242
OG0000124	Pran.g_01176	Syaa.g_00092
OG0000125	Pran.g_01212	Syaa.g_02598
OG0000126	Pran.g_01252	Syaa.g_02752
OG0000128	Pran.g_01268	Syaa.g_00012
OG0000129	Pran.g_00381	Syaa.g_02586
OG0000130	Pran.g_00363	Syaa.g_00354
OG0000131	Pran.g_00288	Syaa.g_02448
OG0000132	Pran.g_00268	Syaa.g_02472
OG0000133	Pran.g_01872	Syaa.g_01361
OG0000134	Pran.g_01838	Syaa.g_02146
OG0000135	Pran.g_01812	Syaa.g_02649
OG0000136	Pran.g_01739	Syaa.g_00708
OG0000137	Pran.g_01703	Syaa.g_01842
OG0000138	Pran.g_01683	Syaa.g_02035
OG0000139	Pran.g_01641	Syaa.g_01974
OG0000140	Pran.g_01640	Syaa.g_01971
OG0000141	Pran.g_01571	Syaa.g_01689
OG0000142	Pran.g_01543	Syaa.g_01633
OG0000143	Pran.g_01539	Syaa.g_01629
OG0000144	Pran.g_01526	Syaa.g_01446
OG0000145	Pran.g_01400	Syaa.g_02029
OG0000146	Pran.g_01377	Syaa.g_01367
OG0000147	Pran.g_01376	Syaa.g_01368
OG0000148	Pran.g_01327	Syaa.g_01190
OG0000149	Pran.g_01297	Syaa.g_00826
OG0000150	Pran.g_01289	Syaa.g_01688
OG0000151	Pran.g_00439	Syaa.g_01107
OG0000152	Pran.g_00487	Syaa.g_01357
OG0000153	Pran.g_00506	Syaa.g_01324
OG0000154	Pran.g_00542	Syaa.g_01298
OG0000155	Pran.g_00040	Syaa.g_00804
OG0000156	Pran.g_00887	Syaa.g_00751
OG0000157	Pran.g_00886	Syaa.g_00750
OG0000158	Pran.g_00822	Syaa.g_00148
OG0000160	Pran.g_00732	Syaa.g_01776
OG0000161	Pran.g_00726	Syaa.g_01782
OG0000162	Pran.g_00720	Syaa.g_01788
OG0000163	Pran.g_00686	Syaa.g_00624
OG0000164	Pran.g_00994	Syaa.g_00507
OG0000165	Pran.g_01001	Syaa.g_00681
OG0000166	Pran.g_01069, Pran.g_01068	Syaa.g_02289
OG0000167	Pran.g_01135	Syaa.g_00160
OG0000168	Pran.g_01144	Syaa.g_00145
OG0000169	Pran.g_01154	Syaa.g_00134
OG0000170	Pran.g_01156	Syaa.g_00128
OG0000171	Pran.g_01175	Syaa.g_00093
OG0000172	Pran.g_01184	Syaa.g_00079
OG0000173	Pran.g_01199	Syaa.g_00060
OG0000174	Pran.g_01226	Syaa.g_02651
OG0000175	Pran.g_01236	Syaa.g_02726
OG0000176	Pran.g_01261	Syaa.g_00004
OG0000177	Pran.g_01262	Syaa.g_00005
OG0000178	Pran.g_01263	Syaa.g_00006
OG0000179	Pran.g_00408	Syaa.g_00023
OG0000180	Pran.g_00407	Syaa.g_00024
OG0000181	Pran.g_00406	Syaa.g_00025
OG0000182	Pran.g_00405	Syaa.g_00026
OG0000183	Pran.g_00401	Syaa.g_00030
OG0000184	Pran.g_00379	Syaa.g_02578
OG0000185	Pran.g_00376	Syaa.g_02575
OG0000186	Pran.g_00368	Syaa.g_00359
OG0000187	Pran.g_00367	Syaa.g_00358
OG0000188	Pran.g_00350	Syaa.g_00334
OG0000189	Pran.g_00337	Syaa.g_02367
OG0000190	Pran.g_00336	Syaa.g_02369
OG0000191	Pran.g_00316	Syaa.g_02404
OG0000192	Pran.g_00312	Syaa.g_02410
OG0000193	Pran.g_00287	Syaa.g_02449
OG0000194	Pran.g_00283	Syaa.g_02452
OG0000195	Pran.g_00281	Syaa.g_02459
OG0000196	Pran.g_00271	Syaa.g_02469
OG0000197	Pran.g_00270	Syaa.g_02470
OG0000198	Pran.g_00269	Syaa.g_02471
OG0000199	Pran.g_00262	Syaa.g_02479
OG0000200	Pran.g_00248	Syaa.g_02496
OG0000201	Pran.g_00240	Syaa.g_02521
OG0000202	Pran.g_00239	Syaa.g_02522
OG0000203	Pran.g_00238	Syaa.g_02523
OG0000204	Pran.g_00237	Syaa.g_02524
OG0000205	Pran.g_00230	Syaa.g_02531
OG0000206	Pran.g_00225	Syaa.g_02538
OG0000207	Pran.g_00223	Syaa.g_02540
OG0000208	Pran.g_00222	Syaa.g_02541
OG0000209	Pran.g_00213	Syaa.g_02556
OG0000210	Pran.g_00212	Syaa.g_02557
OG0000212	Pran.g_00193	Syaa.g_02102
OG0000213	Pran.g_01935	Syaa.g_00295
OG0000214	Pran.g_01926	Syaa.g_00279
OG0000215	Pran.g_01902	Syaa.g_00248
OG0000216	Pran.g_01900	Syaa.g_00244
OG0000217	Pran.g_01897	Syaa.g_00240
OG0000218	Pran.g_01895	Syaa.g_00238
OG0000219	Pran.g_01894	Syaa.g_00237
OG0000220	Pran.g_01893	Syaa.g_00236
OG0000221	Pran.g_01892	Syaa.g_00229
OG0000222	Pran.g_01884	Syaa.g_00215
OG0000223	Pran.g_01871	Syaa.g_00192
OG0000224	Pran.g_01869	Syaa.g_00183
OG0000225	Pran.g_01849	Syaa.g_02166
OG0000226	Pran.g_01845	Syaa.g_02162
OG0000227	Pran.g_01843	Syaa.g_02160
OG0000228	Pran.g_01840	Syaa.g_02150
OG0000229	Pran.g_01744	Syaa.g_00703
OG0000230	Pran.g_01742	Syaa.g_00705
OG0000231	Pran.g_01728	Syaa.g_00717
OG0000232	Pran.g_01720	Syaa.g_01858
OG0000233	Pran.g_01715	Syaa.g_01853
OG0000234	Pran.g_01702	Syaa.g_01841
OG0000235	Pran.g_01699	Syaa.g_02052
OG0000236	Pran.g_01685	Syaa.g_02037
OG0000237	Pran.g_01672	Syaa.g_02020
OG0000238	Pran.g_01666	Syaa.g_02015
OG0000239	Pran.g_01653	Syaa.g_01996
OG0000240	Pran.g_01652	Syaa.g_01995
OG0000241	Pran.g_01648	Syaa.g_01644
OG0000242	Pran.g_01646	Syaa.g_01982
OG0000243	Pran.g_01635	Syaa.g_01960
OG0000244	Pran.g_01632	Syaa.g_01954
OG0000245	Pran.g_01630	Syaa.g_01952
OG0000246	Pran.g_01626	Syaa.g_01948
OG0000247	Pran.g_01616	Syaa.g_01937
OG0000248	Pran.g_01613	Syaa.g_01934
OG0000249	Pran.g_01611	Syaa.g_01932
OG0000250	Pran.g_01606	Syaa.g_01922
OG0000251	Pran.g_01587	Syaa.g_01897
OG0000252	Pran.g_01584	Syaa.g_01894
OG0000253	Pran.g_01583	Syaa.g_01893
OG0000254	Pran.g_01567	Syaa.g_01684
OG0000255	Pran.g_01561	Syaa.g_01668
OG0000256	Pran.g_01551	Syaa.g_01651
OG0000257	Pran.g_01548	Syaa.g_01645
OG0000258	Pran.g_01535	Syaa.g_01624
OG0000259	Pran.g_01518	Syaa.g_01063
OG0000260	Pran.g_01515	Syaa.g_01066
OG0000261	Pran.g_01513	Syaa.g_01069
OG0000262	Pran.g_01509	Syaa.g_01074
OG0000263	Pran.g_01497	Syaa.g_00989
OG0000264	Pran.g_01487	Syaa.g_00910
OG0000265	Pran.g_01460	Syaa.g_00931, Syaa.g_01498
OG0000266	Pran.g_01450	Syaa.g_01257, Syaa.g_01258
OG0000267	Pran.g_01439	Syaa.g_01409
OG0000268	Pran.g_01438	Syaa.g_01408
OG0000269	Pran.g_01348	Syaa.g_01149
OG0000270	Pran.g_01345	Syaa.g_01152
OG0000271	Pran.g_01337	Syaa.g_01160
OG0000272	Pran.g_01336	Syaa.g_01161
OG0000273	Pran.g_01313	Syaa.g_00844
OG0000274	Pran.g_01312	Syaa.g_00843
OG0000275	Pran.g_01310	Syaa.g_00840
OG0000276	Pran.g_01305	Syaa.g_00834
OG0000277	Pran.g_01304	Syaa.g_00833
OG0000278	Pran.g_01301	Syaa.g_00830
OG0000279	Pran.g_01294	Syaa.g_00822
OG0000280	Pran.g_01293	Syaa.g_00815
OG0000282	Pran.g_00431	Syaa.g_01096
OG0000283	Pran.g_00464	Syaa.g_01396
OG0000284	Pran.g_00469	Syaa.g_01390
OG0000285	Pran.g_00474	Syaa.g_01377
OG0000286	Pran.g_00486	Syaa.g_01358
OG0000288	Pran.g_00541	Syaa.g_01299
OG0000289	Pran.g_00552	Syaa.g_01285
OG0000290	Pran.g_00565	Syaa.g_00875
OG0000291	Pran.g_00567	Syaa.g_00877
OG0000292	Pran.g_00135	Syaa.g_02751
OG0000293	Pran.g_00069	Syaa.g_00758
OG0000294	Pran.g_00068	Syaa.g_00759
OG0000295	Pran.g_00048	Syaa.g_00796
OG0000296	Pran.g_00046	Syaa.g_00798
OG0000297	Pran.g_00038	Syaa.g_01021
OG0000298	Pran.g_00037	Syaa.g_01010
OG0000299	Pran.g_00020	Syaa.g_00982
OG0000300	Pran.g_00017	Syaa.g_00976
OG0000301	Pran.g_00016	Syaa.g_00975
OG0000302	Pran.g_00014	Syaa.g_00972
OG0000303	Pran.g_00007	Syaa.g_00963
OG0000304	Pran.g_00003	Syaa.g_00957
OG0000305	Pran.g_00848	Syaa.g_00881
OG0000306	Pran.g_00846	Syaa.g_00807
OG0000307	Pran.g_00832	Syaa.g_02068
OG0000308	Pran.g_00831	Syaa.g_02070
OG0000309	Pran.g_00827	Syaa.g_02075
OG0000310	Pran.g_00748	Syaa.g_01752
OG0000311	Pran.g_00746	Syaa.g_01757
OG0000312	Pran.g_00743	Syaa.g_01762
OG0000313	Pran.g_00729	Syaa.g_01779
OG0000314	Pran.g_00706	Syaa.g_01806
OG0000315	Pran.g_00696	Syaa.g_01816
OG0000316	Pran.g_00676	Syaa.g_00598
OG0000317	Pran.g_00968	Syaa.g_00556
OG0000318	Pran.g_00971	Syaa.g_00550
OG0000319	Pran.g_00984	Syaa.g_00532
OG0000320	Pran.g_00986	Syaa.g_00530
OG0000321	Pran.g_00987	Syaa.g_00529
OG0000322	Pran.g_00988	Syaa.g_00528
OG0000323	Pran.g_00997	Syaa.g_00496
OG0000324	Pran.g_01023	Syaa.g_00653
OG0000325	Pran.g_01033	Syaa.g_02350
OG0000326	Pran.g_01039	Syaa.g_02343
OG0000327	Pran.g_01063	Syaa.g_02294
OG0000328	Pran.g_01064	Syaa.g_02293
OG0000329	Pran.g_01082	Syaa.g_02275
OG0000330	Pran.g_01083	Syaa.g_02274
OG0000331	Pran.g_01084	Syaa.g_02273
OG0000332	Pran.g_01098	Syaa.g_02258
OG0000333	Pran.g_01100	Syaa.g_02255
OG0000334	Pran.g_01108	Syaa.g_02246
OG0000335	Pran.g_01113	Syaa.g_02241
OG0000336	Pran.g_01117	Syaa.g_02237
OG0000337	Pran.g_01133	Syaa.g_00167
OG0000338	Pran.g_01134	Syaa.g_00162
OG0000339	Pran.g_01138	Syaa.g_00156
OG0000340	Pran.g_01145	Syaa.g_00144
OG0000341	Pran.g_01147	Syaa.g_00142
OG0000342	Pran.g_01148	Syaa.g_00141
OG0000343	Pran.g_01149	Syaa.g_00140
OG0000344	Pran.g_01152	Syaa.g_00136
OG0000345	Pran.g_01157	Syaa.g_00127
OG0000346	Pran.g_01161	Syaa.g_00122
OG0000347	Pran.g_01177	Syaa.g_00088
OG0000348	Pran.g_01187	Syaa.g_00071
OG0000349	Pran.g_01203	Syaa.g_00053
OG0000350	Pran.g_01222	Syaa.g_02336
OG0000351	Pran.g_01239	Syaa.g_02730
OG0000352	Pran.g_01240	Syaa.g_02731
OG0000353	Pran.g_01256	Syaa.g_02757
OG0000355	Pran.g_01258	Syaa.g_00001
OG0000356	Pran.g_01259	Syaa.g_00002
OG0000357	Pran.g_01260	Syaa.g_00003
OG0000358	Pran.g_01264	Syaa.g_00007
OG0000359	Pran.g_01265	Syaa.g_00009
OG0000360	Pran.g_01266	Syaa.g_00010
OG0000361	Pran.g_01267	Syaa.g_00011
OG0000362	Pran.g_01269	Syaa.g_00013
OG0000363	Pran.g_00410	Syaa.g_00015
OG0000364	Pran.g_00409	Syaa.g_00016
OG0000365	Pran.g_00404	Syaa.g_00027
OG0000366	Pran.g_00403	Syaa.g_00028
OG0000367	Pran.g_00402	Syaa.g_00029
OG0000368	Pran.g_00400	Syaa.g_00031
OG0000369	Pran.g_00399	Syaa.g_00032
OG0000370	Pran.g_00398	Syaa.g_00033
OG0000371	Pran.g_00392	Syaa.g_00041
OG0000372	Pran.g_00389	Syaa.g_00046
OG0000373	Pran.g_00388	Syaa.g_00047
OG0000374	Pran.g_00387	Syaa.g_00048
OG0000375	Pran.g_00385	Syaa.g_00049
OG0000376	Pran.g_00383	Syaa.g_00051
OG0000377	Pran.g_00380	Syaa.g_02585
OG0000378	Pran.g_00378	Syaa.g_02577
OG0000379	Pran.g_00375	Syaa.g_02574
OG0000380	Pran.g_00366	Syaa.g_00357
OG0000381	Pran.g_00362	Syaa.g_00353
OG0000382	Pran.g_00351	Syaa.g_00335
OG0000383	Pran.g_00349	Syaa.g_00333
OG0000384	Pran.g_00348	Syaa.g_00332
OG0000385	Pran.g_00347	Syaa.g_00331
OG0000386	Pran.g_00346	Syaa.g_00330
OG0000387	Pran.g_00334	Syaa.g_02371
OG0000388	Pran.g_00331	Syaa.g_02375
OG0000389	Pran.g_00327	Syaa.g_02379
OG0000390	Pran.g_00320	Syaa.g_02398
OG0000391	Pran.g_00317	Syaa.g_02403
OG0000392	Pran.g_00313	Syaa.g_02409
OG0000393	Pran.g_00311	Syaa.g_02412
OG0000394	Pran.g_00310	Syaa.g_02413
OG0000395	Pran.g_00309	Syaa.g_02414
OG0000396	Pran.g_00307	Syaa.g_02417
OG0000397	Pran.g_00305	Syaa.g_02419
OG0000398	Pran.g_00303	Syaa.g_02424
OG0000399	Pran.g_00302	Syaa.g_02425
OG0000400	Pran.g_00301	Syaa.g_02426
OG0000401	Pran.g_00300	Syaa.g_02427
OG0000402	Pran.g_00298	Syaa.g_02429
OG0000403	Pran.g_00297	Syaa.g_02430
OG0000404	Pran.g_00296	Syaa.g_02431
OG0000405	Pran.g_00292	Syaa.g_02446
OG0000406	Pran.g_00286	Syaa.g_02450
OG0000407	Pran.g_00285	Syaa.g_02451
OG0000408	Pran.g_00282	Syaa.g_02458
OG0000409	Pran.g_00280	Syaa.g_02460
OG0000410	Pran.g_00279	Syaa.g_02461
OG0000411	Pran.g_00278	Syaa.g_02462
OG0000412	Pran.g_00277	Syaa.g_02463
OG0000413	Pran.g_00276	Syaa.g_02465
OG0000415	Pran.g_00274	Syaa.g_02466
OG0000416	Pran.g_00273	Syaa.g_02467
OG0000417	Pran.g_00272	Syaa.g_02468
OG0000418	Pran.g_00267	Syaa.g_02473
OG0000419	Pran.g_00265	Syaa.g_02475
OG0000420	Pran.g_00264	Syaa.g_02477
OG0000421	Pran.g_00259	Syaa.g_02482
OG0000422	Pran.g_00258	Syaa.g_02483
OG0000423	Pran.g_00257	Syaa.g_02484
OG0000424	Pran.g_00256	Syaa.g_02485
OG0000425	Pran.g_00255	Syaa.g_02486
OG0000426	Pran.g_00254	Syaa.g_02487
OG0000427	Pran.g_00253	Syaa.g_02488
OG0000428	Pran.g_00251	Syaa.g_02491
OG0000429	Pran.g_00250	Syaa.g_02493
OG0000430	Pran.g_00249	Syaa.g_02495
OG0000431	Pran.g_00247	Syaa.g_02498
OG0000432	Pran.g_00244	Syaa.g_02504
OG0000433	Pran.g_00243	Syaa.g_02513
OG0000434	Pran.g_00242	Syaa.g_02514
OG0000435	Pran.g_00241	Syaa.g_02516
OG0000436	Pran.g_00236	Syaa.g_02525
OG0000437	Pran.g_00235	Syaa.g_02526
OG0000438	Pran.g_00234	Syaa.g_02527
OG0000439	Pran.g_00232	Syaa.g_02529
OG0000440	Pran.g_00231	Syaa.g_02530
OG0000441	Pran.g_00228	Syaa.g_02534
OG0000442	Pran.g_00227	Syaa.g_02535
OG0000443	Pran.g_00226	Syaa.g_02536
OG0000444	Pran.g_00221	Syaa.g_02542
OG0000445	Pran.g_00220	Syaa.g_02543
OG0000446	Pran.g_00219	Syaa.g_02545
OG0000447	Pran.g_00218	Syaa.g_02548
OG0000448	Pran.g_00217	Syaa.g_02549
OG0000449	Pran.g_00216	Syaa.g_02550
OG0000450	Pran.g_00215	Syaa.g_02553
OG0000451	Pran.g_00214	Syaa.g_02554
OG0000452	Pran.g_00211	Syaa.g_02558
OG0000453	Pran.g_00210	Syaa.g_02559
OG0000454	Pran.g_00209	Syaa.g_02560
OG0000455	Pran.g_00208	Syaa.g_02561
OG0000456	Pran.g_00207	Syaa.g_02562
OG0000457	Pran.g_00206	Syaa.g_02564
OG0000458	Pran.g_00205	Syaa.g_02565
OG0000459	Pran.g_00204	Syaa.g_02566
OG0000460	Pran.g_00197	Syaa.g_02111
OG0000461	Pran.g_01950	Syaa.g_00318
OG0000462	Pran.g_01948	Syaa.g_00315
OG0000463	Pran.g_01947	Syaa.g_00314
OG0000464	Pran.g_01946	Syaa.g_00313
OG0000465	Pran.g_01945	Syaa.g_00311
OG0000466	Pran.g_01942	Syaa.g_00306
OG0000467	Pran.g_01941	Syaa.g_00304
OG0000468	Pran.g_01939	Syaa.g_00299
OG0000469	Pran.g_01931	Syaa.g_00285
OG0000470	Pran.g_01929	Syaa.g_00283
OG0000471	Pran.g_01928	Syaa.g_00282
OG0000472	Pran.g_01927	Syaa.g_00280
OG0000473	Pran.g_01925	Syaa.g_00278
OG0000474	Pran.g_01924	Syaa.g_00277
OG0000475	Pran.g_01923	Syaa.g_00276
OG0000476	Pran.g_01922	Syaa.g_00274
OG0000477	Pran.g_01919	Syaa.g_00268
OG0000478	Pran.g_01918	Syaa.g_00267
OG0000479	Pran.g_01917	Syaa.g_00266
OG0000480	Pran.g_01912	Syaa.g_00259
OG0000481	Pran.g_01910	Syaa.g_00257
OG0000482	Pran.g_01909	Syaa.g_00256
OG0000483	Pran.g_01906	Syaa.g_00252
OG0000484	Pran.g_01905	Syaa.g_00251
OG0000485	Pran.g_01904	Syaa.g_00250
OG0000486	Pran.g_01903	Syaa.g_00249
OG0000487	Pran.g_01899	Syaa.g_00243
OG0000488	Pran.g_01896	Syaa.g_00239
OG0000489	Pran.g_01891	Syaa.g_00228
OG0000490	Pran.g_01886	Syaa.g_00220
OG0000491	Pran.g_01885	Syaa.g_00218
OG0000492	Pran.g_01883	Syaa.g_00214
OG0000493	Pran.g_01882	Syaa.g_00213
OG0000494	Pran.g_01881	Syaa.g_00212
OG0000495	Pran.g_01880	Syaa.g_00211
OG0000496	Pran.g_01879	Syaa.g_00210
OG0000497	Pran.g_01878	Syaa.g_00209
OG0000498	Pran.g_01877	Syaa.g_00208
OG0000499	Pran.g_01876	Syaa.g_00207
OG0000500	Pran.g_01875	Syaa.g_00206
OG0000501	Pran.g_01873	Syaa.g_00203
OG0000502	Pran.g_01870	Syaa.g_00190
OG0000503	Pran.g_01860	Syaa.g_02182
OG0000504	Pran.g_01859	Syaa.g_02180
OG0000505	Pran.g_01858	Syaa.g_02179
OG0000506	Pran.g_01857	Syaa.g_02177
OG0000507	Pran.g_01854	Syaa.g_02171
OG0000508	Pran.g_01850	Syaa.g_02167
OG0000509	Pran.g_01848	Syaa.g_02165
OG0000510	Pran.g_01847	Syaa.g_02164
OG0000511	Pran.g_01846	Syaa.g_02163
OG0000512	Pran.g_01844	Syaa.g_02161
OG0000513	Pran.g_01837	Syaa.g_02145
OG0000514	Pran.g_01749	Syaa.g_02118
OG0000515	Pran.g_01748	Syaa.g_02117
OG0000516	Pran.g_01747	Syaa.g_00698
OG0000517	Pran.g_01745	Syaa.g_00702
OG0000518	Pran.g_01734	Syaa.g_00714
OG0000519	Pran.g_01733	Syaa.g_00715
OG0000520	Pran.g_01729	Syaa.g_00716
OG0000521	Pran.g_01724	Syaa.g_01864
OG0000522	Pran.g_01723	Syaa.g_01862
OG0000523	Pran.g_01722	Syaa.g_01859
OG0000524	Pran.g_01717	Syaa.g_01856
OG0000525	Pran.g_01714	Syaa.g_01851
OG0000526	Pran.g_01713	Syaa.g_01848
OG0000527	Pran.g_01705	Syaa.g_01844
OG0000528	Pran.g_01700	Syaa.g_02054
OG0000529	Pran.g_01697	Syaa.g_02050
OG0000530	Pran.g_01694	Syaa.g_02047
OG0000531	Pran.g_01693	Syaa.g_02046
OG0000532	Pran.g_01691	Syaa.g_02043
OG0000533	Pran.g_01690	Syaa.g_02042
OG0000534	Pran.g_01689	Syaa.g_02041
OG0000535	Pran.g_01688	Syaa.g_02040
OG0000536	Pran.g_01687	Syaa.g_02039
OG0000537	Pran.g_01686	Syaa.g_02038
OG0000538	Pran.g_01678	Syaa.g_02027
OG0000539	Pran.g_01677	Syaa.g_02026
OG0000540	Pran.g_01676	Syaa.g_02025
OG0000541	Pran.g_01675	Syaa.g_02024
OG0000542	Pran.g_01673	Syaa.g_02021
OG0000543	Pran.g_01671	Syaa.g_02019
OG0000544	Pran.g_01670	Syaa.g_02018
OG0000545	Pran.g_01668	Syaa.g_02016
OG0000546	Pran.g_01665	Syaa.g_02014
OG0000547	Pran.g_01663	Syaa.g_02012
OG0000548	Pran.g_01662	Syaa.g_02011
OG0000549	Pran.g_01660	Syaa.g_02003
OG0000550	Pran.g_01655	Syaa.g_01998
OG0000551	Pran.g_01651	Syaa.g_01993
OG0000552	Pran.g_01650	Syaa.g_01992
OG0000553	Pran.g_01649	Syaa.g_01990
OG0000554	Pran.g_01644	Syaa.g_01979
OG0000555	Pran.g_01636	Syaa.g_01961
OG0000556	Pran.g_01634	Syaa.g_01957
OG0000557	Pran.g_01633	Syaa.g_01955
OG0000558	Pran.g_01631	Syaa.g_01953
OG0000559	Pran.g_01627	Syaa.g_01949
OG0000560	Pran.g_01624	Syaa.g_01946
OG0000561	Pran.g_01623	Syaa.g_01945
OG0000562	Pran.g_01622	Syaa.g_01944
OG0000563	Pran.g_01621	Syaa.g_01943
OG0000564	Pran.g_01620	Syaa.g_01942
OG0000565	Pran.g_01617	Syaa.g_01939
OG0000566	Pran.g_01614	Syaa.g_01935
OG0000567	Pran.g_01610	Syaa.g_01931
OG0000568	Pran.g_01609	Syaa.g_01928
OG0000569	Pran.g_01608	Syaa.g_01925
OG0000570	Pran.g_01607	Syaa.g_01924
OG0000571	Pran.g_01605	Syaa.g_01920
