Orthogroup	Syas	Pray
OG0000058	Syas.g_01151	Pray.g_01786
OG0000059	Syas.g_01639	Pray.g_01258
OG0000061	Syas.g_01184	Pray.g_00064
OG0000062	Syas.g_02702	Pray.g_01644
OG0000063	Syas.g_02074	Pray.g_01495
OG0000065	Syas.g_02420	Pray.g_00182
OG0000066	Syas.g_00094	Pray.g_01222
OG0000067	Syas.g_00596, Syas.g_00352, Syas.g_02346	Pray.g_00348
OG0000068	Syas.g_00969, Syas.g_01261	Pray.g_01829
OG0000069	Syas.g_00779, Syas.g_00876	Pray.g_01609
OG0000070	Syas.g_00173	Pray.g_00940
OG0000071	Syas.g_02854	Pray.g_01870
OG0000072	Syas.g_02326, Syas.g_01524	Pray.g_00652
OG0000073	Syas.g_00358, Syas.g_00264, Syas.g_01230	Pray.g_00990
OG0000075	Syas.g_01921, Syas.g_02194	Pray.g_01339
OG0000076	Syas.g_02156	Pray.g_01364
OG0000077	Syas.g_02510	Pray.g_00211
OG0000078	Syas.g_02561, Syas.g_02308	Pray.g_00720
OG0000079	Syas.g_01699	Pray.g_00733
OG0000081	Syas.g_00391	Pray.g_01022
OG0000082	Syas.g_00837	Pray.g_01177
OG0000085	Syas.g_02695	Pray.g_01566
OG0000086	Syas.g_02470	Pray.g_00201
OG0000087	Syas.g_02374	Pray.g_00150
OG0000089	Syas.g_01512	Pray.g_00834
OG0000090	Syas.g_00062	Pray.g_01024, Pray.g_01228
OG0000091	Syas.g_00907, Syas.g_00146	Pray.g_01121
OG0000092	Syas.g_00900, Syas.g_00877	Pray.g_01325
OG0000094	Syas.g_00208, Syas.g_01716	Pray.g_00565
OG0000095	Syas.g_01021	Pray.g_00584
OG0000097	Syas.g_00114, Syas.g_01443	Pray.g_00022
OG0000098	Syas.g_00091	Pray.g_01847
OG0000099	Syas.g_01826	Pray.g_01788
OG0000100	Syas.g_00567	Pray.g_01648
OG0000101	Syas.g_01589	Pray.g_01306
OG0000102	Syas.g_02152, Syas.g_01395	Pray.g_01369
OG0000103	Syas.g_02009	Pray.g_01449
OG0000104	Syas.g_02027, Syas.g_02026	Pray.g_01457
OG0000105	Syas.g_01739	Pray.g_00753
OG0000106	Syas.g_01451	Pray.g_00848
OG0000107	Syas.g_01669	Pray.g_00864
OG0000108	Syas.g_01253	Pray.g_00970
OG0000109	Syas.g_01236	Pray.g_00984
OG0000110	Syas.g_00359, Syas.g_00818	Pray.g_01187
OG0000111	Syas.g_01037	Pray.g_01064
OG0000112	Syas.g_00452	Pray.g_00313
OG0000113	Syas.g_00571	Pray.g_00370
OG0000114	Syas.g_00252, Syas.g_00674	Pray.g_00452
OG0000115	Syas.g_02548, Syas.g_01285	Pray.g_00126
OG0000116	Syas.g_01198, Syas.g_00317	Pray.g_00074
OG0000117	Syas.g_01122	Pray.g_01927
OG0000118	Syas.g_02835	Pray.g_01858
OG0000120	Syas.g_01828	Pray.g_01808
OG0000121	Syas.g_02821	Pray.g_01720
OG0000122	Syas.g_00393	Pray.g_01682
OG0000123	Syas.g_01582	Pray.g_01313
OG0000124	Syas.g_02137	Pray.g_01380
OG0000125	Syas.g_01889	Pray.g_01417
OG0000126	Syas.g_01992	Pray.g_01456
OG0000128	Syas.g_02046	Pray.g_01473
OG0000129	Syas.g_01880	Pray.g_00239
OG0000130	Syas.g_02522	Pray.g_00220
OG0000131	Syas.g_02367	Pray.g_00144
OG0000132	Syas.g_02334	Pray.g_00645
OG0000133	Syas.g_00457	Pray.g_00800
OG0000134	Syas.g_01509	Pray.g_00835
OG0000135	Syas.g_01938	Pray.g_00861
OG0000136	Syas.g_02740	Pray.g_00931
OG0000137	Syas.g_01333	Pray.g_00965
OG0000138	Syas.g_01235	Pray.g_00985
OG0000139	Syas.g_00069	Pray.g_01224
OG0000140	Syas.g_00090	Pray.g_01223
OG0000141	Syas.g_00875	Pray.g_01156
OG0000142	Syas.g_00746	Pray.g_01128
OG0000143	Syas.g_00742	Pray.g_01124
OG0000144	Syas.g_00718	Pray.g_01111
OG0000145	Syas.g_00948	Pray.g_00306
OG0000146	Syas.g_00451	Pray.g_00314
OG0000147	Syas.g_00450	Pray.g_00315
OG0000148	Syas.g_00577	Pray.g_00364
OG0000149	Syas.g_00282	Pray.g_00395
OG0000150	Syas.g_00874	Pray.g_00403
OG0000151	Syas.g_00148, Syas.g_00659	Pray.g_00462
OG0000152	Syas.g_00461	Pray.g_00511
OG0000153	Syas.g_00543	Pray.g_00530
OG0000154	Syas.g_00219	Pray.g_00558
OG0000155	Syas.g_01131	Pray.g_00043
OG0000156	Syas.g_01206	Pray.g_01881
OG0000157	Syas.g_01207	Pray.g_01880
OG0000158	Syas.g_02185	Pray.g_01787
OG0000160	Syas.g_02820	Pray.g_01721
OG0000161	Syas.g_02826	Pray.g_01715
OG0000162	Syas.g_02751	Pray.g_01709
OG0000163	Syas.g_01488	Pray.g_01675
OG0000164	Syas.g_02648	Pray.g_01535
OG0000165	Syas.g_02609	Pray.g_01528
OG0000166	Syas.g_01629	Pray.g_01270
OG0000167	Syas.g_01449	Pray.g_01337
OG0000168	Syas.g_02184	Pray.g_01347
OG0000169	Syas.g_02170	Pray.g_01357
OG0000170	Syas.g_02161	Pray.g_01359
OG0000171	Syas.g_02139	Pray.g_01379
OG0000172	Syas.g_02110	Pray.g_01388
OG0000173	Syas.g_02092	Pray.g_01403
OG0000174	Syas.g_01940	Pray.g_01431
OG0000175	Syas.g_01994	Pray.g_01441
OG0000176	Syas.g_02038	Pray.g_01465, Pray.g_01466
OG0000177	Syas.g_02039	Pray.g_01467
OG0000178	Syas.g_02040	Pray.g_01468
OG0000179	Syas.g_02054	Pray.g_01478
OG0000180	Syas.g_02055	Pray.g_01479
OG0000181	Syas.g_02056	Pray.g_01480
OG0000182	Syas.g_02057	Pray.g_01481
OG0000183	Syas.g_02061	Pray.g_01485
OG0000184	Syas.g_01872	Pray.g_00237
OG0000185	Syas.g_01861	Pray.g_00234
OG0000186	Syas.g_02525	Pray.g_00225
OG0000187	Syas.g_02524	Pray.g_00224
OG0000188	Syas.g_02502	Pray.g_00207
OG0000189	Syas.g_02432	Pray.g_00193
OG0000190	Syas.g_00133	Pray.g_00192
OG0000191	Syas.g_02400	Pray.g_00172
OG0000192	Syas.g_02395	Pray.g_00168
OG0000193	Syas.g_02366	Pray.g_00143
OG0000194	Syas.g_02363	Pray.g_00140
OG0000195	Syas.g_02360	Pray.g_00138
OG0000196	Syas.g_02337	Pray.g_00642
OG0000197	Syas.g_02336	Pray.g_00643
OG0000198	Syas.g_02335	Pray.g_00644
OG0000199	Syas.g_02327	Pray.g_00651
OG0000200	Syas.g_02298	Pray.g_00665
OG0000201	Syas.g_02279	Pray.g_00673
OG0000202	Syas.g_02278	Pray.g_00674
OG0000203	Syas.g_02277	Pray.g_00675
OG0000204	Syas.g_02276	Pray.g_00676
OG0000205	Syas.g_02267	Pray.g_00683
OG0000206	Syas.g_02240	Pray.g_00688
OG0000207	Syas.g_02237	Pray.g_00690
OG0000208	Syas.g_02236	Pray.g_00691
OG0000209	Syas.g_01837	Pray.g_00700
OG0000210	Syas.g_01838	Pray.g_00701
OG0000211	Syas.g_02552	Pray.g_00714
OG0000212	Syas.g_02562	Pray.g_00721
OG0000213	Syas.g_01707	Pray.g_00738
OG0000214	Syas.g_01730	Pray.g_00747
OG0000215	Syas.g_01766	Pray.g_00771
OG0000216	Syas.g_01770	Pray.g_00772
OG0000217	Syas.g_01778	Pray.g_00775
OG0000218	Syas.g_01780	Pray.g_00777
OG0000219	Syas.g_01783	Pray.g_00778
OG0000220	Syas.g_01784	Pray.g_00779
OG0000221	Syas.g_01785	Pray.g_00780
OG0000222	Syas.g_01804	Pray.g_00788
OG0000223	Syas.g_02221	Pray.g_00801
OG0000224	Syas.g_02215	Pray.g_00803
OG0000225	Syas.g_01522	Pray.g_00824
OG0000226	Syas.g_01518	Pray.g_00828
OG0000227	Syas.g_01516	Pray.g_00830
OG0000228	Syas.g_01513	Pray.g_00833
OG0000229	Syas.g_01497	Pray.g_00926
OG0000230	Syas.g_01495	Pray.g_00928
OG0000231	Syas.g_02749	Pray.g_00939
OG0000232	Syas.g_01276	Pray.g_00948
OG0000233	Syas.g_01352	Pray.g_00953
OG0000234	Syas.g_01331	Pray.g_00966
OG0000235	Syas.g_01254	Pray.g_00969
OG0000236	Syas.g_01237	Pray.g_00983
OG0000237	Syas.g_01220	Pray.g_00997
OG0000238	Syas.g_01215	Pray.g_01003
OG0000239	Syas.g_00012	Pray.g_01016
OG0000240	Syas.g_00013	Pray.g_01017
OG0000241	Syas.g_00754	Pray.g_01021
OG0000242	Syas.g_00059	Pray.g_01023
OG0000243	Syas.g_00777	Pray.g_01218
OG0000244	Syas.g_00784	Pray.g_01215
OG0000245	Syas.g_00786	Pray.g_01213
OG0000246	Syas.g_00790	Pray.g_01209
OG0000247	Syas.g_00802	Pray.g_01199
OG0000248	Syas.g_00805	Pray.g_01197
OG0000249	Syas.g_00807	Pray.g_01195
OG0000250	Syas.g_00814	Pray.g_01190
OG0000251	Syas.g_00845	Pray.g_01172
OG0000252	Syas.g_00950	Pray.g_01169
OG0000253	Syas.g_00846	Pray.g_01168
OG0000254	Syas.g_00869	Pray.g_01152
OG0000255	Syas.g_00132, Syas.g_01062	Pray.g_01146
OG0000256	Syas.g_00104	Pray.g_01136
OG0000257	Syas.g_00757	Pray.g_01133
OG0000258	Syas.g_00733	Pray.g_01120
OG0000259	Syas.g_01006, Syas.g_00708	Pray.g_01103
OG0000260	Syas.g_00705	Pray.g_01100
OG0000261	Syas.g_00701	Pray.g_01098
OG0000262	Syas.g_00695	Pray.g_01094
OG0000263	Syas.g_01103	Pray.g_01082
OG0000264	Syas.g_02588	Pray.g_01072
OG0000266	Syas.g_00186	Pray.g_01030
OG0000267	Syas.g_00377	Pray.g_00274
OG0000268	Syas.g_00390	Pray.g_00275
OG0000269	Syas.g_00601	Pray.g_00343
OG0000270	Syas.g_00598	Pray.g_00346
OG0000271	Syas.g_00590	Pray.g_00354
OG0000272	Syas.g_00589	Pray.g_00355
OG0000273	Syas.g_00563	Pray.g_00378
OG0000274	Syas.g_00562	Pray.g_00379
OG0000275	Syas.g_00230	Pray.g_00382
OG0000276	Syas.g_00237	Pray.g_00387
OG0000277	Syas.g_00238	Pray.g_00388
OG0000278	Syas.g_00241	Pray.g_00391
OG0000279	Syas.g_00288	Pray.g_00398
OG0000280	Syas.g_00889, Syas.g_00481	Pray.g_00399
OG0000281	Syas.g_00970	Pray.g_00404
OG0000282	Syas.g_00672	Pray.g_00454
OG0000283	Syas.g_00409	Pray.g_00488
OG0000284	Syas.g_00416	Pray.g_00493
OG0000285	Syas.g_00436	Pray.g_00498
OG0000286	Syas.g_00460	Pray.g_00510
OG0000287	Syas.g_00534	Pray.g_00527
OG0000288	Syas.g_00220	Pray.g_00557
OG0000289	Syas.g_00205	Pray.g_00568
OG0000290	Syas.g_01016	Pray.g_00581
OG0000291	Syas.g_01018	Pray.g_00583
OG0000292	Syas.g_02020	Pray.g_00632
OG0000293	Syas.g_01197	Pray.g_00073
OG0000294	Syas.g_01196	Pray.g_00072
OG0000295	Syas.g_01139	Pray.g_00051
OG0000296	Syas.g_01137	Pray.g_00049
OG0000297	Syas.g_01124	Pray.g_00041
OG0000298	Syas.g_01123	Pray.g_00040
OG0000299	Syas.g_01087	Pray.g_00023
OG0000300	Syas.g_01082	Pray.g_00020
OG0000301	Syas.g_01081	Pray.g_00019
OG0000302	Syas.g_01080	Pray.g_00017
OG0000303	Syas.g_01071	Pray.g_00010
OG0000304	Syas.g_01066	Pray.g_00006
OG0000305	Syas.g_01023	Pray.g_01837
OG0000306	Syas.g_01929	Pray.g_01834
OG0000307	Syas.g_01270	Pray.g_01820
OG0000308	Syas.g_01272	Pray.g_01819
OG0000309	Syas.g_01364	Pray.g_01815
OG0000310	Syas.g_02796	Pray.g_01737
OG0000311	Syas.g_02799	Pray.g_01735
OG0000312	Syas.g_02804	Pray.g_01732
OG0000313	Syas.g_02823	Pray.g_01718
OG0000314	Syas.g_01296	Pray.g_01695
OG0000315	Syas.g_01306	Pray.g_01685
OG0000316	Syas.g_02728	Pray.g_01665
OG0000317	Syas.g_02687	Pray.g_01561
OG0000318	Syas.g_02680	Pray.g_01558
OG0000319	Syas.g_02663	Pray.g_01545
OG0000320	Syas.g_02661	Pray.g_01543
OG0000321	Syas.g_02660	Pray.g_01542
OG0000322	Syas.g_02659	Pray.g_01541
OG0000323	Syas.g_02646, Syas.g_00159	Pray.g_01532
OG0000324	Syas.g_02578	Pray.g_01506
OG0000325	Syas.g_01668	Pray.g_01235
OG0000326	Syas.g_01661	Pray.g_01241
OG0000327	Syas.g_01634	Pray.g_01265
OG0000328	Syas.g_01633	Pray.g_01266
OG0000329	Syas.g_01615	Pray.g_01283
OG0000330	Syas.g_01614	Pray.g_01284
OG0000331	Syas.g_01613	Pray.g_01285
OG0000332	Syas.g_01598	Pray.g_01299
OG0000333	Syas.g_01595	Pray.g_01301
OG0000334	Syas.g_01586	Pray.g_01309
OG0000335	Syas.g_01581	Pray.g_01314
OG0000336	Syas.g_01577	Pray.g_01318
OG0000337	Syas.g_02211	Pray.g_01335
OG0000338	Syas.g_02199	Pray.g_01336
OG0000339	Syas.g_02192	Pray.g_01340
OG0000340	Syas.g_02183	Pray.g_01348
OG0000341	Syas.g_02181	Pray.g_01350
OG0000342	Syas.g_02180	Pray.g_01351
OG0000343	Syas.g_02176	Pray.g_01352
OG0000344	Syas.g_02172	Pray.g_01355
OG0000345	Syas.g_02160	Pray.g_01360
OG0000346	Syas.g_02155	Pray.g_01365
OG0000347	Syas.g_02136	Pray.g_01381
OG0000348	Syas.g_02107	Pray.g_01391
OG0000349	Syas.g_02085	Pray.g_01408
OG0000350	Syas.g_01654	Pray.g_01427
OG0000351	Syas.g_01998	Pray.g_01444
OG0000352	Syas.g_01999	Pray.g_01445
OG0000353	Syas.g_02033	Pray.g_01460
OG0000355	Syas.g_02035	Pray.g_01462
OG0000356	Syas.g_02036	Pray.g_01463
OG0000357	Syas.g_02037	Pray.g_01464
OG0000358	Syas.g_02041	Pray.g_01469
OG0000359	Syas.g_02043	Pray.g_01470
OG0000360	Syas.g_02044	Pray.g_01471
OG0000361	Syas.g_02045	Pray.g_01472
OG0000362	Syas.g_02047	Pray.g_01474
OG0000363	Syas.g_02049	Pray.g_01476
OG0000364	Syas.g_02685	Pray.g_01477
OG0000365	Syas.g_02058	Pray.g_01482
OG0000366	Syas.g_02059	Pray.g_01483
OG0000368	Syas.g_02062	Pray.g_01486
OG0000369	Syas.g_02063	Pray.g_01487
OG0000370	Syas.g_02064	Pray.g_01488
OG0000371	Syas.g_02073	Pray.g_01494
OG0000372	Syas.g_02078	Pray.g_01497
OG0000373	Syas.g_02079	Pray.g_01498
OG0000374	Syas.g_02080	Pray.g_01499
OG0000375	Syas.g_02081	Pray.g_00243
OG0000376	Syas.g_02083	Pray.g_00241
OG0000377	Syas.g_01879	Pray.g_00238
OG0000378	Syas.g_01867	Pray.g_00236
OG0000379	Syas.g_01859	Pray.g_00233
OG0000380	Syas.g_02523	Pray.g_00223
OG0000381	Syas.g_02521	Pray.g_00219
OG0000382	Syas.g_02503	Pray.g_00208
OG0000383	Syas.g_02480	Pray.g_00206
OG0000384	Syas.g_02479	Pray.g_00205
OG0000385	Syas.g_02478	Pray.g_00204
OG0000386	Syas.g_02477	Pray.g_00203
OG0000387	Syas.g_00134	Pray.g_00190
OG0000388	Syas.g_02426	Pray.g_00187
OG0000389	Syas.g_02422	Pray.g_00183
OG0000390	Syas.g_02406	Pray.g_00176
OG0000391	Syas.g_02401	Pray.g_00173
OG0000392	Syas.g_02396	Pray.g_00169
OG0000393	Syas.g_02394	Pray.g_00167
OG0000394	Syas.g_02393	Pray.g_00166
OG0000395	Syas.g_02392	Pray.g_00165
OG0000396	Syas.g_02389	Pray.g_00162
OG0000397	Syas.g_02387	Pray.g_00160
OG0000398	Syas.g_02382	Pray.g_00158
OG0000399	Syas.g_02381	Pray.g_00157
OG0000400	Syas.g_02380	Pray.g_00156
OG0000401	Syas.g_02379	Pray.g_00155
OG0000402	Syas.g_02377	Pray.g_00153
OG0000403	Syas.g_02376	Pray.g_00152
OG0000404	Syas.g_02375	Pray.g_00151
OG0000405	Syas.g_02369	Pray.g_00147
OG0000406	Syas.g_02365	Pray.g_00142
OG0000407	Syas.g_02364	Pray.g_00141
OG0000408	Syas.g_02361	Pray.g_00139
OG0000409	Syas.g_02359	Pray.g_00137
OG0000410	Syas.g_02358	Pray.g_00136
OG0000411	Syas.g_02357	Pray.g_00635
OG0000412	Syas.g_02356	Pray.g_00636
OG0000413	Syas.g_02354	Pray.g_00637
OG0000414	Syas.g_02353	Pray.g_00638
OG0000415	Syas.g_02352	Pray.g_00639
OG0000416	Syas.g_02351	Pray.g_00640
OG0000417	Syas.g_02338	Pray.g_00641
OG0000418	Syas.g_02333	Pray.g_00646
OG0000419	Syas.g_02331	Pray.g_00648
OG0000420	Syas.g_02329	Pray.g_00649
OG0000421	Syas.g_02324	Pray.g_00654
OG0000422	Syas.g_02323	Pray.g_00655
OG0000423	Syas.g_02322	Pray.g_00656
OG0000424	Syas.g_02321	Pray.g_00657
OG0000425	Syas.g_02320	Pray.g_00658
OG0000426	Syas.g_02319	Pray.g_00659
OG0000427	Syas.g_02318	Pray.g_00660
OG0000428	Syas.g_02315	Pray.g_00662
OG0000429	Syas.g_02312	Pray.g_00663
OG0000430	Syas.g_02311	Pray.g_00664
OG0000431	Syas.g_02296	Pray.g_00666
OG0000432	Syas.g_02288	Pray.g_00669
OG0000433	Syas.g_02286	Pray.g_00670
OG0000434	Syas.g_02285	Pray.g_00671
OG0000435	Syas.g_02282	Pray.g_00672
OG0000436	Syas.g_02273	Pray.g_00677
OG0000437	Syas.g_02272	Pray.g_00678
OG0000438	Syas.g_02271	Pray.g_00679
OG0000439	Syas.g_02269	Pray.g_00681
OG0000440	Syas.g_02268	Pray.g_00682
OG0000441	Syas.g_02265	Pray.g_00685
OG0000442	Syas.g_02259	Pray.g_00686
OG0000443	Syas.g_02241	Pray.g_00687
OG0000444	Syas.g_02234	Pray.g_00692
OG0000445	Syas.g_02233	Pray.g_00693
OG0000446	Syas.g_02231	Pray.g_00694
OG0000447	Syas.g_02229	Pray.g_00695
OG0000448	Syas.g_02228	Pray.g_00696
OG0000449	Syas.g_02226	Pray.g_00697
OG0000450	Syas.g_01834	Pray.g_00698
OG0000451	Syas.g_01835	Pray.g_00699
OG0000452	Syas.g_01844	Pray.g_00702
OG0000453	Syas.g_01845	Pray.g_00703
OG0000454	Syas.g_01846	Pray.g_00704
OG0000455	Syas.g_01847	Pray.g_00705
OG0000456	Syas.g_01848	Pray.g_00706
OG0000457	Syas.g_01850	Pray.g_00707
OG0000458	Syas.g_01851	Pray.g_00708
OG0000459	Syas.g_01852	Pray.g_00709
OG0000460	Syas.g_02554	Pray.g_00716
OG0000461	Syas.g_01686	Pray.g_00723
OG0000462	Syas.g_01688	Pray.g_00725
OG0000463	Syas.g_01689	Pray.g_00726
OG0000464	Syas.g_01690	Pray.g_00727
OG0000465	Syas.g_01692	Pray.g_00728
OG0000466	Syas.g_01697	Pray.g_00731
OG0000467	Syas.g_01698	Pray.g_00732
OG0000468	Syas.g_01703	Pray.g_00734
OG0000469	Syas.g_01725	Pray.g_00742
OG0000470	Syas.g_01727	Pray.g_00744
OG0000471	Syas.g_01728	Pray.g_00745
OG0000472	Syas.g_01729	Pray.g_00746
OG0000473	Syas.g_01731	Pray.g_00748
OG0000474	Syas.g_01732	Pray.g_00749
OG0000475	Syas.g_01733	Pray.g_00750
OG0000476	Syas.g_01735	Pray.g_00751
OG0000477	Syas.g_01740	Pray.g_00754
OG0000478	Syas.g_01741	Pray.g_00755
OG0000479	Syas.g_01749	Pray.g_00756
OG0000480	Syas.g_01756	Pray.g_00761
OG0000481	Syas.g_00161, Syas.g_00162	Pray.g_00763
OG0000482	Syas.g_01758	Pray.g_00764
OG0000483	Syas.g_01762	Pray.g_00767
OG0000484	Syas.g_01763	Pray.g_00768
OG0000485	Syas.g_01764	Pray.g_00769
OG0000486	Syas.g_01765	Pray.g_00770
OG0000487	Syas.g_01771	Pray.g_00773
OG0000488	Syas.g_01779	Pray.g_00776
OG0000489	Syas.g_01823	Pray.g_00781
OG0000490	Syas.g_01808	Pray.g_00786
OG0000491	Syas.g_01806	Pray.g_00787
OG0000492	Syas.g_01803	Pray.g_00789
OG0000493	Syas.g_01802	Pray.g_00790
OG0000494	Syas.g_01801	Pray.g_00791
OG0000495	Syas.g_01799	Pray.g_00792
OG0000496	Syas.g_01798	Pray.g_00793
OG0000497	Syas.g_01797	Pray.g_00794
OG0000498	Syas.g_01796	Pray.g_00795
OG0000499	Syas.g_01795	Pray.g_00796
OG0000500	Syas.g_01794	Pray.g_00797
OG0000501	Syas.g_01791	Pray.g_00799
OG0000502	Syas.g_02216	Pray.g_00802
OG0000503	Syas.g_01541	Pray.g_00812
OG0000504	Syas.g_01539	Pray.g_00813
OG0000505	Syas.g_01538	Pray.g_00814
OG0000506	Syas.g_01536	Pray.g_00816
OG0000507	Syas.g_01530	Pray.g_00819
OG0000508	Syas.g_01523	Pray.g_00823
OG0000509	Syas.g_01521	Pray.g_00825
OG0000510	Syas.g_01520	Pray.g_00826
OG0000511	Syas.g_01519	Pray.g_00827
OG0000512	Syas.g_01517	Pray.g_00829
OG0000513	Syas.g_01508	Pray.g_00836
OG0000514	Syas.g_01504	Pray.g_00921
OG0000515	Syas.g_01503	Pray.g_00922
OG0000516	Syas.g_01501	Pray.g_00923
OG0000517	Syas.g_01498	Pray.g_00925
OG0000518	Syas.g_00360, Syas.g_02746	Pray.g_00936
OG0000519	Syas.g_02747	Pray.g_00937
OG0000520	Syas.g_02748	Pray.g_00938
OG0000521	Syas.g_01281	Pray.g_00943
OG0000522	Syas.g_01279	Pray.g_00945
OG0000523	Syas.g_01278	Pray.g_00946
OG0000524	Syas.g_01354	Pray.g_00951
OG0000525	Syas.g_01342	Pray.g_00954
OG0000526	Syas.g_01340	Pray.g_00955
OG0000527	Syas.g_01335	Pray.g_00963
OG0000528	Syas.g_01256	Pray.g_00968
OG0000529	Syas.g_01252	Pray.g_00971
OG0000530	Syas.g_01249	Pray.g_00974
OG0000531	Syas.g_01248	Pray.g_00975
OG0000532	Syas.g_01245	Pray.g_00977
OG0000533	Syas.g_01243	Pray.g_00978
OG0000534	Syas.g_01242	Pray.g_00979
OG0000535	Syas.g_01241	Pray.g_00980
OG0000536	Syas.g_01240	Pray.g_00981
OG0000537	Syas.g_01238	Pray.g_00982
OG0000538	Syas.g_01228	Pray.g_00991
OG0000539	Syas.g_01227	Pray.g_00992
OG0000540	Syas.g_01226	Pray.g_00993
OG0000541	Syas.g_01225	Pray.g_00994
OG0000542	Syas.g_01221	Pray.g_00996
OG0000543	Syas.g_01219	Pray.g_00998
OG0000544	Syas.g_01218	Pray.g_00999
OG0000545	Syas.g_01216	Pray.g_01001
OG0000546	Syas.g_01214	Pray.g_01004
OG0000547	Syas.g_01212	Pray.g_01006
OG0000548	Syas.g_01211	Pray.g_01007
OG0000549	Syas.g_00005	Pray.g_01009
OG0000550	Syas.g_00010	Pray.g_01014
OG0000551	Syas.g_00015	Pray.g_01018
OG0000552	Syas.g_00016	Pray.g_01019
OG0000553	Syas.g_00019	Pray.g_01020
OG0000554	Syas.g_00063	Pray.g_01227
OG0000555	Syas.g_00775	Pray.g_01219
OG0000556	Syas.g_00781	Pray.g_01217
OG0000557	Syas.g_00783	Pray.g_01216
OG0000558	Syas.g_00785	Pray.g_01214
OG0000559	Syas.g_00789	Pray.g_01210
OG0000560	Syas.g_00792	Pray.g_01207
OG0000561	Syas.g_00793	Pray.g_01206
OG0000562	Syas.g_00794	Pray.g_01205
OG0000563	Syas.g_00795	Pray.g_01204
OG0000564	Syas.g_00796	Pray.g_01203
OG0000565	Syas.g_00800	Pray.g_01200
OG0000566	Syas.g_00804	Pray.g_01198
OG0000567	Syas.g_00808	Pray.g_01194
OG0000568	Syas.g_00810	Pray.g_01193
OG0000569	Syas.g_00811	Pray.g_01192
OG0000570	Syas.g_00812	Pray.g_01191
OG0000571	Syas.g_00815	Pray.g_01189
OG0000572	Syas.g_00839	Pray.g_01176
OG0000573	Syas.g_00952	Pray.g_01171
OG0000574	Syas.g_00951	Pray.g_01170
OG0000575	Syas.g_00848	Pray.g_01166
OG0000576	Syas.g_00850	Pray.g_01164
OG0000577	Syas.g_00851	Pray.g_01163
OG0000578	Syas.g_00852	Pray.g_01162
OG0000579	Syas.g_00853	Pray.g_01161
OG0000580	Syas.g_00854	Pray.g_01160
OG0000581	Syas.g_00861	Pray.g_01158
OG0000582	Syas.g_00873	Pray.g_01155
OG0000583	Syas.g_00872	Pray.g_01154
OG0000584	Syas.g_00871	Pray.g_01153
OG0000585	Syas.g_00868	Pray.g_01151
OG0000586	Syas.g_00867	Pray.g_01150
OG0000587	Syas.g_00865	Pray.g_01149
OG0000588	Syas.g_00960	Pray.g_01145
OG0000589	Syas.g_00121	Pray.g_01142
OG0000590	Syas.g_00120	Pray.g_01141
