Orthogroup	Syas	Prbe
OG0000053	Syas.g_01287	Prbe.g_00290, Prbe.g_01040
OG0000054	Syas.g_00961, Syas.g_00957	Prbe.g_00527
OG0000055	Syas.g_00203	Prbe.g_01011
OG0000057	Syas.g_01055, Syas.g_01038	Prbe.g_01206
OG0000058	Syas.g_01151	Prbe.g_00351
OG0000059	Syas.g_01639	Prbe.g_01094
OG0000061	Syas.g_01184	Prbe.g_01549
OG0000062	Syas.g_02702	Prbe.g_00226
OG0000063	Syas.g_02074	Prbe.g_00021
OG0000064	Syas.g_02423, Syas.g_00946	Prbe.g_00172
OG0000065	Syas.g_02420	Prbe.g_01649
OG0000066	Syas.g_00094	Prbe.g_00596, Prbe.g_01114
OG0000067	Syas.g_00596, Syas.g_00352, Syas.g_02346	Prbe.g_01222
OG0000068	Syas.g_00969, Syas.g_01261	Prbe.g_00373
OG0000069	Syas.g_00779, Syas.g_00876	Prbe.g_00678
OG0000070	Syas.g_00173	Prbe.g_01948
OG0000071	Syas.g_02854	Prbe.g_00893
OG0000072	Syas.g_02326, Syas.g_01524	Prbe.g_01719
OG0000073	Syas.g_01230	Prbe.g_00633
OG0000075	Syas.g_01921, Syas.g_02194	Prbe.g_00800
OG0000076	Syas.g_02156	Prbe.g_00774
OG0000077	Syas.g_02510	Prbe.g_00183
OG0000078	Syas.g_02561	Prbe.g_01792
OG0000079	Syas.g_01699	Prbe.g_01805
OG0000080	Syas.g_02616, Syas.g_02149	Prbe.g_00339, Prbe.g_00337
OG0000081	Syas.g_00391	Prbe.g_00604
OG0000082	Syas.g_00837	Prbe.g_00549, Prbe.g_00996
OG0000085	Syas.g_02695	Prbe.g_00007, Prbe.g_00993
OG0000086	Syas.g_02470	Prbe.g_00192
OG0000087	Syas.g_02374	Prbe.g_01683
OG0000089	Syas.g_01512	Prbe.g_01915
OG0000090	Syas.g_00062	Prbe.g_00602
OG0000091	Syas.g_00907, Syas.g_00146	Prbe.g_01477
OG0000094	Syas.g_00208, Syas.g_01716	Prbe.g_01399
OG0000095	Syas.g_01021	Prbe.g_01297
OG0000097	Syas.g_00114, Syas.g_01443	Prbe.g_01503
OG0000098	Syas.g_00091	Prbe.g_00397
OG0000099	Syas.g_01826	Prbe.g_00350
OG0000100	Syas.g_00567	Prbe.g_00232
OG0000101	Syas.g_01589	Prbe.g_00836
OG0000102	Syas.g_02152, Syas.g_01395	Prbe.g_00769
OG0000103	Syas.g_02009	Prbe.g_01195
OG0000104	Syas.g_02027, Syas.g_02026	Prbe.g_01061
OG0000105	Syas.g_01739	Prbe.g_01828
OG0000106	Syas.g_01451	Prbe.g_00740
OG0000107	Syas.g_01669	Prbe.g_00921
OG0000108	Syas.g_01253	Prbe.g_00653
OG0000109	Syas.g_01236	Prbe.g_00639
OG0000110	Syas.g_00359, Syas.g_00818	Prbe.g_00560
OG0000111	Syas.g_01037	Prbe.g_01207
OG0000112	Syas.g_00452	Prbe.g_00487
OG0000113	Syas.g_00571	Prbe.g_01245
OG0000114	Syas.g_00252, Syas.g_00674	Prbe.g_00417
OG0000115	Syas.g_02548, Syas.g_01285	Prbe.g_01618
OG0000116	Syas.g_01198, Syas.g_00317	Prbe.g_01560
OG0000117	Syas.g_01122	Prbe.g_01522
OG0000118	Syas.g_02835	Prbe.g_00880
OG0000120	Syas.g_01828	Prbe.g_00353
OG0000121	Syas.g_02821	Prbe.g_00309
OG0000122	Syas.g_00393	Prbe.g_01625, Prbe.g_00268
OG0000123	Syas.g_01582	Prbe.g_00829
OG0000124	Syas.g_02137	Prbe.g_00745
OG0000125	Syas.g_01889	Prbe.g_01158
OG0000126	Syas.g_01992	Prbe.g_01060
OG0000128	Syas.g_02046	Prbe.g_01076
OG0000129	Syas.g_01880	Prbe.g_00145
OG0000130	Syas.g_02522	Prbe.g_00174
OG0000131	Syas.g_02367	Prbe.g_01692
OG0000132	Syas.g_02334	Prbe.g_01712
OG0000133	Syas.g_00457	Prbe.g_01875
OG0000134	Syas.g_01509	Prbe.g_01917
OG0000135	Syas.g_01938	Prbe.g_00911
OG0000136	Syas.g_02740	Prbe.g_01939
OG0000137	Syas.g_01333	Prbe.g_00658
OG0000138	Syas.g_01235	Prbe.g_00638
OG0000139	Syas.g_00069	Prbe.g_00598
OG0000140	Syas.g_00090	Prbe.g_00597
OG0000141	Syas.g_00875	Prbe.g_00526
OG0000142	Syas.g_00746	Prbe.g_01485
OG0000143	Syas.g_00742	Prbe.g_01481
OG0000144	Syas.g_00718	Prbe.g_01467
OG0000145	Syas.g_00948	Prbe.g_00909
OG0000146	Syas.g_00451	Prbe.g_00488
OG0000147	Syas.g_00450	Prbe.g_00489
OG0000148	Syas.g_00577	Prbe.g_01239
OG0000149	Syas.g_00282	Prbe.g_01271
OG0000150	Syas.g_00874	Prbe.g_01281
OG0000151	Syas.g_00148, Syas.g_00659	Prbe.g_00427
OG0000152	Syas.g_00461	Prbe.g_01350
OG0000153	Syas.g_00543	Prbe.g_01369
OG0000154	Syas.g_00219	Prbe.g_01389
OG0000155	Syas.g_01131	Prbe.g_01528
OG0000156	Syas.g_01206	Prbe.g_00904
OG0000157	Syas.g_01207	Prbe.g_00903
OG0000158	Syas.g_02185	Prbe.g_00792
OG0000159	Syas.g_01155	Prbe.g_00165
OG0000160	Syas.g_02820	Prbe.g_00310
OG0000161	Syas.g_02826	Prbe.g_00304
OG0000162	Syas.g_02751	Prbe.g_00298
OG0000163	Syas.g_01488	Prbe.g_00259
OG0000164	Syas.g_02648	Prbe.g_00961
OG0000165	Syas.g_02609	Prbe.g_00954
OG0000166	Syas.g_01629	Prbe.g_01083
OG0000167	Syas.g_01449	Prbe.g_00802
OG0000168	Syas.g_02184	Prbe.g_00791
OG0000169	Syas.g_02170	Prbe.g_00781
OG0000170	Syas.g_02161	Prbe.g_00778
OG0000171	Syas.g_02139	Prbe.g_00758
OG0000172	Syas.g_02110	Prbe.g_00751
OG0000173	Syas.g_02092	Prbe.g_01143
OG0000174	Syas.g_01940	Prbe.g_01173
OG0000175	Syas.g_01994	Prbe.g_01186
OG0000176	Syas.g_02038	Prbe.g_01069
OG0000177	Syas.g_02039	Prbe.g_01070
OG0000178	Syas.g_02040	Prbe.g_01071
OG0000179	Syas.g_02054	Prbe.g_00116
OG0000180	Syas.g_02055	Prbe.g_00117
OG0000181	Syas.g_02056	Prbe.g_00118
OG0000182	Syas.g_02057	Prbe.g_00119
OG0000183	Syas.g_02061	Prbe.g_00123
OG0000184	Syas.g_01872	Prbe.g_00149
OG0000185	Syas.g_01861	Prbe.g_00152
OG0000186	Syas.g_02525	Prbe.g_00168
OG0000187	Syas.g_02524	Prbe.g_00169
OG0000188	Syas.g_02502	Prbe.g_00186
OG0000189	Syas.g_02432	Prbe.g_01636
OG0000190	Syas.g_00133	Prbe.g_01638
OG0000191	Syas.g_02400	Prbe.g_01661
OG0000192	Syas.g_02395	Prbe.g_01666
OG0000193	Syas.g_02366	Prbe.g_01693
OG0000194	Syas.g_02363	Prbe.g_01696
OG0000195	Syas.g_02360	Prbe.g_01698
OG0000196	Syas.g_02337	Prbe.g_01709
OG0000197	Syas.g_02336	Prbe.g_01710
OG0000198	Syas.g_02335	Prbe.g_01711
OG0000199	Syas.g_02327	Prbe.g_01718
OG0000200	Syas.g_02298	Prbe.g_01732
OG0000201	Syas.g_02279	Prbe.g_01741
OG0000202	Syas.g_02278	Prbe.g_01742
OG0000203	Syas.g_02277	Prbe.g_01743
OG0000204	Syas.g_02276	Prbe.g_01744
OG0000205	Syas.g_02267	Prbe.g_01751
OG0000206	Syas.g_02240	Prbe.g_01756
OG0000207	Syas.g_02237	Prbe.g_01759
OG0000208	Syas.g_02236	Prbe.g_01760
OG0000209	Syas.g_01837	Prbe.g_01769
OG0000210	Syas.g_01838	Prbe.g_01770
OG0000211	Syas.g_02552	Prbe.g_01785
OG0000212	Syas.g_02562	Prbe.g_01793
OG0000213	Syas.g_01707	Prbe.g_01811
OG0000214	Syas.g_01730	Prbe.g_01821
OG0000215	Syas.g_01766	Prbe.g_01848
OG0000216	Syas.g_01770	Prbe.g_01849
OG0000217	Syas.g_01778	Prbe.g_01852
OG0000218	Syas.g_01780	Prbe.g_01854
OG0000219	Syas.g_01783	Prbe.g_01855
OG0000220	Syas.g_01784	Prbe.g_01856
OG0000221	Syas.g_01785	Prbe.g_01857
OG0000222	Syas.g_01804	Prbe.g_01864
OG0000223	Syas.g_02221	Prbe.g_01876
OG0000224	Syas.g_02215	Prbe.g_01878
OG0000225	Syas.g_01522	Prbe.g_01904
OG0000226	Syas.g_01518	Prbe.g_01908
OG0000227	Syas.g_01516	Prbe.g_01910
OG0000228	Syas.g_01513	Prbe.g_01914
OG0000229	Syas.g_01497	Prbe.g_01934
OG0000230	Syas.g_01495	Prbe.g_01936
OG0000231	Syas.g_02749	Prbe.g_01947
OG0000232	Syas.g_01276	Prbe.g_00672
OG0000233	Syas.g_01352	Prbe.g_00666
OG0000234	Syas.g_01331	Prbe.g_00657
OG0000235	Syas.g_01254	Prbe.g_00654
OG0000236	Syas.g_01237	Prbe.g_00640
OG0000237	Syas.g_01220	Prbe.g_00627
OG0000238	Syas.g_01215	Prbe.g_00621
OG0000239	Syas.g_00012	Prbe.g_00610
OG0000240	Syas.g_00013	Prbe.g_00609
OG0000241	Syas.g_00754	Prbe.g_00605
OG0000242	Syas.g_00059	Prbe.g_00603
OG0000243	Syas.g_00777	Prbe.g_00592
OG0000244	Syas.g_00784	Prbe.g_00589
OG0000245	Syas.g_00786	Prbe.g_00587
OG0000246	Syas.g_00790	Prbe.g_00583
OG0000247	Syas.g_00802	Prbe.g_00573
OG0000248	Syas.g_00805	Prbe.g_00570
OG0000249	Syas.g_00807	Prbe.g_00568
OG0000250	Syas.g_00814	Prbe.g_00563
OG0000251	Syas.g_00845	Prbe.g_00543
OG0000252	Syas.g_00950	Prbe.g_00540
OG0000253	Syas.g_00846	Prbe.g_00539
OG0000254	Syas.g_00869	Prbe.g_00522
OG0000255	Syas.g_00132, Syas.g_01062	Prbe.g_00516
OG0000256	Syas.g_00104	Prbe.g_00506
OG0000257	Syas.g_00757	Prbe.g_01490
OG0000258	Syas.g_00733	Prbe.g_01476
OG0000259	Syas.g_01006, Syas.g_00708	Prbe.g_01459
OG0000260	Syas.g_00705	Prbe.g_01456
OG0000261	Syas.g_00701	Prbe.g_01453
OG0000262	Syas.g_00695	Prbe.g_01449
OG0000263	Syas.g_01103	Prbe.g_00455
OG0000264	Syas.g_02588	Prbe.g_00466
OG0000266	Syas.g_00186	Prbe.g_01430
OG0000267	Syas.g_00377	Prbe.g_01418
OG0000268	Syas.g_00390	Prbe.g_01417
OG0000269	Syas.g_00601	Prbe.g_01217
OG0000270	Syas.g_00598	Prbe.g_01220
OG0000271	Syas.g_00590	Prbe.g_01228
OG0000272	Syas.g_00589	Prbe.g_01229
OG0000273	Syas.g_00563	Prbe.g_01253
OG0000274	Syas.g_00562	Prbe.g_01254
OG0000275	Syas.g_00230	Prbe.g_01257
OG0000276	Syas.g_00237	Prbe.g_01263
OG0000277	Syas.g_00238	Prbe.g_01264
OG0000278	Syas.g_00241	Prbe.g_01267
OG0000279	Syas.g_00288	Prbe.g_01274
OG0000280	Syas.g_00889, Syas.g_00481	Prbe.g_01275
OG0000281	Syas.g_00970	Prbe.g_01282
OG0000282	Syas.g_00672	Prbe.g_00419
OG0000283	Syas.g_00409	Prbe.g_01326
OG0000284	Syas.g_00416	Prbe.g_01331
OG0000285	Syas.g_00436	Prbe.g_01336
OG0000286	Syas.g_00460	Prbe.g_01349
OG0000287	Syas.g_00534	Prbe.g_01615
OG0000288	Syas.g_00220	Prbe.g_01388
OG0000289	Syas.g_00205	Prbe.g_01404
OG0000290	Syas.g_01016	Prbe.g_01300
OG0000291	Syas.g_01018	Prbe.g_01298
OG0000292	Syas.g_02020	Prbe.g_01594
OG0000293	Syas.g_01197	Prbe.g_01559
OG0000294	Syas.g_01196	Prbe.g_01558
OG0000295	Syas.g_01139	Prbe.g_01535
OG0000296	Syas.g_01137	Prbe.g_01533
OG0000297	Syas.g_01124	Prbe.g_01524
OG0000298	Syas.g_01123	Prbe.g_01523
OG0000299	Syas.g_01087	Prbe.g_01504
OG0000300	Syas.g_01082	Prbe.g_01501
OG0000301	Syas.g_01081	Prbe.g_01500
OG0000302	Syas.g_01080	Prbe.g_01498
OG0000303	Syas.g_01071	Prbe.g_01492
OG0000304	Syas.g_01066	Prbe.g_00501
OG0000305	Syas.g_01023	Prbe.g_01592
OG0000306	Syas.g_01929	Prbe.g_01286
OG0000307	Syas.g_01270	Prbe.g_00364
OG0000308	Syas.g_01272	Prbe.g_00363
OG0000309	Syas.g_01364	Prbe.g_00359
OG0000310	Syas.g_02796	Prbe.g_00325
OG0000311	Syas.g_02799	Prbe.g_00323
OG0000312	Syas.g_02804	Prbe.g_00320
OG0000313	Syas.g_02823	Prbe.g_00307
OG0000314	Syas.g_01296	Prbe.g_00284
OG0000315	Syas.g_01306	Prbe.g_00274
OG0000316	Syas.g_02728	Prbe.g_00249
OG0000317	Syas.g_02687	Prbe.g_00988
OG0000318	Syas.g_02680	Prbe.g_00984
OG0000319	Syas.g_02663	Prbe.g_00971
OG0000320	Syas.g_02661	Prbe.g_00969
OG0000321	Syas.g_02660	Prbe.g_00968
OG0000322	Syas.g_02659	Prbe.g_00967
OG0000323	Syas.g_02646	Prbe.g_00958
OG0000324	Syas.g_02578	Prbe.g_00931
OG0000325	Syas.g_01668	Prbe.g_00920
OG0000326	Syas.g_01661	Prbe.g_01109
OG0000327	Syas.g_01634	Prbe.g_01088
OG0000328	Syas.g_01633	Prbe.g_01087
OG0000329	Syas.g_01615	Prbe.g_00860
OG0000330	Syas.g_01614	Prbe.g_00859
OG0000331	Syas.g_01613	Prbe.g_00858
OG0000332	Syas.g_01598	Prbe.g_00844
OG0000333	Syas.g_01595	Prbe.g_00842
OG0000334	Syas.g_01586	Prbe.g_00833
OG0000335	Syas.g_01581	Prbe.g_00828
OG0000336	Syas.g_01577	Prbe.g_00824
OG0000337	Syas.g_02211	Prbe.g_00806
OG0000338	Syas.g_02199	Prbe.g_00805
OG0000339	Syas.g_02192	Prbe.g_00799
OG0000340	Syas.g_02183	Prbe.g_00790
OG0000341	Syas.g_02181	Prbe.g_00788
OG0000342	Syas.g_02180	Prbe.g_00787
OG0000343	Syas.g_02176	Prbe.g_00786
OG0000344	Syas.g_02172	Prbe.g_00783
OG0000345	Syas.g_02160	Prbe.g_00777
OG0000346	Syas.g_02155	Prbe.g_00773
OG0000347	Syas.g_02136	Prbe.g_00746
OG0000348	Syas.g_02107	Prbe.g_00754
OG0000349	Syas.g_02085	Prbe.g_01149
OG0000350	Syas.g_01654	Prbe.g_00709
OG0000351	Syas.g_01998	Prbe.g_01189
OG0000352	Syas.g_01999	Prbe.g_01190
OG0000353	Syas.g_02033	Prbe.g_01064
OG0000355	Syas.g_02035	Prbe.g_01066
OG0000356	Syas.g_02036	Prbe.g_01067
OG0000357	Syas.g_02037	Prbe.g_01068
OG0000358	Syas.g_02041	Prbe.g_01072
OG0000359	Syas.g_02043	Prbe.g_01073
OG0000360	Syas.g_02044	Prbe.g_01074
OG0000361	Syas.g_02045	Prbe.g_01075
OG0000362	Syas.g_02047	Prbe.g_01077
OG0000363	Syas.g_02049	Prbe.g_00114
OG0000364	Syas.g_02685	Prbe.g_00115
OG0000365	Syas.g_02058	Prbe.g_00120
OG0000366	Syas.g_02059	Prbe.g_00121
OG0000368	Syas.g_02062	Prbe.g_00124
OG0000369	Syas.g_02063	Prbe.g_00125
OG0000370	Syas.g_02064	Prbe.g_00126
OG0000371	Syas.g_02073	Prbe.g_00133
OG0000372	Syas.g_02078	Prbe.g_00136
OG0000373	Syas.g_02079	Prbe.g_00137
OG0000374	Syas.g_02080	Prbe.g_00138
OG0000375	Syas.g_02081	Prbe.g_00140
OG0000376	Syas.g_02083	Prbe.g_00142
OG0000377	Syas.g_01879	Prbe.g_00146
OG0000378	Syas.g_01867	Prbe.g_00150
OG0000379	Syas.g_01859	Prbe.g_00153
OG0000380	Syas.g_02523	Prbe.g_00170
OG0000381	Syas.g_02521	Prbe.g_00175
OG0000382	Syas.g_02503	Prbe.g_00185
OG0000383	Syas.g_02480	Prbe.g_00187
OG0000384	Syas.g_02479	Prbe.g_00188
OG0000385	Syas.g_02478	Prbe.g_00189
OG0000386	Syas.g_02477	Prbe.g_00190
OG0000387	Syas.g_00134	Prbe.g_01640
OG0000388	Syas.g_02426	Prbe.g_01644
OG0000389	Syas.g_02422	Prbe.g_01647
OG0000390	Syas.g_02406	Prbe.g_01657
OG0000391	Syas.g_02401	Prbe.g_01660
OG0000392	Syas.g_02396	Prbe.g_01664
OG0000393	Syas.g_02394	Prbe.g_01667
OG0000394	Syas.g_02393	Prbe.g_01668
OG0000395	Syas.g_02392	Prbe.g_01669
OG0000396	Syas.g_02389	Prbe.g_01671
OG0000397	Syas.g_02387	Prbe.g_01673
OG0000398	Syas.g_02382	Prbe.g_01676
OG0000399	Syas.g_02381	Prbe.g_01677
OG0000400	Syas.g_02380	Prbe.g_01678
OG0000401	Syas.g_02379	Prbe.g_01679
OG0000402	Syas.g_02377	Prbe.g_01412
OG0000403	Syas.g_02376	Prbe.g_01681
OG0000404	Syas.g_02375	Prbe.g_01682
OG0000405	Syas.g_02369	Prbe.g_01686
OG0000406	Syas.g_02365	Prbe.g_01694
OG0000407	Syas.g_02364	Prbe.g_01695
OG0000408	Syas.g_02361	Prbe.g_01697
OG0000409	Syas.g_02359	Prbe.g_01699
OG0000410	Syas.g_02358	Prbe.g_01700
OG0000411	Syas.g_02357	Prbe.g_01701
OG0000412	Syas.g_02356	Prbe.g_01702
OG0000413	Syas.g_02354	Prbe.g_01704
OG0000414	Syas.g_02353	Prbe.g_01705
OG0000415	Syas.g_02352	Prbe.g_01706
OG0000416	Syas.g_02351	Prbe.g_01707
OG0000417	Syas.g_02338	Prbe.g_01708
OG0000418	Syas.g_02333	Prbe.g_01713
OG0000419	Syas.g_02331	Prbe.g_01715
OG0000420	Syas.g_02329	Prbe.g_01716
OG0000421	Syas.g_02324	Prbe.g_01721
OG0000422	Syas.g_02323	Prbe.g_01722
OG0000423	Syas.g_02322	Prbe.g_01723
OG0000424	Syas.g_02321	Prbe.g_01724
OG0000425	Syas.g_02320	Prbe.g_01725
OG0000426	Syas.g_02319	Prbe.g_01726
OG0000427	Syas.g_02318	Prbe.g_01727
OG0000428	Syas.g_02315	Prbe.g_01729
OG0000429	Syas.g_02312	Prbe.g_01730
OG0000430	Syas.g_02311	Prbe.g_01731
OG0000431	Syas.g_02296	Prbe.g_01733
OG0000432	Syas.g_02288	Prbe.g_01737
OG0000433	Syas.g_02286	Prbe.g_01738
OG0000434	Syas.g_02285	Prbe.g_01739
OG0000435	Syas.g_02282	Prbe.g_01740
OG0000436	Syas.g_02273	Prbe.g_01745
OG0000437	Syas.g_02272	Prbe.g_01746
OG0000438	Syas.g_02271	Prbe.g_01747
OG0000439	Syas.g_02269	Prbe.g_01749
OG0000440	Syas.g_02268	Prbe.g_01750
OG0000441	Syas.g_02265	Prbe.g_01753
OG0000442	Syas.g_02259	Prbe.g_01754
OG0000443	Syas.g_02241	Prbe.g_01755
OG0000444	Syas.g_02234	Prbe.g_01761
OG0000445	Syas.g_02233	Prbe.g_01762
OG0000446	Syas.g_02231	Prbe.g_01763
OG0000447	Syas.g_02229	Prbe.g_01764
OG0000448	Syas.g_02228	Prbe.g_01765
OG0000449	Syas.g_02226	Prbe.g_01766
OG0000450	Syas.g_01834	Prbe.g_01767
OG0000451	Syas.g_01835	Prbe.g_01768
OG0000452	Syas.g_01844	Prbe.g_01771
OG0000453	Syas.g_01845	Prbe.g_01772
OG0000454	Syas.g_01846	Prbe.g_01773
OG0000455	Syas.g_01847	Prbe.g_01774
OG0000456	Syas.g_01848	Prbe.g_01775
OG0000457	Syas.g_01850	Prbe.g_01777
OG0000458	Syas.g_01851	Prbe.g_01778
OG0000459	Syas.g_01852	Prbe.g_01779
OG0000460	Syas.g_02554	Prbe.g_01787
OG0000461	Syas.g_01686	Prbe.g_01795
OG0000462	Syas.g_01688	Prbe.g_01797
OG0000463	Syas.g_01689	Prbe.g_01798
OG0000464	Syas.g_01690	Prbe.g_01799
OG0000465	Syas.g_01692	Prbe.g_01800
OG0000466	Syas.g_01697	Prbe.g_01803
OG0000467	Syas.g_01698	Prbe.g_01804
OG0000468	Syas.g_01703	Prbe.g_01807
OG0000469	Syas.g_01725	Prbe.g_01815
OG0000470	Syas.g_01727	Prbe.g_01817
OG0000471	Syas.g_01728	Prbe.g_01818
OG0000472	Syas.g_01729	Prbe.g_01820
OG0000473	Syas.g_01731	Prbe.g_01822
OG0000474	Syas.g_01732	Prbe.g_01823
OG0000475	Syas.g_01733	Prbe.g_01824
OG0000476	Syas.g_01735	Prbe.g_01826
OG0000477	Syas.g_01740	Prbe.g_01829
OG0000478	Syas.g_01741	Prbe.g_01830
OG0000479	Syas.g_01749	Prbe.g_01831
OG0000480	Syas.g_01756	Prbe.g_01836
OG0000481	Syas.g_00161, Syas.g_00162	Prbe.g_01839
OG0000482	Syas.g_01758	Prbe.g_01840
OG0000483	Syas.g_01762	Prbe.g_01843
OG0000484	Syas.g_01763	Prbe.g_01844
OG0000485	Syas.g_01764	Prbe.g_01846
OG0000486	Syas.g_01765	Prbe.g_01847
OG0000487	Syas.g_01771	Prbe.g_01850
OG0000488	Syas.g_01779	Prbe.g_01853
OG0000489	Syas.g_01823	Prbe.g_01858
OG0000490	Syas.g_01808	Prbe.g_01862
OG0000491	Syas.g_01806	Prbe.g_01863
OG0000492	Syas.g_01803	Prbe.g_01865
OG0000493	Syas.g_01802	Prbe.g_01866
OG0000494	Syas.g_01801	Prbe.g_01867
OG0000495	Syas.g_01799	Prbe.g_01868
OG0000496	Syas.g_01798	Prbe.g_01869
OG0000497	Syas.g_01797	Prbe.g_01870
OG0000498	Syas.g_01796	Prbe.g_01871
OG0000499	Syas.g_01795	Prbe.g_01872
OG0000500	Syas.g_01794	Prbe.g_01873
OG0000501	Syas.g_01791	Prbe.g_01874
OG0000502	Syas.g_02216	Prbe.g_01877
OG0000503	Syas.g_01541	Prbe.g_01892
OG0000504	Syas.g_01539	Prbe.g_01894
OG0000505	Syas.g_01538	Prbe.g_01895
OG0000506	Syas.g_01536	Prbe.g_01896
OG0000507	Syas.g_01530	Prbe.g_01899
OG0000508	Syas.g_01523	Prbe.g_01903
OG0000509	Syas.g_01521	Prbe.g_01905
OG0000510	Syas.g_01520	Prbe.g_01906
OG0000511	Syas.g_01519	Prbe.g_01907
OG0000512	Syas.g_01517	Prbe.g_01909
OG0000513	Syas.g_01508	Prbe.g_01918
OG0000514	Syas.g_01504	Prbe.g_01929
OG0000515	Syas.g_01503	Prbe.g_01930
OG0000516	Syas.g_01501	Prbe.g_01931
OG0000517	Syas.g_01498	Prbe.g_01933
OG0000518	Syas.g_00360, Syas.g_02746	Prbe.g_01944
OG0000519	Syas.g_02747	Prbe.g_01945
OG0000520	Syas.g_02748	Prbe.g_01946
OG0000521	Syas.g_01281	Prbe.g_00676
OG0000522	Syas.g_01279	Prbe.g_00674
OG0000523	Syas.g_01278	Prbe.g_00673
OG0000524	Syas.g_01354	Prbe.g_00668
OG0000525	Syas.g_01342	Prbe.g_00664
OG0000526	Syas.g_01340	Prbe.g_00663
OG0000527	Syas.g_01335	Prbe.g_00660
OG0000528	Syas.g_01256	Prbe.g_00655
OG0000529	Syas.g_01252	Prbe.g_00652
OG0000530	Syas.g_01249	Prbe.g_00649
OG0000531	Syas.g_01248	Prbe.g_00648
OG0000532	Syas.g_01245	Prbe.g_00646
OG0000533	Syas.g_01243	Prbe.g_00645
OG0000534	Syas.g_01242	Prbe.g_00644
OG0000535	Syas.g_01241	Prbe.g_00643
OG0000536	Syas.g_01240	Prbe.g_00642
OG0000537	Syas.g_01238	Prbe.g_00641
OG0000538	Syas.g_01228	Prbe.g_00632
OG0000539	Syas.g_01227	Prbe.g_00631
OG0000540	Syas.g_01226	Prbe.g_00630
OG0000541	Syas.g_01225	Prbe.g_00629
OG0000542	Syas.g_01221	Prbe.g_00628
OG0000543	Syas.g_01219	Prbe.g_00626
OG0000544	Syas.g_01218	Prbe.g_00625
OG0000545	Syas.g_01216	Prbe.g_00623
OG0000546	Syas.g_01214	Prbe.g_00620
OG0000547	Syas.g_01212	Prbe.g_00618
OG0000548	Syas.g_01211	Prbe.g_00617
OG0000549	Syas.g_00005	Prbe.g_00615
OG0000550	Syas.g_00010	Prbe.g_00611
OG0000551	Syas.g_00015	Prbe.g_00608
OG0000552	Syas.g_00016	Prbe.g_00607
OG0000553	Syas.g_00019	Prbe.g_00606
OG0000554	Syas.g_00063	Prbe.g_00601
OG0000555	Syas.g_00775	Prbe.g_00593
OG0000556	Syas.g_00781	Prbe.g_00591
OG0000557	Syas.g_00783	Prbe.g_00590
OG0000558	Syas.g_00785	Prbe.g_00588
OG0000559	Syas.g_00789	Prbe.g_00584
OG0000560	Syas.g_00792	Prbe.g_00581
OG0000561	Syas.g_00793	Prbe.g_00580
OG0000562	Syas.g_00794	Prbe.g_00579
OG0000563	Syas.g_00795	Prbe.g_00578
OG0000564	Syas.g_00796	Prbe.g_00577
OG0000565	Syas.g_00800	Prbe.g_00575
OG0000566	Syas.g_00804	Prbe.g_00571
OG0000567	Syas.g_00808	Prbe.g_00567
