Orthogroup	Syas	Prar
OG0000042	Syas.g_01121, Syas.g_02147	Prar.g_00660
OG0000044	Syas.g_00894, Syas.g_02453	Prar.g_01172
OG0000048	Syas.g_01734	Prar.g_00435
OG0000053	Syas.g_01287	Prar.g_00589, Prar.g_00827
OG0000054	Syas.g_00961, Syas.g_00957	Prar.g_01436
OG0000055	Syas.g_00203	Prar.g_01664
OG0000057	Syas.g_01055, Syas.g_01038	Prar.g_01528
OG0000058	Syas.g_01151	Prar.g_00362
OG0000059	Syas.g_01639	Prar.g_01090
OG0000061	Syas.g_01184	Prar.g_01263
OG0000062	Syas.g_02702	Prar.g_00769
OG0000063	Syas.g_02074	Prar.g_00004, Prar.g_00005, Prar.g_01189
OG0000065	Syas.g_02420	Prar.g_00221
OG0000066	Syas.g_00094	Prar.g_01369
OG0000067	Syas.g_00596, Syas.g_00352, Syas.g_02346	Prar.g_01684
OG0000068	Syas.g_00969, Syas.g_01261	Prar.g_00911
OG0000069	Syas.g_00779, Syas.g_00876	Prar.g_01170, Prar.g_00736
OG0000070	Syas.g_00173	Prar.g_00498
OG0000071	Syas.g_02854	Prar.g_00955
OG0000072	Syas.g_02326, Syas.g_01524	Prar.g_00156
OG0000073	Syas.g_00358, Syas.g_00264, Syas.g_01230	Prar.g_01330
OG0000075	Syas.g_01921, Syas.g_02194	Prar.g_00629
OG0000076	Syas.g_02156	Prar.g_00592, Prar.g_00653
OG0000077	Syas.g_02510	Prar.g_00250
OG0000078	Syas.g_02561, Syas.g_02308	Prar.g_00088
OG0000081	Syas.g_00391	Prar.g_01361
OG0000082	Syas.g_00837	Prar.g_01414
OG0000085	Syas.g_02695	Prar.g_01150
OG0000086	Syas.g_02470	Prar.g_00240
OG0000087	Syas.g_02374	Prar.g_00189
OG0000089	Syas.g_01512	Prar.g_00416
OG0000090	Syas.g_00062	Prar.g_01363
OG0000091	Syas.g_00907, Syas.g_00146	Prar.g_01472
OG0000092	Syas.g_00900, Syas.g_00877	Prar.g_00615
OG0000094	Syas.g_00208, Syas.g_01716	Prar.g_01885
OG0000095	Syas.g_01021	Prar.g_01904
OG0000097	Syas.g_00114, Syas.g_01443	Prar.g_01222
OG0000098	Syas.g_00091	Prar.g_00929
OG0000099	Syas.g_01826	Prar.g_00872
OG0000100	Syas.g_00567	Prar.g_00773
OG0000101	Syas.g_01589	Prar.g_01027
OG0000102	Syas.g_02152, Syas.g_01395	Prar.g_00658
OG0000103	Syas.g_02009	Prar.g_00050
OG0000104	Syas.g_02027, Syas.g_02026	Prar.g_00042
OG0000105	Syas.g_01739	Prar.g_00313
OG0000106	Syas.g_01451	Prar.g_00431
OG0000107	Syas.g_01669	Prar.g_00446
OG0000108	Syas.g_01253	Prar.g_00530
OG0000109	Syas.g_01236	Prar.g_00544
OG0000110	Syas.g_00359, Syas.g_00818	Prar.g_01404
OG0000111	Syas.g_01037	Prar.g_01529
OG0000112	Syas.g_00452	Prar.g_01652
OG0000113	Syas.g_00571	Prar.g_01706
OG0000114	Syas.g_00252, Syas.g_00674	Prar.g_01776
OG0000115	Syas.g_02548, Syas.g_01285	Prar.g_01318
OG0000116	Syas.g_01198, Syas.g_00317	Prar.g_01273
OG0000117	Syas.g_01122	Prar.g_01003
OG0000118	Syas.g_02835	Prar.g_00943
OG0000120	Syas.g_01828	Prar.g_00880
OG0000121	Syas.g_02821	Prar.g_00337
OG0000122	Syas.g_00393	Prar.g_00807
OG0000123	Syas.g_01582	Prar.g_01021
OG0000124	Syas.g_02137	Prar.g_00668
OG0000125	Syas.g_01889	Prar.g_00704
OG0000126	Syas.g_01992	Prar.g_00043
OG0000128	Syas.g_02046	Prar.g_00027
OG0000129	Syas.g_01880	Prar.g_00576
OG0000130	Syas.g_02522	Prar.g_00549
OG0000131	Syas.g_02367	Prar.g_00182
OG0000132	Syas.g_02334	Prar.g_00163
OG0000133	Syas.g_00457	Prar.g_00265
OG0000134	Syas.g_01509	Prar.g_00417
OG0000135	Syas.g_01938	Prar.g_00444
OG0000136	Syas.g_02740	Prar.g_00489
OG0000137	Syas.g_01333	Prar.g_00525
OG0000138	Syas.g_01235	Prar.g_00545
OG0000139	Syas.g_00069	Prar.g_01367
OG0000140	Syas.g_00090	Prar.g_01368
OG0000141	Syas.g_00875	Prar.g_01437
OG0000142	Syas.g_00746	Prar.g_01465
OG0000143	Syas.g_00742	Prar.g_01469
OG0000144	Syas.g_00718	Prar.g_01482
OG0000145	Syas.g_00948	Prar.g_01651
OG0000146	Syas.g_00451	Prar.g_01653
OG0000147	Syas.g_00450	Prar.g_01654
OG0000148	Syas.g_00577	Prar.g_01700
OG0000149	Syas.g_00282	Prar.g_01730
OG0000150	Syas.g_00874	Prar.g_01738
OG0000151	Syas.g_00148, Syas.g_00659	Prar.g_01786
OG0000152	Syas.g_00461	Prar.g_01833
OG0000153	Syas.g_00543	Prar.g_01852
OG0000154	Syas.g_00219	Prar.g_01878
OG0000155	Syas.g_01131	Prar.g_01243
OG0000156	Syas.g_01206	Prar.g_00966
OG0000157	Syas.g_01207	Prar.g_00965
OG0000158	Syas.g_02185	Prar.g_00375
OG0000160	Syas.g_02820	Prar.g_00338
OG0000161	Syas.g_02826	Prar.g_00840
OG0000162	Syas.g_02751	Prar.g_00834
OG0000163	Syas.g_01488	Prar.g_00800
OG0000164	Syas.g_02648	Prar.g_01964
OG0000165	Syas.g_02609	Prar.g_01971
OG0000166	Syas.g_01629	Prar.g_01063
OG0000167	Syas.g_01449	Prar.g_00627
OG0000168	Syas.g_02184	Prar.g_00637
OG0000169	Syas.g_02170	Prar.g_00647
OG0000170	Syas.g_02161	Prar.g_00649
OG0000171	Syas.g_02139	Prar.g_00667
OG0000172	Syas.g_02110	Prar.g_00675
OG0000173	Syas.g_02092	Prar.g_00690
OG0000174	Syas.g_01940	Prar.g_00068
OG0000175	Syas.g_01994	Prar.g_00058
OG0000176	Syas.g_02038	Prar.g_00034
OG0000177	Syas.g_02039	Prar.g_00033
OG0000178	Syas.g_02040	Prar.g_00032
OG0000179	Syas.g_02054	Prar.g_00022
OG0000180	Syas.g_02055	Prar.g_00021
OG0000181	Syas.g_02056	Prar.g_00020
OG0000182	Syas.g_02057	Prar.g_00019
OG0000183	Syas.g_02061	Prar.g_00015
OG0000184	Syas.g_01872	Prar.g_00573
OG0000185	Syas.g_01861	Prar.g_00570
OG0000186	Syas.g_02525	Prar.g_00554
OG0000187	Syas.g_02524	Prar.g_00553
OG0000188	Syas.g_02502	Prar.g_00246
OG0000189	Syas.g_02432	Prar.g_00232
OG0000190	Syas.g_00133	Prar.g_00231
OG0000191	Syas.g_02400	Prar.g_00211
OG0000192	Syas.g_02395	Prar.g_00207
OG0000193	Syas.g_02366	Prar.g_00181
OG0000194	Syas.g_02363	Prar.g_00178
OG0000195	Syas.g_02360	Prar.g_00176
OG0000196	Syas.g_02337	Prar.g_00166
OG0000197	Syas.g_02336	Prar.g_00165
OG0000198	Syas.g_02335	Prar.g_00164
OG0000199	Syas.g_02327	Prar.g_00157
OG0000200	Syas.g_02298	Prar.g_00143
OG0000201	Syas.g_02279	Prar.g_00135
OG0000202	Syas.g_02278	Prar.g_00134
OG0000203	Syas.g_02277	Prar.g_00133
OG0000204	Syas.g_02276	Prar.g_00132
OG0000205	Syas.g_02267	Prar.g_00125
OG0000206	Syas.g_02240	Prar.g_00120
OG0000207	Syas.g_02237	Prar.g_00118
OG0000208	Syas.g_02236	Prar.g_00117
OG0000209	Syas.g_01837	Prar.g_00108
OG0000210	Syas.g_01838	Prar.g_00107
OG0000211	Syas.g_02552	Prar.g_00094
OG0000212	Syas.g_02562	Prar.g_00087
OG0000213	Syas.g_01707	Prar.g_00330
OG0000214	Syas.g_01730	Prar.g_00320
OG0000215	Syas.g_01766	Prar.g_00295
OG0000216	Syas.g_01770	Prar.g_00293
OG0000217	Syas.g_01778	Prar.g_01154, Prar.g_00290
OG0000218	Syas.g_01780	Prar.g_00288
OG0000219	Syas.g_01783	Prar.g_00287
OG0000220	Syas.g_01784	Prar.g_00286
OG0000221	Syas.g_01785	Prar.g_00285
OG0000222	Syas.g_01804	Prar.g_00277
OG0000223	Syas.g_02221	Prar.g_00264
OG0000224	Syas.g_02215	Prar.g_00262
OG0000225	Syas.g_01522	Prar.g_00406
OG0000226	Syas.g_01518	Prar.g_00410
OG0000227	Syas.g_01516	Prar.g_00412
OG0000228	Syas.g_01513	Prar.g_00415
OG0000229	Syas.g_01497	Prar.g_00484
OG0000230	Syas.g_01495	Prar.g_00486
OG0000231	Syas.g_02749	Prar.g_00497
OG0000232	Syas.g_01276	Prar.g_00506
OG0000233	Syas.g_01352	Prar.g_00512
OG0000234	Syas.g_01331	Prar.g_00526
OG0000235	Syas.g_01254	Prar.g_00529
OG0000236	Syas.g_01237	Prar.g_00543
OG0000237	Syas.g_01220	Prar.g_01337
OG0000238	Syas.g_01215	Prar.g_01343
OG0000239	Syas.g_00012	Prar.g_01355
OG0000240	Syas.g_00013	Prar.g_01356
OG0000241	Syas.g_00754	Prar.g_01360
OG0000242	Syas.g_00059	Prar.g_01362
OG0000243	Syas.g_00777	Prar.g_01373
OG0000244	Syas.g_00784	Prar.g_01376
OG0000245	Syas.g_00786	Prar.g_01378
OG0000246	Syas.g_00790	Prar.g_01382
OG0000247	Syas.g_00802	Prar.g_01392
OG0000248	Syas.g_00805	Prar.g_01394
OG0000249	Syas.g_00807	Prar.g_01396
OG0000250	Syas.g_00814	Prar.g_01401
OG0000251	Syas.g_00845	Prar.g_01420
OG0000252	Syas.g_00950	Prar.g_01424
OG0000253	Syas.g_00846	Prar.g_01425
OG0000254	Syas.g_00869	Prar.g_01441
OG0000255	Syas.g_00132, Syas.g_01062	Prar.g_01447
OG0000256	Syas.g_00104	Prar.g_01457
OG0000257	Syas.g_00757	Prar.g_01460
OG0000258	Syas.g_00733	Prar.g_01473
OG0000259	Syas.g_01006, Syas.g_00708	Prar.g_01490
OG0000260	Syas.g_00705	Prar.g_01493
OG0000261	Syas.g_00701	Prar.g_01495
OG0000262	Syas.g_00695	Prar.g_01499
OG0000263	Syas.g_01103	Prar.g_01511
OG0000264	Syas.g_02588	Prar.g_01521
OG0000266	Syas.g_00186	Prar.g_01609
OG0000267	Syas.g_00377	Prar.g_01620
OG0000268	Syas.g_00390	Prar.g_01621
OG0000269	Syas.g_00601	Prar.g_01679
OG0000270	Syas.g_00598	Prar.g_01682
OG0000271	Syas.g_00590	Prar.g_01690
OG0000272	Syas.g_00589	Prar.g_01691
OG0000273	Syas.g_00563	Prar.g_01714
OG0000274	Syas.g_00562	Prar.g_01715
OG0000275	Syas.g_00230	Prar.g_01717
OG0000276	Syas.g_00237	Prar.g_01722
OG0000277	Syas.g_00238	Prar.g_01723
OG0000278	Syas.g_00241	Prar.g_01726
OG0000279	Syas.g_00288	Prar.g_01733
OG0000280	Syas.g_00889, Syas.g_00481	Prar.g_01734
OG0000281	Syas.g_00970	Prar.g_01740
OG0000282	Syas.g_00672	Prar.g_01778
OG0000283	Syas.g_00409	Prar.g_01810
OG0000284	Syas.g_00416	Prar.g_01815
OG0000285	Syas.g_00436	Prar.g_01820
OG0000286	Syas.g_00460	Prar.g_01832
OG0000287	Syas.g_00534	Prar.g_01849
OG0000288	Syas.g_00220	Prar.g_01877
OG0000289	Syas.g_00205	Prar.g_01888
OG0000290	Syas.g_01016	Prar.g_01901
OG0000291	Syas.g_01018	Prar.g_01903
OG0000292	Syas.g_02020	Prar.g_01953
OG0000293	Syas.g_01197	Prar.g_01272
OG0000294	Syas.g_01196	Prar.g_01271
OG0000295	Syas.g_01139	Prar.g_01251
OG0000296	Syas.g_01137	Prar.g_01249
OG0000297	Syas.g_01124	Prar.g_01241
OG0000298	Syas.g_01123	Prar.g_01240
OG0000299	Syas.g_01087	Prar.g_01223
OG0000300	Syas.g_01082	Prar.g_01220
OG0000301	Syas.g_01081	Prar.g_01219
OG0000302	Syas.g_01080	Prar.g_01217
OG0000303	Syas.g_01071	Prar.g_01210
OG0000304	Syas.g_01066	Prar.g_01206
OG0000305	Syas.g_01023	Prar.g_00919
OG0000306	Syas.g_01929	Prar.g_00916
OG0000307	Syas.g_01270	Prar.g_00902
OG0000308	Syas.g_01272	Prar.g_00901
OG0000309	Syas.g_01364	Prar.g_00897
OG0000310	Syas.g_02796	Prar.g_00354
OG0000311	Syas.g_02799	Prar.g_00352
OG0000312	Syas.g_02804	Prar.g_00349
OG0000313	Syas.g_02823	Prar.g_00335
OG0000314	Syas.g_01296	Prar.g_00820
OG0000315	Syas.g_01306	Prar.g_00810
OG0000316	Syas.g_02728	Prar.g_00790
OG0000317	Syas.g_02687	Prar.g_01145
OG0000318	Syas.g_02680	Prar.g_01142
OG0000319	Syas.g_02663	Prar.g_01129
OG0000320	Syas.g_02661	Prar.g_01127
OG0000321	Syas.g_02660	Prar.g_01126
OG0000322	Syas.g_02659	Prar.g_01125
OG0000323	Syas.g_02646, Syas.g_00159	Prar.g_01967
OG0000324	Syas.g_02578	Prar.g_00609
OG0000325	Syas.g_01668	Prar.g_01113
OG0000326	Syas.g_01661	Prar.g_01107
OG0000327	Syas.g_01634	Prar.g_01068
OG0000328	Syas.g_01633	Prar.g_01067
OG0000329	Syas.g_01615	Prar.g_01050
OG0000330	Syas.g_01614	Prar.g_01049
OG0000331	Syas.g_01613	Prar.g_01048
OG0000332	Syas.g_01598	Prar.g_01034
OG0000333	Syas.g_01595	Prar.g_01032
OG0000334	Syas.g_01586	Prar.g_01024
OG0000335	Syas.g_01581	Prar.g_01020
OG0000336	Syas.g_01577	Prar.g_01016
OG0000337	Syas.g_02211	Prar.g_00625
OG0000338	Syas.g_02199	Prar.g_00626
OG0000339	Syas.g_02192	Prar.g_00630
OG0000340	Syas.g_02183	Prar.g_00638
OG0000341	Syas.g_02181	Prar.g_00640
OG0000342	Syas.g_02180	Prar.g_00641
OG0000343	Syas.g_02176	Prar.g_00642
OG0000344	Syas.g_02172	Prar.g_00645
OG0000345	Syas.g_02160	Prar.g_00650
OG0000346	Syas.g_02155	Prar.g_00654
OG0000347	Syas.g_02136	Prar.g_00669
OG0000348	Syas.g_02107	Prar.g_00678
OG0000349	Syas.g_02085	Prar.g_00695
OG0000350	Syas.g_01654	Prar.g_00072
OG0000351	Syas.g_01998	Prar.g_00055
OG0000352	Syas.g_01999	Prar.g_00054
OG0000353	Syas.g_02033	Prar.g_00039
OG0000355	Syas.g_02035	Prar.g_00037
OG0000356	Syas.g_02036	Prar.g_00036
OG0000357	Syas.g_02037	Prar.g_00035
OG0000358	Syas.g_02041	Prar.g_00031
OG0000359	Syas.g_02043	Prar.g_00030
OG0000360	Syas.g_02044	Prar.g_00029
OG0000361	Syas.g_02045	Prar.g_00028
OG0000362	Syas.g_02047	Prar.g_00026
OG0000363	Syas.g_02049	Prar.g_00024
OG0000364	Syas.g_02685	Prar.g_00023
OG0000365	Syas.g_02058	Prar.g_00018
OG0000366	Syas.g_02059	Prar.g_00017
OG0000368	Syas.g_02062	Prar.g_00014
OG0000369	Syas.g_02063	Prar.g_00013
OG0000370	Syas.g_02064	Prar.g_00012
OG0000371	Syas.g_02073	Prar.g_00006
OG0000372	Syas.g_02078	Prar.g_00002
OG0000373	Syas.g_02079	Prar.g_00001
OG0000374	Syas.g_02080	Prar.g_00594
OG0000375	Syas.g_02081	Prar.g_00580
OG0000376	Syas.g_02083	Prar.g_00578
OG0000377	Syas.g_01879	Prar.g_00574
OG0000378	Syas.g_01867	Prar.g_00572
OG0000379	Syas.g_01859	Prar.g_00569
OG0000380	Syas.g_02523	Prar.g_00552
OG0000381	Syas.g_02521	Prar.g_00548
OG0000382	Syas.g_02503	Prar.g_00247
OG0000383	Syas.g_02480	Prar.g_00245
OG0000384	Syas.g_02479	Prar.g_00244
OG0000385	Syas.g_02478	Prar.g_00243
OG0000386	Syas.g_02477	Prar.g_00242
OG0000387	Syas.g_00134	Prar.g_00229
OG0000388	Syas.g_02426	Prar.g_00226
OG0000389	Syas.g_02422	Prar.g_00222
OG0000390	Syas.g_02406	Prar.g_00215
OG0000391	Syas.g_02401	Prar.g_00212
OG0000392	Syas.g_02396	Prar.g_00208
OG0000393	Syas.g_02394	Prar.g_00206
OG0000394	Syas.g_02393	Prar.g_00205
OG0000395	Syas.g_02392	Prar.g_00204
OG0000396	Syas.g_02389	Prar.g_00201
OG0000397	Syas.g_02387	Prar.g_00199
OG0000398	Syas.g_02382	Prar.g_00197
OG0000399	Syas.g_02381	Prar.g_00196
OG0000400	Syas.g_02380	Prar.g_00195
OG0000401	Syas.g_02379	Prar.g_00194
OG0000402	Syas.g_02377	Prar.g_00192
OG0000403	Syas.g_02376	Prar.g_00191
OG0000404	Syas.g_02375	Prar.g_00190
OG0000405	Syas.g_02369	Prar.g_00186
OG0000406	Syas.g_02365	Prar.g_00180
OG0000407	Syas.g_02364	Prar.g_00179
OG0000408	Syas.g_02361	Prar.g_00177
OG0000409	Syas.g_02359	Prar.g_00175
OG0000410	Syas.g_02358	Prar.g_00174
OG0000411	Syas.g_02357	Prar.g_00173
OG0000412	Syas.g_02356	Prar.g_00172
OG0000413	Syas.g_02354	Prar.g_00171
OG0000414	Syas.g_02353	Prar.g_01569, Prar.g_00170
OG0000415	Syas.g_02352	Prar.g_00169
OG0000416	Syas.g_02351	Prar.g_00168
OG0000417	Syas.g_02338	Prar.g_00167
OG0000418	Syas.g_02333	Prar.g_00162
OG0000419	Syas.g_02331	Prar.g_00160
OG0000420	Syas.g_02329	Prar.g_00159
OG0000421	Syas.g_02324	Prar.g_00154
OG0000422	Syas.g_02323	Prar.g_00153
OG0000423	Syas.g_02322	Prar.g_00152
OG0000424	Syas.g_02321	Prar.g_00151
OG0000425	Syas.g_02320	Prar.g_00150
OG0000426	Syas.g_02319	Prar.g_00149
OG0000427	Syas.g_02318	Prar.g_00148
OG0000428	Syas.g_02315	Prar.g_00146
OG0000429	Syas.g_02312	Prar.g_00145
OG0000430	Syas.g_02311	Prar.g_00144
OG0000431	Syas.g_02296	Prar.g_00142
OG0000432	Syas.g_02288	Prar.g_00139
OG0000433	Syas.g_02286	Prar.g_00138
OG0000434	Syas.g_02285	Prar.g_00137
OG0000435	Syas.g_02282	Prar.g_00136
OG0000436	Syas.g_02273	Prar.g_00131
OG0000437	Syas.g_02272	Prar.g_00130
OG0000438	Syas.g_02271	Prar.g_00129
OG0000439	Syas.g_02269	Prar.g_00127
OG0000440	Syas.g_02268	Prar.g_00126
OG0000441	Syas.g_02265	Prar.g_00123
OG0000442	Syas.g_02259	Prar.g_00122
OG0000443	Syas.g_02241	Prar.g_00121
OG0000444	Syas.g_02234	Prar.g_00116
OG0000445	Syas.g_02233	Prar.g_00115
OG0000446	Syas.g_02231	Prar.g_00114
OG0000447	Syas.g_02229	Prar.g_00113
OG0000448	Syas.g_02228	Prar.g_00112
OG0000449	Syas.g_02226	Prar.g_00111
OG0000450	Syas.g_01834	Prar.g_00110
OG0000451	Syas.g_01835	Prar.g_00109
OG0000452	Syas.g_01844	Prar.g_00106
OG0000453	Syas.g_01845	Prar.g_00105
OG0000454	Syas.g_01846	Prar.g_00104
OG0000455	Syas.g_01847	Prar.g_00103
OG0000456	Syas.g_01848	Prar.g_00102
OG0000457	Syas.g_01850	Prar.g_00101
OG0000458	Syas.g_01851	Prar.g_00100
OG0000459	Syas.g_01852	Prar.g_00099
OG0000460	Syas.g_02554	Prar.g_00092
OG0000461	Syas.g_01686	Prar.g_00085
OG0000462	Syas.g_01688	Prar.g_00083
OG0000463	Syas.g_01689	Prar.g_00082
OG0000464	Syas.g_01690	Prar.g_00081
OG0000465	Syas.g_01692	Prar.g_00080
OG0000466	Syas.g_01697	Prar.g_00077
OG0000467	Syas.g_01698	Prar.g_00076
OG0000468	Syas.g_01703	Prar.g_00334
OG0000469	Syas.g_01725	Prar.g_00325
OG0000470	Syas.g_01727	Prar.g_00323
OG0000471	Syas.g_01728	Prar.g_00322
OG0000472	Syas.g_01729	Prar.g_00321
OG0000473	Syas.g_01731	Prar.g_00319
OG0000474	Syas.g_01732	Prar.g_00318
OG0000475	Syas.g_01733	Prar.g_00317
OG0000476	Syas.g_01735	Prar.g_00316
OG0000477	Syas.g_01740	Prar.g_00312
OG0000478	Syas.g_01741	Prar.g_00311
OG0000479	Syas.g_01749	Prar.g_00310
OG0000480	Syas.g_01756	Prar.g_00305
OG0000481	Syas.g_00161, Syas.g_00162	Prar.g_00303
OG0000482	Syas.g_01758	Prar.g_00302
OG0000483	Syas.g_01762	Prar.g_00299
OG0000484	Syas.g_01763	Prar.g_00298
OG0000485	Syas.g_01764	Prar.g_00297
OG0000486	Syas.g_01765	Prar.g_00296
OG0000487	Syas.g_01771	Prar.g_00292
OG0000488	Syas.g_01779	Prar.g_00289
OG0000489	Syas.g_01823	Prar.g_00284
OG0000490	Syas.g_01808	Prar.g_00279
OG0000491	Syas.g_01806	Prar.g_00278
OG0000492	Syas.g_01803	Prar.g_00276
OG0000493	Syas.g_01802	Prar.g_00275
OG0000494	Syas.g_01801	Prar.g_00274
OG0000495	Syas.g_01799	Prar.g_00273
OG0000496	Syas.g_01798	Prar.g_00272
OG0000497	Syas.g_01797	Prar.g_00271
OG0000498	Syas.g_01796	Prar.g_00270
OG0000499	Syas.g_01795	Prar.g_00269
OG0000500	Syas.g_01794	Prar.g_00268
OG0000501	Syas.g_01791	Prar.g_00266
OG0000502	Syas.g_02216	Prar.g_00263
OG0000503	Syas.g_01541	Prar.g_00394
OG0000504	Syas.g_01539	Prar.g_00395
OG0000505	Syas.g_01538	Prar.g_00396
OG0000506	Syas.g_01536	Prar.g_00398
OG0000507	Syas.g_01530	Prar.g_00401
OG0000508	Syas.g_01523	Prar.g_00405
OG0000509	Syas.g_01521	Prar.g_00407
OG0000510	Syas.g_01520	Prar.g_00408
OG0000511	Syas.g_01519	Prar.g_00409
OG0000512	Syas.g_01517	Prar.g_00411
OG0000513	Syas.g_01508	Prar.g_00418
OG0000514	Syas.g_01504	Prar.g_00479
OG0000515	Syas.g_01503	Prar.g_00480
OG0000516	Syas.g_01501	Prar.g_00481
OG0000517	Syas.g_01498	Prar.g_00483
OG0000518	Syas.g_00360, Syas.g_02746	Prar.g_00494
OG0000519	Syas.g_02747	Prar.g_00495
OG0000520	Syas.g_02748	Prar.g_00496
OG0000521	Syas.g_01281	Prar.g_00501
OG0000522	Syas.g_01279	Prar.g_00503
OG0000523	Syas.g_01278	Prar.g_00504
OG0000524	Syas.g_01354	Prar.g_00510
OG0000525	Syas.g_01342	Prar.g_00513
OG0000526	Syas.g_01340	Prar.g_00514
OG0000527	Syas.g_01335	Prar.g_00523
OG0000528	Syas.g_01256	Prar.g_00528
OG0000529	Syas.g_01252	Prar.g_00531
OG0000530	Syas.g_01249	Prar.g_00534
OG0000531	Syas.g_01248	Prar.g_00535
OG0000532	Syas.g_01245	Prar.g_00537
OG0000533	Syas.g_01243	Prar.g_00538
OG0000534	Syas.g_01242	Prar.g_00539
OG0000535	Syas.g_01241	Prar.g_00540
OG0000536	Syas.g_01240	Prar.g_00541
OG0000537	Syas.g_01238	Prar.g_00542
OG0000538	Syas.g_01228	Prar.g_01331
OG0000539	Syas.g_01227	Prar.g_01332
OG0000540	Syas.g_01226	Prar.g_01333
OG0000541	Syas.g_01225	Prar.g_01334
OG0000542	Syas.g_01221	Prar.g_01336
OG0000543	Syas.g_01219	Prar.g_01338
OG0000544	Syas.g_01218	Prar.g_01339
OG0000545	Syas.g_01216	Prar.g_01341
OG0000546	Syas.g_01214	Prar.g_01344
OG0000547	Syas.g_01212	Prar.g_01345
OG0000548	Syas.g_01211	Prar.g_01346
OG0000549	Syas.g_00005	Prar.g_01348
OG0000550	Syas.g_00010	Prar.g_01353
OG0000551	Syas.g_00015	Prar.g_01357
OG0000552	Syas.g_00016	Prar.g_01358
OG0000553	Syas.g_00019	Prar.g_01359
OG0000554	Syas.g_00063	Prar.g_01364
OG0000555	Syas.g_00775	Prar.g_01372
OG0000556	Syas.g_00781	Prar.g_01374
OG0000557	Syas.g_00783	Prar.g_01375
OG0000558	Syas.g_00785	Prar.g_01377
OG0000559	Syas.g_00789	Prar.g_01381
OG0000560	Syas.g_00792	Prar.g_01384
OG0000561	Syas.g_00793	Prar.g_01385
OG0000562	Syas.g_00794	Prar.g_01386
OG0000563	Syas.g_00795	Prar.g_01387
OG0000564	Syas.g_00796	Prar.g_01388
OG0000565	Syas.g_00800	Prar.g_01391
OG0000566	Syas.g_00804	Prar.g_01393
OG0000567	Syas.g_00808	Prar.g_01397
OG0000568	Syas.g_00810	Prar.g_01398
OG0000569	Syas.g_00811	Prar.g_01399
OG0000570	Syas.g_00812	Prar.g_01400
OG0000571	Syas.g_00815	Prar.g_01402
OG0000572	Syas.g_00839	Prar.g_01415
OG0000573	Syas.g_00952	Prar.g_01422
OG0000574	Syas.g_00951	Prar.g_01423
OG0000575	Syas.g_00848	Prar.g_01427
OG0000576	Syas.g_00850	Prar.g_01429
OG0000577	Syas.g_00851	Prar.g_01430
OG0000578	Syas.g_00852	Prar.g_01431
OG0000579	Syas.g_00853	Prar.g_01432
OG0000580	Syas.g_00854	Prar.g_01433
OG0000581	Syas.g_00861	Prar.g_01435
OG0000582	Syas.g_00873	Prar.g_01438
OG0000583	Syas.g_00872	Prar.g_01439
OG0000584	Syas.g_00871	Prar.g_01440
OG0000585	Syas.g_00868	Prar.g_01442
OG0000586	Syas.g_00867	Prar.g_01443
OG0000587	Syas.g_00865	Prar.g_01444
OG0000588	Syas.g_00960	Prar.g_01448
OG0000589	Syas.g_00121	Prar.g_01451
OG0000590	Syas.g_00120	Prar.g_01452
