Orthogroup	Syas	Prbn
OG0000101	Syas.g_01589	Prbn.g_01881
OG0000102	Syas.g_02152, Syas.g_01395	Prbn.g_00991
OG0000103	Syas.g_02009	Prbn.g_00907
OG0000104	Syas.g_02027, Syas.g_02026	Prbn.g_00296
OG0000105	Syas.g_01739	Prbn.g_00041
OG0000106	Syas.g_01451	Prbn.g_00829
OG0000107	Syas.g_01669	Prbn.g_01810
OG0000108	Syas.g_01253	Prbn.g_00634
OG0000109	Syas.g_01236	Prbn.g_00620
OG0000110	Syas.g_00359, Syas.g_00818	Prbn.g_00541
OG0000111	Syas.g_01037	Prbn.g_01561
OG0000112	Syas.g_00452	Prbn.g_00468
OG0000113	Syas.g_00571	Prbn.g_01523
OG0000114	Syas.g_00252, Syas.g_00674	Prbn.g_01621
OG0000115	Syas.g_02548, Syas.g_01285	Prbn.g_01120
OG0000116	Syas.g_01198, Syas.g_00317	Prbn.g_01178
OG0000117	Syas.g_01122	Prbn.g_00389
OG0000118	Syas.g_02835	Prbn.g_01071
OG0000120	Syas.g_01828	Prbn.g_00170
OG0000121	Syas.g_02821	Prbn.g_00214
OG0000122	Syas.g_00393	Prbn.g_01113, Prbn.g_00255
OG0000123	Syas.g_01582	Prbn.g_01888
OG0000124	Syas.g_02137	Prbn.g_00979
OG0000125	Syas.g_01889	Prbn.g_00944
OG0000126	Syas.g_01992	Prbn.g_00295
OG0000128	Syas.g_02046	Prbn.g_00002, Prbn.g_00003
OG0000129	Syas.g_01880	Prbn.g_00737
OG0000130	Syas.g_02522	Prbn.g_00708
OG0000131	Syas.g_02367	Prbn.g_01269
OG0000132	Syas.g_02334	Prbn.g_01249
OG0000133	Syas.g_00457	Prbn.g_00088
OG0000134	Syas.g_01509	Prbn.g_00694
OG0000135	Syas.g_01938	Prbn.g_01102
OG0000136	Syas.g_02740	Prbn.g_00672
OG0000137	Syas.g_01333	Prbn.g_00639
OG0000138	Syas.g_01235	Prbn.g_00619
OG0000139	Syas.g_00069	Prbn.g_00579
OG0000140	Syas.g_00090	Prbn.g_00578
OG0000141	Syas.g_00875	Prbn.g_00507
OG0000142	Syas.g_00746	Prbn.g_00426
OG0000143	Syas.g_00742	Prbn.g_00430
OG0000144	Syas.g_00718	Prbn.g_00444
OG0000145	Syas.g_00948	Prbn.g_01100
OG0000146	Syas.g_00451	Prbn.g_00469
OG0000147	Syas.g_00450	Prbn.g_00470
OG0000148	Syas.g_00577	Prbn.g_01529
OG0000149	Syas.g_00282	Prbn.g_01497
OG0000150	Syas.g_00874	Prbn.g_01487
OG0000151	Syas.g_00148, Syas.g_00659	Prbn.g_01611
OG0000152	Syas.g_00461	Prbn.g_01418
OG0000153	Syas.g_00543	Prbn.g_01399
OG0000154	Syas.g_00219	Prbn.g_01379
OG0000155	Syas.g_01131	Prbn.g_01210
OG0000156	Syas.g_01206	Prbn.g_01095
OG0000157	Syas.g_01207	Prbn.g_01094
OG0000158	Syas.g_02185	Prbn.g_01014
OG0000159	Syas.g_01155	Prbn.g_00717
OG0000160	Syas.g_02820	Prbn.g_00213
OG0000161	Syas.g_02826	Prbn.g_00219
OG0000162	Syas.g_02751	Prbn.g_00225
OG0000163	Syas.g_01488	Prbn.g_00264
OG0000164	Syas.g_02648	Prbn.g_01770
OG0000165	Syas.g_02609	Prbn.g_01777
OG0000166	Syas.g_01629	Prbn.g_01844
OG0000167	Syas.g_01449	Prbn.g_01915
OG0000168	Syas.g_02184	Prbn.g_01013
OG0000169	Syas.g_02170	Prbn.g_01003
OG0000170	Syas.g_02161	Prbn.g_01000
OG0000171	Syas.g_02139	Prbn.g_00980
OG0000172	Syas.g_02110	Prbn.g_00973
OG0000173	Syas.g_02092	Prbn.g_00958
OG0000174	Syas.g_01940	Prbn.g_00929
OG0000175	Syas.g_01994	Prbn.g_00916
OG0000176	Syas.g_02038	Prbn.g_00010
OG0000177	Syas.g_02039	Prbn.g_00009
OG0000178	Syas.g_02040	Prbn.g_00008
OG0000179	Syas.g_02054	Prbn.g_00766
OG0000180	Syas.g_02055	Prbn.g_00765
OG0000181	Syas.g_02056	Prbn.g_00764
OG0000182	Syas.g_02057	Prbn.g_00763
OG0000183	Syas.g_02061	Prbn.g_00759
OG0000184	Syas.g_01872	Prbn.g_00733
OG0000185	Syas.g_01861	Prbn.g_00730
OG0000186	Syas.g_02525	Prbn.g_00714
OG0000187	Syas.g_02524	Prbn.g_00713
OG0000188	Syas.g_02502	Prbn.g_01339
OG0000189	Syas.g_02432	Prbn.g_01325
OG0000190	Syas.g_00133	Prbn.g_01323
OG0000191	Syas.g_02400	Prbn.g_01300
OG0000192	Syas.g_02395	Prbn.g_01295
OG0000193	Syas.g_02366	Prbn.g_01268
OG0000194	Syas.g_02363	Prbn.g_01265
OG0000195	Syas.g_02360	Prbn.g_01263
OG0000196	Syas.g_02337	Prbn.g_01252
OG0000197	Syas.g_02336	Prbn.g_01251
OG0000198	Syas.g_02335	Prbn.g_01250
OG0000199	Syas.g_02327	Prbn.g_01243, Prbn.g_00384
OG0000200	Syas.g_02298	Prbn.g_00370
OG0000201	Syas.g_02279	Prbn.g_00361
OG0000202	Syas.g_02278	Prbn.g_00360
OG0000203	Syas.g_02277	Prbn.g_00359
OG0000204	Syas.g_02276	Prbn.g_00358
OG0000205	Syas.g_02267	Prbn.g_00351
OG0000206	Syas.g_02240	Prbn.g_00346
OG0000207	Syas.g_02237	Prbn.g_00343
OG0000208	Syas.g_02236	Prbn.g_00342
OG0000209	Syas.g_01837	Prbn.g_00333
OG0000210	Syas.g_01838	Prbn.g_00332
OG0000211	Syas.g_02552	Prbn.g_00317
OG0000212	Syas.g_02562	Prbn.g_00309
OG0000213	Syas.g_01707	Prbn.g_00024
OG0000214	Syas.g_01730	Prbn.g_00034
OG0000215	Syas.g_01766	Prbn.g_00061
OG0000216	Syas.g_01770	Prbn.g_00062
OG0000217	Syas.g_01778	Prbn.g_00065
OG0000218	Syas.g_01780	Prbn.g_00067
OG0000219	Syas.g_01783	Prbn.g_00068
OG0000220	Syas.g_01784	Prbn.g_00069
OG0000221	Syas.g_01785	Prbn.g_00070
OG0000222	Syas.g_01804	Prbn.g_00077
OG0000223	Syas.g_02221	Prbn.g_00089
OG0000224	Syas.g_02215	Prbn.g_00091
OG0000225	Syas.g_01522	Prbn.g_00117
OG0000226	Syas.g_01518	Prbn.g_00121
OG0000227	Syas.g_01516	Prbn.g_00123
OG0000228	Syas.g_01513	Prbn.g_00697
OG0000229	Syas.g_01497	Prbn.g_00677
OG0000230	Syas.g_01495	Prbn.g_00675
OG0000231	Syas.g_02749	Prbn.g_00664
OG0000232	Syas.g_01276	Prbn.g_00653
OG0000233	Syas.g_01352	Prbn.g_00647
OG0000234	Syas.g_01331	Prbn.g_00638
OG0000235	Syas.g_01254	Prbn.g_00635
OG0000236	Syas.g_01237	Prbn.g_00621
OG0000237	Syas.g_01220	Prbn.g_00608
OG0000238	Syas.g_01215	Prbn.g_00602
OG0000239	Syas.g_00012	Prbn.g_00591
OG0000240	Syas.g_00013	Prbn.g_00590
OG0000241	Syas.g_00754	Prbn.g_00586
OG0000242	Syas.g_00059	Prbn.g_00584
OG0000243	Syas.g_00777	Prbn.g_00573
OG0000244	Syas.g_00784	Prbn.g_00570
OG0000245	Syas.g_00786	Prbn.g_00568
OG0000246	Syas.g_00790	Prbn.g_00564
OG0000247	Syas.g_00802	Prbn.g_00554
OG0000248	Syas.g_00805	Prbn.g_00551
OG0000249	Syas.g_00807	Prbn.g_00549
OG0000250	Syas.g_00814	Prbn.g_00544
OG0000251	Syas.g_00845	Prbn.g_00524
OG0000252	Syas.g_00950	Prbn.g_00521
OG0000253	Syas.g_00846	Prbn.g_00520
OG0000254	Syas.g_00869	Prbn.g_00503
OG0000255	Syas.g_00132, Syas.g_01062	Prbn.g_00497
OG0000256	Syas.g_00104	Prbn.g_00487
OG0000257	Syas.g_00757	Prbn.g_00421
OG0000258	Syas.g_00733	Prbn.g_00435
OG0000259	Syas.g_01006, Syas.g_00708	Prbn.g_00835
OG0000260	Syas.g_00705	Prbn.g_00838
OG0000261	Syas.g_00701	Prbn.g_00841
OG0000262	Syas.g_00695	Prbn.g_00845
OG0000263	Syas.g_01103	Prbn.g_01583
OG0000264	Syas.g_02588	Prbn.g_01572
OG0000266	Syas.g_00186	Prbn.g_00864
OG0000267	Syas.g_00377	Prbn.g_01350
OG0000268	Syas.g_00390	Prbn.g_01351
OG0000269	Syas.g_00601	Prbn.g_01551
OG0000270	Syas.g_00598	Prbn.g_01548
OG0000271	Syas.g_00590	Prbn.g_01540
OG0000272	Syas.g_00589	Prbn.g_01539
OG0000273	Syas.g_00563	Prbn.g_01515
OG0000274	Syas.g_00562	Prbn.g_01514
OG0000275	Syas.g_00230	Prbn.g_01511
OG0000276	Syas.g_00237	Prbn.g_01505
OG0000277	Syas.g_00238	Prbn.g_01504
OG0000278	Syas.g_00241	Prbn.g_01501
OG0000279	Syas.g_00288	Prbn.g_01494
OG0000280	Syas.g_00889, Syas.g_00481	Prbn.g_01493
OG0000281	Syas.g_00970	Prbn.g_01486
OG0000282	Syas.g_00672	Prbn.g_01619
OG0000283	Syas.g_00409	Prbn.g_01442
OG0000284	Syas.g_00416	Prbn.g_01437
OG0000285	Syas.g_00436	Prbn.g_01432
OG0000286	Syas.g_00460	Prbn.g_01419
OG0000287	Syas.g_00534	Prbn.g_01123
OG0000288	Syas.g_00220	Prbn.g_01380
OG0000289	Syas.g_00205	Prbn.g_01364
OG0000290	Syas.g_01016	Prbn.g_01468
OG0000291	Syas.g_01018	Prbn.g_01470
OG0000292	Syas.g_02020	Prbn.g_01144
OG0000293	Syas.g_01197	Prbn.g_01179
OG0000294	Syas.g_01196	Prbn.g_01180
OG0000295	Syas.g_01139	Prbn.g_01203
OG0000296	Syas.g_01137	Prbn.g_01205
OG0000297	Syas.g_01124	Prbn.g_00387
OG0000298	Syas.g_01123	Prbn.g_00388
OG0000299	Syas.g_01087	Prbn.g_00407
OG0000300	Syas.g_01082	Prbn.g_00410
OG0000301	Syas.g_01081	Prbn.g_00411
OG0000302	Syas.g_01080	Prbn.g_00413
OG0000303	Syas.g_01071	Prbn.g_00419
OG0000304	Syas.g_01066	Prbn.g_00482
OG0000305	Syas.g_01023	Prbn.g_01146
OG0000306	Syas.g_01929	Prbn.g_01482
OG0000307	Syas.g_01270	Prbn.g_00159
OG0000308	Syas.g_01272	Prbn.g_00160
OG0000309	Syas.g_01364	Prbn.g_00164
OG0000310	Syas.g_02796	Prbn.g_00198
OG0000311	Syas.g_02799	Prbn.g_00200
OG0000312	Syas.g_02804	Prbn.g_00203
OG0000313	Syas.g_02823	Prbn.g_00216
OG0000314	Syas.g_01296	Prbn.g_00239
OG0000315	Syas.g_01306	Prbn.g_00249
OG0000316	Syas.g_02728	Prbn.g_00274
OG0000317	Syas.g_02687	Prbn.g_01742
OG0000318	Syas.g_02680	Prbn.g_01746
OG0000319	Syas.g_02663	Prbn.g_01759
OG0000320	Syas.g_02661	Prbn.g_01761
OG0000321	Syas.g_02660	Prbn.g_01762
OG0000322	Syas.g_02659	Prbn.g_01763
OG0000323	Syas.g_02646	Prbn.g_01773
OG0000324	Syas.g_02578	Prbn.g_01800
OG0000325	Syas.g_01668	Prbn.g_01811
OG0000326	Syas.g_01661	Prbn.g_01818
OG0000327	Syas.g_01634	Prbn.g_01839
OG0000328	Syas.g_01633	Prbn.g_01840
OG0000329	Syas.g_01615	Prbn.g_01857
OG0000330	Syas.g_01614	Prbn.g_01858
OG0000331	Syas.g_01613	Prbn.g_01859
OG0000332	Syas.g_01598	Prbn.g_01873
OG0000333	Syas.g_01595	Prbn.g_01875
OG0000334	Syas.g_01586	Prbn.g_01884
OG0000335	Syas.g_01581	Prbn.g_01889
OG0000336	Syas.g_01577	Prbn.g_01893
OG0000337	Syas.g_02211	Prbn.g_01911
OG0000338	Syas.g_02199	Prbn.g_01912
OG0000339	Syas.g_02192	Prbn.g_01918
OG0000340	Syas.g_02183	Prbn.g_01012
OG0000341	Syas.g_02181	Prbn.g_01010
OG0000342	Syas.g_02180	Prbn.g_01009
OG0000343	Syas.g_02176	Prbn.g_01008
OG0000344	Syas.g_02172	Prbn.g_01005
OG0000345	Syas.g_02160	Prbn.g_00999
OG0000346	Syas.g_02155	Prbn.g_00995
OG0000347	Syas.g_02136	Prbn.g_00978
OG0000348	Syas.g_02107	Prbn.g_00970
OG0000349	Syas.g_02085	Prbn.g_00953
OG0000350	Syas.g_01654	Prbn.g_00798
OG0000351	Syas.g_01998	Prbn.g_00913
OG0000352	Syas.g_01999	Prbn.g_00912
OG0000353	Syas.g_02033	Prbn.g_00299
OG0000355	Syas.g_02035	Prbn.g_00301
OG0000356	Syas.g_02036	Prbn.g_00302
OG0000357	Syas.g_02037	Prbn.g_00011
OG0000358	Syas.g_02041	Prbn.g_00007
OG0000359	Syas.g_02043	Prbn.g_00006
OG0000360	Syas.g_02044	Prbn.g_00005
OG0000361	Syas.g_02045	Prbn.g_00004
OG0000362	Syas.g_02047	Prbn.g_00001
OG0000363	Syas.g_02049	Prbn.g_00768
OG0000364	Syas.g_02685	Prbn.g_00767
OG0000365	Syas.g_02058	Prbn.g_00762
OG0000366	Syas.g_02059	Prbn.g_00761
OG0000368	Syas.g_02062	Prbn.g_00758
OG0000369	Syas.g_02063	Prbn.g_00757
OG0000370	Syas.g_02064	Prbn.g_00756
OG0000371	Syas.g_02073	Prbn.g_00749
OG0000372	Syas.g_02078	Prbn.g_00746
OG0000373	Syas.g_02079	Prbn.g_00745
OG0000374	Syas.g_02080	Prbn.g_00744
OG0000375	Syas.g_02081	Prbn.g_00742
OG0000376	Syas.g_02083	Prbn.g_00740
OG0000377	Syas.g_01879	Prbn.g_00736
OG0000378	Syas.g_01867	Prbn.g_00732
OG0000379	Syas.g_01859	Prbn.g_00729
OG0000380	Syas.g_02523	Prbn.g_00712
OG0000381	Syas.g_02521	Prbn.g_00707
OG0000382	Syas.g_02503	Prbn.g_01340
OG0000383	Syas.g_02480	Prbn.g_01338
OG0000384	Syas.g_02479	Prbn.g_01337
OG0000385	Syas.g_02478	Prbn.g_01336
OG0000386	Syas.g_02477	Prbn.g_01335
OG0000387	Syas.g_00134	Prbn.g_01321
OG0000388	Syas.g_02426	Prbn.g_01317
OG0000389	Syas.g_02422	Prbn.g_01314
OG0000390	Syas.g_02406	Prbn.g_01304
OG0000391	Syas.g_02401	Prbn.g_01301
OG0000392	Syas.g_02396	Prbn.g_01297
OG0000393	Syas.g_02394	Prbn.g_01294
OG0000394	Syas.g_02393	Prbn.g_01293
OG0000395	Syas.g_02392	Prbn.g_01292
OG0000396	Syas.g_02389	Prbn.g_01290
OG0000397	Syas.g_02387	Prbn.g_01288
OG0000398	Syas.g_02382	Prbn.g_01285
OG0000399	Syas.g_02381	Prbn.g_01284
OG0000400	Syas.g_02380	Prbn.g_01283
OG0000401	Syas.g_02379	Prbn.g_01282
OG0000402	Syas.g_02377	Prbn.g_01356
OG0000403	Syas.g_02376	Prbn.g_01280
OG0000404	Syas.g_02375	Prbn.g_01279
OG0000405	Syas.g_02369	Prbn.g_01275
OG0000406	Syas.g_02365	Prbn.g_01267
OG0000407	Syas.g_02364	Prbn.g_01266
OG0000408	Syas.g_02361	Prbn.g_01264
OG0000409	Syas.g_02359	Prbn.g_01262
OG0000410	Syas.g_02358	Prbn.g_01261
OG0000411	Syas.g_02357	Prbn.g_01260
OG0000412	Syas.g_02356	Prbn.g_01259
OG0000413	Syas.g_02354	Prbn.g_01257
OG0000414	Syas.g_02353	Prbn.g_01256
OG0000415	Syas.g_02352	Prbn.g_01255
OG0000416	Syas.g_02351	Prbn.g_01254
OG0000417	Syas.g_02338	Prbn.g_01253
OG0000418	Syas.g_02333	Prbn.g_01248
OG0000419	Syas.g_02331	Prbn.g_01246
OG0000420	Syas.g_02329	Prbn.g_01245
OG0000421	Syas.g_02324	Prbn.g_00381
OG0000422	Syas.g_02323	Prbn.g_00380
OG0000423	Syas.g_02322	Prbn.g_00379
OG0000424	Syas.g_02321	Prbn.g_00378
OG0000425	Syas.g_02320	Prbn.g_00377
OG0000426	Syas.g_02319	Prbn.g_00376
OG0000427	Syas.g_02318	Prbn.g_00375
OG0000428	Syas.g_02315	Prbn.g_00373
OG0000429	Syas.g_02312	Prbn.g_00372
OG0000430	Syas.g_02311	Prbn.g_00371
OG0000431	Syas.g_02296	Prbn.g_00369
OG0000432	Syas.g_02288	Prbn.g_00365
OG0000433	Syas.g_02286	Prbn.g_00364
OG0000434	Syas.g_02285	Prbn.g_00363
OG0000435	Syas.g_02282	Prbn.g_00362
OG0000436	Syas.g_02273	Prbn.g_00357
OG0000437	Syas.g_02272	Prbn.g_00356
OG0000438	Syas.g_02271	Prbn.g_00355
OG0000439	Syas.g_02269	Prbn.g_00353
OG0000440	Syas.g_02268	Prbn.g_00352
OG0000441	Syas.g_02265	Prbn.g_00349
OG0000442	Syas.g_02259	Prbn.g_00348
OG0000443	Syas.g_02241	Prbn.g_00347
OG0000444	Syas.g_02234	Prbn.g_00341
OG0000445	Syas.g_02233	Prbn.g_00340
OG0000446	Syas.g_02231	Prbn.g_00339
OG0000447	Syas.g_02229	Prbn.g_00338
OG0000448	Syas.g_02228	Prbn.g_00337
OG0000449	Syas.g_02226	Prbn.g_00336
OG0000450	Syas.g_01834	Prbn.g_00335
OG0000451	Syas.g_01835	Prbn.g_00334
OG0000452	Syas.g_01844	Prbn.g_00331
OG0000453	Syas.g_01845	Prbn.g_00330
OG0000454	Syas.g_01846	Prbn.g_00329
OG0000455	Syas.g_01847	Prbn.g_00328
OG0000456	Syas.g_01848	Prbn.g_00327
OG0000457	Syas.g_01850	Prbn.g_00325
OG0000458	Syas.g_01851	Prbn.g_00324
OG0000459	Syas.g_01852	Prbn.g_00323
OG0000460	Syas.g_02554	Prbn.g_00315
OG0000461	Syas.g_01686	Prbn.g_00307
OG0000462	Syas.g_01688	Prbn.g_00305
OG0000463	Syas.g_01689	Prbn.g_00304
OG0000464	Syas.g_01690	Prbn.g_00012
OG0000465	Syas.g_01692	Prbn.g_00013
OG0000466	Syas.g_01697	Prbn.g_00016
OG0000467	Syas.g_01698	Prbn.g_00017
OG0000468	Syas.g_01703	Prbn.g_00020
OG0000469	Syas.g_01725	Prbn.g_00028
OG0000470	Syas.g_01727	Prbn.g_00030
OG0000471	Syas.g_01728	Prbn.g_00031
OG0000472	Syas.g_01729	Prbn.g_00033
OG0000473	Syas.g_01731	Prbn.g_00035
OG0000474	Syas.g_01732	Prbn.g_00036
OG0000475	Syas.g_01733	Prbn.g_00037
OG0000476	Syas.g_01735	Prbn.g_00039
OG0000477	Syas.g_01740	Prbn.g_00042
OG0000478	Syas.g_01741	Prbn.g_00043
OG0000479	Syas.g_01749	Prbn.g_00044
OG0000480	Syas.g_01756	Prbn.g_00049
OG0000481	Syas.g_00161, Syas.g_00162	Prbn.g_00052
OG0000482	Syas.g_01758	Prbn.g_00053
OG0000483	Syas.g_01762	Prbn.g_00056
OG0000484	Syas.g_01763	Prbn.g_00057
OG0000485	Syas.g_01764	Prbn.g_00059
OG0000486	Syas.g_01765	Prbn.g_00060
OG0000487	Syas.g_01771	Prbn.g_00063
OG0000488	Syas.g_01779	Prbn.g_00066
OG0000489	Syas.g_01823	Prbn.g_00071
OG0000490	Syas.g_01808	Prbn.g_00075
OG0000491	Syas.g_01806	Prbn.g_00076
OG0000492	Syas.g_01803	Prbn.g_00078
OG0000493	Syas.g_01802	Prbn.g_00079
OG0000494	Syas.g_01801	Prbn.g_00080
OG0000495	Syas.g_01799	Prbn.g_00081
OG0000496	Syas.g_01798	Prbn.g_00082
OG0000497	Syas.g_01797	Prbn.g_00083
OG0000498	Syas.g_01796	Prbn.g_00084
OG0000499	Syas.g_01795	Prbn.g_00085
OG0000500	Syas.g_01794	Prbn.g_00086
OG0000501	Syas.g_01791	Prbn.g_00087
OG0000502	Syas.g_02216	Prbn.g_00090
OG0000503	Syas.g_01541	Prbn.g_00105
OG0000504	Syas.g_01539	Prbn.g_00107
OG0000505	Syas.g_01538	Prbn.g_00108
OG0000506	Syas.g_01536	Prbn.g_00109
OG0000507	Syas.g_01530	Prbn.g_00112
OG0000508	Syas.g_01523	Prbn.g_00116
OG0000509	Syas.g_01521	Prbn.g_00118
OG0000510	Syas.g_01520	Prbn.g_00119
OG0000511	Syas.g_01519	Prbn.g_00120
OG0000512	Syas.g_01517	Prbn.g_00122
OG0000513	Syas.g_01508	Prbn.g_00693
OG0000514	Syas.g_01504	Prbn.g_00682
OG0000515	Syas.g_01503	Prbn.g_00681
OG0000516	Syas.g_01501	Prbn.g_00680
OG0000517	Syas.g_01498	Prbn.g_00678
OG0000518	Syas.g_00360, Syas.g_02746	Prbn.g_00667
OG0000519	Syas.g_02747	Prbn.g_00666
OG0000520	Syas.g_02748	Prbn.g_00665
OG0000521	Syas.g_01281	Prbn.g_00657
OG0000522	Syas.g_01279	Prbn.g_00655
OG0000523	Syas.g_01278	Prbn.g_00654
OG0000524	Syas.g_01354	Prbn.g_00649
OG0000525	Syas.g_01342	Prbn.g_00645
OG0000526	Syas.g_01340	Prbn.g_00644
OG0000527	Syas.g_01335	Prbn.g_00641
OG0000528	Syas.g_01256	Prbn.g_00636
OG0000529	Syas.g_01252	Prbn.g_00633
OG0000530	Syas.g_01249	Prbn.g_00630
OG0000531	Syas.g_01248	Prbn.g_00629
OG0000532	Syas.g_01245	Prbn.g_00627
OG0000533	Syas.g_01243	Prbn.g_00626
OG0000534	Syas.g_01242	Prbn.g_00625
OG0000535	Syas.g_01241	Prbn.g_00624
OG0000536	Syas.g_01240	Prbn.g_00623
OG0000537	Syas.g_01238	Prbn.g_00622
OG0000538	Syas.g_01228	Prbn.g_00613
OG0000539	Syas.g_01227	Prbn.g_00612
OG0000540	Syas.g_01226	Prbn.g_00611
OG0000541	Syas.g_01225	Prbn.g_00610
OG0000542	Syas.g_01221	Prbn.g_00609
OG0000543	Syas.g_01219	Prbn.g_00607
OG0000544	Syas.g_01218	Prbn.g_00606
OG0000545	Syas.g_01216	Prbn.g_00604
OG0000546	Syas.g_01214	Prbn.g_00601
OG0000547	Syas.g_01212	Prbn.g_00599
OG0000548	Syas.g_01211	Prbn.g_00598
OG0000549	Syas.g_00005	Prbn.g_00596
OG0000550	Syas.g_00010	Prbn.g_00592
OG0000551	Syas.g_00015	Prbn.g_00589
OG0000552	Syas.g_00016	Prbn.g_00588
OG0000553	Syas.g_00019	Prbn.g_00587
OG0000554	Syas.g_00063	Prbn.g_00582
OG0000555	Syas.g_00775	Prbn.g_00574
OG0000556	Syas.g_00781	Prbn.g_00572
OG0000557	Syas.g_00783	Prbn.g_00571
OG0000558	Syas.g_00785	Prbn.g_00569
OG0000559	Syas.g_00789	Prbn.g_00565
OG0000560	Syas.g_00792	Prbn.g_00562
OG0000561	Syas.g_00793	Prbn.g_00561
OG0000562	Syas.g_00794	Prbn.g_00560
OG0000563	Syas.g_00795	Prbn.g_00559
OG0000564	Syas.g_00796	Prbn.g_00558
OG0000565	Syas.g_00800	Prbn.g_00556
OG0000566	Syas.g_00804	Prbn.g_00552
