Orthogroup	Syas	Prba
OG0000063	Syas.g_02074	Prba.g_01826
OG0000065	Syas.g_02420	Prba.g_01895
OG0000066	Syas.g_00094	Prba.g_00922
OG0000067	Syas.g_00596, Syas.g_00352, Syas.g_02346	Prba.g_01499
OG0000068	Syas.g_00969, Syas.g_01261	Prba.g_00196
OG0000069	Syas.g_00779, Syas.g_00876	Prba.g_00275
OG0000070	Syas.g_00173	Prba.g_01011
OG0000071	Syas.g_02854	Prba.g_01192
OG0000072	Syas.g_02326, Syas.g_01524	Prba.g_00627
OG0000073	Syas.g_00358, Syas.g_00264, Syas.g_01230	Prba.g_00962
OG0000075	Syas.g_01921, Syas.g_02194	Prba.g_01071
OG0000076	Syas.g_02156	Prba.g_00768
OG0000077	Syas.g_02510	Prba.g_01866
OG0000078	Syas.g_02561, Syas.g_02308	Prba.g_00458
OG0000079	Syas.g_01699	Prba.g_00471
OG0000081	Syas.g_00391	Prba.g_00930
OG0000082	Syas.g_00837	Prba.g_01731
OG0000085	Syas.g_02695	Prba.g_00233
OG0000086	Syas.g_02470	Prba.g_01876
OG0000087	Syas.g_02374	Prba.g_01927
OG0000089	Syas.g_01512	Prba.g_00850
OG0000090	Syas.g_00062	Prba.g_00928
OG0000091	Syas.g_00907, Syas.g_00146	Prba.g_01675
OG0000092	Syas.g_00900, Syas.g_00877	Prba.g_01057
OG0000094	Syas.g_00208, Syas.g_01716	Prba.g_01283
OG0000095	Syas.g_01021	Prba.g_01264
OG0000097	Syas.g_00114, Syas.g_01443	Prba.g_00022
OG0000098	Syas.g_00091	Prba.g_00214
OG0000099	Syas.g_01826	Prba.g_00155
OG0000100	Syas.g_00567	Prba.g_00314
OG0000101	Syas.g_01589	Prba.g_00429
OG0000102	Syas.g_02152, Syas.g_01395	Prba.g_00773
OG0000103	Syas.g_02009	Prba.g_01781
OG0000104	Syas.g_02027, Syas.g_02026	Prba.g_01789
OG0000105	Syas.g_01739	Prba.g_00491
OG0000106	Syas.g_01451	Prba.g_00864
OG0000107	Syas.g_01669	Prba.g_00880
OG0000108	Syas.g_01253	Prba.g_00981
OG0000109	Syas.g_01236	Prba.g_00967
OG0000110	Syas.g_00359, Syas.g_00818	Prba.g_01741
OG0000111	Syas.g_01037	Prba.g_01618
OG0000112	Syas.g_00452	Prba.g_01534
OG0000113	Syas.g_00571	Prba.g_01477
OG0000114	Syas.g_00252, Syas.g_00674	Prba.g_01395
OG0000115	Syas.g_02548, Syas.g_01285	Prba.g_00743
OG0000116	Syas.g_01198, Syas.g_00317	Prba.g_00074
OG0000117	Syas.g_01122	Prba.g_01135
OG0000118	Syas.g_02835	Prba.g_01204
OG0000120	Syas.g_01828	Prba.g_00175
OG0000121	Syas.g_02821	Prba.g_00711
OG0000122	Syas.g_00393	Prba.g_00348
OG0000123	Syas.g_01582	Prba.g_00436
OG0000124	Syas.g_02137	Prba.g_00784
OG0000125	Syas.g_01889	Prba.g_01089, Prba.g_00821
OG0000126	Syas.g_01992	Prba.g_01788
OG0000127	Syas.g_02540	Prba.g_01118
OG0000128	Syas.g_02046	Prba.g_01804
OG0000129	Syas.g_01880	Prba.g_01838
OG0000130	Syas.g_02522	Prba.g_01857
OG0000131	Syas.g_02367	Prba.g_01933
OG0000132	Syas.g_02334	Prba.g_01952
OG0000133	Syas.g_00457	Prba.g_00538
OG0000134	Syas.g_01509	Prba.g_00851
OG0000135	Syas.g_01938	Prba.g_00877
OG0000136	Syas.g_02740	Prba.g_01020
OG0000137	Syas.g_01333	Prba.g_00986
OG0000138	Syas.g_01235	Prba.g_00966
OG0000139	Syas.g_00069	Prba.g_00924
OG0000140	Syas.g_00090	Prba.g_00923
OG0000141	Syas.g_00875	Prba.g_01710
OG0000142	Syas.g_00746	Prba.g_01682
OG0000143	Syas.g_00742	Prba.g_01678
OG0000144	Syas.g_00718	Prba.g_01665
OG0000145	Syas.g_00948	Prba.g_01541
OG0000146	Syas.g_00451	Prba.g_01533
OG0000147	Syas.g_00450	Prba.g_01532
OG0000148	Syas.g_00577	Prba.g_01483
OG0000149	Syas.g_00282	Prba.g_01452
OG0000150	Syas.g_00874	Prba.g_01444
OG0000151	Syas.g_00148, Syas.g_00659	Prba.g_01385
OG0000152	Syas.g_00461	Prba.g_01337
OG0000153	Syas.g_00543	Prba.g_01318
OG0000154	Syas.g_00219	Prba.g_01290
OG0000155	Syas.g_01131	Prba.g_00043
OG0000156	Syas.g_01206	Prba.g_01181
OG0000157	Syas.g_01207	Prba.g_01182
OG0000158	Syas.g_02185	Prba.g_00154
OG0000160	Syas.g_02820	Prba.g_00712
OG0000161	Syas.g_02826	Prba.g_00706
OG0000162	Syas.g_02751	Prba.g_00700
OG0000163	Syas.g_01488	Prba.g_00341
OG0000164	Syas.g_02648	Prba.g_00596
OG0000165	Syas.g_02609	Prba.g_00589
OG0000166	Syas.g_01629	Prba.g_00393
OG0000167	Syas.g_01449	Prba.g_01069
OG0000168	Syas.g_02184	Prba.g_01079
OG0000169	Syas.g_02170	Prba.g_00761
OG0000170	Syas.g_02161	Prba.g_00763
OG0000171	Syas.g_02139	Prba.g_00783
OG0000172	Syas.g_02110	Prba.g_00792
OG0000173	Syas.g_02092	Prba.g_00807
OG0000174	Syas.g_01940	Prba.g_00835
OG0000175	Syas.g_01994	Prba.g_00845
OG0000176	Syas.g_02038	Prba.g_01797
OG0000177	Syas.g_02039	Prba.g_01798
OG0000178	Syas.g_02040	Prba.g_01799
OG0000179	Syas.g_02054	Prba.g_01809
OG0000180	Syas.g_02055	Prba.g_01810
OG0000181	Syas.g_02056	Prba.g_01811
OG0000182	Syas.g_02057	Prba.g_01812
OG0000183	Syas.g_02061	Prba.g_01816
OG0000184	Syas.g_01872	Prba.g_01840
OG0000185	Syas.g_01861	Prba.g_01843
OG0000186	Syas.g_02525	Prba.g_01852
OG0000187	Syas.g_02524	Prba.g_01853
OG0000188	Syas.g_02502	Prba.g_01870
OG0000189	Syas.g_02432	Prba.g_01884
OG0000190	Syas.g_00133	Prba.g_01885
OG0000191	Syas.g_02400	Prba.g_01905
OG0000192	Syas.g_02395	Prba.g_01909
OG0000193	Syas.g_02366	Prba.g_01934
OG0000194	Syas.g_02363	Prba.g_01937
OG0000195	Syas.g_02360	Prba.g_01939
OG0000196	Syas.g_02337	Prba.g_01949
OG0000197	Syas.g_02336	Prba.g_01950
OG0000198	Syas.g_02335	Prba.g_01951
OG0000199	Syas.g_02327	Prba.g_00626
OG0000200	Syas.g_02298	Prba.g_00640
OG0000201	Syas.g_02279	Prba.g_00648
OG0000202	Syas.g_02278	Prba.g_00649
OG0000203	Syas.g_02277	Prba.g_00650
OG0000204	Syas.g_02276	Prba.g_00651
OG0000205	Syas.g_02267	Prba.g_00658
OG0000206	Syas.g_02240	Prba.g_00663
OG0000207	Syas.g_02237	Prba.g_00665
OG0000208	Syas.g_02236	Prba.g_00666
OG0000209	Syas.g_01837	Prba.g_00675
OG0000210	Syas.g_01838	Prba.g_00439
OG0000211	Syas.g_02552	Prba.g_00452
OG0000212	Syas.g_02562	Prba.g_00459
OG0000213	Syas.g_01707	Prba.g_00476
OG0000214	Syas.g_01730	Prba.g_00485
OG0000215	Syas.g_01766	Prba.g_00509
OG0000216	Syas.g_01770	Prba.g_00510
OG0000217	Syas.g_01778	Prba.g_00513
OG0000218	Syas.g_01780	Prba.g_00515
OG0000219	Syas.g_01783	Prba.g_00516
OG0000220	Syas.g_01784	Prba.g_00517
OG0000221	Syas.g_01785	Prba.g_00518
OG0000222	Syas.g_01804	Prba.g_00526
OG0000223	Syas.g_02221	Prba.g_00539
OG0000224	Syas.g_02215	Prba.g_00541
OG0000225	Syas.g_01522	Prba.g_00562
OG0000226	Syas.g_01518	Prba.g_00221
OG0000227	Syas.g_01516	Prba.g_00223
OG0000228	Syas.g_01513	Prba.g_00849
OG0000229	Syas.g_01497	Prba.g_01025
OG0000230	Syas.g_01495	Prba.g_01023
OG0000231	Syas.g_02749	Prba.g_01012
OG0000232	Syas.g_01276	Prba.g_01003
OG0000233	Syas.g_01352	Prba.g_00998
OG0000234	Syas.g_01331	Prba.g_00985
OG0000235	Syas.g_01254	Prba.g_00982
OG0000236	Syas.g_01237	Prba.g_00968
OG0000237	Syas.g_01220	Prba.g_00955
OG0000238	Syas.g_01215	Prba.g_00949
OG0000239	Syas.g_00012	Prba.g_00936
OG0000240	Syas.g_00013	Prba.g_00935
OG0000241	Syas.g_00754	Prba.g_00931
OG0000242	Syas.g_00059	Prba.g_00929
OG0000243	Syas.g_00777	Prba.g_01772
OG0000244	Syas.g_00784	Prba.g_01769
OG0000245	Syas.g_00786	Prba.g_01767
OG0000246	Syas.g_00790	Prba.g_01763
OG0000247	Syas.g_00802	Prba.g_01753
OG0000248	Syas.g_00805	Prba.g_01751
OG0000249	Syas.g_00807	Prba.g_01749
OG0000250	Syas.g_00814	Prba.g_01744
OG0000251	Syas.g_00845	Prba.g_01726
OG0000252	Syas.g_00950	Prba.g_01723
OG0000253	Syas.g_00846	Prba.g_01722
OG0000254	Syas.g_00869	Prba.g_01706
OG0000255	Syas.g_00132, Syas.g_01062	Prba.g_01700
OG0000256	Syas.g_00104	Prba.g_01690
OG0000257	Syas.g_00757	Prba.g_01687
OG0000258	Syas.g_00733	Prba.g_01674
OG0000259	Syas.g_01006, Syas.g_00708	Prba.g_01657
OG0000260	Syas.g_00705	Prba.g_01654
OG0000261	Syas.g_00701	Prba.g_01652
OG0000262	Syas.g_00695	Prba.g_01648
OG0000263	Syas.g_01103	Prba.g_01636
OG0000264	Syas.g_02588	Prba.g_01626
OG0000266	Syas.g_00186	Prba.g_01584
OG0000267	Syas.g_00377	Prba.g_01573
OG0000268	Syas.g_00390	Prba.g_01572
OG0000269	Syas.g_00601	Prba.g_01504
OG0000270	Syas.g_00598	Prba.g_01501
OG0000271	Syas.g_00590	Prba.g_01493
OG0000272	Syas.g_00589	Prba.g_01492
OG0000273	Syas.g_00563	Prba.g_01469
OG0000274	Syas.g_00562	Prba.g_01468
OG0000275	Syas.g_00230	Prba.g_01465
OG0000276	Syas.g_00237	Prba.g_01460
OG0000277	Syas.g_00238	Prba.g_01459
OG0000278	Syas.g_00241	Prba.g_01456
OG0000279	Syas.g_00288	Prba.g_01449
OG0000280	Syas.g_00889, Syas.g_00481	Prba.g_01448
OG0000281	Syas.g_00970	Prba.g_01443
OG0000282	Syas.g_00672	Prba.g_01393
OG0000283	Syas.g_00409	Prba.g_01360
OG0000284	Syas.g_00416	Prba.g_01355
OG0000285	Syas.g_00436	Prba.g_01350
OG0000286	Syas.g_00460	Prba.g_01338
OG0000287	Syas.g_00534	Prba.g_01321
OG0000288	Syas.g_00220	Prba.g_01291
OG0000289	Syas.g_00205	Prba.g_01280
OG0000290	Syas.g_01016	Prba.g_01267
OG0000291	Syas.g_01018	Prba.g_01265
OG0000292	Syas.g_02020	Prba.g_01216
OG0000293	Syas.g_01197	Prba.g_00073
OG0000294	Syas.g_01196	Prba.g_00072
OG0000295	Syas.g_01139	Prba.g_00051
OG0000296	Syas.g_01137	Prba.g_00049
OG0000297	Syas.g_01124	Prba.g_00041
OG0000298	Syas.g_01123	Prba.g_00040
OG0000299	Syas.g_01087	Prba.g_00023
OG0000300	Syas.g_01082	Prba.g_00020
OG0000301	Syas.g_01081	Prba.g_00019
OG0000302	Syas.g_01080	Prba.g_00017
OG0000303	Syas.g_01071	Prba.g_00010
OG0000304	Syas.g_01066	Prba.g_00006
OG0000305	Syas.g_01023	Prba.g_00204
OG0000306	Syas.g_01929	Prba.g_00201
OG0000307	Syas.g_01270	Prba.g_00187
OG0000308	Syas.g_01272	Prba.g_00186
OG0000309	Syas.g_01364	Prba.g_00182
OG0000310	Syas.g_02796	Prba.g_00112
OG0000311	Syas.g_02799	Prba.g_00110
OG0000312	Syas.g_02804	Prba.g_00107
OG0000313	Syas.g_02823	Prba.g_00709
OG0000314	Syas.g_01296	Prba.g_00686
OG0000315	Syas.g_01306	Prba.g_00351, Prba.g_00676
OG0000316	Syas.g_02728	Prba.g_00331
OG0000317	Syas.g_02687	Prba.g_00228
OG0000318	Syas.g_02680	Prba.g_00619
OG0000319	Syas.g_02663	Prba.g_00606
OG0000320	Syas.g_02661	Prba.g_00604
OG0000321	Syas.g_02660	Prba.g_00603
OG0000322	Syas.g_02659	Prba.g_00602
OG0000323	Syas.g_02646, Syas.g_00159	Prba.g_00593
OG0000324	Syas.g_02578	Prba.g_00567
OG0000325	Syas.g_01668	Prba.g_00358
OG0000326	Syas.g_01661	Prba.g_00364
OG0000327	Syas.g_01634	Prba.g_00388
OG0000328	Syas.g_01633	Prba.g_00389
OG0000329	Syas.g_01615	Prba.g_00406
OG0000330	Syas.g_01614	Prba.g_00407
OG0000331	Syas.g_01613	Prba.g_00408
OG0000332	Syas.g_01598	Prba.g_00422
OG0000333	Syas.g_01595	Prba.g_00424
OG0000334	Syas.g_01586	Prba.g_00432
OG0000335	Syas.g_01581	Prba.g_00437
OG0000336	Syas.g_01577	Prba.g_01050
OG0000337	Syas.g_02211	Prba.g_01067
OG0000338	Syas.g_02199	Prba.g_01068
OG0000339	Syas.g_02192	Prba.g_01072
OG0000340	Syas.g_02183	Prba.g_00752
OG0000341	Syas.g_02181	Prba.g_00754
OG0000342	Syas.g_02180	Prba.g_00755
OG0000343	Syas.g_02176	Prba.g_00756
OG0000344	Syas.g_02172	Prba.g_00759
OG0000345	Syas.g_02160	Prba.g_00764
OG0000346	Syas.g_02155	Prba.g_00769
OG0000347	Syas.g_02136	Prba.g_00785
OG0000348	Syas.g_02107	Prba.g_00795
OG0000349	Syas.g_02085	Prba.g_00812
OG0000350	Syas.g_01654	Prba.g_00831
OG0000351	Syas.g_01998	Prba.g_00848, Prba.g_01776
OG0000352	Syas.g_01999	Prba.g_01777
OG0000353	Syas.g_02033	Prba.g_01792
OG0000355	Syas.g_02035	Prba.g_01794
OG0000356	Syas.g_02036	Prba.g_01795
OG0000357	Syas.g_02037	Prba.g_01796
OG0000358	Syas.g_02041	Prba.g_01800
OG0000359	Syas.g_02043	Prba.g_01801
OG0000360	Syas.g_02044	Prba.g_01802
OG0000361	Syas.g_02045	Prba.g_01803
OG0000362	Syas.g_02047	Prba.g_01805
OG0000363	Syas.g_02049	Prba.g_01807
OG0000364	Syas.g_02685	Prba.g_01808
OG0000365	Syas.g_02058	Prba.g_01813
OG0000366	Syas.g_02059	Prba.g_01814
OG0000368	Syas.g_02062	Prba.g_01817
OG0000369	Syas.g_02063	Prba.g_01818
OG0000370	Syas.g_02064	Prba.g_01819
OG0000371	Syas.g_02073	Prba.g_01825
OG0000372	Syas.g_02078	Prba.g_01828
OG0000373	Syas.g_02079	Prba.g_01829
OG0000374	Syas.g_02080	Prba.g_01830
OG0000375	Syas.g_02081	Prba.g_01834
OG0000376	Syas.g_02083	Prba.g_01836
OG0000377	Syas.g_01879	Prba.g_01839
OG0000378	Syas.g_01867	Prba.g_01841
OG0000379	Syas.g_01859	Prba.g_01844
OG0000380	Syas.g_02523	Prba.g_01854
OG0000381	Syas.g_02521	Prba.g_01858
OG0000382	Syas.g_02503	Prba.g_01869
OG0000383	Syas.g_02480	Prba.g_01871
OG0000384	Syas.g_02479	Prba.g_01872
OG0000385	Syas.g_02478	Prba.g_01873
OG0000386	Syas.g_02477	Prba.g_01874
OG0000387	Syas.g_00134	Prba.g_01887
OG0000388	Syas.g_02426	Prba.g_01890
OG0000389	Syas.g_02422	Prba.g_01894
OG0000390	Syas.g_02406	Prba.g_01901
OG0000391	Syas.g_02401	Prba.g_01904
OG0000392	Syas.g_02396	Prba.g_01908
OG0000393	Syas.g_02394	Prba.g_01910
OG0000394	Syas.g_02393	Prba.g_01911
OG0000395	Syas.g_02392	Prba.g_01912
OG0000396	Syas.g_02389	Prba.g_01915
OG0000397	Syas.g_02387	Prba.g_01917
OG0000398	Syas.g_02382	Prba.g_01919
OG0000399	Syas.g_02381	Prba.g_01920
OG0000400	Syas.g_02380	Prba.g_01921
OG0000401	Syas.g_02379	Prba.g_01922
OG0000402	Syas.g_02377	Prba.g_01924
OG0000403	Syas.g_02376	Prba.g_01925
OG0000404	Syas.g_02375	Prba.g_01926
OG0000405	Syas.g_02369	Prba.g_01930
OG0000406	Syas.g_02365	Prba.g_01935
OG0000407	Syas.g_02364	Prba.g_01936
OG0000408	Syas.g_02361	Prba.g_01938
OG0000409	Syas.g_02359	Prba.g_01940
OG0000410	Syas.g_02358	Prba.g_01941
OG0000411	Syas.g_02357	Prba.g_01942
OG0000412	Syas.g_02356	Prba.g_01943
OG0000413	Syas.g_02354	Prba.g_01944
OG0000414	Syas.g_02353	Prba.g_01945
OG0000415	Syas.g_02352	Prba.g_01946
OG0000416	Syas.g_02351	Prba.g_01947
OG0000417	Syas.g_02338	Prba.g_01948
OG0000418	Syas.g_02333	Prba.g_01953
OG0000419	Syas.g_02331	Prba.g_00623
OG0000420	Syas.g_02329	Prba.g_00624
OG0000421	Syas.g_02324	Prba.g_00629
OG0000422	Syas.g_02323	Prba.g_00630
OG0000423	Syas.g_02322	Prba.g_00631
OG0000424	Syas.g_02321	Prba.g_00632
OG0000425	Syas.g_02320	Prba.g_00633
OG0000426	Syas.g_02319	Prba.g_00634
OG0000427	Syas.g_02318	Prba.g_00635
OG0000428	Syas.g_02315	Prba.g_00637
OG0000429	Syas.g_02312	Prba.g_00638
OG0000430	Syas.g_02311	Prba.g_00639
OG0000431	Syas.g_02296	Prba.g_00641
OG0000432	Syas.g_02288	Prba.g_00644
OG0000433	Syas.g_02286	Prba.g_00645
OG0000434	Syas.g_02285	Prba.g_00646
OG0000435	Syas.g_02282	Prba.g_00647
OG0000436	Syas.g_02273	Prba.g_00652
OG0000437	Syas.g_02272	Prba.g_00653
OG0000438	Syas.g_02271	Prba.g_00654
OG0000439	Syas.g_02269	Prba.g_00656
OG0000440	Syas.g_02268	Prba.g_00657
OG0000441	Syas.g_02265	Prba.g_00660
OG0000442	Syas.g_02259	Prba.g_00661
OG0000443	Syas.g_02241	Prba.g_00662
OG0000444	Syas.g_02234	Prba.g_00667
OG0000445	Syas.g_02233	Prba.g_00668
OG0000446	Syas.g_02231	Prba.g_00669
OG0000447	Syas.g_02229	Prba.g_00670
OG0000448	Syas.g_02228	Prba.g_00671
OG0000449	Syas.g_02226	Prba.g_00672
OG0000450	Syas.g_01834	Prba.g_00673
OG0000451	Syas.g_01835	Prba.g_00674
OG0000452	Syas.g_01844	Prba.g_00440
OG0000453	Syas.g_01845	Prba.g_00441
OG0000454	Syas.g_01846	Prba.g_00442
OG0000455	Syas.g_01847	Prba.g_00443
OG0000456	Syas.g_01848	Prba.g_00444
OG0000457	Syas.g_01850	Prba.g_00445
OG0000458	Syas.g_01851	Prba.g_00446
OG0000459	Syas.g_01852	Prba.g_00447
OG0000460	Syas.g_02554	Prba.g_00454
OG0000461	Syas.g_01686	Prba.g_00461
OG0000462	Syas.g_01688	Prba.g_00463
OG0000463	Syas.g_01689	Prba.g_00464
OG0000464	Syas.g_01690	Prba.g_00465
OG0000465	Syas.g_01692	Prba.g_00466
OG0000466	Syas.g_01697	Prba.g_00469
OG0000467	Syas.g_01698	Prba.g_00470
OG0000468	Syas.g_01703	Prba.g_00472
OG0000469	Syas.g_01725	Prba.g_00480
OG0000470	Syas.g_01727	Prba.g_00482
OG0000471	Syas.g_01728	Prba.g_00483
OG0000472	Syas.g_01729	Prba.g_00484
OG0000473	Syas.g_01731	Prba.g_00486
OG0000474	Syas.g_01732	Prba.g_00487
OG0000475	Syas.g_01733	Prba.g_00488
OG0000476	Syas.g_01735	Prba.g_00489
OG0000477	Syas.g_01740	Prba.g_00492
OG0000478	Syas.g_01741	Prba.g_00493
OG0000479	Syas.g_01749	Prba.g_00494
OG0000480	Syas.g_01756	Prba.g_00499
OG0000481	Syas.g_00161, Syas.g_00162	Prba.g_00501
OG0000482	Syas.g_01758	Prba.g_00502
OG0000483	Syas.g_01762	Prba.g_00505
OG0000484	Syas.g_01763	Prba.g_00506
OG0000485	Syas.g_01764	Prba.g_00507
OG0000486	Syas.g_01765	Prba.g_00508
OG0000487	Syas.g_01771	Prba.g_00511
OG0000488	Syas.g_01779	Prba.g_00514
OG0000489	Syas.g_01823	Prba.g_00519
OG0000490	Syas.g_01808	Prba.g_00524
OG0000491	Syas.g_01806	Prba.g_00525
OG0000492	Syas.g_01803	Prba.g_00527
OG0000493	Syas.g_01802	Prba.g_00528
OG0000494	Syas.g_01801	Prba.g_00529
OG0000495	Syas.g_01799	Prba.g_00530
OG0000496	Syas.g_01798	Prba.g_00531
OG0000497	Syas.g_01797	Prba.g_00532
OG0000498	Syas.g_01796	Prba.g_00533
OG0000499	Syas.g_01795	Prba.g_00534
OG0000500	Syas.g_01794	Prba.g_00535
OG0000501	Syas.g_01791	Prba.g_00537
OG0000502	Syas.g_02216	Prba.g_00540
OG0000503	Syas.g_01541	Prba.g_00550
OG0000504	Syas.g_01539	Prba.g_00551
OG0000505	Syas.g_01538	Prba.g_00552
OG0000506	Syas.g_01536	Prba.g_00554
OG0000507	Syas.g_01530	Prba.g_00557
OG0000508	Syas.g_01523	Prba.g_00561
OG0000509	Syas.g_01521	Prba.g_00218
OG0000510	Syas.g_01520	Prba.g_00219
OG0000511	Syas.g_01519	Prba.g_00220
OG0000512	Syas.g_01517	Prba.g_00222
OG0000513	Syas.g_01508	Prba.g_00852
OG0000514	Syas.g_01504	Prba.g_01030
OG0000515	Syas.g_01503	Prba.g_01029
OG0000516	Syas.g_01501	Prba.g_01028
OG0000517	Syas.g_01498	Prba.g_01026
OG0000518	Syas.g_00360, Syas.g_02746	Prba.g_01015
OG0000519	Syas.g_02747	Prba.g_01014
OG0000520	Syas.g_02748	Prba.g_01013
OG0000521	Syas.g_01281	Prba.g_01008
OG0000522	Syas.g_01279	Prba.g_01006
OG0000523	Syas.g_01278	Prba.g_01005
OG0000524	Syas.g_01354	Prba.g_01000
OG0000525	Syas.g_01342	Prba.g_00997
OG0000526	Syas.g_01340	Prba.g_00996
OG0000527	Syas.g_01335	Prba.g_00988
OG0000528	Syas.g_01256	Prba.g_00983
OG0000529	Syas.g_01252	Prba.g_00980
OG0000530	Syas.g_01249	Prba.g_00977
OG0000531	Syas.g_01248	Prba.g_00976
OG0000532	Syas.g_01245	Prba.g_00974
OG0000533	Syas.g_01243	Prba.g_00973
OG0000534	Syas.g_01242	Prba.g_00972
OG0000535	Syas.g_01241	Prba.g_00971
OG0000536	Syas.g_01240	Prba.g_00970
OG0000537	Syas.g_01238	Prba.g_00969
OG0000538	Syas.g_01228	Prba.g_00961
OG0000539	Syas.g_01227	Prba.g_00960
OG0000540	Syas.g_01226	Prba.g_00959
OG0000541	Syas.g_01225	Prba.g_00958
OG0000542	Syas.g_01221	Prba.g_00956
OG0000543	Syas.g_01219	Prba.g_00954
OG0000544	Syas.g_01218	Prba.g_00953
OG0000545	Syas.g_01216	Prba.g_00951
OG0000546	Syas.g_01214	Prba.g_00948
OG0000547	Syas.g_01212	Prba.g_00946
OG0000548	Syas.g_01211	Prba.g_00945
OG0000549	Syas.g_00005	Prba.g_00943
OG0000550	Syas.g_00010	Prba.g_00938
OG0000551	Syas.g_00015	Prba.g_00934
OG0000552	Syas.g_00016	Prba.g_00933
OG0000553	Syas.g_00019	Prba.g_00932
OG0000554	Syas.g_00063	Prba.g_00927
OG0000555	Syas.g_00775	Prba.g_01773
OG0000556	Syas.g_00781	Prba.g_01771
OG0000557	Syas.g_00783	Prba.g_01770
OG0000558	Syas.g_00785	Prba.g_01768
OG0000559	Syas.g_00789	Prba.g_01764
OG0000560	Syas.g_00792	Prba.g_01761
OG0000561	Syas.g_00793	Prba.g_01760
OG0000562	Syas.g_00794	Prba.g_01759
OG0000563	Syas.g_00795	Prba.g_01758
OG0000564	Syas.g_00796	Prba.g_01757
OG0000565	Syas.g_00800	Prba.g_01754
OG0000566	Syas.g_00804	Prba.g_01752
OG0000567	Syas.g_00808	Prba.g_01748
OG0000568	Syas.g_00810	Prba.g_01747
OG0000569	Syas.g_00811	Prba.g_01746
OG0000570	Syas.g_00812	Prba.g_01745
OG0000571	Syas.g_00815	Prba.g_01743
OG0000572	Syas.g_00839	Prba.g_01730
OG0000573	Syas.g_00952	Prba.g_01725
OG0000574	Syas.g_00951	Prba.g_01724
OG0000575	Syas.g_00848	Prba.g_01720
OG0000576	Syas.g_00850	Prba.g_01718
OG0000577	Syas.g_00851	Prba.g_01717
OG0000578	Syas.g_00852	Prba.g_01716
OG0000579	Syas.g_00853	Prba.g_01715
OG0000580	Syas.g_00854	Prba.g_01714
OG0000581	Syas.g_00861	Prba.g_01712
OG0000582	Syas.g_00873	Prba.g_01709
OG0000583	Syas.g_00872	Prba.g_01708
OG0000584	Syas.g_00871	Prba.g_01707
OG0000585	Syas.g_00868	Prba.g_01705
OG0000586	Syas.g_00867	Prba.g_01704
OG0000587	Syas.g_00865	Prba.g_01703
OG0000588	Syas.g_00960	Prba.g_01699
OG0000589	Syas.g_00121	Prba.g_01696
