Orthogroup	Syas	Prab
OG0000048	Syas.g_01734	Prab.g_00411, Prab.g_00363
OG0000051	Syas.g_01445	Prab.g_01643, Prab.g_01304
OG0000053	Syas.g_01287	Prab.g_01486
OG0000054	Syas.g_00961, Syas.g_00957	Prab.g_00610
OG0000055	Syas.g_00203	Prab.g_00821
OG0000057	Syas.g_01055, Syas.g_01038	Prab.g_00703
OG0000059	Syas.g_01639	Prab.g_01754
OG0000060	Syas.g_01343, Syas.g_01002, Syas.g_01680, Syas.g_00975	Prab.g_00784
OG0000061	Syas.g_01184	Prab.g_01219
OG0000062	Syas.g_02702	Prab.g_01544
OG0000063	Syas.g_02074	Prab.g_00033
OG0000065	Syas.g_02420	Prab.g_00098
OG0000066	Syas.g_00094	Prab.g_00543
OG0000067	Syas.g_00596, Syas.g_00352, Syas.g_02346	Prab.g_00840
OG0000068	Syas.g_00969, Syas.g_01261	Prab.g_01360
OG0000069	Syas.g_00779, Syas.g_00876	Prab.g_01585
OG0000070	Syas.g_00173	Prab.g_00456
OG0000071	Syas.g_02854	Prab.g_01637, Prab.g_01326
OG0000072	Syas.g_02326, Syas.g_01524	Prab.g_00162
OG0000073	Syas.g_00358, Syas.g_00264, Syas.g_01230	Prab.g_00503
OG0000075	Syas.g_01921, Syas.g_02194	Prab.g_01834
OG0000076	Syas.g_02156	Prab.g_01857
OG0000077	Syas.g_02510	Prab.g_00070
OG0000078	Syas.g_02561, Syas.g_02308	Prab.g_00229
OG0000079	Syas.g_01699	Prab.g_00242
OG0000080	Syas.g_02616, Syas.g_02149	Prab.g_01404, Prab.g_01406
OG0000081	Syas.g_00391	Prab.g_00535
OG0000082	Syas.g_00837	Prab.g_00589
OG0000085	Syas.g_02695	Prab.g_01662
OG0000086	Syas.g_02470	Prab.g_00080
OG0000087	Syas.g_02374	Prab.g_00129
OG0000089	Syas.g_01512	Prab.g_00343
OG0000090	Syas.g_00062	Prab.g_00537
OG0000091	Syas.g_00907, Syas.g_00146	Prab.g_00647
OG0000094	Syas.g_00208, Syas.g_01716	Prab.g_00948
OG0000095	Syas.g_01021	Prab.g_01299
OG0000097	Syas.g_00114, Syas.g_01443	Prab.g_01260
OG0000098	Syas.g_00091	Prab.g_01346
OG0000099	Syas.g_01826	Prab.g_01394
OG0000100	Syas.g_00567	Prab.g_01540
OG0000101	Syas.g_01589	Prab.g_01802
OG0000102	Syas.g_02152, Syas.g_01395	Prab.g_01862
OG0000103	Syas.g_02009	Prab.g_01942
OG0000104	Syas.g_02027, Syas.g_02026	Prab.g_01951
OG0000105	Syas.g_01739	Prab.g_00262
OG0000106	Syas.g_01451	Prab.g_00359
OG0000107	Syas.g_01669	Prab.g_00375
OG0000108	Syas.g_01253	Prab.g_00484
OG0000109	Syas.g_01236	Prab.g_00498
OG0000110	Syas.g_00359, Syas.g_00818	Prab.g_00579
OG0000111	Syas.g_01037	Prab.g_00704
OG0000112	Syas.g_00452	Prab.g_00804
OG0000113	Syas.g_00571	Prab.g_00862
OG0000114	Syas.g_00252, Syas.g_00674	Prab.g_01068
OG0000115	Syas.g_02548, Syas.g_01285	Prab.g_01156
OG0000116	Syas.g_01198, Syas.g_00317	Prab.g_01209
OG0000117	Syas.g_01122	Prab.g_00717
OG0000118	Syas.g_02835	Prab.g_01338
OG0000120	Syas.g_01828	Prab.g_01447
OG0000121	Syas.g_02821	Prab.g_01468
OG0000122	Syas.g_00393	Prab.g_01506
OG0000123	Syas.g_01582	Prab.g_01809
OG0000124	Syas.g_02137	Prab.g_01873
OG0000125	Syas.g_01889	Prab.g_01910
OG0000126	Syas.g_01992	Prab.g_01950
OG0000128	Syas.g_02046	Prab.g_00011
OG0000129	Syas.g_01880	Prab.g_00043
OG0000130	Syas.g_02522	Prab.g_00061
OG0000131	Syas.g_02367	Prab.g_00136
OG0000132	Syas.g_02334	Prab.g_00155
OG0000133	Syas.g_00457	Prab.g_00310
OG0000134	Syas.g_01509	Prab.g_00344
OG0000135	Syas.g_01938	Prab.g_00371
OG0000136	Syas.g_02740	Prab.g_00444
OG0000137	Syas.g_01333	Prab.g_00479
OG0000138	Syas.g_01235	Prab.g_00499
OG0000139	Syas.g_00069	Prab.g_00541
OG0000140	Syas.g_00090	Prab.g_00542
OG0000141	Syas.g_00875	Prab.g_00611
OG0000142	Syas.g_00746	Prab.g_00640
OG0000143	Syas.g_00742	Prab.g_00644
OG0000144	Syas.g_00718	Prab.g_00657
OG0000145	Syas.g_00948	Prab.g_00783
OG0000146	Syas.g_00451	Prab.g_00805
OG0000147	Syas.g_00450	Prab.g_00806
OG0000148	Syas.g_00577	Prab.g_00856
OG0000149	Syas.g_00282	Prab.g_00886
OG0000150	Syas.g_00874	Prab.g_00894
OG0000151	Syas.g_00148, Syas.g_00659	Prab.g_01058
OG0000152	Syas.g_00461	Prab.g_01010
OG0000153	Syas.g_00543	Prab.g_00991
OG0000154	Syas.g_00219	Prab.g_00955
OG0000155	Syas.g_01131	Prab.g_01239
OG0000156	Syas.g_01206	Prab.g_01315
OG0000157	Syas.g_01207	Prab.g_01316
OG0000158	Syas.g_02185	Prab.g_01379
OG0000160	Syas.g_02820	Prab.g_01467
OG0000161	Syas.g_02826	Prab.g_01473
OG0000162	Syas.g_02751	Prab.g_01479
OG0000163	Syas.g_01488	Prab.g_01513
OG0000164	Syas.g_02648	Prab.g_01693
OG0000165	Syas.g_02609	Prab.g_01700
OG0000166	Syas.g_01629	Prab.g_01766
OG0000167	Syas.g_01449	Prab.g_01832
OG0000168	Syas.g_02184	Prab.g_01841
OG0000169	Syas.g_02170	Prab.g_01851
OG0000170	Syas.g_02161	Prab.g_01853
OG0000171	Syas.g_02139	Prab.g_01872
OG0000172	Syas.g_02110	Prab.g_01881
OG0000173	Syas.g_02092	Prab.g_01896
OG0000174	Syas.g_01940	Prab.g_01924
OG0000175	Syas.g_01994	Prab.g_01934
OG0000176	Syas.g_02038	Prab.g_00004
OG0000177	Syas.g_02039	Prab.g_00005
OG0000178	Syas.g_02040	Prab.g_00006
OG0000179	Syas.g_02054	Prab.g_00016
OG0000180	Syas.g_02055	Prab.g_00017
OG0000181	Syas.g_02056	Prab.g_00018
OG0000182	Syas.g_02057	Prab.g_00019
OG0000183	Syas.g_02061	Prab.g_00023
OG0000184	Syas.g_01872	Prab.g_00045
OG0000185	Syas.g_01861	Prab.g_00048
OG0000186	Syas.g_02525	Prab.g_00056
OG0000187	Syas.g_02524	Prab.g_00057
OG0000188	Syas.g_02502	Prab.g_00074
OG0000189	Syas.g_02432	Prab.g_00087
OG0000190	Syas.g_00133	Prab.g_00088
OG0000191	Syas.g_02400	Prab.g_00108
OG0000192	Syas.g_02395	Prab.g_00112
OG0000193	Syas.g_02366	Prab.g_00137
OG0000194	Syas.g_02363	Prab.g_00140
OG0000195	Syas.g_02360	Prab.g_00142
OG0000196	Syas.g_02337	Prab.g_00152
OG0000197	Syas.g_02336	Prab.g_00153
OG0000198	Syas.g_02335	Prab.g_00154
OG0000199	Syas.g_02327	Prab.g_00161
OG0000200	Syas.g_02298	Prab.g_00175
OG0000201	Syas.g_02279	Prab.g_00183
OG0000202	Syas.g_02278	Prab.g_00184
OG0000203	Syas.g_02277	Prab.g_00185
OG0000204	Syas.g_02276	Prab.g_00186
OG0000205	Syas.g_02267	Prab.g_00193
OG0000206	Syas.g_02240	Prab.g_00198
OG0000207	Syas.g_02237	Prab.g_00200
OG0000208	Syas.g_02236	Prab.g_00201
OG0000209	Syas.g_01837	Prab.g_00210
OG0000210	Syas.g_01838	Prab.g_00211
OG0000211	Syas.g_02552	Prab.g_00224
OG0000212	Syas.g_02562	Prab.g_00230
OG0000213	Syas.g_01707	Prab.g_00247
OG0000214	Syas.g_01730	Prab.g_00256
OG0000215	Syas.g_01766	Prab.g_00280
OG0000216	Syas.g_01770	Prab.g_00282
OG0000217	Syas.g_01778	Prab.g_00285
OG0000218	Syas.g_01780	Prab.g_00287
OG0000219	Syas.g_01783	Prab.g_00288
OG0000220	Syas.g_01784	Prab.g_00289
OG0000221	Syas.g_01785	Prab.g_00290
OG0000222	Syas.g_01804	Prab.g_00298
OG0000223	Syas.g_02221	Prab.g_00311
OG0000224	Syas.g_02215	Prab.g_00313
OG0000225	Syas.g_01522	Prab.g_00333
OG0000226	Syas.g_01518	Prab.g_00337
OG0000227	Syas.g_01516	Prab.g_00339
OG0000228	Syas.g_01513	Prab.g_00342
OG0000229	Syas.g_01497	Prab.g_00439
OG0000230	Syas.g_01495	Prab.g_00441
OG0000231	Syas.g_02749	Prab.g_00455
OG0000232	Syas.g_01276	Prab.g_00463
OG0000233	Syas.g_01352	Prab.g_00468
OG0000234	Syas.g_01331	Prab.g_00480
OG0000235	Syas.g_01254	Prab.g_00483
OG0000236	Syas.g_01237	Prab.g_00497
OG0000237	Syas.g_01220	Prab.g_00510
OG0000238	Syas.g_01215	Prab.g_00516
OG0000239	Syas.g_00012	Prab.g_00529
OG0000240	Syas.g_00013	Prab.g_00530
OG0000241	Syas.g_00754	Prab.g_00534
OG0000242	Syas.g_00059	Prab.g_00536
OG0000243	Syas.g_00777	Prab.g_00547
OG0000244	Syas.g_00784	Prab.g_00550
OG0000245	Syas.g_00786	Prab.g_00552
OG0000246	Syas.g_00790	Prab.g_00556
OG0000247	Syas.g_00802	Prab.g_00566
OG0000248	Syas.g_00805	Prab.g_00569
OG0000249	Syas.g_00807	Prab.g_00571
OG0000250	Syas.g_00814	Prab.g_00576
OG0000251	Syas.g_00845	Prab.g_00595
OG0000252	Syas.g_00950	Prab.g_00598
OG0000253	Syas.g_00846	Prab.g_00599
OG0000254	Syas.g_00869	Prab.g_00615
OG0000255	Syas.g_00132, Syas.g_01062	Prab.g_00621
OG0000256	Syas.g_00104	Prab.g_00632
OG0000257	Syas.g_00757	Prab.g_00635
OG0000258	Syas.g_00733	Prab.g_00648
OG0000259	Syas.g_01006, Syas.g_00708	Prab.g_00665
OG0000260	Syas.g_00705	Prab.g_00668
OG0000261	Syas.g_00701	Prab.g_00670
OG0000262	Syas.g_00695	Prab.g_00674
OG0000263	Syas.g_01103	Prab.g_00686
OG0000264	Syas.g_02588	Prab.g_00696
OG0000266	Syas.g_00186	Prab.g_00733
OG0000267	Syas.g_00377	Prab.g_00744
OG0000268	Syas.g_00390	Prab.g_00745
OG0000269	Syas.g_00601	Prab.g_00835
OG0000270	Syas.g_00598	Prab.g_00838
OG0000271	Syas.g_00590	Prab.g_00846
OG0000272	Syas.g_00589	Prab.g_00847
OG0000273	Syas.g_00563	Prab.g_00870
OG0000274	Syas.g_00562	Prab.g_00871
OG0000275	Syas.g_00230	Prab.g_00873
OG0000276	Syas.g_00237	Prab.g_00878
OG0000277	Syas.g_00238	Prab.g_00879
OG0000278	Syas.g_00241	Prab.g_00882
OG0000279	Syas.g_00288	Prab.g_00889
OG0000280	Syas.g_00889, Syas.g_00481	Prab.g_00890
OG0000281	Syas.g_00970	Prab.g_00896
OG0000282	Syas.g_00672	Prab.g_01066
OG0000283	Syas.g_00409	Prab.g_01033
OG0000284	Syas.g_00416	Prab.g_01028
OG0000285	Syas.g_00436	Prab.g_01023
OG0000286	Syas.g_00460	Prab.g_01011
OG0000287	Syas.g_00534	Prab.g_00994
OG0000288	Syas.g_00220	Prab.g_00956
OG0000289	Syas.g_00205	Prab.g_00945
OG0000290	Syas.g_01016	Prab.g_00932
OG0000291	Syas.g_01018	Prab.g_00930
OG0000292	Syas.g_02020	Prab.g_01144
OG0000293	Syas.g_01197	Prab.g_01210
OG0000294	Syas.g_01196	Prab.g_01211
OG0000295	Syas.g_01139	Prab.g_01231
OG0000296	Syas.g_01137	Prab.g_01233
OG0000297	Syas.g_01124	Prab.g_01241
OG0000298	Syas.g_01123	Prab.g_01242
OG0000299	Syas.g_01087	Prab.g_01259
OG0000300	Syas.g_01082	Prab.g_01262
OG0000301	Syas.g_01081	Prab.g_01263
OG0000302	Syas.g_01080	Prab.g_01265
OG0000303	Syas.g_01071	Prab.g_01272
OG0000304	Syas.g_01066	Prab.g_01276
OG0000305	Syas.g_01023	Prab.g_01353
OG0000306	Syas.g_01929	Prab.g_01355
OG0000307	Syas.g_01270	Prab.g_01369
OG0000308	Syas.g_01272	Prab.g_01370
OG0000309	Syas.g_01364	Prab.g_01374
OG0000310	Syas.g_02796	Prab.g_01451
OG0000311	Syas.g_02799	Prab.g_01453
OG0000312	Syas.g_02804	Prab.g_01456
OG0000313	Syas.g_02823	Prab.g_01470
OG0000314	Syas.g_01296	Prab.g_01493
OG0000315	Syas.g_01306	Prab.g_01503
OG0000316	Syas.g_02728	Prab.g_01523
OG0000317	Syas.g_02687	Prab.g_01667
OG0000318	Syas.g_02680	Prab.g_01670
OG0000319	Syas.g_02663	Prab.g_01683
OG0000320	Syas.g_02661	Prab.g_01685
OG0000321	Syas.g_02660	Prab.g_01686
OG0000322	Syas.g_02659	Prab.g_01687
OG0000323	Syas.g_02646, Syas.g_00159	Prab.g_01696
OG0000324	Syas.g_02578	Prab.g_01722
OG0000325	Syas.g_01668	Prab.g_01732
OG0000326	Syas.g_01661	Prab.g_01738
OG0000327	Syas.g_01634	Prab.g_01761
OG0000328	Syas.g_01633	Prab.g_01762
OG0000329	Syas.g_01615	Prab.g_01779
OG0000330	Syas.g_01614	Prab.g_01780
OG0000331	Syas.g_01613	Prab.g_01781
OG0000332	Syas.g_01598	Prab.g_01795
OG0000333	Syas.g_01595	Prab.g_01797
OG0000334	Syas.g_01586	Prab.g_01805
OG0000335	Syas.g_01581	Prab.g_01810
OG0000336	Syas.g_01577	Prab.g_01814
OG0000337	Syas.g_02211	Prab.g_01830
OG0000338	Syas.g_02199	Prab.g_01831
OG0000339	Syas.g_02192	Prab.g_01835
OG0000340	Syas.g_02183	Prab.g_01842
OG0000341	Syas.g_02181	Prab.g_01844
OG0000342	Syas.g_02180	Prab.g_01845
OG0000343	Syas.g_02176	Prab.g_01846
OG0000344	Syas.g_02172	Prab.g_01849
OG0000345	Syas.g_02160	Prab.g_01854
OG0000346	Syas.g_02155	Prab.g_01858
OG0000347	Syas.g_02136	Prab.g_01874
OG0000348	Syas.g_02107	Prab.g_01884
OG0000349	Syas.g_02085	Prab.g_01901
OG0000350	Syas.g_01654	Prab.g_01920
OG0000351	Syas.g_01998	Prab.g_01937
OG0000352	Syas.g_01999	Prab.g_01938
OG0000353	Syas.g_02033	Prab.g_01954
OG0000355	Syas.g_02035	Prab.g_00001
OG0000356	Syas.g_02036	Prab.g_00002
OG0000357	Syas.g_02037	Prab.g_00003
OG0000358	Syas.g_02041	Prab.g_00007
OG0000359	Syas.g_02043	Prab.g_00008
OG0000360	Syas.g_02044	Prab.g_00009
OG0000361	Syas.g_02045	Prab.g_00010
OG0000362	Syas.g_02047	Prab.g_00012
OG0000363	Syas.g_02049	Prab.g_00014
OG0000364	Syas.g_02685	Prab.g_00015
OG0000365	Syas.g_02058	Prab.g_00020
OG0000366	Syas.g_02059	Prab.g_00021
OG0000368	Syas.g_02062	Prab.g_00024
OG0000369	Syas.g_02063	Prab.g_00025
OG0000370	Syas.g_02064	Prab.g_00026
OG0000371	Syas.g_02073	Prab.g_00032
OG0000372	Syas.g_02078	Prab.g_00035
OG0000373	Syas.g_02079	Prab.g_00036
OG0000374	Syas.g_02080	Prab.g_00037
OG0000375	Syas.g_02081	Prab.g_00039
OG0000376	Syas.g_02083	Prab.g_00041
OG0000377	Syas.g_01879	Prab.g_00044
OG0000378	Syas.g_01867	Prab.g_00046
OG0000379	Syas.g_01859	Prab.g_00049
OG0000380	Syas.g_02523	Prab.g_00058
OG0000381	Syas.g_02521	Prab.g_00062
OG0000382	Syas.g_02503	Prab.g_00073
OG0000383	Syas.g_02480	Prab.g_00075
OG0000384	Syas.g_02479	Prab.g_00076
OG0000385	Syas.g_02478	Prab.g_00077
OG0000386	Syas.g_02477	Prab.g_00078
OG0000387	Syas.g_00134	Prab.g_00090
OG0000388	Syas.g_02426	Prab.g_00093
OG0000389	Syas.g_02422	Prab.g_00097
OG0000390	Syas.g_02406	Prab.g_00104
OG0000391	Syas.g_02401	Prab.g_00107
OG0000392	Syas.g_02396	Prab.g_00111
OG0000393	Syas.g_02394	Prab.g_00113
OG0000394	Syas.g_02393	Prab.g_00114
OG0000395	Syas.g_02392	Prab.g_00115
OG0000396	Syas.g_02389	Prab.g_00117
OG0000397	Syas.g_02387	Prab.g_00119
OG0000398	Syas.g_02382	Prab.g_00121
OG0000399	Syas.g_02381	Prab.g_00122
OG0000400	Syas.g_02380	Prab.g_00123
OG0000401	Syas.g_02379	Prab.g_00124
OG0000402	Syas.g_02377	Prab.g_00126
OG0000403	Syas.g_02376	Prab.g_00127
OG0000404	Syas.g_02375	Prab.g_00128
OG0000405	Syas.g_02369	Prab.g_00132
OG0000406	Syas.g_02365	Prab.g_00138
OG0000407	Syas.g_02364	Prab.g_00139
OG0000408	Syas.g_02361	Prab.g_00141
OG0000409	Syas.g_02359	Prab.g_00143
OG0000410	Syas.g_02358	Prab.g_00144
OG0000411	Syas.g_02357	Prab.g_00145
OG0000412	Syas.g_02356	Prab.g_00146
OG0000413	Syas.g_02354	Prab.g_00147
OG0000414	Syas.g_02353	Prab.g_00148
OG0000415	Syas.g_02352	Prab.g_00149
OG0000416	Syas.g_02351	Prab.g_00150
OG0000417	Syas.g_02338	Prab.g_00151
OG0000418	Syas.g_02333	Prab.g_00156
OG0000419	Syas.g_02331	Prab.g_00158
OG0000420	Syas.g_02329	Prab.g_00159
OG0000421	Syas.g_02324	Prab.g_00164
OG0000422	Syas.g_02323	Prab.g_00165
OG0000423	Syas.g_02322	Prab.g_00166
OG0000424	Syas.g_02321	Prab.g_00167
OG0000425	Syas.g_02320	Prab.g_00168
OG0000426	Syas.g_02319	Prab.g_00169
OG0000427	Syas.g_02318	Prab.g_00170
OG0000428	Syas.g_02315	Prab.g_00172
OG0000429	Syas.g_02312	Prab.g_00173
OG0000430	Syas.g_02311	Prab.g_00174
OG0000431	Syas.g_02296	Prab.g_00176
OG0000432	Syas.g_02288	Prab.g_00179
OG0000433	Syas.g_02286	Prab.g_00180
OG0000434	Syas.g_02285	Prab.g_00181
OG0000435	Syas.g_02282	Prab.g_00182
OG0000436	Syas.g_02273	Prab.g_00187
OG0000437	Syas.g_02272	Prab.g_00188
OG0000438	Syas.g_02271	Prab.g_00189
OG0000439	Syas.g_02269	Prab.g_00191
OG0000440	Syas.g_02268	Prab.g_00192
OG0000441	Syas.g_02265	Prab.g_00195
OG0000442	Syas.g_02259	Prab.g_00196
OG0000443	Syas.g_02241	Prab.g_00197
OG0000444	Syas.g_02234	Prab.g_00202
OG0000445	Syas.g_02233	Prab.g_00203
OG0000446	Syas.g_02231	Prab.g_00204
OG0000447	Syas.g_02229	Prab.g_00205
OG0000448	Syas.g_02228	Prab.g_00206
OG0000449	Syas.g_02226	Prab.g_00207
OG0000450	Syas.g_01834	Prab.g_00208
OG0000451	Syas.g_01835	Prab.g_00209
OG0000452	Syas.g_01844	Prab.g_00212
OG0000453	Syas.g_01845	Prab.g_00213
OG0000454	Syas.g_01846	Prab.g_00214
OG0000455	Syas.g_01847	Prab.g_00215
OG0000456	Syas.g_01848	Prab.g_00216
OG0000457	Syas.g_01850	Prab.g_00217
OG0000458	Syas.g_01851	Prab.g_00218
OG0000459	Syas.g_01852	Prab.g_00219
OG0000460	Syas.g_02554	Prab.g_00226
OG0000461	Syas.g_01686	Prab.g_00232
OG0000462	Syas.g_01688	Prab.g_00234
OG0000463	Syas.g_01689	Prab.g_00235
OG0000464	Syas.g_01690	Prab.g_00236
OG0000465	Syas.g_01692	Prab.g_00237
OG0000466	Syas.g_01697	Prab.g_00240
OG0000467	Syas.g_01698	Prab.g_00241
OG0000468	Syas.g_01703	Prab.g_00243
OG0000469	Syas.g_01725	Prab.g_00251
OG0000470	Syas.g_01727	Prab.g_00253
OG0000471	Syas.g_01728	Prab.g_00254
OG0000472	Syas.g_01729	Prab.g_00255
OG0000473	Syas.g_01731	Prab.g_00257
OG0000474	Syas.g_01732	Prab.g_00258
OG0000475	Syas.g_01733	Prab.g_00259
OG0000476	Syas.g_01735	Prab.g_00260
OG0000477	Syas.g_01740	Prab.g_00263
OG0000478	Syas.g_01741	Prab.g_00264
OG0000479	Syas.g_01749	Prab.g_00265
OG0000480	Syas.g_01756	Prab.g_00270
OG0000481	Syas.g_00161, Syas.g_00162	Prab.g_00272
OG0000482	Syas.g_01758	Prab.g_00273
OG0000483	Syas.g_01762	Prab.g_00276
OG0000484	Syas.g_01763	Prab.g_00277
OG0000485	Syas.g_01764	Prab.g_00278
OG0000486	Syas.g_01765	Prab.g_00279
OG0000487	Syas.g_01771	Prab.g_00283
OG0000488	Syas.g_01779	Prab.g_00286
OG0000489	Syas.g_01823	Prab.g_00291
OG0000490	Syas.g_01808	Prab.g_00296
OG0000491	Syas.g_01806	Prab.g_00297
OG0000492	Syas.g_01803	Prab.g_00299
OG0000493	Syas.g_01802	Prab.g_00300
OG0000494	Syas.g_01801	Prab.g_00301
OG0000495	Syas.g_01799	Prab.g_00302
OG0000496	Syas.g_01798	Prab.g_00303
OG0000497	Syas.g_01797	Prab.g_00304
OG0000498	Syas.g_01796	Prab.g_00305
OG0000499	Syas.g_01795	Prab.g_00306
OG0000500	Syas.g_01794	Prab.g_00307
OG0000501	Syas.g_01791	Prab.g_00309
OG0000502	Syas.g_02216	Prab.g_00312
OG0000503	Syas.g_01541	Prab.g_00322
OG0000504	Syas.g_01539	Prab.g_00323
OG0000505	Syas.g_01538	Prab.g_00324
OG0000506	Syas.g_01536	Prab.g_00325
OG0000507	Syas.g_01530	Prab.g_00328
OG0000508	Syas.g_01523	Prab.g_00332
OG0000509	Syas.g_01521	Prab.g_00334
OG0000510	Syas.g_01520	Prab.g_00335
OG0000511	Syas.g_01519	Prab.g_00336
OG0000512	Syas.g_01517	Prab.g_00338
OG0000513	Syas.g_01508	Prab.g_00345
OG0000514	Syas.g_01504	Prab.g_00434
OG0000515	Syas.g_01503	Prab.g_00435
OG0000516	Syas.g_01501	Prab.g_00436
OG0000517	Syas.g_01498	Prab.g_00438
OG0000518	Syas.g_00360, Syas.g_02746	Prab.g_00449
OG0000519	Syas.g_02747	Prab.g_00450
OG0000520	Syas.g_02748	Prab.g_00454
OG0000521	Syas.g_01281	Prab.g_00459
OG0000522	Syas.g_01279	Prab.g_00460
OG0000523	Syas.g_01278	Prab.g_00461
OG0000524	Syas.g_01354	Prab.g_00466
OG0000525	Syas.g_01342	Prab.g_00469
OG0000526	Syas.g_01340	Prab.g_00470
OG0000527	Syas.g_01335	Prab.g_00477
OG0000528	Syas.g_01256	Prab.g_00482
OG0000529	Syas.g_01252	Prab.g_00485
OG0000530	Syas.g_01249	Prab.g_00488
OG0000531	Syas.g_01248	Prab.g_00489
OG0000532	Syas.g_01245	Prab.g_00491
OG0000533	Syas.g_01243	Prab.g_00492
OG0000534	Syas.g_01242	Prab.g_00493
OG0000535	Syas.g_01241	Prab.g_00494
OG0000536	Syas.g_01240	Prab.g_00495
OG0000537	Syas.g_01238	Prab.g_00496
OG0000538	Syas.g_01228	Prab.g_00504
OG0000539	Syas.g_01227	Prab.g_00505
OG0000540	Syas.g_01226	Prab.g_00506
OG0000541	Syas.g_01225	Prab.g_00507
OG0000542	Syas.g_01221	Prab.g_00509
OG0000543	Syas.g_01219	Prab.g_00511
OG0000544	Syas.g_01218	Prab.g_00512
OG0000545	Syas.g_01216	Prab.g_00514
OG0000546	Syas.g_01214	Prab.g_00517
OG0000547	Syas.g_01212	Prab.g_00519
OG0000548	Syas.g_01211	Prab.g_00520
OG0000549	Syas.g_00005	Prab.g_00522
OG0000550	Syas.g_00010	Prab.g_00527
OG0000551	Syas.g_00015	Prab.g_00531
OG0000552	Syas.g_00016	Prab.g_00532
OG0000553	Syas.g_00019	Prab.g_00533
OG0000554	Syas.g_00063	Prab.g_00538
OG0000555	Syas.g_00775	Prab.g_00546
OG0000556	Syas.g_00781	Prab.g_00548
OG0000557	Syas.g_00783	Prab.g_00549
OG0000558	Syas.g_00785	Prab.g_00551
OG0000559	Syas.g_00789	Prab.g_00555
OG0000560	Syas.g_00792	Prab.g_00558
OG0000561	Syas.g_00793	Prab.g_00559
OG0000562	Syas.g_00794	Prab.g_00560
OG0000563	Syas.g_00795	Prab.g_00561
OG0000564	Syas.g_00796	Prab.g_00562
OG0000565	Syas.g_00800	Prab.g_00565
OG0000566	Syas.g_00804	Prab.g_00568
OG0000567	Syas.g_00808	Prab.g_00572
OG0000568	Syas.g_00810	Prab.g_00573
OG0000569	Syas.g_00811	Prab.g_00574
OG0000570	Syas.g_00812	Prab.g_00575
OG0000571	Syas.g_00815	Prab.g_00577
OG0000572	Syas.g_00839	Prab.g_00590
OG0000573	Syas.g_00952	Prab.g_00596
OG0000574	Syas.g_00951	Prab.g_00597
OG0000575	Syas.g_00848	Prab.g_00601
OG0000576	Syas.g_00850	Prab.g_00603
OG0000577	Syas.g_00851	Prab.g_00604
OG0000578	Syas.g_00852	Prab.g_00605
OG0000579	Syas.g_00853	Prab.g_00606
OG0000580	Syas.g_00854	Prab.g_00607
OG0000581	Syas.g_00861	Prab.g_00609
OG0000582	Syas.g_00873	Prab.g_00612
OG0000583	Syas.g_00872	Prab.g_00613
OG0000584	Syas.g_00871	Prab.g_00614
OG0000585	Syas.g_00868	Prab.g_00616
OG0000586	Syas.g_00867	Prab.g_00617
OG0000587	Syas.g_00865	Prab.g_00618
OG0000588	Syas.g_00960	Prab.g_00622
OG0000589	Syas.g_00121	Prab.g_00625
OG0000590	Syas.g_00120	Prab.g_00626
