Orthogroup	Syas	Syag
OG0000075	Syas.g_01921, Syas.g_02194	Syag.g_02434
OG0000076	Syas.g_02156	Syag.g_02393
OG0000077	Syas.g_02510	Syag.g_01831
OG0000078	Syas.g_02561	Syag.g_01778
OG0000079	Syas.g_01699	Syag.g_02659, Syag.g_02652
OG0000081	Syas.g_00391	Syag.g_00167
OG0000082	Syas.g_00837	Syag.g_00318
OG0000085	Syas.g_02695	Syag.g_01676
OG0000086	Syas.g_02470	Syag.g_01853
OG0000087	Syas.g_02374	Syag.g_01939
OG0000089	Syas.g_01512	Syag.g_00005
OG0000090	Syas.g_00062	Syag.g_01454
OG0000091	Syas.g_00907, Syas.g_00146	Syag.g_00418
OG0000092	Syas.g_00900, Syas.g_00877	Syag.g_00242
OG0000094	Syas.g_00208	Syag.g_00881
OG0000095	Syas.g_01021	Syag.g_00974
OG0000098	Syas.g_00091	Syag.g_00578, Syag.g_01445
OG0000099	Syas.g_01826	Syag.g_02536
OG0000100	Syas.g_00567	Syag.g_00704
OG0000102	Syas.g_02152, Syas.g_01395	Syag.g_02387
OG0000103	Syas.g_02009	Syag.g_02253
OG0000104	Syas.g_02027, Syas.g_02026	Syag.g_02268
OG0000105	Syas.g_01739	Syag.g_02606
OG0000106	Syas.g_01451	Syag.g_00462
OG0000107	Syas.g_01669	Syag.g_02689
OG0000108	Syas.g_01253	Syag.g_01528
OG0000109	Syas.g_01236	Syag.g_01512
OG0000110	Syas.g_00359, Syas.g_00818	Syag.g_00303
OG0000111	Syas.g_01037	Syag.g_00984
OG0000112	Syas.g_00452	Syag.g_00801
OG0000113	Syas.g_00571	Syag.g_00699
OG0000114	Syas.g_00252, Syas.g_00674	Syag.g_00609
OG0000115	Syas.g_02548, Syas.g_01285	Syag.g_01397
OG0000116	Syas.g_01198, Syas.g_00317	Syag.g_01156
OG0000117	Syas.g_01122	Syag.g_01097
OG0000118	Syas.g_02835	Syag.g_01232
OG0000120	Syas.g_01828	Syag.g_02535
OG0000121	Syas.g_02821	Syag.g_01414
OG0000122	Syas.g_00393	Syag.g_00446
OG0000123	Syas.g_01582	Syag.g_02781
OG0000124	Syas.g_02137	Syag.g_02367
OG0000125	Syas.g_01889	Syag.g_02136, Syag.g_02134
OG0000126	Syas.g_01992	Syag.g_02266
OG0000128	Syas.g_02046	Syag.g_02284
OG0000129	Syas.g_01880	Syag.g_02121
OG0000130	Syas.g_02522	Syag.g_01819
OG0000131	Syas.g_02367	Syag.g_01951
OG0000132	Syas.g_02334	Syag.g_01972
OG0000133	Syas.g_00457	Syag.g_00806
OG0000134	Syas.g_01509	Syag.g_00008
OG0000135	Syas.g_01938	Syag.g_02171
OG0000136	Syas.g_02740	Syag.g_00038
OG0000137	Syas.g_01333	Syag.g_01356
OG0000138	Syas.g_01235	Syag.g_01511
OG0000139	Syas.g_00069	Syag.g_01448
OG0000140	Syas.g_00090	Syag.g_01446
OG0000141	Syas.g_00875	Syag.g_00351
OG0000142	Syas.g_00746	Syag.g_00410
OG0000143	Syas.g_00742	Syag.g_00414
OG0000144	Syas.g_00718	Syag.g_00493
OG0000145	Syas.g_00948	Syag.g_01504
OG0000146	Syas.g_00451	Syag.g_00800
OG0000147	Syas.g_00450	Syag.g_00799
OG0000148	Syas.g_00577	Syag.g_00693
OG0000149	Syas.g_00282	Syag.g_00731
OG0000150	Syas.g_00874	Syag.g_00352
OG0000151	Syas.g_00148, Syas.g_00659	Syag.g_00623
OG0000152	Syas.g_00461	Syag.g_00810
OG0000153	Syas.g_00543	Syag.g_00845
OG0000154	Syas.g_00219	Syag.g_00870
OG0000155	Syas.g_01131	Syag.g_01107
OG0000156	Syas.g_01206	Syag.g_01166
OG0000157	Syas.g_01207	Syag.g_01167
OG0000158	Syas.g_02185	Syag.g_02422
OG0000160	Syas.g_02820	Syag.g_01415
OG0000161	Syas.g_02826	Syag.g_01409
OG0000162	Syas.g_02751	Syag.g_01402
OG0000163	Syas.g_01488	Syag.g_00706, Syag.g_01618
OG0000164	Syas.g_02648	Syag.g_01725
OG0000165	Syas.g_02609	Syag.g_01733
OG0000166	Syas.g_01629	Syag.g_02733
OG0000167	Syas.g_01449	Syag.g_02437
OG0000168	Syas.g_02184	Syag.g_02417
OG0000169	Syas.g_02170	Syag.g_02405
OG0000170	Syas.g_02161	Syag.g_02398
OG0000171	Syas.g_02139	Syag.g_02368
OG0000172	Syas.g_02110	Syag.g_02360
OG0000173	Syas.g_02092	Syag.g_02337
OG0000174	Syas.g_01940	Syag.g_02175
OG0000175	Syas.g_01994	Syag.g_02240
OG0000176	Syas.g_02038	Syag.g_02276
OG0000177	Syas.g_02039	Syag.g_02277
OG0000178	Syas.g_02040	Syag.g_02278
OG0000179	Syas.g_02054	Syag.g_02293
OG0000180	Syas.g_02055	Syag.g_02294
OG0000181	Syas.g_02056	Syag.g_02295
OG0000182	Syas.g_02057	Syag.g_02296
OG0000183	Syas.g_02061	Syag.g_02300
OG0000184	Syas.g_01872	Syag.g_02110
OG0000185	Syas.g_01861	Syag.g_02092
OG0000186	Syas.g_02525	Syag.g_01815
OG0000187	Syas.g_02524	Syag.g_01816
OG0000188	Syas.g_02502	Syag.g_01839
OG0000189	Syas.g_02432	Syag.g_01872
OG0000190	Syas.g_00133	Syag.g_01874
OG0000191	Syas.g_02400	Syag.g_01909
OG0000192	Syas.g_02395	Syag.g_01915
OG0000193	Syas.g_02366	Syag.g_01952
OG0000194	Syas.g_02363	Syag.g_01955
OG0000195	Syas.g_02360	Syag.g_01957
OG0000196	Syas.g_02337	Syag.g_01968
OG0000197	Syas.g_02336	Syag.g_01969
OG0000198	Syas.g_02335	Syag.g_00108, Syag.g_01971
OG0000199	Syas.g_02327	Syag.g_01979
OG0000200	Syas.g_02298	Syag.g_01996
OG0000201	Syas.g_02279	Syag.g_02023
OG0000202	Syas.g_02278	Syag.g_02024
OG0000203	Syas.g_02277	Syag.g_02025
OG0000204	Syas.g_02276	Syag.g_02020, Syag.g_02026
OG0000205	Syas.g_02267	Syag.g_02035
OG0000206	Syas.g_02240	Syag.g_02047
OG0000207	Syas.g_02237	Syag.g_02051
OG0000208	Syas.g_02236	Syag.g_02052
OG0000209	Syas.g_01837	Syag.g_02069
OG0000210	Syas.g_01838	Syag.g_02070
OG0000211	Syas.g_02552	Syag.g_01788
OG0000212	Syas.g_02562	Syag.g_01777
OG0000213	Syas.g_01707	Syag.g_02632
OG0000214	Syas.g_01730	Syag.g_02615
OG0000215	Syas.g_01766	Syag.g_02584
OG0000216	Syas.g_01770	Syag.g_02580
OG0000217	Syas.g_01778	Syag.g_02576
OG0000218	Syas.g_01780	Syag.g_02574
OG0000219	Syas.g_01783	Syag.g_02573
OG0000220	Syas.g_01784	Syag.g_02572
OG0000221	Syas.g_01785	Syag.g_02566
OG0000222	Syas.g_01804	Syag.g_02550
OG0000223	Syas.g_02221	Syag.g_02475
OG0000224	Syas.g_02215	Syag.g_02471
OG0000225	Syas.g_01522	Syag.g_02861
OG0000226	Syas.g_01518	Syag.g_02865
OG0000227	Syas.g_01516	Syag.g_02867
OG0000228	Syas.g_01513	Syag.g_00004
OG0000229	Syas.g_01497	Syag.g_00033
OG0000230	Syas.g_01495	Syag.g_00035
OG0000231	Syas.g_02749	Syag.g_00048
OG0000232	Syas.g_01276	Syag.g_00059
OG0000233	Syas.g_01352	Syag.g_01330
OG0000234	Syas.g_01331	Syag.g_01358
OG0000235	Syas.g_01254	Syag.g_01529
OG0000236	Syas.g_01237	Syag.g_01513
OG0000237	Syas.g_01220	Syag.g_01495
OG0000238	Syas.g_01215	Syag.g_01490
OG0000239	Syas.g_00012	Syag.g_01472
OG0000240	Syas.g_00013	Syag.g_01471
OG0000241	Syas.g_00754	Syag.g_00396
OG0000242	Syas.g_00059	Syag.g_01456
OG0000243	Syas.g_00777	Syag.g_00255
OG0000244	Syas.g_00784	Syag.g_00268
OG0000245	Syas.g_00786	Syag.g_00270
OG0000246	Syas.g_00790	Syag.g_00274
OG0000247	Syas.g_00802	Syag.g_00286
OG0000248	Syas.g_00805	Syag.g_00289
OG0000249	Syas.g_00807	Syag.g_00291
OG0000250	Syas.g_00814	Syag.g_00299
OG0000251	Syas.g_00845	Syag.g_00328
OG0000252	Syas.g_00950	Syag.g_00331
OG0000253	Syas.g_00846	Syag.g_00333
OG0000254	Syas.g_00869	Syag.g_00356
OG0000255	Syas.g_00132, Syas.g_01062	Syag.g_00369
OG0000256	Syas.g_00104	Syag.g_00385
OG0000257	Syas.g_00757	Syag.g_00395
OG0000258	Syas.g_00733	Syag.g_00423
OG0000259	Syas.g_00708	Syag.g_00560
OG0000260	Syas.g_00705	Syag.g_00570
OG0000261	Syas.g_00701	Syag.g_00581
OG0000262	Syas.g_00695	Syag.g_00586
OG0000263	Syas.g_01103	Syag.g_01079
OG0000264	Syas.g_02588	Syag.g_01011
OG0000266	Syas.g_00186	Syag.g_00907
OG0000267	Syas.g_00377	Syag.g_00762
OG0000268	Syas.g_00390	Syag.g_00763
OG0000269	Syas.g_00601	Syag.g_00662
OG0000270	Syas.g_00598	Syag.g_00665
OG0000271	Syas.g_00590	Syag.g_00673
OG0000273	Syas.g_00563	Syag.g_00713
OG0000274	Syas.g_00562	Syag.g_00714
OG0000275	Syas.g_00230	Syag.g_00717
OG0000276	Syas.g_00237	Syag.g_00723
OG0000277	Syas.g_00238	Syag.g_00724
OG0000278	Syas.g_00241	Syag.g_00727
OG0000279	Syas.g_00288	Syag.g_00735
OG0000280	Syas.g_00889, Syas.g_00481	Syag.g_00741
OG0000281	Syas.g_00970	Syag.g_00572
OG0000282	Syas.g_00672	Syag.g_00611
OG0000283	Syas.g_00409	Syag.g_00775
OG0000284	Syas.g_00416	Syag.g_00780
OG0000285	Syas.g_00436	Syag.g_00791
OG0000286	Syas.g_00460	Syag.g_00809
OG0000287	Syas.g_00534	Syag.g_00838
OG0000288	Syas.g_00220	Syag.g_00869
OG0000289	Syas.g_00205	Syag.g_00884
OG0000290	Syas.g_01016	Syag.g_00970
OG0000291	Syas.g_01018	Syag.g_00972
OG0000292	Syas.g_02020	Syag.g_02265
OG0000293	Syas.g_01197	Syag.g_01155
OG0000294	Syas.g_01196	Syag.g_01154
OG0000295	Syas.g_01139	Syag.g_01115
OG0000296	Syas.g_01137	Syag.g_01113
OG0000297	Syas.g_01124	Syag.g_01099
OG0000298	Syas.g_01123	Syag.g_01098
OG0000299	Syas.g_01087	Syag.g_01067
OG0000300	Syas.g_01082	Syag.g_01062
OG0000301	Syas.g_01081	Syag.g_01061
OG0000302	Syas.g_01080	Syag.g_01060
OG0000303	Syas.g_01071	Syag.g_01048
OG0000304	Syas.g_01066	Syag.g_01041
OG0000305	Syas.g_01023	Syag.g_00977
OG0000306	Syas.g_01929	Syag.g_00460
OG0000307	Syas.g_01270	Syag.g_01546
OG0000308	Syas.g_01272	Syag.g_01548
OG0000309	Syas.g_01364	Syag.g_01553
OG0000310	Syas.g_02796	Syag.g_01291
OG0000311	Syas.g_02799	Syag.g_01300
OG0000312	Syas.g_02804	Syag.g_01434
OG0000313	Syas.g_02823	Syag.g_00966, Syag.g_01412
OG0000314	Syas.g_01296	Syag.g_01380
OG0000315	Syas.g_01306	Syag.g_01369
OG0000316	Syas.g_02728	Syag.g_01641
OG0000317	Syas.g_02687	Syag.g_01684
OG0000318	Syas.g_02680	Syag.g_01688
OG0000319	Syas.g_02663	Syag.g_01710
OG0000320	Syas.g_02661	Syag.g_01712
OG0000321	Syas.g_02660	Syag.g_01713
OG0000322	Syas.g_02659	Syag.g_01714
OG0000323	Syas.g_02646	Syag.g_01728
OG0000324	Syas.g_02578	Syag.g_01757
OG0000325	Syas.g_01668	Syag.g_02690
OG0000326	Syas.g_01661	Syag.g_02698
OG0000327	Syas.g_01634	Syag.g_02728
OG0000328	Syas.g_01633	Syag.g_02729
OG0000329	Syas.g_01615	Syag.g_02747
OG0000330	Syas.g_01614	Syag.g_02748
OG0000331	Syas.g_01613	Syag.g_02749
OG0000332	Syas.g_01598	Syag.g_02764
OG0000333	Syas.g_01595	Syag.g_02767
OG0000334	Syas.g_01586	Syag.g_02777
OG0000335	Syas.g_01581	Syag.g_02782
OG0000336	Syas.g_01577	Syag.g_02786
OG0000337	Syas.g_02211	Syag.g_02445
OG0000338	Syas.g_02199	Syag.g_02440
OG0000340	Syas.g_02183	Syag.g_02416
OG0000341	Syas.g_02181	Syag.g_02414
OG0000342	Syas.g_02180	Syag.g_02413
OG0000343	Syas.g_02176	Syag.g_02411
OG0000344	Syas.g_02172	Syag.g_02407
OG0000345	Syas.g_02160	Syag.g_02397
OG0000346	Syas.g_02155	Syag.g_02392
OG0000347	Syas.g_02136	Syag.g_02366
OG0000348	Syas.g_02107	Syag.g_02357
OG0000349	Syas.g_02085	Syag.g_02330
OG0000350	Syas.g_01654	Syag.g_02705
OG0000351	Syas.g_01998	Syag.g_02244
OG0000352	Syas.g_01999	Syag.g_02245
OG0000353	Syas.g_02033	Syag.g_02271
OG0000354	Syas.g_01209	Syag.g_01484
OG0000354	Syas.g_02052	Syag.g_02291
OG0000355	Syas.g_02035	Syag.g_02273
OG0000356	Syas.g_02036	Syag.g_02274
OG0000357	Syas.g_02037	Syag.g_02275
OG0000358	Syas.g_02041	Syag.g_02279
OG0000359	Syas.g_02043	Syag.g_02281
OG0000360	Syas.g_02044	Syag.g_02282
OG0000361	Syas.g_02045	Syag.g_02283
OG0000362	Syas.g_02047	Syag.g_02285
OG0000363	Syas.g_02049	Syag.g_02287
OG0000364	Syas.g_02685	Syag.g_02288
OG0000365	Syas.g_02058	Syag.g_02297
OG0000366	Syas.g_02059	Syag.g_02298
OG0000368	Syas.g_02062	Syag.g_02301
OG0000369	Syas.g_02063	Syag.g_02302
OG0000370	Syas.g_02064	Syag.g_02303
OG0000371	Syas.g_02073	Syag.g_02312
OG0000372	Syas.g_02078	Syag.g_02317
OG0000373	Syas.g_02079	Syag.g_02318
OG0000374	Syas.g_02080	Syag.g_02319
OG0000375	Syas.g_02081	Syag.g_02326
OG0000376	Syas.g_02083	Syag.g_02328
OG0000377	Syas.g_01879	Syag.g_02119
OG0000378	Syas.g_01867	Syag.g_02099
OG0000379	Syas.g_01859	Syag.g_02091
OG0000380	Syas.g_02523	Syag.g_01817
OG0000381	Syas.g_02521	Syag.g_01820
OG0000382	Syas.g_02503	Syag.g_01838
OG0000383	Syas.g_02480	Syag.g_01843
OG0000384	Syas.g_02479	Syag.g_01844
OG0000385	Syas.g_02478	Syag.g_01845
OG0000386	Syas.g_02477	Syag.g_01846
OG0000387	Syas.g_00134	Syag.g_01876
OG0000388	Syas.g_02426	Syag.g_01880
OG0000389	Syas.g_02422	Syag.g_01884
OG0000390	Syas.g_02406	Syag.g_01903
OG0000391	Syas.g_02401	Syag.g_01908
OG0000392	Syas.g_02396	Syag.g_01914
OG0000393	Syas.g_02394	Syag.g_01917
OG0000394	Syas.g_02393	Syag.g_01918
OG0000395	Syas.g_02392	Syag.g_01919
OG0000396	Syas.g_02389	Syag.g_01922
OG0000397	Syas.g_02387	Syag.g_01924
OG0000398	Syas.g_02382	Syag.g_01929
OG0000399	Syas.g_02381	Syag.g_01930
OG0000400	Syas.g_02380	Syag.g_01931
OG0000401	Syas.g_02379	Syag.g_01932
OG0000402	Syas.g_02377	Syag.g_01934
OG0000403	Syas.g_02376	Syag.g_01935
OG0000404	Syas.g_02375	Syag.g_01937
OG0000405	Syas.g_02369	Syag.g_01949
OG0000406	Syas.g_02365	Syag.g_01953
OG0000407	Syas.g_02364	Syag.g_01954
OG0000408	Syas.g_02361	Syag.g_01956
OG0000409	Syas.g_02359	Syag.g_01958
OG0000410	Syas.g_02358	Syag.g_01959
OG0000411	Syas.g_02357	Syag.g_01960
OG0000412	Syas.g_02356	Syag.g_01961
OG0000413	Syas.g_02354	Syag.g_01963
OG0000414	Syas.g_02353	Syag.g_01964
OG0000415	Syas.g_02352	Syag.g_01965
OG0000416	Syas.g_02351	Syag.g_01966
OG0000417	Syas.g_02338	Syag.g_01967
OG0000418	Syas.g_02333	Syag.g_01973
OG0000419	Syas.g_02331	Syag.g_01975
OG0000420	Syas.g_02329	Syag.g_01977
OG0000421	Syas.g_02324	Syag.g_01982
OG0000422	Syas.g_02323	Syag.g_01983
OG0000423	Syas.g_02322	Syag.g_01984
OG0000424	Syas.g_02321	Syag.g_01985
OG0000425	Syas.g_02320	Syag.g_01986
OG0000426	Syas.g_02319	Syag.g_01987
OG0000427	Syas.g_02318	Syag.g_01988
OG0000428	Syas.g_02315	Syag.g_01991
OG0000429	Syas.g_02312	Syag.g_01993
OG0000430	Syas.g_02311	Syag.g_01995
OG0000431	Syas.g_02296	Syag.g_01998
OG0000432	Syas.g_02288	Syag.g_02007
OG0000433	Syas.g_02286	Syag.g_02009
OG0000434	Syas.g_02285	Syag.g_02010
OG0000435	Syas.g_02282	Syag.g_02017
OG0000436	Syas.g_02273	Syag.g_02028
OG0000437	Syas.g_02272	Syag.g_02029
OG0000438	Syas.g_02271	Syag.g_02031
OG0000439	Syas.g_02269	Syag.g_02033
OG0000440	Syas.g_02268	Syag.g_02034
OG0000441	Syas.g_02265	Syag.g_02041
OG0000442	Syas.g_02259	Syag.g_02044
OG0000443	Syas.g_02241	Syag.g_02046
OG0000444	Syas.g_02234	Syag.g_02053
OG0000445	Syas.g_02233	Syag.g_02054
OG0000446	Syas.g_02231	Syag.g_02056
OG0000447	Syas.g_02229	Syag.g_02059
OG0000448	Syas.g_02228	Syag.g_02060
OG0000449	Syas.g_02226	Syag.g_02061
OG0000450	Syas.g_01834	Syag.g_02066
OG0000451	Syas.g_01835	Syag.g_02067
OG0000452	Syas.g_01844	Syag.g_02071
OG0000453	Syas.g_01845	Syag.g_02072
OG0000454	Syas.g_01846	Syag.g_02073
OG0000455	Syas.g_01847	Syag.g_02074
OG0000456	Syas.g_01848	Syag.g_02075
OG0000457	Syas.g_01850	Syag.g_02077
OG0000458	Syas.g_01851	Syag.g_02080
OG0000459	Syas.g_01852	Syag.g_02081
OG0000460	Syas.g_02554	Syag.g_01786
OG0000461	Syas.g_01686	Syag.g_02675
OG0000462	Syas.g_01688	Syag.g_02672
OG0000463	Syas.g_01689	Syag.g_02671
OG0000464	Syas.g_01690	Syag.g_02670
OG0000465	Syas.g_01692	Syag.g_02668
OG0000466	Syas.g_01697	Syag.g_02662
OG0000467	Syas.g_01698	Syag.g_02660
OG0000468	Syas.g_01703	Syag.g_02636
OG0000469	Syas.g_01725	Syag.g_02621
OG0000470	Syas.g_01727	Syag.g_02619
OG0000471	Syas.g_01728	Syag.g_02618
OG0000472	Syas.g_01729	Syag.g_02616
OG0000473	Syas.g_01731	Syag.g_02614
OG0000474	Syas.g_01732	Syag.g_02613
OG0000475	Syas.g_01733	Syag.g_02612
OG0000476	Syas.g_01735	Syag.g_02610
OG0000477	Syas.g_01740	Syag.g_02604
OG0000478	Syas.g_01741	Syag.g_02603
OG0000479	Syas.g_01749	Syag.g_02602
OG0000480	Syas.g_01756	Syag.g_02595
OG0000481	Syas.g_00161, Syas.g_00162	Syag.g_02593
OG0000482	Syas.g_01758	Syag.g_02592
OG0000483	Syas.g_01762	Syag.g_02588
OG0000484	Syas.g_01763	Syag.g_02587
OG0000485	Syas.g_01764	Syag.g_02586
OG0000486	Syas.g_01765	Syag.g_02585
OG0000487	Syas.g_01771	Syag.g_02579
OG0000488	Syas.g_01779	Syag.g_02575
OG0000489	Syas.g_01823	Syag.g_02565
OG0000490	Syas.g_01808	Syag.g_02553
OG0000491	Syas.g_01806	Syag.g_02551
OG0000492	Syas.g_01803	Syag.g_02549
OG0000493	Syas.g_01802	Syag.g_02548
OG0000494	Syas.g_01801	Syag.g_02547
OG0000495	Syas.g_01799	Syag.g_02546
OG0000496	Syas.g_01798	Syag.g_02545
OG0000497	Syas.g_01797	Syag.g_02544
OG0000498	Syas.g_01796	Syag.g_02543
OG0000499	Syas.g_01795	Syag.g_02542
OG0000500	Syas.g_01794	Syag.g_02541
OG0000501	Syas.g_01791	Syag.g_02538
OG0000502	Syas.g_02216	Syag.g_02467
OG0000503	Syas.g_01541	Syag.g_02843
OG0000504	Syas.g_01539	Syag.g_02845
OG0000505	Syas.g_01538	Syag.g_02846
OG0000506	Syas.g_01536	Syag.g_02849
OG0000507	Syas.g_01530	Syag.g_02855
OG0000508	Syas.g_01523	Syag.g_02860
OG0000509	Syas.g_01521	Syag.g_02862
OG0000510	Syas.g_01520	Syag.g_02863
OG0000511	Syas.g_01519	Syag.g_02864
OG0000512	Syas.g_01517	Syag.g_02866
OG0000513	Syas.g_01508	Syag.g_00009
OG0000514	Syas.g_01504	Syag.g_00018
OG0000515	Syas.g_01503	Syag.g_00019
OG0000516	Syas.g_01501	Syag.g_00025
OG0000517	Syas.g_01498	Syag.g_00032
OG0000518	Syas.g_00360, Syas.g_02746	Syag.g_00044
OG0000519	Syas.g_02747	Syag.g_00045
OG0000520	Syas.g_02748	Syag.g_00046
OG0000521	Syas.g_01281	Syag.g_00054
OG0000522	Syas.g_01279	Syag.g_00056
OG0000523	Syas.g_01278	Syag.g_00057
OG0000524	Syas.g_01354	Syag.g_01327
OG0000525	Syas.g_01342	Syag.g_01345
OG0000526	Syas.g_01340	Syag.g_01348
OG0000527	Syas.g_01335	Syag.g_01354
OG0000528	Syas.g_01256	Syag.g_01532
OG0000529	Syas.g_01252	Syag.g_01527
OG0000530	Syas.g_01249	Syag.g_01524
OG0000531	Syas.g_01248	Syag.g_01523
OG0000532	Syas.g_01245	Syag.g_01520
OG0000533	Syas.g_01243	Syag.g_01518
OG0000534	Syas.g_01242	Syag.g_01517
OG0000535	Syas.g_01241	Syag.g_01516
OG0000536	Syas.g_01240	Syag.g_01515
OG0000537	Syas.g_01238	Syag.g_01514
OG0000538	Syas.g_01228	Syag.g_01502
OG0000539	Syas.g_01227	Syag.g_01501
OG0000540	Syas.g_01226	Syag.g_01500
OG0000541	Syas.g_01225	Syag.g_01499
OG0000542	Syas.g_01221	Syag.g_01496
OG0000543	Syas.g_01219	Syag.g_01494
OG0000544	Syas.g_01218	Syag.g_01493
OG0000545	Syas.g_01216	Syag.g_01491
OG0000546	Syas.g_01214	Syag.g_01489
OG0000547	Syas.g_01212	Syag.g_01487
OG0000548	Syas.g_01211	Syag.g_01486
OG0000549	Syas.g_00005	Syag.g_01480
OG0000550	Syas.g_00010	Syag.g_01474
OG0000551	Syas.g_00015	Syag.g_01470
OG0000552	Syas.g_00016	Syag.g_01469
OG0000553	Syas.g_00019	Syag.g_01464
OG0000554	Syas.g_00063	Syag.g_01453
OG0000555	Syas.g_00775	Syag.g_00075
OG0000556	Syas.g_00781	Syag.g_00257
OG0000557	Syas.g_00783	Syag.g_00267
OG0000558	Syas.g_00785	Syag.g_00269
OG0000559	Syas.g_00789	Syag.g_00273
OG0000560	Syas.g_00792	Syag.g_00276
OG0000561	Syas.g_00793	Syag.g_00277
OG0000562	Syas.g_00794	Syag.g_00278
OG0000563	Syas.g_00795	Syag.g_00279
OG0000564	Syas.g_00796	Syag.g_00280
OG0000565	Syas.g_00800	Syag.g_00284
OG0000566	Syas.g_00804	Syag.g_00288
OG0000567	Syas.g_00808	Syag.g_00292
OG0000568	Syas.g_00810	Syag.g_00295
OG0000569	Syas.g_00811	Syag.g_00296
OG0000570	Syas.g_00812	Syag.g_00297
OG0000571	Syas.g_00815	Syag.g_00301
OG0000572	Syas.g_00839	Syag.g_00320, Syag.g_00251
OG0000573	Syas.g_00952	Syag.g_00329
OG0000574	Syas.g_00951	Syag.g_00330
OG0000575	Syas.g_00848	Syag.g_00335
OG0000576	Syas.g_00850	Syag.g_00337
OG0000577	Syas.g_00851	Syag.g_00338
OG0000578	Syas.g_00852	Syag.g_00339
OG0000579	Syas.g_00853	Syag.g_00340
OG0000580	Syas.g_00854	Syag.g_00341
OG0000581	Syas.g_00861	Syag.g_00348
OG0000582	Syas.g_00873	Syag.g_00353
OG0000583	Syas.g_00872	Syag.g_00354
OG0000584	Syas.g_00871	Syag.g_00355
OG0000585	Syas.g_00868	Syag.g_00357
OG0000586	Syas.g_00867	Syag.g_00358
OG0000587	Syas.g_00865	Syag.g_00360
OG0000588	Syas.g_00960	Syag.g_00371
OG0000589	Syas.g_00121	Syag.g_00375
OG0000590	Syas.g_00120	Syag.g_00376
