Orthogroup	Syas	Prbj
OG0000144	Syas.g_00718	Prbj.g_00793
OG0000145	Syas.g_00948	Prbj.g_01607
OG0000146	Syas.g_00451	Prbj.g_02277
OG0000147	Syas.g_00450	Prbj.g_02278
OG0000148	Syas.g_00577	Prbj.g_02431
OG0000149	Syas.g_00282	Prbj.g_02488
OG0000150	Syas.g_00874	Prbj.g_02511
OG0000151	Syas.g_00148, Syas.g_00659	Prbj.g_02361
OG0000152	Syas.g_00461	Prbj.g_02268
OG0000153	Syas.g_00543	Prbj.g_02241
OG0000154	Syas.g_00219	Prbj.g_02213
OG0000155	Syas.g_01131	Prbj.g_00312
OG0000156	Syas.g_01206	Prbj.g_00163
OG0000157	Syas.g_01207	Prbj.g_00162
OG0000158	Syas.g_02185	Prbj.g_01514
OG0000160	Syas.g_02820	Prbj.g_01057
OG0000161	Syas.g_02826	Prbj.g_01071
OG0000162	Syas.g_02751	Prbj.g_01077
OG0000163	Syas.g_01488	Prbj.g_01688
OG0000164	Syas.g_02648	Prbj.g_00476
OG0000165	Syas.g_02609	Prbj.g_00467
OG0000166	Syas.g_01629	Prbj.g_01019
OG0000167	Syas.g_01449	Prbj.g_01500
OG0000168	Syas.g_02184	Prbj.g_01515
OG0000169	Syas.g_02170	Prbj.g_01581
OG0000170	Syas.g_02161	Prbj.g_01593
OG0000171	Syas.g_02139	Prbj.g_01282
OG0000172	Syas.g_02110	Prbj.g_01248
OG0000173	Syas.g_02092	Prbj.g_01227
OG0000174	Syas.g_01940	Prbj.g_02006
OG0000175	Syas.g_01994	Prbj.g_02044
OG0000176	Syas.g_02038	Prbj.g_02077
OG0000177	Syas.g_02039	Prbj.g_02078
OG0000178	Syas.g_02040	Prbj.g_02079
OG0000179	Syas.g_02054	Prbj.g_01188
OG0000180	Syas.g_02055	Prbj.g_01189
OG0000181	Syas.g_02056	Prbj.g_01190
OG0000182	Syas.g_02057	Prbj.g_01191
OG0000183	Syas.g_02061	Prbj.g_01195
OG0000184	Syas.g_01872	Prbj.g_01943
OG0000186	Syas.g_02525	Prbj.g_00558
OG0000187	Syas.g_02524	Prbj.g_00560
OG0000188	Syas.g_02502	Prbj.g_00581
OG0000189	Syas.g_02432	Prbj.g_00607
OG0000190	Syas.g_00133	Prbj.g_00609
OG0000191	Syas.g_02400	Prbj.g_01557
OG0000192	Syas.g_02395	Prbj.g_01566
OG0000193	Syas.g_02366	Prbj.g_00542
OG0000194	Syas.g_02363	Prbj.g_00539
OG0000195	Syas.g_02360	Prbj.g_00537
OG0000196	Syas.g_02337	Prbj.g_00526
OG0000197	Syas.g_02336	Prbj.g_00525
OG0000198	Syas.g_02335	Prbj.g_00524
OG0000199	Syas.g_02327	Prbj.g_00517
OG0000200	Syas.g_02298	Prbj.g_01138
OG0000201	Syas.g_02279	Prbj.g_01157
OG0000202	Syas.g_02278	Prbj.g_01158
OG0000203	Syas.g_02277	Prbj.g_01159
OG0000204	Syas.g_02276	Prbj.g_01160
OG0000205	Syas.g_02267	Prbj.g_01167
OG0000206	Syas.g_02240	Prbj.g_00288
OG0000207	Syas.g_02237	Prbj.g_00234
OG0000208	Syas.g_02236	Prbj.g_00235
OG0000209	Syas.g_01837	Prbj.g_00262
OG0000210	Syas.g_01838	Prbj.g_00263
OG0000211	Syas.g_02552	Prbj.g_00177
OG0000212	Syas.g_02562	Prbj.g_02615
OG0000213	Syas.g_01707	Prbj.g_01362
OG0000214	Syas.g_01730	Prbj.g_01389
OG0000215	Syas.g_01766	Prbj.g_01419
OG0000216	Syas.g_01770	Prbj.g_01422
OG0000217	Syas.g_01778	Prbj.g_01426
OG0000218	Syas.g_01780	Prbj.g_01430
OG0000219	Syas.g_01783	Prbj.g_01431
OG0000220	Syas.g_01784	Prbj.g_01432
OG0000221	Syas.g_01785	Prbj.g_01437
OG0000222	Syas.g_01804	Prbj.g_01446
OG0000223	Syas.g_02221	Prbj.g_01469
OG0000224	Syas.g_02215	Prbj.g_01480
OG0000225	Syas.g_01522	Prbj.g_00323
OG0000226	Syas.g_01518	Prbj.g_00319
OG0000227	Syas.g_01516	Prbj.g_00317
OG0000228	Syas.g_01513	Prbj.g_00063
OG0000229	Syas.g_01497	Prbj.g_00100
OG0000230	Syas.g_01495	Prbj.g_00102
OG0000231	Syas.g_02749	Prbj.g_00117
OG0000232	Syas.g_01276	Prbj.g_01888
OG0000233	Syas.g_01352	Prbj.g_00148
OG0000234	Syas.g_01331	Prbj.g_00127
OG0000235	Syas.g_01254	Prbj.g_01631
OG0000236	Syas.g_01237	Prbj.g_01615
OG0000237	Syas.g_01220	Prbj.g_02094
OG0000238	Syas.g_01215	Prbj.g_02098
OG0000239	Syas.g_00012	Prbj.g_02114
OG0000240	Syas.g_00013	Prbj.g_02115
OG0000241	Syas.g_00754	Prbj.g_01116
OG0000242	Syas.g_00059	Prbj.g_02125
OG0000243	Syas.g_00777	Prbj.g_02668
OG0000244	Syas.g_00784	Prbj.g_01859
OG0000245	Syas.g_00786	Prbj.g_01862
OG0000246	Syas.g_00790	Prbj.g_01866
OG0000247	Syas.g_00802	Prbj.g_01877
OG0000248	Syas.g_00805	Prbj.g_01880
OG0000249	Syas.g_00807	Prbj.g_01882
OG0000250	Syas.g_00814	Prbj.g_01805
OG0000251	Syas.g_00845	Prbj.g_01781
OG0000252	Syas.g_00950	Prbj.g_01778
OG0000253	Syas.g_00846	Prbj.g_01772
OG0000254	Syas.g_00869	Prbj.g_01753
OG0000255	Syas.g_00132, Syas.g_01062	Prbj.g_02546
OG0000256	Syas.g_00104	Prbj.g_02560
OG0000257	Syas.g_00757	Prbj.g_02566
OG0000258	Syas.g_00733	Prbj.g_02589
OG0000259	Syas.g_00708	Prbj.g_00812
OG0000260	Syas.g_00705	Prbj.g_00816
OG0000261	Syas.g_00701	Prbj.g_00819
OG0000262	Syas.g_00695	Prbj.g_00824
OG0000263	Syas.g_01103	Prbj.g_00248
OG0000264	Syas.g_02588	Prbj.g_00933
OG0000266	Syas.g_00186	Prbj.g_02189
OG0000267	Syas.g_00377	Prbj.g_02315
OG0000268	Syas.g_00390	Prbj.g_02314
OG0000269	Syas.g_00601	Prbj.g_02407
OG0000270	Syas.g_00598	Prbj.g_02410
OG0000271	Syas.g_00590	Prbj.g_02418
OG0000272	Syas.g_00589	Prbj.g_02419
OG0000274	Syas.g_00562	Prbj.g_02471
OG0000275	Syas.g_00230	Prbj.g_02474
OG0000276	Syas.g_00237	Prbj.g_02480
OG0000277	Syas.g_00238	Prbj.g_02481
OG0000278	Syas.g_00241	Prbj.g_02484
OG0000279	Syas.g_00288	Prbj.g_02492
OG0000280	Syas.g_00889, Syas.g_00481	Prbj.g_02498
OG0000281	Syas.g_00970	Prbj.g_02512
OG0000282	Syas.g_00672	Prbj.g_02342
OG0000283	Syas.g_00409	Prbj.g_02303
OG0000284	Syas.g_00416	Prbj.g_02297
OG0000285	Syas.g_00436	Prbj.g_00694
OG0000286	Syas.g_00460	Prbj.g_02269
OG0000287	Syas.g_00534	Prbj.g_00722
OG0000288	Syas.g_00220	Prbj.g_02214
OG0000289	Syas.g_00205	Prbj.g_02201
OG0000290	Syas.g_01016	Prbj.g_01841
OG0000291	Syas.g_01018	Prbj.g_01839
OG0000292	Syas.g_02020	Prbj.g_02066
OG0000293	Syas.g_01197	Prbj.g_00958
OG0000294	Syas.g_01196	Prbj.g_00959
OG0000295	Syas.g_01139	Prbj.g_00304
OG0000296	Syas.g_01137	Prbj.g_00306, Prbj.g_00307
OG0000297	Syas.g_01124	Prbj.g_01913
OG0000298	Syas.g_01123	Prbj.g_01914
OG0000299	Syas.g_01087	Prbj.g_01903
OG0000300	Syas.g_01082	Prbj.g_02155
OG0000301	Syas.g_01081	Prbj.g_02156
OG0000302	Syas.g_01080	Prbj.g_02159
OG0000303	Syas.g_01071	Prbj.g_00314
OG0000304	Syas.g_01066	Prbj.g_00020
OG0000305	Syas.g_01023	Prbj.g_01837
OG0000306	Syas.g_01929	Prbj.g_02521
OG0000307	Syas.g_01270	Prbj.g_01647
OG0000308	Syas.g_01272	Prbj.g_01649
OG0000309	Syas.g_01364	Prbj.g_01653
OG0000310	Syas.g_02796	Prbj.g_01294
OG0000311	Syas.g_02799	Prbj.g_01040
OG0000312	Syas.g_02804	Prbj.g_01044
OG0000313	Syas.g_02823	Prbj.g_01068
OG0000314	Syas.g_01296	Prbj.g_00646
OG0000315	Syas.g_01306	Prbj.g_00656
OG0000316	Syas.g_02728	Prbj.g_01699
OG0000317	Syas.g_02687	Prbj.g_00863
OG0000318	Syas.g_02680	Prbj.g_00856
OG0000319	Syas.g_02663	Prbj.g_00487
OG0000320	Syas.g_02661	Prbj.g_00485
OG0000321	Syas.g_02660	Prbj.g_00484
OG0000322	Syas.g_02659	Prbj.g_00483
OG0000323	Syas.g_02646	Prbj.g_00472
OG0000324	Syas.g_02578	Prbj.g_00443
OG0000325	Syas.g_01668	Prbj.g_02657
OG0000326	Syas.g_01661	Prbj.g_02649
OG0000327	Syas.g_01634	Prbj.g_01024
OG0000328	Syas.g_01633	Prbj.g_01023
OG0000329	Syas.g_01615	Prbj.g_01006
OG0000330	Syas.g_01614	Prbj.g_01005
OG0000331	Syas.g_01613	Prbj.g_01004
OG0000332	Syas.g_01598	Prbj.g_00989
OG0000333	Syas.g_01595	Prbj.g_00987
OG0000334	Syas.g_01586	Prbj.g_00410
OG0000335	Syas.g_01581	Prbj.g_00405
OG0000336	Syas.g_01577	Prbj.g_00401
OG0000337	Syas.g_02211	Prbj.g_01494
OG0000338	Syas.g_02199	Prbj.g_01498
OG0000339	Syas.g_02192	Prbj.g_01504
OG0000340	Syas.g_02183	Prbj.g_01516
OG0000341	Syas.g_02181	Prbj.g_01518
OG0000342	Syas.g_02180	Prbj.g_01519
OG0000343	Syas.g_02176	Prbj.g_01576
OG0000344	Syas.g_02172	Prbj.g_01579
OG0000345	Syas.g_02160	Prbj.g_01594
OG0000346	Syas.g_02155	Prbj.g_01599
OG0000347	Syas.g_02136	Prbj.g_01280
OG0000348	Syas.g_02107	Prbj.g_01243
OG0000349	Syas.g_02085	Prbj.g_01219
OG0000350	Syas.g_01654	Prbj.g_01999
OG0000351	Syas.g_01998	Prbj.g_02047
OG0000352	Syas.g_01999	Prbj.g_02048
OG0000353	Syas.g_02033	Prbj.g_02072
OG0000354	Syas.g_01209	Prbj.g_02104
OG0000354	Syas.g_02052	Prbj.g_01186
OG0000355	Syas.g_02035	Prbj.g_02074
OG0000356	Syas.g_02036	Prbj.g_02075
OG0000357	Syas.g_02037	Prbj.g_02076
OG0000358	Syas.g_02041	Prbj.g_02080
OG0000359	Syas.g_02043	Prbj.g_02082
OG0000360	Syas.g_02044	Prbj.g_02083
OG0000361	Syas.g_02045	Prbj.g_02084
OG0000362	Syas.g_02047	Prbj.g_02086
OG0000363	Syas.g_02049	Prbj.g_01182
OG0000364	Syas.g_02685	Prbj.g_01183
OG0000365	Syas.g_02058	Prbj.g_01192
OG0000366	Syas.g_02059	Prbj.g_01193
OG0000368	Syas.g_02062	Prbj.g_01196
OG0000369	Syas.g_02063	Prbj.g_01197
OG0000370	Syas.g_02064	Prbj.g_01198
OG0000371	Syas.g_02073	Prbj.g_01207
OG0000372	Syas.g_02078	Prbj.g_01212
OG0000373	Syas.g_02079	Prbj.g_01213
OG0000374	Syas.g_02080	Prbj.g_01214
OG0000375	Syas.g_02081	Prbj.g_01215
OG0000376	Syas.g_02083	Prbj.g_01217
OG0000377	Syas.g_01879	Prbj.g_01950
OG0000378	Syas.g_01867	Prbj.g_01936
OG0000379	Syas.g_01859	Prbj.g_01920
OG0000380	Syas.g_02523	Prbj.g_00561
OG0000381	Syas.g_02521	Prbj.g_00565
OG0000382	Syas.g_02503	Prbj.g_00580
OG0000383	Syas.g_02480	Prbj.g_00582
OG0000384	Syas.g_02479	Prbj.g_00583
OG0000385	Syas.g_02478	Prbj.g_00584
OG0000386	Syas.g_02477	Prbj.g_00585
OG0000387	Syas.g_00134	Prbj.g_00611
OG0000388	Syas.g_02426	Prbj.g_00615
OG0000389	Syas.g_02422	Prbj.g_00619
OG0000390	Syas.g_02406	Prbj.g_01551
OG0000391	Syas.g_02401	Prbj.g_01556
OG0000392	Syas.g_02396	Prbj.g_01562
OG0000393	Syas.g_02394	Prbj.g_01567
OG0000394	Syas.g_02393	Prbj.g_01568
OG0000395	Syas.g_02392	Prbj.g_01569
OG0000396	Syas.g_02389	Prbj.g_01530
OG0000397	Syas.g_02387	Prbj.g_01532
OG0000398	Syas.g_02382	Prbj.g_01537
OG0000399	Syas.g_02381	Prbj.g_01538
OG0000400	Syas.g_02380	Prbj.g_01539
OG0000401	Syas.g_02379	Prbj.g_01540
OG0000402	Syas.g_02377	Prbj.g_01542
OG0000403	Syas.g_02376	Prbj.g_01543
OG0000404	Syas.g_02375	Prbj.g_01545
OG0000405	Syas.g_02369	Prbj.g_00545
OG0000406	Syas.g_02365	Prbj.g_00541
OG0000407	Syas.g_02364	Prbj.g_00540
OG0000408	Syas.g_02361	Prbj.g_00538
OG0000409	Syas.g_02359	Prbj.g_00536
OG0000410	Syas.g_02358	Prbj.g_00535
OG0000411	Syas.g_02357	Prbj.g_00534
OG0000412	Syas.g_02356	Prbj.g_00533
OG0000413	Syas.g_02354	Prbj.g_00531
OG0000414	Syas.g_02353	Prbj.g_00530
OG0000415	Syas.g_02352	Prbj.g_00529
OG0000416	Syas.g_02351	Prbj.g_00528
OG0000417	Syas.g_02338	Prbj.g_00527
OG0000418	Syas.g_02333	Prbj.g_00522
OG0000419	Syas.g_02331	Prbj.g_00520
OG0000420	Syas.g_02329	Prbj.g_00519
OG0000421	Syas.g_02324	Prbj.g_00515
OG0000422	Syas.g_02323	Prbj.g_00514
OG0000423	Syas.g_02322	Prbj.g_00513
OG0000424	Syas.g_02321	Prbj.g_00512
OG0000425	Syas.g_02320	Prbj.g_00511
OG0000426	Syas.g_02319	Prbj.g_00510
OG0000427	Syas.g_02318	Prbj.g_00509
OG0000428	Syas.g_02315	Prbj.g_02369
OG0000429	Syas.g_02312	Prbj.g_01135
OG0000430	Syas.g_02311	Prbj.g_01137
OG0000431	Syas.g_02296	Prbj.g_01141
OG0000432	Syas.g_02288	Prbj.g_01148
OG0000433	Syas.g_02286	Prbj.g_01151
OG0000434	Syas.g_02285	Prbj.g_01152
OG0000435	Syas.g_02282	Prbj.g_01155
OG0000436	Syas.g_02273	Prbj.g_01161
OG0000437	Syas.g_02272	Prbj.g_01162
OG0000438	Syas.g_02271	Prbj.g_01163
OG0000439	Syas.g_02269	Prbj.g_01165
OG0000440	Syas.g_02268	Prbj.g_01166
OG0000441	Syas.g_02265	Prbj.g_01173
OG0000442	Syas.g_02259	Prbj.g_01174
OG0000443	Syas.g_02241	Prbj.g_00289
OG0000444	Syas.g_02234	Prbj.g_00237
OG0000445	Syas.g_02233	Prbj.g_00238
OG0000446	Syas.g_02231	Prbj.g_00240
OG0000447	Syas.g_02229	Prbj.g_00250
OG0000448	Syas.g_02228	Prbj.g_00251
OG0000449	Syas.g_02226	Prbj.g_00252
OG0000450	Syas.g_01834	Prbj.g_00258
OG0000451	Syas.g_01835	Prbj.g_00259
OG0000452	Syas.g_01844	Prbj.g_00264
OG0000453	Syas.g_01845	Prbj.g_00265
OG0000454	Syas.g_01846	Prbj.g_00266
OG0000455	Syas.g_01847	Prbj.g_00267
OG0000456	Syas.g_01848	Prbj.g_00268
OG0000457	Syas.g_01850	Prbj.g_00270
OG0000458	Syas.g_01851	Prbj.g_00271
OG0000459	Syas.g_01852	Prbj.g_00272
OG0000460	Syas.g_02554	Prbj.g_00176
OG0000461	Syas.g_01686	Prbj.g_02661
OG0000462	Syas.g_01688	Prbj.g_01341
OG0000463	Syas.g_01689	Prbj.g_01342
OG0000464	Syas.g_01690	Prbj.g_01343
OG0000465	Syas.g_01692	Prbj.g_01345
OG0000466	Syas.g_01697	Prbj.g_01350
OG0000467	Syas.g_01698	Prbj.g_01352
OG0000468	Syas.g_01703	Prbj.g_01359
OG0000469	Syas.g_01725	Prbj.g_01372
OG0000470	Syas.g_01727	Prbj.g_01385
OG0000471	Syas.g_01728	Prbj.g_01386
OG0000472	Syas.g_01729	Prbj.g_01388
OG0000473	Syas.g_01731	Prbj.g_01390
OG0000474	Syas.g_01732	Prbj.g_01391
OG0000475	Syas.g_01733	Prbj.g_01392
OG0000476	Syas.g_01735	Prbj.g_01394
OG0000477	Syas.g_01740	Prbj.g_01399
OG0000478	Syas.g_01741	Prbj.g_01400
OG0000479	Syas.g_01749	Prbj.g_01401
OG0000480	Syas.g_01756	Prbj.g_01408
OG0000481	Syas.g_00161, Syas.g_00162	Prbj.g_01410
OG0000482	Syas.g_01758	Prbj.g_01411
OG0000483	Syas.g_01762	Prbj.g_01415
OG0000484	Syas.g_01763	Prbj.g_01416
OG0000485	Syas.g_01764	Prbj.g_01417
OG0000486	Syas.g_01765	Prbj.g_01418
OG0000487	Syas.g_01771	Prbj.g_01423
OG0000488	Syas.g_01779	Prbj.g_01427
OG0000489	Syas.g_01823	Prbj.g_01438
OG0000490	Syas.g_01808	Prbj.g_01444
OG0000491	Syas.g_01806	Prbj.g_01445
OG0000492	Syas.g_01803	Prbj.g_01448
OG0000493	Syas.g_01802	Prbj.g_01449
OG0000494	Syas.g_01801	Prbj.g_01450
OG0000495	Syas.g_01799	Prbj.g_01451
OG0000496	Syas.g_01798	Prbj.g_01452
OG0000497	Syas.g_01797	Prbj.g_01453
OG0000498	Syas.g_01796	Prbj.g_01454
OG0000499	Syas.g_01795	Prbj.g_01455
OG0000500	Syas.g_01794	Prbj.g_01456
OG0000501	Syas.g_01791	Prbj.g_01459
OG0000502	Syas.g_02216	Prbj.g_01471
OG0000503	Syas.g_01541	Prbj.g_00341
OG0000504	Syas.g_01539	Prbj.g_00339
OG0000505	Syas.g_01538	Prbj.g_00338
OG0000506	Syas.g_01536	Prbj.g_00336
OG0000507	Syas.g_01530	Prbj.g_00331
OG0000508	Syas.g_01523	Prbj.g_00324
OG0000509	Syas.g_01521	Prbj.g_00322
OG0000510	Syas.g_01520	Prbj.g_00321
OG0000511	Syas.g_01519	Prbj.g_00320
OG0000512	Syas.g_01517	Prbj.g_00318
OG0000513	Syas.g_01508	Prbj.g_00068
OG0000514	Syas.g_01504	Prbj.g_00076
OG0000515	Syas.g_01503	Prbj.g_00077
OG0000516	Syas.g_01501	Prbj.g_00089
OG0000517	Syas.g_01498	Prbj.g_00099
OG0000518	Syas.g_00360, Syas.g_02746	Prbj.g_00111
OG0000519	Syas.g_02747	Prbj.g_00112
OG0000520	Syas.g_02748	Prbj.g_00113
OG0000521	Syas.g_01281	Prbj.g_01894
OG0000522	Syas.g_01279	Prbj.g_01892
OG0000523	Syas.g_01278	Prbj.g_01891
OG0000524	Syas.g_01354	Prbj.g_00152
OG0000525	Syas.g_01342	Prbj.g_00136
OG0000526	Syas.g_01340	Prbj.g_00134
OG0000527	Syas.g_01335	Prbj.g_00130
OG0000528	Syas.g_01256	Prbj.g_01635
OG0000529	Syas.g_01252	Prbj.g_01629
OG0000530	Syas.g_01249	Prbj.g_01626
OG0000531	Syas.g_01248	Prbj.g_01625
OG0000532	Syas.g_01245	Prbj.g_01622
OG0000533	Syas.g_01243	Prbj.g_01620
OG0000534	Syas.g_01242	Prbj.g_01619
OG0000535	Syas.g_01241	Prbj.g_01618
OG0000536	Syas.g_01240	Prbj.g_01617
OG0000537	Syas.g_01238	Prbj.g_01616
OG0000538	Syas.g_01228	Prbj.g_01605
OG0000539	Syas.g_01227	Prbj.g_02088
OG0000540	Syas.g_01226	Prbj.g_02089
OG0000541	Syas.g_01225	Prbj.g_02090
OG0000542	Syas.g_01221	Prbj.g_02093
OG0000543	Syas.g_01219	Prbj.g_02095
OG0000544	Syas.g_01218	Prbj.g_02096
OG0000545	Syas.g_01216	Prbj.g_02097
OG0000546	Syas.g_01214	Prbj.g_02099
OG0000547	Syas.g_01212	Prbj.g_02101
OG0000548	Syas.g_01211	Prbj.g_02102
OG0000549	Syas.g_00005	Prbj.g_02108
OG0000550	Syas.g_00010	Prbj.g_02113
OG0000551	Syas.g_00015	Prbj.g_02117
OG0000552	Syas.g_00016	Prbj.g_02118
OG0000553	Syas.g_00019	Prbj.g_02123
OG0000554	Syas.g_00063	Prbj.g_02128
OG0000555	Syas.g_00775	Prbj.g_02146
OG0000556	Syas.g_00781	Prbj.g_02666
OG0000557	Syas.g_00783	Prbj.g_01858
OG0000558	Syas.g_00785	Prbj.g_01861
OG0000559	Syas.g_00789	Prbj.g_01865
OG0000560	Syas.g_00792	Prbj.g_01868
OG0000561	Syas.g_00793	Prbj.g_01869
OG0000562	Syas.g_00794	Prbj.g_01870
OG0000563	Syas.g_00795	Prbj.g_01871
OG0000564	Syas.g_00796	Prbj.g_01872
OG0000565	Syas.g_00800	Prbj.g_01875
OG0000566	Syas.g_00804	Prbj.g_01879
OG0000567	Syas.g_00808	Prbj.g_01883
OG0000568	Syas.g_00810	Prbj.g_01885
OG0000569	Syas.g_00811	Prbj.g_01807
OG0000570	Syas.g_00812	Prbj.g_01806
OG0000571	Syas.g_00815	Prbj.g_01803
OG0000572	Syas.g_00839	Prbj.g_01787
OG0000573	Syas.g_00952	Prbj.g_01780
OG0000574	Syas.g_00951	Prbj.g_01779
