Orthogroup	Syas	Prbm
OG0000038	Syas.g_01885, Syas.g_01887	Prbm.g_02174
OG0000039	Syas.g_02795	Prbm.g_00723
OG0000040	Syas.g_02028	Prbm.g_01923, Prbm.g_01409, Prbm.g_01813
OG0000041	Syas.g_00996, Syas.g_02585	Prbm.g_01886
OG0000042	Syas.g_01121, Syas.g_02147	Prbm.g_02102
OG0000044	Syas.g_00894, Syas.g_02453	Prbm.g_00478, Prbm.g_01281
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Prbm.g_00383
OG0000048	Syas.g_01734	Prbm.g_00329
OG0000051	Syas.g_01445	Prbm.g_01267, Prbm.g_01276
OG0000053	Syas.g_01287	Prbm.g_01729
OG0000054	Syas.g_00961, Syas.g_00957	Prbm.g_00637
OG0000055	Syas.g_00203	Prbm.g_01921
OG0000057	Syas.g_01055, Syas.g_01038	Prbm.g_00735
OG0000058	Syas.g_01151	Prbm.g_00881
OG0000059	Syas.g_01639	Prbm.g_01973
OG0000060	Syas.g_01343, Syas.g_01002, Syas.g_01680, Syas.g_00975	Prbm.g_01422
OG0000061	Syas.g_01184	Prbm.g_01549
OG0000062	Syas.g_02702	Prbm.g_01792
OG0000063	Syas.g_02074	Prbm.g_01947
OG0000065	Syas.g_02420	Prbm.g_00164
OG0000066	Syas.g_00094	Prbm.g_00572
OG0000067	Syas.g_00596, Syas.g_00352, Syas.g_02346	Prbm.g_00814
OG0000068	Syas.g_00969, Syas.g_01261	Prbm.g_01660
OG0000069	Syas.g_00779, Syas.g_00876	Prbm.g_01414, Prbm.g_01387, Prbm.g_01753, Prbm.g_00772
OG0000070	Syas.g_00173	Prbm.g_00460
OG0000071	Syas.g_02854	Prbm.g_00468, Prbm.g_01611
OG0000072	Syas.g_02326, Syas.g_01524	Prbm.g_00230
OG0000073	Syas.g_01230	Prbm.g_00533
OG0000075	Syas.g_01921, Syas.g_02194	Prbm.g_02069
OG0000076	Syas.g_02156	Prbm.g_02094
OG0000077	Syas.g_02510	Prbm.g_00135
OG0000078	Syas.g_02561, Syas.g_02308	Prbm.g_00300
OG0000079	Syas.g_01699	Prbm.g_00311
OG0000081	Syas.g_00391	Prbm.g_00564
OG0000082	Syas.g_00837	Prbm.g_01900
OG0000085	Syas.g_02695	Prbm.g_01834
OG0000086	Syas.g_02470	Prbm.g_00145
OG0000087	Syas.g_02374	Prbm.g_00198
OG0000089	Syas.g_01512	Prbm.g_00423
OG0000090	Syas.g_00062	Prbm.g_00566
OG0000091	Syas.g_00907, Syas.g_00146	Prbm.g_00673
OG0000092	Syas.g_00900, Syas.g_00877	Prbm.g_00934
OG0000094	Syas.g_00208, Syas.g_01716	Prbm.g_00888
OG0000095	Syas.g_01021	Prbm.g_01064
OG0000097	Syas.g_00114, Syas.g_01443	Prbm.g_01502
OG0000098	Syas.g_00091	Prbm.g_01630
OG0000099	Syas.g_01826	Prbm.g_00394
OG0000100	Syas.g_00567	Prbm.g_01787
OG0000101	Syas.g_01589	Prbm.g_02033
OG0000102	Syas.g_02152, Syas.g_01395	Prbm.g_02099
OG0000103	Syas.g_02009	Prbm.g_02218
OG0000104	Syas.g_02027, Syas.g_02026	Prbm.g_02229
OG0000105	Syas.g_01739	Prbm.g_00331
OG0000106	Syas.g_01451	Prbm.g_01172, Prbm.g_01237
OG0000107	Syas.g_01669	Prbm.g_01949
OG0000108	Syas.g_01253	Prbm.g_00506
OG0000109	Syas.g_01236	Prbm.g_00519
OG0000110	Syas.g_00359, Syas.g_00818	Prbm.g_00607
OG0000111	Syas.g_01037	Prbm.g_00736
OG0000112	Syas.g_00452	Prbm.g_00980
OG0000113	Syas.g_00571	Prbm.g_00838, Prbm.g_01191
OG0000114	Syas.g_00252, Syas.g_00674	Prbm.g_00929
OG0000115	Syas.g_02548, Syas.g_01285	Prbm.g_01803
OG0000116	Syas.g_01198, Syas.g_00317	Prbm.g_01560
OG0000117	Syas.g_01122	Prbm.g_01522
OG0000118	Syas.g_02835	Prbm.g_01622
OG0000120	Syas.g_01828	Prbm.g_00707
OG0000121	Syas.g_02821	Prbm.g_01712
OG0000122	Syas.g_00393	Prbm.g_01751
OG0000123	Syas.g_01582	Prbm.g_02040
OG0000124	Syas.g_02137	Prbm.g_02111
OG0000125	Syas.g_01889	Prbm.g_02176
OG0000126	Syas.g_01992	Prbm.g_02228
OG0000128	Syas.g_02046	Prbm.g_00011
OG0000129	Syas.g_01880	Prbm.g_00053
OG0000130	Syas.g_02522	Prbm.g_00126
OG0000131	Syas.g_02367	Prbm.g_00204
OG0000132	Syas.g_02334	Prbm.g_00223
OG0000133	Syas.g_00457	Prbm.g_00377
OG0000134	Syas.g_01509	Prbm.g_00425
OG0000135	Syas.g_01938	Prbm.g_01389
OG0000136	Syas.g_02740	Prbm.g_00451
OG0000137	Syas.g_01333	Prbm.g_00500
OG0000138	Syas.g_01235	Prbm.g_00520
OG0000139	Syas.g_00069	Prbm.g_00570
OG0000140	Syas.g_00090	Prbm.g_00571
OG0000141	Syas.g_00875	Prbm.g_00638
OG0000142	Syas.g_00746	Prbm.g_00666
OG0000143	Syas.g_00742	Prbm.g_00670
OG0000144	Syas.g_00718	Prbm.g_00683
OG0000145	Syas.g_00948	Prbm.g_01094
OG0000146	Syas.g_00451	Prbm.g_00979
OG0000147	Syas.g_00450	Prbm.g_00978
OG0000148	Syas.g_00577	Prbm.g_00832
OG0000149	Syas.g_00282	Prbm.g_00862
OG0000150	Syas.g_00874	Prbm.g_00870
OG0000151	Syas.g_00148, Syas.g_00659	Prbm.g_00940
OG0000152	Syas.g_00461	Prbm.g_00988
OG0000153	Syas.g_00543	Prbm.g_01006
OG0000154	Syas.g_00219	Prbm.g_01035
OG0000155	Syas.g_01131	Prbm.g_01527
OG0000156	Syas.g_01206	Prbm.g_01600
OG0000157	Syas.g_01207	Prbm.g_01601
OG0000158	Syas.g_02185	Prbm.g_02077
OG0000160	Syas.g_02820	Prbm.g_01711
OG0000161	Syas.g_02826	Prbm.g_01717
OG0000162	Syas.g_02751	Prbm.g_01723
OG0000163	Syas.g_01488	Prbm.g_01759
OG0000164	Syas.g_02648	Prbm.g_01863
OG0000165	Syas.g_02609	Prbm.g_01871
OG0000166	Syas.g_01629	Prbm.g_01996
OG0000167	Syas.g_01449	Prbm.g_02067
OG0000168	Syas.g_02184	Prbm.g_02078
OG0000169	Syas.g_02170	Prbm.g_02088
OG0000170	Syas.g_02161	Prbm.g_02090
OG0000171	Syas.g_02139	Prbm.g_02110
OG0000172	Syas.g_02110	Prbm.g_02146
OG0000173	Syas.g_02092	Prbm.g_02161
OG0000174	Syas.g_01940	Prbm.g_02192
OG0000175	Syas.g_01994	Prbm.g_02209
OG0000176	Syas.g_02038	Prbm.g_00004
OG0000177	Syas.g_02039	Prbm.g_00005
OG0000178	Syas.g_02040	Prbm.g_00006
OG0000179	Syas.g_02054	Prbm.g_00016
OG0000180	Syas.g_02055	Prbm.g_00017
OG0000181	Syas.g_02056	Prbm.g_00018
OG0000182	Syas.g_02057	Prbm.g_00019
OG0000183	Syas.g_02061	Prbm.g_00023
OG0000184	Syas.g_01872	Prbm.g_00055
OG0000185	Syas.g_01861	Prbm.g_00058
OG0000186	Syas.g_02525	Prbm.g_00121
OG0000187	Syas.g_02524	Prbm.g_00122
OG0000188	Syas.g_02502	Prbm.g_00139
OG0000189	Syas.g_02432	Prbm.g_00153
OG0000190	Syas.g_00133	Prbm.g_00154
OG0000191	Syas.g_02400	Prbm.g_00177
OG0000192	Syas.g_02395	Prbm.g_00181
OG0000193	Syas.g_02366	Prbm.g_00205
OG0000194	Syas.g_02363	Prbm.g_00208
OG0000195	Syas.g_02360	Prbm.g_00210
OG0000196	Syas.g_02337	Prbm.g_00220
OG0000197	Syas.g_02336	Prbm.g_00221
OG0000198	Syas.g_02335	Prbm.g_00222
OG0000199	Syas.g_02327	Prbm.g_00229
OG0000200	Syas.g_02298	Prbm.g_00243
OG0000201	Syas.g_02279	Prbm.g_00252
OG0000202	Syas.g_02278	Prbm.g_00253
OG0000203	Syas.g_02277	Prbm.g_00254
OG0000204	Syas.g_02276	Prbm.g_00255
OG0000205	Syas.g_02267	Prbm.g_00262
OG0000206	Syas.g_02240	Prbm.g_00266
OG0000207	Syas.g_02237	Prbm.g_00268
OG0000208	Syas.g_02236	Prbm.g_00269
OG0000209	Syas.g_01837	Prbm.g_00278
OG0000210	Syas.g_01838	Prbm.g_00279
OG0000211	Syas.g_02552	Prbm.g_00293
OG0000212	Syas.g_02562	Prbm.g_00301
OG0000213	Syas.g_01707	Prbm.g_00317
OG0000214	Syas.g_01730	Prbm.g_00325
OG0000215	Syas.g_01766	Prbm.g_00349
OG0000216	Syas.g_01770	Prbm.g_00350
OG0000217	Syas.g_01778	Prbm.g_00353
OG0000218	Syas.g_01780	Prbm.g_00355
OG0000219	Syas.g_01783	Prbm.g_00356
OG0000220	Syas.g_01784	Prbm.g_00357
OG0000221	Syas.g_01785	Prbm.g_00358
OG0000222	Syas.g_01804	Prbm.g_00366
OG0000223	Syas.g_02221	Prbm.g_00378
OG0000224	Syas.g_02215	Prbm.g_00380
OG0000225	Syas.g_01522	Prbm.g_00411
OG0000226	Syas.g_01518	Prbm.g_00415
OG0000227	Syas.g_01516	Prbm.g_00417
OG0000228	Syas.g_01513	Prbm.g_00422
OG0000229	Syas.g_01497	Prbm.g_00446
OG0000230	Syas.g_01495	Prbm.g_00448
OG0000231	Syas.g_02749	Prbm.g_00459
OG0000232	Syas.g_01276	Prbm.g_00484
OG0000233	Syas.g_01352	Prbm.g_00492
OG0000234	Syas.g_01331	Prbm.g_00501
OG0000235	Syas.g_01254	Prbm.g_00505
OG0000236	Syas.g_01237	Prbm.g_00518
OG0000237	Syas.g_01220	Prbm.g_00540
OG0000238	Syas.g_01215	Prbm.g_00546
OG0000239	Syas.g_00012	Prbm.g_00558
OG0000240	Syas.g_00013	Prbm.g_00559
OG0000241	Syas.g_00754	Prbm.g_00563
OG0000242	Syas.g_00059	Prbm.g_00565
OG0000243	Syas.g_00777	Prbm.g_00576
OG0000244	Syas.g_00784	Prbm.g_00579
OG0000245	Syas.g_00786	Prbm.g_00581
OG0000246	Syas.g_00790	Prbm.g_00585
OG0000247	Syas.g_00802	Prbm.g_00595
OG0000248	Syas.g_00805	Prbm.g_00597
OG0000249	Syas.g_00807	Prbm.g_00599
OG0000250	Syas.g_00814	Prbm.g_00604
OG0000251	Syas.g_00845	Prbm.g_00620
OG0000252	Syas.g_00950	Prbm.g_00623
OG0000253	Syas.g_00846	Prbm.g_00625
OG0000254	Syas.g_00869	Prbm.g_00642
OG0000255	Syas.g_00132, Syas.g_01062	Prbm.g_00648
OG0000256	Syas.g_00104	Prbm.g_00658
OG0000257	Syas.g_00757	Prbm.g_00661
OG0000258	Syas.g_00733	Prbm.g_00674
OG0000259	Syas.g_01006, Syas.g_00708	Prbm.g_00691
OG0000260	Syas.g_00705	Prbm.g_00694
OG0000261	Syas.g_00701	Prbm.g_00697
OG0000262	Syas.g_00695	Prbm.g_00702
OG0000263	Syas.g_01103	Prbm.g_00716
OG0000264	Syas.g_02588	Prbm.g_00728
OG0000266	Syas.g_00186	Prbm.g_00752
OG0000267	Syas.g_00377	Prbm.g_00765
OG0000268	Syas.g_00390	Prbm.g_00766
OG0000269	Syas.g_00601	Prbm.g_00809
OG0000270	Syas.g_00598	Prbm.g_00812
OG0000271	Syas.g_00590	Prbm.g_00820
OG0000272	Syas.g_00589	Prbm.g_00821
OG0000273	Syas.g_00563	Prbm.g_00845
OG0000274	Syas.g_00562	Prbm.g_00846
OG0000275	Syas.g_00230	Prbm.g_00848
OG0000276	Syas.g_00237	Prbm.g_00854
OG0000277	Syas.g_00238	Prbm.g_00855
OG0000278	Syas.g_00241	Prbm.g_00858
OG0000279	Syas.g_00288	Prbm.g_00865
OG0000281	Syas.g_00970	Prbm.g_00871
OG0000282	Syas.g_00672	Prbm.g_00931
OG0000283	Syas.g_00409	Prbm.g_00962
OG0000284	Syas.g_00416	Prbm.g_00967
OG0000285	Syas.g_00436	Prbm.g_00972
OG0000286	Syas.g_00460	Prbm.g_00987
OG0000287	Syas.g_00534	Prbm.g_00102
OG0000288	Syas.g_00220	Prbm.g_01034
OG0000289	Syas.g_00205	Prbm.g_01045
OG0000290	Syas.g_01016	Prbm.g_01061
OG0000291	Syas.g_01018	Prbm.g_01063
OG0000292	Syas.g_02020	Prbm.g_01210
OG0000293	Syas.g_01197	Prbm.g_01559
OG0000294	Syas.g_01196	Prbm.g_01558
OG0000295	Syas.g_01139	Prbm.g_01534
OG0000296	Syas.g_01137	Prbm.g_01532
OG0000297	Syas.g_01124	Prbm.g_01524
OG0000298	Syas.g_01123	Prbm.g_01523
OG0000299	Syas.g_01087	Prbm.g_01503
OG0000300	Syas.g_01082	Prbm.g_01500
OG0000301	Syas.g_01081	Prbm.g_01499
OG0000302	Syas.g_01080	Prbm.g_01497
OG0000303	Syas.g_01071	Prbm.g_01492
OG0000304	Syas.g_01066	Prbm.g_01489
OG0000305	Syas.g_01023	Prbm.g_01812
OG0000306	Syas.g_01929	Prbm.g_00875
OG0000307	Syas.g_01270	Prbm.g_01669
OG0000308	Syas.g_01272	Prbm.g_01670
OG0000309	Syas.g_01364	Prbm.g_01674
OG0000310	Syas.g_02796	Prbm.g_01694
OG0000311	Syas.g_02799	Prbm.g_01696
OG0000312	Syas.g_02804	Prbm.g_01699
OG0000313	Syas.g_02823	Prbm.g_01714
OG0000314	Syas.g_01296	Prbm.g_01735
OG0000315	Syas.g_01306	Prbm.g_01745
OG0000316	Syas.g_02728	Prbm.g_01770
OG0000317	Syas.g_02687	Prbm.g_01839
OG0000318	Syas.g_02680	Prbm.g_01842
OG0000319	Syas.g_02663	Prbm.g_01853
OG0000320	Syas.g_02661	Prbm.g_01855
OG0000321	Syas.g_02660	Prbm.g_01856
OG0000322	Syas.g_02659	Prbm.g_01857
OG0000323	Syas.g_02646, Syas.g_00159	Prbm.g_01866
OG0000324	Syas.g_02578	Prbm.g_01893
OG0000325	Syas.g_01668	Prbm.g_01950
OG0000326	Syas.g_01661	Prbm.g_01956
OG0000327	Syas.g_01634	Prbm.g_01991
OG0000328	Syas.g_01633	Prbm.g_01992
OG0000329	Syas.g_01615	Prbm.g_02009
OG0000330	Syas.g_01614	Prbm.g_02010
OG0000331	Syas.g_01613	Prbm.g_02011
OG0000332	Syas.g_01598	Prbm.g_02025
OG0000333	Syas.g_01595	Prbm.g_02027
OG0000334	Syas.g_01586	Prbm.g_02036
OG0000335	Syas.g_01581	Prbm.g_02041
OG0000336	Syas.g_01577	Prbm.g_02045
OG0000337	Syas.g_02211	Prbm.g_02064
OG0000338	Syas.g_02199	Prbm.g_02065
OG0000339	Syas.g_02192	Prbm.g_02070
OG0000340	Syas.g_02183	Prbm.g_02079
OG0000341	Syas.g_02181	Prbm.g_02081
OG0000342	Syas.g_02180	Prbm.g_02082
OG0000343	Syas.g_02176	Prbm.g_02083
OG0000344	Syas.g_02172	Prbm.g_02086
OG0000345	Syas.g_02160	Prbm.g_02091
OG0000346	Syas.g_02155	Prbm.g_02095
OG0000347	Syas.g_02136	Prbm.g_02114
OG0000348	Syas.g_02107	Prbm.g_02149
OG0000349	Syas.g_02085	Prbm.g_02167
OG0000350	Syas.g_01654	Prbm.g_02188
OG0000351	Syas.g_01998	Prbm.g_02212
OG0000352	Syas.g_01999	Prbm.g_02213
OG0000353	Syas.g_02033	Prbm.g_02232
OG0000354	Syas.g_02052	Prbm.g_01220
OG0000355	Syas.g_02035	Prbm.g_00001
OG0000356	Syas.g_02036	Prbm.g_00002
OG0000357	Syas.g_02037	Prbm.g_00003
OG0000358	Syas.g_02041	Prbm.g_00007
OG0000359	Syas.g_02043	Prbm.g_00008
OG0000360	Syas.g_02044	Prbm.g_00009
OG0000361	Syas.g_02045	Prbm.g_00010
OG0000362	Syas.g_02047	Prbm.g_00012
OG0000363	Syas.g_02049	Prbm.g_00014
OG0000364	Syas.g_02685	Prbm.g_00015
OG0000365	Syas.g_02058	Prbm.g_00020
OG0000366	Syas.g_02059	Prbm.g_00021
OG0000368	Syas.g_02062	Prbm.g_00024
OG0000369	Syas.g_02063	Prbm.g_00025
OG0000370	Syas.g_02064	Prbm.g_00026
OG0000371	Syas.g_02073	Prbm.g_00032
OG0000372	Syas.g_02078	Prbm.g_00033
OG0000373	Syas.g_02079	Prbm.g_00034
OG0000374	Syas.g_02080	Prbm.g_00035
OG0000375	Syas.g_02081	Prbm.g_00049
OG0000376	Syas.g_02083	Prbm.g_00051
OG0000377	Syas.g_01879	Prbm.g_00054
OG0000378	Syas.g_01867	Prbm.g_00056
OG0000379	Syas.g_01859	Prbm.g_00059
OG0000380	Syas.g_02523	Prbm.g_00123
OG0000381	Syas.g_02521	Prbm.g_00127
OG0000382	Syas.g_02503	Prbm.g_00138
OG0000383	Syas.g_02480	Prbm.g_00140
OG0000384	Syas.g_02479	Prbm.g_00141
OG0000385	Syas.g_02478	Prbm.g_00142
OG0000386	Syas.g_02477	Prbm.g_00143
OG0000387	Syas.g_00134	Prbm.g_00156
OG0000388	Syas.g_02426	Prbm.g_00160
OG0000389	Syas.g_02422	Prbm.g_00163
OG0000390	Syas.g_02406	Prbm.g_00172
OG0000391	Syas.g_02401	Prbm.g_00176
OG0000392	Syas.g_02396	Prbm.g_00179
OG0000393	Syas.g_02394	Prbm.g_00182
OG0000394	Syas.g_02393	Prbm.g_00183
OG0000395	Syas.g_02392	Prbm.g_00184
OG0000396	Syas.g_02389	Prbm.g_00187
OG0000397	Syas.g_02387	Prbm.g_00189
OG0000398	Syas.g_02382	Prbm.g_00192
OG0000399	Syas.g_02381	Prbm.g_00193
OG0000400	Syas.g_02380	Prbm.g_00194
OG0000401	Syas.g_02379	Prbm.g_00195
OG0000402	Syas.g_02377	Prbm.g_01096
OG0000403	Syas.g_02376	Prbm.g_00196
OG0000404	Syas.g_02375	Prbm.g_00197
OG0000405	Syas.g_02369	Prbm.g_00202
OG0000406	Syas.g_02365	Prbm.g_00206
OG0000407	Syas.g_02364	Prbm.g_00207
OG0000408	Syas.g_02361	Prbm.g_00209
OG0000409	Syas.g_02359	Prbm.g_00211
OG0000410	Syas.g_02358	Prbm.g_00212
OG0000411	Syas.g_02357	Prbm.g_00213
OG0000412	Syas.g_02356	Prbm.g_00214
OG0000413	Syas.g_02354	Prbm.g_00215
OG0000414	Syas.g_02353	Prbm.g_00216
OG0000415	Syas.g_02352	Prbm.g_00217
OG0000416	Syas.g_02351	Prbm.g_00218
OG0000417	Syas.g_02338	Prbm.g_00219
OG0000418	Syas.g_02333	Prbm.g_00224
OG0000419	Syas.g_02331	Prbm.g_00226
OG0000420	Syas.g_02329	Prbm.g_00227
OG0000421	Syas.g_02324	Prbm.g_00232
OG0000422	Syas.g_02323	Prbm.g_00233
OG0000423	Syas.g_02322	Prbm.g_00234
OG0000424	Syas.g_02321	Prbm.g_00235
OG0000425	Syas.g_02320	Prbm.g_00236
OG0000426	Syas.g_02319	Prbm.g_00237
OG0000427	Syas.g_02318	Prbm.g_00238
OG0000428	Syas.g_02315	Prbm.g_00240
OG0000429	Syas.g_02312	Prbm.g_00241
OG0000430	Syas.g_02311	Prbm.g_00242
OG0000431	Syas.g_02296	Prbm.g_00244
OG0000432	Syas.g_02288	Prbm.g_00248
OG0000433	Syas.g_02286	Prbm.g_00249
OG0000434	Syas.g_02285	Prbm.g_00250
OG0000435	Syas.g_02282	Prbm.g_00251
OG0000436	Syas.g_02273	Prbm.g_00256
OG0000437	Syas.g_02272	Prbm.g_00257
OG0000438	Syas.g_02271	Prbm.g_00258
OG0000439	Syas.g_02269	Prbm.g_00260
OG0000440	Syas.g_02268	Prbm.g_00261
OG0000441	Syas.g_02265	Prbm.g_00263
OG0000442	Syas.g_02259	Prbm.g_00264
OG0000443	Syas.g_02241	Prbm.g_00265
OG0000444	Syas.g_02234	Prbm.g_00270
OG0000445	Syas.g_02233	Prbm.g_00271
OG0000446	Syas.g_02231	Prbm.g_00272
OG0000447	Syas.g_02229	Prbm.g_00273
OG0000448	Syas.g_02228	Prbm.g_00274
OG0000449	Syas.g_02226	Prbm.g_00275
OG0000450	Syas.g_01834	Prbm.g_00276
OG0000451	Syas.g_01835	Prbm.g_00277
OG0000452	Syas.g_01844	Prbm.g_00280
OG0000453	Syas.g_01845	Prbm.g_00281
OG0000454	Syas.g_01846	Prbm.g_00282
OG0000455	Syas.g_01847	Prbm.g_00283
OG0000456	Syas.g_01848	Prbm.g_00284
OG0000457	Syas.g_01850	Prbm.g_00285
OG0000458	Syas.g_01851	Prbm.g_00286
OG0000459	Syas.g_01852	Prbm.g_00287
OG0000460	Syas.g_02554	Prbm.g_00295
OG0000461	Syas.g_01686	Prbm.g_00303
OG0000462	Syas.g_01688	Prbm.g_00305
OG0000463	Syas.g_01689	Prbm.g_00306
OG0000464	Syas.g_01690	Prbm.g_00307
OG0000465	Syas.g_01692	Prbm.g_00308
OG0000466	Syas.g_01697	Prbm.g_00309
OG0000467	Syas.g_01698	Prbm.g_00310
OG0000468	Syas.g_01703	Prbm.g_00312
OG0000469	Syas.g_01725	Prbm.g_00320
OG0000470	Syas.g_01727	Prbm.g_00322
OG0000471	Syas.g_01728	Prbm.g_00323
OG0000472	Syas.g_01729	Prbm.g_00324
OG0000473	Syas.g_01731	Prbm.g_00326
OG0000474	Syas.g_01732	Prbm.g_00327
OG0000475	Syas.g_01733	Prbm.g_00328
OG0000476	Syas.g_01735	Prbm.g_00330
OG0000477	Syas.g_01740	Prbm.g_00332
OG0000478	Syas.g_01741	Prbm.g_00333
OG0000479	Syas.g_01749	Prbm.g_00334
OG0000480	Syas.g_01756	Prbm.g_00339
OG0000481	Syas.g_00161, Syas.g_00162	Prbm.g_00341
OG0000482	Syas.g_01758	Prbm.g_00342
OG0000483	Syas.g_01762	Prbm.g_00345
OG0000484	Syas.g_01763	Prbm.g_00346
OG0000485	Syas.g_01764	Prbm.g_00347
OG0000486	Syas.g_01765	Prbm.g_00348
OG0000487	Syas.g_01771	Prbm.g_00351
OG0000488	Syas.g_01779	Prbm.g_00354
OG0000489	Syas.g_01823	Prbm.g_00359
OG0000490	Syas.g_01808	Prbm.g_00364
OG0000491	Syas.g_01806	Prbm.g_00365
OG0000492	Syas.g_01803	Prbm.g_00367
OG0000493	Syas.g_01802	Prbm.g_00368
OG0000494	Syas.g_01801	Prbm.g_00369
OG0000495	Syas.g_01799	Prbm.g_00370
OG0000496	Syas.g_01798	Prbm.g_00371
OG0000497	Syas.g_01797	Prbm.g_00372
OG0000498	Syas.g_01796	Prbm.g_00373
OG0000499	Syas.g_01795	Prbm.g_00374
OG0000500	Syas.g_01794	Prbm.g_00375
OG0000501	Syas.g_01791	Prbm.g_00376
OG0000502	Syas.g_02216	Prbm.g_00379
OG0000503	Syas.g_01541	Prbm.g_00400
OG0000504	Syas.g_01539	Prbm.g_00402
OG0000505	Syas.g_01538	Prbm.g_00403
OG0000506	Syas.g_01536	Prbm.g_00404
OG0000507	Syas.g_01530	Prbm.g_00407
OG0000508	Syas.g_01523	Prbm.g_00410
OG0000509	Syas.g_01521	Prbm.g_00412
OG0000510	Syas.g_01520	Prbm.g_00413
OG0000511	Syas.g_01519	Prbm.g_00414
OG0000512	Syas.g_01517	Prbm.g_00416
OG0000513	Syas.g_01508	Prbm.g_00426
OG0000514	Syas.g_01504	Prbm.g_00440
OG0000515	Syas.g_01503	Prbm.g_00441
OG0000516	Syas.g_01501	Prbm.g_00442
OG0000517	Syas.g_01498	Prbm.g_00445
OG0000518	Syas.g_00360, Syas.g_02746	Prbm.g_00456
OG0000519	Syas.g_02747	Prbm.g_00457
OG0000520	Syas.g_02748	Prbm.g_00458
OG0000521	Syas.g_01281	Prbm.g_00480
OG0000522	Syas.g_01279	Prbm.g_00482
OG0000523	Syas.g_01278	Prbm.g_00483
OG0000524	Syas.g_01354	Prbm.g_00490
OG0000525	Syas.g_01342	Prbm.g_00494
OG0000526	Syas.g_01340	Prbm.g_00495
OG0000527	Syas.g_01335	Prbm.g_00498
OG0000528	Syas.g_01256	Prbm.g_00504
OG0000529	Syas.g_01252	Prbm.g_00507
OG0000530	Syas.g_01249	Prbm.g_00510
OG0000531	Syas.g_01248	Prbm.g_00511
OG0000532	Syas.g_01245	Prbm.g_00512
OG0000533	Syas.g_01243	Prbm.g_00513
OG0000534	Syas.g_01242	Prbm.g_00514
OG0000535	Syas.g_01241	Prbm.g_00515
OG0000536	Syas.g_01240	Prbm.g_00516
OG0000537	Syas.g_01238	Prbm.g_00517
OG0000538	Syas.g_01228	Prbm.g_00534
OG0000539	Syas.g_01227	Prbm.g_00535
OG0000540	Syas.g_01226	Prbm.g_00536
OG0000541	Syas.g_01225	Prbm.g_00537
OG0000542	Syas.g_01221	Prbm.g_00539
OG0000543	Syas.g_01219	Prbm.g_00541
OG0000544	Syas.g_01218	Prbm.g_00542
OG0000545	Syas.g_01216	Prbm.g_00544
OG0000546	Syas.g_01214	Prbm.g_00547
OG0000547	Syas.g_01212	Prbm.g_00549
OG0000548	Syas.g_01211	Prbm.g_00550
OG0000549	Syas.g_00005	Prbm.g_00553
OG0000550	Syas.g_00010	Prbm.g_00557
OG0000551	Syas.g_00015	Prbm.g_00560
OG0000552	Syas.g_00016	Prbm.g_00561
OG0000553	Syas.g_00019	Prbm.g_00562
OG0000554	Syas.g_00063	Prbm.g_00567
OG0000555	Syas.g_00775	Prbm.g_00575
OG0000556	Syas.g_00781	Prbm.g_00577
OG0000557	Syas.g_00783	Prbm.g_00578
OG0000558	Syas.g_00785	Prbm.g_00580
OG0000559	Syas.g_00789	Prbm.g_00584
OG0000560	Syas.g_00792	Prbm.g_00587
OG0000561	Syas.g_00793	Prbm.g_00588
