Orthogroup	Praj	Prad
OG0000042	Praj.g_02020	Prad.g_01624
OG0000043	Praj.g_01157	Prad.g_00313
OG0000047	Praj.g_00370	Prad.g_01661
OG0000047	Praj.g_00408	Prad.g_00683
OG0000048	Praj.g_00308	Prad.g_00735
OG0000050	Praj.g_01398	Prad.g_01291
OG0000050	Praj.g_00099	Prad.g_00985
OG0000052	Praj.g_00095	Prad.g_00571
OG0000053	Praj.g_01651	Prad.g_00494
OG0000054	Praj.g_00594	Prad.g_01395
OG0000055	Praj.g_00733, Praj.g_01842	Prad.g_01126
OG0000057	Praj.g_01313, Praj.g_00691	Prad.g_01272
OG0000058	Praj.g_00839	Prad.g_00565
OG0000059	Praj.g_01892	Prad.g_00855
OG0000061	Praj.g_01461	Prad.g_01496
OG0000062	Praj.g_01714	Prad.g_00436
OG0000063	Praj.g_01867	Prad.g_01953, Prad.g_00081
OG0000065	Praj.g_00145	Prad.g_01886
OG0000066	Praj.g_00530	Prad.g_00090
OG0000067	Praj.g_00769	Prad.g_01146
OG0000068	Praj.g_01575	Prad.g_00594
OG0000069	Praj.g_01276, Praj.g_01675	Prad.g_00952, Prad.g_00400
OG0000070	Praj.g_00444	Prad.g_00057
OG0000071	Praj.g_01528	Prad.g_00628
OG0000072	Praj.g_00211	Prad.g_01820
OG0000073	Praj.g_00491	Prad.g_00130
OG0000074	Praj.g_00674, Praj.g_00870, Praj.g_01060	Prad.g_01256
OG0000075	Praj.g_01987	Prad.g_00775
OG0000076	Praj.g_02012	Prad.g_01631
OG0000077	Praj.g_00116	Prad.g_01915
OG0000078	Praj.g_00280	Prad.g_01752
OG0000079	Praj.g_00291	Prad.g_01739
OG0000081	Praj.g_00522	Prad.g_00098
OG0000082	Praj.g_01827	Prad.g_01374
OG0000083	Praj.g_01121, Praj.g_00411	Prad.g_01082, Prad.g_00345, Prad.g_01075
OG0000084	Praj.g_01628	Prad.g_00519
OG0000085	Praj.g_01762	Prad.g_00948
OG0000086	Praj.g_00126	Prad.g_01905
OG0000087	Praj.g_00179	Prad.g_01854
OG0000088	Praj.g_00206	Prad.g_01825
OG0000089	Praj.g_00403	Prad.g_00755
OG0000090	Praj.g_00524	Prad.g_00096
OG0000091	Praj.g_00630	Prad.g_01431
OG0000093	Praj.g_00754	Prad.g_00218
OG0000094	Praj.g_00846	Prad.g_01038
OG0000095	Praj.g_01024	Prad.g_01018
OG0000096	Praj.g_01249	Prad.g_00650, Prad.g_00330
OG0000097	Praj.g_01416	Prad.g_01454
OG0000098	Praj.g_01546	Prad.g_00612
OG0000099	Praj.g_00372	Prad.g_00566
OG0000100	Praj.g_01709	Prad.g_00440
OG0000101	Praj.g_01952	Prad.g_00807
OG0000102	Praj.g_02017	Prad.g_01626
OG0000103	Praj.g_02135	Prad.g_01548
OG0000104	Praj.g_02145	Prad.g_01540
OG0000105	Praj.g_00310	Prad.g_01717
OG0000106	Praj.g_01156, Praj.g_01282	Prad.g_00739
OG0000107	Praj.g_01869	Prad.g_00724
OG0000108	Praj.g_00473	Prad.g_00027
OG0000109	Praj.g_00486	Prad.g_00013
OG0000110	Praj.g_00565	Prad.g_01364
OG0000111	Praj.g_00692	Prad.g_01273
OG0000112	Praj.g_00938	Prad.g_01109
OG0000113	Praj.g_00793, Praj.g_01176	Prad.g_01168
OG0000114	Praj.g_00887	Prad.g_00245
OG0000115	Praj.g_01725	Prad.g_00641
OG0000116	Praj.g_01471	Prad.g_01506
OG0000117	Praj.g_01355	Prad.g_01214
OG0000118	Praj.g_01540	Prad.g_00616
OG0000119	Praj.g_01568	Prad.g_00598
OG0000120	Praj.g_00664	Prad.g_00564
OG0000121	Praj.g_01634	Prad.g_00513
OG0000122	Praj.g_01673	Prad.g_00474
OG0000123	Praj.g_01959	Prad.g_00800
OG0000124	Praj.g_02031	Prad.g_01616
OG0000125	Praj.g_02091	Prad.g_01580
OG0000126	Praj.g_02144	Prad.g_01541
OG0000128	Praj.g_00011	Prad.g_01975
OG0000129	Praj.g_00048	Prad.g_01943
OG0000130	Praj.g_00107	Prad.g_01924
OG0000131	Praj.g_00185	Prad.g_01846
OG0000132	Praj.g_00204	Prad.g_01827
OG0000133	Praj.g_00357	Prad.g_01669
OG0000134	Praj.g_00405	Prad.g_00754
OG0000135	Praj.g_01279	Prad.g_00727
OG0000136	Praj.g_00435	Prad.g_00066
OG0000137	Praj.g_00467	Prad.g_00032
OG0000138	Praj.g_00487	Prad.g_00012
OG0000139	Praj.g_00528	Prad.g_00092
OG0000140	Praj.g_00529	Prad.g_00091
OG0000141	Praj.g_00595	Prad.g_01396
OG0000142	Praj.g_00623	Prad.g_01424
OG0000143	Praj.g_00627	Prad.g_01428
OG0000144	Praj.g_00640	Prad.g_01226
OG0000145	Praj.g_01054	Prad.g_01107
OG0000146	Praj.g_00937	Prad.g_01110
OG0000147	Praj.g_00936	Prad.g_01111
OG0000148	Praj.g_00787	Prad.g_01162
OG0000149	Praj.g_00819	Prad.g_00301
OG0000150	Praj.g_00828	Prad.g_00293
OG0000151	Praj.g_00898	Prad.g_00235
OG0000152	Praj.g_01601, Praj.g_00946	Prad.g_00186
OG0000153	Praj.g_00965	Prad.g_00167
OG0000154	Praj.g_00995	Prad.g_00139
OG0000155	Praj.g_01440	Prad.g_01476
OG0000156	Praj.g_01517	Prad.g_00359
OG0000157	Praj.g_01518	Prad.g_00360
OG0000158	Praj.g_01995	Prad.g_00567
OG0000159	Praj.g_02043, Praj.g_02035	Prad.g_00563
OG0000160	Praj.g_01633	Prad.g_00514
OG0000161	Praj.g_01639	Prad.g_00508
OG0000162	Praj.g_01645	Prad.g_00502
OG0000163	Praj.g_01681	Prad.g_00467
OG0000164	Praj.g_01790	Prad.g_00917
OG0000165	Praj.g_01798	Prad.g_00910
OG0000166	Praj.g_01915	Prad.g_00843
OG0000167	Praj.g_01985	Prad.g_00777
OG0000168	Praj.g_01996	Prad.g_00767
OG0000169	Praj.g_02006	Prad.g_01637
OG0000170	Praj.g_02008	Prad.g_01635
OG0000171	Praj.g_02030	Prad.g_01617
OG0000172	Praj.g_02061	Prad.g_01609
OG0000173	Praj.g_02076	Prad.g_01594
OG0000174	Praj.g_02107	Prad.g_01566
OG0000175	Praj.g_02125	Prad.g_01556
OG0000176	Praj.g_00004	Prad.g_01532
OG0000177	Praj.g_00005	Prad.g_01531
OG0000178	Praj.g_00006	Prad.g_01530
OG0000179	Praj.g_00016	Prad.g_01970
OG0000180	Praj.g_00017	Prad.g_01969
OG0000181	Praj.g_00018	Prad.g_01968
OG0000182	Praj.g_00019	Prad.g_01967
OG0000183	Praj.g_00023	Prad.g_01963
OG0000184	Praj.g_00050	Prad.g_01940
OG0000185	Praj.g_00053	Prad.g_01937
OG0000186	Praj.g_00102	Prad.g_01929
OG0000187	Praj.g_00103	Prad.g_01928
OG0000188	Praj.g_00120	Prad.g_01911
OG0000189	Praj.g_00134	Prad.g_01897
OG0000190	Praj.g_00135	Prad.g_01896
OG0000191	Praj.g_00158	Prad.g_01876
OG0000192	Praj.g_00162	Prad.g_01872
OG0000193	Praj.g_00186	Prad.g_01845
OG0000194	Praj.g_00189	Prad.g_01842
OG0000195	Praj.g_00191	Prad.g_01840
OG0000196	Praj.g_00201	Prad.g_01830
OG0000197	Praj.g_00202	Prad.g_01829
OG0000198	Praj.g_00203	Prad.g_01828
OG0000199	Praj.g_00210	Prad.g_01821
OG0000200	Praj.g_00223	Prad.g_01807
OG0000201	Praj.g_00232	Prad.g_01799
OG0000202	Praj.g_00233	Prad.g_01798
OG0000203	Praj.g_00234	Prad.g_01797
OG0000204	Praj.g_00235	Prad.g_01796
OG0000205	Praj.g_00242	Prad.g_01789
OG0000206	Praj.g_00246	Prad.g_01784
OG0000207	Praj.g_00248	Prad.g_01782
OG0000208	Praj.g_00249	Prad.g_01781
OG0000209	Praj.g_00258	Prad.g_01772
OG0000210	Praj.g_00259	Prad.g_01771
OG0000211	Praj.g_00273	Prad.g_01758
OG0000212	Praj.g_00281	Prad.g_01751
OG0000213	Praj.g_00296	Prad.g_01734
OG0000214	Praj.g_00304	Prad.g_01724
OG0000215	Praj.g_00328	Prad.g_01699
OG0000216	Praj.g_00329	Prad.g_01697
OG0000217	Praj.g_00332	Prad.g_01694
OG0000218	Praj.g_00334	Prad.g_01692
OG0000219	Praj.g_00335	Prad.g_01691
OG0000220	Praj.g_00336	Prad.g_01690
OG0000221	Praj.g_00337	Prad.g_01689
OG0000222	Praj.g_00345	Prad.g_01681
OG0000223	Praj.g_00358	Prad.g_01668
OG0000224	Praj.g_00360	Prad.g_01666
OG0000225	Praj.g_00391	Prad.g_01645
OG0000226	Praj.g_00395	Prad.g_00761
OG0000227	Praj.g_00397	Prad.g_00759
OG0000228	Praj.g_00402	Prad.g_00756
OG0000229	Praj.g_00430	Prad.g_00666
OG0000230	Praj.g_00432	Prad.g_00069
OG0000231	Praj.g_00443	Prad.g_00058
OG0000232	Praj.g_00451	Prad.g_00049
OG0000233	Praj.g_00459	Prad.g_00043
OG0000234	Praj.g_00468	Prad.g_00031
OG0000235	Praj.g_00472	Prad.g_00028
OG0000236	Praj.g_00485	Prad.g_00014
OG0000237	Praj.g_00498	Prad.g_00123
OG0000238	Praj.g_00504	Prad.g_00117
OG0000239	Praj.g_00516	Prad.g_00104
OG0000240	Praj.g_00517	Prad.g_00103
OG0000241	Praj.g_00521	Prad.g_00099
OG0000242	Praj.g_00523	Prad.g_00097
OG0000243	Praj.g_00534	Prad.g_01333
OG0000244	Praj.g_00537	Prad.g_01336
OG0000245	Praj.g_00539	Prad.g_01338
OG0000246	Praj.g_00543	Prad.g_01342
OG0000247	Praj.g_00553	Prad.g_01352
OG0000248	Praj.g_00555	Prad.g_01354
OG0000249	Praj.g_00557	Prad.g_01356
OG0000250	Praj.g_00562	Prad.g_01361
OG0000251	Praj.g_00578	Prad.g_01380
OG0000252	Praj.g_00580	Prad.g_01383
OG0000253	Praj.g_00582	Prad.g_01384
OG0000254	Praj.g_00599	Prad.g_01400
OG0000255	Praj.g_00605	Prad.g_01406
OG0000256	Praj.g_00615	Prad.g_01416
OG0000257	Praj.g_00618	Prad.g_01419
OG0000258	Praj.g_00631	Prad.g_01432
OG0000259	Praj.g_00648	Prad.g_01234
OG0000260	Praj.g_00651	Prad.g_01237
OG0000261	Praj.g_00654	Prad.g_01239
OG0000262	Praj.g_00659	Prad.g_01243
OG0000263	Praj.g_00673	Prad.g_01255
OG0000264	Praj.g_00684	Prad.g_01265
OG0000265	Praj.g_00698	Prad.g_01049
OG0000266	Praj.g_00708	Prad.g_01059
OG0000267	Praj.g_00721	Prad.g_01070
OG0000268	Praj.g_00722	Prad.g_01071
OG0000269	Praj.g_00764	Prad.g_01141
OG0000270	Praj.g_00767	Prad.g_01144
OG0000271	Praj.g_00775	Prad.g_01152
OG0000272	Praj.g_00776	Prad.g_01153
OG0000273	Praj.g_00801	Prad.g_01176
OG0000274	Praj.g_00802	Prad.g_01177
OG0000275	Praj.g_00804	Prad.g_01180
OG0000276	Praj.g_00810	Prad.g_01185
OG0000277	Praj.g_00811	Prad.g_00308
OG0000278	Praj.g_00815	Prad.g_00305
OG0000279	Praj.g_00822	Prad.g_00298
OG0000280	Praj.g_01326	Prad.g_00297
OG0000281	Praj.g_00829	Prad.g_00292
OG0000282	Praj.g_00889	Prad.g_00243
OG0000283	Praj.g_00920	Prad.g_00209
OG0000284	Praj.g_00925	Prad.g_00204
OG0000285	Praj.g_00930	Prad.g_00199
OG0000286	Praj.g_00945	Prad.g_00187
OG0000287	Praj.g_00085	Prad.g_00170
OG0000288	Praj.g_00994	Prad.g_00140
OG0000289	Praj.g_01005	Prad.g_01035
OG0000290	Praj.g_01021	Prad.g_01021
OG0000291	Praj.g_01023	Prad.g_01019
OG0000292	Praj.g_01196	Prad.g_00972
OG0000293	Praj.g_01470	Prad.g_01505
OG0000294	Praj.g_01469	Prad.g_01504
OG0000295	Praj.g_01447	Prad.g_01484
OG0000296	Praj.g_01445	Prad.g_01482
OG0000297	Praj.g_01437	Prad.g_01474
OG0000298	Praj.g_01436	Prad.g_01473
OG0000299	Praj.g_01417	Prad.g_01455
OG0000300	Praj.g_01414	Prad.g_01452
OG0000301	Praj.g_01413	Prad.g_01451
OG0000302	Praj.g_01410	Prad.g_01449
OG0000303	Praj.g_01405	Prad.g_01442
OG0000304	Praj.g_01402	Prad.g_01438
OG0000305	Praj.g_01734	Prad.g_00602
OG0000306	Praj.g_00833	Prad.g_00599
OG0000307	Praj.g_01584	Prad.g_00585
OG0000308	Praj.g_01585	Prad.g_00584
OG0000309	Praj.g_01589	Prad.g_00580
OG0000310	Praj.g_01616	Prad.g_00530
OG0000311	Praj.g_01618	Prad.g_00528
OG0000312	Praj.g_01621	Prad.g_00525
OG0000313	Praj.g_01636	Prad.g_00511
OG0000314	Praj.g_01657	Prad.g_00487
OG0000315	Praj.g_01667	Prad.g_00477
OG0000316	Praj.g_01692	Prad.g_00457
OG0000317	Praj.g_01766	Prad.g_00943
OG0000318	Praj.g_01769	Prad.g_00940
OG0000319	Praj.g_01780	Prad.g_00927
OG0000320	Praj.g_01782	Prad.g_00925
OG0000321	Praj.g_01783	Prad.g_00924
OG0000322	Praj.g_01784	Prad.g_00923
OG0000323	Praj.g_01793	Prad.g_00914
OG0000324	Praj.g_01820	Prad.g_00887
OG0000325	Praj.g_01870	Prad.g_00878
OG0000326	Praj.g_01876	Prad.g_00872
OG0000327	Praj.g_01910	Prad.g_00848
OG0000328	Praj.g_01911	Prad.g_00847
OG0000329	Praj.g_01928	Prad.g_00830
OG0000330	Praj.g_01929	Prad.g_00829
OG0000331	Praj.g_01930	Prad.g_00828
OG0000332	Praj.g_01944	Prad.g_00814
OG0000333	Praj.g_01946	Prad.g_00812
OG0000334	Praj.g_01955	Prad.g_00804
OG0000335	Praj.g_01960	Prad.g_00799
OG0000336	Praj.g_01964	Prad.g_00795
OG0000337	Praj.g_01982	Prad.g_00779
OG0000338	Praj.g_01983	Prad.g_00778
OG0000339	Praj.g_01988	Prad.g_00774
OG0000340	Praj.g_01997	Prad.g_00766, Prad.g_01294
OG0000341	Praj.g_01999	Prad.g_00764
OG0000342	Praj.g_02000	Prad.g_00763
OG0000343	Praj.g_02001	Prad.g_00762
OG0000344	Praj.g_02004	Prad.g_01639
OG0000345	Praj.g_02009	Prad.g_01634
OG0000346	Praj.g_02013	Prad.g_01630
OG0000347	Praj.g_02034	Prad.g_01615
OG0000348	Praj.g_02064	Prad.g_01606
OG0000349	Praj.g_02082	Prad.g_01589
OG0000350	Praj.g_02103	Prad.g_01570
OG0000351	Praj.g_02128	Prad.g_01553
OG0000352	Praj.g_02129	Prad.g_01552
OG0000353	Praj.g_02148	Prad.g_01537
OG0000355	Praj.g_00001	Prad.g_01535
OG0000356	Praj.g_00002	Prad.g_01534
OG0000357	Praj.g_00003	Prad.g_01533
OG0000358	Praj.g_00007	Prad.g_01529
OG0000359	Praj.g_00008	Prad.g_01528
OG0000360	Praj.g_00009	Prad.g_01527
OG0000361	Praj.g_00010	Prad.g_01976
OG0000362	Praj.g_00012	Prad.g_01974
OG0000363	Praj.g_00014	Prad.g_01972
OG0000364	Praj.g_00015	Prad.g_01971
OG0000365	Praj.g_00020	Prad.g_01966
OG0000366	Praj.g_00021	Prad.g_01965
OG0000367	Praj.g_00022	Prad.g_01964
OG0000368	Praj.g_00024	Prad.g_01962
OG0000369	Praj.g_00025	Prad.g_01961
OG0000370	Praj.g_00026	Prad.g_01960
OG0000371	Praj.g_00032	Prad.g_01954
OG0000372	Praj.g_00034	Prad.g_01951
OG0000373	Praj.g_00035	Prad.g_01950
OG0000374	Praj.g_00036	Prad.g_01949
OG0000375	Praj.g_00044	Prad.g_01947
OG0000376	Praj.g_00046	Prad.g_01945
OG0000377	Praj.g_00049	Prad.g_01941
OG0000378	Praj.g_00051	Prad.g_01939
OG0000379	Praj.g_00054	Prad.g_01936
OG0000380	Praj.g_00104	Prad.g_01927
OG0000381	Praj.g_00108	Prad.g_01923
OG0000382	Praj.g_00119	Prad.g_01912
OG0000383	Praj.g_00121	Prad.g_01910
OG0000384	Praj.g_00122	Prad.g_01909
OG0000385	Praj.g_00123	Prad.g_01908
OG0000386	Praj.g_00124	Prad.g_01907
OG0000387	Praj.g_00137	Prad.g_01894
OG0000388	Praj.g_00141	Prad.g_01891
OG0000389	Praj.g_00144	Prad.g_01887
OG0000390	Praj.g_00153	Prad.g_01880, Prad.g_00011
OG0000391	Praj.g_00157	Prad.g_01877
OG0000392	Praj.g_00160	Prad.g_01873
OG0000393	Praj.g_00163	Prad.g_01871
OG0000394	Praj.g_00164	Prad.g_01870
OG0000395	Praj.g_00165	Prad.g_01869
OG0000396	Praj.g_00168	Prad.g_01866
OG0000397	Praj.g_00170	Prad.g_01864
OG0000398	Praj.g_00173	Prad.g_01862
OG0000399	Praj.g_00174	Prad.g_01861
OG0000400	Praj.g_00175	Prad.g_01860
OG0000401	Praj.g_00176	Prad.g_01859
OG0000402	Praj.g_01057	Prad.g_01857
OG0000403	Praj.g_00177	Prad.g_01856
OG0000404	Praj.g_00178	Prad.g_01855
OG0000405	Praj.g_00183	Prad.g_01851
OG0000406	Praj.g_00187	Prad.g_01844
OG0000407	Praj.g_00188	Prad.g_01843
OG0000408	Praj.g_00190	Prad.g_01841
OG0000409	Praj.g_00192	Prad.g_01839
OG0000410	Praj.g_00193	Prad.g_01838
OG0000411	Praj.g_00194	Prad.g_01837
OG0000412	Praj.g_00195	Prad.g_01836
OG0000413	Praj.g_00196	Prad.g_01835
OG0000414	Praj.g_00197	Prad.g_01834
OG0000415	Praj.g_00198	Prad.g_01833
OG0000416	Praj.g_00199	Prad.g_01832
OG0000417	Praj.g_00200	Prad.g_01831
OG0000418	Praj.g_00205	Prad.g_01826
OG0000419	Praj.g_00207	Prad.g_01824
OG0000420	Praj.g_00208	Prad.g_01823
OG0000421	Praj.g_00212	Prad.g_01818
OG0000422	Praj.g_00213	Prad.g_01817
OG0000423	Praj.g_00214	Prad.g_01816
OG0000424	Praj.g_00215	Prad.g_01815
OG0000425	Praj.g_00216	Prad.g_01814
OG0000426	Praj.g_00217	Prad.g_01813
OG0000427	Praj.g_00218	Prad.g_01812
OG0000428	Praj.g_00220	Prad.g_01810
OG0000429	Praj.g_00221	Prad.g_01809
OG0000430	Praj.g_00222	Prad.g_01808
OG0000431	Praj.g_00224	Prad.g_01806
OG0000432	Praj.g_00228	Prad.g_01803
OG0000433	Praj.g_00229	Prad.g_01802
OG0000434	Praj.g_00230	Prad.g_01801
OG0000435	Praj.g_00231	Prad.g_01800
OG0000436	Praj.g_00236	Prad.g_01795
OG0000437	Praj.g_00237	Prad.g_01794
OG0000438	Praj.g_00238	Prad.g_01793
OG0000439	Praj.g_00240	Prad.g_01791
OG0000440	Praj.g_00241	Prad.g_01790
OG0000441	Praj.g_00243	Prad.g_01787
OG0000442	Praj.g_00244	Prad.g_01786
OG0000443	Praj.g_00245	Prad.g_01785
OG0000444	Praj.g_00250	Prad.g_01780
OG0000445	Praj.g_00251	Prad.g_01779
OG0000446	Praj.g_00252	Prad.g_01778
OG0000447	Praj.g_00253	Prad.g_01777
OG0000448	Praj.g_00254	Prad.g_01776
OG0000449	Praj.g_00255	Prad.g_01775
OG0000450	Praj.g_00256	Prad.g_01774
OG0000451	Praj.g_00257	Prad.g_01773
OG0000452	Praj.g_00260	Prad.g_01770
OG0000453	Praj.g_00261	Prad.g_01769
OG0000454	Praj.g_00262	Prad.g_01768
OG0000455	Praj.g_00263	Prad.g_01767
OG0000456	Praj.g_00264	Prad.g_01766
OG0000457	Praj.g_00265	Prad.g_01765
OG0000458	Praj.g_00266	Prad.g_01764
OG0000459	Praj.g_00267	Prad.g_01763
OG0000460	Praj.g_00275	Prad.g_01756
OG0000461	Praj.g_00283	Prad.g_01749
OG0000462	Praj.g_00285	Prad.g_01747
OG0000463	Praj.g_00286	Prad.g_01746
OG0000464	Praj.g_00287	Prad.g_01745
OG0000465	Praj.g_00288	Prad.g_01744
OG0000466	Praj.g_00289	Prad.g_01741
OG0000467	Praj.g_00290	Prad.g_01740
OG0000468	Praj.g_00292	Prad.g_01738
OG0000469	Praj.g_00299	Prad.g_01729
OG0000470	Praj.g_00301	Prad.g_01727
OG0000471	Praj.g_00302	Prad.g_01726
OG0000472	Praj.g_00303	Prad.g_01725
OG0000473	Praj.g_00305	Prad.g_01723
OG0000474	Praj.g_00306	Prad.g_01722
OG0000475	Praj.g_00307	Prad.g_01721
OG0000476	Praj.g_00309	Prad.g_01720
OG0000477	Praj.g_00311	Prad.g_01716
OG0000478	Praj.g_00312	Prad.g_01715
OG0000479	Praj.g_00313	Prad.g_01714
OG0000480	Praj.g_00318	Prad.g_01709
OG0000481	Praj.g_00320	Prad.g_01707
OG0000482	Praj.g_00321	Prad.g_01706
OG0000483	Praj.g_00324	Prad.g_01703
OG0000484	Praj.g_00325	Prad.g_01702
OG0000485	Praj.g_00326	Prad.g_01701
OG0000486	Praj.g_00327	Prad.g_01700
OG0000487	Praj.g_00330	Prad.g_01696
OG0000488	Praj.g_00333	Prad.g_01693
OG0000489	Praj.g_00338	Prad.g_01688
OG0000490	Praj.g_00343	Prad.g_01683
OG0000491	Praj.g_00344	Prad.g_01682
OG0000492	Praj.g_00346	Prad.g_01680
OG0000493	Praj.g_00347	Prad.g_01679
OG0000494	Praj.g_00348	Prad.g_01678
OG0000495	Praj.g_00349	Prad.g_01677
OG0000496	Praj.g_00350	Prad.g_01676
OG0000497	Praj.g_00351	Prad.g_01675
OG0000498	Praj.g_00352	Prad.g_01674
OG0000499	Praj.g_00353	Prad.g_01673
OG0000500	Praj.g_00354	Prad.g_01672
OG0000501	Praj.g_00356	Prad.g_01670
OG0000502	Praj.g_00359	Prad.g_01667
OG0000503	Praj.g_00380	Prad.g_01657
OG0000504	Praj.g_00382	Prad.g_01656
OG0000505	Praj.g_00383	Prad.g_01655
OG0000506	Praj.g_00384	Prad.g_01653
OG0000507	Praj.g_00387	Prad.g_01650
OG0000508	Praj.g_00390	Prad.g_01646
OG0000509	Praj.g_00392	Prad.g_01644
OG0000510	Praj.g_00393	Prad.g_01643
OG0000511	Praj.g_00394	Prad.g_01642
OG0000512	Praj.g_00396	Prad.g_00760
OG0000513	Praj.g_00406	Prad.g_00753
OG0000514	Praj.g_00425	Prad.g_00671
OG0000515	Praj.g_00426	Prad.g_00670
OG0000516	Praj.g_00427	Prad.g_00669
OG0000517	Praj.g_00429	Prad.g_00667
OG0000518	Praj.g_00440	Prad.g_00061
OG0000519	Praj.g_00441	Prad.g_00060
OG0000520	Praj.g_00442	Prad.g_00059
OG0000521	Praj.g_00447	Prad.g_00054
OG0000522	Praj.g_00449	Prad.g_00052
OG0000523	Praj.g_00450	Prad.g_00051
OG0000524	Praj.g_00457	Prad.g_00045
OG0000525	Praj.g_00461	Prad.g_00042
OG0000526	Praj.g_00462	Prad.g_00041
OG0000527	Praj.g_00465	Prad.g_00034
OG0000528	Praj.g_00471	Prad.g_00029
OG0000529	Praj.g_00474	Prad.g_00026
OG0000530	Praj.g_00477	Prad.g_00023
OG0000531	Praj.g_00478	Prad.g_00022
OG0000532	Praj.g_00479	Prad.g_00020
OG0000533	Praj.g_00480	Prad.g_00019
OG0000534	Praj.g_00481	Prad.g_00018
OG0000535	Praj.g_00482	Prad.g_00017
OG0000536	Praj.g_00483	Prad.g_00016
OG0000537	Praj.g_00484	Prad.g_00015
OG0000538	Praj.g_00492	Prad.g_00129
OG0000539	Praj.g_00493	Prad.g_00128
OG0000540	Praj.g_00494	Prad.g_00127
OG0000541	Praj.g_00495	Prad.g_00126
OG0000542	Praj.g_00497	Prad.g_00124
OG0000543	Praj.g_00499	Prad.g_00122
OG0000544	Praj.g_00500	Prad.g_00121
OG0000545	Praj.g_00502	Prad.g_00119
OG0000546	Praj.g_00505	Prad.g_00116
OG0000547	Praj.g_00507	Prad.g_00114
OG0000548	Praj.g_00508	Prad.g_00113
OG0000549	Praj.g_00511	Prad.g_00111
OG0000550	Praj.g_00515	Prad.g_00106
OG0000551	Praj.g_00518	Prad.g_00102
OG0000552	Praj.g_00519	Prad.g_00101
OG0000553	Praj.g_00520	Prad.g_00100
OG0000554	Praj.g_00525	Prad.g_00095
OG0000555	Praj.g_00533	Prad.g_01332
OG0000556	Praj.g_00535	Prad.g_01334
OG0000557	Praj.g_00536	Prad.g_01335
OG0000558	Praj.g_00538	Prad.g_01337
OG0000559	Praj.g_00542	Prad.g_01341
OG0000560	Praj.g_00545	Prad.g_01344
OG0000561	Praj.g_00546	Prad.g_01345
OG0000562	Praj.g_00547	Prad.g_01346
OG0000563	Praj.g_00548	Prad.g_01347
