Orthogroup	Praj	Syah
OG0000042	Praj.g_02020	Syah.g_00261
OG0000043	Praj.g_01157	Syah.g_02119
OG0000043	Praj.g_00864	Syah.g_01546
OG0000045	Praj.g_01303	Syah.g_02356
OG0000046	Praj.g_00363	Syah.g_00823, Syah.g_00830, Syah.g_00816
OG0000047	Praj.g_00370, Praj.g_00408	Syah.g_00847
OG0000048	Praj.g_00308	Syah.g_00637
OG0000050	Praj.g_00099	Syah.g_00941
OG0000052	Praj.g_00095	Syah.g_00171
OG0000053	Praj.g_01651	Syah.g_01267
OG0000054	Praj.g_00594	Syah.g_01982, Syah.g_01862
OG0000055	Praj.g_01842	Syah.g_01878
OG0000057	Praj.g_01313, Praj.g_00691	Syah.g_02020
OG0000058	Praj.g_00839	Syah.g_00152
OG0000059	Praj.g_01892	Syah.g_00737
OG0000060	Praj.g_01108	Syah.g_01515
OG0000061	Praj.g_01461	Syah.g_02158
OG0000062	Praj.g_01714	Syah.g_02365
OG0000063	Praj.g_01867	Syah.g_00337
OG0000065	Praj.g_00145	Syah.g_02537, Syah.g_02443
OG0000066	Praj.g_00530	Syah.g_01073
OG0000067	Praj.g_00769	Syah.g_01779
OG0000068	Praj.g_01575	Syah.g_00986
OG0000069	Praj.g_01276, Praj.g_01675	Syah.g_01715
OG0000070	Praj.g_00444	Syah.g_02217
OG0000071	Praj.g_01528	Syah.g_01863, Syah.g_02199
OG0000072	Praj.g_00211	Syah.g_00080
OG0000073	Praj.g_00491	Syah.g_01018
OG0000074	Praj.g_01060	Syah.g_00951
OG0000075	Praj.g_01987	Syah.g_00186
OG0000076	Praj.g_02012	Syah.g_00250
OG0000077	Praj.g_00116	Syah.g_02494
OG0000078	Praj.g_00280	Syah.g_00912
OG0000079	Praj.g_00291	Syah.g_00665
OG0000081	Praj.g_00522	Syah.g_00922, Syah.g_02471
OG0000082	Praj.g_01827	Syah.g_01136
OG0000084	Praj.g_01628	Syah.g_02105, Syah.g_01296
OG0000085	Praj.g_01762	Syah.g_02372
OG0000086	Praj.g_00126	Syah.g_02511
OG0000087	Praj.g_00179	Syah.g_00038
OG0000088	Praj.g_00206	Syah.g_00074
OG0000089	Praj.g_00403	Syah.g_00888
OG0000090	Praj.g_00524	Syah.g_01064
OG0000091	Praj.g_00630	Syah.g_01927
OG0000093	Praj.g_00754	Syah.g_01794
OG0000094	Praj.g_00846	Syah.g_01692
OG0000095	Praj.g_01024	Syah.g_02030
OG0000097	Praj.g_01416	Syah.g_01400
OG0000098	Praj.g_01546	Syah.g_00723
OG0000099	Praj.g_00372	Syah.g_00144
OG0000100	Praj.g_01709	Syah.g_01747
OG0000101	Praj.g_01952	Syah.g_00785
OG0000102	Praj.g_02017	Syah.g_00255
OG0000103	Praj.g_02135	Syah.g_00391
OG0000104	Praj.g_02145	Syah.g_00377
OG0000105	Praj.g_00310	Syah.g_00632
OG0000106	Praj.g_01156, Praj.g_01282	Syah.g_01544
OG0000107	Praj.g_01869	Syah.g_00688
OG0000108	Praj.g_00473	Syah.g_00997
OG0000109	Praj.g_00486	Syah.g_01012
OG0000110	Praj.g_00565	Syah.g_01124
OG0000111	Praj.g_00692	Syah.g_02021
OG0000112	Praj.g_00938	Syah.g_01613
OG0000113	Praj.g_00793, Praj.g_01176	Syah.g_01752
OG0000114	Praj.g_00887	Syah.g_01529
OG0000115	Praj.g_01725	Syah.g_01269
OG0000116	Praj.g_01471	Syah.g_02175
OG0000117	Praj.g_01355	Syah.g_01425
OG0000118	Praj.g_01540	Syah.g_01173
OG0000120	Praj.g_00664	Syah.g_00145
OG0000121	Praj.g_01634	Syah.g_01287
OG0000122	Praj.g_01673	Syah.g_01900
OG0000123	Praj.g_01959	Syah.g_00793
OG0000124	Praj.g_02031	Syah.g_00272
OG0000125	Praj.g_02091	Syah.g_00504
OG0000126	Praj.g_02144	Syah.g_00379
OG0000128	Praj.g_00011	Syah.g_00361
OG0000129	Praj.g_00048	Syah.g_00516
OG0000130	Praj.g_00107	Syah.g_02483
OG0000131	Praj.g_00185	Syah.g_00052
OG0000132	Praj.g_00204	Syah.g_00072
OG0000133	Praj.g_00357	Syah.g_01618
OG0000134	Praj.g_00405	Syah.g_00891
OG0000135	Praj.g_01279	Syah.g_00465
OG0000136	Praj.g_00435	Syah.g_02227
OG0000137	Praj.g_00467	Syah.g_01221
OG0000138	Praj.g_00487	Syah.g_01013
OG0000139	Praj.g_00528	Syah.g_01070
OG0000140	Praj.g_00529	Syah.g_01071
OG0000141	Praj.g_00595	Syah.g_01981
OG0000142	Praj.g_00623	Syah.g_01935
OG0000143	Praj.g_00627	Syah.g_01931
OG0000144	Praj.g_00640	Syah.g_01824
OG0000145	Praj.g_01054	Syah.g_01019
OG0000146	Praj.g_00937	Syah.g_01612
OG0000147	Praj.g_00936	Syah.g_01611
OG0000148	Praj.g_00787	Syah.g_01758
OG0000149	Praj.g_00819	Syah.g_02096
OG0000150	Praj.g_00828	Syah.g_01980
OG0000151	Praj.g_00898	Syah.g_01820
OG0000152	Praj.g_01601, Praj.g_00946	Syah.g_01622
OG0000153	Praj.g_00965	Syah.g_01656
OG0000154	Praj.g_00995	Syah.g_01682
OG0000155	Praj.g_01440	Syah.g_02123
OG0000156	Praj.g_01517	Syah.g_02185
OG0000157	Praj.g_01518	Syah.g_02186
OG0000158	Praj.g_01995	Syah.g_00204
OG0000160	Praj.g_01633	Syah.g_01289
OG0000161	Praj.g_01639	Syah.g_01282
OG0000162	Praj.g_01645	Syah.g_01276
OG0000163	Praj.g_01681	Syah.g_02315
OG0000164	Praj.g_01790	Syah.g_02423
OG0000165	Praj.g_01798	Syah.g_02251
OG0000166	Praj.g_01915	Syah.g_00747
OG0000167	Praj.g_01985	Syah.g_00183
OG0000168	Praj.g_01996	Syah.g_00205
OG0000169	Praj.g_02006	Syah.g_00237
OG0000170	Praj.g_02008	Syah.g_00245
OG0000171	Praj.g_02030	Syah.g_00271
OG0000172	Praj.g_02061	Syah.g_00293
OG0000173	Praj.g_02076	Syah.g_00313
OG0000174	Praj.g_02107	Syah.g_00461
OG0000175	Praj.g_02125	Syah.g_00402
OG0000176	Praj.g_00004	Syah.g_00369
OG0000177	Praj.g_00005	Syah.g_00368
OG0000178	Praj.g_00006	Syah.g_00367
OG0000179	Praj.g_00016	Syah.g_00355
OG0000180	Praj.g_00017	Syah.g_00354
OG0000181	Praj.g_00018	Syah.g_00353
OG0000182	Praj.g_00019	Syah.g_00352
OG0000183	Praj.g_00023	Syah.g_00348
OG0000184	Praj.g_00050	Syah.g_00525
OG0000185	Praj.g_00053	Syah.g_00528
OG0000186	Praj.g_00102	Syah.g_02479
OG0000187	Praj.g_00103	Syah.g_02480
OG0000188	Praj.g_00120	Syah.g_02501
OG0000189	Praj.g_00134	Syah.g_02526
OG0000190	Praj.g_00135	Syah.g_02528
OG0000191	Praj.g_00158	Syah.g_00008
OG0000192	Praj.g_00162	Syah.g_00013
OG0000193	Praj.g_00186	Syah.g_00053
OG0000194	Praj.g_00189	Syah.g_00056
OG0000195	Praj.g_00191	Syah.g_00058
OG0000196	Praj.g_00201	Syah.g_00069
OG0000197	Praj.g_00202	Syah.g_00070
OG0000198	Praj.g_00203	Syah.g_00071
OG0000199	Praj.g_00210	Syah.g_00079
OG0000200	Praj.g_00223	Syah.g_00616
OG0000201	Praj.g_00232	Syah.g_00601
OG0000202	Praj.g_00233	Syah.g_00600
OG0000203	Praj.g_00234	Syah.g_00599
OG0000204	Praj.g_00235	Syah.g_00598
OG0000205	Praj.g_00242	Syah.g_00591
OG0000206	Praj.g_00246	Syah.g_00578
OG0000207	Praj.g_00248	Syah.g_00575
OG0000208	Praj.g_00249	Syah.g_00574
OG0000209	Praj.g_00258	Syah.g_00544
OG0000210	Praj.g_00259	Syah.g_00543
OG0000211	Praj.g_00273	Syah.g_00904
OG0000212	Praj.g_00281	Syah.g_00913
OG0000213	Praj.g_00296	Syah.g_00657
OG0000214	Praj.g_00304	Syah.g_00641
OG0000215	Praj.g_00328	Syah.g_00101
OG0000216	Praj.g_00329	Syah.g_00105
OG0000217	Praj.g_00332	Syah.g_00109
OG0000218	Praj.g_00334	Syah.g_00111
OG0000219	Praj.g_00335	Syah.g_00112
OG0000220	Praj.g_00336	Syah.g_00113
OG0000221	Praj.g_00337	Syah.g_00120
OG0000222	Praj.g_00345	Syah.g_00131
OG0000223	Praj.g_00358	Syah.g_00153
OG0000224	Praj.g_00360	Syah.g_00162
OG0000225	Praj.g_00391	Syah.g_00874
OG0000226	Praj.g_00395	Syah.g_00878
OG0000227	Praj.g_00397	Syah.g_00880
OG0000228	Praj.g_00402	Syah.g_00887
OG0000229	Praj.g_00430	Syah.g_02236
OG0000230	Praj.g_00432	Syah.g_02234
OG0000231	Praj.g_00443	Syah.g_02218
OG0000232	Praj.g_00451	Syah.g_01206
OG0000233	Praj.g_00459	Syah.g_01210
OG0000234	Praj.g_00468	Syah.g_01222
OG0000235	Praj.g_00472	Syah.g_00996
OG0000236	Praj.g_00485	Syah.g_01011
OG0000237	Praj.g_00498	Syah.g_01028
OG0000238	Praj.g_00504	Syah.g_01032
OG0000239	Praj.g_00516	Syah.g_01048
OG0000240	Praj.g_00517	Syah.g_01049
OG0000241	Praj.g_00521	Syah.g_01944
OG0000242	Praj.g_00523	Syah.g_01062
OG0000243	Praj.g_00534	Syah.g_01079
OG0000244	Praj.g_00537	Syah.g_01087
OG0000245	Praj.g_00539	Syah.g_01090
OG0000246	Praj.g_00543	Syah.g_01094
OG0000247	Praj.g_00553	Syah.g_01106
OG0000248	Praj.g_00555	Syah.g_01109
OG0000249	Praj.g_00557	Syah.g_01111
OG0000250	Praj.g_00562	Syah.g_01120
OG0000251	Praj.g_00578	Syah.g_01145
OG0000252	Praj.g_00580	Syah.g_01148
OG0000253	Praj.g_00582	Syah.g_01149
OG0000254	Praj.g_00599	Syah.g_01976
OG0000255	Praj.g_00605	Syah.g_01968
OG0000256	Praj.g_00615	Syah.g_01952
OG0000257	Praj.g_00618	Syah.g_01945
OG0000258	Praj.g_00631	Syah.g_01926
OG0000259	Praj.g_00648	Syah.g_01494
OG0000260	Praj.g_00651	Syah.g_01497
OG0000261	Praj.g_00654	Syah.g_01500
OG0000262	Praj.g_00659	Syah.g_01505
OG0000263	Praj.g_00673	Syah.g_01410
OG0000264	Praj.g_00684	Syah.g_02000
OG0000265	Praj.g_00698	Syah.g_02252
OG0000266	Praj.g_00708	Syah.g_01714
OG0000267	Praj.g_00721	Syah.g_01574
OG0000268	Praj.g_00722	Syah.g_01575
OG0000269	Praj.g_00764	Syah.g_01784
OG0000270	Praj.g_00767	Syah.g_01781
OG0000271	Praj.g_00775	Syah.g_01773
OG0000272	Praj.g_00776	Syah.g_01772
OG0000273	Praj.g_00801	Syah.g_02075
OG0000274	Praj.g_00802	Syah.g_02076
OG0000275	Praj.g_00804	Syah.g_02081
OG0000276	Praj.g_00810	Syah.g_02088
OG0000277	Praj.g_00811	Syah.g_02089
OG0000278	Praj.g_00815	Syah.g_02092
OG0000279	Praj.g_00822	Syah.g_02100
OG0000280	Praj.g_01326	Syah.g_02112
OG0000281	Praj.g_00829	Syah.g_00722
OG0000282	Praj.g_00889	Syah.g_01531
OG0000283	Praj.g_00920	Syah.g_01585
OG0000284	Praj.g_00925	Syah.g_01591
OG0000285	Praj.g_00930	Syah.g_01603
OG0000286	Praj.g_00945	Syah.g_01621
OG0000287	Praj.g_00085	Syah.g_01649
OG0000288	Praj.g_00994	Syah.g_01681
OG0000289	Praj.g_01005	Syah.g_01695
OG0000290	Praj.g_01021	Syah.g_02033
OG0000291	Praj.g_01023	Syah.g_02031
OG0000292	Praj.g_01196	Syah.g_00380
OG0000293	Praj.g_01470	Syah.g_02173
OG0000294	Praj.g_01469	Syah.g_02172
OG0000295	Praj.g_01447	Syah.g_02131
OG0000296	Praj.g_01445	Syah.g_02129
OG0000297	Praj.g_01437	Syah.g_01427
OG0000298	Praj.g_01436	Syah.g_01426
OG0000299	Praj.g_01417	Syah.g_01404
OG0000300	Praj.g_01414	Syah.g_01397
OG0000301	Praj.g_01413	Syah.g_01396
OG0000302	Praj.g_01410	Syah.g_01395
OG0000303	Praj.g_01405	Syah.g_01387
OG0000304	Praj.g_01402	Syah.g_01382
OG0000305	Praj.g_01734	Syah.g_02028
OG0000306	Praj.g_00833	Syah.g_02116
OG0000307	Praj.g_01584	Syah.g_00978
OG0000308	Praj.g_01585	Syah.g_00976
OG0000309	Praj.g_01589	Syah.g_00971
OG0000310	Praj.g_01616	Syah.g_01321
OG0000311	Praj.g_01618	Syah.g_01317
OG0000312	Praj.g_01621	Syah.g_01304
OG0000313	Praj.g_01636	Syah.g_01285
OG0000314	Praj.g_01657	Syah.g_01259
OG0000315	Praj.g_01667	Syah.g_01248
OG0000316	Praj.g_01692	Syah.g_02333
OG0000317	Praj.g_01766	Syah.g_02380
OG0000318	Praj.g_01769	Syah.g_02385
OG0000319	Praj.g_01780	Syah.g_02405
OG0000320	Praj.g_01782	Syah.g_02407
OG0000321	Praj.g_01783	Syah.g_02408
OG0000322	Praj.g_01784	Syah.g_02409
OG0000323	Praj.g_01793	Syah.g_02425
OG0000324	Praj.g_01820	Syah.g_02278
OG0000325	Praj.g_01870	Syah.g_00689
OG0000326	Praj.g_01876	Syah.g_00696
OG0000327	Praj.g_01910	Syah.g_00742
OG0000328	Praj.g_01911	Syah.g_00743
OG0000329	Praj.g_01928	Syah.g_00760
OG0000330	Praj.g_01929	Syah.g_00761
OG0000331	Praj.g_01930	Syah.g_00762
OG0000332	Praj.g_01944	Syah.g_00776
OG0000333	Praj.g_01946	Syah.g_00779
OG0000334	Praj.g_01955	Syah.g_00789
OG0000335	Praj.g_01960	Syah.g_00794
OG0000336	Praj.g_01964	Syah.g_00798
OG0000337	Praj.g_01982	Syah.g_00178
OG0000338	Praj.g_01983	Syah.g_00181
OG0000339	Praj.g_01988	Syah.g_00188
OG0000340	Praj.g_01997	Syah.g_00206
OG0000341	Praj.g_01999	Syah.g_00208
OG0000342	Praj.g_02000	Syah.g_00209
OG0000343	Praj.g_02001	Syah.g_00231
OG0000344	Praj.g_02004	Syah.g_00235
OG0000345	Praj.g_02009	Syah.g_00246
OG0000346	Praj.g_02013	Syah.g_00251
OG0000347	Praj.g_02034	Syah.g_00275
OG0000348	Praj.g_02064	Syah.g_00301
OG0000349	Praj.g_02082	Syah.g_00320
OG0000350	Praj.g_02103	Syah.g_00703
OG0000351	Praj.g_02128	Syah.g_00399
OG0000352	Praj.g_02129	Syah.g_00398
OG0000353	Praj.g_02148	Syah.g_00374
OG0000355	Praj.g_00001	Syah.g_00372
OG0000356	Praj.g_00002	Syah.g_00371
OG0000357	Praj.g_00003	Syah.g_00370
OG0000358	Praj.g_00007	Syah.g_00366
OG0000359	Praj.g_00008	Syah.g_00364
OG0000360	Praj.g_00009	Syah.g_00363
OG0000361	Praj.g_00010	Syah.g_00362
OG0000362	Praj.g_00012	Syah.g_00360
OG0000363	Praj.g_00014	Syah.g_00358
OG0000364	Praj.g_00015	Syah.g_00357
OG0000365	Praj.g_00020	Syah.g_00351
OG0000366	Praj.g_00021	Syah.g_00350
OG0000367	Praj.g_00022	Syah.g_00349
OG0000368	Praj.g_00024	Syah.g_00347
OG0000369	Praj.g_00025	Syah.g_00346
OG0000370	Praj.g_00026	Syah.g_00345
OG0000371	Praj.g_00032	Syah.g_00338
OG0000372	Praj.g_00034	Syah.g_00333
OG0000373	Praj.g_00035	Syah.g_00332
OG0000374	Praj.g_00036	Syah.g_00331
OG0000375	Praj.g_00044	Syah.g_00329
OG0000376	Praj.g_00046	Syah.g_00327
OG0000377	Praj.g_00049	Syah.g_00517
OG0000378	Praj.g_00051	Syah.g_00526
OG0000379	Praj.g_00054	Syah.g_00529
OG0000380	Praj.g_00104	Syah.g_02481
OG0000381	Praj.g_00108	Syah.g_02484
OG0000382	Praj.g_00119	Syah.g_02500
OG0000383	Praj.g_00121	Syah.g_02502
OG0000384	Praj.g_00122	Syah.g_02503
OG0000385	Praj.g_00123	Syah.g_02504
OG0000386	Praj.g_00124	Syah.g_02505
OG0000387	Praj.g_00137	Syah.g_02530
OG0000388	Praj.g_00141	Syah.g_02533
OG0000389	Praj.g_00144	Syah.g_02536
OG0000390	Praj.g_00153	Syah.g_00002
OG0000391	Praj.g_00157	Syah.g_00007
OG0000392	Praj.g_00160	Syah.g_00012
OG0000393	Praj.g_00163	Syah.g_00014
OG0000394	Praj.g_00164	Syah.g_00015
OG0000395	Praj.g_00165	Syah.g_00016
OG0000396	Praj.g_00168	Syah.g_00019
OG0000397	Praj.g_00170	Syah.g_00021
OG0000398	Praj.g_00173	Syah.g_00027
OG0000399	Praj.g_00174	Syah.g_00028
OG0000400	Praj.g_00175	Syah.g_00029
OG0000401	Praj.g_00176	Syah.g_00030
OG0000402	Praj.g_01057	Syah.g_00033
OG0000403	Praj.g_00177	Syah.g_00034
OG0000404	Praj.g_00178	Syah.g_00036
OG0000405	Praj.g_00183	Syah.g_00050
OG0000406	Praj.g_00187	Syah.g_00054
OG0000407	Praj.g_00188	Syah.g_00055
OG0000408	Praj.g_00190	Syah.g_00057
OG0000409	Praj.g_00192	Syah.g_00059
OG0000410	Praj.g_00193	Syah.g_00060
OG0000411	Praj.g_00194	Syah.g_00061
OG0000412	Praj.g_00195	Syah.g_00062
OG0000413	Praj.g_00196	Syah.g_00064
OG0000414	Praj.g_00197	Syah.g_00065
OG0000415	Praj.g_00198	Syah.g_00066
OG0000416	Praj.g_00199	Syah.g_00067
OG0000417	Praj.g_00200	Syah.g_00068
OG0000418	Praj.g_00205	Syah.g_00073
OG0000419	Praj.g_00207	Syah.g_00075
OG0000420	Praj.g_00208	Syah.g_00077
OG0000421	Praj.g_00212	Syah.g_00082
OG0000422	Praj.g_00213	Syah.g_00083
OG0000423	Praj.g_00214	Syah.g_00084
OG0000424	Praj.g_00215	Syah.g_00085
OG0000425	Praj.g_00216	Syah.g_00086
OG0000426	Praj.g_00217	Syah.g_00087
OG0000427	Praj.g_00218	Syah.g_00088
OG0000428	Praj.g_00220	Syah.g_00620
OG0000429	Praj.g_00221	Syah.g_00618
OG0000430	Praj.g_00222	Syah.g_00617
OG0000431	Praj.g_00224	Syah.g_00613
OG0000432	Praj.g_00228	Syah.g_00607
OG0000433	Praj.g_00229	Syah.g_00605
OG0000434	Praj.g_00230	Syah.g_00604
OG0000435	Praj.g_00231	Syah.g_00602
OG0000436	Praj.g_00236	Syah.g_00597
OG0000437	Praj.g_00237	Syah.g_00596
OG0000438	Praj.g_00238	Syah.g_00595
OG0000439	Praj.g_00240	Syah.g_00593
OG0000440	Praj.g_00241	Syah.g_00592
OG0000441	Praj.g_00243	Syah.g_00585
OG0000442	Praj.g_00244	Syah.g_00580
OG0000443	Praj.g_00245	Syah.g_00579
OG0000444	Praj.g_00250	Syah.g_00573
OG0000445	Praj.g_00251	Syah.g_00572
OG0000446	Praj.g_00252	Syah.g_00570
OG0000447	Praj.g_00253	Syah.g_00567
OG0000448	Praj.g_00254	Syah.g_00566
OG0000449	Praj.g_00255	Syah.g_00565
OG0000450	Praj.g_00256	Syah.g_00547
OG0000451	Praj.g_00257	Syah.g_00546
OG0000452	Praj.g_00260	Syah.g_00542
OG0000453	Praj.g_00261	Syah.g_00541
OG0000454	Praj.g_00262	Syah.g_00540
OG0000455	Praj.g_00263	Syah.g_00539
OG0000456	Praj.g_00264	Syah.g_00538
OG0000457	Praj.g_00265	Syah.g_00536
OG0000458	Praj.g_00266	Syah.g_00535
OG0000459	Praj.g_00267	Syah.g_00534
OG0000460	Praj.g_00275	Syah.g_00906
OG0000461	Praj.g_00283	Syah.g_00678
OG0000462	Praj.g_00285	Syah.g_00675
OG0000463	Praj.g_00286	Syah.g_00674
OG0000464	Praj.g_00287	Syah.g_00673
OG0000465	Praj.g_00288	Syah.g_00672
OG0000466	Praj.g_00289	Syah.g_00668
OG0000467	Praj.g_00290	Syah.g_00666
OG0000468	Praj.g_00292	Syah.g_00661
OG0000469	Praj.g_00299	Syah.g_00647
OG0000470	Praj.g_00301	Syah.g_00645
OG0000471	Praj.g_00302	Syah.g_00644
OG0000472	Praj.g_00303	Syah.g_00642
OG0000473	Praj.g_00305	Syah.g_00640
OG0000474	Praj.g_00306	Syah.g_00639
OG0000475	Praj.g_00307	Syah.g_00638
OG0000476	Praj.g_00309	Syah.g_00636
OG0000477	Praj.g_00311	Syah.g_00630
OG0000478	Praj.g_00312	Syah.g_00629
OG0000479	Praj.g_00313	Syah.g_00628
OG0000480	Praj.g_00318	Syah.g_00089
OG0000481	Praj.g_00320	Syah.g_00091
OG0000482	Praj.g_00321	Syah.g_00092
OG0000483	Praj.g_00324	Syah.g_00096
OG0000484	Praj.g_00325	Syah.g_00097
OG0000485	Praj.g_00326	Syah.g_00098
OG0000486	Praj.g_00327	Syah.g_00099
OG0000487	Praj.g_00330	Syah.g_00106
OG0000488	Praj.g_00333	Syah.g_00110
OG0000489	Praj.g_00338	Syah.g_00121
OG0000490	Praj.g_00343	Syah.g_00129
OG0000491	Praj.g_00344	Syah.g_00130
OG0000492	Praj.g_00346	Syah.g_00132
OG0000493	Praj.g_00347	Syah.g_00133
OG0000494	Praj.g_00348	Syah.g_00134
OG0000495	Praj.g_00349	Syah.g_00135
OG0000496	Praj.g_00350	Syah.g_00136
OG0000497	Praj.g_00351	Syah.g_00137
OG0000498	Praj.g_00352	Syah.g_00138
OG0000499	Praj.g_00353	Syah.g_00139
OG0000500	Praj.g_00354	Syah.g_00140
OG0000501	Praj.g_00356	Syah.g_00143
OG0000502	Praj.g_00359	Syah.g_00155
OG0000503	Praj.g_00380	Syah.g_00858
OG0000504	Praj.g_00382	Syah.g_00860
OG0000505	Praj.g_00383	Syah.g_00861
OG0000506	Praj.g_00384	Syah.g_00863
OG0000507	Praj.g_00387	Syah.g_00869
OG0000508	Praj.g_00390	Syah.g_00873
OG0000509	Praj.g_00392	Syah.g_00875
OG0000510	Praj.g_00393	Syah.g_00876
OG0000511	Praj.g_00394	Syah.g_00877
OG0000512	Praj.g_00396	Syah.g_00879
OG0000513	Praj.g_00406	Syah.g_00892
OG0000514	Praj.g_00425	Syah.g_00899
OG0000515	Praj.g_00426	Syah.g_00900
OG0000516	Praj.g_00427	Syah.g_02231
OG0000517	Praj.g_00429	Syah.g_02237
OG0000518	Praj.g_00440	Syah.g_02221
OG0000519	Praj.g_00441	Syah.g_02220
OG0000520	Praj.g_00442	Syah.g_02219
OG0000521	Praj.g_00447	Syah.g_01202
OG0000522	Praj.g_00449	Syah.g_01204
OG0000523	Praj.g_00450	Syah.g_01205
OG0000524	Praj.g_00457	Syah.g_01207
OG0000525	Praj.g_00461	Syah.g_01212
OG0000526	Praj.g_00462	Syah.g_01215
OG0000527	Praj.g_00465	Syah.g_01219
OG0000528	Praj.g_00471	Syah.g_00991
OG0000529	Praj.g_00474	Syah.g_00998
OG0000530	Praj.g_00477	Syah.g_01001
OG0000531	Praj.g_00478	Syah.g_01002
OG0000532	Praj.g_00479	Syah.g_01005
OG0000533	Praj.g_00480	Syah.g_01006
OG0000534	Praj.g_00481	Syah.g_01007
OG0000535	Praj.g_00482	Syah.g_01008
OG0000536	Praj.g_00483	Syah.g_01009
OG0000537	Praj.g_00484	Syah.g_01010
OG0000538	Praj.g_00492	Syah.g_01021
OG0000539	Praj.g_00493	Syah.g_01022
OG0000540	Praj.g_00494	Syah.g_01023
OG0000541	Praj.g_00495	Syah.g_01024
OG0000542	Praj.g_00497	Syah.g_01027
OG0000543	Praj.g_00499	Syah.g_01029
OG0000545	Praj.g_00502	Syah.g_01031
OG0000546	Praj.g_00505	Syah.g_01033
OG0000547	Praj.g_00507	Syah.g_01035
OG0000548	Praj.g_00508	Syah.g_01036
OG0000549	Praj.g_00511	Syah.g_01042
OG0000550	Praj.g_00515	Syah.g_01046
OG0000551	Praj.g_00518	Syah.g_01051
OG0000552	Praj.g_00519	Syah.g_01052
OG0000553	Praj.g_00520	Syah.g_01054
OG0000554	Praj.g_00525	Syah.g_01065
OG0000555	Praj.g_00533	Syah.g_01078
OG0000556	Praj.g_00535	Syah.g_01084
OG0000557	Praj.g_00536	Syah.g_01086
OG0000558	Praj.g_00538	Syah.g_01088
OG0000559	Praj.g_00542	Syah.g_01093
OG0000560	Praj.g_00545	Syah.g_01096
OG0000561	Praj.g_00546	Syah.g_01097
OG0000562	Praj.g_00547	Syah.g_01098
OG0000563	Praj.g_00548	Syah.g_01099
OG0000564	Praj.g_00549	Syah.g_01100
OG0000565	Praj.g_00552	Syah.g_01104
OG0000566	Praj.g_00554	Syah.g_01108
OG0000567	Praj.g_00558	Syah.g_01112
OG0000568	Praj.g_00559	Syah.g_01116
OG0000569	Praj.g_00560	Syah.g_01117
OG0000570	Praj.g_00561	Syah.g_01118
OG0000571	Praj.g_00563	Syah.g_01122
OG0000572	Praj.g_00574	Syah.g_01137
OG0000573	Praj.g_00579	Syah.g_01146
OG0000574	Praj.g_00581	Syah.g_01147
OG0000575	Praj.g_00584	Syah.g_01151
OG0000576	Praj.g_00586	Syah.g_01153
OG0000577	Praj.g_00587	Syah.g_01154
OG0000578	Praj.g_00588	Syah.g_01155
