Orthogroup	Prbf	Syar
OG0000062	Prbf.g_00242	Syar.g_02911, Syar.g_01439
OG0000063	Prbf.g_00808	Syar.g_00509
OG0000064	Prbf.g_01394	Syar.g_03117, Syar.g_00860
OG0000065	Prbf.g_01435	Syar.g_03119
OG0000066	Prbf.g_01820, Prbf.g_00781	Syar.g_02228
OG0000067	Prbf.g_01245	Syar.g_02639
OG0000068	Prbf.g_00095	Syar.g_02329, Syar.g_01461
OG0000069	Prbf.g_01738	Syar.g_01716
OG0000070	Prbf.g_01734	Syar.g_03150, Syar.g_02223
OG0000071	Prbf.g_00026	Syar.g_02777
OG0000072	Prbf.g_01505	Syar.g_00107, Syar.g_01140
OG0000073	Prbf.g_01783	Syar.g_01493
OG0000075	Prbf.g_00522	Syar.g_03065, Syar.g_00659
OG0000076	Prbf.g_00496	Syar.g_00608
OG0000078	Prbf.g_01578	Syar.g_01366
OG0000079	Prbf.g_01591	Syar.g_00166
OG0000081	Prbf.g_01812	Syar.g_01898
OG0000082	Prbf.g_01867, Prbf.g_00704	Syar.g_02202
OG0000085	Prbf.g_00701, Prbf.g_00822	Syar.g_02919
OG0000086	Prbf.g_01414	Syar.g_03085
OG0000087	Prbf.g_01469	Syar.g_03192, Syar.g_00068
OG0000088	Prbf.g_01500	Syar.g_00101
OG0000089	Prbf.g_01701	Syar.g_01162
OG0000090	Prbf.g_01814	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Prbf.g_00990	Syar.g_01891, Syar.g_02426
OG0000092	Prbf.g_01315	Syar.g_01960
OG0000093	Prbf.g_01019	Syar.g_00819
OG0000094	Prbf.g_01068	Syar.g_01789
OG0000095	Prbf.g_01170	Syar.g_01932
OG0000097	Prbf.g_00964	Syar.g_01706, Syar.g_00364
OG0000098	Prbf.g_00071	Syar.g_02343
OG0000099	Prbf.g_00118	Syar.g_00715
OG0000100	Prbf.g_00236	Syar.g_02477
OG0000101	Prbf.g_00558	Syar.g_01073, Syar.g_03154
OG0000102	Prbf.g_00491	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Prbf.g_00406	Syar.g_00452, Syar.g_00014
OG0000104	Prbf.g_00397	Syar.g_00466
OG0000105	Prbf.g_01614	Syar.g_00218
OG0000106	Prbf.g_00320	Syar.g_01748
OG0000107	Prbf.g_00629	Syar.g_00149
OG0000108	Prbf.g_01763	Syar.g_01469
OG0000109	Prbf.g_01777	Syar.g_03310, Syar.g_01485
OG0000110	Prbf.g_01856	Syar.g_02295
OG0000111	Prbf.g_01260	Syar.g_01940
OG0000112	Prbf.g_01929	Syar.g_02548, Syar.g_03195
OG0000113	Prbf.g_01222	Syar.g_02664
OG0000114	Prbf.g_01320	Syar.g_01616
OG0000115	Prbf.g_00062	Syar.g_02854, Syar.g_01415
OG0000116	Prbf.g_00907	Syar.g_01525, Syar.g_02255
OG0000117	Prbf.g_00945	Syar.g_01969
OG0000118	Prbf.g_00013	Syar.g_02793
OG0000120	Prbf.g_00115	Syar.g_00713
OG0000121	Prbf.g_00159	Syar.g_02806
OG0000123	Prbf.g_00551	Syar.g_01079
OG0000124	Prbf.g_00478	Syar.g_00586
OG0000125	Prbf.g_00443	Syar.g_00338
OG0000126	Prbf.g_00398	Syar.g_00887, Syar.g_00888
OG0000128	Prbf.g_00382	Syar.g_00482
OG0000129	Prbf.g_01367	Syar.g_00324
OG0000130	Prbf.g_01396	Syar.g_03040
OG0000131	Prbf.g_01478	Syar.g_00078
OG0000132	Prbf.g_01498	Syar.g_00099
OG0000133	Prbf.g_01661	Syar.g_02543
OG0000134	Prbf.g_01703	Syar.g_02009, Syar.g_01165
OG0000135	Prbf.g_00044	Syar.g_00698
OG0000136	Prbf.g_01725	Syar.g_02874
OG0000137	Prbf.g_01758	Syar.g_01273
OG0000138	Prbf.g_01778	Syar.g_01486
OG0000139	Prbf.g_01818	Syar.g_03245
OG0000140	Prbf.g_01819	Syar.g_02344, Syar.g_03246
OG0000141	Prbf.g_01890	Syar.g_02129
OG0000142	Prbf.g_00982	Syar.g_02418
OG0000143	Prbf.g_00986	Syar.g_02422
OG0000144	Prbf.g_01000	Syar.g_02441
OG0000145	Prbf.g_00042	Syar.g_01494
OG0000146	Prbf.g_01928	Syar.g_02549
OG0000147	Prbf.g_01927	Syar.g_02550
OG0000148	Prbf.g_01228	Syar.g_02658
OG0000149	Prbf.g_01196	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Prbf.g_01186	Syar.g_02130
OG0000151	Prbf.g_01310	Syar.g_02038
OG0000152	Prbf.g_01117	Syar.g_02539
OG0000153	Prbf.g_01098	Syar.g_03283, Syar.g_02503
OG0000154	Prbf.g_01078	Syar.g_01800
OG0000155	Prbf.g_00939	Syar.g_01959
OG0000156	Prbf.g_00037	Syar.g_01517
OG0000157	Prbf.g_00036	Syar.g_01516
OG0000158	Prbf.g_00514	Syar.g_00650
OG0000159	Prbf.g_01387	Syar.g_02359
OG0000160	Prbf.g_00158	Syar.g_02807
OG0000161	Prbf.g_00164	Syar.g_02801
OG0000162	Prbf.g_00170	Syar.g_02863
OG0000163	Prbf.g_00209	Syar.g_01186
OG0000164	Prbf.g_00669	Syar.g_03168, Syar.g_02969
OG0000165	Prbf.g_00662	Syar.g_02976
OG0000166	Prbf.g_00595	Syar.g_01034
OG0000167	Prbf.g_00524	Syar.g_00662
OG0000168	Prbf.g_00513	Syar.g_00246
OG0000169	Prbf.g_00503	Syar.g_00262
OG0000170	Prbf.g_00500	Syar.g_00613
OG0000171	Prbf.g_00479	Syar.g_00587
OG0000172	Prbf.g_00472	Syar.g_00547
OG0000173	Prbf.g_00457	Syar.g_00528
OG0000174	Prbf.g_00428	Syar.g_00701
OG0000175	Prbf.g_00415	Syar.g_00438
OG0000176	Prbf.g_00389	Syar.g_00474
OG0000177	Prbf.g_00388	Syar.g_00475
OG0000178	Prbf.g_00387	Syar.g_00476
OG0000179	Prbf.g_01338	Syar.g_00489
OG0000180	Prbf.g_01339	Syar.g_00490
OG0000181	Prbf.g_01340	Syar.g_00491
OG0000182	Prbf.g_01341	Syar.g_00492
OG0000183	Prbf.g_01345	Syar.g_00496
OG0000184	Prbf.g_01371	Syar.g_00897
OG0000185	Prbf.g_01374	Syar.g_00909
OG0000186	Prbf.g_01390	Syar.g_03036
OG0000187	Prbf.g_01391	Syar.g_03038
OG0000188	Prbf.g_01408	Syar.g_03058
OG0000189	Prbf.g_01422	Syar.g_03104
OG0000190	Prbf.g_01424	Syar.g_03107, Syar.g_02374
OG0000191	Prbf.g_01447	Syar.g_00039
OG0000192	Prbf.g_01452	Syar.g_00046
OG0000193	Prbf.g_01479	Syar.g_00079
OG0000194	Prbf.g_01482	Syar.g_00082, Syar.g_03236
OG0000195	Prbf.g_01484	Syar.g_00023, Syar.g_00084
OG0000196	Prbf.g_01495	Syar.g_00096
OG0000197	Prbf.g_01496	Syar.g_00097
OG0000198	Prbf.g_01497	Syar.g_00098
OG0000199	Prbf.g_01504	Syar.g_00106
OG0000200	Prbf.g_01518	Syar.g_00124
OG0000201	Prbf.g_01527	Syar.g_01000
OG0000202	Prbf.g_01528	Syar.g_00021, Syar.g_00998
OG0000203	Prbf.g_01529	Syar.g_00997, Syar.g_00020
OG0000204	Prbf.g_01530	Syar.g_00996
OG0000205	Prbf.g_01537	Syar.g_00988
OG0000206	Prbf.g_01542	Syar.g_00963
OG0000207	Prbf.g_01545	Syar.g_00957
OG0000208	Prbf.g_01546	Syar.g_00956
OG0000209	Prbf.g_01555	Syar.g_00936, Syar.g_03261
OG0000210	Prbf.g_01556	Syar.g_03260, Syar.g_00935
OG0000211	Prbf.g_01571	Syar.g_03026
OG0000212	Prbf.g_01579	Syar.g_03017
OG0000213	Prbf.g_01597	Syar.g_00187
OG0000214	Prbf.g_01607	Syar.g_00209
OG0000215	Prbf.g_01634	Syar.g_00239
OG0000216	Prbf.g_01635	Syar.g_00244
OG0000217	Prbf.g_01638	Syar.g_00854
OG0000218	Prbf.g_01640	Syar.g_00852
OG0000219	Prbf.g_01641	Syar.g_00851
OG0000220	Prbf.g_01642	Syar.g_00850, Syar.g_02026
OG0000221	Prbf.g_01643	Syar.g_00834
OG0000222	Prbf.g_01650	Syar.g_02119, Syar.g_00728
OG0000223	Prbf.g_01662	Syar.g_00649
OG0000224	Prbf.g_01664	Syar.g_00273
OG0000225	Prbf.g_01690	Syar.g_01142
OG0000226	Prbf.g_01694	Syar.g_01146
OG0000227	Prbf.g_01696	Syar.g_01148
OG0000228	Prbf.g_01700	Syar.g_01161
OG0000229	Prbf.g_01720	Syar.g_01177, Syar.g_03273
OG0000230	Prbf.g_01722	Syar.g_01179
OG0000231	Prbf.g_01733	Syar.g_02865, Syar.g_03151
OG0000232	Prbf.g_01744	Syar.g_01424
OG0000233	Prbf.g_01750	Syar.g_03183, Syar.g_01247
OG0000234	Prbf.g_01759	Syar.g_01275
OG0000235	Prbf.g_01762	Syar.g_01468
OG0000236	Prbf.g_01776	Syar.g_01484, Syar.g_03311
OG0000237	Prbf.g_01789	Syar.g_01503
OG0000238	Prbf.g_01795	Syar.g_01508
OG0000239	Prbf.g_01806	Syar.g_03277, Syar.g_02687
OG0000240	Prbf.g_01807	Syar.g_02686, Syar.g_03278
OG0000241	Prbf.g_01811	Syar.g_02410
OG0000242	Prbf.g_01813	Syar.g_01926
OG0000243	Prbf.g_01824	Syar.g_02335
OG0000244	Prbf.g_01827	Syar.g_02327
OG0000245	Prbf.g_01829	Syar.g_02325, Syar.g_03238
OG0000246	Prbf.g_01833	Syar.g_02321
OG0000247	Prbf.g_01843	Syar.g_02310
OG0000248	Prbf.g_01846	Syar.g_02307, Syar.g_03293
OG0000249	Prbf.g_01848	Syar.g_02305
OG0000250	Prbf.g_01853	Syar.g_02299
OG0000251	Prbf.g_01873	Syar.g_03207, Syar.g_02194
OG0000252	Prbf.g_01876	Syar.g_02189, Syar.g_03263
OG0000253	Prbf.g_01877	Syar.g_02028
OG0000254	Prbf.g_01894	Syar.g_02169
OG0000255	Prbf.g_01900	Syar.g_02224, Syar.g_00011
OG0000256	Prbf.g_01910	Syar.g_02244
OG0000257	Prbf.g_00977	Syar.g_02407, Syar.g_01762
OG0000258	Prbf.g_00991	Syar.g_00010, Syar.g_02427
OG0000259	Prbf.g_01008	Syar.g_02472
OG0000260	Prbf.g_01011	Syar.g_03220, Syar.g_02475
OG0000261	Prbf.g_01014	Syar.g_01916
OG0000262	Prbf.g_01018	Syar.g_01690
OG0000263	Prbf.g_01282	Syar.g_01991
OG0000264	Prbf.g_01271	Syar.g_02135, Syar.g_03267
OG0000266	Prbf.g_01037	Syar.g_01570
OG0000267	Prbf.g_01049	Syar.g_01873
OG0000268	Prbf.g_01050	Syar.g_02589
OG0000269	Prbf.g_01250	Syar.g_02634
OG0000270	Prbf.g_01247	Syar.g_00744, Syar.g_02637
OG0000271	Prbf.g_01239	Syar.g_02645
OG0000272	Prbf.g_01238	Syar.g_02646
OG0000273	Prbf.g_01214	Syar.g_00008
OG0000274	Prbf.g_01213	Syar.g_02482, Syar.g_00009
OG0000275	Prbf.g_01210	Syar.g_01810
OG0000276	Prbf.g_01204	Syar.g_01817
OG0000277	Prbf.g_01203	Syar.g_03242, Syar.g_01818
OG0000278	Prbf.g_01200	Syar.g_01821, Syar.g_03174
OG0000279	Prbf.g_01193	Syar.g_01838
OG0000280	Prbf.g_01192	Syar.g_02067, Syar.g_00734
OG0000281	Prbf.g_01185	Syar.g_02218
OG0000282	Prbf.g_01318	Syar.g_03255, Syar.g_01614
OG0000283	Prbf.g_01141	Syar.g_02574
OG0000284	Prbf.g_01136	Syar.g_02568
OG0000285	Prbf.g_01131	Syar.g_02560
OG0000286	Prbf.g_01118	Syar.g_02540
OG0000287	Prbf.g_00065	Syar.g_02512
OG0000288	Prbf.g_01079	Syar.g_01801
OG0000289	Prbf.g_01063	Syar.g_01786
OG0000290	Prbf.g_01167	Syar.g_01928
OG0000291	Prbf.g_01169	Syar.g_01930
OG0000292	Prbf.g_00873	Syar.g_00463
OG0000293	Prbf.g_00908	Syar.g_01526, Syar.g_03297
OG0000294	Prbf.g_00909	Syar.g_01527, Syar.g_03296
OG0000295	Prbf.g_00932	Syar.g_01951, Syar.g_03208
OG0000296	Prbf.g_00934	Syar.g_01953
OG0000297	Prbf.g_00943	Syar.g_03216
OG0000298	Prbf.g_00944	Syar.g_03215
OG0000299	Prbf.g_00963	Syar.g_01704
OG0000300	Prbf.g_00966	Syar.g_01646
OG0000301	Prbf.g_00967	Syar.g_01712
OG0000302	Prbf.g_00969	Syar.g_01713
OG0000303	Prbf.g_00975	Syar.g_01723
OG0000304	Prbf.g_01915	Syar.g_01728
OG0000305	Prbf.g_00875	Syar.g_01933, Syar.g_03163
OG0000306	Prbf.g_01181	Syar.g_01884, Syar.g_03140
OG0000307	Prbf.g_00104	Syar.g_01452, Syar.g_03153
OG0000308	Prbf.g_00105	Syar.g_01450
OG0000309	Prbf.g_00109	Syar.g_01239
OG0000310	Prbf.g_00143	Syar.g_02826
OG0000311	Prbf.g_00145	Syar.g_02823
OG0000312	Prbf.g_00148	Syar.g_00015, Syar.g_02818
OG0000313	Prbf.g_00161	Syar.g_02804
OG0000314	Prbf.g_00184	Syar.g_01403
OG0000315	Prbf.g_00194	Syar.g_01393
OG0000316	Prbf.g_00219	Syar.g_02885
OG0000317	Prbf.g_00696	Syar.g_02926
OG0000318	Prbf.g_00692	Syar.g_02930
OG0000319	Prbf.g_00679	Syar.g_02954
OG0000320	Prbf.g_00677	Syar.g_02956
OG0000321	Prbf.g_00676	Syar.g_02957
OG0000322	Prbf.g_00675	Syar.g_02958
OG0000323	Prbf.g_00666	Syar.g_02973
OG0000324	Prbf.g_00639	Syar.g_00350, Syar.g_03001
OG0000325	Prbf.g_00628	Syar.g_03291, Syar.g_00148
OG0000326	Prbf.g_00621	Syar.g_00139, Syar.g_03134
OG0000327	Prbf.g_00600	Syar.g_01029
OG0000328	Prbf.g_00599	Syar.g_01030
OG0000329	Prbf.g_00582	Syar.g_03189, Syar.g_01048
OG0000330	Prbf.g_00581	Syar.g_01049
OG0000331	Prbf.g_00580	Syar.g_03191, Syar.g_01050
OG0000332	Prbf.g_00566	Syar.g_01064, Syar.g_03299
OG0000333	Prbf.g_00564	Syar.g_01067
OG0000334	Prbf.g_00555	Syar.g_01076
OG0000335	Prbf.g_00550	Syar.g_01080
OG0000336	Prbf.g_00546	Syar.g_01084
OG0000337	Prbf.g_00528	Syar.g_00285
OG0000338	Prbf.g_00527	Syar.g_03225, Syar.g_00287
OG0000339	Prbf.g_00521	Syar.g_00658
OG0000340	Prbf.g_00512	Syar.g_00247
OG0000341	Prbf.g_00510	Syar.g_00249
OG0000342	Prbf.g_00509	Syar.g_00250
OG0000343	Prbf.g_00508	Syar.g_00256
OG0000344	Prbf.g_00505	Syar.g_00260
OG0000345	Prbf.g_00499	Syar.g_00612
OG0000346	Prbf.g_00495	Syar.g_00607
OG0000347	Prbf.g_00477	Syar.g_00558
OG0000348	Prbf.g_00469	Syar.g_00544
OG0000349	Prbf.g_00452	Syar.g_00521
OG0000350	Prbf.g_00351	Syar.g_00132
OG0000351	Prbf.g_00412	Syar.g_00442
OG0000352	Prbf.g_00411	Syar.g_00443
OG0000353	Prbf.g_00394	Syar.g_00469
OG0000355	Prbf.g_00392	Syar.g_00471
OG0000356	Prbf.g_00391	Syar.g_00472
OG0000357	Prbf.g_00390	Syar.g_00473
OG0000358	Prbf.g_00386	Syar.g_00477
OG0000359	Prbf.g_00385	Syar.g_00479
OG0000360	Prbf.g_00384	Syar.g_00480
OG0000361	Prbf.g_00383	Syar.g_00481
OG0000362	Prbf.g_00381	Syar.g_00483
OG0000363	Prbf.g_01336	Syar.g_00484
OG0000364	Prbf.g_01337	Syar.g_02928
OG0000365	Prbf.g_01342	Syar.g_00493
OG0000366	Prbf.g_01343	Syar.g_00494
OG0000367	Prbf.g_01344	Syar.g_03262, Syar.g_00495
OG0000368	Prbf.g_01346	Syar.g_00497
OG0000369	Prbf.g_01347	Syar.g_00498
OG0000370	Prbf.g_01348	Syar.g_00499
OG0000371	Prbf.g_01355	Syar.g_00508
OG0000372	Prbf.g_01358	Syar.g_00514
OG0000373	Prbf.g_01359	Syar.g_00515
OG0000374	Prbf.g_01360	Syar.g_00516
OG0000375	Prbf.g_01362	Syar.g_00517
OG0000376	Prbf.g_01364	Syar.g_00519
OG0000377	Prbf.g_01368	Syar.g_00322
OG0000378	Prbf.g_01372	Syar.g_00905
OG0000379	Prbf.g_01375	Syar.g_00910
OG0000380	Prbf.g_01392	Syar.g_03039
OG0000381	Prbf.g_01397	Syar.g_03041
OG0000382	Prbf.g_01407	Syar.g_03057
OG0000383	Prbf.g_01409	Syar.g_03074
OG0000384	Prbf.g_01410	Syar.g_03075
OG0000385	Prbf.g_01411	Syar.g_03076
OG0000386	Prbf.g_01412	Syar.g_03077
OG0000387	Prbf.g_01426	Syar.g_03109
OG0000388	Prbf.g_01430	Syar.g_03148, Syar.g_03113
OG0000389	Prbf.g_01433	Syar.g_03118
OG0000390	Prbf.g_01443	Syar.g_00033
OG0000391	Prbf.g_01446	Syar.g_00038
OG0000392	Prbf.g_01450	Syar.g_00045
OG0000393	Prbf.g_01453	Syar.g_00048
OG0000394	Prbf.g_01454	Syar.g_00049
OG0000395	Prbf.g_01455	Syar.g_00050
OG0000396	Prbf.g_01457	Syar.g_00053
OG0000397	Prbf.g_01459	Syar.g_00055
OG0000398	Prbf.g_01462	Syar.g_00060
OG0000399	Prbf.g_01463	Syar.g_00061
OG0000400	Prbf.g_01464	Syar.g_00062
OG0000401	Prbf.g_01465	Syar.g_00063
OG0000402	Prbf.g_01055	Syar.g_00065
OG0000403	Prbf.g_01467	Syar.g_00066
OG0000404	Prbf.g_01468	Syar.g_00067
OG0000405	Prbf.g_01472	Syar.g_00076
OG0000406	Prbf.g_01480	Syar.g_00080
OG0000407	Prbf.g_01481	Syar.g_00081
OG0000408	Prbf.g_01483	Syar.g_00083
OG0000409	Prbf.g_01485	Syar.g_00085
OG0000410	Prbf.g_01486	Syar.g_00086
OG0000411	Prbf.g_01487	Syar.g_00087
OG0000412	Prbf.g_01488	Syar.g_00088
OG0000413	Prbf.g_01490	Syar.g_00090
OG0000414	Prbf.g_01491	Syar.g_00091, Syar.g_03179
OG0000415	Prbf.g_01492	Syar.g_00092
OG0000416	Prbf.g_01493	Syar.g_00093
OG0000417	Prbf.g_01494	Syar.g_00095
OG0000418	Prbf.g_01499	Syar.g_00100
OG0000419	Prbf.g_01501	Syar.g_00102
OG0000420	Prbf.g_01502	Syar.g_00104
OG0000421	Prbf.g_01507	Syar.g_00109
OG0000422	Prbf.g_01508	Syar.g_00110
OG0000423	Prbf.g_01509	Syar.g_00111
OG0000424	Prbf.g_01510	Syar.g_00112
OG0000425	Prbf.g_01511	Syar.g_00113
OG0000426	Prbf.g_01512	Syar.g_00114
OG0000427	Prbf.g_01513	Syar.g_00115
OG0000428	Prbf.g_01515	Syar.g_00118
OG0000429	Prbf.g_01516	Syar.g_00121
OG0000430	Prbf.g_01517	Syar.g_00123
OG0000431	Prbf.g_01519	Syar.g_00127
OG0000432	Prbf.g_01523	Syar.g_01009
OG0000433	Prbf.g_01524	Syar.g_01007
OG0000434	Prbf.g_01525	Syar.g_01006
OG0000435	Prbf.g_01526	Syar.g_01003
OG0000436	Prbf.g_01531	Syar.g_00994
OG0000437	Prbf.g_01532	Syar.g_00993
OG0000438	Prbf.g_01533	Syar.g_00992
OG0000439	Prbf.g_01535	Syar.g_00990
OG0000440	Prbf.g_01536	Syar.g_00989
OG0000441	Prbf.g_01539	Syar.g_00986
OG0000442	Prbf.g_01540	Syar.g_00977
OG0000443	Prbf.g_01541	Syar.g_00964
OG0000444	Prbf.g_01547	Syar.g_00954
OG0000445	Prbf.g_01548	Syar.g_00953
OG0000446	Prbf.g_01549	Syar.g_00951
OG0000447	Prbf.g_01550	Syar.g_00948
OG0000448	Prbf.g_01551	Syar.g_00947
OG0000449	Prbf.g_01552	Syar.g_00946
OG0000450	Prbf.g_01553	Syar.g_00939
OG0000451	Prbf.g_01554	Syar.g_00938
OG0000452	Prbf.g_01557	Syar.g_00934
OG0000453	Prbf.g_01558	Syar.g_00933
OG0000454	Prbf.g_01559	Syar.g_00932
OG0000455	Prbf.g_01560	Syar.g_00931
OG0000456	Prbf.g_01561	Syar.g_00930
OG0000457	Prbf.g_01563	Syar.g_00928
OG0000458	Prbf.g_01564	Syar.g_00918
OG0000459	Prbf.g_01565	Syar.g_00917
OG0000460	Prbf.g_01573	Syar.g_03024
OG0000461	Prbf.g_01581	Syar.g_00153
OG0000462	Prbf.g_01583	Syar.g_00155
OG0000463	Prbf.g_01584	Syar.g_00156
OG0000464	Prbf.g_01585	Syar.g_00157
OG0000465	Prbf.g_01586	Syar.g_00159
OG0000466	Prbf.g_01589	Syar.g_00164
OG0000467	Prbf.g_01590	Syar.g_00165
OG0000468	Prbf.g_01593	Syar.g_00170
OG0000469	Prbf.g_01601	Syar.g_00203
OG0000470	Prbf.g_01603	Syar.g_00206
OG0000471	Prbf.g_01604	Syar.g_00207
OG0000472	Prbf.g_01606	Syar.g_00208
OG0000473	Prbf.g_01608	Syar.g_00210
OG0000474	Prbf.g_01609	Syar.g_00211
OG0000475	Prbf.g_01610	Syar.g_00212
OG0000476	Prbf.g_01612	Syar.g_00214
OG0000477	Prbf.g_01615	Syar.g_00219
OG0000478	Prbf.g_01616	Syar.g_00220
OG0000479	Prbf.g_01617	Syar.g_00221
OG0000480	Prbf.g_01622	Syar.g_00228
OG0000481	Prbf.g_01625	Syar.g_00230
OG0000482	Prbf.g_01626	Syar.g_00231
OG0000483	Prbf.g_01629	Syar.g_00235
OG0000484	Prbf.g_01630	Syar.g_00236
OG0000485	Prbf.g_01632	Syar.g_00237
OG0000486	Prbf.g_01633	Syar.g_00238, Syar.g_00024
OG0000487	Prbf.g_01636	Syar.g_00245
OG0000488	Prbf.g_01639	Syar.g_00853
OG0000489	Prbf.g_01644	Syar.g_00833
OG0000490	Prbf.g_01648	Syar.g_00823
OG0000491	Prbf.g_01649	Syar.g_00822
OG0000492	Prbf.g_01651	Syar.g_00727
OG0000493	Prbf.g_01652	Syar.g_00726
OG0000494	Prbf.g_01653	Syar.g_00725
OG0000495	Prbf.g_01654	Syar.g_00724
OG0000496	Prbf.g_01655	Syar.g_00723
OG0000497	Prbf.g_01656	Syar.g_00722
OG0000498	Prbf.g_01657	Syar.g_00721
OG0000499	Prbf.g_01658	Syar.g_00720
OG0000500	Prbf.g_01659	Syar.g_00719
OG0000501	Prbf.g_01660	Syar.g_00716
OG0000502	Prbf.g_01663	Syar.g_00275
OG0000503	Prbf.g_01678	Syar.g_01118
OG0000504	Prbf.g_01680	Syar.g_01120
OG0000505	Prbf.g_01681	Syar.g_01121
OG0000506	Prbf.g_01682	Syar.g_01123
OG0000507	Prbf.g_01685	Syar.g_01129
OG0000508	Prbf.g_01689	Syar.g_01141
OG0000509	Prbf.g_01691	Syar.g_01143
OG0000510	Prbf.g_01692	Syar.g_01144
OG0000511	Prbf.g_01693	Syar.g_01145
OG0000512	Prbf.g_01695	Syar.g_01147
OG0000513	Prbf.g_01704	Syar.g_01166
OG0000514	Prbf.g_01715	Syar.g_01169
OG0000515	Prbf.g_01716	Syar.g_01170
OG0000516	Prbf.g_01717	Syar.g_01172
OG0000517	Prbf.g_01719	Syar.g_01176
OG0000518	Prbf.g_01730	Syar.g_02868
OG0000519	Prbf.g_01731	Syar.g_02867
OG0000520	Prbf.g_01732	Syar.g_02866
OG0000521	Prbf.g_01740	Syar.g_01419
OG0000522	Prbf.g_01742	Syar.g_01421
OG0000523	Prbf.g_01743	Syar.g_01422
OG0000524	Prbf.g_01748	Syar.g_01244
OG0000525	Prbf.g_01752	Syar.g_01263
OG0000526	Prbf.g_01753	Syar.g_01266
OG0000527	Prbf.g_01756	Syar.g_01271
OG0000528	Prbf.g_01761	Syar.g_01466
OG0000529	Prbf.g_01764	Syar.g_01470
OG0000530	Prbf.g_01767	Syar.g_01473
OG0000531	Prbf.g_01768	Syar.g_01474
OG0000532	Prbf.g_01770	Syar.g_01477
OG0000533	Prbf.g_01771	Syar.g_01479
OG0000534	Prbf.g_01772	Syar.g_01480
OG0000535	Prbf.g_01773	Syar.g_01481
OG0000536	Prbf.g_01774	Syar.g_01482
OG0000537	Prbf.g_01775	Syar.g_01483
OG0000538	Prbf.g_01784	Syar.g_01496
OG0000539	Prbf.g_01785	Syar.g_01497
OG0000540	Prbf.g_01786	Syar.g_01498
OG0000541	Prbf.g_01787	Syar.g_01499
OG0000542	Prbf.g_01788	Syar.g_01502
OG0000543	Prbf.g_01790	Syar.g_01504
OG0000544	Prbf.g_01791	Syar.g_01505
OG0000545	Prbf.g_01793	Syar.g_01507
OG0000546	Prbf.g_01796	Syar.g_01509
OG0000547	Prbf.g_01798	Syar.g_01511
OG0000548	Prbf.g_01799	Syar.g_01512
OG0000549	Prbf.g_01801	Syar.g_02693
OG0000550	Prbf.g_01805	Syar.g_02689
OG0000551	Prbf.g_01808	Syar.g_02684
