Orthogroup	Prbf	Syap
OG0000261	Prbf.g_01014	Syap.g_01962, Syap.g_01961
OG0000262	Prbf.g_01018	Syap.g_01954
OG0000263	Prbf.g_01282	Syap.g_00432, Syap.g_00433
OG0000266	Prbf.g_01037	Syap.g_00519
OG0000267	Prbf.g_01049	Syap.g_02333, Syap.g_02332
OG0000268	Prbf.g_01050	Syap.g_00646
OG0000269	Prbf.g_01250	Syap.g_00188
OG0000270	Prbf.g_01247	Syap.g_00192
OG0000271	Prbf.g_01239	Syap.g_00200, Syap.g_00201
OG0000272	Prbf.g_01238	Syap.g_00202
OG0000273	Prbf.g_01214	Syap.g_02703
OG0000274	Prbf.g_01213	Syap.g_02702
OG0000275	Prbf.g_01210	Syap.g_01847
OG0000276	Prbf.g_01204	Syap.g_01838, Syap.g_01839
OG0000277	Prbf.g_01203	Syap.g_01837
OG0000278	Prbf.g_01200	Syap.g_01834
OG0000279	Prbf.g_01193	Syap.g_00829, Syap.g_00830
OG0000280	Prbf.g_01192	Syap.g_00365
OG0000281	Prbf.g_01185	Syap.g_01977
OG0000282	Prbf.g_01318	Syap.g_01252
OG0000283	Prbf.g_01141	Syap.g_01728
OG0000284	Prbf.g_01136	Syap.g_01736
OG0000285	Prbf.g_01131	Syap.g_01746, Syap.g_01744
OG0000286	Prbf.g_01118	Syap.g_02014, Syap.g_02013
OG0000288	Prbf.g_01079	Syap.g_02764, Syap.g_02763
OG0000289	Prbf.g_01063	Syap.g_02784
OG0000290	Prbf.g_01167	Syap.g_01552
OG0000292	Prbf.g_00873	Syap.g_02314
OG0000293	Prbf.g_00908	Syap.g_00240
OG0000294	Prbf.g_00909	Syap.g_00239
OG0000295	Prbf.g_00932	Syap.g_00206
OG0000296	Prbf.g_00934	Syap.g_00204
OG0000299	Prbf.g_00963	Syap.g_02620
OG0000302	Prbf.g_00969	Syap.g_02444, Syap.g_02445
OG0000303	Prbf.g_00975	Syap.g_02435
OG0000304	Prbf.g_01915	Syap.g_02430
OG0000305	Prbf.g_00875	Syap.g_01557
OG0000306	Prbf.g_01181	Syap.g_01966
OG0000307	Prbf.g_00104	Syap.g_02517
OG0000308	Prbf.g_00105	Syap.g_02514, Syap.g_02515
OG0000309	Prbf.g_00109	Syap.g_02198, Syap.g_02446
OG0000310	Prbf.g_00143	Syap.g_02660, Syap.g_02661
OG0000311	Prbf.g_00145	Syap.g_02657
OG0000312	Prbf.g_00148	Syap.g_02114
OG0000313	Prbf.g_00161	Syap.g_02473
OG0000315	Prbf.g_00194	Syap.g_00017
OG0000316	Prbf.g_00219	Syap.g_00030
OG0000317	Prbf.g_00696	Syap.g_00618
OG0000318	Prbf.g_00692	Syap.g_00622, Syap.g_02786
OG0000319	Prbf.g_00679	Syap.g_01764, Syap.g_01771
OG0000320	Prbf.g_00677	Syap.g_01761, Syap.g_01769
OG0000321	Prbf.g_00676	Syap.g_01760, Syap.g_01768
OG0000322	Prbf.g_00675	Syap.g_01759, Syap.g_01767
OG0000323	Prbf.g_00666	Syap.g_01389
OG0000324	Prbf.g_00639	Syap.g_01503
OG0000325	Prbf.g_00628	Syap.g_02680
OG0000326	Prbf.g_00621	Syap.g_00544
OG0000327	Prbf.g_00600	Syap.g_01233, Syap.g_01913
OG0000328	Prbf.g_00599	Syap.g_01234, Syap.g_01912
OG0000329	Prbf.g_00582	Syap.g_00498
OG0000330	Prbf.g_00581	Syap.g_00497
OG0000331	Prbf.g_00580	Syap.g_00496
OG0000332	Prbf.g_00566	Syap.g_00481
OG0000333	Prbf.g_00564	Syap.g_00478
OG0000334	Prbf.g_00555	Syap.g_00468
OG0000335	Prbf.g_00550	Syap.g_00101, Syap.g_00463
OG0000336	Prbf.g_00546	Syap.g_00417, Syap.g_00607
OG0000337	Prbf.g_00528	Syap.g_01054
OG0000338	Prbf.g_00527	Syap.g_01059
OG0000339	Prbf.g_00521	Syap.g_01068
OG0000340	Prbf.g_00512	Syap.g_01077
OG0000341	Prbf.g_00510	Syap.g_01079
OG0000342	Prbf.g_00509	Syap.g_01080, Syap.g_02477
OG0000343	Prbf.g_00508	Syap.g_01086, Syap.g_02078
OG0000344	Prbf.g_00505	Syap.g_01091
OG0000345	Prbf.g_00499	Syap.g_01107, Syap.g_01470
OG0000346	Prbf.g_00495	Syap.g_01113
OG0000347	Prbf.g_00477	Syap.g_01131, Syap.g_02459
OG0000348	Prbf.g_00469	Syap.g_00632
OG0000349	Prbf.g_00452	Syap.g_00110, Syap.g_01813
OG0000351	Prbf.g_00412	Syap.g_02594
OG0000352	Prbf.g_00411	Syap.g_02596, Syap.g_02597
OG0000353	Prbf.g_00394	Syap.g_00054
OG0000355	Prbf.g_00392	Syap.g_00056
OG0000356	Prbf.g_00391	Syap.g_00057
OG0000357	Prbf.g_00390	Syap.g_00058
OG0000358	Prbf.g_00386	Syap.g_00063
OG0000359	Prbf.g_00385	Syap.g_00065
OG0000360	Prbf.g_00384	Syap.g_00067
OG0000361	Prbf.g_00383	Syap.g_00068
OG0000362	Prbf.g_00381	Syap.g_00070
OG0000363	Prbf.g_01336	Syap.g_00072
OG0000364	Prbf.g_01337	Syap.g_00620
OG0000365	Prbf.g_01342	Syap.g_00081
OG0000366	Prbf.g_01343	Syap.g_00082
OG0000367	Prbf.g_01344	Syap.g_00083
OG0000368	Prbf.g_01346	Syap.g_00085
OG0000369	Prbf.g_01347	Syap.g_00086
OG0000370	Prbf.g_01348	Syap.g_00087
OG0000372	Prbf.g_01358	Syap.g_01805
OG0000373	Prbf.g_01359	Syap.g_01806
OG0000374	Prbf.g_01360	Syap.g_01807
OG0000375	Prbf.g_01362	Syap.g_01808
OG0000376	Prbf.g_01364	Syap.g_01811
OG0000377	Prbf.g_01368	Syap.g_00128
OG0000378	Prbf.g_01372	Syap.g_01326
OG0000380	Prbf.g_01392	Syap.g_01687
OG0000381	Prbf.g_01397	Syap.g_01690
OG0000382	Prbf.g_01407	Syap.g_02548
OG0000383	Prbf.g_01409	Syap.g_02359
OG0000384	Prbf.g_01410	Syap.g_02360
OG0000385	Prbf.g_01411	Syap.g_02361
OG0000386	Prbf.g_01412	Syap.g_02362
OG0000387	Prbf.g_01426	Syap.g_01864
OG0000391	Prbf.g_01446	Syap.g_02234
OG0000392	Prbf.g_01450	Syap.g_02225
OG0000393	Prbf.g_01453	Syap.g_02222
OG0000394	Prbf.g_01454	Syap.g_02221
OG0000395	Prbf.g_01455	Syap.g_02220
OG0000396	Prbf.g_01457	Syap.g_02217
OG0000397	Prbf.g_01459	Syap.g_02215
OG0000398	Prbf.g_01462	Syap.g_02211
OG0000399	Prbf.g_01463	Syap.g_02210
OG0000400	Prbf.g_01464	Syap.g_02209
OG0000401	Prbf.g_01465	Syap.g_02208
OG0000402	Prbf.g_01055	Syap.g_02206
OG0000403	Prbf.g_01467	Syap.g_02205
OG0000404	Prbf.g_01468	Syap.g_02204, Syap.g_02618
OG0000405	Prbf.g_01472	Syap.g_02191
OG0000406	Prbf.g_01480	Syap.g_02186
OG0000407	Prbf.g_01481	Syap.g_02185
OG0000408	Prbf.g_01483	Syap.g_02181, Syap.g_02182
OG0000409	Prbf.g_01485	Syap.g_02179
OG0000410	Prbf.g_01486	Syap.g_02178
OG0000411	Prbf.g_01487	Syap.g_02177
OG0000412	Prbf.g_01488	Syap.g_02176
OG0000413	Prbf.g_01490	Syap.g_02174
OG0000414	Prbf.g_01491	Syap.g_02173
OG0000415	Prbf.g_01492	Syap.g_02172
OG0000416	Prbf.g_01493	Syap.g_02171
OG0000417	Prbf.g_01494	Syap.g_02169
OG0000418	Prbf.g_01499	Syap.g_01204
OG0000419	Prbf.g_01501	Syap.g_01201
OG0000420	Prbf.g_01502	Syap.g_01199
OG0000421	Prbf.g_01507	Syap.g_01195
OG0000422	Prbf.g_01508	Syap.g_01194
OG0000423	Prbf.g_01509	Syap.g_01193
OG0000424	Prbf.g_01510	Syap.g_01192
OG0000425	Prbf.g_01511	Syap.g_01191
OG0000426	Prbf.g_01512	Syap.g_01190
OG0000427	Prbf.g_01513	Syap.g_01189
OG0000428	Prbf.g_01515	Syap.g_01186
OG0000429	Prbf.g_01516	Syap.g_01184
OG0000430	Prbf.g_01517	Syap.g_01182
OG0000431	Prbf.g_01519	Syap.g_01179
OG0000432	Prbf.g_01523	Syap.g_02277
OG0000433	Prbf.g_01524	Syap.g_02272
OG0000434	Prbf.g_01525	Syap.g_02271
OG0000435	Prbf.g_01526	Syap.g_02268
OG0000436	Prbf.g_01531	Syap.g_01607
OG0000437	Prbf.g_01532	Syap.g_01608
OG0000438	Prbf.g_01533	Syap.g_01612
OG0000439	Prbf.g_01535	Syap.g_01614
OG0000440	Prbf.g_01536	Syap.g_01615
OG0000441	Prbf.g_01539	Syap.g_01619
OG0000442	Prbf.g_01540	Syap.g_01620
OG0000443	Prbf.g_01541	Syap.g_01622
OG0000444	Prbf.g_01547	Syap.g_01424
OG0000445	Prbf.g_01548	Syap.g_01421
OG0000446	Prbf.g_01549	Syap.g_01419
OG0000447	Prbf.g_01550	Syap.g_01410
OG0000448	Prbf.g_01551	Syap.g_01407
OG0000449	Prbf.g_01552	Syap.g_01406
OG0000450	Prbf.g_01553	Syap.g_01909
OG0000451	Prbf.g_01554	Syap.g_01908
OG0000452	Prbf.g_01557	Syap.g_01904
OG0000453	Prbf.g_01558	Syap.g_01903
OG0000454	Prbf.g_01559	Syap.g_01902
OG0000455	Prbf.g_01560	Syap.g_01901
OG0000456	Prbf.g_01561	Syap.g_01900
OG0000457	Prbf.g_01563	Syap.g_01896
OG0000458	Prbf.g_01564	Syap.g_01895
OG0000459	Prbf.g_01565	Syap.g_01894
OG0000460	Prbf.g_01573	Syap.g_01159
OG0000461	Prbf.g_01581	Syap.g_01575
OG0000462	Prbf.g_01583	Syap.g_01578
OG0000463	Prbf.g_01584	Syap.g_01579
OG0000464	Prbf.g_01585	Syap.g_01580
OG0000465	Prbf.g_01586	Syap.g_01582
OG0000466	Prbf.g_01589	Syap.g_01587
OG0000467	Prbf.g_01590	Syap.g_01588
OG0000468	Prbf.g_01593	Syap.g_01593
OG0000469	Prbf.g_01601	Syap.g_02352
OG0000470	Prbf.g_01603	Syap.g_02349
OG0000471	Prbf.g_01604	Syap.g_02348
OG0000472	Prbf.g_01606	Syap.g_02347
OG0000473	Prbf.g_01608	Syap.g_02343
OG0000474	Prbf.g_01609	Syap.g_02342
OG0000475	Prbf.g_01610	Syap.g_02341
OG0000476	Prbf.g_01612	Syap.g_02339
OG0000477	Prbf.g_01615	Syap.g_01367
OG0000478	Prbf.g_01616	Syap.g_01366
OG0000479	Prbf.g_01617	Syap.g_01364
OG0000480	Prbf.g_01622	Syap.g_01357
OG0000482	Prbf.g_01626	Syap.g_01355
OG0000483	Prbf.g_01629	Syap.g_01344
OG0000484	Prbf.g_01630	Syap.g_01350
OG0000485	Prbf.g_01632	Syap.g_01349
OG0000487	Prbf.g_01636	Syap.g_01635
OG0000488	Prbf.g_01639	Syap.g_01639
OG0000489	Prbf.g_01644	Syap.g_02482
OG0000490	Prbf.g_01648	Syap.g_01673
OG0000491	Prbf.g_01649	Syap.g_01670
OG0000492	Prbf.g_01651	Syap.g_01668
OG0000493	Prbf.g_01652	Syap.g_01667
OG0000494	Prbf.g_01653	Syap.g_01666
OG0000495	Prbf.g_01654	Syap.g_01665
OG0000496	Prbf.g_01655	Syap.g_01663
OG0000497	Prbf.g_01656	Syap.g_01662
OG0000498	Prbf.g_01657	Syap.g_01661
OG0000499	Prbf.g_01658	Syap.g_01660
OG0000500	Prbf.g_01659	Syap.g_01659
OG0000501	Prbf.g_01660	Syap.g_01656
OG0000502	Prbf.g_01663	Syap.g_02066
OG0000503	Prbf.g_01678	Syap.g_00569
OG0000504	Prbf.g_01680	Syap.g_00567
OG0000505	Prbf.g_01681	Syap.g_00566
OG0000506	Prbf.g_01682	Syap.g_00564
OG0000507	Prbf.g_01685	Syap.g_00558
OG0000508	Prbf.g_01689	Syap.g_00554
OG0000509	Prbf.g_01691	Syap.g_00551
OG0000510	Prbf.g_01692	Syap.g_00550
OG0000511	Prbf.g_01693	Syap.g_00548
OG0000512	Prbf.g_01695	Syap.g_02145
OG0000513	Prbf.g_01704	Syap.g_02048
OG0000514	Prbf.g_01715	Syap.g_02051
OG0000515	Prbf.g_01716	Syap.g_02052
OG0000516	Prbf.g_01717	Syap.g_02054
OG0000517	Prbf.g_01719	Syap.g_02057
OG0000519	Prbf.g_01731	Syap.g_00457
OG0000520	Prbf.g_01732	Syap.g_00456
OG0000521	Prbf.g_01740	Syap.g_01997
OG0000522	Prbf.g_01742	Syap.g_01995
OG0000523	Prbf.g_01743	Syap.g_02507
OG0000524	Prbf.g_01748	Syap.g_02135
OG0000525	Prbf.g_01752	Syap.g_02159
OG0000526	Prbf.g_01753	Syap.g_02157
OG0000527	Prbf.g_01756	Syap.g_02758
OG0000528	Prbf.g_01761	Syap.g_02261
OG0000529	Prbf.g_01764	Syap.g_02254
OG0000530	Prbf.g_01767	Syap.g_02252
OG0000531	Prbf.g_01768	Syap.g_02251
OG0000532	Prbf.g_01770	Syap.g_02247
OG0000533	Prbf.g_01771	Syap.g_02244
OG0000534	Prbf.g_01772	Syap.g_02243
OG0000535	Prbf.g_01773	Syap.g_02242
OG0000536	Prbf.g_01774	Syap.g_02241
OG0000537	Prbf.g_01775	Syap.g_02240
OG0000538	Prbf.g_01784	Syap.g_00271
OG0000539	Prbf.g_01785	Syap.g_00270
OG0000540	Prbf.g_01786	Syap.g_00269
OG0000541	Prbf.g_01787	Syap.g_00268
OG0000542	Prbf.g_01788	Syap.g_00264
OG0000543	Prbf.g_01790	Syap.g_00261
OG0000544	Prbf.g_01791	Syap.g_00260
OG0000545	Prbf.g_01793	Syap.g_00259
OG0000546	Prbf.g_01796	Syap.g_00256
OG0000547	Prbf.g_01798	Syap.g_00254
OG0000548	Prbf.g_01799	Syap.g_00253
OG0000549	Prbf.g_01801	Syap.g_00758
OG0000550	Prbf.g_01805	Syap.g_02747
OG0000551	Prbf.g_01808	Syap.g_02739
OG0000552	Prbf.g_01809	Syap.g_02738
OG0000553	Prbf.g_01810	Syap.g_02735
OG0000554	Prbf.g_01815	Syap.g_01450
OG0000555	Prbf.g_01823	Syap.g_01941
OG0000556	Prbf.g_01825	Syap.g_01933
OG0000557	Prbf.g_01826	Syap.g_01931
OG0000558	Prbf.g_01828	Syap.g_01147
OG0000560	Prbf.g_01835	Syap.g_00305
OG0000561	Prbf.g_01836	Syap.g_00304
OG0000562	Prbf.g_01837	Syap.g_00302
OG0000563	Prbf.g_01838	Syap.g_00301
OG0000564	Prbf.g_01839	Syap.g_00300
OG0000565	Prbf.g_01841	Syap.g_00296
OG0000566	Prbf.g_01845	Syap.g_00291
OG0000567	Prbf.g_01849	Syap.g_01297
OG0000568	Prbf.g_01850	Syap.g_01302
OG0000569	Prbf.g_01851	Syap.g_01303
OG0000570	Prbf.g_01852	Syap.g_01304
OG0000571	Prbf.g_01854	Syap.g_01307
OG0000573	Prbf.g_01874	Syap.g_00765
OG0000574	Prbf.g_01875	Syap.g_00759
OG0000575	Prbf.g_01879	Syap.g_00445
OG0000576	Prbf.g_01881	Syap.g_00450
OG0000577	Prbf.g_01882	Syap.g_00451
OG0000578	Prbf.g_01883	Syap.g_00452
OG0000579	Prbf.g_01884	Syap.g_00453
OG0000580	Prbf.g_01885	Syap.g_00454
OG0000581	Prbf.g_01888	Syap.g_01521
OG0000582	Prbf.g_01891	Syap.g_01533
OG0000583	Prbf.g_01892	Syap.g_01532
OG0000584	Prbf.g_01893	Syap.g_01530
OG0000585	Prbf.g_01895	Syap.g_01526
OG0000586	Prbf.g_01896	Syap.g_01525
