Orthogroup	Prbf	Syat
OG0000067	Prbf.g_01245	Syat.g_00479
OG0000068	Prbf.g_00095	Syat.g_00085, Syat.g_01295
OG0000070	Prbf.g_01734	Syat.g_01032, Syat.g_01040
OG0000072	Prbf.g_01505	Syat.g_02856, Syat.g_01597
OG0000073	Prbf.g_01783	Syat.g_03201
OG0000075	Prbf.g_00522	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Prbf.g_00496	Syat.g_02206
OG0000078	Prbf.g_01578	Syat.g_00184
OG0000079	Prbf.g_01591	Syat.g_01879
OG0000081	Prbf.g_01812	Syat.g_00980
OG0000082	Prbf.g_01867, Prbf.g_00704	Syat.g_00035
OG0000085	Prbf.g_00701, Prbf.g_00822	Syat.g_03113
OG0000086	Prbf.g_01414	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Prbf.g_01469	Syat.g_02912
OG0000088	Prbf.g_01500	Syat.g_02862
OG0000089	Prbf.g_01701	Syat.g_02953
OG0000090	Prbf.g_01814	Syat.g_03270
OG0000091	Prbf.g_00990	Syat.g_00939, Syat.g_00862
OG0000092	Prbf.g_01315	Syat.g_00825
OG0000094	Prbf.g_01068	Syat.g_01034
OG0000097	Prbf.g_00964	Syat.g_00907, Syat.g_00535
OG0000098	Prbf.g_00071	Syat.g_03281
OG0000099	Prbf.g_00118	Syat.g_02130
OG0000100	Prbf.g_00236	Syat.g_00517
OG0000101	Prbf.g_00558	Syat.g_01661
OG0000102	Prbf.g_00491	Syat.g_00974
OG0000103	Prbf.g_00406	Syat.g_02399
OG0000104	Prbf.g_00397	Syat.g_02385
OG0000105	Prbf.g_01614	Syat.g_02052
OG0000106	Prbf.g_00320	Syat.g_00957
OG0000107	Prbf.g_00629	Syat.g_01862
OG0000108	Prbf.g_01763	Syat.g_03170
OG0000109	Prbf.g_01777	Syat.g_03187
OG0000110	Prbf.g_01856	Syat.g_00049
OG0000111	Prbf.g_01260	Syat.g_00816
OG0000112	Prbf.g_01929	Syat.g_00593
OG0000113	Prbf.g_01222	Syat.g_00509
OG0000114	Prbf.g_01320	Syat.g_00426
OG0000115	Prbf.g_00062	Syat.g_01328
OG0000116	Prbf.g_00907	Syat.g_02641
OG0000117	Prbf.g_00945	Syat.g_00224
OG0000118	Prbf.g_00013	Syat.g_01168
OG0000119	Prbf.g_00864, Prbf.g_00254	Syat.g_00309
OG0000120	Prbf.g_00115	Syat.g_02132
OG0000121	Prbf.g_00159	Syat.g_01223
OG0000123	Prbf.g_00551	Syat.g_01653
OG0000124	Prbf.g_00478	Syat.g_02231
OG0000125	Prbf.g_00443	Syat.g_02684
OG0000126	Prbf.g_00398	Syat.g_00976
OG0000128	Prbf.g_00382	Syat.g_02331
OG0000129	Prbf.g_01367	Syat.g_02693, Syat.g_02694
OG0000130	Prbf.g_01396	Syat.g_01469
OG0000131	Prbf.g_01478	Syat.g_02898
OG0000132	Prbf.g_01498	Syat.g_02864
OG0000133	Prbf.g_01661	Syat.g_00588
OG0000134	Prbf.g_01703	Syat.g_02956
OG0000135	Prbf.g_00044	Syat.g_02501
OG0000136	Prbf.g_01725	Syat.g_01292
OG0000137	Prbf.g_01758	Syat.g_01371
OG0000138	Prbf.g_01778	Syat.g_03188
OG0000140	Prbf.g_01819	Syat.g_03280
OG0000141	Prbf.g_01890	Syat.g_03398
OG0000142	Prbf.g_00982	Syat.g_00117
OG0000143	Prbf.g_00986	Syat.g_00130
OG0000144	Prbf.g_01000	Syat.g_00369
OG0000145	Prbf.g_00042	Syat.g_03202
OG0000146	Prbf.g_01928	Syat.g_00594
OG0000147	Prbf.g_01927	Syat.g_00595
OG0000148	Prbf.g_01228	Syat.g_00503
OG0000149	Prbf.g_01196	Syat.g_00747
OG0000150	Prbf.g_01186	Syat.g_03399
OG0000151	Prbf.g_01310	Syat.g_00801, Syat.g_00440
OG0000152	Prbf.g_01117	Syat.g_00578
OG0000153	Prbf.g_01098	Syat.g_00542
OG0000154	Prbf.g_01078	Syat.g_00708
OG0000155	Prbf.g_00939	Syat.g_00287
OG0000156	Prbf.g_00037	Syat.g_03228
OG0000157	Prbf.g_00036	Syat.g_02012, Syat.g_03227
OG0000158	Prbf.g_00514	Syat.g_02163
OG0000159	Prbf.g_01387	Syat.g_01187
OG0000160	Prbf.g_00158	Syat.g_01224
OG0000161	Prbf.g_00164	Syat.g_01180
OG0000162	Prbf.g_00170	Syat.g_01281
OG0000163	Prbf.g_00209	Syat.g_02979
OG0000164	Prbf.g_00669	Syat.g_03040
OG0000165	Prbf.g_00662	Syat.g_03033
OG0000166	Prbf.g_00595	Syat.g_01822
OG0000167	Prbf.g_00524	Syat.g_02148
OG0000168	Prbf.g_00513	Syat.g_02164
OG0000169	Prbf.g_00503	Syat.g_02192
OG0000170	Prbf.g_00500	Syat.g_02201
OG0000171	Prbf.g_00479	Syat.g_02230
OG0000172	Prbf.g_00472	Syat.g_02260
OG0000173	Prbf.g_00457	Syat.g_02284
OG0000174	Prbf.g_00428	Syat.g_02504
OG0000175	Prbf.g_00415	Syat.g_02416
OG0000176	Prbf.g_00389	Syat.g_02372
OG0000177	Prbf.g_00388	Syat.g_02338
OG0000178	Prbf.g_00387	Syat.g_02337
OG0000179	Prbf.g_01338	Syat.g_02322
OG0000180	Prbf.g_01339	Syat.g_02321
OG0000181	Prbf.g_01340	Syat.g_02320
OG0000182	Prbf.g_01341	Syat.g_02319
OG0000183	Prbf.g_01345	Syat.g_02315
OG0000184	Prbf.g_01371	Syat.g_02704
OG0000185	Prbf.g_01374	Syat.g_02719
OG0000186	Prbf.g_01390	Syat.g_01463
OG0000187	Prbf.g_01391	Syat.g_01467
OG0000188	Prbf.g_01408	Syat.g_01489
OG0000189	Prbf.g_01422	Syat.g_01557
OG0000190	Prbf.g_01424	Syat.g_00330
OG0000191	Prbf.g_01447	Syat.g_03344, Syat.g_02939
OG0000192	Prbf.g_01452	Syat.g_02933
OG0000193	Prbf.g_01479	Syat.g_02897
OG0000194	Prbf.g_01482	Syat.g_02894
OG0000195	Prbf.g_01484	Syat.g_02892
OG0000196	Prbf.g_01495	Syat.g_02867
OG0000197	Prbf.g_01496	Syat.g_02866
OG0000198	Prbf.g_01497	Syat.g_02865
OG0000199	Prbf.g_01504	Syat.g_02857
OG0000200	Prbf.g_01518	Syat.g_02840
OG0000201	Prbf.g_01527	Syat.g_02821
OG0000202	Prbf.g_01528	Syat.g_02820
OG0000203	Prbf.g_01529	Syat.g_02819
OG0000204	Prbf.g_01530	Syat.g_02818
OG0000205	Prbf.g_01537	Syat.g_02809
OG0000206	Prbf.g_01542	Syat.g_02785
OG0000207	Prbf.g_01545	Syat.g_02778
OG0000208	Prbf.g_01546	Syat.g_02777
OG0000209	Prbf.g_01555	Syat.g_02735
OG0000210	Prbf.g_01556	Syat.g_02734
OG0000211	Prbf.g_01571	Syat.g_01452
OG0000212	Prbf.g_01579	Syat.g_01442
OG0000213	Prbf.g_01597	Syat.g_01889
OG0000214	Prbf.g_01607	Syat.g_02042
OG0000215	Prbf.g_01634	Syat.g_02075
OG0000216	Prbf.g_01635	Syat.g_02079
OG0000217	Prbf.g_01638	Syat.g_02085
OG0000218	Prbf.g_01640	Syat.g_02087
OG0000219	Prbf.g_01641	Syat.g_02088
OG0000220	Prbf.g_01642	Syat.g_02089
OG0000221	Prbf.g_01643	Syat.g_02095
OG0000222	Prbf.g_01650	Syat.g_02109
OG0000223	Prbf.g_01662	Syat.g_02570
OG0000224	Prbf.g_01664	Syat.g_02139
OG0000225	Prbf.g_01690	Syat.g_01595
OG0000226	Prbf.g_01694	Syat.g_01588
OG0000228	Prbf.g_01700	Syat.g_02952
OG0000229	Prbf.g_01720	Syat.g_02970
OG0000230	Prbf.g_01722	Syat.g_02972
OG0000231	Prbf.g_01733	Syat.g_01283
OG0000232	Prbf.g_01744	Syat.g_01313
OG0000233	Prbf.g_01750	Syat.g_01407
OG0000234	Prbf.g_01759	Syat.g_01369
OG0000235	Prbf.g_01762	Syat.g_03169
OG0000236	Prbf.g_01776	Syat.g_03186
OG0000237	Prbf.g_01789	Syat.g_03214
OG0000238	Prbf.g_01795	Syat.g_03219
OG0000239	Prbf.g_01806	Syat.g_01105
OG0000240	Prbf.g_01807	Syat.g_01104
OG0000241	Prbf.g_01811	Syat.g_00111
OG0000242	Prbf.g_01813	Syat.g_01077
OG0000243	Prbf.g_01824	Syat.g_00092
OG0000244	Prbf.g_01827	Syat.g_00082
OG0000245	Prbf.g_01829	Syat.g_00080
OG0000246	Prbf.g_01833	Syat.g_00076
OG0000247	Prbf.g_01843	Syat.g_00065
OG0000248	Prbf.g_01846	Syat.g_00062
OG0000249	Prbf.g_01848	Syat.g_00060
OG0000250	Prbf.g_01853	Syat.g_00053
OG0000251	Prbf.g_01873	Syat.g_00027
OG0000252	Prbf.g_01876	Syat.g_00022
OG0000253	Prbf.g_01877	Syat.g_00021
OG0000254	Prbf.g_01894	Syat.g_03407
OG0000255	Prbf.g_01900	Syat.g_02405
OG0000256	Prbf.g_01910	Syat.g_03306
OG0000257	Prbf.g_00977	Syat.g_00109
OG0000258	Prbf.g_00991	Syat.g_00382
OG0000259	Prbf.g_01008	Syat.g_00342
OG0000260	Prbf.g_01011	Syat.g_00392
OG0000261	Prbf.g_01014	Syat.g_00400
OG0000262	Prbf.g_01018	Syat.g_00407
OG0000263	Prbf.g_01282	Syat.g_00200
OG0000266	Prbf.g_01037	Syat.g_00671
OG0000267	Prbf.g_01049	Syat.g_00636
OG0000268	Prbf.g_01050	Syat.g_00634
OG0000269	Prbf.g_01250	Syat.g_00474, Syat.g_00126
OG0000270	Prbf.g_01247	Syat.g_00477
OG0000271	Prbf.g_01239	Syat.g_00485
OG0000272	Prbf.g_01238	Syat.g_00486
OG0000273	Prbf.g_01214	Syat.g_00520
OG0000274	Prbf.g_01213	Syat.g_00521
OG0000275	Prbf.g_01210	Syat.g_00718
OG0000276	Prbf.g_01204	Syat.g_00725
OG0000277	Prbf.g_01203	Syat.g_00738
OG0000278	Prbf.g_01200	Syat.g_00741
OG0000279	Prbf.g_01193	Syat.g_00755
OG0000280	Prbf.g_01192	Syat.g_01669
OG0000281	Prbf.g_01185	Syat.g_00960
OG0000282	Prbf.g_01318	Syat.g_00431
OG0000283	Prbf.g_01141	Syat.g_00620
OG0000284	Prbf.g_01136	Syat.g_00614
OG0000285	Prbf.g_01131	Syat.g_00607
OG0000286	Prbf.g_01118	Syat.g_00579
OG0000287	Prbf.g_00065	Syat.g_00550
OG0000288	Prbf.g_01079	Syat.g_00709
OG0000289	Prbf.g_01063	Syat.g_00695
OG0000290	Prbf.g_01167	Syat.g_00805
OG0000292	Prbf.g_00873	Syat.g_02388
OG0000293	Prbf.g_00908	Syat.g_03241
OG0000294	Prbf.g_00909	Syat.g_03248
OG0000295	Prbf.g_00932	Syat.g_00297
OG0000296	Prbf.g_00934	Syat.g_00295
OG0000299	Prbf.g_00963	Syat.g_00910
OG0000300	Prbf.g_00966	Syat.g_00904
OG0000301	Prbf.g_00967	Syat.g_00903
OG0000302	Prbf.g_00969	Syat.g_00901
OG0000303	Prbf.g_00975	Syat.g_00892
OG0000304	Prbf.g_01915	Syat.g_00885
OG0000305	Prbf.g_00875	Syat.g_00809
OG0000306	Prbf.g_01181	Syat.g_01704
OG0000307	Prbf.g_00104	Syat.g_01304
OG0000308	Prbf.g_00105	Syat.g_01306
OG0000309	Prbf.g_00109	Syat.g_01417
OG0000310	Prbf.g_00143	Syat.g_01246
OG0000311	Prbf.g_00145	Syat.g_01242
OG0000312	Prbf.g_00148	Syat.g_01237
OG0000313	Prbf.g_00161	Syat.g_01183
OG0000314	Prbf.g_00184	Syat.g_01341
OG0000315	Prbf.g_00194	Syat.g_01351
OG0000316	Prbf.g_00219	Syat.g_03082
OG0000317	Prbf.g_00696	Syat.g_03120
OG0000318	Prbf.g_00692	Syat.g_03125
OG0000319	Prbf.g_00679	Syat.g_03055
OG0000320	Prbf.g_00677	Syat.g_03053
OG0000321	Prbf.g_00676	Syat.g_03052
OG0000322	Prbf.g_00675	Syat.g_03051
OG0000323	Prbf.g_00666	Syat.g_03038
OG0000324	Prbf.g_00639	Syat.g_02998
OG0000325	Prbf.g_00628	Syat.g_01861
OG0000326	Prbf.g_00621	Syat.g_01854
OG0000327	Prbf.g_00600	Syat.g_01827
OG0000328	Prbf.g_00599	Syat.g_01826
OG0000329	Prbf.g_00582	Syat.g_01808
OG0000330	Prbf.g_00581	Syat.g_01807
OG0000331	Prbf.g_00580	Syat.g_01806
OG0000332	Prbf.g_00566	Syat.g_01790
OG0000333	Prbf.g_00564	Syat.g_01787
OG0000334	Prbf.g_00555	Syat.g_01657
OG0000335	Prbf.g_00550	Syat.g_01652
OG0000336	Prbf.g_00546	Syat.g_01648
OG0000337	Prbf.g_00528	Syat.g_02144
OG0000338	Prbf.g_00527	Syat.g_02146
OG0000339	Prbf.g_00521	Syat.g_02155, Syat.g_01055
OG0000340	Prbf.g_00512	Syat.g_02165
OG0000341	Prbf.g_00510	Syat.g_02167
OG0000342	Prbf.g_00509	Syat.g_02168
OG0000343	Prbf.g_00508	Syat.g_02185
OG0000344	Prbf.g_00505	Syat.g_02189
OG0000345	Prbf.g_00499	Syat.g_02202
OG0000346	Prbf.g_00495	Syat.g_02207
OG0000347	Prbf.g_00477	Syat.g_02234
OG0000348	Prbf.g_00469	Syat.g_02264
OG0000349	Prbf.g_00452	Syat.g_02291
OG0000350	Prbf.g_00351	Syat.g_01847
OG0000351	Prbf.g_00412	Syat.g_02411
OG0000352	Prbf.g_00411	Syat.g_02410
OG0000353	Prbf.g_00394	Syat.g_00955, Syat.g_02377
OG0000355	Prbf.g_00392	Syat.g_02375
OG0000356	Prbf.g_00391	Syat.g_02374
OG0000357	Prbf.g_00390	Syat.g_02373
OG0000358	Prbf.g_00386	Syat.g_02336
OG0000359	Prbf.g_00385	Syat.g_02334
OG0000360	Prbf.g_00384	Syat.g_02333
OG0000361	Prbf.g_00383	Syat.g_02332
OG0000362	Prbf.g_00381	Syat.g_02330
OG0000363	Prbf.g_01336	Syat.g_02328
OG0000364	Prbf.g_01337	Syat.g_03122
OG0000365	Prbf.g_01342	Syat.g_02318
OG0000366	Prbf.g_01343	Syat.g_02317
OG0000367	Prbf.g_01344	Syat.g_02316
OG0000368	Prbf.g_01346	Syat.g_02314
OG0000369	Prbf.g_01347	Syat.g_02313
OG0000370	Prbf.g_01348	Syat.g_02312
OG0000371	Prbf.g_01355	Syat.g_02304
OG0000372	Prbf.g_01358	Syat.g_02298
OG0000373	Prbf.g_01359	Syat.g_02297
OG0000374	Prbf.g_01360	Syat.g_02296
OG0000375	Prbf.g_01362	Syat.g_02295
OG0000376	Prbf.g_01364	Syat.g_02293
OG0000377	Prbf.g_01368	Syat.g_02695
OG0000378	Prbf.g_01372	Syat.g_02715
OG0000379	Prbf.g_01375	Syat.g_02720
OG0000380	Prbf.g_01392	Syat.g_01468
OG0000381	Prbf.g_01397	Syat.g_01470
OG0000382	Prbf.g_01407	Syat.g_01488
OG0000383	Prbf.g_01409	Syat.g_01521
OG0000384	Prbf.g_01410	Syat.g_01522
OG0000385	Prbf.g_01411	Syat.g_01523
OG0000386	Prbf.g_01412	Syat.g_01524
OG0000387	Prbf.g_01426	Syat.g_01561
OG0000388	Prbf.g_01430	Syat.g_01565
OG0000389	Prbf.g_01433	Syat.g_01569
OG0000390	Prbf.g_01443	Syat.g_02945
OG0000391	Prbf.g_01446	Syat.g_02940
OG0000392	Prbf.g_01450	Syat.g_02934
OG0000393	Prbf.g_01453	Syat.g_02931
OG0000394	Prbf.g_01454	Syat.g_02930
OG0000395	Prbf.g_01455	Syat.g_02929
OG0000396	Prbf.g_01457	Syat.g_02927
OG0000397	Prbf.g_01459	Syat.g_02925
OG0000398	Prbf.g_01462	Syat.g_02920
OG0000399	Prbf.g_01463	Syat.g_02919
OG0000400	Prbf.g_01464	Syat.g_02918
OG0000401	Prbf.g_01465	Syat.g_02917
OG0000402	Prbf.g_01055	Syat.g_02915
OG0000403	Prbf.g_01467	Syat.g_02914
OG0000404	Prbf.g_01468	Syat.g_02913
OG0000405	Prbf.g_01472	Syat.g_02900
OG0000406	Prbf.g_01480	Syat.g_02896
OG0000407	Prbf.g_01481	Syat.g_02895
OG0000408	Prbf.g_01483	Syat.g_02893
OG0000409	Prbf.g_01485	Syat.g_02891
OG0000410	Prbf.g_01486	Syat.g_02890
OG0000411	Prbf.g_01487	Syat.g_02889
OG0000412	Prbf.g_01488	Syat.g_02888
OG0000413	Prbf.g_01490	Syat.g_02886
OG0000414	Prbf.g_01491	Syat.g_02885
OG0000415	Prbf.g_01492	Syat.g_02884
OG0000416	Prbf.g_01493	Syat.g_02883
OG0000417	Prbf.g_01494	Syat.g_02868
OG0000418	Prbf.g_01499	Syat.g_02863
OG0000419	Prbf.g_01501	Syat.g_02861
OG0000420	Prbf.g_01502	Syat.g_02859
OG0000421	Prbf.g_01507	Syat.g_02855
OG0000422	Prbf.g_01508	Syat.g_02854
OG0000423	Prbf.g_01509	Syat.g_02853
OG0000424	Prbf.g_01510	Syat.g_02852
OG0000425	Prbf.g_01511	Syat.g_02851
OG0000426	Prbf.g_01512	Syat.g_02850
OG0000427	Prbf.g_01513	Syat.g_02849
OG0000428	Prbf.g_01515	Syat.g_02846
OG0000429	Prbf.g_01516	Syat.g_02843
OG0000430	Prbf.g_01517	Syat.g_02841
OG0000431	Prbf.g_01519	Syat.g_02838
OG0000432	Prbf.g_01523	Syat.g_02832
OG0000433	Prbf.g_01524	Syat.g_02829
OG0000434	Prbf.g_01525	Syat.g_02828
OG0000435	Prbf.g_01526	Syat.g_02824
OG0000436	Prbf.g_01531	Syat.g_02817
OG0000437	Prbf.g_01532	Syat.g_02558
OG0000438	Prbf.g_01533	Syat.g_02813
OG0000439	Prbf.g_01535	Syat.g_02811
OG0000440	Prbf.g_01536	Syat.g_02810
OG0000441	Prbf.g_01539	Syat.g_02807
OG0000442	Prbf.g_01540	Syat.g_02797
OG0000443	Prbf.g_01541	Syat.g_02787
OG0000444	Prbf.g_01547	Syat.g_02756
OG0000445	Prbf.g_01548	Syat.g_02755
OG0000446	Prbf.g_01549	Syat.g_02753
OG0000447	Prbf.g_01550	Syat.g_02749
OG0000448	Prbf.g_01551	Syat.g_02748
OG0000449	Prbf.g_01552	Syat.g_02747
OG0000450	Prbf.g_01553	Syat.g_02738
OG0000451	Prbf.g_01554	Syat.g_02737
OG0000452	Prbf.g_01557	Syat.g_02732
OG0000453	Prbf.g_01558	Syat.g_02731
OG0000454	Prbf.g_01559	Syat.g_02730
OG0000455	Prbf.g_01560	Syat.g_02729
OG0000456	Prbf.g_01561	Syat.g_02728
OG0000457	Prbf.g_01563	Syat.g_02726
OG0000458	Prbf.g_01564	Syat.g_02725
OG0000459	Prbf.g_01565	Syat.g_02724
OG0000460	Prbf.g_01573	Syat.g_01450
OG0000461	Prbf.g_01581	Syat.g_01866
OG0000462	Prbf.g_01583	Syat.g_01868
OG0000463	Prbf.g_01584	Syat.g_01869
OG0000464	Prbf.g_01585	Syat.g_01870
OG0000465	Prbf.g_01586	Syat.g_01872
OG0000466	Prbf.g_01589	Syat.g_01877
OG0000467	Prbf.g_01590	Syat.g_01878
OG0000468	Prbf.g_01593	Syat.g_01884
OG0000469	Prbf.g_01601	Syat.g_02000
OG0000470	Prbf.g_01603	Syat.g_02038
OG0000471	Prbf.g_01604	Syat.g_02039
OG0000472	Prbf.g_01606	Syat.g_02041
OG0000473	Prbf.g_01608	Syat.g_02043
OG0000474	Prbf.g_01609	Syat.g_02044
OG0000475	Prbf.g_01610	Syat.g_02045
OG0000476	Prbf.g_01612	Syat.g_02047
OG0000477	Prbf.g_01615	Syat.g_02053
OG0000478	Prbf.g_01616	Syat.g_02054
OG0000479	Prbf.g_01617	Syat.g_02056
OG0000480	Prbf.g_01622	Syat.g_02063
OG0000481	Prbf.g_01625	Syat.g_02066
OG0000482	Prbf.g_01626	Syat.g_02067
OG0000483	Prbf.g_01629	Syat.g_02071
OG0000484	Prbf.g_01630	Syat.g_02072
OG0000485	Prbf.g_01632	Syat.g_02073
OG0000486	Prbf.g_01633	Syat.g_02074
OG0000487	Prbf.g_01636	Syat.g_02080
OG0000488	Prbf.g_01639	Syat.g_02086
OG0000489	Prbf.g_01644	Syat.g_02097
OG0000490	Prbf.g_01648	Syat.g_02106
OG0000491	Prbf.g_01649	Syat.g_02107
OG0000492	Prbf.g_01651	Syat.g_02110
OG0000493	Prbf.g_01652	Syat.g_02111
OG0000494	Prbf.g_01653	Syat.g_02112
OG0000495	Prbf.g_01654	Syat.g_02120
OG0000496	Prbf.g_01655	Syat.g_02121
OG0000497	Prbf.g_01656	Syat.g_02122
OG0000498	Prbf.g_01657	Syat.g_02123
OG0000499	Prbf.g_01658	Syat.g_02124
OG0000500	Prbf.g_01659	Syat.g_02125
OG0000501	Prbf.g_01660	Syat.g_02128
OG0000502	Prbf.g_01663	Syat.g_02135
OG0000503	Prbf.g_01678	Syat.g_01614
OG0000504	Prbf.g_01680	Syat.g_01612
OG0000505	Prbf.g_01681	Syat.g_01611
OG0000506	Prbf.g_01682	Syat.g_01609
OG0000507	Prbf.g_01685	Syat.g_01603
OG0000508	Prbf.g_01689	Syat.g_01596
OG0000509	Prbf.g_01691	Syat.g_01591
OG0000510	Prbf.g_01692	Syat.g_01590
OG0000511	Prbf.g_01693	Syat.g_01589
OG0000512	Prbf.g_01695	Syat.g_01587
OG0000513	Prbf.g_01704	Syat.g_02957
OG0000514	Prbf.g_01715	Syat.g_02962
OG0000515	Prbf.g_01716	Syat.g_02963
OG0000516	Prbf.g_01717	Syat.g_02965
OG0000517	Prbf.g_01719	Syat.g_02969
OG0000518	Prbf.g_01730	Syat.g_01286
OG0000519	Prbf.g_01731	Syat.g_01285
OG0000520	Prbf.g_01732	Syat.g_01284
OG0000521	Prbf.g_01740	Syat.g_01319
OG0000522	Prbf.g_01742	Syat.g_01317
OG0000523	Prbf.g_01743	Syat.g_01316
OG0000524	Prbf.g_01748	Syat.g_01409
OG0000525	Prbf.g_01752	Syat.g_01382
OG0000526	Prbf.g_01753	Syat.g_01380
OG0000527	Prbf.g_01756	Syat.g_01373
OG0000528	Prbf.g_01761	Syat.g_03167
OG0000529	Prbf.g_01764	Syat.g_03171
OG0000530	Prbf.g_01767	Syat.g_03174
OG0000531	Prbf.g_01768	Syat.g_03175
OG0000532	Prbf.g_01770	Syat.g_03178
OG0000533	Prbf.g_01771	Syat.g_03180
OG0000534	Prbf.g_01772	Syat.g_03181
OG0000535	Prbf.g_01773	Syat.g_03182
OG0000536	Prbf.g_01774	Syat.g_03183
OG0000537	Prbf.g_01775	Syat.g_03185
OG0000538	Prbf.g_01784	Syat.g_03204
OG0000539	Prbf.g_01785	Syat.g_03206
OG0000540	Prbf.g_01786	Syat.g_03207
OG0000541	Prbf.g_01787	Syat.g_03208
OG0000542	Prbf.g_01788	Syat.g_03213
OG0000543	Prbf.g_01790	Syat.g_03215
OG0000544	Prbf.g_01791	Syat.g_03216
OG0000545	Prbf.g_01793	Syat.g_03218
OG0000546	Prbf.g_01796	Syat.g_03220
OG0000547	Prbf.g_01798	Syat.g_03222
OG0000548	Prbf.g_01799	Syat.g_03223
OG0000549	Prbf.g_01801	Syat.g_01795
OG0000550	Prbf.g_01805	Syat.g_01107
OG0000551	Prbf.g_01808	Syat.g_01103
OG0000552	Prbf.g_01809	Syat.g_01102
OG0000553	Prbf.g_01810	Syat.g_01098
OG0000554	Prbf.g_01815	Syat.g_03271
OG0000555	Prbf.g_01823	Syat.g_00093
OG0000556	Prbf.g_01825	Syat.g_00088
OG0000557	Prbf.g_01826	Syat.g_00083
OG0000558	Prbf.g_01828	Syat.g_00081
OG0000559	Prbf.g_01832	Syat.g_00077
OG0000560	Prbf.g_01835	Syat.g_00074
OG0000561	Prbf.g_01836	Syat.g_00073
OG0000562	Prbf.g_01837	Syat.g_00072
OG0000563	Prbf.g_01838	Syat.g_00071
OG0000564	Prbf.g_01839	Syat.g_00070
OG0000565	Prbf.g_01841	Syat.g_00067
OG0000566	Prbf.g_01845	Syat.g_00063
OG0000567	Prbf.g_01849	Syat.g_00059
OG0000568	Prbf.g_01850	Syat.g_00057
OG0000569	Prbf.g_01851	Syat.g_00056
OG0000570	Prbf.g_01852	Syat.g_00055
OG0000571	Prbf.g_01854	Syat.g_00052
OG0000572	Prbf.g_01868	Syat.g_00033
OG0000573	Prbf.g_01874	Syat.g_00024
OG0000574	Prbf.g_01875	Syat.g_00023
OG0000575	Prbf.g_01879	Syat.g_00018
OG0000576	Prbf.g_01881	Syat.g_00014
OG0000577	Prbf.g_01882	Syat.g_00013
OG0000578	Prbf.g_01883	Syat.g_00012
OG0000579	Prbf.g_01884	Syat.g_00011
OG0000580	Prbf.g_01885	Syat.g_00010
OG0000581	Prbf.g_01888	Syat.g_00003
OG0000582	Prbf.g_01891	Syat.g_03403
OG0000583	Prbf.g_01892	Syat.g_03404
