Orthogroup	Prbn	Prax
OG0000083	Prbn.g_01168	Prax.g_00501, Prax.g_00530, Prax.g_00301
OG0000084	Prbn.g_01418	Prax.g_01129
OG0000085	Prbn.g_01144	Prax.g_01254, Prax.g_01759
OG0000086	Prbn.g_01650	Prax.g_00161
OG0000090	Prbn.g_00173	Prax.g_01825
OG0000091	Prbn.g_00220	Prax.g_01720
OG0000092	Prbn.g_00803	Prax.g_01600
OG0000093	Prbn.g_01833	Prax.g_01286
OG0000094	Prbn.g_01877	Prax.g_01335
OG0000095	Prbn.g_01915	Prax.g_01368
OG0000096	Prbn.g_00952	Prax.g_01439
OG0000098	Prbn.g_00011	Prax.g_01493
OG0000099	Prbn.g_00759	Prax.g_00290
OG0000101	Prbn.g_00730	Prax.g_00624
OG0000102	Prbn.g_01304	Prax.g_01106
OG0000103	Prbn.g_01295	Prax.g_01097
OG0000104	Prbn.g_01278	Prax.g_01079
OG0000105	Prbn.g_01243, Prbn.g_00384	Prax.g_01048
OG0000106	Prbn.g_00370	Prax.g_01034
OG0000107	Prbn.g_00361	Prax.g_01026
OG0000108	Prbn.g_00351	Prax.g_01016
OG0000109	Prbn.g_00310	Prax.g_00979
OG0000110	Prbn.g_00017	Prax.g_00488, Prax.g_00924
OG0000111	Prbn.g_00041	Prax.g_00901
OG0000113	Prbn.g_00065	Prax.g_00878
OG0000114	Prbn.g_00091	Prax.g_00848
OG0000115	Prbn.g_00640	Prax.g_00728
OG0000116	Prbn.g_00638	Prax.g_00726
OG0000117	Prbn.g_00634	Prax.g_00722
OG0000118	Prbn.g_00614	Prax.g_00702
OG0000119	Prbn.g_00584	Prax.g_00669
OG0000120	Prbn.g_00583	Prax.g_00668
OG0000121	Prbn.g_00573	Prax.g_00004
OG0000122	Prbn.g_00564	Prax.g_00013
OG0000123	Prbn.g_00532	Prax.g_00044
OG0000124	Prbn.g_00443	Prax.g_00110
OG0000125	Prbn.g_00444	Prax.g_00111
OG0000126	Prbn.g_00445	Prax.g_00112
OG0000127	Prbn.g_01577	Prax.g_00956
OG0000128	Prbn.g_01552	Prax.g_00483
OG0000129	Prbn.g_01351	Prax.g_00463
OG0000130	Prbn.g_01454	Prax.g_00388
OG0000131	Prbn.g_01548	Prax.g_00375
OG0000132	Prbn.g_01511	Prax.g_00339
OG0000133	Prbn.g_01604	Prax.g_00578
OG0000134	Prbn.g_00846	Prax.g_00588
OG0000135	Prbn.g_01414	Prax.g_01133
OG0000136	Prbn.g_01468	Prax.g_01201
OG0000137	Prbn.g_01653	Prax.g_00164
OG0000139	Prbn.g_01195	Prax.g_00206
OG0000140	Prbn.g_00482	Prax.g_00257
OG0000141	Prbn.g_00886	Prax.g_01789
OG0000142	Prbn.g_01071	Prax.g_01887
OG0000143	Prbn.g_01240	Prax.g_01863
OG0000144	Prbn.g_00200	Prax.g_01746
OG0000145	Prbn.g_00213	Prax.g_01727
OG0000146	Prbn.g_00249	Prax.g_01691
OG0000147	Prbn.g_00898	Prax.g_01651
OG0000148	Prbn.g_00897	Prax.g_01650
OG0000149	Prbn.g_01742	Prax.g_01561
OG0000150	Prbn.g_01782	Prax.g_01523
OG0000151	Prbn.g_01785	Prax.g_01520
OG0000152	Prbn.g_01805	Prax.g_01257
OG0000153	Prbn.g_01839	Prax.g_01297
OG0000154	Prbn.g_01875	Prax.g_01333
OG0000155	Prbn.g_01894	Prax.g_01351
OG0000156	Prbn.g_01012	Prax.g_01379
OG0000157	Prbn.g_00978	Prax.g_01411
OG0000158	Prbn.g_00913	Prax.g_01473
OG0000160	Prbn.g_00301	Prax.g_01491
OG0000161	Prbn.g_00302	Prax.g_01492
OG0000162	Prbn.g_00010	Prax.g_01494
OG0000163	Prbn.g_00009	Prax.g_01495
OG0000164	Prbn.g_00008	Prax.g_01496
OG0000165	Prbn.g_00007	Prax.g_01497
OG0000166	Prbn.g_00006	Prax.g_01498
OG0000167	Prbn.g_00005	Prax.g_01499
OG0000168	Prbn.g_00004	Prax.g_01975
OG0000169	Prbn.g_00001	Prax.g_01973
OG0000170	Prbn.g_00768	Prax.g_00299
OG0000171	Prbn.g_00767	Prax.g_00298
OG0000172	Prbn.g_00766	Prax.g_00297
OG0000173	Prbn.g_00765	Prax.g_00296
OG0000174	Prbn.g_00764	Prax.g_00295
OG0000175	Prbn.g_00763	Prax.g_00294
OG0000176	Prbn.g_00762	Prax.g_00293
OG0000177	Prbn.g_00761	Prax.g_00292
OG0000178	Prbn.g_00760	Prax.g_00291
OG0000179	Prbn.g_00758	Prax.g_00289
OG0000180	Prbn.g_00757	Prax.g_00288
OG0000181	Prbn.g_00756	Prax.g_00287
OG0000182	Prbn.g_00755	Prax.g_00286
OG0000183	Prbn.g_00754	Prax.g_00285
OG0000184	Prbn.g_00752	Prax.g_00284
OG0000185	Prbn.g_00749	Prax.g_00281
OG0000186	Prbn.g_00746	Prax.g_00278
OG0000187	Prbn.g_00745	Prax.g_00277
OG0000188	Prbn.g_00744	Prax.g_00276
OG0000189	Prbn.g_00742	Prax.g_00273
OG0000190	Prbn.g_00740	Prax.g_00271
OG0000191	Prbn.g_00738	Prax.g_00270
OG0000192	Prbn.g_00737	Prax.g_00269
OG0000193	Prbn.g_00736	Prax.g_00261
OG0000194	Prbn.g_00733	Prax.g_00621
OG0000195	Prbn.g_00732	Prax.g_00622
OG0000196	Prbn.g_00731	Prax.g_00623
OG0000197	Prbn.g_00729	Prax.g_00625
OG0000198	Prbn.g_00728	Prax.g_00626
OG0000199	Prbn.g_00726	Prax.g_00627
OG0000200	Prbn.g_00714	Prax.g_00635
OG0000201	Prbn.g_00713	Prax.g_00636
OG0000202	Prbn.g_00712	Prax.g_00637
OG0000203	Prbn.g_00708	Prax.g_00640
OG0000204	Prbn.g_00707	Prax.g_00641
OG0000205	Prbn.g_00704	Prax.g_00644
OG0000206	Prbn.g_00702	Prax.g_00646
OG0000207	Prbn.g_01343	Prax.g_00648
OG0000208	Prbn.g_01342	Prax.g_00649
OG0000209	Prbn.g_01034	Prax.g_00650
OG0000210	Prbn.g_01341	Prax.g_00651
OG0000211	Prbn.g_01340	Prax.g_00652
OG0000212	Prbn.g_01339	Prax.g_00653
OG0000213	Prbn.g_01338	Prax.g_00654
OG0000214	Prbn.g_01337	Prax.g_00655
OG0000215	Prbn.g_01336	Prax.g_00656
OG0000216	Prbn.g_01335	Prax.g_00657
OG0000217	Prbn.g_01333	Prax.g_00659
OG0000218	Prbn.g_01332	Prax.g_00660
OG0000219	Prbn.g_01331	Prax.g_01128
OG0000220	Prbn.g_01330	Prax.g_01127
OG0000221	Prbn.g_01327	Prax.g_01124
OG0000222	Prbn.g_01326	Prax.g_01123
OG0000223	Prbn.g_01325	Prax.g_01122
OG0000224	Prbn.g_01323	Prax.g_01121
OG0000225	Prbn.g_01322	Prax.g_01120
OG0000226	Prbn.g_01321	Prax.g_01119
OG0000227	Prbn.g_01319	Prax.g_01118
OG0000228	Prbn.g_01318	Prax.g_01117
OG0000229	Prbn.g_01317	Prax.g_01116
OG0000230	Prbn.g_01316	Prax.g_01115
OG0000231	Prbn.g_01315	Prax.g_01114
OG0000232	Prbn.g_01314	Prax.g_01113
OG0000233	Prbn.g_01312	Prax.g_01112
OG0000234	Prbn.g_01311	Prax.g_01111
OG0000235	Prbn.g_01310	Prax.g_01110
OG0000236	Prbn.g_01307	Prax.g_01109
OG0000237	Prbn.g_01306	Prax.g_01108
OG0000238	Prbn.g_01305	Prax.g_01107
OG0000239	Prbn.g_01303	Prax.g_01105
OG0000240	Prbn.g_01302	Prax.g_01103
OG0000241	Prbn.g_01301	Prax.g_01102
OG0000242	Prbn.g_01300	Prax.g_01101
OG0000243	Prbn.g_01297	Prax.g_01098
OG0000244	Prbn.g_01294	Prax.g_01096
OG0000245	Prbn.g_01293	Prax.g_01095
OG0000246	Prbn.g_01292	Prax.g_01094
OG0000247	Prbn.g_01290	Prax.g_01091
OG0000248	Prbn.g_01288	Prax.g_01089
OG0000249	Prbn.g_01286	Prax.g_01088
OG0000250	Prbn.g_01285	Prax.g_01087
OG0000251	Prbn.g_01284	Prax.g_01086
OG0000252	Prbn.g_01283	Prax.g_01085
OG0000253	Prbn.g_01282	Prax.g_01084
OG0000254	Prbn.g_01356	Prax.g_01082
OG0000255	Prbn.g_01280	Prax.g_01081
OG0000256	Prbn.g_01277	Prax.g_01078
OG0000257	Prbn.g_01275	Prax.g_01076
OG0000258	Prbn.g_01269	Prax.g_01073
OG0000259	Prbn.g_01268	Prax.g_01072
OG0000260	Prbn.g_01267	Prax.g_01071
OG0000261	Prbn.g_01266	Prax.g_01070
OG0000262	Prbn.g_01265	Prax.g_01069
OG0000263	Prbn.g_01263	Prax.g_01067
OG0000264	Prbn.g_01262	Prax.g_01066
OG0000265	Prbn.g_01261	Prax.g_01065
OG0000266	Prbn.g_01260	Prax.g_01064
OG0000267	Prbn.g_01259	Prax.g_01063
OG0000268	Prbn.g_01257	Prax.g_01062
OG0000269	Prbn.g_01255	Prax.g_01060
OG0000270	Prbn.g_01254	Prax.g_01059
OG0000271	Prbn.g_01253	Prax.g_01058
OG0000272	Prbn.g_01252	Prax.g_01057
OG0000273	Prbn.g_01251	Prax.g_01056
OG0000274	Prbn.g_01250	Prax.g_01055
OG0000275	Prbn.g_01249	Prax.g_01054
OG0000276	Prbn.g_01248	Prax.g_01053
OG0000277	Prbn.g_01246	Prax.g_01051
OG0000278	Prbn.g_01245	Prax.g_01050
OG0000279	Prbn.g_01244	Prax.g_01049
OG0000280	Prbn.g_00383	Prax.g_01047
OG0000281	Prbn.g_00381	Prax.g_01045
OG0000282	Prbn.g_00380	Prax.g_01044
OG0000283	Prbn.g_00379	Prax.g_01043
OG0000284	Prbn.g_00378	Prax.g_01042
OG0000285	Prbn.g_00377	Prax.g_01041
OG0000286	Prbn.g_00376	Prax.g_01040
OG0000287	Prbn.g_00375	Prax.g_01039
OG0000288	Prbn.g_00373	Prax.g_01037
OG0000289	Prbn.g_00372	Prax.g_01036
OG0000290	Prbn.g_00371	Prax.g_01035
OG0000291	Prbn.g_00369	Prax.g_01033
OG0000292	Prbn.g_00367	Prax.g_01032
OG0000293	Prbn.g_00366	Prax.g_01031
OG0000294	Prbn.g_00365	Prax.g_01030
OG0000295	Prbn.g_00364	Prax.g_01029
OG0000296	Prbn.g_00363	Prax.g_01028
OG0000297	Prbn.g_00362	Prax.g_01027
OG0000298	Prbn.g_00360	Prax.g_01025
OG0000299	Prbn.g_00359	Prax.g_01024
OG0000300	Prbn.g_00358	Prax.g_01023
OG0000301	Prbn.g_00357	Prax.g_01022
OG0000302	Prbn.g_00356	Prax.g_01021
OG0000303	Prbn.g_00355	Prax.g_01020
OG0000304	Prbn.g_00353	Prax.g_01018
OG0000305	Prbn.g_00352	Prax.g_01017
OG0000306	Prbn.g_00349	Prax.g_01014
OG0000307	Prbn.g_00348	Prax.g_01013
OG0000308	Prbn.g_00347	Prax.g_01012
OG0000309	Prbn.g_00346	Prax.g_01011
OG0000310	Prbn.g_00345	Prax.g_01010
OG0000311	Prbn.g_00343	Prax.g_01009
OG0000312	Prbn.g_00342	Prax.g_01008
OG0000313	Prbn.g_00341	Prax.g_01007
OG0000314	Prbn.g_00340	Prax.g_01006
OG0000315	Prbn.g_00339	Prax.g_01005
OG0000316	Prbn.g_00338	Prax.g_01004
OG0000317	Prbn.g_00337	Prax.g_01003
OG0000318	Prbn.g_00336	Prax.g_01002
OG0000319	Prbn.g_00335	Prax.g_01001
OG0000320	Prbn.g_00334	Prax.g_01000
OG0000321	Prbn.g_00333	Prax.g_00999
OG0000322	Prbn.g_00332	Prax.g_00998
OG0000323	Prbn.g_00331	Prax.g_00997
OG0000324	Prbn.g_00330	Prax.g_00996
OG0000325	Prbn.g_00329	Prax.g_00995
OG0000326	Prbn.g_00328	Prax.g_00994
OG0000327	Prbn.g_00327	Prax.g_00993
OG0000328	Prbn.g_00325	Prax.g_00992
OG0000329	Prbn.g_00324	Prax.g_00991
OG0000330	Prbn.g_00323	Prax.g_00990
OG0000331	Prbn.g_00321	Prax.g_00989
OG0000332	Prbn.g_00320	Prax.g_00988
OG0000333	Prbn.g_00319	Prax.g_00987
OG0000334	Prbn.g_00318	Prax.g_00986
OG0000335	Prbn.g_00317	Prax.g_00985
OG0000336	Prbn.g_00315	Prax.g_00983
OG0000337	Prbn.g_00314	Prax.g_00982
OG0000338	Prbn.g_00309	Prax.g_00978
OG0000339	Prbn.g_00307	Prax.g_00933
OG0000340	Prbn.g_00305	Prax.g_00931
OG0000341	Prbn.g_00304	Prax.g_00930
OG0000342	Prbn.g_00012	Prax.g_00929
OG0000343	Prbn.g_00013	Prax.g_00928
OG0000344	Prbn.g_00016	Prax.g_00925
OG0000345	Prbn.g_00020	Prax.g_00922
OG0000346	Prbn.g_00021	Prax.g_00921
OG0000347	Prbn.g_00024	Prax.g_00918
OG0000348	Prbn.g_00025	Prax.g_00916
OG0000349	Prbn.g_00026	Prax.g_00915
OG0000350	Prbn.g_00028	Prax.g_00913
OG0000351	Prbn.g_00029	Prax.g_00912
OG0000352	Prbn.g_00030	Prax.g_00911
OG0000353	Prbn.g_00031	Prax.g_00910
OG0000354	Prbn.g_00033	Prax.g_00909
OG0000355	Prbn.g_00034	Prax.g_00908
OG0000356	Prbn.g_00035	Prax.g_00907
OG0000357	Prbn.g_00036	Prax.g_00906
OG0000358	Prbn.g_00037	Prax.g_00905
OG0000359	Prbn.g_00039	Prax.g_00904
OG0000360	Prbn.g_00042	Prax.g_00900
OG0000361	Prbn.g_00043	Prax.g_00899
OG0000362	Prbn.g_00044	Prax.g_00898
OG0000363	Prbn.g_00045	Prax.g_00897
OG0000364	Prbn.g_00049	Prax.g_00893
OG0000365	Prbn.g_00050	Prax.g_00892
OG0000366	Prbn.g_00053	Prax.g_00890
OG0000367	Prbn.g_00054	Prax.g_00889
OG0000368	Prbn.g_00055	Prax.g_00888
OG0000369	Prbn.g_00056	Prax.g_00887
OG0000370	Prbn.g_00057	Prax.g_00886
OG0000371	Prbn.g_00059	Prax.g_00885
OG0000372	Prbn.g_00060	Prax.g_00884
OG0000373	Prbn.g_00061	Prax.g_00883
OG0000374	Prbn.g_00062	Prax.g_00881
OG0000375	Prbn.g_00063	Prax.g_00880
OG0000376	Prbn.g_00066	Prax.g_00877
OG0000377	Prbn.g_00067	Prax.g_00876
OG0000378	Prbn.g_00068	Prax.g_00875
OG0000379	Prbn.g_00069	Prax.g_00874
OG0000380	Prbn.g_00070	Prax.g_00873
OG0000381	Prbn.g_00071	Prax.g_00872
OG0000382	Prbn.g_00072	Prax.g_00871
OG0000383	Prbn.g_00073	Prax.g_00870
OG0000384	Prbn.g_00075	Prax.g_00867
OG0000385	Prbn.g_00076	Prax.g_00866
OG0000386	Prbn.g_00077	Prax.g_00865
OG0000387	Prbn.g_00078	Prax.g_00864
OG0000388	Prbn.g_00079	Prax.g_00863
OG0000389	Prbn.g_00080	Prax.g_00862
OG0000390	Prbn.g_00081	Prax.g_00861
OG0000391	Prbn.g_00082	Prax.g_00860
OG0000392	Prbn.g_00083	Prax.g_00859
OG0000393	Prbn.g_00084	Prax.g_00858
OG0000394	Prbn.g_00085	Prax.g_00857
OG0000395	Prbn.g_00086	Prax.g_00856
OG0000396	Prbn.g_00087	Prax.g_00854
OG0000397	Prbn.g_00089	Prax.g_00850
OG0000398	Prbn.g_00090	Prax.g_00849
OG0000399	Prbn.g_00092	Prax.g_00846
OG0000400	Prbn.g_00098	Prax.g_00845
OG0000401	Prbn.g_00099	Prax.g_00844
OG0000402	Prbn.g_00105	Prax.g_00839
OG0000403	Prbn.g_00107	Prax.g_00838
OG0000404	Prbn.g_00108	Prax.g_00837
OG0000405	Prbn.g_00109	Prax.g_00835
OG0000406	Prbn.g_00112	Prax.g_00832
OG0000407	Prbn.g_00113	Prax.g_00831
OG0000408	Prbn.g_00116	Prax.g_00828
OG0000409	Prbn.g_00117	Prax.g_00827
OG0000410	Prbn.g_00118	Prax.g_00826
OG0000411	Prbn.g_00119	Prax.g_00825
OG0000412	Prbn.g_00120	Prax.g_00824
OG0000413	Prbn.g_00121	Prax.g_00823
OG0000414	Prbn.g_00122	Prax.g_00822
OG0000415	Prbn.g_00123	Prax.g_00821
OG0000416	Prbn.g_00697	Prax.g_00818
OG0000417	Prbn.g_00696	Prax.g_00817
OG0000418	Prbn.g_00694	Prax.g_00816
OG0000419	Prbn.g_00693	Prax.g_00815
OG0000420	Prbn.g_01491	Prax.g_00814
OG0000421	Prbn.g_01145	Prax.g_00802
OG0000422	Prbn.g_01697	Prax.g_00795
OG0000423	Prbn.g_01150	Prax.g_00794
OG0000424	Prbn.g_01810	Prax.g_00790
OG0000425	Prbn.g_00682	Prax.g_00769
OG0000426	Prbn.g_00681	Prax.g_00768
OG0000427	Prbn.g_00680	Prax.g_00767
OG0000428	Prbn.g_00678	Prax.g_00765
OG0000429	Prbn.g_00677	Prax.g_00764
OG0000430	Prbn.g_00675	Prax.g_00762
OG0000431	Prbn.g_00674	Prax.g_00761
OG0000432	Prbn.g_00673	Prax.g_00760
OG0000433	Prbn.g_00672	Prax.g_00759
OG0000434	Prbn.g_00671	Prax.g_00758
OG0000435	Prbn.g_00670	Prax.g_00757
OG0000436	Prbn.g_00669	Prax.g_00756
OG0000437	Prbn.g_00668	Prax.g_00755
OG0000438	Prbn.g_00667	Prax.g_00754
OG0000439	Prbn.g_00666	Prax.g_00753
OG0000440	Prbn.g_00665	Prax.g_00752
OG0000441	Prbn.g_00664	Prax.g_00751
OG0000442	Prbn.g_00663	Prax.g_00750
OG0000443	Prbn.g_00662	Prax.g_00749
OG0000444	Prbn.g_00661	Prax.g_00748
OG0000445	Prbn.g_00657	Prax.g_00747
OG0000446	Prbn.g_00655	Prax.g_00746
OG0000447	Prbn.g_00654	Prax.g_00745
OG0000448	Prbn.g_00653	Prax.g_00743
OG0000449	Prbn.g_00649	Prax.g_00740
OG0000450	Prbn.g_00648	Prax.g_00739
OG0000451	Prbn.g_00647	Prax.g_00738
OG0000452	Prbn.g_00645	Prax.g_00737
OG0000453	Prbn.g_00644	Prax.g_00736
OG0000454	Prbn.g_00643	Prax.g_00731
OG0000455	Prbn.g_00641	Prax.g_00729
OG0000456	Prbn.g_00637	Prax.g_00725
OG0000457	Prbn.g_00636	Prax.g_00724
OG0000458	Prbn.g_00635	Prax.g_00723
OG0000459	Prbn.g_00633	Prax.g_00721
OG0000460	Prbn.g_00631	Prax.g_00719
OG0000461	Prbn.g_00630	Prax.g_00718
OG0000462	Prbn.g_00629	Prax.g_00717
OG0000463	Prbn.g_00627	Prax.g_00715
OG0000464	Prbn.g_00626	Prax.g_00714
OG0000465	Prbn.g_00625	Prax.g_00713
OG0000466	Prbn.g_00624	Prax.g_00712
OG0000467	Prbn.g_00623	Prax.g_00711
OG0000468	Prbn.g_00622	Prax.g_00709
OG0000469	Prbn.g_00621	Prax.g_00708
OG0000470	Prbn.g_00620	Prax.g_00707
OG0000471	Prbn.g_00619	Prax.g_00706
OG0000472	Prbn.g_00613	Prax.g_00701
OG0000473	Prbn.g_00612	Prax.g_00700
OG0000474	Prbn.g_00611	Prax.g_00699
OG0000475	Prbn.g_00610	Prax.g_00698
OG0000476	Prbn.g_00609	Prax.g_00696
OG0000477	Prbn.g_00608	Prax.g_00695
OG0000478	Prbn.g_00607	Prax.g_00694
OG0000479	Prbn.g_00606	Prax.g_00693
OG0000480	Prbn.g_00604	Prax.g_00691
OG0000481	Prbn.g_00602	Prax.g_00689
OG0000482	Prbn.g_00601	Prax.g_00688
OG0000483	Prbn.g_00599	Prax.g_00686
OG0000484	Prbn.g_00598	Prax.g_00685
OG0000485	Prbn.g_00597	Prax.g_00684
OG0000486	Prbn.g_00596	Prax.g_00683
OG0000487	Prbn.g_00592	Prax.g_00678
OG0000488	Prbn.g_00591	Prax.g_00676
OG0000489	Prbn.g_00590	Prax.g_00675
OG0000490	Prbn.g_00589	Prax.g_00674
OG0000491	Prbn.g_00588	Prax.g_00673
OG0000492	Prbn.g_00587	Prax.g_00672
OG0000493	Prbn.g_00586	Prax.g_00671
OG0000494	Prbn.g_00585	Prax.g_00670
OG0000495	Prbn.g_00582	Prax.g_00667
OG0000496	Prbn.g_00581	Prax.g_00666
OG0000497	Prbn.g_00580	Prax.g_00665
OG0000498	Prbn.g_00579	Prax.g_00664
OG0000499	Prbn.g_00578	Prax.g_00663
OG0000500	Prbn.g_00576	Prax.g_00001
OG0000501	Prbn.g_00575	Prax.g_00002
OG0000502	Prbn.g_00574	Prax.g_00003
OG0000503	Prbn.g_00572	Prax.g_00005
OG0000504	Prbn.g_00571	Prax.g_00006
OG0000505	Prbn.g_00570	Prax.g_00007
OG0000506	Prbn.g_00569	Prax.g_00008
OG0000507	Prbn.g_00568	Prax.g_00009
OG0000508	Prbn.g_00567	Prax.g_00010
OG0000509	Prbn.g_00566	Prax.g_00011
OG0000510	Prbn.g_00565	Prax.g_00012
OG0000511	Prbn.g_00563	Prax.g_00014
OG0000512	Prbn.g_00562	Prax.g_00015
OG0000513	Prbn.g_00561	Prax.g_00016
OG0000514	Prbn.g_00560	Prax.g_00017
OG0000515	Prbn.g_00559	Prax.g_00018
OG0000516	Prbn.g_00558	Prax.g_00019
OG0000517	Prbn.g_00557	Prax.g_00021
OG0000518	Prbn.g_00556	Prax.g_00022
OG0000519	Prbn.g_00554	Prax.g_00023
OG0000520	Prbn.g_00552	Prax.g_00024
OG0000521	Prbn.g_00551	Prax.g_00025
OG0000522	Prbn.g_00550	Prax.g_00026
OG0000523	Prbn.g_00549	Prax.g_00027
OG0000524	Prbn.g_00548	Prax.g_00028
OG0000525	Prbn.g_00547	Prax.g_00029
OG0000526	Prbn.g_00546	Prax.g_00030
OG0000527	Prbn.g_00545	Prax.g_00031
OG0000528	Prbn.g_00544	Prax.g_00032
OG0000529	Prbn.g_00543	Prax.g_00033
OG0000530	Prbn.g_00542	Prax.g_00034
OG0000531	Prbn.g_00541	Prax.g_00035
OG0000532	Prbn.g_00540	Prax.g_00036
OG0000533	Prbn.g_00538	Prax.g_00038
OG0000534	Prbn.g_00537	Prax.g_00039
OG0000535	Prbn.g_00536	Prax.g_00040
OG0000536	Prbn.g_00535	Prax.g_00041
OG0000537	Prbn.g_00534	Prax.g_00042
OG0000538	Prbn.g_00533	Prax.g_00043
OG0000539	Prbn.g_00529	Prax.g_00046
OG0000540	Prbn.g_00528	Prax.g_00047
OG0000541	Prbn.g_00527	Prax.g_00048
OG0000542	Prbn.g_00524	Prax.g_00050
OG0000543	Prbn.g_00523	Prax.g_00051
OG0000544	Prbn.g_00522	Prax.g_00052
OG0000545	Prbn.g_00521	Prax.g_00053
OG0000546	Prbn.g_00520	Prax.g_00054
OG0000547	Prbn.g_00519	Prax.g_00055
OG0000548	Prbn.g_00518	Prax.g_00056
OG0000549	Prbn.g_00516	Prax.g_00058
OG0000550	Prbn.g_00515	Prax.g_00059
OG0000551	Prbn.g_00514	Prax.g_00060
OG0000552	Prbn.g_00513	Prax.g_00061
OG0000553	Prbn.g_00512	Prax.g_00062
OG0000554	Prbn.g_00511	Prax.g_00063
OG0000555	Prbn.g_00509	Prax.g_00064
OG0000556	Prbn.g_00508	Prax.g_00065
OG0000557	Prbn.g_00507	Prax.g_00066
OG0000558	Prbn.g_00506	Prax.g_00067
OG0000559	Prbn.g_00505	Prax.g_00068
OG0000560	Prbn.g_00504	Prax.g_00069
OG0000561	Prbn.g_00503	Prax.g_00070
OG0000562	Prbn.g_00502	Prax.g_00071
OG0000563	Prbn.g_00501	Prax.g_00072
OG0000564	Prbn.g_00500	Prax.g_00073
OG0000565	Prbn.g_00499	Prax.g_00074
OG0000566	Prbn.g_00498	Prax.g_00075
OG0000567	Prbn.g_00497	Prax.g_00076
OG0000568	Prbn.g_00496	Prax.g_00077
OG0000569	Prbn.g_00494	Prax.g_00080
OG0000570	Prbn.g_00493	Prax.g_00081
