Orthogroup	Pray	Prbi
OG0000028	Pray.g_01722	Prbi.g_01589, Prbi.g_01591
OG0000029	Pray.g_01609	Prbi.g_01702
OG0000030	Pray.g_00245	Prbi.g_01743, Prbi.g_00047
OG0000031	Pray.g_01894	Prbi.g_01364
OG0000032	Pray.g_01806	Prbi.g_01467
OG0000033	Pray.g_01475	Prbi.g_00013
OG0000034	Pray.g_01793	Prbi.g_01478
OG0000035	Pray.g_00438	Prbi.g_00936
OG0000036	Pray.g_01177	Prbi.g_00587
OG0000037	Pray.g_01140	Prbi.g_00625
OG0000038	Pray.g_00304	Prbi.g_00805
OG0000039	Pray.g_00647	Prbi.g_00190
OG0000040	Pray.g_00838	Prbi.g_00384
OG0000042	Pray.g_01040	Prbi.g_00745
OG0000043	Pray.g_00333	Prbi.g_00832
OG0000044	Pray.g_00064	Prbi.g_01207
OG0000045	Pray.g_01786	Prbi.g_01461
OG0000046	Pray.g_01566	Prbi.g_01780
OG0000047	Pray.g_01364	Prbi.g_01994
OG0000048	Pray.g_01371	Prbi.g_02001
OG0000050	Pray.g_01493	Prbi.g_00031
OG0000051	Pray.g_00638	Prbi.g_00181
OG0000052	Pray.g_00848	Prbi.g_00394
OG0000053	Pray.g_01222	Prbi.g_00542
OG0000054	Pray.g_00299	Prbi.g_00799
OG0000055	Pray.g_00370	Prbi.g_00869
OG0000056	Pray.g_00110	Prbi.g_01163
OG0000057	Pray.g_00718	Prbi.g_00261
OG0000058	Pray.g_00965	Prbi.g_00478
OG0000059	Pray.g_01065	Prbi.g_00702
OG0000060	Pray.g_00282	Prbi.g_00780
OG0000061	Pray.g_00099	Prbi.g_01172
OG0000061	Pray.g_00531	Prbi.g_01029
OG0000062	Pray.g_00097	Prbi.g_01174
OG0000063	Pray.g_01927	Prbi.g_01330
OG0000064	Pray.g_01917	Prbi.g_01341
OG0000064	Pray.g_01583	Prbi.g_01740
OG0000065	Pray.g_01870	Prbi.g_01391
OG0000066	Pray.g_01808	Prbi.g_01460
OG0000068	Pray.g_01306	Prbi.g_01938
OG0000069	Pray.g_01782	Prbi.g_01497
OG0000070	Pray.g_01942	Prbi.g_01276
OG0000071	Pray.g_01473	Prbi.g_00011
OG0000072	Pray.g_00800	Prbi.g_00346
OG0000073	Pray.g_01094	Prbi.g_00672
OG0000074	Pray.g_01072	Prbi.g_00694
OG0000075	Pray.g_00355	Prbi.g_00854
OG0000076	Pray.g_00584	Prbi.g_01086
OG0000078	Pray.g_01788	Prbi.g_01462
OG0000079	Pray.g_01644	Prbi.g_01668
OG0000080	Pray.g_01595	Prbi.g_01725
OG0000081	Pray.g_01337	Prbi.g_01968
OG0000082	Pray.g_01427	Prbi.g_02069
OG0000083	Pray.g_01464	Prbi.g_00003
OG0000084	Pray.g_01468	Prbi.g_00006
OG0000085	Pray.g_01485	Prbi.g_00023
OG0000086	Pray.g_00244	Prbi.g_00048
OG0000087	Pray.g_00234	Prbi.g_00060
OG0000088	Pray.g_00176	Prbi.g_00120
OG0000089	Pray.g_00168	Prbi.g_00129
OG0000090	Pray.g_00150	Prbi.g_00147
OG0000091	Pray.g_00650	Prbi.g_00193
OG0000092	Pray.g_00651	Prbi.g_00194
OG0000093	Pray.g_00665	Prbi.g_00208
OG0000094	Pray.g_00683	Prbi.g_00226
OG0000095	Pray.g_00688	Prbi.g_00231
OG0000096	Pray.g_00732	Prbi.g_00275
OG0000097	Pray.g_00753	Prbi.g_00298
OG0000098	Pray.g_00763	Prbi.g_00308
OG0000099	Pray.g_00772	Prbi.g_00318
OG0000100	Pray.g_00775	Prbi.g_00321
OG0000101	Pray.g_00835	Prbi.g_00381
OG0000102	Pray.g_00861	Prbi.g_00407
OG0000103	Pray.g_00966	Prbi.g_00479
OG0000104	Pray.g_00970	Prbi.g_00483
OG0000105	Pray.g_00990	Prbi.g_00502
OG0000106	Pray.g_01023	Prbi.g_00535
OG0000107	Pray.g_01228, Pray.g_01024	Prbi.g_00536
OG0000108	Pray.g_01218	Prbi.g_00546
OG0000109	Pray.g_01209	Prbi.g_00555
OG0000110	Pray.g_01193	Prbi.g_00571
OG0000111	Pray.g_01112	Prbi.g_00654
OG0000112	Pray.g_01111	Prbi.g_00655
OG0000113	Pray.g_00275	Prbi.g_00767
OG0000114	Pray.g_00346	Prbi.g_00845
OG0000115	Pray.g_00511	Prbi.g_01009
OG0000116	Pray.g_00515	Prbi.g_01013
OG0000117	Pray.g_00581	Prbi.g_01083
OG0000118	Pray.g_00632	Prbi.g_01136
OG0000119	Pray.g_00094	Prbi.g_01177
OG0000120	Pray.g_00057	Prbi.g_01213
OG0000121	Pray.g_00038	Prbi.g_01232
OG0000122	Pray.g_00019	Prbi.g_01251
OG0000123	Pray.g_00006	Prbi.g_01264
OG0000124	Pray.g_00250	Prbi.g_01277
OG0000125	Pray.g_01858	Prbi.g_01403
OG0000126	Pray.g_01829	Prbi.g_01439
OG0000127	Pray.g_01735	Prbi.g_01576
OG0000128	Pray.g_01721	Prbi.g_01592
OG0000129	Pray.g_01685	Prbi.g_01627
OG0000130	Pray.g_01561	Prbi.g_01785
OG0000131	Pray.g_01523	Prbi.g_01823
OG0000132	Pray.g_01520	Prbi.g_01826
OG0000133	Pray.g_01265	Prbi.g_01897
OG0000134	Pray.g_01301	Prbi.g_01933
OG0000135	Pray.g_01303	Prbi.g_01935
OG0000136	Pray.g_01348	Prbi.g_01979
OG0000137	Pray.g_01381	Prbi.g_02011
OG0000138	Pray.g_01417	Prbi.g_02059
OG0000139	Pray.g_01444	Prbi.g_02086
OG0000140	Pray.g_01462	Prbi.g_00001
OG0000141	Pray.g_01463	Prbi.g_00002
OG0000142	Pray.g_01465	Prbi.g_00004
OG0000143	Pray.g_01467	Prbi.g_00005
OG0000144	Pray.g_01469	Prbi.g_00007
OG0000145	Pray.g_01470	Prbi.g_00008
OG0000146	Pray.g_01471	Prbi.g_00009
OG0000147	Pray.g_01472	Prbi.g_00010
OG0000148	Pray.g_01474	Prbi.g_00012
OG0000149	Pray.g_01476	Prbi.g_00014
OG0000150	Pray.g_01477	Prbi.g_00015
OG0000151	Pray.g_01478	Prbi.g_00016
OG0000152	Pray.g_01479	Prbi.g_00017
OG0000153	Pray.g_01480	Prbi.g_00018
OG0000154	Pray.g_01481	Prbi.g_00019
OG0000155	Pray.g_01482	Prbi.g_00020
OG0000156	Pray.g_01483	Prbi.g_00021
OG0000157	Pray.g_01484	Prbi.g_00022
OG0000158	Pray.g_01486	Prbi.g_00024
OG0000159	Pray.g_01487	Prbi.g_00025
OG0000160	Pray.g_01488	Prbi.g_00026
OG0000161	Pray.g_01489	Prbi.g_00027
OG0000162	Pray.g_01490	Prbi.g_00028
OG0000163	Pray.g_01491	Prbi.g_00029
OG0000164	Pray.g_01494	Prbi.g_00032
OG0000165	Pray.g_01497	Prbi.g_00035
OG0000166	Pray.g_01498	Prbi.g_00036
OG0000167	Pray.g_01499	Prbi.g_00037
OG0000168	Pray.g_00243	Prbi.g_00049
OG0000169	Pray.g_00241	Prbi.g_00051
OG0000170	Pray.g_00240	Prbi.g_00052
OG0000171	Pray.g_00239	Prbi.g_00053
OG0000172	Pray.g_00238	Prbi.g_00056
OG0000173	Pray.g_00237	Prbi.g_00057
OG0000174	Pray.g_00236	Prbi.g_00058
OG0000175	Pray.g_00235	Prbi.g_00059
OG0000176	Pray.g_00233	Prbi.g_00061
OG0000177	Pray.g_00232	Prbi.g_00062
OG0000178	Pray.g_00231	Prbi.g_00063
OG0000179	Pray.g_00225	Prbi.g_00071
OG0000180	Pray.g_00224	Prbi.g_00072
OG0000181	Pray.g_00223	Prbi.g_00073
OG0000182	Pray.g_00220	Prbi.g_00076
OG0000183	Pray.g_00219	Prbi.g_00077
OG0000184	Pray.g_00216	Prbi.g_00080
OG0000185	Pray.g_00212	Prbi.g_00084
OG0000186	Pray.g_00211	Prbi.g_00085
OG0000187	Pray.g_00210	Prbi.g_00086
OG0000188	Pray.g_00209	Prbi.g_00087
OG0000189	Pray.g_00208	Prbi.g_00088
OG0000190	Pray.g_00207	Prbi.g_00089
OG0000191	Pray.g_00206	Prbi.g_00090
OG0000192	Pray.g_00205	Prbi.g_00091
OG0000193	Pray.g_00204	Prbi.g_00092
OG0000194	Pray.g_00203	Prbi.g_00093
OG0000195	Pray.g_00201	Prbi.g_00095
OG0000196	Pray.g_00200	Prbi.g_00096
OG0000197	Pray.g_00199	Prbi.g_00097
OG0000198	Pray.g_00198	Prbi.g_00098
OG0000199	Pray.g_00195	Prbi.g_00101
OG0000200	Pray.g_00194	Prbi.g_00102
OG0000201	Pray.g_00193	Prbi.g_00103
OG0000202	Pray.g_00192	Prbi.g_00104
OG0000203	Pray.g_00191	Prbi.g_00105
OG0000204	Pray.g_00190	Prbi.g_00106
OG0000205	Pray.g_00189	Prbi.g_00107
OG0000206	Pray.g_00188	Prbi.g_00108
OG0000207	Pray.g_00187	Prbi.g_00109
OG0000208	Pray.g_00186	Prbi.g_00110
OG0000209	Pray.g_00185	Prbi.g_00111
OG0000210	Pray.g_00183	Prbi.g_00113
OG0000211	Pray.g_00182	Prbi.g_00114
OG0000212	Pray.g_00181	Prbi.g_00115
OG0000213	Pray.g_00180	Prbi.g_00116
OG0000214	Pray.g_00178	Prbi.g_00118
OG0000215	Pray.g_00177	Prbi.g_00119
OG0000216	Pray.g_00175	Prbi.g_00121
OG0000217	Pray.g_00174	Prbi.g_00123
OG0000218	Pray.g_00173	Prbi.g_00124
OG0000219	Pray.g_00172	Prbi.g_00125
OG0000220	Pray.g_00169	Prbi.g_00128
OG0000221	Pray.g_00167	Prbi.g_00130
OG0000222	Pray.g_00166	Prbi.g_00131
OG0000223	Pray.g_00165	Prbi.g_00132
OG0000224	Pray.g_00162	Prbi.g_00135
OG0000225	Pray.g_00160	Prbi.g_00137
OG0000226	Pray.g_00159	Prbi.g_00138
OG0000227	Pray.g_00158	Prbi.g_00139
OG0000228	Pray.g_00157	Prbi.g_00140
OG0000229	Pray.g_00156	Prbi.g_00141
OG0000230	Pray.g_00155	Prbi.g_00142
OG0000231	Pray.g_00153	Prbi.g_00144
OG0000232	Pray.g_00152	Prbi.g_00145
OG0000233	Pray.g_00149	Prbi.g_00148
OG0000234	Pray.g_00147	Prbi.g_00150
OG0000235	Pray.g_00144	Prbi.g_00169
OG0000236	Pray.g_00143	Prbi.g_00170
OG0000237	Pray.g_00142	Prbi.g_00171
OG0000238	Pray.g_00141	Prbi.g_00172
OG0000239	Pray.g_00140	Prbi.g_00173
OG0000240	Pray.g_00138	Prbi.g_00175
OG0000241	Pray.g_00137	Prbi.g_00176
OG0000242	Pray.g_00136	Prbi.g_00177
OG0000243	Pray.g_00635	Prbi.g_00178
OG0000244	Pray.g_00636	Prbi.g_00179
OG0000245	Pray.g_00637	Prbi.g_00180
OG0000246	Pray.g_00639	Prbi.g_00182
OG0000247	Pray.g_00640	Prbi.g_00183
OG0000248	Pray.g_00641	Prbi.g_00184
OG0000249	Pray.g_00642	Prbi.g_00185
OG0000250	Pray.g_00643	Prbi.g_00186
OG0000251	Pray.g_00644	Prbi.g_00187
OG0000252	Pray.g_00645	Prbi.g_00188
OG0000253	Pray.g_00646	Prbi.g_00189
OG0000254	Pray.g_00648	Prbi.g_00191
OG0000255	Pray.g_00649	Prbi.g_00192
OG0000256	Pray.g_00652	Prbi.g_00195
OG0000257	Pray.g_00654	Prbi.g_00197
OG0000258	Pray.g_00655	Prbi.g_00198
OG0000259	Pray.g_00656	Prbi.g_00199
OG0000260	Pray.g_00657	Prbi.g_00200
OG0000261	Pray.g_00658	Prbi.g_00201
OG0000262	Pray.g_00659	Prbi.g_00202
OG0000263	Pray.g_00660	Prbi.g_00203
OG0000264	Pray.g_00662	Prbi.g_00205
OG0000265	Pray.g_00663	Prbi.g_00206
OG0000266	Pray.g_00664	Prbi.g_00207
OG0000267	Pray.g_00666	Prbi.g_00209
OG0000268	Pray.g_00667	Prbi.g_00210
OG0000269	Pray.g_00668	Prbi.g_00211
OG0000270	Pray.g_00669	Prbi.g_00212
OG0000271	Pray.g_00670	Prbi.g_00213
OG0000272	Pray.g_00671	Prbi.g_00214
OG0000273	Pray.g_00672	Prbi.g_00215
OG0000274	Pray.g_00673	Prbi.g_00216
OG0000275	Pray.g_00674	Prbi.g_00217
OG0000276	Pray.g_00675	Prbi.g_00218
OG0000277	Pray.g_00676	Prbi.g_00219
OG0000278	Pray.g_00677	Prbi.g_00220
OG0000279	Pray.g_00678	Prbi.g_00221
OG0000280	Pray.g_00679	Prbi.g_00222
OG0000281	Pray.g_00681	Prbi.g_00224
OG0000282	Pray.g_00682	Prbi.g_00225
OG0000283	Pray.g_00685	Prbi.g_00228
OG0000284	Pray.g_00686	Prbi.g_00229
OG0000285	Pray.g_00687	Prbi.g_00230
OG0000286	Pray.g_00689	Prbi.g_00232
OG0000287	Pray.g_00690	Prbi.g_00233
OG0000288	Pray.g_00691	Prbi.g_00234
OG0000289	Pray.g_00692	Prbi.g_00235
OG0000290	Pray.g_00693	Prbi.g_00236
OG0000291	Pray.g_00694	Prbi.g_00237
OG0000292	Pray.g_00695	Prbi.g_00238
OG0000293	Pray.g_00696	Prbi.g_00239
OG0000294	Pray.g_00697	Prbi.g_00240
OG0000295	Pray.g_00698	Prbi.g_00241
OG0000296	Pray.g_00699	Prbi.g_00242
OG0000297	Pray.g_00700	Prbi.g_00243
OG0000298	Pray.g_00701	Prbi.g_00244
OG0000299	Pray.g_00702	Prbi.g_00245
OG0000300	Pray.g_00703	Prbi.g_00246
OG0000301	Pray.g_00704	Prbi.g_00247
OG0000302	Pray.g_00705	Prbi.g_00248
OG0000303	Pray.g_00706	Prbi.g_00249
OG0000304	Pray.g_00707	Prbi.g_00250
OG0000305	Pray.g_00708	Prbi.g_00251
OG0000306	Pray.g_00709	Prbi.g_00252
OG0000307	Pray.g_00710	Prbi.g_00253
OG0000308	Pray.g_00711	Prbi.g_00254
OG0000309	Pray.g_00712	Prbi.g_00255
OG0000310	Pray.g_00713	Prbi.g_00256
OG0000311	Pray.g_00714	Prbi.g_00257
OG0000312	Pray.g_00716	Prbi.g_00259
OG0000313	Pray.g_00717	Prbi.g_00260
OG0000314	Pray.g_00720	Prbi.g_00263
OG0000315	Pray.g_00721	Prbi.g_00264
OG0000316	Pray.g_00723	Prbi.g_00266
OG0000317	Pray.g_00725	Prbi.g_00268
OG0000318	Pray.g_00726	Prbi.g_00269
OG0000319	Pray.g_00727	Prbi.g_00270
OG0000320	Pray.g_00728	Prbi.g_00271
OG0000321	Pray.g_00731	Prbi.g_00274
OG0000322	Pray.g_00734	Prbi.g_00277
OG0000323	Pray.g_00735	Prbi.g_00278
OG0000324	Pray.g_00738	Prbi.g_00281
OG0000325	Pray.g_00739	Prbi.g_00283
OG0000326	Pray.g_00740	Prbi.g_00284
OG0000327	Pray.g_00742	Prbi.g_00286
OG0000328	Pray.g_00743	Prbi.g_00287
OG0000329	Pray.g_00744	Prbi.g_00288
OG0000330	Pray.g_00745	Prbi.g_00289
OG0000331	Pray.g_00746	Prbi.g_00290
OG0000332	Pray.g_00747	Prbi.g_00291
OG0000333	Pray.g_00748	Prbi.g_00292
OG0000334	Pray.g_00749	Prbi.g_00293
OG0000335	Pray.g_00750	Prbi.g_00294
OG0000336	Pray.g_00751	Prbi.g_00295
OG0000337	Pray.g_00754	Prbi.g_00299
OG0000338	Pray.g_00755	Prbi.g_00300
OG0000339	Pray.g_00756	Prbi.g_00301
OG0000340	Pray.g_00757	Prbi.g_00302
OG0000341	Pray.g_00761	Prbi.g_00306
OG0000342	Pray.g_00762	Prbi.g_00307
OG0000343	Pray.g_00764	Prbi.g_00309
OG0000344	Pray.g_00765	Prbi.g_00310
OG0000345	Pray.g_00766	Prbi.g_00311
OG0000346	Pray.g_00767	Prbi.g_00312
OG0000347	Pray.g_00768	Prbi.g_00313
OG0000348	Pray.g_00769	Prbi.g_00314
OG0000349	Pray.g_00770	Prbi.g_00315
OG0000350	Pray.g_00771	Prbi.g_00316
OG0000351	Pray.g_00773	Prbi.g_00319
OG0000352	Pray.g_00776	Prbi.g_00322
OG0000353	Pray.g_00777	Prbi.g_00323
OG0000354	Pray.g_00778	Prbi.g_00324
OG0000355	Pray.g_00779	Prbi.g_00325
OG0000356	Pray.g_00780	Prbi.g_00326
OG0000357	Pray.g_00781	Prbi.g_00327
OG0000358	Pray.g_00782	Prbi.g_00328
OG0000359	Pray.g_00783	Prbi.g_00329
OG0000360	Pray.g_00786	Prbi.g_00332
OG0000361	Pray.g_00787	Prbi.g_00333
OG0000362	Pray.g_00788	Prbi.g_00334
OG0000363	Pray.g_00789	Prbi.g_00335
OG0000364	Pray.g_00790	Prbi.g_00336
OG0000365	Pray.g_00791	Prbi.g_00337
OG0000366	Pray.g_00792	Prbi.g_00338
OG0000367	Pray.g_00793	Prbi.g_00339
OG0000368	Pray.g_00794	Prbi.g_00340
OG0000369	Pray.g_00795	Prbi.g_00341
OG0000370	Pray.g_00796	Prbi.g_00342
OG0000371	Pray.g_00797	Prbi.g_00343
OG0000372	Pray.g_00799	Prbi.g_00345
OG0000373	Pray.g_00801	Prbi.g_00347
OG0000374	Pray.g_00802	Prbi.g_00348
OG0000375	Pray.g_00803	Prbi.g_00349
OG0000376	Pray.g_00805	Prbi.g_00351
OG0000377	Pray.g_00806	Prbi.g_00352
OG0000378	Pray.g_00807	Prbi.g_00353
OG0000379	Pray.g_00812	Prbi.g_00358
OG0000380	Pray.g_00813	Prbi.g_00359
OG0000381	Pray.g_00814	Prbi.g_00360
OG0000382	Pray.g_00816	Prbi.g_00362
OG0000383	Pray.g_00819	Prbi.g_00365
OG0000384	Pray.g_00820	Prbi.g_00366
OG0000385	Pray.g_00823	Prbi.g_00369
OG0000386	Pray.g_00824	Prbi.g_00370
OG0000387	Pray.g_00825	Prbi.g_00371
OG0000388	Pray.g_00826	Prbi.g_00372
OG0000389	Pray.g_00827	Prbi.g_00373
OG0000390	Pray.g_00828	Prbi.g_00374
OG0000391	Pray.g_00829	Prbi.g_00375
OG0000392	Pray.g_00830	Prbi.g_00376
OG0000393	Pray.g_00833	Prbi.g_00379
OG0000394	Pray.g_00834	Prbi.g_00380
OG0000395	Pray.g_00836	Prbi.g_00382
OG0000396	Pray.g_00837	Prbi.g_00383
OG0000397	Pray.g_00849	Prbi.g_00395
OG0000398	Pray.g_00857	Prbi.g_00403
OG0000399	Pray.g_00858	Prbi.g_00404
OG0000400	Pray.g_00864	Prbi.g_00409
OG0000401	Pray.g_00921	Prbi.g_00432
OG0000402	Pray.g_00922	Prbi.g_00433
OG0000403	Pray.g_00923	Prbi.g_00434
OG0000404	Pray.g_00925	Prbi.g_00436
OG0000405	Pray.g_00926	Prbi.g_00437
OG0000406	Pray.g_00928	Prbi.g_00439
OG0000407	Pray.g_00929	Prbi.g_00440
OG0000408	Pray.g_00930	Prbi.g_00441
OG0000409	Pray.g_00931	Prbi.g_00442
OG0000410	Pray.g_00932	Prbi.g_00443
OG0000411	Pray.g_00933	Prbi.g_00444
OG0000412	Pray.g_00934	Prbi.g_00445
OG0000413	Pray.g_00935	Prbi.g_00446
OG0000414	Pray.g_00936	Prbi.g_00447
OG0000415	Pray.g_00937	Prbi.g_00448
OG0000416	Pray.g_00938	Prbi.g_00449
OG0000417	Pray.g_00939	Prbi.g_00450
OG0000418	Pray.g_00940	Prbi.g_00451
OG0000419	Pray.g_00941	Prbi.g_00452
OG0000420	Pray.g_00942	Prbi.g_00453
OG0000421	Pray.g_00943	Prbi.g_00454
OG0000422	Pray.g_00945	Prbi.g_00456
OG0000423	Pray.g_00946	Prbi.g_00457
OG0000424	Pray.g_00948	Prbi.g_00459
OG0000425	Pray.g_00951	Prbi.g_00463
OG0000426	Pray.g_00952	Prbi.g_00464
OG0000427	Pray.g_00953	Prbi.g_00465
OG0000428	Pray.g_00954	Prbi.g_00466
OG0000429	Pray.g_00955	Prbi.g_00467
OG0000430	Pray.g_00961	Prbi.g_00474
OG0000431	Pray.g_00963	Prbi.g_00476
OG0000432	Pray.g_00964	Prbi.g_00477
OG0000433	Pray.g_00967	Prbi.g_00480
OG0000434	Pray.g_00968	Prbi.g_00481
OG0000435	Pray.g_00969	Prbi.g_00482
OG0000436	Pray.g_00971	Prbi.g_00484
OG0000437	Pray.g_00973	Prbi.g_00486
OG0000438	Pray.g_00974	Prbi.g_00487
OG0000439	Pray.g_00975	Prbi.g_00488
OG0000440	Pray.g_00977	Prbi.g_00490
OG0000441	Pray.g_00978	Prbi.g_00491
OG0000442	Pray.g_00979	Prbi.g_00492
OG0000443	Pray.g_00980	Prbi.g_00493
OG0000444	Pray.g_00981	Prbi.g_00494
OG0000445	Pray.g_00982	Prbi.g_00495
OG0000446	Pray.g_00983	Prbi.g_00496
OG0000447	Pray.g_00984	Prbi.g_00497
OG0000448	Pray.g_00985	Prbi.g_00498
OG0000449	Pray.g_00991	Prbi.g_00503
OG0000450	Pray.g_00992	Prbi.g_00504
OG0000451	Pray.g_00993	Prbi.g_00505
OG0000452	Pray.g_00994	Prbi.g_00506
OG0000453	Pray.g_00996	Prbi.g_00508
OG0000454	Pray.g_00997	Prbi.g_00509
OG0000455	Pray.g_00998	Prbi.g_00510
OG0000456	Pray.g_00999	Prbi.g_00511
OG0000457	Pray.g_01001	Prbi.g_00513
OG0000458	Pray.g_01003	Prbi.g_00515
OG0000459	Pray.g_01004	Prbi.g_00516
OG0000460	Pray.g_01006	Prbi.g_00518
OG0000461	Pray.g_01007	Prbi.g_00519
OG0000462	Pray.g_01008	Prbi.g_00520
OG0000463	Pray.g_01009	Prbi.g_00521
OG0000464	Pray.g_01014	Prbi.g_00526
OG0000465	Pray.g_01016	Prbi.g_00528
OG0000466	Pray.g_01017	Prbi.g_00529
OG0000467	Pray.g_01018	Prbi.g_00530
OG0000468	Pray.g_01019	Prbi.g_00531
OG0000469	Pray.g_01020	Prbi.g_00532
OG0000470	Pray.g_01021	Prbi.g_00533
OG0000471	Pray.g_01022	Prbi.g_00534
OG0000472	Pray.g_01227	Prbi.g_00537
OG0000473	Pray.g_01226	Prbi.g_00538
OG0000474	Pray.g_01225	Prbi.g_00539
OG0000475	Pray.g_01224	Prbi.g_00540
OG0000476	Pray.g_01223	Prbi.g_00541
OG0000477	Pray.g_01221	Prbi.g_00543
OG0000478	Pray.g_01220	Prbi.g_00544
OG0000479	Pray.g_01219	Prbi.g_00545
OG0000480	Pray.g_01217	Prbi.g_00547
OG0000481	Pray.g_01216	Prbi.g_00548
OG0000482	Pray.g_01215	Prbi.g_00549
OG0000483	Pray.g_01214	Prbi.g_00550
OG0000484	Pray.g_01213	Prbi.g_00551
OG0000485	Pray.g_01212	Prbi.g_00552
OG0000486	Pray.g_01211	Prbi.g_00553
OG0000487	Pray.g_01210	Prbi.g_00554
OG0000488	Pray.g_01208	Prbi.g_00556
OG0000489	Pray.g_01207	Prbi.g_00557
OG0000490	Pray.g_01206	Prbi.g_00558
OG0000491	Pray.g_01205	Prbi.g_00559
OG0000492	Pray.g_01204	Prbi.g_00560
OG0000493	Pray.g_01203	Prbi.g_00561
OG0000494	Pray.g_01201	Prbi.g_00563
OG0000495	Pray.g_01200	Prbi.g_00564
OG0000496	Pray.g_01199	Prbi.g_00565
OG0000497	Pray.g_01198	Prbi.g_00566
OG0000498	Pray.g_01197	Prbi.g_00567
OG0000499	Pray.g_01195	Prbi.g_00569
OG0000500	Pray.g_01194	Prbi.g_00570
OG0000501	Pray.g_01192	Prbi.g_00572
OG0000502	Pray.g_01191	Prbi.g_00573
OG0000503	Pray.g_01190	Prbi.g_00574
OG0000504	Pray.g_01189	Prbi.g_00575
OG0000505	Pray.g_01188	Prbi.g_00576
OG0000506	Pray.g_01187	Prbi.g_00577
OG0000507	Pray.g_01186	Prbi.g_00578
OG0000508	Pray.g_01184	Prbi.g_00580
OG0000509	Pray.g_01183	Prbi.g_00581
OG0000510	Pray.g_01182	Prbi.g_00582
OG0000511	Pray.g_01181	Prbi.g_00583
OG0000512	Pray.g_01180	Prbi.g_00584
OG0000513	Pray.g_01179	Prbi.g_00585
OG0000514	Pray.g_01178	Prbi.g_00586
OG0000515	Pray.g_01176	Prbi.g_00588
OG0000516	Pray.g_01175	Prbi.g_00589
OG0000517	Pray.g_01174	Prbi.g_00590
OG0000518	Pray.g_01172	Prbi.g_00593
OG0000519	Pray.g_01171	Prbi.g_00594
OG0000520	Pray.g_01170	Prbi.g_00595
OG0000521	Pray.g_01169	Prbi.g_00596
OG0000522	Pray.g_01168	Prbi.g_00597
OG0000523	Pray.g_01167	Prbi.g_00598
OG0000524	Pray.g_01166	Prbi.g_00599
OG0000525	Pray.g_01164	Prbi.g_00601
OG0000526	Pray.g_01163	Prbi.g_00602
OG0000527	Pray.g_01162	Prbi.g_00603
OG0000528	Pray.g_01161	Prbi.g_00604
OG0000529	Pray.g_01160	Prbi.g_00605
OG0000530	Pray.g_01159	Prbi.g_00606
OG0000531	Pray.g_01158	Prbi.g_00607
OG0000532	Pray.g_01157	Prbi.g_00608
OG0000533	Pray.g_01156	Prbi.g_00609
OG0000534	Pray.g_01155	Prbi.g_00610
OG0000535	Pray.g_01154	Prbi.g_00611
OG0000536	Pray.g_01153	Prbi.g_00612
OG0000537	Pray.g_01152	Prbi.g_00613
OG0000538	Pray.g_01151	Prbi.g_00614
OG0000539	Pray.g_01150	Prbi.g_00615
OG0000540	Pray.g_01149	Prbi.g_00616
OG0000541	Pray.g_01148	Prbi.g_00617
OG0000542	Pray.g_01147	Prbi.g_00618
OG0000543	Pray.g_01146	Prbi.g_00619
