Orthogroup	Syar	Prbc
OG0000237	Syar.g_01503	Prbc.g_01586
OG0000238	Syar.g_01508	Prbc.g_01592
OG0000239	Syar.g_03277, Syar.g_02687	Prbc.g_01604
OG0000240	Syar.g_03278, Syar.g_02686	Prbc.g_01605
OG0000241	Syar.g_02410	Prbc.g_01609
OG0000242	Syar.g_01926	Prbc.g_01611
OG0000243	Syar.g_02335	Prbc.g_01622
OG0000244	Syar.g_02327	Prbc.g_01626
OG0000245	Syar.g_02325, Syar.g_03238	Prbc.g_01628
OG0000246	Syar.g_02321	Prbc.g_01632
OG0000247	Syar.g_02310	Prbc.g_01642
OG0000248	Syar.g_02307, Syar.g_03293	Prbc.g_01644
OG0000249	Syar.g_02305	Prbc.g_01646
OG0000250	Syar.g_02299, Syar.g_03194	Prbc.g_01651
OG0000251	Syar.g_03207, Syar.g_02194	Prbc.g_01667
OG0000252	Syar.g_02189, Syar.g_03263	Prbc.g_01669
OG0000253	Syar.g_02028, Syar.g_03229	Prbc.g_01671
OG0000254	Syar.g_02169	Prbc.g_01688
OG0000255	Syar.g_00011, Syar.g_02224	Prbc.g_01694
OG0000256	Syar.g_02244	Prbc.g_01704
OG0000257	Syar.g_02407, Syar.g_01762	Prbc.g_01707
OG0000258	Syar.g_02427, Syar.g_00010	Prbc.g_01720
OG0000259	Syar.g_02472	Prbc.g_01737
OG0000260	Syar.g_03220, Syar.g_02475	Prbc.g_01740
OG0000261	Syar.g_01916	Prbc.g_01743
OG0000262	Syar.g_01690	Prbc.g_01748
OG0000263	Syar.g_01991	Prbc.g_01762
OG0000264	Syar.g_02135, Syar.g_03267	Prbc.g_01773
OG0000266	Syar.g_01570	Prbc.g_01797
OG0000267	Syar.g_01873	Prbc.g_01810
OG0000268	Syar.g_02589	Prbc.g_01811
OG0000269	Syar.g_02634	Prbc.g_01853
OG0000270	Syar.g_00744, Syar.g_02637	Prbc.g_01856
OG0000271	Syar.g_02645	Prbc.g_01864
OG0000272	Syar.g_02646	Prbc.g_01865
OG0000273	Syar.g_02481, Syar.g_00008	Prbc.g_01890
OG0000274	Syar.g_00009, Syar.g_02482	Prbc.g_01891
OG0000275	Syar.g_01810	Prbc.g_01893
OG0000276	Syar.g_01817	Prbc.g_01899
OG0000277	Syar.g_01818, Syar.g_03242	Prbc.g_01900
OG0000278	Syar.g_01821, Syar.g_03174	Prbc.g_01904
OG0000279	Syar.g_01838	Prbc.g_01911
OG0000280	Syar.g_02067, Syar.g_00734	Prbc.g_00068
OG0000281	Syar.g_02218	Prbc.g_01917
OG0000282	Syar.g_01614, Syar.g_03255	Prbc.g_01979
OG0000283	Syar.g_02574	Prbc.g_02010
OG0000284	Syar.g_03258, Syar.g_02568	Prbc.g_02015
OG0000285	Syar.g_02560	Prbc.g_02020
OG0000286	Syar.g_02540	Prbc.g_02035
OG0000287	Syar.g_02512	Prbc.g_02190
OG0000288	Syar.g_01801	Prbc.g_02082
OG0000289	Syar.g_03305, Syar.g_01786	Prbc.g_02094
OG0000290	Syar.g_01928	Prbc.g_02110
OG0000291	Syar.g_01930	Prbc.g_02112
OG0000292	Syar.g_00463	Prbc.g_00173
OG0000293	Syar.g_03297, Syar.g_01526	Prbc.g_01456
OG0000294	Syar.g_01527, Syar.g_03296	Prbc.g_01455
OG0000295	Syar.g_01951, Syar.g_03208	Prbc.g_01431
OG0000296	Syar.g_01953	Prbc.g_01429
OG0000297	Syar.g_01967, Syar.g_03216	Prbc.g_01421
OG0000298	Syar.g_01968, Syar.g_03215	Prbc.g_01420
OG0000299	Syar.g_01704	Prbc.g_01401
OG0000300	Syar.g_01646, Syar.g_01711	Prbc.g_01398
OG0000301	Syar.g_01712	Prbc.g_01397
OG0000302	Syar.g_01713	Prbc.g_01395
OG0000303	Syar.g_03136, Syar.g_01723	Prbc.g_01390
OG0000304	Syar.g_01728	Prbc.g_01387
OG0000305	Syar.g_01933, Syar.g_03163	Prbc.g_00810
OG0000306	Syar.g_01884, Syar.g_03140	Prbc.g_01921
OG0000307	Syar.g_01452, Syar.g_03153	Prbc.g_00666
OG0000308	Syar.g_01450	Prbc.g_00667
OG0000309	Syar.g_01239	Prbc.g_00671
OG0000310	Syar.g_02826	Prbc.g_00693
OG0000311	Syar.g_02823	Prbc.g_00695
OG0000312	Syar.g_00015, Syar.g_02818	Prbc.g_00698
OG0000313	Syar.g_02804	Prbc.g_00713
OG0000314	Syar.g_01403	Prbc.g_00734
OG0000315	Syar.g_01393	Prbc.g_00744
OG0000316	Syar.g_02885	Prbc.g_00768
OG0000317	Syar.g_02926	Prbc.g_00830
OG0000318	Syar.g_02930	Prbc.g_00833
OG0000319	Syar.g_02954	Prbc.g_00844
OG0000320	Syar.g_02956	Prbc.g_00846
OG0000321	Syar.g_02957	Prbc.g_00847
OG0000322	Syar.g_02958	Prbc.g_00848
OG0000323	Syar.g_02973	Prbc.g_00857
OG0000324	Syar.g_00350, Syar.g_03001	Prbc.g_00884
OG0000325	Syar.g_03291, Syar.g_00148	Prbc.g_00935
OG0000326	Syar.g_00139, Syar.g_03134	Prbc.g_00941
OG0000327	Syar.g_01029	Prbc.g_00326
OG0000328	Syar.g_01030	Prbc.g_00325
OG0000329	Syar.g_03189, Syar.g_01048	Prbc.g_00308
OG0000330	Syar.g_03190, Syar.g_01049	Prbc.g_00307
OG0000331	Syar.g_01050, Syar.g_03191	Prbc.g_00306
OG0000332	Syar.g_01064, Syar.g_03299	Prbc.g_00292
OG0000333	Syar.g_01067	Prbc.g_00290
OG0000334	Syar.g_01076	Prbc.g_00281
OG0000335	Syar.g_01080	Prbc.g_00276
OG0000336	Syar.g_01084	Prbc.g_00272
OG0000337	Syar.g_00285	Prbc.g_00241
OG0000338	Syar.g_03225, Syar.g_00287	Prbc.g_00240
OG0000339	Syar.g_00658	Prbc.g_00235
OG0000340	Syar.g_00247	Prbc.g_00226
OG0000341	Syar.g_00249	Prbc.g_00224
OG0000342	Syar.g_00250	Prbc.g_00223
OG0000343	Syar.g_00256	Prbc.g_00222
OG0000344	Syar.g_00260	Prbc.g_00219
OG0000345	Syar.g_00612	Prbc.g_00214
OG0000346	Syar.g_00607	Prbc.g_00210
OG0000347	Syar.g_00558	Prbc.g_00190
OG0000348	Syar.g_00544	Prbc.g_00970
OG0000349	Syar.g_00521	Prbc.g_00988
OG0000350	Syar.g_00132	Prbc.g_01009
OG0000351	Syar.g_00442	Prbc.g_01047
OG0000352	Syar.g_00443	Prbc.g_01048
OG0000353	Syar.g_00469	Prbc.g_01068
OG0000355	Syar.g_00471	Prbc.g_01071
OG0000356	Syar.g_00472	Prbc.g_01072
OG0000357	Syar.g_00473	Prbc.g_01073
OG0000358	Syar.g_00477	Prbc.g_01077
OG0000359	Syar.g_00479	Prbc.g_01078
OG0000360	Syar.g_00480	Prbc.g_01079
OG0000361	Syar.g_00481	Prbc.g_01080
OG0000362	Syar.g_00483	Prbc.g_01082
OG0000363	Syar.g_00484	Prbc.g_01084
OG0000364	Syar.g_02928	Prbc.g_01085
OG0000365	Syar.g_00493	Prbc.g_01090
OG0000366	Syar.g_00494	Prbc.g_01091
OG0000367	Syar.g_03262, Syar.g_00495	Prbc.g_01092
OG0000368	Syar.g_00497	Prbc.g_01094
OG0000369	Syar.g_00498	Prbc.g_01095
OG0000370	Syar.g_00499	Prbc.g_01096
OG0000371	Syar.g_00508	Prbc.g_01102
OG0000372	Syar.g_00514	Prbc.g_01104
OG0000373	Syar.g_00515	Prbc.g_01105
OG0000374	Syar.g_00516	Prbc.g_01106
OG0000375	Syar.g_00517	Prbc.g_01118
OG0000376	Syar.g_00519	Prbc.g_01120
OG0000377	Syar.g_00322	Prbc.g_01123
OG0000378	Syar.g_00905	Prbc.g_01125
OG0000379	Syar.g_00910	Prbc.g_01128
OG0000380	Syar.g_03039	Prbc.g_00507
OG0000381	Syar.g_03041	Prbc.g_00503
OG0000382	Syar.g_03057	Prbc.g_00492
OG0000383	Syar.g_03074	Prbc.g_00490
OG0000384	Syar.g_03075	Prbc.g_00489
OG0000385	Syar.g_03076	Prbc.g_00488
OG0000386	Syar.g_03077	Prbc.g_00487
OG0000387	Syar.g_03109	Prbc.g_00474
OG0000388	Syar.g_03148, Syar.g_03113	Prbc.g_00470
OG0000389	Syar.g_03118	Prbc.g_00467
OG0000390	Syar.g_00033	Prbc.g_00458
OG0000391	Syar.g_00038	Prbc.g_00454
OG0000392	Syar.g_00045	Prbc.g_00451
OG0000393	Syar.g_00048	Prbc.g_00448
OG0000394	Syar.g_00049	Prbc.g_00447
OG0000395	Syar.g_00050	Prbc.g_00446
OG0000396	Syar.g_00053	Prbc.g_00443
OG0000397	Syar.g_00055	Prbc.g_00441
OG0000398	Syar.g_00060	Prbc.g_00438
OG0000399	Syar.g_00061	Prbc.g_00437
OG0000400	Syar.g_00062	Prbc.g_00436
OG0000401	Syar.g_00063	Prbc.g_00435
OG0000402	Syar.g_00065	Prbc.g_02145
OG0000403	Syar.g_00066	Prbc.g_00434
OG0000404	Syar.g_00067	Prbc.g_00433
OG0000405	Syar.g_00076	Prbc.g_00428
OG0000406	Syar.g_00080	Prbc.g_00424
OG0000407	Syar.g_00081	Prbc.g_00423
OG0000408	Syar.g_00083	Prbc.g_00421
OG0000409	Syar.g_00085	Prbc.g_00419
OG0000410	Syar.g_00086	Prbc.g_00418
OG0000411	Syar.g_00087	Prbc.g_00417
OG0000412	Syar.g_00088	Prbc.g_00416
OG0000413	Syar.g_00090	Prbc.g_00415
OG0000414	Syar.g_00091, Syar.g_03179	Prbc.g_00414
OG0000415	Syar.g_00092	Prbc.g_00413
OG0000416	Syar.g_00093	Prbc.g_00412
OG0000417	Syar.g_00095	Prbc.g_00411
OG0000418	Syar.g_00100	Prbc.g_00406
OG0000419	Syar.g_00102	Prbc.g_00404
OG0000420	Syar.g_00104	Prbc.g_00403
OG0000421	Syar.g_00109	Prbc.g_00399
OG0000422	Syar.g_00110	Prbc.g_00398
OG0000423	Syar.g_00111	Prbc.g_00397
OG0000424	Syar.g_00112	Prbc.g_00396
OG0000425	Syar.g_00113	Prbc.g_00395
OG0000426	Syar.g_00114	Prbc.g_00394
OG0000427	Syar.g_00115	Prbc.g_00393
OG0000428	Syar.g_00118	Prbc.g_00391
OG0000429	Syar.g_00121	Prbc.g_00390
OG0000430	Syar.g_00123	Prbc.g_00389
OG0000431	Syar.g_00127	Prbc.g_00387
OG0000432	Syar.g_01009	Prbc.g_00383
OG0000433	Syar.g_01007	Prbc.g_00382
OG0000434	Syar.g_01006	Prbc.g_00381
OG0000435	Syar.g_01003	Prbc.g_00380
OG0000436	Syar.g_00994	Prbc.g_00375
OG0000437	Syar.g_00993	Prbc.g_00374
OG0000438	Syar.g_00992	Prbc.g_00373
OG0000439	Syar.g_00990	Prbc.g_00371
OG0000440	Syar.g_00989	Prbc.g_00370
OG0000441	Syar.g_00986	Prbc.g_00368
OG0000442	Syar.g_00977	Prbc.g_00367
OG0000443	Syar.g_00964	Prbc.g_00366
OG0000444	Syar.g_00954	Prbc.g_00361
OG0000445	Syar.g_00953	Prbc.g_00360
OG0000446	Syar.g_00951	Prbc.g_00358
OG0000447	Syar.g_00948	Prbc.g_00357
OG0000448	Syar.g_00947	Prbc.g_00356
OG0000449	Syar.g_00946	Prbc.g_00355
OG0000450	Syar.g_00939	Prbc.g_00354
OG0000451	Syar.g_00938	Prbc.g_00353
OG0000452	Syar.g_00934	Prbc.g_00350
OG0000453	Syar.g_00933	Prbc.g_00349
OG0000454	Syar.g_00932	Prbc.g_00348
OG0000455	Syar.g_00931	Prbc.g_00347
OG0000456	Syar.g_00930	Prbc.g_00346
OG0000457	Syar.g_00928	Prbc.g_00345
OG0000458	Syar.g_00918	Prbc.g_00344
OG0000459	Syar.g_00917	Prbc.g_00343
OG0000460	Syar.g_03024	Prbc.g_00335
OG0000461	Syar.g_00153	Prbc.g_01140
OG0000462	Syar.g_00155	Prbc.g_01142
OG0000463	Syar.g_00156	Prbc.g_01143
OG0000464	Syar.g_00157	Prbc.g_01144
OG0000465	Syar.g_00159	Prbc.g_01145
OG0000466	Syar.g_00164	Prbc.g_01146
OG0000467	Syar.g_00165	Prbc.g_01147
OG0000468	Syar.g_00170	Prbc.g_01149
OG0000469	Syar.g_00203	Prbc.g_01156
OG0000470	Syar.g_00206	Prbc.g_01158
OG0000471	Syar.g_00207	Prbc.g_01159
OG0000472	Syar.g_00208	Prbc.g_01160
OG0000473	Syar.g_00210	Prbc.g_01162
OG0000474	Syar.g_00211	Prbc.g_01163
OG0000475	Syar.g_00212	Prbc.g_01164
OG0000476	Syar.g_00214	Prbc.g_01166
OG0000477	Syar.g_00219	Prbc.g_01168
OG0000478	Syar.g_00220	Prbc.g_01169
OG0000479	Syar.g_00221	Prbc.g_01170
OG0000480	Syar.g_00228	Prbc.g_01175
OG0000481	Syar.g_00230	Prbc.g_01177
OG0000482	Syar.g_00231	Prbc.g_01178
OG0000483	Syar.g_00235	Prbc.g_01181
OG0000484	Syar.g_00236	Prbc.g_01182
OG0000485	Syar.g_00237	Prbc.g_01183
OG0000486	Syar.g_00024, Syar.g_00238	Prbc.g_01184
OG0000487	Syar.g_00245	Prbc.g_01187
OG0000488	Syar.g_00853	Prbc.g_01190
OG0000489	Syar.g_00833	Prbc.g_01195
OG0000490	Syar.g_00823	Prbc.g_01200
OG0000491	Syar.g_00822	Prbc.g_01201
OG0000492	Syar.g_00727	Prbc.g_01203
OG0000493	Syar.g_00726	Prbc.g_01204
OG0000494	Syar.g_00725	Prbc.g_01205
OG0000495	Syar.g_00724	Prbc.g_01206
OG0000496	Syar.g_00723	Prbc.g_01207
OG0000497	Syar.g_00722	Prbc.g_01208
OG0000498	Syar.g_00721	Prbc.g_01209
OG0000499	Syar.g_00720	Prbc.g_01210
OG0000500	Syar.g_00719	Prbc.g_01211
OG0000501	Syar.g_00716	Prbc.g_01213
OG0000502	Syar.g_00275	Prbc.g_01216
OG0000503	Syar.g_01118	Prbc.g_01246
OG0000504	Syar.g_01120	Prbc.g_01248
OG0000505	Syar.g_01121	Prbc.g_01249
OG0000506	Syar.g_01123	Prbc.g_01250
OG0000507	Syar.g_01129	Prbc.g_01253
OG0000508	Syar.g_01141	Prbc.g_01256
OG0000509	Syar.g_01143	Prbc.g_01258
OG0000510	Syar.g_01144	Prbc.g_01259
OG0000511	Syar.g_01145	Prbc.g_01260
OG0000512	Syar.g_01147	Prbc.g_01262
OG0000513	Syar.g_01166	Prbc.g_01271
OG0000514	Syar.g_01169	Prbc.g_01492
OG0000515	Syar.g_01170	Prbc.g_01493
OG0000516	Syar.g_01172	Prbc.g_01494
OG0000517	Syar.g_01176	Prbc.g_01496
OG0000518	Syar.g_02868	Prbc.g_01507
OG0000519	Syar.g_02867	Prbc.g_01508
OG0000520	Syar.g_02866	Prbc.g_01509
OG0000521	Syar.g_01419	Prbc.g_01514
OG0000522	Syar.g_01421	Prbc.g_01516
OG0000523	Syar.g_01422	Prbc.g_01517
OG0000524	Syar.g_01244	Prbc.g_01524
OG0000525	Syar.g_01263	Prbc.g_01528
OG0000526	Syar.g_01266	Prbc.g_01529
OG0000527	Syar.g_01271	Prbc.g_01532
OG0000528	Syar.g_01466	Prbc.g_01538
OG0000529	Syar.g_01470	Prbc.g_01541
OG0000530	Syar.g_01473	Prbc.g_01544
OG0000531	Syar.g_01474	Prbc.g_01545
