Orthogroup	Syar	Praj
OG0000061	Syar.g_01539	Praj.g_01461
OG0000062	Syar.g_02911	Praj.g_01714
OG0000063	Syar.g_00509	Praj.g_01867
OG0000065	Syar.g_03119	Praj.g_00145
OG0000066	Syar.g_03187, Syar.g_02228	Praj.g_00530
OG0000067	Syar.g_02639	Praj.g_00769
OG0000068	Syar.g_02329, Syar.g_01461	Praj.g_01575
OG0000069	Syar.g_01716	Praj.g_01276, Praj.g_01675
OG0000070	Syar.g_02223, Syar.g_03150	Praj.g_00444
OG0000071	Syar.g_02777	Praj.g_01528
OG0000072	Syar.g_00107, Syar.g_01140	Praj.g_00211
OG0000073	Syar.g_01493	Praj.g_00491
OG0000075	Syar.g_03065, Syar.g_00659	Praj.g_01987
OG0000076	Syar.g_00608	Praj.g_02012
OG0000077	Syar.g_03051	Praj.g_00116
OG0000078	Syar.g_03265, Syar.g_03018, Syar.g_01366	Praj.g_00280
OG0000079	Syar.g_00166	Praj.g_00291
OG0000081	Syar.g_01898	Praj.g_00522
OG0000082	Syar.g_02202	Praj.g_01827
OG0000085	Syar.g_02919	Praj.g_01762
OG0000086	Syar.g_03085	Praj.g_00126
OG0000087	Syar.g_03192, Syar.g_00068	Praj.g_00179
OG0000088	Syar.g_00101	Praj.g_00206
OG0000089	Syar.g_01162	Praj.g_00403
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Praj.g_00524
OG0000091	Syar.g_01891, Syar.g_02426	Praj.g_00630
OG0000092	Syar.g_01960	Praj.g_00892
OG0000093	Syar.g_02623	Praj.g_00754
OG0000094	Syar.g_01789	Praj.g_00846
OG0000095	Syar.g_01932	Praj.g_01024
OG0000097	Syar.g_01706, Syar.g_00364	Praj.g_01416
OG0000098	Syar.g_02343	Praj.g_01546
OG0000099	Syar.g_00715	Praj.g_00372
OG0000100	Syar.g_02477	Praj.g_01709
OG0000101	Syar.g_01073, Syar.g_03154	Praj.g_01952
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Praj.g_02017
OG0000103	Syar.g_00014, Syar.g_00452	Praj.g_02135
OG0000104	Syar.g_00466	Praj.g_02145
OG0000105	Syar.g_00218	Praj.g_00310
OG0000106	Syar.g_01748	Praj.g_01156, Praj.g_01282
OG0000107	Syar.g_03290, Syar.g_00149	Praj.g_01869
OG0000108	Syar.g_01469	Praj.g_00473
OG0000109	Syar.g_03310, Syar.g_01485	Praj.g_00486
OG0000110	Syar.g_02295	Praj.g_00565
OG0000111	Syar.g_01940, Syar.g_00005	Praj.g_00692
OG0000112	Syar.g_03195, Syar.g_02548	Praj.g_00938
OG0000113	Syar.g_02664	Praj.g_00793, Praj.g_01176
OG0000114	Syar.g_01616	Praj.g_00887
OG0000115	Syar.g_02854, Syar.g_01415	Praj.g_01725
OG0000116	Syar.g_01525, Syar.g_02255	Praj.g_01471
OG0000117	Syar.g_01969	Praj.g_01355
OG0000118	Syar.g_02793	Praj.g_01540
OG0000120	Syar.g_00713	Praj.g_00664
OG0000121	Syar.g_02806	Praj.g_01634
OG0000123	Syar.g_01079	Praj.g_01959
OG0000124	Syar.g_00586	Praj.g_02031
OG0000125	Syar.g_00338	Praj.g_02091
OG0000126	Syar.g_00887, Syar.g_00888	Praj.g_02144
OG0000128	Syar.g_00482	Praj.g_00011
OG0000129	Syar.g_00324	Praj.g_00048
OG0000130	Syar.g_03040	Praj.g_00107
OG0000131	Syar.g_02216, Syar.g_00078	Praj.g_00185
OG0000132	Syar.g_00099	Praj.g_00204
OG0000133	Syar.g_02543	Praj.g_00357
OG0000134	Syar.g_02009, Syar.g_01165	Praj.g_00405
OG0000135	Syar.g_00698	Praj.g_01279
OG0000136	Syar.g_02874	Praj.g_00435
OG0000137	Syar.g_01273	Praj.g_00467
OG0000138	Syar.g_01486	Praj.g_00487
OG0000139	Syar.g_03245, Syar.g_02348	Praj.g_00528
OG0000140	Syar.g_02344, Syar.g_03246	Praj.g_00529
OG0000141	Syar.g_02129	Praj.g_00595
OG0000142	Syar.g_02418	Praj.g_00623
OG0000143	Syar.g_02422	Praj.g_00627
OG0000144	Syar.g_02441	Praj.g_00640
OG0000145	Syar.g_01494, Syar.g_03205	Praj.g_01054
OG0000146	Syar.g_02549	Praj.g_00937
OG0000147	Syar.g_02550	Praj.g_00936
OG0000148	Syar.g_02658	Praj.g_00787
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Praj.g_00819
OG0000150	Syar.g_02130	Praj.g_00828
OG0000151	Syar.g_02038	Praj.g_00898
OG0000152	Syar.g_02539	Praj.g_01601, Praj.g_00946
OG0000153	Syar.g_03283, Syar.g_02503	Praj.g_00965
OG0000154	Syar.g_01800	Praj.g_00995
OG0000155	Syar.g_01959	Praj.g_01440
OG0000156	Syar.g_01517	Praj.g_01517
OG0000157	Syar.g_01516	Praj.g_01518
OG0000158	Syar.g_00650	Praj.g_01995
OG0000160	Syar.g_02807	Praj.g_01633
OG0000161	Syar.g_02801	Praj.g_01639
OG0000162	Syar.g_02863	Praj.g_01645
OG0000163	Syar.g_00639, Syar.g_01186	Praj.g_01681
OG0000164	Syar.g_03168, Syar.g_02969	Praj.g_01790
OG0000165	Syar.g_02976	Praj.g_01798
OG0000166	Syar.g_01034	Praj.g_01915
OG0000167	Syar.g_00662	Praj.g_01985
OG0000168	Syar.g_00246	Praj.g_01996
OG0000169	Syar.g_00262	Praj.g_02006
OG0000170	Syar.g_00613	Praj.g_02008
OG0000171	Syar.g_00587	Praj.g_02030
OG0000172	Syar.g_00547	Praj.g_02061
OG0000173	Syar.g_00528	Praj.g_02076
OG0000174	Syar.g_00701	Praj.g_02107
OG0000175	Syar.g_00438	Praj.g_02125
OG0000176	Syar.g_00474	Praj.g_00004
OG0000177	Syar.g_00475	Praj.g_00005
OG0000178	Syar.g_00476	Praj.g_00006
OG0000179	Syar.g_00489	Praj.g_00016
OG0000180	Syar.g_00490	Praj.g_00017
OG0000181	Syar.g_00491	Praj.g_00018
OG0000182	Syar.g_00492	Praj.g_00019
OG0000183	Syar.g_00496	Praj.g_00023
OG0000184	Syar.g_00897	Praj.g_00050
OG0000185	Syar.g_00909	Praj.g_00053
OG0000186	Syar.g_03036	Praj.g_00102
OG0000187	Syar.g_03038	Praj.g_00103
OG0000188	Syar.g_03058	Praj.g_00120
OG0000189	Syar.g_03104	Praj.g_00134
OG0000190	Syar.g_03107, Syar.g_02374	Praj.g_00135
OG0000191	Syar.g_00039	Praj.g_00158
OG0000192	Syar.g_00046	Praj.g_00162
OG0000193	Syar.g_00079	Praj.g_00186
OG0000194	Syar.g_03236, Syar.g_00082	Praj.g_00189
OG0000195	Syar.g_00023, Syar.g_00084	Praj.g_00191
OG0000196	Syar.g_00096	Praj.g_00201
OG0000197	Syar.g_00097	Praj.g_00202
OG0000198	Syar.g_00098	Praj.g_00203
OG0000199	Syar.g_00106	Praj.g_00210
OG0000200	Syar.g_00124	Praj.g_00223
OG0000201	Syar.g_01000	Praj.g_00232
OG0000202	Syar.g_00998, Syar.g_00021	Praj.g_00233
OG0000203	Syar.g_00020, Syar.g_00997	Praj.g_00234
OG0000204	Syar.g_00996	Praj.g_00235
OG0000205	Syar.g_00988	Praj.g_00242
OG0000206	Syar.g_00963	Praj.g_00246
OG0000207	Syar.g_00957	Praj.g_00248
OG0000208	Syar.g_00956	Praj.g_00249
OG0000209	Syar.g_00936, Syar.g_03261	Praj.g_00258
OG0000210	Syar.g_00935, Syar.g_03260	Praj.g_00259
OG0000211	Syar.g_03026	Praj.g_00273
OG0000212	Syar.g_03017	Praj.g_00281
OG0000213	Syar.g_00187	Praj.g_00296
OG0000214	Syar.g_00209	Praj.g_00304
OG0000215	Syar.g_00239	Praj.g_00328
OG0000216	Syar.g_00244	Praj.g_00329
OG0000217	Syar.g_00854	Praj.g_00332
OG0000218	Syar.g_00852	Praj.g_00334
OG0000219	Syar.g_00851	Praj.g_00335
OG0000220	Syar.g_00850, Syar.g_02026	Praj.g_00336
OG0000221	Syar.g_00834	Praj.g_00337
OG0000222	Syar.g_02119, Syar.g_00728	Praj.g_00345
OG0000223	Syar.g_00649	Praj.g_00358
OG0000224	Syar.g_00762, Syar.g_00273	Praj.g_00360
OG0000225	Syar.g_01142	Praj.g_00391
OG0000226	Syar.g_01146	Praj.g_00395
OG0000227	Syar.g_01148	Praj.g_00397
OG0000228	Syar.g_01161	Praj.g_00402
OG0000229	Syar.g_01177, Syar.g_03273	Praj.g_00430
OG0000230	Syar.g_01179, Syar.g_03275	Praj.g_00432
OG0000231	Syar.g_02865, Syar.g_03151	Praj.g_00443
OG0000232	Syar.g_01424	Praj.g_00451
OG0000233	Syar.g_03183, Syar.g_01247	Praj.g_00459
OG0000234	Syar.g_01275	Praj.g_00468
OG0000235	Syar.g_01468	Praj.g_00472
OG0000236	Syar.g_03311, Syar.g_01484	Praj.g_00485
OG0000237	Syar.g_01503	Praj.g_00498
OG0000238	Syar.g_01508	Praj.g_00504
OG0000239	Syar.g_03277, Syar.g_02687	Praj.g_00516
OG0000240	Syar.g_03278, Syar.g_02686	Praj.g_00517
OG0000241	Syar.g_02410	Praj.g_00521
OG0000242	Syar.g_01926	Praj.g_00523
OG0000243	Syar.g_02335	Praj.g_00534
OG0000244	Syar.g_02327	Praj.g_00537
OG0000245	Syar.g_02325, Syar.g_03238	Praj.g_00539
OG0000246	Syar.g_02321	Praj.g_00543
OG0000247	Syar.g_02310	Praj.g_00553
OG0000248	Syar.g_02307, Syar.g_03293	Praj.g_00555
OG0000249	Syar.g_02305	Praj.g_00557
OG0000250	Syar.g_02299, Syar.g_03194	Praj.g_00562
OG0000251	Syar.g_03207, Syar.g_02194	Praj.g_00578
OG0000252	Syar.g_02189, Syar.g_03263	Praj.g_00580
OG0000253	Syar.g_02028, Syar.g_03229	Praj.g_00582
OG0000254	Syar.g_02169	Praj.g_00599
OG0000255	Syar.g_00011, Syar.g_02224	Praj.g_00605
OG0000256	Syar.g_02244	Praj.g_00615
OG0000257	Syar.g_02407, Syar.g_01762	Praj.g_00618
OG0000258	Syar.g_02427, Syar.g_00010	Praj.g_00631
OG0000259	Syar.g_02472	Praj.g_00648
OG0000260	Syar.g_03220, Syar.g_02475	Praj.g_00651
OG0000261	Syar.g_01916	Praj.g_00654
OG0000262	Syar.g_01690	Praj.g_00659
OG0000263	Syar.g_01991	Praj.g_00673
OG0000264	Syar.g_02135, Syar.g_03267	Praj.g_00684
OG0000266	Syar.g_01570	Praj.g_00708
OG0000267	Syar.g_01873	Praj.g_00721
OG0000268	Syar.g_02589	Praj.g_00722
OG0000269	Syar.g_02634	Praj.g_00764
OG0000270	Syar.g_00744, Syar.g_02637	Praj.g_00767
OG0000271	Syar.g_02645	Praj.g_00775
OG0000272	Syar.g_02646	Praj.g_00776
OG0000273	Syar.g_02481, Syar.g_00008	Praj.g_00801
OG0000274	Syar.g_00009, Syar.g_02482	Praj.g_00802
OG0000275	Syar.g_01810	Praj.g_00804
OG0000276	Syar.g_01817	Praj.g_00810
OG0000277	Syar.g_01818, Syar.g_03242	Praj.g_00811
OG0000278	Syar.g_01821, Syar.g_03174	Praj.g_00815
OG0000279	Syar.g_01838	Praj.g_00822
OG0000280	Syar.g_02067, Syar.g_00734	Praj.g_01326
OG0000281	Syar.g_02218	Praj.g_00829
OG0000282	Syar.g_01614, Syar.g_03255	Praj.g_00889
OG0000283	Syar.g_02574	Praj.g_00920
OG0000284	Syar.g_03258, Syar.g_02568	Praj.g_00925
OG0000285	Syar.g_02560	Praj.g_00930
OG0000286	Syar.g_02540	Praj.g_00945
OG0000287	Syar.g_02512	Praj.g_00085
OG0000288	Syar.g_01801	Praj.g_00994
OG0000289	Syar.g_03305, Syar.g_01786	Praj.g_01005
OG0000290	Syar.g_01928	Praj.g_01021
OG0000291	Syar.g_01930	Praj.g_01023
OG0000292	Syar.g_00463	Praj.g_01196
OG0000293	Syar.g_03297, Syar.g_01526	Praj.g_01470
OG0000294	Syar.g_01527, Syar.g_03296	Praj.g_01469
OG0000295	Syar.g_01951, Syar.g_03208	Praj.g_01447
OG0000296	Syar.g_01953	Praj.g_01445
OG0000297	Syar.g_01967, Syar.g_03216	Praj.g_01437
OG0000298	Syar.g_01968, Syar.g_03215	Praj.g_01436
OG0000299	Syar.g_01704	Praj.g_01417
OG0000300	Syar.g_01646, Syar.g_01711	Praj.g_01414
OG0000301	Syar.g_01712	Praj.g_01413
OG0000302	Syar.g_01713	Praj.g_01410
OG0000303	Syar.g_03136, Syar.g_01723	Praj.g_01405
OG0000304	Syar.g_01728	Praj.g_01402
OG0000305	Syar.g_01933, Syar.g_03163	Praj.g_01734
OG0000306	Syar.g_01884, Syar.g_03140	Praj.g_00833
OG0000307	Syar.g_01452, Syar.g_03153	Praj.g_01584
OG0000308	Syar.g_01450	Praj.g_01585
OG0000309	Syar.g_01239	Praj.g_01589
OG0000310	Syar.g_02826	Praj.g_01616
OG0000311	Syar.g_02823	Praj.g_01618
OG0000312	Syar.g_00015, Syar.g_02818	Praj.g_01621
OG0000313	Syar.g_02804	Praj.g_01636
OG0000314	Syar.g_01403	Praj.g_01657
OG0000315	Syar.g_01393	Praj.g_01667
OG0000316	Syar.g_02885	Praj.g_01692
OG0000317	Syar.g_02926	Praj.g_01766
OG0000318	Syar.g_02930	Praj.g_01769
OG0000319	Syar.g_02954	Praj.g_01780
OG0000320	Syar.g_02956	Praj.g_01782
OG0000321	Syar.g_02957	Praj.g_01783
OG0000322	Syar.g_02958	Praj.g_01784
OG0000323	Syar.g_02973	Praj.g_01793
OG0000324	Syar.g_00350, Syar.g_03001	Praj.g_01820
OG0000325	Syar.g_03291, Syar.g_00148	Praj.g_01870
OG0000326	Syar.g_00139, Syar.g_03134	Praj.g_01876
OG0000327	Syar.g_01029	Praj.g_01910
OG0000328	Syar.g_01030	Praj.g_01911
OG0000329	Syar.g_03189, Syar.g_01048	Praj.g_01928
OG0000330	Syar.g_03190, Syar.g_01049	Praj.g_01929
OG0000331	Syar.g_01050, Syar.g_03191	Praj.g_01930
OG0000332	Syar.g_01064, Syar.g_03299	Praj.g_01944
OG0000333	Syar.g_01067	Praj.g_01946
OG0000334	Syar.g_01076	Praj.g_01955
OG0000335	Syar.g_01080	Praj.g_01960
OG0000336	Syar.g_01084	Praj.g_01964
OG0000337	Syar.g_00285	Praj.g_01982
OG0000338	Syar.g_03225, Syar.g_00287	Praj.g_01983
OG0000339	Syar.g_00658	Praj.g_01988
OG0000340	Syar.g_00247	Praj.g_01997
OG0000341	Syar.g_00249	Praj.g_01999
OG0000342	Syar.g_00250	Praj.g_02000
OG0000343	Syar.g_00256	Praj.g_02001
OG0000344	Syar.g_00260	Praj.g_02004
OG0000345	Syar.g_00612	Praj.g_02009
OG0000346	Syar.g_00607	Praj.g_02013
OG0000347	Syar.g_00558	Praj.g_02034
OG0000348	Syar.g_00544	Praj.g_02064
OG0000349	Syar.g_00521	Praj.g_02082
OG0000350	Syar.g_00132	Praj.g_02103
OG0000351	Syar.g_00442	Praj.g_02128
OG0000352	Syar.g_00443	Praj.g_02129
OG0000353	Syar.g_00469	Praj.g_02148
OG0000355	Syar.g_00471	Praj.g_00001
OG0000356	Syar.g_00472	Praj.g_00002
OG0000357	Syar.g_00473	Praj.g_00003
OG0000358	Syar.g_00477	Praj.g_00007
OG0000359	Syar.g_00479	Praj.g_00008
OG0000360	Syar.g_00480	Praj.g_00009
OG0000361	Syar.g_00481	Praj.g_00010
OG0000362	Syar.g_00483	Praj.g_00012
OG0000363	Syar.g_00484	Praj.g_00014
OG0000364	Syar.g_02928	Praj.g_00015
OG0000365	Syar.g_00493	Praj.g_00020
OG0000366	Syar.g_00494	Praj.g_00021
OG0000367	Syar.g_03262, Syar.g_00495	Praj.g_00022
OG0000368	Syar.g_00497	Praj.g_00024
OG0000369	Syar.g_00498	Praj.g_00025
OG0000370	Syar.g_00499	Praj.g_00026
OG0000371	Syar.g_00508	Praj.g_00032
OG0000372	Syar.g_00514	Praj.g_00034
OG0000373	Syar.g_00515	Praj.g_00035
OG0000374	Syar.g_00516	Praj.g_00036
OG0000375	Syar.g_00517	Praj.g_00044
OG0000376	Syar.g_00519	Praj.g_00046
OG0000377	Syar.g_00322	Praj.g_00049
OG0000378	Syar.g_00905	Praj.g_00051
OG0000379	Syar.g_00910	Praj.g_00054
OG0000380	Syar.g_03039	Praj.g_00104
OG0000381	Syar.g_03041	Praj.g_00108
OG0000382	Syar.g_03057	Praj.g_00119
OG0000383	Syar.g_03074	Praj.g_00121
OG0000384	Syar.g_03075	Praj.g_00122
OG0000385	Syar.g_03076	Praj.g_00123
OG0000386	Syar.g_03077	Praj.g_00124
OG0000387	Syar.g_03109	Praj.g_00137
OG0000388	Syar.g_03148, Syar.g_03113	Praj.g_00141
OG0000389	Syar.g_03118	Praj.g_00144
OG0000390	Syar.g_00033	Praj.g_00153
OG0000391	Syar.g_00038	Praj.g_00157
OG0000392	Syar.g_00045	Praj.g_00160
OG0000393	Syar.g_00048	Praj.g_00163
OG0000394	Syar.g_00049	Praj.g_00164
OG0000395	Syar.g_00050	Praj.g_00165
OG0000396	Syar.g_00053	Praj.g_00168
OG0000397	Syar.g_00055	Praj.g_00170
OG0000398	Syar.g_00060	Praj.g_00173
OG0000399	Syar.g_00061	Praj.g_00174
OG0000400	Syar.g_00062	Praj.g_00175
OG0000401	Syar.g_00063	Praj.g_00176
OG0000402	Syar.g_00065	Praj.g_01057
OG0000403	Syar.g_00066	Praj.g_00177
OG0000404	Syar.g_00067	Praj.g_00178
OG0000405	Syar.g_00076	Praj.g_00183
OG0000406	Syar.g_00080	Praj.g_00187
OG0000407	Syar.g_00081	Praj.g_00188
OG0000408	Syar.g_00083	Praj.g_00190
OG0000409	Syar.g_00085	Praj.g_00192
OG0000410	Syar.g_00086	Praj.g_00193
OG0000411	Syar.g_00087	Praj.g_00194
OG0000412	Syar.g_00088	Praj.g_00195
OG0000413	Syar.g_00090	Praj.g_00196
OG0000414	Syar.g_00091, Syar.g_03179	Praj.g_00197
OG0000415	Syar.g_00092	Praj.g_00198
OG0000416	Syar.g_00093	Praj.g_00199
OG0000417	Syar.g_00095	Praj.g_00200
OG0000418	Syar.g_00100	Praj.g_00205
OG0000419	Syar.g_00102	Praj.g_00207
OG0000420	Syar.g_00104	Praj.g_00208
OG0000421	Syar.g_00109	Praj.g_00212
OG0000422	Syar.g_00110	Praj.g_00213
OG0000423	Syar.g_00111	Praj.g_00214
OG0000424	Syar.g_00112	Praj.g_00215
OG0000425	Syar.g_00113	Praj.g_00216
OG0000426	Syar.g_00114	Praj.g_00217
OG0000427	Syar.g_00115	Praj.g_00218
OG0000428	Syar.g_00118	Praj.g_00220
OG0000429	Syar.g_00121	Praj.g_00221
OG0000430	Syar.g_00123	Praj.g_00222
OG0000431	Syar.g_00127	Praj.g_00224
OG0000432	Syar.g_01009	Praj.g_00228
OG0000433	Syar.g_01007	Praj.g_00229
OG0000434	Syar.g_01006	Praj.g_00230
OG0000435	Syar.g_01003	Praj.g_00231
OG0000436	Syar.g_00994	Praj.g_00236
OG0000437	Syar.g_00993	Praj.g_00237
OG0000438	Syar.g_00992	Praj.g_00238
OG0000439	Syar.g_00990	Praj.g_00240
OG0000440	Syar.g_00989	Praj.g_00241
OG0000441	Syar.g_00986	Praj.g_00243
OG0000442	Syar.g_00977	Praj.g_00244
OG0000443	Syar.g_00964	Praj.g_00245
OG0000444	Syar.g_00954	Praj.g_00250
OG0000445	Syar.g_00953	Praj.g_00251
OG0000446	Syar.g_00951	Praj.g_00252
OG0000447	Syar.g_00948	Praj.g_00253
OG0000448	Syar.g_00947	Praj.g_00254
OG0000449	Syar.g_00946	Praj.g_00255
OG0000450	Syar.g_00939	Praj.g_00256
OG0000451	Syar.g_00938	Praj.g_00257
OG0000452	Syar.g_00934	Praj.g_00260
OG0000453	Syar.g_00933	Praj.g_00261
OG0000454	Syar.g_00932	Praj.g_00262
OG0000455	Syar.g_00931	Praj.g_00263
OG0000456	Syar.g_00930	Praj.g_00264
OG0000457	Syar.g_00928	Praj.g_00265
OG0000458	Syar.g_00918	Praj.g_00266
OG0000459	Syar.g_00917	Praj.g_00267
OG0000460	Syar.g_03024	Praj.g_00275
OG0000461	Syar.g_00153	Praj.g_00283
OG0000462	Syar.g_00155	Praj.g_00285
OG0000463	Syar.g_00156	Praj.g_00286
OG0000464	Syar.g_00157	Praj.g_00287
OG0000465	Syar.g_00159	Praj.g_00288
OG0000466	Syar.g_00164	Praj.g_00289
OG0000467	Syar.g_00165	Praj.g_00290
OG0000468	Syar.g_00170	Praj.g_00292
OG0000469	Syar.g_00203	Praj.g_00299
OG0000470	Syar.g_00206	Praj.g_00301
OG0000471	Syar.g_00207	Praj.g_00302
OG0000472	Syar.g_00208	Praj.g_00303
OG0000473	Syar.g_00210	Praj.g_00305
OG0000474	Syar.g_00211	Praj.g_00306
OG0000475	Syar.g_00212	Praj.g_00307
OG0000476	Syar.g_00214	Praj.g_00309
OG0000477	Syar.g_00219	Praj.g_00311
OG0000478	Syar.g_00220	Praj.g_00312
OG0000479	Syar.g_00221	Praj.g_00313
OG0000480	Syar.g_00228	Praj.g_00318
OG0000481	Syar.g_00230	Praj.g_00320
OG0000482	Syar.g_00231	Praj.g_00321
OG0000483	Syar.g_00235	Praj.g_00324
OG0000484	Syar.g_00236	Praj.g_00325
OG0000485	Syar.g_00237	Praj.g_00326
OG0000486	Syar.g_00024, Syar.g_00238	Praj.g_00327
OG0000487	Syar.g_00245	Praj.g_00330
OG0000488	Syar.g_00853	Praj.g_00333
OG0000489	Syar.g_00833	Praj.g_00338
OG0000490	Syar.g_00823	Praj.g_00343
OG0000491	Syar.g_00822	Praj.g_00344
OG0000492	Syar.g_00727	Praj.g_00346
OG0000493	Syar.g_00726	Praj.g_00347
OG0000494	Syar.g_00725	Praj.g_00348
OG0000495	Syar.g_00724	Praj.g_00349
OG0000496	Syar.g_00723	Praj.g_00350
OG0000497	Syar.g_00722	Praj.g_00351
OG0000498	Syar.g_00721	Praj.g_00352
OG0000499	Syar.g_00720	Praj.g_00353
OG0000500	Syar.g_00719	Praj.g_00354
OG0000501	Syar.g_00716	Praj.g_00356
OG0000502	Syar.g_00275	Praj.g_00359
OG0000503	Syar.g_01118	Praj.g_00380
OG0000504	Syar.g_01120	Praj.g_00382
OG0000505	Syar.g_01121	Praj.g_00383
OG0000506	Syar.g_01123	Praj.g_00384
OG0000507	Syar.g_01129	Praj.g_00387
OG0000508	Syar.g_01141	Praj.g_00390
OG0000509	Syar.g_01143	Praj.g_00392
OG0000510	Syar.g_01144	Praj.g_00393
OG0000511	Syar.g_01145	Praj.g_00394
OG0000512	Syar.g_01147	Praj.g_00396
OG0000513	Syar.g_01166	Praj.g_00406
OG0000514	Syar.g_01169	Praj.g_00425
OG0000515	Syar.g_01170	Praj.g_00426
OG0000516	Syar.g_01172	Praj.g_00427
OG0000517	Syar.g_01176	Praj.g_00429
OG0000518	Syar.g_02868	Praj.g_00440
OG0000519	Syar.g_02867	Praj.g_00441
OG0000520	Syar.g_02866	Praj.g_00442
OG0000521	Syar.g_01419	Praj.g_00447
OG0000522	Syar.g_01421	Praj.g_00449
OG0000523	Syar.g_01422	Praj.g_00450
OG0000524	Syar.g_01244	Praj.g_00457
OG0000525	Syar.g_01263	Praj.g_00461
OG0000526	Syar.g_01266	Praj.g_00462
OG0000527	Syar.g_01271	Praj.g_00465
OG0000528	Syar.g_01466	Praj.g_00471
OG0000529	Syar.g_01470	Praj.g_00474
OG0000530	Syar.g_01473	Praj.g_00477
OG0000531	Syar.g_01474	Praj.g_00478
OG0000532	Syar.g_01477	Praj.g_00479
OG0000533	Syar.g_01479	Praj.g_00480
OG0000534	Syar.g_01480	Praj.g_00481
OG0000535	Syar.g_01481	Praj.g_00482
OG0000536	Syar.g_01482	Praj.g_00483
OG0000537	Syar.g_01483	Praj.g_00484
OG0000538	Syar.g_01496	Praj.g_00492
OG0000539	Syar.g_01497	Praj.g_00493
OG0000540	Syar.g_01498	Praj.g_00494
OG0000541	Syar.g_01499	Praj.g_00495
OG0000542	Syar.g_01502	Praj.g_00497
OG0000543	Syar.g_01504	Praj.g_00499
OG0000544	Syar.g_01505	Praj.g_00500
OG0000545	Syar.g_01507	Praj.g_00502
OG0000546	Syar.g_01509	Praj.g_00505
OG0000547	Syar.g_01511	Praj.g_00507
OG0000548	Syar.g_01512	Praj.g_00508
OG0000549	Syar.g_02693	Praj.g_00511
OG0000550	Syar.g_02689	Praj.g_00515
OG0000551	Syar.g_02684	Praj.g_00518
OG0000552	Syar.g_02683	Praj.g_00519
OG0000553	Syar.g_02679	Praj.g_00520
OG0000554	Syar.g_02352	Praj.g_00525
OG0000555	Syar.g_02336	Praj.g_00533
