Orthogroup	Syar	Syap
OG0000062	Syar.g_01439	Syap.g_01365
OG0000062	Syar.g_02911	Syap.g_01220
OG0000063	Syar.g_00509	Syap.g_01796
OG0000066	Syar.g_03187, Syar.g_02228	Syap.g_01972
OG0000067	Syar.g_02639	Syap.g_00194
OG0000068	Syar.g_02329	Syap.g_00108, Syap.g_00144
OG0000069	Syar.g_01716	Syap.g_01936, Syap.g_01543, Syap.g_01545
OG0000070	Syar.g_02223	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Syar.g_02777	Syap.g_01483
OG0000072	Syar.g_01140	Syap.g_00555
OG0000073	Syar.g_01364	Syap.g_01020
OG0000073	Syar.g_01493	Syap.g_00273
OG0000075	Syar.g_03065	Syap.g_00664
OG0000076	Syar.g_00608	Syap.g_01111
OG0000077	Syar.g_03051	Syap.g_00416
OG0000078	Syar.g_03018	Syap.g_01149
OG0000079	Syar.g_00166	Syap.g_01589
OG0000080	Syar.g_00585	Syap.g_01035
OG0000085	Syar.g_02919	Syap.g_00611
OG0000087	Syar.g_00068	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Syar.g_00101	Syap.g_01202
OG0000089	Syar.g_01162	Syap.g_00115, Syap.g_02042
OG0000090	Syar.g_02363, Syar.g_02353, Syar.g_02356	Syap.g_01451
OG0000091	Syar.g_02426	Syap.g_01861
OG0000094	Syar.g_01789	Syap.g_02781
OG0000095	Syar.g_01932	Syap.g_01556
OG0000098	Syar.g_02343	Syap.g_01975
OG0000099	Syar.g_00715	Syap.g_01385
OG0000101	Syar.g_01073	Syap.g_00472
OG0000102	Syar.g_00602	Syap.g_01116
OG0000103	Syar.g_00452	Syap.g_02607, Syap.g_02608
OG0000104	Syar.g_00466	Syap.g_02318
OG0000105	Syar.g_00218	Syap.g_01369, Syap.g_01368
OG0000107	Syar.g_00149	Syap.g_02496
OG0000108	Syar.g_01469	Syap.g_00733, Syap.g_02255
OG0000109	Syar.g_01485	Syap.g_00279, Syap.g_02237
OG0000110	Syar.g_02295	Syap.g_01313
OG0000111	Syar.g_01940, Syar.g_00005	Syap.g_01566, Syap.g_01568
OG0000112	Syar.g_02548	Syap.g_02023
OG0000113	Syar.g_02664	Syap.g_02714
OG0000114	Syar.g_01616	Syap.g_01255
OG0000115	Syar.g_01415	Syap.g_02004
OG0000116	Syar.g_01525	Syap.g_00241
OG0000117	Syar.g_01969	Syap.g_01889
OG0000118	Syar.g_02793	Syap.g_02286
OG0000120	Syar.g_00713	Syap.g_02075
OG0000121	Syar.g_02806	Syap.g_02471
OG0000123	Syar.g_01079	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Syar.g_00586	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Syar.g_00338	Syap.g_01046, Syap.g_01047
OG0000126	Syar.g_00887, Syar.g_00888	Syap.g_02576
OG0000128	Syar.g_00482	Syap.g_00069
OG0000129	Syar.g_00324	Syap.g_00130, Syap.g_00129
OG0000130	Syar.g_03040	Syap.g_01688, Syap.g_01689
OG0000131	Syar.g_00078	Syap.g_02189
OG0000132	Syar.g_00099	Syap.g_01205
OG0000133	Syar.g_02543	Syap.g_02017
OG0000134	Syar.g_02009, Syar.g_01165	Syap.g_02047
OG0000135	Syar.g_00698	Syap.g_02090
OG0000136	Syar.g_02874	Syap.g_00089
OG0000137	Syar.g_01273	Syap.g_02756
OG0000138	Syar.g_01486	Syap.g_00278
OG0000139	Syar.g_03245, Syar.g_02348	Syap.g_00410
OG0000140	Syar.g_02344	Syap.g_01976
OG0000141	Syar.g_02129	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Syar.g_02418	Syap.g_00895, Syap.g_00894
OG0000143	Syar.g_02422	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Syar.g_02441	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Syar.g_01494	Syap.g_01860, Syap.g_01859
OG0000146	Syar.g_02549	Syap.g_02024
OG0000147	Syar.g_02550	Syap.g_02025
OG0000148	Syar.g_02658	Syap.g_02720
OG0000149	Syar.g_01830, Syar.g_03289, Syar.g_03288	Syap.g_00824
OG0000150	Syar.g_02130	Syap.g_01540
OG0000151	Syar.g_02038	Syap.g_00142
OG0000152	Syar.g_02539	Syap.g_02012
OG0000153	Syar.g_02503	Syap.g_02682
OG0000154	Syar.g_01800	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Syar.g_01959	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Syar.g_01517	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Syar.g_01516	Syap.g_00249, Syap.g_00286
OG0000158	Syar.g_00650	Syap.g_01075
OG0000159	Syar.g_02359	Syap.g_00852
OG0000160	Syar.g_02807	Syap.g_02470, Syap.g_02469
OG0000161	Syar.g_02801	Syap.g_02476
OG0000162	Syar.g_02863	Syap.g_02531
OG0000164	Syar.g_02969	Syap.g_01391, Syap.g_01392
OG0000165	Syar.g_02976	Syap.g_01381, Syap.g_01382
OG0000166	Syar.g_01034	Syap.g_00512, Syap.g_01238
OG0000167	Syar.g_00662	Syap.g_02080
OG0000168	Syar.g_00246	Syap.g_01076
OG0000169	Syar.g_00262	Syap.g_01049, Syap.g_01093
OG0000170	Syar.g_00613	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Syar.g_00587	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Syar.g_00547	Syap.g_01143, Syap.g_00635
OG0000173	Syar.g_00528	Syap.g_00982, Syap.g_00983
OG0000174	Syar.g_00701	Syap.g_02092
OG0000175	Syar.g_00438	Syap.g_02654
OG0000176	Syar.g_00474	Syap.g_00059
OG0000177	Syar.g_00475	Syap.g_00061, Syap.g_00060
OG0000178	Syar.g_00476	Syap.g_00062
OG0000179	Syar.g_00489	Syap.g_00077, Syap.g_02638
OG0000180	Syar.g_00490	Syap.g_00078, Syap.g_02640
OG0000181	Syar.g_00491	Syap.g_00079, Syap.g_02641
OG0000182	Syar.g_00492	Syap.g_00080, Syap.g_02642
OG0000183	Syar.g_00496	Syap.g_00084
OG0000184	Syar.g_00897	Syap.g_01337
OG0000185	Syar.g_00909	Syap.g_01322
OG0000186	Syar.g_03036	Syap.g_01684
OG0000187	Syar.g_03038	Syap.g_01686
OG0000188	Syar.g_03058	Syap.g_02547
OG0000191	Syar.g_00039	Syap.g_02233
OG0000192	Syar.g_00046	Syap.g_02224
OG0000193	Syar.g_00079	Syap.g_02187, Syap.g_02188
OG0000194	Syar.g_00082	Syap.g_02183
OG0000195	Syar.g_00084	Syap.g_02180
OG0000196	Syar.g_00096	Syap.g_01208, Syap.g_02167
OG0000197	Syar.g_00097	Syap.g_01207, Syap.g_02166
OG0000198	Syar.g_00098	Syap.g_01206
OG0000199	Syar.g_00106	Syap.g_01197
OG0000200	Syar.g_00124	Syap.g_01181
OG0000201	Syar.g_01000	Syap.g_02265
OG0000202	Syar.g_00998	Syap.g_02264
OG0000203	Syar.g_00997	Syap.g_01601
OG0000204	Syar.g_00996	Syap.g_01602
OG0000205	Syar.g_00988	Syap.g_01616
OG0000206	Syar.g_00963	Syap.g_01628
OG0000207	Syar.g_00957	Syap.g_01426, Syap.g_00424
OG0000208	Syar.g_00956	Syap.g_00426, Syap.g_01425
OG0000209	Syar.g_00936, Syar.g_03261	Syap.g_01906
OG0000210	Syar.g_00935	Syap.g_01905
OG0000211	Syar.g_03026	Syap.g_01160
OG0000212	Syar.g_03017	Syap.g_02664
OG0000213	Syar.g_00187	Syap.g_00107, Syap.g_01599
OG0000214	Syar.g_00209	Syap.g_02344, Syap.g_02345
OG0000215	Syar.g_00239	Syap.g_01347, Syap.g_01629
OG0000216	Syar.g_00244	Syap.g_01634
OG0000217	Syar.g_00854	Syap.g_01638
OG0000218	Syar.g_00852	Syap.g_01641, Syap.g_01640
OG0000219	Syar.g_00851	Syap.g_01642, Syap.g_01643
OG0000220	Syar.g_00850, Syar.g_02026	Syap.g_01645
OG0000221	Syar.g_00834	Syap.g_01646
OG0000222	Syar.g_02119, Syar.g_00728	Syap.g_01669
OG0000223	Syar.g_00649	Syap.g_02072, Syap.g_02073
OG0000224	Syar.g_00273	Syap.g_02064
OG0000225	Syar.g_01142	Syap.g_00553, Syap.g_00552
OG0000226	Syar.g_01146	Syap.g_02029, Syap.g_02144
OG0000227	Syar.g_01148	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Syar.g_01161	Syap.g_00116, Syap.g_02041
OG0000229	Syar.g_01177	Syap.g_02059
OG0000230	Syar.g_01179	Syap.g_02061
OG0000231	Syar.g_02865, Syar.g_03151	Syap.g_02533
OG0000232	Syar.g_01424	Syap.g_02510, Syap.g_02511
OG0000233	Syar.g_01247	Syap.g_02133
OG0000234	Syar.g_01275	Syap.g_02755
OG0000235	Syar.g_01468	Syap.g_00732, Syap.g_02258
OG0000236	Syar.g_01484	Syap.g_02238
OG0000237	Syar.g_01503	Syap.g_00262, Syap.g_00263
OG0000238	Syar.g_01508	Syap.g_00257, Syap.g_00258
OG0000239	Syar.g_02687	Syap.g_02744
OG0000240	Syar.g_02686	Syap.g_02742
OG0000241	Syar.g_02410	Syap.g_00888
OG0000242	Syar.g_01926	Syap.g_01455
OG0000243	Syar.g_02335	Syap.g_01938
OG0000244	Syar.g_02327	Syap.g_01146, Syap.g_01145
OG0000245	Syar.g_02325	Syap.g_01148
OG0000246	Syar.g_02321	Syap.g_00308
OG0000247	Syar.g_02310	Syap.g_00288, Syap.g_00293
OG0000248	Syar.g_02307, Syar.g_03293	Syap.g_00290
OG0000249	Syar.g_02305	Syap.g_01296, Syap.g_01295
OG0000250	Syar.g_02299	Syap.g_01306
OG0000251	Syar.g_03207, Syar.g_02194	Syap.g_00442
OG0000252	Syar.g_02189, Syar.g_03263	Syap.g_01857
OG0000253	Syar.g_02028	Syap.g_00443
OG0000254	Syar.g_02169	Syap.g_01527, Syap.g_01528
OG0000256	Syar.g_02244	Syap.g_01287
OG0000257	Syar.g_02407, Syar.g_01762	Syap.g_00886
OG0000258	Syar.g_02427	Syap.g_00907
OG0000260	Syar.g_03220, Syar.g_02475	Syap.g_01970
OG0000261	Syar.g_01916	Syap.g_01962, Syap.g_01961
OG0000262	Syar.g_01690	Syap.g_01954
OG0000263	Syar.g_01991	Syap.g_00432, Syap.g_00433
OG0000266	Syar.g_01570	Syap.g_00519
OG0000267	Syar.g_01873	Syap.g_02333
OG0000268	Syar.g_02589	Syap.g_00646
OG0000269	Syar.g_02634	Syap.g_00188
OG0000270	Syar.g_00744, Syar.g_02637	Syap.g_00192
OG0000271	Syar.g_02645	Syap.g_00200, Syap.g_00201
OG0000272	Syar.g_02646	Syap.g_00202
OG0000273	Syar.g_02481	Syap.g_02703
OG0000274	Syar.g_02482	Syap.g_02702
OG0000275	Syar.g_01810	Syap.g_01847
OG0000276	Syar.g_01817	Syap.g_01839, Syap.g_01838
OG0000277	Syar.g_01818	Syap.g_01837
OG0000278	Syar.g_01821, Syar.g_03174	Syap.g_01834
OG0000279	Syar.g_01838	Syap.g_00829, Syap.g_00830
OG0000280	Syar.g_02067	Syap.g_00365
OG0000281	Syar.g_02218	Syap.g_01977
OG0000282	Syar.g_01614	Syap.g_01252
OG0000283	Syar.g_02574	Syap.g_01728
OG0000284	Syar.g_02568	Syap.g_01736
OG0000285	Syar.g_02560	Syap.g_01746, Syap.g_01744
OG0000286	Syar.g_02540	Syap.g_02014, Syap.g_02013
OG0000288	Syar.g_01801	Syap.g_02764, Syap.g_02763
OG0000289	Syar.g_03305, Syar.g_01786	Syap.g_02784
OG0000290	Syar.g_01928	Syap.g_01552
OG0000291	Syar.g_01930	Syap.g_01554
OG0000292	Syar.g_00463	Syap.g_02314
OG0000293	Syar.g_03297, Syar.g_01526	Syap.g_00240
OG0000294	Syar.g_01527	Syap.g_00239
OG0000295	Syar.g_01951	Syap.g_00206
OG0000296	Syar.g_01953	Syap.g_00204
OG0000297	Syar.g_01967	Syap.g_01887
OG0000298	Syar.g_01968	Syap.g_01888
OG0000299	Syar.g_01704	Syap.g_02620
OG0000302	Syar.g_01713	Syap.g_02444, Syap.g_02445
OG0000303	Syar.g_01723	Syap.g_02435
OG0000304	Syar.g_01728	Syap.g_02430
OG0000305	Syar.g_01933, Syar.g_03163	Syap.g_01557
OG0000306	Syar.g_01884	Syap.g_01966
OG0000307	Syar.g_01452, Syar.g_03153	Syap.g_02517
OG0000308	Syar.g_01450	Syap.g_02514, Syap.g_02515
OG0000309	Syar.g_01239	Syap.g_02198, Syap.g_02446
OG0000310	Syar.g_02826	Syap.g_02660, Syap.g_02661
OG0000311	Syar.g_02823	Syap.g_02657
OG0000312	Syar.g_02818	Syap.g_02114
OG0000313	Syar.g_02804	Syap.g_02473
OG0000314	Syar.g_01403	Syap.g_00007
OG0000315	Syar.g_01393	Syap.g_00017
OG0000316	Syar.g_02885	Syap.g_00030
OG0000317	Syar.g_02926	Syap.g_00618
OG0000318	Syar.g_02930	Syap.g_00622, Syap.g_02786
OG0000319	Syar.g_02954	Syap.g_01764, Syap.g_01771
OG0000320	Syar.g_02956	Syap.g_01761, Syap.g_01769
OG0000321	Syar.g_02957	Syap.g_01760, Syap.g_01768
OG0000322	Syar.g_02958	Syap.g_01759, Syap.g_01767
OG0000323	Syar.g_02973	Syap.g_01389
OG0000324	Syar.g_00350, Syar.g_03001	Syap.g_01503
OG0000325	Syar.g_03291, Syar.g_00148	Syap.g_02680
OG0000326	Syar.g_00139, Syar.g_03134	Syap.g_00544
OG0000327	Syar.g_01029	Syap.g_01233, Syap.g_01913
OG0000328	Syar.g_01030	Syap.g_01234, Syap.g_01912
OG0000329	Syar.g_03189, Syar.g_01048	Syap.g_00498
OG0000330	Syar.g_01049	Syap.g_00497
OG0000331	Syar.g_01050, Syar.g_03191	Syap.g_00496
OG0000332	Syar.g_01064	Syap.g_00481
OG0000333	Syar.g_01067	Syap.g_00478
OG0000334	Syar.g_01076	Syap.g_00468
OG0000335	Syar.g_01080	Syap.g_00101, Syap.g_00463
OG0000336	Syar.g_01084	Syap.g_00417, Syap.g_00607
OG0000337	Syar.g_00285	Syap.g_01054
OG0000338	Syar.g_03225, Syar.g_00287	Syap.g_01059
OG0000339	Syar.g_00658	Syap.g_01068
OG0000340	Syar.g_00247	Syap.g_01077
OG0000341	Syar.g_00249	Syap.g_01079
OG0000342	Syar.g_00250	Syap.g_01080, Syap.g_02477
OG0000343	Syar.g_00256	Syap.g_01086, Syap.g_02078
OG0000344	Syar.g_00260	Syap.g_01091
OG0000345	Syar.g_00612	Syap.g_01107, Syap.g_01470
OG0000346	Syar.g_00607	Syap.g_01113
OG0000347	Syar.g_00558	Syap.g_01131, Syap.g_02459
OG0000348	Syar.g_00544	Syap.g_00632
OG0000349	Syar.g_00521	Syap.g_00110, Syap.g_01813
OG0000351	Syar.g_00442	Syap.g_02594
OG0000352	Syar.g_00443	Syap.g_02596, Syap.g_02597
OG0000353	Syar.g_00469	Syap.g_00054
OG0000354	Syar.g_00487	Syap.g_00075, Syap.g_02635
OG0000355	Syar.g_00471	Syap.g_00056
OG0000356	Syar.g_00472	Syap.g_00057
OG0000357	Syar.g_00473	Syap.g_00058
OG0000358	Syar.g_00477	Syap.g_00063
OG0000359	Syar.g_00479	Syap.g_00065
OG0000360	Syar.g_00480	Syap.g_00067
OG0000361	Syar.g_00481	Syap.g_00068
OG0000362	Syar.g_00483	Syap.g_00070
OG0000363	Syar.g_00484	Syap.g_00072
OG0000364	Syar.g_02928	Syap.g_00620
OG0000365	Syar.g_00493	Syap.g_00081
OG0000366	Syar.g_00494	Syap.g_00082
OG0000367	Syar.g_00495	Syap.g_00083
OG0000368	Syar.g_00497	Syap.g_00085
OG0000369	Syar.g_00498	Syap.g_00086
OG0000370	Syar.g_00499	Syap.g_00087
OG0000372	Syar.g_00514	Syap.g_01805
OG0000373	Syar.g_00515	Syap.g_01806
OG0000374	Syar.g_00516	Syap.g_01807
OG0000375	Syar.g_00517	Syap.g_01808
OG0000376	Syar.g_00519	Syap.g_01811
OG0000377	Syar.g_00322	Syap.g_00128
OG0000378	Syar.g_00905	Syap.g_01326
OG0000380	Syar.g_03039	Syap.g_01687
OG0000381	Syar.g_03041	Syap.g_01690
OG0000382	Syar.g_03057	Syap.g_02548
OG0000383	Syar.g_03074	Syap.g_02359
OG0000384	Syar.g_03075	Syap.g_02360
OG0000385	Syar.g_03076	Syap.g_02361
OG0000386	Syar.g_03077	Syap.g_02362
OG0000387	Syar.g_03109	Syap.g_01864
OG0000391	Syar.g_00038	Syap.g_02234
OG0000392	Syar.g_00045	Syap.g_02225
OG0000393	Syar.g_00048	Syap.g_02222
OG0000394	Syar.g_00049	Syap.g_02221
OG0000395	Syar.g_00050	Syap.g_02220
OG0000396	Syar.g_00053	Syap.g_02217
OG0000397	Syar.g_00055	Syap.g_02215
OG0000398	Syar.g_00060	Syap.g_02211
OG0000399	Syar.g_00061	Syap.g_02210
OG0000400	Syar.g_00062	Syap.g_02209
OG0000401	Syar.g_00063	Syap.g_02208
OG0000402	Syar.g_00065	Syap.g_02206
OG0000403	Syar.g_00066	Syap.g_02205
OG0000404	Syar.g_00067	Syap.g_02204, Syap.g_02618
OG0000405	Syar.g_00076	Syap.g_02191
OG0000406	Syar.g_00080	Syap.g_02186
OG0000407	Syar.g_00081	Syap.g_02185
OG0000408	Syar.g_00083	Syap.g_02181, Syap.g_02182
OG0000409	Syar.g_00085	Syap.g_02179
OG0000410	Syar.g_00086	Syap.g_02178
OG0000411	Syar.g_00087	Syap.g_02177
OG0000412	Syar.g_00088	Syap.g_02176
OG0000413	Syar.g_00090	Syap.g_02174
OG0000414	Syar.g_00091	Syap.g_02173
OG0000415	Syar.g_00092	Syap.g_02172
OG0000416	Syar.g_00093	Syap.g_02171
OG0000417	Syar.g_00095	Syap.g_02169
OG0000418	Syar.g_00100	Syap.g_01204
OG0000419	Syar.g_00102	Syap.g_01201
OG0000420	Syar.g_00104	Syap.g_01199
OG0000421	Syar.g_00109	Syap.g_01195
OG0000422	Syar.g_00110	Syap.g_01194
OG0000423	Syar.g_00111	Syap.g_01193
OG0000424	Syar.g_00112	Syap.g_01192
OG0000425	Syar.g_00113	Syap.g_01191
OG0000426	Syar.g_00114	Syap.g_01190
OG0000427	Syar.g_00115	Syap.g_01189
OG0000428	Syar.g_00118	Syap.g_01186
OG0000429	Syar.g_00121	Syap.g_01184
OG0000430	Syar.g_00123	Syap.g_01182
OG0000431	Syar.g_00127	Syap.g_01179
OG0000432	Syar.g_01009	Syap.g_02277
OG0000433	Syar.g_01007	Syap.g_02272
OG0000434	Syar.g_01006	Syap.g_02271
OG0000435	Syar.g_01003	Syap.g_02268
OG0000436	Syar.g_00994	Syap.g_01607
OG0000437	Syar.g_00993	Syap.g_01608
OG0000438	Syar.g_00992	Syap.g_01612
OG0000439	Syar.g_00990	Syap.g_01614
OG0000440	Syar.g_00989	Syap.g_01615
OG0000441	Syar.g_00986	Syap.g_01619
OG0000442	Syar.g_00977	Syap.g_01620
OG0000443	Syar.g_00964	Syap.g_01622
OG0000444	Syar.g_00954	Syap.g_01424
OG0000445	Syar.g_00953	Syap.g_01421
OG0000446	Syar.g_00951	Syap.g_01419
OG0000447	Syar.g_00948	Syap.g_01410
OG0000448	Syar.g_00947	Syap.g_01407
OG0000449	Syar.g_00946	Syap.g_01406
OG0000450	Syar.g_00939	Syap.g_01909
OG0000451	Syar.g_00938	Syap.g_01908
OG0000452	Syar.g_00934	Syap.g_01904
OG0000453	Syar.g_00933	Syap.g_01903
OG0000454	Syar.g_00932	Syap.g_01902
OG0000455	Syar.g_00931	Syap.g_01901
OG0000456	Syar.g_00930	Syap.g_01900
OG0000457	Syar.g_00928	Syap.g_01896
OG0000458	Syar.g_00918	Syap.g_01895
OG0000459	Syar.g_00917	Syap.g_01894
OG0000460	Syar.g_03024	Syap.g_01159
OG0000461	Syar.g_00153	Syap.g_01575
OG0000462	Syar.g_00155	Syap.g_01578
OG0000463	Syar.g_00156	Syap.g_01579
OG0000464	Syar.g_00157	Syap.g_01580
OG0000465	Syar.g_00159	Syap.g_01582
OG0000466	Syar.g_00164	Syap.g_01587
OG0000467	Syar.g_00165	Syap.g_01588
OG0000468	Syar.g_00170	Syap.g_01593
OG0000469	Syar.g_00203	Syap.g_02352
OG0000470	Syar.g_00206	Syap.g_02349
OG0000471	Syar.g_00207	Syap.g_02348
OG0000472	Syar.g_00208	Syap.g_02347
OG0000473	Syar.g_00210	Syap.g_02343
OG0000474	Syar.g_00211	Syap.g_02342
OG0000475	Syar.g_00212	Syap.g_02341
OG0000476	Syar.g_00214	Syap.g_02339
OG0000477	Syar.g_00219	Syap.g_01367
OG0000478	Syar.g_00220	Syap.g_01366
OG0000479	Syar.g_00221	Syap.g_01364
OG0000480	Syar.g_00228	Syap.g_01357
OG0000482	Syar.g_00231	Syap.g_01355
OG0000483	Syar.g_00235	Syap.g_01344
OG0000484	Syar.g_00236	Syap.g_01350
OG0000485	Syar.g_00237	Syap.g_01349
OG0000487	Syar.g_00245	Syap.g_01635
OG0000488	Syar.g_00853	Syap.g_01639
OG0000489	Syar.g_00833	Syap.g_02482
OG0000490	Syar.g_00823	Syap.g_01673
OG0000491	Syar.g_00822	Syap.g_01670
OG0000492	Syar.g_00727	Syap.g_01668
OG0000493	Syar.g_00726	Syap.g_01667
OG0000494	Syar.g_00725	Syap.g_01666
OG0000495	Syar.g_00724	Syap.g_01665
OG0000496	Syar.g_00723	Syap.g_01663
OG0000497	Syar.g_00722	Syap.g_01662
OG0000498	Syar.g_00721	Syap.g_01661
OG0000499	Syar.g_00720	Syap.g_01660
OG0000500	Syar.g_00719	Syap.g_01659
OG0000501	Syar.g_00716	Syap.g_01656
OG0000502	Syar.g_00275	Syap.g_02066
OG0000503	Syar.g_01118	Syap.g_00569
OG0000504	Syar.g_01120	Syap.g_00567
OG0000505	Syar.g_01121	Syap.g_00566
OG0000506	Syar.g_01123	Syap.g_00564
OG0000507	Syar.g_01129	Syap.g_00558
OG0000508	Syar.g_01141	Syap.g_00554
OG0000509	Syar.g_01143	Syap.g_00551
OG0000510	Syar.g_01144	Syap.g_00550
OG0000511	Syar.g_01145	Syap.g_00548
OG0000512	Syar.g_01147	Syap.g_02145
OG0000513	Syar.g_01166	Syap.g_02048
OG0000514	Syar.g_01169	Syap.g_02051
OG0000515	Syar.g_01170	Syap.g_02052
OG0000516	Syar.g_01172	Syap.g_02054
OG0000517	Syar.g_01176	Syap.g_02057
OG0000519	Syar.g_02867	Syap.g_00457
OG0000520	Syar.g_02866	Syap.g_00456
OG0000521	Syar.g_01419	Syap.g_01997
OG0000522	Syar.g_01421	Syap.g_01995
OG0000523	Syar.g_01422	Syap.g_02507
OG0000524	Syar.g_01244	Syap.g_02135
OG0000525	Syar.g_01263	Syap.g_02159
OG0000526	Syar.g_01266	Syap.g_02157
OG0000527	Syar.g_01271	Syap.g_02758
OG0000528	Syar.g_01466	Syap.g_02261
OG0000529	Syar.g_01470	Syap.g_02254
OG0000530	Syar.g_01473	Syap.g_02252
OG0000531	Syar.g_01474	Syap.g_02251
OG0000532	Syar.g_01477	Syap.g_02247
OG0000533	Syar.g_01479	Syap.g_02244
OG0000534	Syar.g_01480	Syap.g_02243
OG0000535	Syar.g_01481	Syap.g_02242
OG0000536	Syar.g_01482	Syap.g_02241
OG0000537	Syar.g_01483	Syap.g_02240
OG0000538	Syar.g_01496	Syap.g_00271
OG0000539	Syar.g_01497	Syap.g_00270
OG0000540	Syar.g_01498	Syap.g_00269
OG0000541	Syar.g_01499	Syap.g_00268
OG0000542	Syar.g_01502	Syap.g_00264
OG0000543	Syar.g_01504	Syap.g_00261
OG0000544	Syar.g_01505	Syap.g_00260
OG0000545	Syar.g_01507	Syap.g_00259
OG0000546	Syar.g_01509	Syap.g_00256
OG0000547	Syar.g_01511	Syap.g_00254
OG0000548	Syar.g_01512	Syap.g_00253
OG0000549	Syar.g_02693	Syap.g_00758
OG0000550	Syar.g_02689	Syap.g_02747
OG0000551	Syar.g_02684	Syap.g_02739
OG0000552	Syar.g_02683	Syap.g_02738
OG0000553	Syar.g_02679	Syap.g_02735
OG0000554	Syar.g_02352	Syap.g_01450
OG0000555	Syar.g_02336	Syap.g_01941
OG0000556	Syar.g_02332	Syap.g_01933
OG0000557	Syar.g_02328	Syap.g_01931
OG0000558	Syar.g_02326	Syap.g_01147
OG0000560	Syar.g_02320	Syap.g_00305
OG0000561	Syar.g_02319	Syap.g_00304
OG0000562	Syar.g_02318	Syap.g_00302
OG0000563	Syar.g_02317	Syap.g_00301
OG0000564	Syar.g_02316	Syap.g_00300
OG0000565	Syar.g_02312	Syap.g_00296
OG0000566	Syar.g_02308	Syap.g_00291
OG0000567	Syar.g_02304	Syap.g_01297
OG0000568	Syar.g_02302	Syap.g_01302
OG0000569	Syar.g_02301	Syap.g_01303
OG0000570	Syar.g_02300	Syap.g_01304
