	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
Prbk	26.0	28.0	24.0	33.0	22.0	33.0	26.0	39.0	30.0	40.0	31.0	31.0	33.0	30.0	24.0	31.0	24.0	24.0	26.0	36.0	30.0	26.0	26.0	20.0	28.0	26.0	24.0	42.0	36.0	24.0	31.0	31.0	31.0	33.0	25.0	4.0	0.0	6.0	42.0	31.0	42.0	39.0	33.0	46.0	33.0	32.0	62.0	37.0	40.0	47.0	37.0	39.0	36.0	42.0	54.0	24.0	50.0	37.0	30.0	35.0
Prbl	26.0	28.0	24.0	33.0	22.0	31.0	26.0	37.0	30.0	40.0	31.0	31.0	31.0	31.0	24.0	31.0	24.0	24.0	26.0	36.0	30.0	26.0	26.0	20.0	28.0	26.0	24.0	42.0	36.0	24.0	31.0	31.0	31.0	31.0	24.0	0.0	0.0	0.0	42.0	31.0	40.0	39.0	34.0	47.0	34.0	33.0	58.0	38.0	41.0	46.0	36.0	39.0	37.0	40.0	56.0	23.0	50.0	36.0	27.0	34.0
Prbm	75.0	78.0	79.0	80.0	76.0	57.0	79.0	63.0	66.0	42.0	61.0	70.0	77.0	86.0	79.0	61.0	73.0	76.0	78.0	73.0	76.0	61.0	84.0	79.0	82.0	93.0	93.0	56.0	50.0	75.0	61.0	61.0	61.0	77.0	69.0	47.0	47.0	47.0	0.0	61.0	57.0	74.0	70.0	59.0	77.0	61.0	51.0	69.0	56.0	54.0	51.0	74.0	71.0	66.0	72.0	38.0	38.0	47.0	49.0	35.0
Prbn	42.0	37.0	37.0	44.0	37.0	41.0	39.0	41.0	39.0	36.0	4.0	28.0	20.0	37.0	41.0	4.0	37.0	37.0	37.0	28.0	37.0	41.0	39.0	39.0	39.0	39.0	39.0	36.0	34.0	39.0	4.0	4.0	4.0	20.0	37.0	43.0	43.0	43.0	36.0	0.0	38.0	46.0	44.0	51.0	35.0	33.0	37.0	48.0	40.0	47.0	36.0	39.0	44.0	36.0	40.0	28.0	28.0	29.0	27.0	29.0
Syaa	37.0	46.0	36.0	48.0	36.0	51.0	37.0	51.0	37.0	45.0	38.0	40.0	46.0	48.0	57.0	38.0	36.0	36.0	45.0	44.0	40.0	55.0	40.0	34.0	49.0	57.0	57.0	39.0	49.0	52.0	38.0	38.0	38.0	46.0	46.0	55.0	52.0	52.0	54.0	38.0	0.0	47.0	70.0	60.0	59.0	32.0	54.0	68.0	65.0	73.0	69.0	71.0	53.0	95.0	92.0	55.0	56.0	85.0	86.0	77.0
Syab	40.0	45.0	43.0	45.0	47.0	83.0	44.0	75.0	46.0	41.0	56.0	66.0	60.0	45.0	51.0	56.0	43.0	43.0	44.0	66.0	47.0	45.0	47.0	43.0	41.0	41.0	41.0	45.0	42.0	41.0	56.0	56.0	56.0	60.0	43.0	83.0	83.0	83.0	41.0	56.0	49.0	0.0	41.0	79.0	72.0	67.0	72.0	51.0	47.0	91.0	67.0	54.0	51.0	113.0	111.0	48.0	69.0	75.0	74.0	92.0
Syac	28.0	27.0	31.0	33.0	29.0	43.0	32.0	38.0	30.0	38.0	45.0	39.0	43.0	27.0	31.0	45.0	31.0	31.0	32.0	41.0	33.0	31.0	35.0	27.0	29.0	29.0	29.0	42.0	41.0	32.0	45.0	45.0	45.0	43.0	29.0	39.0	39.0	39.0	42.0	45.0	17.0	22.0	0.0	28.0	27.0	10.0	36.0	8.0	19.0	33.0	43.0	21.0	8.0	46.0	61.0	38.0	28.0	47.0	56.0	36.0
Syad	43.0	49.0	49.0	47.0	41.0	77.0	52.0	69.0	42.0	48.0	60.0	49.0	64.0	49.0	55.0	60.0	49.0	49.0	46.0	57.0	52.0	43.0	50.0	45.0	46.0	47.0	47.0	49.0	62.0	46.0	60.0	60.0	60.0	64.0	51.0	76.0	74.0	84.0	47.0	60.0	68.0	57.0	60.0	0.0	57.0	36.0	63.0	56.0	55.0	83.0	67.0	68.0	31.0	116.0	98.0	40.0	80.0	82.0	83.0	91.0
Syae	38.0	34.0	40.0	41.0	32.0	32.0	41.0	26.0	36.0	37.0	41.0	35.0	39.0	36.0	38.0	41.0	40.0	40.0	32.0	41.0	38.0	36.0	40.0	34.0	32.0	32.0	32.0	39.0	38.0	34.0	41.0	41.0	41.0	39.0	36.0	41.0	41.0	41.0	33.0	41.0	11.0	21.0	25.0	25.0	0.0	17.0	29.0	19.0	16.0	22.0	23.0	25.0	25.0	47.0	63.0	44.0	32.0	45.0	40.0	44.0
Syaf	30.0	38.0	38.0	33.0	31.0	44.0	32.0	41.0	34.0	39.0	45.0	51.0	46.0	40.0	33.0	45.0	38.0	38.0	30.0	50.0	35.0	31.0	34.0	29.0	34.0	34.0	34.0	41.0	42.0	34.0	45.0	45.0	45.0	46.0	29.0	46.0	46.0	46.0	38.0	45.0	37.0	55.0	43.0	64.0	41.0	0.0	67.0	44.0	36.0	63.0	87.0	45.0	25.0	77.0	95.0	49.0	62.0	65.0	63.0	66.0
Syag	49.0	50.0	52.0	51.0	48.0	59.0	45.0	57.0	51.0	57.0	62.0	57.0	58.0	52.0	58.0	62.0	52.0	52.0	45.0	64.0	56.0	50.0	48.0	50.0	48.0	48.0	46.0	55.0	61.0	48.0	62.0	62.0	62.0	58.0	50.0	72.0	72.0	72.0	55.0	62.0	38.0	33.0	31.0	39.0	40.0	39.0	0.0	45.0	40.0	55.0	44.0	50.0	34.0	73.0	83.0	42.0	47.0	70.0	57.0	56.0
Syah	35.0	36.0	38.0	34.0	30.0	39.0	30.0	40.0	37.0	39.0	46.0	44.0	47.0	36.0	33.0	46.0	38.0	38.0	32.0	46.0	36.0	30.0	34.0	30.0	34.0	34.0	34.0	39.0	45.0	30.0	46.0	46.0	46.0	47.0	32.0	50.0	50.0	50.0	35.0	46.0	17.0	28.0	18.0	26.0	32.0	8.0	45.0	0.0	10.0	37.0	44.0	29.0	11.0	50.0	71.0	36.0	31.0	57.0	47.0	43.0
Syai	37.0	44.0	55.0	52.0	41.0	96.0	45.0	90.0	43.0	49.0	51.0	55.0	53.0	46.0	42.0	51.0	51.0	55.0	43.0	56.0	49.0	43.0	47.0	35.0	49.0	47.0	50.0	45.0	53.0	44.0	51.0	51.0	53.0	53.0	47.0	100.0	100.0	100.0	54.0	51.0	105.0	100.0	99.0	107.0	109.0	88.0	103.0	91.0	0.0	117.0	116.0	101.0	57.0	109.0	120.0	47.0	87.0	104.0	95.0	82.0
Syaj	35.0	38.0	35.0	37.0	34.0	66.0	38.0	68.0	40.0	46.0	48.0	48.0	55.0	38.0	38.0	48.0	35.0	38.0	40.0	52.0	41.0	32.0	36.0	34.0	37.0	37.0	37.0	49.0	50.0	34.0	48.0	48.0	48.0	55.0	48.0	62.0	62.0	74.0	49.0	48.0	38.0	60.0	40.0	66.0	55.0	34.0	60.0	46.0	28.0	0.0	59.0	69.0	22.0	84.0	79.0	35.0	61.0	81.0	57.0	69.0
Syak	32.0	37.0	37.0	41.0	39.0	57.0	34.0	42.0	34.0	34.0	45.0	43.0	47.0	37.0	40.0	45.0	35.0	37.0	30.0	46.0	41.0	39.0	39.0	35.0	35.0	37.0	37.0	34.0	42.0	39.0	45.0	45.0	45.0	47.0	37.0	55.0	55.0	55.0	36.0	45.0	36.0	14.0	37.0	46.0	43.0	51.0	30.0	39.0	42.0	59.0	0.0	38.0	31.0	78.0	64.0	38.0	35.0	71.0	49.0	71.0
Syal	41.0	41.0	42.0	36.0	47.0	65.0	41.0	47.0	38.0	43.0	51.0	53.0	51.0	41.0	45.0	51.0	42.0	42.0	34.0	53.0	40.0	41.0	41.0	43.0	41.0	44.0	44.0	38.0	36.0	50.0	51.0	51.0	51.0	51.0	41.0	67.0	67.0	67.0	46.0	51.0	63.0	52.0	42.0	82.0	74.0	53.0	79.0	44.0	46.0	82.0	70.0	0.0	44.0	125.0	90.0	62.0	78.0	84.0	75.0	77.0
Syam	31.0	35.0	39.0	35.0	30.0	40.0	37.0	43.0	39.0	40.0	47.0	47.0	45.0	37.0	34.0	47.0	37.0	39.0	37.0	50.0	35.0	41.0	39.0	28.0	37.0	36.0	36.0	36.0	45.0	36.0	47.0	47.0	49.0	45.0	33.0	55.0	55.0	55.0	39.0	47.0	49.0	56.0	55.0	57.0	59.0	33.0	46.0	52.0	35.0	58.0	51.0	50.0	0.0	53.0	79.0	35.0	49.0	61.0	58.0	42.0
Syan	79.0	83.0	81.0	86.0	87.0	111.0	89.0	105.0	85.0	95.0	97.0	101.0	97.0	83.0	87.0	99.0	81.0	81.0	81.0	108.0	84.0	95.0	94.0	83.0	91.0	98.0	98.0	97.0	101.0	87.0	99.0	99.0	99.0	97.0	84.0	122.0	122.0	122.0	101.0	99.0	117.0	115.0	90.0	104.0	108.0	111.0	109.0	93.0	103.0	116.0	135.0	143.0	91.0	0.0	120.0	105.0	174.0	119.0	136.0	143.0
Syao	58.0	56.0	55.0	58.0	60.0	73.0	56.0	71.0	56.0	66.0	69.0	69.0	73.0	56.0	63.0	69.0	55.0	55.0	59.0	67.0	60.0	59.0	56.0	60.0	58.0	60.0	60.0	64.0	66.0	58.0	69.0	69.0	69.0	73.0	64.0	78.0	78.0	78.0	66.0	69.0	82.0	85.0	74.0	76.0	82.0	76.0	102.0	78.0	77.0	84.0	88.0	94.0	77.0	70.0	0.0	38.0	89.0	73.0	57.0	60.0
