	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
Prak	15.0	15.0	19.0	14.0	9.0	24.0	11.0	19.0	15.0	19.0	0.0	8.0	7.0	15.0	9.0	1.0	16.0	18.0	24.0	13.0	21.0	19.0	12.0	17.0	11.0	10.0	14.0	20.0	27.0	14.0	0.0	2.0	0.0	6.0	17.0	15.0	15.0	15.0	20.0	2.0	16.0	23.0	20.0	27.0	18.0	18.0	28.0	19.0	20.0	21.0	20.0	23.0	17.0	41.0	31.0	125.0	14.0	100.0	34.0	36.0
Pral	12.0	16.0	18.0	15.0	11.0	25.0	17.0	20.0	14.0	21.0	13.0	0.0	10.0	14.0	9.0	13.0	17.0	18.0	22.0	12.0	22.0	25.0	17.0	18.0	15.0	12.0	15.0	23.0	24.0	16.0	13.0	14.0	11.0	9.0	21.0	15.0	15.0	15.0	23.0	14.0	17.0	27.0	17.0	22.0	15.0	22.0	25.0	18.0	22.0	21.0	19.0	24.0	18.0	43.0	31.0	124.0	16.0	100.0	32.0	33.0
Pram	13.0	12.0	12.0	9.0	6.0	23.0	9.0	20.0	11.0	20.0	9.0	13.0	0.0	13.0	5.0	9.0	10.0	12.0	24.0	12.0	25.0	19.0	10.0	13.0	8.0	6.0	11.0	23.0	28.0	9.0	8.0	10.0	7.0	0.0	16.0	16.0	16.0	15.0	26.0	10.0	20.0	25.0	19.0	25.0	17.0	19.0	26.0	19.0	21.0	20.0	21.0	23.0	17.0	41.0	33.0	123.0	13.0	99.0	37.0	35.0
Pran	18.0	0.0	11.0	15.0	9.0	27.0	11.0	23.0	12.0	24.0	14.0	14.0	10.0	0.0	8.0	15.0	10.0	11.0	23.0	14.0	19.0	17.0	11.0	20.0	10.0	9.0	11.0	26.0	25.0	12.0	14.0	15.0	13.0	11.0	14.0	16.0	15.0	15.0	30.0	16.0	19.0	20.0	12.0	22.0	17.0	17.0	24.0	15.0	19.0	17.0	17.0	19.0	15.0	34.0	26.0	125.0	16.0	102.0	37.0	37.0
Prao	6.0	14.0	4.0	4.0	4.0	22.0	9.0	19.0	9.0	21.0	16.0	15.0	12.0	11.0	0.0	17.0	4.0	4.0	9.0	16.0	7.0	6.0	9.0	4.0	6.0	5.0	6.0	21.0	24.0	5.0	16.0	17.0	16.0	13.0	8.0	13.0	12.0	12.0	26.0	18.0	25.0	22.0	14.0	22.0	18.0	14.0	26.0	13.0	17.0	17.0	18.0	21.0	14.0	36.0	29.0	124.0	19.0	99.0	35.0	31.0
Prap	15.0	15.0	18.0	14.0	9.0	24.0	11.0	19.0	15.0	19.0	2.0	9.0	7.0	15.0	9.0	0.0	15.0	17.0	24.0	13.0	21.0	19.0	12.0	17.0	11.0	10.0	14.0	20.0	27.0	14.0	0.0	2.0	0.0	6.0	18.0	15.0	15.0	15.0	20.0	2.0	16.0	23.0	20.0	27.0	18.0	18.0	28.0	19.0	20.0	21.0	20.0	23.0	17.0	42.0	31.0	125.0	14.0	100.0	34.0	36.0
Praq	7.0	13.0	3.0	7.0	3.0	22.0	9.0	19.0	10.0	18.0	14.0	11.0	10.0	12.0	2.0	15.0	0.0	1.0	14.0	14.0	14.0	10.0	9.0	5.0	4.0	2.0	5.0	20.0	24.0	3.0	14.0	15.0	13.0	11.0	12.0	13.0	12.0	12.0	23.0	16.0	17.0	19.0	14.0	22.0	19.0	16.0	24.0	16.0	21.0	15.0	16.0	20.0	15.0	34.0	27.0	124.0	12.0	97.0	34.0	33.0
Prar	7.0	13.0	5.0	8.0	3.0	24.0	9.0	20.0	10.0	19.0	14.0	11.0	10.0	12.0	2.0	15.0	2.0	0.0	14.0	14.0	13.0	10.0	9.0	4.0	4.0	2.0	5.0	21.0	26.0	3.0	14.0	15.0	13.0	11.0	15.0	13.0	12.0	12.0	23.0	16.0	17.0	19.0	14.0	22.0	19.0	16.0	24.0	16.0	23.0	16.0	17.0	20.0	16.0	34.0	27.0	124.0	12.0	97.0	33.0	33.0
Pras	3.0	11.0	5.0	6.0	3.0	20.0	4.0	19.0	8.0	20.0	14.0	11.0	12.0	11.0	3.0	15.0	6.0	6.0	0.0	13.0	9.0	8.0	5.0	6.0	4.0	3.0	5.0	19.0	23.0	4.0	14.0	15.0	13.0	13.0	10.0	14.0	13.0	13.0	24.0	16.0	17.0	20.0	15.0	20.0	15.0	12.0	21.0	14.0	18.0	17.0	15.0	16.0	14.0	33.0	27.0	122.0	10.0	92.0	32.0	27.0
Prat	14.0	16.0	16.0	18.0	11.0	23.0	17.0	20.0	13.0	20.0	15.0	9.0	7.0	15.0	7.0	14.0	14.0	16.0	24.0	0.0	20.0	25.0	18.0	18.0	13.0	10.0	14.0	21.0	24.0	16.0	13.0	15.0	13.0	7.0	20.0	17.0	17.0	17.0	23.0	14.0	19.0	27.0	18.0	26.0	18.0	22.0	28.0	19.0	23.0	23.0	20.0	24.0	19.0	46.0	30.0	124.0	13.0	98.0	34.0	30.0
Prau	3.0	11.0	5.0	6.0	2.0	22.0	7.0	21.0	13.0	22.0	14.0	14.0	11.0	10.0	2.0	15.0	5.0	5.0	8.0	13.0	0.0	10.0	7.0	6.0	4.0	3.0	6.0	21.0	25.0	3.0	14.0	15.0	13.0	12.0	10.0	16.0	15.0	15.0	24.0	16.0	19.0	20.0	15.0	23.0	18.0	15.0	26.0	15.0	21.0	18.0	19.0	18.0	14.0	35.0	28.0	125.0	15.0	93.0	31.0	25.0
Prav	4.0	10.0	5.0	5.0	3.0	20.0	8.0	20.0	5.0	18.0	17.0	14.0	10.0	11.0	4.0	17.0	4.0	4.0	10.0	16.0	12.0	0.0	9.0	8.0	4.0	3.0	6.0	18.0	23.0	4.0	16.0	17.0	15.0	11.0	17.0	13.0	13.0	13.0	27.0	18.0	22.0	20.0	14.0	19.0	17.0	13.0	23.0	12.0	18.0	14.0	18.0	19.0	15.0	39.0	27.0	127.0	16.0	97.0	33.0	28.0
Praw	5.0	10.0	5.0	5.0	4.0	21.0	1.0	20.0	8.0	21.0	16.0	15.0	12.0	10.0	5.0	16.0	5.0	5.0	11.0	15.0	8.0	13.0	0.0	5.0	6.0	5.0	7.0	21.0	23.0	3.0	15.0	16.0	14.0	13.0	14.0	13.0	13.0	13.0	30.0	17.0	19.0	21.0	16.0	22.0	19.0	14.0	22.0	14.0	20.0	16.0	18.0	19.0	16.0	38.0	27.0	127.0	13.0	97.0	33.0	31.0
Prax	5.0	13.0	3.0	6.0	2.0	21.0	7.0	19.0	8.0	21.0	15.0	14.0	12.0	13.0	3.0	16.0	3.0	3.0	9.0	14.0	8.0	6.0	7.0	0.0	5.0	3.0	5.0	20.0	24.0	5.0	15.0	16.0	14.0	13.0	2.0	11.0	10.0	10.0	28.0	17.0	16.0	19.0	12.0	20.0	16.0	12.0	23.0	12.0	14.0	15.0	16.0	20.0	11.0	34.0	28.0	127.0	14.0	98.0	35.0	34.0
Pray	2.0	11.0	9.0	4.0	2.0	21.0	7.0	22.0	11.0	22.0	15.0	13.0	14.0	10.0	2.0	16.0	8.0	9.0	8.0	14.0	10.0	9.0	6.0	3.0	0.0	2.0	4.0	23.0	26.0	3.0	15.0	16.0	14.0	15.0	5.0	15.0	14.0	14.0	29.0	17.0	20.0	18.0	13.0	20.0	15.0	14.0	22.0	14.0	20.0	16.0	16.0	19.0	15.0	37.0	27.0	121.0	14.0	95.0	34.0	30.0
Praz	2.0	11.0	9.0	4.0	3.0	21.0	7.0	22.0	12.0	23.0	15.0	13.0	14.0	10.0	2.0	16.0	8.0	9.0	8.0	13.0	10.0	9.0	6.0	3.0	4.0	0.0	4.0	23.0	26.0	2.0	15.0	16.0	14.0	15.0	5.0	14.0	13.0	13.0	30.0	17.0	22.0	18.0	13.0	20.0	15.0	14.0	22.0	14.0	19.0	16.0	17.0	20.0	14.0	38.0	28.0	122.0	14.0	96.0	34.0	30.0
Prba	2.0	11.0	9.0	4.0	3.0	21.0	7.0	22.0	12.0	23.0	15.0	13.0	14.0	10.0	2.0	16.0	8.0	9.0	8.0	14.0	10.0	9.0	6.0	3.0	4.0	2.0	0.0	23.0	26.0	3.0	15.0	16.0	14.0	15.0	5.0	13.0	12.0	12.0	30.0	17.0	22.0	18.0	13.0	20.0	15.0	14.0	21.0	14.0	20.0	16.0	17.0	20.0	14.0	38.0	28.0	121.0	14.0	96.0	35.0	30.0
Prbb	14.0	17.0	20.0	19.0	14.0	30.0	13.0	24.0	13.0	10.0	17.0	12.0	11.0	16.0	13.0	17.0	17.0	20.0	28.0	18.0	29.0	25.0	15.0	20.0	13.0	12.0	15.0	0.0	15.0	15.0	16.0	18.0	15.0	11.0	25.0	20.0	20.0	20.0	24.0	18.0	18.0	20.0	20.0	23.0	18.0	18.0	26.0	18.0	21.0	22.0	17.0	18.0	16.0	42.0	30.0	130.0	13.0	99.0	36.0	34.0
Prbc	14.0	17.0	19.0	16.0	11.0	26.0	13.0	21.0	14.0	7.0	16.0	13.0	13.0	17.0	10.0	16.0	17.0	20.0	23.0	17.0	25.0	20.0	14.0	19.0	12.0	11.0	14.0	6.0	0.0	15.0	15.0	17.0	14.0	13.0	40.0	17.0	17.0	17.0	22.0	17.0	23.0	18.0	19.0	28.0	18.0	18.0	28.0	20.0	24.0	22.0	19.0	17.0	19.0	42.0	31.0	130.0	14.0	99.0	35.0	38.0
Prbd	2.0	11.0	5.0	6.0	1.0	21.0	7.0	20.0	10.0	21.0	15.0	13.0	12.0	9.0	3.0	16.0	5.0	6.0	8.0	14.0	8.0	8.0	7.0	5.0	5.0	4.0	5.0	22.0	26.0	0.0	15.0	16.0	14.0	13.0	21.0	13.0	12.0	12.0	27.0	17.0	20.0	18.0	14.0	20.0	16.0	14.0	22.0	12.0	17.0	15.0	18.0	22.0	14.0	35.0	27.0	124.0	15.0	99.0	34.0	34.0
Prbe	15.0	15.0	19.0	14.0	9.0	24.0	11.0	19.0	15.0	19.0	2.0	9.0	7.0	15.0	9.0	1.0	16.0	18.0	24.0	13.0	21.0	19.0	12.0	17.0	11.0	10.0	14.0	20.0	27.0	14.0	0.0	2.0	0.0	6.0	18.0	15.0	15.0	15.0	20.0	2.0	16.0	23.0	20.0	27.0	18.0	18.0	28.0	19.0	20.0	21.0	20.0	23.0	17.0	42.0	31.0	125.0	14.0	100.0	34.0	36.0
Prbf	15.0	15.0	18.0	14.0	9.0	24.0	11.0	19.0	15.0	19.0	2.0	9.0	7.0	15.0	9.0	1.0	15.0	17.0	24.0	13.0	21.0	19.0	12.0	17.0	11.0	10.0	14.0	20.0	27.0	14.0	0.0	0.0	0.0	6.0	18.0	15.0	15.0	15.0	20.0	2.0	16.0	23.0	20.0	27.0	18.0	18.0	28.0	19.0	20.0	21.0	20.0	23.0	17.0	42.0	31.0	125.0	14.0	100.0	34.0	36.0
Prbg	15.0	15.0	18.0	14.0	9.0	24.0	11.0	19.0	15.0	19.0	2.0	9.0	7.0	15.0	9.0	1.0	15.0	17.0	24.0	13.0	21.0	19.0	12.0	17.0	11.0	10.0	14.0	20.0	27.0	14.0	0.0	2.0	0.0	6.0	18.0	15.0	15.0	15.0	20.0	2.0	16.0	23.0	20.0	27.0	18.0	18.0	28.0	19.0	21.0	21.0	20.0	23.0	18.0	42.0	31.0	125.0	14.0	100.0	34.0	36.0
Prbh	13.0	12.0	12.0	9.0	6.0	23.0	9.0	20.0	11.0	20.0	9.0	13.0	1.0	13.0	5.0	9.0	10.0	12.0	24.0	13.0	25.0	19.0	10.0	13.0	8.0	6.0	11.0	23.0	28.0	9.0	8.0	10.0	7.0	0.0	16.0	16.0	16.0	15.0	26.0	10.0	20.0	25.0	19.0	25.0	17.0	19.0	26.0	19.0	21.0	20.0	21.0	23.0	17.0	41.0	33.0	123.0	13.0	99.0	37.0	35.0
Prbi	4.0	11.0	5.0	3.0	1.0	23.0	5.0	19.0	9.0	19.0	14.0	15.0	13.0	9.0	2.0	15.0	4.0	4.0	7.0	13.0	8.0	6.0	5.0	4.0	5.0	4.0	6.0	20.0	28.0	4.0	14.0	15.0	13.0	14.0	0.0	13.0	12.0	12.0	26.0	16.0	20.0	19.0	13.0	19.0	17.0	12.0	23.0	13.0	18.0	15.0	17.0	19.0	13.0	35.0	29.0	122.0	14.0	95.0	34.0	27.0
Prbj	11.0	12.0	15.0	11.0	8.0	32.0	12.0	37.0	15.0	20.0	18.0	14.0	13.0	13.0	6.0	18.0	14.0	15.0	22.0	16.0	22.0	18.0	12.0	18.0	11.0	10.0	12.0	20.0	21.0	11.0	17.0	19.0	16.0	13.0	16.0	0.0	2.0	0.0	19.0	19.0	24.0	38.0	18.0	32.0	19.0	21.0	32.0	22.0	45.0	27.0	25.0	30.0	24.0	51.0	36.0	149.0	15.0	117.0	46.0	47.0
Prbk	11.0	12.0	15.0	11.0	8.0	33.0	12.0	37.0	15.0	20.0	18.0	14.0	13.0	13.0	6.0	18.0	14.0	15.0	22.0	16.0	22.0	19.0	13.0	19.0	10.0	10.0	12.0	20.0	21.0	11.0	17.0	19.0	16.0	13.0	16.0	6.0	0.0	0.0	19.0	19.0	23.0	38.0	18.0	31.0	19.0	21.0	32.0	22.0	45.0	27.0	25.0	30.0	24.0	51.0	36.0	149.0	15.0	117.0	46.0	47.0
Prbl	11.0	12.0	15.0	11.0	8.0	31.0	12.0	37.0	15.0	19.0	18.0	13.0	13.0	13.0	6.0	18.0	14.0	15.0	22.0	16.0	22.0	19.0	13.0	19.0	11.0	10.0	12.0	19.0	20.0	11.0	17.0	19.0	16.0	13.0	16.0	7.0	3.0	0.0	19.0	19.0	23.0	38.0	18.0	32.0	19.0	21.0	32.0	22.0	45.0	28.0	25.0	30.0	24.0	51.0	36.0	148.0	15.0	117.0	46.0	47.0
Prbm	13.0	15.0	18.0	14.0	9.0	26.0	13.0	20.0	12.0	9.0	17.0	11.0	11.0	15.0	9.0	17.0	16.0	19.0	22.0	18.0	24.0	18.0	15.0	18.0	11.0	10.0	13.0	12.0	16.0	12.0	16.0	18.0	15.0	11.0	21.0	20.0	20.0	20.0	0.0	18.0	24.0	18.0	19.0	22.0	15.0	16.0	26.0	16.0	24.0	22.0	18.0	21.0	16.0	43.0	31.0	133.0	13.0	98.0	35.0	35.0
Prbn	15.0	15.0	19.0	14.0	9.0	24.0	11.0	19.0	15.0	19.0	2.0	9.0	7.0	15.0	9.0	1.0	16.0	18.0	24.0	12.0	21.0	19.0	12.0	17.0	11.0	10.0	14.0	20.0	27.0	14.0	0.0	2.0	0.0	6.0	18.0	15.0	15.0	15.0	20.0	0.0	16.0	23.0	20.0	27.0	18.0	18.0	28.0	19.0	20.0	21.0	20.0	23.0	17.0	42.0	31.0	125.0	14.0	100.0	34.0	36.0
Syaa	16.0	14.0	19.0	17.0	11.0	37.0	11.0	27.0	16.0	18.0	16.0	17.0	15.0	15.0	11.0	16.0	20.0	20.0	25.0	21.0	28.0	14.0	12.0	15.0	15.0	14.0	15.0	21.0	23.0	14.0	15.0	16.0	14.0	16.0	28.0	20.0	19.0	18.0	24.0	17.0	0.0	22.0	8.0	23.0	5.0	17.0	17.0	8.0	47.0	16.0	17.0	30.0	22.0	50.0	37.0	159.0	11.0	74.0	35.0	51.0
Syab	20.0	17.0	26.0	22.0	16.0	29.0	18.0	30.0	22.0	19.0	17.0	19.0	16.0	16.0	15.0	17.0	26.0	27.0	33.0	22.0	31.0	20.0	19.0	19.0	21.0	19.0	22.0	21.0	25.0	21.0	16.0	17.0	15.0	16.0	33.0	19.0	18.0	18.0	21.0	18.0	22.0	0.0	11.0	20.0	10.0	26.0	16.0	13.0	43.0	22.0	7.0	25.0	24.0	50.0	39.0	157.0	13.0	118.0	39.0	46.0
Syac	18.0	15.0	23.0	21.0	15.0	29.0	14.0	23.0	18.0	18.0	17.0	16.0	14.0	14.0	13.0	17.0	24.0	24.0	28.0	20.0	28.0	18.0	15.0	18.0	18.0	15.0	18.0	21.0	22.0	17.0	16.0	18.0	15.0	14.0	31.0	17.0	16.0	16.0	21.0	18.0	28.0	19.0	0.0	22.0	12.0	18.0	15.0	9.0	40.0	17.0	17.0	20.0	23.0	40.0	34.0	147.0	11.0	55.0	33.0	43.0
Syad	21.0	16.0	22.0	22.0	14.0	35.0	17.0	29.0	20.0	18.0	20.0	19.0	16.0	15.0	15.0	20.0	23.0	23.0	30.0	23.0	30.0	19.0	18.0	20.0	21.0	19.0	22.0	19.0	22.0	20.0	19.0	20.0	18.0	17.0	32.0	23.0	22.0	22.0	24.0	21.0	27.0	38.0	13.0	0.0	10.0	28.0	19.0	13.0	48.0	26.0	22.0	38.0	25.0	47.0	35.0	158.0	14.0	74.0	40.0	49.0
Syae	17.0	13.0	21.0	20.0	15.0	38.0	14.0	24.0	16.0	18.0	15.0	17.0	15.0	13.0	13.0	15.0	22.0	22.0	28.0	20.0	29.0	18.0	15.0	20.0	20.0	18.0	19.0	21.0	24.0	18.0	14.0	15.0	13.0	16.0	34.0	17.0	16.0	16.0	26.0	16.0	27.0	33.0	13.0	22.0	0.0	19.0	19.0	14.0	46.0	24.0	20.0	34.0	25.0	47.0	38.0	157.0	15.0	83.0	44.0	56.0
Syaf	17.0	16.0	23.0	20.0	14.0	30.0	15.0	29.0	19.0	19.0	14.0	15.0	13.0	16.0	13.0	14.0	23.0	23.0	28.0	18.0	28.0	15.0	16.0	20.0	18.0	15.0	18.0	20.0	23.0	16.0	13.0	15.0	12.0	13.0	29.0	16.0	15.0	15.0	23.0	15.0	15.0	31.0	5.0	16.0	8.0	0.0	19.0	4.0	39.0	17.0	24.0	25.0	15.0	49.0	35.0	160.0	12.0	68.0	40.0	46.0
Syag	18.0	16.0	26.0	18.0	14.0	28.0	14.0	30.0	18.0	18.0	16.0	18.0	16.0	16.0	13.0	16.0	26.0	26.0	28.0	22.0	30.0	18.0	16.0	20.0	19.0	17.0	19.0	18.0	22.0	19.0	15.0	17.0	14.0	16.0	32.0	21.0	20.0	19.0	22.0	17.0	25.0	32.0	17.0	29.0	14.0	29.0	0.0	19.0	47.0	28.0	15.0	36.0	22.0	47.0	46.0	164.0	15.0	126.0	40.0	44.0
Syah	19.0	14.0	24.0	20.0	15.0	30.0	15.0	22.0	19.0	18.0	18.0	20.0	17.0	14.0	14.0	18.0	25.0	25.0	28.0	23.0	29.0	18.0	16.0	19.0	18.0	16.0	19.0	22.0	23.0	17.0	17.0	18.0	16.0	17.0	34.0	19.0	18.0	18.0	26.0	19.0	31.0	21.0	4.0	23.0	9.0	19.0	21.0	0.0	40.0	20.0	16.0	21.0	22.0	40.0	35.0	152.0	11.0	53.0	31.0	41.0
Syai	17.0	15.0	24.0	18.0	13.0	30.0	15.0	25.0	19.0	19.0	15.0	17.0	14.0	15.0	13.0	15.0	24.0	25.0	27.0	23.0	29.0	17.0	16.0	18.0	18.0	17.0	18.0	22.0	25.0	18.0	14.0	16.0	14.0	15.0	30.0	20.0	19.0	19.0	23.0	16.0	29.0	22.0	9.0	24.0	7.0	16.0	20.0	5.0	0.0	14.0	20.0	22.0	17.0	45.0	36.0	156.0	8.0	66.0	38.0	47.0
Syaj	23.0	16.0	21.0	23.0	16.0	36.0	17.0	31.0	19.0	17.0	18.0	21.0	14.0	15.0	17.0	18.0	22.0	22.0	32.0	22.0	32.0	19.0	18.0	23.0	23.0	21.0	24.0	20.0	22.0	22.0	17.0	18.0	16.0	15.0	34.0	25.0	23.0	22.0	22.0	19.0	32.0	43.0	16.0	33.0	11.0	29.0	26.0	17.0	53.0	0.0	27.0	38.0	26.0	51.0	39.0	161.0	15.0	76.0	43.0	56.0
Syak	16.0	15.0	21.0	18.0	15.0	30.0	14.0	30.0	16.0	14.0	16.0	18.0	15.0	14.0	14.0	16.0	20.0	21.0	25.0	22.0	30.0	16.0	15.0	19.0	17.0	16.0	18.0	15.0	19.0	19.0	15.0	17.0	14.0	16.0	34.0	19.0	18.0	17.0	21.0	17.0	31.0	28.0	20.0	28.0	11.0	39.0	18.0	20.0	52.0	26.0	0.0	33.0	21.0	58.0	41.0	165.0	16.0	123.0	43.0	63.0
Syal	22.0	15.0	22.0	20.0	16.0	36.0	15.0	30.0	22.0	18.0	17.0	19.0	15.0	14.0	15.0	17.0	23.0	23.0	31.0	21.0	27.0	18.0	16.0	19.0	21.0	18.0	21.0	22.0	25.0	18.0	16.0	17.0	15.0	16.0	35.0	20.0	18.0	18.0	25.0	18.0	32.0	22.0	10.0	23.0	12.0	21.0	20.0	13.0	44.0	25.0	14.0	0.0	22.0	59.0	42.0	163.0	16.0	127.0	38.0	55.0
Syam	16.0	12.0	22.0	17.0	13.0	28.0	15.0	26.0	18.0	19.0	17.0	14.0	13.0	12.0	12.0	17.0	22.0	23.0	25.0	20.0	27.0	17.0	16.0	16.0	16.0	15.0	16.0	21.0	25.0	16.0	16.0	18.0	16.0	13.0	28.0	17.0	16.0	16.0	25.0	18.0	21.0	23.0	4.0	13.0	9.0	11.0	16.0	5.0	25.0	11.0	15.0	21.0	0.0	40.0	35.0	149.0	10.0	60.0	30.0	34.0
Syan	16.0	14.0	21.0	18.0	13.0	35.0	15.0	36.0	16.0	19.0	15.0	21.0	12.0	14.0	10.0	16.0	20.0	21.0	23.0	20.0	25.0	16.0	16.0	13.0	16.0	14.0	16.0	20.0	17.0	17.0	15.0	17.0	14.0	13.0	31.0	21.0	20.0	19.0	26.0	17.0	39.0	52.0	22.0	41.0	22.0	34.0	32.0	22.0	47.0	33.0	37.0	58.0	22.0	0.0	31.0	154.0	36.0	65.0	30.0	54.0
Syao	18.0	18.0	21.0	19.0	17.0	39.0	15.0	32.0	18.0	19.0	18.0	18.0	13.0	17.0	13.0	18.0	20.0	21.0	29.0	22.0	30.0	18.0	15.0	16.0	18.0	17.0	19.0	21.0	23.0	18.0	17.0	19.0	16.0	13.0	34.0	23.0	22.0	22.0	26.0	19.0	39.0	46.0	28.0	38.0	29.0	39.0	35.0	31.0	50.0	34.0	31.0	43.0	33.0	46.0	0.0	153.0	25.0	70.0	30.0	55.0
