Orthogroup	Syaj	Prbm
OG0000047	Syaj.g_02799	Prbm.g_00390, Prbm.g_00428
OG0000048	Syaj.g_02578	Prbm.g_00329
OG0000050	Syaj.g_01584	Prbm.g_00118
OG0000052	Syaj.g_02476	Prbm.g_00114
OG0000053	Syaj.g_01409	Prbm.g_01729
OG0000054	Syaj.g_01341	Prbm.g_00637
OG0000057	Syaj.g_00438	Prbm.g_00735
OG0000058	Syaj.g_02495	Prbm.g_00881
OG0000059	Syaj.g_02686	Prbm.g_01973
OG0000060	Syaj.g_01469, Syaj.g_00067, Syaj.g_00635	Prbm.g_01422
OG0000061	Syaj.g_00302	Prbm.g_01549
OG0000062	Syaj.g_01700	Prbm.g_01792
OG0000063	Syaj.g_02302	Prbm.g_01947
OG0000065	Syaj.g_01887, Syaj.g_00007	Prbm.g_00164
OG0000066	Syaj.g_00157	Prbm.g_00572
OG0000067	Syaj.g_01023	Prbm.g_00814
OG0000068	Syaj.g_00059	Prbm.g_01660
OG0000070	Syaj.g_01529	Prbm.g_00460
OG0000071	Syaj.g_01511	Prbm.g_00468, Prbm.g_01611
OG0000072	Syaj.g_01992	Prbm.g_00230
OG0000073	Syaj.g_00093	Prbm.g_00533
OG0000075	Syaj.g_02457	Prbm.g_02069
OG0000076	Syaj.g_02417	Prbm.g_02094
OG0000077	Syaj.g_01831	Prbm.g_00135
OG0000078	Syaj.g_02880	Prbm.g_00300
OG0000079	Syaj.g_02609	Prbm.g_00311
OG0000081	Syaj.g_02888	Prbm.g_00564
OG0000082	Syaj.g_00229	Prbm.g_01900
OG0000084	Syaj.g_01375	Prbm.g_01706
OG0000085	Syaj.g_01707	Prbm.g_01834
OG0000086	Syaj.g_01848	Prbm.g_00145
OG0000087	Syaj.g_01945	Prbm.g_00198
OG0000088	Syaj.g_01986	Prbm.g_00225
OG0000089	Syaj.g_02829, Syaj.g_01915	Prbm.g_00423
OG0000090	Syaj.g_00144	Prbm.g_00566
OG0000091	Syaj.g_01275	Prbm.g_00673
OG0000092	Syaj.g_00339	Prbm.g_00934
OG0000093	Syaj.g_01042	Prbm.g_00799
OG0000094	Syaj.g_00804	Prbm.g_00888
OG0000095	Syaj.g_00427	Prbm.g_01064
OG0000097	Syaj.g_00589	Prbm.g_01502
OG0000098	Syaj.g_02671	Prbm.g_01630
OG0000099	Syaj.g_02503	Prbm.g_00394
OG0000100	Syaj.g_00987	Prbm.g_01787
OG0000101	Syaj.g_02738	Prbm.g_02033
OG0000102	Syaj.g_02411	Prbm.g_02099
OG0000103	Syaj.g_02243	Prbm.g_02218
OG0000104	Syaj.g_02258	Prbm.g_02229
OG0000105	Syaj.g_02573	Prbm.g_00331
OG0000106	Syaj.g_01130	Prbm.g_01172, Prbm.g_01237
OG0000107	Syaj.g_02637	Prbm.g_01949
OG0000108	Syaj.g_00072	Prbm.g_00506
OG0000109	Syaj.g_00087	Prbm.g_00519
OG0000110	Syaj.g_00215	Prbm.g_00607
OG0000111	Syaj.g_00437	Prbm.g_00736
OG0000112	Syaj.g_00907	Prbm.g_00980
OG0000113	Syaj.g_00992	Prbm.g_00838, Prbm.g_01191
OG0000114	Syaj.g_00741	Prbm.g_00929
OG0000115	Syaj.g_01402	Prbm.g_01803
OG0000116	Syaj.g_00289	Prbm.g_01560
OG0000117	Syaj.g_00637	Prbm.g_01522
OG0000118	Syaj.g_00267	Prbm.g_01622
OG0000119	Syaj.g_00317	Prbm.g_01653
OG0000120	Syaj.g_02502	Prbm.g_00707
OG0000121	Syaj.g_01383	Prbm.g_01712
OG0000122	Syaj.g_01250	Prbm.g_01751
OG0000123	Syaj.g_02745	Prbm.g_02040
OG0000124	Syaj.g_02388	Prbm.g_02111
OG0000125	Syaj.g_02117	Prbm.g_02176
OG0000126	Syaj.g_02256	Prbm.g_02228
OG0000127	Syaj.g_00538	Prbm.g_01460
OG0000128	Syaj.g_02274	Prbm.g_00011
OG0000129	Syaj.g_02106	Prbm.g_00053
OG0000130	Syaj.g_01818	Prbm.g_00126
OG0000131	Syaj.g_01964	Prbm.g_00204
OG0000132	Syaj.g_00688, Syaj.g_01984	Prbm.g_00223
OG0000133	Syaj.g_00902	Prbm.g_00377
OG0000134	Syaj.g_02832	Prbm.g_00425
OG0000135	Syaj.g_02167	Prbm.g_01389
OG0000136	Syaj.g_01550	Prbm.g_00451
OG0000137	Syaj.g_01444	Prbm.g_00500
OG0000138	Syaj.g_00088, Syaj.g_02631	Prbm.g_00520
OG0000139	Syaj.g_00150	Prbm.g_00570
OG0000140	Syaj.g_00153	Prbm.g_00571
OG0000141	Syaj.g_01340	Prbm.g_00638
OG0000142	Syaj.g_01283	Prbm.g_00666
OG0000143	Syaj.g_01279	Prbm.g_00670
OG0000144	Syaj.g_01151	Prbm.g_00683
OG0000145	Syaj.g_00094	Prbm.g_01094
OG0000146	Syaj.g_00908	Prbm.g_00979
OG0000147	Syaj.g_00909	Prbm.g_00978
OG0000148	Syaj.g_01003	Prbm.g_00832
OG0000149	Syaj.g_00369	Prbm.g_00862
OG0000150	Syaj.g_01339, Syaj.g_00154	Prbm.g_00870
OG0000151	Syaj.g_01074	Prbm.g_00940
OG0000152	Syaj.g_00898	Prbm.g_00988
OG0000153	Syaj.g_00842	Prbm.g_01006
OG0000154	Syaj.g_00814	Prbm.g_01035
OG0000155	Syaj.g_00338	Prbm.g_01527
OG0000156	Syaj.g_00282	Prbm.g_01600
OG0000157	Syaj.g_00281	Prbm.g_01601
OG0000158	Syaj.g_02445	Prbm.g_02077
OG0000160	Syaj.g_01382	Prbm.g_01711
OG0000161	Syaj.g_01389	Prbm.g_01717
OG0000162	Syaj.g_01395	Prbm.g_01723
OG0000163	Syaj.g_01639	Prbm.g_01759
OG0000164	Syaj.g_01758	Prbm.g_01863
OG0000165	Syaj.g_01582	Prbm.g_01871
OG0000166	Syaj.g_02698	Prbm.g_01996
OG0000167	Syaj.g_02460	Prbm.g_02067
OG0000168	Syaj.g_02444	Prbm.g_02078
OG0000169	Syaj.g_02431, Syaj.g_02429	Prbm.g_02088
OG0000170	Syaj.g_02422	Prbm.g_02090
OG0000171	Syaj.g_02389	Prbm.g_02110
OG0000172	Syaj.g_02365	Prbm.g_02146
OG0000173	Syaj.g_02321	Prbm.g_02161
OG0000174	Syaj.g_02169	Prbm.g_02192
OG0000175	Syaj.g_02229	Prbm.g_02209
OG0000176	Syaj.g_02266	Prbm.g_00004
OG0000177	Syaj.g_02267	Prbm.g_00005
OG0000178	Syaj.g_02268	Prbm.g_00006
OG0000179	Syaj.g_02283	Prbm.g_00016
OG0000180	Syaj.g_02284	Prbm.g_00017
OG0000181	Syaj.g_02285	Prbm.g_00018
OG0000182	Syaj.g_02286	Prbm.g_00019
OG0000183	Syaj.g_02290	Prbm.g_00023
OG0000184	Syaj.g_02098	Prbm.g_00055
OG0000185	Syaj.g_02087	Prbm.g_00058
OG0000186	Syaj.g_01812	Prbm.g_00121
OG0000187	Syaj.g_01814	Prbm.g_00122
OG0000188	Syaj.g_01837	Prbm.g_00139
OG0000189	Syaj.g_01874	Prbm.g_00153
OG0000190	Syaj.g_01876	Prbm.g_00154
OG0000191	Syaj.g_01910	Prbm.g_00177
OG0000192	Syaj.g_01919	Prbm.g_00181
OG0000193	Syaj.g_01965	Prbm.g_00205
OG0000194	Syaj.g_01968	Prbm.g_00208
OG0000195	Syaj.g_01971	Prbm.g_00210
OG0000196	Syaj.g_01981	Prbm.g_00220
OG0000197	Syaj.g_01982	Prbm.g_00221
OG0000198	Syaj.g_01983	Prbm.g_00222
OG0000199	Syaj.g_01991	Prbm.g_00229
OG0000200	Syaj.g_02008	Prbm.g_00243
OG0000201	Syaj.g_02024	Prbm.g_00252
OG0000202	Syaj.g_02025	Prbm.g_00253
OG0000203	Syaj.g_02026	Prbm.g_00254
OG0000204	Syaj.g_02027	Prbm.g_00255
OG0000205	Syaj.g_02035	Prbm.g_00262
OG0000206	Syaj.g_02043	Prbm.g_00266
OG0000207	Syaj.g_02045	Prbm.g_00268
OG0000208	Syaj.g_02046	Prbm.g_00269
OG0000209	Syaj.g_02070	Prbm.g_00278
OG0000210	Syaj.g_02071	Prbm.g_00279
OG0000211	Syaj.g_02856	Prbm.g_00293
OG0000212	Syaj.g_02881	Prbm.g_00301
OG0000213	Syaj.g_02601	Prbm.g_00317
OG0000214	Syaj.g_02582	Prbm.g_00325
OG0000215	Syaj.g_02551	Prbm.g_00349
OG0000216	Syaj.g_02547	Prbm.g_00350
OG0000217	Syaj.g_02543	Prbm.g_00353
OG0000218	Syaj.g_02541	Prbm.g_00355
OG0000219	Syaj.g_02540	Prbm.g_00356
OG0000220	Syaj.g_02539	Prbm.g_00357
OG0000221	Syaj.g_02530	Prbm.g_00358
OG0000222	Syaj.g_02516	Prbm.g_00366
OG0000223	Syaj.g_02494	Prbm.g_00378
OG0000224	Syaj.g_02487	Prbm.g_00380
OG0000225	Syaj.g_02821	Prbm.g_00411
OG0000226	Syaj.g_02825	Prbm.g_00415
OG0000227	Syaj.g_02827	Prbm.g_00417
OG0000228	Syaj.g_02828	Prbm.g_00422
OG0000229	Syaj.g_01555	Prbm.g_00446
OG0000230	Syaj.g_01553	Prbm.g_00448
OG0000231	Syaj.g_01541	Prbm.g_00459
OG0000232	Syaj.g_01497	Prbm.g_00484
OG0000233	Syaj.g_01481	Prbm.g_00492
OG0000234	Syaj.g_01442	Prbm.g_00501
OG0000235	Syaj.g_00071	Prbm.g_00505
OG0000236	Syaj.g_00086	Prbm.g_00518
OG0000237	Syaj.g_00103	Prbm.g_00540
OG0000238	Syaj.g_00108	Prbm.g_00546
OG0000239	Syaj.g_00125	Prbm.g_00558
OG0000240	Syaj.g_00126	Prbm.g_00559
OG0000241	Syaj.g_01291	Prbm.g_00563
OG0000242	Syaj.g_00142	Prbm.g_00565
OG0000243	Syaj.g_00164	Prbm.g_00576
OG0000244	Syaj.g_00180	Prbm.g_00579
OG0000245	Syaj.g_00182	Prbm.g_00581
OG0000246	Syaj.g_00186	Prbm.g_00585
OG0000247	Syaj.g_00197	Prbm.g_00595
OG0000248	Syaj.g_00200	Prbm.g_00597
OG0000249	Syaj.g_00202	Prbm.g_00599
OG0000250	Syaj.g_00211	Prbm.g_00604
OG0000251	Syaj.g_00237	Prbm.g_00620
OG0000252	Syaj.g_00243	Prbm.g_00623
OG0000253	Syaj.g_00245	Prbm.g_00625
OG0000254	Syaj.g_01335	Prbm.g_00642
OG0000255	Syaj.g_01315	Prbm.g_00648
OG0000256	Syaj.g_01297	Prbm.g_00658
OG0000257	Syaj.g_01292	Prbm.g_00661
OG0000258	Syaj.g_01274	Prbm.g_00674
OG0000259	Syaj.g_00707	Prbm.g_00691
OG0000260	Syaj.g_00712	Prbm.g_00694
OG0000261	Syaj.g_00715	Prbm.g_00697
OG0000262	Syaj.g_00720	Prbm.g_00702
OG0000263	Syaj.g_00605	Prbm.g_00716
OG0000264	Syaj.g_00485	Prbm.g_00728
OG0000265	Syaj.g_00510	Prbm.g_00742
OG0000266	Syaj.g_00946	Prbm.g_00752
OG0000267	Syaj.g_00770	Prbm.g_00765
OG0000268	Syaj.g_00771	Prbm.g_00766
OG0000269	Syaj.g_01031	Prbm.g_00809
OG0000270	Syaj.g_01025	Prbm.g_00812
OG0000271	Syaj.g_01017	Prbm.g_00820
OG0000272	Syaj.g_01016	Prbm.g_00821
OG0000273	Syaj.g_00389	Prbm.g_00845
OG0000274	Syaj.g_00388	Prbm.g_00846
OG0000275	Syaj.g_00384	Prbm.g_00848
OG0000276	Syaj.g_00377	Prbm.g_00854
OG0000277	Syaj.g_00376	Prbm.g_00855
OG0000278	Syaj.g_00373	Prbm.g_00858
OG0000279	Syaj.g_00357	Prbm.g_00865
OG0000281	Syaj.g_02670	Prbm.g_00871
OG0000282	Syaj.g_00743	Prbm.g_00931
OG0000283	Syaj.g_00790	Prbm.g_00962
OG0000284	Syaj.g_00930	Prbm.g_00967
OG0000285	Syaj.g_00917	Prbm.g_00972
OG0000286	Syaj.g_00899	Prbm.g_00987
OG0000287	Syaj.g_00849	Prbm.g_00102
OG0000288	Syaj.g_00815	Prbm.g_01034
OG0000289	Syaj.g_00800	Prbm.g_01045
OG0000290	Syaj.g_00424	Prbm.g_01061
OG0000291	Syaj.g_00426	Prbm.g_01063
OG0000292	Syaj.g_02255	Prbm.g_01210
OG0000293	Syaj.g_00290	Prbm.g_01559
OG0000294	Syaj.g_00291	Prbm.g_01558
OG0000295	Syaj.g_00330	Prbm.g_01534
OG0000296	Syaj.g_00332	Prbm.g_01532
OG0000297	Syaj.g_00639	Prbm.g_01524
OG0000298	Syaj.g_00638	Prbm.g_01523
OG0000299	Syaj.g_00592	Prbm.g_01503
OG0000300	Syaj.g_00586	Prbm.g_01500
OG0000301	Syaj.g_00585	Prbm.g_01499
OG0000302	Syaj.g_00582	Prbm.g_01497
OG0000303	Syaj.g_00572	Prbm.g_01492
OG0000304	Syaj.g_00566	Prbm.g_01489
OG0000305	Syaj.g_00429	Prbm.g_01812
OG0000306	Syaj.g_01126	Prbm.g_00875
OG0000307	Syaj.g_00051	Prbm.g_01669
OG0000308	Syaj.g_00049	Prbm.g_01670
OG0000309	Syaj.g_00044	Prbm.g_01674
OG0000310	Syaj.g_01358	Prbm.g_01694
OG0000311	Syaj.g_01362	Prbm.g_01696
OG0000312	Syaj.g_01368	Prbm.g_01699
OG0000313	Syaj.g_01386	Prbm.g_01714
OG0000314	Syaj.g_01420	Prbm.g_01735
OG0000315	Syaj.g_01430	Prbm.g_01745
OG0000316	Syaj.g_01664	Prbm.g_01770
OG0000317	Syaj.g_01715	Prbm.g_01839
OG0000318	Syaj.g_01722	Prbm.g_01842
OG0000319	Syaj.g_01741	Prbm.g_01853
OG0000320	Syaj.g_01743	Prbm.g_01855
OG0000321	Syaj.g_01744	Prbm.g_01856
OG0000322	Syaj.g_01745	Prbm.g_01857
OG0000323	Syaj.g_01760	Prbm.g_01866
OG0000324	Syaj.g_01609	Prbm.g_01893
OG0000325	Syaj.g_02638	Prbm.g_01950
OG0000326	Syaj.g_02645	Prbm.g_01956
OG0000327	Syaj.g_02693	Prbm.g_01991
OG0000328	Syaj.g_02694	Prbm.g_01992
OG0000329	Syaj.g_02712	Prbm.g_02009
OG0000330	Syaj.g_02713	Prbm.g_02010
OG0000331	Syaj.g_02714	Prbm.g_02011
OG0000332	Syaj.g_02729	Prbm.g_02025
OG0000333	Syaj.g_02732	Prbm.g_02027
OG0000334	Syaj.g_02741	Prbm.g_02036
OG0000335	Syaj.g_02746	Prbm.g_02041
OG0000336	Syaj.g_02750	Prbm.g_02045
OG0000337	Syaj.g_02466	Prbm.g_02064
OG0000338	Syaj.g_02462	Prbm.g_02065
OG0000339	Syaj.g_02455	Prbm.g_02070
OG0000340	Syaj.g_02443	Prbm.g_02079
OG0000341	Syaj.g_02441	Prbm.g_02081
OG0000342	Syaj.g_02440	Prbm.g_02082
OG0000343	Syaj.g_02437	Prbm.g_02083
OG0000344	Syaj.g_02433	Prbm.g_02086
OG0000345	Syaj.g_02421	Prbm.g_02091
OG0000346	Syaj.g_02416	Prbm.g_02095
OG0000347	Syaj.g_02383	Prbm.g_02114
OG0000348	Syaj.g_02333	Prbm.g_02149
OG0000349	Syaj.g_02314	Prbm.g_02167
OG0000350	Syaj.g_02652	Prbm.g_02188
OG0000351	Syaj.g_02234	Prbm.g_02212
OG0000352	Syaj.g_02235	Prbm.g_02213
OG0000353	Syaj.g_02261	Prbm.g_02232
OG0000354	Syaj.g_02281	Prbm.g_01220
OG0000355	Syaj.g_02263	Prbm.g_00001
OG0000356	Syaj.g_02264	Prbm.g_00002
OG0000357	Syaj.g_02265	Prbm.g_00003
OG0000358	Syaj.g_02269	Prbm.g_00007
OG0000359	Syaj.g_02271	Prbm.g_00008
OG0000360	Syaj.g_02272	Prbm.g_00009
OG0000361	Syaj.g_02273	Prbm.g_00010
OG0000362	Syaj.g_02275	Prbm.g_00012
OG0000363	Syaj.g_02277	Prbm.g_00014
OG0000364	Syaj.g_02278	Prbm.g_00015
OG0000365	Syaj.g_02287	Prbm.g_00020
OG0000366	Syaj.g_02288	Prbm.g_00021
OG0000367	Syaj.g_02289	Prbm.g_00022
OG0000368	Syaj.g_02291	Prbm.g_00024
OG0000369	Syaj.g_02292	Prbm.g_00025
OG0000370	Syaj.g_02293	Prbm.g_00026
OG0000371	Syaj.g_02301	Prbm.g_00032
OG0000372	Syaj.g_02307	Prbm.g_00033
OG0000373	Syaj.g_02308	Prbm.g_00034
OG0000374	Syaj.g_02309	Prbm.g_00035
OG0000375	Syaj.g_02310	Prbm.g_00049
OG0000376	Syaj.g_02312	Prbm.g_00051
OG0000377	Syaj.g_02105	Prbm.g_00054
OG0000378	Syaj.g_02091	Prbm.g_00056
OG0000379	Syaj.g_02086	Prbm.g_00059
OG0000380	Syaj.g_01815	Prbm.g_00123
OG0000381	Syaj.g_01819	Prbm.g_00127
OG0000382	Syaj.g_01836	Prbm.g_00138
OG0000383	Syaj.g_01839	Prbm.g_00140
OG0000384	Syaj.g_01840	Prbm.g_00141
OG0000385	Syaj.g_01841	Prbm.g_00142
OG0000386	Syaj.g_01842	Prbm.g_00143
OG0000387	Syaj.g_01878	Prbm.g_00156
OG0000388	Syaj.g_01882	Prbm.g_00160
OG0000389	Syaj.g_01886	Prbm.g_00163
OG0000390	Syaj.g_01904	Prbm.g_00172
OG0000391	Syaj.g_01909	Prbm.g_00176
OG0000392	Syaj.g_01918	Prbm.g_00179
OG0000393	Syaj.g_01922	Prbm.g_00182
OG0000394	Syaj.g_01923	Prbm.g_00183
OG0000395	Syaj.g_01924	Prbm.g_00184
OG0000396	Syaj.g_01928	Prbm.g_00187
OG0000397	Syaj.g_01930	Prbm.g_00189
OG0000398	Syaj.g_01935	Prbm.g_00192
OG0000399	Syaj.g_01936	Prbm.g_00193
OG0000400	Syaj.g_01937	Prbm.g_00194
OG0000401	Syaj.g_01938	Prbm.g_00195
OG0000402	Syaj.g_01940	Prbm.g_01096
OG0000403	Syaj.g_01941	Prbm.g_00196
OG0000404	Syaj.g_01943	Prbm.g_00197
OG0000405	Syaj.g_01961	Prbm.g_00202
OG0000406	Syaj.g_01966	Prbm.g_00206
OG0000407	Syaj.g_01967	Prbm.g_00207
OG0000408	Syaj.g_01970	Prbm.g_00209
OG0000409	Syaj.g_01972	Prbm.g_00211
OG0000410	Syaj.g_01973	Prbm.g_00212
OG0000411	Syaj.g_01974	Prbm.g_00213
OG0000412	Syaj.g_01975	Prbm.g_00214
OG0000413	Syaj.g_01977	Prbm.g_00215
OG0000415	Syaj.g_01978	Prbm.g_00217
OG0000416	Syaj.g_01979	Prbm.g_00218
OG0000417	Syaj.g_01980	Prbm.g_00219
OG0000418	Syaj.g_01985	Prbm.g_00224
OG0000419	Syaj.g_01987	Prbm.g_00226
OG0000420	Syaj.g_01989	Prbm.g_00227
OG0000421	Syaj.g_01994	Prbm.g_00232
OG0000422	Syaj.g_01995	Prbm.g_00233
OG0000423	Syaj.g_01996	Prbm.g_00234
OG0000424	Syaj.g_01997	Prbm.g_00235
OG0000425	Syaj.g_01998	Prbm.g_00236
OG0000426	Syaj.g_01999	Prbm.g_00237
OG0000427	Syaj.g_02000	Prbm.g_00238
OG0000428	Syaj.g_02003	Prbm.g_00240
OG0000429	Syaj.g_02005	Prbm.g_00241
OG0000430	Syaj.g_02007	Prbm.g_00242
OG0000431	Syaj.g_02010	Prbm.g_00244
OG0000432	Syaj.g_02017	Prbm.g_00248
OG0000433	Syaj.g_02020	Prbm.g_00249
OG0000434	Syaj.g_02021	Prbm.g_00250
OG0000435	Syaj.g_02023	Prbm.g_00251
OG0000436	Syaj.g_02029	Prbm.g_00256
OG0000437	Syaj.g_02030	Prbm.g_00257
OG0000438	Syaj.g_02031	Prbm.g_00258
OG0000439	Syaj.g_02033	Prbm.g_00260
OG0000440	Syaj.g_02034	Prbm.g_00261
OG0000441	Syaj.g_02038	Prbm.g_00263
OG0000442	Syaj.g_02039	Prbm.g_00264
OG0000443	Syaj.g_02040	Prbm.g_00265
OG0000444	Syaj.g_02052	Prbm.g_00270
OG0000445	Syaj.g_02053	Prbm.g_00271
OG0000446	Syaj.g_02055	Prbm.g_00272
OG0000447	Syaj.g_02058	Prbm.g_00273
OG0000448	Syaj.g_02059	Prbm.g_00274
OG0000449	Syaj.g_02060	Prbm.g_00275
OG0000450	Syaj.g_02067	Prbm.g_00276
OG0000451	Syaj.g_02068	Prbm.g_00277
OG0000452	Syaj.g_02072	Prbm.g_00280
OG0000453	Syaj.g_02073	Prbm.g_00281
OG0000454	Syaj.g_02074	Prbm.g_00282
OG0000455	Syaj.g_02075	Prbm.g_00283
OG0000456	Syaj.g_02076	Prbm.g_00284
OG0000457	Syaj.g_02078	Prbm.g_00285
OG0000458	Syaj.g_02079	Prbm.g_00286
OG0000459	Syaj.g_02080	Prbm.g_00287
OG0000460	Syaj.g_02858	Prbm.g_00295
OG0000461	Syaj.g_02623	Prbm.g_00303
OG0000462	Syaj.g_02620	Prbm.g_00305
OG0000463	Syaj.g_02619	Prbm.g_00306
OG0000464	Syaj.g_02618	Prbm.g_00307
OG0000465	Syaj.g_02617	Prbm.g_00308
OG0000466	Syaj.g_02612	Prbm.g_00309
OG0000467	Syaj.g_02610	Prbm.g_00310
OG0000468	Syaj.g_02605	Prbm.g_00312
OG0000469	Syaj.g_02590	Prbm.g_00320
OG0000470	Syaj.g_02586	Prbm.g_00322
OG0000471	Syaj.g_02585	Prbm.g_00323
OG0000472	Syaj.g_02583	Prbm.g_00324
OG0000473	Syaj.g_02581	Prbm.g_00326
OG0000474	Syaj.g_02580	Prbm.g_00327
OG0000475	Syaj.g_02579	Prbm.g_00328
OG0000476	Syaj.g_02577	Prbm.g_00330
OG0000477	Syaj.g_02571	Prbm.g_00332
OG0000478	Syaj.g_02570	Prbm.g_00333
OG0000479	Syaj.g_02569	Prbm.g_00334
OG0000480	Syaj.g_02562	Prbm.g_00339
OG0000481	Syaj.g_02560	Prbm.g_00341
OG0000482	Syaj.g_02559	Prbm.g_00342
OG0000483	Syaj.g_02555	Prbm.g_00345
OG0000484	Syaj.g_02554	Prbm.g_00346
OG0000485	Syaj.g_02553	Prbm.g_00347
OG0000486	Syaj.g_02552	Prbm.g_00348
OG0000487	Syaj.g_02546	Prbm.g_00351
OG0000488	Syaj.g_02542	Prbm.g_00354
OG0000489	Syaj.g_02529	Prbm.g_00359
OG0000490	Syaj.g_02519	Prbm.g_00364
OG0000491	Syaj.g_02517	Prbm.g_00365
OG0000492	Syaj.g_02515	Prbm.g_00367
OG0000493	Syaj.g_02514	Prbm.g_00368
OG0000494	Syaj.g_02513	Prbm.g_00369
OG0000495	Syaj.g_02512	Prbm.g_00370
OG0000496	Syaj.g_02511	Prbm.g_00371
OG0000497	Syaj.g_02510	Prbm.g_00372
OG0000498	Syaj.g_02509	Prbm.g_00373
OG0000499	Syaj.g_02508	Prbm.g_00374
OG0000500	Syaj.g_02507	Prbm.g_00375
OG0000501	Syaj.g_02504	Prbm.g_00376
OG0000502	Syaj.g_02492	Prbm.g_00379
OG0000503	Syaj.g_02805	Prbm.g_00400
OG0000504	Syaj.g_02807	Prbm.g_00402
OG0000505	Syaj.g_02808	Prbm.g_00403
OG0000506	Syaj.g_02810	Prbm.g_00404
OG0000507	Syaj.g_02816	Prbm.g_00407
OG0000508	Syaj.g_02820	Prbm.g_00410
OG0000509	Syaj.g_02822	Prbm.g_00412
OG0000510	Syaj.g_02823	Prbm.g_00413
OG0000511	Syaj.g_02824	Prbm.g_00414
OG0000512	Syaj.g_02826	Prbm.g_00416
OG0000513	Syaj.g_02833	Prbm.g_00426
OG0000514	Syaj.g_02839	Prbm.g_00440
OG0000515	Syaj.g_02840	Prbm.g_00441
OG0000516	Syaj.g_01561	Prbm.g_00442
OG0000517	Syaj.g_01556	Prbm.g_00445
OG0000518	Syaj.g_01544	Prbm.g_00456
OG0000519	Syaj.g_01543	Prbm.g_00457
OG0000520	Syaj.g_01542	Prbm.g_00458
OG0000521	Syaj.g_00271	Prbm.g_00480
OG0000522	Syaj.g_00273	Prbm.g_00482
OG0000523	Syaj.g_00274	Prbm.g_00483
OG0000524	Syaj.g_01485	Prbm.g_00490
OG0000525	Syaj.g_01454	Prbm.g_00494
OG0000526	Syaj.g_01451	Prbm.g_00495
OG0000527	Syaj.g_01446	Prbm.g_00498
OG0000528	Syaj.g_00065	Prbm.g_00504
OG0000529	Syaj.g_00073	Prbm.g_00507
OG0000530	Syaj.g_00076	Prbm.g_00510
OG0000531	Syaj.g_00077	Prbm.g_00511
