Orthogroup	Syaj	Pral
OG0000034	Syaj.g_01959	Pral.g_01271
OG0000035	Syaj.g_01378	Pral.g_01161, Pral.g_01165
OG0000037	Syaj.g_01891, Syaj.g_02902	Pral.g_00938
OG0000038	Syaj.g_02115	Pral.g_00356
OG0000039	Syaj.g_00392, Syaj.g_00275	Pral.g_01755
OG0000041	Syaj.g_01602, Syaj.g_00418	Pral.g_00155
OG0000042	Syaj.g_02399	Pral.g_00313
OG0000043	Syaj.g_01085, Syaj.g_01247	Pral.g_01347
OG0000044	Syaj.g_01344	Pral.g_01888
OG0000046	Syaj.g_02775, Syaj.g_02781, Syaj.g_02768	Pral.g_00711
OG0000047	Syaj.g_02799	Pral.g_00672
OG0000048	Syaj.g_02578	Pral.g_00768
OG0000050	Syaj.g_01242	Pral.g_01829
OG0000052	Syaj.g_02476	Pral.g_00987
OG0000053	Syaj.g_01409	Pral.g_01139, Pral.g_00066
OG0000054	Syaj.g_01341	Pral.g_00482
OG0000056	Syaj.g_01081, Syaj.g_00880, Syaj.g_01082, Syaj.g_00533, Syaj.g_01676, Syaj.g_00546, Syaj.g_00879, Syaj.g_00462, Syaj.g_01088, Syaj.g_00360, Syaj.g_01093, Syaj.g_00962, Syaj.g_00985, Syaj.g_02864, Syaj.g_01794	Pral.g_01041
OG0000057	Syaj.g_00438	Pral.g_01740
OG0000058	Syaj.g_02495	Pral.g_01202
OG0000059	Syaj.g_02686	Pral.g_00195
OG0000061	Syaj.g_02351	Pral.g_00639
OG0000061	Syaj.g_00302	Pral.g_01367
OG0000062	Syaj.g_01700	Pral.g_01073
OG0000063	Syaj.g_02302	Pral.g_00435
OG0000064	Syaj.g_00041, Syaj.g_01253	Pral.g_00980
OG0000065	Syaj.g_01887, Syaj.g_00007	Pral.g_00940
OG0000066	Syaj.g_00157	Pral.g_00551
OG0000067	Syaj.g_01023	Pral.g_01488
OG0000068	Syaj.g_00059	Pral.g_01222
OG0000070	Syaj.g_01529	Pral.g_00643
OG0000071	Syaj.g_01511	Pral.g_01281
OG0000072	Syaj.g_01992	Pral.g_00872
OG0000073	Syaj.g_00093	Pral.g_00591
OG0000075	Syaj.g_02457	Pral.g_00279
OG0000076	Syaj.g_02417	Pral.g_00305
OG0000077	Syaj.g_01831	Pral.g_00969
OG0000078	Syaj.g_02880	Pral.g_00800
OG0000079	Syaj.g_02609	Pral.g_00787
OG0000081	Syaj.g_02888	Pral.g_00559
OG0000082	Syaj.g_00229	Pral.g_00057
OG0000084	Syaj.g_01375	Pral.g_01169
OG0000085	Syaj.g_01707	Pral.g_00099
OG0000086	Syaj.g_01848	Pral.g_00959
OG0000087	Syaj.g_01945	Pral.g_00906
OG0000088	Syaj.g_01986	Pral.g_00878
OG0000089	Syaj.g_02829, Syaj.g_01915	Pral.g_00676
OG0000090	Syaj.g_00144	Pral.g_00557
OG0000091	Syaj.g_01275	Pral.g_01443
OG0000092	Syaj.g_00339	Pral.g_01244
OG0000093	Syaj.g_01042	Pral.g_01472
OG0000094	Syaj.g_00804	Pral.g_01604
OG0000095	Syaj.g_00427	Pral.g_01561
OG0000097	Syaj.g_00589	Pral.g_01416
OG0000098	Syaj.g_02671	Pral.g_01239
OG0000099	Syaj.g_02503	Pral.g_01201
OG0000100	Syaj.g_00987	Pral.g_01078
OG0000101	Syaj.g_02738	Pral.g_00243
OG0000102	Syaj.g_02411	Pral.g_00310
OG0000103	Syaj.g_02243	Pral.g_00397
OG0000104	Syaj.g_02258	Pral.g_00406
OG0000105	Syaj.g_02573	Pral.g_00765
OG0000106	Syaj.g_01130	Pral.g_01859
OG0000107	Syaj.g_02637	Pral.g_00171
OG0000108	Syaj.g_00072	Pral.g_00611
OG0000109	Syaj.g_00087	Pral.g_00596
OG0000110	Syaj.g_00215	Pral.g_00513
OG0000111	Syaj.g_00437	Pral.g_01739
OG0000112	Syaj.g_00907	Pral.g_01635
OG0000113	Syaj.g_00992	Pral.g_01511
OG0000114	Syaj.g_00741	Pral.g_01799
OG0000115	Syaj.g_01402	Pral.g_01141
OG0000116	Syaj.g_00289	Pral.g_01356
OG0000117	Syaj.g_00637	Pral.g_01396, Pral.g_01398, Pral.g_01397
OG0000118	Syaj.g_00267	Pral.g_01269
OG0000119	Syaj.g_00317	Pral.g_01861, Pral.g_01063
OG0000120	Syaj.g_02502	Pral.g_00702
OG0000121	Syaj.g_01383	Pral.g_01159
OG0000122	Syaj.g_01250	Pral.g_01116
OG0000123	Syaj.g_02745	Pral.g_00250
OG0000124	Syaj.g_02388	Pral.g_00322
OG0000125	Syaj.g_02117	Pral.g_00358
OG0000126	Syaj.g_02256	Pral.g_00405
OG0000128	Syaj.g_02274	Pral.g_00421
OG0000129	Syaj.g_02106	Pral.g_01000
OG0000130	Syaj.g_01818	Pral.g_00978
OG0000131	Syaj.g_01964	Pral.g_00900
OG0000132	Syaj.g_00688, Syaj.g_01984	Pral.g_00880
OG0000133	Syaj.g_00902	Pral.g_00717
OG0000134	Syaj.g_02832	Pral.g_00674
OG0000135	Syaj.g_02167	Pral.g_01034
OG0000136	Syaj.g_01550	Pral.g_00653
OG0000137	Syaj.g_01444	Pral.g_00617
OG0000138	Syaj.g_00088	Pral.g_00595
OG0000139	Syaj.g_00150	Pral.g_00553
OG0000140	Syaj.g_00153	Pral.g_00552
OG0000141	Syaj.g_01340	Pral.g_00481
OG0000142	Syaj.g_01283	Pral.g_01436
OG0000143	Syaj.g_01279	Pral.g_01440
OG0000144	Syaj.g_01151	Pral.g_01453
OG0000145	Syaj.g_00094	Pral.g_01037
OG0000146	Syaj.g_00908	Pral.g_01636
OG0000147	Syaj.g_00909	Pral.g_01637
OG0000148	Syaj.g_01003, Syaj.g_01002	Pral.g_01505
OG0000149	Syaj.g_00369	Pral.g_01535
OG0000150	Syaj.g_01339, Syaj.g_00154	Pral.g_01545
OG0000151	Syaj.g_01074	Pral.g_01789
OG0000152	Syaj.g_00898	Pral.g_01627
OG0000153	Syaj.g_00842	Pral.g_01578
OG0000154	Syaj.g_00814	Pral.g_01595
OG0000155	Syaj.g_00338	Pral.g_01390
OG0000156	Syaj.g_00282	Pral.g_01292
OG0000157	Syaj.g_00281	Pral.g_01291
OG0000158	Syaj.g_02445	Pral.g_00287
OG0000160	Syaj.g_01382	Pral.g_01160
OG0000161	Syaj.g_01389	Pral.g_01154
OG0000162	Syaj.g_01395	Pral.g_01148
OG0000163	Syaj.g_01639	Pral.g_01106
OG0000164	Syaj.g_01758	Pral.g_00131
OG0000165	Syaj.g_01582	Pral.g_00138
OG0000166	Syaj.g_02698	Pral.g_00206
OG0000167	Syaj.g_02460	Pral.g_00277
OG0000168	Syaj.g_02444	Pral.g_00288
OG0000169	Syaj.g_02431, Syaj.g_02429	Pral.g_00298
OG0000170	Syaj.g_02422	Pral.g_00301
OG0000171	Syaj.g_02389	Pral.g_00321
OG0000172	Syaj.g_02365	Pral.g_00328
OG0000173	Syaj.g_02321	Pral.g_00343
OG0000174	Syaj.g_02169	Pral.g_00375
OG0000175	Syaj.g_02229	Pral.g_00387
OG0000176	Syaj.g_02266	Pral.g_00414
OG0000177	Syaj.g_02267	Pral.g_00415
OG0000178	Syaj.g_02268	Pral.g_00416
OG0000179	Syaj.g_02283	Pral.g_01028
OG0000180	Syaj.g_02284	Pral.g_01027
OG0000181	Syaj.g_02285	Pral.g_01026
OG0000182	Syaj.g_02286	Pral.g_01025
OG0000183	Syaj.g_02290	Pral.g_01021
OG0000184	Syaj.g_02098	Pral.g_00996
OG0000185	Syaj.g_02087	Pral.g_00993
OG0000186	Syaj.g_01812	Pral.g_00984
OG0000187	Syaj.g_01814	Pral.g_00983
OG0000188	Syaj.g_01837	Pral.g_00965
OG0000189	Syaj.g_01874	Pral.g_00951
OG0000190	Syaj.g_01876	Pral.g_00950
OG0000191	Syaj.g_01910	Pral.g_00928
OG0000192	Syaj.g_01919	Pral.g_00923
OG0000193	Syaj.g_01965	Pral.g_00899
OG0000194	Syaj.g_01968	Pral.g_00896
OG0000195	Syaj.g_01971	Pral.g_00894
OG0000196	Syaj.g_01981	Pral.g_00883
OG0000197	Syaj.g_01982	Pral.g_00882
OG0000198	Syaj.g_01983	Pral.g_00881
OG0000199	Syaj.g_01991	Pral.g_00873
OG0000200	Syaj.g_02008	Pral.g_00860
OG0000201	Syaj.g_02024	Pral.g_00851
OG0000202	Syaj.g_02025	Pral.g_00850
OG0000203	Syaj.g_02026	Pral.g_00849
OG0000204	Syaj.g_02027	Pral.g_00848
OG0000205	Syaj.g_02035	Pral.g_00842
OG0000206	Syaj.g_02043	Pral.g_00837
OG0000207	Syaj.g_02045	Pral.g_00835
OG0000208	Syaj.g_02046	Pral.g_00834
OG0000209	Syaj.g_02070	Pral.g_00825
OG0000210	Syaj.g_02071	Pral.g_00824
OG0000211	Syaj.g_02856	Pral.g_00807
OG0000212	Syaj.g_02881	Pral.g_00799
OG0000213	Syaj.g_02601	Pral.g_00781
OG0000214	Syaj.g_02582	Pral.g_00772
OG0000215	Syaj.g_02551	Pral.g_00746
OG0000216	Syaj.g_02547	Pral.g_00744
OG0000217	Syaj.g_02543	Pral.g_00741
OG0000218	Syaj.g_02541	Pral.g_00739
OG0000219	Syaj.g_02540	Pral.g_00738
OG0000220	Syaj.g_02539	Pral.g_00737
OG0000221	Syaj.g_02530	Pral.g_00736
OG0000222	Syaj.g_02516	Pral.g_00729
OG0000223	Syaj.g_02494	Pral.g_00716
OG0000224	Syaj.g_02487	Pral.g_00714
OG0000225	Syaj.g_02821	Pral.g_00686
OG0000226	Syaj.g_02825	Pral.g_00682
OG0000227	Syaj.g_02827	Pral.g_00680
OG0000228	Syaj.g_02828	Pral.g_00677
OG0000229	Syaj.g_01555	Pral.g_00658
OG0000230	Syaj.g_01553	Pral.g_00656
OG0000231	Syaj.g_01541	Pral.g_00644
OG0000232	Syaj.g_01497	Pral.g_00631
OG0000233	Syaj.g_01481	Pral.g_00625
OG0000234	Syaj.g_01442	Pral.g_00616
OG0000235	Syaj.g_00071	Pral.g_00612
OG0000236	Syaj.g_00086	Pral.g_00597
OG0000237	Syaj.g_00103	Pral.g_00584
OG0000238	Syaj.g_00108	Pral.g_00578
OG0000239	Syaj.g_00125	Pral.g_00565
OG0000240	Syaj.g_00126	Pral.g_00564
OG0000241	Syaj.g_01291	Pral.g_00560
OG0000242	Syaj.g_00142	Pral.g_00558
OG0000243	Syaj.g_00164	Pral.g_00547
OG0000244	Syaj.g_00180	Pral.g_00544
OG0000245	Syaj.g_00182	Pral.g_00542
OG0000246	Syaj.g_00186	Pral.g_00538
OG0000247	Syaj.g_00197	Pral.g_00527
OG0000248	Syaj.g_00200	Pral.g_00524
OG0000249	Syaj.g_00202	Pral.g_00522
OG0000250	Syaj.g_00211	Pral.g_00516
OG0000251	Syaj.g_00237	Pral.g_00498
OG0000252	Syaj.g_00243	Pral.g_00495
OG0000253	Syaj.g_00245	Pral.g_00494
OG0000254	Syaj.g_01335	Pral.g_00477
OG0000255	Syaj.g_01315	Pral.g_00470
OG0000256	Syaj.g_01297	Pral.g_00460
OG0000257	Syaj.g_01292	Pral.g_01430
OG0000258	Syaj.g_01274	Pral.g_01444
OG0000259	Syaj.g_00707	Pral.g_01461
OG0000260	Syaj.g_00712	Pral.g_01464
OG0000261	Syaj.g_00715	Pral.g_01467
OG0000262	Syaj.g_00720	Pral.g_01471
OG0000263	Syaj.g_00605	Pral.g_01761
OG0000264	Syaj.g_00485	Pral.g_01750
OG0000265	Syaj.g_00510	Pral.g_01729
OG0000266	Syaj.g_00946	Pral.g_01719
OG0000267	Syaj.g_00770	Pral.g_01706
OG0000268	Syaj.g_00771	Pral.g_01705
OG0000269	Syaj.g_01031	Pral.g_01483
OG0000270	Syaj.g_01025	Pral.g_01486
OG0000271	Syaj.g_01017	Pral.g_01494
OG0000272	Syaj.g_01016	Pral.g_01495
OG0000273	Syaj.g_00389	Pral.g_01518
OG0000274	Syaj.g_00388	Pral.g_01519
OG0000275	Syaj.g_00384	Pral.g_01522
OG0000276	Syaj.g_00377	Pral.g_01527
OG0000277	Syaj.g_00376	Pral.g_01528
OG0000278	Syaj.g_00373	Pral.g_01531
OG0000279	Syaj.g_00357	Pral.g_01538
OG0000280	Syaj.g_00348	Pral.g_01539
OG0000281	Syaj.g_02670	Pral.g_01546
OG0000282	Syaj.g_00743	Pral.g_01797
OG0000283	Syaj.g_00790	Pral.g_01655
OG0000284	Syaj.g_00930	Pral.g_01650
OG0000285	Syaj.g_00917	Pral.g_01644
OG0000286	Syaj.g_00899	Pral.g_01628
OG0000287	Syaj.g_00849	Pral.g_00050
OG0000288	Syaj.g_00815	Pral.g_01594
OG0000289	Syaj.g_00800	Pral.g_01609
OG0000290	Syaj.g_00424	Pral.g_01564
OG0000291	Syaj.g_00426	Pral.g_01562
OG0000292	Syaj.g_02255	Pral.g_01316
OG0000293	Syaj.g_00290	Pral.g_01357
OG0000294	Syaj.g_00291	Pral.g_01358
OG0000295	Syaj.g_00330	Pral.g_01382
OG0000296	Syaj.g_00332	Pral.g_01384
OG0000297	Syaj.g_00639	Pral.g_01394
OG0000298	Syaj.g_00638	Pral.g_01395
OG0000299	Syaj.g_00592	Pral.g_01415
OG0000300	Syaj.g_00586	Pral.g_01419
OG0000301	Syaj.g_00585	Pral.g_01420
OG0000302	Syaj.g_00582	Pral.g_01422
OG0000303	Syaj.g_00572	Pral.g_01428
OG0000304	Syaj.g_00566	Pral.g_00455
OG0000305	Syaj.g_00429	Pral.g_01323
OG0000306	Syaj.g_01126	Pral.g_01550
OG0000307	Syaj.g_00051	Pral.g_01213
OG0000308	Syaj.g_00049	Pral.g_01212
OG0000309	Syaj.g_00044	Pral.g_01208
OG0000310	Syaj.g_01358	Pral.g_01181
OG0000311	Syaj.g_01362	Pral.g_01179
OG0000312	Syaj.g_01368	Pral.g_01176
OG0000313	Syaj.g_01386	Pral.g_01157
OG0000314	Syaj.g_01420	Pral.g_01133
OG0000315	Syaj.g_01430	Pral.g_01123
OG0000316	Syaj.g_01664	Pral.g_01095
OG0000317	Syaj.g_01715	Pral.g_00104
OG0000318	Syaj.g_01722	Pral.g_00108
OG0000319	Syaj.g_01741	Pral.g_00121
OG0000320	Syaj.g_01743	Pral.g_00123
OG0000321	Syaj.g_01744	Pral.g_00124
OG0000322	Syaj.g_01745	Pral.g_00125
OG0000323	Syaj.g_01760	Pral.g_00134
OG0000324	Syaj.g_01609	Pral.g_00162
OG0000325	Syaj.g_02638	Pral.g_00172
OG0000326	Syaj.g_02645	Pral.g_00179
OG0000327	Syaj.g_02693	Pral.g_00201
OG0000328	Syaj.g_02694	Pral.g_00202
OG0000329	Syaj.g_02712	Pral.g_00219
OG0000330	Syaj.g_02713	Pral.g_00220
OG0000331	Syaj.g_02714	Pral.g_00221
OG0000332	Syaj.g_02729	Pral.g_00235
OG0000333	Syaj.g_02732	Pral.g_00237
OG0000334	Syaj.g_02741	Pral.g_00246
OG0000335	Syaj.g_02746	Pral.g_00251
OG0000336	Syaj.g_02750	Pral.g_00255
OG0000337	Syaj.g_02466	Pral.g_00274
OG0000338	Syaj.g_02462	Pral.g_00275
OG0000339	Syaj.g_02455	Pral.g_00280
OG0000340	Syaj.g_02443	Pral.g_00289
OG0000341	Syaj.g_02441	Pral.g_00291
OG0000342	Syaj.g_02440	Pral.g_00292
OG0000343	Syaj.g_02437	Pral.g_00293
OG0000344	Syaj.g_02433	Pral.g_00296
OG0000345	Syaj.g_02421	Pral.g_00302
OG0000346	Syaj.g_02416	Pral.g_00306
OG0000347	Syaj.g_02383	Pral.g_00323
OG0000348	Syaj.g_02333	Pral.g_00331
OG0000349	Syaj.g_02314	Pral.g_00349
OG0000350	Syaj.g_02652	Pral.g_00370
OG0000351	Syaj.g_02234	Pral.g_00390
OG0000352	Syaj.g_02235	Pral.g_00391
OG0000353	Syaj.g_02261	Pral.g_00409
OG0000354	Syaj.g_00114, Syaj.g_02281	Pral.g_01677
OG0000355	Syaj.g_02263	Pral.g_00411
OG0000356	Syaj.g_02264	Pral.g_00412
OG0000357	Syaj.g_02265	Pral.g_00413
OG0000358	Syaj.g_02269	Pral.g_00417
OG0000359	Syaj.g_02271	Pral.g_00418
OG0000360	Syaj.g_02272	Pral.g_00419
OG0000361	Syaj.g_02273	Pral.g_00420
OG0000362	Syaj.g_02275	Pral.g_00422
OG0000363	Syaj.g_02277	Pral.g_01030
OG0000364	Syaj.g_02278	Pral.g_01029
OG0000365	Syaj.g_02287	Pral.g_01024
OG0000366	Syaj.g_02288	Pral.g_01023
OG0000367	Syaj.g_02289	Pral.g_01022
OG0000368	Syaj.g_02291	Pral.g_01020
OG0000369	Syaj.g_02292	Pral.g_01019
OG0000370	Syaj.g_02293	Pral.g_01018
OG0000371	Syaj.g_02301	Pral.g_01011
OG0000372	Syaj.g_02307	Pral.g_01009
OG0000373	Syaj.g_02308	Pral.g_01008
OG0000374	Syaj.g_02309	Pral.g_01007
OG0000375	Syaj.g_02310	Pral.g_01005
OG0000376	Syaj.g_02312	Pral.g_01003
OG0000377	Syaj.g_02105	Pral.g_00999
OG0000378	Syaj.g_02091	Pral.g_00995
OG0000379	Syaj.g_02086	Pral.g_00992
OG0000380	Syaj.g_01815	Pral.g_00982
OG0000381	Syaj.g_01819	Pral.g_00977
OG0000382	Syaj.g_01836	Pral.g_00966
OG0000383	Syaj.g_01839	Pral.g_00964
OG0000384	Syaj.g_01840	Pral.g_00963
OG0000385	Syaj.g_01841	Pral.g_00962
OG0000386	Syaj.g_01842	Pral.g_00961
OG0000387	Syaj.g_01878	Pral.g_00948
OG0000388	Syaj.g_01882	Pral.g_00944
OG0000389	Syaj.g_01886	Pral.g_00941
OG0000390	Syaj.g_01904	Pral.g_00932
OG0000391	Syaj.g_01909	Pral.g_00929
OG0000392	Syaj.g_01918	Pral.g_00925
OG0000393	Syaj.g_01922	Pral.g_00922
OG0000394	Syaj.g_01923	Pral.g_00921
OG0000395	Syaj.g_01924	Pral.g_00920
OG0000396	Syaj.g_01928	Pral.g_00918
OG0000397	Syaj.g_01930	Pral.g_00916
OG0000398	Syaj.g_01935	Pral.g_00913
OG0000399	Syaj.g_01936	Pral.g_00912
OG0000400	Syaj.g_01937	Pral.g_00911
OG0000401	Syaj.g_01938	Pral.g_00910
OG0000402	Syaj.g_01940	Pral.g_00450
OG0000403	Syaj.g_01941	Pral.g_00908
OG0000404	Syaj.g_01943	Pral.g_00907
OG0000405	Syaj.g_01961	Pral.g_00903
OG0000406	Syaj.g_01966	Pral.g_00898
OG0000407	Syaj.g_01967	Pral.g_00897
OG0000408	Syaj.g_01970	Pral.g_00895
OG0000409	Syaj.g_01972	Pral.g_00893
OG0000410	Syaj.g_01973	Pral.g_00892
OG0000411	Syaj.g_01974	Pral.g_00891
OG0000412	Syaj.g_01975	Pral.g_00890
OG0000413	Syaj.g_01977	Pral.g_00888
OG0000415	Syaj.g_01978	Pral.g_00886
OG0000416	Syaj.g_01979	Pral.g_00885
OG0000417	Syaj.g_01980	Pral.g_00884
OG0000418	Syaj.g_01985	Pral.g_00879
OG0000419	Syaj.g_01987	Pral.g_00877
OG0000420	Syaj.g_01989	Pral.g_00875
OG0000421	Syaj.g_01994	Pral.g_00871
OG0000422	Syaj.g_01995	Pral.g_00870
OG0000423	Syaj.g_01996	Pral.g_00869
OG0000424	Syaj.g_01997	Pral.g_00868
OG0000425	Syaj.g_01998	Pral.g_00867
OG0000426	Syaj.g_01999	Pral.g_00866
OG0000427	Syaj.g_02000	Pral.g_00865
OG0000428	Syaj.g_02003	Pral.g_00863
OG0000429	Syaj.g_02005	Pral.g_00862
OG0000430	Syaj.g_02007	Pral.g_00861
OG0000431	Syaj.g_02010	Pral.g_00859
OG0000432	Syaj.g_02017	Pral.g_00855
OG0000433	Syaj.g_02020	Pral.g_00854
OG0000434	Syaj.g_02021	Pral.g_00853
OG0000435	Syaj.g_02023	Pral.g_00852
OG0000436	Syaj.g_02029	Pral.g_00847
OG0000437	Syaj.g_02030	Pral.g_00846
OG0000438	Syaj.g_02031	Pral.g_00845
OG0000439	Syaj.g_02033	Pral.g_00844
OG0000440	Syaj.g_02034	Pral.g_00843
OG0000441	Syaj.g_02038	Pral.g_00840
OG0000442	Syaj.g_02039	Pral.g_00839
OG0000443	Syaj.g_02040	Pral.g_00838
OG0000444	Syaj.g_02052	Pral.g_00833
OG0000445	Syaj.g_02053	Pral.g_00832
OG0000446	Syaj.g_02055	Pral.g_00831
OG0000447	Syaj.g_02058	Pral.g_00830
OG0000448	Syaj.g_02059	Pral.g_00829
OG0000449	Syaj.g_02060	Pral.g_00828
OG0000450	Syaj.g_02067	Pral.g_00827
OG0000451	Syaj.g_02068	Pral.g_00826
OG0000452	Syaj.g_02072	Pral.g_00823
OG0000453	Syaj.g_02073	Pral.g_00822
OG0000454	Syaj.g_02074	Pral.g_00821
OG0000455	Syaj.g_02075	Pral.g_00820
OG0000456	Syaj.g_02076	Pral.g_00819
OG0000457	Syaj.g_02078	Pral.g_00817
OG0000458	Syaj.g_02079	Pral.g_00816
OG0000459	Syaj.g_02080	Pral.g_00815
OG0000460	Syaj.g_02858	Pral.g_00805
OG0000461	Syaj.g_02623	Pral.g_00796
OG0000462	Syaj.g_02620	Pral.g_00795
OG0000463	Syaj.g_02619	Pral.g_00794
OG0000464	Syaj.g_02618	Pral.g_00793
OG0000465	Syaj.g_02617	Pral.g_00792
OG0000466	Syaj.g_02612	Pral.g_00789
OG0000467	Syaj.g_02610	Pral.g_00788
OG0000468	Syaj.g_02605	Pral.g_00785
OG0000469	Syaj.g_02590	Pral.g_00777
OG0000470	Syaj.g_02586	Pral.g_00775
OG0000471	Syaj.g_02585	Pral.g_00774
OG0000472	Syaj.g_02583	Pral.g_00773
OG0000473	Syaj.g_02581	Pral.g_00771
OG0000474	Syaj.g_02580	Pral.g_00770
OG0000475	Syaj.g_02579	Pral.g_00769
OG0000476	Syaj.g_02577	Pral.g_00767
OG0000477	Syaj.g_02571	Pral.g_00764
OG0000478	Syaj.g_02570	Pral.g_00763
OG0000479	Syaj.g_02569	Pral.g_00762
OG0000480	Syaj.g_02562	Pral.g_00756
OG0000481	Syaj.g_02560	Pral.g_00754
OG0000482	Syaj.g_02559	Pral.g_00753
OG0000483	Syaj.g_02555	Pral.g_00750
OG0000484	Syaj.g_02554	Pral.g_00749
OG0000485	Syaj.g_02553	Pral.g_00748
OG0000486	Syaj.g_02552	Pral.g_00747
OG0000487	Syaj.g_02546	Pral.g_00743
OG0000488	Syaj.g_02542	Pral.g_00740
OG0000489	Syaj.g_02529	Pral.g_00735
OG0000490	Syaj.g_02519	Pral.g_00731
OG0000491	Syaj.g_02517	Pral.g_00730
OG0000492	Syaj.g_02515	Pral.g_00728
OG0000493	Syaj.g_02514	Pral.g_00727
OG0000494	Syaj.g_02513	Pral.g_00726
OG0000495	Syaj.g_02512	Pral.g_00725
OG0000496	Syaj.g_02511	Pral.g_00724
OG0000497	Syaj.g_02510	Pral.g_00723
OG0000498	Syaj.g_02509	Pral.g_00722
OG0000499	Syaj.g_02508	Pral.g_00721
OG0000500	Syaj.g_02507	Pral.g_00720
OG0000501	Syaj.g_02504	Pral.g_00718
OG0000502	Syaj.g_02492	Pral.g_00715
OG0000503	Syaj.g_02805	Pral.g_00698
OG0000504	Syaj.g_02807	Pral.g_00696
OG0000505	Syaj.g_02808	Pral.g_00695
OG0000506	Syaj.g_02810	Pral.g_00694
OG0000507	Syaj.g_02816	Pral.g_00691
OG0000508	Syaj.g_02820	Pral.g_00687
OG0000509	Syaj.g_02822	Pral.g_00685
OG0000510	Syaj.g_02823	Pral.g_00684
OG0000511	Syaj.g_02824	Pral.g_00683
OG0000512	Syaj.g_02826	Pral.g_00681
OG0000513	Syaj.g_02833	Pral.g_00673
OG0000514	Syaj.g_02839	Pral.g_00663
OG0000515	Syaj.g_02840	Pral.g_00662
OG0000516	Syaj.g_01561	Pral.g_00661
OG0000517	Syaj.g_01556	Pral.g_00659
OG0000518	Syaj.g_01544	Pral.g_00647
OG0000519	Syaj.g_01543	Pral.g_00646
OG0000520	Syaj.g_01542	Pral.g_00645
OG0000521	Syaj.g_00271	Pral.g_00635
OG0000522	Syaj.g_00273	Pral.g_00633
OG0000523	Syaj.g_00274	Pral.g_00632
OG0000524	Syaj.g_01485	Pral.g_00627
OG0000525	Syaj.g_01454	Pral.g_00623
OG0000526	Syaj.g_01451	Pral.g_00622
OG0000527	Syaj.g_01446	Pral.g_00619
OG0000528	Syaj.g_00065	Pral.g_00613
OG0000529	Syaj.g_00073	Pral.g_00610
OG0000530	Syaj.g_00076	Pral.g_00607
OG0000531	Syaj.g_00077	Pral.g_00606
OG0000532	Syaj.g_00080	Pral.g_00603
OG0000533	Syaj.g_00081	Pral.g_00602
OG0000534	Syaj.g_00082	Pral.g_00601
OG0000535	Syaj.g_00083	Pral.g_00600
OG0000536	Syaj.g_00084	Pral.g_00599
OG0000537	Syaj.g_00085	Pral.g_00598
OG0000538	Syaj.g_00096	Pral.g_00590
OG0000539	Syaj.g_00097	Pral.g_00589
OG0000540	Syaj.g_00098	Pral.g_00588
OG0000541	Syaj.g_00099	Pral.g_00587
OG0000542	Syaj.g_00102	Pral.g_00585
OG0000543	Syaj.g_00104	Pral.g_00583
OG0000544	Syaj.g_00105	Pral.g_00582
OG0000545	Syaj.g_00107	Pral.g_00580
OG0000546	Syaj.g_00109	Pral.g_00577
OG0000547	Syaj.g_00111	Pral.g_00575
OG0000548	Syaj.g_00112	Pral.g_00574
OG0000549	Syaj.g_00118	Pral.g_00571
OG0000550	Syaj.g_00123	Pral.g_00566
OG0000551	Syaj.g_00128	Pral.g_00563
