Orthogroup	Syaj	Prat
OG0000035	Syaj.g_01378	Prat.g_01353, Prat.g_01352
OG0000037	Syaj.g_01891, Syaj.g_02902	Prat.g_00106
OG0000038	Syaj.g_02115	Prat.g_01839
OG0000039	Syaj.g_00392, Syaj.g_00275	Prat.g_00760
OG0000041	Syaj.g_01602, Syaj.g_00418	Prat.g_01640
OG0000042	Syaj.g_02399	Prat.g_01796
OG0000043	Syaj.g_01085, Syaj.g_01247	Prat.g_01176
OG0000044	Syaj.g_01344	Prat.g_00619
OG0000045	Syaj.g_00132	Prat.g_01203
OG0000046	Syaj.g_02775, Syaj.g_02781, Syaj.g_02768	Prat.g_00335
OG0000047	Syaj.g_02799	Prat.g_00374
OG0000048	Syaj.g_02578	Prat.g_00278
OG0000050	Syaj.g_01242	Prat.g_00685
OG0000052	Syaj.g_02476	Prat.g_00058
OG0000053	Syaj.g_01409	Prat.g_01375
OG0000054	Syaj.g_01341	Prat.g_00569
OG0000056	Syaj.g_01081, Syaj.g_00880, Syaj.g_01082, Syaj.g_00533, Syaj.g_01676, Syaj.g_00546, Syaj.g_00879, Syaj.g_00462, Syaj.g_01088, Syaj.g_00360, Syaj.g_01093, Syaj.g_00962, Syaj.g_00985, Syaj.g_02864, Syaj.g_01794	Prat.g_01571
OG0000057	Syaj.g_00438	Prat.g_00775
OG0000058	Syaj.g_02495	Prat.g_01311
OG0000059	Syaj.g_02686	Prat.g_01679
OG0000061	Syaj.g_00302	Prat.g_01156
OG0000062	Syaj.g_01700	Prat.g_01442
OG0000063	Syaj.g_02302	Prat.g_01516
OG0000064	Syaj.g_00041, Syaj.g_01253	Prat.g_00064
OG0000065	Syaj.g_01887, Syaj.g_00007	Prat.g_00104
OG0000066	Syaj.g_00157	Prat.g_01499
OG0000067	Syaj.g_01023	Prat.g_01037
OG0000068	Syaj.g_00059	Prat.g_01291
OG0000070	Syaj.g_01529	Prat.g_00412
OG0000071	Syaj.g_01511	Prat.g_01249
OG0000072	Syaj.g_01992	Prat.g_00172
OG0000073	Syaj.g_00093	Prat.g_00462
OG0000075	Syaj.g_02457	Prat.g_01761
OG0000076	Syaj.g_02417	Prat.g_01788
OG0000077	Syaj.g_01831	Prat.g_00075
OG0000078	Syaj.g_02880	Prat.g_00245
OG0000079	Syaj.g_02609	Prat.g_00258
OG0000081	Syaj.g_02888	Prat.g_00493
OG0000082	Syaj.g_00229	Prat.g_01507
OG0000084	Syaj.g_01375	Prat.g_01348
OG0000085	Syaj.g_01707	Prat.g_01584
OG0000086	Syaj.g_01848	Prat.g_00086
OG0000087	Syaj.g_01945	Prat.g_00138
OG0000088	Syaj.g_01986	Prat.g_00166
OG0000089	Syaj.g_02829, Syaj.g_01915	Prat.g_00370
OG0000090	Syaj.g_00144	Prat.g_00495
OG0000091	Syaj.g_01275	Prat.g_01082
OG0000092	Syaj.g_00339	Prat.g_01275
OG0000093	Syaj.g_01042	Prat.g_01053
OG0000094	Syaj.g_00804	Prat.g_00943
OG0000095	Syaj.g_00427	Prat.g_00965
OG0000097	Syaj.g_00589	Prat.g_01111
OG0000098	Syaj.g_02671	Prat.g_01282
OG0000099	Syaj.g_02503	Prat.g_01312
OG0000100	Syaj.g_00987	Prat.g_01437
OG0000101	Syaj.g_02738	Prat.g_01726
OG0000102	Syaj.g_02411	Prat.g_01793
OG0000103	Syaj.g_02243	Prat.g_01880
OG0000104	Syaj.g_02258	Prat.g_01889
OG0000105	Syaj.g_02573	Prat.g_00281
OG0000106	Syaj.g_01130	Prat.g_00637
OG0000107	Syaj.g_02637	Prat.g_01656
OG0000108	Syaj.g_00072	Prat.g_00440
OG0000109	Syaj.g_00087	Prat.g_00455
OG0000110	Syaj.g_00215	Prat.g_00539
OG0000111	Syaj.g_00437	Prat.g_00776
OG0000112	Syaj.g_00907	Prat.g_00888
OG0000113	Syaj.g_00992	Prat.g_01014
OG0000114	Syaj.g_00741	Prat.g_00716
OG0000115	Syaj.g_01402	Prat.g_01373
OG0000116	Syaj.g_00289	Prat.g_01166
OG0000117	Syaj.g_00637	Prat.g_01129
OG0000118	Syaj.g_00267	Prat.g_01261
OG0000119	Syaj.g_00317	Prat.g_00647, Prat.g_01452
OG0000120	Syaj.g_02502	Prat.g_00344
OG0000121	Syaj.g_01383	Prat.g_01355
OG0000122	Syaj.g_01250	Prat.g_00781, Prat.g_01398
OG0000123	Syaj.g_02745	Prat.g_01733
OG0000124	Syaj.g_02388	Prat.g_01805
OG0000125	Syaj.g_02117	Prat.g_01841
OG0000126	Syaj.g_02256	Prat.g_01888
OG0000128	Syaj.g_02274	Prat.g_00012, Prat.g_00011
OG0000129	Syaj.g_02106	Prat.g_00047
OG0000130	Syaj.g_01818	Prat.g_00066
OG0000131	Syaj.g_01964	Prat.g_00144
OG0000132	Syaj.g_00688, Syaj.g_01984	Prat.g_00164
OG0000133	Syaj.g_00902	Prat.g_00329
OG0000134	Syaj.g_02832	Prat.g_00372
OG0000135	Syaj.g_02167	Prat.g_01477
OG0000136	Syaj.g_01550	Prat.g_00401
OG0000137	Syaj.g_01444	Prat.g_00434
OG0000138	Syaj.g_00088	Prat.g_00456
OG0000139	Syaj.g_00150	Prat.g_00499
OG0000140	Syaj.g_00153	Prat.g_00500
OG0000141	Syaj.g_01340	Prat.g_00570
OG0000142	Syaj.g_01283	Prat.g_01090
OG0000143	Syaj.g_01279	Prat.g_01086
OG0000144	Syaj.g_01151	Prat.g_01072
OG0000145	Syaj.g_00094	Prat.g_01472
OG0000146	Syaj.g_00908	Prat.g_00887
OG0000147	Syaj.g_00909	Prat.g_00886
OG0000148	Syaj.g_01003	Prat.g_01020
OG0000149	Syaj.g_00369	Prat.g_00991
OG0000150	Syaj.g_01339, Syaj.g_00154	Prat.g_00981
OG0000151	Syaj.g_01074	Prat.g_00726
OG0000152	Syaj.g_00898	Prat.g_00896
OG0000153	Syaj.g_00842	Prat.g_00915
OG0000154	Syaj.g_00814	Prat.g_00934
OG0000155	Syaj.g_00338	Prat.g_01135
OG0000156	Syaj.g_00282	Prat.g_01238
OG0000157	Syaj.g_00281	Prat.g_01239
OG0000158	Syaj.g_02445	Prat.g_01769
OG0000160	Syaj.g_01382	Prat.g_01354
OG0000161	Syaj.g_01389	Prat.g_01360
OG0000162	Syaj.g_01395	Prat.g_01366
OG0000163	Syaj.g_01639	Prat.g_01409
OG0000164	Syaj.g_01758	Prat.g_01615
OG0000165	Syaj.g_01582	Prat.g_01623
OG0000166	Syaj.g_02698	Prat.g_01690
OG0000167	Syaj.g_02460	Prat.g_01759
OG0000168	Syaj.g_02444	Prat.g_01770
OG0000169	Syaj.g_02431, Syaj.g_02429	Prat.g_01781
OG0000170	Syaj.g_02422	Prat.g_01784
OG0000171	Syaj.g_02389	Prat.g_01804
OG0000172	Syaj.g_02365	Prat.g_01811
OG0000173	Syaj.g_02321	Prat.g_01826
OG0000174	Syaj.g_02169	Prat.g_01858
OG0000175	Syaj.g_02229	Prat.g_01870
OG0000176	Syaj.g_02266	Prat.g_00004
OG0000177	Syaj.g_02267	Prat.g_00005
OG0000178	Syaj.g_02268	Prat.g_00006
OG0000179	Syaj.g_02283	Prat.g_00017
OG0000180	Syaj.g_02284	Prat.g_00018
OG0000181	Syaj.g_02285	Prat.g_00019
OG0000182	Syaj.g_02286	Prat.g_00020
OG0000183	Syaj.g_02290	Prat.g_00024, Prat.g_01314
OG0000184	Syaj.g_02098	Prat.g_00051
OG0000185	Syaj.g_02087	Prat.g_00054
OG0000186	Syaj.g_01812	Prat.g_00060
OG0000187	Syaj.g_01814	Prat.g_00061
OG0000188	Syaj.g_01837	Prat.g_00080
OG0000189	Syaj.g_01874	Prat.g_00093
OG0000190	Syaj.g_01876	Prat.g_00094
OG0000191	Syaj.g_01910	Prat.g_00116
OG0000192	Syaj.g_01919	Prat.g_00121
OG0000193	Syaj.g_01965	Prat.g_00145
OG0000194	Syaj.g_01968	Prat.g_00148
OG0000195	Syaj.g_01971	Prat.g_00150
OG0000196	Syaj.g_01981	Prat.g_00161
OG0000197	Syaj.g_01982	Prat.g_00162
OG0000198	Syaj.g_01983	Prat.g_00163
OG0000199	Syaj.g_01991	Prat.g_00171
OG0000200	Syaj.g_02008	Prat.g_00185
OG0000201	Syaj.g_02024	Prat.g_00194
OG0000202	Syaj.g_02025	Prat.g_00195
OG0000203	Syaj.g_02026	Prat.g_00196
OG0000204	Syaj.g_02027	Prat.g_00197
OG0000205	Syaj.g_02035	Prat.g_00204
OG0000206	Syaj.g_02043	Prat.g_00209
OG0000207	Syaj.g_02045	Prat.g_00211
OG0000208	Syaj.g_02046	Prat.g_00212
OG0000209	Syaj.g_02070	Prat.g_00221
OG0000210	Syaj.g_02071	Prat.g_00222
OG0000211	Syaj.g_02856	Prat.g_00238
OG0000212	Syaj.g_02881	Prat.g_00246
OG0000213	Syaj.g_02601	Prat.g_00264
OG0000214	Syaj.g_02582	Prat.g_00274
OG0000215	Syaj.g_02551	Prat.g_00300
OG0000216	Syaj.g_02547	Prat.g_00302
OG0000217	Syaj.g_02543	Prat.g_00305
OG0000218	Syaj.g_02541	Prat.g_00307
OG0000219	Syaj.g_02540	Prat.g_00308
OG0000220	Syaj.g_02539	Prat.g_00309
OG0000221	Syaj.g_02530	Prat.g_00310
OG0000222	Syaj.g_02516	Prat.g_00317
OG0000223	Syaj.g_02494	Prat.g_00330
OG0000224	Syaj.g_02487	Prat.g_00332
OG0000225	Syaj.g_02821	Prat.g_00360
OG0000226	Syaj.g_02825	Prat.g_00364
OG0000227	Syaj.g_02827	Prat.g_00366
OG0000228	Syaj.g_02828	Prat.g_00369
OG0000229	Syaj.g_01555	Prat.g_00396
OG0000230	Syaj.g_01553	Prat.g_00398
OG0000231	Syaj.g_01541	Prat.g_00411
OG0000232	Syaj.g_01497	Prat.g_00419
OG0000233	Syaj.g_01481	Prat.g_00426
OG0000234	Syaj.g_01442	Prat.g_00435
OG0000235	Syaj.g_00071	Prat.g_00439
OG0000236	Syaj.g_00086	Prat.g_00454
OG0000237	Syaj.g_00103	Prat.g_00469
OG0000238	Syaj.g_00108	Prat.g_00475
OG0000239	Syaj.g_00125	Prat.g_00487
OG0000240	Syaj.g_00126	Prat.g_00488
OG0000241	Syaj.g_01291	Prat.g_00492
OG0000242	Syaj.g_00142	Prat.g_00494
OG0000243	Syaj.g_00164	Prat.g_00504
OG0000244	Syaj.g_00180	Prat.g_00507
OG0000245	Syaj.g_00182	Prat.g_00509
OG0000246	Syaj.g_00186	Prat.g_00514, Prat.g_00513
OG0000247	Syaj.g_00197	Prat.g_00525
OG0000248	Syaj.g_00200	Prat.g_00528
OG0000249	Syaj.g_00202	Prat.g_00530
OG0000250	Syaj.g_00211	Prat.g_00536
OG0000251	Syaj.g_00237	Prat.g_00553
OG0000252	Syaj.g_00243	Prat.g_00556
OG0000253	Syaj.g_00245	Prat.g_00557
OG0000254	Syaj.g_01335	Prat.g_00574
OG0000255	Syaj.g_01315	Prat.g_00581
OG0000256	Syaj.g_01297	Prat.g_00591
OG0000257	Syaj.g_01292	Prat.g_01097
OG0000258	Syaj.g_01274	Prat.g_01081
OG0000259	Syaj.g_00707	Prat.g_01064
OG0000260	Syaj.g_00712	Prat.g_01061
OG0000261	Syaj.g_00715	Prat.g_01058
OG0000262	Syaj.g_00720	Prat.g_01054
OG0000263	Syaj.g_00605	Prat.g_00754
OG0000264	Syaj.g_00485	Prat.g_00765
OG0000265	Syaj.g_00510	Prat.g_00788
OG0000266	Syaj.g_00946	Prat.g_00801
OG0000267	Syaj.g_00770	Prat.g_00814
OG0000268	Syaj.g_00771	Prat.g_00815
OG0000269	Syaj.g_01031	Prat.g_01042
OG0000270	Syaj.g_01025	Prat.g_01039
OG0000271	Syaj.g_01017	Prat.g_01031
OG0000272	Syaj.g_01016	Prat.g_01030
OG0000273	Syaj.g_00389	Prat.g_01007
OG0000274	Syaj.g_00388	Prat.g_01006
OG0000275	Syaj.g_00384	Prat.g_01004
OG0000276	Syaj.g_00377	Prat.g_00999
OG0000277	Syaj.g_00376	Prat.g_00998
OG0000278	Syaj.g_00373	Prat.g_00995
OG0000279	Syaj.g_00357	Prat.g_00988
OG0000280	Syaj.g_00348	Prat.g_00987
OG0000281	Syaj.g_02670	Prat.g_00980
OG0000282	Syaj.g_00743	Prat.g_00718
OG0000283	Syaj.g_00790	Prat.g_00868
OG0000284	Syaj.g_00930	Prat.g_00873
OG0000285	Syaj.g_00917	Prat.g_00879
OG0000286	Syaj.g_00899	Prat.g_00895
OG0000287	Syaj.g_00849	Prat.g_00912
OG0000288	Syaj.g_00815	Prat.g_00933
OG0000289	Syaj.g_00800	Prat.g_00948
OG0000290	Syaj.g_00424	Prat.g_00962
OG0000291	Syaj.g_00426	Prat.g_00964
OG0000292	Syaj.g_02255	Prat.g_01208
OG0000293	Syaj.g_00290	Prat.g_01165
OG0000294	Syaj.g_00291	Prat.g_01164
OG0000295	Syaj.g_00330	Prat.g_01142
OG0000296	Syaj.g_00332	Prat.g_01140
OG0000297	Syaj.g_00639	Prat.g_01131
OG0000298	Syaj.g_00638	Prat.g_01130
OG0000299	Syaj.g_00592	Prat.g_01112
OG0000300	Syaj.g_00586	Prat.g_01108
OG0000301	Syaj.g_00585	Prat.g_01107
OG0000302	Syaj.g_00582	Prat.g_01105
OG0000303	Syaj.g_00572	Prat.g_01099
OG0000304	Syaj.g_00566	Prat.g_00595
OG0000305	Syaj.g_00429	Prat.g_01200
OG0000306	Syaj.g_01126	Prat.g_00976
OG0000307	Syaj.g_00051	Prat.g_01300
OG0000308	Syaj.g_00049	Prat.g_01301
OG0000309	Syaj.g_00044	Prat.g_01305
OG0000310	Syaj.g_01358	Prat.g_01336
OG0000311	Syaj.g_01362	Prat.g_01338
OG0000312	Syaj.g_01368	Prat.g_01341
OG0000313	Syaj.g_01386	Prat.g_01357
OG0000314	Syaj.g_01420	Prat.g_01382
OG0000315	Syaj.g_01430	Prat.g_01392
OG0000316	Syaj.g_01664	Prat.g_01420
OG0000317	Syaj.g_01715	Prat.g_01589
OG0000318	Syaj.g_01722	Prat.g_01593
OG0000319	Syaj.g_01741	Prat.g_01605
OG0000320	Syaj.g_01743	Prat.g_01607
OG0000321	Syaj.g_01744	Prat.g_01608
OG0000322	Syaj.g_01745	Prat.g_01609
OG0000323	Syaj.g_01760	Prat.g_01618
OG0000324	Syaj.g_01609	Prat.g_01647
OG0000325	Syaj.g_02638	Prat.g_01657
OG0000326	Syaj.g_02645	Prat.g_01664
OG0000327	Syaj.g_02693	Prat.g_01685
OG0000328	Syaj.g_02694	Prat.g_01686
OG0000329	Syaj.g_02712	Prat.g_01703
OG0000330	Syaj.g_02713	Prat.g_01704
OG0000331	Syaj.g_02714	Prat.g_01705
OG0000332	Syaj.g_02729	Prat.g_01718
OG0000333	Syaj.g_02732	Prat.g_01720
OG0000334	Syaj.g_02741	Prat.g_01729
OG0000335	Syaj.g_02746	Prat.g_01734
OG0000336	Syaj.g_02750	Prat.g_01738
OG0000337	Syaj.g_02466	Prat.g_01756
OG0000338	Syaj.g_02462	Prat.g_01757
OG0000339	Syaj.g_02455	Prat.g_01762
OG0000340	Syaj.g_02443	Prat.g_01771
OG0000341	Syaj.g_02441	Prat.g_01773
OG0000342	Syaj.g_02440	Prat.g_01775
OG0000343	Syaj.g_02437	Prat.g_01776
OG0000344	Syaj.g_02433	Prat.g_01779
OG0000345	Syaj.g_02421	Prat.g_01785
OG0000346	Syaj.g_02416	Prat.g_01789
OG0000347	Syaj.g_02383	Prat.g_01806
OG0000348	Syaj.g_02333	Prat.g_01814
OG0000349	Syaj.g_02314	Prat.g_01832
OG0000350	Syaj.g_02652	Prat.g_01853
OG0000351	Syaj.g_02234	Prat.g_01873
OG0000352	Syaj.g_02235	Prat.g_01874
OG0000353	Syaj.g_02261	Prat.g_01892
OG0000354	Syaj.g_00114, Syaj.g_02281	Prat.g_00845
OG0000355	Syaj.g_02263	Prat.g_00001
OG0000356	Syaj.g_02264	Prat.g_00002
OG0000357	Syaj.g_02265	Prat.g_00003
OG0000358	Syaj.g_02269	Prat.g_00007
OG0000359	Syaj.g_02271	Prat.g_00008
OG0000360	Syaj.g_02272	Prat.g_00009
OG0000361	Syaj.g_02273	Prat.g_00010
OG0000362	Syaj.g_02275	Prat.g_00013
OG0000363	Syaj.g_02277	Prat.g_00015
OG0000364	Syaj.g_02278	Prat.g_00016
OG0000365	Syaj.g_02287	Prat.g_00021
OG0000366	Syaj.g_02288	Prat.g_00022
OG0000367	Syaj.g_02289	Prat.g_00023
OG0000368	Syaj.g_02291	Prat.g_00025
OG0000369	Syaj.g_02292	Prat.g_00026
OG0000370	Syaj.g_02293	Prat.g_00027
OG0000371	Syaj.g_02301	Prat.g_00034
OG0000372	Syaj.g_02307	Prat.g_00036
OG0000373	Syaj.g_02308	Prat.g_00037
OG0000374	Syaj.g_02309	Prat.g_00038
OG0000375	Syaj.g_02310	Prat.g_00042
OG0000376	Syaj.g_02312	Prat.g_00044
OG0000377	Syaj.g_02105	Prat.g_00048
OG0000378	Syaj.g_02091	Prat.g_00052
OG0000379	Syaj.g_02086	Prat.g_00055
OG0000380	Syaj.g_01815	Prat.g_00062
OG0000381	Syaj.g_01819	Prat.g_00067
OG0000382	Syaj.g_01836	Prat.g_00079
OG0000383	Syaj.g_01839	Prat.g_00081
OG0000384	Syaj.g_01840	Prat.g_00082
OG0000385	Syaj.g_01841	Prat.g_00083
OG0000386	Syaj.g_01842	Prat.g_00084
OG0000387	Syaj.g_01878	Prat.g_00096
OG0000388	Syaj.g_01882	Prat.g_00100
OG0000389	Syaj.g_01886	Prat.g_00103
OG0000390	Syaj.g_01904	Prat.g_00112
OG0000391	Syaj.g_01909	Prat.g_00115
OG0000392	Syaj.g_01918	Prat.g_00118
OG0000393	Syaj.g_01922	Prat.g_00122
OG0000394	Syaj.g_01923	Prat.g_00123
OG0000395	Syaj.g_01924	Prat.g_00124
OG0000396	Syaj.g_01928	Prat.g_00126
OG0000397	Syaj.g_01930	Prat.g_00128
OG0000398	Syaj.g_01935	Prat.g_00131
OG0000399	Syaj.g_01936	Prat.g_00132
OG0000400	Syaj.g_01937	Prat.g_00133
OG0000401	Syaj.g_01938	Prat.g_00134
OG0000402	Syaj.g_01940	Prat.g_00601
OG0000403	Syaj.g_01941	Prat.g_00136
OG0000404	Syaj.g_01943	Prat.g_00137
OG0000405	Syaj.g_01961	Prat.g_00141
OG0000406	Syaj.g_01966	Prat.g_00146
OG0000407	Syaj.g_01967	Prat.g_00147
OG0000408	Syaj.g_01970	Prat.g_00149
OG0000409	Syaj.g_01972	Prat.g_00151
OG0000410	Syaj.g_01973	Prat.g_00152
OG0000411	Syaj.g_01974	Prat.g_00153
OG0000412	Syaj.g_01975	Prat.g_00154
OG0000413	Syaj.g_01977	Prat.g_00156
OG0000415	Syaj.g_01978	Prat.g_00158
OG0000416	Syaj.g_01979	Prat.g_00159
OG0000417	Syaj.g_01980	Prat.g_00160
OG0000418	Syaj.g_01985	Prat.g_00165
OG0000419	Syaj.g_01987	Prat.g_00167
OG0000420	Syaj.g_01989	Prat.g_00169
OG0000421	Syaj.g_01994	Prat.g_00174
OG0000422	Syaj.g_01995	Prat.g_00175
OG0000423	Syaj.g_01996	Prat.g_00176
OG0000424	Syaj.g_01997	Prat.g_00177
OG0000425	Syaj.g_01998	Prat.g_00178
OG0000426	Syaj.g_01999	Prat.g_00179
OG0000427	Syaj.g_02000	Prat.g_00180
OG0000428	Syaj.g_02003	Prat.g_00182
OG0000429	Syaj.g_02005	Prat.g_00183
OG0000430	Syaj.g_02007	Prat.g_00184
OG0000431	Syaj.g_02010	Prat.g_00186
OG0000432	Syaj.g_02017	Prat.g_00190
OG0000433	Syaj.g_02020	Prat.g_00191
OG0000434	Syaj.g_02021	Prat.g_00192
OG0000435	Syaj.g_02023	Prat.g_00193
OG0000436	Syaj.g_02029	Prat.g_00198
OG0000437	Syaj.g_02030	Prat.g_00199
OG0000438	Syaj.g_02031	Prat.g_00200
OG0000439	Syaj.g_02033	Prat.g_00202
OG0000440	Syaj.g_02034	Prat.g_00203
OG0000441	Syaj.g_02038	Prat.g_00206
OG0000442	Syaj.g_02039	Prat.g_00207
OG0000443	Syaj.g_02040	Prat.g_00208
OG0000444	Syaj.g_02052	Prat.g_00213
OG0000445	Syaj.g_02053	Prat.g_00214
OG0000446	Syaj.g_02055	Prat.g_00215
OG0000447	Syaj.g_02058	Prat.g_00216
OG0000448	Syaj.g_02059	Prat.g_00217
OG0000449	Syaj.g_02060	Prat.g_00218
OG0000450	Syaj.g_02067	Prat.g_00219
OG0000451	Syaj.g_02068	Prat.g_00220
OG0000452	Syaj.g_02072	Prat.g_00223
OG0000453	Syaj.g_02073	Prat.g_00224
OG0000454	Syaj.g_02074	Prat.g_00225
OG0000455	Syaj.g_02075	Prat.g_00226
OG0000456	Syaj.g_02076	Prat.g_00227
OG0000457	Syaj.g_02078	Prat.g_00229
OG0000458	Syaj.g_02079	Prat.g_00230
OG0000459	Syaj.g_02080	Prat.g_00231
OG0000460	Syaj.g_02858	Prat.g_00240
OG0000461	Syaj.g_02623	Prat.g_00249
OG0000462	Syaj.g_02620	Prat.g_00250
OG0000463	Syaj.g_02619	Prat.g_00251
OG0000464	Syaj.g_02618	Prat.g_00252
OG0000465	Syaj.g_02617	Prat.g_00253
OG0000466	Syaj.g_02612	Prat.g_00256
OG0000467	Syaj.g_02610	Prat.g_00257
OG0000468	Syaj.g_02605	Prat.g_00260
OG0000469	Syaj.g_02590	Prat.g_00269
OG0000470	Syaj.g_02586	Prat.g_00271
OG0000471	Syaj.g_02585	Prat.g_00272
OG0000472	Syaj.g_02583	Prat.g_00273
OG0000473	Syaj.g_02581	Prat.g_00275
OG0000474	Syaj.g_02580	Prat.g_00276
OG0000475	Syaj.g_02579	Prat.g_00277
OG0000476	Syaj.g_02577	Prat.g_00279
OG0000477	Syaj.g_02571	Prat.g_00282
OG0000478	Syaj.g_02570	Prat.g_00283
OG0000479	Syaj.g_02569	Prat.g_00284
OG0000480	Syaj.g_02562	Prat.g_00290
OG0000481	Syaj.g_02560	Prat.g_00292
OG0000482	Syaj.g_02559	Prat.g_00293
OG0000483	Syaj.g_02555	Prat.g_00296
OG0000484	Syaj.g_02554	Prat.g_00297
OG0000485	Syaj.g_02553	Prat.g_00298
OG0000486	Syaj.g_02552	Prat.g_00299
OG0000487	Syaj.g_02546	Prat.g_00303
OG0000488	Syaj.g_02542	Prat.g_00306
OG0000489	Syaj.g_02529	Prat.g_00311
OG0000490	Syaj.g_02519	Prat.g_00315
OG0000491	Syaj.g_02517	Prat.g_00316
OG0000492	Syaj.g_02515	Prat.g_00318
OG0000493	Syaj.g_02514	Prat.g_00319
OG0000494	Syaj.g_02513	Prat.g_00320
OG0000495	Syaj.g_02512	Prat.g_00321
OG0000496	Syaj.g_02511	Prat.g_00322
OG0000497	Syaj.g_02510	Prat.g_00323
OG0000498	Syaj.g_02509	Prat.g_00324
OG0000499	Syaj.g_02508	Prat.g_00325
OG0000500	Syaj.g_02507	Prat.g_00326
OG0000501	Syaj.g_02504	Prat.g_00328
OG0000502	Syaj.g_02492	Prat.g_00331
OG0000503	Syaj.g_02805	Prat.g_00348
OG0000504	Syaj.g_02807	Prat.g_00350
OG0000505	Syaj.g_02808	Prat.g_00351
OG0000506	Syaj.g_02810	Prat.g_00352
OG0000507	Syaj.g_02816	Prat.g_00355
OG0000508	Syaj.g_02820	Prat.g_00359
OG0000509	Syaj.g_02822	Prat.g_00361
OG0000510	Syaj.g_02823	Prat.g_00362
OG0000511	Syaj.g_02824	Prat.g_00363
OG0000512	Syaj.g_02826	Prat.g_00365
OG0000513	Syaj.g_02833	Prat.g_00373
OG0000514	Syaj.g_02839	Prat.g_00390
OG0000515	Syaj.g_02840	Prat.g_00391
OG0000516	Syaj.g_01561	Prat.g_00392
OG0000517	Syaj.g_01556	Prat.g_00395
OG0000518	Syaj.g_01544	Prat.g_00407
OG0000519	Syaj.g_01543	Prat.g_00408
OG0000520	Syaj.g_01542	Prat.g_00410
OG0000521	Syaj.g_00271	Prat.g_00415
OG0000522	Syaj.g_00273	Prat.g_00417
OG0000523	Syaj.g_00274	Prat.g_00418
OG0000524	Syaj.g_01485	Prat.g_00424
OG0000525	Syaj.g_01454	Prat.g_00428
OG0000526	Syaj.g_01451	Prat.g_00429
OG0000527	Syaj.g_01446	Prat.g_00432
OG0000528	Syaj.g_00065	Prat.g_00438
OG0000529	Syaj.g_00073	Prat.g_00441
OG0000530	Syaj.g_00076	Prat.g_00444
OG0000531	Syaj.g_00077	Prat.g_00445
OG0000532	Syaj.g_00080	Prat.g_00447
OG0000533	Syaj.g_00081	Prat.g_00448
OG0000534	Syaj.g_00082	Prat.g_00449
OG0000535	Syaj.g_00083	Prat.g_00450
OG0000536	Syaj.g_00084	Prat.g_00451
OG0000537	Syaj.g_00085	Prat.g_00453
OG0000538	Syaj.g_00096	Prat.g_00463
OG0000539	Syaj.g_00097	Prat.g_00464
OG0000540	Syaj.g_00098	Prat.g_00465
OG0000541	Syaj.g_00099	Prat.g_00466
OG0000542	Syaj.g_00102	Prat.g_00468
OG0000543	Syaj.g_00104	Prat.g_00470
OG0000544	Syaj.g_00105	Prat.g_00471
OG0000545	Syaj.g_00107	Prat.g_00473
OG0000546	Syaj.g_00109	Prat.g_00476
OG0000547	Syaj.g_00111	Prat.g_00478
OG0000548	Syaj.g_00112	Prat.g_00479
