Orthogroup	Prao	Prbn
OG0000035	Prao.g_01397	Prbn.g_00212
OG0000037	Prao.g_00247	Prbn.g_01310
OG0000038	Prao.g_01794	Prbn.g_00946
OG0000039	Prao.g_00124	Prbn.g_01577
OG0000041	Prao.g_01598	Prbn.g_01793
OG0000042	Prao.g_01750	Prbn.g_00988
OG0000043	Prao.g_01331, Prao.g_00812	Prbn.g_01168
OG0000048	Prao.g_00509	Prbn.g_01097, Prbn.g_00038
OG0000052	Prao.g_01358	Prbn.g_00190
OG0000053	Prao.g_01417	Prbn.g_00233, Prbn.g_01690
OG0000054	Prao.g_00044	Prbn.g_00508
OG0000055	Prao.g_00721	Prbn.g_01140, Prbn.g_01719
OG0000057	Prao.g_00136	Prbn.g_01562
OG0000058	Prao.g_01191	Prbn.g_00172
OG0000059	Prao.g_01639	Prbn.g_01833
OG0000061	Prao.g_01089	Prbn.g_01189
OG0000062	Prao.g_01474	Prbn.g_00897
OG0000065	Prao.g_00245	Prbn.g_01312
OG0000067	Prao.g_00741	Prbn.g_01546
OG0000068	Prao.g_01239	Prbn.g_01240
OG0000069	Prao.g_01508	Prbn.g_00659
OG0000070	Prao.g_00554	Prbn.g_00663
OG0000071	Prao.g_01276	Prbn.g_01084
OG0000072	Prao.g_00309	Prbn.g_00383
OG0000073	Prao.g_00605	Prbn.g_00614
OG0000074	Prao.g_00120	Prbn.g_01582, Prbn.g_01928, Prbn.g_01038
OG0000075	Prao.g_01719	Prbn.g_01917
OG0000076	Prao.g_01743	Prbn.g_00996
OG0000077	Prao.g_00217	Prbn.g_01342
OG0000078	Prao.g_00377	Prbn.g_00310
OG0000079	Prao.g_00390	Prbn.g_00018
OG0000081	Prao.g_01860	Prbn.g_00585
OG0000082	Prao.g_00024	Prbn.g_00530, Prbn.g_01734
OG0000084	Prao.g_01393	Prbn.g_00209
OG0000085	Prao.g_01545	Prbn.g_00144, Prbn.g_01737
OG0000086	Prao.g_00227	Prbn.g_01333
OG0000087	Prao.g_00277	Prbn.g_01278
OG0000088	Prao.g_00304	Prbn.g_01247
OG0000089	Prao.g_00490	Prbn.g_00696
OG0000090	Prao.g_01858	Prbn.g_00583
OG0000091	Prao.g_00081	Prbn.g_00434
OG0000092	Prao.g_00850	Prbn.g_01616
OG0000093	Prao.g_00870	Prbn.g_00846
OG0000094	Prao.g_00955	Prbn.g_01369
OG0000095	Prao.g_00974	Prbn.g_01471
OG0000096	Prao.g_01142, Prao.g_01316	Prbn.g_01049
OG0000097	Prao.g_01048	Prbn.g_00408
OG0000098	Prao.g_01257	Prbn.g_01216
OG0000099	Prao.g_01214	Prbn.g_00173
OG0000100	Prao.g_01470	Prbn.g_00903
OG0000101	Prao.g_01687	Prbn.g_01881
OG0000102	Prao.g_01748	Prbn.g_00991
OG0000103	Prao.g_01828	Prbn.g_00907
OG0000104	Prao.g_01837	Prbn.g_00296
OG0000105	Prao.g_01378	Prbn.g_00041
OG0000106	Prao.g_00505	Prbn.g_00829
OG0000107	Prao.g_00518	Prbn.g_01810
OG0000108	Prao.g_00586	Prbn.g_00634
OG0000109	Prao.g_00600	Prbn.g_00620
OG0000110	Prao.g_01867	Prbn.g_00541
OG0000111	Prao.g_00137	Prbn.g_01561
OG0000112	Prao.g_00704	Prbn.g_00468
OG0000113	Prao.g_00763	Prbn.g_01523
OG0000114	Prao.g_00845	Prbn.g_01621
OG0000115	Prao.g_01150	Prbn.g_01120
OG0000116	Prao.g_01099	Prbn.g_01178
OG0000117	Prao.g_01332	Prbn.g_00389
OG0000118	Prao.g_01264	Prbn.g_01071
OG0000119	Prao.g_01243	Prbn.g_01135, Prbn.g_00885
OG0000120	Prao.g_01215	Prbn.g_00170
OG0000121	Prao.g_01399	Prbn.g_00214
OG0000122	Prao.g_01436	Prbn.g_01113, Prbn.g_00255
OG0000123	Prao.g_01694	Prbn.g_01888
OG0000124	Prao.g_01759	Prbn.g_00979
OG0000125	Prao.g_01796	Prbn.g_00944
OG0000126	Prao.g_01836	Prbn.g_00295
OG0000128	Prao.g_00158	Prbn.g_00002, Prbn.g_00003
OG0000129	Prao.g_00190	Prbn.g_00737
OG0000130	Prao.g_00208	Prbn.g_00708
OG0000131	Prao.g_00283	Prbn.g_01269
OG0000132	Prao.g_00302	Prbn.g_01249
OG0000133	Prao.g_00458	Prbn.g_00088
OG0000134	Prao.g_00491	Prbn.g_00694
OG0000135	Prao.g_00516	Prbn.g_01102
OG0000136	Prao.g_00545	Prbn.g_00672
OG0000137	Prao.g_00581	Prbn.g_00639
OG0000138	Prao.g_00601	Prbn.g_00619
OG0000139	Prao.g_01854	Prbn.g_00579
OG0000140	Prao.g_01853	Prbn.g_00578
OG0000141	Prao.g_00045	Prbn.g_00507
OG0000142	Prao.g_00074	Prbn.g_00426
OG0000143	Prao.g_00078	Prbn.g_00430
OG0000144	Prao.g_00091	Prbn.g_00444
OG0000145	Prao.g_00701	Prbn.g_01100
OG0000146	Prao.g_00705	Prbn.g_00469
OG0000147	Prao.g_00706	Prbn.g_00470
OG0000148	Prao.g_00757	Prbn.g_01529
OG0000149	Prao.g_00788	Prbn.g_01497
OG0000150	Prao.g_00796	Prbn.g_01487
OG0000151	Prao.g_00855	Prbn.g_01611
OG0000152	Prao.g_00902	Prbn.g_01418
OG0000153	Prao.g_00921	Prbn.g_01399
OG0000154	Prao.g_00948	Prbn.g_01379
OG0000155	Prao.g_01069	Prbn.g_01210
OG0000156	Prao.g_01287	Prbn.g_01095
OG0000157	Prao.g_01286	Prbn.g_01094
OG0000158	Prao.g_01220	Prbn.g_01014
OG0000160	Prao.g_01398	Prbn.g_00213
OG0000161	Prao.g_01404	Prbn.g_00219
OG0000162	Prao.g_01410	Prbn.g_00225
OG0000163	Prao.g_01443	Prbn.g_00264
OG0000164	Prao.g_01576	Prbn.g_01770
OG0000165	Prao.g_01583	Prbn.g_01777
OG0000166	Prao.g_01651	Prbn.g_01844
OG0000167	Prao.g_01717	Prbn.g_01915
OG0000168	Prao.g_01727	Prbn.g_01013
OG0000169	Prao.g_01737	Prbn.g_01003
OG0000170	Prao.g_01739	Prbn.g_01000
OG0000171	Prao.g_01758	Prbn.g_00980
OG0000172	Prao.g_01767	Prbn.g_00973
OG0000173	Prao.g_01782	Prbn.g_00958
OG0000174	Prao.g_01810	Prbn.g_00929
OG0000175	Prao.g_01820	Prbn.g_00916
OG0000176	Prao.g_01845	Prbn.g_00010
OG0000177	Prao.g_01846	Prbn.g_00009
OG0000178	Prao.g_01847	Prbn.g_00008
OG0000179	Prao.g_00163	Prbn.g_00766
OG0000180	Prao.g_00164	Prbn.g_00765
OG0000181	Prao.g_00165	Prbn.g_00764
OG0000182	Prao.g_00166	Prbn.g_00763
OG0000183	Prao.g_00170	Prbn.g_00759
OG0000184	Prao.g_00192	Prbn.g_00733
OG0000185	Prao.g_00195	Prbn.g_00730
OG0000186	Prao.g_00203	Prbn.g_00714
OG0000187	Prao.g_00204	Prbn.g_00713
OG0000188	Prao.g_00221	Prbn.g_01339
OG0000189	Prao.g_00235	Prbn.g_01325
OG0000190	Prao.g_00236	Prbn.g_01323
OG0000191	Prao.g_00256	Prbn.g_01300
OG0000192	Prao.g_00260	Prbn.g_01295
OG0000193	Prao.g_00284	Prbn.g_01268
OG0000194	Prao.g_00287	Prbn.g_01265
OG0000195	Prao.g_00289	Prbn.g_01263
OG0000196	Prao.g_00299	Prbn.g_01252
OG0000197	Prao.g_00300	Prbn.g_01251
OG0000198	Prao.g_00301	Prbn.g_01250
OG0000199	Prao.g_00308	Prbn.g_01243, Prbn.g_00384
OG0000200	Prao.g_00322	Prbn.g_00370
OG0000201	Prao.g_00330	Prbn.g_00361
OG0000202	Prao.g_00331	Prbn.g_00360
OG0000203	Prao.g_00332	Prbn.g_00359
OG0000204	Prao.g_00333	Prbn.g_00358
OG0000205	Prao.g_00340	Prbn.g_00351
OG0000206	Prao.g_00345	Prbn.g_00346
OG0000207	Prao.g_00347	Prbn.g_00343
OG0000208	Prao.g_00348	Prbn.g_00342
OG0000209	Prao.g_00357	Prbn.g_00333
OG0000210	Prao.g_00358	Prbn.g_00332
OG0000211	Prao.g_00371	Prbn.g_00317
OG0000212	Prao.g_00378	Prbn.g_00309
OG0000213	Prao.g_00395	Prbn.g_00024
OG0000214	Prao.g_00405	Prbn.g_00034
OG0000215	Prao.g_00429	Prbn.g_00061
OG0000216	Prao.g_00431	Prbn.g_00062
OG0000217	Prao.g_00434	Prbn.g_00065
OG0000218	Prao.g_00436	Prbn.g_00067
OG0000219	Prao.g_00437	Prbn.g_00068
OG0000220	Prao.g_00438	Prbn.g_00069
OG0000221	Prao.g_00439	Prbn.g_00070
OG0000222	Prao.g_00446	Prbn.g_00077
OG0000223	Prao.g_00459	Prbn.g_00089
OG0000224	Prao.g_00461	Prbn.g_00091
OG0000225	Prao.g_00480	Prbn.g_00117
OG0000226	Prao.g_00484	Prbn.g_00121
OG0000227	Prao.g_00486	Prbn.g_00123
OG0000228	Prao.g_00489	Prbn.g_00697
OG0000229	Prao.g_00540	Prbn.g_00677
OG0000230	Prao.g_00542	Prbn.g_00675
OG0000231	Prao.g_00553	Prbn.g_00664
OG0000232	Prao.g_00564	Prbn.g_00653
OG0000233	Prao.g_00569	Prbn.g_00647
OG0000234	Prao.g_00582	Prbn.g_00638
OG0000235	Prao.g_00585	Prbn.g_00635
OG0000236	Prao.g_00599	Prbn.g_00621
OG0000237	Prao.g_00612	Prbn.g_00608
OG0000238	Prao.g_00618	Prbn.g_00602
OG0000239	Prao.g_00631	Prbn.g_00591
OG0000240	Prao.g_00632	Prbn.g_00590
OG0000241	Prao.g_01861	Prbn.g_00586
OG0000242	Prao.g_01859	Prbn.g_00584
OG0000243	Prao.g_01162	Prbn.g_00573
OG0000244	Prao.g_01165	Prbn.g_00570
OG0000245	Prao.g_01167	Prbn.g_00568
OG0000246	Prao.g_01171	Prbn.g_00564
OG0000247	Prao.g_01181	Prbn.g_00554
OG0000248	Prao.g_01183	Prbn.g_00551
OG0000249	Prao.g_01185	Prbn.g_00549
OG0000250	Prao.g_01864	Prbn.g_00544
OG0000251	Prao.g_00029	Prbn.g_00524
OG0000252	Prao.g_00032	Prbn.g_00521
OG0000253	Prao.g_00033	Prbn.g_00520
OG0000254	Prao.g_00049	Prbn.g_00503
OG0000255	Prao.g_00055	Prbn.g_00497
OG0000256	Prao.g_00066	Prbn.g_00487
OG0000257	Prao.g_00069	Prbn.g_00421
OG0000258	Prao.g_00082	Prbn.g_00435
OG0000259	Prao.g_00099	Prbn.g_00835
OG0000260	Prao.g_00102	Prbn.g_00838
OG0000261	Prao.g_00104	Prbn.g_00841
OG0000262	Prao.g_00108	Prbn.g_00845
OG0000263	Prao.g_00119	Prbn.g_01583
OG0000264	Prao.g_00129	Prbn.g_01572
OG0000265	Prao.g_00648	Prbn.g_01554
OG0000266	Prao.g_00658	Prbn.g_00864
OG0000267	Prao.g_00669	Prbn.g_01350
OG0000268	Prao.g_00670	Prbn.g_01351
OG0000269	Prao.g_00736	Prbn.g_01551
OG0000270	Prao.g_00739	Prbn.g_01548
OG0000271	Prao.g_00747	Prbn.g_01540
OG0000272	Prao.g_00748	Prbn.g_01539
OG0000273	Prao.g_00771	Prbn.g_01515
OG0000274	Prao.g_00772	Prbn.g_01514
OG0000275	Prao.g_00775	Prbn.g_01511
OG0000276	Prao.g_00780	Prbn.g_01505
OG0000277	Prao.g_00781	Prbn.g_01504
OG0000278	Prao.g_00784	Prbn.g_01501
OG0000279	Prao.g_00791	Prbn.g_01494
OG0000280	Prao.g_00792	Prbn.g_01493
OG0000281	Prao.g_00797	Prbn.g_01486
OG0000282	Prao.g_00847	Prbn.g_01619
OG0000283	Prao.g_00879	Prbn.g_01442
OG0000284	Prao.g_00884	Prbn.g_01437
OG0000285	Prao.g_00889	Prbn.g_01432
OG0000286	Prao.g_00901	Prbn.g_01419
OG0000287	Prao.g_00918	Prbn.g_01123
OG0000288	Prao.g_00947	Prbn.g_01380
OG0000289	Prao.g_00958	Prbn.g_01364
OG0000290	Prao.g_00971	Prbn.g_01468
OG0000291	Prao.g_00973	Prbn.g_01470
OG0000292	Prao.g_01025	Prbn.g_01144
OG0000293	Prao.g_01098	Prbn.g_01179
OG0000294	Prao.g_01097	Prbn.g_01180
OG0000295	Prao.g_01077	Prbn.g_01203
OG0000296	Prao.g_01075	Prbn.g_01205
OG0000297	Prao.g_01067	Prbn.g_00387
OG0000298	Prao.g_01066	Prbn.g_00388
OG0000299	Prao.g_01049	Prbn.g_00407
OG0000300	Prao.g_01046	Prbn.g_00410
OG0000301	Prao.g_01045	Prbn.g_00411
OG0000302	Prao.g_01043	Prbn.g_00413
OG0000303	Prao.g_01036	Prbn.g_00419
OG0000304	Prao.g_01032	Prbn.g_00482
OG0000305	Prao.g_01247	Prbn.g_01146
OG0000306	Prao.g_01244	Prbn.g_01482
OG0000307	Prao.g_01230	Prbn.g_00159
OG0000308	Prao.g_01229	Prbn.g_00160
OG0000309	Prao.g_01225	Prbn.g_00164
OG0000310	Prao.g_01382	Prbn.g_00198
OG0000311	Prao.g_01384	Prbn.g_00200
OG0000312	Prao.g_01387	Prbn.g_00203
OG0000313	Prao.g_01401	Prbn.g_00216
OG0000314	Prao.g_01423	Prbn.g_00239
OG0000315	Prao.g_01433	Prbn.g_00249
OG0000316	Prao.g_01453	Prbn.g_00274
OG0000317	Prao.g_01550	Prbn.g_01742
OG0000318	Prao.g_01553	Prbn.g_01746
OG0000319	Prao.g_01566	Prbn.g_01759
OG0000320	Prao.g_01568	Prbn.g_01761
OG0000321	Prao.g_01569	Prbn.g_01762
OG0000322	Prao.g_01570	Prbn.g_01763
OG0000323	Prao.g_01579	Prbn.g_01773
OG0000324	Prao.g_01605	Prbn.g_01800
OG0000325	Prao.g_01616	Prbn.g_01811
OG0000326	Prao.g_01622	Prbn.g_01818
OG0000327	Prao.g_01646	Prbn.g_01839
OG0000328	Prao.g_01647	Prbn.g_01840
OG0000329	Prao.g_01664	Prbn.g_01857
OG0000330	Prao.g_01665	Prbn.g_01858
OG0000331	Prao.g_01666	Prbn.g_01859
OG0000332	Prao.g_01680	Prbn.g_01873
OG0000333	Prao.g_01682	Prbn.g_01875
OG0000334	Prao.g_01690	Prbn.g_01884
OG0000335	Prao.g_01695	Prbn.g_01889
OG0000336	Prao.g_01699	Prbn.g_01893
OG0000337	Prao.g_01715	Prbn.g_01911
OG0000338	Prao.g_01716	Prbn.g_01912
OG0000339	Prao.g_01720	Prbn.g_01918
OG0000340	Prao.g_01728	Prbn.g_01012
OG0000341	Prao.g_01730	Prbn.g_01010
OG0000342	Prao.g_01731	Prbn.g_01009
OG0000343	Prao.g_01732	Prbn.g_01008
OG0000344	Prao.g_01735	Prbn.g_01005
OG0000345	Prao.g_01740	Prbn.g_00999
OG0000346	Prao.g_01744	Prbn.g_00995
OG0000347	Prao.g_01760	Prbn.g_00978
OG0000348	Prao.g_01770	Prbn.g_00970
OG0000349	Prao.g_01787	Prbn.g_00953
OG0000350	Prao.g_01806	Prbn.g_00798
OG0000351	Prao.g_01823	Prbn.g_00913
OG0000352	Prao.g_01824	Prbn.g_00912
OG0000353	Prao.g_01840	Prbn.g_00299
OG0000355	Prao.g_01842	Prbn.g_00301
OG0000356	Prao.g_01843	Prbn.g_00302
OG0000357	Prao.g_01844	Prbn.g_00011
OG0000358	Prao.g_01848	Prbn.g_00007
OG0000359	Prao.g_01849	Prbn.g_00006
OG0000360	Prao.g_01850	Prbn.g_00005
OG0000361	Prao.g_00157	Prbn.g_00004
OG0000362	Prao.g_00159	Prbn.g_00001
OG0000363	Prao.g_00161	Prbn.g_00768
OG0000364	Prao.g_00162	Prbn.g_00767
OG0000365	Prao.g_00167	Prbn.g_00762
OG0000366	Prao.g_00168	Prbn.g_00761
OG0000367	Prao.g_00169	Prbn.g_00760
OG0000368	Prao.g_00171	Prbn.g_00758
OG0000369	Prao.g_00172	Prbn.g_00757
OG0000370	Prao.g_00173	Prbn.g_00756
OG0000371	Prao.g_00178	Prbn.g_00749
OG0000372	Prao.g_00181	Prbn.g_00746
OG0000373	Prao.g_00182	Prbn.g_00745
OG0000374	Prao.g_00183	Prbn.g_00744
OG0000375	Prao.g_00186	Prbn.g_00742
OG0000376	Prao.g_00188	Prbn.g_00740
OG0000377	Prao.g_00191	Prbn.g_00736
OG0000378	Prao.g_00193	Prbn.g_00732
OG0000379	Prao.g_00196	Prbn.g_00729
OG0000380	Prao.g_00205	Prbn.g_00712
OG0000381	Prao.g_00209	Prbn.g_00707
OG0000382	Prao.g_00220	Prbn.g_01340
OG0000383	Prao.g_00222	Prbn.g_01338
OG0000384	Prao.g_00223	Prbn.g_01337
OG0000385	Prao.g_00224	Prbn.g_01336
OG0000386	Prao.g_00225	Prbn.g_01335
OG0000387	Prao.g_00238	Prbn.g_01321
OG0000388	Prao.g_00241	Prbn.g_01317
OG0000389	Prao.g_00244	Prbn.g_01314
OG0000390	Prao.g_00251	Prbn.g_01304
OG0000391	Prao.g_00255	Prbn.g_01301
OG0000392	Prao.g_00259	Prbn.g_01297
OG0000393	Prao.g_00261	Prbn.g_01294
OG0000394	Prao.g_00262	Prbn.g_01293
OG0000395	Prao.g_00263	Prbn.g_01292
OG0000396	Prao.g_00266	Prbn.g_01290
OG0000397	Prao.g_00268	Prbn.g_01288
OG0000398	Prao.g_00270	Prbn.g_01285
OG0000399	Prao.g_00271	Prbn.g_01284
OG0000400	Prao.g_00272	Prbn.g_01283
OG0000401	Prao.g_00273	Prbn.g_01282
OG0000402	Prao.g_00274	Prbn.g_01356
OG0000403	Prao.g_00275	Prbn.g_01280
OG0000404	Prao.g_00276	Prbn.g_01279
OG0000405	Prao.g_00280	Prbn.g_01275
OG0000406	Prao.g_00285	Prbn.g_01267
OG0000407	Prao.g_00286	Prbn.g_01266
OG0000408	Prao.g_00288	Prbn.g_01264
OG0000409	Prao.g_00290	Prbn.g_01262
OG0000410	Prao.g_00291	Prbn.g_01261
OG0000411	Prao.g_00292	Prbn.g_01260
OG0000412	Prao.g_00293	Prbn.g_01259
OG0000413	Prao.g_00294	Prbn.g_01257
OG0000414	Prao.g_00295	Prbn.g_01256
OG0000415	Prao.g_00296	Prbn.g_01255
OG0000416	Prao.g_00297	Prbn.g_01254
OG0000417	Prao.g_00298	Prbn.g_01253
OG0000418	Prao.g_00303	Prbn.g_01248
OG0000419	Prao.g_00305	Prbn.g_01246
OG0000420	Prao.g_00306	Prbn.g_01245
OG0000421	Prao.g_00311	Prbn.g_00381
OG0000422	Prao.g_00312	Prbn.g_00380
OG0000423	Prao.g_00313	Prbn.g_00379
OG0000424	Prao.g_00314	Prbn.g_00378
OG0000425	Prao.g_00315	Prbn.g_00377
OG0000426	Prao.g_00316	Prbn.g_00376
OG0000427	Prao.g_00317	Prbn.g_00375
OG0000428	Prao.g_00319	Prbn.g_00373
OG0000429	Prao.g_00320	Prbn.g_00372
OG0000430	Prao.g_00321	Prbn.g_00371
OG0000431	Prao.g_00323	Prbn.g_00369
OG0000432	Prao.g_00326	Prbn.g_00365
OG0000433	Prao.g_00327	Prbn.g_00364
OG0000434	Prao.g_00328	Prbn.g_00363
OG0000435	Prao.g_00329	Prbn.g_00362
OG0000436	Prao.g_00334	Prbn.g_00357
OG0000437	Prao.g_00335	Prbn.g_00356
OG0000438	Prao.g_00336	Prbn.g_00355
OG0000439	Prao.g_00338	Prbn.g_00353
OG0000440	Prao.g_00339	Prbn.g_00352
OG0000441	Prao.g_00342	Prbn.g_00349
OG0000442	Prao.g_00343	Prbn.g_00348
OG0000443	Prao.g_00344	Prbn.g_00347
OG0000444	Prao.g_00349	Prbn.g_00341
OG0000445	Prao.g_00350	Prbn.g_00340
OG0000446	Prao.g_00351	Prbn.g_00339
OG0000447	Prao.g_00352	Prbn.g_00338
OG0000448	Prao.g_00353	Prbn.g_00337
OG0000449	Prao.g_00354	Prbn.g_00336
OG0000450	Prao.g_00355	Prbn.g_00335
OG0000451	Prao.g_00356	Prbn.g_00334
OG0000452	Prao.g_00359	Prbn.g_00331
OG0000453	Prao.g_00360	Prbn.g_00330
OG0000454	Prao.g_00361	Prbn.g_00329
OG0000455	Prao.g_00362	Prbn.g_00328
OG0000456	Prao.g_00363	Prbn.g_00327
OG0000457	Prao.g_00364	Prbn.g_00325
OG0000458	Prao.g_00365	Prbn.g_00324
OG0000459	Prao.g_00366	Prbn.g_00323
OG0000460	Prao.g_00373	Prbn.g_00315
OG0000461	Prao.g_00380	Prbn.g_00307
OG0000462	Prao.g_00382	Prbn.g_00305
OG0000463	Prao.g_00383	Prbn.g_00304
OG0000464	Prao.g_00384	Prbn.g_00012
OG0000465	Prao.g_00385	Prbn.g_00013
OG0000466	Prao.g_00388	Prbn.g_00016
OG0000467	Prao.g_00389	Prbn.g_00017
OG0000468	Prao.g_00391	Prbn.g_00020
OG0000469	Prao.g_00400	Prbn.g_00028
OG0000470	Prao.g_00402	Prbn.g_00030
OG0000471	Prao.g_00403	Prbn.g_00031
OG0000472	Prao.g_00404	Prbn.g_00033
OG0000473	Prao.g_00406	Prbn.g_00035
OG0000474	Prao.g_00407	Prbn.g_00036
OG0000475	Prao.g_00408	Prbn.g_00037
OG0000476	Prao.g_00409	Prbn.g_00039
OG0000477	Prao.g_00412	Prbn.g_00042
OG0000478	Prao.g_00413	Prbn.g_00043
OG0000479	Prao.g_00414	Prbn.g_00044
OG0000480	Prao.g_00419	Prbn.g_00049
OG0000481	Prao.g_00421	Prbn.g_00052
OG0000482	Prao.g_00422	Prbn.g_00053
OG0000483	Prao.g_00425	Prbn.g_00056
OG0000484	Prao.g_00426	Prbn.g_00057
OG0000485	Prao.g_00427	Prbn.g_00059
OG0000486	Prao.g_00428	Prbn.g_00060
OG0000487	Prao.g_00432	Prbn.g_00063
OG0000488	Prao.g_00435	Prbn.g_00066
OG0000489	Prao.g_00440	Prbn.g_00071
OG0000490	Prao.g_00444	Prbn.g_00075
OG0000491	Prao.g_00445	Prbn.g_00076
OG0000492	Prao.g_00447	Prbn.g_00078
OG0000493	Prao.g_00448	Prbn.g_00079
OG0000494	Prao.g_00449	Prbn.g_00080
OG0000495	Prao.g_00450	Prbn.g_00081
OG0000496	Prao.g_00451	Prbn.g_00082
OG0000497	Prao.g_00452	Prbn.g_00083
OG0000498	Prao.g_00453	Prbn.g_00084
OG0000499	Prao.g_00454	Prbn.g_00085
OG0000500	Prao.g_00455	Prbn.g_00086
OG0000501	Prao.g_00457	Prbn.g_00087
OG0000502	Prao.g_00460	Prbn.g_00090
OG0000503	Prao.g_00470	Prbn.g_00105
OG0000504	Prao.g_00471	Prbn.g_00107
OG0000505	Prao.g_00472	Prbn.g_00108
OG0000506	Prao.g_00474	Prbn.g_00109
OG0000507	Prao.g_00476	Prbn.g_00112
OG0000508	Prao.g_00479	Prbn.g_00116
OG0000509	Prao.g_00481	Prbn.g_00118
OG0000510	Prao.g_00482	Prbn.g_00119
OG0000511	Prao.g_00483	Prbn.g_00120
OG0000512	Prao.g_00485	Prbn.g_00122
OG0000513	Prao.g_00492	Prbn.g_00693
OG0000514	Prao.g_00535	Prbn.g_00682
OG0000515	Prao.g_00536	Prbn.g_00681
OG0000516	Prao.g_00537	Prbn.g_00680
OG0000517	Prao.g_00539	Prbn.g_00678
OG0000518	Prao.g_00550	Prbn.g_00667
OG0000519	Prao.g_00551	Prbn.g_00666
OG0000520	Prao.g_00552	Prbn.g_00665
OG0000521	Prao.g_00557	Prbn.g_00657
OG0000522	Prao.g_00559	Prbn.g_00655
OG0000523	Prao.g_00560	Prbn.g_00654
OG0000524	Prao.g_00567	Prbn.g_00649
OG0000525	Prao.g_00570	Prbn.g_00645
OG0000526	Prao.g_00571	Prbn.g_00644
OG0000527	Prao.g_00579	Prbn.g_00641
OG0000528	Prao.g_00584	Prbn.g_00636
OG0000529	Prao.g_00587	Prbn.g_00633
OG0000530	Prao.g_00590	Prbn.g_00630
OG0000531	Prao.g_00591	Prbn.g_00629
OG0000532	Prao.g_00593	Prbn.g_00627
OG0000533	Prao.g_00594	Prbn.g_00626
OG0000534	Prao.g_00595	Prbn.g_00625
OG0000535	Prao.g_00596	Prbn.g_00624
OG0000536	Prao.g_00597	Prbn.g_00623
OG0000537	Prao.g_00598	Prbn.g_00622
OG0000538	Prao.g_00606	Prbn.g_00613
OG0000539	Prao.g_00607	Prbn.g_00612
OG0000540	Prao.g_00608	Prbn.g_00611
OG0000541	Prao.g_00609	Prbn.g_00610
OG0000542	Prao.g_00611	Prbn.g_00609
OG0000543	Prao.g_00613	Prbn.g_00607
OG0000544	Prao.g_00614	Prbn.g_00606
OG0000545	Prao.g_00616	Prbn.g_00604
OG0000546	Prao.g_00619	Prbn.g_00601
OG0000547	Prao.g_00621	Prbn.g_00599
OG0000548	Prao.g_00622	Prbn.g_00598
OG0000549	Prao.g_00624	Prbn.g_00596
OG0000550	Prao.g_00629	Prbn.g_00592
OG0000551	Prao.g_00633	Prbn.g_00589
OG0000552	Prao.g_00634	Prbn.g_00588
OG0000553	Prao.g_00635	Prbn.g_00587
OG0000554	Prao.g_01857	Prbn.g_00582
OG0000555	Prao.g_01161	Prbn.g_00574
OG0000556	Prao.g_01163	Prbn.g_00572
OG0000557	Prao.g_01164	Prbn.g_00571
OG0000558	Prao.g_01166	Prbn.g_00569
OG0000559	Prao.g_01170	Prbn.g_00565
OG0000560	Prao.g_01173	Prbn.g_00562
OG0000561	Prao.g_01174	Prbn.g_00561
OG0000562	Prao.g_01175	Prbn.g_00560
