Orthogroup	Prap	Syal
OG0000077	Prap.g_01099	Syal.g_00763
OG0000078	Prap.g_01472	Syal.g_00680
OG0000079	Prap.g_01459	Syal.g_01213
OG0000080	Prap.g_00093, Prap.g_00095	Syal.g_01394
OG0000081	Prap.g_01238	Syal.g_02555
OG0000082	Prap.g_01183, Prap.g_01790	Syal.g_02769
OG0000084	Prap.g_00118	Syal.g_00023
OG0000085	Prap.g_01787, Prap.g_01917	Syal.g_00575
OG0000086	Prap.g_01090	Syal.g_00784
OG0000087	Prap.g_01035	Syal.g_00871
OG0000088	Prap.g_01004	Syal.g_00908
OG0000089	Prap.g_01349	Syal.g_00555
OG0000090	Prap.g_01236	Syal.g_02838
OG0000091	Prap.g_00384	Syal.g_02628
OG0000092	Prap.g_00853	Syal.g_00470
OG0000097	Prap.g_00410	Syal.g_01735, Syal.g_01553
OG0000098	Prap.g_01928	Syal.g_02196
OG0000099	Prap.g_00082	Syal.g_01323
OG0000100	Prap.g_00200	Syal.g_02448
OG0000101	Prap.g_01642	Syal.g_00275
OG0000102	Prap.g_01575	Syal.g_01488
OG0000103	Prap.g_01491	Syal.g_01897, Syal.g_00077
OG0000104	Prap.g_01869	Syal.g_00092
OG0000105	Prap.g_01436	Syal.g_01255
OG0000106	Prap.g_00591	Syal.g_02577
OG0000107	Prap.g_01714	Syal.g_00194
OG0000108	Prap.g_01287	Syal.g_02897
OG0000109	Prap.g_01273	Syal.g_02913
OG0000110	Prap.g_01194	Syal.g_02782
OG0000111	Prap.g_00798	Syal.g_01813
OG0000112	Prap.g_01121	Syal.g_02000
OG0000113	Prap.g_00760	Syal.g_02443
OG0000114	Prap.g_00858	Syal.g_02286
OG0000115	Prap.g_00525	Syal.g_00404
OG0000116	Prap.g_00467	Syal.g_01630
OG0000117	Prap.g_00429	Syal.g_01704
OG0000118	Prap.g_00574	Syal.g_01583
OG0000119	Prap.g_00510, Prap.g_00218	Syal.g_02056
OG0000120	Prap.g_00079	Syal.g_01324
OG0000121	Prap.g_00123	Syal.g_00374
OG0000122	Prap.g_00532, Prap.g_00164	Syal.g_02602
OG0000123	Prap.g_01635	Syal.g_00283
OG0000124	Prap.g_01563	Syal.g_01519
OG0000125	Prap.g_01528	Syal.g_01075
OG0000126	Prap.g_01870	Syal.g_00090
OG0000128	Prap.g_00043	Syal.g_00109
OG0000129	Prap.g_00910	Syal.g_01062
OG0000130	Prap.g_00881	Syal.g_00751
OG0000131	Prap.g_01026	Syal.g_00886
OG0000132	Prap.g_01006	Syal.g_00906
OG0000133	Prap.g_01389	Syal.g_01995
OG0000134	Prap.g_01347	Syal.g_00552
OG0000135	Prap.g_00543	Syal.g_01119
OG0000136	Prap.g_01325	Syal.g_00520
OG0000137	Prap.g_01292	Syal.g_00463
OG0000138	Prap.g_01272	Syal.g_02914
OG0000139	Prap.g_01232	Syal.g_02832
OG0000140	Prap.g_01231	Syal.g_02830
OG0000141	Prap.g_01160	Syal.g_02738
OG0000142	Prap.g_00392	Syal.g_02636
OG0000143	Prap.g_00388	Syal.g_02632
OG0000144	Prap.g_00374	Syal.g_02515
OG0000145	Prap.g_00545	Syal.g_02921
OG0000146	Prap.g_01122	Syal.g_02001
OG0000147	Prap.g_01123	Syal.g_02002
OG0000148	Prap.g_00766	Syal.g_02437
OG0000149	Prap.g_00734	Syal.g_02475
OG0000150	Prap.g_00724	Syal.g_02737
OG0000151	Prap.g_00848	Syal.g_02263
OG0000152	Prap.g_00257	Syal.g_01991
OG0000153	Prap.g_00276	Syal.g_01958
OG0000154	Prap.g_00296	Syal.g_01918
OG0000155	Prap.g_00435	Syal.g_01695
OG0000156	Prap.g_00550	Syal.g_01620
OG0000157	Prap.g_00551	Syal.g_01619
OG0000158	Prap.g_01598	Syal.g_01431
OG0000160	Prap.g_00122	Syal.g_00372
OG0000161	Prap.g_00128	Syal.g_00384
OG0000162	Prap.g_00134	Syal.g_00396
OG0000163	Prap.g_00173	Syal.g_02971
OG0000164	Prap.g_01754	Syal.g_00623
OG0000165	Prap.g_01747	Syal.g_00632
OG0000166	Prap.g_01680	Syal.g_00236
OG0000167	Prap.g_01608	Syal.g_01347
OG0000168	Prap.g_01597	Syal.g_01433
OG0000169	Prap.g_01587	Syal.g_01447
OG0000170	Prap.g_01584	Syal.g_01454
OG0000171	Prap.g_01564	Syal.g_01518
OG0000172	Prap.g_01557	Syal.g_00174, Syal.g_00173
OG0000173	Prap.g_01542	Syal.g_00155
OG0000174	Prap.g_01513	Syal.g_01121
OG0000175	Prap.g_01500	Syal.g_01172
OG0000176	Prap.g_00050	Syal.g_00101
OG0000177	Prap.g_00049	Syal.g_00102
OG0000178	Prap.g_00048	Syal.g_00103
OG0000179	Prap.g_00939	Syal.g_00118
OG0000180	Prap.g_00938	Syal.g_00119
OG0000181	Prap.g_00937	Syal.g_00120
OG0000182	Prap.g_00936	Syal.g_00121
OG0000183	Prap.g_00932	Syal.g_00125
OG0000184	Prap.g_00906	Syal.g_01050
OG0000185	Prap.g_00903	Syal.g_01025
OG0000186	Prap.g_00887	Syal.g_02684, Syal.g_00747
OG0000187	Prap.g_00886	Syal.g_02685, Syal.g_00748
OG0000188	Prap.g_01096	Syal.g_00771
OG0000189	Prap.g_01082	Syal.g_00807
OG0000190	Prap.g_01080	Syal.g_01364
OG0000191	Prap.g_01057	Syal.g_00841
OG0000192	Prap.g_01052	Syal.g_00847
OG0000193	Prap.g_01025	Syal.g_00887
OG0000194	Prap.g_01022	Syal.g_00890
OG0000195	Prap.g_01020	Syal.g_00892
OG0000196	Prap.g_01009	Syal.g_00903
OG0000197	Prap.g_01008	Syal.g_00904
OG0000198	Prap.g_01007	Syal.g_00905
OG0000199	Prap.g_01000	Syal.g_00913
OG0000200	Prap.g_00986	Syal.g_00932
OG0000201	Prap.g_00977	Syal.g_00949
OG0000202	Prap.g_00976	Syal.g_00950
OG0000203	Prap.g_00975	Syal.g_00951
OG0000204	Prap.g_00974	Syal.g_00952
OG0000205	Prap.g_00967	Syal.g_00959
OG0000206	Prap.g_00962	Syal.g_00971
OG0000207	Prap.g_00959	Syal.g_00974
OG0000208	Prap.g_00958	Syal.g_00975
OG0000209	Prap.g_00949	Syal.g_01000
OG0000210	Prap.g_00948	Syal.g_01001
OG0000211	Prap.g_01479	Syal.g_00688
OG0000212	Prap.g_01471	Syal.g_00679
OG0000213	Prap.g_01453	Syal.g_01229
OG0000214	Prap.g_01443	Syal.g_01246
OG0000215	Prap.g_01416	Syal.g_01277
OG0000216	Prap.g_01415	Syal.g_01281
OG0000217	Prap.g_01412	Syal.g_01285
OG0000218	Prap.g_01410	Syal.g_01287
OG0000219	Prap.g_01409	Syal.g_01288
OG0000220	Prap.g_01408	Syal.g_01289
OG0000221	Prap.g_01407	Syal.g_01297
OG0000222	Prap.g_01400	Syal.g_01309
OG0000223	Prap.g_01388	Syal.g_01327
OG0000224	Prap.g_01386	Syal.g_01329
OG0000225	Prap.g_01360	Syal.g_00363
OG0000226	Prap.g_01356	Syal.g_00367
OG0000227	Prap.g_01354	Syal.g_00369
OG0000228	Prap.g_01350	Syal.g_00556
OG0000229	Prap.g_01330	Syal.g_00525
OG0000230	Prap.g_01328	Syal.g_00523
OG0000231	Prap.g_01317	Syal.g_00510
OG0000232	Prap.g_01306	Syal.g_00495
OG0000233	Prap.g_01300	Syal.g_00487
OG0000234	Prap.g_01291	Syal.g_00461
OG0000235	Prap.g_01288	Syal.g_02896
OG0000236	Prap.g_01274	Syal.g_02912
OG0000237	Prap.g_01261	Syal.g_02930
OG0000238	Prap.g_01255	Syal.g_02935
OG0000239	Prap.g_01244	Syal.g_02951
OG0000240	Prap.g_01243	Syal.g_02952
OG0000241	Prap.g_01239	Syal.g_02696
OG0000242	Prap.g_01237	Syal.g_02840
OG0000243	Prap.g_01226	Syal.g_02822
OG0000244	Prap.g_01223	Syal.g_02815
OG0000245	Prap.g_01221	Syal.g_02813
OG0000246	Prap.g_01217	Syal.g_02809
OG0000247	Prap.g_01207	Syal.g_02797
OG0000248	Prap.g_01204	Syal.g_02794
OG0000249	Prap.g_01202	Syal.g_02792
OG0000250	Prap.g_01197	Syal.g_02786
OG0000251	Prap.g_01177	Syal.g_02760
OG0000252	Prap.g_01174	Syal.g_02757
OG0000253	Prap.g_01173	Syal.g_02755
OG0000254	Prap.g_01156	Syal.g_02732
OG0000255	Prap.g_01150	Syal.g_02719
OG0000256	Prap.g_01140	Syal.g_02705
OG0000257	Prap.g_00397	Syal.g_02697
OG0000258	Prap.g_00383	Syal.g_02623
OG0000259	Prap.g_00366	Syal.g_02182
OG0000260	Prap.g_00363	Syal.g_02188
OG0000261	Prap.g_00360	Syal.g_02199
OG0000262	Prap.g_00356	Syal.g_02204
OG0000263	Prap.g_00820	Syal.g_01720
OG0000264	Prap.g_00809	Syal.g_01788
OG0000265	Prap.g_00791	Syal.g_02534
OG0000266	Prap.g_00337	Syal.g_02421
OG0000267	Prap.g_00325	Syal.g_02043
OG0000268	Prap.g_00324	Syal.g_02042
OG0000269	Prap.g_00788	Syal.g_02409
OG0000270	Prap.g_00785	Syal.g_02412
OG0000271	Prap.g_00777	Syal.g_01871
OG0000272	Prap.g_00776	Syal.g_01872
OG0000274	Prap.g_00751	Syal.g_02455
OG0000275	Prap.g_00748	Syal.g_02458
OG0000276	Prap.g_00742	Syal.g_02467
OG0000277	Prap.g_00741	Syal.g_02468
OG0000278	Prap.g_00738	Syal.g_02471
OG0000279	Prap.g_00731	Syal.g_02479
OG0000280	Prap.g_00730	Syal.g_02493
OG0000281	Prap.g_00723	Syal.g_02190
OG0000282	Prap.g_00856	Syal.g_02284
OG0000283	Prap.g_00680	Syal.g_02028
OG0000284	Prap.g_00675	Syal.g_02023
OG0000285	Prap.g_00243	Syal.g_02012
OG0000286	Prap.g_00256	Syal.g_01992
OG0000287	Prap.g_00522	Syal.g_01965
OG0000288	Prap.g_00295	Syal.g_01919
OG0000289	Prap.g_00311	Syal.g_01904
OG0000290	Prap.g_00705	Syal.g_01826
OG0000291	Prap.g_00707	Syal.g_01824
OG0000292	Prap.g_00501	Syal.g_00089
OG0000293	Prap.g_00466	Syal.g_01631
OG0000294	Prap.g_00465	Syal.g_01632
OG0000295	Prap.g_00442	Syal.g_01687
OG0000296	Prap.g_00440	Syal.g_01689
OG0000297	Prap.g_00431	Syal.g_01702
OG0000298	Prap.g_00430	Syal.g_01703
OG0000299	Prap.g_00411	Syal.g_01732
OG0000300	Prap.g_00408	Syal.g_01738
OG0000301	Prap.g_00407	Syal.g_01739
OG0000302	Prap.g_00405	Syal.g_01740
OG0000303	Prap.g_00399	Syal.g_01763
OG0000304	Prap.g_01135	Syal.g_01756
OG0000305	Prap.g_00499	Syal.g_01821
OG0000306	Prap.g_00719	Syal.g_02579
OG0000307	Prap.g_00068	Syal.g_02880
OG0000308	Prap.g_00069	Syal.g_02878
OG0000309	Prap.g_00073	Syal.g_02873
OG0000310	Prap.g_00107	Syal.g_01537
OG0000311	Prap.g_00109	Syal.g_00061
OG0000312	Prap.g_00112	Syal.g_00031
OG0000313	Prap.g_00125	Syal.g_00381
OG0000314	Prap.g_00148	Syal.g_00416
OG0000315	Prap.g_00158	Syal.g_00426
OG0000316	Prap.g_00183	Syal.g_02987
OG0000317	Prap.g_01782	Syal.g_00583
OG0000318	Prap.g_01778	Syal.g_00588
OG0000319	Prap.g_01765	Syal.g_00608
OG0000320	Prap.g_01763	Syal.g_00610
OG0000321	Prap.g_01762	Syal.g_00611
OG0000322	Prap.g_01761	Syal.g_00612
OG0000323	Prap.g_01751	Syal.g_00626
OG0000324	Prap.g_01724	Syal.g_00656
OG0000325	Prap.g_01713	Syal.g_00195
OG0000326	Prap.g_01706	Syal.g_00202
OG0000327	Prap.g_01685	Syal.g_00230
OG0000328	Prap.g_01684	Syal.g_00231
OG0000329	Prap.g_01667	Syal.g_00249
OG0000330	Prap.g_01666	Syal.g_00250
OG0000331	Prap.g_01665	Syal.g_00251
OG0000332	Prap.g_01651	Syal.g_00266
OG0000333	Prap.g_01648, Prap.g_01649	Syal.g_00269
OG0000334	Prap.g_01639	Syal.g_00279
OG0000335	Prap.g_01634	Syal.g_00284
OG0000336	Prap.g_01630	Syal.g_00288
OG0000337	Prap.g_01612	Syal.g_01343
OG0000338	Prap.g_01611	Syal.g_01345
OG0000339	Prap.g_01605	Syal.g_01351
OG0000340	Prap.g_01596	Syal.g_01434
OG0000341	Prap.g_01594	Syal.g_01436
OG0000342	Prap.g_01593	Syal.g_01437
OG0000343	Prap.g_01592	Syal.g_01441
OG0000344	Prap.g_01589	Syal.g_01445
OG0000345	Prap.g_01583	Syal.g_01455
OG0000346	Prap.g_01579	Syal.g_01460
OG0000347	Prap.g_01562	Syal.g_01525
OG0000348	Prap.g_01554	Syal.g_00170
OG0000349	Prap.g_01537	Syal.g_00148
OG0000350	Prap.g_00623	Syal.g_00209
OG0000351	Prap.g_01497	Syal.g_01175
OG0000352	Prap.g_01496	Syal.g_01176
OG0000353	Prap.g_00055	Syal.g_00095
OG0000355	Prap.g_00053	Syal.g_00098
OG0000356	Prap.g_00052	Syal.g_00099
OG0000357	Prap.g_00051	Syal.g_00100
OG0000358	Prap.g_00047	Syal.g_00104
OG0000359	Prap.g_00046	Syal.g_00106
OG0000360	Prap.g_00045	Syal.g_00107
OG0000361	Prap.g_00044	Syal.g_00108
OG0000362	Prap.g_00042	Syal.g_00110
OG0000363	Prap.g_00941	Syal.g_00112
OG0000364	Prap.g_00940	Syal.g_00113
OG0000365	Prap.g_00935	Syal.g_00122
OG0000366	Prap.g_00934	Syal.g_00123
OG0000367	Prap.g_00933	Syal.g_00124
OG0000368	Prap.g_00931	Syal.g_00126
OG0000369	Prap.g_00930	Syal.g_00127
OG0000370	Prap.g_00929	Syal.g_00128
OG0000371	Prap.g_00922	Syal.g_00135
OG0000372	Prap.g_00919	Syal.g_00141
OG0000373	Prap.g_00918	Syal.g_00142
OG0000374	Prap.g_00917	Syal.g_00143
OG0000375	Prap.g_00915	Syal.g_00144
OG0000376	Prap.g_00913	Syal.g_00146
OG0000377	Prap.g_00909	Syal.g_01061
OG0000378	Prap.g_00905	Syal.g_01027
OG0000379	Prap.g_00902	Syal.g_01024
OG0000380	Prap.g_00885	Syal.g_00749
OG0000381	Prap.g_00880	Syal.g_00752
OG0000382	Prap.g_01097	Syal.g_00770
OG0000383	Prap.g_01095	Syal.g_00775
OG0000384	Prap.g_01094	Syal.g_00776
OG0000385	Prap.g_01093	Syal.g_00777
OG0000386	Prap.g_01092	Syal.g_00778
OG0000387	Prap.g_01078	Syal.g_00811
OG0000388	Prap.g_01074	Syal.g_00815
OG0000389	Prap.g_01071	Syal.g_00819
OG0000390	Prap.g_01061	Syal.g_00835
OG0000391	Prap.g_01058	Syal.g_00840
OG0000392	Prap.g_01054	Syal.g_00846
OG0000393	Prap.g_01051	Syal.g_00849
OG0000394	Prap.g_01050	Syal.g_00850
OG0000395	Prap.g_01049	Syal.g_00851
OG0000396	Prap.g_01047	Syal.g_00854
OG0000397	Prap.g_01045	Syal.g_00857
OG0000398	Prap.g_01042	Syal.g_00862
OG0000399	Prap.g_01041	Syal.g_00863
OG0000400	Prap.g_01040	Syal.g_00864
OG0000401	Prap.g_01039	Syal.g_00865
OG0000402	Prap.g_00319	Syal.g_00867
OG0000403	Prap.g_01037	Syal.g_00868
OG0000404	Prap.g_01036	Syal.g_00870
OG0000405	Prap.g_01032	Syal.g_00883
OG0000406	Prap.g_01024	Syal.g_00888
OG0000407	Prap.g_01023	Syal.g_00889
OG0000408	Prap.g_01021	Syal.g_00891
OG0000409	Prap.g_01019	Syal.g_00893
OG0000410	Prap.g_01018	Syal.g_00894
OG0000411	Prap.g_01017	Syal.g_00895
OG0000412	Prap.g_01016	Syal.g_00896
OG0000413	Prap.g_01014	Syal.g_00898
OG0000414	Prap.g_01013	Syal.g_00899
OG0000415	Prap.g_01012	Syal.g_00900
OG0000416	Prap.g_01011	Syal.g_00901
OG0000417	Prap.g_01010	Syal.g_00902
OG0000418	Prap.g_01005	Syal.g_00907
OG0000419	Prap.g_01003	Syal.g_00909
OG0000420	Prap.g_01002	Syal.g_00911
OG0000421	Prap.g_00997	Syal.g_00916
OG0000422	Prap.g_00996	Syal.g_00917
OG0000423	Prap.g_00995	Syal.g_00918
OG0000424	Prap.g_00994	Syal.g_00919
OG0000425	Prap.g_00993	Syal.g_00920
OG0000426	Prap.g_00992	Syal.g_00921
OG0000427	Prap.g_00991	Syal.g_00922
OG0000428	Prap.g_00989	Syal.g_00925
OG0000429	Prap.g_00988	Syal.g_00929
OG0000430	Prap.g_00987	Syal.g_00931
OG0000431	Prap.g_00985	Syal.g_00934
OG0000432	Prap.g_00981	Syal.g_00940
OG0000433	Prap.g_00980	Syal.g_00943
OG0000434	Prap.g_00979	Syal.g_00944
OG0000435	Prap.g_00978	Syal.g_00946
OG0000436	Prap.g_00973	Syal.g_00953
OG0000437	Prap.g_00972	Syal.g_00954
OG0000438	Prap.g_00971	Syal.g_00955
OG0000439	Prap.g_00969	Syal.g_00957
OG0000440	Prap.g_00968	Syal.g_00958
OG0000441	Prap.g_00965	Syal.g_00962
OG0000442	Prap.g_00964	Syal.g_00964
OG0000443	Prap.g_00963	Syal.g_00966
OG0000444	Prap.g_00957	Syal.g_00978
OG0000445	Prap.g_00956	Syal.g_00979
OG0000446	Prap.g_00955	Syal.g_00981
OG0000447	Prap.g_00954	Syal.g_00989
OG0000448	Prap.g_00953	Syal.g_00990
OG0000449	Prap.g_00952	Syal.g_00991
OG0000450	Prap.g_00951	Syal.g_00997
OG0000451	Prap.g_00950	Syal.g_00998
OG0000452	Prap.g_00947	Syal.g_01002
OG0000453	Prap.g_00946	Syal.g_01003
OG0000454	Prap.g_00945	Syal.g_01004
OG0000455	Prap.g_00944	Syal.g_01005
OG0000456	Prap.g_00943	Syal.g_01006
OG0000457	Prap.g_01487	Syal.g_01008
OG0000458	Prap.g_01486	Syal.g_01009
OG0000459	Prap.g_01485	Syal.g_01010
OG0000460	Prap.g_01477	Syal.g_00686
OG0000461	Prap.g_01469	Syal.g_01199
OG0000462	Prap.g_01467	Syal.g_01202
OG0000463	Prap.g_01466	Syal.g_01203
OG0000464	Prap.g_01465	Syal.g_01204
OG0000465	Prap.g_01464	Syal.g_01205
OG0000466	Prap.g_01461	Syal.g_01210
OG0000467	Prap.g_01460	Syal.g_01212
OG0000468	Prap.g_01457	Syal.g_01225
OG0000469	Prap.g_01449	Syal.g_01240
OG0000470	Prap.g_01447	Syal.g_01242
OG0000471	Prap.g_01446	Syal.g_01243
OG0000472	Prap.g_01444	Syal.g_01245
OG0000473	Prap.g_01442	Syal.g_01247
OG0000474	Prap.g_01441	Syal.g_01248
OG0000475	Prap.g_01440	Syal.g_01249
OG0000476	Prap.g_01438	Syal.g_01251
OG0000477	Prap.g_01435	Syal.g_01257
OG0000478	Prap.g_01434	Syal.g_01258
OG0000479	Prap.g_01433	Syal.g_01259
OG0000480	Prap.g_01428	Syal.g_01266
OG0000481	Prap.g_01425	Syal.g_01268
OG0000482	Prap.g_01424	Syal.g_01269
OG0000483	Prap.g_01421	Syal.g_01273
OG0000484	Prap.g_01420	Syal.g_01274
OG0000485	Prap.g_01418	Syal.g_01275
OG0000486	Prap.g_01417	Syal.g_01276
OG0000487	Prap.g_01414	Syal.g_01282
OG0000488	Prap.g_01411	Syal.g_01286
OG0000489	Prap.g_01406	Syal.g_01298
OG0000490	Prap.g_01402	Syal.g_01307
OG0000491	Prap.g_01401	Syal.g_01308
OG0000492	Prap.g_01399	Syal.g_01310
OG0000493	Prap.g_01398	Syal.g_01311
OG0000494	Prap.g_01397	Syal.g_01312
OG0000495	Prap.g_01396	Syal.g_01313
OG0000496	Prap.g_01395	Syal.g_01314
OG0000497	Prap.g_01394	Syal.g_01315
OG0000498	Prap.g_01393	Syal.g_01316
OG0000499	Prap.g_01392	Syal.g_01317
OG0000500	Prap.g_01391	Syal.g_01318
OG0000501	Prap.g_01390	Syal.g_01321
OG0000502	Prap.g_01387	Syal.g_01328
OG0000503	Prap.g_01372	Syal.g_00347
OG0000504	Prap.g_01370	Syal.g_00349
OG0000505	Prap.g_01369	Syal.g_00350
OG0000506	Prap.g_01368	Syal.g_00352
OG0000507	Prap.g_01365	Syal.g_00358
OG0000508	Prap.g_01361	Syal.g_00362
OG0000509	Prap.g_01359	Syal.g_00364
OG0000510	Prap.g_01358	Syal.g_00365
OG0000511	Prap.g_01357	Syal.g_00366
OG0000512	Prap.g_01355	Syal.g_00368
OG0000513	Prap.g_01346	Syal.g_00551
OG0000514	Prap.g_01335	Syal.g_00539
OG0000515	Prap.g_01334	Syal.g_00538
OG0000516	Prap.g_01333	Syal.g_00534
OG0000517	Prap.g_01331	Syal.g_00526
OG0000518	Prap.g_01320	Syal.g_00514
OG0000519	Prap.g_01319	Syal.g_00513
OG0000520	Prap.g_01318	Syal.g_00512
OG0000521	Prap.g_01310	Syal.g_00502
OG0000522	Prap.g_01308	Syal.g_00500
OG0000523	Prap.g_01307	Syal.g_00499
OG0000524	Prap.g_01302	Syal.g_00491
OG0000525	Prap.g_01298	Syal.g_00473
OG0000526	Prap.g_01297	Syal.g_00471
OG0000527	Prap.g_01294	Syal.g_00465
OG0000528	Prap.g_01289	Syal.g_02893
OG0000529	Prap.g_01286	Syal.g_02898
OG0000530	Prap.g_01283	Syal.g_02901
OG0000531	Prap.g_01282	Syal.g_02902
OG0000532	Prap.g_01280	Syal.g_02905
OG0000533	Prap.g_01279	Syal.g_02907
OG0000534	Prap.g_01278	Syal.g_02908
OG0000535	Prap.g_01277	Syal.g_02909
OG0000536	Prap.g_01276	Syal.g_02910
OG0000537	Prap.g_01275	Syal.g_02911
OG0000538	Prap.g_01266	Syal.g_02923
OG0000539	Prap.g_01265	Syal.g_02924
OG0000540	Prap.g_01264	Syal.g_02925
OG0000541	Prap.g_01263	Syal.g_02926
OG0000542	Prap.g_01262	Syal.g_02929
OG0000543	Prap.g_01260	Syal.g_02931
OG0000544	Prap.g_01259	Syal.g_02932
OG0000545	Prap.g_01257	Syal.g_02934
OG0000546	Prap.g_01254	Syal.g_02936
OG0000547	Prap.g_01252	Syal.g_02938
OG0000548	Prap.g_01251	Syal.g_02939
OG0000549	Prap.g_01249	Syal.g_02945
OG0000550	Prap.g_01245	Syal.g_02949
OG0000551	Prap.g_01242	Syal.g_02953
OG0000552	Prap.g_01241	Syal.g_02954
OG0000553	Prap.g_01240	Syal.g_02843
OG0000554	Prap.g_01235	Syal.g_02837
OG0000555	Prap.g_01227	Syal.g_02823
OG0000556	Prap.g_01225	Syal.g_02819
OG0000557	Prap.g_01224	Syal.g_02816
OG0000558	Prap.g_01222	Syal.g_02814
OG0000559	Prap.g_01218	Syal.g_02305, Syal.g_02810
OG0000560	Prap.g_01215	Syal.g_02807
OG0000561	Prap.g_01214	Syal.g_02806
OG0000562	Prap.g_01213	Syal.g_02805
OG0000563	Prap.g_01212	Syal.g_02804
OG0000564	Prap.g_01211	Syal.g_02803
OG0000565	Prap.g_01209	Syal.g_02799
OG0000566	Prap.g_01205	Syal.g_02795
OG0000567	Prap.g_01201	Syal.g_02791
OG0000568	Prap.g_01200	Syal.g_02789
OG0000569	Prap.g_01199	Syal.g_02788
OG0000570	Prap.g_01198	Syal.g_02787
OG0000571	Prap.g_01196	Syal.g_02784
OG0000572	Prap.g_01182	Syal.g_02767
OG0000573	Prap.g_01176	Syal.g_02759
OG0000574	Prap.g_01175	Syal.g_02758
OG0000575	Prap.g_01171	Syal.g_02753
OG0000576	Prap.g_01169	Syal.g_02751
OG0000577	Prap.g_01168	Syal.g_02750
OG0000578	Prap.g_01167	Syal.g_02749
OG0000579	Prap.g_01166	Syal.g_02748
OG0000580	Prap.g_01165	Syal.g_02747
OG0000581	Prap.g_01162	Syal.g_02741
OG0000582	Prap.g_01159	Syal.g_02736
OG0000583	Prap.g_01158	Syal.g_02735
OG0000584	Prap.g_01157	Syal.g_02734
OG0000585	Prap.g_01155	Syal.g_02731
OG0000586	Prap.g_01154	Syal.g_02730
OG0000587	Prap.g_01153	Syal.g_02728
