Orthogroup	Prap	Syap
OG0000168	Prap.g_01597	Syap.g_01076
OG0000169	Prap.g_01587	Syap.g_01049, Syap.g_01093
OG0000170	Prap.g_01584	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Prap.g_01564	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Prap.g_01557	Syap.g_01143, Syap.g_00635
OG0000173	Prap.g_01542	Syap.g_00982, Syap.g_00983
OG0000174	Prap.g_01513	Syap.g_02092
OG0000175	Prap.g_01500	Syap.g_02654
OG0000176	Prap.g_00050	Syap.g_00059
OG0000177	Prap.g_00049	Syap.g_00061, Syap.g_00060
OG0000178	Prap.g_00048	Syap.g_00062
OG0000179	Prap.g_00939	Syap.g_00077, Syap.g_02638
OG0000180	Prap.g_00938	Syap.g_00078, Syap.g_02640
OG0000181	Prap.g_00937	Syap.g_00079, Syap.g_02641
OG0000182	Prap.g_00936	Syap.g_00080, Syap.g_02642
OG0000183	Prap.g_00932	Syap.g_00084
OG0000184	Prap.g_00906	Syap.g_01337
OG0000185	Prap.g_00903	Syap.g_01322
OG0000186	Prap.g_00887	Syap.g_01684
OG0000187	Prap.g_00886	Syap.g_01686
OG0000188	Prap.g_01096	Syap.g_02547
OG0000191	Prap.g_01057	Syap.g_02233
OG0000192	Prap.g_01052	Syap.g_02224
OG0000193	Prap.g_01025	Syap.g_02187, Syap.g_02188
OG0000194	Prap.g_01022	Syap.g_02183
OG0000195	Prap.g_01020	Syap.g_02180
OG0000196	Prap.g_01009	Syap.g_01208, Syap.g_02167
OG0000197	Prap.g_01008	Syap.g_01207, Syap.g_02166
OG0000198	Prap.g_01007	Syap.g_01206
OG0000199	Prap.g_01000	Syap.g_01197
OG0000200	Prap.g_00986	Syap.g_01181
OG0000201	Prap.g_00977	Syap.g_02265
OG0000202	Prap.g_00976	Syap.g_02264
OG0000203	Prap.g_00975	Syap.g_01601
OG0000204	Prap.g_00974	Syap.g_01602
OG0000205	Prap.g_00967	Syap.g_01616
OG0000206	Prap.g_00962	Syap.g_01628
OG0000207	Prap.g_00959	Syap.g_01426, Syap.g_00424
OG0000208	Prap.g_00958	Syap.g_00426, Syap.g_01425
OG0000209	Prap.g_00949	Syap.g_01906
OG0000210	Prap.g_00948	Syap.g_01905
OG0000211	Prap.g_01479	Syap.g_01160
OG0000212	Prap.g_01471	Syap.g_02664
OG0000213	Prap.g_01453	Syap.g_00107, Syap.g_01599
OG0000214	Prap.g_01443	Syap.g_02344, Syap.g_02345
OG0000215	Prap.g_01416	Syap.g_01347, Syap.g_01629
OG0000216	Prap.g_01415	Syap.g_01634
OG0000217	Prap.g_01412	Syap.g_01638
OG0000218	Prap.g_01410	Syap.g_01641, Syap.g_01640
OG0000219	Prap.g_01409	Syap.g_01642, Syap.g_01643
OG0000220	Prap.g_01408	Syap.g_01645
OG0000221	Prap.g_01407	Syap.g_01646
OG0000222	Prap.g_01400	Syap.g_01669
OG0000223	Prap.g_01388	Syap.g_02072, Syap.g_02073
OG0000224	Prap.g_01386	Syap.g_02064
OG0000225	Prap.g_01360	Syap.g_00553, Syap.g_00552
OG0000226	Prap.g_01356	Syap.g_02029, Syap.g_02144
OG0000227	Prap.g_01354	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Prap.g_01350	Syap.g_00116, Syap.g_02041
OG0000229	Prap.g_01330	Syap.g_02059
OG0000230	Prap.g_01328	Syap.g_02061
OG0000231	Prap.g_01317	Syap.g_02533
OG0000232	Prap.g_01306	Syap.g_02510, Syap.g_02511
OG0000233	Prap.g_01300	Syap.g_02133
OG0000234	Prap.g_01291	Syap.g_02755
OG0000235	Prap.g_01288	Syap.g_00732, Syap.g_02258
OG0000236	Prap.g_01274	Syap.g_02238
OG0000237	Prap.g_01261	Syap.g_00262, Syap.g_00263
OG0000238	Prap.g_01255	Syap.g_00257, Syap.g_00258
OG0000239	Prap.g_01244	Syap.g_02744
OG0000240	Prap.g_01243	Syap.g_02742
OG0000241	Prap.g_01239	Syap.g_00888
OG0000242	Prap.g_01237	Syap.g_01455
OG0000243	Prap.g_01226	Syap.g_01938
OG0000244	Prap.g_01223	Syap.g_01146, Syap.g_01145
OG0000245	Prap.g_01221	Syap.g_01148
OG0000246	Prap.g_01217	Syap.g_00308
OG0000247	Prap.g_01207	Syap.g_00288, Syap.g_00293
OG0000248	Prap.g_01204	Syap.g_00290
OG0000249	Prap.g_01202	Syap.g_01296, Syap.g_01295
OG0000250	Prap.g_01197	Syap.g_01306
OG0000251	Prap.g_01177	Syap.g_00442
OG0000252	Prap.g_01174	Syap.g_01857
OG0000253	Prap.g_01173	Syap.g_00443
OG0000254	Prap.g_01156	Syap.g_01527, Syap.g_01528
OG0000256	Prap.g_01140	Syap.g_01287
OG0000257	Prap.g_00397	Syap.g_00886
OG0000258	Prap.g_00383	Syap.g_00907
OG0000260	Prap.g_00363	Syap.g_01970
OG0000261	Prap.g_00360	Syap.g_01962, Syap.g_01961
OG0000262	Prap.g_00356	Syap.g_01954
OG0000263	Prap.g_00820	Syap.g_00432, Syap.g_00433
OG0000266	Prap.g_00337	Syap.g_00519
OG0000267	Prap.g_00325	Syap.g_02333, Syap.g_02332
OG0000268	Prap.g_00324	Syap.g_00646
OG0000269	Prap.g_00788	Syap.g_00188
OG0000270	Prap.g_00785	Syap.g_00192
OG0000271	Prap.g_00777	Syap.g_00200, Syap.g_00201
OG0000272	Prap.g_00776	Syap.g_00202
OG0000273	Prap.g_00752	Syap.g_02703
OG0000274	Prap.g_00751	Syap.g_02702
OG0000275	Prap.g_00748	Syap.g_01847
OG0000276	Prap.g_00742	Syap.g_01838, Syap.g_01839
OG0000277	Prap.g_00741	Syap.g_01837
OG0000278	Prap.g_00738	Syap.g_01834
OG0000279	Prap.g_00731	Syap.g_00829, Syap.g_00830
OG0000280	Prap.g_00730	Syap.g_00365
OG0000281	Prap.g_00723	Syap.g_01977
OG0000282	Prap.g_00856	Syap.g_01252
OG0000283	Prap.g_00680	Syap.g_01728
OG0000284	Prap.g_00675	Syap.g_01736
OG0000285	Prap.g_00243	Syap.g_01746, Syap.g_01744
OG0000286	Prap.g_00256	Syap.g_02014, Syap.g_02013
OG0000288	Prap.g_00295	Syap.g_02764, Syap.g_02763
OG0000289	Prap.g_00311	Syap.g_02784
OG0000290	Prap.g_00705	Syap.g_01552
OG0000292	Prap.g_00501	Syap.g_02314
OG0000293	Prap.g_00466	Syap.g_00240
OG0000294	Prap.g_00465	Syap.g_00239
OG0000295	Prap.g_00442	Syap.g_00206
OG0000296	Prap.g_00440	Syap.g_00204
OG0000299	Prap.g_00411	Syap.g_02620
OG0000302	Prap.g_00405	Syap.g_02444, Syap.g_02445
OG0000303	Prap.g_00399	Syap.g_02435
OG0000304	Prap.g_01135	Syap.g_02430
OG0000305	Prap.g_00499	Syap.g_01557
OG0000306	Prap.g_00719	Syap.g_01966
OG0000307	Prap.g_00068	Syap.g_02517
OG0000308	Prap.g_00069	Syap.g_02514, Syap.g_02515
OG0000309	Prap.g_00073	Syap.g_02198, Syap.g_02446
OG0000310	Prap.g_00107	Syap.g_02660, Syap.g_02661
OG0000311	Prap.g_00109	Syap.g_02657
OG0000312	Prap.g_00112	Syap.g_02114
OG0000313	Prap.g_00125	Syap.g_02473
OG0000315	Prap.g_00158	Syap.g_00017
OG0000316	Prap.g_00183	Syap.g_00030
OG0000317	Prap.g_01782	Syap.g_00618
OG0000318	Prap.g_01778	Syap.g_00622, Syap.g_02786
OG0000319	Prap.g_01765	Syap.g_01764, Syap.g_01771
OG0000320	Prap.g_01763	Syap.g_01761, Syap.g_01769
OG0000321	Prap.g_01762	Syap.g_01760, Syap.g_01768
OG0000322	Prap.g_01761	Syap.g_01759, Syap.g_01767
OG0000323	Prap.g_01751	Syap.g_01389
OG0000324	Prap.g_01724	Syap.g_01503
OG0000325	Prap.g_01713	Syap.g_02680
OG0000326	Prap.g_01706	Syap.g_00544
OG0000327	Prap.g_01685	Syap.g_01233, Syap.g_01913
OG0000328	Prap.g_01684	Syap.g_01234, Syap.g_01912
OG0000329	Prap.g_01667	Syap.g_00498
OG0000330	Prap.g_01666	Syap.g_00497
OG0000331	Prap.g_01665	Syap.g_00496
OG0000332	Prap.g_01651	Syap.g_00481
OG0000333	Prap.g_01648, Prap.g_01649	Syap.g_00478
OG0000334	Prap.g_01639	Syap.g_00468
OG0000335	Prap.g_01634	Syap.g_00101, Syap.g_00463
OG0000336	Prap.g_01630	Syap.g_00417, Syap.g_00607
OG0000337	Prap.g_01612	Syap.g_01054
OG0000338	Prap.g_01611	Syap.g_01059
OG0000339	Prap.g_01605	Syap.g_01068
OG0000340	Prap.g_01596	Syap.g_01077
OG0000341	Prap.g_01594	Syap.g_01079
OG0000342	Prap.g_01593	Syap.g_01080, Syap.g_02477
OG0000343	Prap.g_01592	Syap.g_01086, Syap.g_02078
OG0000344	Prap.g_01589	Syap.g_01091
OG0000345	Prap.g_01583	Syap.g_01107, Syap.g_01470
OG0000346	Prap.g_01579	Syap.g_01113
OG0000347	Prap.g_01562	Syap.g_01131, Syap.g_02459
OG0000348	Prap.g_01554	Syap.g_00632
OG0000349	Prap.g_01537	Syap.g_00110, Syap.g_01813
OG0000351	Prap.g_01497	Syap.g_02594
OG0000352	Prap.g_01496	Syap.g_02596, Syap.g_02597
OG0000353	Prap.g_00055	Syap.g_00054
OG0000355	Prap.g_00053	Syap.g_00056
OG0000356	Prap.g_00052	Syap.g_00057
OG0000357	Prap.g_00051	Syap.g_00058
OG0000358	Prap.g_00047	Syap.g_00063
OG0000359	Prap.g_00046	Syap.g_00065
OG0000360	Prap.g_00045	Syap.g_00067
OG0000361	Prap.g_00044	Syap.g_00068
OG0000362	Prap.g_00042	Syap.g_00070
OG0000363	Prap.g_00941	Syap.g_00072
OG0000364	Prap.g_00940	Syap.g_00620
OG0000365	Prap.g_00935	Syap.g_00081
OG0000366	Prap.g_00934	Syap.g_00082
OG0000367	Prap.g_00933	Syap.g_00083
OG0000368	Prap.g_00931	Syap.g_00085
OG0000369	Prap.g_00930	Syap.g_00086
OG0000370	Prap.g_00929	Syap.g_00087
OG0000372	Prap.g_00919	Syap.g_01805
OG0000373	Prap.g_00918	Syap.g_01806
OG0000374	Prap.g_00917	Syap.g_01807
OG0000375	Prap.g_00915	Syap.g_01808
OG0000376	Prap.g_00913	Syap.g_01811
OG0000377	Prap.g_00909	Syap.g_00128
OG0000378	Prap.g_00905	Syap.g_01326
OG0000380	Prap.g_00885	Syap.g_01687
OG0000381	Prap.g_00880	Syap.g_01690
OG0000382	Prap.g_01097	Syap.g_02548
OG0000383	Prap.g_01095	Syap.g_02359
OG0000384	Prap.g_01094	Syap.g_02360
OG0000385	Prap.g_01093	Syap.g_02361
OG0000386	Prap.g_01092	Syap.g_02362
OG0000387	Prap.g_01078	Syap.g_01864
OG0000391	Prap.g_01058	Syap.g_02234
OG0000392	Prap.g_01054	Syap.g_02225
OG0000393	Prap.g_01051	Syap.g_02222
OG0000394	Prap.g_01050	Syap.g_02221
OG0000395	Prap.g_01049	Syap.g_02220
OG0000396	Prap.g_01047	Syap.g_02217
OG0000397	Prap.g_01045	Syap.g_02215
OG0000398	Prap.g_01042	Syap.g_02211
OG0000399	Prap.g_01041	Syap.g_02210
OG0000400	Prap.g_01040	Syap.g_02209
OG0000401	Prap.g_01039	Syap.g_02208
OG0000402	Prap.g_00319	Syap.g_02206
OG0000403	Prap.g_01037	Syap.g_02205
OG0000404	Prap.g_01036	Syap.g_02204, Syap.g_02618
OG0000405	Prap.g_01032	Syap.g_02191
OG0000406	Prap.g_01024	Syap.g_02186
OG0000407	Prap.g_01023	Syap.g_02185
OG0000408	Prap.g_01021	Syap.g_02181, Syap.g_02182
OG0000409	Prap.g_01019	Syap.g_02179
OG0000410	Prap.g_01018	Syap.g_02178
OG0000411	Prap.g_01017	Syap.g_02177
OG0000412	Prap.g_01016	Syap.g_02176
OG0000413	Prap.g_01014	Syap.g_02174
OG0000414	Prap.g_01013	Syap.g_02173
OG0000415	Prap.g_01012	Syap.g_02172
OG0000416	Prap.g_01011	Syap.g_02171
OG0000417	Prap.g_01010	Syap.g_02169
OG0000418	Prap.g_01005	Syap.g_01204
OG0000419	Prap.g_01003	Syap.g_01201
OG0000420	Prap.g_01002	Syap.g_01199
OG0000421	Prap.g_00997	Syap.g_01195
OG0000422	Prap.g_00996	Syap.g_01194
OG0000423	Prap.g_00995	Syap.g_01193
OG0000424	Prap.g_00994	Syap.g_01192
OG0000425	Prap.g_00993	Syap.g_01191
OG0000426	Prap.g_00992	Syap.g_01190
OG0000427	Prap.g_00991	Syap.g_01189
OG0000428	Prap.g_00989	Syap.g_01186
OG0000429	Prap.g_00988	Syap.g_01184
OG0000430	Prap.g_00987	Syap.g_01182
OG0000431	Prap.g_00985	Syap.g_01179
OG0000432	Prap.g_00981	Syap.g_02277
OG0000433	Prap.g_00980	Syap.g_02272
OG0000434	Prap.g_00979	Syap.g_02271
OG0000435	Prap.g_00978	Syap.g_02268
OG0000436	Prap.g_00973	Syap.g_01607
OG0000437	Prap.g_00972	Syap.g_01608
OG0000438	Prap.g_00971	Syap.g_01612
OG0000439	Prap.g_00969	Syap.g_01614
OG0000440	Prap.g_00968	Syap.g_01615
OG0000441	Prap.g_00965	Syap.g_01619
OG0000442	Prap.g_00964	Syap.g_01620
OG0000443	Prap.g_00963	Syap.g_01622
OG0000444	Prap.g_00957	Syap.g_01424
OG0000445	Prap.g_00956	Syap.g_01421
OG0000446	Prap.g_00955	Syap.g_01419
OG0000447	Prap.g_00954	Syap.g_01410
OG0000448	Prap.g_00953	Syap.g_01407
OG0000449	Prap.g_00952	Syap.g_01406
OG0000450	Prap.g_00951	Syap.g_01909
OG0000451	Prap.g_00950	Syap.g_01908
OG0000452	Prap.g_00947	Syap.g_01904
OG0000453	Prap.g_00946	Syap.g_01903
OG0000454	Prap.g_00945	Syap.g_01902
OG0000455	Prap.g_00944	Syap.g_01901
OG0000456	Prap.g_00943	Syap.g_01900
OG0000457	Prap.g_01487	Syap.g_01896
OG0000458	Prap.g_01486	Syap.g_01895
OG0000459	Prap.g_01485	Syap.g_01894
OG0000460	Prap.g_01477	Syap.g_01159
OG0000461	Prap.g_01469	Syap.g_01575
OG0000462	Prap.g_01467	Syap.g_01578
OG0000463	Prap.g_01466	Syap.g_01579
OG0000464	Prap.g_01465	Syap.g_01580
OG0000465	Prap.g_01464	Syap.g_01582
OG0000466	Prap.g_01461	Syap.g_01587
OG0000467	Prap.g_01460	Syap.g_01588
OG0000468	Prap.g_01457	Syap.g_01593
OG0000469	Prap.g_01449	Syap.g_02352
OG0000470	Prap.g_01447	Syap.g_02349
OG0000471	Prap.g_01446	Syap.g_02348
OG0000472	Prap.g_01444	Syap.g_02347
OG0000473	Prap.g_01442	Syap.g_02343
OG0000474	Prap.g_01441	Syap.g_02342
OG0000475	Prap.g_01440	Syap.g_02341
OG0000476	Prap.g_01438	Syap.g_02339
OG0000477	Prap.g_01435	Syap.g_01367
OG0000478	Prap.g_01434	Syap.g_01366
OG0000479	Prap.g_01433	Syap.g_01364
OG0000480	Prap.g_01428	Syap.g_01357
OG0000482	Prap.g_01424	Syap.g_01355
OG0000483	Prap.g_01421	Syap.g_01344
OG0000484	Prap.g_01420	Syap.g_01350
OG0000485	Prap.g_01418	Syap.g_01349
OG0000487	Prap.g_01414	Syap.g_01635
OG0000488	Prap.g_01411	Syap.g_01639
OG0000489	Prap.g_01406	Syap.g_02482
OG0000490	Prap.g_01402	Syap.g_01673
OG0000491	Prap.g_01401	Syap.g_01670
OG0000492	Prap.g_01399	Syap.g_01668
OG0000493	Prap.g_01398	Syap.g_01667
OG0000494	Prap.g_01397	Syap.g_01666
OG0000495	Prap.g_01396	Syap.g_01665
OG0000496	Prap.g_01395	Syap.g_01663
OG0000497	Prap.g_01394	Syap.g_01662
OG0000498	Prap.g_01393	Syap.g_01661
OG0000499	Prap.g_01392	Syap.g_01660
OG0000500	Prap.g_01391	Syap.g_01659
OG0000501	Prap.g_01390	Syap.g_01656
OG0000502	Prap.g_01387	Syap.g_02066
OG0000503	Prap.g_01372	Syap.g_00569
OG0000504	Prap.g_01370	Syap.g_00567
OG0000505	Prap.g_01369	Syap.g_00566
OG0000506	Prap.g_01368	Syap.g_00564
OG0000507	Prap.g_01365	Syap.g_00558
OG0000508	Prap.g_01361	Syap.g_00554
OG0000509	Prap.g_01359	Syap.g_00551
OG0000510	Prap.g_01358	Syap.g_00550
OG0000511	Prap.g_01357	Syap.g_00548
OG0000512	Prap.g_01355	Syap.g_02145
OG0000513	Prap.g_01346	Syap.g_02048
OG0000514	Prap.g_01335	Syap.g_02051
OG0000515	Prap.g_01334	Syap.g_02052
OG0000516	Prap.g_01333	Syap.g_02054
OG0000517	Prap.g_01331	Syap.g_02057
OG0000519	Prap.g_01319	Syap.g_00457
OG0000520	Prap.g_01318	Syap.g_00456
OG0000521	Prap.g_01310	Syap.g_01997
OG0000522	Prap.g_01308	Syap.g_01995
OG0000523	Prap.g_01307	Syap.g_02507
OG0000524	Prap.g_01302	Syap.g_02135
OG0000525	Prap.g_01298	Syap.g_02159
OG0000526	Prap.g_01297	Syap.g_02157
OG0000527	Prap.g_01294	Syap.g_02758
OG0000528	Prap.g_01289	Syap.g_02261
OG0000529	Prap.g_01286	Syap.g_02254
OG0000530	Prap.g_01283	Syap.g_02252
OG0000531	Prap.g_01282	Syap.g_02251
OG0000532	Prap.g_01280	Syap.g_02247
OG0000533	Prap.g_01279	Syap.g_02244
OG0000534	Prap.g_01278	Syap.g_02243
OG0000535	Prap.g_01277	Syap.g_02242
OG0000536	Prap.g_01276	Syap.g_02241
OG0000537	Prap.g_01275	Syap.g_02240
OG0000538	Prap.g_01266	Syap.g_00271
OG0000539	Prap.g_01265	Syap.g_00270
OG0000540	Prap.g_01264	Syap.g_00269
OG0000541	Prap.g_01263	Syap.g_00268
OG0000542	Prap.g_01262	Syap.g_00264
OG0000543	Prap.g_01260	Syap.g_00261
OG0000544	Prap.g_01259	Syap.g_00260
OG0000545	Prap.g_01257	Syap.g_00259
OG0000546	Prap.g_01254	Syap.g_00256
OG0000547	Prap.g_01252	Syap.g_00254
OG0000548	Prap.g_01251	Syap.g_00253
OG0000549	Prap.g_01249	Syap.g_00758
OG0000550	Prap.g_01245	Syap.g_02747
OG0000551	Prap.g_01242	Syap.g_02739
OG0000552	Prap.g_01241	Syap.g_02738
OG0000553	Prap.g_01240	Syap.g_02735
OG0000554	Prap.g_01235	Syap.g_01450
OG0000555	Prap.g_01227	Syap.g_01941
OG0000556	Prap.g_01225	Syap.g_01933
OG0000557	Prap.g_01224	Syap.g_01931
OG0000558	Prap.g_01222	Syap.g_01147
OG0000560	Prap.g_01215	Syap.g_00305
OG0000561	Prap.g_01214	Syap.g_00304
OG0000562	Prap.g_01213	Syap.g_00302
OG0000563	Prap.g_01212	Syap.g_00301
OG0000564	Prap.g_01211	Syap.g_00300
OG0000565	Prap.g_01209	Syap.g_00296
OG0000566	Prap.g_01205	Syap.g_00291
OG0000567	Prap.g_01201	Syap.g_01297
OG0000568	Prap.g_01200	Syap.g_01302
OG0000569	Prap.g_01199	Syap.g_01303
OG0000570	Prap.g_01198	Syap.g_01304
OG0000571	Prap.g_01196	Syap.g_01307
OG0000573	Prap.g_01176	Syap.g_00765
OG0000574	Prap.g_01175	Syap.g_00759
OG0000575	Prap.g_01171	Syap.g_00445
OG0000576	Prap.g_01169	Syap.g_00450
OG0000577	Prap.g_01168	Syap.g_00451
OG0000578	Prap.g_01167	Syap.g_00452
OG0000579	Prap.g_01166	Syap.g_00453
OG0000580	Prap.g_01165	Syap.g_00454
OG0000581	Prap.g_01162	Syap.g_01521
OG0000582	Prap.g_01159	Syap.g_01533
OG0000583	Prap.g_01158	Syap.g_01532
OG0000584	Prap.g_01157	Syap.g_01530
OG0000585	Prap.g_01155	Syap.g_01526
OG0000586	Prap.g_01154	Syap.g_01525
OG0000587	Prap.g_01153	Syap.g_01523
OG0000588	Prap.g_01149	Syap.g_00776
OG0000589	Prap.g_01147	Syap.g_00941
OG0000590	Prap.g_01146	Syap.g_00940
OG0000591	Prap.g_01142	Syap.g_01289
OG0000592	Prap.g_01141	Syap.g_01288
OG0000593	Prap.g_00395	Syap.g_00890
OG0000594	Prap.g_00394	Syap.g_00891
OG0000595	Prap.g_00393	Syap.g_00892
OG0000596	Prap.g_00389	Syap.g_00898
OG0000597	Prap.g_00386	Syap.g_00903
OG0000598	Prap.g_00385	Syap.g_00904
OG0000599	Prap.g_00382	Syap.g_00908
OG0000600	Prap.g_00381	Syap.g_00909
OG0000601	Prap.g_00380	Syap.g_00910
OG0000602	Prap.g_00378	Syap.g_00640
OG0000603	Prap.g_00377	Syap.g_00641
OG0000604	Prap.g_00376	Syap.g_02769
OG0000605	Prap.g_00375	Syap.g_02501, Syap.g_02771
OG0000606	Prap.g_00372	Syap.g_02506
OG0000607	Prap.g_00369	Syap.g_00093
