Orthogroup	Prbe	Syab
OG0000103	Prbe.g_01195	Syab.g_01296, Syab.g_02895
OG0000104	Prbe.g_01061	Syab.g_02910
OG0000105	Prbe.g_01828	Syab.g_00303
OG0000106	Prbe.g_00740	Syab.g_01817
OG0000108	Prbe.g_00653	Syab.g_02096
OG0000109	Prbe.g_00639	Syab.g_02112
OG0000110	Prbe.g_00560	Syab.g_01984
OG0000111	Prbe.g_01207	Syab.g_01201
OG0000112	Prbe.g_00487	Syab.g_01392
OG0000113	Prbe.g_01245	Syab.g_01689
OG0000114	Prbe.g_00417	Syab.g_01633
OG0000115	Prbe.g_01618	Syab.g_00748
OG0000116	Prbe.g_01560	Syab.g_00945
OG0000117	Prbe.g_01522	Syab.g_01018
OG0000118	Prbe.g_00880	Syab.g_00897
OG0000120	Prbe.g_00353	Syab.g_00229
OG0000121	Prbe.g_00309	Syab.g_00772
OG0000122	Prbe.g_01625, Prbe.g_00268	Syab.g_01839
OG0000123	Prbe.g_00829	Syab.g_00454
OG0000124	Prbe.g_00745	Syab.g_00088
OG0000125	Prbe.g_01158	Syab.g_02763
OG0000126	Prbe.g_01060	Syab.g_02908
OG0000128	Prbe.g_01076	Syab.g_00012
OG0000129	Prbe.g_00145	Syab.g_02749
OG0000130	Prbe.g_00174	Syab.g_02434
OG0000131	Prbe.g_01692	Syab.g_02564
OG0000132	Prbe.g_01712	Syab.g_02584
OG0000133	Prbe.g_01875	Syab.g_01387
OG0000134	Prbe.g_01917	Syab.g_00554
OG0000135	Prbe.g_00911	Syab.g_02815
OG0000136	Prbe.g_01939	Syab.g_00588
OG0000137	Prbe.g_00658	Syab.g_00697
OG0000138	Prbe.g_00638	Syab.g_02113
OG0000139	Prbe.g_00598	Syab.g_02035
OG0000140	Prbe.g_00597	Syab.g_02033
OG0000141	Prbe.g_00526	Syab.g_01931
OG0000142	Prbe.g_01485	Syab.g_01873
OG0000143	Prbe.g_01481	Syab.g_01870
OG0000144	Prbe.g_01467	Syab.g_01757
OG0000145	Prbe.g_00909	Syab.g_02120
OG0000146	Prbe.g_00488	Syab.g_01393
OG0000147	Prbe.g_00489	Syab.g_01394
OG0000148	Prbe.g_01239	Syab.g_01682
OG0000149	Prbe.g_01271	Syab.g_01720
OG0000150	Prbe.g_01281	Syab.g_01930
OG0000151	Prbe.g_00427	Syab.g_01612
OG0000152	Prbe.g_01350	Syab.g_01383
OG0000153	Prbe.g_01369	Syab.g_01343
OG0000154	Prbe.g_01389	Syab.g_01317
OG0000155	Prbe.g_01528	Syab.g_01009
OG0000156	Prbe.g_00904	Syab.g_00933
OG0000157	Prbe.g_00903	Syab.g_00932
OG0000158	Prbe.g_00792	Syab.g_00161
OG0000160	Prbe.g_00310	Syab.g_00774
OG0000161	Prbe.g_00304	Syab.g_00766
OG0000162	Prbe.g_00298	Syab.g_00755
OG0000163	Prbe.g_00259	Syab.g_02173
OG0000164	Prbe.g_00961	Syab.g_02307
OG0000165	Prbe.g_00954	Syab.g_02316
OG0000166	Prbe.g_01083	Syab.g_00407
OG0000167	Prbe.g_00802	Syab.g_00205
OG0000168	Prbe.g_00791	Syab.g_00136
OG0000169	Prbe.g_00781	Syab.g_00125
OG0000170	Prbe.g_00778	Syab.g_00118
OG0000171	Prbe.g_00758	Syab.g_00089
OG0000172	Prbe.g_00751	Syab.g_00080
OG0000173	Prbe.g_01143	Syab.g_00061
OG0000174	Prbe.g_01173	Syab.g_02819
OG0000175	Prbe.g_01186	Syab.g_02876
OG0000176	Prbe.g_01069	Syab.g_00004
OG0000177	Prbe.g_01070	Syab.g_00005
OG0000178	Prbe.g_01071	Syab.g_00006
OG0000179	Prbe.g_00116	Syab.g_00022
OG0000180	Prbe.g_00117	Syab.g_00023
OG0000181	Prbe.g_00118	Syab.g_00024
OG0000182	Prbe.g_00119	Syab.g_00025
OG0000183	Prbe.g_00123	Syab.g_00029
OG0000184	Prbe.g_00149	Syab.g_02738
OG0000185	Prbe.g_00152	Syab.g_02715
OG0000186	Prbe.g_00168	Syab.g_02430
OG0000187	Prbe.g_00169	Syab.g_02431
OG0000188	Prbe.g_00186	Syab.g_02454
OG0000189	Prbe.g_01636	Syab.g_02487
OG0000190	Prbe.g_01638	Syab.g_00190, Syab.g_00139
OG0000191	Prbe.g_01661	Syab.g_02522
OG0000192	Prbe.g_01666	Syab.g_02528
OG0000193	Prbe.g_01693	Syab.g_02565
OG0000194	Prbe.g_01696	Syab.g_02568
OG0000195	Prbe.g_01698	Syab.g_02570
OG0000196	Prbe.g_01709	Syab.g_02581
OG0000197	Prbe.g_01710	Syab.g_02582
OG0000198	Prbe.g_01711	Syab.g_02583
OG0000199	Prbe.g_01718	Syab.g_02591
OG0000200	Prbe.g_01732	Syab.g_02611
OG0000201	Prbe.g_01741	Syab.g_02628
OG0000202	Prbe.g_01742	Syab.g_02629
OG0000203	Prbe.g_01743	Syab.g_02630
OG0000204	Prbe.g_01744	Syab.g_02631
OG0000205	Prbe.g_01751	Syab.g_02638
OG0000206	Prbe.g_01756	Syab.g_02674
OG0000207	Prbe.g_01759	Syab.g_02677
OG0000208	Prbe.g_01760	Syab.g_02678
OG0000209	Prbe.g_01769	Syab.g_02698
OG0000210	Prbe.g_01770	Syab.g_02699
OG0000211	Prbe.g_01785	Syab.g_02374
OG0000212	Prbe.g_01793	Syab.g_02365
OG0000213	Prbe.g_01811	Syab.g_00332
OG0000214	Prbe.g_01821	Syab.g_00312
OG0000215	Prbe.g_01848	Syab.g_00281
OG0000216	Prbe.g_01849	Syab.g_00277
OG0000217	Prbe.g_01852	Syab.g_00273
OG0000218	Prbe.g_01854	Syab.g_00271
OG0000219	Prbe.g_01855	Syab.g_00270
OG0000220	Prbe.g_01856	Syab.g_00269
OG0000221	Prbe.g_01857	Syab.g_00257
OG0000222	Prbe.g_01864	Syab.g_00244
OG0000223	Prbe.g_01876	Syab.g_00226
OG0000224	Prbe.g_01878	Syab.g_00223
OG0000225	Prbe.g_01904	Syab.g_00538
OG0000226	Prbe.g_01908	Syab.g_00542
OG0000227	Prbe.g_01910	Syab.g_00544
OG0000228	Prbe.g_01914	Syab.g_00550
OG0000229	Prbe.g_01934	Syab.g_00583
OG0000230	Prbe.g_01936	Syab.g_00585
OG0000231	Prbe.g_01947	Syab.g_00613
OG0000232	Prbe.g_00672	Syab.g_00631
OG0000233	Prbe.g_00666	Syab.g_00645
OG0000234	Prbe.g_00657	Syab.g_00699
OG0000235	Prbe.g_00654	Syab.g_02095
OG0000236	Prbe.g_00640	Syab.g_02111
OG0000237	Prbe.g_00627	Syab.g_02129
OG0000238	Prbe.g_00621	Syab.g_02134
OG0000239	Prbe.g_00610	Syab.g_02151
OG0000240	Prbe.g_00609	Syab.g_02152
OG0000241	Prbe.g_00605	Syab.g_01884
OG0000242	Prbe.g_00603	Syab.g_02043
OG0000243	Prbe.g_00592	Syab.g_02025
OG0000244	Prbe.g_00589	Syab.g_02017
OG0000245	Prbe.g_00587	Syab.g_02015
OG0000246	Prbe.g_00583	Syab.g_02011
OG0000247	Prbe.g_00573	Syab.g_01999
OG0000248	Prbe.g_00570	Syab.g_01996
OG0000249	Prbe.g_00568	Syab.g_01994
OG0000250	Prbe.g_00563	Syab.g_01988
OG0000251	Prbe.g_00543	Syab.g_01961
OG0000252	Prbe.g_00540	Syab.g_01958
OG0000253	Prbe.g_00539	Syab.g_01956
OG0000254	Prbe.g_00522	Syab.g_01925
OG0000255	Prbe.g_00516	Syab.g_01912
OG0000256	Prbe.g_00506	Syab.g_01890
OG0000257	Prbe.g_01490	Syab.g_01885
OG0000258	Prbe.g_01476	Syab.g_01861
OG0000259	Prbe.g_01459	Syab.g_01538
OG0000260	Prbe.g_01456	Syab.g_01544
OG0000261	Prbe.g_01453	Syab.g_01556
OG0000262	Prbe.g_01449	Syab.g_01561
OG0000263	Prbe.g_00455	Syab.g_01035
OG0000264	Prbe.g_00466	Syab.g_01173
OG0000265	Prbe.g_01214	Syab.g_01773
OG0000266	Prbe.g_01430	Syab.g_01667
OG0000267	Prbe.g_01418	Syab.g_01433
OG0000268	Prbe.g_01417	Syab.g_01432
OG0000269	Prbe.g_01217	Syab.g_01650
OG0000270	Prbe.g_01220	Syab.g_01657
OG0000271	Prbe.g_01228	Syab.g_01279
OG0000272	Prbe.g_01229	Syab.g_01280
OG0000274	Prbe.g_01254	Syab.g_01700
OG0000275	Prbe.g_01257	Syab.g_01704
OG0000276	Prbe.g_01263	Syab.g_01712
OG0000277	Prbe.g_01264	Syab.g_01713
OG0000278	Prbe.g_01267	Syab.g_01716
OG0000279	Prbe.g_01274	Syab.g_01724
OG0000280	Prbe.g_01275	Syab.g_01736
OG0000281	Prbe.g_01282	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546
OG0000282	Prbe.g_00419	Syab.g_01631
OG0000283	Prbe.g_01326	Syab.g_01418
OG0000284	Prbe.g_01331	Syab.g_01413
OG0000285	Prbe.g_01336	Syab.g_01402
OG0000286	Prbe.g_01349	Syab.g_01384
OG0000287	Prbe.g_01615	Syab.g_01350
OG0000288	Prbe.g_01388	Syab.g_01318
OG0000289	Prbe.g_01404	Syab.g_01303
OG0000290	Prbe.g_01300	Syab.g_01213
OG0000291	Prbe.g_01298	Syab.g_01211
OG0000292	Prbe.g_01594	Syab.g_02907
OG0000293	Prbe.g_01559	Syab.g_00946
OG0000294	Prbe.g_01558	Syab.g_00947
OG0000295	Prbe.g_01535	Syab.g_01001
OG0000296	Prbe.g_01533	Syab.g_01003
OG0000297	Prbe.g_01524	Syab.g_01016
OG0000298	Prbe.g_01523	Syab.g_01017
OG0000299	Prbe.g_01504	Syab.g_01047
OG0000300	Prbe.g_01501	Syab.g_01054
OG0000301	Prbe.g_01500	Syab.g_01055
OG0000302	Prbe.g_01498	Syab.g_01056
OG0000303	Prbe.g_01492	Syab.g_01149
OG0000304	Prbe.g_00501	Syab.g_01143
OG0000305	Prbe.g_01592	Syab.g_01208
OG0000306	Prbe.g_01286	Syab.g_01819
OG0000307	Prbe.g_00364	Syab.g_02078
OG0000308	Prbe.g_00363	Syab.g_02076
OG0000309	Prbe.g_00359	Syab.g_02071
OG0000310	Prbe.g_00325	Syab.g_00817
OG0000311	Prbe.g_00323	Syab.g_00811
OG0000312	Prbe.g_00320	Syab.g_00793
OG0000313	Prbe.g_00307	Syab.g_00769
OG0000314	Prbe.g_00284	Syab.g_00736
OG0000315	Prbe.g_00274	Syab.g_00726
OG0000316	Prbe.g_00249	Syab.g_02189
OG0000317	Prbe.g_00988	Syab.g_02251
OG0000318	Prbe.g_00984	Syab.g_02257
OG0000319	Prbe.g_00971	Syab.g_02291
OG0000320	Prbe.g_00969	Syab.g_02293
OG0000321	Prbe.g_00968	Syab.g_02294
OG0000322	Prbe.g_00967	Syab.g_02295
OG0000323	Prbe.g_00958	Syab.g_02310
OG0000324	Prbe.g_00931	Syab.g_02341
OG0000325	Prbe.g_00920	Syab.g_00368
OG0000326	Prbe.g_01109	Syab.g_00375
OG0000327	Prbe.g_01088	Syab.g_00402
OG0000328	Prbe.g_01087	Syab.g_00403
OG0000329	Prbe.g_00860	Syab.g_00420
OG0000330	Prbe.g_00859	Syab.g_00421
OG0000331	Prbe.g_00858	Syab.g_00422
OG0000332	Prbe.g_00844	Syab.g_00437
OG0000333	Prbe.g_00842	Syab.g_00440
OG0000334	Prbe.g_00833	Syab.g_00450
OG0000335	Prbe.g_00828	Syab.g_00455
OG0000336	Prbe.g_00824	Syab.g_00459
OG0000337	Prbe.g_00806	Syab.g_00210
OG0000338	Prbe.g_00805	Syab.g_00207
OG0000339	Prbe.g_00799	Syab.g_00201
OG0000340	Prbe.g_00790	Syab.g_00135
OG0000341	Prbe.g_00788	Syab.g_00157, Syab.g_00133
OG0000342	Prbe.g_00787	Syab.g_00132
OG0000343	Prbe.g_00786	Syab.g_00131
OG0000344	Prbe.g_00783	Syab.g_00127
OG0000345	Prbe.g_00777	Syab.g_00117
OG0000346	Prbe.g_00773	Syab.g_00112
OG0000347	Prbe.g_00746	Syab.g_00087
OG0000348	Prbe.g_00754	Syab.g_00076
OG0000349	Prbe.g_01149	Syab.g_00054
OG0000350	Prbe.g_00709	Syab.g_00382
OG0000351	Prbe.g_01189	Syab.g_02879
OG0000352	Prbe.g_01190	Syab.g_02880
OG0000353	Prbe.g_01064	Syab.g_02913
OG0000355	Prbe.g_01066	Syab.g_00001
OG0000356	Prbe.g_01067	Syab.g_00002
OG0000357	Prbe.g_01068	Syab.g_00003
OG0000358	Prbe.g_01072	Syab.g_00007
OG0000359	Prbe.g_01073	Syab.g_00009
OG0000360	Prbe.g_01074	Syab.g_00010
OG0000361	Prbe.g_01075	Syab.g_00011
OG0000362	Prbe.g_01077	Syab.g_00013
OG0000363	Prbe.g_00114	Syab.g_00015
OG0000364	Prbe.g_00115	Syab.g_00016
OG0000365	Prbe.g_00120	Syab.g_00026
OG0000366	Prbe.g_00121	Syab.g_00027
OG0000367	Prbe.g_00122	Syab.g_00028
OG0000368	Prbe.g_00124	Syab.g_00030
OG0000369	Prbe.g_00125	Syab.g_00031
OG0000370	Prbe.g_00126	Syab.g_00032
OG0000371	Prbe.g_00133	Syab.g_00711, Syab.g_00039
OG0000372	Prbe.g_00136	Syab.g_00045
OG0000373	Prbe.g_00137	Syab.g_00046
OG0000374	Prbe.g_00138	Syab.g_00047
OG0000375	Prbe.g_00140	Syab.g_00050
OG0000376	Prbe.g_00142	Syab.g_00052
OG0000377	Prbe.g_00146	Syab.g_02748
OG0000378	Prbe.g_00150	Syab.g_02717
OG0000379	Prbe.g_00153	Syab.g_02714
OG0000380	Prbe.g_00170	Syab.g_02432
OG0000381	Prbe.g_00175	Syab.g_02435
OG0000382	Prbe.g_00185	Syab.g_02453
OG0000383	Prbe.g_00187	Syab.g_02459
OG0000384	Prbe.g_00188	Syab.g_02460
OG0000385	Prbe.g_00189	Syab.g_02461
OG0000386	Prbe.g_00190	Syab.g_02462
OG0000387	Prbe.g_01640	Syab.g_02491
OG0000388	Prbe.g_01644	Syab.g_02495
OG0000389	Prbe.g_01647	Syab.g_02499
OG0000390	Prbe.g_01657	Syab.g_02516
OG0000391	Prbe.g_01660	Syab.g_02521
OG0000392	Prbe.g_01664	Syab.g_02527
OG0000393	Prbe.g_01667	Syab.g_02530
OG0000394	Prbe.g_01668	Syab.g_02531
OG0000395	Prbe.g_01669	Syab.g_02532
OG0000396	Prbe.g_01671	Syab.g_02535
OG0000397	Prbe.g_01673	Syab.g_02537
OG0000398	Prbe.g_01676	Syab.g_02542
OG0000399	Prbe.g_01677	Syab.g_02543
OG0000400	Prbe.g_01678	Syab.g_02544
OG0000401	Prbe.g_01679	Syab.g_02545
OG0000402	Prbe.g_01412	Syab.g_02547
OG0000403	Prbe.g_01681	Syab.g_02548
OG0000404	Prbe.g_01682	Syab.g_02550
OG0000405	Prbe.g_01686	Syab.g_02562
OG0000406	Prbe.g_01694	Syab.g_02566
OG0000407	Prbe.g_01695	Syab.g_02567
OG0000408	Prbe.g_01697	Syab.g_02569
OG0000409	Prbe.g_01699	Syab.g_02571
OG0000410	Prbe.g_01700	Syab.g_02572
OG0000411	Prbe.g_01701	Syab.g_02573
OG0000412	Prbe.g_01702	Syab.g_02574
OG0000413	Prbe.g_01704	Syab.g_02576
OG0000414	Prbe.g_01705	Syab.g_02577
OG0000415	Prbe.g_01706	Syab.g_02578
OG0000416	Prbe.g_01707	Syab.g_02579
OG0000417	Prbe.g_01708	Syab.g_02580
OG0000418	Prbe.g_01713	Syab.g_02585
OG0000419	Prbe.g_01715	Syab.g_02587
OG0000420	Prbe.g_01716	Syab.g_02589
OG0000421	Prbe.g_01721	Syab.g_02595
OG0000422	Prbe.g_01722	Syab.g_02596
OG0000423	Prbe.g_01723	Syab.g_02597
OG0000424	Prbe.g_01724	Syab.g_02598
OG0000425	Prbe.g_01725	Syab.g_02599
OG0000426	Prbe.g_01726	Syab.g_02600
OG0000427	Prbe.g_01727	Syab.g_02601
OG0000428	Prbe.g_01729	Syab.g_02604
OG0000429	Prbe.g_01730	Syab.g_02608
OG0000430	Prbe.g_01731	Syab.g_02610
OG0000431	Prbe.g_01733	Syab.g_02613
OG0000432	Prbe.g_01737	Syab.g_02619
OG0000433	Prbe.g_01738	Syab.g_02622
OG0000434	Prbe.g_01739	Syab.g_02623
OG0000435	Prbe.g_01740	Syab.g_02625
OG0000436	Prbe.g_01745	Syab.g_02632
OG0000437	Prbe.g_01746	Syab.g_02633
OG0000438	Prbe.g_01747	Syab.g_02634
OG0000439	Prbe.g_01749	Syab.g_02636
OG0000440	Prbe.g_01750	Syab.g_02637
OG0000441	Prbe.g_01753	Syab.g_02641
OG0000442	Prbe.g_01754	Syab.g_02642
OG0000443	Prbe.g_01755	Syab.g_02668
OG0000444	Prbe.g_01761	Syab.g_02681
OG0000445	Prbe.g_01762	Syab.g_02682
OG0000446	Prbe.g_01763	Syab.g_02684
OG0000447	Prbe.g_01764	Syab.g_02687
OG0000448	Prbe.g_01765	Syab.g_02688
OG0000449	Prbe.g_01766	Syab.g_02689
OG0000450	Prbe.g_01767	Syab.g_02695
OG0000451	Prbe.g_01768	Syab.g_02696
OG0000452	Prbe.g_01771	Syab.g_02701
OG0000453	Prbe.g_01772	Syab.g_02702
OG0000454	Prbe.g_01773	Syab.g_02703
OG0000455	Prbe.g_01774	Syab.g_02704
OG0000456	Prbe.g_01775	Syab.g_02705
OG0000457	Prbe.g_01777	Syab.g_02707
OG0000458	Prbe.g_01778	Syab.g_02708
OG0000459	Prbe.g_01779	Syab.g_02709
OG0000460	Prbe.g_01787	Syab.g_02372
OG0000461	Prbe.g_01795	Syab.g_00356
OG0000462	Prbe.g_01797	Syab.g_00352
OG0000463	Prbe.g_01798	Syab.g_00351
OG0000464	Prbe.g_01799	Syab.g_00350
OG0000465	Prbe.g_01800	Syab.g_00349
OG0000466	Prbe.g_01803	Syab.g_00343
OG0000467	Prbe.g_01804	Syab.g_00341
OG0000468	Prbe.g_01807	Syab.g_00336
OG0000469	Prbe.g_01815	Syab.g_00318
OG0000470	Prbe.g_01817	Syab.g_00316
OG0000471	Prbe.g_01818	Syab.g_00315
OG0000472	Prbe.g_01820	Syab.g_00313
OG0000473	Prbe.g_01822	Syab.g_00311
OG0000474	Prbe.g_01823	Syab.g_00310
OG0000475	Prbe.g_01824	Syab.g_00309
OG0000476	Prbe.g_01826	Syab.g_00307
OG0000477	Prbe.g_01829	Syab.g_00301
OG0000478	Prbe.g_01830	Syab.g_00300
OG0000479	Prbe.g_01831	Syab.g_00299
OG0000480	Prbe.g_01836	Syab.g_00292
OG0000481	Prbe.g_01839	Syab.g_00290
OG0000482	Prbe.g_01840	Syab.g_00289
OG0000483	Prbe.g_01843	Syab.g_00285
OG0000484	Prbe.g_01844	Syab.g_00284
OG0000485	Prbe.g_01846	Syab.g_00283
OG0000486	Prbe.g_01847	Syab.g_00282
OG0000487	Prbe.g_01850	Syab.g_00276
OG0000488	Prbe.g_01853	Syab.g_00272
OG0000489	Prbe.g_01858	Syab.g_00256
OG0000490	Prbe.g_01862	Syab.g_00247
OG0000491	Prbe.g_01863	Syab.g_00245
OG0000492	Prbe.g_01865	Syab.g_00243
OG0000493	Prbe.g_01866	Syab.g_00242
OG0000494	Prbe.g_01867	Syab.g_00241
OG0000495	Prbe.g_01868	Syab.g_00240
OG0000496	Prbe.g_01869	Syab.g_00239
OG0000497	Prbe.g_01870	Syab.g_00238
OG0000498	Prbe.g_01871	Syab.g_00237
OG0000499	Prbe.g_01872	Syab.g_00236
OG0000500	Prbe.g_01873	Syab.g_00235
OG0000501	Prbe.g_01874	Syab.g_00232
OG0000502	Prbe.g_01877	Syab.g_00224
OG0000503	Prbe.g_01892	Syab.g_00523
OG0000504	Prbe.g_01894	Syab.g_00525
OG0000505	Prbe.g_01895	Syab.g_00526
OG0000506	Prbe.g_01896	Syab.g_00528
OG0000507	Prbe.g_01899	Syab.g_00533
OG0000508	Prbe.g_01903	Syab.g_00537
OG0000509	Prbe.g_01905	Syab.g_00539
OG0000510	Prbe.g_01906	Syab.g_00540
OG0000511	Prbe.g_01907	Syab.g_00541
OG0000512	Prbe.g_01909	Syab.g_00543
OG0000513	Prbe.g_01918	Syab.g_00555
OG0000514	Prbe.g_01929	Syab.g_00566
OG0000515	Prbe.g_01930	Syab.g_00567
OG0000516	Prbe.g_01931	Syab.g_00575
OG0000517	Prbe.g_01933	Syab.g_00582
OG0000518	Prbe.g_01944	Syab.g_00594
OG0000519	Prbe.g_01945	Syab.g_00610
OG0000520	Prbe.g_01946	Syab.g_00611
OG0000521	Prbe.g_00676	Syab.g_00624
OG0000522	Prbe.g_00674	Syab.g_00626
OG0000523	Prbe.g_00673	Syab.g_00627
OG0000524	Prbe.g_00668	Syab.g_00640
OG0000525	Prbe.g_00664	Syab.g_00671
OG0000526	Prbe.g_00663	Syab.g_00689
OG0000527	Prbe.g_00660	Syab.g_00695
OG0000528	Prbe.g_00655	Syab.g_02092
OG0000529	Prbe.g_00652	Syab.g_02097
OG0000530	Prbe.g_00649	Syab.g_02100
OG0000531	Prbe.g_00648	Syab.g_02101
OG0000532	Prbe.g_00646	Syab.g_02104
OG0000533	Prbe.g_00645	Syab.g_02106
OG0000534	Prbe.g_00644	Syab.g_02107
OG0000535	Prbe.g_00643	Syab.g_02108
OG0000536	Prbe.g_00642	Syab.g_02109
OG0000537	Prbe.g_00641	Syab.g_02110
OG0000538	Prbe.g_00632	Syab.g_02122
OG0000539	Prbe.g_00631	Syab.g_02123
OG0000540	Prbe.g_00630	Syab.g_02124
OG0000541	Prbe.g_00629	Syab.g_02125
OG0000542	Prbe.g_00628	Syab.g_02128
OG0000543	Prbe.g_00626	Syab.g_02130
OG0000544	Prbe.g_00625	Syab.g_02131
OG0000545	Prbe.g_00623	Syab.g_02133
OG0000546	Prbe.g_00620	Syab.g_02135
OG0000547	Prbe.g_00618	Syab.g_02137
OG0000548	Prbe.g_00617	Syab.g_02138
OG0000549	Prbe.g_00615	Syab.g_02144
OG0000550	Prbe.g_00611	Syab.g_02149
OG0000551	Prbe.g_00608	Syab.g_02153
OG0000552	Prbe.g_00607	Syab.g_02154
OG0000553	Prbe.g_00606	Syab.g_02046
OG0000554	Prbe.g_00601	Syab.g_02040
OG0000555	Prbe.g_00593	Syab.g_02026
OG0000556	Prbe.g_00591	Syab.g_02022
OG0000557	Prbe.g_00590	Syab.g_02019
OG0000558	Prbe.g_00588	Syab.g_02016
OG0000559	Prbe.g_00584	Syab.g_02012
OG0000560	Prbe.g_00581	Syab.g_02009
OG0000561	Prbe.g_00580	Syab.g_02008
