Orthogroup	Prbe	Syag
OG0000109	Prbe.g_00639	Syag.g_01512
OG0000110	Prbe.g_00560	Syag.g_00303
OG0000111	Prbe.g_01207	Syag.g_00984
OG0000112	Prbe.g_00487	Syag.g_00801
OG0000113	Prbe.g_01245	Syag.g_00699
OG0000114	Prbe.g_00417	Syag.g_00609
OG0000115	Prbe.g_01618	Syag.g_01397
OG0000116	Prbe.g_01560	Syag.g_01156
OG0000117	Prbe.g_01522	Syag.g_01097
OG0000118	Prbe.g_00880	Syag.g_01232
OG0000120	Prbe.g_00353	Syag.g_02535
OG0000121	Prbe.g_00309	Syag.g_01414
OG0000122	Prbe.g_01625, Prbe.g_00268	Syag.g_00446
OG0000123	Prbe.g_00829	Syag.g_02781
OG0000124	Prbe.g_00745	Syag.g_02367
OG0000125	Prbe.g_01158	Syag.g_02136, Syag.g_02134
OG0000126	Prbe.g_01060	Syag.g_02266
OG0000128	Prbe.g_01076	Syag.g_02284
OG0000129	Prbe.g_00145	Syag.g_02121
OG0000130	Prbe.g_00174	Syag.g_01819
OG0000131	Prbe.g_01692	Syag.g_01951
OG0000132	Prbe.g_01712	Syag.g_01972
OG0000133	Prbe.g_01875	Syag.g_00806
OG0000134	Prbe.g_01917	Syag.g_00008
OG0000135	Prbe.g_00911	Syag.g_02171
OG0000136	Prbe.g_01939	Syag.g_00038
OG0000137	Prbe.g_00658	Syag.g_01356
OG0000138	Prbe.g_00638	Syag.g_01511
OG0000139	Prbe.g_00598	Syag.g_01448
OG0000140	Prbe.g_00597	Syag.g_01446
OG0000141	Prbe.g_00526	Syag.g_00351
OG0000142	Prbe.g_01485	Syag.g_00410
OG0000143	Prbe.g_01481	Syag.g_00414
OG0000144	Prbe.g_01467	Syag.g_00493
OG0000145	Prbe.g_00909	Syag.g_01504
OG0000146	Prbe.g_00488	Syag.g_00800
OG0000147	Prbe.g_00489	Syag.g_00799
OG0000148	Prbe.g_01239	Syag.g_00693
OG0000149	Prbe.g_01271	Syag.g_00731
OG0000150	Prbe.g_01281	Syag.g_00352
OG0000151	Prbe.g_00427	Syag.g_00623
OG0000152	Prbe.g_01350	Syag.g_00810
OG0000153	Prbe.g_01369	Syag.g_00845
OG0000154	Prbe.g_01389	Syag.g_00870
OG0000155	Prbe.g_01528	Syag.g_01107
OG0000156	Prbe.g_00904	Syag.g_01166
OG0000157	Prbe.g_00903	Syag.g_01167
OG0000158	Prbe.g_00792	Syag.g_02422
OG0000160	Prbe.g_00310	Syag.g_01415
OG0000161	Prbe.g_00304	Syag.g_01409
OG0000162	Prbe.g_00298	Syag.g_01402
OG0000163	Prbe.g_00259	Syag.g_01618
OG0000164	Prbe.g_00961	Syag.g_01725
OG0000165	Prbe.g_00954	Syag.g_01733
OG0000166	Prbe.g_01083	Syag.g_02733
OG0000167	Prbe.g_00802	Syag.g_02437
OG0000168	Prbe.g_00791	Syag.g_02417
OG0000169	Prbe.g_00781	Syag.g_02405
OG0000170	Prbe.g_00778	Syag.g_02398
OG0000171	Prbe.g_00758	Syag.g_02368
OG0000172	Prbe.g_00751	Syag.g_02360
OG0000173	Prbe.g_01143	Syag.g_02337
OG0000174	Prbe.g_01173	Syag.g_02175
OG0000175	Prbe.g_01186	Syag.g_02240
OG0000176	Prbe.g_01069	Syag.g_02276
OG0000177	Prbe.g_01070	Syag.g_02277
OG0000178	Prbe.g_01071	Syag.g_02278
OG0000179	Prbe.g_00116	Syag.g_02293
OG0000180	Prbe.g_00117	Syag.g_02294
OG0000181	Prbe.g_00118	Syag.g_02295
OG0000182	Prbe.g_00119	Syag.g_02296
OG0000183	Prbe.g_00123	Syag.g_02300
OG0000184	Prbe.g_00149	Syag.g_02110
OG0000185	Prbe.g_00152	Syag.g_02092
OG0000186	Prbe.g_00168	Syag.g_01815
OG0000187	Prbe.g_00169	Syag.g_01816
OG0000188	Prbe.g_00186	Syag.g_01839
OG0000189	Prbe.g_01636	Syag.g_01872
OG0000190	Prbe.g_01638	Syag.g_01874
OG0000191	Prbe.g_01661	Syag.g_01909
OG0000192	Prbe.g_01666	Syag.g_01915
OG0000193	Prbe.g_01693	Syag.g_01952
OG0000194	Prbe.g_01696	Syag.g_01955
OG0000195	Prbe.g_01698	Syag.g_01957
OG0000196	Prbe.g_01709	Syag.g_01968
OG0000197	Prbe.g_01710	Syag.g_01969
OG0000198	Prbe.g_01711	Syag.g_00108, Syag.g_01971
OG0000199	Prbe.g_01718	Syag.g_01979
OG0000200	Prbe.g_01732	Syag.g_01996
OG0000201	Prbe.g_01741	Syag.g_02019
OG0000202	Prbe.g_01742	Syag.g_02024
OG0000203	Prbe.g_01743	Syag.g_02025
OG0000204	Prbe.g_01744	Syag.g_02020, Syag.g_02026
OG0000205	Prbe.g_01751	Syag.g_02035
OG0000206	Prbe.g_01756	Syag.g_02047
OG0000207	Prbe.g_01759	Syag.g_02051
OG0000208	Prbe.g_01760	Syag.g_02052
OG0000209	Prbe.g_01769	Syag.g_02069
OG0000210	Prbe.g_01770	Syag.g_02070
OG0000211	Prbe.g_01785	Syag.g_01788
OG0000212	Prbe.g_01793	Syag.g_01777
OG0000213	Prbe.g_01811	Syag.g_02632
OG0000214	Prbe.g_01821	Syag.g_02615
OG0000215	Prbe.g_01848	Syag.g_02584
OG0000216	Prbe.g_01849	Syag.g_02580
OG0000217	Prbe.g_01852	Syag.g_02576
OG0000218	Prbe.g_01854	Syag.g_02574
OG0000219	Prbe.g_01855	Syag.g_02573
OG0000220	Prbe.g_01856	Syag.g_02572
OG0000221	Prbe.g_01857	Syag.g_02566
OG0000222	Prbe.g_01864	Syag.g_02550
OG0000223	Prbe.g_01876	Syag.g_02475
OG0000224	Prbe.g_01878	Syag.g_02471
OG0000225	Prbe.g_01904	Syag.g_02861
OG0000226	Prbe.g_01908	Syag.g_02865
OG0000227	Prbe.g_01910	Syag.g_02867
OG0000228	Prbe.g_01914	Syag.g_00004
OG0000229	Prbe.g_01934	Syag.g_00033
OG0000230	Prbe.g_01936	Syag.g_00035
OG0000231	Prbe.g_01947	Syag.g_00048
OG0000232	Prbe.g_00672	Syag.g_00059
OG0000233	Prbe.g_00666	Syag.g_01330
OG0000234	Prbe.g_00657	Syag.g_01358
OG0000235	Prbe.g_00654	Syag.g_01529
OG0000236	Prbe.g_00640	Syag.g_01513
OG0000237	Prbe.g_00627	Syag.g_01495
OG0000238	Prbe.g_00621	Syag.g_01490
OG0000239	Prbe.g_00610	Syag.g_01472
OG0000240	Prbe.g_00609	Syag.g_01471
OG0000241	Prbe.g_00605	Syag.g_00396
OG0000242	Prbe.g_00603	Syag.g_01456
OG0000243	Prbe.g_00592	Syag.g_00255
OG0000244	Prbe.g_00589	Syag.g_00268
OG0000245	Prbe.g_00587	Syag.g_00270
OG0000246	Prbe.g_00583	Syag.g_00274
OG0000247	Prbe.g_00573	Syag.g_00286
OG0000248	Prbe.g_00570	Syag.g_00289
OG0000249	Prbe.g_00568	Syag.g_00291
OG0000250	Prbe.g_00563	Syag.g_00299
OG0000251	Prbe.g_00543	Syag.g_00328
OG0000252	Prbe.g_00540	Syag.g_00331
OG0000253	Prbe.g_00539	Syag.g_00333
OG0000254	Prbe.g_00522	Syag.g_00356
OG0000255	Prbe.g_00516	Syag.g_00369
OG0000256	Prbe.g_00506	Syag.g_00385
OG0000257	Prbe.g_01490	Syag.g_00395
OG0000258	Prbe.g_01476	Syag.g_00423
OG0000259	Prbe.g_01459	Syag.g_00560
OG0000260	Prbe.g_01456	Syag.g_00570
OG0000261	Prbe.g_01453	Syag.g_00581
OG0000262	Prbe.g_01449	Syag.g_00586
OG0000263	Prbe.g_00455	Syag.g_01079
OG0000264	Prbe.g_00466	Syag.g_01011
OG0000265	Prbe.g_01214	Syag.g_01021
OG0000266	Prbe.g_01430	Syag.g_00907
OG0000267	Prbe.g_01418	Syag.g_00762
OG0000268	Prbe.g_01417	Syag.g_00763
OG0000269	Prbe.g_01217	Syag.g_00662
OG0000270	Prbe.g_01220	Syag.g_00665
OG0000271	Prbe.g_01228	Syag.g_00673
OG0000274	Prbe.g_01254	Syag.g_00714
OG0000275	Prbe.g_01257	Syag.g_00717
OG0000276	Prbe.g_01263	Syag.g_00723
OG0000277	Prbe.g_01264	Syag.g_00724
OG0000278	Prbe.g_01267	Syag.g_00727
OG0000279	Prbe.g_01274	Syag.g_00735
OG0000280	Prbe.g_01275	Syag.g_00741
OG0000281	Prbe.g_01282	Syag.g_00572
OG0000282	Prbe.g_00419	Syag.g_00611
OG0000283	Prbe.g_01326	Syag.g_00775
OG0000284	Prbe.g_01331	Syag.g_00780
OG0000285	Prbe.g_01336	Syag.g_00791
OG0000286	Prbe.g_01349	Syag.g_00809
OG0000287	Prbe.g_01615	Syag.g_00838
OG0000288	Prbe.g_01388	Syag.g_00869
OG0000289	Prbe.g_01404	Syag.g_00884
OG0000290	Prbe.g_01300	Syag.g_00970
OG0000291	Prbe.g_01298	Syag.g_00972
OG0000292	Prbe.g_01594	Syag.g_02265
OG0000293	Prbe.g_01559	Syag.g_01155
OG0000294	Prbe.g_01558	Syag.g_01154
OG0000295	Prbe.g_01535	Syag.g_01115
OG0000296	Prbe.g_01533	Syag.g_01113
OG0000297	Prbe.g_01524	Syag.g_01099
OG0000298	Prbe.g_01523	Syag.g_01098
OG0000299	Prbe.g_01504	Syag.g_01067
OG0000301	Prbe.g_01500	Syag.g_01061
OG0000302	Prbe.g_01498	Syag.g_01060
OG0000303	Prbe.g_01492	Syag.g_01048
OG0000304	Prbe.g_00501	Syag.g_01041
OG0000305	Prbe.g_01592	Syag.g_00977
OG0000306	Prbe.g_01286	Syag.g_00460
OG0000307	Prbe.g_00364	Syag.g_01546
OG0000308	Prbe.g_00363	Syag.g_01548
OG0000309	Prbe.g_00359	Syag.g_01553
OG0000310	Prbe.g_00325	Syag.g_01291
OG0000311	Prbe.g_00323	Syag.g_01300
OG0000312	Prbe.g_00320	Syag.g_01434
OG0000313	Prbe.g_00307	Syag.g_00966, Syag.g_01412
OG0000314	Prbe.g_00284	Syag.g_01380
OG0000315	Prbe.g_00274	Syag.g_01369
OG0000316	Prbe.g_00249	Syag.g_01641
OG0000317	Prbe.g_00988	Syag.g_01684
OG0000318	Prbe.g_00984	Syag.g_01688
OG0000319	Prbe.g_00971	Syag.g_01710
OG0000320	Prbe.g_00969	Syag.g_01712
OG0000321	Prbe.g_00968	Syag.g_01713
OG0000322	Prbe.g_00967	Syag.g_01714
OG0000323	Prbe.g_00958	Syag.g_01728
OG0000324	Prbe.g_00931	Syag.g_01757
OG0000325	Prbe.g_00920	Syag.g_02690
OG0000326	Prbe.g_01109	Syag.g_02698
OG0000327	Prbe.g_01088	Syag.g_02728
OG0000328	Prbe.g_01087	Syag.g_02729
OG0000329	Prbe.g_00860	Syag.g_02747
OG0000330	Prbe.g_00859	Syag.g_02748
OG0000331	Prbe.g_00858	Syag.g_02749
OG0000332	Prbe.g_00844	Syag.g_02764
OG0000333	Prbe.g_00842	Syag.g_02767
OG0000334	Prbe.g_00833	Syag.g_02777
OG0000335	Prbe.g_00828	Syag.g_02782
OG0000336	Prbe.g_00824	Syag.g_02786
OG0000337	Prbe.g_00806	Syag.g_02445
OG0000338	Prbe.g_00805	Syag.g_02440
OG0000340	Prbe.g_00790	Syag.g_02416
OG0000341	Prbe.g_00788	Syag.g_02414
OG0000342	Prbe.g_00787	Syag.g_02413
OG0000343	Prbe.g_00786	Syag.g_02411
OG0000344	Prbe.g_00783	Syag.g_02407
OG0000345	Prbe.g_00777	Syag.g_02397
OG0000346	Prbe.g_00773	Syag.g_02392
OG0000347	Prbe.g_00746	Syag.g_02366
OG0000348	Prbe.g_00754	Syag.g_02357
OG0000349	Prbe.g_01149	Syag.g_02330
OG0000350	Prbe.g_00709	Syag.g_02705
OG0000351	Prbe.g_01189	Syag.g_02244
OG0000352	Prbe.g_01190	Syag.g_02245
OG0000353	Prbe.g_01064	Syag.g_02271
OG0000355	Prbe.g_01066	Syag.g_02273
OG0000356	Prbe.g_01067	Syag.g_02274
OG0000357	Prbe.g_01068	Syag.g_02275
OG0000358	Prbe.g_01072	Syag.g_02279
OG0000359	Prbe.g_01073	Syag.g_02281
OG0000360	Prbe.g_01074	Syag.g_02282
OG0000361	Prbe.g_01075	Syag.g_02283
OG0000362	Prbe.g_01077	Syag.g_02285
OG0000363	Prbe.g_00114	Syag.g_02287
OG0000364	Prbe.g_00115	Syag.g_02288
OG0000365	Prbe.g_00120	Syag.g_02297
OG0000366	Prbe.g_00121	Syag.g_02298
OG0000367	Prbe.g_00122	Syag.g_02299
OG0000368	Prbe.g_00124	Syag.g_02301
OG0000369	Prbe.g_00125	Syag.g_02302
OG0000370	Prbe.g_00126	Syag.g_02303
OG0000371	Prbe.g_00133	Syag.g_02312
OG0000372	Prbe.g_00136	Syag.g_02317
OG0000373	Prbe.g_00137	Syag.g_02318
OG0000374	Prbe.g_00138	Syag.g_02319
OG0000375	Prbe.g_00140	Syag.g_02326
OG0000376	Prbe.g_00142	Syag.g_02328
OG0000377	Prbe.g_00146	Syag.g_02119
OG0000378	Prbe.g_00150	Syag.g_02099
OG0000379	Prbe.g_00153	Syag.g_02091
OG0000380	Prbe.g_00170	Syag.g_01817
OG0000381	Prbe.g_00175	Syag.g_01820
OG0000382	Prbe.g_00185	Syag.g_01838
OG0000383	Prbe.g_00187	Syag.g_01843
OG0000384	Prbe.g_00188	Syag.g_01844
OG0000385	Prbe.g_00189	Syag.g_01845
OG0000386	Prbe.g_00190	Syag.g_01846
OG0000387	Prbe.g_01640	Syag.g_01876
OG0000388	Prbe.g_01644	Syag.g_01880
OG0000389	Prbe.g_01647	Syag.g_01884
OG0000390	Prbe.g_01657	Syag.g_01903
OG0000391	Prbe.g_01660	Syag.g_01908
OG0000392	Prbe.g_01664	Syag.g_01914
OG0000393	Prbe.g_01667	Syag.g_01917
OG0000394	Prbe.g_01668	Syag.g_01918
OG0000395	Prbe.g_01669	Syag.g_01919
OG0000396	Prbe.g_01671	Syag.g_01922
OG0000397	Prbe.g_01673	Syag.g_01924
OG0000398	Prbe.g_01676	Syag.g_01929
OG0000399	Prbe.g_01677	Syag.g_01930
OG0000400	Prbe.g_01678	Syag.g_01931
OG0000401	Prbe.g_01679	Syag.g_01932
OG0000402	Prbe.g_01412	Syag.g_01934
OG0000403	Prbe.g_01681	Syag.g_01935
OG0000404	Prbe.g_01682	Syag.g_01937
OG0000405	Prbe.g_01686	Syag.g_01949
OG0000406	Prbe.g_01694	Syag.g_01953
OG0000407	Prbe.g_01695	Syag.g_01954
OG0000408	Prbe.g_01697	Syag.g_01956
OG0000409	Prbe.g_01699	Syag.g_01958
OG0000410	Prbe.g_01700	Syag.g_01959
OG0000411	Prbe.g_01701	Syag.g_01960
OG0000412	Prbe.g_01702	Syag.g_01961
OG0000413	Prbe.g_01704	Syag.g_01963
OG0000414	Prbe.g_01705	Syag.g_01964
OG0000415	Prbe.g_01706	Syag.g_01965
OG0000416	Prbe.g_01707	Syag.g_01966
OG0000417	Prbe.g_01708	Syag.g_01967
OG0000418	Prbe.g_01713	Syag.g_01973
OG0000419	Prbe.g_01715	Syag.g_01975
OG0000420	Prbe.g_01716	Syag.g_01977
OG0000421	Prbe.g_01721	Syag.g_01982
OG0000422	Prbe.g_01722	Syag.g_01983
OG0000423	Prbe.g_01723	Syag.g_01984
OG0000424	Prbe.g_01724	Syag.g_01985
OG0000425	Prbe.g_01725	Syag.g_01986
OG0000426	Prbe.g_01726	Syag.g_01987
OG0000427	Prbe.g_01727	Syag.g_01988
OG0000428	Prbe.g_01729	Syag.g_01991
OG0000429	Prbe.g_01730	Syag.g_01993
OG0000430	Prbe.g_01731	Syag.g_01995
OG0000431	Prbe.g_01733	Syag.g_01998
OG0000432	Prbe.g_01737	Syag.g_02007
OG0000433	Prbe.g_01738	Syag.g_02009
OG0000434	Prbe.g_01739	Syag.g_02010
OG0000435	Prbe.g_01740	Syag.g_02017
OG0000436	Prbe.g_01745	Syag.g_02028
OG0000437	Prbe.g_01746	Syag.g_02029
OG0000438	Prbe.g_01747	Syag.g_02031
OG0000439	Prbe.g_01749	Syag.g_02033
OG0000440	Prbe.g_01750	Syag.g_02034
OG0000441	Prbe.g_01753	Syag.g_02041
OG0000442	Prbe.g_01754	Syag.g_02044
OG0000443	Prbe.g_01755	Syag.g_02046
OG0000444	Prbe.g_01761	Syag.g_02053
OG0000445	Prbe.g_01762	Syag.g_02054
OG0000446	Prbe.g_01763	Syag.g_02056
OG0000447	Prbe.g_01764	Syag.g_02059
OG0000448	Prbe.g_01765	Syag.g_02060
OG0000449	Prbe.g_01766	Syag.g_02061
OG0000450	Prbe.g_01767	Syag.g_02066
OG0000451	Prbe.g_01768	Syag.g_02067
OG0000452	Prbe.g_01771	Syag.g_02071
OG0000453	Prbe.g_01772	Syag.g_02072
OG0000454	Prbe.g_01773	Syag.g_02073
OG0000455	Prbe.g_01774	Syag.g_02074
OG0000456	Prbe.g_01775	Syag.g_02075
OG0000457	Prbe.g_01777	Syag.g_02077
OG0000458	Prbe.g_01778	Syag.g_02080
OG0000459	Prbe.g_01779	Syag.g_02081
OG0000460	Prbe.g_01787	Syag.g_01786
OG0000461	Prbe.g_01795	Syag.g_02675
OG0000462	Prbe.g_01797	Syag.g_02672
OG0000463	Prbe.g_01798	Syag.g_02671
OG0000464	Prbe.g_01799	Syag.g_02670
OG0000465	Prbe.g_01800	Syag.g_02668
OG0000466	Prbe.g_01803	Syag.g_02662
OG0000467	Prbe.g_01804	Syag.g_02660
OG0000468	Prbe.g_01807	Syag.g_02636
OG0000469	Prbe.g_01815	Syag.g_02621
OG0000470	Prbe.g_01817	Syag.g_02619
OG0000471	Prbe.g_01818	Syag.g_02618
OG0000472	Prbe.g_01820	Syag.g_02616
OG0000473	Prbe.g_01822	Syag.g_02614
OG0000474	Prbe.g_01823	Syag.g_02613
OG0000475	Prbe.g_01824	Syag.g_02612
OG0000476	Prbe.g_01826	Syag.g_02610
OG0000477	Prbe.g_01829	Syag.g_02604
OG0000478	Prbe.g_01830	Syag.g_02603
OG0000479	Prbe.g_01831	Syag.g_02602
OG0000480	Prbe.g_01836	Syag.g_02595
OG0000481	Prbe.g_01839	Syag.g_02593
OG0000482	Prbe.g_01840	Syag.g_02592
OG0000483	Prbe.g_01843	Syag.g_02588
OG0000484	Prbe.g_01844	Syag.g_02587
OG0000485	Prbe.g_01846	Syag.g_02586
OG0000486	Prbe.g_01847	Syag.g_02585
OG0000487	Prbe.g_01850	Syag.g_02579
OG0000488	Prbe.g_01853	Syag.g_02575
OG0000489	Prbe.g_01858	Syag.g_02565
OG0000490	Prbe.g_01862	Syag.g_02553
OG0000491	Prbe.g_01863	Syag.g_02551
OG0000492	Prbe.g_01865	Syag.g_02549
OG0000493	Prbe.g_01866	Syag.g_02548
OG0000494	Prbe.g_01867	Syag.g_02547
OG0000495	Prbe.g_01868	Syag.g_02546
OG0000496	Prbe.g_01869	Syag.g_02545
OG0000497	Prbe.g_01870	Syag.g_02544
OG0000498	Prbe.g_01871	Syag.g_02543
OG0000499	Prbe.g_01872	Syag.g_02542
OG0000500	Prbe.g_01873	Syag.g_02541
OG0000501	Prbe.g_01874	Syag.g_02538
OG0000502	Prbe.g_01877	Syag.g_02467
OG0000503	Prbe.g_01892	Syag.g_02843
OG0000504	Prbe.g_01894	Syag.g_02845
OG0000505	Prbe.g_01895	Syag.g_02846
OG0000506	Prbe.g_01896	Syag.g_02849
OG0000507	Prbe.g_01899	Syag.g_02855
OG0000508	Prbe.g_01903	Syag.g_02860
OG0000509	Prbe.g_01905	Syag.g_02862
OG0000510	Prbe.g_01906	Syag.g_02863
OG0000511	Prbe.g_01907	Syag.g_02864
OG0000512	Prbe.g_01909	Syag.g_02866
OG0000513	Prbe.g_01918	Syag.g_00009
OG0000514	Prbe.g_01929	Syag.g_00018
OG0000515	Prbe.g_01930	Syag.g_00019
OG0000516	Prbe.g_01931	Syag.g_00025
OG0000517	Prbe.g_01933	Syag.g_00032
OG0000518	Prbe.g_01944	Syag.g_00044
OG0000519	Prbe.g_01945	Syag.g_00045
OG0000520	Prbe.g_01946	Syag.g_00046
OG0000521	Prbe.g_00676	Syag.g_00054
OG0000522	Prbe.g_00674	Syag.g_00056
OG0000523	Prbe.g_00673	Syag.g_00057
OG0000524	Prbe.g_00668	Syag.g_01327
OG0000525	Prbe.g_00664	Syag.g_01345
OG0000526	Prbe.g_00663	Syag.g_01348
OG0000527	Prbe.g_00660	Syag.g_01354
OG0000528	Prbe.g_00655	Syag.g_01532
OG0000529	Prbe.g_00652	Syag.g_01527
OG0000530	Prbe.g_00649	Syag.g_01524
OG0000531	Prbe.g_00648	Syag.g_01523
OG0000532	Prbe.g_00646	Syag.g_01520
OG0000533	Prbe.g_00645	Syag.g_01518
OG0000534	Prbe.g_00644	Syag.g_01517
OG0000535	Prbe.g_00643	Syag.g_01516
OG0000536	Prbe.g_00642	Syag.g_01515
OG0000537	Prbe.g_00641	Syag.g_01514
OG0000538	Prbe.g_00632	Syag.g_01502
OG0000539	Prbe.g_00631	Syag.g_01501
OG0000540	Prbe.g_00630	Syag.g_01500
OG0000541	Prbe.g_00629	Syag.g_01499
OG0000542	Prbe.g_00628	Syag.g_01496
OG0000543	Prbe.g_00626	Syag.g_01494
OG0000544	Prbe.g_00625	Syag.g_01493
OG0000545	Prbe.g_00623	Syag.g_01491
OG0000546	Prbe.g_00620	Syag.g_01489
OG0000547	Prbe.g_00618	Syag.g_01487
OG0000548	Prbe.g_00617	Syag.g_01486
OG0000549	Prbe.g_00615	Syag.g_01480
OG0000550	Prbe.g_00611	Syag.g_01474
OG0000551	Prbe.g_00608	Syag.g_01470
OG0000552	Prbe.g_00607	Syag.g_01469
OG0000553	Prbe.g_00606	Syag.g_01464
OG0000554	Prbe.g_00601	Syag.g_01453
OG0000555	Prbe.g_00593	Syag.g_00075
OG0000556	Prbe.g_00591	Syag.g_00257
OG0000557	Prbe.g_00590	Syag.g_00267
OG0000558	Prbe.g_00588	Syag.g_00269
OG0000559	Prbe.g_00584	Syag.g_00273
OG0000560	Prbe.g_00581	Syag.g_00276
OG0000561	Prbe.g_00580	Syag.g_00277
OG0000562	Prbe.g_00579	Syag.g_00278
OG0000563	Prbe.g_00578	Syag.g_00279
OG0000564	Prbe.g_00577	Syag.g_00280
