Orthogroup	Prae	Syan
OG0000568	Prae.g_00543	Syan.g_00874
OG0000569	Prae.g_00544	Syan.g_00875
OG0000570	Prae.g_00545	Syan.g_00876
OG0000571	Prae.g_00547	Syan.g_00879
OG0000572	Prae.g_00560	Syan.g_00954
OG0000573	Prae.g_00566	Syan.g_00963
OG0000574	Prae.g_00567	Syan.g_00965
OG0000575	Prae.g_00571	Syan.g_01003
OG0000576	Prae.g_00573	Syan.g_01007
OG0000577	Prae.g_00574	Syan.g_01008
OG0000578	Prae.g_00575	Syan.g_01009
OG0000579	Prae.g_00576	Syan.g_01010
OG0000580	Prae.g_00577	Syan.g_01011
OG0000581	Prae.g_00579	Syan.g_01018
OG0000582	Prae.g_00582	Syan.g_01030
OG0000583	Prae.g_00583	Syan.g_01029
OG0000584	Prae.g_00584	Syan.g_01028
OG0000585	Prae.g_00586	Syan.g_01024
OG0000586	Prae.g_00587	Syan.g_01022
OG0000587	Prae.g_00588	Syan.g_01020
OG0000588	Prae.g_00592	Syan.g_00215
OG0000589	Prae.g_00595	Syan.g_00016
OG0000590	Prae.g_00596	Syan.g_00015
OG0000591	Prae.g_00599	Syan.g_00003
OG0000592	Prae.g_00600	Syan.g_00002
OG0000593	Prae.g_00606	Syan.g_00820
OG0000594	Prae.g_00607	Syan.g_00819
OG0000595	Prae.g_00608	Syan.g_00818
OG0000596	Prae.g_00612	Syan.g_00813
OG0000597	Prae.g_00614	Syan.g_00810
OG0000598	Prae.g_00615	Syan.g_00809
OG0000599	Prae.g_00618	Syan.g_00802
OG0000600	Prae.g_00619	Syan.g_00801
