Orthogroup	Prae	Syap
OG0000143	Prae.g_00613	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prae.g_00626	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prae.g_00766	Syap.g_01860, Syap.g_01859
OG0000146	Prae.g_00771	Syap.g_02024
OG0000147	Prae.g_00772	Syap.g_02025
OG0000148	Prae.g_00822	Syap.g_02720
OG0000149	Prae.g_00852	Syap.g_00824
OG0000150	Prae.g_00860	Syap.g_01540
OG0000151	Prae.g_00918	Syap.g_00142
OG0000152	Prae.g_00964	Syap.g_02012
OG0000153	Prae.g_00983	Syap.g_02682
OG0000154	Prae.g_01014	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Prae.g_01183	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Prae.g_01317	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Prae.g_01318	Syap.g_00249, Syap.g_00286
OG0000158	Prae.g_01426	Syap.g_01075
OG0000159	Prae.g_01438	Syap.g_00852
OG0000160	Prae.g_01460	Syap.g_02470, Syap.g_02469
OG0000161	Prae.g_01466	Syap.g_02476
OG0000162	Prae.g_01472	Syap.g_02531
OG0000164	Prae.g_01647	Syap.g_01391, Syap.g_01392
OG0000165	Prae.g_01654	Syap.g_01381, Syap.g_01382
OG0000166	Prae.g_01722	Syap.g_00512, Syap.g_01238
OG0000167	Prae.g_01789	Syap.g_02080
OG0000168	Prae.g_01799	Syap.g_01076
OG0000169	Prae.g_01809	Syap.g_01049, Syap.g_01093
OG0000170	Prae.g_01811	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Prae.g_01830	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Prae.g_01838	Syap.g_01143, Syap.g_00635
OG0000173	Prae.g_01853	Syap.g_00982, Syap.g_00983
OG0000174	Prae.g_01881	Syap.g_02092
OG0000175	Prae.g_01891	Syap.g_02654
OG0000176	Prae.g_00004	Syap.g_00059
OG0000177	Prae.g_00005	Syap.g_00061, Syap.g_00060
OG0000178	Prae.g_00006	Syap.g_00062
OG0000179	Prae.g_00016	Syap.g_00077, Syap.g_02638
OG0000180	Prae.g_00017	Syap.g_00078, Syap.g_02640
OG0000181	Prae.g_00018	Syap.g_00079, Syap.g_02641
OG0000182	Prae.g_00019	Syap.g_00080, Syap.g_02642
OG0000183	Prae.g_00023	Syap.g_00084
OG0000184	Prae.g_00048	Syap.g_01337
OG0000185	Prae.g_00051	Syap.g_01322
OG0000186	Prae.g_00064	Syap.g_01684
OG0000187	Prae.g_00065	Syap.g_01686
OG0000188	Prae.g_00082	Syap.g_02547
OG0000191	Prae.g_00117	Syap.g_02233
OG0000192	Prae.g_00121	Syap.g_02224
OG0000193	Prae.g_00149	Syap.g_02187, Syap.g_02188
OG0000194	Prae.g_00152	Syap.g_02183
OG0000195	Prae.g_00154	Syap.g_02180
OG0000196	Prae.g_00164	Syap.g_01208, Syap.g_02167
OG0000197	Prae.g_00165	Syap.g_01207, Syap.g_02166
OG0000198	Prae.g_00166	Syap.g_01206
OG0000199	Prae.g_00173	Syap.g_01197
OG0000200	Prae.g_00187	Syap.g_01181
OG0000201	Prae.g_00195	Syap.g_02265
OG0000202	Prae.g_00196	Syap.g_02264
OG0000203	Prae.g_00197	Syap.g_01601
OG0000204	Prae.g_00198	Syap.g_01602
OG0000205	Prae.g_00205	Syap.g_01616
OG0000206	Prae.g_00210	Syap.g_01628
OG0000207	Prae.g_00212	Syap.g_01426, Syap.g_00424
OG0000208	Prae.g_00213	Syap.g_00426, Syap.g_01425
OG0000209	Prae.g_00222	Syap.g_01906
OG0000210	Prae.g_00223	Syap.g_01905
OG0000211	Prae.g_00236	Syap.g_01160
OG0000212	Prae.g_00243	Syap.g_02664
OG0000213	Prae.g_00260	Syap.g_00107, Syap.g_01599
OG0000214	Prae.g_00270	Syap.g_02344, Syap.g_02345
OG0000215	Prae.g_00293	Syap.g_01347, Syap.g_01629
OG0000216	Prae.g_00295	Syap.g_01634
OG0000217	Prae.g_00298	Syap.g_01638
OG0000218	Prae.g_00300	Syap.g_01641, Syap.g_01640
OG0000219	Prae.g_00301	Syap.g_01642, Syap.g_01643
OG0000220	Prae.g_00302	Syap.g_01645
OG0000221	Prae.g_00303	Syap.g_01646
OG0000222	Prae.g_00311	Syap.g_01669
OG0000223	Prae.g_00324	Syap.g_02072, Syap.g_02073
OG0000224	Prae.g_00326	Syap.g_02064
OG0000225	Prae.g_00345	Syap.g_00553, Syap.g_00552
OG0000226	Prae.g_00349	Syap.g_02029, Syap.g_02144
OG0000227	Prae.g_00351	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Prae.g_00354	Syap.g_00116, Syap.g_02041
OG0000229	Prae.g_00410	Syap.g_02059
OG0000230	Prae.g_00412	Syap.g_02061
OG0000231	Prae.g_00423	Syap.g_02533
OG0000232	Prae.g_00432	Syap.g_02510, Syap.g_02511
OG0000233	Prae.g_00437	Syap.g_02133
OG0000234	Prae.g_00450	Syap.g_02755
OG0000235	Prae.g_00453	Syap.g_00732, Syap.g_02258
OG0000236	Prae.g_00467	Syap.g_02238
OG0000237	Prae.g_00480	Syap.g_00262, Syap.g_00263
OG0000238	Prae.g_00486	Syap.g_00257, Syap.g_00258
OG0000239	Prae.g_00499	Syap.g_02744
OG0000240	Prae.g_00500	Syap.g_02742
OG0000241	Prae.g_00504	Syap.g_00888
OG0000242	Prae.g_00506	Syap.g_01455
OG0000243	Prae.g_00518	Syap.g_01938
OG0000244	Prae.g_00521	Syap.g_01146, Syap.g_01145
OG0000245	Prae.g_00523	Syap.g_01148
OG0000246	Prae.g_00527	Syap.g_00308
OG0000247	Prae.g_00537	Syap.g_00288, Syap.g_00293
OG0000248	Prae.g_00539	Syap.g_00290
OG0000249	Prae.g_00541	Syap.g_01296, Syap.g_01295
OG0000250	Prae.g_00546	Syap.g_01306
OG0000251	Prae.g_00565	Syap.g_00442
OG0000252	Prae.g_00568	Syap.g_01857
OG0000253	Prae.g_00569	Syap.g_00443
OG0000254	Prae.g_00585	Syap.g_01527, Syap.g_01528
OG0000256	Prae.g_00601	Syap.g_01287
OG0000257	Prae.g_00604	Syap.g_00886
OG0000258	Prae.g_00617	Syap.g_00907
OG0000260	Prae.g_00637	Syap.g_01970
OG0000261	Prae.g_00639	Syap.g_01962, Syap.g_01961
OG0000262	Prae.g_00643	Syap.g_01954
OG0000263	Prae.g_00655	Syap.g_00432, Syap.g_00433
OG0000266	Prae.g_00721	Syap.g_00519
OG0000267	Prae.g_00732	Syap.g_02333, Syap.g_02332
OG0000268	Prae.g_00733	Syap.g_00646
OG0000269	Prae.g_00801	Syap.g_00188
OG0000270	Prae.g_00804	Syap.g_00192
OG0000271	Prae.g_00812	Syap.g_00200, Syap.g_00201
OG0000272	Prae.g_00813	Syap.g_00202
OG0000273	Prae.g_00836	Syap.g_02703
OG0000274	Prae.g_00837	Syap.g_02702
OG0000275	Prae.g_00839	Syap.g_01847
OG0000276	Prae.g_00844	Syap.g_01838, Syap.g_01839
OG0000277	Prae.g_00845	Syap.g_01837
OG0000278	Prae.g_00848	Syap.g_01834
OG0000279	Prae.g_00855	Syap.g_00829, Syap.g_00830
OG0000280	Prae.g_00856	Syap.g_00365
OG0000281	Prae.g_00861	Syap.g_01977
OG0000282	Prae.g_00910	Syap.g_01252
OG0000283	Prae.g_00941	Syap.g_01728
OG0000284	Prae.g_00946	Syap.g_01736
OG0000285	Prae.g_00951	Syap.g_01746, Syap.g_01744
OG0000286	Prae.g_00963	Syap.g_02014, Syap.g_02013
OG0000288	Prae.g_01013	Syap.g_02764, Syap.g_02763
OG0000289	Prae.g_01024	Syap.g_02784
OG0000290	Prae.g_01037	Syap.g_01552
OG0000292	Prae.g_01090	Syap.g_02314
OG0000293	Prae.g_01154	Syap.g_00240
OG0000294	Prae.g_01155	Syap.g_00239
OG0000295	Prae.g_01175	Syap.g_00206
OG0000296	Prae.g_01177	Syap.g_00204
OG0000299	Prae.g_01203	Syap.g_02620
OG0000302	Prae.g_01209	Syap.g_02444, Syap.g_02445
OG0000303	Prae.g_01216	Syap.g_02435
OG0000304	Prae.g_01220	Syap.g_02430
OG0000305	Prae.g_01360	Syap.g_01557
OG0000306	Prae.g_01363	Syap.g_01966
OG0000307	Prae.g_01377	Syap.g_02517
OG0000308	Prae.g_01378	Syap.g_02514, Syap.g_02515
OG0000309	Prae.g_01382	Syap.g_02198, Syap.g_02446
OG0000310	Prae.g_01444	Syap.g_02660, Syap.g_02661
OG0000311	Prae.g_01446	Syap.g_02657
OG0000312	Prae.g_01449	Syap.g_02114
OG0000313	Prae.g_01463	Syap.g_02473
OG0000315	Prae.g_01496	Syap.g_00017
OG0000316	Prae.g_01516	Syap.g_00030
OG0000317	Prae.g_01621	Syap.g_00618
OG0000318	Prae.g_01624	Syap.g_00622, Syap.g_02786
OG0000319	Prae.g_01637	Syap.g_01764, Syap.g_01771
OG0000320	Prae.g_01639	Syap.g_01761, Syap.g_01769
OG0000321	Prae.g_01640	Syap.g_01760, Syap.g_01768
OG0000322	Prae.g_01641	Syap.g_01759, Syap.g_01767
OG0000323	Prae.g_01650	Syap.g_01389
OG0000324	Prae.g_01676	Syap.g_01503
OG0000325	Prae.g_01687	Syap.g_02680
OG0000326	Prae.g_01693	Syap.g_00544
OG0000327	Prae.g_01717	Syap.g_01233, Syap.g_01913
OG0000328	Prae.g_01718	Syap.g_01234, Syap.g_01912
OG0000329	Prae.g_01735	Syap.g_00498
OG0000330	Prae.g_01736	Syap.g_00497
OG0000331	Prae.g_01737	Syap.g_00496
OG0000332	Prae.g_01751	Syap.g_00481
OG0000333	Prae.g_01753	Syap.g_00478
OG0000334	Prae.g_01761	Syap.g_00468
OG0000335	Prae.g_01767	Syap.g_00101, Syap.g_00463
OG0000336	Prae.g_01771	Syap.g_00417, Syap.g_00607
OG0000337	Prae.g_01787	Syap.g_01054
OG0000338	Prae.g_01788	Syap.g_01059
OG0000339	Prae.g_01792	Syap.g_01068
OG0000340	Prae.g_01800	Syap.g_01077
OG0000341	Prae.g_01802	Syap.g_01079
OG0000342	Prae.g_01803	Syap.g_01080, Syap.g_02477
OG0000343	Prae.g_01804	Syap.g_01086, Syap.g_02078
OG0000344	Prae.g_01807	Syap.g_01091
OG0000345	Prae.g_01812	Syap.g_01107, Syap.g_01470
OG0000346	Prae.g_01816	Syap.g_01113
OG0000347	Prae.g_01832	Syap.g_01131, Syap.g_02459
OG0000348	Prae.g_01841	Syap.g_00632
OG0000349	Prae.g_01858	Syap.g_00110, Syap.g_01813
OG0000351	Prae.g_01894	Syap.g_02594
OG0000352	Prae.g_01895	Syap.g_02596, Syap.g_02597
OG0000353	Prae.g_01910	Syap.g_00054
OG0000354	Prae.g_00689	Syap.g_00075, Syap.g_02635
OG0000355	Prae.g_00001	Syap.g_00056
OG0000356	Prae.g_00002	Syap.g_00057
OG0000357	Prae.g_00003	Syap.g_00058
OG0000358	Prae.g_00007	Syap.g_00063
OG0000359	Prae.g_00008	Syap.g_00065
OG0000360	Prae.g_00009	Syap.g_00067
OG0000361	Prae.g_00010	Syap.g_00068
OG0000362	Prae.g_00012	Syap.g_00070
OG0000363	Prae.g_00014	Syap.g_00072
OG0000364	Prae.g_00015	Syap.g_00620
OG0000365	Prae.g_00020	Syap.g_00081
OG0000366	Prae.g_00021	Syap.g_00082
OG0000367	Prae.g_00022	Syap.g_00083
OG0000368	Prae.g_00024	Syap.g_00085
OG0000369	Prae.g_00025	Syap.g_00086
OG0000370	Prae.g_00026	Syap.g_00087
OG0000372	Prae.g_00035	Syap.g_01805
OG0000373	Prae.g_00036	Syap.g_01806
OG0000374	Prae.g_00037	Syap.g_01807
OG0000375	Prae.g_00042	Syap.g_01808
OG0000376	Prae.g_00044	Syap.g_01811
OG0000377	Prae.g_00047	Syap.g_00128
OG0000378	Prae.g_00049	Syap.g_01326
OG0000380	Prae.g_00066	Syap.g_01687
OG0000381	Prae.g_00070	Syap.g_01690
OG0000382	Prae.g_00081	Syap.g_02548
OG0000383	Prae.g_00083	Syap.g_02359
OG0000384	Prae.g_00084	Syap.g_02360
OG0000385	Prae.g_00085	Syap.g_02361
OG0000386	Prae.g_00086	Syap.g_02362
OG0000387	Prae.g_00099	Syap.g_01864
OG0000391	Prae.g_00116	Syap.g_02234
OG0000392	Prae.g_00120	Syap.g_02225
OG0000393	Prae.g_00122	Syap.g_02222
OG0000394	Prae.g_00123	Syap.g_02221
OG0000395	Prae.g_00124	Syap.g_02220
OG0000396	Prae.g_00127	Syap.g_02217
OG0000397	Prae.g_00129	Syap.g_02215
OG0000398	Prae.g_00131	Syap.g_02211
OG0000399	Prae.g_00132	Syap.g_02210
OG0000400	Prae.g_00133	Syap.g_02209
OG0000401	Prae.g_00134	Syap.g_02208
OG0000402	Prae.g_00136	Syap.g_02206
OG0000403	Prae.g_00137	Syap.g_02205
OG0000404	Prae.g_00138	Syap.g_02204, Syap.g_02618
OG0000405	Prae.g_00142	Syap.g_02191
OG0000406	Prae.g_00150	Syap.g_02186
OG0000407	Prae.g_00151	Syap.g_02185
OG0000408	Prae.g_00153	Syap.g_02181, Syap.g_02182
OG0000409	Prae.g_00155	Syap.g_02179
OG0000410	Prae.g_00156	Syap.g_02178
OG0000411	Prae.g_00157	Syap.g_02177
OG0000412	Prae.g_00158	Syap.g_02176
OG0000413	Prae.g_00159	Syap.g_02174
OG0000414	Prae.g_00160	Syap.g_02173
OG0000415	Prae.g_00161	Syap.g_02172
OG0000416	Prae.g_00162	Syap.g_02171
OG0000417	Prae.g_00163	Syap.g_02169
OG0000418	Prae.g_00168	Syap.g_01204
OG0000419	Prae.g_00170	Syap.g_01201
OG0000420	Prae.g_00171	Syap.g_01199
OG0000421	Prae.g_00176	Syap.g_01195
OG0000422	Prae.g_00177	Syap.g_01194
OG0000423	Prae.g_00178	Syap.g_01193
OG0000424	Prae.g_00179	Syap.g_01192
OG0000425	Prae.g_00180	Syap.g_01191
OG0000426	Prae.g_00181	Syap.g_01190
OG0000427	Prae.g_00182	Syap.g_01189
OG0000428	Prae.g_00184	Syap.g_01186
OG0000429	Prae.g_00185	Syap.g_01184
OG0000430	Prae.g_00186	Syap.g_01182
OG0000431	Prae.g_00188	Syap.g_01179
OG0000432	Prae.g_00191	Syap.g_02277
OG0000433	Prae.g_00192	Syap.g_02272
OG0000434	Prae.g_00193	Syap.g_02271
OG0000435	Prae.g_00194	Syap.g_02268
OG0000436	Prae.g_00199	Syap.g_01607
OG0000437	Prae.g_00200	Syap.g_01608
OG0000438	Prae.g_00201	Syap.g_01612
OG0000439	Prae.g_00203	Syap.g_01614
OG0000440	Prae.g_00204	Syap.g_01615
OG0000441	Prae.g_00207	Syap.g_01619
OG0000442	Prae.g_00208	Syap.g_01620
OG0000443	Prae.g_00209	Syap.g_01622
OG0000444	Prae.g_00214	Syap.g_01424
OG0000445	Prae.g_00215	Syap.g_01421
OG0000446	Prae.g_00216	Syap.g_01419
OG0000447	Prae.g_00217	Syap.g_01410
OG0000448	Prae.g_00218	Syap.g_01407
OG0000449	Prae.g_00219	Syap.g_01406
OG0000450	Prae.g_00220	Syap.g_01909
OG0000451	Prae.g_00221	Syap.g_01908
OG0000452	Prae.g_00224	Syap.g_01904
OG0000453	Prae.g_00225	Syap.g_01903
OG0000454	Prae.g_00226	Syap.g_01902
OG0000455	Prae.g_00227	Syap.g_01901
OG0000456	Prae.g_00228	Syap.g_01900
OG0000457	Prae.g_00229	Syap.g_01896
OG0000458	Prae.g_00230	Syap.g_01895
OG0000459	Prae.g_00231	Syap.g_01894
OG0000460	Prae.g_00238	Syap.g_01159
OG0000461	Prae.g_00245	Syap.g_01575
OG0000462	Prae.g_00247	Syap.g_01578
OG0000463	Prae.g_00248	Syap.g_01579
OG0000464	Prae.g_00249	Syap.g_01580
OG0000465	Prae.g_00250	Syap.g_01582
OG0000466	Prae.g_00253	Syap.g_01587
OG0000467	Prae.g_00254	Syap.g_01588
OG0000468	Prae.g_00256	Syap.g_01593
OG0000469	Prae.g_00265	Syap.g_02352
OG0000470	Prae.g_00267	Syap.g_02349
OG0000471	Prae.g_00268	Syap.g_02348
OG0000472	Prae.g_00269	Syap.g_02347
OG0000473	Prae.g_00271	Syap.g_02343
OG0000474	Prae.g_00272	Syap.g_02342
OG0000475	Prae.g_00273	Syap.g_02341
OG0000476	Prae.g_00274	Syap.g_02339
OG0000477	Prae.g_00276	Syap.g_01367
OG0000478	Prae.g_00277	Syap.g_01366
OG0000479	Prae.g_00278	Syap.g_01364
OG0000480	Prae.g_00283	Syap.g_01357
OG0000482	Prae.g_00286	Syap.g_01355
OG0000483	Prae.g_00289	Syap.g_01344
OG0000484	Prae.g_00290	Syap.g_01350
OG0000485	Prae.g_00291	Syap.g_01349
OG0000487	Prae.g_00296	Syap.g_01635
OG0000488	Prae.g_00299	Syap.g_01639
OG0000489	Prae.g_00304	Syap.g_02482
OG0000490	Prae.g_00309	Syap.g_01673
OG0000491	Prae.g_00310	Syap.g_01670
OG0000492	Prae.g_00312	Syap.g_01668
OG0000493	Prae.g_00313	Syap.g_01667
OG0000494	Prae.g_00314	Syap.g_01666
OG0000495	Prae.g_00315	Syap.g_01665
OG0000496	Prae.g_00316	Syap.g_01663
OG0000497	Prae.g_00317	Syap.g_01662
OG0000498	Prae.g_00318	Syap.g_01661
OG0000499	Prae.g_00319	Syap.g_01660
OG0000500	Prae.g_00320	Syap.g_01659
OG0000501	Prae.g_00322	Syap.g_01656
OG0000502	Prae.g_00325	Syap.g_02066
OG0000503	Prae.g_00335	Syap.g_00569
OG0000504	Prae.g_00336	Syap.g_00567
OG0000505	Prae.g_00337	Syap.g_00566
OG0000506	Prae.g_00338	Syap.g_00564
OG0000507	Prae.g_00341	Syap.g_00558
OG0000508	Prae.g_00344	Syap.g_00554
OG0000509	Prae.g_00346	Syap.g_00551
OG0000510	Prae.g_00347	Syap.g_00550
OG0000511	Prae.g_00348	Syap.g_00548
OG0000512	Prae.g_00350	Syap.g_02145
OG0000513	Prae.g_00357	Syap.g_02048
OG0000514	Prae.g_00405	Syap.g_02051
OG0000515	Prae.g_00406	Syap.g_02052
OG0000516	Prae.g_00407	Syap.g_02054
OG0000517	Prae.g_00409	Syap.g_02057
OG0000519	Prae.g_00421	Syap.g_00457
OG0000520	Prae.g_00422	Syap.g_00456
OG0000521	Prae.g_00427	Syap.g_01997
OG0000522	Prae.g_00429	Syap.g_01995
OG0000523	Prae.g_00430	Syap.g_02507
OG0000524	Prae.g_00435	Syap.g_02135
OG0000525	Prae.g_00438	Syap.g_02159
OG0000526	Prae.g_00439	Syap.g_02157
OG0000527	Prae.g_00447	Syap.g_02758
OG0000528	Prae.g_00452	Syap.g_02261
OG0000529	Prae.g_00455	Syap.g_02254
OG0000530	Prae.g_00458	Syap.g_02252
OG0000531	Prae.g_00459	Syap.g_02251
OG0000532	Prae.g_00461	Syap.g_02247
OG0000533	Prae.g_00462	Syap.g_02244
OG0000534	Prae.g_00463	Syap.g_02243
OG0000535	Prae.g_00464	Syap.g_02242
OG0000536	Prae.g_00465	Syap.g_02241
OG0000537	Prae.g_00466	Syap.g_02240
OG0000538	Prae.g_00474	Syap.g_00271
OG0000539	Prae.g_00475	Syap.g_00270
OG0000540	Prae.g_00476	Syap.g_00269
OG0000541	Prae.g_00477	Syap.g_00268
OG0000542	Prae.g_00479	Syap.g_00264
OG0000543	Prae.g_00481	Syap.g_00261
OG0000544	Prae.g_00482	Syap.g_00260
OG0000545	Prae.g_00484	Syap.g_00259
OG0000546	Prae.g_00487	Syap.g_00256
OG0000547	Prae.g_00489	Syap.g_00254
OG0000548	Prae.g_00490	Syap.g_00253
OG0000549	Prae.g_00492	Syap.g_00758
OG0000550	Prae.g_00497	Syap.g_02747
OG0000551	Prae.g_00501	Syap.g_02739
OG0000552	Prae.g_00502	Syap.g_02738
OG0000553	Prae.g_00503	Syap.g_02735
OG0000554	Prae.g_00509	Syap.g_01450
OG0000555	Prae.g_00517	Syap.g_01941
OG0000556	Prae.g_00519	Syap.g_01933
OG0000557	Prae.g_00520	Syap.g_01931
OG0000558	Prae.g_00522	Syap.g_01147
OG0000560	Prae.g_00529	Syap.g_00305
OG0000561	Prae.g_00530	Syap.g_00304
OG0000562	Prae.g_00531	Syap.g_00302
OG0000563	Prae.g_00532	Syap.g_00301
OG0000564	Prae.g_00533	Syap.g_00300
OG0000565	Prae.g_00536	Syap.g_00296
OG0000566	Prae.g_00538	Syap.g_00291
OG0000567	Prae.g_00542	Syap.g_01297
OG0000568	Prae.g_00543	Syap.g_01302
OG0000569	Prae.g_00544	Syap.g_01303
OG0000570	Prae.g_00545	Syap.g_01304
OG0000571	Prae.g_00547	Syap.g_01307
OG0000573	Prae.g_00566	Syap.g_00765
OG0000574	Prae.g_00567	Syap.g_00759
OG0000575	Prae.g_00571	Syap.g_00445
OG0000576	Prae.g_00573	Syap.g_00450
OG0000577	Prae.g_00574	Syap.g_00451
OG0000578	Prae.g_00575	Syap.g_00452
OG0000579	Prae.g_00576	Syap.g_00453
OG0000580	Prae.g_00577	Syap.g_00454
OG0000581	Prae.g_00579	Syap.g_01521
OG0000582	Prae.g_00582	Syap.g_01533
OG0000583	Prae.g_00583	Syap.g_01532
OG0000584	Prae.g_00584	Syap.g_01530
OG0000585	Prae.g_00586	Syap.g_01526
OG0000586	Prae.g_00587	Syap.g_01525
OG0000587	Prae.g_00588	Syap.g_01523
OG0000588	Prae.g_00592	Syap.g_00776
OG0000589	Prae.g_00595	Syap.g_00941
OG0000590	Prae.g_00596	Syap.g_00940
OG0000591	Prae.g_00599	Syap.g_01289
OG0000592	Prae.g_00600	Syap.g_01288
OG0000593	Prae.g_00606	Syap.g_00890
OG0000594	Prae.g_00607	Syap.g_00891
OG0000595	Prae.g_00608	Syap.g_00892
OG0000596	Prae.g_00612	Syap.g_00898
OG0000597	Prae.g_00614	Syap.g_00903
OG0000598	Prae.g_00615	Syap.g_00904
OG0000599	Prae.g_00618	Syap.g_00908
OG0000600	Prae.g_00619	Syap.g_00909
OG0000601	Prae.g_00620	Syap.g_00910
OG0000602	Prae.g_00622	Syap.g_00640
OG0000603	Prae.g_00623	Syap.g_00641
OG0000604	Prae.g_00624	Syap.g_02769
OG0000605	Prae.g_00625	Syap.g_02501, Syap.g_02771
OG0000606	Prae.g_00628	Syap.g_02506
