Orthogroup	Syaa	Prbc
OG0000061	Syaa.g_00770	Prbc.g_01446
OG0000062	Syaa.g_00571	Prbc.g_00790
OG0000063	Syaa.g_00042	Prbc.g_00932
OG0000065	Syaa.g_02380	Prbc.g_00466
OG0000066	Syaa.g_01968	Prbc.g_01618
OG0000067	Syaa.g_01154	Prbc.g_01858
OG0000068	Syaa.g_02059	Prbc.g_00657
OG0000069	Syaa.g_01497, Syaa.g_01256	Prbc.g_02181, Prbc.g_00752
OG0000070	Syaa.g_00718	Prbc.g_01511
OG0000071	Syaa.g_00735	Prbc.g_00566
OG0000072	Syaa.g_02480	Prbc.g_00400
OG0000073	Syaa.g_02030	Prbc.g_01579
OG0000074	Syaa.g_00372	Prbc.g_02148
OG0000075	Syaa.g_00157	Prbc.g_00236
OG0000076	Syaa.g_00123	Prbc.g_00211
OG0000078	Syaa.g_02103	Prbc.g_00330
OG0000079	Syaa.g_00303	Prbc.g_01148
OG0000080	Syaa.g_00487	Prbc.g_00679
OG0000081	Syaa.g_02089, Syaa.g_01694	Prbc.g_01610
OG0000082	Syaa.g_01905	Prbc.g_00891
OG0000084	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770	Prbc.g_00705
OG0000085	Syaa.g_00564	Prbc.g_00826
OG0000086	Syaa.g_00324	Prbc.g_00485
OG0000087	Syaa.g_02433	Prbc.g_00432
OG0000088	Syaa.g_02474	Prbc.g_00405
OG0000089	Syaa.g_02149	Prbc.g_01268
OG0000090	Syaa.g_01980	Prbc.g_01612
OG0000091	Syaa.g_01625	Prbc.g_01719
OG0000093	Syaa.g_01139	Prbc.g_01843
OG0000094	Syaa.g_01288	Prbc.g_01935
OG0000095	Syaa.g_00879	Prbc.g_02113
OG0000097	Syaa.g_00979	Prbc.g_01400
OG0000098	Syaa.g_01970	Prbc.g_00585
OG0000099	Syaa.g_00202	Prbc.g_01229
OG0000100	Syaa.g_01201	Prbc.g_00785
OG0000101	Syaa.g_02249	Prbc.g_00284
OG0000102	Syaa.g_00118	Prbc.g_00206
OG0000103	Syaa.g_02740	Prbc.g_01053
OG0000104	Syaa.g_02754	Prbc.g_01065
OG0000105	Syaa.g_00270	Prbc.g_01167
OG0000106	Syaa.g_01439	Prbc.g_00134, Prbc.g_00641
OG0000107	Syaa.g_02351	Prbc.g_00934
OG0000108	Syaa.g_02051	Prbc.g_01540
OG0000109	Syaa.g_02036	Prbc.g_01553
OG0000110	Syaa.g_01918	Prbc.g_01654
OG0000111	Syaa.g_00888	Prbc.g_01781
OG0000112	Syaa.g_01366	Prbc.g_02028
OG0000113	Syaa.g_01196	Prbc.g_01882, Prbc.g_00153
OG0000114	Syaa.g_01094	Prbc.g_01977
OG0000115	Syaa.g_01795	Prbc.g_00801
OG0000116	Syaa.g_00757	Prbc.g_01457
OG0000117	Syaa.g_01009	Prbc.g_00102
OG0000118	Syaa.g_01874	Prbc.g_00577
OG0000119	Syaa.g_00785	Prbc.g_00650
OG0000120	Syaa.g_00201	Prbc.g_01753
OG0000121	Syaa.g_01777	Prbc.g_00711
OG0000122	Syaa.g_01598	Prbc.g_00750
OG0000123	Syaa.g_02242	Prbc.g_00277
OG0000124	Syaa.g_00092	Prbc.g_00193
OG0000125	Syaa.g_02598	Prbc.g_00997
OG0000126	Syaa.g_02752	Prbc.g_01063
OG0000127	Syaa.g_00934	Prbc.g_01352, Prbc.g_00621
OG0000127	Syaa.g_00377, Syaa.g_00390	Prbc.g_01367
OG0000128	Syaa.g_00012	Prbc.g_01081
OG0000129	Syaa.g_02586	Prbc.g_01122
OG0000130	Syaa.g_00354	Prbc.g_00504
OG0000131	Syaa.g_02448	Prbc.g_00426
OG0000132	Syaa.g_02472	Prbc.g_00407
OG0000133	Syaa.g_01361	Prbc.g_01214
OG0000134	Syaa.g_02146	Prbc.g_01270
OG0000135	Syaa.g_02649	Prbc.g_02198, Prbc.g_02183
OG0000136	Syaa.g_00708	Prbc.g_01502
OG0000137	Syaa.g_01842	Prbc.g_01534
OG0000138	Syaa.g_02035	Prbc.g_01554
OG0000139	Syaa.g_01974	Prbc.g_01616
OG0000140	Syaa.g_01971	Prbc.g_01617
OG0000141	Syaa.g_01689	Prbc.g_01684
OG0000142	Syaa.g_01633	Prbc.g_01712
OG0000143	Syaa.g_01629	Prbc.g_01716
OG0000144	Syaa.g_01446	Prbc.g_01729
OG0000145	Syaa.g_02029	Prbc.g_02142
OG0000146	Syaa.g_01367	Prbc.g_02027
OG0000147	Syaa.g_01368	Prbc.g_02026
OG0000148	Syaa.g_01190	Prbc.g_01876
OG0000149	Syaa.g_00826	Prbc.g_01908
OG0000150	Syaa.g_01688	Prbc.g_01916
OG0000151	Syaa.g_01107	Prbc.g_01988
OG0000152	Syaa.g_01357	Prbc.g_02036
OG0000153	Syaa.g_01324	Prbc.g_02054
OG0000154	Syaa.g_01298	Prbc.g_02083
OG0000155	Syaa.g_00804	Prbc.g_01424
OG0000156	Syaa.g_00751	Prbc.g_00555
OG0000157	Syaa.g_00750	Prbc.g_00556
OG0000158	Syaa.g_00148	Prbc.g_00228
OG0000160	Syaa.g_01776	Prbc.g_00710
OG0000161	Syaa.g_01782	Prbc.g_00716
OG0000162	Syaa.g_01788	Prbc.g_00722
OG0000163	Syaa.g_00624	Prbc.g_00758
OG0000164	Syaa.g_00507	Prbc.g_00854
OG0000165	Syaa.g_00681	Prbc.g_00862
OG0000166	Syaa.g_02289	Prbc.g_00321
OG0000167	Syaa.g_00160	Prbc.g_00238
OG0000168	Syaa.g_00145	Prbc.g_00227
OG0000169	Syaa.g_00134	Prbc.g_00217
OG0000170	Syaa.g_00128	Prbc.g_00215
OG0000171	Syaa.g_00093	Prbc.g_00194
OG0000172	Syaa.g_00079	Prbc.g_00967
OG0000173	Syaa.g_00060	Prbc.g_00982
OG0000174	Syaa.g_02651	Prbc.g_01013
OG0000175	Syaa.g_02726	Prbc.g_01044
OG0000176	Syaa.g_00004	Prbc.g_01074
OG0000177	Syaa.g_00005	Prbc.g_01075
OG0000178	Syaa.g_00006	Prbc.g_01076
OG0000179	Syaa.g_00023	Prbc.g_01086
OG0000180	Syaa.g_00024	Prbc.g_01087
OG0000181	Syaa.g_00025	Prbc.g_01088
OG0000182	Syaa.g_00026	Prbc.g_01089
OG0000183	Syaa.g_00030	Prbc.g_01093
OG0000184	Syaa.g_02578	Prbc.g_01124
OG0000185	Syaa.g_02575	Prbc.g_01127
OG0000186	Syaa.g_00359	Prbc.g_00509
OG0000187	Syaa.g_00358	Prbc.g_00508
OG0000188	Syaa.g_00334	Prbc.g_00491
OG0000189	Syaa.g_02367	Prbc.g_00477
OG0000190	Syaa.g_02369	Prbc.g_00476
OG0000191	Syaa.g_02404	Prbc.g_00453
OG0000192	Syaa.g_02410	Prbc.g_00449
OG0000193	Syaa.g_02449	Prbc.g_00425
OG0000194	Syaa.g_02452	Prbc.g_00422
OG0000195	Syaa.g_02459	Prbc.g_00420
OG0000196	Syaa.g_02469	Prbc.g_00410
OG0000197	Syaa.g_02470	Prbc.g_00409
OG0000198	Syaa.g_02471	Prbc.g_00408
OG0000199	Syaa.g_02479	Prbc.g_00401
OG0000200	Syaa.g_02496	Prbc.g_00388
OG0000201	Syaa.g_02521	Prbc.g_00379
OG0000202	Syaa.g_02522	Prbc.g_00378
OG0000203	Syaa.g_02523	Prbc.g_00377
OG0000204	Syaa.g_02524	Prbc.g_00376
OG0000205	Syaa.g_02531	Prbc.g_00369
OG0000206	Syaa.g_02538	Prbc.g_00365
OG0000207	Syaa.g_02540	Prbc.g_00363
OG0000208	Syaa.g_02541	Prbc.g_00362
OG0000209	Syaa.g_02556	Prbc.g_00352
OG0000210	Syaa.g_02557	Prbc.g_00351
OG0000211	Syaa.g_02113	Prbc.g_00337
OG0000212	Syaa.g_02102	Prbc.g_00329
OG0000213	Syaa.g_00295	Prbc.g_01153
OG0000214	Syaa.g_00279	Prbc.g_01161
OG0000215	Syaa.g_00248	Prbc.g_01185
OG0000216	Syaa.g_00244	Prbc.g_01186
OG0000217	Syaa.g_00240	Prbc.g_01189
OG0000218	Syaa.g_00238	Prbc.g_01191
OG0000219	Syaa.g_00237	Prbc.g_01192
OG0000220	Syaa.g_00236	Prbc.g_01193
OG0000221	Syaa.g_00229	Prbc.g_01194
OG0000222	Syaa.g_00215	Prbc.g_01202
OG0000223	Syaa.g_00192	Prbc.g_01215
OG0000224	Syaa.g_00183	Prbc.g_01217
OG0000225	Syaa.g_02166	Prbc.g_01257
OG0000226	Syaa.g_02162	Prbc.g_01261
OG0000227	Syaa.g_02160	Prbc.g_01263
OG0000228	Syaa.g_02150	Prbc.g_01267
OG0000229	Syaa.g_00703	Prbc.g_01497
OG0000230	Syaa.g_00705	Prbc.g_01499
OG0000231	Syaa.g_00717	Prbc.g_01510
OG0000232	Syaa.g_01858	Prbc.g_01518
OG0000233	Syaa.g_01853	Prbc.g_01526
OG0000234	Syaa.g_01841	Prbc.g_01535
OG0000235	Syaa.g_02052	Prbc.g_01539
OG0000236	Syaa.g_02037	Prbc.g_01552
OG0000237	Syaa.g_02020	Prbc.g_01586
OG0000238	Syaa.g_02015	Prbc.g_01592
OG0000239	Syaa.g_01996	Prbc.g_01604
OG0000240	Syaa.g_01995	Prbc.g_01605
OG0000241	Syaa.g_01644	Prbc.g_01609
OG0000242	Syaa.g_01982	Prbc.g_01611
OG0000243	Syaa.g_01960	Prbc.g_01622
OG0000244	Syaa.g_01954	Prbc.g_01626
OG0000245	Syaa.g_01952	Prbc.g_01628
OG0000246	Syaa.g_01948	Prbc.g_01632
OG0000247	Syaa.g_01937	Prbc.g_01642
OG0000248	Syaa.g_01934	Prbc.g_01644
OG0000249	Syaa.g_01932	Prbc.g_01646
OG0000250	Syaa.g_01922	Prbc.g_01651
OG0000251	Syaa.g_01897	Prbc.g_01667
OG0000252	Syaa.g_01894	Prbc.g_01669
OG0000253	Syaa.g_01893	Prbc.g_01671
OG0000254	Syaa.g_01684	Prbc.g_01688
OG0000255	Syaa.g_01668	Prbc.g_01694
OG0000256	Syaa.g_01651	Prbc.g_01704
OG0000257	Syaa.g_01645	Prbc.g_01707
OG0000258	Syaa.g_01624	Prbc.g_01720
OG0000259	Syaa.g_01063	Prbc.g_01737
OG0000260	Syaa.g_01066	Prbc.g_01740
OG0000261	Syaa.g_01069	Prbc.g_01743
OG0000262	Syaa.g_01074	Prbc.g_01748
OG0000263	Syaa.g_00989	Prbc.g_01762
OG0000264	Syaa.g_00910	Prbc.g_01773
OG0000265	Syaa.g_00931, Syaa.g_01498	Prbc.g_01787
OG0000266	Syaa.g_01257, Syaa.g_01258	Prbc.g_01797
OG0000267	Syaa.g_01409	Prbc.g_01810
OG0000268	Syaa.g_01408	Prbc.g_01811
OG0000269	Syaa.g_01149	Prbc.g_01853
OG0000270	Syaa.g_01152	Prbc.g_01856
OG0000271	Syaa.g_01160	Prbc.g_01864
OG0000272	Syaa.g_01161	Prbc.g_01865
OG0000273	Syaa.g_00844	Prbc.g_01890
OG0000274	Syaa.g_00843	Prbc.g_01891
OG0000275	Syaa.g_00840	Prbc.g_01893
OG0000276	Syaa.g_00834	Prbc.g_01899
OG0000277	Syaa.g_00833	Prbc.g_01900
OG0000278	Syaa.g_00830	Prbc.g_01904
OG0000279	Syaa.g_00822	Prbc.g_01911
OG0000280	Syaa.g_00815	Prbc.g_00068
OG0000282	Syaa.g_01096	Prbc.g_01979
OG0000283	Syaa.g_01396	Prbc.g_02010
OG0000284	Syaa.g_01390	Prbc.g_02015
OG0000285	Syaa.g_01377	Prbc.g_02020
OG0000286	Syaa.g_01358	Prbc.g_02035
OG0000287	Syaa.g_01330	Prbc.g_02190
OG0000288	Syaa.g_01299	Prbc.g_02082
OG0000289	Syaa.g_01285	Prbc.g_02094
OG0000290	Syaa.g_00875	Prbc.g_02110
OG0000291	Syaa.g_00877	Prbc.g_02112
OG0000292	Syaa.g_02751	Prbc.g_00173
OG0000293	Syaa.g_00758	Prbc.g_01456
OG0000294	Syaa.g_00759	Prbc.g_01455
OG0000295	Syaa.g_00796	Prbc.g_01431
OG0000296	Syaa.g_00798	Prbc.g_01429
OG0000297	Syaa.g_01021	Prbc.g_01421
OG0000298	Syaa.g_01010	Prbc.g_01420
OG0000299	Syaa.g_00982	Prbc.g_01401
OG0000300	Syaa.g_00976	Prbc.g_01398
OG0000301	Syaa.g_00975	Prbc.g_01397
OG0000302	Syaa.g_00972	Prbc.g_01395
OG0000303	Syaa.g_00963	Prbc.g_01390
OG0000304	Syaa.g_00957	Prbc.g_01387
OG0000305	Syaa.g_00881	Prbc.g_00810
OG0000306	Syaa.g_00807	Prbc.g_01921
OG0000307	Syaa.g_02068	Prbc.g_00666
OG0000308	Syaa.g_02070	Prbc.g_00667
OG0000309	Syaa.g_02075	Prbc.g_00671
OG0000310	Syaa.g_01752	Prbc.g_00693
OG0000311	Syaa.g_01757	Prbc.g_00695
OG0000312	Syaa.g_01762	Prbc.g_00698
OG0000313	Syaa.g_01779	Prbc.g_00713
OG0000314	Syaa.g_01806	Prbc.g_00734
OG0000315	Syaa.g_01816	Prbc.g_00744
OG0000316	Syaa.g_00598	Prbc.g_00768
OG0000317	Syaa.g_00556	Prbc.g_00830
OG0000318	Syaa.g_00550	Prbc.g_00833
OG0000319	Syaa.g_00532	Prbc.g_00844
OG0000320	Syaa.g_00530	Prbc.g_00846
OG0000321	Syaa.g_00529	Prbc.g_00847
OG0000322	Syaa.g_00528	Prbc.g_00848
OG0000323	Syaa.g_00496	Prbc.g_00857
OG0000324	Syaa.g_00653	Prbc.g_00884
OG0000325	Syaa.g_02350	Prbc.g_00935
OG0000326	Syaa.g_02343	Prbc.g_00941
OG0000327	Syaa.g_02294	Prbc.g_00326
OG0000328	Syaa.g_02293	Prbc.g_00325
OG0000329	Syaa.g_02275	Prbc.g_00308
OG0000330	Syaa.g_02274	Prbc.g_00307
OG0000331	Syaa.g_02273	Prbc.g_00306
OG0000332	Syaa.g_02258	Prbc.g_00292
OG0000333	Syaa.g_02255	Prbc.g_00290
OG0000334	Syaa.g_02246	Prbc.g_00281
OG0000335	Syaa.g_02241	Prbc.g_00276
OG0000336	Syaa.g_02237	Prbc.g_00272
OG0000337	Syaa.g_00167	Prbc.g_00241
OG0000338	Syaa.g_00162	Prbc.g_00240
OG0000339	Syaa.g_00156	Prbc.g_00235
OG0000340	Syaa.g_00144	Prbc.g_00226
OG0000341	Syaa.g_00142	Prbc.g_00224
OG0000342	Syaa.g_00141	Prbc.g_00223
OG0000343	Syaa.g_00140	Prbc.g_00222
OG0000344	Syaa.g_00136	Prbc.g_00219
OG0000345	Syaa.g_00127	Prbc.g_00214
OG0000346	Syaa.g_00122	Prbc.g_00210
OG0000347	Syaa.g_00088	Prbc.g_00190
OG0000348	Syaa.g_00071	Prbc.g_00970
OG0000349	Syaa.g_00053	Prbc.g_00988
OG0000350	Syaa.g_02336	Prbc.g_01009
OG0000351	Syaa.g_02730	Prbc.g_01047
OG0000352	Syaa.g_02731	Prbc.g_01048
OG0000353	Syaa.g_02757	Prbc.g_01068
OG0000355	Syaa.g_00001	Prbc.g_01071
OG0000356	Syaa.g_00002	Prbc.g_01072
OG0000357	Syaa.g_00003	Prbc.g_01073
OG0000358	Syaa.g_00007	Prbc.g_01077
OG0000359	Syaa.g_00009	Prbc.g_01078
OG0000360	Syaa.g_00010	Prbc.g_01079
OG0000361	Syaa.g_00011	Prbc.g_01080
OG0000362	Syaa.g_00013	Prbc.g_01082
OG0000363	Syaa.g_00015	Prbc.g_01084
OG0000364	Syaa.g_00016	Prbc.g_01085
OG0000365	Syaa.g_00027	Prbc.g_01090
OG0000366	Syaa.g_00028	Prbc.g_01091
OG0000367	Syaa.g_00029	Prbc.g_01092
OG0000368	Syaa.g_00031	Prbc.g_01094
OG0000369	Syaa.g_00032	Prbc.g_01095
OG0000370	Syaa.g_00033	Prbc.g_01096
OG0000371	Syaa.g_00041	Prbc.g_01102
OG0000372	Syaa.g_00046	Prbc.g_01104
OG0000373	Syaa.g_00047	Prbc.g_01105
OG0000374	Syaa.g_00048	Prbc.g_01106
OG0000375	Syaa.g_00049	Prbc.g_01118
OG0000376	Syaa.g_00051	Prbc.g_01120
OG0000377	Syaa.g_02585	Prbc.g_01123
OG0000378	Syaa.g_02577	Prbc.g_01125
OG0000379	Syaa.g_02574	Prbc.g_01128
OG0000380	Syaa.g_00357	Prbc.g_00507
OG0000381	Syaa.g_00353	Prbc.g_00503
OG0000382	Syaa.g_00335	Prbc.g_00492
OG0000383	Syaa.g_00333	Prbc.g_00490
OG0000384	Syaa.g_00332	Prbc.g_00489
OG0000385	Syaa.g_00331	Prbc.g_00488
OG0000386	Syaa.g_00330	Prbc.g_00487
OG0000387	Syaa.g_02371	Prbc.g_00474
OG0000388	Syaa.g_02375	Prbc.g_00470
OG0000389	Syaa.g_02379	Prbc.g_00467
OG0000390	Syaa.g_02398	Prbc.g_00458
OG0000391	Syaa.g_02403	Prbc.g_00454
OG0000392	Syaa.g_02409	Prbc.g_00451
OG0000393	Syaa.g_02412	Prbc.g_00448
OG0000394	Syaa.g_02413	Prbc.g_00447
OG0000395	Syaa.g_02414	Prbc.g_00446
OG0000396	Syaa.g_02417	Prbc.g_00443
OG0000397	Syaa.g_02419	Prbc.g_00441
OG0000398	Syaa.g_02424	Prbc.g_00438
OG0000399	Syaa.g_02425	Prbc.g_00437
OG0000400	Syaa.g_02426	Prbc.g_00436
OG0000401	Syaa.g_02427	Prbc.g_00435
OG0000402	Syaa.g_02429	Prbc.g_02145
OG0000403	Syaa.g_02430	Prbc.g_00434
OG0000404	Syaa.g_02431	Prbc.g_00433
OG0000405	Syaa.g_02446	Prbc.g_00428
OG0000406	Syaa.g_02450	Prbc.g_00424
OG0000407	Syaa.g_02451	Prbc.g_00423
OG0000408	Syaa.g_02458	Prbc.g_00421
OG0000409	Syaa.g_02460	Prbc.g_00419
OG0000410	Syaa.g_02461	Prbc.g_00418
OG0000411	Syaa.g_02462	Prbc.g_00417
OG0000412	Syaa.g_02463	Prbc.g_00416
OG0000413	Syaa.g_02465	Prbc.g_00415
OG0000415	Syaa.g_02466	Prbc.g_00413
OG0000416	Syaa.g_02467	Prbc.g_00412
OG0000417	Syaa.g_02468	Prbc.g_00411
OG0000418	Syaa.g_02473	Prbc.g_00406
OG0000419	Syaa.g_02475	Prbc.g_00404
OG0000420	Syaa.g_02477	Prbc.g_00403
OG0000421	Syaa.g_02482	Prbc.g_00399
OG0000422	Syaa.g_02483	Prbc.g_00398
OG0000423	Syaa.g_02484	Prbc.g_00397
OG0000424	Syaa.g_02485	Prbc.g_00396
OG0000425	Syaa.g_02486	Prbc.g_00395
OG0000426	Syaa.g_02487	Prbc.g_00394
OG0000427	Syaa.g_02488	Prbc.g_00393
OG0000428	Syaa.g_02491	Prbc.g_00391
OG0000429	Syaa.g_02493	Prbc.g_00390
OG0000430	Syaa.g_02495	Prbc.g_00389
OG0000431	Syaa.g_02498	Prbc.g_00387
OG0000432	Syaa.g_02504	Prbc.g_00383
OG0000433	Syaa.g_02513	Prbc.g_00382
OG0000434	Syaa.g_02514	Prbc.g_00381
OG0000435	Syaa.g_02516	Prbc.g_00380
OG0000436	Syaa.g_02525	Prbc.g_00375
OG0000437	Syaa.g_02526	Prbc.g_00374
OG0000438	Syaa.g_02527	Prbc.g_00373
OG0000439	Syaa.g_02529	Prbc.g_00371
OG0000440	Syaa.g_02530	Prbc.g_00370
OG0000441	Syaa.g_02534	Prbc.g_00368
OG0000442	Syaa.g_02535	Prbc.g_00367
OG0000443	Syaa.g_02536	Prbc.g_00366
OG0000444	Syaa.g_02542	Prbc.g_00361
OG0000445	Syaa.g_02543	Prbc.g_00360
OG0000446	Syaa.g_02545	Prbc.g_00358
OG0000447	Syaa.g_02548	Prbc.g_00357
OG0000448	Syaa.g_02549	Prbc.g_00356
OG0000449	Syaa.g_02550	Prbc.g_00355
OG0000450	Syaa.g_02553	Prbc.g_00354
OG0000451	Syaa.g_02554	Prbc.g_00353
OG0000452	Syaa.g_02558	Prbc.g_00350
OG0000453	Syaa.g_02559	Prbc.g_00349
OG0000454	Syaa.g_02560	Prbc.g_00348
OG0000455	Syaa.g_02561	Prbc.g_00347
OG0000456	Syaa.g_02562	Prbc.g_00346
OG0000457	Syaa.g_02564	Prbc.g_00345
OG0000458	Syaa.g_02565	Prbc.g_00344
OG0000459	Syaa.g_02566	Prbc.g_00343
OG0000460	Syaa.g_02111	Prbc.g_00335
OG0000461	Syaa.g_00318	Prbc.g_01140
OG0000462	Syaa.g_00315	Prbc.g_01142
OG0000463	Syaa.g_00314	Prbc.g_01143
OG0000464	Syaa.g_00313	Prbc.g_01144
OG0000465	Syaa.g_00311	Prbc.g_01145
OG0000466	Syaa.g_00306	Prbc.g_01146
OG0000467	Syaa.g_00304	Prbc.g_01147
OG0000468	Syaa.g_00299	Prbc.g_01149
OG0000469	Syaa.g_00285	Prbc.g_01156
OG0000470	Syaa.g_00283	Prbc.g_01158
OG0000471	Syaa.g_00282	Prbc.g_01159
OG0000472	Syaa.g_00280	Prbc.g_01160
OG0000473	Syaa.g_00278	Prbc.g_01162
OG0000474	Syaa.g_00277	Prbc.g_01163
OG0000475	Syaa.g_00276	Prbc.g_01164
OG0000476	Syaa.g_00274	Prbc.g_01166
OG0000477	Syaa.g_00268	Prbc.g_01168
OG0000478	Syaa.g_00267	Prbc.g_01169
OG0000479	Syaa.g_00266	Prbc.g_01170
OG0000480	Syaa.g_00259	Prbc.g_01175
OG0000481	Syaa.g_00257	Prbc.g_01177
OG0000482	Syaa.g_00256	Prbc.g_01178
OG0000483	Syaa.g_00252	Prbc.g_01181
OG0000484	Syaa.g_00251	Prbc.g_01182
OG0000485	Syaa.g_00250	Prbc.g_01183
OG0000486	Syaa.g_00249	Prbc.g_01184
OG0000487	Syaa.g_00243	Prbc.g_01187
OG0000488	Syaa.g_00239	Prbc.g_01190
OG0000489	Syaa.g_00228	Prbc.g_01195
OG0000490	Syaa.g_00220	Prbc.g_01200
OG0000491	Syaa.g_00218	Prbc.g_01201
OG0000492	Syaa.g_00214	Prbc.g_01203
OG0000493	Syaa.g_00213	Prbc.g_01204
OG0000494	Syaa.g_00212	Prbc.g_01205
OG0000495	Syaa.g_00211	Prbc.g_01206
OG0000496	Syaa.g_00210	Prbc.g_01207
OG0000497	Syaa.g_00209	Prbc.g_01208
OG0000498	Syaa.g_00208	Prbc.g_01209
OG0000499	Syaa.g_00207	Prbc.g_01210
OG0000500	Syaa.g_00206	Prbc.g_01211
OG0000501	Syaa.g_00203	Prbc.g_01213
OG0000502	Syaa.g_00190	Prbc.g_01216
OG0000503	Syaa.g_02182	Prbc.g_01246
OG0000504	Syaa.g_02180	Prbc.g_01248
OG0000505	Syaa.g_02179	Prbc.g_01249
OG0000506	Syaa.g_02177	Prbc.g_01250
OG0000507	Syaa.g_02171	Prbc.g_01253
OG0000508	Syaa.g_02167	Prbc.g_01256
OG0000509	Syaa.g_02165	Prbc.g_01258
OG0000510	Syaa.g_02164	Prbc.g_01259
OG0000511	Syaa.g_02163	Prbc.g_01260
OG0000512	Syaa.g_02161	Prbc.g_01262
OG0000513	Syaa.g_02145	Prbc.g_01271
OG0000514	Syaa.g_02118	Prbc.g_01492
OG0000515	Syaa.g_02117	Prbc.g_01493
OG0000516	Syaa.g_00698	Prbc.g_01494
OG0000517	Syaa.g_00702	Prbc.g_01496
OG0000518	Syaa.g_00714	Prbc.g_01507
OG0000519	Syaa.g_00715	Prbc.g_01508
OG0000520	Syaa.g_00716	Prbc.g_01509
OG0000521	Syaa.g_01864	Prbc.g_01514
OG0000522	Syaa.g_01862	Prbc.g_01516
OG0000523	Syaa.g_01859	Prbc.g_01517
OG0000524	Syaa.g_01856	Prbc.g_01524
OG0000525	Syaa.g_01851	Prbc.g_01528
OG0000526	Syaa.g_01848	Prbc.g_01529
OG0000527	Syaa.g_01844	Prbc.g_01532
OG0000528	Syaa.g_02054	Prbc.g_01538
OG0000529	Syaa.g_02050	Prbc.g_01541
OG0000530	Syaa.g_02047	Prbc.g_01544
