Orthogroup	Syaa	Syas
OG0000080	Syaa.g_00487	Syas.g_02616, Syas.g_02149
OG0000081	Syaa.g_02089, Syaa.g_01694	Syas.g_00391
OG0000082	Syaa.g_01905	Syas.g_00837
OG0000085	Syaa.g_00564	Syas.g_02695
OG0000086	Syaa.g_00324	Syas.g_02470
OG0000087	Syaa.g_02433	Syas.g_02374
OG0000089	Syaa.g_02149	Syas.g_01512
OG0000090	Syaa.g_01980	Syas.g_00062
OG0000091	Syaa.g_01625	Syas.g_00907, Syas.g_00146
OG0000094	Syaa.g_01288	Syas.g_00208
OG0000095	Syaa.g_00879	Syas.g_01021
OG0000098	Syaa.g_01970	Syas.g_00091
OG0000099	Syaa.g_00202	Syas.g_01826
OG0000100	Syaa.g_01201	Syas.g_00567
OG0000102	Syaa.g_00118	Syas.g_02152, Syas.g_01395
OG0000104	Syaa.g_02754	Syas.g_02027, Syas.g_02026
OG0000105	Syaa.g_00270	Syas.g_01739
OG0000106	Syaa.g_01439	Syas.g_01451
OG0000107	Syaa.g_02351	Syas.g_01669
OG0000108	Syaa.g_02051	Syas.g_01253
OG0000109	Syaa.g_02036	Syas.g_01236
OG0000110	Syaa.g_01918	Syas.g_00359, Syas.g_00818
OG0000111	Syaa.g_00888	Syas.g_01037
OG0000112	Syaa.g_01366	Syas.g_00452
OG0000113	Syaa.g_01196	Syas.g_00571
OG0000114	Syaa.g_01094	Syas.g_00252, Syas.g_00674
OG0000115	Syaa.g_01795	Syas.g_02548, Syas.g_01285
OG0000116	Syaa.g_00757	Syas.g_01198, Syas.g_00317
OG0000117	Syaa.g_01009	Syas.g_01122
OG0000118	Syaa.g_01874	Syas.g_02835
OG0000120	Syaa.g_00201	Syas.g_01828
OG0000121	Syaa.g_01777	Syas.g_02821
OG0000122	Syaa.g_01598	Syas.g_00393
OG0000123	Syaa.g_02242	Syas.g_01582
OG0000124	Syaa.g_00092	Syas.g_02137
OG0000125	Syaa.g_02598	Syas.g_01889
OG0000126	Syaa.g_02752	Syas.g_01992
OG0000127	Syaa.g_00377	Syas.g_02540
OG0000128	Syaa.g_00012	Syas.g_02046
OG0000129	Syaa.g_02586	Syas.g_01880
OG0000130	Syaa.g_00354	Syas.g_02522
OG0000131	Syaa.g_02448	Syas.g_02367
OG0000132	Syaa.g_02472	Syas.g_02334
OG0000133	Syaa.g_01361	Syas.g_00457
OG0000134	Syaa.g_02146	Syas.g_01509
OG0000135	Syaa.g_02649	Syas.g_01938
OG0000136	Syaa.g_00708	Syas.g_02740
OG0000137	Syaa.g_01842	Syas.g_01333
OG0000138	Syaa.g_02035	Syas.g_01235
OG0000139	Syaa.g_01974	Syas.g_00069
OG0000140	Syaa.g_01971	Syas.g_00090
OG0000141	Syaa.g_01689	Syas.g_00875
OG0000142	Syaa.g_01633	Syas.g_00746
OG0000143	Syaa.g_01629	Syas.g_00742
OG0000144	Syaa.g_01446	Syas.g_00718
OG0000145	Syaa.g_02029	Syas.g_00948
OG0000146	Syaa.g_01367	Syas.g_00451
OG0000147	Syaa.g_01368	Syas.g_00450
OG0000148	Syaa.g_01190	Syas.g_00577
OG0000149	Syaa.g_00826	Syas.g_00282
OG0000150	Syaa.g_01688	Syas.g_00874
OG0000151	Syaa.g_01107	Syas.g_00148, Syas.g_00659
OG0000152	Syaa.g_01357	Syas.g_00461
OG0000153	Syaa.g_01324	Syas.g_00543
OG0000154	Syaa.g_01298	Syas.g_00219
OG0000155	Syaa.g_00804	Syas.g_01131
OG0000156	Syaa.g_00751	Syas.g_01206
OG0000157	Syaa.g_00750	Syas.g_01207
OG0000158	Syaa.g_00148	Syas.g_02185
OG0000159	Syaa.g_00456	Syas.g_01155
OG0000160	Syaa.g_01776	Syas.g_02820
OG0000161	Syaa.g_01782	Syas.g_02826
OG0000162	Syaa.g_01788	Syas.g_02751
OG0000163	Syaa.g_00624	Syas.g_01488
OG0000165	Syaa.g_00681	Syas.g_02609
OG0000166	Syaa.g_02289	Syas.g_01629
OG0000167	Syaa.g_00160	Syas.g_01449
OG0000168	Syaa.g_00145	Syas.g_02184
OG0000169	Syaa.g_00134	Syas.g_02170
OG0000170	Syaa.g_00128	Syas.g_02161
OG0000171	Syaa.g_00093	Syas.g_02139
OG0000172	Syaa.g_00079	Syas.g_02110
OG0000173	Syaa.g_00060	Syas.g_02092
OG0000174	Syaa.g_02651	Syas.g_01940
OG0000175	Syaa.g_02726	Syas.g_01994
OG0000176	Syaa.g_00004	Syas.g_02038
OG0000177	Syaa.g_00005	Syas.g_02039
OG0000178	Syaa.g_00006	Syas.g_02040
OG0000179	Syaa.g_00023	Syas.g_02054
OG0000180	Syaa.g_00024	Syas.g_02055
OG0000181	Syaa.g_00025	Syas.g_02056
OG0000182	Syaa.g_00026	Syas.g_02057
OG0000183	Syaa.g_00030	Syas.g_02061
OG0000184	Syaa.g_02578	Syas.g_01872
OG0000185	Syaa.g_02575	Syas.g_01861
OG0000186	Syaa.g_00359	Syas.g_02525
OG0000187	Syaa.g_00358	Syas.g_02524
OG0000188	Syaa.g_00334	Syas.g_02502
OG0000189	Syaa.g_02367	Syas.g_02432
OG0000190	Syaa.g_02369	Syas.g_00133
OG0000191	Syaa.g_02404	Syas.g_02400
OG0000192	Syaa.g_02410	Syas.g_02395
OG0000193	Syaa.g_02449	Syas.g_02366
OG0000194	Syaa.g_02452	Syas.g_02363
OG0000196	Syaa.g_02469	Syas.g_02337
OG0000197	Syaa.g_02470	Syas.g_02336
OG0000198	Syaa.g_02471	Syas.g_02335
OG0000199	Syaa.g_02479	Syas.g_02327
OG0000200	Syaa.g_02496	Syas.g_02298
OG0000201	Syaa.g_02521	Syas.g_02279
OG0000202	Syaa.g_02522	Syas.g_02278
OG0000203	Syaa.g_02523	Syas.g_02277
OG0000204	Syaa.g_02524	Syas.g_02276
OG0000205	Syaa.g_02531	Syas.g_02267
OG0000206	Syaa.g_02538	Syas.g_02240
OG0000207	Syaa.g_02540	Syas.g_02237
OG0000208	Syaa.g_02541	Syas.g_02236
OG0000209	Syaa.g_02556	Syas.g_01837
OG0000210	Syaa.g_02557	Syas.g_01838
OG0000211	Syaa.g_02113	Syas.g_02552
OG0000212	Syaa.g_02102	Syas.g_02562
OG0000213	Syaa.g_00295	Syas.g_01707
OG0000214	Syaa.g_00279	Syas.g_01730
OG0000215	Syaa.g_00248	Syas.g_01766
OG0000216	Syaa.g_00244	Syas.g_01770
OG0000217	Syaa.g_00240	Syas.g_01778
OG0000218	Syaa.g_00238	Syas.g_01780
OG0000219	Syaa.g_00237	Syas.g_01783
OG0000220	Syaa.g_00236	Syas.g_01784
OG0000221	Syaa.g_00229	Syas.g_01785
OG0000222	Syaa.g_00215	Syas.g_01804
OG0000223	Syaa.g_00192	Syas.g_02221
OG0000224	Syaa.g_00183	Syas.g_02215
OG0000225	Syaa.g_02166	Syas.g_01522
OG0000226	Syaa.g_02162	Syas.g_01518
OG0000227	Syaa.g_02160	Syas.g_01516
OG0000228	Syaa.g_02150	Syas.g_01513
OG0000229	Syaa.g_00703	Syas.g_01497
OG0000230	Syaa.g_00705	Syas.g_01495
OG0000231	Syaa.g_00717	Syas.g_02749
OG0000232	Syaa.g_01858	Syas.g_01276
OG0000233	Syaa.g_01853	Syas.g_01352
OG0000234	Syaa.g_01841	Syas.g_01331
OG0000235	Syaa.g_02052	Syas.g_01254
OG0000236	Syaa.g_02037	Syas.g_01237
OG0000237	Syaa.g_02020	Syas.g_01220
OG0000238	Syaa.g_02015	Syas.g_01215
OG0000239	Syaa.g_01996	Syas.g_00012
OG0000240	Syaa.g_01995	Syas.g_00013
OG0000241	Syaa.g_01644	Syas.g_00754
OG0000242	Syaa.g_01982	Syas.g_00059
OG0000243	Syaa.g_01960	Syas.g_00777
OG0000244	Syaa.g_01954	Syas.g_00784
OG0000245	Syaa.g_01952	Syas.g_00786
OG0000246	Syaa.g_01948	Syas.g_00790
OG0000247	Syaa.g_01937	Syas.g_00802
OG0000248	Syaa.g_01934	Syas.g_00805
OG0000249	Syaa.g_01932	Syas.g_00807
OG0000250	Syaa.g_01922	Syas.g_00814
OG0000251	Syaa.g_01897	Syas.g_00845
OG0000252	Syaa.g_01894	Syas.g_00950
OG0000253	Syaa.g_01893	Syas.g_00846
OG0000254	Syaa.g_01684	Syas.g_00869
OG0000255	Syaa.g_01668	Syas.g_00132, Syas.g_01062
OG0000256	Syaa.g_01651	Syas.g_00104
OG0000257	Syaa.g_01645	Syas.g_00757
OG0000258	Syaa.g_01624	Syas.g_00733
OG0000259	Syaa.g_01063	Syas.g_00708
OG0000260	Syaa.g_01066	Syas.g_00705
OG0000261	Syaa.g_01069	Syas.g_00701
OG0000262	Syaa.g_01074	Syas.g_00695
OG0000263	Syaa.g_00989	Syas.g_01103
OG0000264	Syaa.g_00910	Syas.g_02588
OG0000266	Syaa.g_01257, Syaa.g_01258	Syas.g_00186
OG0000267	Syaa.g_01409	Syas.g_00377
OG0000268	Syaa.g_01408	Syas.g_00390
OG0000269	Syaa.g_01149	Syas.g_00601
OG0000270	Syaa.g_01152	Syas.g_00598
OG0000271	Syaa.g_01160	Syas.g_00590
OG0000272	Syaa.g_01161	Syas.g_00589
OG0000274	Syaa.g_00843	Syas.g_00562
OG0000275	Syaa.g_00840	Syas.g_00230
OG0000276	Syaa.g_00834	Syas.g_00237
OG0000278	Syaa.g_00830	Syas.g_00241
OG0000279	Syaa.g_00822	Syas.g_00288
OG0000280	Syaa.g_00815	Syas.g_00889, Syas.g_00481
OG0000282	Syaa.g_01096	Syas.g_00672
OG0000283	Syaa.g_01396	Syas.g_00409
OG0000284	Syaa.g_01390	Syas.g_00416
OG0000285	Syaa.g_01377	Syas.g_00436
OG0000286	Syaa.g_01358	Syas.g_00460
OG0000287	Syaa.g_01330	Syas.g_00534
OG0000288	Syaa.g_01299	Syas.g_00220
OG0000289	Syaa.g_01285	Syas.g_00205
OG0000290	Syaa.g_00875	Syas.g_01016
OG0000291	Syaa.g_00877	Syas.g_01018
OG0000292	Syaa.g_02751	Syas.g_02020
OG0000293	Syaa.g_00758	Syas.g_01197
OG0000295	Syaa.g_00796	Syas.g_01139
OG0000296	Syaa.g_00798	Syas.g_01137
OG0000297	Syaa.g_01021	Syas.g_01124
OG0000298	Syaa.g_01010	Syas.g_01123
OG0000299	Syaa.g_00982	Syas.g_01087
OG0000300	Syaa.g_00976	Syas.g_01082
OG0000301	Syaa.g_00975	Syas.g_01081
OG0000302	Syaa.g_00972	Syas.g_01080
OG0000303	Syaa.g_00963	Syas.g_01071
OG0000304	Syaa.g_00957	Syas.g_01066
OG0000305	Syaa.g_00881	Syas.g_01023
OG0000306	Syaa.g_00807	Syas.g_01929
OG0000307	Syaa.g_02068	Syas.g_01270
OG0000308	Syaa.g_02070	Syas.g_01272
OG0000309	Syaa.g_02075	Syas.g_01364
OG0000310	Syaa.g_01752	Syas.g_02796
OG0000311	Syaa.g_01757	Syas.g_02799
OG0000312	Syaa.g_01762	Syas.g_02804
OG0000313	Syaa.g_01779	Syas.g_02823
OG0000314	Syaa.g_01806	Syas.g_01296
OG0000315	Syaa.g_01816	Syas.g_01306
OG0000316	Syaa.g_00598	Syas.g_02728
OG0000317	Syaa.g_00556	Syas.g_02687
OG0000318	Syaa.g_00550	Syas.g_02680
OG0000319	Syaa.g_00532	Syas.g_02663
OG0000320	Syaa.g_00530	Syas.g_02661
OG0000321	Syaa.g_00529	Syas.g_02660
OG0000322	Syaa.g_00528	Syas.g_02659
OG0000323	Syaa.g_00496	Syas.g_02646, Syas.g_00159
OG0000324	Syaa.g_00653	Syas.g_02578
OG0000325	Syaa.g_02350	Syas.g_01668
OG0000326	Syaa.g_02343	Syas.g_01661
OG0000327	Syaa.g_02294	Syas.g_01634
OG0000328	Syaa.g_02293	Syas.g_01633
OG0000329	Syaa.g_02275	Syas.g_01615
OG0000330	Syaa.g_02274	Syas.g_01614
OG0000331	Syaa.g_02273	Syas.g_01613
OG0000333	Syaa.g_02255	Syas.g_01595
OG0000334	Syaa.g_02246	Syas.g_01586
OG0000335	Syaa.g_02241	Syas.g_01581
OG0000336	Syaa.g_02237	Syas.g_01577
OG0000337	Syaa.g_00167	Syas.g_02211
OG0000338	Syaa.g_00162	Syas.g_02199
OG0000339	Syaa.g_00156	Syas.g_02192
OG0000340	Syaa.g_00144	Syas.g_02183
OG0000341	Syaa.g_00142	Syas.g_02181
OG0000342	Syaa.g_00141	Syas.g_02180
OG0000343	Syaa.g_00140	Syas.g_02176
OG0000344	Syaa.g_00136	Syas.g_02172
OG0000345	Syaa.g_00127	Syas.g_02160
OG0000346	Syaa.g_00122	Syas.g_02155
OG0000347	Syaa.g_00088	Syas.g_02136
OG0000348	Syaa.g_00071	Syas.g_02107
OG0000349	Syaa.g_00053	Syas.g_02085
OG0000350	Syaa.g_02336	Syas.g_01654
OG0000351	Syaa.g_02730	Syas.g_01998
OG0000352	Syaa.g_02731	Syas.g_01999
OG0000353	Syaa.g_02757	Syas.g_02033
OG0000354	Syaa.g_02008, Syaa.g_02009	Syas.g_01209
OG0000354	Syaa.g_00019, Syaa.g_00020	Syas.g_02052
OG0000355	Syaa.g_00001	Syas.g_02035
OG0000356	Syaa.g_00002	Syas.g_02036
OG0000357	Syaa.g_00003	Syas.g_02037
OG0000358	Syaa.g_00007	Syas.g_02041
OG0000359	Syaa.g_00009	Syas.g_02043
OG0000360	Syaa.g_00010	Syas.g_02044
OG0000361	Syaa.g_00011	Syas.g_02045
OG0000362	Syaa.g_00013	Syas.g_02047
OG0000363	Syaa.g_00015	Syas.g_02049
OG0000364	Syaa.g_00016	Syas.g_02685
OG0000365	Syaa.g_00027	Syas.g_02058
OG0000366	Syaa.g_00028	Syas.g_02059
OG0000368	Syaa.g_00031	Syas.g_02062
OG0000369	Syaa.g_00032	Syas.g_02063
OG0000370	Syaa.g_00033	Syas.g_02064
OG0000371	Syaa.g_00041	Syas.g_02073
OG0000372	Syaa.g_00046	Syas.g_02078
OG0000373	Syaa.g_00047	Syas.g_02079
OG0000374	Syaa.g_00048	Syas.g_02080
OG0000375	Syaa.g_00049	Syas.g_02081
OG0000376	Syaa.g_00051	Syas.g_02083
OG0000377	Syaa.g_02585	Syas.g_01879
OG0000378	Syaa.g_02577	Syas.g_01867
OG0000379	Syaa.g_02574	Syas.g_01859
OG0000380	Syaa.g_00357	Syas.g_02523
OG0000381	Syaa.g_00353	Syas.g_02521
OG0000382	Syaa.g_00335	Syas.g_02503
OG0000383	Syaa.g_00333	Syas.g_02480
OG0000384	Syaa.g_00332	Syas.g_02479
OG0000385	Syaa.g_00331	Syas.g_02478
OG0000386	Syaa.g_00330	Syas.g_02477
OG0000387	Syaa.g_02371	Syas.g_00134
OG0000388	Syaa.g_02375	Syas.g_02426
OG0000389	Syaa.g_02379	Syas.g_02422
OG0000390	Syaa.g_02398	Syas.g_02406
OG0000391	Syaa.g_02403	Syas.g_02401
OG0000392	Syaa.g_02409	Syas.g_02396
OG0000393	Syaa.g_02412	Syas.g_02394
OG0000394	Syaa.g_02413	Syas.g_02393
OG0000395	Syaa.g_02414	Syas.g_02392
OG0000396	Syaa.g_02417	Syas.g_02389
OG0000397	Syaa.g_02419	Syas.g_02387
OG0000398	Syaa.g_02424	Syas.g_02382
OG0000399	Syaa.g_02425	Syas.g_02381
OG0000400	Syaa.g_02426	Syas.g_02380
OG0000401	Syaa.g_02427	Syas.g_02379
OG0000402	Syaa.g_02429	Syas.g_02377
OG0000403	Syaa.g_02430	Syas.g_02376
OG0000404	Syaa.g_02431	Syas.g_02375
OG0000405	Syaa.g_02446	Syas.g_02369
OG0000406	Syaa.g_02450	Syas.g_02365
OG0000407	Syaa.g_02451	Syas.g_02364
OG0000408	Syaa.g_02458	Syas.g_02361
OG0000409	Syaa.g_02460	Syas.g_02359
OG0000410	Syaa.g_02461	Syas.g_02358
OG0000411	Syaa.g_02462	Syas.g_02357
OG0000412	Syaa.g_02463	Syas.g_02356
OG0000413	Syaa.g_02465	Syas.g_02354
OG0000415	Syaa.g_02466	Syas.g_02352
OG0000416	Syaa.g_02467	Syas.g_02351
OG0000417	Syaa.g_02468	Syas.g_02338
OG0000418	Syaa.g_02473	Syas.g_02333
OG0000419	Syaa.g_02475	Syas.g_02331
OG0000420	Syaa.g_02477	Syas.g_02329
OG0000421	Syaa.g_02482	Syas.g_02324
OG0000422	Syaa.g_02483	Syas.g_02323
OG0000423	Syaa.g_02484	Syas.g_02322
OG0000424	Syaa.g_02485	Syas.g_02321
OG0000425	Syaa.g_02486	Syas.g_02320
OG0000426	Syaa.g_02487	Syas.g_02319
OG0000427	Syaa.g_02488	Syas.g_02318
OG0000428	Syaa.g_02491	Syas.g_02315
OG0000429	Syaa.g_02493	Syas.g_02312
OG0000430	Syaa.g_02495	Syas.g_02311
OG0000431	Syaa.g_02498	Syas.g_02296
OG0000432	Syaa.g_02504	Syas.g_02288
OG0000433	Syaa.g_02513	Syas.g_02286
OG0000434	Syaa.g_02514	Syas.g_02285
OG0000435	Syaa.g_02516	Syas.g_02282
OG0000436	Syaa.g_02525	Syas.g_02273
OG0000437	Syaa.g_02526	Syas.g_02272
OG0000438	Syaa.g_02527	Syas.g_02271
OG0000439	Syaa.g_02529	Syas.g_02269
OG0000440	Syaa.g_02530	Syas.g_02268
OG0000441	Syaa.g_02534	Syas.g_02265
OG0000442	Syaa.g_02535	Syas.g_02259
OG0000443	Syaa.g_02536	Syas.g_02241
OG0000444	Syaa.g_02542	Syas.g_02234
OG0000445	Syaa.g_02543	Syas.g_02233
OG0000446	Syaa.g_02545	Syas.g_02231
OG0000447	Syaa.g_02548	Syas.g_02229
OG0000448	Syaa.g_02549	Syas.g_02228
OG0000449	Syaa.g_02550	Syas.g_02226
OG0000450	Syaa.g_02553	Syas.g_01834
OG0000451	Syaa.g_02554	Syas.g_01835
OG0000452	Syaa.g_02558	Syas.g_01844
OG0000453	Syaa.g_02559	Syas.g_01845
OG0000454	Syaa.g_02560	Syas.g_01846
OG0000455	Syaa.g_02561	Syas.g_01847
OG0000456	Syaa.g_02562	Syas.g_01848
OG0000457	Syaa.g_02564	Syas.g_01850
OG0000458	Syaa.g_02565	Syas.g_01851
OG0000459	Syaa.g_02566	Syas.g_01852
OG0000460	Syaa.g_02111	Syas.g_02554
OG0000461	Syaa.g_00318	Syas.g_01686
OG0000462	Syaa.g_00315	Syas.g_01688
OG0000463	Syaa.g_00314	Syas.g_01689
OG0000464	Syaa.g_00313	Syas.g_01690
OG0000465	Syaa.g_00311	Syas.g_01692
OG0000466	Syaa.g_00306	Syas.g_01697
OG0000467	Syaa.g_00304	Syas.g_01698
OG0000468	Syaa.g_00299	Syas.g_01703
OG0000469	Syaa.g_00285	Syas.g_01725
OG0000470	Syaa.g_00283	Syas.g_01727
OG0000471	Syaa.g_00282	Syas.g_01728
OG0000472	Syaa.g_00280	Syas.g_01729
OG0000473	Syaa.g_00278	Syas.g_01731
OG0000474	Syaa.g_00277	Syas.g_01732
OG0000475	Syaa.g_00276	Syas.g_01733
OG0000476	Syaa.g_00274	Syas.g_01735
OG0000477	Syaa.g_00268	Syas.g_01740
OG0000478	Syaa.g_00267	Syas.g_01741
OG0000479	Syaa.g_00266	Syas.g_01749
OG0000480	Syaa.g_00259	Syas.g_01756
OG0000481	Syaa.g_00257	Syas.g_00161, Syas.g_00162
OG0000482	Syaa.g_00256	Syas.g_01758
OG0000483	Syaa.g_00252	Syas.g_01762
OG0000484	Syaa.g_00251	Syas.g_01763
OG0000485	Syaa.g_00250	Syas.g_01764
OG0000486	Syaa.g_00249	Syas.g_01765
OG0000487	Syaa.g_00243	Syas.g_01771
OG0000488	Syaa.g_00239	Syas.g_01779
OG0000489	Syaa.g_00228	Syas.g_01823
OG0000490	Syaa.g_00220	Syas.g_01808
OG0000491	Syaa.g_00218	Syas.g_01806
OG0000492	Syaa.g_00214	Syas.g_01803
OG0000493	Syaa.g_00213	Syas.g_01802
OG0000494	Syaa.g_00212	Syas.g_01801
OG0000495	Syaa.g_00211	Syas.g_01799
OG0000496	Syaa.g_00210	Syas.g_01798
OG0000497	Syaa.g_00209	Syas.g_01797
OG0000498	Syaa.g_00208	Syas.g_01796
OG0000499	Syaa.g_00207	Syas.g_01795
OG0000500	Syaa.g_00206	Syas.g_01794
OG0000501	Syaa.g_00203	Syas.g_01791
OG0000502	Syaa.g_00190	Syas.g_02216
OG0000503	Syaa.g_02182	Syas.g_01541
OG0000504	Syaa.g_02180	Syas.g_01539
OG0000505	Syaa.g_02179	Syas.g_01538
OG0000506	Syaa.g_02177	Syas.g_01536
OG0000507	Syaa.g_02171	Syas.g_01530
OG0000508	Syaa.g_02167	Syas.g_01523
OG0000509	Syaa.g_02165	Syas.g_01521
OG0000510	Syaa.g_02164	Syas.g_01520
OG0000511	Syaa.g_02163	Syas.g_01519
OG0000512	Syaa.g_02161	Syas.g_01517
OG0000513	Syaa.g_02145	Syas.g_01508
OG0000514	Syaa.g_02118	Syas.g_01504
OG0000515	Syaa.g_02117	Syas.g_01503
OG0000516	Syaa.g_00698	Syas.g_01501
OG0000517	Syaa.g_00702	Syas.g_01498
OG0000518	Syaa.g_00714	Syas.g_00360, Syas.g_02746
OG0000519	Syaa.g_00715	Syas.g_02747
OG0000520	Syaa.g_00716	Syas.g_02748
OG0000521	Syaa.g_01864	Syas.g_01281
OG0000522	Syaa.g_01862	Syas.g_01279
OG0000523	Syaa.g_01859	Syas.g_01278
OG0000524	Syaa.g_01856	Syas.g_01354
OG0000525	Syaa.g_01851	Syas.g_01342
OG0000526	Syaa.g_01848	Syas.g_01340
OG0000527	Syaa.g_01844	Syas.g_01335
OG0000528	Syaa.g_02054	Syas.g_01256
OG0000529	Syaa.g_02050	Syas.g_01252
OG0000530	Syaa.g_02047	Syas.g_01249
OG0000531	Syaa.g_02046	Syas.g_01248
OG0000532	Syaa.g_02043	Syas.g_01245
OG0000533	Syaa.g_02042	Syas.g_01243
OG0000534	Syaa.g_02041	Syas.g_01242
OG0000535	Syaa.g_02040	Syas.g_01241
OG0000536	Syaa.g_02039	Syas.g_01240
OG0000537	Syaa.g_02038	Syas.g_01238
OG0000538	Syaa.g_02027	Syas.g_01228
OG0000539	Syaa.g_02026	Syas.g_01227
OG0000540	Syaa.g_02025	Syas.g_01226
OG0000541	Syaa.g_02024	Syas.g_01225
OG0000542	Syaa.g_02021	Syas.g_01221
OG0000543	Syaa.g_02019	Syas.g_01219
OG0000544	Syaa.g_02018	Syas.g_01218
OG0000545	Syaa.g_02016	Syas.g_01216
OG0000546	Syaa.g_02014	Syas.g_01214
OG0000547	Syaa.g_02012	Syas.g_01212
OG0000548	Syaa.g_02011	Syas.g_01211
OG0000549	Syaa.g_02003	Syas.g_00005
OG0000550	Syaa.g_01998	Syas.g_00010
OG0000551	Syaa.g_01993	Syas.g_00015
OG0000552	Syaa.g_01992	Syas.g_00016
OG0000553	Syaa.g_01990	Syas.g_00019
OG0000554	Syaa.g_01979	Syas.g_00063
OG0000555	Syaa.g_01961	Syas.g_00775
OG0000556	Syaa.g_01957	Syas.g_00781
OG0000557	Syaa.g_01955	Syas.g_00783
OG0000558	Syaa.g_01953	Syas.g_00785
OG0000559	Syaa.g_01949	Syas.g_00789
OG0000560	Syaa.g_01946	Syas.g_00792
OG0000561	Syaa.g_01945	Syas.g_00793
OG0000562	Syaa.g_01944	Syas.g_00794
OG0000563	Syaa.g_01943	Syas.g_00795
OG0000564	Syaa.g_01942	Syas.g_00796
OG0000565	Syaa.g_01939	Syas.g_00800
OG0000566	Syaa.g_01935	Syas.g_00804
OG0000567	Syaa.g_01931	Syas.g_00808
OG0000568	Syaa.g_01928	Syas.g_00810
OG0000569	Syaa.g_01925	Syas.g_00811
OG0000570	Syaa.g_01924	Syas.g_00812
OG0000571	Syaa.g_01920	Syas.g_00815
OG0000572	Syaa.g_01904	Syas.g_00839
OG0000573	Syaa.g_01896	Syas.g_00952
OG0000574	Syaa.g_01895	Syas.g_00951
OG0000575	Syaa.g_01891	Syas.g_00848
OG0000576	Syaa.g_01889	Syas.g_00850
OG0000577	Syaa.g_01888	Syas.g_00851
