Orthogroup	Prar	Syae
OG0000082	Prar.g_01414	Syae.g_02447
OG0000084	Prar.g_00343	Syae.g_00857, Syae.g_02656
OG0000085	Prar.g_01150	Syae.g_01152
OG0000086	Prar.g_00240	Syae.g_01333
OG0000087	Prar.g_00189	Syae.g_01414
OG0000088	Prar.g_00161	Syae.g_01449
OG0000089	Prar.g_00416	Syae.g_02219
OG0000090	Prar.g_01363	Syae.g_02374
OG0000091	Prar.g_01472	Syae.g_00082
OG0000092	Prar.g_00615	Syae.g_00884
OG0000093	Prar.g_01801	Syae.g_00537
OG0000094	Prar.g_01885	Syae.g_00430
OG0000095	Prar.g_01904	Syae.g_00793, Syae.g_00259, Syae.g_01624
OG0000097	Prar.g_01222	Syae.g_00683
OG0000098	Prar.g_00929	Syae.g_02384, Syae.g_02058
OG0000099	Prar.g_00872	Syae.g_01913, Syae.g_01226
OG0000100	Prar.g_00773	Syae.g_00489
OG0000101	Prar.g_01027	Syae.g_02125
OG0000102	Prar.g_00658	Syae.g_01824
OG0000103	Prar.g_00050	Syae.g_01694
OG0000104	Prar.g_00042	Syae.g_01708
OG0000105	Prar.g_00313	Syae.g_01977
OG0000106	Prar.g_00431	Syae.g_00272
OG0000107	Prar.g_00446	Syae.g_02032
OG0000108	Prar.g_00530	Syae.g_02309
OG0000109	Prar.g_00544	Syae.g_02324
OG0000110	Prar.g_01404	Syae.g_02435
OG0000111	Prar.g_01529	Syae.g_00783
OG0000112	Prar.g_01652	Syae.g_00351
OG0000113	Prar.g_01706	Syae.g_00494
OG0000114	Prar.g_01776	Syae.g_00575
OG0000115	Prar.g_01318	Syae.g_02631
OG0000116	Prar.g_01273	Syae.g_00939
OG0000117	Prar.g_01003	Syae.g_00647
OG0000118	Prar.g_00943	Syae.g_02479
OG0000119	Prar.g_00915	Syae.g_00904
OG0000120	Prar.g_00880	Syae.g_01912
OG0000121	Prar.g_00337	Syae.g_02649
OG0000122	Prar.g_00807	Syae.g_00112
OG0000123	Prar.g_01021	Syae.g_02131
OG0000124	Prar.g_00668	Syae.g_01809
OG0000125	Prar.g_00704	Syae.g_01573
OG0000126	Prar.g_00043	Syae.g_01706
OG0000128	Prar.g_00027	Syae.g_01724
OG0000129	Prar.g_00576	Syae.g_01562
OG0000130	Prar.g_00549	Syae.g_01284
OG0000131	Prar.g_00182	Syae.g_01428
OG0000132	Prar.g_00163	Syae.g_01447
OG0000133	Prar.g_00265	Syae.g_00356
OG0000134	Prar.g_00417	Syae.g_02222
OG0000135	Prar.g_00444	Syae.g_01608
OG0000136	Prar.g_00489	Syae.g_00989
OG0000137	Prar.g_00525	Syae.g_02530
OG0000138	Prar.g_00545	Syae.g_02325
OG0000139	Prar.g_01367	Syae.g_02380
OG0000140	Prar.g_01368	Syae.g_02383
OG0000141	Prar.g_01437	Syae.g_00016
OG0000142	Prar.g_01465	Syae.g_00074
OG0000143	Prar.g_01469	Syae.g_00078
OG0000144	Prar.g_01482	Syae.g_00261
OG0000145	Prar.g_01651	Syae.g_02331
OG0000146	Prar.g_01653	Syae.g_00350
OG0000147	Prar.g_01654	Syae.g_00349
OG0000148	Prar.g_01700	Syae.g_00500
OG0000149	Prar.g_01730	Syae.g_00847
OG0000150	Prar.g_01738	Syae.g_00017
OG0000151	Prar.g_01786	Syae.g_00563
OG0000152	Prar.g_01833	Syae.g_00360
OG0000153	Prar.g_01852	Syae.g_00394
OG0000154	Prar.g_01878	Syae.g_00420
OG0000155	Prar.g_01243	Syae.g_00885
OG0000156	Prar.g_00966	Syae.g_00945
OG0000157	Prar.g_00965	Syae.g_00946
OG0000158	Prar.g_00375	Syae.g_01858
OG0000160	Prar.g_00338	Syae.g_02650
OG0000161	Prar.g_00840	Syae.g_02644
OG0000162	Prar.g_00834	Syae.g_02638
OG0000163	Prar.g_00800	Syae.g_01092
OG0000164	Prar.g_01964	Syae.g_01198
OG0000165	Prar.g_01971	Syae.g_01021
OG0000166	Prar.g_01063	Syae.g_02085
OG0000167	Prar.g_00627	Syae.g_01874
OG0000168	Prar.g_00637	Syae.g_01856
OG0000169	Prar.g_00647	Syae.g_01841
OG0000170	Prar.g_00649	Syae.g_01834
OG0000171	Prar.g_00667	Syae.g_01810
OG0000172	Prar.g_00675	Syae.g_01788
OG0000173	Prar.g_00690	Syae.g_01770
OG0000174	Prar.g_00068	Syae.g_01610
OG0000175	Prar.g_00058	Syae.g_01679
OG0000176	Prar.g_00034	Syae.g_01716
OG0000177	Prar.g_00033	Syae.g_01717
OG0000178	Prar.g_00032	Syae.g_01718
OG0000179	Prar.g_00022	Syae.g_01733
OG0000180	Prar.g_00021	Syae.g_01734
OG0000181	Prar.g_00020	Syae.g_01735
OG0000182	Prar.g_00019	Syae.g_01736
OG0000183	Prar.g_00015	Syae.g_01740
OG0000184	Prar.g_00573	Syae.g_01554
OG0000185	Prar.g_00570	Syae.g_01551
OG0000186	Prar.g_00554	Syae.g_01279
OG0000187	Prar.g_00553	Syae.g_01280
OG0000188	Prar.g_00246	Syae.g_01323
OG0000189	Prar.g_00232	Syae.g_01350
OG0000190	Prar.g_00231	Syae.g_01352
OG0000191	Prar.g_00211	Syae.g_01384
OG0000192	Prar.g_00207	Syae.g_01390
OG0000193	Prar.g_00181	Syae.g_01429
OG0000194	Prar.g_00178	Syae.g_01432
OG0000195	Prar.g_00176	Syae.g_01434
OG0000196	Prar.g_00166	Syae.g_01444
OG0000197	Prar.g_00165	Syae.g_01445
OG0000198	Prar.g_00164	Syae.g_01446
OG0000199	Prar.g_00157	Syae.g_01454
OG0000200	Prar.g_00143	Syae.g_01471
OG0000201	Prar.g_00135	Syae.g_01487
OG0000202	Prar.g_00134	Syae.g_01488
OG0000203	Prar.g_00133	Syae.g_01489
OG0000204	Prar.g_00132	Syae.g_01490
OG0000205	Prar.g_00125	Syae.g_01497
OG0000206	Prar.g_00120	Syae.g_01504
OG0000207	Prar.g_00118	Syae.g_01506
OG0000208	Prar.g_00117	Syae.g_01507
OG0000209	Prar.g_00108	Syae.g_01528
OG0000210	Prar.g_00107	Syae.g_01529
OG0000211	Prar.g_00094	Syae.g_02234
OG0000212	Prar.g_00087	Syae.g_02244
OG0000213	Prar.g_00330	Syae.g_02003
OG0000214	Prar.g_00320	Syae.g_01986
OG0000215	Prar.g_00295	Syae.g_01955
OG0000216	Prar.g_00293	Syae.g_01951
OG0000217	Prar.g_01154, Prar.g_00290	Syae.g_01947
OG0000218	Prar.g_00288	Syae.g_01945
OG0000219	Prar.g_00287	Syae.g_01944
OG0000220	Prar.g_00286	Syae.g_01943
OG0000221	Prar.g_00285	Syae.g_01937
OG0000222	Prar.g_00277	Syae.g_01926
OG0000223	Prar.g_00264	Syae.g_01904
OG0000224	Prar.g_00262	Syae.g_01897
OG0000225	Prar.g_00406	Syae.g_02208
OG0000226	Prar.g_00410	Syae.g_02212
OG0000227	Prar.g_00412	Syae.g_02214
OG0000228	Prar.g_00415	Syae.g_02218
OG0000229	Prar.g_00484	Syae.g_00994
OG0000230	Prar.g_00486	Syae.g_00992
OG0000231	Prar.g_00497	Syae.g_00980
OG0000232	Prar.g_00506	Syae.g_02496
OG0000233	Prar.g_00512	Syae.g_02504
OG0000234	Prar.g_00526	Syae.g_02532
OG0000235	Prar.g_00529	Syae.g_02308
OG0000236	Prar.g_00543	Syae.g_02323
OG0000237	Prar.g_01337	Syae.g_02340
OG0000238	Prar.g_01343	Syae.g_02345
OG0000239	Prar.g_01355	Syae.g_02360
OG0000240	Prar.g_01356	Syae.g_02361
OG0000241	Prar.g_01360	Syae.g_00065
OG0000242	Prar.g_01362	Syae.g_02372
OG0000243	Prar.g_01373	Syae.g_02391
OG0000244	Prar.g_01376	Syae.g_02399
OG0000245	Prar.g_01378	Syae.g_02401
OG0000246	Prar.g_01382	Syae.g_02405
OG0000247	Prar.g_01392	Syae.g_02416
OG0000248	Prar.g_01394	Syae.g_02419
OG0000249	Prar.g_01396	Syae.g_02421
OG0000250	Prar.g_01401	Syae.g_02431
OG0000251	Prar.g_01420	Syae.g_02455
OG0000252	Prar.g_01424	Syae.g_02458
OG0000253	Prar.g_01425	Syae.g_02459
OG0000254	Prar.g_01441	Syae.g_00021
OG0000255	Prar.g_01447	Syae.g_00041
OG0000256	Prar.g_01457	Syae.g_00058
OG0000257	Prar.g_01460	Syae.g_00064
OG0000258	Prar.g_01473	Syae.g_00083
OG0000259	Prar.g_01490	Syae.g_00608
OG0000260	Prar.g_01493	Syae.g_00603
OG0000261	Prar.g_01495	Syae.g_00600
OG0000262	Prar.g_01499	Syae.g_00595
OG0000263	Prar.g_01511	Syae.g_00671
OG0000264	Prar.g_01521	Syae.g_00761
OG0000265	Prar.g_01599	Syae.g_00932, Syae.g_00226
OG0000266	Prar.g_01609	Syae.g_00457
OG0000267	Prar.g_01620	Syae.g_00304
OG0000268	Prar.g_01621	Syae.g_00308
OG0000269	Prar.g_01679	Syae.g_00526
OG0000270	Prar.g_01682	Syae.g_00523
OG0000271	Prar.g_01690	Syae.g_00515
OG0000272	Prar.g_01691	Syae.g_00514
OG0000273	Prar.g_01714	Syae.g_00825
OG0000274	Prar.g_01715	Syae.g_00826
OG0000275	Prar.g_01717	Syae.g_00832
OG0000276	Prar.g_01722	Syae.g_00839
OG0000277	Prar.g_01723	Syae.g_00840
OG0000278	Prar.g_01726	Syae.g_00843
OG0000279	Prar.g_01733	Syae.g_00851
OG0000280	Prar.g_01734	Syae.g_00877
OG0000281	Prar.g_01740	Syae.g_02057
OG0000282	Prar.g_01778	Syae.g_00573
OG0000283	Prar.g_01810	Syae.g_00321
OG0000284	Prar.g_01815	Syae.g_00327
OG0000285	Prar.g_01820	Syae.g_00340
OG0000286	Prar.g_01832	Syae.g_00359
OG0000287	Prar.g_01849	Syae.g_00387
OG0000288	Prar.g_01877	Syae.g_00419
OG0000289	Prar.g_01888	Syae.g_00433
OG0000290	Prar.g_01901	Syae.g_00796
OG0000291	Prar.g_01903	Syae.g_00794
OG0000292	Prar.g_01953	Syae.g_01705
OG0000293	Prar.g_01272	Syae.g_00938
OG0000294	Prar.g_01271	Syae.g_00937
OG0000295	Prar.g_01251	Syae.g_00893
OG0000296	Prar.g_01249	Syae.g_00891
OG0000297	Prar.g_01241	Syae.g_00645
OG0000298	Prar.g_01240	Syae.g_00646
OG0000299	Prar.g_01223	Syae.g_00680
OG0000300	Prar.g_01220	Syae.g_00686
OG0000301	Prar.g_01219	Syae.g_00687
OG0000302	Prar.g_01217	Syae.g_00691
OG0000303	Prar.g_01210	Syae.g_00700
OG0000304	Prar.g_01206	Syae.g_00706
OG0000305	Prar.g_00919	Syae.g_00791
OG0000306	Prar.g_00916	Syae.g_00277
OG0000307	Prar.g_00902	Syae.g_02290
OG0000308	Prar.g_00901	Syae.g_02288
OG0000309	Prar.g_00897	Syae.g_02283
OG0000310	Prar.g_00354	Syae.g_02687
OG0000311	Prar.g_00352	Syae.g_02682
OG0000312	Prar.g_00349	Syae.g_02664
OG0000313	Prar.g_00335	Syae.g_02647
OG0000314	Prar.g_00820	Syae.g_02618
OG0000315	Prar.g_00810	Syae.g_02609
OG0000316	Prar.g_00790	Syae.g_01118
OG0000317	Prar.g_01145	Syae.g_01160
OG0000318	Prar.g_01142	Syae.g_01164
OG0000319	Prar.g_01129	Syae.g_01181
OG0000320	Prar.g_01127	Syae.g_01183
OG0000321	Prar.g_01126	Syae.g_01184
OG0000322	Prar.g_01125	Syae.g_01185
OG0000323	Prar.g_01967	Syae.g_01200
OG0000324	Prar.g_00609	Syae.g_01049
OG0000325	Prar.g_01113	Syae.g_02033
OG0000326	Prar.g_01107	Syae.g_02040
OG0000327	Prar.g_01068	Syae.g_02080
OG0000328	Prar.g_01067	Syae.g_02081
OG0000329	Prar.g_01050	Syae.g_02099
OG0000330	Prar.g_01049	Syae.g_02100
OG0000331	Prar.g_01048	Syae.g_02101
OG0000332	Prar.g_01034	Syae.g_02116
OG0000333	Prar.g_01032	Syae.g_02119
OG0000334	Prar.g_01024	Syae.g_02128
OG0000335	Prar.g_01020	Syae.g_02132
OG0000336	Prar.g_01016	Syae.g_02136
OG0000337	Prar.g_00625	Syae.g_01879
OG0000338	Prar.g_00626	Syae.g_01876
OG0000339	Prar.g_00630	Syae.g_01869
OG0000340	Prar.g_00638	Syae.g_01855
OG0000341	Prar.g_00640	Syae.g_01853
OG0000342	Prar.g_00641	Syae.g_01852
OG0000343	Prar.g_00642	Syae.g_01848
OG0000344	Prar.g_00645	Syae.g_01843
OG0000345	Prar.g_00650	Syae.g_01833
OG0000346	Prar.g_00654	Syae.g_01828
OG0000347	Prar.g_00669	Syae.g_01805
OG0000348	Prar.g_00678	Syae.g_01781
OG0000349	Prar.g_00695	Syae.g_01763
OG0000350	Prar.g_00072	Syae.g_02047
OG0000351	Prar.g_00055	Syae.g_01684
OG0000352	Prar.g_00054	Syae.g_01685
OG0000353	Prar.g_00039	Syae.g_01711
OG0000355	Prar.g_00037	Syae.g_01713
OG0000356	Prar.g_00036	Syae.g_01714
OG0000357	Prar.g_00035	Syae.g_01715
OG0000358	Prar.g_00031	Syae.g_01719
OG0000359	Prar.g_00030	Syae.g_01721
OG0000360	Prar.g_00029	Syae.g_01722
OG0000361	Prar.g_00028	Syae.g_01723
OG0000362	Prar.g_00026	Syae.g_01725
OG0000363	Prar.g_00024	Syae.g_01727
OG0000364	Prar.g_00023	Syae.g_01728
OG0000365	Prar.g_00018	Syae.g_01737
OG0000366	Prar.g_00017	Syae.g_01738
OG0000367	Prar.g_00016	Syae.g_01739
OG0000368	Prar.g_00014	Syae.g_01741
OG0000369	Prar.g_00013	Syae.g_01742
OG0000370	Prar.g_00012	Syae.g_01743
OG0000371	Prar.g_00006	Syae.g_01751
OG0000372	Prar.g_00002	Syae.g_01756
OG0000373	Prar.g_00001	Syae.g_01757
OG0000374	Prar.g_00594	Syae.g_01758
OG0000375	Prar.g_00580	Syae.g_01759
OG0000376	Prar.g_00578	Syae.g_01761
OG0000377	Prar.g_00574	Syae.g_01561
OG0000378	Prar.g_00572	Syae.g_01553
OG0000379	Prar.g_00569	Syae.g_01550
OG0000380	Prar.g_00552	Syae.g_01281
OG0000381	Prar.g_00548	Syae.g_01285
OG0000382	Prar.g_00247	Syae.g_01322
OG0000383	Prar.g_00245	Syae.g_01324
OG0000384	Prar.g_00244	Syae.g_01325
OG0000385	Prar.g_00243	Syae.g_01326
OG0000386	Prar.g_00242	Syae.g_01327
OG0000387	Prar.g_00229	Syae.g_01354
OG0000388	Prar.g_00226	Syae.g_01358
OG0000389	Prar.g_00222	Syae.g_01362
OG0000390	Prar.g_00215	Syae.g_01378
OG0000391	Prar.g_00212	Syae.g_01383
OG0000392	Prar.g_00208	Syae.g_01389
OG0000393	Prar.g_00206	Syae.g_01392
OG0000394	Prar.g_00205	Syae.g_01393
OG0000395	Prar.g_00204	Syae.g_01394
OG0000396	Prar.g_00201	Syae.g_01397
OG0000397	Prar.g_00199	Syae.g_01400
OG0000398	Prar.g_00197	Syae.g_01405
OG0000399	Prar.g_00196	Syae.g_01406
OG0000400	Prar.g_00195	Syae.g_01407
OG0000401	Prar.g_00194	Syae.g_01408
OG0000402	Prar.g_00192	Syae.g_01410
OG0000403	Prar.g_00191	Syae.g_01411
OG0000404	Prar.g_00190	Syae.g_01412
OG0000405	Prar.g_00186	Syae.g_01426
OG0000406	Prar.g_00180	Syae.g_01430
OG0000407	Prar.g_00179	Syae.g_01431
OG0000408	Prar.g_00177	Syae.g_01433
OG0000409	Prar.g_00175	Syae.g_01435
OG0000410	Prar.g_00174	Syae.g_01436
OG0000411	Prar.g_00173	Syae.g_01437
OG0000412	Prar.g_00172	Syae.g_01438
OG0000413	Prar.g_00171	Syae.g_01440
OG0000415	Prar.g_00169	Syae.g_01441
OG0000416	Prar.g_00168	Syae.g_01442
OG0000417	Prar.g_00167	Syae.g_01443
OG0000418	Prar.g_00162	Syae.g_01448
OG0000419	Prar.g_00160	Syae.g_01450
OG0000420	Prar.g_00159	Syae.g_01452
OG0000421	Prar.g_00154	Syae.g_01457
OG0000422	Prar.g_00153	Syae.g_01458
OG0000423	Prar.g_00152	Syae.g_01459
OG0000424	Prar.g_00151	Syae.g_01460
OG0000425	Prar.g_00150	Syae.g_01461
OG0000426	Prar.g_00149	Syae.g_01462
OG0000427	Prar.g_00148	Syae.g_01463
OG0000428	Prar.g_00146	Syae.g_01466
OG0000429	Prar.g_00145	Syae.g_01468
OG0000430	Prar.g_00144	Syae.g_01470
OG0000431	Prar.g_00142	Syae.g_01473
OG0000432	Prar.g_00139	Syae.g_01481
OG0000433	Prar.g_00138	Syae.g_01484
OG0000434	Prar.g_00137	Syae.g_01485
OG0000435	Prar.g_00136	Syae.g_01486
OG0000436	Prar.g_00131	Syae.g_01491
OG0000437	Prar.g_00130	Syae.g_01492
OG0000438	Prar.g_00129	Syae.g_01493
OG0000439	Prar.g_00127	Syae.g_01495
OG0000440	Prar.g_00126	Syae.g_01496
OG0000441	Prar.g_00123	Syae.g_01501
OG0000442	Prar.g_00122	Syae.g_01502
OG0000443	Prar.g_00121	Syae.g_01503
OG0000444	Prar.g_00116	Syae.g_01509
OG0000445	Prar.g_00115	Syae.g_01510
OG0000446	Prar.g_00114	Syae.g_01512
OG0000447	Prar.g_00113	Syae.g_01517
OG0000448	Prar.g_00112	Syae.g_01518
OG0000449	Prar.g_00111	Syae.g_01519
OG0000450	Prar.g_00110	Syae.g_01525
OG0000451	Prar.g_00109	Syae.g_01526
OG0000452	Prar.g_00106	Syae.g_01530
OG0000453	Prar.g_00105	Syae.g_01531
OG0000454	Prar.g_00104	Syae.g_01532
OG0000455	Prar.g_00103	Syae.g_01533
OG0000456	Prar.g_00102	Syae.g_01534
OG0000457	Prar.g_00101	Syae.g_01536
OG0000458	Prar.g_00100	Syae.g_01538
OG0000459	Prar.g_00099	Syae.g_01539
OG0000460	Prar.g_00092	Syae.g_02236
OG0000461	Prar.g_00085	Syae.g_02024
OG0000462	Prar.g_00083	Syae.g_02021
OG0000463	Prar.g_00082	Syae.g_02020
OG0000464	Prar.g_00081	Syae.g_02019
OG0000465	Prar.g_00080	Syae.g_02018
OG0000466	Prar.g_00077	Syae.g_02014
OG0000467	Prar.g_00076	Syae.g_02012
OG0000468	Prar.g_00334	Syae.g_02007
OG0000469	Prar.g_00325	Syae.g_01992
OG0000470	Prar.g_00323	Syae.g_01990
OG0000471	Prar.g_00322	Syae.g_01989
OG0000472	Prar.g_00321	Syae.g_01987
OG0000473	Prar.g_00319	Syae.g_01985
OG0000474	Prar.g_00318	Syae.g_01984
OG0000475	Prar.g_00317	Syae.g_01983
OG0000476	Prar.g_00316	Syae.g_01981
OG0000477	Prar.g_00312	Syae.g_01975
OG0000478	Prar.g_00311	Syae.g_01974
OG0000479	Prar.g_00310	Syae.g_01973
OG0000480	Prar.g_00305	Syae.g_01966
OG0000481	Prar.g_00303	Syae.g_01964
OG0000482	Prar.g_00302	Syae.g_01963
OG0000483	Prar.g_00299	Syae.g_01959
OG0000484	Prar.g_00298	Syae.g_01958
OG0000485	Prar.g_00297	Syae.g_01957
OG0000486	Prar.g_00296	Syae.g_01956
OG0000487	Prar.g_00292	Syae.g_01950
OG0000488	Prar.g_00289	Syae.g_01946
OG0000489	Prar.g_00284	Syae.g_01936
OG0000490	Prar.g_00279	Syae.g_01928
OG0000491	Prar.g_00278	Syae.g_01927
OG0000492	Prar.g_00276	Syae.g_01925
OG0000493	Prar.g_00275	Syae.g_01924
OG0000494	Prar.g_00274	Syae.g_01923
OG0000495	Prar.g_00273	Syae.g_01922
OG0000496	Prar.g_00272	Syae.g_01921
OG0000497	Prar.g_00271	Syae.g_01920
OG0000498	Prar.g_00270	Syae.g_01919
OG0000499	Prar.g_00269	Syae.g_01918
OG0000500	Prar.g_00268	Syae.g_01917
OG0000501	Prar.g_00266	Syae.g_01914
OG0000502	Prar.g_00263	Syae.g_01902
OG0000503	Prar.g_00394	Syae.g_02192
OG0000504	Prar.g_00395	Syae.g_02194
OG0000505	Prar.g_00396	Syae.g_02195
OG0000506	Prar.g_00398	Syae.g_02197
OG0000507	Prar.g_00401	Syae.g_02203
OG0000508	Prar.g_00405	Syae.g_02207
OG0000509	Prar.g_00407	Syae.g_02209
OG0000510	Prar.g_00408	Syae.g_02210
OG0000511	Prar.g_00409	Syae.g_02211
OG0000512	Prar.g_00411	Syae.g_02213
OG0000513	Prar.g_00418	Syae.g_02223
OG0000514	Prar.g_00479	Syae.g_02229
OG0000515	Prar.g_00480	Syae.g_02230
OG0000516	Prar.g_00481	Syae.g_01000
OG0000517	Prar.g_00483	Syae.g_00995
OG0000518	Prar.g_00494	Syae.g_00983
OG0000519	Prar.g_00495	Syae.g_00982
OG0000520	Prar.g_00496	Syae.g_00981
OG0000521	Prar.g_00501	Syae.g_02491
OG0000522	Prar.g_00503	Syae.g_02493
OG0000523	Prar.g_00504	Syae.g_02494
OG0000524	Prar.g_00510	Syae.g_02501
OG0000525	Prar.g_00513	Syae.g_02520
OG0000526	Prar.g_00514	Syae.g_02523
OG0000527	Prar.g_00523	Syae.g_02528
OG0000528	Prar.g_00528	Syae.g_02304
OG0000529	Prar.g_00531	Syae.g_02310
OG0000530	Prar.g_00534	Syae.g_02313
OG0000531	Prar.g_00535	Syae.g_02314
OG0000532	Prar.g_00537	Syae.g_02317
OG0000533	Prar.g_00538	Syae.g_02318
OG0000534	Prar.g_00539	Syae.g_02319
OG0000535	Prar.g_00540	Syae.g_02320
OG0000536	Prar.g_00541	Syae.g_02321
OG0000537	Prar.g_00542	Syae.g_02322
OG0000538	Prar.g_01331	Syae.g_02333
OG0000539	Prar.g_01332	Syae.g_02334
OG0000540	Prar.g_01333	Syae.g_02335
OG0000541	Prar.g_01334	Syae.g_02336
OG0000542	Prar.g_01336	Syae.g_02339
OG0000543	Prar.g_01338	Syae.g_02341
OG0000544	Prar.g_01339	Syae.g_02342
OG0000545	Prar.g_01341	Syae.g_02344
OG0000546	Prar.g_01344	Syae.g_02346
OG0000547	Prar.g_01345	Syae.g_02348
OG0000548	Prar.g_01346	Syae.g_02349
OG0000549	Prar.g_01348	Syae.g_02354
OG0000550	Prar.g_01353	Syae.g_02358
OG0000551	Prar.g_01357	Syae.g_02363
OG0000552	Prar.g_01358	Syae.g_02364
OG0000553	Prar.g_01359	Syae.g_02366
OG0000554	Prar.g_01364	Syae.g_02375
OG0000555	Prar.g_01372	Syae.g_02390
OG0000556	Prar.g_01374	Syae.g_02394
OG0000557	Prar.g_01375	Syae.g_02398
OG0000558	Prar.g_01377	Syae.g_02400
OG0000559	Prar.g_01381	Syae.g_02404
OG0000560	Prar.g_01384	Syae.g_02407
OG0000561	Prar.g_01385	Syae.g_02408
OG0000562	Prar.g_01386	Syae.g_02409
OG0000563	Prar.g_01387	Syae.g_02410
OG0000564	Prar.g_01388	Syae.g_02411
OG0000565	Prar.g_01391	Syae.g_02414
OG0000566	Prar.g_01393	Syae.g_02418
OG0000567	Prar.g_01397	Syae.g_02422
OG0000568	Prar.g_01398	Syae.g_02427
OG0000569	Prar.g_01399	Syae.g_02428
OG0000570	Prar.g_01400	Syae.g_02429
OG0000571	Prar.g_01402	Syae.g_02433
OG0000572	Prar.g_01415	Syae.g_02448
OG0000573	Prar.g_01422	Syae.g_02456
OG0000574	Prar.g_01423	Syae.g_02457
OG0000575	Prar.g_01427	Syae.g_02461
OG0000576	Prar.g_01429	Syae.g_02463
OG0000577	Prar.g_01430	Syae.g_02464
OG0000578	Prar.g_01431	Syae.g_02465
OG0000579	Prar.g_01432	Syae.g_02466
OG0000580	Prar.g_01433	Syae.g_02467
OG0000581	Prar.g_01435	Syae.g_02473
OG0000582	Prar.g_01438	Syae.g_00018
OG0000583	Prar.g_01439	Syae.g_00019
OG0000584	Prar.g_01440	Syae.g_00020
OG0000585	Prar.g_01442	Syae.g_00022
