Orthogroup	Prar	Pram
OG0000443	Prar.g_00121	Pram.g_00191
OG0000444	Prar.g_00116	Pram.g_00196
OG0000445	Prar.g_00115	Pram.g_00197
OG0000446	Prar.g_00114	Pram.g_00198
OG0000447	Prar.g_00113	Pram.g_00199
OG0000448	Prar.g_00112	Pram.g_00200
OG0000449	Prar.g_00111	Pram.g_00201
OG0000450	Prar.g_00110	Pram.g_00202
OG0000451	Prar.g_00109	Pram.g_00203
OG0000452	Prar.g_00106	Pram.g_00206
OG0000453	Prar.g_00105	Pram.g_00207
OG0000454	Prar.g_00104	Pram.g_00208
OG0000455	Prar.g_00103	Pram.g_00209
OG0000456	Prar.g_00102	Pram.g_00210
OG0000457	Prar.g_00101	Pram.g_00212
OG0000458	Prar.g_00100	Pram.g_00213
OG0000459	Prar.g_00099	Pram.g_00214
OG0000460	Prar.g_00092	Pram.g_00222
OG0000461	Prar.g_00085	Pram.g_00230
OG0000462	Prar.g_00083	Pram.g_00232
OG0000463	Prar.g_00082	Pram.g_00233
OG0000464	Prar.g_00081	Pram.g_00234
OG0000465	Prar.g_00080	Pram.g_00235
OG0000466	Prar.g_00077	Pram.g_00238
OG0000467	Prar.g_00076	Pram.g_00239
OG0000468	Prar.g_00334	Pram.g_00242
OG0000469	Prar.g_00325	Pram.g_00250
OG0000470	Prar.g_00323	Pram.g_00252
OG0000471	Prar.g_00322	Pram.g_00253
OG0000472	Prar.g_00321	Pram.g_00254
OG0000473	Prar.g_00319	Pram.g_00256
OG0000474	Prar.g_00318	Pram.g_00257
OG0000475	Prar.g_00317	Pram.g_00258
OG0000476	Prar.g_00316	Pram.g_00260
OG0000477	Prar.g_00312	Pram.g_00263
OG0000478	Prar.g_00311	Pram.g_00264
OG0000479	Prar.g_00310	Pram.g_00265
OG0000480	Prar.g_00305	Pram.g_00270
OG0000481	Prar.g_00303	Pram.g_00273
OG0000482	Prar.g_00302	Pram.g_00274
OG0000483	Prar.g_00299	Pram.g_00277
OG0000484	Prar.g_00298	Pram.g_00278
OG0000485	Prar.g_00297	Pram.g_00280
OG0000486	Prar.g_00296	Pram.g_00281
OG0000487	Prar.g_00292	Pram.g_00284
OG0000488	Prar.g_00289	Pram.g_00287
OG0000489	Prar.g_00284	Pram.g_00292
OG0000490	Prar.g_00279	Pram.g_00296
OG0000491	Prar.g_00278	Pram.g_00297
OG0000492	Prar.g_00276	Pram.g_00299
OG0000493	Prar.g_00275	Pram.g_00300
OG0000494	Prar.g_00274	Pram.g_00301
OG0000495	Prar.g_00273	Pram.g_00302
OG0000496	Prar.g_00272	Pram.g_00303
OG0000497	Prar.g_00271	Pram.g_00304
OG0000498	Prar.g_00270	Pram.g_00305
OG0000499	Prar.g_00269	Pram.g_00306
OG0000500	Prar.g_00268	Pram.g_00307
OG0000501	Prar.g_00266	Pram.g_00309
OG0000502	Prar.g_00263	Pram.g_00312
OG0000503	Prar.g_00394	Pram.g_00328
OG0000504	Prar.g_00395	Pram.g_00330
OG0000505	Prar.g_00396	Pram.g_00331
OG0000506	Prar.g_00398	Pram.g_00332
OG0000507	Prar.g_00401	Pram.g_00336
OG0000508	Prar.g_00405	Pram.g_00340
OG0000509	Prar.g_00407	Pram.g_00342
OG0000510	Prar.g_00408	Pram.g_00343
OG0000511	Prar.g_00409	Pram.g_00344
OG0000512	Prar.g_00411	Pram.g_00346
OG0000513	Prar.g_00418	Pram.g_00355
OG0000514	Prar.g_00479	Pram.g_00366
OG0000515	Prar.g_00480	Pram.g_00367
OG0000516	Prar.g_00481	Pram.g_00368
OG0000517	Prar.g_00483	Pram.g_00370
OG0000518	Prar.g_00494	Pram.g_00381
OG0000519	Prar.g_00495	Pram.g_00382
OG0000520	Prar.g_00496	Pram.g_00383
OG0000521	Prar.g_00501	Pram.g_00393
OG0000522	Prar.g_00503	Pram.g_00395
OG0000523	Prar.g_00504	Pram.g_00396
OG0000524	Prar.g_00510	Pram.g_00400
OG0000525	Prar.g_00513	Pram.g_00404
OG0000526	Prar.g_00514	Pram.g_00406
OG0000527	Prar.g_00523	Pram.g_00409
OG0000528	Prar.g_00528	Pram.g_00414
OG0000529	Prar.g_00531	Pram.g_00417
OG0000530	Prar.g_00534	Pram.g_00420
OG0000531	Prar.g_00535	Pram.g_00421
OG0000532	Prar.g_00537	Pram.g_00423
OG0000533	Prar.g_00538	Pram.g_00424
OG0000534	Prar.g_00539	Pram.g_00425
OG0000535	Prar.g_00540	Pram.g_00426
OG0000536	Prar.g_00541	Pram.g_00427
OG0000537	Prar.g_00542	Pram.g_00428
OG0000538	Prar.g_01331	Pram.g_00438
OG0000539	Prar.g_01332	Pram.g_00439
OG0000540	Prar.g_01333	Pram.g_00440
OG0000541	Prar.g_01334	Pram.g_00441
OG0000542	Prar.g_01336	Pram.g_00442
OG0000543	Prar.g_01338	Pram.g_00444
OG0000544	Prar.g_01339	Pram.g_00445
OG0000545	Prar.g_01341	Pram.g_00447
OG0000546	Prar.g_01344	Pram.g_00450
OG0000547	Prar.g_01345	Pram.g_00452
OG0000548	Prar.g_01346	Pram.g_00453
OG0000549	Prar.g_01348	Pram.g_00456
OG0000550	Prar.g_01353	Pram.g_00461
OG0000551	Prar.g_01357	Pram.g_00464
OG0000552	Prar.g_01358	Pram.g_00465
OG0000553	Prar.g_01359	Pram.g_00466
OG0000554	Prar.g_01364	Pram.g_00472
OG0000555	Prar.g_01372	Pram.g_00479
OG0000556	Prar.g_01374	Pram.g_00481
OG0000557	Prar.g_01375	Pram.g_00482
OG0000558	Prar.g_01377	Pram.g_00484
OG0000559	Prar.g_01381	Pram.g_00488
OG0000560	Prar.g_01384	Pram.g_00491
OG0000561	Prar.g_01385	Pram.g_00492
OG0000562	Prar.g_01386	Pram.g_00493
OG0000563	Prar.g_01387	Pram.g_00494
OG0000564	Prar.g_01388	Pram.g_00495
OG0000565	Prar.g_01391	Pram.g_00498
OG0000566	Prar.g_01393	Pram.g_00502
OG0000567	Prar.g_01397	Pram.g_00506
OG0000568	Prar.g_01398	Pram.g_00507
OG0000569	Prar.g_01399	Pram.g_00508
OG0000570	Prar.g_01400	Pram.g_00509
OG0000571	Prar.g_01402	Pram.g_00511
OG0000572	Prar.g_01415	Pram.g_00523
OG0000573	Prar.g_01422	Pram.g_00529
OG0000574	Prar.g_01423	Pram.g_00530
OG0000575	Prar.g_01427	Pram.g_00534
OG0000576	Prar.g_01429	Pram.g_00536
OG0000577	Prar.g_01430	Pram.g_00537
OG0000578	Prar.g_01431	Pram.g_00538
