Orthogroup	Prar	Syac
OG0000076	Prar.g_00592, Prar.g_00653	Syac.g_00156
OG0000077	Prar.g_00250	Syac.g_00439
OG0000078	Prar.g_00088	Syac.g_01964
OG0000081	Prar.g_01361	Syac.g_01954, Syac.g_00461
OG0000082	Prar.g_01414	Syac.g_01766
OG0000084	Prar.g_00343	Syac.g_00822, Syac.g_01627
OG0000085	Prar.g_01150	Syac.g_00560
OG0000086	Prar.g_00240	Syac.g_00423
OG0000087	Prar.g_00189	Syac.g_00343
OG0000088	Prar.g_00161	Syac.g_00308
OG0000089	Prar.g_00416	Syac.g_01988, Syac.g_01543
OG0000090	Prar.g_01363	Syac.g_01836
OG0000091	Prar.g_01472	Syac.g_00987
OG0000093	Prar.g_01801	Syac.g_01357
OG0000094	Prar.g_01885	Syac.g_01251
OG0000095	Prar.g_01904	Syac.g_00884
OG0000097	Prar.g_01222	Syac.g_01507
OG0000098	Prar.g_00929	Syac.g_02157
OG0000099	Prar.g_00872	Syac.g_00234
OG0000100	Prar.g_00773	Syac.g_01309
OG0000101	Prar.g_01027	Syac.g_02094
OG0000102	Prar.g_00658	Syac.g_00151
OG0000103	Prar.g_00050	Syac.g_02476
OG0000104	Prar.g_00042	Syac.g_02490
OG0000105	Prar.g_00313	Syac.g_02245
OG0000106	Prar.g_00431	Syac.g_01098
OG0000107	Prar.g_00446	Syac.g_02191
OG0000108	Prar.g_00530	Syac.g_01904
OG0000109	Prar.g_00544	Syac.g_01889
OG0000110	Prar.g_01404	Syac.g_01778
OG0000111	Prar.g_01529	Syac.g_00893
OG0000112	Prar.g_01652	Syac.g_01173
OG0000113	Prar.g_01706	Syac.g_01314
OG0000114	Prar.g_01776	Syac.g_01394
OG0000115	Prar.g_01318	Syac.g_01655
OG0000116	Prar.g_01273	Syac.g_00753
OG0000117	Prar.g_01003	Syac.g_01477
OG0000118	Prar.g_00943	Syac.g_01728
OG0000120	Prar.g_00880	Syac.g_00233
OG0000121	Prar.g_00337	Syac.g_01635
OG0000122	Prar.g_00807	Syac.g_01013
OG0000123	Prar.g_01021	Syac.g_02086
OG0000124	Prar.g_00668	Syac.g_00135
OG0000125	Prar.g_00704	Syac.g_02360
OG0000126	Prar.g_00043	Syac.g_02488
OG0000128	Prar.g_00027	Syac.g_00012
OG0000129	Prar.g_00576	Syac.g_02349
OG0000130	Prar.g_00549	Syac.g_00450
OG0000131	Prar.g_00182	Syac.g_00330
OG0000132	Prar.g_00163	Syac.g_00310
OG0000133	Prar.g_00265	Syac.g_01178
OG0000134	Prar.g_00417	Syac.g_01985
OG0000135	Prar.g_00444	Syac.g_02398
OG0000136	Prar.g_00489	Syac.g_00701
OG0000137	Prar.g_00525	Syac.g_01700
OG0000138	Prar.g_00545	Syac.g_01888
OG0000139	Prar.g_01367	Syac.g_01830
OG0000140	Prar.g_01368	Syac.g_01829
OG0000141	Prar.g_01437	Syac.g_00934
OG0000142	Prar.g_01465	Syac.g_00979
OG0000143	Prar.g_01469	Syac.g_00983
OG0000144	Prar.g_01482	Syac.g_01090
OG0000145	Prar.g_01651	Syac.g_01882
OG0000146	Prar.g_01653	Syac.g_01172
OG0000147	Prar.g_01654	Syac.g_01171
OG0000148	Prar.g_01700	Syac.g_01320
OG0000149	Prar.g_01730	Syac.g_00832
OG0000150	Prar.g_01738	Syac.g_00935
OG0000151	Prar.g_01786	Syac.g_01383
OG0000152	Prar.g_01833	Syac.g_01182
OG0000153	Prar.g_01852	Syac.g_01217
OG0000154	Prar.g_01878	Syac.g_01241
OG0000155	Prar.g_01243	Syac.g_00804
OG0000156	Prar.g_00966	Syac.g_00743
OG0000157	Prar.g_00965	Syac.g_00742
OG0000158	Prar.g_00375	Syac.g_00182
OG0000160	Prar.g_00338	Syac.g_01633
OG0000161	Prar.g_00840	Syac.g_01641
OG0000162	Prar.g_00834	Syac.g_01648
OG0000163	Prar.g_00800	Syac.g_00619
OG0000164	Prar.g_01964	Syac.g_00508
OG0000165	Prar.g_01971	Syac.g_00674
OG0000166	Prar.g_01063	Syac.g_02132
OG0000167	Prar.g_00627	Syac.g_00194
OG0000168	Prar.g_00637	Syac.g_00179
OG0000169	Prar.g_00647	Syac.g_00168
OG0000170	Prar.g_00649	Syac.g_00161
OG0000171	Prar.g_00667	Syac.g_00136
OG0000172	Prar.g_00675	Syac.g_00084
OG0000173	Prar.g_00690	Syac.g_00057
OG0000174	Prar.g_00068	Syac.g_02401
OG0000175	Prar.g_00058	Syac.g_02465
OG0000176	Prar.g_00034	Syac.g_00004
OG0000177	Prar.g_00033	Syac.g_00005
OG0000178	Prar.g_00032	Syac.g_00006
OG0000179	Prar.g_00022	Syac.g_00019
OG0000180	Prar.g_00021	Syac.g_00020
OG0000181	Prar.g_00020	Syac.g_00021
OG0000182	Prar.g_00019	Syac.g_00022
OG0000183	Prar.g_00015	Syac.g_00026
OG0000184	Prar.g_00573	Syac.g_02339
OG0000185	Prar.g_00570	Syac.g_02336
OG0000186	Prar.g_00554	Syac.g_00454
OG0000187	Prar.g_00553	Syac.g_00453
OG0000188	Prar.g_00246	Syac.g_00433
OG0000189	Prar.g_00232	Syac.g_00408
OG0000190	Prar.g_00231	Syac.g_00406
OG0000191	Prar.g_00211	Syac.g_00373
OG0000192	Prar.g_00207	Syac.g_00368
OG0000193	Prar.g_00181	Syac.g_00329
OG0000194	Prar.g_00178	Syac.g_00326
OG0000195	Prar.g_00176	Syac.g_00324
OG0000196	Prar.g_00166	Syac.g_00313
OG0000197	Prar.g_00165	Syac.g_00312
OG0000198	Prar.g_00164	Syac.g_00311
OG0000199	Prar.g_00157	Syac.g_00303
OG0000200	Prar.g_00143	Syac.g_02261
OG0000201	Prar.g_00135	Syac.g_02278
OG0000202	Prar.g_00134	Syac.g_02279
OG0000203	Prar.g_00133	Syac.g_02280
OG0000204	Prar.g_00132	Syac.g_02281
OG0000205	Prar.g_00125	Syac.g_02288
OG0000206	Prar.g_00120	Syac.g_02297
OG0000207	Prar.g_00118	Syac.g_02300
OG0000208	Prar.g_00117	Syac.g_02301
OG0000209	Prar.g_00108	Syac.g_02316
OG0000210	Prar.g_00107	Syac.g_02317
OG0000211	Prar.g_00094	Syac.g_01972
OG0000212	Prar.g_00087	Syac.g_01963
OG0000213	Prar.g_00330	Syac.g_02219
OG0000214	Prar.g_00320	Syac.g_02236
OG0000215	Prar.g_00295	Syac.g_00281
OG0000216	Prar.g_00293	Syac.g_00277
OG0000217	Prar.g_01154, Prar.g_00290	Syac.g_00273
OG0000218	Prar.g_00288	Syac.g_00271
OG0000219	Prar.g_00287	Syac.g_00270
OG0000220	Prar.g_00286	Syac.g_00269
OG0000221	Prar.g_00285	Syac.g_00261
OG0000222	Prar.g_00277	Syac.g_00247
OG0000223	Prar.g_00264	Syac.g_00225
OG0000224	Prar.g_00262	Syac.g_00217
OG0000225	Prar.g_00406	Syac.g_02004
OG0000226	Prar.g_00410	Syac.g_02000
OG0000227	Prar.g_00412	Syac.g_01998
OG0000228	Prar.g_00415	Syac.g_01989
OG0000229	Prar.g_00484	Syac.g_00692
OG0000230	Prar.g_00486	Syac.g_00694
OG0000231	Prar.g_00497	Syac.g_00710
OG0000232	Prar.g_00506	Syac.g_01717
OG0000233	Prar.g_00512	Syac.g_01713
OG0000234	Prar.g_00526	Syac.g_01699
OG0000235	Prar.g_00529	Syac.g_01905
OG0000236	Prar.g_00543	Syac.g_01890
OG0000237	Prar.g_01337	Syac.g_01873
OG0000238	Prar.g_01343	Syac.g_01868
OG0000239	Prar.g_01355	Syac.g_01852
OG0000240	Prar.g_01356	Syac.g_01851
OG0000241	Prar.g_01360	Syac.g_00970
OG0000242	Prar.g_01362	Syac.g_01839
OG0000243	Prar.g_01373	Syac.g_01821
OG0000244	Prar.g_01376	Syac.g_01814
OG0000245	Prar.g_01378	Syac.g_01811
OG0000246	Prar.g_01382	Syac.g_01807
OG0000247	Prar.g_01392	Syac.g_01795
OG0000248	Prar.g_01394	Syac.g_01792
OG0000249	Prar.g_01396	Syac.g_01790
OG0000250	Prar.g_01401	Syac.g_01782
OG0000251	Prar.g_01420	Syac.g_01757
OG0000252	Prar.g_01424	Syac.g_01753
OG0000253	Prar.g_01425	Syac.g_01752
OG0000254	Prar.g_01441	Syac.g_00939
OG0000255	Prar.g_01447	Syac.g_00947
OG0000256	Prar.g_01457	Syac.g_00963
OG0000257	Prar.g_01460	Syac.g_00969
OG0000258	Prar.g_01473	Syac.g_00988
OG0000259	Prar.g_01490	Syac.g_01425
OG0000260	Prar.g_01493	Syac.g_01422
OG0000261	Prar.g_01495	Syac.g_01418
OG0000262	Prar.g_01499	Syac.g_01413
OG0000263	Prar.g_01511	Syac.g_01497
OG0000264	Prar.g_01521	Syac.g_00915
OG0000265	Prar.g_01599	Syac.g_00673
OG0000266	Prar.g_01609	Syac.g_01271
OG0000267	Prar.g_01620	Syac.g_01131
OG0000268	Prar.g_01621	Syac.g_01132
OG0000269	Prar.g_01679	Syac.g_01346
OG0000270	Prar.g_01682	Syac.g_01343
OG0000271	Prar.g_01690	Syac.g_01335
OG0000272	Prar.g_01691	Syac.g_01334
OG0000273	Prar.g_01714	Syac.g_00854
OG0000274	Prar.g_01715	Syac.g_00853
OG0000275	Prar.g_01717	Syac.g_00848
OG0000276	Prar.g_01722	Syac.g_00840
OG0000277	Prar.g_01723	Syac.g_00839
OG0000278	Prar.g_01726	Syac.g_00836
OG0000279	Prar.g_01733	Syac.g_00828
OG0000280	Prar.g_01734	Syac.g_00814
OG0000281	Prar.g_01740	Syac.g_02158
OG0000282	Prar.g_01778	Syac.g_01392
OG0000283	Prar.g_01810	Syac.g_01142
OG0000284	Prar.g_01815	Syac.g_01148
OG0000285	Prar.g_01820	Syac.g_01160
OG0000286	Prar.g_01832	Syac.g_01181
OG0000287	Prar.g_01849	Syac.g_01692, Syac.g_01209
OG0000288	Prar.g_01877	Syac.g_01240
OG0000289	Prar.g_01888	Syac.g_01254
OG0000290	Prar.g_01901	Syac.g_00881
OG0000291	Prar.g_01903	Syac.g_00883
OG0000292	Prar.g_01953	Syac.g_02487
OG0000293	Prar.g_01272	Syac.g_00754
OG0000294	Prar.g_01271	Syac.g_00755
OG0000295	Prar.g_01251	Syac.g_00796
OG0000296	Prar.g_01249	Syac.g_00798
OG0000297	Prar.g_01241	Syac.g_01475
OG0000298	Prar.g_01240	Syac.g_01476
OG0000299	Prar.g_01223	Syac.g_01503
OG0000300	Prar.g_01220	Syac.g_01510
OG0000301	Prar.g_01219	Syac.g_01511
OG0000302	Prar.g_01217	Syac.g_01512
OG0000303	Prar.g_01210	Syac.g_01520
OG0000304	Prar.g_01206	Syac.g_01526
OG0000305	Prar.g_00919	Syac.g_00886
OG0000306	Prar.g_00916	Syac.g_00810
OG0000307	Prar.g_00902	Syac.g_01924
OG0000308	Prar.g_00901	Syac.g_01926
OG0000309	Prar.g_00897	Syac.g_01931
OG0000310	Prar.g_00354	Syac.g_01607
OG0000311	Prar.g_00352	Syac.g_01611
OG0000312	Prar.g_00349	Syac.g_01619
OG0000313	Prar.g_00335	Syac.g_01638
OG0000314	Prar.g_00820	Syac.g_01665
OG0000315	Prar.g_00810	Syac.g_01675
OG0000316	Prar.g_00790	Syac.g_00601
OG0000317	Prar.g_01145	Syac.g_00552
OG0000318	Prar.g_01142	Syac.g_00543
OG0000319	Prar.g_01129	Syac.g_00525
OG0000320	Prar.g_01127	Syac.g_00523
OG0000321	Prar.g_01126	Syac.g_00522
OG0000322	Prar.g_01125	Syac.g_00521
OG0000323	Prar.g_01967	Syac.g_00506
OG0000324	Prar.g_00609	Syac.g_00648
OG0000325	Prar.g_01113	Syac.g_02190
OG0000326	Prar.g_01107	Syac.g_02183
OG0000327	Prar.g_01068	Syac.g_02137
OG0000328	Prar.g_01067	Syac.g_02136
OG0000329	Prar.g_01050	Syac.g_02119
OG0000330	Prar.g_01049	Syac.g_02118
OG0000331	Prar.g_01048	Syac.g_02117
OG0000332	Prar.g_01034	Syac.g_02103
OG0000333	Prar.g_01032	Syac.g_02100
OG0000334	Prar.g_01024	Syac.g_02090
OG0000335	Prar.g_01020	Syac.g_02085
OG0000336	Prar.g_01016	Syac.g_02081
OG0000337	Prar.g_00625	Syac.g_00199
OG0000338	Prar.g_00626	Syac.g_00196
OG0000339	Prar.g_00630	Syac.g_00190
OG0000340	Prar.g_00638	Syac.g_00178
OG0000341	Prar.g_00640	Syac.g_00176
OG0000342	Prar.g_00641	Syac.g_00175
OG0000343	Prar.g_00642	Syac.g_00174
OG0000344	Prar.g_00645	Syac.g_00170
OG0000345	Prar.g_00650	Syac.g_00160
OG0000346	Prar.g_00654	Syac.g_00155
OG0000347	Prar.g_00669	Syac.g_00129
OG0000348	Prar.g_00678	Syac.g_00070, Syac.g_00074
OG0000349	Prar.g_00695	Syac.g_00050
OG0000350	Prar.g_00072	Syac.g_02176
OG0000351	Prar.g_00055	Syac.g_02468
OG0000352	Prar.g_00054	Syac.g_02469
OG0000353	Prar.g_00039	Syac.g_02493
OG0000355	Prar.g_00037	Syac.g_00001
OG0000356	Prar.g_00036	Syac.g_00002
OG0000357	Prar.g_00035	Syac.g_00003
OG0000358	Prar.g_00031	Syac.g_00007
OG0000359	Prar.g_00030	Syac.g_00009
OG0000360	Prar.g_00029	Syac.g_00010
OG0000361	Prar.g_00028	Syac.g_00011
OG0000362	Prar.g_00026	Syac.g_00013
OG0000363	Prar.g_00024	Syac.g_00015
OG0000364	Prar.g_00023	Syac.g_00016
OG0000365	Prar.g_00018	Syac.g_00023
OG0000366	Prar.g_00017	Syac.g_00024
OG0000367	Prar.g_00016	Syac.g_00025
OG0000368	Prar.g_00014	Syac.g_00027
OG0000369	Prar.g_00013	Syac.g_00028
OG0000370	Prar.g_00012	Syac.g_00029
OG0000371	Prar.g_00006	Syac.g_00036
OG0000372	Prar.g_00002	Syac.g_00041
OG0000373	Prar.g_00001	Syac.g_00042
OG0000374	Prar.g_00594	Syac.g_00043
OG0000375	Prar.g_00580	Syac.g_00046
OG0000376	Prar.g_00578	Syac.g_00048
OG0000377	Prar.g_00574	Syac.g_02346
OG0000378	Prar.g_00572	Syac.g_02338
OG0000379	Prar.g_00569	Syac.g_02335
OG0000380	Prar.g_00552	Syac.g_00452
OG0000381	Prar.g_00548	Syac.g_00449
OG0000382	Prar.g_00247	Syac.g_00434
OG0000383	Prar.g_00245	Syac.g_00432
OG0000384	Prar.g_00244	Syac.g_00431
OG0000385	Prar.g_00243	Syac.g_00430
OG0000386	Prar.g_00242	Syac.g_00429
OG0000387	Prar.g_00229	Syac.g_00404
OG0000388	Prar.g_00226	Syac.g_00401
OG0000389	Prar.g_00222	Syac.g_00397
OG0000390	Prar.g_00215	Syac.g_00379
OG0000391	Prar.g_00212	Syac.g_00374
OG0000392	Prar.g_00208	Syac.g_00369
OG0000393	Prar.g_00206	Syac.g_00366
OG0000394	Prar.g_00205	Syac.g_00365
OG0000395	Prar.g_00204	Syac.g_00364
OG0000396	Prar.g_00201	Syac.g_00361
OG0000397	Prar.g_00199	Syac.g_00359
OG0000398	Prar.g_00197	Syac.g_00354
OG0000399	Prar.g_00196	Syac.g_00353
OG0000400	Prar.g_00195	Syac.g_00352
OG0000401	Prar.g_00194	Syac.g_00351
OG0000402	Prar.g_00192	Syac.g_00348
OG0000403	Prar.g_00191	Syac.g_00347
OG0000404	Prar.g_00190	Syac.g_00345
OG0000405	Prar.g_00186	Syac.g_00332
OG0000406	Prar.g_00180	Syac.g_00328
OG0000407	Prar.g_00179	Syac.g_00327
OG0000408	Prar.g_00177	Syac.g_00325
OG0000409	Prar.g_00175	Syac.g_00323
OG0000410	Prar.g_00174	Syac.g_00322
OG0000411	Prar.g_00173	Syac.g_00321
OG0000412	Prar.g_00172	Syac.g_00320
OG0000413	Prar.g_00171	Syac.g_00318
OG0000414	Prar.g_01569, Prar.g_00170	Syac.g_00317
OG0000415	Prar.g_00169	Syac.g_00316
OG0000416	Prar.g_00168	Syac.g_00315
OG0000417	Prar.g_00167	Syac.g_00314
OG0000418	Prar.g_00162	Syac.g_00309
OG0000419	Prar.g_00160	Syac.g_00307
OG0000420	Prar.g_00159	Syac.g_00305
OG0000421	Prar.g_00154	Syac.g_00300
OG0000422	Prar.g_00153	Syac.g_00299
OG0000423	Prar.g_00152	Syac.g_00298
OG0000424	Prar.g_00151	Syac.g_00297
OG0000425	Prar.g_00150	Syac.g_00296
OG0000426	Prar.g_00149	Syac.g_00295
OG0000427	Prar.g_00148	Syac.g_00294
OG0000428	Prar.g_00146	Syac.g_02257
OG0000429	Prar.g_00145	Syac.g_02259
OG0000430	Prar.g_00144	Syac.g_02260
OG0000431	Prar.g_00142	Syac.g_02264
OG0000432	Prar.g_00139	Syac.g_02270
OG0000433	Prar.g_00138	Syac.g_02272
OG0000434	Prar.g_00137	Syac.g_02273
OG0000435	Prar.g_00136	Syac.g_02277
OG0000436	Prar.g_00131	Syac.g_02282
OG0000437	Prar.g_00130	Syac.g_02283
OG0000438	Prar.g_00129	Syac.g_02284
OG0000439	Prar.g_00127	Syac.g_02286
OG0000440	Prar.g_00126	Syac.g_02287
OG0000441	Prar.g_00123	Syac.g_02294
OG0000442	Prar.g_00122	Syac.g_02295
OG0000443	Prar.g_00121	Syac.g_02296
OG0000444	Prar.g_00116	Syac.g_02303
OG0000445	Prar.g_00115	Syac.g_02304
OG0000446	Prar.g_00114	Syac.g_02305
OG0000447	Prar.g_00113	Syac.g_02308
OG0000448	Prar.g_00112	Syac.g_02309
OG0000449	Prar.g_00111	Syac.g_02310
OG0000450	Prar.g_00110	Syac.g_02313
OG0000451	Prar.g_00109	Syac.g_02314
OG0000452	Prar.g_00106	Syac.g_02318
OG0000453	Prar.g_00105	Syac.g_02319
OG0000454	Prar.g_00104	Syac.g_02320
OG0000455	Prar.g_00103	Syac.g_02321
OG0000456	Prar.g_00102	Syac.g_02322
OG0000457	Prar.g_00101	Syac.g_02324
OG0000458	Prar.g_00100	Syac.g_02325
OG0000459	Prar.g_00099	Syac.g_02326
OG0000460	Prar.g_00092	Syac.g_01970
OG0000461	Prar.g_00085	Syac.g_02198
OG0000462	Prar.g_00083	Syac.g_02201
OG0000463	Prar.g_00082	Syac.g_02202
OG0000464	Prar.g_00081	Syac.g_02203
OG0000465	Prar.g_00080	Syac.g_02204
OG0000466	Prar.g_00077	Syac.g_02208
OG0000467	Prar.g_00076	Syac.g_02210
OG0000468	Prar.g_00334	Syac.g_02216
OG0000469	Prar.g_00325	Syac.g_02230
OG0000470	Prar.g_00323	Syac.g_02232
OG0000471	Prar.g_00322	Syac.g_02233
OG0000472	Prar.g_00321	Syac.g_02235
OG0000473	Prar.g_00319	Syac.g_02237
OG0000474	Prar.g_00318	Syac.g_02238
OG0000475	Prar.g_00317	Syac.g_02239
OG0000476	Prar.g_00316	Syac.g_02241
OG0000477	Prar.g_00312	Syac.g_02247
OG0000478	Prar.g_00311	Syac.g_02248
OG0000479	Prar.g_00310	Syac.g_02249
OG0000480	Prar.g_00305	Syac.g_00293
OG0000481	Prar.g_00303	Syac.g_00291
OG0000482	Prar.g_00302	Syac.g_00290
OG0000483	Prar.g_00299	Syac.g_00286
OG0000484	Prar.g_00298	Syac.g_00285
OG0000485	Prar.g_00297	Syac.g_00284
OG0000486	Prar.g_00296	Syac.g_00283
OG0000487	Prar.g_00292	Syac.g_00276
OG0000488	Prar.g_00289	Syac.g_00272
OG0000489	Prar.g_00284	Syac.g_00260
OG0000490	Prar.g_00279	Syac.g_00249
OG0000491	Prar.g_00278	Syac.g_00248
OG0000492	Prar.g_00276	Syac.g_00246
OG0000493	Prar.g_00275	Syac.g_00245
OG0000494	Prar.g_00274	Syac.g_00244
OG0000495	Prar.g_00273	Syac.g_00243
OG0000496	Prar.g_00272	Syac.g_00242
OG0000497	Prar.g_00271	Syac.g_00241
OG0000498	Prar.g_00270	Syac.g_00240
OG0000499	Prar.g_00269	Syac.g_00239
OG0000500	Prar.g_00268	Syac.g_00238
OG0000501	Prar.g_00266	Syac.g_00235
OG0000502	Prar.g_00263	Syac.g_00223
OG0000503	Prar.g_00394	Syac.g_02020
OG0000504	Prar.g_00395	Syac.g_02018
OG0000505	Prar.g_00396	Syac.g_02017
OG0000506	Prar.g_00398	Syac.g_02015
OG0000507	Prar.g_00401	Syac.g_02009
OG0000508	Prar.g_00405	Syac.g_02005
OG0000509	Prar.g_00407	Syac.g_02003
OG0000510	Prar.g_00408	Syac.g_02002
OG0000511	Prar.g_00409	Syac.g_02001
OG0000512	Prar.g_00411	Syac.g_01999
OG0000513	Prar.g_00418	Syac.g_01984
OG0000514	Prar.g_00479	Syac.g_01977
OG0000515	Prar.g_00480	Syac.g_01976
OG0000516	Prar.g_00481	Syac.g_00697
OG0000517	Prar.g_00483	Syac.g_00691
OG0000518	Prar.g_00494	Syac.g_00707
OG0000519	Prar.g_00495	Syac.g_00708
OG0000520	Prar.g_00496	Syac.g_00709
OG0000521	Prar.g_00501	Syac.g_01721
OG0000522	Prar.g_00503	Syac.g_01719
OG0000523	Prar.g_00504	Syac.g_01718
OG0000524	Prar.g_00510	Syac.g_01716
OG0000525	Prar.g_00513	Syac.g_01709
OG0000526	Prar.g_00514	Syac.g_01706
OG0000527	Prar.g_00523	Syac.g_01702
OG0000528	Prar.g_00528	Syac.g_01911
OG0000529	Prar.g_00531	Syac.g_01903
OG0000530	Prar.g_00534	Syac.g_01900
OG0000531	Prar.g_00535	Syac.g_01899
OG0000532	Prar.g_00537	Syac.g_01896
OG0000533	Prar.g_00538	Syac.g_01895
OG0000534	Prar.g_00539	Syac.g_01894
OG0000535	Prar.g_00540	Syac.g_01893
OG0000536	Prar.g_00541	Syac.g_01892
OG0000537	Prar.g_00542	Syac.g_01891
OG0000538	Prar.g_01331	Syac.g_01880
OG0000539	Prar.g_01332	Syac.g_01879
OG0000540	Prar.g_01333	Syac.g_01878
OG0000541	Prar.g_01334	Syac.g_01877
OG0000542	Prar.g_01336	Syac.g_01874
OG0000543	Prar.g_01338	Syac.g_01872
OG0000544	Prar.g_01339	Syac.g_01871
OG0000545	Prar.g_01341	Syac.g_01869
OG0000546	Prar.g_01344	Syac.g_01867
OG0000547	Prar.g_01345	Syac.g_01865
OG0000548	Prar.g_01346	Syac.g_01864
OG0000549	Prar.g_01348	Syac.g_01858
OG0000550	Prar.g_01353	Syac.g_01854
OG0000551	Prar.g_01357	Syac.g_01849
OG0000552	Prar.g_01358	Syac.g_01848
OG0000553	Prar.g_01359	Syac.g_01846
OG0000554	Prar.g_01364	Syac.g_01835
OG0000555	Prar.g_01372	Syac.g_01822
OG0000556	Prar.g_01374	Syac.g_01817
OG0000557	Prar.g_01375	Syac.g_01815
OG0000558	Prar.g_01377	Syac.g_01813
OG0000559	Prar.g_01381	Syac.g_01808
OG0000560	Prar.g_01384	Syac.g_01805
OG0000561	Prar.g_01385	Syac.g_01804
OG0000562	Prar.g_01386	Syac.g_01803
OG0000563	Prar.g_01387	Syac.g_01802
OG0000564	Prar.g_01388	Syac.g_01801
OG0000565	Prar.g_01391	Syac.g_01797
OG0000566	Prar.g_01393	Syac.g_01793
OG0000567	Prar.g_01397	Syac.g_01789
OG0000568	Prar.g_01398	Syac.g_01786
OG0000569	Prar.g_01399	Syac.g_01785
OG0000570	Prar.g_01400	Syac.g_01784
OG0000571	Prar.g_01402	Syac.g_01780
OG0000572	Prar.g_01415	Syac.g_01765
OG0000573	Prar.g_01422	Syac.g_01755
OG0000574	Prar.g_01423	Syac.g_01754
OG0000575	Prar.g_01427	Syac.g_01750
OG0000576	Prar.g_01429	Syac.g_01748
OG0000577	Prar.g_01430	Syac.g_01747
OG0000578	Prar.g_01431	Syac.g_01746
OG0000579	Prar.g_01432	Syac.g_01745
OG0000580	Prar.g_01433	Syac.g_01744
OG0000581	Prar.g_01435	Syac.g_01738
OG0000582	Prar.g_01438	Syac.g_00936
OG0000583	Prar.g_01439	Syac.g_00937
OG0000584	Prar.g_01440	Syac.g_00938
OG0000585	Prar.g_01442	Syac.g_00940
