Orthogroup	Pray	Syad
OG0000043	Pray.g_00420, Pray.g_01924	Syad.g_02119
OG0000044	Pray.g_00002	Syad.g_02214
OG0000047	Pray.g_00897, Pray.g_00808	Syad.g_00754
OG0000048	Pray.g_00852	Syad.g_00534
OG0000050	Pray.g_00883	Syad.g_02114
OG0000051	Pray.g_01894	Syad.g_00842
OG0000052	Pray.g_01793	Syad.g_00434
OG0000053	Pray.g_01702	Syad.g_02302
OG0000054	Pray.g_01157	Syad.g_02209
OG0000055	Pray.g_00329	Syad.g_01255
OG0000057	Pray.g_01065	Syad.g_01301
OG0000058	Pray.g_01786	Syad.g_00452
OG0000059	Pray.g_01258, Pray.g_01761	Syad.g_00642
OG0000061	Pray.g_00064	Syad.g_01152
OG0000063	Pray.g_01495	Syad.g_00202
OG0000065	Pray.g_00182	Syad.g_02574, Syad.g_02801
OG0000066	Pray.g_01222	Syad.g_00992
OG0000067	Pray.g_00348	Syad.g_01889
OG0000068	Pray.g_01829	Syad.g_00891
OG0000070	Pray.g_00940	Syad.g_02424
OG0000071	Pray.g_01870	Syad.g_02405
OG0000072	Pray.g_00652	Syad.g_02905
OG0000073	Pray.g_00990	Syad.g_00926
OG0000075	Pray.g_01339	Syad.g_00416
OG0000076	Pray.g_01364	Syad.g_00348
OG0000077	Pray.g_00211	Syad.g_02741
OG0000078	Pray.g_00720	Syad.g_00824
OG0000079	Pray.g_00733	Syad.g_00565
OG0000081	Pray.g_01022	Syad.g_00833
OG0000082	Pray.g_01177	Syad.g_01063
OG0000084	Pray.g_01726	Syad.g_02272
OG0000085	Pray.g_01566	Syad.g_02612
OG0000086	Pray.g_00201	Syad.g_02770
OG0000087	Pray.g_00150	Syad.g_02860
OG0000088	Pray.g_00647	Syad.g_02899
OG0000089	Pray.g_00834	Syad.g_00785, Syad.g_02829
OG0000090	Pray.g_01024, Pray.g_01228	Syad.g_00977
OG0000091	Pray.g_01121	Syad.g_02144
OG0000092	Pray.g_00457, Pray.g_01325	Syad.g_01190
OG0000094	Pray.g_00565	Syad.g_01676
OG0000097	Pray.g_00022	Syad.g_01458
OG0000098	Pray.g_01847	Syad.g_00625
OG0000099	Pray.g_01788	Syad.g_00460
OG0000100	Pray.g_01648	Syad.g_01846
OG0000101	Pray.g_01306	Syad.g_00694
OG0000102	Pray.g_01369	Syad.g_00343
OG0000103	Pray.g_01449	Syad.g_00143
OG0000104	Pray.g_01457	Syad.g_00158
OG0000105	Pray.g_00753	Syad.g_00530
OG0000106	Pray.g_00848	Syad.g_01993
OG0000107	Pray.g_00864	Syad.g_00590
OG0000108	Pray.g_00970	Syad.g_00904
OG0000109	Pray.g_00984	Syad.g_00919
OG0000110	Pray.g_01187	Syad.g_01048
OG0000111	Pray.g_01064	Syad.g_01300
OG0000112	Pray.g_00313	Syad.g_01766
OG0000113	Pray.g_00370	Syad.g_01851
OG0000114	Pray.g_00452	Syad.g_01617
OG0000115	Pray.g_00126	Syad.g_02300
OG0000116	Pray.g_00074	Syad.g_01123
OG0000117	Pray.g_01927	Syad.g_01510
OG0000118	Pray.g_01858	Syad.g_01104
OG0000119	Pray.g_01833	Syad.g_01168
OG0000120	Pray.g_01808	Syad.g_00459
OG0000121	Pray.g_01720	Syad.g_02280
OG0000122	Pray.g_01682	Syad.g_02122
OG0000123	Pray.g_01313	Syad.g_00701
OG0000124	Pray.g_01380	Syad.g_00320
OG0000125	Pray.g_01417	Syad.g_03040
OG0000126	Pray.g_01456	Syad.g_00156
OG0000128	Pray.g_01473	Syad.g_00174
OG0000129	Pray.g_00239	Syad.g_03028
OG0000130	Pray.g_00220	Syad.g_02728
OG0000131	Pray.g_00144	Syad.g_02876
OG0000132	Pray.g_00645	Syad.g_02897
OG0000133	Pray.g_00800	Syad.g_01761
OG0000134	Pray.g_00835	Syad.g_00788
OG0000135	Pray.g_00861	Syad.g_00063
OG0000136	Pray.g_00931	Syad.g_02445
OG0000137	Pray.g_00965	Syad.g_02353
OG0000138	Pray.g_00985	Syad.g_00920
OG0000139	Pray.g_01224	Syad.g_00983
OG0000140	Pray.g_01223	Syad.g_00987
OG0000141	Pray.g_01156	Syad.g_02208
OG0000142	Pray.g_01128	Syad.g_02152
OG0000143	Pray.g_01124	Syad.g_02148
OG0000144	Pray.g_01111	Syad.g_02024
OG0000145	Pray.g_00306	Syad.g_00927
OG0000146	Pray.g_00314	Syad.g_01767
OG0000147	Pray.g_00315	Syad.g_01768
OG0000148	Pray.g_00364	Syad.g_01861
OG0000149	Pray.g_00395	Syad.g_01221
OG0000150	Pray.g_00403	Syad.g_02207, Syad.g_00989
OG0000151	Pray.g_00462	Syad.g_01956
OG0000152	Pray.g_00511	Syad.g_01757
OG0000153	Pray.g_00530	Syad.g_01713
OG0000154	Pray.g_00558	Syad.g_01686
OG0000155	Pray.g_00043	Syad.g_01189
OG0000156	Pray.g_01881	Syad.g_01116
OG0000157	Pray.g_01880	Syad.g_01115
OG0000158	Pray.g_01787	Syad.g_00374
OG0000160	Pray.g_01721	Syad.g_02279
OG0000161	Pray.g_01715	Syad.g_02287
OG0000162	Pray.g_01709	Syad.g_02293
OG0000163	Pray.g_01675	Syad.g_02542
OG0000164	Pray.g_01535	Syad.g_02659
OG0000165	Pray.g_01528	Syad.g_02476
OG0000166	Pray.g_01270	Syad.g_00654
OG0000167	Pray.g_01337	Syad.g_00419
OG0000168	Pray.g_01347	Syad.g_00371
OG0000169	Pray.g_01357	Syad.g_00360
OG0000170	Pray.g_01359	Syad.g_00353
OG0000171	Pray.g_01379	Syad.g_00321
OG0000172	Pray.g_01388	Syad.g_00244
OG0000173	Pray.g_01403	Syad.g_00220
OG0000174	Pray.g_01431	Syad.g_00065
OG0000175	Pray.g_01441	Syad.g_00129
OG0000176	Pray.g_01465, Pray.g_01466	Syad.g_00166
OG0000177	Pray.g_01467	Syad.g_00167
OG0000178	Pray.g_01468	Syad.g_00168
OG0000179	Pray.g_01478	Syad.g_00183
OG0000180	Pray.g_01479	Syad.g_00184
OG0000181	Pray.g_01480	Syad.g_00185
OG0000182	Pray.g_01481	Syad.g_00186
OG0000183	Pray.g_01485	Syad.g_00190
OG0000184	Pray.g_00237	Syad.g_03018
OG0000185	Pray.g_00234	Syad.g_03006
OG0000186	Pray.g_00225	Syad.g_02722
OG0000187	Pray.g_00224	Syad.g_02724
OG0000188	Pray.g_00207	Syad.g_02759
OG0000189	Pray.g_00193	Syad.g_02788
OG0000190	Pray.g_00192	Syad.g_02790
OG0000191	Pray.g_00172	Syad.g_02824
OG0000192	Pray.g_00168	Syad.g_02834
OG0000193	Pray.g_00143	Syad.g_02877
OG0000194	Pray.g_00140	Syad.g_02880
OG0000195	Pray.g_00138	Syad.g_02884
OG0000196	Pray.g_00642	Syad.g_02894
OG0000197	Pray.g_00643	Syad.g_02895
OG0000198	Pray.g_00644	Syad.g_02896
OG0000199	Pray.g_00651	Syad.g_02904
OG0000200	Pray.g_00665	Syad.g_02921
OG0000201	Pray.g_00673	Syad.g_02937
OG0000202	Pray.g_00674	Syad.g_02938
OG0000203	Pray.g_00675	Syad.g_02939
OG0000204	Pray.g_00676	Syad.g_02940
OG0000205	Pray.g_00683	Syad.g_02948
OG0000206	Pray.g_00688	Syad.g_02955
OG0000207	Pray.g_00690	Syad.g_02957
OG0000208	Pray.g_00691	Syad.g_02958
OG0000209	Pray.g_00700	Syad.g_02981
OG0000210	Pray.g_00701	Syad.g_02982
OG0000212	Pray.g_00721	Syad.g_00825
OG0000213	Pray.g_00738	Syad.g_00556
OG0000214	Pray.g_00747	Syad.g_00538
OG0000215	Pray.g_00771	Syad.g_00508
OG0000216	Pray.g_00772	Syad.g_00504, Syad.g_00285
OG0000217	Pray.g_00775	Syad.g_00500
OG0000218	Pray.g_00777	Syad.g_00498
OG0000219	Pray.g_00778	Syad.g_00497
OG0000220	Pray.g_00779	Syad.g_00496
OG0000221	Pray.g_00780	Syad.g_00488
OG0000222	Pray.g_00788	Syad.g_00473
OG0000223	Pray.g_00801	Syad.g_00451
OG0000224	Pray.g_00803	Syad.g_00444
OG0000225	Pray.g_00824	Syad.g_00777
OG0000226	Pray.g_00828	Syad.g_00781
OG0000227	Pray.g_00830	Syad.g_00783
OG0000228	Pray.g_00833	Syad.g_00784
OG0000229	Pray.g_00926	Syad.g_02450
OG0000230	Pray.g_00928	Syad.g_02448
OG0000231	Pray.g_00939	Syad.g_02436
OG0000232	Pray.g_00948	Syad.g_02392
OG0000233	Pray.g_00953	Syad.g_02382
OG0000234	Pray.g_00966	Syad.g_02351
OG0000235	Pray.g_00969	Syad.g_00903
OG0000236	Pray.g_00983	Syad.g_00918
OG0000237	Pray.g_00997	Syad.g_00936
OG0000238	Pray.g_01003	Syad.g_00941
OG0000239	Pray.g_01016	Syad.g_00957
OG0000240	Pray.g_01017	Syad.g_00958
OG0000241	Pray.g_01021	Syad.g_02160
OG0000242	Pray.g_01023	Syad.g_00975
OG0000243	Pray.g_01218	Syad.g_01000
OG0000244	Pray.g_01215	Syad.g_01012
OG0000245	Pray.g_01213	Syad.g_01014
OG0000246	Pray.g_01209	Syad.g_01017
OG0000247	Pray.g_01199	Syad.g_01029
OG0000248	Pray.g_01197	Syad.g_01032
OG0000249	Pray.g_01195	Syad.g_01034
OG0000250	Pray.g_01190	Syad.g_01044
OG0000251	Pray.g_01172	Syad.g_01071
OG0000252	Pray.g_01169	Syad.g_01078
OG0000253	Pray.g_01168	Syad.g_01081
OG0000254	Pray.g_01152	Syad.g_02203
OG0000255	Pray.g_01146	Syad.g_02185
OG0000256	Pray.g_01136	Syad.g_02167
OG0000257	Pray.g_01133	Syad.g_02161
OG0000258	Pray.g_01120	Syad.g_02143
OG0000259	Pray.g_01103	Syad.g_01576
OG0000260	Pray.g_01100	Syad.g_01587
OG0000261	Pray.g_01098	Syad.g_01590
OG0000262	Pray.g_01094	Syad.g_01595
OG0000263	Pray.g_01082	Syad.g_01475
OG0000264	Pray.g_01072	Syad.g_01360
OG0000265	Pray.g_01040	Syad.g_01383
OG0000266	Pray.g_01030	Syad.g_01804
OG0000267	Pray.g_00274	Syad.g_01645
OG0000268	Pray.g_00275	Syad.g_01646
OG0000269	Pray.g_00343	Syad.g_01894
OG0000270	Pray.g_00346	Syad.g_01891
OG0000271	Pray.g_00354	Syad.g_01883
OG0000272	Pray.g_00355	Syad.g_01882
OG0000273	Pray.g_00378	Syad.g_01247
OG0000274	Pray.g_00379	Syad.g_01246
OG0000275	Pray.g_00382	Syad.g_01242
OG0000276	Pray.g_00387	Syad.g_01229
OG0000277	Pray.g_00388	Syad.g_01228
OG0000278	Pray.g_00391	Syad.g_01225
OG0000279	Pray.g_00398	Syad.g_01208
OG0000280	Pray.g_00399	Syad.g_01198
OG0000281	Pray.g_00404	Syad.g_00624
OG0000282	Pray.g_00454	Syad.g_01619
OG0000283	Pray.g_00488	Syad.g_01661
OG0000284	Pray.g_00493	Syad.g_01787
OG0000285	Pray.g_00498	Syad.g_01776
OG0000286	Pray.g_00510	Syad.g_01758
OG0000288	Pray.g_00557	Syad.g_01687
OG0000289	Pray.g_00568	Syad.g_01672
OG0000290	Pray.g_00581	Syad.g_01287
OG0000291	Pray.g_00583	Syad.g_01289
OG0000292	Pray.g_00632	Syad.g_00155
OG0000293	Pray.g_00073	Syad.g_01124
OG0000294	Pray.g_00072	Syad.g_01125
OG0000295	Pray.g_00051	Syad.g_01181
OG0000296	Pray.g_00049	Syad.g_01183
OG0000297	Pray.g_00041	Syad.g_01512
OG0000298	Pray.g_00040	Syad.g_01511
OG0000299	Pray.g_00023	Syad.g_01462
OG0000300	Pray.g_00020	Syad.g_01455
OG0000301	Pray.g_00019	Syad.g_01454
OG0000302	Pray.g_00017	Syad.g_01453
OG0000303	Pray.g_00010	Syad.g_01442
OG0000304	Pray.g_00006	Syad.g_01436
OG0000305	Pray.g_01837	Syad.g_01292
OG0000306	Pray.g_01834	Syad.g_01989
OG0000307	Pray.g_01820	Syad.g_00883
OG0000308	Pray.g_01819	Syad.g_00881
OG0000309	Pray.g_01815	Syad.g_00876
OG0000310	Pray.g_01737	Syad.g_02250
OG0000311	Pray.g_01735	Syad.g_02254
OG0000312	Pray.g_01732	Syad.g_02265
OG0000313	Pray.g_01718	Syad.g_02284
OG0000314	Pray.g_01695	Syad.g_02313
OG0000315	Pray.g_01685	Syad.g_02323
OG0000316	Pray.g_01665	Syad.g_02564
OG0000317	Pray.g_01561	Syad.g_02620
OG0000318	Pray.g_01558	Syad.g_02624
OG0000319	Pray.g_01545	Syad.g_02642
OG0000320	Pray.g_01543	Syad.g_02644
OG0000321	Pray.g_01542	Syad.g_02645
OG0000322	Pray.g_01541	Syad.g_02646
OG0000323	Pray.g_01532	Syad.g_02661
OG0000324	Pray.g_01506	Syad.g_02505
OG0000325	Pray.g_01235	Syad.g_00591
OG0000326	Pray.g_01241	Syad.g_00598
OG0000327	Pray.g_01265	Syad.g_00649
OG0000328	Pray.g_01266	Syad.g_00650
OG0000329	Pray.g_01283	Syad.g_00668
OG0000330	Pray.g_01284	Syad.g_00669
OG0000331	Pray.g_01285	Syad.g_00670
OG0000332	Pray.g_01299	Syad.g_00685
OG0000333	Pray.g_01301	Syad.g_00688
OG0000334	Pray.g_01309	Syad.g_00697
OG0000335	Pray.g_01314	Syad.g_00702
OG0000336	Pray.g_01318	Syad.g_00706
OG0000337	Pray.g_01335	Syad.g_00425, Syad.g_00427
OG0000338	Pray.g_01336	Syad.g_00421
OG0000339	Pray.g_01340	Syad.g_00414
OG0000340	Pray.g_01348	Syad.g_00370
OG0000341	Pray.g_01350	Syad.g_00368
OG0000342	Pray.g_01351	Syad.g_00367
OG0000343	Pray.g_01352	Syad.g_00366
OG0000344	Pray.g_01355	Syad.g_00362
OG0000345	Pray.g_01360	Syad.g_00352
OG0000346	Pray.g_01365	Syad.g_00347
OG0000347	Pray.g_01381	Syad.g_00318
OG0000348	Pray.g_01391	Syad.g_00233
OG0000349	Pray.g_01408	Syad.g_00213
OG0000350	Pray.g_01427	Syad.g_00605
OG0000351	Pray.g_01444	Syad.g_00134
OG0000352	Pray.g_01445	Syad.g_00135
OG0000353	Pray.g_01460	Syad.g_00161
OG0000355	Pray.g_01462	Syad.g_00163
OG0000356	Pray.g_01463	Syad.g_00164
OG0000357	Pray.g_01464	Syad.g_00165
OG0000358	Pray.g_01469	Syad.g_00169
OG0000359	Pray.g_01470	Syad.g_00171
OG0000360	Pray.g_01471	Syad.g_00172
OG0000361	Pray.g_01472	Syad.g_00173
OG0000362	Pray.g_01474	Syad.g_00175
OG0000363	Pray.g_01476	Syad.g_00177
OG0000364	Pray.g_01477	Syad.g_00178
OG0000365	Pray.g_01482	Syad.g_00187
OG0000366	Pray.g_01483	Syad.g_00188
OG0000367	Pray.g_01484	Syad.g_00189
OG0000368	Pray.g_01486	Syad.g_00191
OG0000369	Pray.g_01487	Syad.g_00192
OG0000370	Pray.g_01488	Syad.g_00193
OG0000371	Pray.g_01494	Syad.g_00201
OG0000372	Pray.g_01497	Syad.g_00206
OG0000373	Pray.g_01498	Syad.g_00207
OG0000374	Pray.g_01499	Syad.g_00208
OG0000375	Pray.g_00243	Syad.g_00209
OG0000376	Pray.g_00241	Syad.g_00211
OG0000377	Pray.g_00238	Syad.g_03027
OG0000378	Pray.g_00236	Syad.g_03012
OG0000379	Pray.g_00233	Syad.g_03005
OG0000380	Pray.g_00223	Syad.g_02725
OG0000381	Pray.g_00219	Syad.g_02729
OG0000382	Pray.g_00208	Syad.g_02758
OG0000383	Pray.g_00206	Syad.g_02761
OG0000384	Pray.g_00205	Syad.g_02762
OG0000385	Pray.g_00204	Syad.g_02763
OG0000386	Pray.g_00203	Syad.g_02764
OG0000387	Pray.g_00190	Syad.g_02792
OG0000388	Pray.g_00187	Syad.g_02796
OG0000389	Pray.g_00183	Syad.g_02800
OG0000390	Pray.g_00176	Syad.g_02818
OG0000391	Pray.g_00173	Syad.g_02823
OG0000392	Pray.g_00169	Syad.g_02833
OG0000393	Pray.g_00167	Syad.g_02837
OG0000394	Pray.g_00166	Syad.g_02838
OG0000395	Pray.g_00165	Syad.g_02839
OG0000396	Pray.g_00162	Syad.g_02843
OG0000397	Pray.g_00160	Syad.g_02845
OG0000398	Pray.g_00158	Syad.g_02850
OG0000399	Pray.g_00157	Syad.g_02851
OG0000400	Pray.g_00156	Syad.g_02852
OG0000401	Pray.g_00155	Syad.g_02853
OG0000402	Pray.g_00153	Syad.g_02855
OG0000403	Pray.g_00152	Syad.g_02856
OG0000404	Pray.g_00151	Syad.g_02858
OG0000405	Pray.g_00147	Syad.g_02874
OG0000406	Pray.g_00142	Syad.g_02878
OG0000407	Pray.g_00141	Syad.g_02879
OG0000408	Pray.g_00139	Syad.g_02883
OG0000409	Pray.g_00137	Syad.g_02885
OG0000410	Pray.g_00136	Syad.g_02886
OG0000411	Pray.g_00635	Syad.g_02887
OG0000412	Pray.g_00636	Syad.g_02888
OG0000413	Pray.g_00637	Syad.g_02890
OG0000415	Pray.g_00639	Syad.g_02891
OG0000416	Pray.g_00640	Syad.g_02892
OG0000417	Pray.g_00641	Syad.g_02893
OG0000418	Pray.g_00646	Syad.g_02898
OG0000419	Pray.g_00648	Syad.g_02900
OG0000420	Pray.g_00649	Syad.g_02902
OG0000421	Pray.g_00654	Syad.g_02907
OG0000422	Pray.g_00655	Syad.g_02908
OG0000423	Pray.g_00656	Syad.g_02909
OG0000424	Pray.g_00657	Syad.g_02910
OG0000425	Pray.g_00658	Syad.g_02911
OG0000426	Pray.g_00659	Syad.g_02912
OG0000427	Pray.g_00660	Syad.g_02913
OG0000428	Pray.g_00662	Syad.g_02916
OG0000429	Pray.g_00663	Syad.g_02918
OG0000430	Pray.g_00664	Syad.g_02920
OG0000431	Pray.g_00666	Syad.g_02923
OG0000432	Pray.g_00669	Syad.g_02930
OG0000433	Pray.g_00670	Syad.g_02933
OG0000434	Pray.g_00671	Syad.g_02934
OG0000435	Pray.g_00672	Syad.g_02936
OG0000436	Pray.g_00677	Syad.g_02942
OG0000437	Pray.g_00678	Syad.g_02943
OG0000438	Pray.g_00679	Syad.g_02944
OG0000439	Pray.g_00681	Syad.g_02946
OG0000440	Pray.g_00682	Syad.g_02947
OG0000441	Pray.g_00685	Syad.g_02951
OG0000442	Pray.g_00686	Syad.g_02952
OG0000443	Pray.g_00687	Syad.g_02953
OG0000444	Pray.g_00692	Syad.g_02964
OG0000445	Pray.g_00693	Syad.g_02965
OG0000446	Pray.g_00694	Syad.g_02967
OG0000447	Pray.g_00695	Syad.g_02970
OG0000448	Pray.g_00696	Syad.g_02971
OG0000449	Pray.g_00697	Syad.g_02972
OG0000450	Pray.g_00698	Syad.g_02978
OG0000451	Pray.g_00699	Syad.g_02979
OG0000452	Pray.g_00702	Syad.g_02983
OG0000453	Pray.g_00703	Syad.g_02984
OG0000454	Pray.g_00704	Syad.g_02985
OG0000455	Pray.g_00705	Syad.g_02986
OG0000456	Pray.g_00706	Syad.g_02987
OG0000457	Pray.g_00707	Syad.g_02989
OG0000458	Pray.g_00708	Syad.g_02998
OG0000459	Pray.g_00709	Syad.g_02999
OG0000460	Pray.g_00716	Syad.g_00815
OG0000461	Pray.g_00723	Syad.g_00579
OG0000462	Pray.g_00725	Syad.g_00576
OG0000463	Pray.g_00726	Syad.g_00575
OG0000464	Pray.g_00727	Syad.g_00574
OG0000465	Pray.g_00728	Syad.g_00573
OG0000466	Pray.g_00731	Syad.g_00568
OG0000467	Pray.g_00732	Syad.g_00566
OG0000468	Pray.g_00734	Syad.g_00561
OG0000469	Pray.g_00742	Syad.g_00545
OG0000470	Pray.g_00744	Syad.g_00542
OG0000471	Pray.g_00745	Syad.g_00541
OG0000472	Pray.g_00746	Syad.g_00539
OG0000473	Pray.g_00748	Syad.g_00537
OG0000474	Pray.g_00749	Syad.g_00536
OG0000475	Pray.g_00750	Syad.g_00535
OG0000476	Pray.g_00751	Syad.g_00533
OG0000477	Pray.g_00754	Syad.g_00528
OG0000478	Pray.g_00755	Syad.g_00527
OG0000479	Pray.g_00756	Syad.g_00526
OG0000480	Pray.g_00761	Syad.g_00520
OG0000481	Pray.g_00763	Syad.g_00518
OG0000482	Pray.g_00764	Syad.g_00517
OG0000483	Pray.g_00767	Syad.g_00513
OG0000484	Pray.g_00768	Syad.g_00512
OG0000485	Pray.g_00769	Syad.g_00511
OG0000486	Pray.g_00770	Syad.g_00510
OG0000487	Pray.g_00773	Syad.g_00503
OG0000488	Pray.g_00776	Syad.g_00499
OG0000489	Pray.g_00781	Syad.g_00487
OG0000490	Pray.g_00786	Syad.g_00475
OG0000491	Pray.g_00787	Syad.g_00474
OG0000492	Pray.g_00789	Syad.g_00472
OG0000493	Pray.g_00790	Syad.g_00471
OG0000494	Pray.g_00791	Syad.g_00470
OG0000495	Pray.g_00792	Syad.g_00469
OG0000496	Pray.g_00793	Syad.g_00468
OG0000497	Pray.g_00794	Syad.g_00467
OG0000498	Pray.g_00795	Syad.g_00466
OG0000499	Pray.g_00796	Syad.g_00465
OG0000500	Pray.g_00797	Syad.g_00464
OG0000501	Pray.g_00799	Syad.g_00461
OG0000502	Pray.g_00802	Syad.g_00449
OG0000503	Pray.g_00812	Syad.g_00761
OG0000504	Pray.g_00813	Syad.g_00763
OG0000505	Pray.g_00814	Syad.g_00764
OG0000506	Pray.g_00816	Syad.g_00766
OG0000507	Pray.g_00819	Syad.g_00772
OG0000508	Pray.g_00823	Syad.g_00776
OG0000509	Pray.g_00825	Syad.g_00778
OG0000510	Pray.g_00826	Syad.g_00779
OG0000511	Pray.g_00827	Syad.g_00780
OG0000512	Pray.g_00829	Syad.g_00782
OG0000513	Pray.g_00836	Syad.g_00789
OG0000514	Pray.g_00921	Syad.g_00795
OG0000515	Pray.g_00922	Syad.g_00796
OG0000516	Pray.g_00923	Syad.g_02456
OG0000517	Pray.g_00925	Syad.g_02451
OG0000518	Pray.g_00936	Syad.g_02439
OG0000519	Pray.g_00937	Syad.g_02438
OG0000520	Pray.g_00938	Syad.g_02437
OG0000521	Pray.g_00943	Syad.g_01108
OG0000522	Pray.g_00945	Syad.g_01109
OG0000523	Pray.g_00946	Syad.g_01110
OG0000524	Pray.g_00951	Syad.g_02386
OG0000525	Pray.g_00954	Syad.g_02363
OG0000526	Pray.g_00955	Syad.g_02360
OG0000527	Pray.g_00963	Syad.g_02355
OG0000528	Pray.g_00968	Syad.g_00897
OG0000529	Pray.g_00971	Syad.g_00905
OG0000530	Pray.g_00974	Syad.g_00908
OG0000531	Pray.g_00975	Syad.g_00909
OG0000532	Pray.g_00977	Syad.g_00912
OG0000533	Pray.g_00978	Syad.g_00913
OG0000534	Pray.g_00979	Syad.g_00914
OG0000535	Pray.g_00980	Syad.g_00915
OG0000536	Pray.g_00981	Syad.g_00916
OG0000537	Pray.g_00982	Syad.g_00917
OG0000538	Pray.g_00991	Syad.g_00929
OG0000539	Pray.g_00992	Syad.g_00930
OG0000540	Pray.g_00993	Syad.g_00931
OG0000541	Pray.g_00994	Syad.g_00932
OG0000542	Pray.g_00996	Syad.g_00935
OG0000543	Pray.g_00998	Syad.g_00937
OG0000544	Pray.g_00999	Syad.g_00938
OG0000545	Pray.g_01001	Syad.g_00940
OG0000546	Pray.g_01004	Syad.g_00942
OG0000547	Pray.g_01006	Syad.g_00944
OG0000548	Pray.g_01007	Syad.g_00945
OG0000549	Pray.g_01009	Syad.g_00952
OG0000550	Pray.g_01014	Syad.g_00956
OG0000551	Pray.g_01018	Syad.g_00960
OG0000552	Pray.g_01019	Syad.g_00961
OG0000553	Pray.g_01020	Syad.g_00965
OG0000554	Pray.g_01227	Syad.g_00978
OG0000555	Pray.g_01219	Syad.g_00999
OG0000556	Pray.g_01217	Syad.g_01003
OG0000557	Pray.g_01216	Syad.g_01011
OG0000558	Pray.g_01214	Syad.g_01013
OG0000559	Pray.g_01210	Syad.g_01016
OG0000560	Pray.g_01207	Syad.g_01019
OG0000561	Pray.g_01206	Syad.g_01020
OG0000562	Pray.g_01205	Syad.g_01021
OG0000563	Pray.g_01204	Syad.g_01022
OG0000564	Pray.g_01203	Syad.g_01023
OG0000565	Pray.g_01200	Syad.g_01027
OG0000566	Pray.g_01198	Syad.g_01031
OG0000567	Pray.g_01194	Syad.g_01035
OG0000568	Pray.g_01193	Syad.g_01040
OG0000569	Pray.g_01192	Syad.g_01041
OG0000570	Pray.g_01191	Syad.g_01042
OG0000571	Pray.g_01189	Syad.g_01046
OG0000572	Pray.g_01176	Syad.g_01064
OG0000573	Pray.g_01171	Syad.g_01072
OG0000574	Pray.g_01170	Syad.g_01077
OG0000575	Pray.g_01166	Syad.g_01083
OG0000576	Pray.g_01164	Syad.g_01085
OG0000577	Pray.g_01163	Syad.g_01086
OG0000578	Pray.g_01162	Syad.g_01087
OG0000579	Pray.g_01161	Syad.g_01088
OG0000580	Pray.g_01160	Syad.g_01089
OG0000581	Pray.g_01158	Syad.g_01097
OG0000582	Pray.g_01155	Syad.g_02206
OG0000583	Pray.g_01154	Syad.g_02205
OG0000584	Pray.g_01153	Syad.g_02204
OG0000585	Pray.g_01151	Syad.g_02202
OG0000586	Pray.g_01150	Syad.g_02201
OG0000587	Pray.g_01149	Syad.g_02199
OG0000588	Pray.g_01145	Syad.g_02183
OG0000589	Pray.g_01142	Syad.g_02178
