Orthogroup	Pray	Syag
OG0000077	Pray.g_00211	Syag.g_01831
OG0000078	Pray.g_00720	Syag.g_01778
OG0000079	Pray.g_00733	Syag.g_02659, Syag.g_02652
OG0000082	Pray.g_01177	Syag.g_00318
OG0000084	Pray.g_01726	Syag.g_01425
OG0000085	Pray.g_01566	Syag.g_01676
OG0000086	Pray.g_00201	Syag.g_01853
OG0000087	Pray.g_00150	Syag.g_01939
OG0000088	Pray.g_00647	Syag.g_01974
OG0000089	Pray.g_00834	Syag.g_00005
OG0000090	Pray.g_01024, Pray.g_01228	Syag.g_01454
OG0000091	Pray.g_01121	Syag.g_00418
OG0000092	Pray.g_00457, Pray.g_01325	Syag.g_00242
OG0000094	Pray.g_00565	Syag.g_00881
OG0000097	Pray.g_00022	Syag.g_01065
OG0000098	Pray.g_01847	Syag.g_00578
OG0000099	Pray.g_01788	Syag.g_02536
OG0000100	Pray.g_01648	Syag.g_00704
OG0000101	Pray.g_01306	Syag.g_02773
OG0000102	Pray.g_01369	Syag.g_02387
OG0000103	Pray.g_01449	Syag.g_02253
OG0000104	Pray.g_01457	Syag.g_02268
OG0000105	Pray.g_00753	Syag.g_02606
OG0000106	Pray.g_00848	Syag.g_00462
OG0000108	Pray.g_00970	Syag.g_01528
OG0000109	Pray.g_00984	Syag.g_01512
OG0000110	Pray.g_01187	Syag.g_00303
OG0000111	Pray.g_01064	Syag.g_00984
OG0000112	Pray.g_00313	Syag.g_00801
OG0000113	Pray.g_00370	Syag.g_00699
OG0000114	Pray.g_00452	Syag.g_00609
OG0000115	Pray.g_00126	Syag.g_01397
OG0000116	Pray.g_00074	Syag.g_01156
OG0000117	Pray.g_01927	Syag.g_01097
OG0000118	Pray.g_01858	Syag.g_01232
OG0000120	Pray.g_01808	Syag.g_02535
OG0000121	Pray.g_01720	Syag.g_01414
OG0000122	Pray.g_01682	Syag.g_00446
OG0000123	Pray.g_01313	Syag.g_02781
OG0000124	Pray.g_01380	Syag.g_02367
OG0000125	Pray.g_01417	Syag.g_02136, Syag.g_02134
OG0000126	Pray.g_01456	Syag.g_02266
OG0000128	Pray.g_01473	Syag.g_02284
OG0000129	Pray.g_00239	Syag.g_02121
OG0000130	Pray.g_00220	Syag.g_01819
OG0000131	Pray.g_00144	Syag.g_01951
OG0000132	Pray.g_00645	Syag.g_01972
OG0000133	Pray.g_00800	Syag.g_00806
OG0000134	Pray.g_00835	Syag.g_00008
OG0000135	Pray.g_00861	Syag.g_02171
OG0000136	Pray.g_00931	Syag.g_00038
OG0000137	Pray.g_00965	Syag.g_01356
OG0000138	Pray.g_00985	Syag.g_01511
OG0000139	Pray.g_01224	Syag.g_01448
OG0000140	Pray.g_01223	Syag.g_01446
OG0000141	Pray.g_01156	Syag.g_00351
OG0000142	Pray.g_01128	Syag.g_00410
OG0000143	Pray.g_01124	Syag.g_00414
OG0000144	Pray.g_01111	Syag.g_00493
OG0000145	Pray.g_00306	Syag.g_01504
OG0000146	Pray.g_00314	Syag.g_00800
OG0000147	Pray.g_00315	Syag.g_00799
OG0000148	Pray.g_00364	Syag.g_00693
OG0000149	Pray.g_00395	Syag.g_00731
OG0000150	Pray.g_00403	Syag.g_00352
OG0000151	Pray.g_00462	Syag.g_00623
OG0000152	Pray.g_00511	Syag.g_00810
OG0000153	Pray.g_00530	Syag.g_00845
OG0000154	Pray.g_00558	Syag.g_00870
OG0000155	Pray.g_00043	Syag.g_01107
OG0000156	Pray.g_01881	Syag.g_01166
OG0000157	Pray.g_01880	Syag.g_01167
OG0000158	Pray.g_01787	Syag.g_02422
OG0000160	Pray.g_01721	Syag.g_01415
OG0000161	Pray.g_01715	Syag.g_01409
OG0000162	Pray.g_01709	Syag.g_01402
OG0000163	Pray.g_01675	Syag.g_01618
OG0000164	Pray.g_01535	Syag.g_01725
OG0000165	Pray.g_01528	Syag.g_01733
OG0000166	Pray.g_01270	Syag.g_02733
OG0000167	Pray.g_01337	Syag.g_02437
OG0000168	Pray.g_01347	Syag.g_02417
OG0000169	Pray.g_01357	Syag.g_02405
OG0000170	Pray.g_01359	Syag.g_02398
OG0000171	Pray.g_01379	Syag.g_02368
OG0000172	Pray.g_01388	Syag.g_02360
OG0000173	Pray.g_01403	Syag.g_02337
OG0000174	Pray.g_01431	Syag.g_02175
OG0000175	Pray.g_01441	Syag.g_02240
OG0000176	Pray.g_01465, Pray.g_01466	Syag.g_02276
OG0000177	Pray.g_01467	Syag.g_02277
OG0000178	Pray.g_01468	Syag.g_02278
OG0000179	Pray.g_01478	Syag.g_02293
OG0000180	Pray.g_01479	Syag.g_02294
OG0000181	Pray.g_01480	Syag.g_02295
OG0000182	Pray.g_01481	Syag.g_02296
OG0000183	Pray.g_01485	Syag.g_02300
OG0000184	Pray.g_00237	Syag.g_02110
OG0000185	Pray.g_00234	Syag.g_02092
OG0000186	Pray.g_00225	Syag.g_01815
OG0000187	Pray.g_00224	Syag.g_01816
OG0000188	Pray.g_00207	Syag.g_01839
OG0000189	Pray.g_00193	Syag.g_01872
OG0000190	Pray.g_00192	Syag.g_01874
OG0000191	Pray.g_00172	Syag.g_01909
OG0000192	Pray.g_00168	Syag.g_01915
OG0000193	Pray.g_00143	Syag.g_01952
OG0000194	Pray.g_00140	Syag.g_01955
OG0000195	Pray.g_00138	Syag.g_01957
OG0000196	Pray.g_00642	Syag.g_01968
OG0000197	Pray.g_00643	Syag.g_01969
OG0000198	Pray.g_00644	Syag.g_00108, Syag.g_01971
OG0000199	Pray.g_00651	Syag.g_01979
OG0000200	Pray.g_00665	Syag.g_01996
OG0000201	Pray.g_00673	Syag.g_02019
OG0000202	Pray.g_00674	Syag.g_02024
OG0000203	Pray.g_00675	Syag.g_02025
OG0000204	Pray.g_00676	Syag.g_02020, Syag.g_02026
OG0000205	Pray.g_00683	Syag.g_02035
OG0000206	Pray.g_00688	Syag.g_02047
OG0000207	Pray.g_00690	Syag.g_02051
OG0000208	Pray.g_00691	Syag.g_02052
OG0000209	Pray.g_00700	Syag.g_02069
OG0000210	Pray.g_00701	Syag.g_02070
OG0000212	Pray.g_00721	Syag.g_01777
OG0000213	Pray.g_00738	Syag.g_02632
OG0000214	Pray.g_00747	Syag.g_02615
OG0000215	Pray.g_00771	Syag.g_02584
OG0000216	Pray.g_00772	Syag.g_02580
OG0000217	Pray.g_00775	Syag.g_02576
OG0000218	Pray.g_00777	Syag.g_02574
OG0000219	Pray.g_00778	Syag.g_02573
OG0000220	Pray.g_00779	Syag.g_02572
OG0000221	Pray.g_00780	Syag.g_02566
OG0000222	Pray.g_00788	Syag.g_02550
OG0000223	Pray.g_00801	Syag.g_02475
OG0000224	Pray.g_00803	Syag.g_02471
OG0000225	Pray.g_00824	Syag.g_02861
OG0000226	Pray.g_00828	Syag.g_02865
OG0000227	Pray.g_00830	Syag.g_02867
OG0000228	Pray.g_00833	Syag.g_00004
OG0000229	Pray.g_00926	Syag.g_00033
OG0000230	Pray.g_00928	Syag.g_00035
OG0000231	Pray.g_00939	Syag.g_00048
OG0000232	Pray.g_00948	Syag.g_00059
OG0000233	Pray.g_00953	Syag.g_01330
OG0000234	Pray.g_00966	Syag.g_01358
OG0000235	Pray.g_00969	Syag.g_01529
OG0000236	Pray.g_00983	Syag.g_01513
OG0000237	Pray.g_00997	Syag.g_01495
OG0000238	Pray.g_01003	Syag.g_01490
OG0000239	Pray.g_01016	Syag.g_01472
OG0000240	Pray.g_01017	Syag.g_01471
OG0000241	Pray.g_01021	Syag.g_00396
OG0000242	Pray.g_01023	Syag.g_01456
OG0000243	Pray.g_01218	Syag.g_00255
OG0000244	Pray.g_01215	Syag.g_00268
OG0000245	Pray.g_01213	Syag.g_00270
OG0000246	Pray.g_01209	Syag.g_00274
OG0000247	Pray.g_01199	Syag.g_00286
OG0000248	Pray.g_01197	Syag.g_00289
OG0000249	Pray.g_01195	Syag.g_00291
OG0000250	Pray.g_01190	Syag.g_00299
OG0000251	Pray.g_01172	Syag.g_00328
OG0000252	Pray.g_01169	Syag.g_00331
OG0000253	Pray.g_01168	Syag.g_00333
OG0000254	Pray.g_01152	Syag.g_00356
OG0000255	Pray.g_01146	Syag.g_00369
OG0000256	Pray.g_01136	Syag.g_00385
OG0000257	Pray.g_01133	Syag.g_00395
OG0000258	Pray.g_01120	Syag.g_00423
OG0000259	Pray.g_01103	Syag.g_00560
OG0000260	Pray.g_01100	Syag.g_00570
OG0000261	Pray.g_01098	Syag.g_00581
OG0000262	Pray.g_01094	Syag.g_00586
OG0000263	Pray.g_01082	Syag.g_01079
OG0000264	Pray.g_01072	Syag.g_01011
OG0000265	Pray.g_01040	Syag.g_01021
OG0000266	Pray.g_01030	Syag.g_00907
OG0000267	Pray.g_00274	Syag.g_00762
OG0000268	Pray.g_00275	Syag.g_00763
OG0000269	Pray.g_00343	Syag.g_00662
OG0000270	Pray.g_00346	Syag.g_00665
OG0000271	Pray.g_00354	Syag.g_00673
OG0000274	Pray.g_00379	Syag.g_00714
OG0000275	Pray.g_00382	Syag.g_00717
OG0000276	Pray.g_00387	Syag.g_00723
OG0000277	Pray.g_00388	Syag.g_00724
OG0000278	Pray.g_00391	Syag.g_00727
OG0000279	Pray.g_00398	Syag.g_00735
OG0000280	Pray.g_00399	Syag.g_00741
OG0000281	Pray.g_00404	Syag.g_00572
OG0000282	Pray.g_00454	Syag.g_00611
OG0000283	Pray.g_00488	Syag.g_00775
OG0000284	Pray.g_00493	Syag.g_00780
OG0000285	Pray.g_00498	Syag.g_00791
OG0000286	Pray.g_00510	Syag.g_00809
OG0000287	Pray.g_00527	Syag.g_00838
OG0000288	Pray.g_00557	Syag.g_00869
OG0000289	Pray.g_00568	Syag.g_00884
OG0000290	Pray.g_00581	Syag.g_00970
OG0000291	Pray.g_00583	Syag.g_00972
OG0000292	Pray.g_00632	Syag.g_02265
OG0000293	Pray.g_00073	Syag.g_01155
OG0000294	Pray.g_00072	Syag.g_01154
OG0000295	Pray.g_00051	Syag.g_01115
OG0000296	Pray.g_00049	Syag.g_01113
OG0000297	Pray.g_00041	Syag.g_01099
OG0000298	Pray.g_00040	Syag.g_01098
OG0000299	Pray.g_00023	Syag.g_01067
OG0000301	Pray.g_00019	Syag.g_01061
OG0000302	Pray.g_00017	Syag.g_01060
OG0000303	Pray.g_00010	Syag.g_01048
OG0000304	Pray.g_00006	Syag.g_01041
OG0000305	Pray.g_01837	Syag.g_00977
OG0000306	Pray.g_01834	Syag.g_00460
OG0000307	Pray.g_01820	Syag.g_01546
OG0000308	Pray.g_01819	Syag.g_01548
OG0000309	Pray.g_01815	Syag.g_01553
OG0000310	Pray.g_01737	Syag.g_01291
OG0000311	Pray.g_01735	Syag.g_01300
OG0000312	Pray.g_01732	Syag.g_01434
OG0000313	Pray.g_01718	Syag.g_00966, Syag.g_01412
OG0000314	Pray.g_01695	Syag.g_01380
OG0000315	Pray.g_01685	Syag.g_01369
OG0000316	Pray.g_01665	Syag.g_01641
OG0000317	Pray.g_01561	Syag.g_01684
OG0000318	Pray.g_01558	Syag.g_01688
OG0000319	Pray.g_01545	Syag.g_01710
OG0000320	Pray.g_01543	Syag.g_01712
OG0000321	Pray.g_01542	Syag.g_01713
OG0000322	Pray.g_01541	Syag.g_01714
OG0000323	Pray.g_01532	Syag.g_01728
OG0000324	Pray.g_01506	Syag.g_01757
OG0000325	Pray.g_01235	Syag.g_02690
OG0000326	Pray.g_01241	Syag.g_02698
OG0000327	Pray.g_01265	Syag.g_02728
OG0000328	Pray.g_01266	Syag.g_02729
OG0000329	Pray.g_01283	Syag.g_02747
OG0000330	Pray.g_01284	Syag.g_02748
OG0000331	Pray.g_01285	Syag.g_02749
OG0000332	Pray.g_01299	Syag.g_02764
OG0000333	Pray.g_01301	Syag.g_02767
OG0000334	Pray.g_01309	Syag.g_02777
OG0000335	Pray.g_01314	Syag.g_02782
OG0000336	Pray.g_01318	Syag.g_02786
OG0000337	Pray.g_01335	Syag.g_02445
OG0000338	Pray.g_01336	Syag.g_02440
OG0000340	Pray.g_01348	Syag.g_02416
OG0000341	Pray.g_01350	Syag.g_02414
OG0000342	Pray.g_01351	Syag.g_02413
OG0000343	Pray.g_01352	Syag.g_02411
OG0000344	Pray.g_01355	Syag.g_02407
OG0000345	Pray.g_01360	Syag.g_02397
OG0000346	Pray.g_01365	Syag.g_02392
OG0000347	Pray.g_01381	Syag.g_02366
OG0000348	Pray.g_01391	Syag.g_02357
OG0000349	Pray.g_01408	Syag.g_02330
OG0000350	Pray.g_01427	Syag.g_02705
OG0000351	Pray.g_01444	Syag.g_02244
OG0000352	Pray.g_01445	Syag.g_02245
OG0000353	Pray.g_01460	Syag.g_02271
OG0000355	Pray.g_01462	Syag.g_02273
OG0000356	Pray.g_01463	Syag.g_02274
OG0000357	Pray.g_01464	Syag.g_02275
OG0000358	Pray.g_01469	Syag.g_02279
OG0000359	Pray.g_01470	Syag.g_02281
OG0000360	Pray.g_01471	Syag.g_02282
OG0000361	Pray.g_01472	Syag.g_02283
OG0000362	Pray.g_01474	Syag.g_02285
OG0000363	Pray.g_01476	Syag.g_02287
OG0000364	Pray.g_01477	Syag.g_02288
OG0000365	Pray.g_01482	Syag.g_02297
OG0000366	Pray.g_01483	Syag.g_02298
OG0000367	Pray.g_01484	Syag.g_02299
OG0000368	Pray.g_01486	Syag.g_02301
OG0000369	Pray.g_01487	Syag.g_02302
OG0000370	Pray.g_01488	Syag.g_02303
OG0000371	Pray.g_01494	Syag.g_02312
OG0000372	Pray.g_01497	Syag.g_02317
OG0000373	Pray.g_01498	Syag.g_02318
OG0000374	Pray.g_01499	Syag.g_02319
OG0000375	Pray.g_00243	Syag.g_02326
OG0000376	Pray.g_00241	Syag.g_02328
OG0000377	Pray.g_00238	Syag.g_02119
OG0000378	Pray.g_00236	Syag.g_02099
OG0000379	Pray.g_00233	Syag.g_02091
OG0000380	Pray.g_00223	Syag.g_01817
OG0000381	Pray.g_00219	Syag.g_01820
OG0000382	Pray.g_00208	Syag.g_01838
OG0000383	Pray.g_00206	Syag.g_01843
OG0000384	Pray.g_00205	Syag.g_01844
OG0000385	Pray.g_00204	Syag.g_01845
OG0000386	Pray.g_00203	Syag.g_01846
OG0000387	Pray.g_00190	Syag.g_01876
OG0000388	Pray.g_00187	Syag.g_01880
OG0000389	Pray.g_00183	Syag.g_01884
OG0000390	Pray.g_00176	Syag.g_01903
OG0000391	Pray.g_00173	Syag.g_01908
OG0000392	Pray.g_00169	Syag.g_01914
OG0000393	Pray.g_00167	Syag.g_01917
OG0000394	Pray.g_00166	Syag.g_01918
OG0000395	Pray.g_00165	Syag.g_01919
OG0000396	Pray.g_00162	Syag.g_01922
OG0000397	Pray.g_00160	Syag.g_01924
OG0000398	Pray.g_00158	Syag.g_01929
OG0000399	Pray.g_00157	Syag.g_01930
OG0000400	Pray.g_00156	Syag.g_01931
OG0000401	Pray.g_00155	Syag.g_01932
OG0000402	Pray.g_00153	Syag.g_01934
OG0000403	Pray.g_00152	Syag.g_01935
OG0000404	Pray.g_00151	Syag.g_01937
OG0000405	Pray.g_00147	Syag.g_01949
OG0000406	Pray.g_00142	Syag.g_01953
OG0000407	Pray.g_00141	Syag.g_01954
OG0000408	Pray.g_00139	Syag.g_01956
OG0000409	Pray.g_00137	Syag.g_01958
OG0000410	Pray.g_00136	Syag.g_01959
OG0000411	Pray.g_00635	Syag.g_01960
OG0000412	Pray.g_00636	Syag.g_01961
OG0000413	Pray.g_00637	Syag.g_01963
OG0000414	Pray.g_00638	Syag.g_01964
OG0000415	Pray.g_00639	Syag.g_01965
OG0000416	Pray.g_00640	Syag.g_01966
OG0000417	Pray.g_00641	Syag.g_01967
OG0000418	Pray.g_00646	Syag.g_01973
OG0000419	Pray.g_00648	Syag.g_01975
OG0000420	Pray.g_00649	Syag.g_01977
OG0000421	Pray.g_00654	Syag.g_01982
OG0000422	Pray.g_00655	Syag.g_01983
OG0000423	Pray.g_00656	Syag.g_01984
OG0000424	Pray.g_00657	Syag.g_01985
OG0000425	Pray.g_00658	Syag.g_01986
OG0000426	Pray.g_00659	Syag.g_01987
OG0000427	Pray.g_00660	Syag.g_01988
OG0000428	Pray.g_00662	Syag.g_01991
OG0000429	Pray.g_00663	Syag.g_01993
OG0000430	Pray.g_00664	Syag.g_01995
OG0000431	Pray.g_00666	Syag.g_01998
OG0000432	Pray.g_00669	Syag.g_02007
OG0000433	Pray.g_00670	Syag.g_02009
OG0000434	Pray.g_00671	Syag.g_02010
OG0000435	Pray.g_00672	Syag.g_02017
OG0000436	Pray.g_00677	Syag.g_02028
OG0000437	Pray.g_00678	Syag.g_02029
OG0000438	Pray.g_00679	Syag.g_02031
OG0000439	Pray.g_00681	Syag.g_02033
OG0000440	Pray.g_00682	Syag.g_02034
OG0000441	Pray.g_00685	Syag.g_02041
OG0000442	Pray.g_00686	Syag.g_02044
OG0000443	Pray.g_00687	Syag.g_02046
OG0000444	Pray.g_00692	Syag.g_02053
OG0000445	Pray.g_00693	Syag.g_02054
OG0000446	Pray.g_00694	Syag.g_02056
OG0000447	Pray.g_00695	Syag.g_02059
OG0000448	Pray.g_00696	Syag.g_02060
OG0000449	Pray.g_00697	Syag.g_02061
OG0000450	Pray.g_00698	Syag.g_02066
OG0000451	Pray.g_00699	Syag.g_02067
OG0000452	Pray.g_00702	Syag.g_02071
OG0000453	Pray.g_00703	Syag.g_02072
OG0000454	Pray.g_00704	Syag.g_02073
OG0000455	Pray.g_00705	Syag.g_02074
OG0000456	Pray.g_00706	Syag.g_02075
OG0000457	Pray.g_00707	Syag.g_02077
OG0000458	Pray.g_00708	Syag.g_02080
OG0000459	Pray.g_00709	Syag.g_02081
OG0000460	Pray.g_00716	Syag.g_01786
OG0000461	Pray.g_00723	Syag.g_02675
OG0000462	Pray.g_00725	Syag.g_02672
OG0000463	Pray.g_00726	Syag.g_02671
OG0000464	Pray.g_00727	Syag.g_02670
OG0000465	Pray.g_00728	Syag.g_02668
OG0000466	Pray.g_00731	Syag.g_02662
OG0000467	Pray.g_00732	Syag.g_02660
OG0000468	Pray.g_00734	Syag.g_02636
OG0000469	Pray.g_00742	Syag.g_02621
OG0000470	Pray.g_00744	Syag.g_02619
OG0000471	Pray.g_00745	Syag.g_02618
OG0000472	Pray.g_00746	Syag.g_02616
OG0000473	Pray.g_00748	Syag.g_02614
OG0000474	Pray.g_00749	Syag.g_02613
OG0000475	Pray.g_00750	Syag.g_02612
OG0000476	Pray.g_00751	Syag.g_02610
OG0000477	Pray.g_00754	Syag.g_02604
OG0000478	Pray.g_00755	Syag.g_02603
OG0000479	Pray.g_00756	Syag.g_02602
OG0000480	Pray.g_00761	Syag.g_02595
OG0000481	Pray.g_00763	Syag.g_02593
OG0000482	Pray.g_00764	Syag.g_02592
OG0000483	Pray.g_00767	Syag.g_02588
OG0000484	Pray.g_00768	Syag.g_02587
OG0000485	Pray.g_00769	Syag.g_02586
OG0000486	Pray.g_00770	Syag.g_02585
OG0000487	Pray.g_00773	Syag.g_02579
OG0000488	Pray.g_00776	Syag.g_02575
OG0000489	Pray.g_00781	Syag.g_02565
OG0000490	Pray.g_00786	Syag.g_02553
OG0000491	Pray.g_00787	Syag.g_02551
OG0000492	Pray.g_00789	Syag.g_02549
OG0000493	Pray.g_00790	Syag.g_02548
OG0000494	Pray.g_00791	Syag.g_02547
OG0000495	Pray.g_00792	Syag.g_02546
OG0000496	Pray.g_00793	Syag.g_02545
OG0000497	Pray.g_00794	Syag.g_02544
OG0000498	Pray.g_00795	Syag.g_02543
OG0000499	Pray.g_00796	Syag.g_02542
OG0000500	Pray.g_00797	Syag.g_02541
OG0000501	Pray.g_00799	Syag.g_02538
OG0000502	Pray.g_00802	Syag.g_02467
OG0000503	Pray.g_00812	Syag.g_02843
OG0000504	Pray.g_00813	Syag.g_02845
OG0000505	Pray.g_00814	Syag.g_02846
OG0000506	Pray.g_00816	Syag.g_02849
OG0000507	Pray.g_00819	Syag.g_02855
OG0000508	Pray.g_00823	Syag.g_02860
OG0000509	Pray.g_00825	Syag.g_02862
OG0000510	Pray.g_00826	Syag.g_02863
OG0000511	Pray.g_00827	Syag.g_02864
OG0000512	Pray.g_00829	Syag.g_02866
OG0000513	Pray.g_00836	Syag.g_00009
OG0000514	Pray.g_00921	Syag.g_00018
OG0000515	Pray.g_00922	Syag.g_00019
OG0000516	Pray.g_00923	Syag.g_00025
OG0000517	Pray.g_00925	Syag.g_00032
OG0000518	Pray.g_00936	Syag.g_00044
OG0000519	Pray.g_00937	Syag.g_00045
OG0000520	Pray.g_00938	Syag.g_00046
OG0000521	Pray.g_00943	Syag.g_00054
OG0000522	Pray.g_00945	Syag.g_00056
OG0000523	Pray.g_00946	Syag.g_00057
OG0000524	Pray.g_00951	Syag.g_01327
OG0000525	Pray.g_00954	Syag.g_01345
OG0000526	Pray.g_00955	Syag.g_01348
OG0000527	Pray.g_00963	Syag.g_01354
OG0000528	Pray.g_00968	Syag.g_01532
OG0000529	Pray.g_00971	Syag.g_01527
OG0000530	Pray.g_00974	Syag.g_01524
OG0000531	Pray.g_00975	Syag.g_01523
OG0000532	Pray.g_00977	Syag.g_01520
OG0000533	Pray.g_00978	Syag.g_01518
OG0000534	Pray.g_00979	Syag.g_01517
OG0000535	Pray.g_00980	Syag.g_01516
OG0000536	Pray.g_00981	Syag.g_01515
OG0000537	Pray.g_00982	Syag.g_01514
OG0000538	Pray.g_00991	Syag.g_01502
OG0000539	Pray.g_00992	Syag.g_01501
OG0000540	Pray.g_00993	Syag.g_01500
OG0000541	Pray.g_00994	Syag.g_01499
OG0000542	Pray.g_00996	Syag.g_01496
OG0000543	Pray.g_00998	Syag.g_01494
OG0000544	Pray.g_00999	Syag.g_01493
OG0000545	Pray.g_01001	Syag.g_01491
OG0000546	Pray.g_01004	Syag.g_01489
OG0000547	Pray.g_01006	Syag.g_01487
OG0000548	Pray.g_01007	Syag.g_01486
OG0000549	Pray.g_01009	Syag.g_01480
OG0000550	Pray.g_01014	Syag.g_01474
OG0000551	Pray.g_01018	Syag.g_01470
OG0000552	Pray.g_01019	Syag.g_01469
OG0000553	Pray.g_01020	Syag.g_01464
OG0000554	Pray.g_01227	Syag.g_01453
OG0000555	Pray.g_01219	Syag.g_00075
OG0000556	Pray.g_01217	Syag.g_00257
OG0000557	Pray.g_01216	Syag.g_00267
OG0000558	Pray.g_01214	Syag.g_00269
OG0000559	Pray.g_01210	Syag.g_00273
OG0000560	Pray.g_01207	Syag.g_00276
OG0000561	Pray.g_01206	Syag.g_00277
OG0000562	Pray.g_01205	Syag.g_00278
OG0000563	Pray.g_01204	Syag.g_00279
OG0000564	Pray.g_01203	Syag.g_00280
OG0000565	Pray.g_01200	Syag.g_00284
OG0000566	Pray.g_01198	Syag.g_00288
OG0000567	Pray.g_01194	Syag.g_00292
OG0000568	Pray.g_01193	Syag.g_00295
OG0000569	Pray.g_01192	Syag.g_00296
OG0000570	Pray.g_01191	Syag.g_00297
OG0000571	Pray.g_01189	Syag.g_00301
OG0000572	Pray.g_01176	Syag.g_00251, Syag.g_00320
OG0000573	Pray.g_01171	Syag.g_00329
OG0000574	Pray.g_01170	Syag.g_00330
OG0000575	Pray.g_01166	Syag.g_00335
OG0000576	Pray.g_01164	Syag.g_00337
OG0000577	Pray.g_01163	Syag.g_00338
OG0000578	Pray.g_01162	Syag.g_00339
OG0000579	Pray.g_01161	Syag.g_00340
OG0000580	Pray.g_01160	Syag.g_00341
OG0000581	Pray.g_01158	Syag.g_00348
OG0000582	Pray.g_01155	Syag.g_00353
OG0000583	Pray.g_01154	Syag.g_00354
OG0000584	Pray.g_01153	Syag.g_00355
OG0000585	Pray.g_01151	Syag.g_00357
OG0000586	Pray.g_01150	Syag.g_00358
OG0000587	Pray.g_01149	Syag.g_00360
OG0000588	Pray.g_01145	Syag.g_00371
OG0000589	Pray.g_01142	Syag.g_00375
OG0000590	Pray.g_01141	Syag.g_00376
OG0000591	Pray.g_01138	Syag.g_00383
OG0000592	Pray.g_01137	Syag.g_00384
OG0000593	Pray.g_01131	Syag.g_00406
