Orthogroup	Praj	Syat
OG0000152	Praj.g_01601, Praj.g_00946	Syat.g_00578
OG0000153	Praj.g_00965	Syat.g_00542
OG0000154	Praj.g_00995	Syat.g_00708
OG0000155	Praj.g_01440	Syat.g_00287
OG0000156	Praj.g_01517	Syat.g_03228
OG0000157	Praj.g_01518	Syat.g_02012, Syat.g_03227
OG0000158	Praj.g_01995	Syat.g_02163
OG0000160	Praj.g_01633	Syat.g_01224
OG0000161	Praj.g_01639	Syat.g_01180
OG0000162	Praj.g_01645	Syat.g_01281
OG0000163	Praj.g_01681	Syat.g_02979
OG0000164	Praj.g_01790	Syat.g_03040
OG0000165	Praj.g_01798	Syat.g_03033
OG0000166	Praj.g_01915	Syat.g_01822
OG0000167	Praj.g_01985	Syat.g_02148
OG0000168	Praj.g_01996	Syat.g_02164
OG0000169	Praj.g_02006	Syat.g_02192
OG0000170	Praj.g_02008	Syat.g_02201
OG0000171	Praj.g_02030	Syat.g_02230
OG0000172	Praj.g_02061	Syat.g_02260
OG0000173	Praj.g_02076	Syat.g_02284
OG0000174	Praj.g_02107	Syat.g_02504
OG0000175	Praj.g_02125	Syat.g_02416
OG0000176	Praj.g_00004	Syat.g_02372
OG0000177	Praj.g_00005	Syat.g_02338
OG0000178	Praj.g_00006	Syat.g_02337
OG0000179	Praj.g_00016	Syat.g_02322
OG0000180	Praj.g_00017	Syat.g_02321
OG0000181	Praj.g_00018	Syat.g_02320
OG0000182	Praj.g_00019	Syat.g_02319
OG0000183	Praj.g_00023	Syat.g_02315
OG0000184	Praj.g_00050	Syat.g_02704
OG0000185	Praj.g_00053	Syat.g_02719
OG0000186	Praj.g_00102	Syat.g_01463
OG0000187	Praj.g_00103	Syat.g_01467
OG0000188	Praj.g_00120	Syat.g_01489
OG0000189	Praj.g_00134	Syat.g_00386, Syat.g_01557
OG0000190	Praj.g_00135	Syat.g_00330
OG0000191	Praj.g_00158	Syat.g_03344, Syat.g_02939
OG0000192	Praj.g_00162	Syat.g_02933
OG0000193	Praj.g_00186	Syat.g_02897
OG0000194	Praj.g_00189	Syat.g_02894
OG0000195	Praj.g_00191	Syat.g_02892
OG0000196	Praj.g_00201	Syat.g_02867
OG0000197	Praj.g_00202	Syat.g_02866
OG0000198	Praj.g_00203	Syat.g_02865
OG0000199	Praj.g_00210	Syat.g_02857
OG0000200	Praj.g_00223	Syat.g_02840
OG0000201	Praj.g_00232	Syat.g_02821
OG0000202	Praj.g_00233	Syat.g_02820
OG0000203	Praj.g_00234	Syat.g_02819
OG0000204	Praj.g_00235	Syat.g_02818
OG0000205	Praj.g_00242	Syat.g_02809
OG0000206	Praj.g_00246	Syat.g_02785
OG0000207	Praj.g_00248	Syat.g_02778
OG0000208	Praj.g_00249	Syat.g_02777
OG0000209	Praj.g_00258	Syat.g_02735
OG0000210	Praj.g_00259	Syat.g_02734
OG0000211	Praj.g_00273	Syat.g_01452
OG0000212	Praj.g_00281	Syat.g_01442
OG0000213	Praj.g_00296	Syat.g_01889
OG0000214	Praj.g_00304	Syat.g_02042
OG0000215	Praj.g_00328	Syat.g_02075
OG0000216	Praj.g_00329	Syat.g_02079
OG0000217	Praj.g_00332	Syat.g_02085
OG0000218	Praj.g_00334	Syat.g_02087
OG0000219	Praj.g_00335	Syat.g_02088
OG0000220	Praj.g_00336	Syat.g_02089
OG0000221	Praj.g_00337	Syat.g_02095
OG0000222	Praj.g_00345	Syat.g_02109
OG0000223	Praj.g_00358	Syat.g_02570
OG0000224	Praj.g_00360	Syat.g_02139
OG0000225	Praj.g_00391	Syat.g_01595
OG0000226	Praj.g_00395	Syat.g_01588
OG0000228	Praj.g_00402	Syat.g_02952
OG0000229	Praj.g_00430	Syat.g_02970
OG0000230	Praj.g_00432	Syat.g_02972
OG0000231	Praj.g_00443	Syat.g_01283
OG0000232	Praj.g_00451	Syat.g_01313
OG0000233	Praj.g_00459	Syat.g_01407
OG0000234	Praj.g_00468	Syat.g_01369
OG0000235	Praj.g_00472	Syat.g_03169
OG0000236	Praj.g_00485	Syat.g_03186
OG0000237	Praj.g_00498	Syat.g_03214
OG0000238	Praj.g_00504	Syat.g_03219
OG0000239	Praj.g_00516	Syat.g_01105
OG0000240	Praj.g_00517	Syat.g_01104
OG0000241	Praj.g_00521	Syat.g_00111
OG0000242	Praj.g_00523	Syat.g_01077
OG0000243	Praj.g_00534	Syat.g_00092
OG0000244	Praj.g_00537	Syat.g_00082
OG0000245	Praj.g_00539	Syat.g_00080
OG0000246	Praj.g_00543	Syat.g_00076
OG0000247	Praj.g_00553	Syat.g_00065
OG0000248	Praj.g_00555	Syat.g_00062
OG0000249	Praj.g_00557	Syat.g_00060
OG0000250	Praj.g_00562	Syat.g_00053
OG0000251	Praj.g_00578	Syat.g_00027
OG0000252	Praj.g_00580	Syat.g_00022
OG0000253	Praj.g_00582	Syat.g_00021
OG0000254	Praj.g_00599	Syat.g_03407
OG0000255	Praj.g_00605	Syat.g_02405
OG0000256	Praj.g_00615	Syat.g_03306
OG0000257	Praj.g_00618	Syat.g_00109
OG0000258	Praj.g_00631	Syat.g_00382
OG0000259	Praj.g_00648	Syat.g_00342
OG0000260	Praj.g_00651	Syat.g_00392
OG0000261	Praj.g_00654	Syat.g_00400
OG0000262	Praj.g_00659	Syat.g_00407
OG0000263	Praj.g_00673	Syat.g_00200
OG0000266	Praj.g_00708	Syat.g_00671
OG0000267	Praj.g_00721	Syat.g_00636
OG0000268	Praj.g_00722	Syat.g_00634
OG0000269	Praj.g_00764	Syat.g_00474, Syat.g_00126
OG0000270	Praj.g_00767	Syat.g_00477
OG0000271	Praj.g_00775	Syat.g_00485
OG0000272	Praj.g_00776	Syat.g_00486
OG0000273	Praj.g_00801	Syat.g_00520
OG0000274	Praj.g_00802	Syat.g_00521
OG0000275	Praj.g_00804	Syat.g_00718
OG0000276	Praj.g_00810	Syat.g_00725
OG0000277	Praj.g_00811	Syat.g_00738
OG0000278	Praj.g_00815	Syat.g_00741
OG0000279	Praj.g_00822	Syat.g_00755
OG0000280	Praj.g_01326	Syat.g_01669
OG0000281	Praj.g_00829	Syat.g_00960
OG0000282	Praj.g_00889	Syat.g_00431
OG0000283	Praj.g_00920	Syat.g_00620
OG0000284	Praj.g_00925	Syat.g_00614
OG0000285	Praj.g_00930	Syat.g_00607
OG0000286	Praj.g_00945	Syat.g_00579
OG0000287	Praj.g_00085	Syat.g_00550
OG0000288	Praj.g_00994	Syat.g_00709
OG0000289	Praj.g_01005	Syat.g_00695
OG0000290	Praj.g_01021	Syat.g_00805
OG0000291	Praj.g_01023	Syat.g_00807
OG0000292	Praj.g_01196	Syat.g_02388
OG0000293	Praj.g_01470	Syat.g_03241
OG0000294	Praj.g_01469	Syat.g_03248
OG0000295	Praj.g_01447	Syat.g_00297
OG0000296	Praj.g_01445	Syat.g_00295
OG0000297	Praj.g_01437	Syat.g_00226
OG0000298	Praj.g_01436	Syat.g_00225
OG0000299	Praj.g_01417	Syat.g_00910
OG0000300	Praj.g_01414	Syat.g_00904
OG0000301	Praj.g_01413	Syat.g_00903
OG0000302	Praj.g_01410	Syat.g_00901
OG0000303	Praj.g_01405	Syat.g_00892
OG0000304	Praj.g_01402	Syat.g_00885
OG0000305	Praj.g_01734	Syat.g_00809
OG0000306	Praj.g_00833	Syat.g_01704
OG0000307	Praj.g_01584	Syat.g_01304
OG0000308	Praj.g_01585	Syat.g_01306
OG0000309	Praj.g_01589	Syat.g_01417
OG0000310	Praj.g_01616	Syat.g_01246
OG0000311	Praj.g_01618	Syat.g_01242
OG0000312	Praj.g_01621	Syat.g_01237
OG0000313	Praj.g_01636	Syat.g_01183
OG0000314	Praj.g_01657	Syat.g_01341
OG0000315	Praj.g_01667	Syat.g_01351
OG0000316	Praj.g_01692	Syat.g_03082
OG0000317	Praj.g_01766	Syat.g_03120
OG0000318	Praj.g_01769	Syat.g_03125
OG0000319	Praj.g_01780	Syat.g_03055
OG0000320	Praj.g_01782	Syat.g_03053
OG0000321	Praj.g_01783	Syat.g_03052
OG0000322	Praj.g_01784	Syat.g_03051
OG0000323	Praj.g_01793	Syat.g_03038
OG0000324	Praj.g_01820	Syat.g_02998
OG0000325	Praj.g_01870	Syat.g_01861
OG0000326	Praj.g_01876	Syat.g_01854
OG0000327	Praj.g_01910	Syat.g_01827
OG0000328	Praj.g_01911	Syat.g_01826
OG0000329	Praj.g_01928	Syat.g_01808
OG0000330	Praj.g_01929	Syat.g_01807
OG0000331	Praj.g_01930	Syat.g_01806
OG0000332	Praj.g_01944	Syat.g_01790
OG0000333	Praj.g_01946	Syat.g_01787
OG0000334	Praj.g_01955	Syat.g_01657
OG0000335	Praj.g_01960	Syat.g_01652
OG0000336	Praj.g_01964	Syat.g_01648
OG0000337	Praj.g_01982	Syat.g_02144
OG0000338	Praj.g_01983	Syat.g_02146
OG0000339	Praj.g_01988	Syat.g_02155, Syat.g_01055
OG0000340	Praj.g_01997	Syat.g_02165
OG0000341	Praj.g_01999	Syat.g_02167
OG0000342	Praj.g_02000	Syat.g_02168
OG0000343	Praj.g_02001	Syat.g_02185
OG0000344	Praj.g_02004	Syat.g_02189
OG0000345	Praj.g_02009	Syat.g_02202
OG0000346	Praj.g_02013	Syat.g_02207
OG0000347	Praj.g_02034	Syat.g_02234
OG0000348	Praj.g_02064	Syat.g_02264
OG0000349	Praj.g_02082	Syat.g_02291
OG0000350	Praj.g_02103	Syat.g_01847
OG0000351	Praj.g_02128	Syat.g_02411
OG0000352	Praj.g_02129	Syat.g_02410
OG0000353	Praj.g_02148	Syat.g_00955, Syat.g_02377
OG0000355	Praj.g_00001	Syat.g_02375
OG0000356	Praj.g_00002	Syat.g_02374
OG0000357	Praj.g_00003	Syat.g_02373
OG0000358	Praj.g_00007	Syat.g_02336
OG0000359	Praj.g_00008	Syat.g_02334
OG0000360	Praj.g_00009	Syat.g_02333
OG0000361	Praj.g_00010	Syat.g_02332
OG0000362	Praj.g_00012	Syat.g_02330
OG0000363	Praj.g_00014	Syat.g_02328
OG0000364	Praj.g_00015	Syat.g_03122
OG0000365	Praj.g_00020	Syat.g_02318
OG0000366	Praj.g_00021	Syat.g_02317
OG0000367	Praj.g_00022	Syat.g_02316
OG0000368	Praj.g_00024	Syat.g_02314
OG0000369	Praj.g_00025	Syat.g_02313
OG0000370	Praj.g_00026	Syat.g_02312
OG0000371	Praj.g_00032	Syat.g_02304
OG0000372	Praj.g_00034	Syat.g_02298
OG0000373	Praj.g_00035	Syat.g_02297
OG0000374	Praj.g_00036	Syat.g_02296
OG0000375	Praj.g_00044	Syat.g_02295
OG0000376	Praj.g_00046	Syat.g_02293
OG0000377	Praj.g_00049	Syat.g_02695
OG0000378	Praj.g_00051	Syat.g_02715
OG0000379	Praj.g_00054	Syat.g_02720
OG0000380	Praj.g_00104	Syat.g_01468
OG0000381	Praj.g_00108	Syat.g_01470
OG0000382	Praj.g_00119	Syat.g_01488
OG0000383	Praj.g_00121	Syat.g_01521
OG0000384	Praj.g_00122	Syat.g_01522
OG0000385	Praj.g_00123	Syat.g_01523
OG0000386	Praj.g_00124	Syat.g_01524
OG0000387	Praj.g_00137	Syat.g_01561
OG0000388	Praj.g_00141	Syat.g_01565
OG0000389	Praj.g_00144	Syat.g_01569
OG0000390	Praj.g_00153	Syat.g_02945
OG0000391	Praj.g_00157	Syat.g_02940
OG0000392	Praj.g_00160	Syat.g_02934
OG0000393	Praj.g_00163	Syat.g_02931
OG0000394	Praj.g_00164	Syat.g_02930
OG0000395	Praj.g_00165	Syat.g_02929
OG0000396	Praj.g_00168	Syat.g_02927
OG0000397	Praj.g_00170	Syat.g_02925
OG0000398	Praj.g_00173	Syat.g_02920
OG0000399	Praj.g_00174	Syat.g_02919
OG0000400	Praj.g_00175	Syat.g_02918
OG0000401	Praj.g_00176	Syat.g_02917
OG0000402	Praj.g_01057	Syat.g_02915
OG0000403	Praj.g_00177	Syat.g_02914
OG0000404	Praj.g_00178	Syat.g_02913
OG0000405	Praj.g_00183	Syat.g_02900
OG0000406	Praj.g_00187	Syat.g_02896
OG0000407	Praj.g_00188	Syat.g_02895
OG0000408	Praj.g_00190	Syat.g_02893
OG0000409	Praj.g_00192	Syat.g_02891
OG0000410	Praj.g_00193	Syat.g_02890
OG0000411	Praj.g_00194	Syat.g_02889
OG0000412	Praj.g_00195	Syat.g_02888
OG0000413	Praj.g_00196	Syat.g_02886
OG0000414	Praj.g_00197	Syat.g_02885
OG0000415	Praj.g_00198	Syat.g_02884
OG0000416	Praj.g_00199	Syat.g_02883
OG0000417	Praj.g_00200	Syat.g_02868
OG0000418	Praj.g_00205	Syat.g_02863
OG0000419	Praj.g_00207	Syat.g_02861
OG0000420	Praj.g_00208	Syat.g_02859
OG0000421	Praj.g_00212	Syat.g_02855
OG0000422	Praj.g_00213	Syat.g_02854
OG0000423	Praj.g_00214	Syat.g_02853
OG0000424	Praj.g_00215	Syat.g_02852
OG0000425	Praj.g_00216	Syat.g_02851
OG0000426	Praj.g_00217	Syat.g_02850
OG0000427	Praj.g_00218	Syat.g_02849
OG0000428	Praj.g_00220	Syat.g_02846
OG0000429	Praj.g_00221	Syat.g_02843
OG0000430	Praj.g_00222	Syat.g_02841
OG0000431	Praj.g_00224	Syat.g_02838
OG0000432	Praj.g_00228	Syat.g_02832
OG0000433	Praj.g_00229	Syat.g_02829
OG0000434	Praj.g_00230	Syat.g_02828
OG0000435	Praj.g_00231	Syat.g_02824
OG0000436	Praj.g_00236	Syat.g_02817
OG0000437	Praj.g_00237	Syat.g_02558
OG0000438	Praj.g_00238	Syat.g_02813
OG0000439	Praj.g_00240	Syat.g_02811
OG0000440	Praj.g_00241	Syat.g_02810
OG0000441	Praj.g_00243	Syat.g_02807
OG0000442	Praj.g_00244	Syat.g_02797
OG0000443	Praj.g_00245	Syat.g_02787
OG0000444	Praj.g_00250	Syat.g_02756
OG0000445	Praj.g_00251	Syat.g_02755
OG0000446	Praj.g_00252	Syat.g_02753
OG0000447	Praj.g_00253	Syat.g_02749
OG0000448	Praj.g_00254	Syat.g_02748
OG0000449	Praj.g_00255	Syat.g_02747
OG0000450	Praj.g_00256	Syat.g_02738
OG0000451	Praj.g_00257	Syat.g_02737
OG0000452	Praj.g_00260	Syat.g_02732
OG0000453	Praj.g_00261	Syat.g_02731
OG0000454	Praj.g_00262	Syat.g_02730
OG0000455	Praj.g_00263	Syat.g_02729
OG0000456	Praj.g_00264	Syat.g_02728
OG0000457	Praj.g_00265	Syat.g_02726
OG0000458	Praj.g_00266	Syat.g_02725
OG0000459	Praj.g_00267	Syat.g_02724
OG0000460	Praj.g_00275	Syat.g_01450
OG0000461	Praj.g_00283	Syat.g_01866
OG0000462	Praj.g_00285	Syat.g_01868
OG0000463	Praj.g_00286	Syat.g_01869
OG0000464	Praj.g_00287	Syat.g_01870
OG0000465	Praj.g_00288	Syat.g_01872
OG0000466	Praj.g_00289	Syat.g_01877
OG0000467	Praj.g_00290	Syat.g_01878
OG0000468	Praj.g_00292	Syat.g_01884
OG0000469	Praj.g_00299	Syat.g_02000
OG0000470	Praj.g_00301	Syat.g_02038
OG0000471	Praj.g_00302	Syat.g_02039
OG0000472	Praj.g_00303	Syat.g_02041
OG0000473	Praj.g_00305	Syat.g_02043
OG0000474	Praj.g_00306	Syat.g_02044
OG0000475	Praj.g_00307	Syat.g_02045
OG0000476	Praj.g_00309	Syat.g_02047
OG0000477	Praj.g_00311	Syat.g_02053
OG0000478	Praj.g_00312	Syat.g_02054
OG0000479	Praj.g_00313	Syat.g_02056
OG0000480	Praj.g_00318	Syat.g_02063
OG0000481	Praj.g_00320	Syat.g_02066
OG0000482	Praj.g_00321	Syat.g_02067
OG0000483	Praj.g_00324	Syat.g_02071
OG0000484	Praj.g_00325	Syat.g_02072
OG0000485	Praj.g_00326	Syat.g_02073
OG0000486	Praj.g_00327	Syat.g_02074
OG0000487	Praj.g_00330	Syat.g_02080
OG0000488	Praj.g_00333	Syat.g_02086
OG0000489	Praj.g_00338	Syat.g_02097
OG0000490	Praj.g_00343	Syat.g_02106
OG0000491	Praj.g_00344	Syat.g_02107
OG0000492	Praj.g_00346	Syat.g_02110
OG0000493	Praj.g_00347	Syat.g_02111
OG0000494	Praj.g_00348	Syat.g_02112
OG0000495	Praj.g_00349	Syat.g_02120
OG0000496	Praj.g_00350	Syat.g_02121
OG0000497	Praj.g_00351	Syat.g_02122
OG0000498	Praj.g_00352	Syat.g_02123
OG0000499	Praj.g_00353	Syat.g_02124
OG0000500	Praj.g_00354	Syat.g_02125
OG0000501	Praj.g_00356	Syat.g_02128
OG0000502	Praj.g_00359	Syat.g_02135
OG0000503	Praj.g_00380	Syat.g_01614
OG0000504	Praj.g_00382	Syat.g_01612
OG0000505	Praj.g_00383	Syat.g_01611
OG0000506	Praj.g_00384	Syat.g_01609
OG0000507	Praj.g_00387	Syat.g_01603
OG0000508	Praj.g_00390	Syat.g_01596
OG0000509	Praj.g_00392	Syat.g_01591
OG0000510	Praj.g_00393	Syat.g_01590
OG0000511	Praj.g_00394	Syat.g_01589
OG0000512	Praj.g_00396	Syat.g_01587
OG0000513	Praj.g_00406	Syat.g_02957
OG0000514	Praj.g_00425	Syat.g_02962
OG0000515	Praj.g_00426	Syat.g_02963
OG0000516	Praj.g_00427	Syat.g_02965
OG0000517	Praj.g_00429	Syat.g_02969
OG0000518	Praj.g_00440	Syat.g_01286
OG0000519	Praj.g_00441	Syat.g_01285
OG0000520	Praj.g_00442	Syat.g_01284
OG0000521	Praj.g_00447	Syat.g_01319
OG0000522	Praj.g_00449	Syat.g_01317
OG0000523	Praj.g_00450	Syat.g_01316
OG0000524	Praj.g_00457	Syat.g_01409
OG0000525	Praj.g_00461	Syat.g_01382
OG0000526	Praj.g_00462	Syat.g_01380
OG0000527	Praj.g_00465	Syat.g_01373
OG0000528	Praj.g_00471	Syat.g_03167
OG0000529	Praj.g_00474	Syat.g_03171
OG0000530	Praj.g_00477	Syat.g_03174
OG0000531	Praj.g_00478	Syat.g_03175
OG0000532	Praj.g_00479	Syat.g_03178
OG0000533	Praj.g_00480	Syat.g_03180
OG0000534	Praj.g_00481	Syat.g_03181
OG0000535	Praj.g_00482	Syat.g_03182
OG0000536	Praj.g_00483	Syat.g_03183
OG0000537	Praj.g_00484	Syat.g_03185
OG0000538	Praj.g_00492	Syat.g_03204
OG0000539	Praj.g_00493	Syat.g_03206
OG0000540	Praj.g_00494	Syat.g_03207
OG0000541	Praj.g_00495	Syat.g_03208
OG0000542	Praj.g_00497	Syat.g_03213
OG0000543	Praj.g_00499	Syat.g_03215
OG0000544	Praj.g_00500	Syat.g_03216
OG0000545	Praj.g_00502	Syat.g_03218
OG0000546	Praj.g_00505	Syat.g_03220
OG0000547	Praj.g_00507	Syat.g_03222
OG0000548	Praj.g_00508	Syat.g_03223
OG0000549	Praj.g_00511	Syat.g_01795
OG0000550	Praj.g_00515	Syat.g_01107
OG0000551	Praj.g_00518	Syat.g_01103
OG0000552	Praj.g_00519	Syat.g_01102
OG0000553	Praj.g_00520	Syat.g_01098
OG0000554	Praj.g_00525	Syat.g_03271
OG0000555	Praj.g_00533	Syat.g_00093
OG0000556	Praj.g_00535	Syat.g_00088
OG0000557	Praj.g_00536	Syat.g_00083
OG0000558	Praj.g_00538	Syat.g_00081
OG0000559	Praj.g_00542	Syat.g_00077
OG0000560	Praj.g_00545	Syat.g_00074
OG0000561	Praj.g_00546	Syat.g_00073
OG0000562	Praj.g_00547	Syat.g_00072
OG0000563	Praj.g_00548	Syat.g_00071
OG0000564	Praj.g_00549	Syat.g_00070
OG0000565	Praj.g_00552	Syat.g_00067
OG0000566	Praj.g_00554	Syat.g_00063
OG0000567	Praj.g_00558	Syat.g_00059
OG0000568	Praj.g_00559	Syat.g_00057
OG0000569	Praj.g_00560	Syat.g_00056
OG0000570	Praj.g_00561	Syat.g_00055
OG0000571	Praj.g_00563	Syat.g_00052
OG0000572	Praj.g_00574	Syat.g_00033
OG0000573	Praj.g_00579	Syat.g_00024
OG0000574	Praj.g_00581	Syat.g_00023
OG0000575	Praj.g_00584	Syat.g_00018
OG0000576	Praj.g_00586	Syat.g_00014
OG0000577	Praj.g_00587	Syat.g_00013
OG0000578	Praj.g_00588	Syat.g_00012
OG0000579	Praj.g_00589	Syat.g_00011
OG0000580	Praj.g_00590	Syat.g_00010
OG0000581	Praj.g_00593	Syat.g_00003
OG0000582	Praj.g_00596	Syat.g_03403
OG0000583	Praj.g_00597	Syat.g_03404
