Orthogroup	Pray	Prbb
OG0000041	Pray.g_01140	Prbb.g_01111
OG0000043	Pray.g_00438	Prbb.g_01449
OG0000045	Pray.g_01177	Prbb.g_01882
OG0000046	Pray.g_00304	Prbb.g_01231
OG0000047	Pray.g_00064	Prbb.g_01517
OG0000049	Pray.g_01786	Prbb.g_00851
OG0000050	Pray.g_00647	Prbb.g_00223
OG0000051	Pray.g_00838	Prbb.g_01373, Prbb.g_01411
OG0000053	Pray.g_01040	Prbb.g_00713
OG0000054	Pray.g_01566	Prbb.g_01816
OG0000055	Pray.g_01364	Prbb.g_02061
OG0000056	Pray.g_01493	Prbb.g_00032
OG0000057	Pray.g_00638	Prbb.g_00214
OG0000058	Pray.g_00848	Prbb.g_01197, Prbb.g_01329
OG0000059	Pray.g_01222	Prbb.g_00542
OG0000062	Pray.g_00370	Prbb.g_00807, Prbb.g_01218
OG0000063	Pray.g_00110	Prbb.g_00054
OG0000065	Pray.g_00718	Prbb.g_00294
OG0000066	Pray.g_00965	Prbb.g_00478
OG0000067	Pray.g_01065	Prbb.g_01359, Prbb.g_00706
OG0000069	Pray.g_00099, Pray.g_00531	Prbb.g_01627
OG0000070	Pray.g_00584	Prbb.g_01070
OG0000071	Pray.g_01927	Prbb.g_01399
OG0000072	Pray.g_01870	Prbb.g_01586
OG0000074	Pray.g_01808	Prbb.g_00678
OG0000075	Pray.g_01306	Prbb.g_02001
OG0000076	Pray.g_01782	Prbb.g_01723
OG0000077	Pray.g_01473	Prbb.g_00012
OG0000078	Pray.g_00800	Prbb.g_00373
OG0000079	Pray.g_00861	Prbb.g_01326
OG0000080	Pray.g_01094	Prbb.g_00673
OG0000081	Pray.g_01072	Prbb.g_00697, Prbb.g_00698
OG0000082	Pray.g_00355	Prbb.g_00790
OG0000083	Pray.g_00420	Prbb.g_00909, Prbb.g_01198
OG0000084	Pray.g_00511	Prbb.g_00991
OG0000085	Pray.g_00632	Prbb.g_01238
OG0000086	Pray.g_00097	Prbb.g_01887
OG0000087	Pray.g_01575	Prbb.g_01320, Prbb.g_01245, Prbb.g_01122, Prbb.g_01786, Prbb.g_00430, Prbb.g_01355, Prbb.g_01402
OG0000088	Pray.g_01922	Prbb.g_01306
OG0000090	Pray.g_01788	Prbb.g_00388
OG0000091	Pray.g_01714	Prbb.g_01694
OG0000092	Pray.g_01595	Prbb.g_01208
OG0000093	Pray.g_01258	Prbb.g_01946
OG0000094	Pray.g_01303	Prbb.g_01997
OG0000095	Pray.g_01337	Prbb.g_02034
OG0000096	Pray.g_01409	Prbb.g_02123
OG0000098	Pray.g_01464	Prbb.g_00003
OG0000099	Pray.g_01485	Prbb.g_00024
OG0000100	Pray.g_00907	Prbb.g_01195
OG0000101	Pray.g_00234	Prbb.g_00064
OG0000102	Pray.g_00176	Prbb.g_00170
OG0000103	Pray.g_00168	Prbb.g_00179
OG0000104	Pray.g_00150	Prbb.g_00196
OG0000105	Pray.g_00651	Prbb.g_00227
OG0000106	Pray.g_00665	Prbb.g_00240
OG0000107	Pray.g_00673	Prbb.g_00249
OG0000108	Pray.g_00683	Prbb.g_00259
OG0000109	Pray.g_00720	Prbb.g_00041, Prbb.g_00297
OG0000110	Pray.g_00732	Prbb.g_00307
OG0000111	Pray.g_00753	Prbb.g_00327
OG0000113	Pray.g_00775	Prbb.g_00348
OG0000114	Pray.g_00803	Prbb.g_00376
OG0000115	Pray.g_00964	Prbb.g_00477
OG0000116	Pray.g_00966	Prbb.g_00479
OG0000117	Pray.g_00970	Prbb.g_00484, Prbb.g_00485
OG0000118	Pray.g_00990	Prbb.g_00503
OG0000119	Pray.g_01023	Prbb.g_00535
OG0000120	Pray.g_01024, Pray.g_01228	Prbb.g_00536
OG0000121	Pray.g_01218	Prbb.g_00546
OG0000122	Pray.g_01209	Prbb.g_00556
OG0000123	Pray.g_01178	Prbb.g_00586
OG0000124	Pray.g_01112	Prbb.g_00652
OG0000125	Pray.g_01111	Prbb.g_00653
OG0000126	Pray.g_01110	Prbb.g_00654
OG0000127	Pray.g_01077	Prbb.g_00692
OG0000128	Pray.g_01038	Prbb.g_00715
OG0000129	Pray.g_00275	Prbb.g_00737
OG0000130	Pray.g_00333	Prbb.g_00954
OG0000131	Pray.g_00346	Prbb.g_00781
OG0000132	Pray.g_00382	Prbb.g_00817
OG0000133	Pray.g_00469	Prbb.g_00950
OG0000134	Pray.g_00479	Prbb.g_00768
OG0000135	Pray.g_00515	Prbb.g_00995
OG0000136	Pray.g_00581	Prbb.g_01067
OG0000137	Pray.g_00094	Prbb.g_01890
OG0000138	Pray.g_00069	Prbb.g_01523
OG0000139	Pray.g_00057	Prbb.g_01510
OG0000140	Pray.g_00006	Prbb.g_01456
OG0000141	Pray.g_00250	Prbb.g_01060
OG0000142	Pray.g_01858	Prbb.g_01598
OG0000143	Pray.g_01829	Prbb.g_01639
OG0000144	Pray.g_01735	Prbb.g_01673
OG0000145	Pray.g_01721	Prbb.g_01687
OG0000146	Pray.g_01685	Prbb.g_01721
OG0000147	Pray.g_01645	Prbb.g_01767
OG0000148	Pray.g_01644	Prbb.g_01768
OG0000149	Pray.g_01561	Prbb.g_01821
OG0000150	Pray.g_01523	Prbb.g_01858
OG0000151	Pray.g_01520	Prbb.g_01860
OG0000152	Pray.g_01229	Prbb.g_01880
OG0000153	Pray.g_01265	Prbb.g_01959
OG0000154	Pray.g_01301	Prbb.g_01995
OG0000155	Pray.g_01319	Prbb.g_02014
OG0000156	Pray.g_01348	Prbb.g_02046
OG0000157	Pray.g_01381	Prbb.g_02082
OG0000158	Pray.g_01444	Prbb.g_02168
OG0000160	Pray.g_01462	Prbb.g_00001
OG0000161	Pray.g_01463	Prbb.g_00002
OG0000162	Pray.g_01465	Prbb.g_00004
OG0000163	Pray.g_01467	Prbb.g_00005
OG0000164	Pray.g_01468	Prbb.g_00007
OG0000165	Pray.g_01469	Prbb.g_00008
OG0000166	Pray.g_01470	Prbb.g_00009
OG0000167	Pray.g_01471	Prbb.g_00010
OG0000168	Pray.g_01472	Prbb.g_00011
OG0000169	Pray.g_01474	Prbb.g_00013
OG0000170	Pray.g_01476	Prbb.g_00015
OG0000171	Pray.g_01477	Prbb.g_00016
OG0000172	Pray.g_01478	Prbb.g_00017
OG0000173	Pray.g_01479	Prbb.g_00018
OG0000174	Pray.g_01480	Prbb.g_00019
OG0000175	Pray.g_01481	Prbb.g_00020
OG0000176	Pray.g_01482	Prbb.g_00021
OG0000177	Pray.g_01483	Prbb.g_00022
OG0000178	Pray.g_01484	Prbb.g_00023
OG0000179	Pray.g_01486	Prbb.g_00025
OG0000180	Pray.g_01487	Prbb.g_00026
OG0000181	Pray.g_01488	Prbb.g_00027
OG0000182	Pray.g_01489	Prbb.g_00028
OG0000183	Pray.g_01490	Prbb.g_00029
OG0000184	Pray.g_01491	Prbb.g_00030
OG0000185	Pray.g_01494	Prbb.g_00033
OG0000186	Pray.g_01497	Prbb.g_00035
OG0000187	Pray.g_01498	Prbb.g_00036
OG0000188	Pray.g_01499	Prbb.g_00037
OG0000189	Pray.g_00243	Prbb.g_00055
OG0000190	Pray.g_00241	Prbb.g_00057
OG0000191	Pray.g_00240	Prbb.g_00058
OG0000192	Pray.g_00239	Prbb.g_00059
OG0000193	Pray.g_00238	Prbb.g_00060
OG0000194	Pray.g_00237	Prbb.g_00061
OG0000195	Pray.g_00236	Prbb.g_00062
OG0000196	Pray.g_00235	Prbb.g_00063
OG0000197	Pray.g_00233	Prbb.g_00065
OG0000198	Pray.g_00232	Prbb.g_00066
OG0000199	Pray.g_00231	Prbb.g_00067
OG0000200	Pray.g_00225	Prbb.g_00119
OG0000201	Pray.g_00224	Prbb.g_00120
OG0000202	Pray.g_00223	Prbb.g_00121
OG0000203	Pray.g_00220	Prbb.g_00124
OG0000204	Pray.g_00219	Prbb.g_00125
OG0000205	Pray.g_00216	Prbb.g_00128
OG0000206	Pray.g_00214	Prbb.g_00130
OG0000207	Pray.g_00212	Prbb.g_00132
OG0000208	Pray.g_00211	Prbb.g_00133
OG0000209	Pray.g_00210	Prbb.g_00134
OG0000210	Pray.g_00209	Prbb.g_00135
OG0000211	Pray.g_00208	Prbb.g_00136
OG0000212	Pray.g_00207	Prbb.g_00137
OG0000213	Pray.g_00206	Prbb.g_00138
OG0000214	Pray.g_00205	Prbb.g_00139
OG0000215	Pray.g_00204	Prbb.g_00140
OG0000216	Pray.g_00203	Prbb.g_00141
OG0000217	Pray.g_00201	Prbb.g_00143
OG0000218	Pray.g_00200	Prbb.g_00144
OG0000219	Pray.g_00199	Prbb.g_00145
OG0000220	Pray.g_00198	Prbb.g_00146
OG0000221	Pray.g_00195	Prbb.g_00149
OG0000222	Pray.g_00194	Prbb.g_00150
OG0000223	Pray.g_00193	Prbb.g_00151
OG0000224	Pray.g_00192	Prbb.g_00152
OG0000225	Pray.g_00191	Prbb.g_00153
OG0000226	Pray.g_00190	Prbb.g_00154
OG0000227	Pray.g_00189	Prbb.g_00156
OG0000228	Pray.g_00188	Prbb.g_00157
OG0000229	Pray.g_00187	Prbb.g_00158
OG0000230	Pray.g_00186	Prbb.g_00159
OG0000231	Pray.g_00185	Prbb.g_00160
OG0000232	Pray.g_00183	Prbb.g_00161
OG0000233	Pray.g_00182	Prbb.g_00162
OG0000234	Pray.g_00181	Prbb.g_00163
OG0000235	Pray.g_00180	Prbb.g_00164
OG0000236	Pray.g_00179	Prbb.g_00167
OG0000237	Pray.g_00178	Prbb.g_00168
OG0000238	Pray.g_00177	Prbb.g_00169
OG0000239	Pray.g_00175	Prbb.g_00171
OG0000240	Pray.g_00174	Prbb.g_00173
OG0000241	Pray.g_00173	Prbb.g_00174
OG0000242	Pray.g_00172	Prbb.g_00175
OG0000243	Pray.g_00169	Prbb.g_00177
OG0000244	Pray.g_00167	Prbb.g_00180
OG0000245	Pray.g_00166	Prbb.g_00181
OG0000246	Pray.g_00165	Prbb.g_00182
OG0000247	Pray.g_00162	Prbb.g_00185
OG0000248	Pray.g_00160	Prbb.g_00187
OG0000249	Pray.g_00159	Prbb.g_00189
OG0000250	Pray.g_00158	Prbb.g_00190
OG0000251	Pray.g_00157	Prbb.g_00191
OG0000252	Pray.g_00156	Prbb.g_00192
OG0000253	Pray.g_00155	Prbb.g_00193
OG0000254	Pray.g_00153	Prbb.g_01101
OG0000255	Pray.g_00152	Prbb.g_00194
OG0000256	Pray.g_00149	Prbb.g_00197
OG0000257	Pray.g_00147	Prbb.g_00200
OG0000258	Pray.g_00144	Prbb.g_00202
OG0000259	Pray.g_00143	Prbb.g_00203
OG0000260	Pray.g_00142	Prbb.g_00204
OG0000261	Pray.g_00141	Prbb.g_00205
OG0000262	Pray.g_00140	Prbb.g_00206
OG0000263	Pray.g_00138	Prbb.g_00208
OG0000264	Pray.g_00137	Prbb.g_00209
OG0000265	Pray.g_00136	Prbb.g_00210
OG0000266	Pray.g_00635	Prbb.g_00211
OG0000267	Pray.g_00636	Prbb.g_00212
OG0000268	Pray.g_00637	Prbb.g_00213
OG0000269	Pray.g_00639	Prbb.g_00215
OG0000270	Pray.g_00640	Prbb.g_00216
OG0000271	Pray.g_00641	Prbb.g_00217
OG0000272	Pray.g_00642	Prbb.g_00218
OG0000273	Pray.g_00643	Prbb.g_00219
OG0000274	Pray.g_00644	Prbb.g_00220
OG0000275	Pray.g_00645	Prbb.g_00221
OG0000276	Pray.g_00646	Prbb.g_00222
OG0000277	Pray.g_00648	Prbb.g_00224
OG0000278	Pray.g_00649	Prbb.g_00225
OG0000279	Pray.g_00650	Prbb.g_00226
OG0000280	Pray.g_00652	Prbb.g_00228
OG0000281	Pray.g_00654	Prbb.g_00229
OG0000282	Pray.g_00655	Prbb.g_00230
OG0000283	Pray.g_00656	Prbb.g_00231
OG0000284	Pray.g_00657	Prbb.g_00232
OG0000285	Pray.g_00658	Prbb.g_00233
OG0000286	Pray.g_00659	Prbb.g_00234
OG0000287	Pray.g_00660	Prbb.g_00235
OG0000288	Pray.g_00662	Prbb.g_00237
OG0000289	Pray.g_00663	Prbb.g_00238
OG0000290	Pray.g_00664	Prbb.g_00239
OG0000291	Pray.g_00666	Prbb.g_00241
OG0000292	Pray.g_00667	Prbb.g_00243
OG0000293	Pray.g_00668	Prbb.g_00244
OG0000294	Pray.g_00669	Prbb.g_00245
OG0000295	Pray.g_00670	Prbb.g_00246
OG0000296	Pray.g_00671	Prbb.g_00247
OG0000297	Pray.g_00672	Prbb.g_00248
OG0000298	Pray.g_00674	Prbb.g_00250
OG0000299	Pray.g_00675	Prbb.g_00251
OG0000300	Pray.g_00676	Prbb.g_00252
OG0000301	Pray.g_00677	Prbb.g_00253
OG0000302	Pray.g_00678	Prbb.g_00254
OG0000303	Pray.g_00679	Prbb.g_00255
OG0000304	Pray.g_00681	Prbb.g_00257
OG0000305	Pray.g_00682	Prbb.g_00258
OG0000306	Pray.g_00685	Prbb.g_00260
OG0000307	Pray.g_00686	Prbb.g_00261
OG0000308	Pray.g_00687	Prbb.g_00262
OG0000309	Pray.g_00688	Prbb.g_00263
OG0000310	Pray.g_00689	Prbb.g_00264
OG0000311	Pray.g_00690	Prbb.g_00265
OG0000312	Pray.g_00691	Prbb.g_00266
OG0000313	Pray.g_00692	Prbb.g_00267
OG0000314	Pray.g_00693	Prbb.g_00268
OG0000315	Pray.g_00694	Prbb.g_00269
OG0000316	Pray.g_00695	Prbb.g_00270
OG0000317	Pray.g_00696	Prbb.g_00271
OG0000318	Pray.g_00697	Prbb.g_00272
OG0000319	Pray.g_00698	Prbb.g_00273
OG0000320	Pray.g_00699	Prbb.g_00274
OG0000321	Pray.g_00700	Prbb.g_00275
OG0000322	Pray.g_00701	Prbb.g_00276
OG0000323	Pray.g_00702	Prbb.g_00277
OG0000324	Pray.g_00703	Prbb.g_00278
OG0000325	Pray.g_00704	Prbb.g_00279
OG0000326	Pray.g_00705	Prbb.g_00280
OG0000327	Pray.g_00706	Prbb.g_00281
OG0000328	Pray.g_00707	Prbb.g_00282
OG0000329	Pray.g_00708	Prbb.g_00283
OG0000330	Pray.g_00709	Prbb.g_00284
OG0000331	Pray.g_00710	Prbb.g_00285
OG0000332	Pray.g_00711	Prbb.g_00286
OG0000333	Pray.g_00712	Prbb.g_00287
OG0000334	Pray.g_00713	Prbb.g_00288
OG0000335	Pray.g_00714	Prbb.g_00290
OG0000336	Pray.g_00716	Prbb.g_00292
OG0000337	Pray.g_00717	Prbb.g_00293
OG0000338	Pray.g_00721	Prbb.g_00298
OG0000339	Pray.g_00723	Prbb.g_00300
OG0000340	Pray.g_00725	Prbb.g_00302
OG0000341	Pray.g_00726	Prbb.g_00303
OG0000342	Pray.g_00727	Prbb.g_00304
OG0000343	Pray.g_00728	Prbb.g_00305
OG0000344	Pray.g_00731	Prbb.g_00306
OG0000345	Pray.g_00734	Prbb.g_00309
OG0000346	Pray.g_00735	Prbb.g_00310
OG0000347	Pray.g_00738	Prbb.g_00313
OG0000348	Pray.g_00739	Prbb.g_00314
OG0000349	Pray.g_00740	Prbb.g_00315
OG0000350	Pray.g_00742	Prbb.g_00316
OG0000351	Pray.g_00743	Prbb.g_00317
OG0000352	Pray.g_00744	Prbb.g_00318
OG0000353	Pray.g_00745	Prbb.g_00319
OG0000354	Pray.g_00746	Prbb.g_00320
OG0000355	Pray.g_00747	Prbb.g_00321
OG0000356	Pray.g_00748	Prbb.g_00322
OG0000357	Pray.g_00749	Prbb.g_00323
OG0000358	Pray.g_00750	Prbb.g_00324
OG0000359	Pray.g_00751	Prbb.g_00326
OG0000360	Pray.g_00754	Prbb.g_00328
OG0000361	Pray.g_00755	Prbb.g_00329
OG0000362	Pray.g_00756	Prbb.g_00330
OG0000363	Pray.g_00757	Prbb.g_00331
OG0000364	Pray.g_00761	Prbb.g_00334
OG0000365	Pray.g_00762	Prbb.g_00335
OG0000366	Pray.g_00764	Prbb.g_00337
OG0000367	Pray.g_00765	Prbb.g_00338
OG0000368	Pray.g_00766	Prbb.g_00339
OG0000369	Pray.g_00767	Prbb.g_00340
OG0000370	Pray.g_00768	Prbb.g_00341
OG0000371	Pray.g_00769	Prbb.g_00342
OG0000372	Pray.g_00770	Prbb.g_00343
OG0000373	Pray.g_00771	Prbb.g_00344
OG0000374	Pray.g_00772	Prbb.g_00345
OG0000375	Pray.g_00773	Prbb.g_00346
OG0000376	Pray.g_00776	Prbb.g_00349
OG0000377	Pray.g_00777	Prbb.g_00350
OG0000378	Pray.g_00778	Prbb.g_00351
OG0000379	Pray.g_00779	Prbb.g_00352
OG0000380	Pray.g_00780	Prbb.g_00353
OG0000381	Pray.g_00781	Prbb.g_00354
OG0000382	Pray.g_00782	Prbb.g_00355
OG0000383	Pray.g_00783	Prbb.g_00356
OG0000384	Pray.g_00786	Prbb.g_00359
OG0000385	Pray.g_00787	Prbb.g_00360
OG0000386	Pray.g_00788	Prbb.g_00361
OG0000387	Pray.g_00789	Prbb.g_00362
OG0000388	Pray.g_00790	Prbb.g_00363
OG0000389	Pray.g_00791	Prbb.g_00364
OG0000390	Pray.g_00792	Prbb.g_00365
OG0000391	Pray.g_00793	Prbb.g_00366
OG0000392	Pray.g_00794	Prbb.g_00367
OG0000393	Pray.g_00795	Prbb.g_00368
OG0000394	Pray.g_00796	Prbb.g_00369
OG0000395	Pray.g_00797	Prbb.g_00370
OG0000396	Pray.g_00799	Prbb.g_00372
OG0000397	Pray.g_00801	Prbb.g_00374
OG0000398	Pray.g_00802	Prbb.g_00375
OG0000399	Pray.g_00805	Prbb.g_00378
OG0000400	Pray.g_00806	Prbb.g_00384
OG0000401	Pray.g_00807	Prbb.g_00739
OG0000402	Pray.g_00812	Prbb.g_00394
OG0000403	Pray.g_00813	Prbb.g_00396
OG0000404	Pray.g_00814	Prbb.g_00397
OG0000405	Pray.g_00816	Prbb.g_00398
OG0000406	Pray.g_00819	Prbb.g_00401
OG0000407	Pray.g_00820	Prbb.g_00402
OG0000408	Pray.g_00823	Prbb.g_00404
OG0000409	Pray.g_00824	Prbb.g_00405
OG0000410	Pray.g_00825	Prbb.g_00406
OG0000411	Pray.g_00826	Prbb.g_00407
OG0000412	Pray.g_00827	Prbb.g_00408
OG0000413	Pray.g_00828	Prbb.g_00409
OG0000414	Pray.g_00829	Prbb.g_00410
OG0000415	Pray.g_00830	Prbb.g_00411
OG0000416	Pray.g_00833	Prbb.g_00415
OG0000417	Pray.g_00834	Prbb.g_00416
OG0000418	Pray.g_00835	Prbb.g_00418
OG0000419	Pray.g_00836	Prbb.g_00419
OG0000420	Pray.g_00837	Prbb.g_00836
OG0000421	Pray.g_00849	Prbb.g_01094
OG0000422	Pray.g_00857	Prbb.g_01124
OG0000423	Pray.g_00858	Prbb.g_01288
OG0000424	Pray.g_00864	Prbb.g_01923
OG0000425	Pray.g_00921	Prbb.g_00436
OG0000426	Pray.g_00922	Prbb.g_00437
OG0000427	Pray.g_00923	Prbb.g_00438
OG0000428	Pray.g_00925	Prbb.g_00440
OG0000429	Pray.g_00926	Prbb.g_00441
OG0000430	Pray.g_00928	Prbb.g_00443
OG0000431	Pray.g_00929	Prbb.g_00444
OG0000432	Pray.g_00930	Prbb.g_00445
OG0000433	Pray.g_00931	Prbb.g_00446
OG0000434	Pray.g_00932	Prbb.g_00447
OG0000435	Pray.g_00933	Prbb.g_00448
OG0000436	Pray.g_00934	Prbb.g_00449
OG0000437	Pray.g_00935	Prbb.g_00450
OG0000438	Pray.g_00936	Prbb.g_00451
OG0000439	Pray.g_00937	Prbb.g_00452
OG0000440	Pray.g_00938	Prbb.g_00453
OG0000441	Pray.g_00939	Prbb.g_00454
OG0000442	Pray.g_00940	Prbb.g_00455
OG0000443	Pray.g_00941	Prbb.g_00456
OG0000444	Pray.g_00942	Prbb.g_00457
OG0000445	Pray.g_00943	Prbb.g_00458
OG0000446	Pray.g_00945	Prbb.g_00460
OG0000447	Pray.g_00946	Prbb.g_00461
OG0000448	Pray.g_00948	Prbb.g_00462
OG0000449	Pray.g_00951	Prbb.g_00468
OG0000450	Pray.g_00952	Prbb.g_00469
OG0000451	Pray.g_00953	Prbb.g_00470
OG0000452	Pray.g_00954	Prbb.g_00472
OG0000453	Pray.g_00955	Prbb.g_00473
OG0000454	Pray.g_00961	Prbb.g_00475
OG0000455	Pray.g_00963	Prbb.g_00476
OG0000456	Pray.g_00967	Prbb.g_00480
OG0000457	Pray.g_00968	Prbb.g_00482
OG0000458	Pray.g_00969	Prbb.g_00483
OG0000459	Pray.g_00971	Prbb.g_00486
OG0000460	Pray.g_00973	Prbb.g_00488
OG0000461	Pray.g_00974	Prbb.g_00489
OG0000462	Pray.g_00975	Prbb.g_00490
OG0000463	Pray.g_00977	Prbb.g_00491
OG0000464	Pray.g_00978	Prbb.g_00492
OG0000465	Pray.g_00979	Prbb.g_00493
OG0000466	Pray.g_00980	Prbb.g_00494
OG0000467	Pray.g_00981	Prbb.g_00495
OG0000468	Pray.g_00982	Prbb.g_00496
OG0000469	Pray.g_00983	Prbb.g_00497
OG0000470	Pray.g_00984	Prbb.g_00498
OG0000471	Pray.g_00985	Prbb.g_00499
OG0000472	Pray.g_00991	Prbb.g_00504
OG0000473	Pray.g_00992	Prbb.g_00505
OG0000474	Pray.g_00993	Prbb.g_00506
OG0000475	Pray.g_00994	Prbb.g_00507
OG0000476	Pray.g_00996	Prbb.g_00509
OG0000477	Pray.g_00997	Prbb.g_00510
OG0000478	Pray.g_00998	Prbb.g_00511
OG0000479	Pray.g_00999	Prbb.g_00512
OG0000480	Pray.g_01001	Prbb.g_00514
OG0000481	Pray.g_01003	Prbb.g_00516
OG0000482	Pray.g_01004	Prbb.g_00517
OG0000483	Pray.g_01006	Prbb.g_00519
OG0000484	Pray.g_01007	Prbb.g_00520
OG0000485	Pray.g_01008	Prbb.g_00521
OG0000486	Pray.g_01009	Prbb.g_00523
OG0000487	Pray.g_01014	Prbb.g_00527
OG0000488	Pray.g_01016	Prbb.g_00528
OG0000489	Pray.g_01017	Prbb.g_00529
OG0000490	Pray.g_01018	Prbb.g_00530
OG0000491	Pray.g_01019	Prbb.g_00531
OG0000492	Pray.g_01020	Prbb.g_00532
OG0000493	Pray.g_01021	Prbb.g_00533
OG0000494	Pray.g_01022	Prbb.g_00534
OG0000495	Pray.g_01227	Prbb.g_00537
OG0000496	Pray.g_01226	Prbb.g_00538
OG0000497	Pray.g_01225	Prbb.g_00539
OG0000498	Pray.g_01224	Prbb.g_00540
OG0000499	Pray.g_01223	Prbb.g_00541
OG0000500	Pray.g_01221	Prbb.g_00543
OG0000501	Pray.g_01220	Prbb.g_00544
OG0000502	Pray.g_01219	Prbb.g_00545
OG0000503	Pray.g_01217	Prbb.g_00547
OG0000504	Pray.g_01216	Prbb.g_00548
OG0000505	Pray.g_01215	Prbb.g_00550
OG0000506	Pray.g_01214	Prbb.g_00551
OG0000507	Pray.g_01213	Prbb.g_00552
OG0000508	Pray.g_01212	Prbb.g_00553
OG0000509	Pray.g_01211	Prbb.g_00554
OG0000510	Pray.g_01210	Prbb.g_00555
OG0000511	Pray.g_01208	Prbb.g_00557
OG0000512	Pray.g_01207	Prbb.g_00558
OG0000513	Pray.g_01206	Prbb.g_00559
OG0000514	Pray.g_01205	Prbb.g_00560
OG0000515	Pray.g_01204	Prbb.g_00561
OG0000516	Pray.g_01203	Prbb.g_00562
OG0000517	Pray.g_01201	Prbb.g_00564
OG0000518	Pray.g_01200	Prbb.g_00565
OG0000519	Pray.g_01199	Prbb.g_00566
OG0000520	Pray.g_01198	Prbb.g_00567
OG0000521	Pray.g_01197	Prbb.g_00568
OG0000522	Pray.g_01196	Prbb.g_00569
OG0000523	Pray.g_01195	Prbb.g_00570
OG0000524	Pray.g_01194	Prbb.g_00571
OG0000525	Pray.g_01193	Prbb.g_00572
OG0000526	Pray.g_01192	Prbb.g_00573
OG0000527	Pray.g_01191	Prbb.g_00574
OG0000528	Pray.g_01190	Prbb.g_00575
OG0000529	Pray.g_01189	Prbb.g_00576
OG0000530	Pray.g_01188	Prbb.g_00577
OG0000531	Pray.g_01187	Prbb.g_00578
OG0000532	Pray.g_01186	Prbb.g_00579
OG0000533	Pray.g_01184	Prbb.g_00580
OG0000534	Pray.g_01183	Prbb.g_00581
OG0000535	Pray.g_01182	Prbb.g_00582
OG0000536	Pray.g_01181	Prbb.g_00583
OG0000537	Pray.g_01180	Prbb.g_00584
OG0000538	Pray.g_01179	Prbb.g_00585
OG0000539	Pray.g_01176	Prbb.g_00587
OG0000540	Pray.g_01175	Prbb.g_00588
OG0000541	Pray.g_01174	Prbb.g_00589
OG0000542	Pray.g_01172	Prbb.g_00591
OG0000543	Pray.g_01171	Prbb.g_00592
