Orthogroup	Syac	Praz
OG0000088	Syac.g_00308	Praz.g_00526
OG0000089	Syac.g_01988, Syac.g_01543	Praz.g_00818
OG0000090	Syac.g_01836	Praz.g_01795
OG0000091	Syac.g_00987	Praz.g_01688
OG0000093	Syac.g_01357	Praz.g_01382
OG0000094	Syac.g_01251	Praz.g_01296
OG0000095	Syac.g_00884	Praz.g_00066
OG0000097	Syac.g_01507	Praz.g_00713
OG0000098	Syac.g_02157	Praz.g_01157
OG0000099	Syac.g_00234	Praz.g_01098
OG0000100	Syac.g_01309	Praz.g_00967
OG0000101	Syac.g_02094	Praz.g_00263
OG0000102	Syac.g_00151	Praz.g_00200
OG0000103	Syac.g_02476	Praz.g_00120
OG0000104	Syac.g_02490	Praz.g_00361
OG0000105	Syac.g_02245	Praz.g_00632
OG0000106	Syac.g_01098	Praz.g_00804
OG0000107	Syac.g_02191	Praz.g_00788
OG0000108	Syac.g_01904	Praz.g_01848
OG0000109	Syac.g_01889	Praz.g_01834
OG0000110	Syac.g_01778	Praz.g_01754
OG0000111	Syac.g_00893	Praz.g_01631
OG0000112	Syac.g_01173	Praz.g_01547
OG0000113	Syac.g_01314	Praz.g_01490
OG0000114	Syac.g_01394	Praz.g_01408
OG0000115	Syac.g_01655	Praz.g_00054
OG0000116	Syac.g_00753	Praz.g_00002
OG0000117	Syac.g_01477	Praz.g_01237
OG0000118	Syac.g_01728	Praz.g_01168
OG0000120	Syac.g_00233	Praz.g_01118
OG0000121	Syac.g_01635	Praz.g_01039
OG0000122	Syac.g_01013	Praz.g_01001
OG0000123	Syac.g_02086	Praz.g_00256
OG0000124	Syac.g_00135	Praz.g_00189
OG0000125	Syac.g_02360	Praz.g_00152
OG0000126	Syac.g_02488	Praz.g_00360
OG0000127	Syac.g_01547	Praz.g_01255
OG0000128	Syac.g_00012	Praz.g_00376
OG0000129	Syac.g_02349	Praz.g_00410
OG0000130	Syac.g_00450	Praz.g_00429
OG0000131	Syac.g_00330	Praz.g_00505
OG0000132	Syac.g_00310	Praz.g_00524
OG0000133	Syac.g_01178	Praz.g_00679
OG0000134	Syac.g_01985	Praz.g_00817
OG0000135	Syac.g_02398	Praz.g_00791
OG0000136	Syac.g_00701	Praz.g_01887
OG0000137	Syac.g_01700	Praz.g_01853
OG0000138	Syac.g_01888	Praz.g_01833
OG0000139	Syac.g_01830	Praz.g_01791
OG0000140	Syac.g_01829	Praz.g_01790
OG0000141	Syac.g_00934	Praz.g_01723
OG0000142	Syac.g_00979	Praz.g_01695
OG0000143	Syac.g_00983	Praz.g_01691
OG0000144	Syac.g_01090	Praz.g_01678
OG0000145	Syac.g_01882	Praz.g_01554
OG0000146	Syac.g_01172	Praz.g_01546
OG0000147	Syac.g_01171	Praz.g_01545
OG0000148	Syac.g_01320	Praz.g_01496
OG0000149	Syac.g_00832	Praz.g_01465
OG0000150	Syac.g_00935	Praz.g_01457
OG0000151	Syac.g_01383	Praz.g_01398
OG0000152	Syac.g_01182	Praz.g_01350
OG0000153	Syac.g_01217	Praz.g_01331
OG0000154	Syac.g_01241	Praz.g_01303
OG0000155	Syac.g_00804	Praz.g_00734
OG0000156	Syac.g_00743	Praz.g_01191
OG0000157	Syac.g_00742	Praz.g_01190
OG0000158	Syac.g_00182	Praz.g_01097
OG0000160	Syac.g_01633	Praz.g_01040
OG0000161	Syac.g_01641	Praz.g_01034
OG0000162	Syac.g_01648	Praz.g_01028
OG0000163	Syac.g_00619	Praz.g_00994
OG0000164	Syac.g_00508	Praz.g_00853
OG0000165	Syac.g_00674	Praz.g_00846
OG0000166	Syac.g_02132	Praz.g_00299
OG0000167	Syac.g_00194	Praz.g_00232
OG0000168	Syac.g_00179	Praz.g_00222
OG0000169	Syac.g_00168	Praz.g_00212
OG0000170	Syac.g_00161	Praz.g_00210
OG0000171	Syac.g_00136	Praz.g_00190
OG0000172	Syac.g_00084	Praz.g_00181
OG0000173	Syac.g_00057	Praz.g_00166
OG0000174	Syac.g_02401	Praz.g_00138
OG0000175	Syac.g_02465	Praz.g_00128
OG0000176	Syac.g_00004	Praz.g_00369
OG0000177	Syac.g_00005	Praz.g_00370
OG0000178	Syac.g_00006	Praz.g_00371
OG0000179	Syac.g_00019	Praz.g_00381
OG0000180	Syac.g_00020	Praz.g_00382
OG0000181	Syac.g_00021	Praz.g_00383
OG0000182	Syac.g_00022	Praz.g_00384
OG0000183	Syac.g_00026	Praz.g_00388
OG0000184	Syac.g_02339	Praz.g_00412
OG0000185	Syac.g_02336	Praz.g_00415
OG0000186	Syac.g_00454	Praz.g_00424
OG0000187	Syac.g_00453	Praz.g_00425
OG0000188	Syac.g_00433	Praz.g_00442
OG0000189	Syac.g_00408	Praz.g_00456
OG0000190	Syac.g_00406	Praz.g_00457
OG0000191	Syac.g_00373	Praz.g_00477
OG0000192	Syac.g_00368	Praz.g_00481
OG0000193	Syac.g_00329	Praz.g_00506
OG0000194	Syac.g_00326	Praz.g_00509
OG0000195	Syac.g_00324	Praz.g_00511
OG0000196	Syac.g_00313	Praz.g_00521
OG0000197	Syac.g_00312	Praz.g_00522
OG0000198	Syac.g_00311	Praz.g_00523
OG0000199	Syac.g_00303	Praz.g_00530
OG0000200	Syac.g_02261	Praz.g_00544
OG0000201	Syac.g_02278	Praz.g_00552
OG0000202	Syac.g_02279	Praz.g_00553
OG0000203	Syac.g_02280	Praz.g_00554
OG0000204	Syac.g_02281	Praz.g_00555
OG0000205	Syac.g_02288	Praz.g_00562
OG0000206	Syac.g_02297	Praz.g_00567
OG0000207	Syac.g_02300	Praz.g_00569
OG0000208	Syac.g_02301	Praz.g_00570
OG0000209	Syac.g_02316	Praz.g_00579
OG0000210	Syac.g_02317	Praz.g_00580
OG0000211	Syac.g_01972	Praz.g_00593
OG0000212	Syac.g_01963	Praz.g_00600
OG0000213	Syac.g_02219	Praz.g_00617
OG0000214	Syac.g_02236	Praz.g_00626
OG0000215	Syac.g_00281	Praz.g_00650
OG0000216	Syac.g_00277	Praz.g_00651
OG0000217	Syac.g_00273	Praz.g_00654
OG0000218	Syac.g_00271	Praz.g_00656
OG0000219	Syac.g_00270	Praz.g_00657
OG0000220	Syac.g_00269	Praz.g_00658
OG0000221	Syac.g_00261	Praz.g_00659
OG0000222	Syac.g_00247	Praz.g_00667
OG0000223	Syac.g_00225	Praz.g_00680
OG0000224	Syac.g_00217	Praz.g_00682
OG0000225	Syac.g_02004	Praz.g_00348
OG0000226	Syac.g_02000	Praz.g_00352
OG0000227	Syac.g_01998	Praz.g_00354
OG0000228	Syac.g_01989	Praz.g_00819
OG0000229	Syac.g_00692	Praz.g_01892
OG0000230	Syac.g_00694	Praz.g_01890
OG0000231	Syac.g_00710	Praz.g_01879
OG0000232	Syac.g_01717	Praz.g_01870
OG0000233	Syac.g_01713	Praz.g_01865
OG0000234	Syac.g_01699	Praz.g_01852
OG0000235	Syac.g_01905	Praz.g_01849
OG0000236	Syac.g_01890	Praz.g_01835
OG0000237	Syac.g_01873	Praz.g_01822
OG0000238	Syac.g_01868	Praz.g_01816
OG0000239	Syac.g_01852	Praz.g_01803
OG0000240	Syac.g_01851	Praz.g_01802
OG0000241	Syac.g_00970	Praz.g_01798
OG0000242	Syac.g_01839	Praz.g_01796
OG0000243	Syac.g_01821	Praz.g_01785
OG0000244	Syac.g_01814	Praz.g_01782
OG0000245	Syac.g_01811	Praz.g_01780
OG0000246	Syac.g_01807	Praz.g_01776
OG0000247	Syac.g_01795	Praz.g_01766
OG0000248	Syac.g_01792	Praz.g_01764
OG0000249	Syac.g_01790	Praz.g_01762
OG0000250	Syac.g_01782	Praz.g_01757
OG0000251	Syac.g_01757	Praz.g_01739
OG0000252	Syac.g_01753	Praz.g_01736
OG0000253	Syac.g_01752	Praz.g_01735
OG0000254	Syac.g_00939	Praz.g_01719
OG0000255	Syac.g_00947	Praz.g_01713
OG0000256	Syac.g_00963	Praz.g_01703
OG0000257	Syac.g_00969	Praz.g_01700
OG0000258	Syac.g_00988	Praz.g_01687
OG0000259	Syac.g_01425	Praz.g_01670
OG0000260	Syac.g_01422	Praz.g_01667
OG0000261	Syac.g_01418	Praz.g_01665
OG0000262	Syac.g_01413	Praz.g_01661
OG0000263	Syac.g_01497	Praz.g_01649
OG0000264	Syac.g_00915	Praz.g_01639
OG0000265	Syac.g_00673	Praz.g_01607
OG0000266	Syac.g_01271	Praz.g_01597
OG0000267	Syac.g_01131	Praz.g_01586
OG0000268	Syac.g_01132	Praz.g_01585
OG0000269	Syac.g_01346	Praz.g_01517
OG0000270	Syac.g_01343	Praz.g_01514
OG0000271	Syac.g_01335	Praz.g_01506
OG0000272	Syac.g_01334	Praz.g_01505
OG0000273	Syac.g_00854	Praz.g_01482
OG0000274	Syac.g_00853	Praz.g_01481
OG0000275	Syac.g_00848	Praz.g_01478
OG0000276	Syac.g_00840	Praz.g_01473
OG0000277	Syac.g_00839	Praz.g_01472
OG0000278	Syac.g_00836	Praz.g_01469
OG0000279	Syac.g_00828	Praz.g_01462
OG0000280	Syac.g_00814	Praz.g_01461
OG0000281	Syac.g_02158	Praz.g_01456
OG0000282	Syac.g_01392	Praz.g_01406
OG0000283	Syac.g_01142	Praz.g_01373
OG0000284	Syac.g_01148	Praz.g_01368
OG0000285	Syac.g_01160	Praz.g_01363
OG0000286	Syac.g_01181	Praz.g_01351
OG0000287	Syac.g_01692, Syac.g_01209	Praz.g_01334
OG0000288	Syac.g_01240	Praz.g_01304
OG0000289	Syac.g_01254	Praz.g_01292
OG0000290	Syac.g_00881	Praz.g_01279, Praz.g_00063
OG0000291	Syac.g_00883	Praz.g_00065
OG0000292	Syac.g_02487	Praz.g_00114
OG0000293	Syac.g_00754	Praz.g_00001
OG0000294	Syac.g_00755	Praz.g_00763
OG0000295	Syac.g_00796	Praz.g_00742
OG0000296	Syac.g_00798	Praz.g_00740
OG0000297	Syac.g_01475	Praz.g_00732
OG0000298	Syac.g_01476	Praz.g_00731
OG0000299	Syac.g_01503	Praz.g_00714
OG0000300	Syac.g_01510	Praz.g_00711
OG0000301	Syac.g_01511	Praz.g_00710
OG0000302	Syac.g_01512	Praz.g_00708
OG0000303	Syac.g_01520	Praz.g_00701
OG0000304	Syac.g_01526	Praz.g_00697
OG0000305	Syac.g_00886	Praz.g_01147
OG0000306	Syac.g_00810	Praz.g_01144
OG0000307	Syac.g_01924	Praz.g_01130
OG0000308	Syac.g_01926	Praz.g_01129
OG0000309	Syac.g_01931	Praz.g_01125
OG0000310	Syac.g_01607	Praz.g_01056
OG0000311	Syac.g_01611	Praz.g_01054
OG0000312	Syac.g_01619	Praz.g_01051
OG0000313	Syac.g_01638	Praz.g_01037
OG0000314	Syac.g_01665	Praz.g_01014
OG0000315	Syac.g_01675	Praz.g_01004
OG0000316	Syac.g_00601	Praz.g_00984
OG0000317	Syac.g_00552	Praz.g_00879
OG0000318	Syac.g_00543	Praz.g_00876
OG0000319	Syac.g_00525	Praz.g_00863
OG0000320	Syac.g_00523	Praz.g_00861
OG0000321	Syac.g_00522	Praz.g_00860
OG0000322	Syac.g_00521	Praz.g_00859
OG0000323	Syac.g_00506	Praz.g_00850
OG0000324	Syac.g_00648	Praz.g_00824
OG0000325	Syac.g_02190	Praz.g_00334
OG0000326	Syac.g_02183	Praz.g_00328
OG0000327	Syac.g_02137	Praz.g_00304
OG0000328	Syac.g_02136	Praz.g_00303
OG0000329	Syac.g_02119	Praz.g_00286
OG0000330	Syac.g_02118	Praz.g_00285
OG0000331	Syac.g_02117	Praz.g_00284
OG0000332	Syac.g_02103	Praz.g_00270
OG0000333	Syac.g_02100	Praz.g_00268
OG0000334	Syac.g_02090	Praz.g_00260
OG0000335	Syac.g_02085	Praz.g_00255
OG0000336	Syac.g_02081	Praz.g_00251
OG0000337	Syac.g_00199	Praz.g_00234
OG0000338	Syac.g_00196	Praz.g_00233
OG0000339	Syac.g_00190	Praz.g_00229
OG0000340	Syac.g_00178	Praz.g_00221
OG0000341	Syac.g_00176	Praz.g_00219
OG0000342	Syac.g_00175	Praz.g_00218
OG0000343	Syac.g_00174	Praz.g_00217
OG0000344	Syac.g_00170	Praz.g_00214
OG0000345	Syac.g_00160	Praz.g_00209
OG0000346	Syac.g_00155	Praz.g_00204
OG0000347	Syac.g_00129	Praz.g_00188
OG0000348	Syac.g_00070, Syac.g_00074	Praz.g_00178
OG0000349	Syac.g_00050	Praz.g_00161
OG0000350	Syac.g_02176	Praz.g_00142
OG0000351	Syac.g_02468	Praz.g_00125
OG0000352	Syac.g_02469	Praz.g_00124
OG0000353	Syac.g_02493	Praz.g_00364
OG0000355	Syac.g_00001	Praz.g_00366
OG0000356	Syac.g_00002	Praz.g_00367
OG0000357	Syac.g_00003	Praz.g_00368
OG0000358	Syac.g_00007	Praz.g_00372
OG0000359	Syac.g_00009	Praz.g_00373
OG0000360	Syac.g_00010	Praz.g_00374
OG0000361	Syac.g_00011	Praz.g_00375
OG0000362	Syac.g_00013	Praz.g_00377
OG0000363	Syac.g_00015	Praz.g_00379
OG0000364	Syac.g_00016	Praz.g_00380
OG0000365	Syac.g_00023	Praz.g_00385
OG0000366	Syac.g_00024	Praz.g_00386
OG0000367	Syac.g_00025	Praz.g_00387
OG0000368	Syac.g_00027	Praz.g_00389
OG0000369	Syac.g_00028	Praz.g_00390
OG0000370	Syac.g_00029	Praz.g_00391
OG0000371	Syac.g_00036	Praz.g_00397
OG0000372	Syac.g_00041	Praz.g_00400
OG0000373	Syac.g_00042	Praz.g_00401
OG0000374	Syac.g_00043	Praz.g_00402
OG0000375	Syac.g_00046	Praz.g_00406
OG0000376	Syac.g_00048	Praz.g_00408
OG0000377	Syac.g_02346	Praz.g_00411
OG0000378	Syac.g_02338	Praz.g_00413
OG0000379	Syac.g_02335	Praz.g_00416
OG0000380	Syac.g_00452	Praz.g_00426
OG0000381	Syac.g_00449	Praz.g_00430
OG0000382	Syac.g_00434	Praz.g_00441
OG0000383	Syac.g_00432	Praz.g_00443
OG0000384	Syac.g_00431	Praz.g_00444
OG0000385	Syac.g_00430	Praz.g_00445
OG0000386	Syac.g_00429	Praz.g_00446
OG0000387	Syac.g_00404	Praz.g_00459
OG0000388	Syac.g_00401	Praz.g_00462
OG0000389	Syac.g_00397	Praz.g_00466
OG0000390	Syac.g_00379	Praz.g_00473
OG0000391	Syac.g_00374	Praz.g_00476
OG0000392	Syac.g_00369	Praz.g_00480
OG0000393	Syac.g_00366	Praz.g_00482
OG0000394	Syac.g_00365	Praz.g_00483
OG0000395	Syac.g_00364	Praz.g_00484
OG0000396	Syac.g_00361	Praz.g_00487
OG0000397	Syac.g_00359	Praz.g_00489
OG0000398	Syac.g_00354	Praz.g_00491
OG0000399	Syac.g_00353	Praz.g_00492
OG0000400	Syac.g_00352	Praz.g_00493
OG0000401	Syac.g_00351	Praz.g_00494
OG0000402	Syac.g_00348	Praz.g_00496
OG0000403	Syac.g_00347	Praz.g_00497
OG0000404	Syac.g_00345	Praz.g_00498
OG0000405	Syac.g_00332	Praz.g_00502
OG0000406	Syac.g_00328	Praz.g_00507
OG0000407	Syac.g_00327	Praz.g_00508
OG0000408	Syac.g_00325	Praz.g_00510
OG0000409	Syac.g_00323	Praz.g_00512
OG0000410	Syac.g_00322	Praz.g_00513
OG0000411	Syac.g_00321	Praz.g_00514
OG0000412	Syac.g_00320	Praz.g_00515
OG0000413	Syac.g_00318	Praz.g_00516
OG0000414	Syac.g_00317	Praz.g_00517
OG0000415	Syac.g_00316	Praz.g_00518
OG0000416	Syac.g_00315	Praz.g_00519
OG0000417	Syac.g_00314	Praz.g_00520
OG0000418	Syac.g_00309	Praz.g_00525
OG0000419	Syac.g_00307	Praz.g_00527
OG0000420	Syac.g_00305	Praz.g_00528
OG0000421	Syac.g_00300	Praz.g_00533
OG0000422	Syac.g_00299	Praz.g_00534
OG0000423	Syac.g_00298	Praz.g_00535
OG0000424	Syac.g_00297	Praz.g_00536
OG0000425	Syac.g_00296	Praz.g_00537
OG0000426	Syac.g_00295	Praz.g_00538
OG0000427	Syac.g_00294	Praz.g_00539
OG0000428	Syac.g_02257	Praz.g_00541
OG0000429	Syac.g_02259	Praz.g_00542
OG0000430	Syac.g_02260	Praz.g_00543
OG0000431	Syac.g_02264	Praz.g_00545
OG0000432	Syac.g_02270	Praz.g_00548
OG0000433	Syac.g_02272	Praz.g_00549
OG0000434	Syac.g_02273	Praz.g_00550
OG0000435	Syac.g_02277	Praz.g_00551
OG0000436	Syac.g_02282	Praz.g_00556
OG0000437	Syac.g_02283	Praz.g_00557
OG0000438	Syac.g_02284	Praz.g_00558
OG0000439	Syac.g_02286	Praz.g_00560
OG0000440	Syac.g_02287	Praz.g_00561
OG0000441	Syac.g_02294	Praz.g_00564
OG0000442	Syac.g_02295	Praz.g_00565
OG0000443	Syac.g_02296	Praz.g_00566
OG0000444	Syac.g_02303	Praz.g_00571
OG0000445	Syac.g_02304	Praz.g_00572
OG0000446	Syac.g_02305	Praz.g_00573
OG0000447	Syac.g_02308	Praz.g_00574
OG0000448	Syac.g_02309	Praz.g_00575
OG0000449	Syac.g_02310	Praz.g_00576
OG0000450	Syac.g_02313	Praz.g_00577
OG0000451	Syac.g_02314	Praz.g_00578
OG0000452	Syac.g_02318	Praz.g_00581
OG0000453	Syac.g_02319	Praz.g_00582
OG0000454	Syac.g_02320	Praz.g_00583
OG0000455	Syac.g_02321	Praz.g_00584
OG0000456	Syac.g_02322	Praz.g_00585
OG0000457	Syac.g_02324	Praz.g_00586
OG0000458	Syac.g_02325	Praz.g_00587
OG0000459	Syac.g_02326	Praz.g_00588
OG0000460	Syac.g_01970	Praz.g_00595
OG0000461	Syac.g_02198	Praz.g_00602
OG0000462	Syac.g_02201	Praz.g_00604
OG0000463	Syac.g_02202	Praz.g_00605
OG0000464	Syac.g_02203	Praz.g_00606
OG0000465	Syac.g_02204	Praz.g_00607
OG0000466	Syac.g_02208	Praz.g_00610
OG0000467	Syac.g_02210	Praz.g_00611
OG0000468	Syac.g_02216	Praz.g_00613
OG0000469	Syac.g_02230	Praz.g_00621
OG0000470	Syac.g_02232	Praz.g_00623
OG0000471	Syac.g_02233	Praz.g_00624
OG0000472	Syac.g_02235	Praz.g_00625
OG0000473	Syac.g_02237	Praz.g_00627
OG0000474	Syac.g_02238	Praz.g_00628
OG0000475	Syac.g_02239	Praz.g_00629
OG0000476	Syac.g_02241	Praz.g_00630
OG0000477	Syac.g_02247	Praz.g_00633
OG0000478	Syac.g_02248	Praz.g_00634
OG0000479	Syac.g_02249	Praz.g_00635
OG0000480	Syac.g_00293	Praz.g_00640
OG0000481	Syac.g_00291	Praz.g_00642
OG0000482	Syac.g_00290	Praz.g_00643
OG0000483	Syac.g_00286	Praz.g_00646
OG0000484	Syac.g_00285	Praz.g_00647
OG0000485	Syac.g_00284	Praz.g_00648
OG0000486	Syac.g_00283	Praz.g_00649
OG0000487	Syac.g_00276	Praz.g_00652
OG0000488	Syac.g_00272	Praz.g_00655
OG0000489	Syac.g_00260	Praz.g_00660
OG0000490	Syac.g_00249	Praz.g_00665
OG0000491	Syac.g_00248	Praz.g_00666
OG0000492	Syac.g_00246	Praz.g_00668
OG0000493	Syac.g_00245	Praz.g_00669
OG0000494	Syac.g_00244	Praz.g_00670
OG0000495	Syac.g_00243	Praz.g_00671
OG0000496	Syac.g_00242	Praz.g_00672
OG0000497	Syac.g_00241	Praz.g_00673
OG0000498	Syac.g_00240	Praz.g_00674
OG0000499	Syac.g_00239	Praz.g_00675
OG0000500	Syac.g_00238	Praz.g_00676
OG0000501	Syac.g_00235	Praz.g_00678
OG0000502	Syac.g_00223	Praz.g_00681
OG0000503	Syac.g_02020	Praz.g_01931
OG0000504	Syac.g_02018	Praz.g_01932
OG0000505	Syac.g_02017	Praz.g_01933
OG0000506	Syac.g_02015	Praz.g_01935
OG0000507	Syac.g_02009	Praz.g_00343
OG0000508	Syac.g_02005	Praz.g_00347
OG0000509	Syac.g_02003	Praz.g_00349
OG0000510	Syac.g_02002	Praz.g_00350
OG0000511	Syac.g_02001	Praz.g_00351
OG0000512	Syac.g_01999	Praz.g_00353
OG0000513	Syac.g_01984	Praz.g_00816
OG0000514	Syac.g_01977	Praz.g_01897
OG0000515	Syac.g_01976	Praz.g_01896
OG0000516	Syac.g_00697	Praz.g_01895
OG0000517	Syac.g_00691	Praz.g_01893
OG0000518	Syac.g_00707	Praz.g_01882
OG0000519	Syac.g_00708	Praz.g_01881
OG0000520	Syac.g_00709	Praz.g_01880
OG0000521	Syac.g_01721	Praz.g_01875
OG0000522	Syac.g_01719	Praz.g_01873
OG0000523	Syac.g_01718	Praz.g_01872
OG0000524	Syac.g_01716	Praz.g_01867
OG0000525	Syac.g_01709	Praz.g_01864
OG0000526	Syac.g_01706	Praz.g_01863
OG0000527	Syac.g_01702	Praz.g_01855
OG0000528	Syac.g_01911	Praz.g_01850
OG0000529	Syac.g_01903	Praz.g_01847
OG0000530	Syac.g_01900	Praz.g_01844
OG0000531	Syac.g_01899	Praz.g_01843
OG0000532	Syac.g_01896	Praz.g_01841
OG0000533	Syac.g_01895	Praz.g_01840
OG0000534	Syac.g_01894	Praz.g_01839
OG0000535	Syac.g_01893	Praz.g_01838
OG0000536	Syac.g_01892	Praz.g_01837
OG0000537	Syac.g_01891	Praz.g_01836
OG0000538	Syac.g_01880	Praz.g_01828
OG0000539	Syac.g_01879	Praz.g_01827
OG0000540	Syac.g_01878	Praz.g_01826
OG0000541	Syac.g_01877	Praz.g_01825
OG0000542	Syac.g_01874	Praz.g_01823
OG0000543	Syac.g_01872	Praz.g_01821
OG0000544	Syac.g_01871	Praz.g_01820
OG0000545	Syac.g_01869	Praz.g_01818
OG0000546	Syac.g_01867	Praz.g_01815
OG0000547	Syac.g_01865	Praz.g_01813
OG0000548	Syac.g_01864	Praz.g_01812
OG0000549	Syac.g_01858	Praz.g_01810
OG0000550	Syac.g_01854	Praz.g_01805
OG0000551	Syac.g_01849	Praz.g_01801
OG0000552	Syac.g_01848	Praz.g_01800
OG0000553	Syac.g_01846	Praz.g_01799
OG0000554	Syac.g_01835	Praz.g_01794
OG0000555	Syac.g_01822	Praz.g_01786
OG0000556	Syac.g_01817	Praz.g_01784
OG0000557	Syac.g_01815	Praz.g_01783
OG0000558	Syac.g_01813	Praz.g_01781
OG0000559	Syac.g_01808	Praz.g_01777
OG0000560	Syac.g_01805	Praz.g_01774
OG0000561	Syac.g_01804	Praz.g_01773
OG0000562	Syac.g_01803	Praz.g_01772
OG0000563	Syac.g_01802	Praz.g_01771
OG0000564	Syac.g_01801	Praz.g_01770
OG0000565	Syac.g_01797	Praz.g_01767
OG0000566	Syac.g_01793	Praz.g_01765
OG0000567	Syac.g_01789	Praz.g_01761
OG0000568	Syac.g_01786	Praz.g_01760
OG0000569	Syac.g_01785	Praz.g_01759
OG0000570	Syac.g_01784	Praz.g_01758
OG0000571	Syac.g_01780	Praz.g_01756
OG0000572	Syac.g_01765	Praz.g_01743
OG0000573	Syac.g_01755	Praz.g_01738
OG0000574	Syac.g_01754	Praz.g_01737
OG0000575	Syac.g_01750	Praz.g_01733
OG0000576	Syac.g_01748	Praz.g_01731
OG0000577	Syac.g_01747	Praz.g_01730
OG0000578	Syac.g_01746	Praz.g_01729
OG0000579	Syac.g_01745	Praz.g_01728
OG0000580	Syac.g_01744	Praz.g_01727
OG0000581	Syac.g_01738	Praz.g_01725
OG0000582	Syac.g_00936	Praz.g_01722
OG0000583	Syac.g_00937	Praz.g_01721
OG0000584	Syac.g_00938	Praz.g_01720
