Orthogroup	Syac	Prad
OG0000082	Syac.g_01766	Prad.g_01374
OG0000084	Syac.g_00822, Syac.g_01627	Prad.g_00519
OG0000085	Syac.g_00560	Prad.g_00948
OG0000086	Syac.g_00423	Prad.g_01905
OG0000087	Syac.g_00343	Prad.g_01854
OG0000088	Syac.g_00308	Prad.g_01825
OG0000089	Syac.g_01988, Syac.g_01543	Prad.g_00755
OG0000090	Syac.g_01836	Prad.g_00096
OG0000091	Syac.g_00987	Prad.g_01431
OG0000093	Syac.g_01357	Prad.g_00218
OG0000094	Syac.g_01251	Prad.g_01038
OG0000095	Syac.g_00884	Prad.g_01018
OG0000097	Syac.g_01507	Prad.g_01454
OG0000098	Syac.g_02157	Prad.g_00612
OG0000099	Syac.g_00234	Prad.g_00566
OG0000100	Syac.g_01309	Prad.g_00440
OG0000101	Syac.g_02094	Prad.g_00807
OG0000102	Syac.g_00151	Prad.g_01626
OG0000103	Syac.g_02476	Prad.g_01548
OG0000104	Syac.g_02490	Prad.g_01540
OG0000105	Syac.g_02245	Prad.g_01717
OG0000106	Syac.g_01098	Prad.g_00739
OG0000107	Syac.g_02191	Prad.g_00724
OG0000108	Syac.g_01904	Prad.g_00027
OG0000109	Syac.g_01889	Prad.g_00013
OG0000110	Syac.g_01778	Prad.g_01364
OG0000111	Syac.g_00893	Prad.g_01273
OG0000112	Syac.g_01173	Prad.g_01109
OG0000113	Syac.g_01314	Prad.g_01168
OG0000114	Syac.g_01394	Prad.g_00245
OG0000115	Syac.g_01655	Prad.g_00641
OG0000116	Syac.g_00753	Prad.g_01506
OG0000117	Syac.g_01477	Prad.g_01214
OG0000118	Syac.g_01728	Prad.g_00616
OG0000120	Syac.g_00233	Prad.g_00564
OG0000121	Syac.g_01635	Prad.g_00513
OG0000122	Syac.g_01013	Prad.g_00474
OG0000123	Syac.g_02086	Prad.g_00800
OG0000124	Syac.g_00135	Prad.g_01616
OG0000125	Syac.g_02360	Prad.g_01580
OG0000126	Syac.g_02488	Prad.g_01541
OG0000128	Syac.g_00012	Prad.g_01975
OG0000129	Syac.g_02349	Prad.g_01943
OG0000130	Syac.g_00450	Prad.g_01924
OG0000131	Syac.g_00330	Prad.g_01846
OG0000132	Syac.g_00310	Prad.g_01827
OG0000133	Syac.g_01178	Prad.g_01669
OG0000134	Syac.g_01985	Prad.g_00754
OG0000135	Syac.g_02398	Prad.g_00727
OG0000136	Syac.g_00701	Prad.g_00066
OG0000137	Syac.g_01700	Prad.g_00032
OG0000138	Syac.g_01888	Prad.g_00012
OG0000139	Syac.g_01830	Prad.g_00092
OG0000140	Syac.g_01829	Prad.g_00091
OG0000141	Syac.g_00934	Prad.g_01396
OG0000142	Syac.g_00979	Prad.g_01424
OG0000143	Syac.g_00983	Prad.g_01428
OG0000144	Syac.g_01090	Prad.g_01226
OG0000145	Syac.g_01882	Prad.g_01107
OG0000146	Syac.g_01172	Prad.g_01110
OG0000147	Syac.g_01171	Prad.g_01111
OG0000148	Syac.g_01320	Prad.g_01162
OG0000149	Syac.g_00832	Prad.g_00301
OG0000150	Syac.g_00935	Prad.g_00293
OG0000151	Syac.g_01383	Prad.g_00235
OG0000152	Syac.g_01182	Prad.g_00186
OG0000153	Syac.g_01217	Prad.g_00167
OG0000154	Syac.g_01241	Prad.g_00139
OG0000155	Syac.g_00804	Prad.g_01476
OG0000156	Syac.g_00743	Prad.g_00359
OG0000157	Syac.g_00742	Prad.g_00360
OG0000158	Syac.g_00182	Prad.g_00567
OG0000160	Syac.g_01633	Prad.g_00514
OG0000161	Syac.g_01641	Prad.g_00508
OG0000162	Syac.g_01648	Prad.g_00502
OG0000163	Syac.g_00619	Prad.g_00467
OG0000164	Syac.g_00508	Prad.g_00917
OG0000165	Syac.g_00674	Prad.g_00910
OG0000166	Syac.g_02132	Prad.g_00843
OG0000167	Syac.g_00194	Prad.g_00777
OG0000168	Syac.g_00179	Prad.g_00767
OG0000169	Syac.g_00168	Prad.g_01637
OG0000170	Syac.g_00161	Prad.g_01635
OG0000171	Syac.g_00136	Prad.g_01617
OG0000172	Syac.g_00084	Prad.g_01609
OG0000173	Syac.g_00057	Prad.g_01594
OG0000174	Syac.g_02401	Prad.g_01566
OG0000175	Syac.g_02465	Prad.g_01556
OG0000176	Syac.g_00004	Prad.g_01532
OG0000177	Syac.g_00005	Prad.g_01531
OG0000178	Syac.g_00006	Prad.g_01530
OG0000179	Syac.g_00019	Prad.g_01970
OG0000180	Syac.g_00020	Prad.g_01969
OG0000181	Syac.g_00021	Prad.g_01968
OG0000182	Syac.g_00022	Prad.g_01967
OG0000183	Syac.g_00026	Prad.g_01963
OG0000184	Syac.g_02339	Prad.g_01940
OG0000185	Syac.g_02336	Prad.g_01937
OG0000186	Syac.g_00454	Prad.g_01929
OG0000187	Syac.g_00453	Prad.g_01928
OG0000188	Syac.g_00433	Prad.g_01911
OG0000189	Syac.g_00408	Prad.g_01897
OG0000190	Syac.g_00406	Prad.g_01896
OG0000191	Syac.g_00373	Prad.g_01876
OG0000192	Syac.g_00368	Prad.g_01872
OG0000193	Syac.g_00329	Prad.g_01845
OG0000194	Syac.g_00326	Prad.g_01842
OG0000195	Syac.g_00324	Prad.g_01840
OG0000196	Syac.g_00313	Prad.g_01830
OG0000197	Syac.g_00312	Prad.g_01829
OG0000198	Syac.g_00311	Prad.g_01828
OG0000199	Syac.g_00303	Prad.g_01821
OG0000200	Syac.g_02261	Prad.g_01807
OG0000201	Syac.g_02278	Prad.g_01799
OG0000202	Syac.g_02279	Prad.g_01798
OG0000203	Syac.g_02280	Prad.g_01797
OG0000204	Syac.g_02281	Prad.g_01796
OG0000205	Syac.g_02288	Prad.g_01789
OG0000206	Syac.g_02297	Prad.g_01784
OG0000207	Syac.g_02300	Prad.g_01782
OG0000208	Syac.g_02301	Prad.g_01781
OG0000209	Syac.g_02316	Prad.g_01772
OG0000210	Syac.g_02317	Prad.g_01771
OG0000211	Syac.g_01972	Prad.g_01758
OG0000212	Syac.g_01963	Prad.g_01751
OG0000213	Syac.g_02219	Prad.g_01734
OG0000214	Syac.g_02236	Prad.g_01724
OG0000215	Syac.g_00281	Prad.g_01699
OG0000216	Syac.g_00277	Prad.g_01697
OG0000217	Syac.g_00273	Prad.g_01694
OG0000218	Syac.g_00271	Prad.g_01692
OG0000219	Syac.g_00270	Prad.g_01691
OG0000220	Syac.g_00269	Prad.g_01690
OG0000221	Syac.g_00261	Prad.g_01689
OG0000222	Syac.g_00247	Prad.g_01681
OG0000223	Syac.g_00225	Prad.g_01668
OG0000224	Syac.g_00217	Prad.g_01666
OG0000225	Syac.g_02004	Prad.g_01645
OG0000226	Syac.g_02000	Prad.g_00761
OG0000227	Syac.g_01998	Prad.g_00759
OG0000228	Syac.g_01989	Prad.g_00756
OG0000229	Syac.g_00692	Prad.g_00666
OG0000230	Syac.g_00694	Prad.g_00069
OG0000231	Syac.g_00710	Prad.g_00058
OG0000232	Syac.g_01717	Prad.g_00049
OG0000233	Syac.g_01713	Prad.g_00043
OG0000234	Syac.g_01699	Prad.g_00031
OG0000235	Syac.g_01905	Prad.g_00028
OG0000236	Syac.g_01890	Prad.g_00014
OG0000237	Syac.g_01873	Prad.g_00123
OG0000238	Syac.g_01868	Prad.g_00117
OG0000239	Syac.g_01852	Prad.g_00104
OG0000240	Syac.g_01851	Prad.g_00103
OG0000241	Syac.g_00970	Prad.g_00099
OG0000242	Syac.g_01839	Prad.g_00097
OG0000243	Syac.g_01821	Prad.g_01333
OG0000244	Syac.g_01814	Prad.g_01336
OG0000245	Syac.g_01811	Prad.g_01338
OG0000246	Syac.g_01807	Prad.g_01342
OG0000247	Syac.g_01795	Prad.g_01352
OG0000248	Syac.g_01792	Prad.g_01354
OG0000249	Syac.g_01790	Prad.g_01356
OG0000250	Syac.g_01782	Prad.g_01361
OG0000251	Syac.g_01757	Prad.g_01380
OG0000252	Syac.g_01753	Prad.g_01383
OG0000253	Syac.g_01752	Prad.g_01384
OG0000254	Syac.g_00939	Prad.g_01400
OG0000255	Syac.g_00947	Prad.g_01406
OG0000256	Syac.g_00963	Prad.g_01416
OG0000257	Syac.g_00969	Prad.g_01419
OG0000258	Syac.g_00988	Prad.g_01432
OG0000259	Syac.g_01425	Prad.g_01234
OG0000260	Syac.g_01422	Prad.g_01237
OG0000261	Syac.g_01418	Prad.g_01239
OG0000262	Syac.g_01413	Prad.g_01243
OG0000263	Syac.g_01497	Prad.g_01255
OG0000264	Syac.g_00915	Prad.g_01265
OG0000265	Syac.g_00673	Prad.g_01049
OG0000266	Syac.g_01271	Prad.g_01059
OG0000267	Syac.g_01131	Prad.g_01070
OG0000268	Syac.g_01132	Prad.g_01071
OG0000269	Syac.g_01346	Prad.g_01141
OG0000270	Syac.g_01343	Prad.g_01144
OG0000271	Syac.g_01335	Prad.g_01152
OG0000272	Syac.g_01334	Prad.g_01153
OG0000273	Syac.g_00854	Prad.g_01176
OG0000274	Syac.g_00853	Prad.g_01177
OG0000275	Syac.g_00848	Prad.g_01180
OG0000276	Syac.g_00840	Prad.g_01185
OG0000277	Syac.g_00839	Prad.g_00308
OG0000278	Syac.g_00836	Prad.g_00305
OG0000279	Syac.g_00828	Prad.g_00298
OG0000280	Syac.g_00814	Prad.g_00297
OG0000281	Syac.g_02158	Prad.g_00292
OG0000282	Syac.g_01392	Prad.g_00243
OG0000283	Syac.g_01142	Prad.g_00209
OG0000284	Syac.g_01148	Prad.g_00204
OG0000285	Syac.g_01160	Prad.g_00199
OG0000286	Syac.g_01181	Prad.g_00187
OG0000287	Syac.g_01692, Syac.g_01209	Prad.g_00170
OG0000288	Syac.g_01240	Prad.g_00140
OG0000289	Syac.g_01254	Prad.g_01035
OG0000290	Syac.g_00881	Prad.g_01021
OG0000291	Syac.g_00883	Prad.g_01019
OG0000292	Syac.g_02487	Prad.g_00972
OG0000293	Syac.g_00754	Prad.g_01505
OG0000294	Syac.g_00755	Prad.g_01504
OG0000295	Syac.g_00796	Prad.g_01484
OG0000296	Syac.g_00798	Prad.g_01482
OG0000297	Syac.g_01475	Prad.g_01474
OG0000298	Syac.g_01476	Prad.g_01473
OG0000299	Syac.g_01503	Prad.g_01455
OG0000300	Syac.g_01510	Prad.g_01452
OG0000301	Syac.g_01511	Prad.g_01451
OG0000302	Syac.g_01512	Prad.g_01449
OG0000303	Syac.g_01520	Prad.g_01442
OG0000304	Syac.g_01526	Prad.g_01438
OG0000305	Syac.g_00886	Prad.g_00602
OG0000306	Syac.g_00810	Prad.g_00599
OG0000307	Syac.g_01924	Prad.g_00585
OG0000308	Syac.g_01926	Prad.g_00584
OG0000309	Syac.g_01931	Prad.g_00580
OG0000310	Syac.g_01607	Prad.g_00530
OG0000311	Syac.g_01611	Prad.g_00528
OG0000312	Syac.g_01619	Prad.g_00525
OG0000313	Syac.g_01638	Prad.g_00511
OG0000314	Syac.g_01665	Prad.g_00487
OG0000315	Syac.g_01675	Prad.g_00477
OG0000316	Syac.g_00601	Prad.g_00457
OG0000317	Syac.g_00552	Prad.g_00943
OG0000318	Syac.g_00543	Prad.g_00940
OG0000319	Syac.g_00525	Prad.g_00927
OG0000320	Syac.g_00523	Prad.g_00925
OG0000321	Syac.g_00522	Prad.g_00924
OG0000322	Syac.g_00521	Prad.g_00923
OG0000323	Syac.g_00506	Prad.g_00914
OG0000324	Syac.g_00648	Prad.g_00887
OG0000325	Syac.g_02190	Prad.g_00878
OG0000326	Syac.g_02183	Prad.g_00872
OG0000327	Syac.g_02137	Prad.g_00848
OG0000328	Syac.g_02136	Prad.g_00847
OG0000329	Syac.g_02119	Prad.g_00830
OG0000330	Syac.g_02118	Prad.g_00829
OG0000331	Syac.g_02117	Prad.g_00828
OG0000332	Syac.g_02103	Prad.g_00814
OG0000333	Syac.g_02100	Prad.g_00812
OG0000334	Syac.g_02090	Prad.g_00804
OG0000335	Syac.g_02085	Prad.g_00799
OG0000336	Syac.g_02081	Prad.g_00795
OG0000337	Syac.g_00199	Prad.g_00779
OG0000338	Syac.g_00196	Prad.g_00778
OG0000339	Syac.g_00190	Prad.g_00774
OG0000340	Syac.g_00178	Prad.g_00766, Prad.g_01294
OG0000341	Syac.g_00176	Prad.g_00764
OG0000342	Syac.g_00175	Prad.g_00763
OG0000343	Syac.g_00174	Prad.g_00762
OG0000344	Syac.g_00170	Prad.g_01639
OG0000345	Syac.g_00160	Prad.g_01634
OG0000346	Syac.g_00155	Prad.g_01630
OG0000347	Syac.g_00129	Prad.g_01615
OG0000348	Syac.g_00070, Syac.g_00074	Prad.g_01606
OG0000349	Syac.g_00050	Prad.g_01589
OG0000350	Syac.g_02176	Prad.g_01570
OG0000351	Syac.g_02468	Prad.g_01553
OG0000352	Syac.g_02469	Prad.g_01552
OG0000353	Syac.g_02493	Prad.g_01537
OG0000354	Syac.g_01862	Prad.g_01041
OG0000355	Syac.g_00001	Prad.g_01535
OG0000356	Syac.g_00002	Prad.g_01534
OG0000357	Syac.g_00003	Prad.g_01533
OG0000358	Syac.g_00007	Prad.g_01529
OG0000359	Syac.g_00009	Prad.g_01528
OG0000360	Syac.g_00010	Prad.g_01527
OG0000361	Syac.g_00011	Prad.g_01976
OG0000362	Syac.g_00013	Prad.g_01974
OG0000363	Syac.g_00015	Prad.g_01972
OG0000364	Syac.g_00016	Prad.g_01971
OG0000365	Syac.g_00023	Prad.g_01966
OG0000366	Syac.g_00024	Prad.g_01965
OG0000367	Syac.g_00025	Prad.g_01964
OG0000368	Syac.g_00027	Prad.g_01962
OG0000369	Syac.g_00028	Prad.g_01961
OG0000370	Syac.g_00029	Prad.g_01960
OG0000371	Syac.g_00036	Prad.g_01954
OG0000372	Syac.g_00041	Prad.g_01951
OG0000373	Syac.g_00042	Prad.g_01950
OG0000374	Syac.g_00043	Prad.g_01949
OG0000375	Syac.g_00046	Prad.g_01947
OG0000376	Syac.g_00048	Prad.g_01945
OG0000377	Syac.g_02346	Prad.g_01941
OG0000378	Syac.g_02338	Prad.g_01939
OG0000379	Syac.g_02335	Prad.g_01936
OG0000380	Syac.g_00452	Prad.g_01927
OG0000381	Syac.g_00449	Prad.g_01923
OG0000382	Syac.g_00434	Prad.g_01912
OG0000383	Syac.g_00432	Prad.g_01910
OG0000384	Syac.g_00431	Prad.g_01909
OG0000385	Syac.g_00430	Prad.g_01908
OG0000386	Syac.g_00429	Prad.g_01907
OG0000387	Syac.g_00404	Prad.g_01894
OG0000388	Syac.g_00401	Prad.g_01891
OG0000389	Syac.g_00397	Prad.g_01887
OG0000390	Syac.g_00379	Prad.g_01880, Prad.g_00011
OG0000391	Syac.g_00374	Prad.g_01877
OG0000392	Syac.g_00369	Prad.g_01873
OG0000393	Syac.g_00366	Prad.g_01871
OG0000394	Syac.g_00365	Prad.g_01870
OG0000395	Syac.g_00364	Prad.g_01869
OG0000396	Syac.g_00361	Prad.g_01866
OG0000397	Syac.g_00359	Prad.g_01864
OG0000398	Syac.g_00354	Prad.g_01862
OG0000399	Syac.g_00353	Prad.g_01861
OG0000400	Syac.g_00352	Prad.g_01860
OG0000401	Syac.g_00351	Prad.g_01859
OG0000402	Syac.g_00348	Prad.g_01857
OG0000403	Syac.g_00347	Prad.g_01856
OG0000404	Syac.g_00345	Prad.g_01855
OG0000405	Syac.g_00332	Prad.g_01851
OG0000406	Syac.g_00328	Prad.g_01844
OG0000407	Syac.g_00327	Prad.g_01843
OG0000408	Syac.g_00325	Prad.g_01841
OG0000409	Syac.g_00323	Prad.g_01839
OG0000410	Syac.g_00322	Prad.g_01838
OG0000411	Syac.g_00321	Prad.g_01837
OG0000412	Syac.g_00320	Prad.g_01836
OG0000413	Syac.g_00318	Prad.g_01835
OG0000414	Syac.g_00317	Prad.g_01834
OG0000415	Syac.g_00316	Prad.g_01833
OG0000416	Syac.g_00315	Prad.g_01832
OG0000417	Syac.g_00314	Prad.g_01831
OG0000418	Syac.g_00309	Prad.g_01826
OG0000419	Syac.g_00307	Prad.g_01824
OG0000420	Syac.g_00305	Prad.g_01823
OG0000421	Syac.g_00300	Prad.g_01818
OG0000422	Syac.g_00299	Prad.g_01817
OG0000423	Syac.g_00298	Prad.g_01816
OG0000424	Syac.g_00297	Prad.g_01815
OG0000425	Syac.g_00296	Prad.g_01814
OG0000426	Syac.g_00295	Prad.g_01813
OG0000427	Syac.g_00294	Prad.g_01812
OG0000428	Syac.g_02257	Prad.g_01810
OG0000429	Syac.g_02259	Prad.g_01809
OG0000430	Syac.g_02260	Prad.g_01808
OG0000431	Syac.g_02264	Prad.g_01806
OG0000432	Syac.g_02270	Prad.g_01803
OG0000433	Syac.g_02272	Prad.g_01802
OG0000434	Syac.g_02273	Prad.g_01801
OG0000435	Syac.g_02277	Prad.g_01800
OG0000436	Syac.g_02282	Prad.g_01795
OG0000437	Syac.g_02283	Prad.g_01794
OG0000438	Syac.g_02284	Prad.g_01793
OG0000439	Syac.g_02286	Prad.g_01791
OG0000440	Syac.g_02287	Prad.g_01790
OG0000441	Syac.g_02294	Prad.g_01787
OG0000442	Syac.g_02295	Prad.g_01786
OG0000443	Syac.g_02296	Prad.g_01785
OG0000444	Syac.g_02303	Prad.g_01780
OG0000445	Syac.g_02304	Prad.g_01779
OG0000446	Syac.g_02305	Prad.g_01778
OG0000447	Syac.g_02308	Prad.g_01777
OG0000448	Syac.g_02309	Prad.g_01776
OG0000449	Syac.g_02310	Prad.g_01775
OG0000450	Syac.g_02313	Prad.g_01774
OG0000451	Syac.g_02314	Prad.g_01773
OG0000452	Syac.g_02318	Prad.g_01770
OG0000453	Syac.g_02319	Prad.g_01769
OG0000454	Syac.g_02320	Prad.g_01768
OG0000455	Syac.g_02321	Prad.g_01767
OG0000456	Syac.g_02322	Prad.g_01766
OG0000457	Syac.g_02324	Prad.g_01765
OG0000458	Syac.g_02325	Prad.g_01764
OG0000459	Syac.g_02326	Prad.g_01763
OG0000460	Syac.g_01970	Prad.g_01756
OG0000461	Syac.g_02198	Prad.g_01749
OG0000462	Syac.g_02201	Prad.g_01747
OG0000463	Syac.g_02202	Prad.g_01746
OG0000464	Syac.g_02203	Prad.g_01745
OG0000465	Syac.g_02204	Prad.g_01744
OG0000466	Syac.g_02208	Prad.g_01741
OG0000467	Syac.g_02210	Prad.g_01740
OG0000468	Syac.g_02216	Prad.g_01738
OG0000469	Syac.g_02230	Prad.g_01729
OG0000470	Syac.g_02232	Prad.g_01727
OG0000471	Syac.g_02233	Prad.g_01726
OG0000472	Syac.g_02235	Prad.g_01725
OG0000473	Syac.g_02237	Prad.g_01723
OG0000474	Syac.g_02238	Prad.g_01722
OG0000475	Syac.g_02239	Prad.g_01721
OG0000476	Syac.g_02241	Prad.g_01720
OG0000477	Syac.g_02247	Prad.g_01716
OG0000478	Syac.g_02248	Prad.g_01715
OG0000479	Syac.g_02249	Prad.g_01714
OG0000480	Syac.g_00293	Prad.g_01709
OG0000481	Syac.g_00291	Prad.g_01707
OG0000482	Syac.g_00290	Prad.g_01706
OG0000483	Syac.g_00286	Prad.g_01703
OG0000484	Syac.g_00285	Prad.g_01702
OG0000485	Syac.g_00284	Prad.g_01701
OG0000486	Syac.g_00283	Prad.g_01700
OG0000487	Syac.g_00276	Prad.g_01696
OG0000488	Syac.g_00272	Prad.g_01693
OG0000489	Syac.g_00260	Prad.g_01688
OG0000490	Syac.g_00249	Prad.g_01683
OG0000491	Syac.g_00248	Prad.g_01682
OG0000492	Syac.g_00246	Prad.g_01680
OG0000493	Syac.g_00245	Prad.g_01679
OG0000494	Syac.g_00244	Prad.g_01678
OG0000495	Syac.g_00243	Prad.g_01677
OG0000496	Syac.g_00242	Prad.g_01676
OG0000497	Syac.g_00241	Prad.g_01675
OG0000498	Syac.g_00240	Prad.g_01674
OG0000499	Syac.g_00239	Prad.g_01673
OG0000500	Syac.g_00238	Prad.g_01672
OG0000501	Syac.g_00235	Prad.g_01670
OG0000502	Syac.g_00223	Prad.g_01667
OG0000503	Syac.g_02020	Prad.g_01657
OG0000504	Syac.g_02018	Prad.g_01656
OG0000505	Syac.g_02017	Prad.g_01655
OG0000506	Syac.g_02015	Prad.g_01653
OG0000507	Syac.g_02009	Prad.g_01650
OG0000508	Syac.g_02005	Prad.g_01646
OG0000509	Syac.g_02003	Prad.g_01644
OG0000510	Syac.g_02002	Prad.g_01643
OG0000511	Syac.g_02001	Prad.g_01642
OG0000512	Syac.g_01999	Prad.g_00760
OG0000513	Syac.g_01984	Prad.g_00753
OG0000514	Syac.g_01977	Prad.g_00671
OG0000515	Syac.g_01976	Prad.g_00670
OG0000516	Syac.g_00697	Prad.g_00669
OG0000517	Syac.g_00691	Prad.g_00667
OG0000518	Syac.g_00707	Prad.g_00061
OG0000519	Syac.g_00708	Prad.g_00060
OG0000520	Syac.g_00709	Prad.g_00059
OG0000521	Syac.g_01721	Prad.g_00054
OG0000522	Syac.g_01719	Prad.g_00052
OG0000523	Syac.g_01718	Prad.g_00051
OG0000524	Syac.g_01716	Prad.g_00045
OG0000525	Syac.g_01709	Prad.g_00042
OG0000526	Syac.g_01706	Prad.g_00041
OG0000527	Syac.g_01702	Prad.g_00034
OG0000528	Syac.g_01911	Prad.g_00029
OG0000529	Syac.g_01903	Prad.g_00026
OG0000530	Syac.g_01900	Prad.g_00023
OG0000531	Syac.g_01899	Prad.g_00022
OG0000532	Syac.g_01896	Prad.g_00020
OG0000533	Syac.g_01895	Prad.g_00019
OG0000534	Syac.g_01894	Prad.g_00018
OG0000535	Syac.g_01893	Prad.g_00017
OG0000536	Syac.g_01892	Prad.g_00016
OG0000537	Syac.g_01891	Prad.g_00015
OG0000538	Syac.g_01880	Prad.g_00129
OG0000539	Syac.g_01879	Prad.g_00128
OG0000540	Syac.g_01878	Prad.g_00127
OG0000541	Syac.g_01877	Prad.g_00126
OG0000542	Syac.g_01874	Prad.g_00124
OG0000543	Syac.g_01872	Prad.g_00122
OG0000544	Syac.g_01871	Prad.g_00121
OG0000545	Syac.g_01869	Prad.g_00119
OG0000546	Syac.g_01867	Prad.g_00116
OG0000547	Syac.g_01865	Prad.g_00114
OG0000548	Syac.g_01864	Prad.g_00113
OG0000549	Syac.g_01858	Prad.g_00111
OG0000550	Syac.g_01854	Prad.g_00106
OG0000551	Syac.g_01849	Prad.g_00102
OG0000552	Syac.g_01848	Prad.g_00101
OG0000553	Syac.g_01846	Prad.g_00100
OG0000554	Syac.g_01835	Prad.g_00095
OG0000555	Syac.g_01822	Prad.g_01332
OG0000556	Syac.g_01817	Prad.g_01334
OG0000557	Syac.g_01815	Prad.g_01335
OG0000558	Syac.g_01813	Prad.g_01337
OG0000559	Syac.g_01808	Prad.g_01341
OG0000560	Syac.g_01805	Prad.g_01344
OG0000561	Syac.g_01804	Prad.g_01345
OG0000562	Syac.g_01803	Prad.g_01346
OG0000563	Syac.g_01802	Prad.g_01347
OG0000564	Syac.g_01801	Prad.g_01348
OG0000565	Syac.g_01797	Prad.g_01351
OG0000566	Syac.g_01793	Prad.g_01353
OG0000567	Syac.g_01789	Prad.g_01357
OG0000568	Syac.g_01786	Prad.g_01358
OG0000569	Syac.g_01785	Prad.g_01359
OG0000570	Syac.g_01784	Prad.g_01360
OG0000571	Syac.g_01780	Prad.g_01362
OG0000572	Syac.g_01765	Prad.g_01375
OG0000573	Syac.g_01755	Prad.g_01381
OG0000574	Syac.g_01754	Prad.g_01382
OG0000575	Syac.g_01750	Prad.g_01386
OG0000576	Syac.g_01748	Prad.g_01388
OG0000577	Syac.g_01747	Prad.g_01389
OG0000578	Syac.g_01746	Prad.g_01390
OG0000579	Syac.g_01745	Prad.g_01391
OG0000580	Syac.g_01744	Prad.g_01392
OG0000581	Syac.g_01738	Prad.g_01394
OG0000582	Syac.g_00936	Prad.g_01397
OG0000583	Syac.g_00937	Prad.g_01398
