Orthogroup	Syac	Syap
OG0000137	Syac.g_01700	Syap.g_02756
OG0000138	Syac.g_01888	Syap.g_00278
OG0000139	Syac.g_01830	Syap.g_00410
OG0000140	Syac.g_01829	Syap.g_01976
OG0000141	Syac.g_00934	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Syac.g_00979	Syap.g_00895, Syap.g_00894
OG0000143	Syac.g_00983	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Syac.g_01090	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Syac.g_01882	Syap.g_01860, Syap.g_01859
OG0000146	Syac.g_01172	Syap.g_02024
OG0000147	Syac.g_01171	Syap.g_02025
OG0000148	Syac.g_01320	Syap.g_02720
OG0000149	Syac.g_00832	Syap.g_00824
OG0000150	Syac.g_00935	Syap.g_01540
OG0000151	Syac.g_01383	Syap.g_00142
OG0000152	Syac.g_01182	Syap.g_02012
OG0000153	Syac.g_01217	Syap.g_02682
OG0000154	Syac.g_01241	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Syac.g_00804	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Syac.g_00743	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Syac.g_00742	Syap.g_00249, Syap.g_00286
OG0000158	Syac.g_00182	Syap.g_01075
OG0000160	Syac.g_01633	Syap.g_02470, Syap.g_02469
OG0000161	Syac.g_01641	Syap.g_02476
OG0000162	Syac.g_01648	Syap.g_02531
OG0000165	Syac.g_00674	Syap.g_01381, Syap.g_01382
OG0000166	Syac.g_02132	Syap.g_00512, Syap.g_01238
OG0000167	Syac.g_00194	Syap.g_02080
OG0000168	Syac.g_00179	Syap.g_01076
OG0000169	Syac.g_00168	Syap.g_01049, Syap.g_01093
OG0000170	Syac.g_00161	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Syac.g_00136	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Syac.g_00084	Syap.g_01143, Syap.g_00635
OG0000173	Syac.g_00057	Syap.g_00982, Syap.g_00983
OG0000174	Syac.g_02401	Syap.g_02092
OG0000175	Syac.g_02465	Syap.g_02654
OG0000176	Syac.g_00004	Syap.g_00059
OG0000177	Syac.g_00005	Syap.g_00061, Syap.g_00060
OG0000178	Syac.g_00006	Syap.g_00062
OG0000179	Syac.g_00019	Syap.g_00077, Syap.g_02638
OG0000180	Syac.g_00020	Syap.g_00078, Syap.g_02640
OG0000181	Syac.g_00021	Syap.g_00079, Syap.g_02641
OG0000182	Syac.g_00022	Syap.g_00080, Syap.g_02642
OG0000183	Syac.g_00026	Syap.g_00084
OG0000184	Syac.g_02339	Syap.g_01337
OG0000185	Syac.g_02336	Syap.g_01322
OG0000186	Syac.g_00454	Syap.g_01684
OG0000187	Syac.g_00453	Syap.g_01686
OG0000188	Syac.g_00433	Syap.g_02547
OG0000191	Syac.g_00373	Syap.g_02233
OG0000192	Syac.g_00368	Syap.g_02224
OG0000193	Syac.g_00329	Syap.g_02187, Syap.g_02188
OG0000194	Syac.g_00326	Syap.g_02183
OG0000196	Syac.g_00313	Syap.g_01208, Syap.g_02167
OG0000197	Syac.g_00312	Syap.g_01207, Syap.g_02166
OG0000198	Syac.g_00311	Syap.g_01206
OG0000199	Syac.g_00303	Syap.g_01197
OG0000200	Syac.g_02261	Syap.g_01181
OG0000201	Syac.g_02278	Syap.g_02265
OG0000202	Syac.g_02279	Syap.g_02264
OG0000203	Syac.g_02280	Syap.g_01601
OG0000204	Syac.g_02281	Syap.g_01602
OG0000205	Syac.g_02288	Syap.g_01616
OG0000206	Syac.g_02297	Syap.g_01628
OG0000207	Syac.g_02300	Syap.g_01426, Syap.g_00424
OG0000208	Syac.g_02301	Syap.g_00426, Syap.g_01425
OG0000209	Syac.g_02316	Syap.g_01906
OG0000210	Syac.g_02317	Syap.g_01905
OG0000211	Syac.g_01972	Syap.g_01160
OG0000212	Syac.g_01963	Syap.g_02664
OG0000213	Syac.g_02219	Syap.g_00107, Syap.g_01599
OG0000214	Syac.g_02236	Syap.g_02344, Syap.g_02345
OG0000215	Syac.g_00281	Syap.g_01347, Syap.g_01629
OG0000216	Syac.g_00277	Syap.g_01634
OG0000217	Syac.g_00273	Syap.g_01638
OG0000218	Syac.g_00271	Syap.g_01641, Syap.g_01640
OG0000219	Syac.g_00270	Syap.g_01642, Syap.g_01643
OG0000220	Syac.g_00269	Syap.g_01645
OG0000221	Syac.g_00261	Syap.g_01646
OG0000222	Syac.g_00247	Syap.g_01669
OG0000223	Syac.g_00225	Syap.g_02072, Syap.g_02073
OG0000224	Syac.g_00217	Syap.g_02064
OG0000225	Syac.g_02004	Syap.g_00553, Syap.g_00552
OG0000226	Syac.g_02000	Syap.g_02029, Syap.g_02144
OG0000227	Syac.g_01998	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Syac.g_01989	Syap.g_00116, Syap.g_02041
OG0000229	Syac.g_00692	Syap.g_02059
OG0000230	Syac.g_00694	Syap.g_02061
OG0000231	Syac.g_00710	Syap.g_02533
OG0000232	Syac.g_01717	Syap.g_02510, Syap.g_02511
OG0000233	Syac.g_01713	Syap.g_02133
OG0000234	Syac.g_01699	Syap.g_02755
OG0000235	Syac.g_01905	Syap.g_00732, Syap.g_02258
OG0000236	Syac.g_01890	Syap.g_02238
OG0000237	Syac.g_01873	Syap.g_00262, Syap.g_00263
OG0000238	Syac.g_01868	Syap.g_00257, Syap.g_00258
OG0000239	Syac.g_01852	Syap.g_02744
OG0000240	Syac.g_01851	Syap.g_02742
OG0000241	Syac.g_00970	Syap.g_00888
OG0000242	Syac.g_01839	Syap.g_01455
OG0000243	Syac.g_01821	Syap.g_01938
OG0000244	Syac.g_01814	Syap.g_01146, Syap.g_01145
OG0000246	Syac.g_01807	Syap.g_00308
OG0000247	Syac.g_01795	Syap.g_00288, Syap.g_00293
OG0000248	Syac.g_01792	Syap.g_00290
OG0000249	Syac.g_01790	Syap.g_01296, Syap.g_01295
OG0000251	Syac.g_01757	Syap.g_00442
OG0000252	Syac.g_01753	Syap.g_01857
OG0000253	Syac.g_01752	Syap.g_00443
OG0000254	Syac.g_00939	Syap.g_01527, Syap.g_01528
OG0000256	Syac.g_00963	Syap.g_01287
OG0000257	Syac.g_00969	Syap.g_00886
OG0000258	Syac.g_00988	Syap.g_00907
OG0000260	Syac.g_01422	Syap.g_01970
OG0000261	Syac.g_01418	Syap.g_01962, Syap.g_01961
OG0000262	Syac.g_01413	Syap.g_01954
OG0000263	Syac.g_01497	Syap.g_00432, Syap.g_00433
OG0000266	Syac.g_01271	Syap.g_00519
OG0000267	Syac.g_01131	Syap.g_02333, Syap.g_02332
OG0000268	Syac.g_01132	Syap.g_00646
OG0000269	Syac.g_01346	Syap.g_00188
OG0000270	Syac.g_01343	Syap.g_00192
OG0000271	Syac.g_01335	Syap.g_00200, Syap.g_00201
OG0000272	Syac.g_01334	Syap.g_00202
OG0000274	Syac.g_00853	Syap.g_02702
OG0000275	Syac.g_00848	Syap.g_01847
OG0000276	Syac.g_00840	Syap.g_01839, Syap.g_01838
OG0000278	Syac.g_00836	Syap.g_01834
OG0000279	Syac.g_00828	Syap.g_00829, Syap.g_00830
OG0000280	Syac.g_00814	Syap.g_00365
OG0000281	Syac.g_02158	Syap.g_01977
OG0000282	Syac.g_01392	Syap.g_01252
OG0000283	Syac.g_01142	Syap.g_01728
OG0000284	Syac.g_01148	Syap.g_01736
OG0000285	Syac.g_01160	Syap.g_01746, Syap.g_01744
OG0000286	Syac.g_01181	Syap.g_02014, Syap.g_02013
OG0000288	Syac.g_01240	Syap.g_02764, Syap.g_02763
OG0000289	Syac.g_01254	Syap.g_02784
OG0000290	Syac.g_00881	Syap.g_01552
OG0000291	Syac.g_00883	Syap.g_01554
OG0000292	Syac.g_02487	Syap.g_02314
OG0000293	Syac.g_00754	Syap.g_00240
OG0000295	Syac.g_00796	Syap.g_00206
OG0000296	Syac.g_00798	Syap.g_00204
OG0000299	Syac.g_01503	Syap.g_02620
OG0000302	Syac.g_01512	Syap.g_02444, Syap.g_02445
OG0000303	Syac.g_01520	Syap.g_02435
OG0000304	Syac.g_01526	Syap.g_02430
OG0000305	Syac.g_00886	Syap.g_01557
OG0000306	Syac.g_00810	Syap.g_01966
OG0000307	Syac.g_01924	Syap.g_02517
OG0000308	Syac.g_01926	Syap.g_02514, Syap.g_02515
OG0000309	Syac.g_01931	Syap.g_02198, Syap.g_02446
OG0000310	Syac.g_01607	Syap.g_02660, Syap.g_02661
OG0000311	Syac.g_01611	Syap.g_02657
OG0000313	Syac.g_01638	Syap.g_02473
OG0000314	Syac.g_01665	Syap.g_00007
OG0000315	Syac.g_01675	Syap.g_00017
OG0000316	Syac.g_00601	Syap.g_00030
OG0000317	Syac.g_00552	Syap.g_00618
OG0000318	Syac.g_00543	Syap.g_00622, Syap.g_02786
OG0000319	Syac.g_00525	Syap.g_01764, Syap.g_01771
OG0000320	Syac.g_00523	Syap.g_01761, Syap.g_01769
OG0000321	Syac.g_00522	Syap.g_01760, Syap.g_01768
OG0000322	Syac.g_00521	Syap.g_01759, Syap.g_01767
OG0000323	Syac.g_00506	Syap.g_01389
OG0000324	Syac.g_00648	Syap.g_01503
OG0000325	Syac.g_02190	Syap.g_02680
OG0000326	Syac.g_02183	Syap.g_00544
OG0000327	Syac.g_02137	Syap.g_01233, Syap.g_01913
OG0000328	Syac.g_02136	Syap.g_01234, Syap.g_01912
OG0000329	Syac.g_02119	Syap.g_00498
OG0000330	Syac.g_02118	Syap.g_00497
OG0000331	Syac.g_02117	Syap.g_00496
OG0000333	Syac.g_02100	Syap.g_00478
OG0000334	Syac.g_02090	Syap.g_00468
OG0000335	Syac.g_02085	Syap.g_00101, Syap.g_00463
OG0000336	Syac.g_02081	Syap.g_00417, Syap.g_00607
OG0000337	Syac.g_00199	Syap.g_01054
OG0000338	Syac.g_00196	Syap.g_01059
OG0000339	Syac.g_00190	Syap.g_01068
OG0000340	Syac.g_00178	Syap.g_01077
OG0000341	Syac.g_00176	Syap.g_01079
OG0000342	Syac.g_00175	Syap.g_01080, Syap.g_02477
OG0000343	Syac.g_00174	Syap.g_01086, Syap.g_02078
OG0000344	Syac.g_00170	Syap.g_01091
OG0000345	Syac.g_00160	Syap.g_01107, Syap.g_01470
OG0000346	Syac.g_00155	Syap.g_02423, Syap.g_01113
OG0000347	Syac.g_00129	Syap.g_01131, Syap.g_02459
OG0000348	Syac.g_00070, Syac.g_00074	Syap.g_00632
OG0000349	Syac.g_00050	Syap.g_00110, Syap.g_01813
OG0000351	Syac.g_02468	Syap.g_02594
OG0000352	Syac.g_02469	Syap.g_02596, Syap.g_02597
OG0000353	Syac.g_02493	Syap.g_00054
OG0000355	Syac.g_00001	Syap.g_00056
OG0000356	Syac.g_00002	Syap.g_00057
OG0000357	Syac.g_00003	Syap.g_00058
OG0000358	Syac.g_00007	Syap.g_00063
OG0000359	Syac.g_00009	Syap.g_00065
OG0000360	Syac.g_00010	Syap.g_00067
OG0000361	Syac.g_00011	Syap.g_00068
OG0000362	Syac.g_00013	Syap.g_00070
OG0000363	Syac.g_00015	Syap.g_00072
OG0000364	Syac.g_00016	Syap.g_00620
OG0000365	Syac.g_00023	Syap.g_00081
OG0000366	Syac.g_00024	Syap.g_00082
OG0000367	Syac.g_00025	Syap.g_00083
OG0000368	Syac.g_00027	Syap.g_00085
OG0000369	Syac.g_00028	Syap.g_00086
OG0000370	Syac.g_00029	Syap.g_00087
OG0000372	Syac.g_00041	Syap.g_01805
OG0000373	Syac.g_00042	Syap.g_01806
OG0000374	Syac.g_00043	Syap.g_01807
OG0000375	Syac.g_00046	Syap.g_01808
OG0000376	Syac.g_00048	Syap.g_01811
OG0000377	Syac.g_02346	Syap.g_00128
OG0000378	Syac.g_02338	Syap.g_01326
OG0000380	Syac.g_00452	Syap.g_01687
OG0000381	Syac.g_00449	Syap.g_01690
OG0000382	Syac.g_00434	Syap.g_02548
OG0000383	Syac.g_00432	Syap.g_02359
OG0000384	Syac.g_00431	Syap.g_02360
OG0000385	Syac.g_00430	Syap.g_02361
OG0000386	Syac.g_00429	Syap.g_02362
OG0000387	Syac.g_00404	Syap.g_01864
OG0000391	Syac.g_00374	Syap.g_02234
OG0000392	Syac.g_00369	Syap.g_02225
OG0000393	Syac.g_00366	Syap.g_02222
OG0000394	Syac.g_00365	Syap.g_02221
OG0000395	Syac.g_00364	Syap.g_02220
OG0000396	Syac.g_00361	Syap.g_02217
OG0000397	Syac.g_00359	Syap.g_02215
OG0000398	Syac.g_00354	Syap.g_02211
OG0000399	Syac.g_00353	Syap.g_02210
OG0000400	Syac.g_00352	Syap.g_02209
OG0000401	Syac.g_00351	Syap.g_02208
OG0000402	Syac.g_00348	Syap.g_02206
OG0000403	Syac.g_00347	Syap.g_02205
OG0000404	Syac.g_00345	Syap.g_02204, Syap.g_02618
OG0000405	Syac.g_00332	Syap.g_02191
OG0000406	Syac.g_00328	Syap.g_02186
OG0000407	Syac.g_00327	Syap.g_02185
OG0000408	Syac.g_00325	Syap.g_02181, Syap.g_02182
OG0000409	Syac.g_00323	Syap.g_02179
OG0000410	Syac.g_00322	Syap.g_02178
OG0000411	Syac.g_00321	Syap.g_02177
OG0000412	Syac.g_00320	Syap.g_02176
OG0000413	Syac.g_00318	Syap.g_02174
OG0000414	Syac.g_00317	Syap.g_02173
OG0000415	Syac.g_00316	Syap.g_02172
OG0000416	Syac.g_00315	Syap.g_02171
OG0000417	Syac.g_00314	Syap.g_02169
OG0000418	Syac.g_00309	Syap.g_01204
OG0000419	Syac.g_00307	Syap.g_01201
OG0000420	Syac.g_00305	Syap.g_01199
OG0000421	Syac.g_00300	Syap.g_01195
OG0000422	Syac.g_00299	Syap.g_01194
OG0000423	Syac.g_00298	Syap.g_01193
OG0000424	Syac.g_00297	Syap.g_01192
OG0000425	Syac.g_00296	Syap.g_01191
OG0000426	Syac.g_00295	Syap.g_01190
OG0000427	Syac.g_00294	Syap.g_01189
OG0000428	Syac.g_02257	Syap.g_01186
OG0000429	Syac.g_02259	Syap.g_01184
OG0000430	Syac.g_02260	Syap.g_01182
OG0000431	Syac.g_02264	Syap.g_01179
OG0000432	Syac.g_02270	Syap.g_02277
OG0000433	Syac.g_02272	Syap.g_02272
OG0000434	Syac.g_02273	Syap.g_02271
OG0000435	Syac.g_02277	Syap.g_02268
OG0000436	Syac.g_02282	Syap.g_01607
OG0000437	Syac.g_02283	Syap.g_01608
OG0000438	Syac.g_02284	Syap.g_01612
OG0000439	Syac.g_02286	Syap.g_01614
OG0000440	Syac.g_02287	Syap.g_01615
OG0000441	Syac.g_02294	Syap.g_01619
OG0000442	Syac.g_02295	Syap.g_01620
OG0000443	Syac.g_02296	Syap.g_01622
OG0000444	Syac.g_02303	Syap.g_01424
OG0000445	Syac.g_02304	Syap.g_01421
OG0000446	Syac.g_02305	Syap.g_01419
OG0000447	Syac.g_02308	Syap.g_01410
OG0000448	Syac.g_02309	Syap.g_01407
OG0000449	Syac.g_02310	Syap.g_01406
OG0000450	Syac.g_02313	Syap.g_01909
OG0000451	Syac.g_02314	Syap.g_01908
OG0000452	Syac.g_02318	Syap.g_01904
OG0000453	Syac.g_02319	Syap.g_01903
OG0000454	Syac.g_02320	Syap.g_01902
OG0000455	Syac.g_02321	Syap.g_01901
OG0000456	Syac.g_02322	Syap.g_01900
OG0000457	Syac.g_02324	Syap.g_01896
OG0000458	Syac.g_02325	Syap.g_01895
OG0000459	Syac.g_02326	Syap.g_01894
OG0000460	Syac.g_01970	Syap.g_01159
OG0000461	Syac.g_02198	Syap.g_01575
OG0000462	Syac.g_02201	Syap.g_01578
OG0000463	Syac.g_02202	Syap.g_01579
OG0000464	Syac.g_02203	Syap.g_01580
OG0000465	Syac.g_02204	Syap.g_01582
OG0000466	Syac.g_02208	Syap.g_01587
OG0000467	Syac.g_02210	Syap.g_01588
OG0000468	Syac.g_02216	Syap.g_01593
OG0000469	Syac.g_02230	Syap.g_02352
OG0000470	Syac.g_02232	Syap.g_02349
OG0000471	Syac.g_02233	Syap.g_02348
OG0000472	Syac.g_02235	Syap.g_02347
OG0000473	Syac.g_02237	Syap.g_02343
OG0000474	Syac.g_02238	Syap.g_02342
OG0000475	Syac.g_02239	Syap.g_02341
OG0000476	Syac.g_02241	Syap.g_02339
OG0000477	Syac.g_02247	Syap.g_01367
OG0000478	Syac.g_02248	Syap.g_01366
OG0000479	Syac.g_02249	Syap.g_01364
OG0000480	Syac.g_00293	Syap.g_01357
OG0000482	Syac.g_00290	Syap.g_01355
OG0000483	Syac.g_00286	Syap.g_01344
OG0000484	Syac.g_00285	Syap.g_01350
OG0000485	Syac.g_00284	Syap.g_01349
OG0000487	Syac.g_00276	Syap.g_01635
OG0000488	Syac.g_00272	Syap.g_01639
OG0000489	Syac.g_00260	Syap.g_02482
OG0000490	Syac.g_00249	Syap.g_01673
OG0000491	Syac.g_00248	Syap.g_01670
OG0000492	Syac.g_00246	Syap.g_01668
OG0000493	Syac.g_00245	Syap.g_01667
OG0000494	Syac.g_00244	Syap.g_01666
OG0000495	Syac.g_00243	Syap.g_01665
OG0000496	Syac.g_00242	Syap.g_01663
OG0000497	Syac.g_00241	Syap.g_01662
OG0000498	Syac.g_00240	Syap.g_01661
OG0000499	Syac.g_00239	Syap.g_01660
OG0000500	Syac.g_00238	Syap.g_01659
OG0000501	Syac.g_00235	Syap.g_01656
OG0000502	Syac.g_00223	Syap.g_02066
OG0000503	Syac.g_02020	Syap.g_00569
OG0000504	Syac.g_02018	Syap.g_00567
OG0000505	Syac.g_02017	Syap.g_00566
OG0000506	Syac.g_02015	Syap.g_00564
OG0000507	Syac.g_02009	Syap.g_00558
OG0000508	Syac.g_02005	Syap.g_00554
OG0000509	Syac.g_02003	Syap.g_00551
OG0000510	Syac.g_02002	Syap.g_00550
OG0000511	Syac.g_02001	Syap.g_00548
OG0000512	Syac.g_01999	Syap.g_02145
OG0000513	Syac.g_01984	Syap.g_02048
OG0000514	Syac.g_01977	Syap.g_02051
OG0000515	Syac.g_01976	Syap.g_02052
OG0000516	Syac.g_00697	Syap.g_02054
OG0000517	Syac.g_00691	Syap.g_02057
OG0000519	Syac.g_00708	Syap.g_00457
OG0000520	Syac.g_00709	Syap.g_00456
OG0000521	Syac.g_01721	Syap.g_01997
OG0000522	Syac.g_01719	Syap.g_01995
OG0000523	Syac.g_01718	Syap.g_02507
OG0000524	Syac.g_01716	Syap.g_02135
OG0000525	Syac.g_01709	Syap.g_02159
OG0000526	Syac.g_01706	Syap.g_02157
OG0000527	Syac.g_01702	Syap.g_02758
OG0000528	Syac.g_01911	Syap.g_02261
OG0000529	Syac.g_01903	Syap.g_02254
OG0000530	Syac.g_01900	Syap.g_02252
OG0000531	Syac.g_01899	Syap.g_02251
OG0000532	Syac.g_01896	Syap.g_02247
OG0000533	Syac.g_01895	Syap.g_02244
OG0000534	Syac.g_01894	Syap.g_02243
OG0000535	Syac.g_01893	Syap.g_02242
OG0000536	Syac.g_01892	Syap.g_02241
OG0000537	Syac.g_01891	Syap.g_02240
OG0000538	Syac.g_01880	Syap.g_00271
OG0000539	Syac.g_01879	Syap.g_00270
OG0000540	Syac.g_01878	Syap.g_00269
OG0000541	Syac.g_01877	Syap.g_00268
OG0000542	Syac.g_01874	Syap.g_00264
OG0000543	Syac.g_01872	Syap.g_00261
OG0000544	Syac.g_01871	Syap.g_00260
OG0000545	Syac.g_01869	Syap.g_00259
OG0000546	Syac.g_01867	Syap.g_00256
OG0000547	Syac.g_01865	Syap.g_00254
OG0000548	Syac.g_01864	Syap.g_00253
OG0000549	Syac.g_01858	Syap.g_00758
OG0000550	Syac.g_01854	Syap.g_02747
OG0000551	Syac.g_01849	Syap.g_02739
OG0000552	Syac.g_01848	Syap.g_02738
OG0000553	Syac.g_01846	Syap.g_02735
OG0000554	Syac.g_01835	Syap.g_01450
OG0000555	Syac.g_01822	Syap.g_01941
OG0000556	Syac.g_01817	Syap.g_01933
OG0000557	Syac.g_01815	Syap.g_01931
OG0000558	Syac.g_01813	Syap.g_01147
OG0000560	Syac.g_01805	Syap.g_00305
OG0000561	Syac.g_01804	Syap.g_00304
OG0000562	Syac.g_01803	Syap.g_00302
OG0000563	Syac.g_01802	Syap.g_00301
OG0000564	Syac.g_01801	Syap.g_00300
OG0000565	Syac.g_01797	Syap.g_00296
OG0000566	Syac.g_01793	Syap.g_00291
OG0000567	Syac.g_01789	Syap.g_01297
OG0000568	Syac.g_01786	Syap.g_01302
OG0000569	Syac.g_01785	Syap.g_01303
OG0000570	Syac.g_01784	Syap.g_01304
OG0000571	Syac.g_01780	Syap.g_01307
OG0000573	Syac.g_01755	Syap.g_00765
OG0000574	Syac.g_01754	Syap.g_00759
OG0000575	Syac.g_01750	Syap.g_00445
OG0000576	Syac.g_01748	Syap.g_00450
OG0000577	Syac.g_01747	Syap.g_00451
OG0000578	Syac.g_01746	Syap.g_00452
OG0000579	Syac.g_01745	Syap.g_00453
OG0000580	Syac.g_01744	Syap.g_00454
OG0000581	Syac.g_01738	Syap.g_01521
OG0000582	Syac.g_00936	Syap.g_01533
OG0000583	Syac.g_00937	Syap.g_01532
OG0000584	Syac.g_00938	Syap.g_01530
OG0000585	Syac.g_00940	Syap.g_01526
OG0000586	Syac.g_00941	Syap.g_01525
OG0000587	Syac.g_00943	Syap.g_01523
OG0000588	Syac.g_00949	Syap.g_00776
OG0000589	Syac.g_00953	Syap.g_00941
OG0000590	Syac.g_00954	Syap.g_00940
OG0000591	Syac.g_00961	Syap.g_01289
OG0000592	Syac.g_00962	Syap.g_01288
OG0000593	Syac.g_00975	Syap.g_00890
OG0000594	Syac.g_00976	Syap.g_00891
OG0000595	Syac.g_00977	Syap.g_00892
OG0000596	Syac.g_00982	Syap.g_00898
OG0000597	Syac.g_00985	Syap.g_00903
OG0000598	Syac.g_00986	Syap.g_00904
OG0000599	Syac.g_00989	Syap.g_00908
OG0000600	Syac.g_00990	Syap.g_00909
OG0000601	Syac.g_00991	Syap.g_00910
OG0000602	Syac.g_00996	Syap.g_00640
OG0000603	Syac.g_00997	Syap.g_00641
OG0000604	Syac.g_01001	Syap.g_02769
OG0000605	Syac.g_01089	Syap.g_02501, Syap.g_02771
OG0000606	Syac.g_01434	Syap.g_02506
OG0000607	Syac.g_01430	Syap.g_00093
OG0000608	Syac.g_01429	Syap.g_00094
OG0000609	Syac.g_01427	Syap.g_00096
OG0000610	Syac.g_01419	Syap.g_01963
