Orthogroup	Syac	Syan
OG0000039	Syac.g_00856, Syac.g_02378	Syan.g_00535
OG0000040	Syac.g_02437	Syan.g_01651
OG0000042	Syac.g_00146	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000044	Syac.g_00858	Syan.g_01065
OG0000045	Syac.g_01040	Syan.g_00151
OG0000045	Syac.g_00576	Syan.g_00086
OG0000046	Syac.g_02063	Syan.g_02157, Syan.g_02160
OG0000048	Syac.g_02240	Syan.g_02036
OG0000052	Syac.g_00207	Syan.g_01954, Syan.g_01953
OG0000053	Syac.g_01657	Syan.g_02812
OG0000054	Syac.g_01050	Syan.g_02503, Syan.g_00231, Syan.g_00506
OG0000055	Syac.g_01034	Syan.g_00312
OG0000058	Syac.g_00226	Syan.g_01964
OG0000059	Syac.g_02142	Syan.g_02255
OG0000060	Syac.g_01909	Syan.g_02856
OG0000061	Syac.g_00769	Syan.g_02696
OG0000062	Syac.g_00567	Syan.g_01380
OG0000063	Syac.g_00037	Syan.g_01739
OG0000066	Syac.g_01827	Syan.g_01156
OG0000067	Syac.g_01341	Syan.g_00690
OG0000068	Syac.g_01916	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Syac.g_01272	Syan.g_00459, Syan.g_00278
OG0000070	Syac.g_00711	Syan.g_00289
OG0000071	Syac.g_01049, Syac.g_00729	Syan.g_01213
OG0000072	Syac.g_00302	Syan.g_03038
OG0000073	Syac.g_01883	Syan.g_02741
OG0000075	Syac.g_00191	Syan.g_00981, Syan.g_01937
OG0000076	Syac.g_00156	Syan.g_01896
OG0000077	Syac.g_00439	Syan.g_02919, Syan.g_02579
OG0000079	Syac.g_02211	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Syac.g_01766	Syan.g_00952
OG0000084	Syac.g_00822, Syac.g_01627	Syan.g_01283
OG0000085	Syac.g_00560	Syan.g_01387
OG0000086	Syac.g_00423	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Syac.g_00343	Syan.g_02268
OG0000088	Syac.g_00308	Syan.g_03031
OG0000089	Syac.g_01988, Syac.g_01543	Syan.g_02316
OG0000090	Syac.g_01836	Syan.g_01166
OG0000091	Syac.g_00987	Syan.g_00235, Syan.g_00808
OG0000093	Syac.g_01357	Syan.g_00708
OG0000094	Syac.g_01251	Syan.g_00353
OG0000095	Syac.g_00884	Syan.g_00290
OG0000098	Syac.g_02157	Syan.g_00043
OG0000099	Syac.g_00234	Syan.g_01968
OG0000100	Syac.g_01309	Syan.g_00658
OG0000102	Syac.g_00151	Syan.g_01891
OG0000104	Syac.g_02490	Syan.g_01792
OG0000105	Syac.g_02245	Syan.g_02031
OG0000106	Syac.g_01098	Syan.g_00076
OG0000107	Syac.g_02191	Syan.g_02106
OG0000108	Syac.g_01904	Syan.g_02764
OG0000110	Syac.g_01778	Syan.g_00171, Syan.g_00882
OG0000112	Syac.g_01173	Syan.g_00556, Syan.g_00252
OG0000113	Syac.g_01314	Syan.g_00664
OG0000114	Syac.g_01394	Syan.g_00741
OG0000115	Syac.g_01655	Syan.g_02810
OG0000116	Syac.g_00753	Syan.g_02710, Syan.g_00460
OG0000117	Syac.g_01477	Syan.g_02644
OG0000118	Syac.g_01728	Syan.g_01241, Syan.g_01237
OG0000120	Syac.g_00233	Syan.g_01966
OG0000121	Syac.g_01635	Syan.g_01273
OG0000123	Syac.g_02086	Syan.g_02190
OG0000124	Syac.g_00135	Syan.g_01873
OG0000125	Syac.g_02360	Syan.g_01573
OG0000126	Syac.g_02488	Syan.g_01705
OG0000128	Syac.g_00012	Syan.g_01768
OG0000129	Syac.g_02349	Syan.g_01563
OG0000130	Syac.g_00450	Syan.g_02906, Syan.g_02907
OG0000131	Syac.g_00330	Syan.g_03008
OG0000132	Syac.g_00310	Syan.g_03029
OG0000133	Syac.g_01178	Syan.g_00561
OG0000134	Syac.g_01985	Syan.g_02319
OG0000135	Syac.g_02398	Syan.g_01616
OG0000136	Syac.g_00701	Syan.g_01342
OG0000137	Syac.g_01700	Syan.g_02846
OG0000138	Syac.g_01888	Syan.g_02747
OG0000139	Syac.g_01830	Syan.g_01160
OG0000140	Syac.g_01829	Syan.g_00042
OG0000141	Syac.g_00934	Syan.g_01032
OG0000142	Syac.g_00979	Syan.g_00816
OG0000143	Syac.g_00983	Syan.g_00812
OG0000144	Syac.g_01090	Syan.g_00782
OG0000145	Syac.g_01882	Syan.g_02740
OG0000146	Syac.g_01172	Syan.g_00555, Syan.g_00253
OG0000147	Syac.g_01171	Syan.g_00254, Syan.g_00554
OG0000148	Syac.g_01320	Syan.g_00670
OG0000149	Syac.g_00832	Syan.g_00393
OG0000150	Syac.g_00935	Syan.g_01031
OG0000151	Syac.g_01383	Syan.g_00731
OG0000152	Syac.g_01182	Syan.g_00565
OG0000153	Syac.g_01217	Syan.g_00601
OG0000154	Syac.g_01241	Syan.g_00363
OG0000155	Syac.g_00804	Syan.g_02654
OG0000156	Syac.g_00743	Syan.g_02717
OG0000157	Syac.g_00742	Syan.g_02718
OG0000158	Syac.g_00182	Syan.g_01078, Syan.g_01926
OG0000159	Syac.g_00181	Syan.g_01126
OG0000160	Syac.g_01633	Syan.g_01274
OG0000161	Syac.g_01641	Syan.g_01268
OG0000162	Syac.g_01648	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Syac.g_00619	Syan.g_02405
OG0000165	Syac.g_00674	Syan.g_01448
OG0000166	Syac.g_02132	Syan.g_02239
OG0000167	Syac.g_00194	Syan.g_01941
OG0000168	Syac.g_00179	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Syac.g_00168	Syan.g_01912
OG0000170	Syac.g_00161	Syan.g_01901
OG0000171	Syac.g_00136	Syan.g_01875
OG0000172	Syac.g_00084	Syan.g_01810
OG0000173	Syac.g_00057	Syan.g_01720
OG0000174	Syac.g_02401	Syan.g_01619
OG0000175	Syac.g_02465	Syan.g_01678, Syan.g_00258
OG0000176	Syac.g_00004	Syan.g_01801
OG0000177	Syac.g_00005	Syan.g_01775
OG0000178	Syac.g_00006	Syan.g_01774
OG0000179	Syac.g_00019	Syan.g_01759
OG0000180	Syac.g_00020	Syan.g_01758
OG0000181	Syac.g_00021	Syan.g_01757
OG0000182	Syac.g_00022	Syan.g_01756
OG0000183	Syac.g_00026	Syan.g_01752
OG0000184	Syac.g_02339	Syan.g_01549
OG0000185	Syac.g_02336	Syan.g_01540
OG0000186	Syac.g_00454	Syan.g_02902
OG0000187	Syac.g_00453	Syan.g_02904
OG0000188	Syac.g_00433	Syan.g_02926
OG0000189	Syac.g_00408	Syan.g_02966
OG0000190	Syac.g_00406	Syan.g_00971
OG0000191	Syac.g_00373	Syan.g_02300
OG0000192	Syac.g_00368	Syan.g_02294
OG0000193	Syac.g_00329	Syan.g_03009
OG0000194	Syac.g_00326	Syan.g_03012
OG0000196	Syac.g_00313	Syan.g_03026
OG0000197	Syac.g_00312	Syan.g_03027
OG0000198	Syac.g_00311	Syan.g_03028
OG0000199	Syac.g_00303	Syan.g_03037
OG0000200	Syac.g_02261	Syan.g_03055
OG0000201	Syac.g_02278	Syan.g_03074
OG0000202	Syac.g_02279	Syan.g_03075
OG0000203	Syac.g_02280	Syan.g_03076
OG0000204	Syac.g_02281	Syan.g_03077
OG0000205	Syac.g_02288	Syan.g_03087
OG0000206	Syac.g_02297	Syan.g_03095
OG0000207	Syac.g_02300	Syan.g_03100
OG0000208	Syac.g_02301	Syan.g_03101
OG0000209	Syac.g_02316	Syan.g_01521
OG0000210	Syac.g_02317	Syan.g_01522
OG0000211	Syac.g_01972	Syan.g_02416
OG0000212	Syac.g_01963	Syan.g_01508, Syan.g_02438
OG0000213	Syac.g_02219	Syan.g_02059
OG0000214	Syac.g_02236	Syan.g_02040
OG0000215	Syac.g_00281	Syan.g_02010
OG0000216	Syac.g_00277	Syan.g_02006
OG0000217	Syac.g_00273	Syan.g_02001
OG0000218	Syac.g_00271	Syan.g_01999
OG0000219	Syac.g_00270	Syan.g_01998
OG0000220	Syac.g_00269	Syan.g_01997
OG0000221	Syac.g_00261	Syan.g_01994
OG0000222	Syac.g_00247	Syan.g_01981
OG0000223	Syac.g_00225	Syan.g_00228
OG0000224	Syac.g_00217	Syan.g_01959
OG0000225	Syac.g_02004	Syan.g_02997
OG0000226	Syac.g_02000	Syan.g_02990
OG0000227	Syac.g_01998	Syan.g_02988
OG0000228	Syac.g_01989	Syan.g_02315
OG0000229	Syac.g_00692	Syan.g_02396
OG0000230	Syac.g_00694	Syan.g_02398
OG0000232	Syac.g_01717	Syan.g_02801
OG0000233	Syac.g_01713	Syan.g_02876
OG0000234	Syac.g_01699	Syan.g_02844
OG0000235	Syac.g_01905	Syan.g_02765
OG0000236	Syac.g_01890	Syan.g_02749
OG0000237	Syac.g_01873	Syan.g_02731
OG0000238	Syac.g_01868	Syan.g_02726
OG0000239	Syac.g_01852	Syan.g_01187
OG0000240	Syac.g_01851	Syan.g_01186
OG0000241	Syac.g_00970	Syan.g_00822
OG0000242	Syac.g_01839	Syan.g_01168
OG0000243	Syac.g_01821	Syan.g_00840
OG0000244	Syac.g_01814	Syan.g_00848
OG0000246	Syac.g_01807	Syan.g_00854
OG0000247	Syac.g_01795	Syan.g_00866
OG0000249	Syac.g_01790	Syan.g_00871
OG0000251	Syac.g_01757	Syan.g_00961
OG0000252	Syac.g_01753	Syan.g_00966
OG0000253	Syac.g_01752	Syan.g_01000
OG0000254	Syac.g_00939	Syan.g_01026
OG0000255	Syac.g_00947	Syan.g_00978
OG0000256	Syac.g_00963	Syan.g_00001, Syan.g_01135
OG0000257	Syac.g_00969	Syan.g_00827
OG0000258	Syac.g_00988	Syan.g_00803
OG0000259	Syac.g_01425	Syan.g_00772
OG0000260	Syac.g_01422	Syan.g_00769
OG0000261	Syac.g_01418	Syan.g_00765
OG0000262	Syac.g_01413	Syan.g_00760
OG0000263	Syac.g_01497	Syan.g_02618
OG0000264	Syac.g_00915	Syan.g_00540
OG0000266	Syac.g_01271	Syan.g_00330
OG0000267	Syac.g_01131	Syan.g_00470
OG0000268	Syac.g_01132	Syan.g_00471
OG0000269	Syac.g_01346	Syan.g_00695
OG0000270	Syac.g_01343	Syan.g_00692
OG0000271	Syac.g_01335	Syan.g_00684
OG0000272	Syac.g_01334	Syan.g_00683
OG0000274	Syac.g_00853	Syan.g_00653
OG0000275	Syac.g_00848	Syan.g_00373
OG0000276	Syac.g_00840	Syan.g_00380
OG0000278	Syac.g_00836	Syan.g_00384
OG0000279	Syac.g_00828	Syan.g_00398
OG0000280	Syac.g_00814	Syan.g_00518
OG0000282	Syac.g_01392	Syan.g_00739
OG0000283	Syac.g_01142	Syan.g_00491
OG0000284	Syac.g_01148	Syan.g_00497
OG0000285	Syac.g_01160	Syan.g_00533
OG0000286	Syac.g_01181	Syan.g_00564
OG0000287	Syac.g_01209	Syan.g_00593
OG0000288	Syac.g_01240	Syan.g_00364
OG0000289	Syac.g_01254	Syan.g_00350
OG0000290	Syac.g_00881	Syan.g_00293
OG0000291	Syac.g_00883	Syan.g_00291
OG0000292	Syac.g_02487	Syan.g_01703
OG0000293	Syac.g_00754	Syan.g_02709
OG0000295	Syac.g_00796	Syan.g_02662
OG0000296	Syac.g_00798	Syan.g_02660
OG0000299	Syac.g_01503	Syan.g_02601
OG0000300	Syac.g_01510	Syan.g_02593, Syan.g_02594
OG0000301	Syac.g_01511	Syan.g_02592
OG0000302	Syac.g_01512	Syan.g_02591
OG0000303	Syac.g_01520	Syan.g_02582
OG0000304	Syac.g_01526	Syan.g_02556
OG0000305	Syac.g_00886	Syan.g_00195
OG0000306	Syac.g_00810	Syan.g_00087
OG0000307	Syac.g_01924	Syan.g_02782
OG0000308	Syac.g_01926	Syan.g_02784
OG0000309	Syac.g_01931	Syan.g_02883
OG0000310	Syac.g_01607	Syan.g_01304
OG0000311	Syac.g_01611	Syan.g_01299
OG0000313	Syac.g_01638	Syan.g_01271
OG0000314	Syac.g_01665	Syan.g_02823
OG0000315	Syac.g_01675	Syan.g_02833
OG0000316	Syac.g_00601	Syan.g_01354
OG0000317	Syac.g_00552	Syan.g_01396
OG0000318	Syac.g_00543	Syan.g_01401
OG0000319	Syac.g_00525	Syan.g_01425
OG0000320	Syac.g_00523	Syan.g_01427
OG0000321	Syac.g_00522	Syan.g_01428
OG0000322	Syac.g_00521	Syan.g_01429
OG0000323	Syac.g_00506	Syan.g_01442
OG0000324	Syac.g_00648	Syan.g_01472
OG0000325	Syac.g_02190	Syan.g_02107
OG0000327	Syac.g_02137	Syan.g_02244
OG0000328	Syac.g_02136	Syan.g_02243
OG0000329	Syac.g_02119	Syan.g_02225
OG0000330	Syac.g_02118	Syan.g_02224
OG0000331	Syac.g_02117	Syan.g_02223
OG0000333	Syac.g_02100	Syan.g_02205
OG0000334	Syac.g_02090	Syan.g_00247, Syan.g_02194
OG0000335	Syac.g_02085	Syan.g_02189
OG0000336	Syac.g_02081	Syan.g_02185
OG0000337	Syac.g_00199	Syan.g_01949
OG0000338	Syac.g_00196	Syan.g_01943
OG0000339	Syac.g_00190	Syan.g_01935, Syan.g_00264
OG0000340	Syac.g_00178	Syan.g_01923
OG0000341	Syac.g_00176	Syan.g_01921
OG0000342	Syac.g_00175	Syan.g_01920
OG0000343	Syac.g_00174	Syan.g_01918
OG0000344	Syac.g_00170	Syan.g_01914
OG0000345	Syac.g_00160	Syan.g_01900
OG0000346	Syac.g_00155	Syan.g_01895
OG0000347	Syac.g_00129	Syan.g_01867
OG0000348	Syac.g_00070, Syac.g_00074	Syan.g_01803
OG0000349	Syac.g_00050	Syan.g_01727
OG0000350	Syac.g_02176	Syan.g_02121
OG0000351	Syac.g_02468	Syan.g_01682
OG0000352	Syac.g_02469	Syan.g_01683
OG0000353	Syac.g_02493	Syan.g_01795
OG0000354	Syac.g_01862	Syan.g_02720
OG0000355	Syac.g_00001	Syan.g_01797
OG0000356	Syac.g_00002	Syan.g_01798
OG0000357	Syac.g_00003	Syan.g_01800
OG0000358	Syac.g_00007	Syan.g_01773
OG0000359	Syac.g_00009	Syan.g_01771
OG0000360	Syac.g_00010	Syan.g_01770
OG0000361	Syac.g_00011	Syan.g_01769
OG0000362	Syac.g_00013	Syan.g_01767
OG0000363	Syac.g_00015	Syan.g_01765
OG0000364	Syac.g_00016	Syan.g_01398
OG0000365	Syac.g_00023	Syan.g_01755
OG0000366	Syac.g_00024	Syan.g_01754
OG0000367	Syac.g_00025	Syan.g_01753
OG0000368	Syac.g_00027	Syan.g_01751
OG0000369	Syac.g_00028	Syan.g_01750
OG0000370	Syac.g_00029	Syan.g_01749
OG0000371	Syac.g_00036	Syan.g_01740
OG0000372	Syac.g_00041	Syan.g_01734
OG0000373	Syac.g_00042	Syan.g_01733
OG0000374	Syac.g_00043	Syan.g_01732
OG0000375	Syac.g_00046	Syan.g_01731
OG0000376	Syac.g_00048	Syan.g_01729
OG0000377	Syac.g_02346	Syan.g_01555
OG0000378	Syac.g_02338	Syan.g_01543
OG0000379	Syac.g_02335	Syan.g_01539
OG0000380	Syac.g_00452	Syan.g_02905
OG0000381	Syac.g_00449	Syan.g_02908
OG0000382	Syac.g_00434	Syan.g_02925
OG0000383	Syac.g_00432	Syan.g_02936
OG0000384	Syac.g_00431	Syan.g_02937
OG0000385	Syac.g_00430	Syan.g_02938
OG0000386	Syac.g_00429	Syan.g_02939
OG0000387	Syac.g_00404	Syan.g_00967
OG0000388	Syac.g_00401	Syan.g_02970
OG0000389	Syac.g_00397	Syan.g_02973
OG0000390	Syac.g_00379	Syan.g_02306
OG0000391	Syac.g_00374	Syan.g_02301
OG0000392	Syac.g_00369	Syan.g_02295
OG0000393	Syac.g_00366	Syan.g_02292
OG0000394	Syac.g_00365	Syan.g_02291
OG0000395	Syac.g_00364	Syan.g_02290
OG0000396	Syac.g_00361	Syan.g_02287
OG0000397	Syac.g_00359	Syan.g_02285
OG0000398	Syac.g_00354	Syan.g_02279
OG0000399	Syac.g_00353	Syan.g_02278
OG0000400	Syac.g_00352	Syan.g_02277
OG0000401	Syac.g_00351	Syan.g_02274
OG0000402	Syac.g_00348	Syan.g_02272
OG0000403	Syac.g_00347	Syan.g_02271
OG0000404	Syac.g_00345	Syan.g_02269
OG0000405	Syac.g_00332	Syan.g_03005
OG0000406	Syac.g_00328	Syan.g_03010
OG0000407	Syac.g_00327	Syan.g_03011
OG0000408	Syac.g_00325	Syan.g_03013
OG0000409	Syac.g_00323	Syan.g_03015
OG0000410	Syac.g_00322	Syan.g_03016
OG0000411	Syac.g_00321	Syan.g_03017
OG0000412	Syac.g_00320	Syan.g_03018
OG0000413	Syac.g_00318	Syan.g_03020
OG0000414	Syac.g_00317	Syan.g_03021
OG0000415	Syac.g_00316	Syan.g_03022
OG0000416	Syac.g_00315	Syan.g_03023
OG0000417	Syac.g_00314	Syan.g_03025
OG0000418	Syac.g_00309	Syan.g_03030
OG0000419	Syac.g_00307	Syan.g_03033
OG0000420	Syac.g_00305	Syan.g_03035
OG0000421	Syac.g_00300	Syan.g_03040
OG0000422	Syac.g_00299	Syan.g_03041
OG0000423	Syac.g_00298	Syan.g_03042
OG0000424	Syac.g_00297	Syan.g_03043
OG0000425	Syac.g_00296	Syan.g_03044
OG0000426	Syac.g_00295	Syan.g_03045
OG0000427	Syac.g_00294	Syan.g_03046
OG0000428	Syac.g_02257	Syan.g_03049
OG0000429	Syac.g_02259	Syan.g_03051
OG0000430	Syac.g_02260	Syan.g_03053
OG0000431	Syac.g_02264	Syan.g_03058
OG0000432	Syac.g_02270	Syan.g_03065
OG0000433	Syac.g_02272	Syan.g_03068
OG0000434	Syac.g_02273	Syan.g_03069
OG0000435	Syac.g_02277	Syan.g_03071
OG0000436	Syac.g_02282	Syan.g_03079
OG0000437	Syac.g_02283	Syan.g_03080
OG0000438	Syac.g_02284	Syan.g_03083
OG0000439	Syac.g_02286	Syan.g_03085
OG0000440	Syac.g_02287	Syan.g_03086
OG0000441	Syac.g_02294	Syan.g_03089
OG0000442	Syac.g_02295	Syan.g_03090
OG0000443	Syac.g_02296	Syan.g_03094
OG0000444	Syac.g_02303	Syan.g_03102
OG0000445	Syac.g_02304	Syan.g_03103
OG0000446	Syac.g_02305	Syan.g_03105
OG0000447	Syac.g_02308	Syan.g_03111
OG0000448	Syac.g_02309	Syan.g_03112
OG0000449	Syac.g_02310	Syan.g_03113
OG0000450	Syac.g_02313	Syan.g_01518
OG0000451	Syac.g_02314	Syan.g_01519
OG0000452	Syac.g_02318	Syan.g_01523
OG0000453	Syac.g_02319	Syan.g_01524
OG0000454	Syac.g_02320	Syan.g_01525
OG0000455	Syac.g_02321	Syan.g_01526
OG0000456	Syac.g_02322	Syan.g_01527
OG0000457	Syac.g_02324	Syan.g_01529
OG0000458	Syac.g_02325	Syan.g_01530
OG0000459	Syac.g_02326	Syan.g_01531
OG0000460	Syac.g_01970	Syan.g_02423
OG0000461	Syac.g_02198	Syan.g_02099
OG0000462	Syac.g_02201	Syan.g_02096
OG0000463	Syac.g_02202	Syan.g_02095
OG0000464	Syac.g_02203	Syan.g_02094
OG0000465	Syac.g_02204	Syan.g_02092
OG0000466	Syac.g_02208	Syan.g_02087
OG0000467	Syac.g_02210	Syan.g_02086
OG0000468	Syac.g_02216	Syan.g_02063
OG0000469	Syac.g_02230	Syan.g_02046
OG0000470	Syac.g_02232	Syan.g_02044
OG0000471	Syac.g_02233	Syan.g_02043
OG0000472	Syac.g_02235	Syan.g_02041
OG0000473	Syac.g_02237	Syan.g_02039
OG0000474	Syac.g_02238	Syan.g_02038
OG0000475	Syac.g_02239	Syan.g_02037
OG0000476	Syac.g_02241	Syan.g_02035
OG0000477	Syac.g_02247	Syan.g_02029
OG0000478	Syac.g_02248	Syan.g_02028
OG0000479	Syac.g_02249	Syan.g_02027
OG0000480	Syac.g_00293	Syan.g_02020
OG0000481	Syac.g_00291	Syan.g_00975
OG0000482	Syac.g_00290	Syan.g_02018
OG0000483	Syac.g_00286	Syan.g_02014
OG0000484	Syac.g_00285	Syan.g_02013
OG0000485	Syac.g_00284	Syan.g_02012
OG0000486	Syac.g_00283	Syan.g_02011
OG0000487	Syac.g_00276	Syan.g_02005
OG0000488	Syac.g_00272	Syan.g_02000
OG0000489	Syac.g_00260	Syan.g_01993
OG0000490	Syac.g_00249	Syan.g_01985
OG0000491	Syac.g_00248	Syan.g_01983
OG0000492	Syac.g_00246	Syan.g_01980
OG0000493	Syac.g_00245	Syan.g_01979
OG0000494	Syac.g_00244	Syan.g_01978
OG0000495	Syac.g_00243	Syan.g_01977
OG0000496	Syac.g_00242	Syan.g_01976
OG0000497	Syac.g_00241	Syan.g_01975
OG0000498	Syac.g_00240	Syan.g_01974
OG0000499	Syac.g_00239	Syan.g_01973
OG0000500	Syac.g_00238	Syan.g_01972
OG0000501	Syac.g_00235	Syan.g_01969
OG0000502	Syac.g_00223	Syan.g_01961
OG0000503	Syac.g_02020	Syan.g_02144
OG0000504	Syac.g_02018	Syan.g_02142
OG0000505	Syac.g_02017	Syan.g_02141
OG0000506	Syac.g_02015	Syan.g_02139
OG0000507	Syac.g_02009	Syan.g_02133
OG0000508	Syac.g_02005	Syan.g_02998
OG0000509	Syac.g_02003	Syan.g_02993
OG0000510	Syac.g_02002	Syan.g_02992
OG0000511	Syac.g_02001	Syan.g_02991
OG0000512	Syac.g_01999	Syan.g_02989
OG0000513	Syac.g_01984	Syan.g_02320
OG0000514	Syac.g_01977	Syan.g_02326
OG0000515	Syac.g_01976	Syan.g_02327
OG0000516	Syac.g_00697	Syan.g_02389
OG0000517	Syac.g_00691	Syan.g_02395
OG0000518	Syac.g_00707	Syan.g_01336
OG0000519	Syac.g_00708	Syan.g_01335
OG0000520	Syac.g_00709	Syan.g_01334
OG0000521	Syac.g_01721	Syan.g_02805
OG0000522	Syac.g_01719	Syan.g_02803
OG0000523	Syac.g_01718	Syan.g_02802
OG0000524	Syac.g_01716	Syan.g_02878
OG0000525	Syac.g_01709	Syan.g_02853
OG0000526	Syac.g_01706	Syan.g_02852
OG0000527	Syac.g_01702	Syan.g_02848
OG0000528	Syac.g_01911	Syan.g_02767
OG0000529	Syac.g_01903	Syan.g_02763
OG0000530	Syac.g_01900	Syan.g_02760
OG0000531	Syac.g_01899	Syan.g_02759
OG0000532	Syac.g_01896	Syan.g_02756
OG0000533	Syac.g_01895	Syan.g_02754
OG0000534	Syac.g_01894	Syan.g_02753
OG0000535	Syac.g_01893	Syan.g_02752
OG0000536	Syac.g_01892	Syan.g_02751
OG0000537	Syac.g_01891	Syan.g_02750
OG0000538	Syac.g_01880	Syan.g_02738
OG0000539	Syac.g_01879	Syan.g_02737
OG0000540	Syac.g_01878	Syan.g_02736
OG0000541	Syac.g_01877	Syan.g_02735
OG0000542	Syac.g_01874	Syan.g_02732
OG0000543	Syac.g_01872	Syan.g_02730
OG0000544	Syac.g_01871	Syan.g_02729
OG0000545	Syac.g_01869	Syan.g_02727
OG0000546	Syac.g_01867	Syan.g_02725
OG0000547	Syac.g_01865	Syan.g_02723
OG0000548	Syac.g_01864	Syan.g_02722
OG0000549	Syac.g_01858	Syan.g_01194
OG0000550	Syac.g_01854	Syan.g_01189
OG0000551	Syac.g_01849	Syan.g_01184
OG0000552	Syac.g_01848	Syan.g_01183
OG0000553	Syac.g_01846	Syan.g_01179
OG0000554	Syac.g_01835	Syan.g_01165
OG0000555	Syac.g_01822	Syan.g_00839
OG0000556	Syac.g_01817	Syan.g_00842
OG0000557	Syac.g_01815	Syan.g_00847
OG0000558	Syac.g_01813	Syan.g_00849
OG0000559	Syac.g_01808	Syan.g_00853
OG0000560	Syac.g_01805	Syan.g_00856
OG0000561	Syac.g_01804	Syan.g_00857
OG0000562	Syac.g_01803	Syan.g_00858
OG0000563	Syac.g_01802	Syan.g_00859
OG0000564	Syac.g_01801	Syan.g_00860
OG0000565	Syac.g_01797	Syan.g_00864
OG0000566	Syac.g_01793	Syan.g_00868
OG0000567	Syac.g_01789	Syan.g_00872
OG0000568	Syac.g_01786	Syan.g_00874
OG0000569	Syac.g_01785	Syan.g_00875
OG0000570	Syac.g_01784	Syan.g_00876
OG0000571	Syac.g_01780	Syan.g_00879
OG0000572	Syac.g_01765	Syan.g_00954
OG0000573	Syac.g_01755	Syan.g_00963
OG0000574	Syac.g_01754	Syan.g_00965
OG0000575	Syac.g_01750	Syan.g_01003
OG0000576	Syac.g_01748	Syan.g_01007
OG0000577	Syac.g_01747	Syan.g_01008
OG0000578	Syac.g_01746	Syan.g_01009
OG0000579	Syac.g_01745	Syan.g_01010
OG0000580	Syac.g_01744	Syan.g_01011
OG0000581	Syac.g_01738	Syan.g_01018
OG0000582	Syac.g_00936	Syan.g_01030
OG0000583	Syac.g_00937	Syan.g_01029
OG0000584	Syac.g_00938	Syan.g_01028
OG0000585	Syac.g_00940	Syan.g_01024
OG0000586	Syac.g_00941	Syan.g_01022
OG0000587	Syac.g_00943	Syan.g_01020
OG0000588	Syac.g_00949	Syan.g_00215
OG0000589	Syac.g_00953	Syan.g_00016
OG0000590	Syac.g_00954	Syan.g_00015
OG0000591	Syac.g_00961	Syan.g_00003
OG0000592	Syac.g_00962	Syan.g_00002
OG0000593	Syac.g_00975	Syan.g_00820
OG0000594	Syac.g_00976	Syan.g_00819
OG0000595	Syac.g_00977	Syan.g_00818
OG0000596	Syac.g_00982	Syan.g_00813
OG0000597	Syac.g_00985	Syan.g_00810
OG0000598	Syac.g_00986	Syan.g_00809
OG0000599	Syac.g_00989	Syan.g_00802
OG0000600	Syac.g_00990	Syan.g_00801
