Orthogroup	Praw	Praf
OG0000093	Praw.g_01251	Praf.g_02711, Praf.g_02492
OG0000094	Praw.g_01233	Praf.g_02521, Praf.g_02708
OG0000095	Praw.g_01228	Praf.g_02532
OG0000096	Praw.g_00882	Praf.g_02217
OG0000097	Praw.g_00860	Praf.g_02271
OG0000098	Praw.g_00850	Praf.g_02284
OG0000099	Praw.g_00840	Praf.g_02296
OG0000100	Praw.g_00837	Praf.g_02300
OG0000101	Praw.g_00775	Praf.g_02012
OG0000102	Praw.g_00751	Praf.g_02715, Praf.g_02705
OG0000103	Praw.g_00671	Praf.g_01905
OG0000104	Praw.g_00667	Praf.g_00595
OG0000105	Praw.g_00649	Praf.g_00143, Praf.g_00616
OG0000106	Praw.g_00616	Praf.g_00658
OG0000107	Praw.g_00615	Praf.g_00660
OG0000108	Praw.g_00605	Praf.g_00681
OG0000109	Praw.g_00596	Praf.g_00692
OG0000110	Praw.g_00580	Praf.g_00711
OG0000111	Praw.g_01871	Praf.g_01036, Praf.g_01720
OG0000112	Praw.g_01870	Praf.g_01035, Praf.g_01721
OG0000113	Praw.g_01787	Praf.g_00144, Praf.g_01435
OG0000114	Praw.g_01699	Praf.g_01528
OG0000115	Praw.g_01539	Praf.g_01392
OG0000116	Praw.g_01535	Praf.g_01384, Praf.g_01383
OG0000117	Praw.g_01470	Praf.g_01277
OG0000118	Praw.g_01418	Praf.g_02776
OG0000119	Praw.g_00204	Praf.g_02692
OG0000120	Praw.g_00240	Praf.g_00861
OG0000121	Praw.g_00259	Praf.g_00922
OG0000122	Praw.g_00278	Praf.g_00901
OG0000123	Praw.g_00291	Praf.g_00938
OG0000124	Praw.g_00904	Praf.g_01285
OG0000125	Praw.g_00993	Praf.g_00779
OG0000126	Praw.g_01016	Praf.g_00585, Praf.g_00583
OG0000127	Praw.g_01096	Praf.g_01778, Praf.g_01776
OG0000128	Praw.g_01079, Praw.g_01080	Praf.g_01795
OG0000129	Praw.g_00374	Praf.g_01848
OG0000130	Praw.g_00513	Praf.g_00485
OG0000131	Praw.g_00551	Praf.g_00437
OG0000132	Praw.g_00554	Praf.g_00434
OG0000133	Praw.g_00137	Praf.g_02162
OG0000134	Praw.g_00101	Praf.g_02125
OG0000135	Praw.g_00099	Praf.g_02123
OG0000136	Praw.g_00055	Praf.g_02396
OG0000137	Praw.g_00022	Praf.g_00152
OG0000138	Praw.g_01180	Praf.g_02664
OG0000139	Praw.g_01153	Praf.g_02757
OG0000140	Praw.g_01135	Praf.g_00001
OG0000141	Praw.g_01134	Praf.g_00002
OG0000142	Praw.g_01132	Praf.g_00004
OG0000143	Praw.g_01131	Praf.g_00005
OG0000144	Praw.g_01129	Praf.g_00007
OG0000145	Praw.g_01128	Praf.g_00009
OG0000146	Praw.g_01127	Praf.g_00010
OG0000147	Praw.g_01126	Praf.g_00011
OG0000148	Praw.g_01124	Praf.g_00013
OG0000149	Praw.g_01414	Praf.g_00015
OG0000150	Praw.g_01413	Praf.g_00016
OG0000151	Praw.g_01412	Praf.g_00021
OG0000152	Praw.g_01411	Praf.g_00022
OG0000153	Praw.g_01410	Praf.g_00023
OG0000154	Praw.g_01409	Praf.g_00024
OG0000155	Praw.g_01408	Praf.g_00025
OG0000156	Praw.g_01407	Praf.g_00026
OG0000157	Praw.g_01406	Praf.g_00027
OG0000158	Praw.g_01404	Praf.g_00029
OG0000159	Praw.g_01403	Praf.g_00030
OG0000160	Praw.g_01402	Praf.g_00031
OG0000161	Praw.g_01401	Praf.g_00032
OG0000162	Praw.g_01400	Praf.g_00033
OG0000163	Praw.g_01399	Praf.g_00035
OG0000164	Praw.g_01396	Praf.g_00040
OG0000165	Praw.g_01393	Praf.g_00045
OG0000166	Praw.g_01392	Praf.g_00046
OG0000167	Praw.g_01391	Praf.g_00047
OG0000168	Praw.g_01388	Praf.g_00050
OG0000169	Praw.g_01386	Praf.g_00052
OG0000170	Praw.g_01385	Praf.g_02654
OG0000171	Praw.g_01384	Praf.g_02652
OG0000172	Praw.g_01383	Praf.g_02618
OG0000173	Praw.g_01382	Praf.g_02611
OG0000174	Praw.g_01381	Praf.g_02605
OG0000175	Praw.g_01380	Praf.g_02603
OG0000176	Praw.g_01378	Praf.g_02601
OG0000177	Praw.g_01377	Praf.g_02597
OG0000178	Praw.g_01376	Praf.g_02596
OG0000179	Praw.g_01370	Praf.g_00328
OG0000180	Praw.g_01369	Praf.g_00326
OG0000181	Praw.g_01368	Praf.g_00325
OG0000182	Praw.g_01365	Praf.g_00321
OG0000183	Praw.g_01364	Praf.g_00320
OG0000184	Praw.g_01361	Praf.g_00316
OG0000185	Praw.g_01357	Praf.g_00310
OG0000186	Praw.g_01356	Praf.g_00309
OG0000187	Praw.g_01355	Praf.g_00962
OG0000188	Praw.g_01354	Praf.g_00308
OG0000189	Praw.g_01353	Praf.g_00304
OG0000190	Praw.g_01352	Praf.g_00303
OG0000191	Praw.g_01351	Praf.g_00302
OG0000192	Praw.g_01350	Praf.g_00301
OG0000193	Praw.g_01349	Praf.g_00300
OG0000194	Praw.g_01348	Praf.g_00299
OG0000195	Praw.g_01346	Praf.g_00297
OG0000196	Praw.g_01345	Praf.g_00296
OG0000197	Praw.g_01344	Praf.g_00268
OG0000198	Praw.g_01343	Praf.g_00264
OG0000199	Praw.g_01341	Praf.g_00259
OG0000200	Praw.g_01340	Praf.g_00258
OG0000201	Praw.g_01339	Praf.g_00257
OG0000202	Praw.g_01338	Praf.g_00255
OG0000203	Praw.g_01337	Praf.g_00254
OG0000204	Praw.g_01336	Praf.g_00253
OG0000205	Praw.g_01335	Praf.g_00251
OG0000206	Praw.g_01334	Praf.g_00250
OG0000207	Praw.g_01333	Praf.g_00249
OG0000208	Praw.g_01332	Praf.g_00248
OG0000209	Praw.g_01331	Praf.g_00247
OG0000210	Praw.g_01329	Praf.g_00245
OG0000211	Praw.g_01328	Praf.g_00244
OG0000212	Praw.g_01327	Praf.g_00243
OG0000213	Praw.g_01326	Praf.g_00240
OG0000214	Praw.g_01324	Praf.g_00230
OG0000215	Praw.g_01323	Praf.g_00225
OG0000216	Praw.g_01321	Praf.g_00223
OG0000217	Praw.g_01320	Praf.g_00221
OG0000218	Praw.g_01319	Praf.g_00219
OG0000219	Praw.g_01318	Praf.g_00218
OG0000220	Praw.g_01315	Praf.g_00214
OG0000221	Praw.g_01313	Praf.g_00209
OG0000222	Praw.g_01312	Praf.g_00208
OG0000223	Praw.g_01311	Praf.g_00207
OG0000224	Praw.g_01308	Praf.g_02403
OG0000225	Praw.g_01306	Praf.g_02405
OG0000226	Praw.g_01305	Praf.g_02408
OG0000227	Praw.g_01304	Praf.g_02410
OG0000228	Praw.g_01303	Praf.g_02411
OG0000229	Praw.g_01302	Praf.g_02412
OG0000230	Praw.g_01301	Praf.g_02413
OG0000231	Praw.g_01299	Praf.g_02415
OG0000232	Praw.g_01298	Praf.g_02416
OG0000233	Praw.g_01295	Praf.g_02421
OG0000234	Praw.g_01293	Praf.g_02430
OG0000235	Praw.g_01290	Praf.g_02432
OG0000236	Praw.g_01289	Praf.g_02433
OG0000237	Praw.g_01288	Praf.g_02434
OG0000238	Praw.g_01287	Praf.g_02435
OG0000239	Praw.g_01286	Praf.g_02436
OG0000240	Praw.g_01284	Praf.g_02438
OG0000241	Praw.g_01283	Praf.g_02439
OG0000242	Praw.g_01282	Praf.g_02440
OG0000243	Praw.g_01281	Praf.g_02441
OG0000244	Praw.g_01280	Praf.g_02442
OG0000245	Praw.g_01279	Praf.g_02444
OG0000246	Praw.g_01277	Praf.g_02446
OG0000247	Praw.g_01276	Praf.g_02447
OG0000248	Praw.g_01275	Praf.g_02448
OG0000249	Praw.g_01274	Praf.g_02449
OG0000250	Praw.g_01273	Praf.g_02450
OG0000251	Praw.g_01272	Praf.g_02451
OG0000252	Praw.g_01271	Praf.g_02452
OG0000253	Praw.g_01270	Praf.g_02453
OG0000254	Praw.g_01268	Praf.g_02455
OG0000255	Praw.g_01267	Praf.g_02456
OG0000256	Praw.g_01264	Praf.g_02469
OG0000257	Praw.g_01262	Praf.g_02470
OG0000258	Praw.g_01261	Praf.g_02471
OG0000259	Praw.g_01260	Praf.g_02472
OG0000260	Praw.g_01259	Praf.g_02473
OG0000261	Praw.g_01258	Praf.g_02474
OG0000262	Praw.g_01257	Praf.g_02475
OG0000263	Praw.g_01256	Praf.g_02476
OG0000264	Praw.g_01254	Praf.g_01486
OG0000265	Praw.g_01253	Praf.g_02489
OG0000266	Praw.g_01252	Praf.g_02491
OG0000267	Praw.g_01250	Praf.g_02495
OG0000268	Praw.g_01249	Praf.g_02497
OG0000269	Praw.g_01248	Praf.g_02500
OG0000270	Praw.g_01247	Praf.g_02502
OG0000271	Praw.g_01246	Praf.g_02505
OG0000272	Praw.g_01245	Praf.g_02506
OG0000273	Praw.g_01244	Praf.g_02509
OG0000274	Praw.g_01243	Praf.g_02511
OG0000275	Praw.g_01242	Praf.g_02512
OG0000276	Praw.g_01241	Praf.g_02513
OG0000277	Praw.g_01240	Praf.g_02514
OG0000278	Praw.g_01239	Praf.g_02515
OG0000279	Praw.g_01238	Praf.g_02516
OG0000280	Praw.g_01237	Praf.g_02517
OG0000281	Praw.g_01235	Praf.g_02519
OG0000282	Praw.g_01234	Praf.g_02520
OG0000283	Praw.g_01231	Praf.g_02524
OG0000284	Praw.g_01230	Praf.g_02525
OG0000285	Praw.g_01229	Praf.g_02531
OG0000286	Praw.g_01227	Praf.g_02533
OG0000287	Praw.g_01226	Praf.g_02582
OG0000288	Praw.g_01225	Praf.g_02581
OG0000289	Praw.g_01224	Praf.g_02575
OG0000290	Praw.g_01223	Praf.g_02574
OG0000291	Praw.g_01222	Praf.g_02572
OG0000292	Praw.g_01221	Praf.g_02568
OG0000293	Praw.g_01220	Praf.g_02567
OG0000294	Praw.g_01219	Praf.g_02566
OG0000295	Praw.g_01218	Praf.g_02560
OG0000296	Praw.g_01217	Praf.g_02559
OG0000297	Praw.g_01216	Praf.g_02557
OG0000298	Praw.g_01215	Praf.g_02556
OG0000299	Praw.g_01214	Praf.g_02555
OG0000300	Praw.g_01213	Praf.g_02554
OG0000301	Praw.g_01212	Praf.g_02553
OG0000302	Praw.g_01211	Praf.g_02552
OG0000303	Praw.g_01210	Praf.g_02551
OG0000304	Praw.g_01209	Praf.g_02549
OG0000305	Praw.g_01208	Praf.g_02548
OG0000306	Praw.g_01207	Praf.g_02547
OG0000307	Praw.g_01206	Praf.g_00374
OG0000308	Praw.g_01205	Praf.g_00745
OG0000309	Praw.g_01204	Praf.g_00744
OG0000310	Praw.g_01203	Praf.g_00743
OG0000311	Praw.g_01202	Praf.g_00378
OG0000312	Praw.g_01200	Praf.g_00379
OG0000313	Praw.g_01199	Praf.g_00385
OG0000314	Praw.g_01196	Praf.g_00391
OG0000315	Praw.g_01195	Praf.g_00392
OG0000316	Praw.g_00891	Praf.g_02203
OG0000317	Praw.g_00889	Praf.g_02207
OG0000318	Praw.g_00888	Praf.g_02208
OG0000319	Praw.g_00887	Praf.g_02209
OG0000320	Praw.g_00886	Praf.g_02210
OG0000321	Praw.g_00883	Praf.g_02215
OG0000322	Praw.g_00880	Praf.g_02242
OG0000323	Praw.g_00879	Praf.g_02243
OG0000324	Praw.g_00876	Praf.g_02245
OG0000325	Praw.g_00875	Praf.g_02247
OG0000326	Praw.g_00874	Praf.g_02249
OG0000327	Praw.g_00872	Praf.g_02255
OG0000328	Praw.g_00871	Praf.g_00375
OG0000329	Praw.g_00870	Praf.g_02259
OG0000330	Praw.g_00869	Praf.g_02260
OG0000331	Praw.g_00868	Praf.g_02262
OG0000332	Praw.g_00867	Praf.g_02263
OG0000333	Praw.g_00866	Praf.g_02264
OG0000334	Praw.g_00865	Praf.g_02265
OG0000335	Praw.g_00864	Praf.g_02266
OG0000336	Praw.g_00863	Praf.g_02268
OG0000337	Praw.g_00859	Praf.g_02273
OG0000338	Praw.g_00858	Praf.g_02274
OG0000339	Praw.g_00857	Praf.g_02275
OG0000340	Praw.g_00856	Praf.g_02277
OG0000341	Praw.g_00852	Praf.g_02282
OG0000342	Praw.g_00851	Praf.g_02283
OG0000343	Praw.g_00849	Praf.g_02285
OG0000344	Praw.g_00848	Praf.g_02287
OG0000345	Praw.g_00847	Praf.g_02288
OG0000346	Praw.g_00846	Praf.g_02289
OG0000347	Praw.g_00845	Praf.g_02290
OG0000348	Praw.g_00844	Praf.g_02291
OG0000349	Praw.g_00843	Praf.g_02292
OG0000350	Praw.g_00842	Praf.g_02293
OG0000351	Praw.g_00839	Praf.g_02297
OG0000352	Praw.g_00836	Praf.g_02301
OG0000353	Praw.g_00835	Praf.g_02302
OG0000354	Praw.g_00834	Praf.g_02303
OG0000355	Praw.g_00833	Praf.g_02304
OG0000356	Praw.g_00832	Praf.g_02314
OG0000357	Praw.g_00831	Praf.g_02315
OG0000358	Praw.g_00830	Praf.g_02316
OG0000359	Praw.g_00829	Praf.g_02318
OG0000360	Praw.g_00826	Praf.g_02321
OG0000361	Praw.g_00825	Praf.g_02322
OG0000362	Praw.g_00824	Praf.g_02323
OG0000363	Praw.g_00823	Praf.g_02324
OG0000364	Praw.g_00822	Praf.g_02325
OG0000365	Praw.g_00821	Praf.g_02326
OG0000366	Praw.g_00820	Praf.g_02327
OG0000367	Praw.g_00819	Praf.g_02328
OG0000368	Praw.g_00818	Praf.g_02329
OG0000369	Praw.g_00817	Praf.g_02330
OG0000370	Praw.g_00816	Praf.g_02331
OG0000371	Praw.g_00815	Praf.g_02332
OG0000372	Praw.g_00813	Praf.g_02335
OG0000373	Praw.g_00811	Praf.g_02347
OG0000374	Praw.g_00810	Praf.g_02349
OG0000375	Praw.g_00809	Praf.g_02358
OG0000376	Praw.g_00807	Praf.g_02073
OG0000377	Praw.g_00806	Praf.g_02066
OG0000378	Praw.g_00805	Praf.g_02065
OG0000379	Praw.g_00796	Praf.g_02054
OG0000380	Praw.g_00795	Praf.g_02052
OG0000381	Praw.g_00794	Praf.g_02051
OG0000382	Praw.g_00792	Praf.g_02049
OG0000383	Praw.g_00790	Praf.g_02045
OG0000384	Praw.g_00789	Praf.g_02044
OG0000385	Praw.g_00787	Praf.g_02031
OG0000386	Praw.g_00786	Praf.g_02030
OG0000387	Praw.g_00785	Praf.g_02029
OG0000388	Praw.g_00784	Praf.g_02028
OG0000389	Praw.g_00783	Praf.g_02027
OG0000390	Praw.g_00782	Praf.g_02026
OG0000391	Praw.g_00781	Praf.g_02025
OG0000392	Praw.g_00780	Praf.g_02024
OG0000393	Praw.g_00777	Praf.g_02016
OG0000394	Praw.g_00776	Praf.g_02015
OG0000395	Praw.g_00774	Praf.g_02011
OG0000396	Praw.g_00773	Praf.g_01616
OG0000397	Praw.g_00761	Praf.g_00322
OG0000398	Praw.g_00754	Praf.g_00495
OG0000399	Praw.g_00753	Praf.g_01003
OG0000400	Praw.g_00748	Praf.g_02201
OG0000401	Praw.g_00716	Praf.g_02002
OG0000402	Praw.g_00715	Praf.g_02001
OG0000403	Praw.g_00714	Praf.g_01999
OG0000404	Praw.g_00712	Praf.g_01990
OG0000405	Praw.g_00711	Praf.g_01989
OG0000406	Praw.g_00709	Praf.g_01987
OG0000407	Praw.g_00708	Praf.g_01986
OG0000408	Praw.g_00707	Praf.g_01985
OG0000409	Praw.g_00706	Praf.g_01984
OG0000410	Praw.g_00705	Praf.g_01982
OG0000411	Praw.g_00704	Praf.g_01981
OG0000412	Praw.g_00703	Praf.g_01980
OG0000413	Praw.g_00702	Praf.g_01979
OG0000414	Praw.g_00701	Praf.g_01978
OG0000415	Praw.g_00700	Praf.g_01977
OG0000416	Praw.g_00699	Praf.g_01972
OG0000417	Praw.g_00698	Praf.g_01963
OG0000418	Praw.g_00697	Praf.g_01962
OG0000419	Praw.g_00696	Praf.g_01961
OG0000420	Praw.g_00695	Praf.g_01960
OG0000421	Praw.g_00694	Praf.g_01959
OG0000422	Praw.g_00692	Praf.g_01957
OG0000423	Praw.g_00691	Praf.g_01956
OG0000424	Praw.g_00689	Praf.g_01952
OG0000425	Praw.g_00686	Praf.g_01942
OG0000426	Praw.g_00685	Praf.g_01941
OG0000427	Praw.g_00684	Praf.g_01938
OG0000428	Praw.g_00683	Praf.g_01915
OG0000429	Praw.g_00682	Praf.g_01913
OG0000430	Praw.g_00676	Praf.g_01911
OG0000431	Praw.g_00674	Praf.g_01909
OG0000432	Praw.g_00673	Praf.g_01908
OG0000433	Praw.g_00670	Praf.g_00586
OG0000434	Praw.g_00669	Praf.g_00589
OG0000435	Praw.g_00668	Praf.g_00594
OG0000436	Praw.g_00666	Praf.g_00596
OG0000437	Praw.g_00665	Praf.g_00598
OG0000438	Praw.g_00664	Praf.g_00599
OG0000439	Praw.g_00663	Praf.g_00600
OG0000440	Praw.g_00661	Praf.g_00603
OG0000441	Praw.g_00660	Praf.g_00605
OG0000442	Praw.g_00659	Praf.g_00606
OG0000443	Praw.g_00658	Praf.g_00607
OG0000444	Praw.g_00657	Praf.g_00608
OG0000445	Praw.g_00656	Praf.g_00609
OG0000446	Praw.g_00655	Praf.g_00610
OG0000447	Praw.g_00654	Praf.g_00611
OG0000448	Praw.g_00653	Praf.g_00612
OG0000449	Praw.g_00648	Praf.g_00619
OG0000450	Praw.g_00647	Praf.g_00621
OG0000451	Praw.g_00646	Praf.g_00622
OG0000452	Praw.g_00645	Praf.g_00623
OG0000453	Praw.g_00643	Praf.g_00626
OG0000454	Praw.g_00642	Praf.g_00627
OG0000455	Praw.g_00641	Praf.g_00628
OG0000456	Praw.g_00640	Praf.g_00629
OG0000457	Praw.g_00638	Praf.g_00630
OG0000458	Praw.g_00636	Praf.g_00631
OG0000459	Praw.g_00635	Praf.g_00632
OG0000460	Praw.g_00633	Praf.g_00634
OG0000461	Praw.g_00632	Praf.g_00635
OG0000462	Praw.g_00631	Praf.g_00636
OG0000463	Praw.g_00630	Praf.g_00641
OG0000464	Praw.g_00625	Praf.g_00646
OG0000465	Praw.g_00623	Praf.g_00647
OG0000466	Praw.g_00622	Praf.g_00648
OG0000467	Praw.g_00621	Praf.g_00650
OG0000468	Praw.g_00620	Praf.g_00651
OG0000469	Praw.g_00619	Praf.g_00656
OG0000470	Praw.g_00618	Praf.g_01177
OG0000471	Praw.g_00617	Praf.g_01131
OG0000472	Praw.g_00614	Praf.g_00661
OG0000473	Praw.g_00613	Praf.g_00663
OG0000474	Praw.g_00612	Praf.g_00665
OG0000475	Praw.g_00611	Praf.g_00666
OG0000476	Praw.g_00610	Praf.g_00670
OG0000477	Praw.g_00608	Praf.g_00673
OG0000478	Praw.g_00607	Praf.g_00675
OG0000479	Praw.g_00606	Praf.g_00677
OG0000480	Praw.g_00604	Praf.g_00683
OG0000481	Praw.g_00603	Praf.g_00684
OG0000482	Praw.g_00602	Praf.g_00685
OG0000483	Praw.g_00601	Praf.g_00687
OG0000484	Praw.g_00600	Praf.g_00688
OG0000485	Praw.g_00599	Praf.g_00689
OG0000486	Praw.g_00598	Praf.g_00690
OG0000487	Praw.g_00597	Praf.g_00691
OG0000488	Praw.g_00595	Praf.g_00693
OG0000489	Praw.g_00594	Praf.g_00694
OG0000490	Praw.g_00593	Praf.g_00695
OG0000491	Praw.g_00592	Praf.g_00696
OG0000492	Praw.g_00591	Praf.g_00697
OG0000493	Praw.g_00590	Praf.g_00698
OG0000494	Praw.g_00588	Praf.g_00700
OG0000495	Praw.g_00587	Praf.g_00701
OG0000496	Praw.g_00586	Praf.g_00703
OG0000497	Praw.g_00585	Praf.g_00705
OG0000498	Praw.g_00584	Praf.g_00706
OG0000499	Praw.g_00582	Praf.g_00708
OG0000500	Praw.g_00581	Praf.g_00709
OG0000501	Praw.g_00579	Praf.g_00712
OG0000502	Praw.g_00578	Praf.g_00713
OG0000503	Praw.g_00577	Praf.g_00714
OG0000504	Praw.g_00576	Praf.g_00716
OG0000505	Praw.g_00575	Praf.g_00717
OG0000506	Praw.g_01922	Praf.g_00718
OG0000507	Praw.g_01923	Praf.g_00719
OG0000508	Praw.g_01925	Praf.g_00723
OG0000509	Praw.g_01926	Praf.g_00724
OG0000510	Praw.g_01927	Praf.g_00725
OG0000511	Praw.g_01928	Praf.g_00726
OG0000512	Praw.g_01929	Praf.g_00728
OG0000513	Praw.g_01930	Praf.g_00729
OG0000514	Praw.g_01931	Praf.g_00730
OG0000515	Praw.g_01933	Praf.g_00733
OG0000516	Praw.g_01934	Praf.g_00734
OG0000517	Praw.g_01935	Praf.g_00735
OG0000518	Praw.g_01937	Praf.g_00739
OG0000519	Praw.g_01938	Praf.g_00740
OG0000520	Praw.g_01939	Praf.g_00741
OG0000521	Praw.g_01940	Praf.g_00742
OG0000522	Praw.g_01941	Praf.g_00749
OG0000523	Praw.g_01942	Praf.g_00750
OG0000524	Praw.g_01943	Praf.g_00751
OG0000525	Praw.g_01945	Praf.g_00753
OG0000526	Praw.g_01946	Praf.g_00754
OG0000527	Praw.g_01947	Praf.g_00755
OG0000528	Praw.g_01948	Praf.g_00756
OG0000529	Praw.g_01949	Praf.g_00757
OG0000530	Praw.g_00140	Praf.g_00758
OG0000531	Praw.g_00141	Praf.g_00761
OG0000532	Praw.g_00142	Praf.g_00763
OG0000533	Praw.g_00143	Praf.g_00764
OG0000534	Praw.g_00144	Praf.g_00765
OG0000535	Praw.g_00145	Praf.g_00766
OG0000536	Praw.g_00146	Praf.g_00767
OG0000537	Praw.g_00147	Praf.g_00768
OG0000538	Praw.g_00148	Praf.g_00769
OG0000539	Praw.g_00149	Praf.g_00771
OG0000540	Praw.g_00150	Praf.g_00773
OG0000541	Praw.g_00151	Praf.g_01659
OG0000542	Praw.g_00152	Praf.g_01661
OG0000543	Praw.g_00153	Praf.g_01662
OG0000544	Praw.g_00154	Praf.g_01663
OG0000545	Praw.g_00157	Praf.g_01666
OG0000546	Praw.g_00158	Praf.g_01667
OG0000547	Praw.g_00160	Praf.g_01669
OG0000548	Praw.g_00161	Praf.g_01674
OG0000549	Praw.g_00162	Praf.g_01675
OG0000550	Praw.g_00163	Praf.g_01676
OG0000551	Praw.g_00164	Praf.g_01680
OG0000552	Praw.g_00165	Praf.g_01684
OG0000553	Praw.g_00166	Praf.g_01685
OG0000554	Praw.g_00167	Praf.g_01687
OG0000555	Praw.g_00168	Praf.g_01688
OG0000556	Praw.g_00169	Praf.g_01689
OG0000557	Praw.g_01888	Praf.g_01690
OG0000558	Praw.g_01887	Praf.g_01692
OG0000559	Praw.g_01886	Praf.g_01693
OG0000560	Praw.g_01884	Praf.g_01695
OG0000561	Praw.g_01883	Praf.g_01696
OG0000562	Praw.g_01882	Praf.g_01698
OG0000563	Praw.g_01881	Praf.g_01699
OG0000564	Praw.g_01880	Praf.g_01700
OG0000565	Praw.g_01879	Praf.g_01708
OG0000566	Praw.g_01878	Praf.g_01709
OG0000567	Praw.g_01877	Praf.g_01710
OG0000568	Praw.g_01876	Praf.g_01711
OG0000569	Praw.g_01875	Praf.g_01713
OG0000570	Praw.g_01874	Praf.g_01716
OG0000571	Praw.g_01873	Praf.g_01717
OG0000572	Praw.g_01872	Praf.g_01718
OG0000573	Praw.g_01869	Praf.g_01722
OG0000574	Praw.g_01868	Praf.g_01727
OG0000575	Praw.g_01867	Praf.g_01728
OG0000576	Praw.g_01866	Praf.g_01729
OG0000577	Praw.g_01865	Praf.g_01730
OG0000578	Praw.g_01864	Praf.g_01731
OG0000579	Praw.g_01863	Praf.g_01733
OG0000580	Praw.g_01862	Praf.g_01736
OG0000581	Praw.g_01861	Praf.g_01737
OG0000582	Praw.g_01860	Praf.g_01738
OG0000583	Praw.g_01859	Praf.g_01739
OG0000584	Praw.g_01858	Praf.g_01741
OG0000585	Praw.g_01857	Praf.g_01742
OG0000586	Praw.g_01855	Praf.g_01744
OG0000587	Praw.g_01854	Praf.g_01745
