Orthogroup	Praw	Prbm
OG0000039	Praw.g_01269	Prbm.g_00225
OG0000040	Praw.g_00772	Prbm.g_01284, Prbm.g_01297, Prbm.g_01444
OG0000041	Praw.g_00730	Prbm.g_01351
OG0000042	Praw.g_01809	Prbm.g_00742
OG0000043	Praw.g_01712	Prbm.g_00950
OG0000044	Praw.g_00234	Prbm.g_01549
OG0000046	Praw.g_00508	Prbm.g_01834
OG0000047	Praw.g_00039	Prbm.g_02094
OG0000048	Praw.g_00032	Prbm.g_02102
OG0000050	Praw.g_01397	Prbm.g_00031
OG0000051	Praw.g_01278	Prbm.g_00216
OG0000052	Praw.g_00762	Prbm.g_01172, Prbm.g_01237
OG0000053	Praw.g_00609	Prbm.g_00572
OG0000055	Praw.g_01675	Prbm.g_00838, Prbm.g_01191
OG0000056	Praw.g_00189	Prbm.g_00048
OG0000057	Praw.g_01198	Prbm.g_00297
OG0000058	Praw.g_00672	Prbm.g_00500
OG0000059	Praw.g_01824	Prbm.g_00735
OG0000061	Praw.g_00199, Praw.g_01519	Prbm.g_01648
OG0000062	Praw.g_00201	Prbm.g_01910
OG0000063	Praw.g_00926	Prbm.g_01522
OG0000065	Praw.g_00981	Prbm.g_00468, Prbm.g_01611
OG0000066	Praw.g_01050	Prbm.g_00707
OG0000068	Praw.g_00096	Prbm.g_02033
OG0000069	Praw.g_01043	Prbm.g_01747
OG0000071	Praw.g_01125	Prbm.g_00011
OG0000072	Praw.g_00812	Prbm.g_00377
OG0000073	Praw.g_01853	Prbm.g_00702
OG0000074	Praw.g_01831	Prbm.g_00728
OG0000075	Praw.g_01690	Prbm.g_00821
OG0000076	Praw.g_01467	Prbm.g_01064
OG0000078	Praw.g_01051	Prbm.g_00394
OG0000079	Praw.g_00415	Prbm.g_01792
OG0000080	Praw.g_00464	Prbm.g_01182
OG0000081	Praw.g_00066	Prbm.g_02067
OG0000083	Praw.g_01133	Prbm.g_00003
OG0000084	Praw.g_01130	Prbm.g_00006
OG0000085	Praw.g_01405	Prbm.g_00023
OG0000086	Praw.g_01389, Praw.g_00735	Prbm.g_00063, Prbm.g_01170
OG0000087	Praw.g_01379	Prbm.g_00058
OG0000088	Praw.g_01322	Prbm.g_00172
OG0000089	Praw.g_01314	Prbm.g_00181
OG0000090	Praw.g_01296	Prbm.g_00198
OG0000091	Praw.g_01266	Prbm.g_00228
OG0000092	Praw.g_01265	Prbm.g_00229
OG0000093	Praw.g_01251	Prbm.g_00243
OG0000094	Praw.g_01233	Prbm.g_00262
OG0000095	Praw.g_01228	Prbm.g_00266
OG0000096	Praw.g_00882	Prbm.g_00310
OG0000097	Praw.g_00860	Prbm.g_00331
OG0000098	Praw.g_00850	Prbm.g_00341
OG0000099	Praw.g_00840	Prbm.g_00350
OG0000100	Praw.g_00837	Prbm.g_00353
OG0000101	Praw.g_00775	Prbm.g_00425
OG0000102	Praw.g_00751	Prbm.g_01389
OG0000103	Praw.g_00671	Prbm.g_00501
OG0000104	Praw.g_00667	Prbm.g_00506
OG0000105	Praw.g_00649	Prbm.g_00533
OG0000106	Praw.g_00616	Prbm.g_00565
OG0000107	Praw.g_00615	Prbm.g_00566
OG0000108	Praw.g_00605	Prbm.g_00576
OG0000109	Praw.g_00596	Prbm.g_00585
OG0000110	Praw.g_00580	Prbm.g_00601
OG0000111	Praw.g_01871	Prbm.g_00682
OG0000112	Praw.g_01870	Prbm.g_00683
OG0000113	Praw.g_01787	Prbm.g_00766
OG0000114	Praw.g_01699	Prbm.g_00812
OG0000115	Praw.g_01539	Prbm.g_00988
OG0000116	Praw.g_01535	Prbm.g_00992
OG0000117	Praw.g_01470	Prbm.g_01061
OG0000118	Praw.g_01418	Prbm.g_01210
OG0000119	Praw.g_00204	Prbm.g_01913
OG0000120	Praw.g_00240	Prbm.g_01542
OG0000121	Praw.g_00259	Prbm.g_01519
OG0000122	Praw.g_00278	Prbm.g_01499
OG0000123	Praw.g_00291	Prbm.g_01489
OG0000124	Praw.g_00904	Prbm.g_01054
OG0000125	Praw.g_00993	Prbm.g_01622
OG0000126	Praw.g_01016	Prbm.g_01660
OG0000127	Praw.g_01096	Prbm.g_01696
OG0000128	Praw.g_01079, Praw.g_01080	Prbm.g_01711
OG0000129	Praw.g_00374	Prbm.g_01745
OG0000130	Praw.g_00513	Prbm.g_01839
OG0000131	Praw.g_00551	Prbm.g_01876
OG0000132	Praw.g_00554	Prbm.g_01878
OG0000133	Praw.g_00137	Prbm.g_01991
OG0000134	Praw.g_00101	Prbm.g_02027
OG0000135	Praw.g_00099	Prbm.g_02029
OG0000136	Praw.g_00055	Prbm.g_02079
OG0000137	Praw.g_00022	Prbm.g_02114
OG0000138	Praw.g_01180	Prbm.g_02176
OG0000139	Praw.g_01153	Prbm.g_02212
OG0000140	Praw.g_01135	Prbm.g_00001
OG0000141	Praw.g_01134	Prbm.g_00002
OG0000142	Praw.g_01132	Prbm.g_00004
OG0000143	Praw.g_01131	Prbm.g_00005
OG0000144	Praw.g_01129	Prbm.g_00007
OG0000145	Praw.g_01128	Prbm.g_00008
OG0000146	Praw.g_01127	Prbm.g_00009
OG0000147	Praw.g_01126	Prbm.g_00010
OG0000148	Praw.g_01124	Prbm.g_00012
OG0000149	Praw.g_01414	Prbm.g_00014
OG0000150	Praw.g_01413	Prbm.g_00015
OG0000151	Praw.g_01412	Prbm.g_00016
OG0000152	Praw.g_01411	Prbm.g_00017
OG0000153	Praw.g_01410	Prbm.g_00018
OG0000154	Praw.g_01409	Prbm.g_00019
OG0000155	Praw.g_01408	Prbm.g_00020
OG0000156	Praw.g_01407	Prbm.g_00021
OG0000157	Praw.g_01406	Prbm.g_00022
OG0000158	Praw.g_01404	Prbm.g_00024
OG0000159	Praw.g_01403	Prbm.g_00025
OG0000160	Praw.g_01402	Prbm.g_00026
OG0000161	Praw.g_01401	Prbm.g_00027
OG0000162	Praw.g_01400	Prbm.g_00028
OG0000163	Praw.g_01399	Prbm.g_00029
OG0000164	Praw.g_01396	Prbm.g_00032
OG0000165	Praw.g_01393	Prbm.g_00033
OG0000166	Praw.g_01392	Prbm.g_00034
OG0000167	Praw.g_01391	Prbm.g_00035
OG0000168	Praw.g_01388	Prbm.g_00049
OG0000169	Praw.g_01386	Prbm.g_00051
OG0000170	Praw.g_01385	Prbm.g_00052
OG0000171	Praw.g_01384	Prbm.g_00053
OG0000172	Praw.g_01383	Prbm.g_00054
OG0000173	Praw.g_01382	Prbm.g_00055
OG0000174	Praw.g_01381	Prbm.g_00056
OG0000175	Praw.g_01380	Prbm.g_00057
OG0000176	Praw.g_01378	Prbm.g_00059
OG0000177	Praw.g_01377	Prbm.g_00060
OG0000178	Praw.g_01376	Prbm.g_00061
OG0000179	Praw.g_01370	Prbm.g_00121
OG0000180	Praw.g_01369	Prbm.g_00122
OG0000181	Praw.g_01368	Prbm.g_00123
OG0000182	Praw.g_01365	Prbm.g_00126
OG0000183	Praw.g_01364	Prbm.g_00127
OG0000184	Praw.g_01361	Prbm.g_00130
OG0000185	Praw.g_01357	Prbm.g_00134
OG0000186	Praw.g_01356	Prbm.g_00135
OG0000187	Praw.g_01355	Prbm.g_00136
OG0000188	Praw.g_01354	Prbm.g_00137
OG0000189	Praw.g_01353	Prbm.g_00138
OG0000190	Praw.g_01352	Prbm.g_00139
OG0000191	Praw.g_01351	Prbm.g_00140
OG0000192	Praw.g_01350	Prbm.g_00141
OG0000193	Praw.g_01349	Prbm.g_00142
OG0000194	Praw.g_01348	Prbm.g_00143
OG0000195	Praw.g_01346	Prbm.g_00145
OG0000196	Praw.g_01345	Prbm.g_00146
OG0000197	Praw.g_01344	Prbm.g_00147
OG0000198	Praw.g_01343	Prbm.g_00148
OG0000199	Praw.g_01341	Prbm.g_00151
OG0000200	Praw.g_01340	Prbm.g_00152
OG0000201	Praw.g_01339	Prbm.g_00153
OG0000202	Praw.g_01338	Prbm.g_00154
OG0000203	Praw.g_01337	Prbm.g_00155
OG0000204	Praw.g_01336	Prbm.g_00156
OG0000205	Praw.g_01335	Prbm.g_00158
OG0000206	Praw.g_01334	Prbm.g_00159
OG0000207	Praw.g_01333	Prbm.g_00160
OG0000208	Praw.g_01332	Prbm.g_00161
OG0000209	Praw.g_01331	Prbm.g_00162
OG0000210	Praw.g_01329	Prbm.g_00163
OG0000211	Praw.g_01328	Prbm.g_00164
OG0000212	Praw.g_01327	Prbm.g_00165
OG0000213	Praw.g_01326	Prbm.g_00166
OG0000214	Praw.g_01324	Prbm.g_00170
OG0000215	Praw.g_01323	Prbm.g_00171
OG0000216	Praw.g_01321	Prbm.g_00173
OG0000217	Praw.g_01320	Prbm.g_00175
OG0000218	Praw.g_01319	Prbm.g_00176
OG0000219	Praw.g_01318	Prbm.g_00177
OG0000220	Praw.g_01315	Prbm.g_00179
OG0000221	Praw.g_01313	Prbm.g_00182
OG0000222	Praw.g_01312	Prbm.g_00183
OG0000223	Praw.g_01311	Prbm.g_00184
OG0000224	Praw.g_01308	Prbm.g_00187
OG0000225	Praw.g_01306	Prbm.g_00189
OG0000226	Praw.g_01305	Prbm.g_00191
OG0000227	Praw.g_01304	Prbm.g_00192
OG0000228	Praw.g_01303	Prbm.g_00193
OG0000229	Praw.g_01302	Prbm.g_00194
OG0000230	Praw.g_01301	Prbm.g_00195
OG0000231	Praw.g_01299	Prbm.g_01096
OG0000232	Praw.g_01298	Prbm.g_00196
OG0000233	Praw.g_01295	Prbm.g_00199
OG0000234	Praw.g_01293	Prbm.g_00202
OG0000235	Praw.g_01290	Prbm.g_00204
OG0000236	Praw.g_01289	Prbm.g_00205
OG0000237	Praw.g_01288	Prbm.g_00206
OG0000238	Praw.g_01287	Prbm.g_00207
OG0000239	Praw.g_01286	Prbm.g_00208
OG0000240	Praw.g_01284	Prbm.g_00210
OG0000241	Praw.g_01283	Prbm.g_00211
OG0000242	Praw.g_01282	Prbm.g_00212
OG0000243	Praw.g_01281	Prbm.g_00213
OG0000244	Praw.g_01280	Prbm.g_00214
OG0000245	Praw.g_01279	Prbm.g_00215
OG0000246	Praw.g_01277	Prbm.g_00217
OG0000247	Praw.g_01276	Prbm.g_00218
OG0000248	Praw.g_01275	Prbm.g_00219
OG0000249	Praw.g_01274	Prbm.g_00220
OG0000250	Praw.g_01273	Prbm.g_00221
OG0000251	Praw.g_01272	Prbm.g_00222
OG0000252	Praw.g_01271	Prbm.g_00223
OG0000253	Praw.g_01270	Prbm.g_00224
OG0000254	Praw.g_01268	Prbm.g_00226
OG0000255	Praw.g_01267	Prbm.g_00227
OG0000256	Praw.g_01264	Prbm.g_00230
OG0000257	Praw.g_01262	Prbm.g_00232
OG0000258	Praw.g_01261	Prbm.g_00233
OG0000259	Praw.g_01260	Prbm.g_00234
OG0000260	Praw.g_01259	Prbm.g_00235
OG0000261	Praw.g_01258	Prbm.g_00236
OG0000262	Praw.g_01257	Prbm.g_00237
OG0000263	Praw.g_01256	Prbm.g_00238
OG0000264	Praw.g_01254	Prbm.g_00240
OG0000265	Praw.g_01253	Prbm.g_00241
OG0000266	Praw.g_01252	Prbm.g_00242
OG0000267	Praw.g_01250	Prbm.g_00244
OG0000268	Praw.g_01249	Prbm.g_00246
OG0000269	Praw.g_01248	Prbm.g_00247
OG0000270	Praw.g_01247	Prbm.g_00248
OG0000271	Praw.g_01246	Prbm.g_00249
OG0000272	Praw.g_01245	Prbm.g_00250
OG0000273	Praw.g_01244	Prbm.g_00251
OG0000274	Praw.g_01243	Prbm.g_00252
OG0000275	Praw.g_01242	Prbm.g_00253
OG0000276	Praw.g_01241	Prbm.g_00254
OG0000277	Praw.g_01240	Prbm.g_00255
OG0000278	Praw.g_01239	Prbm.g_00256
OG0000279	Praw.g_01238	Prbm.g_00257
OG0000280	Praw.g_01237	Prbm.g_00258
OG0000281	Praw.g_01235	Prbm.g_00260
OG0000282	Praw.g_01234	Prbm.g_00261
OG0000283	Praw.g_01231	Prbm.g_00263
OG0000284	Praw.g_01230	Prbm.g_00264
OG0000285	Praw.g_01229	Prbm.g_00265
OG0000286	Praw.g_01227	Prbm.g_00267
OG0000287	Praw.g_01226	Prbm.g_00268
OG0000288	Praw.g_01225	Prbm.g_00269
OG0000289	Praw.g_01224	Prbm.g_00270
OG0000290	Praw.g_01223	Prbm.g_00271
OG0000291	Praw.g_01222	Prbm.g_00272
OG0000292	Praw.g_01221	Prbm.g_00273
OG0000293	Praw.g_01220	Prbm.g_00274
OG0000294	Praw.g_01219	Prbm.g_00275
OG0000295	Praw.g_01218	Prbm.g_00276
OG0000296	Praw.g_01217	Prbm.g_00277
OG0000297	Praw.g_01216	Prbm.g_00278
OG0000298	Praw.g_01215	Prbm.g_00279
OG0000299	Praw.g_01214	Prbm.g_00280
OG0000300	Praw.g_01213	Prbm.g_00281
OG0000301	Praw.g_01212	Prbm.g_00282
OG0000302	Praw.g_01211	Prbm.g_00283
OG0000303	Praw.g_01210	Prbm.g_00284
OG0000304	Praw.g_01209	Prbm.g_00285
OG0000305	Praw.g_01208	Prbm.g_00286
OG0000306	Praw.g_01207	Prbm.g_00287
OG0000307	Praw.g_01206	Prbm.g_00288
OG0000308	Praw.g_01205	Prbm.g_00289
OG0000309	Praw.g_01204	Prbm.g_00290
OG0000310	Praw.g_01203	Prbm.g_00291
OG0000311	Praw.g_01202	Prbm.g_00293
OG0000312	Praw.g_01200	Prbm.g_00295
OG0000313	Praw.g_01199	Prbm.g_00296
OG0000314	Praw.g_01196	Prbm.g_00300
OG0000315	Praw.g_01195	Prbm.g_00301
OG0000316	Praw.g_00891	Prbm.g_00303
OG0000317	Praw.g_00889	Prbm.g_00305
OG0000318	Praw.g_00888	Prbm.g_00306
OG0000319	Praw.g_00887	Prbm.g_00307
OG0000320	Praw.g_00886	Prbm.g_00308
OG0000321	Praw.g_00883	Prbm.g_00309
OG0000322	Praw.g_00880	Prbm.g_00312
OG0000323	Praw.g_00879	Prbm.g_00313
OG0000324	Praw.g_00876	Prbm.g_00317
OG0000325	Praw.g_00875	Prbm.g_00318
OG0000326	Praw.g_00874	Prbm.g_00319
OG0000327	Praw.g_00872	Prbm.g_00320
OG0000328	Praw.g_00871	Prbm.g_00321
OG0000329	Praw.g_00870	Prbm.g_00322
OG0000330	Praw.g_00869	Prbm.g_00323
OG0000331	Praw.g_00868	Prbm.g_00324
OG0000332	Praw.g_00867	Prbm.g_00325
OG0000333	Praw.g_00866	Prbm.g_00326
OG0000334	Praw.g_00865	Prbm.g_00327
OG0000335	Praw.g_00864	Prbm.g_00328
OG0000336	Praw.g_00863	Prbm.g_00330
OG0000337	Praw.g_00859	Prbm.g_00332
OG0000338	Praw.g_00858	Prbm.g_00333
OG0000339	Praw.g_00857	Prbm.g_00334
OG0000340	Praw.g_00856	Prbm.g_00335
OG0000341	Praw.g_00852	Prbm.g_00339
OG0000342	Praw.g_00851	Prbm.g_00340
OG0000343	Praw.g_00849	Prbm.g_00342
OG0000344	Praw.g_00848	Prbm.g_00343
OG0000345	Praw.g_00847	Prbm.g_00344
OG0000346	Praw.g_00846	Prbm.g_00345
OG0000347	Praw.g_00845	Prbm.g_00346
OG0000348	Praw.g_00844	Prbm.g_00347
OG0000349	Praw.g_00843	Prbm.g_00348
OG0000350	Praw.g_00842	Prbm.g_00349
OG0000351	Praw.g_00839	Prbm.g_00351
OG0000352	Praw.g_00836	Prbm.g_00354
OG0000353	Praw.g_00835	Prbm.g_00355
OG0000354	Praw.g_00834	Prbm.g_00356
OG0000355	Praw.g_00833	Prbm.g_00357
OG0000356	Praw.g_00832	Prbm.g_00358
OG0000357	Praw.g_00831	Prbm.g_00359
OG0000358	Praw.g_00830	Prbm.g_00360
OG0000359	Praw.g_00829	Prbm.g_00361
OG0000360	Praw.g_00826	Prbm.g_00364
OG0000361	Praw.g_00825	Prbm.g_00365
OG0000362	Praw.g_00824	Prbm.g_00366
OG0000363	Praw.g_00823	Prbm.g_00367
OG0000364	Praw.g_00822	Prbm.g_00368
OG0000365	Praw.g_00821	Prbm.g_00369
OG0000366	Praw.g_00820	Prbm.g_00370
OG0000367	Praw.g_00819	Prbm.g_00371
OG0000368	Praw.g_00818	Prbm.g_00372
OG0000369	Praw.g_00817	Prbm.g_00373
OG0000370	Praw.g_00816	Prbm.g_00374
OG0000371	Praw.g_00815	Prbm.g_00375
OG0000372	Praw.g_00813	Prbm.g_00376
OG0000373	Praw.g_00811	Prbm.g_00378
OG0000374	Praw.g_00810	Prbm.g_00379
OG0000375	Praw.g_00809	Prbm.g_00380
OG0000376	Praw.g_00807	Prbm.g_00382
OG0000377	Praw.g_00806	Prbm.g_00388
OG0000378	Praw.g_00805	Prbm.g_00768
OG0000379	Praw.g_00796	Prbm.g_00400
OG0000380	Praw.g_00795	Prbm.g_00402
OG0000381	Praw.g_00794	Prbm.g_00403
OG0000382	Praw.g_00792	Prbm.g_00404
OG0000383	Praw.g_00790	Prbm.g_00407
OG0000384	Praw.g_00789	Prbm.g_00408
OG0000385	Praw.g_00787	Prbm.g_00410
OG0000386	Praw.g_00786	Prbm.g_00411
OG0000387	Praw.g_00785	Prbm.g_00412
OG0000388	Praw.g_00784	Prbm.g_00413
OG0000389	Praw.g_00783	Prbm.g_00414
OG0000390	Praw.g_00782	Prbm.g_00415
OG0000391	Praw.g_00781	Prbm.g_00416
OG0000392	Praw.g_00780	Prbm.g_00417
OG0000393	Praw.g_00777	Prbm.g_00422
OG0000394	Praw.g_00776	Prbm.g_00423
OG0000395	Praw.g_00774	Prbm.g_00426
OG0000396	Praw.g_00773	Prbm.g_00866
OG0000397	Praw.g_00761	Prbm.g_01088
OG0000398	Praw.g_00754	Prbm.g_01121
OG0000399	Praw.g_00753	Prbm.g_01353
OG0000400	Praw.g_00748	Prbm.g_01949
OG0000401	Praw.g_00716	Prbm.g_00440
OG0000402	Praw.g_00715	Prbm.g_00441
OG0000403	Praw.g_00714	Prbm.g_00442
OG0000404	Praw.g_00712	Prbm.g_00445
OG0000405	Praw.g_00711	Prbm.g_00446
OG0000406	Praw.g_00709	Prbm.g_00448
OG0000407	Praw.g_00708	Prbm.g_00449
OG0000408	Praw.g_00707	Prbm.g_00450
OG0000409	Praw.g_00706	Prbm.g_00451
OG0000410	Praw.g_00705	Prbm.g_00452
OG0000411	Praw.g_00704	Prbm.g_00453
OG0000412	Praw.g_00703	Prbm.g_00454
OG0000413	Praw.g_00702	Prbm.g_00455
OG0000414	Praw.g_00701	Prbm.g_00456
OG0000415	Praw.g_00700	Prbm.g_00457
OG0000416	Praw.g_00699	Prbm.g_00458
OG0000417	Praw.g_00698	Prbm.g_00459
OG0000418	Praw.g_00697	Prbm.g_00460
OG0000419	Praw.g_00696	Prbm.g_00461
OG0000420	Praw.g_00695	Prbm.g_00462
OG0000421	Praw.g_00694	Prbm.g_00480
OG0000422	Praw.g_00692	Prbm.g_00482
OG0000423	Praw.g_00691	Prbm.g_00483
OG0000424	Praw.g_00689	Prbm.g_00484
OG0000425	Praw.g_00686	Prbm.g_00490
OG0000426	Praw.g_00685	Prbm.g_00491
OG0000427	Praw.g_00684	Prbm.g_00492
OG0000428	Praw.g_00683	Prbm.g_00494
OG0000429	Praw.g_00682	Prbm.g_00495
OG0000430	Praw.g_00676	Prbm.g_00497
OG0000431	Praw.g_00674	Prbm.g_00498
OG0000432	Praw.g_00673	Prbm.g_00499
OG0000433	Praw.g_00670	Prbm.g_00502
OG0000434	Praw.g_00669	Prbm.g_00504
OG0000435	Praw.g_00668	Prbm.g_00505
OG0000436	Praw.g_00666	Prbm.g_00507
OG0000437	Praw.g_00665	Prbm.g_00509
OG0000438	Praw.g_00664	Prbm.g_00510
OG0000439	Praw.g_00663	Prbm.g_00511
OG0000440	Praw.g_00661	Prbm.g_00512
OG0000441	Praw.g_00660	Prbm.g_00513
OG0000442	Praw.g_00659	Prbm.g_00514
OG0000443	Praw.g_00658	Prbm.g_00515
OG0000444	Praw.g_00657	Prbm.g_00516
OG0000445	Praw.g_00656	Prbm.g_00517
OG0000446	Praw.g_00655	Prbm.g_00518
OG0000447	Praw.g_00654	Prbm.g_00519
OG0000448	Praw.g_00653	Prbm.g_00520
OG0000449	Praw.g_00648	Prbm.g_00534
OG0000450	Praw.g_00647	Prbm.g_00535
OG0000451	Praw.g_00646	Prbm.g_00536
OG0000452	Praw.g_00645	Prbm.g_00537
OG0000453	Praw.g_00643	Prbm.g_00539
OG0000454	Praw.g_00642	Prbm.g_00540
OG0000455	Praw.g_00641	Prbm.g_00541
OG0000456	Praw.g_00640	Prbm.g_00542
OG0000457	Praw.g_00638	Prbm.g_00544
OG0000458	Praw.g_00636	Prbm.g_00546
OG0000459	Praw.g_00635	Prbm.g_00547
OG0000460	Praw.g_00633	Prbm.g_00549
OG0000461	Praw.g_00632	Prbm.g_00550
OG0000462	Praw.g_00631	Prbm.g_00551
OG0000463	Praw.g_00630	Prbm.g_00553
OG0000464	Praw.g_00625	Prbm.g_00557
OG0000465	Praw.g_00623	Prbm.g_00558
OG0000466	Praw.g_00622	Prbm.g_00559
OG0000467	Praw.g_00621	Prbm.g_00560
OG0000468	Praw.g_00620	Prbm.g_00561
OG0000469	Praw.g_00619	Prbm.g_00562
OG0000470	Praw.g_00618	Prbm.g_00563
OG0000471	Praw.g_00617	Prbm.g_00564
OG0000472	Praw.g_00614	Prbm.g_00567
OG0000473	Praw.g_00613	Prbm.g_00568
OG0000474	Praw.g_00612	Prbm.g_00569
OG0000475	Praw.g_00611	Prbm.g_00570
OG0000476	Praw.g_00610	Prbm.g_00571
OG0000477	Praw.g_00608	Prbm.g_00573
OG0000478	Praw.g_00607	Prbm.g_00574
OG0000479	Praw.g_00606	Prbm.g_00575
OG0000480	Praw.g_00604	Prbm.g_00577
OG0000481	Praw.g_00603	Prbm.g_00578
OG0000482	Praw.g_00602	Prbm.g_00579
OG0000483	Praw.g_00601	Prbm.g_00580
OG0000484	Praw.g_00600	Prbm.g_00581
OG0000485	Praw.g_00599	Prbm.g_00582
OG0000486	Praw.g_00598	Prbm.g_00583
OG0000487	Praw.g_00597	Prbm.g_00584
OG0000488	Praw.g_00595	Prbm.g_00586
OG0000489	Praw.g_00594	Prbm.g_00587
OG0000490	Praw.g_00593	Prbm.g_00588
OG0000491	Praw.g_00592	Prbm.g_00589
OG0000492	Praw.g_00591	Prbm.g_00590
OG0000493	Praw.g_00590	Prbm.g_00591
OG0000494	Praw.g_00588	Prbm.g_00593
OG0000495	Praw.g_00587	Prbm.g_00594
OG0000496	Praw.g_00586	Prbm.g_00595
OG0000497	Praw.g_00585	Prbm.g_00596
OG0000498	Praw.g_00584	Prbm.g_00597
OG0000499	Praw.g_00582	Prbm.g_00599
OG0000500	Praw.g_00581	Prbm.g_00600
OG0000501	Praw.g_00579	Prbm.g_00602
OG0000502	Praw.g_00578	Prbm.g_00603
OG0000503	Praw.g_00577	Prbm.g_00604
OG0000504	Praw.g_00576	Prbm.g_00605
OG0000505	Praw.g_00575	Prbm.g_00606
OG0000506	Praw.g_01922	Prbm.g_00607
OG0000507	Praw.g_01923	Prbm.g_00608
OG0000508	Praw.g_01925	Prbm.g_00609
OG0000509	Praw.g_01926	Prbm.g_00610
OG0000510	Praw.g_01927	Prbm.g_00611
OG0000511	Praw.g_01928	Prbm.g_00612
OG0000512	Praw.g_01929	Prbm.g_00613
OG0000513	Praw.g_01930	Prbm.g_00614
OG0000514	Praw.g_01931	Prbm.g_00615
OG0000515	Praw.g_01933	Prbm.g_00616
OG0000516	Praw.g_01934	Prbm.g_00617
OG0000517	Praw.g_01935	Prbm.g_00618
OG0000518	Praw.g_01937	Prbm.g_00620
OG0000519	Praw.g_01938	Prbm.g_00621
OG0000520	Praw.g_01939	Prbm.g_00624
OG0000521	Praw.g_01940	Prbm.g_00623
OG0000522	Praw.g_01941	Prbm.g_00625
OG0000523	Praw.g_01942	Prbm.g_00626
OG0000524	Praw.g_01943	Prbm.g_00627
OG0000525	Praw.g_01945	Prbm.g_00629
OG0000526	Praw.g_01946	Prbm.g_00630
OG0000527	Praw.g_01947	Prbm.g_00631
OG0000528	Praw.g_01948	Prbm.g_00632
OG0000529	Praw.g_01949	Prbm.g_00633
OG0000530	Praw.g_00140	Prbm.g_00634
OG0000531	Praw.g_00141	Prbm.g_00636
OG0000532	Praw.g_00142	Prbm.g_00637
OG0000533	Praw.g_00143	Prbm.g_00638
OG0000534	Praw.g_00144	Prbm.g_00639
OG0000535	Praw.g_00145	Prbm.g_00640
OG0000536	Praw.g_00146	Prbm.g_00641
OG0000537	Praw.g_00147	Prbm.g_00642
OG0000538	Praw.g_00148	Prbm.g_00643
OG0000539	Praw.g_00149	Prbm.g_00644
OG0000540	Praw.g_00150	Prbm.g_00645
OG0000541	Praw.g_00151	Prbm.g_00646
OG0000542	Praw.g_00152	Prbm.g_00647
OG0000543	Praw.g_00153	Prbm.g_00648
OG0000544	Praw.g_00154	Prbm.g_00649
OG0000545	Praw.g_00157	Prbm.g_00652
