Orthogroup	Prba	Prbj
OG0000042	Prba.g_00775	Prbj.g_01808, Prbj.g_00001
OG0000044	Prba.g_00002	Prbj.g_01330, Prbj.g_00194, Prbj.g_02695, Prbj.g_00726
OG0000047	Prba.g_00546	Prbj.g_00666
OG0000047	Prba.g_00913	Prbj.g_02509
OG0000048	Prba.g_00868	Prbj.g_01393
OG0000053	Prba.g_00693	Prbj.g_00638
OG0000054	Prba.g_01711	Prbj.g_01758
OG0000056	Prba.g_01120	Prbj.g_02533, Prbj.g_00371, Prbj.g_01125
OG0000057	Prba.g_01619	Prbj.g_00758
OG0000058	Prba.g_00153	Prbj.g_01467
OG0000059	Prba.g_00127	Prbj.g_01521
OG0000059	Prba.g_00381	Prbj.g_01029
OG0000061	Prba.g_00064	Prbj.g_00971
OG0000062	Prba.g_00310	Prbj.g_00881
OG0000063	Prba.g_01826	Prbj.g_01208
OG0000065	Prba.g_01895	Prbj.g_00620
OG0000066	Prba.g_00922	Prbj.g_02141
OG0000067	Prba.g_01499	Prbj.g_02412
OG0000068	Prba.g_00196	Prbj.g_01639
OG0000070	Prba.g_01011	Prbj.g_00118
OG0000071	Prba.g_01192	Prbj.g_01728
OG0000072	Prba.g_00627	Prbj.g_00516
OG0000073	Prba.g_00962	Prbj.g_01608
OG0000075	Prba.g_01071	Prbj.g_01502
OG0000076	Prba.g_00768	Prbj.g_01598
OG0000077	Prba.g_01866	Prbj.g_01900, Prbj.g_00576
OG0000078	Prba.g_00458	Prbj.g_02614
OG0000079	Prba.g_00471	Prbj.g_01353
OG0000081	Prba.g_00930	Prbj.g_00799, Prbj.g_00765
OG0000082	Prba.g_01731	Prbj.g_01789
OG0000084	Prba.g_00717	Prbj.g_01052
OG0000085	Prba.g_00233	Prbj.g_00869
OG0000086	Prba.g_01876	Prbj.g_00589
OG0000087	Prba.g_01927	Prbj.g_01547
OG0000088	Prba.g_00622	Prbj.g_00521, Prbj.g_00912
OG0000089	Prba.g_00850	Prbj.g_00064
OG0000090	Prba.g_00928	Prbj.g_02127
OG0000091	Prba.g_01675	Prbj.g_02581
OG0000093	Prba.g_01369	Prbj.g_02388
OG0000094	Prba.g_01283	Prbj.g_01985
OG0000095	Prba.g_01264	Prbj.g_01838
OG0000097	Prba.g_00022	Prbj.g_02152
OG0000098	Prba.g_00214	Prbj.g_00669
OG0000099	Prba.g_00155	Prbj.g_01464
OG0000100	Prba.g_00314	Prbj.g_00185, Prbj.g_02442
OG0000101	Prba.g_00429	Prbj.g_00415, Prbj.g_00981
OG0000102	Prba.g_00773	Prbj.g_01819
OG0000103	Prba.g_01781	Prbj.g_02055
OG0000104	Prba.g_01789	Prbj.g_02069
OG0000105	Prba.g_00491	Prbj.g_01397
OG0000106	Prba.g_00864	Prbj.g_00875
OG0000107	Prba.g_00880	Prbj.g_02659
OG0000108	Prba.g_00981	Prbj.g_01630
OG0000109	Prba.g_00967	Prbj.g_01614
OG0000110	Prba.g_01741	Prbj.g_01801
OG0000111	Prba.g_01618	Prbj.g_00759
OG0000112	Prba.g_01534	Prbj.g_02276
OG0000113	Prba.g_01477	Prbj.g_02437
OG0000114	Prba.g_01395	Prbj.g_02340
OG0000115	Prba.g_00743	Prbj.g_00634
OG0000116	Prba.g_00074	Prbj.g_00956
OG0000117	Prba.g_01135	Prbj.g_01915
OG0000118	Prba.g_01204	Prbj.g_01742
OG0000119	Prba.g_00200	Prbj.g_00740, Prbj.g_00778
OG0000120	Prba.g_00175	Prbj.g_01465
OG0000121	Prba.g_00711	Prbj.g_01064, Prbj.g_01058
OG0000122	Prba.g_00348	Prbj.g_02627
OG0000123	Prba.g_00436	Prbj.g_00406
OG0000124	Prba.g_00784	Prbj.g_01281
OG0000125	Prba.g_01089, Prba.g_00821	Prbj.g_01963
OG0000126	Prba.g_01788	Prbj.g_02067
OG0000127	Prba.g_01118	Prbj.g_02148, Prbj.g_00896, Prbj.g_00210
OG0000128	Prba.g_01804	Prbj.g_02085
OG0000129	Prba.g_01838	Prbj.g_01951
OG0000130	Prba.g_01857	Prbj.g_00564
OG0000131	Prba.g_01933	Prbj.g_00543
OG0000132	Prba.g_01952	Prbj.g_00523
OG0000133	Prba.g_00538	Prbj.g_01460
OG0000134	Prba.g_00851	Prbj.g_00067
OG0000135	Prba.g_00877	Prbj.g_02004
OG0000136	Prba.g_01020	Prbj.g_00105
OG0000137	Prba.g_00986	Prbj.g_00128
OG0000138	Prba.g_00966	Prbj.g_01613
OG0000139	Prba.g_00924	Prbj.g_02133
OG0000140	Prba.g_00923	Prbj.g_02139
OG0000141	Prba.g_01710	Prbj.g_01757
OG0000142	Prba.g_01682	Prbj.g_02573
OG0000143	Prba.g_01678	Prbj.g_02577
OG0000144	Prba.g_01665	Prbj.g_00793
OG0000145	Prba.g_01541	Prbj.g_01607
OG0000146	Prba.g_01533	Prbj.g_02277
OG0000147	Prba.g_01532	Prbj.g_02278
OG0000148	Prba.g_01483	Prbj.g_02431
OG0000149	Prba.g_01452	Prbj.g_02488
OG0000150	Prba.g_01444	Prbj.g_02511
OG0000151	Prba.g_01385	Prbj.g_02361
OG0000152	Prba.g_01337	Prbj.g_02268
OG0000153	Prba.g_01318	Prbj.g_02241
OG0000154	Prba.g_01290	Prbj.g_02213
OG0000155	Prba.g_00043	Prbj.g_00312
OG0000156	Prba.g_01181	Prbj.g_00163
OG0000157	Prba.g_01182	Prbj.g_00162
OG0000158	Prba.g_00154	Prbj.g_01514
OG0000160	Prba.g_00712	Prbj.g_01057
OG0000161	Prba.g_00706	Prbj.g_01071
OG0000162	Prba.g_00700	Prbj.g_01077
OG0000163	Prba.g_00341	Prbj.g_01688
OG0000164	Prba.g_00596	Prbj.g_00476
OG0000165	Prba.g_00589	Prbj.g_00467
OG0000166	Prba.g_00393	Prbj.g_01019
OG0000167	Prba.g_01069	Prbj.g_01500
OG0000168	Prba.g_01079	Prbj.g_01515
OG0000169	Prba.g_00761	Prbj.g_01581
OG0000170	Prba.g_00763	Prbj.g_01593
OG0000171	Prba.g_00783	Prbj.g_01282
OG0000172	Prba.g_00792	Prbj.g_01248
OG0000173	Prba.g_00807	Prbj.g_01227
OG0000174	Prba.g_00835	Prbj.g_02006
OG0000175	Prba.g_00845	Prbj.g_02044
OG0000176	Prba.g_01797	Prbj.g_02077
OG0000177	Prba.g_01798	Prbj.g_02078
OG0000178	Prba.g_01799	Prbj.g_02079
OG0000179	Prba.g_01809	Prbj.g_01188
OG0000180	Prba.g_01810	Prbj.g_01189
OG0000181	Prba.g_01811	Prbj.g_01190
OG0000182	Prba.g_01812	Prbj.g_01191
OG0000183	Prba.g_01816	Prbj.g_01195
OG0000184	Prba.g_01840	Prbj.g_01943
OG0000185	Prba.g_01843	Prbj.g_01921
OG0000186	Prba.g_01852	Prbj.g_00558
OG0000187	Prba.g_01853	Prbj.g_00560
OG0000188	Prba.g_01870	Prbj.g_00581
OG0000189	Prba.g_01884	Prbj.g_00607
OG0000190	Prba.g_01885	Prbj.g_00609
OG0000191	Prba.g_01905	Prbj.g_01557
OG0000192	Prba.g_01909	Prbj.g_01566
OG0000193	Prba.g_01934	Prbj.g_00542
OG0000194	Prba.g_01937	Prbj.g_00539
OG0000195	Prba.g_01939	Prbj.g_00537
OG0000196	Prba.g_01949	Prbj.g_00526
OG0000197	Prba.g_01950	Prbj.g_00525
OG0000198	Prba.g_01951	Prbj.g_00524
OG0000199	Prba.g_00626	Prbj.g_00517
OG0000200	Prba.g_00640	Prbj.g_01138
OG0000201	Prba.g_00648	Prbj.g_01157
OG0000202	Prba.g_00649	Prbj.g_01158
OG0000203	Prba.g_00650	Prbj.g_01159
OG0000204	Prba.g_00651	Prbj.g_01160
OG0000205	Prba.g_00658	Prbj.g_01167
OG0000206	Prba.g_00663	Prbj.g_00288
OG0000207	Prba.g_00665	Prbj.g_00234
OG0000208	Prba.g_00666	Prbj.g_00235
OG0000209	Prba.g_00675	Prbj.g_00262
OG0000210	Prba.g_00439	Prbj.g_00263
OG0000211	Prba.g_00452	Prbj.g_00177
OG0000212	Prba.g_00459	Prbj.g_02615
OG0000213	Prba.g_00476	Prbj.g_01362
OG0000214	Prba.g_00485	Prbj.g_01389
OG0000215	Prba.g_00509	Prbj.g_01419
OG0000216	Prba.g_00510	Prbj.g_01422
OG0000217	Prba.g_00513	Prbj.g_01426
OG0000218	Prba.g_00515	Prbj.g_01430
OG0000219	Prba.g_00516	Prbj.g_01431
OG0000220	Prba.g_00517	Prbj.g_01432
OG0000221	Prba.g_00518	Prbj.g_01437
OG0000222	Prba.g_00526	Prbj.g_01446
OG0000223	Prba.g_00539	Prbj.g_01469
OG0000224	Prba.g_00541	Prbj.g_01480
OG0000225	Prba.g_00562	Prbj.g_00323
OG0000226	Prba.g_00221	Prbj.g_00319
OG0000227	Prba.g_00223	Prbj.g_00317
OG0000228	Prba.g_00849	Prbj.g_00063
OG0000229	Prba.g_01025	Prbj.g_00100
OG0000230	Prba.g_01023	Prbj.g_00102
OG0000231	Prba.g_01012	Prbj.g_00117
OG0000232	Prba.g_01003	Prbj.g_01888
OG0000233	Prba.g_00998	Prbj.g_00148
OG0000234	Prba.g_00985	Prbj.g_00127
OG0000235	Prba.g_00982	Prbj.g_01631
OG0000236	Prba.g_00968	Prbj.g_01615
OG0000237	Prba.g_00955	Prbj.g_02094
OG0000238	Prba.g_00949	Prbj.g_02098
OG0000239	Prba.g_00936	Prbj.g_02114
OG0000240	Prba.g_00935	Prbj.g_02115
OG0000241	Prba.g_00931	Prbj.g_01116
OG0000242	Prba.g_00929	Prbj.g_02125
OG0000243	Prba.g_01772	Prbj.g_02668
OG0000244	Prba.g_01769	Prbj.g_01859
OG0000245	Prba.g_01767	Prbj.g_01862
OG0000246	Prba.g_01763	Prbj.g_01866
OG0000247	Prba.g_01753	Prbj.g_01877
OG0000248	Prba.g_01751	Prbj.g_01880
OG0000249	Prba.g_01749	Prbj.g_01882
OG0000250	Prba.g_01744	Prbj.g_01805
OG0000251	Prba.g_01726	Prbj.g_01781
OG0000252	Prba.g_01723	Prbj.g_01778
OG0000253	Prba.g_01722	Prbj.g_01772
OG0000254	Prba.g_01706	Prbj.g_01753
OG0000255	Prba.g_01700	Prbj.g_02546
OG0000256	Prba.g_01690	Prbj.g_02560
OG0000257	Prba.g_01687	Prbj.g_02566
OG0000258	Prba.g_01674	Prbj.g_02589
OG0000259	Prba.g_01657	Prbj.g_00812
OG0000260	Prba.g_01654	Prbj.g_00816
OG0000261	Prba.g_01652	Prbj.g_00819
OG0000262	Prba.g_01648	Prbj.g_00824
OG0000263	Prba.g_01636	Prbj.g_00248
OG0000264	Prba.g_01626	Prbj.g_00933
OG0000265	Prba.g_01594	Prbj.g_00913, Prbj.g_02178
OG0000266	Prba.g_01584	Prbj.g_02189
OG0000267	Prba.g_01573	Prbj.g_02315
OG0000268	Prba.g_01572	Prbj.g_02314
OG0000269	Prba.g_01504	Prbj.g_02407
OG0000270	Prba.g_01501	Prbj.g_02410
OG0000271	Prba.g_01493	Prbj.g_02418
OG0000272	Prba.g_01492	Prbj.g_02419
OG0000273	Prba.g_01469	Prbj.g_02470
OG0000274	Prba.g_01468	Prbj.g_02471
OG0000275	Prba.g_01465	Prbj.g_02474
OG0000276	Prba.g_01460	Prbj.g_02480
OG0000277	Prba.g_01459	Prbj.g_02481
OG0000278	Prba.g_01456	Prbj.g_02484
OG0000279	Prba.g_01449	Prbj.g_02492
OG0000280	Prba.g_01448	Prbj.g_02498
OG0000281	Prba.g_01443	Prbj.g_02512
OG0000282	Prba.g_01393	Prbj.g_02342
OG0000283	Prba.g_01360	Prbj.g_02303
OG0000284	Prba.g_01355	Prbj.g_02297
OG0000285	Prba.g_01350	Prbj.g_00694
OG0000286	Prba.g_01338	Prbj.g_02269
OG0000287	Prba.g_01321	Prbj.g_00722
OG0000288	Prba.g_01291	Prbj.g_02214
OG0000289	Prba.g_01280	Prbj.g_02201
OG0000290	Prba.g_01267	Prbj.g_01841
OG0000291	Prba.g_01265	Prbj.g_01839
OG0000292	Prba.g_01216	Prbj.g_02066
OG0000293	Prba.g_00073	Prbj.g_00958
OG0000294	Prba.g_00072	Prbj.g_00959
OG0000295	Prba.g_00051	Prbj.g_00304
OG0000296	Prba.g_00049	Prbj.g_00306, Prbj.g_00307
OG0000297	Prba.g_00041	Prbj.g_01913
OG0000298	Prba.g_00040	Prbj.g_01914
OG0000299	Prba.g_00023	Prbj.g_01903
OG0000300	Prba.g_00020	Prbj.g_02155
OG0000301	Prba.g_00019	Prbj.g_02156
OG0000302	Prba.g_00017	Prbj.g_02159
OG0000303	Prba.g_00010	Prbj.g_00314
OG0000304	Prba.g_00006	Prbj.g_00020
OG0000305	Prba.g_00204	Prbj.g_01837
OG0000306	Prba.g_00201	Prbj.g_02521
OG0000307	Prba.g_00187	Prbj.g_01647
OG0000308	Prba.g_00186	Prbj.g_01649
OG0000309	Prba.g_00182	Prbj.g_01653
OG0000310	Prba.g_00112	Prbj.g_01294
OG0000311	Prba.g_00110	Prbj.g_01040
OG0000312	Prba.g_00107	Prbj.g_01044
OG0000313	Prba.g_00709	Prbj.g_01068
OG0000314	Prba.g_00686	Prbj.g_00646
OG0000315	Prba.g_00351, Prba.g_00676	Prbj.g_00656
OG0000316	Prba.g_00331	Prbj.g_01699
OG0000317	Prba.g_00228	Prbj.g_00863
OG0000318	Prba.g_00619	Prbj.g_00856
OG0000319	Prba.g_00606	Prbj.g_00487
OG0000320	Prba.g_00604	Prbj.g_00485
OG0000321	Prba.g_00603	Prbj.g_00484
OG0000322	Prba.g_00602	Prbj.g_00483
OG0000323	Prba.g_00593	Prbj.g_00472
OG0000324	Prba.g_00567	Prbj.g_00443
OG0000325	Prba.g_00358	Prbj.g_02657
OG0000326	Prba.g_00364	Prbj.g_02649
OG0000327	Prba.g_00388	Prbj.g_01024
OG0000328	Prba.g_00389	Prbj.g_01023
OG0000329	Prba.g_00406	Prbj.g_01006
OG0000330	Prba.g_00407	Prbj.g_01005
OG0000331	Prba.g_00408	Prbj.g_01004
OG0000332	Prba.g_00422	Prbj.g_00989
OG0000333	Prba.g_00424	Prbj.g_00987
OG0000334	Prba.g_00432	Prbj.g_00410
OG0000335	Prba.g_00437	Prbj.g_00405
OG0000336	Prba.g_01050	Prbj.g_00401
OG0000337	Prba.g_01067	Prbj.g_01494
OG0000338	Prba.g_01068	Prbj.g_01498
OG0000339	Prba.g_01072	Prbj.g_01504
OG0000340	Prba.g_00752	Prbj.g_01516
OG0000341	Prba.g_00754	Prbj.g_01518
OG0000342	Prba.g_00755	Prbj.g_01519
OG0000343	Prba.g_00756	Prbj.g_01576
OG0000344	Prba.g_00759	Prbj.g_01579
OG0000345	Prba.g_00764	Prbj.g_01594
OG0000346	Prba.g_00769	Prbj.g_01599
OG0000347	Prba.g_00785	Prbj.g_01280
OG0000348	Prba.g_00795	Prbj.g_01243
OG0000349	Prba.g_00812	Prbj.g_01219
OG0000350	Prba.g_00831	Prbj.g_01999
OG0000351	Prba.g_00848, Prba.g_01776	Prbj.g_02047
OG0000352	Prba.g_01777	Prbj.g_02048
OG0000353	Prba.g_01792	Prbj.g_02072
OG0000355	Prba.g_01794	Prbj.g_02074
OG0000356	Prba.g_01795	Prbj.g_02075
OG0000357	Prba.g_01796	Prbj.g_02076
OG0000358	Prba.g_01800	Prbj.g_02080
OG0000359	Prba.g_01801	Prbj.g_02082
OG0000360	Prba.g_01802	Prbj.g_02083
OG0000361	Prba.g_01803	Prbj.g_02084
OG0000362	Prba.g_01805	Prbj.g_02086
OG0000363	Prba.g_01807	Prbj.g_01182
OG0000364	Prba.g_01808	Prbj.g_01183
OG0000365	Prba.g_01813	Prbj.g_01192
OG0000366	Prba.g_01814	Prbj.g_01193
OG0000367	Prba.g_01815	Prbj.g_01194
OG0000368	Prba.g_01817	Prbj.g_01196
OG0000369	Prba.g_01818	Prbj.g_01197
OG0000370	Prba.g_01819	Prbj.g_01198
OG0000371	Prba.g_01825	Prbj.g_01207
OG0000372	Prba.g_01828	Prbj.g_01212
OG0000373	Prba.g_01829	Prbj.g_01213
OG0000374	Prba.g_01830	Prbj.g_01214
OG0000375	Prba.g_01834	Prbj.g_01215
OG0000376	Prba.g_01836	Prbj.g_01217
OG0000377	Prba.g_01839	Prbj.g_01950
OG0000378	Prba.g_01841	Prbj.g_01936
OG0000379	Prba.g_01844	Prbj.g_01920
OG0000380	Prba.g_01854	Prbj.g_00561
OG0000381	Prba.g_01858	Prbj.g_00565
OG0000382	Prba.g_01869	Prbj.g_00580
OG0000383	Prba.g_01871	Prbj.g_00582
OG0000384	Prba.g_01872	Prbj.g_00583
OG0000385	Prba.g_01873	Prbj.g_00584
OG0000386	Prba.g_01874	Prbj.g_00585
OG0000387	Prba.g_01887	Prbj.g_00611
OG0000388	Prba.g_01890	Prbj.g_00615
OG0000389	Prba.g_01894	Prbj.g_00619
OG0000390	Prba.g_01901	Prbj.g_01551
OG0000391	Prba.g_01904	Prbj.g_01556
OG0000392	Prba.g_01908	Prbj.g_01562
OG0000393	Prba.g_01910	Prbj.g_01567
OG0000394	Prba.g_01911	Prbj.g_01568
OG0000395	Prba.g_01912	Prbj.g_01569
OG0000396	Prba.g_01915	Prbj.g_01530
OG0000397	Prba.g_01917	Prbj.g_01532
OG0000398	Prba.g_01919	Prbj.g_01537
OG0000399	Prba.g_01920	Prbj.g_01538
OG0000400	Prba.g_01921	Prbj.g_01539
OG0000401	Prba.g_01922	Prbj.g_01540
OG0000402	Prba.g_01924	Prbj.g_01542
OG0000403	Prba.g_01925	Prbj.g_01543
OG0000404	Prba.g_01926	Prbj.g_01545
OG0000405	Prba.g_01930	Prbj.g_00545
OG0000406	Prba.g_01935	Prbj.g_00541
OG0000407	Prba.g_01936	Prbj.g_00540
OG0000408	Prba.g_01938	Prbj.g_00538
OG0000409	Prba.g_01940	Prbj.g_00536
OG0000410	Prba.g_01941	Prbj.g_00535
OG0000411	Prba.g_01942	Prbj.g_00534
OG0000412	Prba.g_01943	Prbj.g_00533
OG0000413	Prba.g_01944	Prbj.g_00531
OG0000414	Prba.g_01945	Prbj.g_00530
OG0000415	Prba.g_01946	Prbj.g_00529
OG0000416	Prba.g_01947	Prbj.g_00528
OG0000417	Prba.g_01948	Prbj.g_00527
OG0000418	Prba.g_01953	Prbj.g_00522
OG0000419	Prba.g_00623	Prbj.g_00520
OG0000420	Prba.g_00624	Prbj.g_00519
OG0000421	Prba.g_00629	Prbj.g_00515
OG0000422	Prba.g_00630	Prbj.g_00514
OG0000423	Prba.g_00631	Prbj.g_00513
OG0000424	Prba.g_00632	Prbj.g_00512
OG0000425	Prba.g_00633	Prbj.g_00511
OG0000426	Prba.g_00634	Prbj.g_00510
OG0000427	Prba.g_00635	Prbj.g_00509
OG0000428	Prba.g_00637	Prbj.g_02369
OG0000429	Prba.g_00638	Prbj.g_01135
OG0000430	Prba.g_00639	Prbj.g_01137
OG0000431	Prba.g_00641	Prbj.g_01141
OG0000432	Prba.g_00644	Prbj.g_01148
OG0000433	Prba.g_00645	Prbj.g_01151
OG0000434	Prba.g_00646	Prbj.g_01152
OG0000435	Prba.g_00647	Prbj.g_01155
OG0000436	Prba.g_00652	Prbj.g_01161
OG0000437	Prba.g_00653	Prbj.g_01162
OG0000438	Prba.g_00654	Prbj.g_01163
OG0000439	Prba.g_00656	Prbj.g_01165
OG0000440	Prba.g_00657	Prbj.g_01166
OG0000441	Prba.g_00660	Prbj.g_01173
OG0000442	Prba.g_00661	Prbj.g_01174
OG0000443	Prba.g_00662	Prbj.g_00289
OG0000444	Prba.g_00667	Prbj.g_00237
OG0000445	Prba.g_00668	Prbj.g_00238
OG0000446	Prba.g_00669	Prbj.g_00240
OG0000447	Prba.g_00670	Prbj.g_00250
OG0000448	Prba.g_00671	Prbj.g_00251
OG0000449	Prba.g_00672	Prbj.g_00252
OG0000450	Prba.g_00673	Prbj.g_00258
OG0000451	Prba.g_00674	Prbj.g_00259
OG0000452	Prba.g_00440	Prbj.g_00264
OG0000453	Prba.g_00441	Prbj.g_00265
OG0000454	Prba.g_00442	Prbj.g_00266
OG0000455	Prba.g_00443	Prbj.g_00267
OG0000456	Prba.g_00444	Prbj.g_00268
OG0000457	Prba.g_00445	Prbj.g_00270
OG0000458	Prba.g_00446	Prbj.g_00271
OG0000459	Prba.g_00447	Prbj.g_00272
OG0000460	Prba.g_00454	Prbj.g_00176
OG0000461	Prba.g_00461	Prbj.g_02661
OG0000462	Prba.g_00463	Prbj.g_01341
OG0000463	Prba.g_00464	Prbj.g_01342
OG0000464	Prba.g_00465	Prbj.g_01343
OG0000465	Prba.g_00466	Prbj.g_01345
OG0000466	Prba.g_00469	Prbj.g_01350
OG0000467	Prba.g_00470	Prbj.g_01352
OG0000468	Prba.g_00472	Prbj.g_01359
OG0000469	Prba.g_00480	Prbj.g_01372
OG0000470	Prba.g_00482	Prbj.g_01385
OG0000471	Prba.g_00483	Prbj.g_01386
OG0000472	Prba.g_00484	Prbj.g_01388
OG0000473	Prba.g_00486	Prbj.g_01390
OG0000474	Prba.g_00487	Prbj.g_01391
OG0000475	Prba.g_00488	Prbj.g_01392
OG0000476	Prba.g_00489	Prbj.g_01394
OG0000477	Prba.g_00492	Prbj.g_01399
OG0000478	Prba.g_00493	Prbj.g_01400
OG0000479	Prba.g_00494	Prbj.g_01401
OG0000480	Prba.g_00499	Prbj.g_01408
OG0000481	Prba.g_00501	Prbj.g_01410
OG0000482	Prba.g_00502	Prbj.g_01411
OG0000483	Prba.g_00505	Prbj.g_01415
OG0000484	Prba.g_00506	Prbj.g_01416
OG0000485	Prba.g_00507	Prbj.g_01417
OG0000486	Prba.g_00508	Prbj.g_01418
OG0000487	Prba.g_00511	Prbj.g_01423
OG0000488	Prba.g_00514	Prbj.g_01427
OG0000489	Prba.g_00519	Prbj.g_01438
OG0000490	Prba.g_00524	Prbj.g_01444
OG0000491	Prba.g_00525	Prbj.g_01445
OG0000492	Prba.g_00527	Prbj.g_01448
OG0000493	Prba.g_00528	Prbj.g_01449
OG0000494	Prba.g_00529	Prbj.g_01450
OG0000495	Prba.g_00530	Prbj.g_01451
OG0000496	Prba.g_00531	Prbj.g_01452
OG0000497	Prba.g_00532	Prbj.g_01453
OG0000498	Prba.g_00533	Prbj.g_01454
OG0000499	Prba.g_00534	Prbj.g_01455
OG0000500	Prba.g_00535	Prbj.g_01456
OG0000501	Prba.g_00537	Prbj.g_01459
OG0000502	Prba.g_00540	Prbj.g_01471
OG0000503	Prba.g_00550	Prbj.g_00341
OG0000504	Prba.g_00551	Prbj.g_00339
OG0000505	Prba.g_00552	Prbj.g_00338
OG0000506	Prba.g_00554	Prbj.g_00336
OG0000507	Prba.g_00557	Prbj.g_00331
OG0000508	Prba.g_00561	Prbj.g_00324
OG0000509	Prba.g_00218	Prbj.g_00322
OG0000510	Prba.g_00219	Prbj.g_00321
OG0000511	Prba.g_00220	Prbj.g_00320
OG0000512	Prba.g_00222	Prbj.g_00318
OG0000513	Prba.g_00852	Prbj.g_00068
OG0000514	Prba.g_01030	Prbj.g_00076
OG0000515	Prba.g_01029	Prbj.g_00077
OG0000516	Prba.g_01028	Prbj.g_00089
OG0000517	Prba.g_01026	Prbj.g_00099
OG0000518	Prba.g_01015	Prbj.g_00111
OG0000519	Prba.g_01014	Prbj.g_00112
OG0000520	Prba.g_01013	Prbj.g_00113
OG0000521	Prba.g_01008	Prbj.g_01894
OG0000522	Prba.g_01006	Prbj.g_01892
OG0000523	Prba.g_01005	Prbj.g_01891
OG0000524	Prba.g_01000	Prbj.g_00152
OG0000525	Prba.g_00997	Prbj.g_00136
OG0000526	Prba.g_00996	Prbj.g_00134
OG0000527	Prba.g_00988	Prbj.g_00130
OG0000528	Prba.g_00983	Prbj.g_01635
OG0000529	Prba.g_00980	Prbj.g_01629
OG0000530	Prba.g_00977	Prbj.g_01626
OG0000531	Prba.g_00976	Prbj.g_01625
OG0000532	Prba.g_00974	Prbj.g_01622
OG0000533	Prba.g_00973	Prbj.g_01620
OG0000534	Prba.g_00972	Prbj.g_01619
OG0000535	Prba.g_00971	Prbj.g_01618
OG0000536	Prba.g_00970	Prbj.g_01617
OG0000537	Prba.g_00969	Prbj.g_01616
OG0000538	Prba.g_00961	Prbj.g_01605
OG0000539	Prba.g_00960	Prbj.g_02088
OG0000540	Prba.g_00959	Prbj.g_02089
OG0000541	Prba.g_00958	Prbj.g_02090
OG0000542	Prba.g_00956	Prbj.g_02093
OG0000543	Prba.g_00954	Prbj.g_02095
OG0000544	Prba.g_00953	Prbj.g_02096
OG0000545	Prba.g_00951	Prbj.g_02097
OG0000546	Prba.g_00948	Prbj.g_02099
OG0000547	Prba.g_00946	Prbj.g_02101
OG0000548	Prba.g_00945	Prbj.g_02102
OG0000549	Prba.g_00943	Prbj.g_02108
OG0000550	Prba.g_00938	Prbj.g_02113
OG0000551	Prba.g_00934	Prbj.g_02117
OG0000552	Prba.g_00933	Prbj.g_02118
OG0000553	Prba.g_00932	Prbj.g_02123
OG0000554	Prba.g_00927	Prbj.g_02128
OG0000555	Prba.g_01773	Prbj.g_02146
OG0000556	Prba.g_01771	Prbj.g_02666
OG0000557	Prba.g_01770	Prbj.g_01858
OG0000558	Prba.g_01768	Prbj.g_01861
OG0000559	Prba.g_01764	Prbj.g_01865
OG0000560	Prba.g_01761	Prbj.g_01868
OG0000561	Prba.g_01760	Prbj.g_01869
OG0000562	Prba.g_01759	Prbj.g_01870
