Orthogroup	Prba	Syas
OG0000105	Prba.g_00491	Syas.g_01739
OG0000106	Prba.g_00864	Syas.g_01451
OG0000107	Prba.g_00880	Syas.g_01669
OG0000108	Prba.g_00981	Syas.g_01253
OG0000109	Prba.g_00967	Syas.g_01236
OG0000110	Prba.g_01741	Syas.g_00359, Syas.g_00818
OG0000111	Prba.g_01618	Syas.g_01037
OG0000112	Prba.g_01534	Syas.g_00452
OG0000113	Prba.g_01477	Syas.g_00571
OG0000114	Prba.g_01395	Syas.g_00252, Syas.g_00674
OG0000115	Prba.g_00743	Syas.g_02548, Syas.g_01285
OG0000116	Prba.g_00074	Syas.g_01198, Syas.g_00317
OG0000117	Prba.g_01135	Syas.g_01122
OG0000118	Prba.g_01204	Syas.g_02835
OG0000120	Prba.g_00175	Syas.g_01828
OG0000121	Prba.g_00711	Syas.g_02821
OG0000122	Prba.g_00348	Syas.g_00393
OG0000123	Prba.g_00436	Syas.g_01582
OG0000124	Prba.g_00784	Syas.g_02137
OG0000125	Prba.g_01089, Prba.g_00821	Syas.g_01889
OG0000126	Prba.g_01788	Syas.g_01992
OG0000127	Prba.g_01118	Syas.g_02540
OG0000128	Prba.g_01804	Syas.g_02046
OG0000129	Prba.g_01838	Syas.g_01880
OG0000130	Prba.g_01857	Syas.g_02522
OG0000131	Prba.g_01933	Syas.g_02367
OG0000132	Prba.g_01952	Syas.g_02334
OG0000133	Prba.g_00538	Syas.g_00457
OG0000134	Prba.g_00851	Syas.g_01509
OG0000135	Prba.g_00877	Syas.g_01938
OG0000136	Prba.g_01020	Syas.g_02740
OG0000137	Prba.g_00986	Syas.g_01333
OG0000138	Prba.g_00966	Syas.g_01235
OG0000139	Prba.g_00924	Syas.g_00069
OG0000140	Prba.g_00923	Syas.g_00090
OG0000141	Prba.g_01710	Syas.g_00875
OG0000142	Prba.g_01682	Syas.g_00746
OG0000143	Prba.g_01678	Syas.g_00742
OG0000144	Prba.g_01665	Syas.g_00718
OG0000145	Prba.g_01541	Syas.g_00948
OG0000146	Prba.g_01533	Syas.g_00451
OG0000147	Prba.g_01532	Syas.g_00450
OG0000148	Prba.g_01483	Syas.g_00577
OG0000149	Prba.g_01452	Syas.g_00282
OG0000150	Prba.g_01444	Syas.g_00874
OG0000151	Prba.g_01385	Syas.g_00148, Syas.g_00659
OG0000152	Prba.g_01337	Syas.g_00461
OG0000153	Prba.g_01318	Syas.g_00543
OG0000154	Prba.g_01290	Syas.g_00219
OG0000155	Prba.g_00043	Syas.g_01131
OG0000156	Prba.g_01181	Syas.g_01206
OG0000157	Prba.g_01182	Syas.g_01207
OG0000158	Prba.g_00154	Syas.g_02185
OG0000160	Prba.g_00712	Syas.g_02820
OG0000161	Prba.g_00706	Syas.g_02826
OG0000162	Prba.g_00700	Syas.g_02751
OG0000163	Prba.g_00341	Syas.g_01488
OG0000164	Prba.g_00596	Syas.g_02648
OG0000165	Prba.g_00589	Syas.g_02609
OG0000166	Prba.g_00393	Syas.g_01629
OG0000167	Prba.g_01069	Syas.g_01449
OG0000168	Prba.g_01079	Syas.g_02184
OG0000169	Prba.g_00761	Syas.g_02170
OG0000170	Prba.g_00763	Syas.g_02161
OG0000171	Prba.g_00783	Syas.g_02139
OG0000172	Prba.g_00792	Syas.g_02110
OG0000173	Prba.g_00807	Syas.g_02092
OG0000174	Prba.g_00835	Syas.g_01940
OG0000175	Prba.g_00845	Syas.g_01994
OG0000176	Prba.g_01797	Syas.g_02038
OG0000177	Prba.g_01798	Syas.g_02039
OG0000178	Prba.g_01799	Syas.g_02040
OG0000179	Prba.g_01809	Syas.g_02054
OG0000180	Prba.g_01810	Syas.g_02055
OG0000181	Prba.g_01811	Syas.g_02056
OG0000182	Prba.g_01812	Syas.g_02057
OG0000183	Prba.g_01816	Syas.g_02061
OG0000184	Prba.g_01840	Syas.g_01872
OG0000185	Prba.g_01843	Syas.g_01861
OG0000186	Prba.g_01852	Syas.g_02525
OG0000187	Prba.g_01853	Syas.g_02524
OG0000188	Prba.g_01870	Syas.g_02502
OG0000189	Prba.g_01884	Syas.g_02432
OG0000190	Prba.g_01885	Syas.g_00133
OG0000191	Prba.g_01905	Syas.g_02400
OG0000192	Prba.g_01909	Syas.g_02395
OG0000193	Prba.g_01934	Syas.g_02366
OG0000194	Prba.g_01937	Syas.g_02363
OG0000195	Prba.g_01939	Syas.g_02360
OG0000196	Prba.g_01949	Syas.g_02337
OG0000197	Prba.g_01950	Syas.g_02336
OG0000198	Prba.g_01951	Syas.g_02335
OG0000199	Prba.g_00626	Syas.g_02327
OG0000200	Prba.g_00640	Syas.g_02298
OG0000201	Prba.g_00648	Syas.g_02279
OG0000202	Prba.g_00649	Syas.g_02278
OG0000203	Prba.g_00650	Syas.g_02277
OG0000204	Prba.g_00651	Syas.g_02276
OG0000205	Prba.g_00658	Syas.g_02267
OG0000206	Prba.g_00663	Syas.g_02240
OG0000207	Prba.g_00665	Syas.g_02237
OG0000208	Prba.g_00666	Syas.g_02236
OG0000209	Prba.g_00675	Syas.g_01837
OG0000210	Prba.g_00439	Syas.g_01838
OG0000211	Prba.g_00452	Syas.g_02552
OG0000212	Prba.g_00459	Syas.g_02562
OG0000213	Prba.g_00476	Syas.g_01707
OG0000214	Prba.g_00485	Syas.g_01730
OG0000215	Prba.g_00509	Syas.g_01766
OG0000216	Prba.g_00510	Syas.g_01770
OG0000217	Prba.g_00513	Syas.g_01778
OG0000218	Prba.g_00515	Syas.g_01780
OG0000219	Prba.g_00516	Syas.g_01783
OG0000220	Prba.g_00517	Syas.g_01784
OG0000221	Prba.g_00518	Syas.g_01785
OG0000222	Prba.g_00526	Syas.g_01804
OG0000223	Prba.g_00539	Syas.g_02221
OG0000224	Prba.g_00541	Syas.g_02215
OG0000225	Prba.g_00562	Syas.g_01522
OG0000226	Prba.g_00221	Syas.g_01518
OG0000227	Prba.g_00223	Syas.g_01516
OG0000228	Prba.g_00849	Syas.g_01513
OG0000229	Prba.g_01025	Syas.g_01497
OG0000230	Prba.g_01023	Syas.g_01495
OG0000231	Prba.g_01012	Syas.g_02749
OG0000232	Prba.g_01003	Syas.g_01276
OG0000233	Prba.g_00998	Syas.g_01352
OG0000234	Prba.g_00985	Syas.g_01331
OG0000235	Prba.g_00982	Syas.g_01254
OG0000236	Prba.g_00968	Syas.g_01237
OG0000237	Prba.g_00955	Syas.g_01220
OG0000238	Prba.g_00949	Syas.g_01215
OG0000239	Prba.g_00936	Syas.g_00012
OG0000240	Prba.g_00935	Syas.g_00013
OG0000241	Prba.g_00931	Syas.g_00754
OG0000242	Prba.g_00929	Syas.g_00059
OG0000243	Prba.g_01772	Syas.g_00777
OG0000244	Prba.g_01769	Syas.g_00784
OG0000245	Prba.g_01767	Syas.g_00786
OG0000246	Prba.g_01763	Syas.g_00790
OG0000247	Prba.g_01753	Syas.g_00802
OG0000248	Prba.g_01751	Syas.g_00805
OG0000249	Prba.g_01749	Syas.g_00807
OG0000250	Prba.g_01744	Syas.g_00814
OG0000251	Prba.g_01726	Syas.g_00845
OG0000252	Prba.g_01723	Syas.g_00950
OG0000253	Prba.g_01722	Syas.g_00846
OG0000254	Prba.g_01706	Syas.g_00869
OG0000255	Prba.g_01700	Syas.g_00132, Syas.g_01062
OG0000256	Prba.g_01690	Syas.g_00104
OG0000257	Prba.g_01687	Syas.g_00757
OG0000258	Prba.g_01674	Syas.g_00733
OG0000259	Prba.g_01657	Syas.g_01006, Syas.g_00708
OG0000260	Prba.g_01654	Syas.g_00705
OG0000261	Prba.g_01652	Syas.g_00701
OG0000262	Prba.g_01648	Syas.g_00695
OG0000263	Prba.g_01636	Syas.g_01103
OG0000264	Prba.g_01626	Syas.g_02588
OG0000266	Prba.g_01584	Syas.g_00186
OG0000267	Prba.g_01573	Syas.g_00377
OG0000268	Prba.g_01572	Syas.g_00390
OG0000269	Prba.g_01504	Syas.g_00601
OG0000270	Prba.g_01501	Syas.g_00598
OG0000271	Prba.g_01493	Syas.g_00590
OG0000272	Prba.g_01492	Syas.g_00589
OG0000273	Prba.g_01469	Syas.g_00563
OG0000274	Prba.g_01468	Syas.g_00562
OG0000275	Prba.g_01465	Syas.g_00230
OG0000276	Prba.g_01460	Syas.g_00237
OG0000277	Prba.g_01459	Syas.g_00238
OG0000278	Prba.g_01456	Syas.g_00241
OG0000279	Prba.g_01449	Syas.g_00288
OG0000280	Prba.g_01448	Syas.g_00889, Syas.g_00481
OG0000281	Prba.g_01443	Syas.g_00970
OG0000282	Prba.g_01393	Syas.g_00672
OG0000283	Prba.g_01360	Syas.g_00409
OG0000284	Prba.g_01355	Syas.g_00416
OG0000285	Prba.g_01350	Syas.g_00436
OG0000286	Prba.g_01338	Syas.g_00460
OG0000287	Prba.g_01321	Syas.g_00534
OG0000288	Prba.g_01291	Syas.g_00220
OG0000289	Prba.g_01280	Syas.g_00205
OG0000290	Prba.g_01267	Syas.g_01016
OG0000291	Prba.g_01265	Syas.g_01018
OG0000292	Prba.g_01216	Syas.g_02020
OG0000293	Prba.g_00073	Syas.g_01197
OG0000294	Prba.g_00072	Syas.g_01196
OG0000295	Prba.g_00051	Syas.g_01139
OG0000296	Prba.g_00049	Syas.g_01137
OG0000297	Prba.g_00041	Syas.g_01124
OG0000298	Prba.g_00040	Syas.g_01123
OG0000299	Prba.g_00023	Syas.g_01087
OG0000300	Prba.g_00020	Syas.g_01082
OG0000301	Prba.g_00019	Syas.g_01081
OG0000302	Prba.g_00017	Syas.g_01080
OG0000303	Prba.g_00010	Syas.g_01071
OG0000304	Prba.g_00006	Syas.g_01066
OG0000305	Prba.g_00204	Syas.g_01023
OG0000306	Prba.g_00201	Syas.g_01929
OG0000307	Prba.g_00187	Syas.g_01270
OG0000308	Prba.g_00186	Syas.g_01272
OG0000309	Prba.g_00182	Syas.g_01364
OG0000310	Prba.g_00112	Syas.g_02796
OG0000311	Prba.g_00110	Syas.g_02799
OG0000312	Prba.g_00107	Syas.g_02804
OG0000313	Prba.g_00709	Syas.g_02823
OG0000314	Prba.g_00686	Syas.g_01296
OG0000315	Prba.g_00351, Prba.g_00676	Syas.g_01306
OG0000316	Prba.g_00331	Syas.g_02728
OG0000317	Prba.g_00228	Syas.g_02687
OG0000318	Prba.g_00619	Syas.g_02680
OG0000319	Prba.g_00606	Syas.g_02663
OG0000320	Prba.g_00604	Syas.g_02661
OG0000321	Prba.g_00603	Syas.g_02660
OG0000322	Prba.g_00602	Syas.g_02659
OG0000323	Prba.g_00593	Syas.g_02646, Syas.g_00159
OG0000324	Prba.g_00567	Syas.g_02578
OG0000325	Prba.g_00358	Syas.g_01668
OG0000326	Prba.g_00364	Syas.g_01661
OG0000327	Prba.g_00388	Syas.g_01634
OG0000328	Prba.g_00389	Syas.g_01633
OG0000329	Prba.g_00406	Syas.g_01615
OG0000330	Prba.g_00407	Syas.g_01614
OG0000331	Prba.g_00408	Syas.g_01613
OG0000332	Prba.g_00422	Syas.g_01598
OG0000333	Prba.g_00424	Syas.g_01595
OG0000334	Prba.g_00432	Syas.g_01586
OG0000335	Prba.g_00437	Syas.g_01581
OG0000336	Prba.g_01050	Syas.g_01577
OG0000337	Prba.g_01067	Syas.g_02211
OG0000338	Prba.g_01068	Syas.g_02199
OG0000339	Prba.g_01072	Syas.g_02192
OG0000340	Prba.g_00752	Syas.g_02183
OG0000341	Prba.g_00754	Syas.g_02181
OG0000342	Prba.g_00755	Syas.g_02180
OG0000343	Prba.g_00756	Syas.g_02176
OG0000344	Prba.g_00759	Syas.g_02172
OG0000345	Prba.g_00764	Syas.g_02160
OG0000346	Prba.g_00769	Syas.g_02155
OG0000347	Prba.g_00785	Syas.g_02136
OG0000348	Prba.g_00795	Syas.g_02107
OG0000349	Prba.g_00812	Syas.g_02085
OG0000350	Prba.g_00831	Syas.g_01654
OG0000351	Prba.g_00848, Prba.g_01776	Syas.g_01998
OG0000352	Prba.g_01777	Syas.g_01999
OG0000353	Prba.g_01792	Syas.g_02033
OG0000355	Prba.g_01794	Syas.g_02035
OG0000356	Prba.g_01795	Syas.g_02036
OG0000357	Prba.g_01796	Syas.g_02037
OG0000358	Prba.g_01800	Syas.g_02041
OG0000359	Prba.g_01801	Syas.g_02043
OG0000360	Prba.g_01802	Syas.g_02044
OG0000361	Prba.g_01803	Syas.g_02045
OG0000362	Prba.g_01805	Syas.g_02047
OG0000363	Prba.g_01807	Syas.g_02049
OG0000364	Prba.g_01808	Syas.g_02685
OG0000365	Prba.g_01813	Syas.g_02058
OG0000366	Prba.g_01814	Syas.g_02059
OG0000368	Prba.g_01817	Syas.g_02062
OG0000369	Prba.g_01818	Syas.g_02063
OG0000370	Prba.g_01819	Syas.g_02064
OG0000371	Prba.g_01825	Syas.g_02073
OG0000372	Prba.g_01828	Syas.g_02078
OG0000373	Prba.g_01829	Syas.g_02079
OG0000374	Prba.g_01830	Syas.g_02080
OG0000375	Prba.g_01834	Syas.g_02081
OG0000376	Prba.g_01836	Syas.g_02083
OG0000377	Prba.g_01839	Syas.g_01879
OG0000378	Prba.g_01841	Syas.g_01867
OG0000379	Prba.g_01844	Syas.g_01859
OG0000380	Prba.g_01854	Syas.g_02523
OG0000381	Prba.g_01858	Syas.g_02521
OG0000382	Prba.g_01869	Syas.g_02503
OG0000383	Prba.g_01871	Syas.g_02480
OG0000384	Prba.g_01872	Syas.g_02479
OG0000385	Prba.g_01873	Syas.g_02478
OG0000386	Prba.g_01874	Syas.g_02477
OG0000387	Prba.g_01887	Syas.g_00134
OG0000388	Prba.g_01890	Syas.g_02426
OG0000389	Prba.g_01894	Syas.g_02422
OG0000390	Prba.g_01901	Syas.g_02406
OG0000391	Prba.g_01904	Syas.g_02401
OG0000392	Prba.g_01908	Syas.g_02396
OG0000393	Prba.g_01910	Syas.g_02394
OG0000394	Prba.g_01911	Syas.g_02393
OG0000395	Prba.g_01912	Syas.g_02392
OG0000396	Prba.g_01915	Syas.g_02389
OG0000397	Prba.g_01917	Syas.g_02387
OG0000398	Prba.g_01919	Syas.g_02382
OG0000399	Prba.g_01920	Syas.g_02381
OG0000400	Prba.g_01921	Syas.g_02380
OG0000401	Prba.g_01922	Syas.g_02379
OG0000402	Prba.g_01924	Syas.g_02377
OG0000403	Prba.g_01925	Syas.g_02376
OG0000404	Prba.g_01926	Syas.g_02375
OG0000405	Prba.g_01930	Syas.g_02369
OG0000406	Prba.g_01935	Syas.g_02365
OG0000407	Prba.g_01936	Syas.g_02364
OG0000408	Prba.g_01938	Syas.g_02361
OG0000409	Prba.g_01940	Syas.g_02359
OG0000410	Prba.g_01941	Syas.g_02358
OG0000411	Prba.g_01942	Syas.g_02357
OG0000412	Prba.g_01943	Syas.g_02356
OG0000413	Prba.g_01944	Syas.g_02354
OG0000414	Prba.g_01945	Syas.g_02353
OG0000415	Prba.g_01946	Syas.g_02352
OG0000416	Prba.g_01947	Syas.g_02351
OG0000417	Prba.g_01948	Syas.g_02338
OG0000418	Prba.g_01953	Syas.g_02333
OG0000419	Prba.g_00623	Syas.g_02331
OG0000420	Prba.g_00624	Syas.g_02329
OG0000421	Prba.g_00629	Syas.g_02324
OG0000422	Prba.g_00630	Syas.g_02323
OG0000423	Prba.g_00631	Syas.g_02322
OG0000424	Prba.g_00632	Syas.g_02321
OG0000425	Prba.g_00633	Syas.g_02320
OG0000426	Prba.g_00634	Syas.g_02319
OG0000427	Prba.g_00635	Syas.g_02318
OG0000428	Prba.g_00637	Syas.g_02315
OG0000429	Prba.g_00638	Syas.g_02312
OG0000430	Prba.g_00639	Syas.g_02311
OG0000431	Prba.g_00641	Syas.g_02296
OG0000432	Prba.g_00644	Syas.g_02288
OG0000433	Prba.g_00645	Syas.g_02286
OG0000434	Prba.g_00646	Syas.g_02285
OG0000435	Prba.g_00647	Syas.g_02282
OG0000436	Prba.g_00652	Syas.g_02273
OG0000437	Prba.g_00653	Syas.g_02272
OG0000438	Prba.g_00654	Syas.g_02271
OG0000439	Prba.g_00656	Syas.g_02269
OG0000440	Prba.g_00657	Syas.g_02268
OG0000441	Prba.g_00660	Syas.g_02265
OG0000442	Prba.g_00661	Syas.g_02259
OG0000443	Prba.g_00662	Syas.g_02241
OG0000444	Prba.g_00667	Syas.g_02234
OG0000445	Prba.g_00668	Syas.g_02233
OG0000446	Prba.g_00669	Syas.g_02231
OG0000447	Prba.g_00670	Syas.g_02229
OG0000448	Prba.g_00671	Syas.g_02228
OG0000449	Prba.g_00672	Syas.g_02226
OG0000450	Prba.g_00673	Syas.g_01834
OG0000451	Prba.g_00674	Syas.g_01835
OG0000452	Prba.g_00440	Syas.g_01844
OG0000453	Prba.g_00441	Syas.g_01845
OG0000454	Prba.g_00442	Syas.g_01846
OG0000455	Prba.g_00443	Syas.g_01847
OG0000456	Prba.g_00444	Syas.g_01848
OG0000457	Prba.g_00445	Syas.g_01850
OG0000458	Prba.g_00446	Syas.g_01851
OG0000459	Prba.g_00447	Syas.g_01852
OG0000460	Prba.g_00454	Syas.g_02554
OG0000461	Prba.g_00461	Syas.g_01686
OG0000462	Prba.g_00463	Syas.g_01688
OG0000463	Prba.g_00464	Syas.g_01689
OG0000464	Prba.g_00465	Syas.g_01690
OG0000465	Prba.g_00466	Syas.g_01692
OG0000466	Prba.g_00469	Syas.g_01697
OG0000467	Prba.g_00470	Syas.g_01698
OG0000468	Prba.g_00472	Syas.g_01703
OG0000469	Prba.g_00480	Syas.g_01725
OG0000470	Prba.g_00482	Syas.g_01727
OG0000471	Prba.g_00483	Syas.g_01728
OG0000472	Prba.g_00484	Syas.g_01729
OG0000473	Prba.g_00486	Syas.g_01731
OG0000474	Prba.g_00487	Syas.g_01732
OG0000475	Prba.g_00488	Syas.g_01733
OG0000476	Prba.g_00489	Syas.g_01735
OG0000477	Prba.g_00492	Syas.g_01740
OG0000478	Prba.g_00493	Syas.g_01741
OG0000479	Prba.g_00494	Syas.g_01749
OG0000480	Prba.g_00499	Syas.g_01756
OG0000481	Prba.g_00501	Syas.g_00161, Syas.g_00162
OG0000482	Prba.g_00502	Syas.g_01758
OG0000483	Prba.g_00505	Syas.g_01762
OG0000484	Prba.g_00506	Syas.g_01763
OG0000485	Prba.g_00507	Syas.g_01764
OG0000486	Prba.g_00508	Syas.g_01765
OG0000487	Prba.g_00511	Syas.g_01771
OG0000488	Prba.g_00514	Syas.g_01779
OG0000489	Prba.g_00519	Syas.g_01823
OG0000490	Prba.g_00524	Syas.g_01808
OG0000491	Prba.g_00525	Syas.g_01806
OG0000492	Prba.g_00527	Syas.g_01803
OG0000493	Prba.g_00528	Syas.g_01802
OG0000494	Prba.g_00529	Syas.g_01801
OG0000495	Prba.g_00530	Syas.g_01799
OG0000496	Prba.g_00531	Syas.g_01798
OG0000497	Prba.g_00532	Syas.g_01797
OG0000498	Prba.g_00533	Syas.g_01796
OG0000499	Prba.g_00534	Syas.g_01795
OG0000500	Prba.g_00535	Syas.g_01794
OG0000501	Prba.g_00537	Syas.g_01791
OG0000502	Prba.g_00540	Syas.g_02216
OG0000503	Prba.g_00550	Syas.g_01541
OG0000504	Prba.g_00551	Syas.g_01539
OG0000505	Prba.g_00552	Syas.g_01538
OG0000506	Prba.g_00554	Syas.g_01536
OG0000507	Prba.g_00557	Syas.g_01530
OG0000508	Prba.g_00561	Syas.g_01523
OG0000509	Prba.g_00218	Syas.g_01521
OG0000510	Prba.g_00219	Syas.g_01520
OG0000511	Prba.g_00220	Syas.g_01519
OG0000512	Prba.g_00222	Syas.g_01517
OG0000513	Prba.g_00852	Syas.g_01508
OG0000514	Prba.g_01030	Syas.g_01504
OG0000515	Prba.g_01029	Syas.g_01503
OG0000516	Prba.g_01028	Syas.g_01501
OG0000517	Prba.g_01026	Syas.g_01498
OG0000518	Prba.g_01015	Syas.g_00360, Syas.g_02746
OG0000519	Prba.g_01014	Syas.g_02747
OG0000520	Prba.g_01013	Syas.g_02748
OG0000521	Prba.g_01008	Syas.g_01281
OG0000522	Prba.g_01006	Syas.g_01279
OG0000523	Prba.g_01005	Syas.g_01278
OG0000524	Prba.g_01000	Syas.g_01354
OG0000525	Prba.g_00997	Syas.g_01342
OG0000526	Prba.g_00996	Syas.g_01340
OG0000527	Prba.g_00988	Syas.g_01335
OG0000528	Prba.g_00983	Syas.g_01256
OG0000529	Prba.g_00980	Syas.g_01252
OG0000530	Prba.g_00977	Syas.g_01249
OG0000531	Prba.g_00976	Syas.g_01248
OG0000532	Prba.g_00974	Syas.g_01245
OG0000533	Prba.g_00973	Syas.g_01243
OG0000534	Prba.g_00972	Syas.g_01242
OG0000535	Prba.g_00971	Syas.g_01241
OG0000536	Prba.g_00970	Syas.g_01240
OG0000537	Prba.g_00969	Syas.g_01238
OG0000538	Prba.g_00961	Syas.g_01228
OG0000539	Prba.g_00960	Syas.g_01227
OG0000540	Prba.g_00959	Syas.g_01226
OG0000541	Prba.g_00958	Syas.g_01225
OG0000542	Prba.g_00956	Syas.g_01221
OG0000543	Prba.g_00954	Syas.g_01219
OG0000544	Prba.g_00953	Syas.g_01218
OG0000545	Prba.g_00951	Syas.g_01216
OG0000546	Prba.g_00948	Syas.g_01214
OG0000547	Prba.g_00946	Syas.g_01212
OG0000548	Prba.g_00945	Syas.g_01211
OG0000549	Prba.g_00943	Syas.g_00005
OG0000550	Prba.g_00938	Syas.g_00010
OG0000551	Prba.g_00934	Syas.g_00015
OG0000552	Prba.g_00933	Syas.g_00016
OG0000553	Prba.g_00932	Syas.g_00019
OG0000554	Prba.g_00927	Syas.g_00063
OG0000555	Prba.g_01773	Syas.g_00775
OG0000556	Prba.g_01771	Syas.g_00781
OG0000557	Prba.g_01770	Syas.g_00783
OG0000558	Prba.g_01768	Syas.g_00785
OG0000559	Prba.g_01764	Syas.g_00789
OG0000560	Prba.g_01761	Syas.g_00792
OG0000561	Prba.g_01760	Syas.g_00793
OG0000562	Prba.g_01759	Syas.g_00794
OG0000563	Prba.g_01758	Syas.g_00795
OG0000564	Prba.g_01757	Syas.g_00796
OG0000565	Prba.g_01754	Syas.g_00800
OG0000566	Prba.g_01752	Syas.g_00804
OG0000567	Prba.g_01748	Syas.g_00808
OG0000568	Prba.g_01747	Syas.g_00810
OG0000569	Prba.g_01746	Syas.g_00811
OG0000570	Prba.g_01745	Syas.g_00812
OG0000571	Prba.g_01743	Syas.g_00815
OG0000572	Prba.g_01730	Syas.g_00839
OG0000573	Prba.g_01725	Syas.g_00952
OG0000574	Prba.g_01724	Syas.g_00951
OG0000575	Prba.g_01720	Syas.g_00848
OG0000576	Prba.g_01718	Syas.g_00850
OG0000577	Prba.g_01717	Syas.g_00851
OG0000578	Prba.g_01716	Syas.g_00852
OG0000579	Prba.g_01715	Syas.g_00853
OG0000580	Prba.g_01714	Syas.g_00854
OG0000581	Prba.g_01712	Syas.g_00861
OG0000582	Prba.g_01709	Syas.g_00873
OG0000583	Prba.g_01708	Syas.g_00872
OG0000584	Prba.g_01707	Syas.g_00871
OG0000585	Prba.g_01705	Syas.g_00868
OG0000586	Prba.g_01704	Syas.g_00867
OG0000587	Prba.g_01703	Syas.g_00865
OG0000588	Prba.g_01699	Syas.g_00960
OG0000589	Prba.g_01696	Syas.g_00121
