Orthogroup	Prba	Syad
OG0000084	Prba.g_00717	Syad.g_02272
OG0000085	Prba.g_00233	Syad.g_02612
OG0000086	Prba.g_01876	Syad.g_02770
OG0000087	Prba.g_01927	Syad.g_02860
OG0000088	Prba.g_00622	Syad.g_02899
OG0000089	Prba.g_00850	Syad.g_00785, Syad.g_02829
OG0000090	Prba.g_00928	Syad.g_00977
OG0000091	Prba.g_01675	Syad.g_02144
OG0000092	Prba.g_01057	Syad.g_01190
OG0000093	Prba.g_01369	Syad.g_01905
OG0000094	Prba.g_01283	Syad.g_01676
OG0000095	Prba.g_01264	Syad.g_01290
OG0000097	Prba.g_00022	Syad.g_01458
OG0000098	Prba.g_00214	Syad.g_00625
OG0000099	Prba.g_00155	Syad.g_00460
OG0000100	Prba.g_00314	Syad.g_01846
OG0000101	Prba.g_00429	Syad.g_00694
OG0000102	Prba.g_00773	Syad.g_00343
OG0000103	Prba.g_01781	Syad.g_00143
OG0000104	Prba.g_01789	Syad.g_00158
OG0000105	Prba.g_00491	Syad.g_00530
OG0000106	Prba.g_00864	Syad.g_01993
OG0000107	Prba.g_00880	Syad.g_00590
OG0000108	Prba.g_00981	Syad.g_00904
OG0000109	Prba.g_00967	Syad.g_00919
OG0000110	Prba.g_01741	Syad.g_01048
OG0000111	Prba.g_01618	Syad.g_01300
OG0000112	Prba.g_01534	Syad.g_01766
OG0000113	Prba.g_01477	Syad.g_01851
OG0000114	Prba.g_01395	Syad.g_01617
OG0000115	Prba.g_00743	Syad.g_02300
OG0000116	Prba.g_00074	Syad.g_01123
OG0000117	Prba.g_01135	Syad.g_01510
OG0000118	Prba.g_01204	Syad.g_01104
OG0000119	Prba.g_00200	Syad.g_01168
OG0000120	Prba.g_00175	Syad.g_00459
OG0000121	Prba.g_00711	Syad.g_02280
OG0000122	Prba.g_00348	Syad.g_02122
OG0000123	Prba.g_00436	Syad.g_00701
OG0000124	Prba.g_00784	Syad.g_00320
OG0000125	Prba.g_01089, Prba.g_00821	Syad.g_03040
OG0000126	Prba.g_01788	Syad.g_00156
OG0000127	Prba.g_01118	Syad.g_02710, Syad.g_00058, Syad.g_00383
OG0000128	Prba.g_01804	Syad.g_00174
OG0000129	Prba.g_01838	Syad.g_03028
OG0000130	Prba.g_01857	Syad.g_02728
OG0000131	Prba.g_01933	Syad.g_02876
OG0000132	Prba.g_01952	Syad.g_02897
OG0000133	Prba.g_00538	Syad.g_01761
OG0000134	Prba.g_00851	Syad.g_00788
OG0000135	Prba.g_00877	Syad.g_00063
OG0000136	Prba.g_01020	Syad.g_02445
OG0000137	Prba.g_00986	Syad.g_02353
OG0000138	Prba.g_00966	Syad.g_00920
OG0000139	Prba.g_00924	Syad.g_00983
OG0000140	Prba.g_00923	Syad.g_00987
OG0000141	Prba.g_01710	Syad.g_02208
OG0000142	Prba.g_01682	Syad.g_02152
OG0000143	Prba.g_01678	Syad.g_02148
OG0000144	Prba.g_01665	Syad.g_02024
OG0000145	Prba.g_01541	Syad.g_00927
OG0000146	Prba.g_01533	Syad.g_01767
OG0000147	Prba.g_01532	Syad.g_01768
OG0000148	Prba.g_01483	Syad.g_01861
OG0000149	Prba.g_01452	Syad.g_01221
OG0000150	Prba.g_01444	Syad.g_02207, Syad.g_00989
OG0000151	Prba.g_01385	Syad.g_01956
OG0000152	Prba.g_01337	Syad.g_01757
OG0000153	Prba.g_01318	Syad.g_01713
OG0000154	Prba.g_01290	Syad.g_01686
OG0000155	Prba.g_00043	Syad.g_01189
OG0000156	Prba.g_01181	Syad.g_01116
OG0000157	Prba.g_01182	Syad.g_01115
OG0000158	Prba.g_00154	Syad.g_00374
OG0000160	Prba.g_00712	Syad.g_02279
OG0000161	Prba.g_00706	Syad.g_02287
OG0000162	Prba.g_00700	Syad.g_02293
OG0000163	Prba.g_00341	Syad.g_02542
OG0000164	Prba.g_00596	Syad.g_02659
OG0000165	Prba.g_00589	Syad.g_02476
OG0000166	Prba.g_00393	Syad.g_00654
OG0000167	Prba.g_01069	Syad.g_00419
OG0000168	Prba.g_01079	Syad.g_00371
OG0000169	Prba.g_00761	Syad.g_00360
OG0000170	Prba.g_00763	Syad.g_00353
OG0000171	Prba.g_00783	Syad.g_00321
OG0000172	Prba.g_00792	Syad.g_00244
OG0000173	Prba.g_00807	Syad.g_00220
OG0000174	Prba.g_00835	Syad.g_00065
OG0000175	Prba.g_00845	Syad.g_00129
OG0000176	Prba.g_01797	Syad.g_00166
OG0000177	Prba.g_01798	Syad.g_00167
OG0000178	Prba.g_01799	Syad.g_00168
OG0000179	Prba.g_01809	Syad.g_00183
OG0000180	Prba.g_01810	Syad.g_00184
OG0000181	Prba.g_01811	Syad.g_00185
OG0000182	Prba.g_01812	Syad.g_00186
OG0000183	Prba.g_01816	Syad.g_00190
OG0000184	Prba.g_01840	Syad.g_03018
OG0000185	Prba.g_01843	Syad.g_03006
OG0000186	Prba.g_01852	Syad.g_02722
OG0000187	Prba.g_01853	Syad.g_02724
OG0000188	Prba.g_01870	Syad.g_02759
OG0000189	Prba.g_01884	Syad.g_02788
OG0000190	Prba.g_01885	Syad.g_02790
OG0000191	Prba.g_01905	Syad.g_02824
OG0000192	Prba.g_01909	Syad.g_02834
OG0000193	Prba.g_01934	Syad.g_02877
OG0000194	Prba.g_01937	Syad.g_02880
OG0000195	Prba.g_01939	Syad.g_02884
OG0000196	Prba.g_01949	Syad.g_02894
OG0000197	Prba.g_01950	Syad.g_02895
OG0000198	Prba.g_01951	Syad.g_02896
OG0000199	Prba.g_00626	Syad.g_02904
OG0000200	Prba.g_00640	Syad.g_02921
OG0000201	Prba.g_00648	Syad.g_02937
OG0000202	Prba.g_00649	Syad.g_02938
OG0000203	Prba.g_00650	Syad.g_02939
OG0000204	Prba.g_00651	Syad.g_02940
OG0000205	Prba.g_00658	Syad.g_02948
OG0000206	Prba.g_00663	Syad.g_02955
OG0000207	Prba.g_00665	Syad.g_02957
OG0000208	Prba.g_00666	Syad.g_02958
OG0000209	Prba.g_00675	Syad.g_02981
OG0000210	Prba.g_00439	Syad.g_02982
OG0000211	Prba.g_00452	Syad.g_00813
OG0000212	Prba.g_00459	Syad.g_00825
OG0000213	Prba.g_00476	Syad.g_00556
OG0000214	Prba.g_00485	Syad.g_00538
OG0000215	Prba.g_00509	Syad.g_00508
OG0000216	Prba.g_00510	Syad.g_00504, Syad.g_00285
OG0000217	Prba.g_00513	Syad.g_00500
OG0000218	Prba.g_00515	Syad.g_00498
OG0000219	Prba.g_00516	Syad.g_00497
OG0000220	Prba.g_00517	Syad.g_00496
OG0000221	Prba.g_00518	Syad.g_00488
OG0000222	Prba.g_00526	Syad.g_00473
OG0000223	Prba.g_00539	Syad.g_00451
OG0000224	Prba.g_00541	Syad.g_00444
OG0000225	Prba.g_00562	Syad.g_00777
OG0000226	Prba.g_00221	Syad.g_00781
OG0000227	Prba.g_00223	Syad.g_00783
OG0000228	Prba.g_00849	Syad.g_00784
OG0000229	Prba.g_01025	Syad.g_02450
OG0000230	Prba.g_01023	Syad.g_02448
OG0000231	Prba.g_01012	Syad.g_02436
OG0000232	Prba.g_01003	Syad.g_02392
OG0000233	Prba.g_00998	Syad.g_02382
OG0000234	Prba.g_00985	Syad.g_02351
OG0000235	Prba.g_00982	Syad.g_00903
OG0000236	Prba.g_00968	Syad.g_00918
OG0000237	Prba.g_00955	Syad.g_00936
OG0000238	Prba.g_00949	Syad.g_00941
OG0000239	Prba.g_00936	Syad.g_00957
OG0000240	Prba.g_00935	Syad.g_00958
OG0000241	Prba.g_00931	Syad.g_02160
OG0000242	Prba.g_00929	Syad.g_00975
OG0000243	Prba.g_01772	Syad.g_01000
OG0000244	Prba.g_01769	Syad.g_01012
OG0000245	Prba.g_01767	Syad.g_01014
OG0000246	Prba.g_01763	Syad.g_01017
OG0000247	Prba.g_01753	Syad.g_01029
OG0000248	Prba.g_01751	Syad.g_01032
OG0000249	Prba.g_01749	Syad.g_01034
OG0000250	Prba.g_01744	Syad.g_01044
OG0000251	Prba.g_01726	Syad.g_01071
OG0000252	Prba.g_01723	Syad.g_01078
OG0000253	Prba.g_01722	Syad.g_01081
OG0000254	Prba.g_01706	Syad.g_02203
OG0000255	Prba.g_01700	Syad.g_02185
OG0000256	Prba.g_01690	Syad.g_02167
OG0000257	Prba.g_01687	Syad.g_02161
OG0000258	Prba.g_01674	Syad.g_02143
OG0000259	Prba.g_01657	Syad.g_01576
OG0000260	Prba.g_01654	Syad.g_01587
OG0000261	Prba.g_01652	Syad.g_01590
OG0000262	Prba.g_01648	Syad.g_01595
OG0000263	Prba.g_01636	Syad.g_01475
OG0000264	Prba.g_01626	Syad.g_01360
OG0000265	Prba.g_01594	Syad.g_01383
OG0000266	Prba.g_01584	Syad.g_01804
OG0000267	Prba.g_01573	Syad.g_01645
OG0000268	Prba.g_01572	Syad.g_01646
OG0000269	Prba.g_01504	Syad.g_01894
OG0000270	Prba.g_01501	Syad.g_01891
OG0000271	Prba.g_01493	Syad.g_01883
OG0000272	Prba.g_01492	Syad.g_01882
OG0000273	Prba.g_01469	Syad.g_01247
OG0000274	Prba.g_01468	Syad.g_01246
OG0000275	Prba.g_01465	Syad.g_01242
OG0000276	Prba.g_01460	Syad.g_01229
OG0000277	Prba.g_01459	Syad.g_01228
OG0000278	Prba.g_01456	Syad.g_01225
OG0000279	Prba.g_01449	Syad.g_01208
OG0000280	Prba.g_01448	Syad.g_01198
OG0000281	Prba.g_01443	Syad.g_00624
OG0000282	Prba.g_01393	Syad.g_01619
OG0000283	Prba.g_01360	Syad.g_01661
OG0000284	Prba.g_01355	Syad.g_01787
OG0000285	Prba.g_01350	Syad.g_01776
OG0000286	Prba.g_01338	Syad.g_01758
OG0000287	Prba.g_01321	Syad.g_01720
OG0000288	Prba.g_01291	Syad.g_01687
OG0000289	Prba.g_01280	Syad.g_01672
OG0000290	Prba.g_01267	Syad.g_01287
OG0000291	Prba.g_01265	Syad.g_01289
OG0000292	Prba.g_01216	Syad.g_00155
OG0000293	Prba.g_00073	Syad.g_01124
OG0000294	Prba.g_00072	Syad.g_01125
OG0000295	Prba.g_00051	Syad.g_01181
OG0000296	Prba.g_00049	Syad.g_01183
OG0000297	Prba.g_00041	Syad.g_01512
OG0000298	Prba.g_00040	Syad.g_01511
OG0000299	Prba.g_00023	Syad.g_01462
OG0000300	Prba.g_00020	Syad.g_01455
OG0000301	Prba.g_00019	Syad.g_01454
OG0000302	Prba.g_00017	Syad.g_01453
OG0000303	Prba.g_00010	Syad.g_01442
OG0000304	Prba.g_00006	Syad.g_01436
OG0000305	Prba.g_00204	Syad.g_01292
OG0000306	Prba.g_00201	Syad.g_01989
OG0000307	Prba.g_00187	Syad.g_00883
OG0000308	Prba.g_00186	Syad.g_00881
OG0000309	Prba.g_00182	Syad.g_00876
OG0000310	Prba.g_00112	Syad.g_02250
OG0000311	Prba.g_00110	Syad.g_02254
OG0000312	Prba.g_00107	Syad.g_02265
OG0000313	Prba.g_00709	Syad.g_02284
OG0000314	Prba.g_00686	Syad.g_02313, Syad.g_02231
OG0000315	Prba.g_00351, Prba.g_00676	Syad.g_02323
OG0000316	Prba.g_00331	Syad.g_02564
OG0000317	Prba.g_00228	Syad.g_02620
OG0000318	Prba.g_00619	Syad.g_02624
OG0000319	Prba.g_00606	Syad.g_02642
OG0000320	Prba.g_00604	Syad.g_02644
OG0000321	Prba.g_00603	Syad.g_02645
OG0000322	Prba.g_00602	Syad.g_02646
OG0000323	Prba.g_00593	Syad.g_02661
OG0000324	Prba.g_00567	Syad.g_02505
OG0000325	Prba.g_00358	Syad.g_00591
OG0000326	Prba.g_00364	Syad.g_00598
OG0000327	Prba.g_00388	Syad.g_00649
OG0000328	Prba.g_00389	Syad.g_00650
OG0000329	Prba.g_00406	Syad.g_00668
OG0000330	Prba.g_00407	Syad.g_00669
OG0000331	Prba.g_00408	Syad.g_00670
OG0000332	Prba.g_00422	Syad.g_00685
OG0000333	Prba.g_00424	Syad.g_00688
OG0000334	Prba.g_00432	Syad.g_00697
OG0000335	Prba.g_00437	Syad.g_00702
OG0000336	Prba.g_01050	Syad.g_00706
OG0000337	Prba.g_01067	Syad.g_00425, Syad.g_00427
OG0000338	Prba.g_01068	Syad.g_00421
OG0000339	Prba.g_01072	Syad.g_00414
OG0000340	Prba.g_00752	Syad.g_00370
OG0000341	Prba.g_00754	Syad.g_00368
OG0000342	Prba.g_00755	Syad.g_00367
OG0000343	Prba.g_00756	Syad.g_00366
OG0000344	Prba.g_00759	Syad.g_00362
OG0000345	Prba.g_00764	Syad.g_00352
OG0000346	Prba.g_00769	Syad.g_00347
OG0000347	Prba.g_00785	Syad.g_00318
OG0000348	Prba.g_00795	Syad.g_00233
OG0000349	Prba.g_00812	Syad.g_00213
OG0000350	Prba.g_00831	Syad.g_00605
OG0000351	Prba.g_00848, Prba.g_01776	Syad.g_00134
OG0000352	Prba.g_01777	Syad.g_00135
OG0000353	Prba.g_01792	Syad.g_00161
OG0000355	Prba.g_01794	Syad.g_00163
OG0000356	Prba.g_01795	Syad.g_00164
OG0000357	Prba.g_01796	Syad.g_00165
OG0000358	Prba.g_01800	Syad.g_00169
OG0000359	Prba.g_01801	Syad.g_00171
OG0000360	Prba.g_01802	Syad.g_00172
OG0000361	Prba.g_01803	Syad.g_00173
OG0000362	Prba.g_01805	Syad.g_00175
OG0000363	Prba.g_01807	Syad.g_00177
OG0000364	Prba.g_01808	Syad.g_00178
OG0000365	Prba.g_01813	Syad.g_00187
OG0000366	Prba.g_01814	Syad.g_00188
OG0000367	Prba.g_01815	Syad.g_00189
OG0000368	Prba.g_01817	Syad.g_00191
OG0000369	Prba.g_01818	Syad.g_00192
OG0000370	Prba.g_01819	Syad.g_00193
OG0000371	Prba.g_01825	Syad.g_00201
OG0000372	Prba.g_01828	Syad.g_00206
OG0000373	Prba.g_01829	Syad.g_00207
OG0000374	Prba.g_01830	Syad.g_00208
OG0000375	Prba.g_01834	Syad.g_00209
OG0000376	Prba.g_01836	Syad.g_00211
OG0000377	Prba.g_01839	Syad.g_03027
OG0000378	Prba.g_01841	Syad.g_03012
OG0000379	Prba.g_01844	Syad.g_03005
OG0000380	Prba.g_01854	Syad.g_02725
OG0000381	Prba.g_01858	Syad.g_02729
OG0000382	Prba.g_01869	Syad.g_02758
OG0000383	Prba.g_01871	Syad.g_02761
OG0000384	Prba.g_01872	Syad.g_02762
OG0000385	Prba.g_01873	Syad.g_02763
OG0000386	Prba.g_01874	Syad.g_02764
OG0000387	Prba.g_01887	Syad.g_02792
OG0000388	Prba.g_01890	Syad.g_02796
OG0000389	Prba.g_01894	Syad.g_02800
OG0000390	Prba.g_01901	Syad.g_02818
OG0000391	Prba.g_01904	Syad.g_02823
OG0000392	Prba.g_01908	Syad.g_02833
OG0000393	Prba.g_01910	Syad.g_02837
OG0000394	Prba.g_01911	Syad.g_02838
OG0000395	Prba.g_01912	Syad.g_02839
OG0000396	Prba.g_01915	Syad.g_02843
OG0000397	Prba.g_01917	Syad.g_02845
OG0000398	Prba.g_01919	Syad.g_02850
OG0000399	Prba.g_01920	Syad.g_02851
OG0000400	Prba.g_01921	Syad.g_02852
OG0000401	Prba.g_01922	Syad.g_02853
OG0000402	Prba.g_01924	Syad.g_02855
OG0000403	Prba.g_01925	Syad.g_02856
OG0000404	Prba.g_01926	Syad.g_02858
OG0000405	Prba.g_01930	Syad.g_02874
OG0000406	Prba.g_01935	Syad.g_02878
OG0000407	Prba.g_01936	Syad.g_02879
OG0000408	Prba.g_01938	Syad.g_02883
OG0000409	Prba.g_01940	Syad.g_02885
OG0000410	Prba.g_01941	Syad.g_02886
OG0000411	Prba.g_01942	Syad.g_02887
OG0000412	Prba.g_01943	Syad.g_02888
OG0000413	Prba.g_01944	Syad.g_02890
OG0000415	Prba.g_01946	Syad.g_02891
OG0000416	Prba.g_01947	Syad.g_02892
OG0000417	Prba.g_01948	Syad.g_02893
OG0000418	Prba.g_01953	Syad.g_02898
OG0000419	Prba.g_00623	Syad.g_02900
OG0000420	Prba.g_00624	Syad.g_02902
OG0000421	Prba.g_00629	Syad.g_02907
OG0000422	Prba.g_00630	Syad.g_02908
OG0000423	Prba.g_00631	Syad.g_02909
OG0000424	Prba.g_00632	Syad.g_02910
OG0000425	Prba.g_00633	Syad.g_02911
OG0000426	Prba.g_00634	Syad.g_02912
OG0000427	Prba.g_00635	Syad.g_02913
OG0000428	Prba.g_00637	Syad.g_02916
OG0000429	Prba.g_00638	Syad.g_02918
OG0000430	Prba.g_00639	Syad.g_02920
OG0000431	Prba.g_00641	Syad.g_02923
OG0000432	Prba.g_00644	Syad.g_02930
OG0000433	Prba.g_00645	Syad.g_02933
OG0000434	Prba.g_00646	Syad.g_02934
OG0000435	Prba.g_00647	Syad.g_02936
OG0000436	Prba.g_00652	Syad.g_02942
OG0000437	Prba.g_00653	Syad.g_02943
OG0000438	Prba.g_00654	Syad.g_02944
OG0000439	Prba.g_00656	Syad.g_02946
OG0000440	Prba.g_00657	Syad.g_02947
OG0000441	Prba.g_00660	Syad.g_02951
OG0000442	Prba.g_00661	Syad.g_02952
OG0000443	Prba.g_00662	Syad.g_02953
OG0000444	Prba.g_00667	Syad.g_02964
OG0000445	Prba.g_00668	Syad.g_02965
OG0000446	Prba.g_00669	Syad.g_02967
OG0000447	Prba.g_00670	Syad.g_02970
OG0000448	Prba.g_00671	Syad.g_02971
OG0000449	Prba.g_00672	Syad.g_02972
OG0000450	Prba.g_00673	Syad.g_02978
OG0000451	Prba.g_00674	Syad.g_02979
OG0000452	Prba.g_00440	Syad.g_02983
OG0000453	Prba.g_00441	Syad.g_02984
OG0000454	Prba.g_00442	Syad.g_02985
OG0000455	Prba.g_00443	Syad.g_02986
OG0000456	Prba.g_00444	Syad.g_02987
OG0000457	Prba.g_00445	Syad.g_02989
OG0000458	Prba.g_00446	Syad.g_02998
OG0000459	Prba.g_00447	Syad.g_02999
OG0000460	Prba.g_00454	Syad.g_00815
OG0000461	Prba.g_00461	Syad.g_00579
OG0000462	Prba.g_00463	Syad.g_00576
OG0000463	Prba.g_00464	Syad.g_00575
OG0000464	Prba.g_00465	Syad.g_00574
OG0000465	Prba.g_00466	Syad.g_00573
OG0000466	Prba.g_00469	Syad.g_00568
OG0000467	Prba.g_00470	Syad.g_00566
OG0000468	Prba.g_00472	Syad.g_00561
OG0000469	Prba.g_00480	Syad.g_00545
OG0000470	Prba.g_00482	Syad.g_00542
OG0000471	Prba.g_00483	Syad.g_00541
OG0000472	Prba.g_00484	Syad.g_00539
OG0000473	Prba.g_00486	Syad.g_00537
OG0000474	Prba.g_00487	Syad.g_00536
OG0000475	Prba.g_00488	Syad.g_00535
OG0000476	Prba.g_00489	Syad.g_00533
OG0000477	Prba.g_00492	Syad.g_00528
OG0000478	Prba.g_00493	Syad.g_00527
OG0000479	Prba.g_00494	Syad.g_00526
OG0000480	Prba.g_00499	Syad.g_00520
OG0000481	Prba.g_00501	Syad.g_00518
OG0000482	Prba.g_00502	Syad.g_00517
OG0000483	Prba.g_00505	Syad.g_00513
OG0000484	Prba.g_00506	Syad.g_00512
OG0000485	Prba.g_00507	Syad.g_00511
OG0000486	Prba.g_00508	Syad.g_00510
OG0000487	Prba.g_00511	Syad.g_00503
OG0000488	Prba.g_00514	Syad.g_00499
OG0000489	Prba.g_00519	Syad.g_00487
OG0000490	Prba.g_00524	Syad.g_00475
OG0000491	Prba.g_00525	Syad.g_00474
OG0000492	Prba.g_00527	Syad.g_00472
OG0000493	Prba.g_00528	Syad.g_00471
OG0000494	Prba.g_00529	Syad.g_00470
OG0000495	Prba.g_00530	Syad.g_00469
OG0000496	Prba.g_00531	Syad.g_00468
OG0000497	Prba.g_00532	Syad.g_00467
OG0000498	Prba.g_00533	Syad.g_00466
OG0000499	Prba.g_00534	Syad.g_00465
OG0000500	Prba.g_00535	Syad.g_00464
OG0000501	Prba.g_00537	Syad.g_00461
OG0000502	Prba.g_00540	Syad.g_00449
OG0000503	Prba.g_00550	Syad.g_00761
OG0000504	Prba.g_00551	Syad.g_00763
OG0000505	Prba.g_00552	Syad.g_00764
OG0000506	Prba.g_00554	Syad.g_00766
OG0000507	Prba.g_00557	Syad.g_00772
OG0000508	Prba.g_00561	Syad.g_00776
OG0000509	Prba.g_00218	Syad.g_00778
OG0000510	Prba.g_00219	Syad.g_00779
OG0000511	Prba.g_00220	Syad.g_00780
OG0000512	Prba.g_00222	Syad.g_00782
OG0000513	Prba.g_00852	Syad.g_00789
OG0000514	Prba.g_01030	Syad.g_00795
OG0000515	Prba.g_01029	Syad.g_00796
OG0000516	Prba.g_01028	Syad.g_02456
OG0000517	Prba.g_01026	Syad.g_02451
OG0000518	Prba.g_01015	Syad.g_02439
OG0000519	Prba.g_01014	Syad.g_02438
OG0000520	Prba.g_01013	Syad.g_02437
OG0000521	Prba.g_01008	Syad.g_01108
OG0000522	Prba.g_01006	Syad.g_01109
OG0000523	Prba.g_01005	Syad.g_01110
OG0000524	Prba.g_01000	Syad.g_02386
OG0000525	Prba.g_00997	Syad.g_02363
OG0000526	Prba.g_00996	Syad.g_02360
OG0000527	Prba.g_00988	Syad.g_02355
OG0000528	Prba.g_00983	Syad.g_00897
OG0000529	Prba.g_00980	Syad.g_00905
OG0000530	Prba.g_00977	Syad.g_00908
OG0000531	Prba.g_00976	Syad.g_00909
OG0000532	Prba.g_00974	Syad.g_00912
OG0000533	Prba.g_00973	Syad.g_00913
OG0000534	Prba.g_00972	Syad.g_00914
OG0000535	Prba.g_00971	Syad.g_00915
OG0000536	Prba.g_00970	Syad.g_00916
OG0000537	Prba.g_00969	Syad.g_00917
OG0000538	Prba.g_00961	Syad.g_00929
OG0000539	Prba.g_00960	Syad.g_00930
OG0000540	Prba.g_00959	Syad.g_00931
OG0000541	Prba.g_00958	Syad.g_00932
OG0000542	Prba.g_00956	Syad.g_00935
OG0000543	Prba.g_00954	Syad.g_00937
OG0000544	Prba.g_00953	Syad.g_00938
OG0000545	Prba.g_00951	Syad.g_00940
OG0000546	Prba.g_00948	Syad.g_00942
OG0000547	Prba.g_00946	Syad.g_00944
OG0000548	Prba.g_00945	Syad.g_00945
OG0000549	Prba.g_00943	Syad.g_00952
OG0000550	Prba.g_00938	Syad.g_00956
OG0000551	Prba.g_00934	Syad.g_00960
OG0000552	Prba.g_00933	Syad.g_00961
OG0000553	Prba.g_00932	Syad.g_00965
OG0000554	Prba.g_00927	Syad.g_00978
OG0000555	Prba.g_01773	Syad.g_00999
OG0000556	Prba.g_01771	Syad.g_01003
OG0000557	Prba.g_01770	Syad.g_01011
OG0000558	Prba.g_01768	Syad.g_01013
OG0000559	Prba.g_01764	Syad.g_01016
OG0000560	Prba.g_01761	Syad.g_01019
OG0000561	Prba.g_01760	Syad.g_01020
OG0000562	Prba.g_01759	Syad.g_01021
OG0000563	Prba.g_01758	Syad.g_01022
OG0000564	Prba.g_01757	Syad.g_01023
OG0000565	Prba.g_01754	Syad.g_01027
OG0000566	Prba.g_01752	Syad.g_01031
OG0000567	Prba.g_01748	Syad.g_01035
OG0000568	Prba.g_01747	Syad.g_01040
OG0000569	Prba.g_01746	Syad.g_01041
OG0000570	Prba.g_01745	Syad.g_01042
OG0000571	Prba.g_01743	Syad.g_01046
OG0000572	Prba.g_01730	Syad.g_01064
OG0000573	Prba.g_01725	Syad.g_01072
OG0000574	Prba.g_01724	Syad.g_01077
OG0000575	Prba.g_01720	Syad.g_01083
OG0000576	Prba.g_01718	Syad.g_01085
