Orthogroup	Pray	Syan
OG0000054	Pray.g_01157	Syan.g_02503, Syan.g_00231, Syan.g_00506
OG0000055	Pray.g_00329	Syan.g_00312
OG0000057	Pray.g_01065	Syan.g_00643, Syan.g_02514, Syan.g_00186
OG0000058	Pray.g_01786	Syan.g_01964, Syan.g_01128, Syan.g_01124
OG0000059	Pray.g_01258	Syan.g_02255
OG0000061	Pray.g_00064	Syan.g_02696
OG0000062	Pray.g_01644	Syan.g_01380
OG0000063	Pray.g_01495	Syan.g_01739
OG0000065	Pray.g_00182	Syan.g_02974
OG0000066	Pray.g_01222	Syan.g_01156
OG0000067	Pray.g_00348	Syan.g_00690
OG0000068	Pray.g_01829	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Pray.g_01609	Syan.g_00459, Syan.g_00278
OG0000070	Pray.g_00940	Syan.g_00289
OG0000071	Pray.g_01870	Syan.g_01213
OG0000072	Pray.g_00652	Syan.g_03038, Syan.g_02999
OG0000073	Pray.g_00990	Syan.g_02741
OG0000075	Pray.g_01339	Syan.g_00981, Syan.g_01937
OG0000076	Pray.g_01364	Syan.g_01896
OG0000077	Pray.g_00211	Syan.g_02919, Syan.g_02579
OG0000078	Pray.g_00720	Syan.g_01509, Syan.g_01510, Syan.g_02437
OG0000079	Pray.g_00733	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Pray.g_01177	Syan.g_00952
OG0000084	Pray.g_01726	Syan.g_01283
OG0000085	Pray.g_01566	Syan.g_01387
OG0000086	Pray.g_00201	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Pray.g_00150	Syan.g_02268
OG0000088	Pray.g_00647	Syan.g_03031
OG0000089	Pray.g_00834	Syan.g_02316
OG0000090	Pray.g_01024, Pray.g_01228	Syan.g_01166
OG0000091	Pray.g_01121	Syan.g_00235, Syan.g_00808
OG0000092	Pray.g_01325	Syan.g_02502
OG0000093	Pray.g_00479	Syan.g_00708
OG0000094	Pray.g_00565	Syan.g_00353, Syan.g_00065
OG0000095	Pray.g_00584	Syan.g_00290
OG0000097	Pray.g_00022	Syan.g_00160, Syan.g_00733
OG0000098	Pray.g_01847	Syan.g_00043
OG0000099	Pray.g_01788	Syan.g_01968
OG0000100	Pray.g_01648	Syan.g_00658
OG0000101	Pray.g_01306	Syan.g_02199
OG0000102	Pray.g_01369	Syan.g_01891
OG0000103	Pray.g_01449	Syan.g_01692
OG0000104	Pray.g_01457	Syan.g_01792
OG0000105	Pray.g_00753	Syan.g_02031
OG0000106	Pray.g_00848	Syan.g_00076
OG0000107	Pray.g_00864	Syan.g_02106
OG0000108	Pray.g_00970	Syan.g_02764
OG0000109	Pray.g_00984	Syan.g_02748
OG0000110	Pray.g_01187	Syan.g_00171, Syan.g_00882
OG0000111	Pray.g_01064	Syan.g_00187
OG0000112	Pray.g_00313	Syan.g_00556, Syan.g_00252
OG0000113	Pray.g_00370	Syan.g_00664
OG0000114	Pray.g_00452	Syan.g_00741
OG0000115	Pray.g_00126	Syan.g_02810
OG0000116	Pray.g_00074	Syan.g_02710, Syan.g_00460
OG0000117	Pray.g_01927	Syan.g_02644
OG0000118	Pray.g_01858	Syan.g_01241, Syan.g_01237
OG0000119	Pray.g_01833	Syan.g_02672
OG0000120	Pray.g_01808	Syan.g_01966
OG0000121	Pray.g_01720	Syan.g_01273
OG0000123	Pray.g_01313	Syan.g_02190
OG0000124	Pray.g_01380	Syan.g_01873
OG0000125	Pray.g_01417	Syan.g_01573
OG0000126	Pray.g_01456	Syan.g_01705
OG0000128	Pray.g_01473	Syan.g_01768
OG0000129	Pray.g_00239	Syan.g_01563
OG0000130	Pray.g_00220	Syan.g_02906, Syan.g_02907
OG0000131	Pray.g_00144	Syan.g_03008
OG0000132	Pray.g_00645	Syan.g_03029
OG0000133	Pray.g_00800	Syan.g_00561
OG0000134	Pray.g_00835	Syan.g_02319
OG0000135	Pray.g_00861	Syan.g_01616
OG0000136	Pray.g_00931	Syan.g_01342
OG0000137	Pray.g_00965	Syan.g_02846
OG0000138	Pray.g_00985	Syan.g_02747
OG0000139	Pray.g_01224	Syan.g_01160
OG0000140	Pray.g_01223	Syan.g_00042
OG0000141	Pray.g_01156	Syan.g_01032
OG0000142	Pray.g_01128	Syan.g_00816
OG0000143	Pray.g_01124	Syan.g_00812
OG0000144	Pray.g_01111	Syan.g_00782
OG0000145	Pray.g_00306	Syan.g_02740
OG0000146	Pray.g_00314	Syan.g_00555, Syan.g_00253
OG0000147	Pray.g_00315	Syan.g_00254, Syan.g_00554
OG0000148	Pray.g_00364	Syan.g_00670
OG0000149	Pray.g_00395	Syan.g_00393
OG0000150	Pray.g_00403	Syan.g_01031
OG0000151	Pray.g_00462	Syan.g_00731
OG0000152	Pray.g_00511	Syan.g_00565
OG0000153	Pray.g_00530	Syan.g_00601
OG0000154	Pray.g_00558	Syan.g_00363
OG0000155	Pray.g_00043	Syan.g_02654
OG0000156	Pray.g_01881	Syan.g_02717
OG0000157	Pray.g_01880	Syan.g_02718
OG0000158	Pray.g_01787	Syan.g_01078, Syan.g_01926
OG0000159	Pray.g_01785	Syan.g_01120
OG0000160	Pray.g_01721	Syan.g_01274
OG0000161	Pray.g_01715	Syan.g_01268
OG0000162	Pray.g_01709	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Pray.g_01675	Syan.g_02405
OG0000164	Pray.g_01535	Syan.g_01440
OG0000165	Pray.g_01528	Syan.g_01448
OG0000166	Pray.g_01270	Syan.g_02239
OG0000167	Pray.g_01337	Syan.g_01941
OG0000168	Pray.g_01347	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Pray.g_01357	Syan.g_01912
OG0000170	Pray.g_01359	Syan.g_01901
OG0000171	Pray.g_01379	Syan.g_01875
OG0000172	Pray.g_01388	Syan.g_01810
OG0000173	Pray.g_01403	Syan.g_01720
OG0000174	Pray.g_01431	Syan.g_01619
OG0000175	Pray.g_01441	Syan.g_01678, Syan.g_00258
OG0000176	Pray.g_01465, Pray.g_01466	Syan.g_01801
OG0000177	Pray.g_01467	Syan.g_01775
OG0000178	Pray.g_01468	Syan.g_01774
OG0000179	Pray.g_01478	Syan.g_01759
OG0000180	Pray.g_01479	Syan.g_01758
OG0000181	Pray.g_01480	Syan.g_01757
OG0000182	Pray.g_01481	Syan.g_01756
OG0000183	Pray.g_01485	Syan.g_01752
OG0000184	Pray.g_00237	Syan.g_01549
OG0000185	Pray.g_00234	Syan.g_01540
OG0000186	Pray.g_00225	Syan.g_02902
OG0000187	Pray.g_00224	Syan.g_02904
OG0000188	Pray.g_00207	Syan.g_02926
OG0000189	Pray.g_00193	Syan.g_02966
OG0000190	Pray.g_00192	Syan.g_00971
OG0000191	Pray.g_00172	Syan.g_02300
OG0000192	Pray.g_00168	Syan.g_02294
OG0000193	Pray.g_00143	Syan.g_03009
OG0000194	Pray.g_00140	Syan.g_03012
OG0000195	Pray.g_00138	Syan.g_03014
OG0000196	Pray.g_00642	Syan.g_03026
OG0000197	Pray.g_00643	Syan.g_03027
OG0000198	Pray.g_00644	Syan.g_03028
OG0000199	Pray.g_00651	Syan.g_03037
OG0000200	Pray.g_00665	Syan.g_03055
OG0000201	Pray.g_00673	Syan.g_03074
OG0000202	Pray.g_00674	Syan.g_03075
OG0000203	Pray.g_00675	Syan.g_03076
OG0000204	Pray.g_00676	Syan.g_03077
OG0000205	Pray.g_00683	Syan.g_03087
OG0000206	Pray.g_00688	Syan.g_03095
OG0000207	Pray.g_00690	Syan.g_03100
OG0000208	Pray.g_00691	Syan.g_03101
OG0000209	Pray.g_00700	Syan.g_01521
OG0000210	Pray.g_00701	Syan.g_01522
OG0000211	Pray.g_00714	Syan.g_02416
OG0000212	Pray.g_00721	Syan.g_01508, Syan.g_02438
OG0000213	Pray.g_00738	Syan.g_02059
OG0000214	Pray.g_00747	Syan.g_02040
OG0000215	Pray.g_00771	Syan.g_02010
OG0000216	Pray.g_00772	Syan.g_02006
OG0000217	Pray.g_00775	Syan.g_02001
OG0000218	Pray.g_00777	Syan.g_01999
OG0000219	Pray.g_00778	Syan.g_01998
OG0000220	Pray.g_00779	Syan.g_01997
OG0000221	Pray.g_00780	Syan.g_01994
OG0000222	Pray.g_00788	Syan.g_01981
OG0000223	Pray.g_00801	Syan.g_00228
OG0000224	Pray.g_00803	Syan.g_01959
OG0000225	Pray.g_00824	Syan.g_02997
OG0000226	Pray.g_00828	Syan.g_02990
OG0000227	Pray.g_00830	Syan.g_02988
OG0000228	Pray.g_00833	Syan.g_02315
OG0000229	Pray.g_00926	Syan.g_02396
OG0000230	Pray.g_00928	Syan.g_02398
OG0000231	Pray.g_00939	Syan.g_01333
OG0000232	Pray.g_00948	Syan.g_02801
OG0000233	Pray.g_00953	Syan.g_02876
OG0000234	Pray.g_00966	Syan.g_02844
OG0000235	Pray.g_00969	Syan.g_02765
OG0000236	Pray.g_00983	Syan.g_02749
OG0000237	Pray.g_00997	Syan.g_02731
OG0000238	Pray.g_01003	Syan.g_02726
OG0000239	Pray.g_01016	Syan.g_01187
OG0000240	Pray.g_01017	Syan.g_01186
OG0000241	Pray.g_01021	Syan.g_00822
OG0000242	Pray.g_01023	Syan.g_01168
OG0000243	Pray.g_01218	Syan.g_00840
OG0000244	Pray.g_01215	Syan.g_00848
OG0000245	Pray.g_01213	Syan.g_00850
OG0000246	Pray.g_01209	Syan.g_00854
OG0000247	Pray.g_01199	Syan.g_00866
OG0000248	Pray.g_01197	Syan.g_00869
OG0000249	Pray.g_01195	Syan.g_00871
OG0000250	Pray.g_01190	Syan.g_00878
OG0000251	Pray.g_01172	Syan.g_00961
OG0000252	Pray.g_01169	Syan.g_00966
OG0000253	Pray.g_01168	Syan.g_01000
OG0000254	Pray.g_01152	Syan.g_01026
OG0000255	Pray.g_01146	Syan.g_00978
OG0000256	Pray.g_01136	Syan.g_00001, Syan.g_01135
OG0000257	Pray.g_01133	Syan.g_00827
OG0000258	Pray.g_01120	Syan.g_00803
OG0000259	Pray.g_01103	Syan.g_00772
OG0000260	Pray.g_01100	Syan.g_00769
OG0000261	Pray.g_01098	Syan.g_00765
OG0000262	Pray.g_01094	Syan.g_00760
OG0000263	Pray.g_01082	Syan.g_02618
OG0000264	Pray.g_01072	Syan.g_00540
OG0000266	Pray.g_01030	Syan.g_00330
OG0000267	Pray.g_00274	Syan.g_00470
OG0000268	Pray.g_00275	Syan.g_00471
OG0000269	Pray.g_00343	Syan.g_00695
OG0000270	Pray.g_00346	Syan.g_00692
OG0000271	Pray.g_00354	Syan.g_00684
OG0000272	Pray.g_00355	Syan.g_00683
OG0000273	Pray.g_00378	Syan.g_00654
OG0000274	Pray.g_00379	Syan.g_00653
OG0000275	Pray.g_00382	Syan.g_00373
OG0000276	Pray.g_00387	Syan.g_00380
OG0000277	Pray.g_00388	Syan.g_00381
OG0000278	Pray.g_00391	Syan.g_00384
OG0000279	Pray.g_00398	Syan.g_00398
OG0000280	Pray.g_00399	Syan.g_00518
OG0000282	Pray.g_00454	Syan.g_00739
OG0000283	Pray.g_00488	Syan.g_00491
OG0000284	Pray.g_00493	Syan.g_00497
OG0000285	Pray.g_00498	Syan.g_00533
OG0000286	Pray.g_00510	Syan.g_00564
OG0000287	Pray.g_00527	Syan.g_00593
OG0000288	Pray.g_00557	Syan.g_00364
OG0000289	Pray.g_00568	Syan.g_00350
OG0000290	Pray.g_00581	Syan.g_00293
OG0000291	Pray.g_00583	Syan.g_00291
OG0000292	Pray.g_00632	Syan.g_01703
OG0000293	Pray.g_00073	Syan.g_02709
OG0000294	Pray.g_00072	Syan.g_02708
OG0000295	Pray.g_00051	Syan.g_02662
OG0000296	Pray.g_00049	Syan.g_02660
OG0000297	Pray.g_00041	Syan.g_02646
OG0000298	Pray.g_00040	Syan.g_02645
OG0000299	Pray.g_00023	Syan.g_02601
OG0000300	Pray.g_00020	Syan.g_02593, Syan.g_02594
OG0000301	Pray.g_00019	Syan.g_02592
OG0000302	Pray.g_00017	Syan.g_02591
OG0000303	Pray.g_00010	Syan.g_02582
OG0000304	Pray.g_00006	Syan.g_02556
OG0000305	Pray.g_01837	Syan.g_00195
OG0000306	Pray.g_01834	Syan.g_00087
OG0000307	Pray.g_01820	Syan.g_02782
OG0000308	Pray.g_01819	Syan.g_02784
OG0000309	Pray.g_01815	Syan.g_02883
OG0000310	Pray.g_01737	Syan.g_01304
OG0000311	Pray.g_01735	Syan.g_01299
OG0000312	Pray.g_01732	Syan.g_01290
OG0000313	Pray.g_01718	Syan.g_01271
OG0000314	Pray.g_01695	Syan.g_02823
OG0000315	Pray.g_01685	Syan.g_02833
OG0000316	Pray.g_01665	Syan.g_01354
OG0000317	Pray.g_01561	Syan.g_01396
OG0000318	Pray.g_01558	Syan.g_01401
OG0000319	Pray.g_01545	Syan.g_01425
OG0000320	Pray.g_01543	Syan.g_01427
OG0000321	Pray.g_01542	Syan.g_01428
OG0000322	Pray.g_01541	Syan.g_01429
OG0000323	Pray.g_01532	Syan.g_01442
OG0000324	Pray.g_01506	Syan.g_01472
OG0000325	Pray.g_01235	Syan.g_02107
OG0000326	Pray.g_01241	Syan.g_02114
OG0000327	Pray.g_01265	Syan.g_02244
OG0000328	Pray.g_01266	Syan.g_02243
OG0000329	Pray.g_01283	Syan.g_02225
OG0000330	Pray.g_01284	Syan.g_02224
OG0000331	Pray.g_01285	Syan.g_02223
OG0000332	Pray.g_01299	Syan.g_02208
OG0000333	Pray.g_01301	Syan.g_02205
OG0000334	Pray.g_01309	Syan.g_00247, Syan.g_02194
OG0000335	Pray.g_01314	Syan.g_02189
OG0000336	Pray.g_01318	Syan.g_02185
OG0000337	Pray.g_01335	Syan.g_01949
OG0000338	Pray.g_01336	Syan.g_01943
OG0000339	Pray.g_01340	Syan.g_01935, Syan.g_00264
OG0000340	Pray.g_01348	Syan.g_01923
OG0000341	Pray.g_01350	Syan.g_01921
OG0000342	Pray.g_01351	Syan.g_01920
OG0000343	Pray.g_01352	Syan.g_01918
OG0000344	Pray.g_01355	Syan.g_01914
OG0000345	Pray.g_01360	Syan.g_01900
OG0000346	Pray.g_01365	Syan.g_01895
OG0000347	Pray.g_01381	Syan.g_01867
OG0000348	Pray.g_01391	Syan.g_01803
OG0000349	Pray.g_01408	Syan.g_01727
OG0000350	Pray.g_01427	Syan.g_02121
OG0000351	Pray.g_01444	Syan.g_01682
OG0000352	Pray.g_01445	Syan.g_01683
OG0000353	Pray.g_01460	Syan.g_01795
OG0000355	Pray.g_01462	Syan.g_01797
OG0000356	Pray.g_01463	Syan.g_01798
OG0000357	Pray.g_01464	Syan.g_01800
OG0000358	Pray.g_01469	Syan.g_01773
OG0000359	Pray.g_01470	Syan.g_01771
OG0000360	Pray.g_01471	Syan.g_01770
OG0000361	Pray.g_01472	Syan.g_01769
OG0000362	Pray.g_01474	Syan.g_01767
OG0000363	Pray.g_01476	Syan.g_01765
OG0000364	Pray.g_01477	Syan.g_01398
OG0000365	Pray.g_01482	Syan.g_01755
OG0000366	Pray.g_01483	Syan.g_01754
OG0000367	Pray.g_01484	Syan.g_01753
OG0000368	Pray.g_01486	Syan.g_01751
OG0000369	Pray.g_01487	Syan.g_01750
OG0000370	Pray.g_01488	Syan.g_01749
OG0000371	Pray.g_01494	Syan.g_01740
OG0000372	Pray.g_01497	Syan.g_01734
OG0000373	Pray.g_01498	Syan.g_01733
OG0000374	Pray.g_01499	Syan.g_01732
OG0000375	Pray.g_00243	Syan.g_01731
OG0000376	Pray.g_00241	Syan.g_01729
OG0000377	Pray.g_00238	Syan.g_01555
OG0000378	Pray.g_00236	Syan.g_01543
OG0000379	Pray.g_00233	Syan.g_01539
OG0000380	Pray.g_00223	Syan.g_02905
OG0000381	Pray.g_00219	Syan.g_02908
OG0000382	Pray.g_00208	Syan.g_02925
OG0000383	Pray.g_00206	Syan.g_02936
OG0000384	Pray.g_00205	Syan.g_02937
OG0000385	Pray.g_00204	Syan.g_02938
OG0000386	Pray.g_00203	Syan.g_02939
OG0000387	Pray.g_00190	Syan.g_00967
OG0000388	Pray.g_00187	Syan.g_02970
OG0000389	Pray.g_00183	Syan.g_02973
OG0000390	Pray.g_00176	Syan.g_02306
OG0000391	Pray.g_00173	Syan.g_02301
OG0000392	Pray.g_00169	Syan.g_02295
OG0000393	Pray.g_00167	Syan.g_02292
OG0000394	Pray.g_00166	Syan.g_02291
OG0000395	Pray.g_00165	Syan.g_02290
OG0000396	Pray.g_00162	Syan.g_02287
OG0000397	Pray.g_00160	Syan.g_02285
OG0000398	Pray.g_00158	Syan.g_02279
OG0000399	Pray.g_00157	Syan.g_02278
OG0000400	Pray.g_00156	Syan.g_02277
OG0000401	Pray.g_00155	Syan.g_02274
OG0000402	Pray.g_00153	Syan.g_02272
OG0000403	Pray.g_00152	Syan.g_02271
OG0000404	Pray.g_00151	Syan.g_02269
OG0000405	Pray.g_00147	Syan.g_03005
OG0000406	Pray.g_00142	Syan.g_03010
OG0000407	Pray.g_00141	Syan.g_03011
OG0000408	Pray.g_00139	Syan.g_03013
OG0000409	Pray.g_00137	Syan.g_03015
OG0000410	Pray.g_00136	Syan.g_03016
OG0000411	Pray.g_00635	Syan.g_03017
OG0000412	Pray.g_00636	Syan.g_03018
OG0000413	Pray.g_00637	Syan.g_03020
OG0000414	Pray.g_00638	Syan.g_03021
OG0000415	Pray.g_00639	Syan.g_03022
OG0000416	Pray.g_00640	Syan.g_03023
OG0000417	Pray.g_00641	Syan.g_03025
OG0000418	Pray.g_00646	Syan.g_03030
OG0000419	Pray.g_00648	Syan.g_03033
OG0000420	Pray.g_00649	Syan.g_03035
OG0000421	Pray.g_00654	Syan.g_03040
OG0000422	Pray.g_00655	Syan.g_03041
OG0000423	Pray.g_00656	Syan.g_03042
OG0000424	Pray.g_00657	Syan.g_03043
OG0000425	Pray.g_00658	Syan.g_03044
OG0000426	Pray.g_00659	Syan.g_03045
OG0000427	Pray.g_00660	Syan.g_03046
OG0000428	Pray.g_00662	Syan.g_03049
OG0000429	Pray.g_00663	Syan.g_03051
OG0000430	Pray.g_00664	Syan.g_03053
OG0000431	Pray.g_00666	Syan.g_03058
OG0000432	Pray.g_00669	Syan.g_03065
OG0000433	Pray.g_00670	Syan.g_03068
OG0000434	Pray.g_00671	Syan.g_03069
OG0000435	Pray.g_00672	Syan.g_03071
OG0000436	Pray.g_00677	Syan.g_03079
OG0000437	Pray.g_00678	Syan.g_03080
OG0000438	Pray.g_00679	Syan.g_03083
OG0000439	Pray.g_00681	Syan.g_03085
OG0000440	Pray.g_00682	Syan.g_03086
OG0000441	Pray.g_00685	Syan.g_03089
OG0000442	Pray.g_00686	Syan.g_03090
OG0000443	Pray.g_00687	Syan.g_03094
OG0000444	Pray.g_00692	Syan.g_03102
OG0000445	Pray.g_00693	Syan.g_03103
OG0000446	Pray.g_00694	Syan.g_03105
OG0000447	Pray.g_00695	Syan.g_03111
OG0000448	Pray.g_00696	Syan.g_03112
OG0000449	Pray.g_00697	Syan.g_03113
OG0000450	Pray.g_00698	Syan.g_01518
OG0000451	Pray.g_00699	Syan.g_01519
OG0000452	Pray.g_00702	Syan.g_01523
OG0000453	Pray.g_00703	Syan.g_01524
OG0000454	Pray.g_00704	Syan.g_01525
OG0000455	Pray.g_00705	Syan.g_01526
OG0000456	Pray.g_00706	Syan.g_01527
OG0000457	Pray.g_00707	Syan.g_01529
OG0000458	Pray.g_00708	Syan.g_01530
OG0000459	Pray.g_00709	Syan.g_01531
OG0000460	Pray.g_00716	Syan.g_02423
OG0000461	Pray.g_00723	Syan.g_02099
OG0000462	Pray.g_00725	Syan.g_02096
OG0000463	Pray.g_00726	Syan.g_02095
OG0000464	Pray.g_00727	Syan.g_02094
OG0000465	Pray.g_00728	Syan.g_02092
OG0000466	Pray.g_00731	Syan.g_02087
OG0000467	Pray.g_00732	Syan.g_02086
OG0000468	Pray.g_00734	Syan.g_02063
OG0000469	Pray.g_00742	Syan.g_02046
OG0000470	Pray.g_00744	Syan.g_02044
OG0000471	Pray.g_00745	Syan.g_02043
OG0000472	Pray.g_00746	Syan.g_02041
OG0000473	Pray.g_00748	Syan.g_02039
OG0000474	Pray.g_00749	Syan.g_02038
OG0000475	Pray.g_00750	Syan.g_02037
OG0000476	Pray.g_00751	Syan.g_02035
OG0000477	Pray.g_00754	Syan.g_02029
OG0000478	Pray.g_00755	Syan.g_02028
OG0000479	Pray.g_00756	Syan.g_02027
OG0000480	Pray.g_00761	Syan.g_02020
OG0000481	Pray.g_00763	Syan.g_00975
OG0000482	Pray.g_00764	Syan.g_02018
OG0000483	Pray.g_00767	Syan.g_02014
OG0000484	Pray.g_00768	Syan.g_02013
OG0000485	Pray.g_00769	Syan.g_02012
OG0000486	Pray.g_00770	Syan.g_02011
OG0000487	Pray.g_00773	Syan.g_02005
OG0000488	Pray.g_00776	Syan.g_02000
OG0000489	Pray.g_00781	Syan.g_01993
OG0000490	Pray.g_00786	Syan.g_01985
OG0000491	Pray.g_00787	Syan.g_01983
OG0000492	Pray.g_00789	Syan.g_01980
OG0000493	Pray.g_00790	Syan.g_01979
OG0000494	Pray.g_00791	Syan.g_01978
OG0000495	Pray.g_00792	Syan.g_01977
OG0000496	Pray.g_00793	Syan.g_01976
OG0000497	Pray.g_00794	Syan.g_01975
OG0000498	Pray.g_00795	Syan.g_01974
OG0000499	Pray.g_00796	Syan.g_01973
OG0000500	Pray.g_00797	Syan.g_01972
OG0000501	Pray.g_00799	Syan.g_01969
OG0000502	Pray.g_00802	Syan.g_01961
OG0000503	Pray.g_00812	Syan.g_02144
OG0000504	Pray.g_00813	Syan.g_02142
OG0000505	Pray.g_00814	Syan.g_02141
OG0000506	Pray.g_00816	Syan.g_02139
OG0000507	Pray.g_00819	Syan.g_02133
OG0000508	Pray.g_00823	Syan.g_02998
OG0000509	Pray.g_00825	Syan.g_02993
OG0000510	Pray.g_00826	Syan.g_02992
OG0000511	Pray.g_00827	Syan.g_02991
OG0000512	Pray.g_00829	Syan.g_02989
OG0000513	Pray.g_00836	Syan.g_02320
OG0000514	Pray.g_00921	Syan.g_02326
OG0000515	Pray.g_00922	Syan.g_02327
OG0000516	Pray.g_00923	Syan.g_02389
OG0000517	Pray.g_00925	Syan.g_02395
OG0000518	Pray.g_00936	Syan.g_01336
OG0000519	Pray.g_00937	Syan.g_01335
OG0000520	Pray.g_00938	Syan.g_01334
OG0000521	Pray.g_00943	Syan.g_02805
OG0000522	Pray.g_00945	Syan.g_02803
OG0000523	Pray.g_00946	Syan.g_02802
OG0000524	Pray.g_00951	Syan.g_02878
OG0000525	Pray.g_00954	Syan.g_02853
OG0000526	Pray.g_00955	Syan.g_02852
OG0000527	Pray.g_00963	Syan.g_02848
OG0000528	Pray.g_00968	Syan.g_02767
OG0000529	Pray.g_00971	Syan.g_02763
OG0000530	Pray.g_00974	Syan.g_02760
OG0000531	Pray.g_00975	Syan.g_02759
OG0000532	Pray.g_00977	Syan.g_02756
OG0000533	Pray.g_00978	Syan.g_02754
OG0000534	Pray.g_00979	Syan.g_02753
OG0000535	Pray.g_00980	Syan.g_02752
OG0000536	Pray.g_00981	Syan.g_02751
OG0000537	Pray.g_00982	Syan.g_02750
OG0000538	Pray.g_00991	Syan.g_02738
OG0000539	Pray.g_00992	Syan.g_02737
OG0000540	Pray.g_00993	Syan.g_02736
OG0000541	Pray.g_00994	Syan.g_02735
OG0000542	Pray.g_00996	Syan.g_02732
OG0000543	Pray.g_00998	Syan.g_02730
OG0000544	Pray.g_00999	Syan.g_02729
OG0000545	Pray.g_01001	Syan.g_02727
OG0000546	Pray.g_01004	Syan.g_02725
OG0000547	Pray.g_01006	Syan.g_02723
OG0000548	Pray.g_01007	Syan.g_02722
OG0000549	Pray.g_01009	Syan.g_01194
OG0000550	Pray.g_01014	Syan.g_01189
OG0000551	Pray.g_01018	Syan.g_01184
OG0000552	Pray.g_01019	Syan.g_01183
OG0000553	Pray.g_01020	Syan.g_01179
OG0000554	Pray.g_01227	Syan.g_01165
OG0000555	Pray.g_01219	Syan.g_00839
OG0000556	Pray.g_01217	Syan.g_00842
OG0000557	Pray.g_01216	Syan.g_00847
OG0000558	Pray.g_01214	Syan.g_00849
OG0000559	Pray.g_01210	Syan.g_00853
OG0000560	Pray.g_01207	Syan.g_00856
OG0000561	Pray.g_01206	Syan.g_00857
OG0000562	Pray.g_01205	Syan.g_00858
OG0000563	Pray.g_01204	Syan.g_00859
OG0000564	Pray.g_01203	Syan.g_00860
OG0000565	Pray.g_01200	Syan.g_00864
OG0000566	Pray.g_01198	Syan.g_00868
OG0000567	Pray.g_01194	Syan.g_00872
OG0000568	Pray.g_01193	Syan.g_00874
OG0000569	Pray.g_01192	Syan.g_00875
OG0000570	Pray.g_01191	Syan.g_00876
OG0000571	Pray.g_01189	Syan.g_00879
OG0000572	Pray.g_01176	Syan.g_00954
OG0000573	Pray.g_01171	Syan.g_00963
OG0000574	Pray.g_01170	Syan.g_00965
OG0000575	Pray.g_01166	Syan.g_01003
OG0000576	Pray.g_01164	Syan.g_01007
OG0000577	Pray.g_01163	Syan.g_01008
