Orthogroup	Syaf	Prbe
OG0000141	Syaf.g_02375	Prbe.g_00526
OG0000142	Syaf.g_02310	Prbe.g_01485
OG0000143	Syaf.g_02306	Prbe.g_01481
OG0000144	Syaf.g_01735	Prbe.g_01467
OG0000145	Syaf.g_02699	Prbe.g_00909
OG0000146	Syaf.g_01851	Prbe.g_00488
OG0000147	Syaf.g_01850	Prbe.g_00489
OG0000148	Syaf.g_02028	Prbe.g_01239
OG0000149	Syaf.g_01371	Prbe.g_01271
OG0000150	Syaf.g_02645	Prbe.g_01281
OG0000151	Syaf.g_02091	Prbe.g_00427
OG0000152	Syaf.g_01861	Prbe.g_01350
OG0000153	Syaf.g_01904	Prbe.g_01369
OG0000154	Syaf.g_01930	Prbe.g_01389
OG0000155	Syaf.g_01324	Prbe.g_01528
OG0000156	Syaf.g_01270	Prbe.g_00904
OG0000157	Syaf.g_01269	Prbe.g_00903
OG0000158	Syaf.g_00364	Prbe.g_00792
OG0000159	Syaf.g_00311	Prbe.g_00165
OG0000160	Syaf.g_02418	Prbe.g_00310
OG0000161	Syaf.g_02424	Prbe.g_00304
OG0000162	Syaf.g_02431	Prbe.g_00298
OG0000163	Syaf.g_01105	Prbe.g_00259
OG0000164	Syaf.g_00999	Prbe.g_00961
OG0000165	Syaf.g_01197	Prbe.g_00954
OG0000166	Syaf.g_00133	Prbe.g_01083
OG0000167	Syaf.g_00350	Prbe.g_00802
OG0000168	Syaf.g_00365	Prbe.g_00791
OG0000169	Syaf.g_00376	Prbe.g_00781
OG0000170	Syaf.g_00383	Prbe.g_00778
OG0000171	Syaf.g_00413	Prbe.g_00758
OG0000172	Syaf.g_00419	Prbe.g_00751
OG0000173	Syaf.g_00438	Prbe.g_01143
OG0000174	Syaf.g_00603	Prbe.g_01173
OG0000175	Syaf.g_00531	Prbe.g_01186
OG0000176	Syaf.g_00494	Prbe.g_01069
OG0000177	Syaf.g_00493	Prbe.g_01070
OG0000178	Syaf.g_00492	Prbe.g_01071
OG0000179	Syaf.g_00477	Prbe.g_00116
OG0000180	Syaf.g_00476	Prbe.g_00117
OG0000181	Syaf.g_00475	Prbe.g_00118
OG0000182	Syaf.g_00474	Prbe.g_00119
OG0000183	Syaf.g_00470	Prbe.g_00123
OG0000184	Syaf.g_00664	Prbe.g_00149
OG0000185	Syaf.g_00684	Prbe.g_00152
OG0000186	Syaf.g_00968	Prbe.g_00168
OG0000187	Syaf.g_00966	Prbe.g_00169
OG0000188	Syaf.g_00944	Prbe.g_00186
OG0000189	Syaf.g_00916	Prbe.g_01636
OG0000190	Syaf.g_00914	Prbe.g_01638
OG0000191	Syaf.g_00877	Prbe.g_01661
OG0000192	Syaf.g_00871	Prbe.g_01666
OG0000193	Syaf.g_00832	Prbe.g_01693
OG0000194	Syaf.g_00829	Prbe.g_01696
OG0000195	Syaf.g_00827	Prbe.g_01698
OG0000196	Syaf.g_00816	Prbe.g_01709
OG0000197	Syaf.g_00815	Prbe.g_01710
OG0000198	Syaf.g_00814	Prbe.g_01711
OG0000199	Syaf.g_00806	Prbe.g_01718
OG0000200	Syaf.g_00789	Prbe.g_01732
OG0000201	Syaf.g_00771	Prbe.g_01741
OG0000202	Syaf.g_00770	Prbe.g_01742
OG0000203	Syaf.g_00769	Prbe.g_01743
OG0000204	Syaf.g_00768	Prbe.g_01744
OG0000205	Syaf.g_00761	Prbe.g_01751
OG0000206	Syaf.g_00736	Prbe.g_01756
OG0000207	Syaf.g_00735	Prbe.g_01759
OG0000208	Syaf.g_00734	Prbe.g_01760
OG0000209	Syaf.g_00714	Prbe.g_01769
OG0000210	Syaf.g_00713	Prbe.g_01770
OG0000211	Syaf.g_02791	Prbe.g_01785
OG0000212	Syaf.g_02781	Prbe.g_01793
OG0000213	Syaf.g_00210	Prbe.g_01811
OG0000214	Syaf.g_00226	Prbe.g_01821
OG0000215	Syaf.g_00258	Prbe.g_01848
OG0000216	Syaf.g_00262	Prbe.g_01849
OG0000217	Syaf.g_00266	Prbe.g_01852
OG0000218	Syaf.g_00268	Prbe.g_01854
OG0000219	Syaf.g_00269	Prbe.g_01855
OG0000220	Syaf.g_00270	Prbe.g_01856
OG0000221	Syaf.g_02597, Syaf.g_00273	Prbe.g_01857
OG0000222	Syaf.g_00287	Prbe.g_01864
OG0000223	Syaf.g_00317	Prbe.g_01876
OG0000224	Syaf.g_00324	Prbe.g_01878
OG0000225	Syaf.g_00007	Prbe.g_01904
OG0000226	Syaf.g_00003	Prbe.g_01908
OG0000227	Syaf.g_00001	Prbe.g_01910
OG0000228	Syaf.g_02808	Prbe.g_01914
OG0000229	Syaf.g_01214	Prbe.g_01934
OG0000230	Syaf.g_01216	Prbe.g_01936
OG0000231	Syaf.g_01236	Prbe.g_01947
OG0000232	Syaf.g_02536	Prbe.g_00672
OG0000233	Syaf.g_02528	Prbe.g_00666
OG0000234	Syaf.g_02497	Prbe.g_00657
OG0000235	Syaf.g_02722	Prbe.g_00654
OG0000236	Syaf.g_02707	Prbe.g_00640
OG0000237	Syaf.g_02690	Prbe.g_00627
OG0000238	Syaf.g_02685	Prbe.g_00621
OG0000239	Syaf.g_02669	Prbe.g_00610
OG0000240	Syaf.g_02668	Prbe.g_00609
OG0000241	Syaf.g_02322	Prbe.g_00605
OG0000242	Syaf.g_02656	Prbe.g_00603
OG0000243	Syaf.g_02634	Prbe.g_00592
OG0000244	Syaf.g_02627	Prbe.g_00589
OG0000245	Syaf.g_02625	Prbe.g_00587
OG0000246	Syaf.g_02621	Prbe.g_00583
OG0000247	Syaf.g_02610	Prbe.g_00573
OG0000248	Syaf.g_02607	Prbe.g_00570
OG0000249	Syaf.g_02605	Prbe.g_00568
OG0000250	Syaf.g_02593	Prbe.g_00563
OG0000251	Syaf.g_02568	Prbe.g_00543
OG0000252	Syaf.g_02565	Prbe.g_00540
OG0000253	Syaf.g_02564	Prbe.g_00539
OG0000254	Syaf.g_02371	Prbe.g_00522
OG0000255	Syaf.g_02352	Prbe.g_00516
OG0000256	Syaf.g_02329	Prbe.g_00506
OG0000257	Syaf.g_02323	Prbe.g_01490
OG0000258	Syaf.g_02301	Prbe.g_01476
OG0000259	Syaf.g_02137	Prbe.g_01459
OG0000260	Syaf.g_02134	Prbe.g_01456
OG0000261	Syaf.g_02131	Prbe.g_01453
OG0000262	Syaf.g_02126	Prbe.g_01449
OG0000263	Syaf.g_01585	Prbe.g_00455
OG0000264	Syaf.g_01473	Prbe.g_00466
OG0000265	Syaf.g_01196	Prbe.g_01214
OG0000266	Syaf.g_01967	Prbe.g_01430
OG0000267	Syaf.g_01787	Prbe.g_01418
OG0000268	Syaf.g_00307, Syaf.g_01788	Prbe.g_01417
OG0000269	Syaf.g_02054	Prbe.g_01217
OG0000270	Syaf.g_02051	Prbe.g_01220
OG0000271	Syaf.g_02043	Prbe.g_01228
OG0000272	Syaf.g_02042	Prbe.g_01229
OG0000273	Syaf.g_01392	Prbe.g_01253
OG0000274	Syaf.g_01391	Prbe.g_01254
OG0000275	Syaf.g_01386	Prbe.g_01257
OG0000276	Syaf.g_01379	Prbe.g_01263
OG0000277	Syaf.g_01378	Prbe.g_01264
OG0000278	Syaf.g_01375	Prbe.g_01267
OG0000279	Syaf.g_01367	Prbe.g_01274
OG0000280	Syaf.g_01337	Prbe.g_01275
OG0000281	Syaf.g_01636	Prbe.g_01282
OG0000282	Syaf.g_02101	Prbe.g_00419
OG0000283	Syaf.g_01804	Prbe.g_01326
OG0000284	Syaf.g_01810	Prbe.g_01331
OG0000285	Syaf.g_01842	Prbe.g_01336
OG0000286	Syaf.g_01860	Prbe.g_01349
OG0000287	Syaf.g_01896	Prbe.g_01615
OG0000288	Syaf.g_01929	Prbe.g_01388
OG0000289	Syaf.g_01943	Prbe.g_01404
OG0000290	Syaf.g_01439	Prbe.g_01300
OG0000291	Syaf.g_01441	Prbe.g_01298
OG0000292	Syaf.g_00505	Prbe.g_01594
OG0000293	Syaf.g_01277	Prbe.g_01559
OG0000294	Syaf.g_01278	Prbe.g_01558
OG0000295	Syaf.g_01316	Prbe.g_01535
OG0000296	Syaf.g_01318	Prbe.g_01533
OG0000297	Syaf.g_01607	Prbe.g_01524
OG0000298	Syaf.g_01606	Prbe.g_01523
OG0000299	Syaf.g_01578	Prbe.g_01504
OG0000300	Syaf.g_01571	Prbe.g_01501
OG0000301	Syaf.g_01570	Prbe.g_01500
OG0000302	Syaf.g_01568	Prbe.g_01498
OG0000303	Syaf.g_01559	Prbe.g_01492
OG0000304	Syaf.g_01551	Prbe.g_00501
OG0000305	Syaf.g_01444	Prbe.g_01592
OG0000306	Syaf.g_01332	Prbe.g_01286
OG0000307	Syaf.g_02742	Prbe.g_00364
OG0000308	Syaf.g_02744	Prbe.g_00363
OG0000309	Syaf.g_02749	Prbe.g_00359
OG0000310	Syaf.g_02387	Prbe.g_00325
OG0000311	Syaf.g_02391	Prbe.g_00323
OG0000312	Syaf.g_02397	Prbe.g_00320
OG0000313	Syaf.g_02421	Prbe.g_00307
OG0000314	Syaf.g_02458	Prbe.g_00284
OG0000315	Syaf.g_02468	Prbe.g_00274
OG0000316	Syaf.g_01088	Prbe.g_00249
OG0000317	Syaf.g_01040	Prbe.g_00988
OG0000318	Syaf.g_01032	Prbe.g_00984
OG0000319	Syaf.g_01015	Prbe.g_00971
OG0000320	Syaf.g_01013	Prbe.g_00969
OG0000321	Syaf.g_01012	Prbe.g_00968
OG0000322	Syaf.g_01011	Prbe.g_00967
OG0000323	Syaf.g_00997	Prbe.g_00958
OG0000324	Syaf.g_01164	Prbe.g_00931
OG0000325	Syaf.g_00176	Prbe.g_00920
OG0000326	Syaf.g_00169	Prbe.g_01109
OG0000327	Syaf.g_00138	Prbe.g_01088
OG0000328	Syaf.g_00137	Prbe.g_01087
OG0000329	Syaf.g_00119	Prbe.g_00860
OG0000330	Syaf.g_00118	Prbe.g_00859
OG0000331	Syaf.g_00117	Prbe.g_00858
OG0000332	Syaf.g_00102	Prbe.g_00844
OG0000333	Syaf.g_00099	Prbe.g_00842
OG0000334	Syaf.g_00090	Prbe.g_00833
OG0000335	Syaf.g_00085	Prbe.g_00828
OG0000336	Syaf.g_00081	Prbe.g_00824
OG0000337	Syaf.g_00344	Prbe.g_00806
OG0000338	Syaf.g_00348	Prbe.g_00805
OG0000339	Syaf.g_00355	Prbe.g_00799
OG0000340	Syaf.g_00366	Prbe.g_00790
OG0000341	Syaf.g_00368	Prbe.g_00788
OG0000342	Syaf.g_00369	Prbe.g_00787
OG0000343	Syaf.g_00370	Prbe.g_00786
OG0000344	Syaf.g_00374	Prbe.g_00783
OG0000345	Syaf.g_00384	Prbe.g_00777
OG0000346	Syaf.g_00389	Prbe.g_00773
OG0000347	Syaf.g_00415	Prbe.g_00746
OG0000348	Syaf.g_00427	Prbe.g_00754
OG0000349	Syaf.g_00445	Prbe.g_01149
OG0000350	Syaf.g_00162	Prbe.g_00709
OG0000351	Syaf.g_00528	Prbe.g_01189
OG0000352	Syaf.g_00527	Prbe.g_01190
OG0000353	Syaf.g_00499	Prbe.g_01064
OG0000355	Syaf.g_00497	Prbe.g_01066
OG0000356	Syaf.g_00496	Prbe.g_01067
OG0000357	Syaf.g_00495	Prbe.g_01068
OG0000358	Syaf.g_00491	Prbe.g_01072
OG0000359	Syaf.g_00489	Prbe.g_01073
OG0000360	Syaf.g_00488	Prbe.g_01074
OG0000361	Syaf.g_00487	Prbe.g_01075
OG0000362	Syaf.g_00485	Prbe.g_01077
OG0000363	Syaf.g_00483	Prbe.g_00114
OG0000364	Syaf.g_00482	Prbe.g_00115
OG0000365	Syaf.g_00473	Prbe.g_00120
OG0000366	Syaf.g_00472	Prbe.g_00121
OG0000367	Syaf.g_00471	Prbe.g_00122
OG0000368	Syaf.g_00469	Prbe.g_00124
OG0000369	Syaf.g_00468	Prbe.g_00125
OG0000370	Syaf.g_00467	Prbe.g_00126
OG0000371	Syaf.g_00458	Prbe.g_00133
OG0000372	Syaf.g_00453	Prbe.g_00136
OG0000373	Syaf.g_00452	Prbe.g_00137
OG0000374	Syaf.g_00451	Prbe.g_00138
OG0000375	Syaf.g_00449	Prbe.g_00140
OG0000376	Syaf.g_00447	Prbe.g_00142
OG0000377	Syaf.g_00654	Prbe.g_00146
OG0000378	Syaf.g_00668	Prbe.g_00150
OG0000379	Syaf.g_00686	Prbe.g_00153
OG0000380	Syaf.g_00965	Prbe.g_00170
OG0000381	Syaf.g_00962	Prbe.g_00175
OG0000382	Syaf.g_00945	Prbe.g_00185
OG0000383	Syaf.g_00941	Prbe.g_00187
OG0000384	Syaf.g_00940	Prbe.g_00188
OG0000385	Syaf.g_00939	Prbe.g_00189
OG0000386	Syaf.g_00938	Prbe.g_00190
OG0000387	Syaf.g_00912	Prbe.g_01640
OG0000388	Syaf.g_00908	Prbe.g_01644
OG0000389	Syaf.g_00904	Prbe.g_01647
OG0000390	Syaf.g_00883	Prbe.g_01657
OG0000391	Syaf.g_00878	Prbe.g_01660
OG0000392	Syaf.g_00872	Prbe.g_01664
OG0000393	Syaf.g_00870	Prbe.g_01667
OG0000394	Syaf.g_00869	Prbe.g_01668
OG0000395	Syaf.g_00868	Prbe.g_01669
OG0000396	Syaf.g_00865	Prbe.g_01671
OG0000397	Syaf.g_00863	Prbe.g_01673
OG0000398	Syaf.g_00858	Prbe.g_01676
OG0000399	Syaf.g_00857	Prbe.g_01677
OG0000400	Syaf.g_00856	Prbe.g_01678
OG0000401	Syaf.g_00855	Prbe.g_01679
OG0000402	Syaf.g_00852	Prbe.g_01412
OG0000403	Syaf.g_00851	Prbe.g_01681
OG0000404	Syaf.g_00850	Prbe.g_01682
OG0000405	Syaf.g_00835	Prbe.g_01686
OG0000406	Syaf.g_00831	Prbe.g_01694
OG0000407	Syaf.g_00830	Prbe.g_01695
OG0000408	Syaf.g_00828	Prbe.g_01697
OG0000409	Syaf.g_00826	Prbe.g_01699
OG0000410	Syaf.g_00825	Prbe.g_01700
OG0000411	Syaf.g_00824	Prbe.g_01701
OG0000412	Syaf.g_00823	Prbe.g_01702
OG0000413	Syaf.g_00821	Prbe.g_01704
OG0000414	Syaf.g_00820	Prbe.g_01705
OG0000415	Syaf.g_00819	Prbe.g_01706
OG0000416	Syaf.g_00818	Prbe.g_01707
OG0000417	Syaf.g_00817	Prbe.g_01708
OG0000418	Syaf.g_00812	Prbe.g_01713
OG0000419	Syaf.g_00810	Prbe.g_01715
OG0000420	Syaf.g_00808	Prbe.g_01716
OG0000421	Syaf.g_00803	Prbe.g_01721
OG0000422	Syaf.g_00802	Prbe.g_01722
OG0000423	Syaf.g_00801	Prbe.g_01723
OG0000424	Syaf.g_00800	Prbe.g_01724
OG0000425	Syaf.g_00799	Prbe.g_01725
OG0000426	Syaf.g_00798	Prbe.g_01726
OG0000427	Syaf.g_00797	Prbe.g_01727
OG0000428	Syaf.g_00794	Prbe.g_01729
OG0000429	Syaf.g_00792	Prbe.g_01730
OG0000430	Syaf.g_00790	Prbe.g_01731
OG0000431	Syaf.g_00786	Prbe.g_01733
OG0000432	Syaf.g_00779	Prbe.g_01737
OG0000433	Syaf.g_00777	Prbe.g_01738
OG0000434	Syaf.g_00776	Prbe.g_01739
OG0000435	Syaf.g_00772	Prbe.g_01740
OG0000436	Syaf.g_00767	Prbe.g_01745
OG0000437	Syaf.g_00766	Prbe.g_01746
OG0000438	Syaf.g_00765	Prbe.g_01747
OG0000439	Syaf.g_00763	Prbe.g_01749
OG0000440	Syaf.g_00762	Prbe.g_01750
OG0000441	Syaf.g_00756	Prbe.g_01753
OG0000442	Syaf.g_00743	Prbe.g_01754
OG0000443	Syaf.g_00739	Prbe.g_01755
OG0000444	Syaf.g_00733	Prbe.g_01761
OG0000445	Syaf.g_00729	Prbe.g_01762
OG0000446	Syaf.g_00728	Prbe.g_01763
OG0000447	Syaf.g_00725	Prbe.g_01764
OG0000448	Syaf.g_00724	Prbe.g_01765
OG0000449	Syaf.g_00723	Prbe.g_01766
OG0000450	Syaf.g_00717	Prbe.g_01767
OG0000451	Syaf.g_00716	Prbe.g_01768
OG0000452	Syaf.g_00712	Prbe.g_01771
OG0000453	Syaf.g_00711	Prbe.g_01772
OG0000454	Syaf.g_00710	Prbe.g_01773
OG0000455	Syaf.g_00709	Prbe.g_01774
OG0000456	Syaf.g_00708	Prbe.g_01775
OG0000457	Syaf.g_00706	Prbe.g_01777
OG0000458	Syaf.g_00705	Prbe.g_01778
OG0000459	Syaf.g_00704	Prbe.g_01779
OG0000460	Syaf.g_02789	Prbe.g_01787
OG0000461	Syaf.g_00183	Prbe.g_01795
OG0000462	Syaf.g_00186	Prbe.g_01797
OG0000463	Syaf.g_00187	Prbe.g_01798
OG0000464	Syaf.g_00188	Prbe.g_01799
OG0000465	Syaf.g_00190	Prbe.g_01800
OG0000466	Syaf.g_00194	Prbe.g_01803
OG0000467	Syaf.g_00196	Prbe.g_01804
OG0000468	Syaf.g_00206	Prbe.g_01807
OG0000469	Syaf.g_00220	Prbe.g_01815
OG0000470	Syaf.g_00222	Prbe.g_01817
OG0000471	Syaf.g_00223	Prbe.g_01818
OG0000472	Syaf.g_00225	Prbe.g_01820
OG0000473	Syaf.g_00227	Prbe.g_01822
OG0000474	Syaf.g_00228	Prbe.g_01823
OG0000475	Syaf.g_00229	Prbe.g_01824
OG0000476	Syaf.g_00231	Prbe.g_01826
OG0000477	Syaf.g_00237	Prbe.g_01829
OG0000478	Syaf.g_00238	Prbe.g_01830
OG0000479	Syaf.g_00239	Prbe.g_01831
OG0000480	Syaf.g_00247	Prbe.g_01836
OG0000481	Syaf.g_00249	Prbe.g_01839
OG0000482	Syaf.g_00250	Prbe.g_01840
OG0000483	Syaf.g_00254	Prbe.g_01843
OG0000484	Syaf.g_00255	Prbe.g_01844
OG0000485	Syaf.g_00256	Prbe.g_01846
OG0000486	Syaf.g_00257	Prbe.g_01847
OG0000487	Syaf.g_00263	Prbe.g_01850
OG0000488	Syaf.g_00267	Prbe.g_01853
OG0000489	Syaf.g_00274	Prbe.g_01858
OG0000490	Syaf.g_00284	Prbe.g_01862
OG0000491	Syaf.g_00285	Prbe.g_01863
OG0000492	Syaf.g_00288	Prbe.g_01865
OG0000493	Syaf.g_00289	Prbe.g_01866
OG0000494	Syaf.g_00290	Prbe.g_01867
OG0000495	Syaf.g_00291	Prbe.g_01868
OG0000496	Syaf.g_00292	Prbe.g_01869
OG0000497	Syaf.g_00293	Prbe.g_01870
OG0000498	Syaf.g_00294	Prbe.g_01871
OG0000499	Syaf.g_00295	Prbe.g_01872
OG0000500	Syaf.g_00296	Prbe.g_01873
OG0000501	Syaf.g_00299	Prbe.g_01874
OG0000502	Syaf.g_00319	Prbe.g_01877
OG0000503	Syaf.g_00023	Prbe.g_01892
OG0000504	Syaf.g_00021	Prbe.g_01894
OG0000505	Syaf.g_00020	Prbe.g_01895
OG0000506	Syaf.g_00018	Prbe.g_01896
OG0000507	Syaf.g_00012	Prbe.g_01899
OG0000508	Syaf.g_00008	Prbe.g_01903
OG0000509	Syaf.g_00006	Prbe.g_01905
OG0000510	Syaf.g_00005	Prbe.g_01906
OG0000511	Syaf.g_00004	Prbe.g_01907
OG0000512	Syaf.g_00002	Prbe.g_01909
OG0000513	Syaf.g_02803	Prbe.g_01918
OG0000514	Syaf.g_02796	Prbe.g_01929
OG0000515	Syaf.g_02795	Prbe.g_01930
OG0000516	Syaf.g_01219	Prbe.g_01931
OG0000517	Syaf.g_01213	Prbe.g_01933
OG0000518	Syaf.g_01230	Prbe.g_01944
OG0000519	Syaf.g_01231	Prbe.g_01945
OG0000520	Syaf.g_01235	Prbe.g_01946
OG0000521	Syaf.g_02542	Prbe.g_00676
OG0000522	Syaf.g_02538	Prbe.g_00674
OG0000523	Syaf.g_02537	Prbe.g_00673
OG0000524	Syaf.g_02531	Prbe.g_00668
OG0000525	Syaf.g_02507	Prbe.g_00664
OG0000526	Syaf.g_02504	Prbe.g_00663
OG0000527	Syaf.g_02500	Prbe.g_00660
OG0000528	Syaf.g_02728	Prbe.g_00655
OG0000529	Syaf.g_02720	Prbe.g_00652
OG0000530	Syaf.g_02717	Prbe.g_00649
OG0000531	Syaf.g_02716	Prbe.g_00648
OG0000532	Syaf.g_02713	Prbe.g_00646
OG0000533	Syaf.g_02712	Prbe.g_00645
OG0000534	Syaf.g_02711	Prbe.g_00644
OG0000535	Syaf.g_02710	Prbe.g_00643
OG0000536	Syaf.g_02709	Prbe.g_00642
OG0000537	Syaf.g_02708	Prbe.g_00641
OG0000538	Syaf.g_02697	Prbe.g_00632
OG0000539	Syaf.g_02696	Prbe.g_00631
OG0000540	Syaf.g_02695	Prbe.g_00630
OG0000541	Syaf.g_02694	Prbe.g_00629
OG0000542	Syaf.g_02691	Prbe.g_00628
