Orthogroup	Syaf	Prbi
OG0000029	Syaf.g_01761	Prbi.g_00796, Prbi.g_00399
OG0000030	Syaf.g_00406, Syaf.g_00407	Prbi.g_02004
OG0000031	Syaf.g_01143	Prbi.g_01467
OG0000034	Syaf.g_01241, Syaf.g_00837	Prbi.g_01401
OG0000035	Syaf.g_02412	Prbi.g_01589, Prbi.g_01591
OG0000037	Syaf.g_00899	Prbi.g_00116
OG0000038	Syaf.g_00642	Prbi.g_02057
OG0000039	Syaf.g_01395	Prbi.g_00689
OG0000040	Syaf.g_00558	Prbi.g_01187
OG0000041	Syaf.g_01171, Syaf.g_01414	Prbi.g_01833
OG0000042	Syaf.g_00403	Prbi.g_02001
OG0000044	Syaf.g_01358, Syaf.g_01992, Syaf.g_01400	Prbi.g_01744, Prbi.g_01760
OG0000045	Syaf.g_00979	Prbi.g_00395
OG0000047	Syaf.g_00030	Prbi.g_00354
OG0000048	Syaf.g_00230	Prbi.g_00398
OG0000053	Syaf.g_02447	Prbi.g_01611
OG0000054	Syaf.g_02376	Prbi.g_00608
OG0000055	Syaf.g_01402	Prbi.g_00828
OG0000057	Syaf.g_01665, Syaf.g_01452	Prbi.g_00702
OG0000059	Syaf.g_00143	Prbi.g_01873
OG0000061	Syaf.g_01288	Prbi.g_01207
OG0000062	Syaf.g_02167	Prbi.g_01482
OG0000062	Syaf.g_01055	Prbi.g_01668
OG0000063	Syaf.g_00457	Prbi.g_00033
OG0000065	Syaf.g_00903	Prbi.g_00114
OG0000066	Syaf.g_02643	Prbi.g_00542
OG0000067	Syaf.g_02049	Prbi.g_00847
OG0000068	Syaf.g_02733	Prbi.g_01439
OG0000070	Syaf.g_01237	Prbi.g_00451
OG0000071	Syaf.g_01254	Prbi.g_01391
OG0000072	Syaf.g_00805	Prbi.g_00195
OG0000073	Syaf.g_02700	Prbi.g_00502
OG0000075	Syaf.g_00353	Prbi.g_01970
OG0000076	Syaf.g_00388	Prbi.g_01994
OG0000077	Syaf.g_00951	Prbi.g_00085
OG0000078	Syaf.g_02782	Prbi.g_00263
OG0000079	Syaf.g_00197	Prbi.g_00276
OG0000080	Syaf.g_00306	Prbi.g_01492
OG0000081	Syaf.g_02776	Prbi.g_00534
OG0000082	Syaf.g_02576	Prbi.g_00587
OG0000084	Syaf.g_02409	Prbi.g_01585
OG0000085	Syaf.g_01048	Prbi.g_01780
OG0000086	Syaf.g_00932	Prbi.g_00095
OG0000087	Syaf.g_00848	Prbi.g_00147
OG0000088	Syaf.g_00811	Prbi.g_00190
OG0000089	Syaf.g_02807	Prbi.g_00380
OG0000090	Syaf.g_02654	Prbi.g_00536
OG0000091	Syaf.g_02302	Prbi.g_00645
OG0000093	Syaf.g_02065	Prbi.g_00977
OG0000094	Syaf.g_01940	Prbi.g_01067
OG0000095	Syaf.g_01442	Prbi.g_01086
OG0000097	Syaf.g_01574	Prbi.g_01248
OG0000098	Syaf.g_01637	Prbi.g_01421
OG0000099	Syaf.g_00312	Prbi.g_01462
OG0000100	Syaf.g_02017	Prbi.g_01664
OG0000101	Syaf.g_00093	Prbi.g_01938
OG0000102	Syaf.g_00393	Prbi.g_01999
OG0000103	Syaf.g_00520	Prbi.g_02091
OG0000104	Syaf.g_00502	Prbi.g_02099
OG0000105	Syaf.g_00235	Prbi.g_00298
OG0000106	Syaf.g_01745	Prbi.g_00394
OG0000107	Syaf.g_00177, Syaf.g_00758	Prbi.g_00409
OG0000108	Syaf.g_02721	Prbi.g_00483
OG0000109	Syaf.g_02706	Prbi.g_00497
OG0000110	Syaf.g_02589	Prbi.g_00577
OG0000111	Syaf.g_01451	Prbi.g_00703
OG0000112	Syaf.g_01852	Prbi.g_00811
OG0000113	Syaf.g_02022	Prbi.g_00869
OG0000114	Syaf.g_02103	Prbi.g_00951
OG0000115	Syaf.g_02445	Prbi.g_01148
OG0000116	Syaf.g_01276	Prbi.g_01197
OG0000117	Syaf.g_01605	Prbi.g_01330
OG0000118	Syaf.g_02544	Prbi.g_01403
OG0000120	Syaf.g_00313	Prbi.g_01460
OG0000121	Syaf.g_02419	Prbi.g_01593
OG0000123	Syaf.g_00086	Prbi.g_01945
OG0000124	Syaf.g_00414	Prbi.g_02010
OG0000125	Syaf.g_00640	Prbi.g_02059
OG0000126	Syaf.g_00504	Prbi.g_02098
OG0000128	Syaf.g_00486	Prbi.g_00011
OG0000129	Syaf.g_00651	Prbi.g_00053
OG0000130	Syaf.g_00963	Prbi.g_00076
OG0000131	Syaf.g_00833	Prbi.g_00169
OG0000132	Syaf.g_00813	Prbi.g_00188
OG0000133	Syaf.g_01857	Prbi.g_00346
OG0000134	Syaf.g_02804	Prbi.g_00381
OG0000135	Syaf.g_00605	Prbi.g_00407
OG0000136	Syaf.g_01224	Prbi.g_00442
OG0000137	Syaf.g_02498	Prbi.g_00478
OG0000138	Syaf.g_02705	Prbi.g_00498
OG0000139	Syaf.g_02648	Prbi.g_00540
OG0000140	Syaf.g_02646	Prbi.g_00541
OG0000141	Syaf.g_02375	Prbi.g_00609
OG0000142	Syaf.g_02310	Prbi.g_00638
OG0000143	Syaf.g_02306	Prbi.g_00642
OG0000144	Syaf.g_01735	Prbi.g_00655
OG0000145	Syaf.g_02699	Prbi.g_00807
OG0000146	Syaf.g_01851	Prbi.g_00812
OG0000147	Syaf.g_01850	Prbi.g_00813
OG0000148	Syaf.g_02028	Prbi.g_00863
OG0000149	Syaf.g_01371	Prbi.g_00894
OG0000150	Syaf.g_02645	Prbi.g_00902
OG0000151	Syaf.g_02091	Prbi.g_00961
OG0000152	Syaf.g_01861	Prbi.g_01009
OG0000153	Syaf.g_01904	Prbi.g_01028
OG0000154	Syaf.g_01930	Prbi.g_01060
OG0000155	Syaf.g_01324	Prbi.g_01227
OG0000156	Syaf.g_01270	Prbi.g_01380
OG0000157	Syaf.g_01269	Prbi.g_01381
OG0000158	Syaf.g_00364	Prbi.g_01489
OG0000160	Syaf.g_02418	Prbi.g_01592
OG0000161	Syaf.g_02424	Prbi.g_01598
OG0000162	Syaf.g_02431	Prbi.g_01604
OG0000163	Syaf.g_01105	Prbi.g_01637
OG0000164	Syaf.g_00999	Prbi.g_01811
OG0000165	Syaf.g_01197	Prbi.g_01818
OG0000166	Syaf.g_00133	Prbi.g_01902
OG0000167	Syaf.g_00350	Prbi.g_01968
OG0000168	Syaf.g_00365	Prbi.g_01978
OG0000169	Syaf.g_00376	Prbi.g_01988
OG0000170	Syaf.g_00383	Prbi.g_01990
OG0000171	Syaf.g_00413	Prbi.g_02009
OG0000172	Syaf.g_00419	Prbi.g_02030
OG0000173	Syaf.g_00438	Prbi.g_02045
OG0000174	Syaf.g_00603	Prbi.g_02073
OG0000175	Syaf.g_00531	Prbi.g_02083
OG0000176	Syaf.g_00494	Prbi.g_00004
OG0000177	Syaf.g_00493	Prbi.g_00005
OG0000178	Syaf.g_00492	Prbi.g_00006
OG0000179	Syaf.g_00477	Prbi.g_00016
OG0000180	Syaf.g_00476	Prbi.g_00017
OG0000181	Syaf.g_00475	Prbi.g_00018
OG0000182	Syaf.g_00474	Prbi.g_00019
OG0000183	Syaf.g_00470	Prbi.g_00023
OG0000184	Syaf.g_00664	Prbi.g_00057
OG0000185	Syaf.g_00684	Prbi.g_00060
OG0000186	Syaf.g_00968	Prbi.g_00071
OG0000187	Syaf.g_00966	Prbi.g_00072
OG0000188	Syaf.g_00944	Prbi.g_00089
OG0000189	Syaf.g_00916	Prbi.g_00103
OG0000190	Syaf.g_00914	Prbi.g_00104
OG0000191	Syaf.g_00877	Prbi.g_00125
OG0000192	Syaf.g_00871	Prbi.g_00129
OG0000193	Syaf.g_00832	Prbi.g_00170
OG0000194	Syaf.g_00829	Prbi.g_00173
OG0000195	Syaf.g_00827	Prbi.g_00175
OG0000196	Syaf.g_00816	Prbi.g_00185
OG0000197	Syaf.g_00815	Prbi.g_00186
OG0000198	Syaf.g_00814	Prbi.g_00187
OG0000199	Syaf.g_00806	Prbi.g_00194
OG0000200	Syaf.g_00789	Prbi.g_00208
OG0000201	Syaf.g_00771	Prbi.g_00216
OG0000202	Syaf.g_00770	Prbi.g_00217
OG0000203	Syaf.g_00769	Prbi.g_00218
OG0000204	Syaf.g_00768	Prbi.g_00219
OG0000205	Syaf.g_00761	Prbi.g_00226
OG0000206	Syaf.g_00736	Prbi.g_00231
OG0000207	Syaf.g_00735	Prbi.g_00233
OG0000208	Syaf.g_00734	Prbi.g_00234
OG0000209	Syaf.g_00714	Prbi.g_00243
OG0000210	Syaf.g_00713	Prbi.g_00244
OG0000211	Syaf.g_02791	Prbi.g_00257
OG0000212	Syaf.g_02781	Prbi.g_00264
OG0000213	Syaf.g_00210	Prbi.g_00281
OG0000214	Syaf.g_00226	Prbi.g_00291
OG0000215	Syaf.g_00258	Prbi.g_00316
OG0000216	Syaf.g_00262	Prbi.g_00318
OG0000217	Syaf.g_00266	Prbi.g_00321
OG0000218	Syaf.g_00268	Prbi.g_00323
OG0000219	Syaf.g_00269	Prbi.g_00324
OG0000220	Syaf.g_00270	Prbi.g_00325
OG0000221	Syaf.g_02597, Syaf.g_00273	Prbi.g_00326
OG0000222	Syaf.g_00287	Prbi.g_00334
OG0000223	Syaf.g_00317	Prbi.g_00347
OG0000224	Syaf.g_00324	Prbi.g_00349
OG0000225	Syaf.g_00007	Prbi.g_00370
OG0000226	Syaf.g_00003	Prbi.g_00374
OG0000227	Syaf.g_00001	Prbi.g_00376
OG0000228	Syaf.g_02808	Prbi.g_00379
OG0000229	Syaf.g_01214	Prbi.g_00437
OG0000230	Syaf.g_01216	Prbi.g_00439
OG0000231	Syaf.g_01236	Prbi.g_00450
OG0000232	Syaf.g_02536	Prbi.g_00459
OG0000233	Syaf.g_02528	Prbi.g_00465
OG0000234	Syaf.g_02497	Prbi.g_00479
OG0000235	Syaf.g_02722	Prbi.g_00482
OG0000236	Syaf.g_02707	Prbi.g_00496
OG0000237	Syaf.g_02690	Prbi.g_00509
OG0000238	Syaf.g_02685	Prbi.g_00515
OG0000239	Syaf.g_02669	Prbi.g_00528
OG0000240	Syaf.g_02668	Prbi.g_00529
OG0000241	Syaf.g_02322	Prbi.g_00533
OG0000242	Syaf.g_02656	Prbi.g_00535
OG0000243	Syaf.g_02634	Prbi.g_00546
OG0000244	Syaf.g_02627	Prbi.g_00549
OG0000245	Syaf.g_02625	Prbi.g_00551
OG0000246	Syaf.g_02621	Prbi.g_00555
OG0000247	Syaf.g_02610	Prbi.g_00565
OG0000248	Syaf.g_02607	Prbi.g_00567
OG0000249	Syaf.g_02605	Prbi.g_00569
OG0000250	Syaf.g_02593	Prbi.g_00574
OG0000251	Syaf.g_02568	Prbi.g_00593
OG0000252	Syaf.g_02565	Prbi.g_00596
OG0000253	Syaf.g_02564	Prbi.g_00597
OG0000254	Syaf.g_02371	Prbi.g_00613
OG0000255	Syaf.g_02352	Prbi.g_00619
OG0000256	Syaf.g_02329	Prbi.g_00629
OG0000257	Syaf.g_02323	Prbi.g_00632
OG0000258	Syaf.g_02301	Prbi.g_00646
OG0000259	Syaf.g_02137	Prbi.g_00663
OG0000260	Syaf.g_02134	Prbi.g_00666
OG0000261	Syaf.g_02131	Prbi.g_00668
OG0000262	Syaf.g_02126	Prbi.g_00672
OG0000263	Syaf.g_01585	Prbi.g_00684
OG0000264	Syaf.g_01473	Prbi.g_00694
OG0000265	Syaf.g_01196	Prbi.g_00745
OG0000266	Syaf.g_01967	Prbi.g_00755
OG0000267	Syaf.g_01787	Prbi.g_00766
OG0000268	Syaf.g_00307, Syaf.g_01788	Prbi.g_00767
OG0000269	Syaf.g_02054	Prbi.g_00842
OG0000270	Syaf.g_02051	Prbi.g_00845
OG0000271	Syaf.g_02043	Prbi.g_00853
OG0000272	Syaf.g_02042	Prbi.g_00854
OG0000273	Syaf.g_01392	Prbi.g_00877
OG0000274	Syaf.g_01391	Prbi.g_00878
OG0000275	Syaf.g_01386	Prbi.g_00881
OG0000276	Syaf.g_01379	Prbi.g_00886
OG0000277	Syaf.g_01378	Prbi.g_00887
OG0000278	Syaf.g_01375	Prbi.g_00890
OG0000279	Syaf.g_01367	Prbi.g_00897
OG0000280	Syaf.g_01337	Prbi.g_00898
OG0000281	Syaf.g_01636	Prbi.g_00903
OG0000282	Syaf.g_02101	Prbi.g_00953
OG0000283	Syaf.g_01804	Prbi.g_00986
OG0000284	Syaf.g_01810	Prbi.g_00991
OG0000285	Syaf.g_01842	Prbi.g_00996
OG0000286	Syaf.g_01860	Prbi.g_01008
OG0000287	Syaf.g_01896	Prbi.g_01025
OG0000288	Syaf.g_01929	Prbi.g_01059
OG0000289	Syaf.g_01943	Prbi.g_01070
OG0000290	Syaf.g_01439	Prbi.g_01083
OG0000291	Syaf.g_01441	Prbi.g_01085
OG0000292	Syaf.g_00505	Prbi.g_01136
OG0000293	Syaf.g_01277	Prbi.g_01198
OG0000294	Syaf.g_01278	Prbi.g_01199
OG0000295	Syaf.g_01316	Prbi.g_01219
OG0000296	Syaf.g_01318	Prbi.g_01221
OG0000297	Syaf.g_01607	Prbi.g_01229
OG0000298	Syaf.g_01606	Prbi.g_01230
OG0000299	Syaf.g_01578	Prbi.g_01247
OG0000300	Syaf.g_01571	Prbi.g_01250
OG0000301	Syaf.g_01570	Prbi.g_01251
OG0000302	Syaf.g_01568	Prbi.g_01253
OG0000303	Syaf.g_01559	Prbi.g_01260
OG0000304	Syaf.g_01551	Prbi.g_01264
OG0000305	Syaf.g_01444	Prbi.g_01431
OG0000306	Syaf.g_01332	Prbi.g_01434
OG0000307	Syaf.g_02742	Prbi.g_01448
OG0000308	Syaf.g_02744	Prbi.g_01449
OG0000309	Syaf.g_02749	Prbi.g_01453
OG0000310	Syaf.g_02387	Prbi.g_01574
OG0000311	Syaf.g_02391	Prbi.g_01576
OG0000312	Syaf.g_02397	Prbi.g_01579
OG0000313	Syaf.g_02421	Prbi.g_01595
OG0000314	Syaf.g_02458	Prbi.g_01617
OG0000315	Syaf.g_02468	Prbi.g_01627
OG0000316	Syaf.g_01088	Prbi.g_01647
OG0000317	Syaf.g_01040	Prbi.g_01785
OG0000318	Syaf.g_01032	Prbi.g_01788
OG0000319	Syaf.g_01015	Prbi.g_01801
OG0000320	Syaf.g_01013	Prbi.g_01803
OG0000321	Syaf.g_01012	Prbi.g_01804
OG0000322	Syaf.g_01011	Prbi.g_01805
OG0000323	Syaf.g_00997	Prbi.g_01814
OG0000324	Syaf.g_01164	Prbi.g_01840
OG0000325	Syaf.g_00176	Prbi.g_01849
OG0000326	Syaf.g_00169	Prbi.g_01855
OG0000327	Syaf.g_00138	Prbi.g_01897
OG0000328	Syaf.g_00137	Prbi.g_01898
OG0000329	Syaf.g_00119	Prbi.g_01915
OG0000330	Syaf.g_00118	Prbi.g_01916
OG0000331	Syaf.g_00117	Prbi.g_01917
OG0000332	Syaf.g_00102	Prbi.g_01931
OG0000333	Syaf.g_00099	Prbi.g_01933
OG0000334	Syaf.g_00090	Prbi.g_01941
OG0000335	Syaf.g_00085	Prbi.g_01946
OG0000336	Syaf.g_00081	Prbi.g_01950
OG0000337	Syaf.g_00344	Prbi.g_01966
OG0000338	Syaf.g_00348	Prbi.g_01967
OG0000339	Syaf.g_00355	Prbi.g_01971
OG0000340	Syaf.g_00366	Prbi.g_01979
OG0000341	Syaf.g_00368	Prbi.g_01981
OG0000342	Syaf.g_00369	Prbi.g_01982
OG0000343	Syaf.g_00370	Prbi.g_01983
OG0000344	Syaf.g_00374	Prbi.g_01986
OG0000345	Syaf.g_00384	Prbi.g_01991
OG0000346	Syaf.g_00389	Prbi.g_01995
OG0000347	Syaf.g_00415	Prbi.g_02011
OG0000348	Syaf.g_00427	Prbi.g_02033
OG0000349	Syaf.g_00445	Prbi.g_02050
OG0000350	Syaf.g_00162	Prbi.g_02069
OG0000351	Syaf.g_00528	Prbi.g_02086
OG0000352	Syaf.g_00527	Prbi.g_02087
OG0000353	Syaf.g_00499	Prbi.g_02102
OG0000355	Syaf.g_00497	Prbi.g_00001
OG0000356	Syaf.g_00496	Prbi.g_00002
OG0000357	Syaf.g_00495	Prbi.g_00003
OG0000358	Syaf.g_00491	Prbi.g_00007
OG0000359	Syaf.g_00489	Prbi.g_00008
OG0000360	Syaf.g_00488	Prbi.g_00009
OG0000361	Syaf.g_00487	Prbi.g_00010
OG0000362	Syaf.g_00485	Prbi.g_00012
OG0000363	Syaf.g_00483	Prbi.g_00014
OG0000364	Syaf.g_00482	Prbi.g_00015
OG0000365	Syaf.g_00473	Prbi.g_00020
OG0000366	Syaf.g_00472	Prbi.g_00021
OG0000367	Syaf.g_00471	Prbi.g_00022
OG0000368	Syaf.g_00469	Prbi.g_00024
OG0000369	Syaf.g_00468	Prbi.g_00025
OG0000370	Syaf.g_00467	Prbi.g_00026
OG0000371	Syaf.g_00458	Prbi.g_00032
OG0000372	Syaf.g_00453	Prbi.g_00035
OG0000373	Syaf.g_00452	Prbi.g_00036
OG0000374	Syaf.g_00451	Prbi.g_00037
OG0000375	Syaf.g_00449	Prbi.g_00049
OG0000376	Syaf.g_00447	Prbi.g_00051
OG0000377	Syaf.g_00654	Prbi.g_00056
OG0000378	Syaf.g_00668	Prbi.g_00058
OG0000379	Syaf.g_00686	Prbi.g_00061
OG0000380	Syaf.g_00965	Prbi.g_00073
OG0000381	Syaf.g_00962	Prbi.g_00077
OG0000382	Syaf.g_00945	Prbi.g_00088
OG0000383	Syaf.g_00941	Prbi.g_00090
OG0000384	Syaf.g_00940	Prbi.g_00091
OG0000385	Syaf.g_00939	Prbi.g_00092
OG0000386	Syaf.g_00938	Prbi.g_00093
OG0000387	Syaf.g_00912	Prbi.g_00106
OG0000388	Syaf.g_00908	Prbi.g_00109
OG0000389	Syaf.g_00904	Prbi.g_00113
OG0000390	Syaf.g_00883	Prbi.g_00120
OG0000391	Syaf.g_00878	Prbi.g_00124
OG0000392	Syaf.g_00872	Prbi.g_00128
OG0000393	Syaf.g_00870	Prbi.g_00130
OG0000394	Syaf.g_00869	Prbi.g_00131
OG0000395	Syaf.g_00868	Prbi.g_00132
OG0000396	Syaf.g_00865	Prbi.g_00135
OG0000397	Syaf.g_00863	Prbi.g_00137
OG0000398	Syaf.g_00858	Prbi.g_00139
OG0000399	Syaf.g_00857	Prbi.g_00140
OG0000400	Syaf.g_00856	Prbi.g_00141
OG0000401	Syaf.g_00855	Prbi.g_00142
OG0000402	Syaf.g_00852	Prbi.g_00144
OG0000403	Syaf.g_00851	Prbi.g_00145
OG0000404	Syaf.g_00850	Prbi.g_00146
OG0000405	Syaf.g_00835	Prbi.g_00150
OG0000406	Syaf.g_00831	Prbi.g_00171
OG0000407	Syaf.g_00830	Prbi.g_00172
OG0000408	Syaf.g_00828	Prbi.g_00174
OG0000409	Syaf.g_00826	Prbi.g_00176
OG0000410	Syaf.g_00825	Prbi.g_00177
OG0000411	Syaf.g_00824	Prbi.g_00178
OG0000412	Syaf.g_00823	Prbi.g_00179
OG0000413	Syaf.g_00821	Prbi.g_00180
OG0000414	Syaf.g_00820	Prbi.g_00181
OG0000415	Syaf.g_00819	Prbi.g_00182
OG0000416	Syaf.g_00818	Prbi.g_00183
OG0000417	Syaf.g_00817	Prbi.g_00184
OG0000418	Syaf.g_00812	Prbi.g_00189
OG0000419	Syaf.g_00810	Prbi.g_00191
OG0000420	Syaf.g_00808	Prbi.g_00192
OG0000421	Syaf.g_00803	Prbi.g_00197
OG0000422	Syaf.g_00802	Prbi.g_00198
OG0000423	Syaf.g_00801	Prbi.g_00199
OG0000424	Syaf.g_00800	Prbi.g_00200
OG0000425	Syaf.g_00799	Prbi.g_00201
OG0000426	Syaf.g_00798	Prbi.g_00202
OG0000427	Syaf.g_00797	Prbi.g_00203
OG0000428	Syaf.g_00794	Prbi.g_00205
OG0000429	Syaf.g_00792	Prbi.g_00206
OG0000430	Syaf.g_00790	Prbi.g_00207
OG0000431	Syaf.g_00786	Prbi.g_00209
OG0000432	Syaf.g_00779	Prbi.g_00212
OG0000433	Syaf.g_00777	Prbi.g_00213
OG0000434	Syaf.g_00776	Prbi.g_00214
OG0000435	Syaf.g_00772	Prbi.g_00215
OG0000436	Syaf.g_00767	Prbi.g_00220
OG0000437	Syaf.g_00766	Prbi.g_00221
OG0000438	Syaf.g_00765	Prbi.g_00222
OG0000439	Syaf.g_00763	Prbi.g_00224
OG0000440	Syaf.g_00762	Prbi.g_00225
OG0000441	Syaf.g_00756	Prbi.g_00228
OG0000442	Syaf.g_00743	Prbi.g_00229
OG0000443	Syaf.g_00739	Prbi.g_00230
OG0000444	Syaf.g_00733	Prbi.g_00235
OG0000445	Syaf.g_00729	Prbi.g_00236
OG0000446	Syaf.g_00728	Prbi.g_00237
OG0000447	Syaf.g_00725	Prbi.g_00238
OG0000448	Syaf.g_00724	Prbi.g_00239
OG0000449	Syaf.g_00723	Prbi.g_00240
OG0000450	Syaf.g_00717	Prbi.g_00241
OG0000451	Syaf.g_00716	Prbi.g_00242
OG0000452	Syaf.g_00712	Prbi.g_00245
OG0000453	Syaf.g_00711	Prbi.g_00246
OG0000454	Syaf.g_00710	Prbi.g_00247
OG0000455	Syaf.g_00709	Prbi.g_00248
OG0000456	Syaf.g_00708	Prbi.g_00249
OG0000457	Syaf.g_00706	Prbi.g_00250
OG0000458	Syaf.g_00705	Prbi.g_00251
OG0000459	Syaf.g_00704	Prbi.g_00252
OG0000460	Syaf.g_02789	Prbi.g_00259
OG0000461	Syaf.g_00183	Prbi.g_00266
OG0000462	Syaf.g_00186	Prbi.g_00268
OG0000463	Syaf.g_00187	Prbi.g_00269
OG0000464	Syaf.g_00188	Prbi.g_00270
OG0000465	Syaf.g_00190	Prbi.g_00271
OG0000466	Syaf.g_00194	Prbi.g_00274
OG0000467	Syaf.g_00196	Prbi.g_00275
OG0000468	Syaf.g_00206	Prbi.g_00277
OG0000469	Syaf.g_00220	Prbi.g_00286
OG0000470	Syaf.g_00222	Prbi.g_00288
OG0000471	Syaf.g_00223	Prbi.g_00289
OG0000472	Syaf.g_00225	Prbi.g_00290
OG0000473	Syaf.g_00227	Prbi.g_00292
OG0000474	Syaf.g_00228	Prbi.g_00293
OG0000475	Syaf.g_00229	Prbi.g_00294
OG0000476	Syaf.g_00231	Prbi.g_00295
OG0000477	Syaf.g_00237	Prbi.g_00299
OG0000478	Syaf.g_00238	Prbi.g_00300
OG0000479	Syaf.g_00239	Prbi.g_00301
OG0000480	Syaf.g_00247	Prbi.g_00306
OG0000481	Syaf.g_00249	Prbi.g_00308
OG0000482	Syaf.g_00250	Prbi.g_00309
OG0000483	Syaf.g_00254	Prbi.g_00312
OG0000484	Syaf.g_00255	Prbi.g_00313
OG0000485	Syaf.g_00256	Prbi.g_00314
OG0000486	Syaf.g_00257	Prbi.g_00315
OG0000487	Syaf.g_00263	Prbi.g_00319
OG0000488	Syaf.g_00267	Prbi.g_00322
OG0000489	Syaf.g_00274	Prbi.g_00327
OG0000490	Syaf.g_00284	Prbi.g_00332
OG0000491	Syaf.g_00285	Prbi.g_00333
OG0000492	Syaf.g_00288	Prbi.g_00335
OG0000493	Syaf.g_00289	Prbi.g_00336
OG0000494	Syaf.g_00290	Prbi.g_00337
OG0000495	Syaf.g_00291	Prbi.g_00338
OG0000496	Syaf.g_00292	Prbi.g_00339
OG0000497	Syaf.g_00293	Prbi.g_00340
OG0000498	Syaf.g_00294	Prbi.g_00341
OG0000499	Syaf.g_00295	Prbi.g_00342
OG0000500	Syaf.g_00296	Prbi.g_00343
OG0000501	Syaf.g_00299	Prbi.g_00345
OG0000502	Syaf.g_00319	Prbi.g_00348
OG0000503	Syaf.g_00023	Prbi.g_00358
OG0000504	Syaf.g_00021	Prbi.g_00359
OG0000505	Syaf.g_00020	Prbi.g_00360
OG0000506	Syaf.g_00018	Prbi.g_00362
OG0000507	Syaf.g_00012	Prbi.g_00365
OG0000508	Syaf.g_00008	Prbi.g_00369
OG0000509	Syaf.g_00006	Prbi.g_00371
OG0000510	Syaf.g_00005	Prbi.g_00372
OG0000511	Syaf.g_00004	Prbi.g_00373
OG0000512	Syaf.g_00002	Prbi.g_00375
OG0000513	Syaf.g_02803	Prbi.g_00382
OG0000514	Syaf.g_02796	Prbi.g_00432
OG0000515	Syaf.g_02795	Prbi.g_00433
OG0000516	Syaf.g_01219	Prbi.g_00434
OG0000517	Syaf.g_01213	Prbi.g_00436
OG0000518	Syaf.g_01230	Prbi.g_00447
OG0000519	Syaf.g_01231	Prbi.g_00448
OG0000520	Syaf.g_01235	Prbi.g_00449
OG0000521	Syaf.g_02542	Prbi.g_00454
OG0000522	Syaf.g_02538	Prbi.g_00456
OG0000523	Syaf.g_02537	Prbi.g_00457
OG0000524	Syaf.g_02531	Prbi.g_00463
OG0000525	Syaf.g_02507	Prbi.g_00466
OG0000526	Syaf.g_02504	Prbi.g_00467
OG0000527	Syaf.g_02500	Prbi.g_00476
OG0000528	Syaf.g_02728	Prbi.g_00481
OG0000529	Syaf.g_02720	Prbi.g_00484
OG0000530	Syaf.g_02717	Prbi.g_00487
OG0000531	Syaf.g_02716	Prbi.g_00488
OG0000532	Syaf.g_02713	Prbi.g_00490
OG0000533	Syaf.g_02712	Prbi.g_00491
OG0000534	Syaf.g_02711	Prbi.g_00492
OG0000535	Syaf.g_02710	Prbi.g_00493
OG0000536	Syaf.g_02709	Prbi.g_00494
OG0000537	Syaf.g_02708	Prbi.g_00495
OG0000538	Syaf.g_02697	Prbi.g_00503
OG0000539	Syaf.g_02696	Prbi.g_00504
OG0000540	Syaf.g_02695	Prbi.g_00505
OG0000541	Syaf.g_02694	Prbi.g_00506
