Orthogroup	Syaf	Prah
OG0000139	Syaf.g_02648	Prah.g_01495
OG0000140	Syaf.g_02646	Prah.g_01489
OG0000141	Syaf.g_02375	Prah.g_01393
OG0000142	Syaf.g_02310	Prah.g_00501
OG0000143	Syaf.g_02306	Prah.g_00497
OG0000144	Syaf.g_01735	Prah.g_00473
OG0000145	Syaf.g_02699	Prah.g_01543
OG0000146	Syaf.g_01851	Prah.g_00787
OG0000147	Syaf.g_01850	Prah.g_00786
OG0000148	Syaf.g_02028	Prah.g_00649
OG0000149	Syaf.g_01371	Prah.g_00591
OG0000150	Syaf.g_02645	Prah.g_00568
OG0000151	Syaf.g_02091	Prah.g_00718
OG0000152	Syaf.g_01861	Prah.g_00796
OG0000153	Syaf.g_01904	Prah.g_00826
OG0000154	Syaf.g_01930	Prah.g_00852
OG0000155	Syaf.g_01324	Prah.g_01291
OG0000156	Syaf.g_01270	Prah.g_01349
OG0000157	Syaf.g_01269	Prah.g_01350
OG0000158	Syaf.g_00364	Prah.g_02242
OG0000160	Syaf.g_02418	Prah.g_00407
OG0000161	Syaf.g_02424	Prah.g_00399
OG0000162	Syaf.g_02431	Prah.g_00391
OG0000163	Syaf.g_01105	Prah.g_01619
OG0000164	Syaf.g_00999	Prah.g_01705
OG0000165	Syaf.g_01197	Prah.g_01716
OG0000166	Syaf.g_00133	Prah.g_02033
OG0000167	Syaf.g_00350	Prah.g_02230
OG0000168	Syaf.g_00365	Prah.g_02243
OG0000169	Syaf.g_00376	Prah.g_00163
OG0000170	Syaf.g_00383	Prah.g_00155
OG0000171	Syaf.g_00413	Prah.g_00126
OG0000172	Syaf.g_00419	Prah.g_00084
OG0000173	Syaf.g_00438	Prah.g_00061
OG0000174	Syaf.g_00603	Prah.g_02541
OG0000175	Syaf.g_00531	Prah.g_02575
OG0000176	Syaf.g_00494	Prah.g_00005
OG0000177	Syaf.g_00493	Prah.g_00006
OG0000178	Syaf.g_00492	Prah.g_00007
OG0000179	Syaf.g_00477	Prah.g_00022
OG0000180	Syaf.g_00476	Prah.g_00023
OG0000181	Syaf.g_00475	Prah.g_00024
OG0000182	Syaf.g_00474	Prah.g_00025
OG0000183	Syaf.g_00470	Prah.g_00029
OG0000184	Syaf.g_00664	Prah.g_02478
OG0000185	Syaf.g_00684	Prah.g_02458
OG0000186	Syaf.g_00968	Prah.g_01830
OG0000187	Syaf.g_00966	Prah.g_01833
OG0000188	Syaf.g_00944	Prah.g_01860
OG0000189	Syaf.g_00916	Prah.g_01884
OG0000190	Syaf.g_00914	Prah.g_01886
OG0000191	Syaf.g_00877	Prah.g_00188
OG0000192	Syaf.g_00871	Prah.g_00176, Prah.g_00180
OG0000193	Syaf.g_00832	Prah.g_02283
OG0000194	Syaf.g_00829	Prah.g_02286
OG0000195	Syaf.g_00827	Prah.g_02288
OG0000196	Syaf.g_00816	Prah.g_02299
OG0000197	Syaf.g_00815	Prah.g_02300
OG0000198	Syaf.g_00814	Prah.g_02301
OG0000199	Syaf.g_00806	Prah.g_02308
OG0000200	Syaf.g_00789	Prah.g_02324
OG0000201	Syaf.g_00771	Prah.g_02352
OG0000202	Syaf.g_00770	Prah.g_02353
OG0000203	Syaf.g_00769	Prah.g_02354
OG0000204	Syaf.g_00768	Prah.g_02355
OG0000205	Syaf.g_00761	Prah.g_02362
OG0000206	Syaf.g_00736	Prah.g_02371
OG0000207	Syaf.g_00735	Prah.g_02420
OG0000208	Syaf.g_00734	Prah.g_02419
OG0000209	Syaf.g_00714	Prah.g_02400
OG0000210	Syaf.g_00713	Prah.g_02399
OG0000211	Syaf.g_02791	Prah.g_01782
OG0000212	Syaf.g_02781	Prah.g_01772
OG0000213	Syaf.g_00210	Prah.g_02101
OG0000214	Syaf.g_00226	Prah.g_02118
OG0000215	Syaf.g_00258	Prah.g_02148
OG0000217	Syaf.g_00266	Prah.g_02155
OG0000218	Syaf.g_00268	Prah.g_02157
OG0000219	Syaf.g_00269	Prah.g_02158
OG0000220	Syaf.g_00270	Prah.g_02159
OG0000221	Syaf.g_02597, Syaf.g_00273	Prah.g_02166
OG0000222	Syaf.g_00287	Prah.g_02174
OG0000223	Syaf.g_00317	Prah.g_02197
OG0000224	Syaf.g_00324	Prah.g_02207
OG0000225	Syaf.g_00007	Prah.g_01921
OG0000226	Syaf.g_00003	Prah.g_01917
OG0000227	Syaf.g_00001	Prah.g_01915
OG0000228	Syaf.g_02808	Prah.g_00204
OG0000229	Syaf.g_01214	Prah.g_00230
OG0000230	Syaf.g_01216	Prah.g_00232
OG0000231	Syaf.g_01236	Prah.g_00251
OG0000232	Syaf.g_02536	Prah.g_00261
OG0000233	Syaf.g_02528	Prah.g_00294
OG0000234	Syaf.g_02497	Prah.g_00313, Prah.g_00314
OG0000235	Syaf.g_02722	Prah.g_01567
OG0000236	Syaf.g_02707	Prah.g_01551
OG0000237	Syaf.g_02690	Prah.g_01534
OG0000238	Syaf.g_02685	Prah.g_01529
OG0000239	Syaf.g_02669	Prah.g_01513
OG0000240	Syaf.g_02668	Prah.g_01512
OG0000241	Syaf.g_02322	Prah.g_01094
OG0000242	Syaf.g_02656	Prah.g_00108, Prah.g_01503
OG0000243	Syaf.g_02634	Prah.g_01476
OG0000244	Syaf.g_02627	Prah.g_01472
OG0000245	Syaf.g_02625	Prah.g_01469
OG0000246	Syaf.g_02621	Prah.g_01465
OG0000247	Syaf.g_02610	Prah.g_01454
OG0000248	Syaf.g_02607	Prah.g_01451
OG0000249	Syaf.g_02605	Prah.g_01449
OG0000250	Syaf.g_02593	Prah.g_01443
OG0000251	Syaf.g_02568	Prah.g_01417
OG0000252	Syaf.g_02565	Prah.g_01414
OG0000253	Syaf.g_02564	Prah.g_01408
OG0000254	Syaf.g_02371	Prah.g_01389
OG0000255	Syaf.g_02352	Prah.g_00530
OG0000256	Syaf.g_02329	Prah.g_00516
OG0000257	Syaf.g_02323	Prah.g_00509
OG0000258	Syaf.g_02301	Prah.g_00486
OG0000259	Syaf.g_02137	Prah.g_00457
OG0000260	Syaf.g_02134	Prah.g_00454
OG0000261	Syaf.g_02131	Prah.g_00451
OG0000262	Syaf.g_02126	Prah.g_00445
OG0000263	Syaf.g_01585	Prah.g_02413
OG0000264	Syaf.g_01473	Prah.g_00974
OG0000265	Syaf.g_01196	Prah.g_00887
OG0000266	Syaf.g_01967	Prah.g_00876
OG0000267	Syaf.g_01787	Prah.g_00751
OG0000268	Syaf.g_01788	Prah.g_00752
OG0000269	Syaf.g_02054	Prah.g_00672
OG0000270	Syaf.g_02051	Prah.g_00669
OG0000271	Syaf.g_02043	Prah.g_00661
OG0000272	Syaf.g_02042	Prah.g_00660
OG0000273	Syaf.g_01392	Prah.g_00609
OG0000274	Syaf.g_01391	Prah.g_00608
OG0000275	Syaf.g_01386	Prah.g_00605
OG0000276	Syaf.g_01379	Prah.g_00599
OG0000277	Syaf.g_01378	Prah.g_00598
OG0000278	Syaf.g_01375	Prah.g_00595
OG0000279	Syaf.g_01367	Prah.g_00587
OG0000280	Syaf.g_01337	Prah.g_00581
OG0000281	Syaf.g_01636	Prah.g_00566
OG0000282	Syaf.g_02101	Prah.g_00731
OG0000283	Syaf.g_01804	Prah.g_00761
OG0000284	Syaf.g_01810	Prah.g_00767
OG0000285	Syaf.g_01842	Prah.g_01178
OG0000286	Syaf.g_01860	Prah.g_00795
OG0000287	Syaf.g_01896	Prah.g_01131
OG0000288	Syaf.g_01929	Prah.g_00851
OG0000289	Syaf.g_01943	Prah.g_00864
OG0000290	Syaf.g_01439	Prah.g_00912
OG0000291	Syaf.g_01441	Prah.g_00914
OG0000292	Syaf.g_00505	Prah.g_02597
OG0000293	Syaf.g_01277	Prah.g_01336
OG0000294	Syaf.g_01278	Prah.g_01335
OG0000295	Syaf.g_01316	Prah.g_01298
OG0000296	Syaf.g_01318	Prah.g_01296
OG0000297	Syaf.g_01607	Prah.g_01259
OG0000298	Syaf.g_01606	Prah.g_01258
OG0000299	Syaf.g_01578	Prah.g_01268
OG0000300	Syaf.g_01571	Prah.g_01275
OG0000301	Syaf.g_01570	Prah.g_01276
OG0000302	Syaf.g_01568	Prah.g_01279
OG0000303	Syaf.g_01559	Prah.g_01289
OG0000304	Syaf.g_01551	Prah.g_01237, Prah.g_01238
OG0000305	Syaf.g_01444	Prah.g_00918
OG0000306	Syaf.g_01332	Prah.g_00560
OG0000307	Syaf.g_02742	Prah.g_01584
OG0000308	Syaf.g_02744	Prah.g_01586
OG0000309	Syaf.g_02749	Prah.g_01590
OG0000310	Syaf.g_02387	Prah.g_00428
OG0000311	Syaf.g_02391	Prah.g_00424
OG0000312	Syaf.g_02397	Prah.g_00420
OG0000313	Syaf.g_02421	Prah.g_00402
OG0000314	Syaf.g_02458	Prah.g_00371
OG0000315	Syaf.g_02468	Prah.g_00361
OG0000316	Syaf.g_01088	Prah.g_01631
OG0000317	Syaf.g_01040	Prah.g_01672
OG0000318	Syaf.g_01032	Prah.g_01677
OG0000319	Syaf.g_01015	Prah.g_01694
OG0000320	Syaf.g_01013	Prah.g_01696
OG0000321	Syaf.g_01012	Prah.g_01697
OG0000322	Syaf.g_01011	Prah.g_01698
OG0000323	Syaf.g_00997	Prah.g_01710
OG0000324	Syaf.g_01164	Prah.g_01744
OG0000325	Syaf.g_00176	Prah.g_02071
OG0000326	Syaf.g_00169	Prah.g_02064
OG0000327	Syaf.g_00138	Prah.g_02038
OG0000328	Syaf.g_00137	Prah.g_02037
OG0000329	Syaf.g_00119	Prah.g_02020
OG0000330	Syaf.g_00118	Prah.g_02019
OG0000331	Syaf.g_00117	Prah.g_02018
OG0000332	Syaf.g_00102	Prah.g_02003
OG0000333	Syaf.g_00099	Prah.g_02001
OG0000334	Syaf.g_00090	Prah.g_01991
OG0000335	Syaf.g_00085	Prah.g_01986
OG0000336	Syaf.g_00081	Prah.g_01982
OG0000337	Syaf.g_00344	Prah.g_02224
OG0000338	Syaf.g_00348	Prah.g_02227
OG0000339	Syaf.g_00355	Prah.g_02234
OG0000340	Syaf.g_00366	Prah.g_02244
OG0000341	Syaf.g_00368	Prah.g_02246
OG0000342	Syaf.g_00369	Prah.g_02247
OG0000343	Syaf.g_00370	Prah.g_00168
OG0000344	Syaf.g_00374	Prah.g_00165
OG0000345	Syaf.g_00384	Prah.g_00154
OG0000346	Syaf.g_00389	Prah.g_00149
OG0000347	Syaf.g_00415	Prah.g_00089
OG0000348	Syaf.g_00427	Prah.g_00078
OG0000349	Syaf.g_00445	Prah.g_00053
OG0000350	Syaf.g_00162	Prah.g_02533
OG0000351	Syaf.g_00528	Prah.g_02578
OG0000352	Syaf.g_00527	Prah.g_02579
OG0000353	Syaf.g_00499	Prah.g_02603
OG0000354	Syaf.g_02680	Prah.g_01523
OG0000354	Syaf.g_00479	Prah.g_00020
OG0000355	Syaf.g_00497	Prah.g_00002
OG0000356	Syaf.g_00496	Prah.g_00003
OG0000357	Syaf.g_00495	Prah.g_00004
OG0000358	Syaf.g_00491	Prah.g_00008
OG0000359	Syaf.g_00489	Prah.g_00010
OG0000360	Syaf.g_00488	Prah.g_00011
OG0000361	Syaf.g_00487	Prah.g_00012
OG0000362	Syaf.g_00485	Prah.g_00014
OG0000363	Syaf.g_00483	Prah.g_00016
OG0000364	Syaf.g_00482	Prah.g_00017
OG0000365	Syaf.g_00473	Prah.g_00026
OG0000366	Syaf.g_00472	Prah.g_00027
OG0000367	Syaf.g_00471	Prah.g_00028
OG0000368	Syaf.g_00469	Prah.g_00030
OG0000369	Syaf.g_00468	Prah.g_00031
OG0000370	Syaf.g_00467	Prah.g_00032
OG0000371	Syaf.g_00458	Prah.g_00041
OG0000372	Syaf.g_00453	Prah.g_00046
OG0000373	Syaf.g_00452	Prah.g_00047
OG0000374	Syaf.g_00451	Prah.g_00048
OG0000375	Syaf.g_00449	Prah.g_00049
OG0000376	Syaf.g_00447	Prah.g_00051
OG0000377	Syaf.g_00654	Prah.g_02485
OG0000378	Syaf.g_00668	Prah.g_02471
OG0000379	Syaf.g_00686	Prah.g_02457
OG0000380	Syaf.g_00965	Prah.g_01834
OG0000381	Syaf.g_00962	Prah.g_01839
OG0000382	Syaf.g_00945	Prah.g_01859
OG0000383	Syaf.g_00941	Prah.g_01861
OG0000384	Syaf.g_00940	Prah.g_01862
OG0000385	Syaf.g_00939	Prah.g_01863
OG0000386	Syaf.g_00938	Prah.g_01864
OG0000387	Syaf.g_00912	Prah.g_01888
OG0000388	Syaf.g_00908	Prah.g_01892
OG0000389	Syaf.g_00904	Prah.g_01896
OG0000390	Syaf.g_00883	Prah.g_00194
OG0000391	Syaf.g_00878	Prah.g_00189
OG0000392	Syaf.g_00872	Prah.g_00183
OG0000393	Syaf.g_00870	Prah.g_00175
OG0000394	Syaf.g_00869	Prah.g_00174
OG0000395	Syaf.g_00868	Prah.g_00173
OG0000396	Syaf.g_00865	Prah.g_02252
OG0000397	Syaf.g_00863	Prah.g_02254
OG0000398	Syaf.g_00858	Prah.g_02259
OG0000399	Syaf.g_00857	Prah.g_02260
OG0000400	Syaf.g_00856	Prah.g_02261
OG0000401	Syaf.g_00855	Prah.g_02262
OG0000402	Syaf.g_00852	Prah.g_02264
OG0000403	Syaf.g_00851	Prah.g_02265
OG0000405	Syaf.g_00835	Prah.g_02280
OG0000406	Syaf.g_00831	Prah.g_02284
OG0000407	Syaf.g_00830	Prah.g_02285
OG0000408	Syaf.g_00828	Prah.g_02287
OG0000409	Syaf.g_00826	Prah.g_02289
OG0000410	Syaf.g_00825	Prah.g_02290
OG0000411	Syaf.g_00824	Prah.g_02291
OG0000412	Syaf.g_00823	Prah.g_02292
OG0000413	Syaf.g_00821	Prah.g_02294
OG0000414	Syaf.g_00820	Prah.g_02295
OG0000415	Syaf.g_00819	Prah.g_02296
OG0000416	Syaf.g_00818	Prah.g_02297
OG0000417	Syaf.g_00817	Prah.g_02298
OG0000418	Syaf.g_00812	Prah.g_02303
OG0000419	Syaf.g_00810	Prah.g_02305
OG0000420	Syaf.g_00808	Prah.g_02306
OG0000421	Syaf.g_00803	Prah.g_02310
OG0000422	Syaf.g_00802	Prah.g_02311
OG0000423	Syaf.g_00801	Prah.g_02312
OG0000424	Syaf.g_00800	Prah.g_02313
OG0000425	Syaf.g_00799	Prah.g_02314
OG0000426	Syaf.g_00798	Prah.g_02315
OG0000427	Syaf.g_00797	Prah.g_02316
OG0000428	Syaf.g_00794	Prah.g_00709
OG0000429	Syaf.g_00792	Prah.g_02321
OG0000430	Syaf.g_00790	Prah.g_02323
OG0000431	Syaf.g_00786	Prah.g_02334
OG0000432	Syaf.g_00779	Prah.g_02341
OG0000433	Syaf.g_00777	Prah.g_02344
OG0000434	Syaf.g_00776	Prah.g_02345
OG0000435	Syaf.g_00772	Prah.g_02350
OG0000436	Syaf.g_00767	Prah.g_02356
OG0000437	Syaf.g_00766	Prah.g_02357
OG0000438	Syaf.g_00765	Prah.g_02358
OG0000439	Syaf.g_00763	Prah.g_02360
OG0000440	Syaf.g_00762	Prah.g_02361
OG0000441	Syaf.g_00756	Prah.g_02364
OG0000442	Syaf.g_00743	Prah.g_02365
OG0000443	Syaf.g_00739	Prah.g_02370
OG0000444	Syaf.g_00733	Prah.g_02418
OG0000445	Syaf.g_00729	Prah.g_02417
OG0000446	Syaf.g_00728	Prah.g_02415
OG0000447	Syaf.g_00725	Prah.g_02411
OG0000448	Syaf.g_00724	Prah.g_02410
OG0000449	Syaf.g_00723	Prah.g_02409
OG0000450	Syaf.g_00717	Prah.g_02403
OG0000451	Syaf.g_00716	Prah.g_02402
OG0000452	Syaf.g_00712	Prah.g_02398
OG0000453	Syaf.g_00711	Prah.g_02397
OG0000454	Syaf.g_00710	Prah.g_02396
OG0000455	Syaf.g_00709	Prah.g_02395
OG0000456	Syaf.g_00708	Prah.g_02394
OG0000457	Syaf.g_00706	Prah.g_02392
OG0000458	Syaf.g_00705	Prah.g_02391
OG0000459	Syaf.g_00704	Prah.g_02390
OG0000460	Syaf.g_02789	Prah.g_01781
OG0000461	Syaf.g_00183	Prah.g_02074
OG0000462	Syaf.g_00186	Prah.g_02078
OG0000463	Syaf.g_00187	Prah.g_02079
OG0000464	Syaf.g_00188	Prah.g_02080
OG0000465	Syaf.g_00190	Prah.g_02082
OG0000466	Syaf.g_00194	Prah.g_02087
OG0000467	Syaf.g_00196	Prah.g_02089
OG0000468	Syaf.g_00206	Prah.g_02098
OG0000469	Syaf.g_00220	Prah.g_02111
OG0000470	Syaf.g_00222	Prah.g_02114
OG0000471	Syaf.g_00223	Prah.g_02115
OG0000472	Syaf.g_00225	Prah.g_02117
OG0000473	Syaf.g_00227	Prah.g_02119
OG0000474	Syaf.g_00228	Prah.g_02120
OG0000475	Syaf.g_00229	Prah.g_02121
OG0000476	Syaf.g_00231	Prah.g_02123
OG0000477	Syaf.g_00237	Prah.g_02128
OG0000478	Syaf.g_00238	Prah.g_02129
OG0000479	Syaf.g_00239	Prah.g_02130
OG0000480	Syaf.g_00247	Prah.g_02137
OG0000481	Syaf.g_00249	Prah.g_02139
OG0000482	Syaf.g_00250	Prah.g_02140
OG0000483	Syaf.g_00254	Prah.g_02144
OG0000484	Syaf.g_00255	Prah.g_02145
OG0000485	Syaf.g_00256	Prah.g_02146
OG0000486	Syaf.g_00257	Prah.g_02147
OG0000487	Syaf.g_00263	Prah.g_02152
OG0000488	Syaf.g_00267	Prah.g_02156
OG0000489	Syaf.g_00274	Prah.g_02167
OG0000490	Syaf.g_00284	Prah.g_02172
OG0000491	Syaf.g_00285	Prah.g_02173
OG0000492	Syaf.g_00288	Prah.g_02175
OG0000493	Syaf.g_00289	Prah.g_02176
OG0000494	Syaf.g_00290	Prah.g_02177
OG0000495	Syaf.g_00291	Prah.g_02178
OG0000496	Syaf.g_00292	Prah.g_02179
OG0000497	Syaf.g_00293	Prah.g_02180
OG0000498	Syaf.g_00294	Prah.g_02181
OG0000499	Syaf.g_00295	Prah.g_02182
OG0000500	Syaf.g_00296	Prah.g_02183
OG0000501	Syaf.g_00299	Prah.g_02186
OG0000502	Syaf.g_00319	Prah.g_02199
OG0000503	Syaf.g_00023	Prah.g_01940
OG0000504	Syaf.g_00021	Prah.g_01938
OG0000505	Syaf.g_00020	Prah.g_01937
OG0000506	Syaf.g_00018	Prah.g_01935
OG0000507	Syaf.g_00012	Prah.g_01930
OG0000508	Syaf.g_00008	Prah.g_01922
OG0000509	Syaf.g_00006	Prah.g_01920
OG0000510	Syaf.g_00005	Prah.g_01919
OG0000511	Syaf.g_00004	Prah.g_01918
OG0000512	Syaf.g_00002	Prah.g_01916
OG0000513	Syaf.g_02803	Prah.g_00209
OG0000514	Syaf.g_02796	Prah.g_00218
OG0000515	Syaf.g_02795	Prah.g_00219
OG0000516	Syaf.g_01219	Prah.g_00221
OG0000517	Syaf.g_01213	Prah.g_00229
OG0000518	Syaf.g_01230	Prah.g_00241
OG0000519	Syaf.g_01231	Prah.g_00242
OG0000520	Syaf.g_01235	Prah.g_00247
OG0000521	Syaf.g_02542	Prah.g_00255
OG0000522	Syaf.g_02538	Prah.g_00257
OG0000523	Syaf.g_02537	Prah.g_00258
OG0000524	Syaf.g_02531	Prah.g_00290
OG0000525	Syaf.g_02507	Prah.g_00304
OG0000526	Syaf.g_02504	Prah.g_00306
OG0000527	Syaf.g_02500	Prah.g_00310
OG0000528	Syaf.g_02728	Prah.g_01572
OG0000529	Syaf.g_02720	Prah.g_01565
OG0000530	Syaf.g_02717	Prah.g_01562
OG0000531	Syaf.g_02716	Prah.g_01561
OG0000532	Syaf.g_02713	Prah.g_01558
OG0000533	Syaf.g_02712	Prah.g_01556
OG0000534	Syaf.g_02711	Prah.g_01555
OG0000535	Syaf.g_02710	Prah.g_01554
OG0000536	Syaf.g_02709	Prah.g_01553
OG0000537	Syaf.g_02708	Prah.g_01552
OG0000538	Syaf.g_02697	Prah.g_01541
OG0000539	Syaf.g_02696	Prah.g_01540
OG0000540	Syaf.g_02695	Prah.g_01539
OG0000541	Syaf.g_02694	Prah.g_01538
OG0000542	Syaf.g_02691	Prah.g_01535
OG0000543	Syaf.g_02689	Prah.g_01533
OG0000544	Syaf.g_02688	Prah.g_01532
OG0000545	Syaf.g_02686	Prah.g_01530
OG0000546	Syaf.g_02684	Prah.g_01528
OG0000547	Syaf.g_02682	Prah.g_01526
OG0000548	Syaf.g_02681	Prah.g_01525
OG0000549	Syaf.g_02676	Prah.g_01519
OG0000550	Syaf.g_02671	Prah.g_01514
OG0000551	Syaf.g_02666	Prah.g_01510
OG0000552	Syaf.g_02665	Prah.g_01509
OG0000553	Syaf.g_02663	Prah.g_01505
OG0000554	Syaf.g_02653	Prah.g_01500
OG0000555	Syaf.g_02635	Prah.g_01480
OG0000556	Syaf.g_02630	Prah.g_01474
OG0000557	Syaf.g_02628	Prah.g_01473
OG0000558	Syaf.g_02626	Prah.g_01470
OG0000559	Syaf.g_02622	Prah.g_01466
OG0000560	Syaf.g_02619	Prah.g_01463
OG0000561	Syaf.g_02618	Prah.g_01462
OG0000562	Syaf.g_02617	Prah.g_01461
OG0000563	Syaf.g_02616	Prah.g_01460
OG0000564	Syaf.g_02615	Prah.g_01459
OG0000565	Syaf.g_02612	Prah.g_01457
