Orthogroup	Syaf	Prat
OG0000057	Syaf.g_01665, Syaf.g_01452	Prat.g_00775
OG0000058	Syaf.g_00316	Prat.g_01311
OG0000059	Syaf.g_00143	Prat.g_01679
OG0000061	Syaf.g_01288	Prat.g_01156
OG0000062	Syaf.g_01055	Prat.g_01442
OG0000063	Syaf.g_00457	Prat.g_01516
OG0000064	Syaf.g_01063, Syaf.g_02253, Syaf.g_01667	Prat.g_00064
OG0000065	Syaf.g_00903	Prat.g_00104
OG0000066	Syaf.g_02643	Prat.g_01499
OG0000067	Syaf.g_02049	Prat.g_01037
OG0000068	Syaf.g_02733	Prat.g_01291
OG0000070	Syaf.g_01237	Prat.g_00412
OG0000071	Syaf.g_01254	Prat.g_01249
OG0000072	Syaf.g_00805	Prat.g_00172
OG0000073	Syaf.g_02700	Prat.g_00462
OG0000075	Syaf.g_00353	Prat.g_01761
OG0000076	Syaf.g_00388	Prat.g_01788
OG0000078	Syaf.g_02782	Prat.g_00245
OG0000079	Syaf.g_00197	Prat.g_00258
OG0000081	Syaf.g_02776	Prat.g_00493
OG0000082	Syaf.g_02576	Prat.g_01507
OG0000084	Syaf.g_02409	Prat.g_01348
OG0000085	Syaf.g_01048	Prat.g_01584
OG0000086	Syaf.g_00932	Prat.g_00086
OG0000087	Syaf.g_00848	Prat.g_00138
OG0000088	Syaf.g_00811	Prat.g_00166
OG0000089	Syaf.g_02807	Prat.g_00370
OG0000090	Syaf.g_02654	Prat.g_00495
OG0000091	Syaf.g_02302	Prat.g_01082
OG0000093	Syaf.g_02065	Prat.g_01053
OG0000094	Syaf.g_01940	Prat.g_00943
OG0000095	Syaf.g_01442	Prat.g_00965
OG0000097	Syaf.g_01574	Prat.g_01111
OG0000098	Syaf.g_01637	Prat.g_01282
OG0000099	Syaf.g_00312	Prat.g_01312
OG0000100	Syaf.g_02017	Prat.g_01437
OG0000101	Syaf.g_00093	Prat.g_01726
OG0000102	Syaf.g_00393	Prat.g_01793
OG0000103	Syaf.g_00520	Prat.g_01880
OG0000104	Syaf.g_00502	Prat.g_01889
OG0000105	Syaf.g_00235	Prat.g_00281
OG0000106	Syaf.g_01745	Prat.g_00637
OG0000107	Syaf.g_00177, Syaf.g_00758	Prat.g_01656
OG0000108	Syaf.g_02721	Prat.g_00440
OG0000109	Syaf.g_02706	Prat.g_00455
OG0000110	Syaf.g_02589	Prat.g_00539
OG0000111	Syaf.g_01451	Prat.g_00776
OG0000112	Syaf.g_01852	Prat.g_00888
OG0000113	Syaf.g_02022	Prat.g_01014
OG0000114	Syaf.g_02103	Prat.g_00716
OG0000115	Syaf.g_02445	Prat.g_01373
OG0000116	Syaf.g_01276	Prat.g_01166
OG0000117	Syaf.g_01605	Prat.g_01129
OG0000118	Syaf.g_02544	Prat.g_01261
OG0000120	Syaf.g_00313	Prat.g_00344
OG0000121	Syaf.g_02419	Prat.g_01355
OG0000123	Syaf.g_00086	Prat.g_01733
OG0000124	Syaf.g_00414	Prat.g_01805
OG0000125	Syaf.g_00640	Prat.g_01841
OG0000126	Syaf.g_00504	Prat.g_01888
OG0000128	Syaf.g_00486	Prat.g_00012, Prat.g_00011
OG0000129	Syaf.g_00651	Prat.g_00047
OG0000130	Syaf.g_00963	Prat.g_00066
OG0000131	Syaf.g_00833	Prat.g_00144
OG0000132	Syaf.g_00813	Prat.g_00164
OG0000133	Syaf.g_01857	Prat.g_00329
OG0000134	Syaf.g_02804	Prat.g_00372
OG0000135	Syaf.g_00605	Prat.g_01477
OG0000136	Syaf.g_01224	Prat.g_00401
OG0000137	Syaf.g_02498	Prat.g_00434
OG0000138	Syaf.g_02705	Prat.g_00456
OG0000139	Syaf.g_02648	Prat.g_00499
OG0000140	Syaf.g_02646	Prat.g_00500
OG0000141	Syaf.g_02375	Prat.g_00570
OG0000142	Syaf.g_02310	Prat.g_01090
OG0000143	Syaf.g_02306	Prat.g_01086
OG0000144	Syaf.g_01735	Prat.g_01072
OG0000145	Syaf.g_02699	Prat.g_01472
OG0000146	Syaf.g_01851	Prat.g_00887
OG0000147	Syaf.g_01850	Prat.g_00886
OG0000148	Syaf.g_02028	Prat.g_01020
OG0000149	Syaf.g_01371	Prat.g_00991
OG0000150	Syaf.g_02645	Prat.g_00981
OG0000151	Syaf.g_02091	Prat.g_00726
OG0000152	Syaf.g_01861	Prat.g_00896
OG0000153	Syaf.g_01904	Prat.g_00915
OG0000154	Syaf.g_01930	Prat.g_00934
OG0000155	Syaf.g_01324	Prat.g_01135
OG0000156	Syaf.g_01270	Prat.g_01238
OG0000157	Syaf.g_01269	Prat.g_01239
OG0000158	Syaf.g_00364	Prat.g_01769
OG0000160	Syaf.g_02418	Prat.g_01354
OG0000161	Syaf.g_02424	Prat.g_01360
OG0000162	Syaf.g_02431	Prat.g_01366
OG0000163	Syaf.g_01105	Prat.g_01409
OG0000164	Syaf.g_00999	Prat.g_01615
OG0000165	Syaf.g_01197	Prat.g_01623
OG0000166	Syaf.g_00133	Prat.g_01690
OG0000167	Syaf.g_00350	Prat.g_01759
OG0000168	Syaf.g_00365	Prat.g_01770
OG0000169	Syaf.g_00376	Prat.g_01781
OG0000170	Syaf.g_00383	Prat.g_01784
OG0000171	Syaf.g_00413	Prat.g_01804
OG0000172	Syaf.g_00419	Prat.g_01811
OG0000173	Syaf.g_00438	Prat.g_01826
OG0000174	Syaf.g_00603	Prat.g_01858
OG0000175	Syaf.g_00531	Prat.g_01870
OG0000176	Syaf.g_00494	Prat.g_00004
OG0000177	Syaf.g_00493	Prat.g_00005
OG0000178	Syaf.g_00492	Prat.g_00006
OG0000179	Syaf.g_00477	Prat.g_00017
OG0000180	Syaf.g_00476	Prat.g_00018
OG0000181	Syaf.g_00475	Prat.g_00019
OG0000182	Syaf.g_00474	Prat.g_00020
OG0000183	Syaf.g_00470	Prat.g_00024, Prat.g_01314
OG0000184	Syaf.g_00664	Prat.g_00051
OG0000185	Syaf.g_00684	Prat.g_00054
OG0000186	Syaf.g_00968	Prat.g_00060
OG0000187	Syaf.g_00966	Prat.g_00061
OG0000188	Syaf.g_00944	Prat.g_00080
OG0000189	Syaf.g_00916	Prat.g_00093
OG0000190	Syaf.g_00914	Prat.g_00094
OG0000191	Syaf.g_00877	Prat.g_00116
OG0000192	Syaf.g_00871	Prat.g_00121
OG0000193	Syaf.g_00832	Prat.g_00145
OG0000194	Syaf.g_00829	Prat.g_00148
OG0000195	Syaf.g_00827	Prat.g_00150
OG0000196	Syaf.g_00816	Prat.g_00161
OG0000197	Syaf.g_00815	Prat.g_00162
OG0000198	Syaf.g_00814	Prat.g_00163
OG0000199	Syaf.g_00806	Prat.g_00171
OG0000200	Syaf.g_00789	Prat.g_00185
OG0000201	Syaf.g_00771	Prat.g_00194
OG0000202	Syaf.g_00770	Prat.g_00195
OG0000203	Syaf.g_00769	Prat.g_00196
OG0000204	Syaf.g_00768	Prat.g_00197
OG0000205	Syaf.g_00761	Prat.g_00204
OG0000206	Syaf.g_00736	Prat.g_00209
OG0000207	Syaf.g_00735	Prat.g_00211
OG0000208	Syaf.g_00734	Prat.g_00212
OG0000209	Syaf.g_00714	Prat.g_00221
OG0000210	Syaf.g_00713	Prat.g_00222
OG0000211	Syaf.g_02791	Prat.g_00238
OG0000212	Syaf.g_02781	Prat.g_00246
OG0000213	Syaf.g_00210	Prat.g_00264
OG0000214	Syaf.g_00226	Prat.g_00274
OG0000215	Syaf.g_00258	Prat.g_00300
OG0000216	Syaf.g_00262	Prat.g_00302
OG0000217	Syaf.g_00266	Prat.g_00305
OG0000218	Syaf.g_00268	Prat.g_00307
OG0000219	Syaf.g_00269	Prat.g_00308
OG0000220	Syaf.g_00270	Prat.g_00309
OG0000221	Syaf.g_02597, Syaf.g_00273	Prat.g_00310
OG0000222	Syaf.g_00287	Prat.g_00317
OG0000223	Syaf.g_00317	Prat.g_00330
OG0000224	Syaf.g_00324	Prat.g_00332
OG0000225	Syaf.g_00007	Prat.g_00360
OG0000226	Syaf.g_00003	Prat.g_00364
OG0000227	Syaf.g_00001	Prat.g_00366
OG0000228	Syaf.g_02808	Prat.g_00369
OG0000229	Syaf.g_01214	Prat.g_00396
OG0000230	Syaf.g_01216	Prat.g_00398
OG0000231	Syaf.g_01236	Prat.g_00411
OG0000232	Syaf.g_02536	Prat.g_00419
OG0000233	Syaf.g_02528	Prat.g_00426
OG0000234	Syaf.g_02497	Prat.g_00435
OG0000235	Syaf.g_02722	Prat.g_00439
OG0000236	Syaf.g_02707	Prat.g_00454
OG0000237	Syaf.g_02690	Prat.g_00469
OG0000238	Syaf.g_02685	Prat.g_00475
OG0000239	Syaf.g_02669	Prat.g_00487
OG0000240	Syaf.g_02668	Prat.g_00488
OG0000241	Syaf.g_02322	Prat.g_00492
OG0000242	Syaf.g_02656	Prat.g_00494
OG0000243	Syaf.g_02634	Prat.g_00504
OG0000244	Syaf.g_02627	Prat.g_00507
OG0000245	Syaf.g_02625	Prat.g_00509
OG0000246	Syaf.g_02621	Prat.g_00514, Prat.g_00513
OG0000247	Syaf.g_02610	Prat.g_00525
OG0000248	Syaf.g_02607	Prat.g_00528
OG0000249	Syaf.g_02605	Prat.g_00530
OG0000250	Syaf.g_02593	Prat.g_00536
OG0000251	Syaf.g_02568	Prat.g_00553
OG0000252	Syaf.g_02565	Prat.g_00556
OG0000253	Syaf.g_02564	Prat.g_00557
OG0000254	Syaf.g_02371	Prat.g_00574
OG0000255	Syaf.g_02352	Prat.g_00581
OG0000256	Syaf.g_02329	Prat.g_00591
OG0000257	Syaf.g_02323	Prat.g_01097
OG0000258	Syaf.g_02301	Prat.g_01081
OG0000259	Syaf.g_02137	Prat.g_01064
OG0000260	Syaf.g_02134	Prat.g_01061
OG0000261	Syaf.g_02131	Prat.g_01058
OG0000262	Syaf.g_02126	Prat.g_01054
OG0000263	Syaf.g_01585	Prat.g_00754
OG0000264	Syaf.g_01473	Prat.g_00765
OG0000265	Syaf.g_01196	Prat.g_00788
OG0000266	Syaf.g_01967	Prat.g_00801
OG0000267	Syaf.g_01787	Prat.g_00814
OG0000268	Syaf.g_00307, Syaf.g_01788	Prat.g_00815
OG0000269	Syaf.g_02054	Prat.g_01042
OG0000270	Syaf.g_02051	Prat.g_01039
OG0000271	Syaf.g_02043	Prat.g_01031
OG0000272	Syaf.g_02042	Prat.g_01030
OG0000273	Syaf.g_01392	Prat.g_01007
OG0000274	Syaf.g_01391	Prat.g_01006
OG0000275	Syaf.g_01386	Prat.g_01004
OG0000276	Syaf.g_01379	Prat.g_00999
OG0000277	Syaf.g_01378	Prat.g_00998
OG0000278	Syaf.g_01375	Prat.g_00995
OG0000279	Syaf.g_01367	Prat.g_00988
OG0000280	Syaf.g_01337	Prat.g_00987
OG0000281	Syaf.g_01636	Prat.g_00980
OG0000282	Syaf.g_02101	Prat.g_00718
OG0000283	Syaf.g_01804	Prat.g_00868
OG0000284	Syaf.g_01810	Prat.g_00873
OG0000285	Syaf.g_01842	Prat.g_00879
OG0000286	Syaf.g_01860	Prat.g_00895
OG0000287	Syaf.g_01896	Prat.g_00912
OG0000288	Syaf.g_01929	Prat.g_00933
OG0000289	Syaf.g_01943	Prat.g_00948
OG0000290	Syaf.g_01439	Prat.g_00962
OG0000291	Syaf.g_01441	Prat.g_00964
OG0000292	Syaf.g_00505	Prat.g_01208
OG0000293	Syaf.g_01277	Prat.g_01165
OG0000294	Syaf.g_01278	Prat.g_01164
OG0000295	Syaf.g_01316	Prat.g_01142
OG0000296	Syaf.g_01318	Prat.g_01140
OG0000297	Syaf.g_01607	Prat.g_01131
OG0000298	Syaf.g_01606	Prat.g_01130
OG0000299	Syaf.g_01578	Prat.g_01112
OG0000300	Syaf.g_01571	Prat.g_01108
OG0000301	Syaf.g_01570	Prat.g_01107
OG0000302	Syaf.g_01568	Prat.g_01105
OG0000303	Syaf.g_01559	Prat.g_01099
OG0000304	Syaf.g_01551	Prat.g_00595
OG0000305	Syaf.g_01444	Prat.g_01200
OG0000306	Syaf.g_01332	Prat.g_00976
OG0000307	Syaf.g_02742	Prat.g_01300
OG0000308	Syaf.g_02744	Prat.g_01301
OG0000309	Syaf.g_02749	Prat.g_01305
OG0000310	Syaf.g_02387	Prat.g_01336
OG0000311	Syaf.g_02391	Prat.g_01338
OG0000312	Syaf.g_02397	Prat.g_01341
OG0000313	Syaf.g_02421	Prat.g_01357
OG0000314	Syaf.g_02458	Prat.g_01382
OG0000315	Syaf.g_02468	Prat.g_01392
OG0000316	Syaf.g_01088	Prat.g_01420
OG0000317	Syaf.g_01040	Prat.g_01589
OG0000318	Syaf.g_01032	Prat.g_01593
OG0000319	Syaf.g_01015	Prat.g_01605
OG0000320	Syaf.g_01013	Prat.g_01607
OG0000321	Syaf.g_01012	Prat.g_01608
OG0000322	Syaf.g_01011	Prat.g_01609
OG0000323	Syaf.g_00997	Prat.g_01618
OG0000324	Syaf.g_01164	Prat.g_01647
OG0000325	Syaf.g_00176	Prat.g_01657
OG0000326	Syaf.g_00169	Prat.g_01664
OG0000327	Syaf.g_00138	Prat.g_01685
OG0000328	Syaf.g_00137	Prat.g_01686
OG0000329	Syaf.g_00119	Prat.g_01703
OG0000330	Syaf.g_00118	Prat.g_01704
OG0000331	Syaf.g_00117	Prat.g_01705
OG0000332	Syaf.g_00102	Prat.g_01718
OG0000333	Syaf.g_00099	Prat.g_01720
OG0000334	Syaf.g_00090	Prat.g_01729
OG0000335	Syaf.g_00085	Prat.g_01734
OG0000336	Syaf.g_00081	Prat.g_01738
OG0000337	Syaf.g_00344	Prat.g_01756
OG0000338	Syaf.g_00348	Prat.g_01757
OG0000339	Syaf.g_00355	Prat.g_01762
OG0000340	Syaf.g_00366	Prat.g_01771
OG0000341	Syaf.g_00368	Prat.g_01773
OG0000342	Syaf.g_00369	Prat.g_01775
OG0000343	Syaf.g_00370	Prat.g_01776
OG0000344	Syaf.g_00374	Prat.g_01779
OG0000345	Syaf.g_00384	Prat.g_01785
OG0000346	Syaf.g_00389	Prat.g_01789
OG0000347	Syaf.g_00415	Prat.g_01806
OG0000348	Syaf.g_00427	Prat.g_01814
OG0000349	Syaf.g_00445	Prat.g_01832
OG0000350	Syaf.g_00162	Prat.g_01853
OG0000351	Syaf.g_00528	Prat.g_01873
OG0000352	Syaf.g_00527	Prat.g_01874
OG0000353	Syaf.g_00499	Prat.g_01892
OG0000354	Syaf.g_02680, Syaf.g_00479	Prat.g_00845
OG0000355	Syaf.g_00497	Prat.g_00001
OG0000356	Syaf.g_00496	Prat.g_00002
OG0000357	Syaf.g_00495	Prat.g_00003
OG0000358	Syaf.g_00491	Prat.g_00007
OG0000359	Syaf.g_00489	Prat.g_00008
OG0000360	Syaf.g_00488	Prat.g_00009
OG0000361	Syaf.g_00487	Prat.g_00010
OG0000362	Syaf.g_00485	Prat.g_00013
OG0000363	Syaf.g_00483	Prat.g_00015
OG0000364	Syaf.g_00482	Prat.g_00016
OG0000365	Syaf.g_00473	Prat.g_00021
OG0000366	Syaf.g_00472	Prat.g_00022
OG0000367	Syaf.g_00471	Prat.g_00023
OG0000368	Syaf.g_00469	Prat.g_00025
OG0000369	Syaf.g_00468	Prat.g_00026
OG0000370	Syaf.g_00467	Prat.g_00027
OG0000371	Syaf.g_00458	Prat.g_00034
OG0000372	Syaf.g_00453	Prat.g_00036
OG0000373	Syaf.g_00452	Prat.g_00037
OG0000374	Syaf.g_00451	Prat.g_00038
OG0000375	Syaf.g_00449	Prat.g_00042
OG0000376	Syaf.g_00447	Prat.g_00044
OG0000377	Syaf.g_00654	Prat.g_00048
OG0000378	Syaf.g_00668	Prat.g_00052
OG0000379	Syaf.g_00686	Prat.g_00055
OG0000380	Syaf.g_00965	Prat.g_00062
OG0000381	Syaf.g_00962	Prat.g_00067
OG0000382	Syaf.g_00945	Prat.g_00079
OG0000383	Syaf.g_00941	Prat.g_00081
OG0000384	Syaf.g_00940	Prat.g_00082
OG0000385	Syaf.g_00939	Prat.g_00083
OG0000386	Syaf.g_00938	Prat.g_00084
OG0000387	Syaf.g_00912	Prat.g_00096
OG0000388	Syaf.g_00908	Prat.g_00100
OG0000389	Syaf.g_00904	Prat.g_00103
OG0000390	Syaf.g_00883	Prat.g_00112
OG0000391	Syaf.g_00878	Prat.g_00115
OG0000392	Syaf.g_00872	Prat.g_00118
OG0000393	Syaf.g_00870	Prat.g_00122
OG0000394	Syaf.g_00869	Prat.g_00123
OG0000395	Syaf.g_00868	Prat.g_00124
OG0000396	Syaf.g_00865	Prat.g_00126
OG0000397	Syaf.g_00863	Prat.g_00128
OG0000398	Syaf.g_00858	Prat.g_00131
OG0000399	Syaf.g_00857	Prat.g_00132
OG0000400	Syaf.g_00856	Prat.g_00133
OG0000401	Syaf.g_00855	Prat.g_00134
OG0000402	Syaf.g_00852	Prat.g_00601
OG0000403	Syaf.g_00851	Prat.g_00136
OG0000404	Syaf.g_00850	Prat.g_00137
OG0000405	Syaf.g_00835	Prat.g_00141
OG0000406	Syaf.g_00831	Prat.g_00146
OG0000407	Syaf.g_00830	Prat.g_00147
OG0000408	Syaf.g_00828	Prat.g_00149
OG0000409	Syaf.g_00826	Prat.g_00151
OG0000410	Syaf.g_00825	Prat.g_00152
OG0000411	Syaf.g_00824	Prat.g_00153
OG0000412	Syaf.g_00823	Prat.g_00154
OG0000413	Syaf.g_00821	Prat.g_00156
OG0000414	Syaf.g_00820	Prat.g_00157
OG0000415	Syaf.g_00819	Prat.g_00158
OG0000416	Syaf.g_00818	Prat.g_00159
OG0000417	Syaf.g_00817	Prat.g_00160
OG0000418	Syaf.g_00812	Prat.g_00165
OG0000419	Syaf.g_00810	Prat.g_00167
OG0000420	Syaf.g_00808	Prat.g_00169
OG0000421	Syaf.g_00803	Prat.g_00174
OG0000422	Syaf.g_00802	Prat.g_00175
OG0000423	Syaf.g_00801	Prat.g_00176
OG0000424	Syaf.g_00800	Prat.g_00177
OG0000425	Syaf.g_00799	Prat.g_00178
OG0000426	Syaf.g_00798	Prat.g_00179
OG0000427	Syaf.g_00797	Prat.g_00180
OG0000428	Syaf.g_00794	Prat.g_00182
OG0000429	Syaf.g_00792	Prat.g_00183
OG0000430	Syaf.g_00790	Prat.g_00184
OG0000431	Syaf.g_00786	Prat.g_00186
OG0000432	Syaf.g_00779	Prat.g_00190
OG0000433	Syaf.g_00777	Prat.g_00191
OG0000434	Syaf.g_00776	Prat.g_00192
OG0000435	Syaf.g_00772	Prat.g_00193
OG0000436	Syaf.g_00767	Prat.g_00198
OG0000437	Syaf.g_00766	Prat.g_00199
OG0000438	Syaf.g_00765	Prat.g_00200
OG0000439	Syaf.g_00763	Prat.g_00202
OG0000440	Syaf.g_00762	Prat.g_00203
OG0000441	Syaf.g_00756	Prat.g_00206
OG0000442	Syaf.g_00743	Prat.g_00207
OG0000443	Syaf.g_00739	Prat.g_00208
OG0000444	Syaf.g_00733	Prat.g_00213
OG0000445	Syaf.g_00729	Prat.g_00214
OG0000446	Syaf.g_00728	Prat.g_00215
OG0000447	Syaf.g_00725	Prat.g_00216
OG0000448	Syaf.g_00724	Prat.g_00217
OG0000449	Syaf.g_00723	Prat.g_00218
OG0000450	Syaf.g_00717	Prat.g_00219
OG0000451	Syaf.g_00716	Prat.g_00220
OG0000452	Syaf.g_00712	Prat.g_00223
OG0000453	Syaf.g_00711	Prat.g_00224
OG0000454	Syaf.g_00710	Prat.g_00225
OG0000455	Syaf.g_00709	Prat.g_00226
OG0000456	Syaf.g_00708	Prat.g_00227
OG0000457	Syaf.g_00706	Prat.g_00229
OG0000458	Syaf.g_00705	Prat.g_00230
OG0000459	Syaf.g_00704	Prat.g_00231
OG0000460	Syaf.g_02789	Prat.g_00240
OG0000461	Syaf.g_00183	Prat.g_00249
OG0000462	Syaf.g_00186	Prat.g_00250
OG0000463	Syaf.g_00187	Prat.g_00251
OG0000464	Syaf.g_00188	Prat.g_00252
OG0000465	Syaf.g_00190	Prat.g_00253
OG0000466	Syaf.g_00194	Prat.g_00256
OG0000467	Syaf.g_00196	Prat.g_00257
OG0000468	Syaf.g_00206	Prat.g_00260
OG0000469	Syaf.g_00220	Prat.g_00269
OG0000470	Syaf.g_00222	Prat.g_00271
OG0000471	Syaf.g_00223	Prat.g_00272
OG0000472	Syaf.g_00225	Prat.g_00273
OG0000473	Syaf.g_00227	Prat.g_00275
OG0000474	Syaf.g_00228	Prat.g_00276
OG0000475	Syaf.g_00229	Prat.g_00277
OG0000476	Syaf.g_00231	Prat.g_00279
OG0000477	Syaf.g_00237	Prat.g_00282
OG0000478	Syaf.g_00238	Prat.g_00283
OG0000479	Syaf.g_00239	Prat.g_00284
OG0000480	Syaf.g_00247	Prat.g_00290
OG0000481	Syaf.g_00249	Prat.g_00292
OG0000482	Syaf.g_00250	Prat.g_00293
OG0000483	Syaf.g_00254	Prat.g_00296
OG0000484	Syaf.g_00255	Prat.g_00297
OG0000485	Syaf.g_00256	Prat.g_00298
OG0000486	Syaf.g_00257	Prat.g_00299
OG0000487	Syaf.g_00263	Prat.g_00303
OG0000488	Syaf.g_00267	Prat.g_00306
OG0000489	Syaf.g_00274	Prat.g_00311
OG0000490	Syaf.g_00284	Prat.g_00315
OG0000491	Syaf.g_00285	Prat.g_00316
OG0000492	Syaf.g_00288	Prat.g_00318
OG0000493	Syaf.g_00289	Prat.g_00319
OG0000494	Syaf.g_00290	Prat.g_00320
OG0000495	Syaf.g_00291	Prat.g_00321
OG0000496	Syaf.g_00292	Prat.g_00322
OG0000497	Syaf.g_00293	Prat.g_00323
OG0000498	Syaf.g_00294	Prat.g_00324
OG0000499	Syaf.g_00295	Prat.g_00325
OG0000500	Syaf.g_00296	Prat.g_00326
OG0000501	Syaf.g_00299	Prat.g_00328
OG0000502	Syaf.g_00319	Prat.g_00331
OG0000503	Syaf.g_00023	Prat.g_00348
OG0000504	Syaf.g_00021	Prat.g_00350
OG0000505	Syaf.g_00020	Prat.g_00351
OG0000506	Syaf.g_00018	Prat.g_00352
OG0000507	Syaf.g_00012	Prat.g_00355
OG0000508	Syaf.g_00008	Prat.g_00359
OG0000509	Syaf.g_00006	Prat.g_00361
OG0000510	Syaf.g_00005	Prat.g_00362
OG0000511	Syaf.g_00004	Prat.g_00363
OG0000512	Syaf.g_00002	Prat.g_00365
OG0000513	Syaf.g_02803	Prat.g_00373
OG0000514	Syaf.g_02796	Prat.g_00390
OG0000515	Syaf.g_02795	Prat.g_00391
OG0000516	Syaf.g_01219	Prat.g_00392
OG0000517	Syaf.g_01213	Prat.g_00395
OG0000518	Syaf.g_01230	Prat.g_00407
OG0000519	Syaf.g_01231	Prat.g_00408
OG0000520	Syaf.g_01235	Prat.g_00410
OG0000521	Syaf.g_02542	Prat.g_00415
OG0000522	Syaf.g_02538	Prat.g_00417
OG0000523	Syaf.g_02537	Prat.g_00418
OG0000524	Syaf.g_02531	Prat.g_00424
OG0000525	Syaf.g_02507	Prat.g_00428
OG0000526	Syaf.g_02504	Prat.g_00429
OG0000527	Syaf.g_02500	Prat.g_00432
OG0000528	Syaf.g_02728	Prat.g_00438
OG0000529	Syaf.g_02720	Prat.g_00441
OG0000530	Syaf.g_02717	Prat.g_00444
OG0000531	Syaf.g_02716	Prat.g_00445
OG0000532	Syaf.g_02713	Prat.g_00447
OG0000533	Syaf.g_02712	Prat.g_00448
OG0000534	Syaf.g_02711	Prat.g_00449
OG0000535	Syaf.g_02710	Prat.g_00450
OG0000536	Syaf.g_02709	Prat.g_00451
OG0000537	Syaf.g_02708	Prat.g_00453
OG0000538	Syaf.g_02697	Prat.g_00463
OG0000539	Syaf.g_02696	Prat.g_00464
OG0000540	Syaf.g_02695	Prat.g_00465
OG0000541	Syaf.g_02694	Prat.g_00466
OG0000542	Syaf.g_02691	Prat.g_00468
OG0000543	Syaf.g_02689	Prat.g_00470
OG0000544	Syaf.g_02688	Prat.g_00471
OG0000545	Syaf.g_02686	Prat.g_00473
OG0000546	Syaf.g_02684	Prat.g_00476
OG0000547	Syaf.g_02682	Prat.g_00478
OG0000548	Syaf.g_02681	Prat.g_00479
OG0000549	Syaf.g_02676	Prat.g_00482
OG0000550	Syaf.g_02671	Prat.g_00486
OG0000551	Syaf.g_02666	Prat.g_00489
OG0000552	Syaf.g_02665	Prat.g_00490
OG0000553	Syaf.g_02663	Prat.g_00491
OG0000554	Syaf.g_02653	Prat.g_00496
OG0000555	Syaf.g_02635	Prat.g_00503
OG0000556	Syaf.g_02630	Prat.g_00505
OG0000557	Syaf.g_02628	Prat.g_00506
OG0000558	Syaf.g_02626	Prat.g_00508
OG0000559	Syaf.g_02622	Prat.g_00512
OG0000560	Syaf.g_02619	Prat.g_00516
OG0000561	Syaf.g_02618	Prat.g_00517
OG0000562	Syaf.g_02617	Prat.g_00518
