Orthogroup	Syaf	Prbb
OG0000068	Syaf.g_02733	Prbb.g_01639
OG0000070	Syaf.g_01237	Prbb.g_00455
OG0000071	Syaf.g_01254	Prbb.g_01586
OG0000072	Syaf.g_00805	Prbb.g_00228
OG0000073	Syaf.g_02700	Prbb.g_00503
OG0000075	Syaf.g_00353	Prbb.g_02036
OG0000076	Syaf.g_00388	Prbb.g_02061
OG0000078	Syaf.g_02782	Prbb.g_00297
OG0000079	Syaf.g_00197	Prbb.g_00308
OG0000081	Syaf.g_02776	Prbb.g_00534
OG0000082	Syaf.g_02576	Prbb.g_01882
OG0000084	Syaf.g_02409	Prbb.g_01683
OG0000085	Syaf.g_01048	Prbb.g_01816
OG0000086	Syaf.g_00932	Prbb.g_00143
OG0000087	Syaf.g_00848	Prbb.g_00196
OG0000088	Syaf.g_00811	Prbb.g_00223
OG0000089	Syaf.g_02807	Prbb.g_00416
OG0000090	Syaf.g_02654	Prbb.g_00536
OG0000091	Syaf.g_02302	Prbb.g_00643
OG0000093	Syaf.g_01775	Prbb.g_01606
OG0000093	Syaf.g_02065	Prbb.g_00768
OG0000094	Syaf.g_01940	Prbb.g_00892
OG0000095	Syaf.g_01442	Prbb.g_01070
OG0000097	Syaf.g_01574	Prbb.g_01470
OG0000098	Syaf.g_01637	Prbb.g_01608
OG0000099	Syaf.g_00312	Prbb.g_00388
OG0000100	Syaf.g_02017	Prbb.g_01763
OG0000101	Syaf.g_00093	Prbb.g_02001
OG0000102	Syaf.g_00393	Prbb.g_02066
OG0000103	Syaf.g_00520	Prbb.g_02174
OG0000104	Syaf.g_00502	Prbb.g_02185
OG0000105	Syaf.g_00235	Prbb.g_00327
OG0000106	Syaf.g_01745	Prbb.g_01197, Prbb.g_01329
OG0000107	Syaf.g_00177, Syaf.g_00758	Prbb.g_01923
OG0000108	Syaf.g_02721	Prbb.g_00484, Prbb.g_00485
OG0000109	Syaf.g_02706	Prbb.g_00498
OG0000110	Syaf.g_02589	Prbb.g_00578
OG0000111	Syaf.g_01451	Prbb.g_00707
OG0000112	Syaf.g_01852	Prbb.g_00983
OG0000113	Syaf.g_02022	Prbb.g_00807, Prbb.g_01218
OG0000114	Syaf.g_02103	Prbb.g_00932
OG0000115	Syaf.g_02445	Prbb.g_01780
OG0000116	Syaf.g_01276	Prbb.g_01528
OG0000117	Syaf.g_01605	Prbb.g_01399
OG0000118	Syaf.g_02544	Prbb.g_01598
OG0000120	Syaf.g_00313	Prbb.g_00678
OG0000121	Syaf.g_02419	Prbb.g_01688
OG0000123	Syaf.g_00086	Prbb.g_02008
OG0000125	Syaf.g_00640	Prbb.g_02131
OG0000126	Syaf.g_00504	Prbb.g_02183
OG0000127	Syaf.g_01541	Prbb.g_01346
OG0000128	Syaf.g_00486	Prbb.g_00012
OG0000129	Syaf.g_00651	Prbb.g_00059
OG0000130	Syaf.g_00963	Prbb.g_00124
OG0000131	Syaf.g_00833	Prbb.g_00202
OG0000132	Syaf.g_00813	Prbb.g_00221
OG0000133	Syaf.g_01857	Prbb.g_00373
OG0000134	Syaf.g_02804	Prbb.g_00418
OG0000135	Syaf.g_00605	Prbb.g_01326
OG0000136	Syaf.g_01224	Prbb.g_00446
OG0000137	Syaf.g_02498	Prbb.g_00478
OG0000138	Syaf.g_02705	Prbb.g_00499
OG0000139	Syaf.g_02648	Prbb.g_00540
OG0000140	Syaf.g_02646	Prbb.g_00541
OG0000141	Syaf.g_02375	Prbb.g_00608
OG0000142	Syaf.g_02310	Prbb.g_00636
OG0000143	Syaf.g_02306	Prbb.g_00640
OG0000144	Syaf.g_01735	Prbb.g_00653
OG0000145	Syaf.g_02699	Prbb.g_01099
OG0000146	Syaf.g_01851	Prbb.g_00982
OG0000147	Syaf.g_01850	Prbb.g_00981
OG0000148	Syaf.g_02028	Prbb.g_00801
OG0000149	Syaf.g_01371	Prbb.g_00832
OG0000150	Syaf.g_02645	Prbb.g_00840
OG0000151	Syaf.g_02091	Prbb.g_00943
OG0000152	Syaf.g_01861	Prbb.g_00991
OG0000153	Syaf.g_01904	Prbb.g_01009
OG0000154	Syaf.g_01930	Prbb.g_01040
OG0000155	Syaf.g_01324	Prbb.g_01495
OG0000156	Syaf.g_01270	Prbb.g_01575
OG0000157	Syaf.g_01269	Prbb.g_01576
OG0000158	Syaf.g_00364	Prbb.g_02044
OG0000160	Syaf.g_02418	Prbb.g_01687
OG0000161	Syaf.g_02424	Prbb.g_01693
OG0000162	Syaf.g_02431	Prbb.g_01699
OG0000163	Syaf.g_01105	Prbb.g_01735
OG0000164	Syaf.g_00999	Prbb.g_01845
OG0000165	Syaf.g_01197	Prbb.g_01853
OG0000166	Syaf.g_00133	Prbb.g_01964
OG0000167	Syaf.g_00350	Prbb.g_02034
OG0000168	Syaf.g_00365	Prbb.g_02045
OG0000169	Syaf.g_00376	Prbb.g_02055
OG0000170	Syaf.g_00383	Prbb.g_02057
OG0000171	Syaf.g_00413	Prbb.g_02078
OG0000172	Syaf.g_00419	Prbb.g_02101
OG0000173	Syaf.g_00438	Prbb.g_02116
OG0000174	Syaf.g_00603	Prbb.g_02147
OG0000175	Syaf.g_00531	Prbb.g_02165
OG0000176	Syaf.g_00494	Prbb.g_00004
OG0000177	Syaf.g_00493	Prbb.g_00005
OG0000178	Syaf.g_00492	Prbb.g_00007, Prbb.g_00006
OG0000179	Syaf.g_00477	Prbb.g_00017
OG0000180	Syaf.g_00476	Prbb.g_00018
OG0000181	Syaf.g_00475	Prbb.g_00019
OG0000182	Syaf.g_00474	Prbb.g_00020
OG0000183	Syaf.g_00470	Prbb.g_00024
OG0000184	Syaf.g_00664	Prbb.g_00061
OG0000185	Syaf.g_00684	Prbb.g_00064
OG0000186	Syaf.g_00968	Prbb.g_00119
OG0000187	Syaf.g_00966	Prbb.g_00120
OG0000188	Syaf.g_00944	Prbb.g_00137
OG0000189	Syaf.g_00916	Prbb.g_00151
OG0000190	Syaf.g_00914	Prbb.g_00152
OG0000191	Syaf.g_00877	Prbb.g_00175
OG0000192	Syaf.g_00871	Prbb.g_00179
OG0000193	Syaf.g_00832	Prbb.g_00203
OG0000194	Syaf.g_00829	Prbb.g_00206
OG0000195	Syaf.g_00827	Prbb.g_00208
OG0000196	Syaf.g_00816	Prbb.g_00218
OG0000197	Syaf.g_00815	Prbb.g_00219
OG0000198	Syaf.g_00814	Prbb.g_00220
OG0000199	Syaf.g_00806	Prbb.g_00227
OG0000200	Syaf.g_00789	Prbb.g_00240
OG0000201	Syaf.g_00771	Prbb.g_00249
OG0000202	Syaf.g_00770	Prbb.g_00250
OG0000203	Syaf.g_00769	Prbb.g_00251
OG0000204	Syaf.g_00768	Prbb.g_00252
OG0000205	Syaf.g_00761	Prbb.g_00259
OG0000206	Syaf.g_00736	Prbb.g_00263
OG0000207	Syaf.g_00735	Prbb.g_00265
OG0000208	Syaf.g_00734	Prbb.g_00266
OG0000209	Syaf.g_00714	Prbb.g_00275
OG0000210	Syaf.g_00713	Prbb.g_00276
OG0000211	Syaf.g_02791	Prbb.g_00290
OG0000212	Syaf.g_02781	Prbb.g_00298
OG0000213	Syaf.g_00210	Prbb.g_00313
OG0000214	Syaf.g_00226	Prbb.g_00321
OG0000215	Syaf.g_00258	Prbb.g_00344
OG0000216	Syaf.g_00262	Prbb.g_00345
OG0000217	Syaf.g_00266	Prbb.g_00348
OG0000218	Syaf.g_00268	Prbb.g_00350
OG0000219	Syaf.g_00269	Prbb.g_00351
OG0000220	Syaf.g_00270	Prbb.g_00352
OG0000221	Syaf.g_02597, Syaf.g_00273	Prbb.g_00353
OG0000222	Syaf.g_00287	Prbb.g_00361
OG0000223	Syaf.g_00317	Prbb.g_00374
OG0000224	Syaf.g_00324	Prbb.g_00376
OG0000225	Syaf.g_00007	Prbb.g_00405
OG0000226	Syaf.g_00003	Prbb.g_00409
OG0000227	Syaf.g_00001	Prbb.g_00411
OG0000228	Syaf.g_02808	Prbb.g_00415
OG0000229	Syaf.g_01214	Prbb.g_00441
OG0000230	Syaf.g_01216	Prbb.g_00443
OG0000231	Syaf.g_01236	Prbb.g_00454
OG0000232	Syaf.g_02536	Prbb.g_00462
OG0000233	Syaf.g_02528	Prbb.g_00470
OG0000234	Syaf.g_02497	Prbb.g_00479
OG0000235	Syaf.g_02722	Prbb.g_00483
OG0000236	Syaf.g_02707	Prbb.g_00497
OG0000237	Syaf.g_02690	Prbb.g_00510
OG0000238	Syaf.g_02685	Prbb.g_00516
OG0000239	Syaf.g_02669	Prbb.g_00528
OG0000240	Syaf.g_02668	Prbb.g_00529
OG0000241	Syaf.g_02322	Prbb.g_00533
OG0000242	Syaf.g_02656	Prbb.g_00535
OG0000243	Syaf.g_02634	Prbb.g_00546
OG0000244	Syaf.g_02627	Prbb.g_00550
OG0000245	Syaf.g_02625	Prbb.g_00552
OG0000246	Syaf.g_02621	Prbb.g_00556
OG0000247	Syaf.g_02610	Prbb.g_00566
OG0000248	Syaf.g_02607	Prbb.g_00568
OG0000249	Syaf.g_02605	Prbb.g_00570
OG0000250	Syaf.g_02593	Prbb.g_00575
OG0000251	Syaf.g_02568	Prbb.g_00591
OG0000252	Syaf.g_02565	Prbb.g_00593
OG0000253	Syaf.g_02564	Prbb.g_00595
OG0000254	Syaf.g_02371	Prbb.g_00612
OG0000255	Syaf.g_02352	Prbb.g_00618
OG0000256	Syaf.g_02329	Prbb.g_00628
OG0000257	Syaf.g_02323	Prbb.g_00631
OG0000258	Syaf.g_02301	Prbb.g_00644
OG0000259	Syaf.g_02137	Prbb.g_00661
OG0000260	Syaf.g_02134	Prbb.g_00665
OG0000261	Syaf.g_02131	Prbb.g_00668
OG0000262	Syaf.g_02126	Prbb.g_00673
OG0000263	Syaf.g_01585	Prbb.g_00686
OG0000264	Syaf.g_01473	Prbb.g_00697, Prbb.g_00698
OG0000265	Syaf.g_01196	Prbb.g_00713
OG0000266	Syaf.g_01967	Prbb.g_00723
OG0000267	Syaf.g_01787	Prbb.g_00736
OG0000268	Syaf.g_01788	Prbb.g_00737
OG0000269	Syaf.g_02054	Prbb.g_00778
OG0000270	Syaf.g_02051	Prbb.g_00781
OG0000271	Syaf.g_02043	Prbb.g_00789
OG0000272	Syaf.g_02042	Prbb.g_00790
OG0000273	Syaf.g_01392	Prbb.g_00814
OG0000274	Syaf.g_01391	Prbb.g_00815
OG0000275	Syaf.g_01386	Prbb.g_00817
OG0000276	Syaf.g_01379	Prbb.g_00823
OG0000277	Syaf.g_01378	Prbb.g_00824
OG0000278	Syaf.g_01375	Prbb.g_00828
OG0000279	Syaf.g_01367	Prbb.g_00835
OG0000280	Syaf.g_01337	Prbb.g_01370
OG0000281	Syaf.g_01636	Prbb.g_00841
OG0000282	Syaf.g_02101	Prbb.g_00934
OG0000283	Syaf.g_01804	Prbb.g_00965
OG0000284	Syaf.g_01810	Prbb.g_00970
OG0000285	Syaf.g_01842	Prbb.g_00975
OG0000286	Syaf.g_01860	Prbb.g_00990
OG0000287	Syaf.g_01896	Prbb.g_00101
OG0000288	Syaf.g_01929	Prbb.g_01039
OG0000289	Syaf.g_01943	Prbb.g_01051
OG0000290	Syaf.g_01439	Prbb.g_01067
OG0000291	Syaf.g_01441	Prbb.g_01069
OG0000292	Syaf.g_00505	Prbb.g_01238
OG0000293	Syaf.g_01277	Prbb.g_01527
OG0000294	Syaf.g_01278	Prbb.g_01526
OG0000295	Syaf.g_01316	Prbb.g_01502
OG0000296	Syaf.g_01318	Prbb.g_01500
OG0000297	Syaf.g_01607	Prbb.g_01491
OG0000298	Syaf.g_01606	Prbb.g_01490
OG0000299	Syaf.g_01578	Prbb.g_01471
OG0000300	Syaf.g_01571	Prbb.g_01468
OG0000301	Syaf.g_01570	Prbb.g_01467
OG0000302	Syaf.g_01568	Prbb.g_01464
OG0000303	Syaf.g_01559	Prbb.g_01459
OG0000304	Syaf.g_01551	Prbb.g_01456
OG0000305	Syaf.g_01444	Prbb.g_01789
OG0000306	Syaf.g_01332	Prbb.g_00845
OG0000307	Syaf.g_02742	Prbb.g_01648
OG0000308	Syaf.g_02744	Prbb.g_01649
OG0000309	Syaf.g_02749	Prbb.g_01653
OG0000310	Syaf.g_02387	Prbb.g_01671
OG0000311	Syaf.g_02391	Prbb.g_01673
OG0000312	Syaf.g_02397	Prbb.g_01676
OG0000313	Syaf.g_02421	Prbb.g_01690
OG0000314	Syaf.g_02458	Prbb.g_01711
OG0000315	Syaf.g_02468	Prbb.g_01721
OG0000316	Syaf.g_01088	Prbb.g_01746
OG0000317	Syaf.g_01040	Prbb.g_01821
OG0000318	Syaf.g_01032	Prbb.g_01824
OG0000319	Syaf.g_01015	Prbb.g_01835
OG0000320	Syaf.g_01013	Prbb.g_01837
OG0000321	Syaf.g_01012	Prbb.g_01838
OG0000322	Syaf.g_01011	Prbb.g_01839
OG0000323	Syaf.g_00997	Prbb.g_01848
OG0000324	Syaf.g_01164	Prbb.g_01875
OG0000325	Syaf.g_00176	Prbb.g_01924
OG0000326	Syaf.g_00169	Prbb.g_01930
OG0000327	Syaf.g_00138	Prbb.g_01959
OG0000328	Syaf.g_00137	Prbb.g_01960
OG0000329	Syaf.g_00119	Prbb.g_01977
OG0000330	Syaf.g_00118	Prbb.g_01978
OG0000331	Syaf.g_00117	Prbb.g_01979
OG0000332	Syaf.g_00102	Prbb.g_01993
OG0000333	Syaf.g_00099	Prbb.g_01995
OG0000334	Syaf.g_00090	Prbb.g_02004
OG0000335	Syaf.g_00085	Prbb.g_02009
OG0000336	Syaf.g_00081	Prbb.g_02013
OG0000337	Syaf.g_00344	Prbb.g_02031
OG0000338	Syaf.g_00348	Prbb.g_02032
OG0000339	Syaf.g_00355	Prbb.g_02037
OG0000340	Syaf.g_00366	Prbb.g_02046
OG0000341	Syaf.g_00368	Prbb.g_02048
OG0000342	Syaf.g_00369	Prbb.g_02049
OG0000343	Syaf.g_00370	Prbb.g_02050
OG0000344	Syaf.g_00374	Prbb.g_02053
OG0000345	Syaf.g_00384	Prbb.g_02058
OG0000346	Syaf.g_00389	Prbb.g_02062
OG0000347	Syaf.g_00415	Prbb.g_02082
OG0000348	Syaf.g_00427	Prbb.g_02104
OG0000349	Syaf.g_00445	Prbb.g_02122
OG0000350	Syaf.g_00162	Prbb.g_02143
OG0000351	Syaf.g_00528	Prbb.g_02168
OG0000352	Syaf.g_00527	Prbb.g_02169
OG0000353	Syaf.g_00499	Prbb.g_02188
OG0000355	Syaf.g_00497	Prbb.g_00001
OG0000356	Syaf.g_00496	Prbb.g_00002
OG0000357	Syaf.g_00495	Prbb.g_00003
OG0000358	Syaf.g_00491	Prbb.g_00008
OG0000359	Syaf.g_00489	Prbb.g_00009
OG0000360	Syaf.g_00488	Prbb.g_00010
OG0000361	Syaf.g_00487	Prbb.g_00011
OG0000362	Syaf.g_00485	Prbb.g_00013
OG0000363	Syaf.g_00483	Prbb.g_00015
OG0000364	Syaf.g_00482	Prbb.g_00016
OG0000365	Syaf.g_00473	Prbb.g_00021
OG0000366	Syaf.g_00472	Prbb.g_00022
OG0000367	Syaf.g_00471	Prbb.g_00023
OG0000368	Syaf.g_00469	Prbb.g_00025
OG0000369	Syaf.g_00468	Prbb.g_00026
OG0000370	Syaf.g_00467	Prbb.g_00027
OG0000371	Syaf.g_00458	Prbb.g_00033
OG0000372	Syaf.g_00453	Prbb.g_00035
OG0000373	Syaf.g_00452	Prbb.g_00036
OG0000374	Syaf.g_00451	Prbb.g_00037
OG0000375	Syaf.g_00449	Prbb.g_00055
OG0000376	Syaf.g_00447	Prbb.g_00057
OG0000377	Syaf.g_00654	Prbb.g_00060
OG0000378	Syaf.g_00668	Prbb.g_00062
OG0000379	Syaf.g_00686	Prbb.g_00065
OG0000380	Syaf.g_00965	Prbb.g_00121
OG0000381	Syaf.g_00962	Prbb.g_00125
OG0000382	Syaf.g_00945	Prbb.g_00136
OG0000383	Syaf.g_00941	Prbb.g_00138
OG0000384	Syaf.g_00940	Prbb.g_00139
OG0000385	Syaf.g_00939	Prbb.g_00140
OG0000386	Syaf.g_00938	Prbb.g_00141
OG0000387	Syaf.g_00912	Prbb.g_00154
OG0000388	Syaf.g_00908	Prbb.g_00158
OG0000389	Syaf.g_00904	Prbb.g_00161
OG0000390	Syaf.g_00883	Prbb.g_00170
OG0000391	Syaf.g_00878	Prbb.g_00174
OG0000392	Syaf.g_00872	Prbb.g_00177
OG0000393	Syaf.g_00870	Prbb.g_00180
OG0000394	Syaf.g_00869	Prbb.g_00181
OG0000395	Syaf.g_00868	Prbb.g_00182
OG0000396	Syaf.g_00865	Prbb.g_00185
OG0000397	Syaf.g_00863	Prbb.g_00187
OG0000398	Syaf.g_00858	Prbb.g_00190
OG0000399	Syaf.g_00857	Prbb.g_00191
OG0000400	Syaf.g_00856	Prbb.g_00192
OG0000401	Syaf.g_00855	Prbb.g_00193
OG0000402	Syaf.g_00852	Prbb.g_01101
OG0000403	Syaf.g_00851	Prbb.g_00194
OG0000404	Syaf.g_00850	Prbb.g_00195
OG0000405	Syaf.g_00835	Prbb.g_00200
OG0000406	Syaf.g_00831	Prbb.g_00204
OG0000407	Syaf.g_00830	Prbb.g_00205
OG0000408	Syaf.g_00828	Prbb.g_00207
OG0000409	Syaf.g_00826	Prbb.g_00209
OG0000410	Syaf.g_00825	Prbb.g_00210
OG0000411	Syaf.g_00824	Prbb.g_00211
OG0000412	Syaf.g_00823	Prbb.g_00212
OG0000413	Syaf.g_00821	Prbb.g_00213
OG0000414	Syaf.g_00820	Prbb.g_00214
OG0000415	Syaf.g_00819	Prbb.g_00215
OG0000416	Syaf.g_00818	Prbb.g_00216
OG0000417	Syaf.g_00817	Prbb.g_00217
OG0000418	Syaf.g_00812	Prbb.g_00222
OG0000419	Syaf.g_00810	Prbb.g_00224
OG0000420	Syaf.g_00808	Prbb.g_00225
OG0000421	Syaf.g_00803	Prbb.g_00229
OG0000422	Syaf.g_00802	Prbb.g_00230
OG0000423	Syaf.g_00801	Prbb.g_00231
OG0000424	Syaf.g_00800	Prbb.g_00232
OG0000425	Syaf.g_00799	Prbb.g_00233
OG0000426	Syaf.g_00798	Prbb.g_00234
OG0000427	Syaf.g_00797	Prbb.g_00235
OG0000428	Syaf.g_00794	Prbb.g_00237
OG0000429	Syaf.g_00792	Prbb.g_00238
OG0000430	Syaf.g_00790	Prbb.g_00239
OG0000431	Syaf.g_00786	Prbb.g_00241
OG0000432	Syaf.g_00779	Prbb.g_00245
OG0000433	Syaf.g_00777	Prbb.g_00246
OG0000434	Syaf.g_00776	Prbb.g_00247
OG0000435	Syaf.g_00772	Prbb.g_00248
OG0000436	Syaf.g_00767	Prbb.g_00253
OG0000437	Syaf.g_00766	Prbb.g_00254
OG0000438	Syaf.g_00765	Prbb.g_00255
OG0000439	Syaf.g_00763	Prbb.g_00257
OG0000440	Syaf.g_00762	Prbb.g_00258
OG0000441	Syaf.g_00756	Prbb.g_00260
OG0000442	Syaf.g_00743	Prbb.g_00261
OG0000443	Syaf.g_00739	Prbb.g_00262
OG0000444	Syaf.g_00733	Prbb.g_00267
OG0000445	Syaf.g_00729	Prbb.g_00268
OG0000446	Syaf.g_00728	Prbb.g_00269
OG0000447	Syaf.g_00725	Prbb.g_00270
OG0000448	Syaf.g_00724	Prbb.g_00271
OG0000449	Syaf.g_00723	Prbb.g_00272
OG0000450	Syaf.g_00717	Prbb.g_00273
OG0000451	Syaf.g_00716	Prbb.g_00274
OG0000452	Syaf.g_00712	Prbb.g_00277
OG0000453	Syaf.g_00711	Prbb.g_00278
OG0000454	Syaf.g_00710	Prbb.g_00279
OG0000455	Syaf.g_00709	Prbb.g_00280
OG0000456	Syaf.g_00708	Prbb.g_00281
OG0000457	Syaf.g_00706	Prbb.g_00282
OG0000458	Syaf.g_00705	Prbb.g_00283
OG0000459	Syaf.g_00704	Prbb.g_00284
OG0000460	Syaf.g_02789	Prbb.g_00292
OG0000461	Syaf.g_00183	Prbb.g_00300
OG0000462	Syaf.g_00186	Prbb.g_00302
OG0000463	Syaf.g_00187	Prbb.g_00303
OG0000464	Syaf.g_00188	Prbb.g_00304
OG0000465	Syaf.g_00190	Prbb.g_00305
OG0000466	Syaf.g_00194	Prbb.g_00306
OG0000467	Syaf.g_00196	Prbb.g_00307
OG0000468	Syaf.g_00206	Prbb.g_00309
OG0000469	Syaf.g_00220	Prbb.g_00316
OG0000470	Syaf.g_00222	Prbb.g_00318
OG0000471	Syaf.g_00223	Prbb.g_00319
OG0000472	Syaf.g_00225	Prbb.g_00320
OG0000473	Syaf.g_00227	Prbb.g_00322
OG0000474	Syaf.g_00228	Prbb.g_00323
OG0000475	Syaf.g_00229	Prbb.g_00324
OG0000476	Syaf.g_00231	Prbb.g_00326
OG0000477	Syaf.g_00237	Prbb.g_00328
OG0000478	Syaf.g_00238	Prbb.g_00329
OG0000479	Syaf.g_00239	Prbb.g_00330
OG0000480	Syaf.g_00247	Prbb.g_00334
OG0000481	Syaf.g_00249	Prbb.g_00336
OG0000482	Syaf.g_00250	Prbb.g_00337
OG0000483	Syaf.g_00254	Prbb.g_00340
OG0000484	Syaf.g_00255	Prbb.g_00341
OG0000485	Syaf.g_00256	Prbb.g_00342
OG0000486	Syaf.g_00257	Prbb.g_00343
OG0000487	Syaf.g_00263	Prbb.g_00346
OG0000488	Syaf.g_00267	Prbb.g_00349
OG0000489	Syaf.g_00274	Prbb.g_00354
OG0000490	Syaf.g_00284	Prbb.g_00359
OG0000491	Syaf.g_00285	Prbb.g_00360
OG0000492	Syaf.g_00288	Prbb.g_00362
OG0000493	Syaf.g_00289	Prbb.g_00363
OG0000494	Syaf.g_00290	Prbb.g_00364
OG0000495	Syaf.g_00291	Prbb.g_00365
OG0000496	Syaf.g_00292	Prbb.g_00366
OG0000497	Syaf.g_00293	Prbb.g_00367
OG0000498	Syaf.g_00294	Prbb.g_00368
OG0000499	Syaf.g_00295	Prbb.g_00369
OG0000500	Syaf.g_00296	Prbb.g_00370
OG0000501	Syaf.g_00299	Prbb.g_00372
OG0000502	Syaf.g_00319	Prbb.g_00375
OG0000503	Syaf.g_00023	Prbb.g_00394
OG0000504	Syaf.g_00021	Prbb.g_00396
OG0000505	Syaf.g_00020	Prbb.g_00397
OG0000506	Syaf.g_00018	Prbb.g_00398
OG0000507	Syaf.g_00012	Prbb.g_00401
OG0000508	Syaf.g_00008	Prbb.g_00404
OG0000509	Syaf.g_00006	Prbb.g_00406
OG0000510	Syaf.g_00005	Prbb.g_00407
OG0000511	Syaf.g_00004	Prbb.g_00408
OG0000512	Syaf.g_00002	Prbb.g_00410
OG0000513	Syaf.g_02803	Prbb.g_00419
OG0000514	Syaf.g_02796	Prbb.g_00436
OG0000515	Syaf.g_02795	Prbb.g_00437
OG0000516	Syaf.g_01219	Prbb.g_00438
OG0000517	Syaf.g_01213	Prbb.g_00440
OG0000518	Syaf.g_01230	Prbb.g_00451
OG0000519	Syaf.g_01231	Prbb.g_00452
OG0000520	Syaf.g_01235	Prbb.g_00453
OG0000521	Syaf.g_02542	Prbb.g_00458
OG0000522	Syaf.g_02538	Prbb.g_00460
OG0000523	Syaf.g_02537	Prbb.g_00461
OG0000524	Syaf.g_02531	Prbb.g_00468
OG0000525	Syaf.g_02507	Prbb.g_00472
OG0000526	Syaf.g_02504	Prbb.g_00473
OG0000527	Syaf.g_02500	Prbb.g_00476
OG0000528	Syaf.g_02728	Prbb.g_00482
OG0000529	Syaf.g_02720	Prbb.g_00486
OG0000530	Syaf.g_02717	Prbb.g_00489
OG0000531	Syaf.g_02716	Prbb.g_00490
OG0000532	Syaf.g_02713	Prbb.g_00491
OG0000533	Syaf.g_02712	Prbb.g_00492
OG0000534	Syaf.g_02711	Prbb.g_00493
OG0000535	Syaf.g_02710	Prbb.g_00494
OG0000536	Syaf.g_02709	Prbb.g_00495
OG0000537	Syaf.g_02708	Prbb.g_00496
