Orthogroup	Syaf	Pram
OG0000079	Syaf.g_00197	Pram.g_00240
OG0000080	Syaf.g_00306	Pram.g_01408
OG0000081	Syaf.g_02776	Pram.g_00469
OG0000082	Syaf.g_02576	Pram.g_01559
OG0000084	Syaf.g_02409	Pram.g_01384
OG0000085	Syaf.g_01048	Pram.g_01265
OG0000086	Syaf.g_00932	Pram.g_00072
OG0000087	Syaf.g_00848	Pram.g_00125
OG0000088	Syaf.g_00811	Pram.g_00151
OG0000089	Syaf.g_02807	Pram.g_00352
OG0000090	Syaf.g_02654	Pram.g_00471
OG0000091	Syaf.g_02302	Pram.g_01068
OG0000093	Syaf.g_02065	Pram.g_01038
OG0000094	Syaf.g_01940	Pram.g_00987
OG0000095	Syaf.g_01442	Pram.g_00888
OG0000097	Syaf.g_01574	Pram.g_01093
OG0000098	Syaf.g_01637	Pram.g_01478
OG0000099	Syaf.g_00312	Pram.g_01445
OG0000100	Syaf.g_02017	Pram.g_01298
OG0000101	Syaf.g_00093	Pram.g_01770
OG0000102	Syaf.g_00393	Pram.g_01838
OG0000103	Syaf.g_00520	Pram.g_01925
OG0000104	Syaf.g_00502	Pram.g_01934
OG0000105	Syaf.g_00235	Pram.g_00262
OG0000106	Syaf.g_01745	Pram.g_00677
OG0000107	Syaf.g_00177, Syaf.g_00758	Pram.g_01696
OG0000108	Syaf.g_02721	Pram.g_00416
OG0000109	Syaf.g_02706	Pram.g_00430
OG0000110	Syaf.g_02589	Pram.g_00513
OG0000111	Syaf.g_01451	Pram.g_00793
OG0000112	Syaf.g_01852	Pram.g_00935
OG0000113	Syaf.g_02022	Pram.g_00832
OG0000114	Syaf.g_02103	Pram.g_00734
OG0000115	Syaf.g_02445	Pram.g_01201
OG0000116	Syaf.g_01276	Pram.g_01151
OG0000117	Syaf.g_01605	Pram.g_01112
OG0000118	Syaf.g_02544	Pram.g_01242
OG0000120	Syaf.g_00313	Pram.g_01446
OG0000121	Syaf.g_02419	Pram.g_01376
OG0000123	Syaf.g_00086	Pram.g_01777
OG0000124	Syaf.g_00414	Pram.g_01850
OG0000125	Syaf.g_00640	Pram.g_01886
OG0000126	Syaf.g_00504	Pram.g_01933
OG0000127	Syaf.g_01541, Syaf.g_01151	Pram.g_00611
OG0000128	Syaf.g_00486	Pram.g_01949
OG0000129	Syaf.g_00651	Pram.g_00029
OG0000130	Syaf.g_00963	Pram.g_00054
OG0000131	Syaf.g_00833	Pram.g_00130
OG0000132	Syaf.g_00813	Pram.g_00149
OG0000133	Syaf.g_01857	Pram.g_00310
OG0000134	Syaf.g_02804	Pram.g_00354
OG0000135	Syaf.g_00605	Pram.g_01589
OG0000136	Syaf.g_01224	Pram.g_00376
OG0000137	Syaf.g_02498	Pram.g_00411
OG0000138	Syaf.g_02705	Pram.g_00431
OG0000139	Syaf.g_02648	Pram.g_00475
OG0000140	Syaf.g_02646	Pram.g_00476
OG0000141	Syaf.g_02375	Pram.g_00545
OG0000142	Syaf.g_02310	Pram.g_01075
OG0000143	Syaf.g_02306	Pram.g_01072
OG0000144	Syaf.g_01735	Pram.g_01058
OG0000145	Syaf.g_02699	Pram.g_01534
OG0000146	Syaf.g_01851	Pram.g_00934
OG0000147	Syaf.g_01850	Pram.g_00933
OG0000148	Syaf.g_02028	Pram.g_00826
OG0000149	Syaf.g_01371	Pram.g_00858
OG0000150	Syaf.g_02645	Pram.g_00868
OG0000151	Syaf.g_02091	Pram.g_00744
OG0000152	Syaf.g_01861	Pram.g_00943
OG0000153	Syaf.g_01904	Pram.g_00961
OG0000154	Syaf.g_01930	Pram.g_00978
OG0000155	Syaf.g_01324	Pram.g_01118
OG0000156	Syaf.g_01270	Pram.g_01219
OG0000157	Syaf.g_01269	Pram.g_01220
OG0000158	Syaf.g_00364	Pram.g_01815
OG0000159	Syaf.g_00311	Pram.g_00045
OG0000160	Syaf.g_02418	Pram.g_01377
OG0000161	Syaf.g_02424	Pram.g_01145, Pram.g_01371
OG0000162	Syaf.g_02431	Pram.g_01365
OG0000163	Syaf.g_01105	Pram.g_01326
OG0000164	Syaf.g_00999	Pram.g_01656
OG0000165	Syaf.g_01197	Pram.g_01664
OG0000166	Syaf.g_00133	Pram.g_01733
OG0000167	Syaf.g_00350	Pram.g_01805
OG0000168	Syaf.g_00365	Pram.g_01816
OG0000169	Syaf.g_00376	Pram.g_01826
OG0000170	Syaf.g_00383	Pram.g_01829
OG0000171	Syaf.g_00413	Pram.g_01849
OG0000172	Syaf.g_00419	Pram.g_01856
OG0000173	Syaf.g_00438	Pram.g_01871
OG0000174	Syaf.g_00603	Pram.g_01902
OG0000175	Syaf.g_00531	Pram.g_01914
OG0000176	Syaf.g_00494	Pram.g_01942
OG0000177	Syaf.g_00493	Pram.g_01943
OG0000178	Syaf.g_00492	Pram.g_01944
OG0000179	Syaf.g_00477	Pram.g_00003
OG0000180	Syaf.g_00476	Pram.g_00004
OG0000181	Syaf.g_00475	Pram.g_00005
OG0000182	Syaf.g_00474	Pram.g_00006
OG0000183	Syaf.g_00470	Pram.g_00010
OG0000184	Syaf.g_00664	Pram.g_00033
OG0000185	Syaf.g_00684	Pram.g_00036
OG0000186	Syaf.g_00968	Pram.g_00048
OG0000187	Syaf.g_00966	Pram.g_00049
OG0000188	Syaf.g_00944	Pram.g_00066
OG0000189	Syaf.g_00916	Pram.g_00080
OG0000190	Syaf.g_00914	Pram.g_00081
OG0000191	Syaf.g_00877	Pram.g_00103
OG0000192	Syaf.g_00871	Pram.g_00108
OG0000193	Syaf.g_00832	Pram.g_00131
OG0000194	Syaf.g_00829	Pram.g_00134
OG0000195	Syaf.g_00827	Pram.g_00136
OG0000196	Syaf.g_00816	Pram.g_00146
OG0000197	Syaf.g_00815	Pram.g_00147
OG0000198	Syaf.g_00814	Pram.g_00148
OG0000199	Syaf.g_00806	Pram.g_00155
OG0000200	Syaf.g_00789	Pram.g_00168
OG0000201	Syaf.g_00771	Pram.g_00177
OG0000202	Syaf.g_00770	Pram.g_00178
OG0000203	Syaf.g_00769	Pram.g_00179
OG0000204	Syaf.g_00768	Pram.g_00180
OG0000205	Syaf.g_00761	Pram.g_00187
OG0000206	Syaf.g_00736	Pram.g_00192
OG0000207	Syaf.g_00735	Pram.g_00194
OG0000208	Syaf.g_00734	Pram.g_00195
OG0000209	Syaf.g_00714	Pram.g_00204
OG0000210	Syaf.g_00713	Pram.g_00205
OG0000211	Syaf.g_02791	Pram.g_00220
OG0000212	Syaf.g_02781	Pram.g_00228
OG0000213	Syaf.g_00210	Pram.g_00246
OG0000214	Syaf.g_00226	Pram.g_00255
OG0000215	Syaf.g_00258	Pram.g_00282
OG0000216	Syaf.g_00262	Pram.g_00283
OG0000217	Syaf.g_00266	Pram.g_00286
OG0000218	Syaf.g_00268	Pram.g_00288
OG0000219	Syaf.g_00269	Pram.g_00289
OG0000220	Syaf.g_00270	Pram.g_00290
OG0000221	Syaf.g_02597, Syaf.g_00273	Pram.g_00291
OG0000222	Syaf.g_00287	Pram.g_00298
OG0000223	Syaf.g_00317	Pram.g_00311
OG0000224	Syaf.g_00324	Pram.g_00313
OG0000225	Syaf.g_00007	Pram.g_00341
OG0000226	Syaf.g_00003	Pram.g_00345
OG0000227	Syaf.g_00001	Pram.g_00347
OG0000228	Syaf.g_02808	Pram.g_00351
OG0000229	Syaf.g_01214	Pram.g_00371
OG0000230	Syaf.g_01216	Pram.g_00373
OG0000231	Syaf.g_01236	Pram.g_00384
OG0000232	Syaf.g_02536	Pram.g_00397
OG0000233	Syaf.g_02528	Pram.g_00402
OG0000234	Syaf.g_02497	Pram.g_00412
OG0000235	Syaf.g_02722	Pram.g_00415
OG0000236	Syaf.g_02707	Pram.g_00429
OG0000237	Syaf.g_02690	Pram.g_00443
OG0000238	Syaf.g_02685	Pram.g_00449
OG0000239	Syaf.g_02669	Pram.g_00462
OG0000240	Syaf.g_02668	Pram.g_00463
OG0000241	Syaf.g_02322	Pram.g_00468
OG0000242	Syaf.g_02656	Pram.g_00470
OG0000243	Syaf.g_02634	Pram.g_00480
OG0000244	Syaf.g_02627	Pram.g_00483
OG0000245	Syaf.g_02625	Pram.g_00485
OG0000246	Syaf.g_02621	Pram.g_00489
OG0000247	Syaf.g_02610	Pram.g_00500
OG0000248	Syaf.g_02607	Pram.g_00503
OG0000249	Syaf.g_02605	Pram.g_00505
OG0000250	Syaf.g_02593	Pram.g_00510
OG0000251	Syaf.g_02568	Pram.g_00528
OG0000252	Syaf.g_02565	Pram.g_00531
OG0000253	Syaf.g_02564	Pram.g_00532
OG0000254	Syaf.g_02371	Pram.g_00549
OG0000255	Syaf.g_02352	Pram.g_00555
OG0000256	Syaf.g_02329	Pram.g_00566
OG0000257	Syaf.g_02323	Pram.g_01080
OG0000258	Syaf.g_02301	Pram.g_01067
OG0000259	Syaf.g_02137	Pram.g_01050
OG0000260	Syaf.g_02134	Pram.g_01047
OG0000261	Syaf.g_02131	Pram.g_01044
OG0000262	Syaf.g_02126	Pram.g_01039
OG0000263	Syaf.g_01585	Pram.g_00771
OG0000264	Syaf.g_01473	Pram.g_00782
OG0000265	Syaf.g_01196	Pram.g_00801
OG0000266	Syaf.g_01967	Pram.g_01020
OG0000267	Syaf.g_01787	Pram.g_01007
OG0000268	Syaf.g_00307, Syaf.g_01788	Pram.g_01006
OG0000269	Syaf.g_02054	Pram.g_00804
OG0000270	Syaf.g_02051	Pram.g_00807
OG0000271	Syaf.g_02043	Pram.g_00815
OG0000272	Syaf.g_02042	Pram.g_00816
OG0000273	Syaf.g_01392	Pram.g_00839
OG0000274	Syaf.g_01391	Pram.g_00840
OG0000275	Syaf.g_01386	Pram.g_00843
OG0000276	Syaf.g_01379	Pram.g_00849
OG0000277	Syaf.g_01378	Pram.g_00850
OG0000278	Syaf.g_01375	Pram.g_00853
OG0000279	Syaf.g_01367	Pram.g_00861
OG0000280	Syaf.g_01337	Pram.g_00862
OG0000281	Syaf.g_01636	Pram.g_00870
OG0000282	Syaf.g_02101	Pram.g_00736
OG0000283	Syaf.g_01804	Pram.g_00916
OG0000284	Syaf.g_01810	Pram.g_00921
OG0000285	Syaf.g_01842	Pram.g_00926
OG0000286	Syaf.g_01860	Pram.g_00942
OG0000287	Syaf.g_01896	Pram.g_01199
OG0000288	Syaf.g_01929	Pram.g_00977
OG0000289	Syaf.g_01943	Pram.g_00992
OG0000290	Syaf.g_01439	Pram.g_00891
OG0000291	Syaf.g_01441	Pram.g_00889
OG0000292	Syaf.g_00505	Pram.g_01185
OG0000293	Syaf.g_01277	Pram.g_01150
OG0000294	Syaf.g_01278	Pram.g_01149
OG0000295	Syaf.g_01316	Pram.g_01125
OG0000296	Syaf.g_01318	Pram.g_01123
OG0000297	Syaf.g_01607	Pram.g_01114
OG0000298	Syaf.g_01606	Pram.g_01113
OG0000299	Syaf.g_01578	Pram.g_01094
OG0000300	Syaf.g_01571	Pram.g_01091
OG0000301	Syaf.g_01570	Pram.g_01090
OG0000302	Syaf.g_01568	Pram.g_01088
OG0000303	Syaf.g_01559	Pram.g_01082
OG0000304	Syaf.g_01551	Pram.g_00571
OG0000305	Syaf.g_01444	Pram.g_01183
OG0000306	Syaf.g_01332	Pram.g_00874
OG0000307	Syaf.g_02742	Pram.g_01458
OG0000308	Syaf.g_02744	Pram.g_01457
OG0000309	Syaf.g_02749	Pram.g_01453
OG0000310	Syaf.g_02387	Pram.g_01395
OG0000311	Syaf.g_02391	Pram.g_01393
OG0000312	Syaf.g_02397	Pram.g_01390
OG0000313	Syaf.g_02421	Pram.g_01374
OG0000314	Syaf.g_02458	Pram.g_01351
OG0000315	Syaf.g_02468	Pram.g_01341
OG0000316	Syaf.g_01088	Pram.g_01315
OG0000317	Syaf.g_01040	Pram.g_01629
OG0000318	Syaf.g_01032	Pram.g_01633
OG0000319	Syaf.g_01015	Pram.g_01646
OG0000320	Syaf.g_01013	Pram.g_01648
OG0000321	Syaf.g_01012	Pram.g_01649
OG0000322	Syaf.g_01011	Pram.g_01650
OG0000323	Syaf.g_00997	Pram.g_01659
OG0000324	Syaf.g_01164	Pram.g_01687
OG0000325	Syaf.g_00176	Pram.g_01697
OG0000326	Syaf.g_00169	Pram.g_01704
OG0000327	Syaf.g_00138	Pram.g_01728
OG0000328	Syaf.g_00137	Pram.g_01729
OG0000329	Syaf.g_00119	Pram.g_01746
OG0000330	Syaf.g_00118	Pram.g_01747
OG0000331	Syaf.g_00117	Pram.g_01748
OG0000332	Syaf.g_00102	Pram.g_01762
OG0000333	Syaf.g_00099	Pram.g_01764
OG0000334	Syaf.g_00090	Pram.g_01773
OG0000335	Syaf.g_00085	Pram.g_01778
OG0000336	Syaf.g_00081	Pram.g_01782
OG0000337	Syaf.g_00344	Pram.g_01801
OG0000338	Syaf.g_00348	Pram.g_01802
OG0000339	Syaf.g_00355	Pram.g_01808
OG0000340	Syaf.g_00366	Pram.g_01817
OG0000341	Syaf.g_00368	Pram.g_01819
OG0000342	Syaf.g_00369	Pram.g_01820
OG0000343	Syaf.g_00370	Pram.g_01821
OG0000344	Syaf.g_00374	Pram.g_01824
OG0000345	Syaf.g_00384	Pram.g_01830
OG0000346	Syaf.g_00389	Pram.g_01834
OG0000347	Syaf.g_00415	Pram.g_01851
OG0000348	Syaf.g_00427	Pram.g_01859
OG0000349	Syaf.g_00445	Pram.g_01877
OG0000350	Syaf.g_00162	Pram.g_01898
OG0000351	Syaf.g_00528	Pram.g_01917
OG0000352	Syaf.g_00527	Pram.g_01918
OG0000353	Syaf.g_00499	Pram.g_01937
OG0000355	Syaf.g_00497	Pram.g_01939
OG0000356	Syaf.g_00496	Pram.g_01940
OG0000357	Syaf.g_00495	Pram.g_01941
OG0000358	Syaf.g_00491	Pram.g_01945
OG0000359	Syaf.g_00489	Pram.g_01946
OG0000360	Syaf.g_00488	Pram.g_01947
OG0000361	Syaf.g_00487	Pram.g_01948
OG0000362	Syaf.g_00485	Pram.g_01950
OG0000363	Syaf.g_00483	Pram.g_00001
OG0000364	Syaf.g_00482	Pram.g_00002
OG0000365	Syaf.g_00473	Pram.g_00007
OG0000366	Syaf.g_00472	Pram.g_00008
OG0000367	Syaf.g_00471	Pram.g_00009
OG0000368	Syaf.g_00469	Pram.g_00011
OG0000369	Syaf.g_00468	Pram.g_00012
OG0000370	Syaf.g_00467	Pram.g_00013
OG0000371	Syaf.g_00458	Pram.g_00019
OG0000372	Syaf.g_00453	Pram.g_00021
OG0000373	Syaf.g_00452	Pram.g_00022
OG0000374	Syaf.g_00451	Pram.g_00023
OG0000375	Syaf.g_00449	Pram.g_00024
OG0000376	Syaf.g_00447	Pram.g_00026
OG0000377	Syaf.g_00654	Pram.g_00030
OG0000378	Syaf.g_00668	Pram.g_00034
OG0000379	Syaf.g_00686	Pram.g_00037
OG0000380	Syaf.g_00965	Pram.g_00050
OG0000381	Syaf.g_00962	Pram.g_00055
OG0000382	Syaf.g_00945	Pram.g_00065
OG0000383	Syaf.g_00941	Pram.g_00067
OG0000384	Syaf.g_00940	Pram.g_00068
OG0000385	Syaf.g_00939	Pram.g_00069
OG0000386	Syaf.g_00938	Pram.g_00070
OG0000387	Syaf.g_00912	Pram.g_00083
OG0000388	Syaf.g_00908	Pram.g_00087
OG0000389	Syaf.g_00904	Pram.g_00090
OG0000390	Syaf.g_00883	Pram.g_00099
OG0000391	Syaf.g_00878	Pram.g_00102
OG0000392	Syaf.g_00872	Pram.g_00106
OG0000393	Syaf.g_00870	Pram.g_00109
OG0000394	Syaf.g_00869	Pram.g_00110
OG0000395	Syaf.g_00868	Pram.g_00111
OG0000396	Syaf.g_00865	Pram.g_00113
OG0000397	Syaf.g_00863	Pram.g_00115
OG0000398	Syaf.g_00858	Pram.g_00118
OG0000399	Syaf.g_00857	Pram.g_00119
OG0000400	Syaf.g_00856	Pram.g_00120
OG0000401	Syaf.g_00855	Pram.g_00121
OG0000402	Syaf.g_00852	Pram.g_01001
OG0000403	Syaf.g_00851	Pram.g_00123
OG0000404	Syaf.g_00850	Pram.g_00124
OG0000405	Syaf.g_00835	Pram.g_00128
OG0000406	Syaf.g_00831	Pram.g_00132
OG0000407	Syaf.g_00830	Pram.g_00133
OG0000408	Syaf.g_00828	Pram.g_00135
OG0000409	Syaf.g_00826	Pram.g_00137
OG0000410	Syaf.g_00825	Pram.g_00138
OG0000411	Syaf.g_00824	Pram.g_00139
OG0000412	Syaf.g_00823	Pram.g_00140
OG0000413	Syaf.g_00821	Pram.g_00141
OG0000414	Syaf.g_00820	Pram.g_00142
OG0000415	Syaf.g_00819	Pram.g_00143
OG0000416	Syaf.g_00818	Pram.g_00144
OG0000417	Syaf.g_00817	Pram.g_00145
OG0000418	Syaf.g_00812	Pram.g_00150
OG0000419	Syaf.g_00810	Pram.g_00152
OG0000420	Syaf.g_00808	Pram.g_00153
OG0000421	Syaf.g_00803	Pram.g_00157
OG0000422	Syaf.g_00802	Pram.g_00158
OG0000423	Syaf.g_00801	Pram.g_00159
OG0000424	Syaf.g_00800	Pram.g_00160
OG0000425	Syaf.g_00799	Pram.g_00161
OG0000426	Syaf.g_00798	Pram.g_00162
OG0000427	Syaf.g_00797	Pram.g_00163
OG0000428	Syaf.g_00794	Pram.g_00165
OG0000429	Syaf.g_00792	Pram.g_00166
OG0000430	Syaf.g_00790	Pram.g_00167
OG0000431	Syaf.g_00786	Pram.g_00169
OG0000432	Syaf.g_00779	Pram.g_00173
OG0000433	Syaf.g_00777	Pram.g_00174
OG0000434	Syaf.g_00776	Pram.g_00175
OG0000435	Syaf.g_00772	Pram.g_00176
OG0000436	Syaf.g_00767	Pram.g_00181
OG0000437	Syaf.g_00766	Pram.g_00182
OG0000438	Syaf.g_00765	Pram.g_00183
OG0000439	Syaf.g_00763	Pram.g_00185
OG0000440	Syaf.g_00762	Pram.g_00186
OG0000441	Syaf.g_00756	Pram.g_00189
OG0000442	Syaf.g_00743	Pram.g_00190
OG0000443	Syaf.g_00739	Pram.g_00191
OG0000444	Syaf.g_00733	Pram.g_00196
OG0000445	Syaf.g_00729	Pram.g_00197
OG0000446	Syaf.g_00728	Pram.g_00198
OG0000447	Syaf.g_00725	Pram.g_00199
OG0000448	Syaf.g_00724	Pram.g_00200
OG0000449	Syaf.g_00723	Pram.g_00201
OG0000450	Syaf.g_00717	Pram.g_00202
OG0000451	Syaf.g_00716	Pram.g_00203
OG0000452	Syaf.g_00712	Pram.g_00206
OG0000453	Syaf.g_00711	Pram.g_00207
OG0000454	Syaf.g_00710	Pram.g_00208
OG0000455	Syaf.g_00709	Pram.g_00209
OG0000456	Syaf.g_00708	Pram.g_00210
OG0000457	Syaf.g_00706	Pram.g_00212
OG0000458	Syaf.g_00705	Pram.g_00213
OG0000459	Syaf.g_00704	Pram.g_00214
OG0000460	Syaf.g_02789	Pram.g_00222
OG0000461	Syaf.g_00183	Pram.g_00230
OG0000462	Syaf.g_00186	Pram.g_00232
OG0000463	Syaf.g_00187	Pram.g_00233
OG0000464	Syaf.g_00188	Pram.g_00234
OG0000465	Syaf.g_00190	Pram.g_00235
OG0000466	Syaf.g_00194	Pram.g_00238
OG0000467	Syaf.g_00196	Pram.g_00239
OG0000468	Syaf.g_00206	Pram.g_00242
OG0000469	Syaf.g_00220	Pram.g_00250
OG0000470	Syaf.g_00222	Pram.g_00252
OG0000471	Syaf.g_00223	Pram.g_00253
OG0000472	Syaf.g_00225	Pram.g_00254
OG0000473	Syaf.g_00227	Pram.g_00256
OG0000474	Syaf.g_00228	Pram.g_00257
OG0000475	Syaf.g_00229	Pram.g_00258
OG0000476	Syaf.g_00231	Pram.g_00260
OG0000477	Syaf.g_00237	Pram.g_00263
OG0000478	Syaf.g_00238	Pram.g_00264
OG0000479	Syaf.g_00239	Pram.g_00265
OG0000480	Syaf.g_00247	Pram.g_00270
OG0000481	Syaf.g_00249	Pram.g_00273
OG0000482	Syaf.g_00250	Pram.g_00274
OG0000483	Syaf.g_00254	Pram.g_00277
OG0000484	Syaf.g_00255	Pram.g_00278
OG0000485	Syaf.g_00256	Pram.g_00280
OG0000486	Syaf.g_00257	Pram.g_00281
OG0000487	Syaf.g_00263	Pram.g_00284
OG0000488	Syaf.g_00267	Pram.g_00287
OG0000489	Syaf.g_00274	Pram.g_00292
OG0000490	Syaf.g_00284	Pram.g_00296
OG0000491	Syaf.g_00285	Pram.g_00297
OG0000492	Syaf.g_00288	Pram.g_00299
OG0000493	Syaf.g_00289	Pram.g_00300
OG0000494	Syaf.g_00290	Pram.g_00301
OG0000495	Syaf.g_00291	Pram.g_00302
OG0000496	Syaf.g_00292	Pram.g_00303
OG0000497	Syaf.g_00293	Pram.g_00304
OG0000498	Syaf.g_00294	Pram.g_00305
OG0000499	Syaf.g_00295	Pram.g_00306
OG0000500	Syaf.g_00296	Pram.g_00307
OG0000501	Syaf.g_00299	Pram.g_00309
OG0000502	Syaf.g_00319	Pram.g_00312
OG0000503	Syaf.g_00023	Pram.g_00328
OG0000504	Syaf.g_00021	Pram.g_00330
OG0000505	Syaf.g_00020	Pram.g_00331
OG0000506	Syaf.g_00018	Pram.g_00332
OG0000507	Syaf.g_00012	Pram.g_00336
OG0000508	Syaf.g_00008	Pram.g_00340
OG0000509	Syaf.g_00006	Pram.g_00342
OG0000510	Syaf.g_00005	Pram.g_00343
OG0000511	Syaf.g_00004	Pram.g_00344
OG0000512	Syaf.g_00002	Pram.g_00346
OG0000513	Syaf.g_02803	Pram.g_00355
OG0000514	Syaf.g_02796	Pram.g_00366
OG0000515	Syaf.g_02795	Pram.g_00367
OG0000516	Syaf.g_01219	Pram.g_00368
OG0000517	Syaf.g_01213	Pram.g_00370
OG0000518	Syaf.g_01230	Pram.g_00381
OG0000519	Syaf.g_01231	Pram.g_00382
OG0000520	Syaf.g_01235	Pram.g_00383
OG0000521	Syaf.g_02542	Pram.g_00393
OG0000522	Syaf.g_02538	Pram.g_00395
OG0000523	Syaf.g_02537	Pram.g_00396
OG0000524	Syaf.g_02531	Pram.g_00400
OG0000525	Syaf.g_02507	Pram.g_00404
OG0000526	Syaf.g_02504	Pram.g_00406
OG0000527	Syaf.g_02500	Pram.g_00409
OG0000528	Syaf.g_02728	Pram.g_00414
OG0000529	Syaf.g_02720	Pram.g_00417
OG0000530	Syaf.g_02717	Pram.g_00420
OG0000531	Syaf.g_02716	Pram.g_00421
OG0000532	Syaf.g_02713	Pram.g_00423
OG0000533	Syaf.g_02712	Pram.g_00424
OG0000534	Syaf.g_02711	Pram.g_00425
OG0000535	Syaf.g_02710	Pram.g_00426
OG0000536	Syaf.g_02709	Pram.g_00427
OG0000537	Syaf.g_02708	Pram.g_00428
OG0000538	Syaf.g_02697	Pram.g_00438
OG0000539	Syaf.g_02696	Pram.g_00439
OG0000540	Syaf.g_02695	Pram.g_00440
OG0000541	Syaf.g_02694	Pram.g_00441
OG0000542	Syaf.g_02691	Pram.g_00442
OG0000543	Syaf.g_02689	Pram.g_00444
OG0000544	Syaf.g_02688	Pram.g_00445
OG0000545	Syaf.g_02686	Pram.g_00447
OG0000546	Syaf.g_02684	Pram.g_00450
OG0000547	Syaf.g_02682	Pram.g_00452
OG0000548	Syaf.g_02681	Pram.g_00453
OG0000549	Syaf.g_02676	Pram.g_00456
OG0000550	Syaf.g_02671	Pram.g_00461
OG0000551	Syaf.g_02666	Pram.g_00464
OG0000552	Syaf.g_02665	Pram.g_00465
OG0000553	Syaf.g_02663	Pram.g_00466
OG0000554	Syaf.g_02653	Pram.g_00472
OG0000555	Syaf.g_02635	Pram.g_00479
OG0000556	Syaf.g_02630	Pram.g_00481
OG0000557	Syaf.g_02628	Pram.g_00482
OG0000558	Syaf.g_02626	Pram.g_00484
OG0000559	Syaf.g_02622	Pram.g_00488
OG0000560	Syaf.g_02619	Pram.g_00491
OG0000561	Syaf.g_02618	Pram.g_00492
OG0000562	Syaf.g_02617	Pram.g_00493
OG0000563	Syaf.g_02616	Pram.g_00494
