Orthogroup	Syaf	Syat
OG0000076	Syaf.g_00388	Syat.g_02206
OG0000078	Syaf.g_02782	Syat.g_00184
OG0000079	Syaf.g_00197	Syat.g_01879
OG0000081	Syaf.g_02776	Syat.g_00980
OG0000082	Syaf.g_02576	Syat.g_00035
OG0000085	Syaf.g_01048	Syat.g_03113
OG0000086	Syaf.g_00932	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Syaf.g_00848	Syat.g_02912
OG0000088	Syaf.g_00811	Syat.g_02862
OG0000089	Syaf.g_02807	Syat.g_02953
OG0000090	Syaf.g_02654	Syat.g_03270
OG0000091	Syaf.g_02302	Syat.g_00939, Syat.g_00862
OG0000094	Syaf.g_01940	Syat.g_00698
OG0000095	Syaf.g_01442	Syat.g_00808
OG0000097	Syaf.g_01574	Syat.g_00907, Syat.g_00535
OG0000098	Syaf.g_01637	Syat.g_03281
OG0000099	Syaf.g_00312	Syat.g_02130
OG0000100	Syaf.g_02017	Syat.g_00517
OG0000102	Syaf.g_00393	Syat.g_00974
OG0000104	Syaf.g_00502	Syat.g_02385
OG0000105	Syaf.g_00235	Syat.g_02052
OG0000106	Syaf.g_01745	Syat.g_00957
OG0000107	Syaf.g_00758	Syat.g_01862
OG0000108	Syaf.g_02721	Syat.g_03170
OG0000110	Syaf.g_02589	Syat.g_00049
OG0000111	Syaf.g_01451	Syat.g_00816
OG0000112	Syaf.g_01852	Syat.g_00593
OG0000113	Syaf.g_02022	Syat.g_00509
OG0000114	Syaf.g_02103	Syat.g_00426
OG0000115	Syaf.g_02445	Syat.g_01328
OG0000116	Syaf.g_01276	Syat.g_02641
OG0000117	Syaf.g_01605	Syat.g_00224
OG0000118	Syaf.g_02544	Syat.g_01168
OG0000120	Syaf.g_00313	Syat.g_02132
OG0000121	Syaf.g_02419	Syat.g_01223
OG0000123	Syaf.g_00086	Syat.g_01653
OG0000124	Syaf.g_00414	Syat.g_02231
OG0000125	Syaf.g_00640	Syat.g_02684
OG0000126	Syaf.g_00504	Syat.g_00976
OG0000127	Syaf.g_01151	Syat.g_00175
OG0000128	Syaf.g_00486	Syat.g_02331
OG0000129	Syaf.g_00651	Syat.g_02693, Syat.g_02694
OG0000130	Syaf.g_00963	Syat.g_01469
OG0000131	Syaf.g_00833	Syat.g_02898
OG0000132	Syaf.g_00813	Syat.g_02864
OG0000133	Syaf.g_01857	Syat.g_00588
OG0000134	Syaf.g_02804	Syat.g_02956
OG0000135	Syaf.g_00605	Syat.g_02501
OG0000136	Syaf.g_01224	Syat.g_01292
OG0000137	Syaf.g_02498	Syat.g_01371
OG0000138	Syaf.g_02705	Syat.g_03188
OG0000139	Syaf.g_02648	Syat.g_03276
OG0000140	Syaf.g_02646	Syat.g_03280
OG0000141	Syaf.g_02375	Syat.g_03398
OG0000142	Syaf.g_02310	Syat.g_00117
OG0000143	Syaf.g_02306	Syat.g_00130
OG0000144	Syaf.g_01735	Syat.g_00369
OG0000145	Syaf.g_02699	Syat.g_03202
OG0000146	Syaf.g_01851	Syat.g_00594
OG0000147	Syaf.g_01850	Syat.g_00595
OG0000148	Syaf.g_02028	Syat.g_00503
OG0000149	Syaf.g_01371	Syat.g_00747
OG0000150	Syaf.g_02645	Syat.g_03399
OG0000151	Syaf.g_02091	Syat.g_00801, Syat.g_00440
OG0000152	Syaf.g_01861	Syat.g_00578
OG0000153	Syaf.g_01904	Syat.g_00542
OG0000154	Syaf.g_01930	Syat.g_00708
OG0000155	Syaf.g_01324	Syat.g_00287
OG0000156	Syaf.g_01270	Syat.g_03228
OG0000157	Syaf.g_01269	Syat.g_02012, Syat.g_03227
OG0000158	Syaf.g_00364	Syat.g_02163
OG0000159	Syaf.g_00311	Syat.g_01187
OG0000160	Syaf.g_02418	Syat.g_01224
OG0000161	Syaf.g_02424	Syat.g_01180
OG0000162	Syaf.g_02431	Syat.g_01281
OG0000163	Syaf.g_01105	Syat.g_02979
OG0000165	Syaf.g_01197	Syat.g_03033
OG0000166	Syaf.g_00133	Syat.g_01822
OG0000167	Syaf.g_00350	Syat.g_02148
OG0000168	Syaf.g_00365	Syat.g_02164
OG0000169	Syaf.g_00376	Syat.g_02192
OG0000170	Syaf.g_00383	Syat.g_02201
OG0000171	Syaf.g_00413	Syat.g_02230
OG0000172	Syaf.g_00419	Syat.g_02260
OG0000173	Syaf.g_00438	Syat.g_02284
OG0000174	Syaf.g_00603	Syat.g_02504
OG0000175	Syaf.g_00531	Syat.g_02416
OG0000176	Syaf.g_00494	Syat.g_02372
OG0000177	Syaf.g_00493	Syat.g_02338
OG0000178	Syaf.g_00492	Syat.g_02337
OG0000179	Syaf.g_00477	Syat.g_02322
OG0000180	Syaf.g_00476	Syat.g_02321
OG0000181	Syaf.g_00475	Syat.g_02320
OG0000182	Syaf.g_00474	Syat.g_02319
OG0000183	Syaf.g_00470	Syat.g_02315
OG0000184	Syaf.g_00664	Syat.g_02704
OG0000185	Syaf.g_00684	Syat.g_02719
OG0000186	Syaf.g_00968	Syat.g_01463
OG0000187	Syaf.g_00966	Syat.g_01467
OG0000188	Syaf.g_00944	Syat.g_01489
OG0000189	Syaf.g_00916	Syat.g_00386, Syat.g_01557
OG0000190	Syaf.g_00914	Syat.g_00330
OG0000191	Syaf.g_00877	Syat.g_03344, Syat.g_02939
OG0000192	Syaf.g_00871	Syat.g_02933
OG0000193	Syaf.g_00832	Syat.g_02897
OG0000194	Syaf.g_00829	Syat.g_02894
OG0000196	Syaf.g_00816	Syat.g_02867
OG0000197	Syaf.g_00815	Syat.g_02866
OG0000198	Syaf.g_00814	Syat.g_02865
OG0000199	Syaf.g_00806	Syat.g_02857
OG0000200	Syaf.g_00789	Syat.g_02840
OG0000201	Syaf.g_00771	Syat.g_02821
OG0000202	Syaf.g_00770	Syat.g_02820
OG0000203	Syaf.g_00769	Syat.g_02819
OG0000204	Syaf.g_00768	Syat.g_02818
OG0000205	Syaf.g_00761	Syat.g_02809
OG0000206	Syaf.g_00736	Syat.g_02785
OG0000207	Syaf.g_00735	Syat.g_02778
OG0000208	Syaf.g_00734	Syat.g_02777
OG0000209	Syaf.g_00714	Syat.g_02735
OG0000210	Syaf.g_00713	Syat.g_02734
OG0000211	Syaf.g_02791	Syat.g_01452
OG0000212	Syaf.g_02781	Syat.g_01442
OG0000213	Syaf.g_00210	Syat.g_01889
OG0000214	Syaf.g_00226	Syat.g_02042
OG0000215	Syaf.g_00258	Syat.g_02075
OG0000216	Syaf.g_00262	Syat.g_02079
OG0000217	Syaf.g_00266	Syat.g_02085
OG0000218	Syaf.g_00268	Syat.g_02087
OG0000219	Syaf.g_00269	Syat.g_02088
OG0000220	Syaf.g_00270	Syat.g_02089
OG0000221	Syaf.g_02597, Syaf.g_00273	Syat.g_02095
OG0000222	Syaf.g_00287	Syat.g_02109
OG0000223	Syaf.g_00317	Syat.g_02570
OG0000224	Syaf.g_00324	Syat.g_02139
OG0000225	Syaf.g_00007	Syat.g_01595
OG0000226	Syaf.g_00003	Syat.g_01588
OG0000228	Syaf.g_02808	Syat.g_02952
OG0000229	Syaf.g_01214	Syat.g_02970
OG0000230	Syaf.g_01216	Syat.g_02972
OG0000231	Syaf.g_01236	Syat.g_01283
OG0000232	Syaf.g_02536	Syat.g_01313
OG0000233	Syaf.g_02528	Syat.g_01407
OG0000234	Syaf.g_02497	Syat.g_01369
OG0000235	Syaf.g_02722	Syat.g_03169
OG0000236	Syaf.g_02707	Syat.g_03186
OG0000237	Syaf.g_02690	Syat.g_03214
OG0000238	Syaf.g_02685	Syat.g_03219
OG0000239	Syaf.g_02669	Syat.g_01105
OG0000240	Syaf.g_02668	Syat.g_01104
OG0000241	Syaf.g_02322	Syat.g_00111
OG0000242	Syaf.g_02656	Syat.g_01077
OG0000243	Syaf.g_02634	Syat.g_00092
OG0000244	Syaf.g_02627	Syat.g_00082
OG0000245	Syaf.g_02625	Syat.g_00080
OG0000246	Syaf.g_02621	Syat.g_00076
OG0000247	Syaf.g_02610	Syat.g_00065
OG0000248	Syaf.g_02607	Syat.g_00062
OG0000249	Syaf.g_02605	Syat.g_00060
OG0000250	Syaf.g_02593	Syat.g_00053
OG0000251	Syaf.g_02568	Syat.g_00027
OG0000252	Syaf.g_02565	Syat.g_00022
OG0000253	Syaf.g_02564	Syat.g_00021
OG0000254	Syaf.g_02371	Syat.g_03407
OG0000255	Syaf.g_02352	Syat.g_02405
OG0000256	Syaf.g_02329	Syat.g_03306
OG0000257	Syaf.g_02323	Syat.g_00109
OG0000258	Syaf.g_02301	Syat.g_00382
OG0000259	Syaf.g_02137	Syat.g_00342
OG0000260	Syaf.g_02134	Syat.g_00392
OG0000261	Syaf.g_02131	Syat.g_00400
OG0000262	Syaf.g_02126	Syat.g_00407
OG0000263	Syaf.g_01585	Syat.g_00200
OG0000266	Syaf.g_01967	Syat.g_00671
OG0000267	Syaf.g_01787	Syat.g_00636
OG0000268	Syaf.g_01788	Syat.g_00634
OG0000269	Syaf.g_02054	Syat.g_00474, Syat.g_00126
OG0000270	Syaf.g_02051	Syat.g_00477
OG0000271	Syaf.g_02043	Syat.g_00485
OG0000272	Syaf.g_02042	Syat.g_00486
OG0000274	Syaf.g_01391	Syat.g_00521
OG0000275	Syaf.g_01386	Syat.g_00718
OG0000276	Syaf.g_01379	Syat.g_00725
OG0000277	Syaf.g_01378	Syat.g_00738
OG0000278	Syaf.g_01375	Syat.g_00741
OG0000279	Syaf.g_01367	Syat.g_00755
OG0000280	Syaf.g_01337	Syat.g_01669
OG0000281	Syaf.g_01636	Syat.g_00960
OG0000282	Syaf.g_02101	Syat.g_00431
OG0000283	Syaf.g_01804	Syat.g_00620
OG0000284	Syaf.g_01810	Syat.g_00614
OG0000285	Syaf.g_01842	Syat.g_00607
OG0000286	Syaf.g_01860	Syat.g_00579
OG0000287	Syaf.g_01896	Syat.g_00550
OG0000288	Syaf.g_01929	Syat.g_00709
OG0000289	Syaf.g_01943	Syat.g_00695
OG0000290	Syaf.g_01439	Syat.g_00805
OG0000291	Syaf.g_01441	Syat.g_00807
OG0000292	Syaf.g_00505	Syat.g_02388
OG0000293	Syaf.g_01277	Syat.g_03241
OG0000294	Syaf.g_01278	Syat.g_03248
OG0000295	Syaf.g_01316	Syat.g_00297
OG0000296	Syaf.g_01318	Syat.g_00295
OG0000298	Syaf.g_01606	Syat.g_00225
OG0000299	Syaf.g_01578	Syat.g_00910
OG0000300	Syaf.g_01571	Syat.g_00904
OG0000301	Syaf.g_01570	Syat.g_00903
OG0000302	Syaf.g_01568	Syat.g_00901
OG0000303	Syaf.g_01559	Syat.g_00892
OG0000304	Syaf.g_01551	Syat.g_00885
OG0000305	Syaf.g_01444	Syat.g_00809
OG0000306	Syaf.g_01332	Syat.g_01704
OG0000307	Syaf.g_02742	Syat.g_01304
OG0000308	Syaf.g_02744	Syat.g_01306
OG0000309	Syaf.g_02749	Syat.g_01417
OG0000310	Syaf.g_02387	Syat.g_01246
OG0000311	Syaf.g_02391	Syat.g_01242
OG0000312	Syaf.g_02397	Syat.g_01237
OG0000313	Syaf.g_02421	Syat.g_01183
OG0000314	Syaf.g_02458	Syat.g_01341
OG0000315	Syaf.g_02468	Syat.g_01351
OG0000316	Syaf.g_01088	Syat.g_03082
OG0000317	Syaf.g_01040	Syat.g_03120
OG0000318	Syaf.g_01032	Syat.g_03125
OG0000319	Syaf.g_01015	Syat.g_03055
OG0000320	Syaf.g_01013	Syat.g_03053
OG0000321	Syaf.g_01012	Syat.g_03052
OG0000322	Syaf.g_01011	Syat.g_03051
OG0000323	Syaf.g_00997	Syat.g_03038
OG0000324	Syaf.g_01164	Syat.g_02998
OG0000325	Syaf.g_00176	Syat.g_01861
OG0000326	Syaf.g_00169	Syat.g_01854
OG0000327	Syaf.g_00138	Syat.g_01827
OG0000328	Syaf.g_00137	Syat.g_01826
OG0000329	Syaf.g_00119	Syat.g_01808
OG0000330	Syaf.g_00118	Syat.g_01807
OG0000331	Syaf.g_00117	Syat.g_01806
OG0000333	Syaf.g_00099	Syat.g_01787
OG0000334	Syaf.g_00090	Syat.g_01657
OG0000335	Syaf.g_00085	Syat.g_01652
OG0000336	Syaf.g_00081	Syat.g_01648
OG0000337	Syaf.g_00344	Syat.g_02144
OG0000338	Syaf.g_00348	Syat.g_02146
OG0000339	Syaf.g_00355	Syat.g_02155, Syat.g_01055
OG0000340	Syaf.g_00366	Syat.g_02165
OG0000341	Syaf.g_00368	Syat.g_02167
OG0000342	Syaf.g_00369	Syat.g_02168
OG0000343	Syaf.g_00370	Syat.g_02185
OG0000344	Syaf.g_00374	Syat.g_02189
OG0000345	Syaf.g_00384	Syat.g_02202
OG0000346	Syaf.g_00389	Syat.g_02207
OG0000347	Syaf.g_00415	Syat.g_02234
OG0000348	Syaf.g_00427	Syat.g_02264
OG0000349	Syaf.g_00445	Syat.g_02291
OG0000350	Syaf.g_00162	Syat.g_01847
OG0000351	Syaf.g_00528	Syat.g_02411
OG0000352	Syaf.g_00527	Syat.g_02410
OG0000353	Syaf.g_00499	Syat.g_00955, Syat.g_02377
OG0000354	Syaf.g_02680	Syat.g_03225
OG0000354	Syaf.g_00479	Syat.g_02325
OG0000355	Syaf.g_00497	Syat.g_02375
OG0000356	Syaf.g_00496	Syat.g_02374
OG0000357	Syaf.g_00495	Syat.g_02373
OG0000358	Syaf.g_00491	Syat.g_02336
OG0000359	Syaf.g_00489	Syat.g_02334
OG0000360	Syaf.g_00488	Syat.g_02333
OG0000361	Syaf.g_00487	Syat.g_02332
OG0000362	Syaf.g_00485	Syat.g_02330
OG0000363	Syaf.g_00483	Syat.g_02328
OG0000364	Syaf.g_00482	Syat.g_03122
OG0000365	Syaf.g_00473	Syat.g_02318
OG0000366	Syaf.g_00472	Syat.g_02317
OG0000367	Syaf.g_00471	Syat.g_02316
OG0000368	Syaf.g_00469	Syat.g_02314
OG0000369	Syaf.g_00468	Syat.g_02313
OG0000370	Syaf.g_00467	Syat.g_02312
OG0000371	Syaf.g_00458	Syat.g_02304
OG0000372	Syaf.g_00453	Syat.g_02298
OG0000373	Syaf.g_00452	Syat.g_02297
OG0000374	Syaf.g_00451	Syat.g_02296
OG0000375	Syaf.g_00449	Syat.g_02295
OG0000376	Syaf.g_00447	Syat.g_02293
OG0000377	Syaf.g_00654	Syat.g_02695
OG0000378	Syaf.g_00668	Syat.g_02715
OG0000379	Syaf.g_00686	Syat.g_02720
OG0000380	Syaf.g_00965	Syat.g_01468
OG0000381	Syaf.g_00962	Syat.g_01470
OG0000382	Syaf.g_00945	Syat.g_01488
OG0000383	Syaf.g_00941	Syat.g_01521
OG0000384	Syaf.g_00940	Syat.g_01522
OG0000385	Syaf.g_00939	Syat.g_01523
OG0000386	Syaf.g_00938	Syat.g_01524
OG0000387	Syaf.g_00912	Syat.g_01561
OG0000388	Syaf.g_00908	Syat.g_01565
OG0000389	Syaf.g_00904	Syat.g_01569
OG0000390	Syaf.g_00883	Syat.g_02945
OG0000391	Syaf.g_00878	Syat.g_02940
OG0000392	Syaf.g_00872	Syat.g_02934
OG0000393	Syaf.g_00870	Syat.g_02931
OG0000394	Syaf.g_00869	Syat.g_02930
OG0000395	Syaf.g_00868	Syat.g_02929
OG0000396	Syaf.g_00865	Syat.g_02927
OG0000397	Syaf.g_00863	Syat.g_02925
OG0000398	Syaf.g_00858	Syat.g_02920
OG0000399	Syaf.g_00857	Syat.g_02919
OG0000400	Syaf.g_00856	Syat.g_02918
OG0000401	Syaf.g_00855	Syat.g_02917
OG0000402	Syaf.g_00852	Syat.g_02915
OG0000403	Syaf.g_00851	Syat.g_02914
OG0000404	Syaf.g_00850	Syat.g_02913
OG0000405	Syaf.g_00835	Syat.g_02900
OG0000406	Syaf.g_00831	Syat.g_02896
OG0000407	Syaf.g_00830	Syat.g_02895
OG0000408	Syaf.g_00828	Syat.g_02893
OG0000409	Syaf.g_00826	Syat.g_02891
OG0000410	Syaf.g_00825	Syat.g_02890
OG0000411	Syaf.g_00824	Syat.g_02889
OG0000412	Syaf.g_00823	Syat.g_02888
OG0000413	Syaf.g_00821	Syat.g_02886
OG0000414	Syaf.g_00820	Syat.g_02885
OG0000415	Syaf.g_00819	Syat.g_02884
OG0000416	Syaf.g_00818	Syat.g_02883
OG0000417	Syaf.g_00817	Syat.g_02868
OG0000418	Syaf.g_00812	Syat.g_02863
OG0000419	Syaf.g_00810	Syat.g_02861
OG0000420	Syaf.g_00808	Syat.g_02859
OG0000421	Syaf.g_00803	Syat.g_02855
OG0000422	Syaf.g_00802	Syat.g_02854
OG0000423	Syaf.g_00801	Syat.g_02853
OG0000424	Syaf.g_00800	Syat.g_02852
OG0000425	Syaf.g_00799	Syat.g_02851
OG0000426	Syaf.g_00798	Syat.g_02850
OG0000427	Syaf.g_00797	Syat.g_02849
OG0000428	Syaf.g_00794	Syat.g_02846
OG0000429	Syaf.g_00792	Syat.g_02843
OG0000430	Syaf.g_00790	Syat.g_02841
OG0000431	Syaf.g_00786	Syat.g_02838
OG0000432	Syaf.g_00779	Syat.g_02832
OG0000433	Syaf.g_00777	Syat.g_02829
OG0000434	Syaf.g_00776	Syat.g_02828
OG0000435	Syaf.g_00772	Syat.g_02824
OG0000436	Syaf.g_00767	Syat.g_02817
OG0000437	Syaf.g_00766	Syat.g_02558
OG0000438	Syaf.g_00765	Syat.g_02813
OG0000439	Syaf.g_00763	Syat.g_02811
OG0000440	Syaf.g_00762	Syat.g_02810
OG0000441	Syaf.g_00756	Syat.g_02807
OG0000442	Syaf.g_00743	Syat.g_02797
OG0000443	Syaf.g_00739	Syat.g_02787
OG0000444	Syaf.g_00733	Syat.g_02756
OG0000445	Syaf.g_00729	Syat.g_02755
OG0000446	Syaf.g_00728	Syat.g_02753
OG0000447	Syaf.g_00725	Syat.g_02749
OG0000448	Syaf.g_00724	Syat.g_02748
OG0000449	Syaf.g_00723	Syat.g_02747
OG0000450	Syaf.g_00717	Syat.g_02738
OG0000451	Syaf.g_00716	Syat.g_02737
OG0000452	Syaf.g_00712	Syat.g_02732
OG0000453	Syaf.g_00711	Syat.g_02731
OG0000454	Syaf.g_00710	Syat.g_02730
OG0000455	Syaf.g_00709	Syat.g_02729
OG0000456	Syaf.g_00708	Syat.g_02728
OG0000457	Syaf.g_00706	Syat.g_02726
OG0000458	Syaf.g_00705	Syat.g_02725
OG0000459	Syaf.g_00704	Syat.g_02724
OG0000460	Syaf.g_02789	Syat.g_01450
OG0000461	Syaf.g_00183	Syat.g_01866
OG0000462	Syaf.g_00186	Syat.g_01868
OG0000463	Syaf.g_00187	Syat.g_01869
OG0000464	Syaf.g_00188	Syat.g_01870
OG0000465	Syaf.g_00190	Syat.g_01872
OG0000466	Syaf.g_00194	Syat.g_01877
OG0000467	Syaf.g_00196	Syat.g_01878
OG0000468	Syaf.g_00206	Syat.g_01884
OG0000469	Syaf.g_00220	Syat.g_02000
OG0000470	Syaf.g_00222	Syat.g_02038
OG0000471	Syaf.g_00223	Syat.g_02039
OG0000472	Syaf.g_00225	Syat.g_02041
OG0000473	Syaf.g_00227	Syat.g_02043
OG0000474	Syaf.g_00228	Syat.g_02044
OG0000475	Syaf.g_00229	Syat.g_02045
OG0000476	Syaf.g_00231	Syat.g_02047
OG0000477	Syaf.g_00237	Syat.g_02053
OG0000478	Syaf.g_00238	Syat.g_02054
OG0000479	Syaf.g_00239	Syat.g_02056
OG0000480	Syaf.g_00247	Syat.g_02063
OG0000481	Syaf.g_00249	Syat.g_02066
OG0000482	Syaf.g_00250	Syat.g_02067
OG0000483	Syaf.g_00254	Syat.g_02071
OG0000484	Syaf.g_00255	Syat.g_02072
OG0000485	Syaf.g_00256	Syat.g_02073
OG0000486	Syaf.g_00257	Syat.g_02074
OG0000487	Syaf.g_00263	Syat.g_02080
OG0000488	Syaf.g_00267	Syat.g_02086
OG0000489	Syaf.g_00274	Syat.g_02097
OG0000490	Syaf.g_00284	Syat.g_02106
OG0000491	Syaf.g_00285	Syat.g_02107
OG0000492	Syaf.g_00288	Syat.g_02110
OG0000493	Syaf.g_00289	Syat.g_02111
OG0000494	Syaf.g_00290	Syat.g_02112
OG0000495	Syaf.g_00291	Syat.g_02120
OG0000496	Syaf.g_00292	Syat.g_02121
OG0000497	Syaf.g_00293	Syat.g_02122
OG0000498	Syaf.g_00294	Syat.g_02123
OG0000499	Syaf.g_00295	Syat.g_02124
OG0000500	Syaf.g_00296	Syat.g_02125
OG0000501	Syaf.g_00299	Syat.g_02128
OG0000502	Syaf.g_00319	Syat.g_02135
OG0000503	Syaf.g_00023	Syat.g_01614
OG0000504	Syaf.g_00021	Syat.g_01612
OG0000505	Syaf.g_00020	Syat.g_01611
OG0000506	Syaf.g_00018	Syat.g_01609
OG0000507	Syaf.g_00012	Syat.g_01603
OG0000508	Syaf.g_00008	Syat.g_01596
OG0000509	Syaf.g_00006	Syat.g_01591
OG0000510	Syaf.g_00005	Syat.g_01590
OG0000511	Syaf.g_00004	Syat.g_01589
OG0000512	Syaf.g_00002	Syat.g_01587
OG0000513	Syaf.g_02803	Syat.g_02957
OG0000514	Syaf.g_02796	Syat.g_02962
OG0000515	Syaf.g_02795	Syat.g_02963
OG0000516	Syaf.g_01219	Syat.g_02965
OG0000517	Syaf.g_01213	Syat.g_02969
OG0000518	Syaf.g_01230	Syat.g_01286
OG0000519	Syaf.g_01231	Syat.g_01285
OG0000520	Syaf.g_01235	Syat.g_01284
OG0000521	Syaf.g_02542	Syat.g_01319
OG0000522	Syaf.g_02538	Syat.g_01317
OG0000523	Syaf.g_02537	Syat.g_01316
OG0000524	Syaf.g_02531	Syat.g_01409
OG0000525	Syaf.g_02507	Syat.g_01382
OG0000526	Syaf.g_02504	Syat.g_01380
OG0000527	Syaf.g_02500	Syat.g_01373
OG0000528	Syaf.g_02728	Syat.g_03167
OG0000529	Syaf.g_02720	Syat.g_03171
OG0000530	Syaf.g_02717	Syat.g_03174
OG0000531	Syaf.g_02716	Syat.g_03175
OG0000532	Syaf.g_02713	Syat.g_03178
OG0000533	Syaf.g_02712	Syat.g_03180
OG0000534	Syaf.g_02711	Syat.g_03181
OG0000535	Syaf.g_02710	Syat.g_03182
OG0000536	Syaf.g_02709	Syat.g_03183
OG0000537	Syaf.g_02708	Syat.g_03185
OG0000538	Syaf.g_02697	Syat.g_03204
OG0000539	Syaf.g_02696	Syat.g_03206
OG0000540	Syaf.g_02695	Syat.g_03207
OG0000541	Syaf.g_02694	Syat.g_03208
OG0000542	Syaf.g_02691	Syat.g_03213
OG0000543	Syaf.g_02689	Syat.g_03215
OG0000544	Syaf.g_02688	Syat.g_03216
OG0000545	Syaf.g_02686	Syat.g_03218
OG0000546	Syaf.g_02684	Syat.g_03220
OG0000547	Syaf.g_02682	Syat.g_03222
OG0000548	Syaf.g_02681	Syat.g_03223
OG0000549	Syaf.g_02676	Syat.g_01795
OG0000550	Syaf.g_02671	Syat.g_01107
OG0000551	Syaf.g_02666	Syat.g_01103
OG0000552	Syaf.g_02665	Syat.g_01102
OG0000553	Syaf.g_02663	Syat.g_01098
OG0000554	Syaf.g_02653	Syat.g_03271
OG0000555	Syaf.g_02635	Syat.g_00093
OG0000556	Syaf.g_02630	Syat.g_00088
OG0000557	Syaf.g_02628	Syat.g_00083
OG0000558	Syaf.g_02626	Syat.g_00081
OG0000559	Syaf.g_02622	Syat.g_00077
OG0000560	Syaf.g_02619	Syat.g_00074
OG0000561	Syaf.g_02618	Syat.g_00073
OG0000562	Syaf.g_02617	Syat.g_00072
OG0000563	Syaf.g_02616	Syat.g_00071
OG0000564	Syaf.g_02615	Syat.g_00070
OG0000565	Syaf.g_02612	Syat.g_00067
OG0000566	Syaf.g_02608	Syat.g_00063
OG0000567	Syaf.g_02604	Syat.g_00059
OG0000568	Syaf.g_02599	Syat.g_00057
OG0000569	Syaf.g_02596	Syat.g_00056
OG0000570	Syaf.g_02595	Syat.g_00055
OG0000571	Syaf.g_02591	Syat.g_00052
OG0000572	Syaf.g_02575	Syat.g_00033
OG0000573	Syaf.g_02567	Syat.g_00024
OG0000574	Syaf.g_02566	Syat.g_00023
OG0000575	Syaf.g_02562	Syat.g_00018
OG0000576	Syaf.g_02560	Syat.g_00014
OG0000577	Syaf.g_02559	Syat.g_00013
