Orthogroup	Prbl	Syae
OG0000077	Prbl.g_00596	Syae.g_01297
OG0000078	Prbl.g_00193	Syae.g_02243
OG0000079	Prbl.g_01505	Syae.g_02011
OG0000081	Prbl.g_00032	Syae.g_02261
OG0000082	Prbl.g_01783	Syae.g_02447
OG0000084	Prbl.g_00246	Syae.g_02656
OG0000085	Prbl.g_00405	Syae.g_01152
OG0000086	Prbl.g_00583	Syae.g_01333
OG0000087	Prbl.g_00810	Syae.g_01414
OG0000088	Prbl.g_01838, Prbl.g_00281	Syae.g_01449
OG0000089	Prbl.g_02674	Syae.g_02219
OG0000090	Prbl.g_00766	Syae.g_02374
OG0000091	Prbl.g_01647	Syae.g_00082
OG0000093	Prbl.g_02359	Syae.g_00537
OG0000095	Prbl.g_00927	Syae.g_00793
OG0000097	Prbl.g_02579	Syae.g_00683
OG0000098	Prbl.g_00722	Syae.g_02058
OG0000099	Prbl.g_00893	Syae.g_01913
OG0000100	Prbl.g_01914, Prbl.g_02305	Syae.g_00489
OG0000101	Prbl.g_01000	Syae.g_02125
OG0000102	Prbl.g_02636	Syae.g_01824
OG0000103	Prbl.g_02139	Syae.g_01694
OG0000104	Prbl.g_02125	Syae.g_01708
OG0000105	Prbl.g_01461	Syae.g_01977
OG0000106	Prbl.g_00411	Syae.g_00272
OG0000107	Prbl.g_02681	Syae.g_02032
OG0000108	Prbl.g_00511	Syae.g_02309
OG0000109	Prbl.g_00527	Syae.g_02324
OG0000110	Prbl.g_01795	Syae.g_02435
OG0000111	Prbl.g_00026	Syae.g_00783
OG0000112	Prbl.g_02470	Syae.g_00351
OG0000113	Prbl.g_02310	Syae.g_00494
OG0000114	Prbl.g_02407	Syae.g_00575
OG0000115	Prbl.g_00687	Syae.g_02631
OG0000116	Prbl.g_02069	Syae.g_00939
OG0000117	Prbl.g_01384	Syae.g_00647
OG0000118	Prbl.g_01736	Syae.g_02479
OG0000119	Prbl.g_00007, Prbl.g_00046	Syae.g_00904
OG0000120	Prbl.g_00892	Syae.g_01912
OG0000121	Prbl.g_00234, Prbl.g_00240	Syae.g_02649
OG0000122	Prbl.g_01808	Syae.g_00112
OG0000123	Prbl.g_01135	Syae.g_02131
OG0000124	Prbl.g_02054	Syae.g_01809
OG0000125	Prbl.g_02231	Syae.g_01573
OG0000126	Prbl.g_02127	Syae.g_01706
OG0000127	Prbl.g_00745, Prbl.g_01821	Syae.g_00720
OG0000128	Prbl.g_02109	Syae.g_01724
OG0000129	Prbl.g_02243	Syae.g_01562
OG0000130	Prbl.g_00608	Syae.g_01284
OG0000131	Prbl.g_00303	Syae.g_01428
OG0000132	Prbl.g_00283	Syae.g_01447
OG0000133	Prbl.g_00897	Syae.g_00356
OG0000134	Prbl.g_02677	Syae.g_02222
OG0000135	Prbl.g_02190	Syae.g_01608
OG0000136	Prbl.g_00647	Syae.g_00989
OG0000137	Prbl.g_01340	Syae.g_02530
OG0000138	Prbl.g_00528	Syae.g_02325
OG0000139	Prbl.g_00760	Syae.g_02380
OG0000140	Prbl.g_00754	Syae.g_02383
OG0000141	Prbl.g_01751	Syae.g_00016
OG0000142	Prbl.g_01639	Syae.g_00074
OG0000143	Prbl.g_01643	Syae.g_00078
OG0000144	Prbl.g_01042	Syae.g_00261
OG0000145	Prbl.g_00534	Syae.g_02331
OG0000146	Prbl.g_02469	Syae.g_00350
OG0000147	Prbl.g_02468	Syae.g_00349
OG0000148	Prbl.g_02316	Syae.g_00500
OG0000149	Prbl.g_01552	Syae.g_00847
OG0000150	Prbl.g_01576	Syae.g_00017
OG0000151	Prbl.g_02386	Syae.g_00563
OG0000152	Prbl.g_02478	Syae.g_00360
OG0000153	Prbl.g_02505	Syae.g_00394
OG0000154	Prbl.g_02532	Syae.g_00420
OG0000155	Prbl.g_00185	Syae.g_00885
OG0000156	Prbl.g_00115	Syae.g_00945
OG0000157	Prbl.g_00114	Syae.g_00946
OG0000158	Prbl.g_00843	Syae.g_01858
OG0000160	Prbl.g_00241	Syae.g_02650
OG0000161	Prbl.g_00227	Syae.g_02644
OG0000162	Prbl.g_00221	Syae.g_02638
OG0000163	Prbl.g_00452	Syae.g_01092
OG0000164	Prbl.g_00365	Syae.g_01198
OG0000165	Prbl.g_00356	Syae.g_01021
OG0000166	Prbl.g_00962	Syae.g_02085
OG0000167	Prbl.g_00857	Syae.g_01874
OG0000168	Prbl.g_00842	Syae.g_01856
OG0000169	Prbl.g_01302	Syae.g_01841
OG0000170	Prbl.g_01290	Syae.g_01834
OG0000171	Prbl.g_02055	Syae.g_01810
OG0000172	Prbl.g_02021	Syae.g_01788
OG0000173	Prbl.g_02000	Syae.g_01770
OG0000174	Prbl.g_02188	Syae.g_01610
OG0000175	Prbl.g_02150	Syae.g_01679
OG0000176	Prbl.g_02117	Syae.g_01716
OG0000177	Prbl.g_02116	Syae.g_01717
OG0000178	Prbl.g_02115	Syae.g_01718
OG0000179	Prbl.g_01961	Syae.g_01733
OG0000180	Prbl.g_01962	Syae.g_01734
OG0000181	Prbl.g_01963	Syae.g_01735
OG0000182	Prbl.g_01964	Syae.g_01736
OG0000183	Prbl.g_01968	Syae.g_01740
OG0000184	Prbl.g_02251	Syae.g_01554
OG0000185	Prbl.g_02273	Syae.g_01551
OG0000186	Prbl.g_00614	Syae.g_01279
OG0000187	Prbl.g_00613	Syae.g_01280
OG0000188	Prbl.g_00591	Syae.g_01323
OG0000189	Prbl.g_00565	Syae.g_01350
OG0000190	Prbl.g_00563	Syae.g_01352
OG0000191	Prbl.g_01325	Syae.g_01384
OG0000192	Prbl.g_01316	Syae.g_01390
OG0000193	Prbl.g_00302	Syae.g_01429
OG0000194	Prbl.g_00299	Syae.g_01432
OG0000195	Prbl.g_00297	Syae.g_01434
OG0000196	Prbl.g_00286	Syae.g_01444
OG0000197	Prbl.g_00285	Syae.g_01445
OG0000198	Prbl.g_00284	Syae.g_01446
OG0000199	Prbl.g_00277	Syae.g_01454
OG0000200	Prbl.g_00069	Syae.g_01471
OG0000201	Prbl.g_00088	Syae.g_01487
OG0000202	Prbl.g_00089	Syae.g_01488
OG0000203	Prbl.g_00090	Syae.g_01489
OG0000204	Prbl.g_00091	Syae.g_01490
OG0000205	Prbl.g_00098	Syae.g_01497
OG0000206	Prbl.g_01282	Syae.g_01504
OG0000207	Prbl.g_00130	Syae.g_01506
OG0000208	Prbl.g_00129	Syae.g_01507
OG0000209	Prbl.g_01256	Syae.g_01528
OG0000210	Prbl.g_01257	Syae.g_01529
OG0000211	Prbl.g_01922	Syae.g_02234
OG0000212	Prbl.g_00192	Syae.g_02244
OG0000213	Prbl.g_01496	Syae.g_02003
OG0000214	Prbl.g_01469	Syae.g_01986
OG0000215	Prbl.g_01439	Syae.g_01955
OG0000216	Prbl.g_01436	Syae.g_01951
OG0000217	Prbl.g_01432	Syae.g_01947
OG0000218	Prbl.g_01428	Syae.g_01945
OG0000219	Prbl.g_01427	Syae.g_01944
OG0000220	Prbl.g_01426	Syae.g_01943
OG0000221	Prbl.g_01421	Syae.g_01937
OG0000222	Prbl.g_00911	Syae.g_01926
OG0000223	Prbl.g_00888	Syae.g_01904
OG0000224	Prbl.g_00877	Syae.g_01897
OG0000225	Prbl.g_01218	Syae.g_02208
OG0000226	Prbl.g_01222	Syae.g_02212
OG0000227	Prbl.g_01224	Syae.g_02214
OG0000228	Prbl.g_02673	Syae.g_02218
OG0000229	Prbl.g_00652	Syae.g_00994
OG0000230	Prbl.g_00650	Syae.g_00992
OG0000231	Prbl.g_00635	Syae.g_00980
OG0000232	Prbl.g_00619	Syae.g_02496
OG0000233	Prbl.g_01360	Syae.g_02504
OG0000234	Prbl.g_01339	Syae.g_02532
OG0000235	Prbl.g_00510	Syae.g_02308
OG0000236	Prbl.g_00526	Syae.g_02323
OG0000237	Prbl.g_00800	Syae.g_02340
OG0000238	Prbl.g_00795	Syae.g_02345
OG0000239	Prbl.g_00779	Syae.g_02360
OG0000240	Prbl.g_00778	Syae.g_02361
OG0000241	Prbl.g_01526	Syae.g_00065
OG0000242	Prbl.g_00768	Syae.g_02372
OG0000243	Prbl.g_02647	Syae.g_02391
OG0000244	Prbl.g_01879	Syae.g_02399
OG0000245	Prbl.g_01882	Syae.g_02401
OG0000246	Prbl.g_01886	Syae.g_02405
OG0000247	Prbl.g_01897	Syae.g_02416
OG0000248	Prbl.g_01900	Syae.g_02419
OG0000249	Prbl.g_01902	Syae.g_02421
OG0000250	Prbl.g_01799	Syae.g_02431
OG0000251	Prbl.g_01775	Syae.g_02455
OG0000252	Prbl.g_01772	Syae.g_02458
OG0000253	Prbl.g_01766	Syae.g_02459
OG0000254	Prbl.g_01747	Syae.g_00021
OG0000255	Prbl.g_01612	Syae.g_00041
OG0000256	Prbl.g_01626	Syae.g_00058
OG0000257	Prbl.g_01632	Syae.g_00064
OG0000258	Prbl.g_01655	Syae.g_00083
OG0000259	Prbl.g_01406	Syae.g_00608
OG0000260	Prbl.g_01403	Syae.g_00603
OG0000261	Prbl.g_01400	Syae.g_00600
OG0000262	Prbl.g_01395	Syae.g_00595
OG0000263	Prbl.g_01242	Syae.g_00671
OG0000264	Prbl.g_01859	Syae.g_00761
OG0000266	Prbl.g_02556	Syae.g_00457
OG0000267	Prbl.g_02431	Syae.g_00304
OG0000268	Prbl.g_02432	Syae.g_00308
OG0000269	Prbl.g_02340	Syae.g_00526
OG0000270	Prbl.g_02337	Syae.g_00523
OG0000271	Prbl.g_02329	Syae.g_00515
OG0000272	Prbl.g_02328	Syae.g_00514
OG0000273	Prbl.g_01534	Syae.g_00825
OG0000274	Prbl.g_01535	Syae.g_00826
OG0000275	Prbl.g_01538	Syae.g_00832
OG0000276	Prbl.g_01544	Syae.g_00839
OG0000277	Prbl.g_01545	Syae.g_00840
OG0000278	Prbl.g_01548	Syae.g_00843
OG0000279	Prbl.g_01556	Syae.g_00851
OG0000280	Prbl.g_01562	Syae.g_00877
OG0000281	Prbl.g_01577	Syae.g_02057
OG0000282	Prbl.g_02405	Syae.g_00573
OG0000283	Prbl.g_02443	Syae.g_00321
OG0000284	Prbl.g_02449	Syae.g_00327
OG0000285	Prbl.g_01688	Syae.g_00340
OG0000286	Prbl.g_02477	Syae.g_00359
OG0000287	Prbl.g_02608	Syae.g_00387
OG0000288	Prbl.g_02531	Syae.g_00419
OG0000289	Prbl.g_02544	Syae.g_00433
OG0000290	Prbl.g_00930	Syae.g_00796
OG0000291	Prbl.g_00928	Syae.g_00794
OG0000292	Prbl.g_02128	Syae.g_01705
OG0000293	Prbl.g_02071	Syae.g_00938
OG0000294	Prbl.g_02072	Syae.g_00937
OG0000295	Prbl.g_00178	Syae.g_00893
OG0000296	Prbl.g_00180	Syae.g_00891
OG0000297	Prbl.g_01382	Syae.g_00645
OG0000298	Prbl.g_01383	Syae.g_00646
OG0000299	Prbl.g_01372	Syae.g_00680
OG0000300	Prbl.g_02582	Syae.g_00686
OG0000301	Prbl.g_02583	Syae.g_00687
OG0000302	Prbl.g_02586	Syae.g_00691
OG0000303	Prbl.g_00187	Syae.g_00700
OG0000304	Prbl.g_01102	Syae.g_00706
OG0000305	Prbl.g_00926	Syae.g_00791
OG0000306	Prbl.g_01586	Syae.g_00277
OG0000307	Prbl.g_00494	Syae.g_02290
OG0000308	Prbl.g_00492	Syae.g_02288
OG0000309	Prbl.g_00488	Syae.g_02283
OG0000310	Prbl.g_00160	Syae.g_02687
OG0000311	Prbl.g_00258	Syae.g_02682
OG0000312	Prbl.g_00254	Syae.g_02664
OG0000313	Prbl.g_00230	Syae.g_02647
OG0000314	Prbl.g_00699	Syae.g_02618
OG0000315	Prbl.g_00709	Syae.g_02609
OG0000316	Prbl.g_00441	Syae.g_01118
OG0000317	Prbl.g_00399	Syae.g_01160
OG0000318	Prbl.g_00393	Syae.g_01164
OG0000319	Prbl.g_00376	Syae.g_01181
OG0000320	Prbl.g_00374	Syae.g_01183
OG0000321	Prbl.g_00373	Syae.g_01184
OG0000322	Prbl.g_00372	Syae.g_01185
OG0000323	Prbl.g_00361	Syae.g_01200
OG0000324	Prbl.g_00332	Syae.g_01049
OG0000325	Prbl.g_02683	Syae.g_02033
OG0000326	Prbl.g_01059	Syae.g_02040
OG0000327	Prbl.g_00957	Syae.g_02080
OG0000328	Prbl.g_00958	Syae.g_02081
OG0000329	Prbl.g_00975	Syae.g_02099
OG0000330	Prbl.g_00976	Syae.g_02100
OG0000331	Prbl.g_00977	Syae.g_02101
OG0000332	Prbl.g_00992	Syae.g_02116
OG0000333	Prbl.g_00994	Syae.g_02119
OG0000334	Prbl.g_01131	Syae.g_02128
OG0000335	Prbl.g_01136	Syae.g_02132
OG0000336	Prbl.g_01140	Syae.g_02136
OG0000337	Prbl.g_00863	Syae.g_01879
OG0000338	Prbl.g_00859	Syae.g_01876
OG0000339	Prbl.g_00853	Syae.g_01869
OG0000340	Prbl.g_00841	Syae.g_01855
OG0000341	Prbl.g_00839	Syae.g_01853
OG0000342	Prbl.g_00838	Syae.g_01852
OG0000343	Prbl.g_01307	Syae.g_01848
OG0000344	Prbl.g_01304	Syae.g_01843
OG0000345	Prbl.g_01289	Syae.g_01833
OG0000346	Prbl.g_01284	Syae.g_01828
OG0000347	Prbl.g_02053	Syae.g_01805
OG0000348	Prbl.g_02016	Syae.g_01781
OG0000349	Prbl.g_01992	Syae.g_01763
OG0000350	Prbl.g_02195	Syae.g_02047
OG0000351	Prbl.g_02147	Syae.g_01684
OG0000352	Prbl.g_02146	Syae.g_01685
OG0000353	Prbl.g_02122	Syae.g_01711
OG0000354	Prbl.g_00789	Syae.g_02351
OG0000354	Prbl.g_01959	Syae.g_01731
OG0000355	Prbl.g_02120	Syae.g_01713
OG0000356	Prbl.g_02119	Syae.g_01714
OG0000357	Prbl.g_02118	Syae.g_01715
OG0000358	Prbl.g_02114	Syae.g_01719
OG0000359	Prbl.g_02112	Syae.g_01721
OG0000360	Prbl.g_02111	Syae.g_01722
OG0000361	Prbl.g_02110	Syae.g_01723
OG0000362	Prbl.g_02108	Syae.g_01725
OG0000363	Prbl.g_01955	Syae.g_01727
OG0000364	Prbl.g_01956	Syae.g_01728
OG0000365	Prbl.g_01965	Syae.g_01737
OG0000366	Prbl.g_01966	Syae.g_01738
OG0000367	Prbl.g_01967	Syae.g_01739
OG0000368	Prbl.g_01969	Syae.g_01741
OG0000369	Prbl.g_01970	Syae.g_01742
OG0000370	Prbl.g_01971	Syae.g_01743
OG0000371	Prbl.g_01980	Syae.g_01751
OG0000372	Prbl.g_01985	Syae.g_01756
OG0000373	Prbl.g_01986	Syae.g_01757
OG0000374	Prbl.g_01987	Syae.g_01758
OG0000375	Prbl.g_01988	Syae.g_01759
OG0000376	Prbl.g_01990	Syae.g_01761
OG0000377	Prbl.g_02244	Syae.g_01561
OG0000378	Prbl.g_02258	Syae.g_01553
OG0000379	Prbl.g_02274	Syae.g_01550
OG0000380	Prbl.g_00612	Syae.g_01281
OG0000381	Prbl.g_00607	Syae.g_01285
OG0000382	Prbl.g_00592	Syae.g_01322
OG0000383	Prbl.g_00590	Syae.g_01324
OG0000384	Prbl.g_00589	Syae.g_01325
OG0000385	Prbl.g_00588	Syae.g_01326
OG0000386	Prbl.g_00587	Syae.g_01327
OG0000387	Prbl.g_00561	Syae.g_01354
OG0000388	Prbl.g_00557	Syae.g_01358
OG0000389	Prbl.g_00553	Syae.g_01362
OG0000390	Prbl.g_01331	Syae.g_01378
OG0000391	Prbl.g_01326	Syae.g_01383
OG0000392	Prbl.g_01320	Syae.g_01389
OG0000393	Prbl.g_01315	Syae.g_01392
OG0000394	Prbl.g_01314	Syae.g_01393
OG0000395	Prbl.g_01313	Syae.g_01394
OG0000396	Prbl.g_00827	Syae.g_01397
OG0000397	Prbl.g_00825	Syae.g_01400
OG0000398	Prbl.g_00820	Syae.g_01405
OG0000399	Prbl.g_00819	Syae.g_01406
OG0000400	Prbl.g_00818	Syae.g_01407
OG0000401	Prbl.g_00817	Syae.g_01408
OG0000402	Prbl.g_00815	Syae.g_01410
OG0000403	Prbl.g_00814	Syae.g_01411
OG0000404	Prbl.g_00812	Syae.g_01412
OG0000405	Prbl.g_00305	Syae.g_01426
OG0000406	Prbl.g_00301	Syae.g_01430
OG0000407	Prbl.g_00300	Syae.g_01431
OG0000408	Prbl.g_00298	Syae.g_01433
OG0000409	Prbl.g_00296	Syae.g_01435
OG0000410	Prbl.g_00295	Syae.g_01436
OG0000411	Prbl.g_00294	Syae.g_01437
OG0000412	Prbl.g_00293	Syae.g_01438
OG0000413	Prbl.g_00291	Syae.g_01440
OG0000415	Prbl.g_00289	Syae.g_01441
OG0000416	Prbl.g_00288	Syae.g_01442
OG0000417	Prbl.g_00287	Syae.g_01443
OG0000418	Prbl.g_00282	Syae.g_01448
OG0000419	Prbl.g_00280	Syae.g_01450
OG0000420	Prbl.g_00279	Syae.g_01452
OG0000421	Prbl.g_00275	Syae.g_01457
OG0000422	Prbl.g_00274	Syae.g_01458
OG0000423	Prbl.g_00273	Syae.g_01459
OG0000424	Prbl.g_00272	Syae.g_01460
OG0000425	Prbl.g_00271	Syae.g_01461
OG0000426	Prbl.g_00270	Syae.g_01462
OG0000427	Prbl.g_00269	Syae.g_01463
OG0000428	Prbl.g_02377	Syae.g_01466
OG0000429	Prbl.g_00066	Syae.g_01468
OG0000430	Prbl.g_00068	Syae.g_01470
OG0000431	Prbl.g_00072	Syae.g_01473
OG0000432	Prbl.g_00079	Syae.g_01481
OG0000433	Prbl.g_00082	Syae.g_01484
OG0000434	Prbl.g_00083	Syae.g_01485
OG0000435	Prbl.g_00086	Syae.g_01486
OG0000436	Prbl.g_00092	Syae.g_01491
OG0000437	Prbl.g_00093	Syae.g_01492
OG0000438	Prbl.g_00094	Syae.g_01493
OG0000439	Prbl.g_00096	Syae.g_01495
OG0000440	Prbl.g_00097	Syae.g_01496
OG0000441	Prbl.g_00104	Syae.g_01501
OG0000442	Prbl.g_00105	Syae.g_01502
OG0000443	Prbl.g_01283	Syae.g_01503
OG0000444	Prbl.g_00127	Syae.g_01509
OG0000445	Prbl.g_00126	Syae.g_01510
OG0000446	Prbl.g_00124	Syae.g_01512
OG0000447	Prbl.g_01244	Syae.g_01517
OG0000448	Prbl.g_01245	Syae.g_01518
OG0000449	Prbl.g_01246	Syae.g_01519
OG0000450	Prbl.g_01252	Syae.g_01525
OG0000451	Prbl.g_01253	Syae.g_01526
OG0000452	Prbl.g_01258	Syae.g_01530
OG0000453	Prbl.g_01259	Syae.g_01531
OG0000454	Prbl.g_01260	Syae.g_01532
OG0000455	Prbl.g_01261	Syae.g_01533
OG0000456	Prbl.g_01262	Syae.g_01534
OG0000457	Prbl.g_01264	Syae.g_01536
OG0000458	Prbl.g_01265	Syae.g_01538
OG0000459	Prbl.g_01266	Syae.g_01539
OG0000460	Prbl.g_01923	Syae.g_02236
OG0000461	Prbl.g_02679	Syae.g_02024
OG0000462	Prbl.g_02666	Syae.g_02021
OG0000463	Prbl.g_01516	Syae.g_02020
OG0000464	Prbl.g_01515	Syae.g_02019
OG0000465	Prbl.g_01513	Syae.g_02018
OG0000466	Prbl.g_01508	Syae.g_02014
OG0000467	Prbl.g_01506	Syae.g_02012
OG0000468	Prbl.g_01499	Syae.g_02007
OG0000469	Prbl.g_01486	Syae.g_01992
OG0000470	Prbl.g_01473	Syae.g_01990
OG0000471	Prbl.g_01472	Syae.g_01989
OG0000472	Prbl.g_01470	Syae.g_01987
OG0000473	Prbl.g_01468	Syae.g_01985
OG0000474	Prbl.g_01467	Syae.g_01984
OG0000475	Prbl.g_01466	Syae.g_01983
OG0000476	Prbl.g_01464	Syae.g_01981
OG0000477	Prbl.g_01459	Syae.g_01975
OG0000478	Prbl.g_01458	Syae.g_01974
OG0000479	Prbl.g_01457	Syae.g_01973
OG0000480	Prbl.g_01450	Syae.g_01966
OG0000481	Prbl.g_01448	Syae.g_01964
OG0000482	Prbl.g_01447	Syae.g_01963
OG0000483	Prbl.g_01443	Syae.g_01959
OG0000484	Prbl.g_01442	Syae.g_01958
OG0000485	Prbl.g_01441	Syae.g_01957
OG0000486	Prbl.g_01440	Syae.g_01956
OG0000487	Prbl.g_01435	Syae.g_01950
OG0000488	Prbl.g_01431	Syae.g_01946
OG0000489	Prbl.g_01420	Syae.g_01936
OG0000490	Prbl.g_01414	Syae.g_01928
OG0000491	Prbl.g_01413	Syae.g_01927
OG0000492	Prbl.g_00909	Syae.g_01925
OG0000493	Prbl.g_00908	Syae.g_01924
OG0000494	Prbl.g_00907	Syae.g_01923
OG0000495	Prbl.g_00906	Syae.g_01922
OG0000496	Prbl.g_00905	Syae.g_01921
OG0000497	Prbl.g_00904	Syae.g_01920
OG0000498	Prbl.g_00903	Syae.g_01919
OG0000499	Prbl.g_00902	Syae.g_01918
OG0000500	Prbl.g_00901	Syae.g_01917
OG0000501	Prbl.g_00898	Syae.g_01914
OG0000502	Prbl.g_00886	Syae.g_01902
OG0000503	Prbl.g_01201	Syae.g_02192
OG0000504	Prbl.g_01203	Syae.g_02194
OG0000505	Prbl.g_01204	Syae.g_02195
OG0000506	Prbl.g_01206	Syae.g_02197
OG0000507	Prbl.g_01210	Syae.g_02203
OG0000508	Prbl.g_01217	Syae.g_02207
OG0000509	Prbl.g_01219	Syae.g_02209
OG0000510	Prbl.g_01220	Syae.g_02210
OG0000511	Prbl.g_01221	Syae.g_02211
OG0000512	Prbl.g_01223	Syae.g_02213
OG0000513	Prbl.g_02678	Syae.g_02223
OG0000514	Prbl.g_00676	Syae.g_02229
OG0000515	Prbl.g_00675	Syae.g_02230
OG0000516	Prbl.g_00663	Syae.g_01000
OG0000517	Prbl.g_00653	Syae.g_00995
OG0000518	Prbl.g_00641	Syae.g_00983
OG0000519	Prbl.g_00640	Syae.g_00982
OG0000520	Prbl.g_00639	Syae.g_00981
OG0000521	Prbl.g_00625	Syae.g_02491
OG0000522	Prbl.g_00623	Syae.g_02493
OG0000523	Prbl.g_00622	Syae.g_02494
OG0000524	Prbl.g_01364	Syae.g_02501
OG0000525	Prbl.g_01348	Syae.g_02520
OG0000526	Prbl.g_01346	Syae.g_02523
OG0000527	Prbl.g_01342	Syae.g_02528
OG0000528	Prbl.g_00506	Syae.g_02304
OG0000529	Prbl.g_00512	Syae.g_02310
OG0000530	Prbl.g_00515	Syae.g_02313
OG0000531	Prbl.g_00516	Syae.g_02314
OG0000532	Prbl.g_00519	Syae.g_02317
OG0000533	Prbl.g_00521	Syae.g_02318
OG0000534	Prbl.g_00522	Syae.g_02319
OG0000535	Prbl.g_00523	Syae.g_02320
OG0000536	Prbl.g_00524	Syae.g_02321
OG0000537	Prbl.g_00525	Syae.g_02322
OG0000538	Prbl.g_00536	Syae.g_02333
OG0000539	Prbl.g_00806	Syae.g_02334
OG0000540	Prbl.g_00805	Syae.g_02335
OG0000541	Prbl.g_00804	Syae.g_02336
OG0000542	Prbl.g_00801	Syae.g_02339
OG0000543	Prbl.g_00799	Syae.g_02341
OG0000544	Prbl.g_00798	Syae.g_02342
OG0000545	Prbl.g_00797	Syae.g_02344
OG0000546	Prbl.g_00794	Syae.g_02346
OG0000547	Prbl.g_00792	Syae.g_02348
OG0000548	Prbl.g_00791	Syae.g_02349
OG0000549	Prbl.g_00785	Syae.g_02354
OG0000550	Prbl.g_00780	Syae.g_02358
OG0000551	Prbl.g_00776	Syae.g_02363
OG0000552	Prbl.g_00775	Syae.g_02364
OG0000553	Prbl.g_00770	Syae.g_02366
OG0000554	Prbl.g_00765	Syae.g_02375
OG0000555	Prbl.g_00747	Syae.g_02390
OG0000556	Prbl.g_02645	Syae.g_02394
OG0000557	Prbl.g_01878	Syae.g_02398
OG0000558	Prbl.g_01881	Syae.g_02400
OG0000559	Prbl.g_01885	Syae.g_02404
OG0000560	Prbl.g_01888	Syae.g_02407
OG0000561	Prbl.g_01889	Syae.g_02408
OG0000562	Prbl.g_01890	Syae.g_02409
OG0000563	Prbl.g_01891	Syae.g_02410
OG0000564	Prbl.g_01892	Syae.g_02411
OG0000565	Prbl.g_01895	Syae.g_02414
OG0000566	Prbl.g_01899	Syae.g_02418
OG0000567	Prbl.g_01903	Syae.g_02422
OG0000568	Prbl.g_01905	Syae.g_02427
OG0000569	Prbl.g_01801	Syae.g_02428
