Orthogroup	Prbl	Prbi
OG0000192	Prbl.g_01316	Prbi.g_00129
OG0000193	Prbl.g_00302	Prbi.g_00170
OG0000194	Prbl.g_00299	Prbi.g_00173
OG0000195	Prbl.g_00297	Prbi.g_00175
OG0000196	Prbl.g_00286	Prbi.g_00185
OG0000197	Prbl.g_00285	Prbi.g_00186
OG0000198	Prbl.g_00284	Prbi.g_00187
OG0000199	Prbl.g_00277	Prbi.g_00194
OG0000201	Prbl.g_00088	Prbi.g_00216
OG0000202	Prbl.g_00089	Prbi.g_00217
OG0000203	Prbl.g_00090	Prbi.g_00218
OG0000204	Prbl.g_00091	Prbi.g_00219
OG0000205	Prbl.g_00098	Prbi.g_00226
OG0000206	Prbl.g_01282	Prbi.g_00231
OG0000207	Prbl.g_00130	Prbi.g_00233
OG0000208	Prbl.g_00129	Prbi.g_00234
OG0000209	Prbl.g_01256	Prbi.g_00243
OG0000210	Prbl.g_01257	Prbi.g_00244
OG0000211	Prbl.g_01922	Prbi.g_00257
OG0000212	Prbl.g_00192	Prbi.g_00264
OG0000213	Prbl.g_01496	Prbi.g_00281
OG0000214	Prbl.g_01469	Prbi.g_00291
OG0000215	Prbl.g_01439	Prbi.g_00316
OG0000216	Prbl.g_01436	Prbi.g_00318
OG0000217	Prbl.g_01432	Prbi.g_00321
OG0000218	Prbl.g_01428	Prbi.g_00323
OG0000219	Prbl.g_01427	Prbi.g_00324
OG0000220	Prbl.g_01426	Prbi.g_00325
OG0000221	Prbl.g_01421	Prbi.g_00326
OG0000222	Prbl.g_00911	Prbi.g_00334
OG0000223	Prbl.g_00888	Prbi.g_00347
OG0000224	Prbl.g_00877	Prbi.g_00349
OG0000225	Prbl.g_01218	Prbi.g_00370
OG0000226	Prbl.g_01222	Prbi.g_00374
OG0000227	Prbl.g_01224	Prbi.g_00376
OG0000228	Prbl.g_02673	Prbi.g_00379
OG0000229	Prbl.g_00652	Prbi.g_00437
OG0000230	Prbl.g_00650	Prbi.g_00439
OG0000231	Prbl.g_00635	Prbi.g_00450
OG0000232	Prbl.g_00619	Prbi.g_00459
OG0000233	Prbl.g_01360	Prbi.g_00465
OG0000234	Prbl.g_01339	Prbi.g_00479
OG0000235	Prbl.g_00510	Prbi.g_00482
OG0000236	Prbl.g_00526	Prbi.g_00496
OG0000237	Prbl.g_00800	Prbi.g_00509
OG0000238	Prbl.g_00795	Prbi.g_00515
OG0000239	Prbl.g_00779	Prbi.g_00528
OG0000240	Prbl.g_00778	Prbi.g_00529
OG0000241	Prbl.g_01526	Prbi.g_00533
OG0000242	Prbl.g_00768	Prbi.g_00535
OG0000243	Prbl.g_02647	Prbi.g_00546
OG0000244	Prbl.g_01879	Prbi.g_00549
OG0000245	Prbl.g_01882	Prbi.g_00551
OG0000246	Prbl.g_01886	Prbi.g_00555
OG0000247	Prbl.g_01897	Prbi.g_00565
OG0000248	Prbl.g_01900	Prbi.g_00567
OG0000249	Prbl.g_01902	Prbi.g_00569
OG0000250	Prbl.g_01799	Prbi.g_00574
OG0000251	Prbl.g_01775	Prbi.g_00593
OG0000252	Prbl.g_01772	Prbi.g_00596
OG0000253	Prbl.g_01766	Prbi.g_00597
OG0000254	Prbl.g_01747	Prbi.g_00613
OG0000255	Prbl.g_01612	Prbi.g_00619
OG0000256	Prbl.g_01626	Prbi.g_00629
OG0000257	Prbl.g_01632	Prbi.g_00632
OG0000258	Prbl.g_01655	Prbi.g_00646
OG0000259	Prbl.g_01406	Prbi.g_00663
OG0000260	Prbl.g_01403	Prbi.g_00666
OG0000261	Prbl.g_01400	Prbi.g_00668
OG0000262	Prbl.g_01395	Prbi.g_00672
OG0000263	Prbl.g_01242	Prbi.g_00684
OG0000264	Prbl.g_01859	Prbi.g_00694
OG0000265	Prbl.g_02567, Prbl.g_01839	Prbi.g_00745
OG0000266	Prbl.g_02556	Prbi.g_00755
OG0000267	Prbl.g_02431	Prbi.g_00766
OG0000268	Prbl.g_02432	Prbi.g_00767
OG0000269	Prbl.g_02340	Prbi.g_00842
OG0000270	Prbl.g_02337	Prbi.g_00845
OG0000271	Prbl.g_02329	Prbi.g_00853
OG0000272	Prbl.g_02328	Prbi.g_00854
OG0000273	Prbl.g_01534	Prbi.g_00877
OG0000274	Prbl.g_01535	Prbi.g_00878
OG0000275	Prbl.g_01538	Prbi.g_00881
OG0000276	Prbl.g_01544	Prbi.g_00886
OG0000277	Prbl.g_01545	Prbi.g_00887
OG0000278	Prbl.g_01548	Prbi.g_00890
OG0000279	Prbl.g_01556	Prbi.g_00897
OG0000280	Prbl.g_01562	Prbi.g_00898
OG0000281	Prbl.g_01577	Prbi.g_00903
OG0000282	Prbl.g_02405	Prbi.g_00953
OG0000283	Prbl.g_02443	Prbi.g_00986
OG0000284	Prbl.g_02449	Prbi.g_00991
OG0000285	Prbl.g_01688	Prbi.g_00996
OG0000286	Prbl.g_02477	Prbi.g_01008
OG0000287	Prbl.g_02608	Prbi.g_01025
OG0000288	Prbl.g_02531	Prbi.g_01059
OG0000289	Prbl.g_02544	Prbi.g_01070
OG0000290	Prbl.g_00930	Prbi.g_01083
OG0000291	Prbl.g_00928	Prbi.g_01085
OG0000292	Prbl.g_02128	Prbi.g_01136
OG0000293	Prbl.g_02071	Prbi.g_01198
OG0000294	Prbl.g_02072	Prbi.g_01199
OG0000295	Prbl.g_00178	Prbi.g_01219
OG0000296	Prbl.g_00180	Prbi.g_01221
OG0000297	Prbl.g_01382	Prbi.g_01229
OG0000298	Prbl.g_01383	Prbi.g_01230
OG0000299	Prbl.g_01372	Prbi.g_01247
OG0000300	Prbl.g_02582	Prbi.g_01250
OG0000301	Prbl.g_02583	Prbi.g_01251
OG0000302	Prbl.g_02586	Prbi.g_01253
OG0000303	Prbl.g_00187	Prbi.g_01260
OG0000304	Prbl.g_01102	Prbi.g_01264
OG0000305	Prbl.g_00926	Prbi.g_01431
OG0000306	Prbl.g_01586	Prbi.g_01434
OG0000307	Prbl.g_00494	Prbi.g_01448
OG0000308	Prbl.g_00492	Prbi.g_01449
OG0000309	Prbl.g_00488	Prbi.g_01453
OG0000310	Prbl.g_00160	Prbi.g_01574
OG0000311	Prbl.g_00258	Prbi.g_01576
OG0000312	Prbl.g_00254	Prbi.g_01579
OG0000313	Prbl.g_00230	Prbi.g_01595
OG0000314	Prbl.g_00699	Prbi.g_01617
OG0000315	Prbl.g_00709	Prbi.g_01627
OG0000316	Prbl.g_00441	Prbi.g_01647
OG0000317	Prbl.g_00399	Prbi.g_01785
OG0000318	Prbl.g_00393	Prbi.g_01788
OG0000319	Prbl.g_00376	Prbi.g_01801
OG0000320	Prbl.g_00374	Prbi.g_01803
OG0000321	Prbl.g_00373	Prbi.g_01804
OG0000322	Prbl.g_00372	Prbi.g_01805
OG0000323	Prbl.g_00361	Prbi.g_01814
OG0000324	Prbl.g_00332	Prbi.g_01840
OG0000325	Prbl.g_02683	Prbi.g_01849
OG0000326	Prbl.g_01059	Prbi.g_01855
OG0000327	Prbl.g_00957	Prbi.g_01897
OG0000328	Prbl.g_00958	Prbi.g_01898
OG0000329	Prbl.g_00975	Prbi.g_01915
OG0000330	Prbl.g_00976	Prbi.g_01916
OG0000331	Prbl.g_00977	Prbi.g_01917
OG0000332	Prbl.g_00992	Prbi.g_01931
OG0000333	Prbl.g_00994	Prbi.g_01933
OG0000334	Prbl.g_01131	Prbi.g_01941
OG0000335	Prbl.g_01136	Prbi.g_01946
OG0000336	Prbl.g_01140	Prbi.g_01950
OG0000337	Prbl.g_00863	Prbi.g_01966
OG0000338	Prbl.g_00859	Prbi.g_01967
OG0000339	Prbl.g_00853	Prbi.g_01971
OG0000340	Prbl.g_00841	Prbi.g_01979
OG0000341	Prbl.g_00839	Prbi.g_01981
OG0000342	Prbl.g_00838	Prbi.g_01982
OG0000343	Prbl.g_01307	Prbi.g_01983
OG0000344	Prbl.g_01304	Prbi.g_01986
OG0000345	Prbl.g_01289	Prbi.g_01991
OG0000346	Prbl.g_01284	Prbi.g_01995
OG0000347	Prbl.g_02053	Prbi.g_02011
OG0000348	Prbl.g_02016	Prbi.g_02033
OG0000349	Prbl.g_01992	Prbi.g_02050
OG0000350	Prbl.g_02195	Prbi.g_02069
OG0000351	Prbl.g_02147	Prbi.g_02086
OG0000352	Prbl.g_02146	Prbi.g_02087
OG0000353	Prbl.g_02122	Prbi.g_02102
OG0000355	Prbl.g_02120	Prbi.g_00001
OG0000356	Prbl.g_02119	Prbi.g_00002
OG0000357	Prbl.g_02118	Prbi.g_00003
OG0000358	Prbl.g_02114	Prbi.g_00007
OG0000359	Prbl.g_02112	Prbi.g_00008
OG0000360	Prbl.g_02111	Prbi.g_00009
OG0000361	Prbl.g_02110	Prbi.g_00010
OG0000362	Prbl.g_02108	Prbi.g_00012
OG0000363	Prbl.g_01955	Prbi.g_00014
OG0000364	Prbl.g_01956	Prbi.g_00015
OG0000365	Prbl.g_01965	Prbi.g_00020
OG0000366	Prbl.g_01966	Prbi.g_00021
OG0000367	Prbl.g_01967	Prbi.g_00022
OG0000368	Prbl.g_01969	Prbi.g_00024
OG0000369	Prbl.g_01970	Prbi.g_00025
OG0000370	Prbl.g_01971	Prbi.g_00026
OG0000371	Prbl.g_01980	Prbi.g_00032
OG0000372	Prbl.g_01985	Prbi.g_00035
OG0000373	Prbl.g_01986	Prbi.g_00036
OG0000374	Prbl.g_01987	Prbi.g_00037
OG0000375	Prbl.g_01988	Prbi.g_00049
OG0000376	Prbl.g_01990	Prbi.g_00051
OG0000377	Prbl.g_02244	Prbi.g_00056
OG0000378	Prbl.g_02258	Prbi.g_00058
OG0000379	Prbl.g_02274	Prbi.g_00061
OG0000380	Prbl.g_00612	Prbi.g_00073
OG0000381	Prbl.g_00607	Prbi.g_00077
OG0000382	Prbl.g_00592	Prbi.g_00088
OG0000383	Prbl.g_00590	Prbi.g_00090
OG0000384	Prbl.g_00589	Prbi.g_00091
OG0000385	Prbl.g_00588	Prbi.g_00092
OG0000386	Prbl.g_00587	Prbi.g_00093
OG0000387	Prbl.g_00561	Prbi.g_00106
OG0000388	Prbl.g_00557	Prbi.g_00109
OG0000389	Prbl.g_00553	Prbi.g_00113
OG0000390	Prbl.g_01331	Prbi.g_00120
OG0000391	Prbl.g_01326	Prbi.g_00124
OG0000392	Prbl.g_01320	Prbi.g_00128
OG0000393	Prbl.g_01315	Prbi.g_00130
OG0000394	Prbl.g_01314	Prbi.g_00131
OG0000395	Prbl.g_01313	Prbi.g_00132
OG0000396	Prbl.g_00827	Prbi.g_00135
OG0000397	Prbl.g_00825	Prbi.g_00137
OG0000398	Prbl.g_00820	Prbi.g_00139
OG0000399	Prbl.g_00819	Prbi.g_00140
OG0000400	Prbl.g_00818	Prbi.g_00141
OG0000401	Prbl.g_00817	Prbi.g_00142
OG0000402	Prbl.g_00815	Prbi.g_00144
OG0000403	Prbl.g_00814	Prbi.g_00145
OG0000404	Prbl.g_00812	Prbi.g_00146
OG0000405	Prbl.g_00305	Prbi.g_00150
OG0000406	Prbl.g_00301	Prbi.g_00171
OG0000407	Prbl.g_00300	Prbi.g_00172
OG0000408	Prbl.g_00298	Prbi.g_00174
OG0000409	Prbl.g_00296	Prbi.g_00176
OG0000410	Prbl.g_00295	Prbi.g_00177
OG0000411	Prbl.g_00294	Prbi.g_00178
OG0000412	Prbl.g_00293	Prbi.g_00179
OG0000413	Prbl.g_00291	Prbi.g_00180
OG0000414	Prbl.g_00290	Prbi.g_00181
OG0000415	Prbl.g_00289	Prbi.g_00182
OG0000416	Prbl.g_00288	Prbi.g_00183
OG0000417	Prbl.g_00287	Prbi.g_00184
OG0000418	Prbl.g_00282	Prbi.g_00189
OG0000419	Prbl.g_00280	Prbi.g_00191
OG0000420	Prbl.g_00279	Prbi.g_00192
OG0000421	Prbl.g_00275	Prbi.g_00197
OG0000422	Prbl.g_00274	Prbi.g_00198
OG0000423	Prbl.g_00273	Prbi.g_00199
OG0000424	Prbl.g_00272	Prbi.g_00200
OG0000425	Prbl.g_00271	Prbi.g_00201
OG0000426	Prbl.g_00270	Prbi.g_00202
OG0000427	Prbl.g_00269	Prbi.g_00203
OG0000428	Prbl.g_02377	Prbi.g_00205
OG0000429	Prbl.g_00066	Prbi.g_00206
OG0000430	Prbl.g_00068	Prbi.g_00207
OG0000431	Prbl.g_00072	Prbi.g_00209
OG0000432	Prbl.g_00079	Prbi.g_00212
OG0000433	Prbl.g_00082	Prbi.g_00213
OG0000434	Prbl.g_00083	Prbi.g_00214
OG0000435	Prbl.g_00086	Prbi.g_00215
OG0000436	Prbl.g_00092	Prbi.g_00220
OG0000437	Prbl.g_00093	Prbi.g_00221
OG0000438	Prbl.g_00094	Prbi.g_00222
OG0000439	Prbl.g_00096	Prbi.g_00224
OG0000440	Prbl.g_00097	Prbi.g_00225
OG0000441	Prbl.g_00104	Prbi.g_00228
OG0000442	Prbl.g_00105	Prbi.g_00229
OG0000443	Prbl.g_01283	Prbi.g_00230
OG0000444	Prbl.g_00127	Prbi.g_00235
OG0000445	Prbl.g_00126	Prbi.g_00236
OG0000446	Prbl.g_00124	Prbi.g_00237
OG0000447	Prbl.g_01244	Prbi.g_00238
OG0000448	Prbl.g_01245	Prbi.g_00239
OG0000449	Prbl.g_01246	Prbi.g_00240
OG0000450	Prbl.g_01252	Prbi.g_00241
OG0000451	Prbl.g_01253	Prbi.g_00242
OG0000452	Prbl.g_01258	Prbi.g_00245
OG0000453	Prbl.g_01259	Prbi.g_00246
OG0000454	Prbl.g_01260	Prbi.g_00247
OG0000455	Prbl.g_01261	Prbi.g_00248
OG0000456	Prbl.g_01262	Prbi.g_00249
OG0000457	Prbl.g_01264	Prbi.g_00250
OG0000458	Prbl.g_01265	Prbi.g_00251
OG0000459	Prbl.g_01266	Prbi.g_00252
OG0000460	Prbl.g_01923	Prbi.g_00259
OG0000461	Prbl.g_02679	Prbi.g_00266
OG0000462	Prbl.g_02666	Prbi.g_00268
OG0000463	Prbl.g_01516	Prbi.g_00269
OG0000464	Prbl.g_01515	Prbi.g_00270
OG0000465	Prbl.g_01513	Prbi.g_00271
OG0000466	Prbl.g_01508	Prbi.g_00274
OG0000467	Prbl.g_01506	Prbi.g_00275
OG0000468	Prbl.g_01499	Prbi.g_00277
OG0000469	Prbl.g_01486	Prbi.g_00286
OG0000470	Prbl.g_01473	Prbi.g_00288
OG0000471	Prbl.g_01472	Prbi.g_00289
OG0000472	Prbl.g_01470	Prbi.g_00290
OG0000473	Prbl.g_01468	Prbi.g_00292
OG0000474	Prbl.g_01467	Prbi.g_00293
OG0000475	Prbl.g_01466	Prbi.g_00294
OG0000476	Prbl.g_01464	Prbi.g_00295
OG0000477	Prbl.g_01459	Prbi.g_00299
OG0000478	Prbl.g_01458	Prbi.g_00300
OG0000479	Prbl.g_01457	Prbi.g_00301
OG0000480	Prbl.g_01450	Prbi.g_00306
OG0000481	Prbl.g_01448	Prbi.g_00308
OG0000482	Prbl.g_01447	Prbi.g_00309
OG0000483	Prbl.g_01443	Prbi.g_00312
OG0000484	Prbl.g_01442	Prbi.g_00313
OG0000485	Prbl.g_01441	Prbi.g_00314
OG0000486	Prbl.g_01440	Prbi.g_00315
OG0000487	Prbl.g_01435	Prbi.g_00319
OG0000488	Prbl.g_01431	Prbi.g_00322
OG0000489	Prbl.g_01420	Prbi.g_00327
OG0000490	Prbl.g_01414	Prbi.g_00332
OG0000491	Prbl.g_01413	Prbi.g_00333
OG0000492	Prbl.g_00909	Prbi.g_00335
OG0000493	Prbl.g_00908	Prbi.g_00336
OG0000494	Prbl.g_00907	Prbi.g_00337
OG0000495	Prbl.g_00906	Prbi.g_00338
OG0000496	Prbl.g_00905	Prbi.g_00339
OG0000497	Prbl.g_00904	Prbi.g_00340
OG0000498	Prbl.g_00903	Prbi.g_00341
OG0000499	Prbl.g_00902	Prbi.g_00342
OG0000500	Prbl.g_00901	Prbi.g_00343
OG0000501	Prbl.g_00898	Prbi.g_00345
OG0000502	Prbl.g_00886	Prbi.g_00348
OG0000503	Prbl.g_01201	Prbi.g_00358
OG0000504	Prbl.g_01203	Prbi.g_00359
OG0000505	Prbl.g_01204	Prbi.g_00360
OG0000506	Prbl.g_01206	Prbi.g_00362
OG0000507	Prbl.g_01210	Prbi.g_00365
OG0000508	Prbl.g_01217	Prbi.g_00369
OG0000509	Prbl.g_01219	Prbi.g_00371
OG0000510	Prbl.g_01220	Prbi.g_00372
OG0000511	Prbl.g_01221	Prbi.g_00373
OG0000512	Prbl.g_01223	Prbi.g_00375
OG0000513	Prbl.g_02678	Prbi.g_00382
OG0000514	Prbl.g_00676	Prbi.g_00432
OG0000515	Prbl.g_00675	Prbi.g_00433
OG0000516	Prbl.g_00663	Prbi.g_00434
OG0000517	Prbl.g_00653	Prbi.g_00436
OG0000518	Prbl.g_00641	Prbi.g_00447
OG0000519	Prbl.g_00640	Prbi.g_00448
OG0000520	Prbl.g_00639	Prbi.g_00449
OG0000521	Prbl.g_00625	Prbi.g_00454
OG0000522	Prbl.g_00623	Prbi.g_00456
OG0000523	Prbl.g_00622	Prbi.g_00457
OG0000524	Prbl.g_01364	Prbi.g_00463
OG0000525	Prbl.g_01348	Prbi.g_00466
OG0000526	Prbl.g_01346	Prbi.g_00467
OG0000527	Prbl.g_01342	Prbi.g_00476
OG0000528	Prbl.g_00506	Prbi.g_00481
OG0000529	Prbl.g_00512	Prbi.g_00484
OG0000530	Prbl.g_00515	Prbi.g_00487
OG0000531	Prbl.g_00516	Prbi.g_00488
OG0000532	Prbl.g_00519	Prbi.g_00490
OG0000533	Prbl.g_00521	Prbi.g_00491
OG0000534	Prbl.g_00522	Prbi.g_00492
OG0000535	Prbl.g_00523	Prbi.g_00493
OG0000536	Prbl.g_00524	Prbi.g_00494
OG0000537	Prbl.g_00525	Prbi.g_00495
OG0000538	Prbl.g_00536	Prbi.g_00503
OG0000539	Prbl.g_00806	Prbi.g_00504
OG0000540	Prbl.g_00805	Prbi.g_00505
OG0000541	Prbl.g_00804	Prbi.g_00506
OG0000542	Prbl.g_00801	Prbi.g_00508
OG0000543	Prbl.g_00799	Prbi.g_00510
OG0000544	Prbl.g_00798	Prbi.g_00511
